ko:K01271	lhd:HUO_03225
ko:K02954	lhd:HUO_02545
ko:K02994	lhd:HUO_02550
ko:K02933	lhd:HUO_02555
ko:K02881	lhd:HUO_02560
ko:K02988	lhd:HUO_02565
ko:K00244	lhd:HUO_07245
ko:K01679	lhd:HUO_07250
ko:K07473	lhd:HUO_07265
ko:K02072	lhd:HUO_07300
ko:K02071	lhd:HUO_07305
ko:K02073	lhd:HUO_07310
ko:K01689	lhd:HUO_07365
ko:K01223	lhd:HUO_07390
ko:K02761	lhd:HUO_07395
ko:K03492	lhd:HUO_07410
ko:K00763	lhd:HUO_07430
ko:K01239	lhd:HUO_07470
ko:K00133	lhd:HUO_07500
ko:K00215	lhd:HUO_07510
ko:K00948	lhd:HUO_01670
ko:K02029	lhd:HUO_01685
ko:K02030	lhd:HUO_01685
ko:K02028	lhd:HUO_01690
ko:K01921	lhd:HUO_01700
ko:K01104	lhd:HUO_01750
ko:K02044	lhd:HUO_01760
ko:K02041	lhd:HUO_01765
ko:K02042	lhd:HUO_01770
ko:K02042	lhd:HUO_01775
ko:K01246	lhd:HUO_01780
ko:K01953	lhd:HUO_01795
ko:K17810	lhd:HUO_01800
ko:K09155	lhd:HUO_01820
ko:K07386	lhd:HUO_01830
ko:K03549	lhd:HUO_01835
ko:K03455	lhd:HUO_01885
ko:K01834	lhd:HUO_01910
ko:K01304	lhd:HUO_01915
ko:K04095	lhd:HUO_06680
ko:K01258	lhd:HUO_06690
ko:K00868	lhd:HUO_06710
ko:K00661	lhd:HUO_06720
ko:K03654	lhd:HUO_06735
ko:K06199	lhd:HUO_06765
ko:K06199	lhd:HUO_06770
ko:K03667	lhd:HUO_06795
ko:K01419	lhd:HUO_06800
ko:K03733	lhd:HUO_06805
ko:K04094	lhd:HUO_06810
ko:K03168	lhd:HUO_06815
ko:K04096	lhd:HUO_06820
ko:K03470	lhd:HUO_06825
ko:K14540	lhd:HUO_06830
ko:K03316	lhd:HUO_06835
ko:K11068	lhd:HUO_06850
ko:K00974	lhd:HUO_06855
ko:K03530	lhd:HUO_06870
ko:K03977	lhd:HUO_06875
ko:K02945	lhd:HUO_06880
ko:K00945	lhd:HUO_06885
ko:K06178	lhd:HUO_06915
ko:K07507	lhd:HUO_01015
ko:K03427	lhd:HUO_01100
ko:K01154	lhd:HUO_01105
ko:K02068	lhd:HUO_01130
ko:K02069	lhd:HUO_01135
ko:K05833	lhd:HUO_01215
ko:K05832	lhd:HUO_01220
ko:K01989	lhd:HUO_01225
ko:K03778	lhd:HUO_01265
ko:K01142	lhd:HUO_01285
ko:K07166	lhd:HUO_06025
ko:K06889	lhd:HUO_06035
ko:K00383	lhd:HUO_06050
ko:K02030	lhd:HUO_06100
ko:K02028	lhd:HUO_06105
ko:K02029	lhd:HUO_06110
ko:K02029	lhd:HUO_06115
ko:K00796	lhd:HUO_06145
ko:K11754	lhd:HUO_06150
ko:K01633	lhd:HUO_06160
ko:K07457	lhd:HUO_06165
ko:K01595	lhd:HUO_06205
ko:K03311	lhd:HUO_06225
ko:K00760	lhd:HUO_06255
ko:K00547	lhd:HUO_06285
ko:K03294	lhd:HUO_06295
ko:K07006	lhd:HUO_06300
ko:K07386	lhd:HUO_06305
ko:K06881	lhd:HUO_03115
ko:K02796	lhd:HUO_09690
ko:K01978	lhd:HUO_10745
ko:K21636	lhd:HUO_01805
ko:K00527	lhd:HUO_01190
ko:K19965	lhd:HUO_06140
ko:K20074	lhd:HUO_05080
ko:K12132	lhd:HUO_05085
ko:K20112	lhd:HUO_01745
ko:K07484	lhd:HUO_08375
ko:K07484	lhd:HUO_04760
ko:K07484	lhd:HUO_05195
ko:K07484	lhd:HUO_05835
ko:K07484	lhd:HUO_06560
ko:K01985	lhd:HUO_01335
ko:K10353	lhd:HUO_00715
ko:K18702	lhd:HUO_02970
ko:K00526	lhd:HUO_10615
ko:K01104	lhd:HUO_00275
ko:K01023	lhd:HUO_04080
ko:K07052	lhd:HUO_00555
ko:K01980	lhd:HUO_01330
ko:K01980	lhd:HUO_03480
ko:K01980	lhd:HUO_09735
ko:K01980	lhd:HUO_03280
ko:K01977	lhd:HUO_01325
ko:K01977	lhd:HUO_09740
ko:K01977	lhd:HUO_03465
ko:K01977	lhd:HUO_03275
ko:K08968	lhd:HUO_02425
ko:K14224	lhd:HUO_03375
ko:K14224	lhd:HUO_03505
ko:K14236	lhd:HUO_03400
ko:K14236	lhd:HUO_09460
ko:K14225	lhd:HUO_02405
ko:K14225	lhd:HUO_02415
ko:K14225	lhd:HUO_03310
ko:K14227	lhd:HUO_03360
ko:K14227	lhd:HUO_03470
ko:K14237	lhd:HUO_03290
ko:K14237	lhd:HUO_03510
ko:K14237	lhd:HUO_09245
ko:K14228	lhd:HUO_03315
ko:K14228	lhd:HUO_03620
ko:K14219	lhd:HUO_00380
ko:K14219	lhd:HUO_03320
ko:K14219	lhd:HUO_08940
ko:K14219	lhd:HUO_08555
ko:K14230	lhd:HUO_03330
ko:K14230	lhd:HUO_03340
ko:K14230	lhd:HUO_03385
ko:K14231	lhd:HUO_03350
ko:K14231	lhd:HUO_03395
ko:K14233	lhd:HUO_07345
ko:K14226	lhd:HUO_03410
ko:K14223	lhd:HUO_09455
ko:K14223	lhd:HUO_09480
ko:K14223	lhd:HUO_08195
ko:K14222	lhd:HUO_03420
ko:K01071	lhd:HUO_02930
ko:K01985	lhd:HUO_03485
ko:K14228	lhd:HUO_03425
ko:K14228	lhd:HUO_09380
ko:K14233	lhd:HUO_03380
ko:K02314	lhd:HUO_00965
ko:K06223	lhd:HUO_06070
ko:K04068	lhd:HUO_01810
ko:K01493	lhd:HUO_02045
ko:K00287	lhd:HUO_07330
ko:K00560	lhd:HUO_07335
ko:K01520	lhd:HUO_02735
ko:K00525	lhd:HUO_10605
ko:K00857	lhd:HUO_08185
ko:K03553	lhd:HUO_08695
ko:K06217	lhd:HUO_05580
ko:K02316	lhd:HUO_05610
ko:K03293	lhd:HUO_00425
ko:K14221	lhd:HUO_03345
ko:K14221	lhd:HUO_09255
ko:K14221	lhd:HUO_03390
ko:K02335	lhd:HUO_04020
ko:K02031	lhd:HUO_05145
ko:K02032	lhd:HUO_05150
ko:K14220	lhd:HUO_01340
ko:K14220	lhd:HUO_09725
ko:K14220	lhd:HUO_03490
ko:K14234	lhd:HUO_01020
ko:K14234	lhd:HUO_03305
ko:K14229	lhd:HUO_01415
ko:K14229	lhd:HUO_01425
ko:K14229	lhd:HUO_03295
ko:K14225	lhd:HUO_02030
ko:K14225	lhd:HUO_03355
ko:K14232	lhd:HUO_03325
ko:K14232	lhd:HUO_00385
ko:K14218	lhd:HUO_03475
ko:K14224	lhd:HUO_08200
ko:K14234	lhd:HUO_01955
ko:K14232	lhd:HUO_02420
ko:K01985	lhd:HUO_03285
ko:K14228	lhd:HUO_03300
ko:K14230	lhd:HUO_03335
ko:K14233	lhd:HUO_03365
ko:K14233	lhd:HUO_09260
ko:K14233	lhd:HUO_03495
ko:K14235	lhd:HUO_03405
ko:K14223	lhd:HUO_03415
ko:K14219	lhd:HUO_04920
ko:K14226	lhd:HUO_09250
ko:K14234	lhd:HUO_09585
ko:K01985	lhd:HUO_09730
ko:K01101	lhd:HUO_03255
ko:K03293	lhd:HUO_09670
ko:K03293	lhd:HUO_00420
ko:K07025	lhd:HUO_01230
ko:K08728	lhd:HUO_01740
ko:K21471	lhd:HUO_10165
ko:K07497	lhd:HUO_08335
ko:K07497	lhd:HUO_03765
ko:K07497	lhd:HUO_08575
ko:K07497	lhd:HUO_04355
ko:K07497	lhd:HUO_00300
ko:K07497	lhd:HUO_05340
ko:K07497	lhd:HUO_10160
ko:K07497	lhd:HUO_10535
ko:K07497	lhd:HUO_10705
ko:K07497	lhd:HUO_06220
ko:K07497	lhd:HUO_06555
ko:K07497	lhd:HUO_01640
ko:K07497	lhd:HUO_02005
ko:K07497	lhd:HUO_02390
ko:K07497	lhd:HUO_07460
ko:K00950	lhd:HUO_06155
ko:K01495	lhd:HUO_06155
ko:K21567	lhd:HUO_03270
ko:K21498	lhd:HUO_03845
ko:K21929	lhd:HUO_05260
ko:K22044	lhd:HUO_03200
ko:K03595	lhd:HUO_05590
ko:K03547	lhd:HUO_03800
ko:K17758	lhd:HUO_03630
ko:K22393	lhd:HUO_10440
ko:K22394	lhd:HUO_10435
ko:K13566	lhd:HUO_09295
