ko:K06896	efd:EFD32_0770
ko:K06180	efd:EFD32_2227
ko:K00858	efd:EFD32_2228
ko:K08602	efd:EFD32_2233
ko:K01867	efd:EFD32_2237
ko:K07461	efd:EFD32_2313
ko:K03575	efd:EFD32_2324
ko:K03565	efd:EFD32_2325
ko:K12111	efd:EFD32_2328
ko:K02935	efd:EFD32_2332
ko:K02864	efd:EFD32_2333
ko:K02863	efd:EFD32_2334
ko:K02867	efd:EFD32_2335
ko:K01752	efd:EFD32_2337
ko:K01752	efd:EFD32_2338
ko:K15580	efd:EFD32_2341
ko:K02601	efd:EFD32_2344
ko:K03073	efd:EFD32_2345
ko:K02913	efd:EFD32_2346
ko:K00075	efd:EFD32_2350
ko:K01142	efd:EFD32_2352
ko:K00384	efd:EFD32_2355
ko:K03800	efd:EFD32_2358
ko:K03740	efd:EFD32_2362
ko:K14188	efd:EFD32_2363
ko:K03739	efd:EFD32_2364
ko:K02003	efd:EFD32_2367
ko:K02346	efd:EFD32_2370
ko:K02069	efd:EFD32_2371
ko:K02068	efd:EFD32_2372
ko:K07056	efd:EFD32_2373
ko:K02341	efd:EFD32_2376
ko:K00943	efd:EFD32_2378
ko:K06187	efd:EFD32_2380
ko:K03707	efd:EFD32_2381
ko:K00941	efd:EFD32_2389
ko:K00788	efd:EFD32_2390
ko:K00878	efd:EFD32_2391
ko:K09747	efd:EFD32_2393
ko:K02343	efd:EFD32_2394
ko:K00965	efd:EFD32_2395
ko:K10716	efd:EFD32_2456
ko:K02913	efd:EFD32_2458
ko:K00687	efd:EFD32_2459
ko:K01868	efd:EFD32_2460
ko:K01821	efd:EFD32_2461
ko:K03624	efd:EFD32_2517
ko:K07082	efd:EFD32_2518
ko:K01091	efd:EFD32_2519
ko:K09790	efd:EFD32_2524
ko:K03704	efd:EFD32_2527
ko:K03630	efd:EFD32_2528
ko:K11754	efd:EFD32_2530
ko:K01873	efd:EFD32_2533
ko:K11065	efd:EFD32_2534
ko:K01926	efd:EFD32_2535
ko:K03151	efd:EFD32_2536
ko:K06901	efd:EFD32_2537
ko:K06726	efd:EFD32_2542
ko:K02529	efd:EFD32_2544
ko:K01042	efd:EFD32_2556
ko:K02003	efd:EFD32_2566
ko:K03367	efd:EFD32_2365
ko:K16511	efd:EFD32_2235
ko:K01977	efd:EFD32_r001
ko:K01977	efd:EFD32_r009
ko:K01977	efd:EFD32_r012
ko:K01977	efd:EFD32_r004
ko:K01223	efd:EFD32_1044
ko:K09710	efd:EFD32_2474
ko:K00969	efd:EFD32_2476
ko:K07574	efd:EFD32_2477
ko:K07015	efd:EFD32_2479
ko:K01962	efd:EFD32_2480
ko:K01963	efd:EFD32_2481
ko:K01961	efd:EFD32_2482
ko:K02372	efd:EFD32_2483
ko:K02160	efd:EFD32_2484
ko:K09458	efd:EFD32_2485
ko:K00645	efd:EFD32_2487
ko:K02078	efd:EFD32_2489
ko:K00648	efd:EFD32_2490
ko:K14155	efd:EFD32_2499
ko:K14977	efd:EFD32_2575
ko:K02083	efd:EFD32_2576
ko:K10975	efd:EFD32_2578
ko:K03321	efd:EFD32_2582
ko:K01442	efd:EFD32_2583
ko:K01153	efd:EFD32_2585
ko:K01154	efd:EFD32_2586
ko:K01154	efd:EFD32_2588
ko:K03427	efd:EFD32_2590
ko:K07862	efd:EFD32_2598
ko:K06173	efd:EFD32_2600
ko:K00783	efd:EFD32_2608
ko:K06878	efd:EFD32_2610
ko:K03710	efd:EFD32_2616
ko:K02769	efd:EFD32_1260
ko:K02054	efd:EFD32_1019
ko:K02017	efd:EFD32_1212
ko:K03299	efd:EFD32_2207
ko:K02794	efd:EFD32_0020
ko:K01223	efd:EFD32_0833
ko:K14235	efd:EFD32_t051
ko:K01223	efd:EFD32_1345
ko:K06023	efd:EFD32_1482
ko:K02242	efd:EFD32_1498
ko:K02240	efd:EFD32_1499
ko:K00059	efd:EFD32_1505
ko:K07404	efd:EFD32_1579
ko:K03326	efd:EFD32_1581
ko:K00852	efd:EFD32_1583
ko:K02248	efd:EFD32_1641
ko:K02246	efd:EFD32_1700
ko:K02245	efd:EFD32_1701
ko:K02244	efd:EFD32_1702
ko:K02243	efd:EFD32_1703
ko:K03294	efd:EFD32_1704
ko:K00805	efd:EFD32_1713
ko:K16012	efd:EFD32_1714
ko:K16013	efd:EFD32_1715
ko:K06910	efd:EFD32_1722
ko:K08161	efd:EFD32_1723
ko:K09976	efd:EFD32_1467
ko:K03693	efd:EFD32_1472
ko:K12554	efd:EFD32_1741
ko:K03713	efd:EFD32_1752
ko:K01784	efd:EFD32_1756
ko:K09153	efd:EFD32_1777
ko:K08234	efd:EFD32_1801
ko:K07720	efd:EFD32_1805
ko:K07052	efd:EFD32_1811
ko:K06147	efd:EFD32_1814
ko:K06147	efd:EFD32_1815
ko:K01104	efd:EFD32_1901
ko:K02004	efd:EFD32_1921
ko:K14982	efd:EFD32_1925
ko:K02745	efd:EFD32_2626
ko:K02744	efd:EFD32_2627
ko:K03478	efd:EFD32_2629
ko:K01104	efd:EFD32_2639
ko:K02783	efd:EFD32_2856
ko:K02783	efd:EFD32_2857
ko:K03491	efd:EFD32_2859
ko:K01258	efd:EFD32_2659
ko:K07032	efd:EFD32_2671
ko:K09705	efd:EFD32_2672
ko:K02035	efd:EFD32_2678
ko:K02033	efd:EFD32_2680
ko:K07030	efd:EFD32_2686
ko:K07706	efd:EFD32_2689
ko:K00949	efd:EFD32_2693
ko:K02793	efd:EFD32_2711
ko:K02795	efd:EFD32_2714
ko:K00033	efd:EFD32_2717
ko:K03486	efd:EFD32_2732
ko:K07305	efd:EFD32_2736
ko:K01439	efd:EFD32_2750
ko:K09815	efd:EFD32_2774
ko:K02793	efd:EFD32_2778
ko:K02795	efd:EFD32_2780
ko:K00851	efd:EFD32_2789
ko:K02236	efd:EFD32_2790
ko:K07069	efd:EFD32_2795
ko:K00805	efd:EFD32_2808
ko:K00805	efd:EFD32_2809
ko:K00383	efd:EFD32_2827
ko:K03708	efd:EFD32_2837
ko:K00088	efd:EFD32_2844
ko:K10254	efd:EFD32_2853
ko:K02782	efd:EFD32_2856
ko:K00068	efd:EFD32_2860
ko:K05966	efd:EFD32_2866
ko:K00027	efd:EFD32_2867
ko:K01571	efd:EFD32_2868
ko:K14326	efd:EFD32_2008
ko:K04488	efd:EFD32_2012
ko:K02076	efd:EFD32_2035
ko:K01835	efd:EFD32_2042
ko:K09963	efd:EFD32_2054
ko:K02238	efd:EFD32_2064
ko:K07177	efd:EFD32_2067
ko:K01958	efd:EFD32_2073
ko:K01092	efd:EFD32_2078
ko:K01409	efd:EFD32_2089
ko:K00244	efd:EFD32_2126
ko:K07009	efd:EFD32_2155
ko:K06147	efd:EFD32_2161
ko:K06147	efd:EFD32_2162
ko:K02755	efd:EFD32_2166
ko:K02756	efd:EFD32_2166
ko:K02757	efd:EFD32_2166
ko:K03488	efd:EFD32_2167
ko:K01916	efd:EFD32_2188
ko:K07052	efd:EFD32_2197
ko:K07025	efd:EFD32_2299
ko:K01572	efd:EFD32_2875
ko:K06346	efd:EFD32_2887
ko:K02755	efd:EFD32_0012
ko:K02756	efd:EFD32_0012
ko:K02757	efd:EFD32_0012
ko:K03488	efd:EFD32_0014
ko:K02793	efd:EFD32_0021
ko:K02794	efd:EFD32_0021
ko:K02795	efd:EFD32_0022
ko:K09698	efd:EFD32_0043
ko:K09815	efd:EFD32_0052
ko:K09685	efd:EFD32_0055
ko:K01119	efd:EFD32_0057
ko:K11069	efd:EFD32_2209
ko:K11071	efd:EFD32_2211
ko:K11072	efd:EFD32_2212
ko:K05363	efd:EFD32_2218
ko:K06201	efd:EFD32_2225
ko:K07816	efd:EFD32_2229
ko:K06198	efd:EFD32_2234
ko:K06147	efd:EFD32_2238
ko:K01243	efd:EFD32_2314
ko:K01515	efd:EFD32_2316
ko:K03810	efd:EFD32_2351
ko:K02342	efd:EFD32_2353
ko:K03386	efd:EFD32_2356
ko:K02004	efd:EFD32_2366
ko:K01784	efd:EFD32_2396
ko:K00845	efd:EFD32_2401
ko:K01934	efd:EFD32_2404
ko:K06889	efd:EFD32_2405
ko:K06216	efd:EFD32_2541
ko:K00852	efd:EFD32_2543
ko:K03475	efd:EFD32_2546
ko:K02822	efd:EFD32_2547
ko:K01077	efd:EFD32_2553
ko:K02004	efd:EFD32_2565
ko:K05340	efd:EFD32_0739
ko:K01478	efd:EFD32_0097
ko:K01788	efd:EFD32_0066
ko:K12373	efd:EFD32_0106
ko:K00867	efd:EFD32_0118
ko:K00564	efd:EFD32_0120
ko:K01488	efd:EFD32_0121
ko:K01619	efd:EFD32_0124
ko:K01489	efd:EFD32_0125
ko:K02056	efd:EFD32_0128
ko:K03783	efd:EFD32_0133
ko:K03784	efd:EFD32_0134
ko:K00939	efd:EFD32_0172
ko:K07105	efd:EFD32_0193
ko:K00016	efd:EFD32_0196
ko:K03498	efd:EFD32_0234
ko:K01372	efd:EFD32_0241
ko:K07729	efd:EFD32_0246
ko:K06286	efd:EFD32_0304
ko:K02549	efd:EFD32_0381
ko:K02795	efd:EFD32_0386
ko:K02793	efd:EFD32_0392
ko:K02564	efd:EFD32_0397
ko:K03647	efd:EFD32_0403
ko:K02530	efd:EFD32_0420
ko:K01819	efd:EFD32_0423
ko:K01819	efd:EFD32_0424
ko:K00917	efd:EFD32_0425
ko:K01635	efd:EFD32_0426
ko:K02786	efd:EFD32_0427
ko:K01220	efd:EFD32_0429
ko:K06948	efd:EFD32_2478
ko:K00059	efd:EFD32_2486
ko:K02371	efd:EFD32_2488
ko:K07570	efd:EFD32_2498
ko:K03768	efd:EFD32_2501
ko:K01119	efd:EFD32_2505
ko:K03499	efd:EFD32_2513
ko:K11618	efd:EFD32_2514
ko:K11617	efd:EFD32_2515
ko:K09684	efd:EFD32_2574
ko:K01466	efd:EFD32_2577
ko:K06971	efd:EFD32_2614
ko:K01261	efd:EFD32_2619
ko:K02799	efd:EFD32_0339
ko:K02800	efd:EFD32_0339
ko:K02798	efd:EFD32_0341
ko:K02799	efd:EFD32_0342
ko:K02800	efd:EFD32_0342
ko:K02798	efd:EFD32_0343
ko:K02004	efd:EFD32_0349
ko:K00046	efd:EFD32_0358
ko:K01813	efd:EFD32_0365
ko:K01629	efd:EFD32_0366
ko:K02552	efd:EFD32_0378
ko:K08680	efd:EFD32_0380
ko:K00016	efd:EFD32_0455
ko:K11041	efd:EFD32_0459
ko:K01784	efd:EFD32_0460
ko:K07104	efd:EFD32_0469
ko:K05362	efd:EFD32_0482
ko:K06183	efd:EFD32_0484
ko:K09952	efd:EFD32_0487
ko:K05845	efd:EFD32_0494
ko:K05846	efd:EFD32_0494
ko:K12555	efd:EFD32_0499
ko:K03698	efd:EFD32_0503
ko:K07533	efd:EFD32_0504
ko:K00882	efd:EFD32_0512
ko:K01635	efd:EFD32_0515
ko:K07098	efd:EFD32_0787
ko:K01262	efd:EFD32_0788
ko:K00691	efd:EFD32_0768
ko:K07586	efd:EFD32_0516
ko:K03697	efd:EFD32_0525
ko:K11189	efd:EFD32_0528
ko:K08483	efd:EFD32_0529
ko:K00882	efd:EFD32_0536
ko:K03436	efd:EFD32_0537
ko:K02433	efd:EFD32_0543
ko:K09762	efd:EFD32_0582
ko:K03574	efd:EFD32_0592
ko:K03930	efd:EFD32_0598
ko:K02004	efd:EFD32_0603
ko:K02793	efd:EFD32_0626
ko:K02794	efd:EFD32_0626
ko:K02795	efd:EFD32_0627
ko:K06183	efd:EFD32_0632
ko:K01560	efd:EFD32_0633
ko:K09963	efd:EFD32_0651
ko:K01104	efd:EFD32_0669
ko:K07729	efd:EFD32_0681
ko:K10563	efd:EFD32_0690
ko:K03346	efd:EFD32_0693
ko:K11144	efd:EFD32_0694
ko:K01823	efd:EFD32_0712
ko:K07584	efd:EFD32_0784
ko:K12556	efd:EFD32_0805
ko:K03709	efd:EFD32_0819
ko:K03321	efd:EFD32_0732
ko:K00938	efd:EFD32_0713
ko:K01597	efd:EFD32_0714
ko:K00869	efd:EFD32_0715
ko:K15582	efd:EFD32_0721
ko:K15583	efd:EFD32_0722
ko:K10823	efd:EFD32_0723
ko:K03294	efd:EFD32_0740
ko:K06147	efd:EFD32_0752
ko:K06147	efd:EFD32_0753
ko:K00625	efd:EFD32_0760
ko:K01785	efd:EFD32_0766
ko:K01006	efd:EFD32_0837
ko:K00033	efd:EFD32_0862
ko:K02050	efd:EFD32_0866
ko:K04750	efd:EFD32_0876
ko:K01785	efd:EFD32_0879
ko:K01784	efd:EFD32_0881
ko:K00657	efd:EFD32_0895
ko:K10041	efd:EFD32_0928
ko:K03476	efd:EFD32_0933
ko:K02821	efd:EFD32_0934
ko:K03475	efd:EFD32_0935
ko:K02822	efd:EFD32_0936
ko:K05822	efd:EFD32_0941
ko:K01759	efd:EFD32_0948
ko:K03048	efd:EFD32_0954
ko:K03700	efd:EFD32_0957
ko:K02086	efd:EFD32_0962
ko:K01424	efd:EFD32_0971
ko:K07668	efd:EFD32_0995
ko:K07652	efd:EFD32_0996
ko:K00027	efd:EFD32_1008
ko:K02052	efd:EFD32_1021
ko:K02055	efd:EFD32_1022
ko:K07098	efd:EFD32_1032
ko:K01989	efd:EFD32_1053
ko:K05832	efd:EFD32_1054
ko:K05833	efd:EFD32_1055
ko:K03471	efd:EFD32_1068
ko:K01641	efd:EFD32_1175
ko:K00626	efd:EFD32_1176
ko:K00054	efd:EFD32_1177
ko:K01258	efd:EFD32_1195
ko:K07027	efd:EFD32_1197
ko:K02049	efd:EFD32_0865
ko:K02005	efd:EFD32_2567
ko:K03177	efd:EFD32_1095
ko:K03095	efd:EFD32_1116
ko:K15051	efd:EFD32_1122
ko:K02004	efd:EFD32_1124
ko:K07192	efd:EFD32_1126
ko:K01222	efd:EFD32_1224
ko:K03647	efd:EFD32_1231
ko:K02123	efd:EFD32_1233
ko:K02124	efd:EFD32_1234
ko:K02121	efd:EFD32_1235
ko:K02119	efd:EFD32_1236
ko:K02122	efd:EFD32_1237
ko:K02117	efd:EFD32_1238
ko:K02118	efd:EFD32_1239
ko:K02120	efd:EFD32_1240
ko:K03488	efd:EFD32_1256
ko:K02806	efd:EFD32_1259
ko:K03711	efd:EFD32_1271
ko:K09963	efd:EFD32_1279
ko:K06889	efd:EFD32_1280
ko:K04763	efd:EFD32_1281
ko:K00974	efd:EFD32_1300
ko:K03856	efd:EFD32_1305
ko:K04517	efd:EFD32_1308
ko:K04518	efd:EFD32_1311
ko:K03316	efd:EFD32_1317
ko:K09825	efd:EFD32_1328
ko:K06147	efd:EFD32_1333
ko:K06147	efd:EFD32_1334
ko:K03574	efd:EFD32_1335
ko:K02808	efd:EFD32_1340
ko:K02809	efd:EFD32_1340
ko:K02810	efd:EFD32_1340
ko:K02755	efd:EFD32_1346
ko:K02756	efd:EFD32_1346
ko:K02757	efd:EFD32_1346
ko:K15986	efd:EFD32_1350
ko:K07052	efd:EFD32_1386
ko:K07035	efd:EFD32_1392
ko:K00929	efd:EFD32_1397
ko:K00059	efd:EFD32_1402
ko:K02004	efd:EFD32_1407
ko:K07304	efd:EFD32_1417
ko:K00784	efd:EFD32_1427
ko:K09787	efd:EFD32_1435
ko:K07658	efd:EFD32_1437
ko:K00841	efd:EFD32_1440
ko:K01191	efd:EFD32_1441
ko:K09704	efd:EFD32_1442
ko:K01674	efd:EFD32_1445
ko:K02823	efd:EFD32_1449
ko:K02824	efd:EFD32_1454
ko:K03469	efd:EFD32_1462
ko:K02793	efd:EFD32_1531
ko:K02795	efd:EFD32_1533
ko:K03976	efd:EFD32_1463
ko:K00917	efd:EFD32_1536
ko:K01635	efd:EFD32_1537
ko:K07706	efd:EFD32_1548
ko:K02744	efd:EFD32_1552
ko:K15772	efd:EFD32_1157
ko:K02851	efd:EFD32_1786
ko:K18349	efd:EFD32_2464
ko:K15770	efd:EFD32_1159
ko:K00034	efd:EFD32_2003
ko:K18350	efd:EFD32_2463
ko:K16786	efd:EFD32_0180
ko:K02026	efd:EFD32_2508
ko:K16787	efd:EFD32_0181
ko:K16785	efd:EFD32_0182
ko:K16788	efd:EFD32_0748
ko:K01838	efd:EFD32_0767
ko:K16789	efd:EFD32_2634
ko:K02768	efd:EFD32_1261
ko:K02025	efd:EFD32_1821
ko:K02027	efd:EFD32_2506
ko:K07705	efd:EFD32_2764
ko:K15580	efd:EFD32_2660
ko:K02025	efd:EFD32_2509
ko:K08605	efd:EFD32_1547
ko:K14220	efd:EFD32_t031
ko:K14220	efd:EFD32_t052
ko:K02030	efd:EFD32_0616
ko:K00634	efd:EFD32_1398
ko:K06400	efd:EFD32_2297
ko:K16203	efd:EFD32_2339
ko:K01485	efd:EFD32_0324
ko:K11636	efd:EFD32_1706
ko:K16785	efd:EFD32_1743
ko:K14218	efd:EFD32_t009
ko:K14218	efd:EFD32_t062
ko:K14218	efd:EFD32_t053
ko:K16786	efd:EFD32_1744
ko:K16787	efd:EFD32_1744
ko:K14234	efd:EFD32_t047
ko:K11635	efd:EFD32_1707
ko:K01426	efd:EFD32_2563
ko:K11991	efd:EFD32_1793
ko:K16923	efd:EFD32_2157
ko:K01834	efd:EFD32_0140
ko:K01990	efd:EFD32_1474
ko:K01990	efd:EFD32_2777
ko:K01990	efd:EFD32_pA0013
ko:K17716	efd:EFD32_1895
ko:K08986	efd:EFD32_1001
ko:K07271	efd:EFD32_1767
ko:K16785	efd:EFD32_2382
ko:K14237	efd:EFD32_t001
ko:K14237	efd:EFD32_t034
ko:K14237	efd:EFD32_t061
ko:K14229	efd:EFD32_t002
ko:K14229	efd:EFD32_t060
ko:K14229	efd:EFD32_t027
ko:K14228	efd:EFD32_t003
ko:K14228	efd:EFD32_t059
ko:K14228	efd:EFD32_t006
ko:K14228	efd:EFD32_t056
ko:K14234	efd:EFD32_t004
ko:K14234	efd:EFD32_t058
ko:K14225	efd:EFD32_t005
ko:K14225	efd:EFD32_t057
ko:K14219	efd:EFD32_t007
ko:K14219	efd:EFD32_t055
ko:K14219	efd:EFD32_t028
ko:K14230	efd:EFD32_t010
ko:K14230	efd:EFD32_t011
ko:K14230	efd:EFD32_t013
ko:K14230	efd:EFD32_t019
ko:K14233	efd:EFD32_t012
ko:K14233	efd:EFD32_t018
ko:K14233	efd:EFD32_t050
ko:K14233	efd:EFD32_t024
ko:K14221	efd:EFD32_t014
ko:K14221	efd:EFD32_t020
ko:K14224	efd:EFD32_t017
ko:K14224	efd:EFD32_t025
ko:K14224	efd:EFD32_t033
ko:K14231	efd:EFD32_t021
ko:K14219	efd:EFD32_t029
ko:K14219	efd:EFD32_t030
ko:K14233	efd:EFD32_t032
ko:K14221	efd:EFD32_t035
ko:K14231	efd:EFD32_t036
ko:K14236	efd:EFD32_t037
ko:K14236	efd:EFD32_t044
ko:K14235	efd:EFD32_t038
ko:K14226	efd:EFD32_t039
ko:K14223	efd:EFD32_t040
ko:K14223	efd:EFD32_t045
ko:K14222	efd:EFD32_t041
ko:K14228	efd:EFD32_t042
ko:K14228	efd:EFD32_t043
ko:K14234	efd:EFD32_t048
ko:K01426	efd:EFD32_0554
ko:K10974	efd:EFD32_2831
ko:K01985	efd:EFD32_r006
ko:K01985	efd:EFD32_r010
ko:K01985	efd:EFD32_r007
ko:K01985	efd:EFD32_r003
ko:K16925	efd:EFD32_2384
ko:K16924	efd:EFD32_1745
ko:K14232	efd:EFD32_t008
ko:K14232	efd:EFD32_t054
ko:K14227	efd:EFD32_t016
ko:K14227	efd:EFD32_t023
ko:K04027	efd:EFD32_1362
ko:K16898	efd:EFD32_0921
ko:K16899	efd:EFD32_0920
ko:K14225	efd:EFD32_t015
ko:K14225	efd:EFD32_t022
ko:K01980	efd:EFD32_r002
ko:K01980	efd:EFD32_r011
ko:K01980	efd:EFD32_r005
ko:K01980	efd:EFD32_r008
ko:K03574	efd:EFD32_0949
ko:K11070	efd:EFD32_2210
ko:K17319	efd:EFD32_1810
ko:K17467	efd:EFD32_2557
ko:K17195	efd:EFD32_1263
ko:K01992	efd:EFD32_0508
ko:K01992	efd:EFD32_2690
ko:K02029	efd:EFD32_0576
ko:K02030	efd:EFD32_0576
ko:K02029	efd:EFD32_0705
ko:K02030	efd:EFD32_0705
ko:K01990	efd:EFD32_1410
ko:K17319	efd:EFD32_1033
ko:K17318	efd:EFD32_1808
ko:K01990	efd:EFD32_0507
ko:K01990	efd:EFD32_1221
ko:K01992	efd:EFD32_1222
ko:K01990	efd:EFD32_2691
ko:K14230	efd:EFD32_t026
ko:K17318	efd:EFD32_1035
ko:K01760	efd:EFD32_0229
ko:K01738	efd:EFD32_0228
ko:K02032	efd:EFD32_2681
ko:K00073	efd:EFD32_0322
ko:K02028	efd:EFD32_0617
ko:K02028	efd:EFD32_0575
ko:K02028	efd:EFD32_0704
ko:K00951	efd:EFD32_1629
ko:K01598	efd:EFD32_2216
ko:K17320	efd:EFD32_1809
ko:K01537	efd:EFD32_1599
ko:K17076	efd:EFD32_0188
ko:K17465	efd:EFD32_2559
ko:K17464	efd:EFD32_2560
ko:K17466	efd:EFD32_2558
ko:K17073	efd:EFD32_0189
ko:K17074	efd:EFD32_0189
ko:K17473	efd:EFD32_2561
ko:K07271	efd:EFD32_1759
ko:K14230	efd:EFD32_t046
ko:K14219	efd:EFD32_t049
ko:K10112	efd:EFD32_0749
ko:K17624	efd:EFD32_1530
ko:K01992	efd:EFD32_1473
ko:K01992	efd:EFD32_2776
ko:K01533	efd:EFD32_0686
ko:K10112	efd:EFD32_2510
ko:K17686	efd:EFD32_0237
ko:K17836	efd:EFD32_1244
ko:K00226	efd:EFD32_0224
ko:K03767	efd:EFD32_1278
ko:K01791	efd:EFD32_1893
ko:K01791	efd:EFD32_2520
ko:K02768	efd:EFD32_0514
ko:K02026	efd:EFD32_1820
ko:K02027	efd:EFD32_1822
ko:K07284	efd:EFD32_2637
ko:K07284	efd:EFD32_0902
ko:K17828	efd:EFD32_1448
ko:K00537	efd:EFD32_2108
ko:K12574	efd:EFD32_2526
ko:K00661	efd:EFD32_0192
ko:K00661	efd:EFD32_0877
ko:K12574	efd:EFD32_0987
ko:K01187	efd:EFD32_1162
ko:K01187	efd:EFD32_1341
ko:K00561	efd:EFD32_pA0006
ko:K01487	efd:EFD32_2048
ko:K01838	efd:EFD32_2734
ko:K02809	efd:EFD32_2052
ko:K02810	efd:EFD32_2052
ko:K01071	efd:EFD32_0299
ko:K18149	efd:EFD32_2093
ko:K02770	efd:EFD32_1262
ko:K02794	efd:EFD32_2712
ko:K02794	efd:EFD32_2779
ko:K02794	efd:EFD32_0388
ko:K02794	efd:EFD32_1534
ko:K18231	efd:EFD32_1226
ko:K02476	efd:EFD32_1010
ko:K03488	efd:EFD32_0210
ko:K01727	efd:EFD32_0629
ko:K03588	efd:EFD32_1102
ko:K15580	efd:EFD32_1523
ko:K08258	efd:EFD32_1558
ko:K01442	efd:EFD32_1916
ko:K14983	efd:EFD32_1923
ko:K14983	efd:EFD32_1924
ko:K03210	efd:EFD32_1884
ko:K07668	efd:EFD32_2193
ko:K03427	efd:EFD32_2275
ko:K03700	efd:EFD32_2279
ko:K06147	efd:EFD32_2298
ko:K03529	efd:EFD32_2676
ko:K02428	efd:EFD32_2814
ko:K15580	efd:EFD32_pB0002
ko:K07052	efd:EFD32_pB0072
ko:K03742	efd:EFD32_2744
ko:K00571	efd:EFD32_1639
ko:K03328	efd:EFD32_0199
ko:K02003	efd:EFD32_1155
ko:K02004	efd:EFD32_1155
ko:K03293	efd:EFD32_0912
ko:K00020	efd:EFD32_2493
ko:K01239	efd:EFD32_2156
ko:K00001	efd:EFD32_0104
ko:K09684	efd:EFD32_0316
ko:K02005	efd:EFD32_0347
ko:K16869	efd:EFD32_0952
ko:K04028	efd:EFD32_1358
ko:K09022	efd:EFD32_2143
ko:K07483	efd:EFD32_0415
ko:K06889	efd:EFD32_1247
ko:K09022	efd:EFD32_0030
ko:K18581	efd:EFD32_1823
ko:K18581	efd:EFD32_0623
ko:K03703	efd:EFD32_1483
ko:K02031	efd:EFD32_2682
ko:K02001	efd:EFD32_2202
ko:K02002	efd:EFD32_2202
ko:K04750	efd:EFD32_0035
ko:K07104	efd:EFD32_2160
ko:K01727	efd:EFD32_2606
ko:K18672	efd:EFD32_1748
ko:K18682	efd:EFD32_2742
ko:K09951	efd:EFD32_0489
ko:K18692	efd:EFD32_1190
ko:K18924	efd:EFD32_0294
ko:K18925	efd:EFD32_0295
ko:K07171	efd:EFD32_0636
ko:K07171	efd:EFD32_2811
ko:K07171	efd:EFD32_1944
ko:K18892	efd:EFD32_0601
ko:K03790	efd:EFD32_2658
ko:K18891	efd:EFD32_0600
ko:K09692	efd:EFD32_1775
ko:K07171	efd:EFD32_0663
ko:K09693	efd:EFD32_1774
ko:K02107	efd:EFD32_1232
ko:K18929	efd:EFD32_0917
ko:K18888	efd:EFD32_2522
ko:K18887	efd:EFD32_2523
ko:K18928	efd:EFD32_0916
ko:K03832	efd:EFD32_2754
ko:K05593	efd:EFD32_2820
ko:K03497	efd:EFD32_2849
ko:K03496	efd:EFD32_2850
ko:K03169	efd:EFD32_pA0004
ko:K03205	efd:EFD32_pB0039
ko:K03111	efd:EFD32_pB0053
ko:K03502	efd:EFD32_pB0073
ko:K03111	efd:EFD32_0008
ko:K03502	efd:EFD32_0889
ko:K03169	efd:EFD32_1719
ko:K03111	efd:EFD32_1932
ko:K03111	efd:EFD32_1871
ko:K03205	efd:EFD32_1952
ko:K05593	efd:EFD32_2466
ko:K07483	efd:EFD32_1056
ko:K07483	efd:EFD32_1913
ko:K07483	efd:EFD32_1878
ko:K07483	efd:EFD32_2300
ko:K19002	efd:EFD32_2494
ko:K00335	efd:EFD32_1202
ko:K07498	efd:EFD32_pA0011
ko:K13052	efd:EFD32_0202
ko:K07483	efd:EFD32_1873
ko:K18979	efd:EFD32_1321
ko:K19005	efd:EFD32_1542
ko:K19005	efd:EFD32_1066
ko:K19225	efd:EFD32_2403
ko:K19159	efd:EFD32_1855
ko:K02475	efd:EFD32_1011
ko:K00798	efd:EFD32_1373
ko:K01710	efd:EFD32_1780
ko:K05881	efd:EFD32_1171
ko:K19068	efd:EFD32_1894
ko:K19137	efd:EFD32_0490
ko:K01215	efd:EFD32_1161
ko:K12952	efd:EFD32_1069
ko:K03722	efd:EFD32_1996
ko:K07496	efd:EFD32_0724
ko:K00839	efd:EFD32_2573
ko:K12952	efd:EFD32_1266
ko:K19505	efd:EFD32_1614
ko:K19302	efd:EFD32_0607
ko:K19350	efd:EFD32_2336
ko:K06867	efd:EFD32_0311
ko:K21977	efd:EFD32_2215
ko:K07149	efd:EFD32_1600
ko:K19507	efd:EFD32_1612
ko:K19507	efd:EFD32_2613
ko:K19508	efd:EFD32_2612
ko:K19504	efd:EFD32_1609
ko:K06881	efd:EFD32_1187
ko:K03483	efd:EFD32_0340
ko:K02777	efd:EFD32_2055
ko:K19506	efd:EFD32_1613
ko:K19510	efd:EFD32_1608
ko:K19508	efd:EFD32_1611
ko:K19509	efd:EFD32_1610
ko:K02796	efd:EFD32_2713
ko:K02796	efd:EFD32_2781
ko:K02796	efd:EFD32_0023
ko:K02796	efd:EFD32_0387
ko:K02796	efd:EFD32_0628
ko:K00526	efd:EFD32_0401
ko:K02796	efd:EFD32_1532
ko:K19784	efd:EFD32_1432
ko:K02538	efd:EFD32_1258
ko:K19802	efd:EFD32_1252
ko:K21636	efd:EFD32_2368
ko:K05770	efd:EFD32_1790
ko:K19975	efd:EFD32_1730
ko:K19976	efd:EFD32_1729
ko:K19973	efd:EFD32_1728
ko:K20074	efd:EFD32_2697
ko:K12132	efd:EFD32_2696
ko:K12132	efd:EFD32_2009
ko:K19506	efd:EFD32_2615
ko:K20265	efd:EFD32_0449
ko:K20265	efd:EFD32_0551
ko:K02777	efd:EFD32_0769
