ko:K19302	hpyg:HPOKI673_04330
ko:K00954	hpyg:HPOKI673_07370
ko:K03186	hpyg:HPOKI673_07375
ko:K02386	hpyg:HPOKI673_07380
ko:K03657	hpyg:HPOKI673_07385
ko:K01875	hpyg:HPOKI673_07395
ko:K03602	hpyg:HPOKI673_07405
ko:K03183	hpyg:HPOKI673_07410
ko:K08973	hpyg:HPOKI673_07415
ko:K01992	hpyg:HPOKI673_07430
ko:K01993	hpyg:HPOKI673_07435
ko:K03306	hpyg:HPOKI673_07450
ko:K01928	hpyg:HPOKI673_07465
ko:K00616	hpyg:HPOKI673_07470
ko:K02897	hpyg:HPOKI673_07475
ko:K01056	hpyg:HPOKI673_07480
ko:K11720	hpyg:HPOKI673_07485
ko:K07318	hpyg:HPOKI673_07490
ko:K09943	hpyg:HPOKI673_07515
ko:K17686	hpyg:HPOKI673_07520
ko:K11752	hpyg:HPOKI673_07530
ko:K03312	hpyg:HPOKI673_07535
ko:K00290	hpyg:HPOKI673_07540
ko:K08591	hpyg:HPOKI673_07550
ko:K01633	hpyg:HPOKI673_07555
ko:K02014	hpyg:HPOKI673_07565
ko:K01042	hpyg:HPOKI673_07570
ko:K02600	hpyg:HPOKI673_07575
ko:K01156	hpyg:HPOKI673_07605
ko:K03711	hpyg:HPOKI673_02200
ko:K07478	hpyg:HPOKI673_02205
ko:K13640	hpyg:HPOKI673_02210
ko:K05516	hpyg:HPOKI673_02215
ko:K12506	hpyg:HPOKI673_02240
ko:K16235	hpyg:HPOKI673_02250
ko:K00995	hpyg:HPOKI673_02255
ko:K00076	hpyg:HPOKI673_02265
ko:K01714	hpyg:HPOKI673_02270
ko:K00254	hpyg:HPOKI673_02280
ko:K00937	hpyg:HPOKI673_02285
ko:K01154	hpyg:HPOKI673_02295
ko:K03427	hpyg:HPOKI673_02300
ko:K08602	hpyg:HPOKI673_02335
ko:K02020	hpyg:HPOKI673_02355
ko:K02018	hpyg:HPOKI673_02360
ko:K02017	hpyg:HPOKI673_02365
ko:K01885	hpyg:HPOKI673_02370
ko:K06207	hpyg:HPOKI673_02390
ko:K02948	hpyg:HPOKI673_06530
ko:K02952	hpyg:HPOKI673_06535
ko:K02919	hpyg:HPOKI673_06540
ko:K02518	hpyg:HPOKI673_06545
ko:K01265	hpyg:HPOKI673_06550
ko:K11785	hpyg:HPOKI673_00840
ko:K01689	hpyg:HPOKI673_00850
ko:K00891	hpyg:HPOKI673_00865
ko:K03279	hpyg:HPOKI673_00875
ko:K03438	hpyg:HPOKI673_03570
ko:K07023	hpyg:HPOKI673_03600
ko:K03092	hpyg:HPOKI673_03605
ko:K06861	hpyg:HPOKI673_03610
ko:K06925	hpyg:HPOKI673_03615
ko:K02343	hpyg:HPOKI673_03620
ko:K06895	hpyg:HPOKI673_03625
ko:K01424	hpyg:HPOKI673_03645
ko:K07791	hpyg:HPOKI673_03650
ko:K15848	hpyg:HPOKI673_03655
ko:K05540	hpyg:HPOKI673_03670
ko:K04075	hpyg:HPOKI673_03675
ko:K00769	hpyg:HPOKI673_03710
ko:K01095	hpyg:HPOKI673_03720
ko:K01921	hpyg:HPOKI673_03725
ko:K01929	hpyg:HPOKI673_03735
ko:K00948	hpyg:HPOKI673_03745
ko:K06180	hpyg:HPOKI673_03765
ko:K09812	hpyg:HPOKI673_03780
ko:K09811	hpyg:HPOKI673_03785
ko:K06603	hpyg:HPOKI673_03795
ko:K02407	hpyg:HPOKI673_03800
ko:K02422	hpyg:HPOKI673_03805
ko:K12251	hpyg:HPOKI673_03825
ko:K07084	hpyg:HPOKI673_03835
ko:K18682	hpyg:HPOKI673_03845
ko:K00031	hpyg:HPOKI673_07885
ko:K01647	hpyg:HPOKI673_07890
ko:K03760	hpyg:HPOKI673_07920
ko:K12977	hpyg:HPOKI673_07925
ko:K13747	hpyg:HPOKI673_07930
ko:K03415	hpyg:HPOKI673_07935
ko:K09859	hpyg:HPOKI673_07940
ko:K00566	hpyg:HPOKI673_07965
ko:K04078	hpyg:HPOKI673_07975
ko:K04077	hpyg:HPOKI673_07980
ko:K15845	hpyg:HPOKI673_07990
ko:K01918	hpyg:HPOKI673_08025
ko:K01591	hpyg:HPOKI673_08030
ko:K01673	hpyg:HPOKI673_08035
ko:K01627	hpyg:HPOKI673_08040
ko:K00794	hpyg:HPOKI673_08045
ko:K07126	hpyg:HPOKI673_00880
ko:K01698	hpyg:HPOKI673_00890
ko:K02484	hpyg:HPOKI673_00895
ko:K08303	hpyg:HPOKI673_00915
ko:K02836	hpyg:HPOKI673_00925
ko:K02421	hpyg:HPOKI673_00940
ko:K01624	hpyg:HPOKI673_00960
ko:K02356	hpyg:HPOKI673_00965
ko:K15898	hpyg:HPOKI673_00975
ko:K02003	hpyg:HPOKI673_00980
ko:K03820	hpyg:HPOKI673_00985
ko:K03558	hpyg:HPOKI673_00990
ko:K04567	hpyg:HPOKI673_00995
ko:K00600	hpyg:HPOKI673_01000
ko:K00245	hpyg:HPOKI673_01030
ko:K00244	hpyg:HPOKI673_01035
ko:K00246	hpyg:HPOKI673_01040
ko:K01803	hpyg:HPOKI673_01045
ko:K00208	hpyg:HPOKI673_01050
ko:K02536	hpyg:HPOKI673_01055
ko:K00789	hpyg:HPOKI673_01060
ko:K00940	hpyg:HPOKI673_01065
ko:K02911	hpyg:HPOKI673_01075
ko:K03621	hpyg:HPOKI673_01080
ko:K00648	hpyg:HPOKI673_01085
ko:K01889	hpyg:HPOKI673_05205
ko:K01890	hpyg:HPOKI673_05210
ko:K00800	hpyg:HPOKI673_05215
ko:K03527	hpyg:HPOKI673_05220
ko:K02945	hpyg:HPOKI673_05225
ko:K00058	hpyg:HPOKI673_05235
ko:K03182	hpyg:HPOKI673_05240
ko:K06997	hpyg:HPOKI673_05245
ko:K03269	hpyg:HPOKI673_05250
ko:K03415	hpyg:HPOKI673_05255
ko:K03407	hpyg:HPOKI673_05260
ko:K03408	hpyg:HPOKI673_05265
ko:K11065	hpyg:HPOKI673_05275
ko:K04564	hpyg:HPOKI673_05280
ko:K15256	hpyg:HPOKI673_05285
ko:K04066	hpyg:HPOKI673_05290
ko:K06013	hpyg:HPOKI673_05315
ko:K02493	hpyg:HPOKI673_05320
ko:K00262	hpyg:HPOKI673_05325
ko:K01772	hpyg:HPOKI673_05345
ko:K09761	hpyg:HPOKI673_05355
ko:K01494	hpyg:HPOKI673_05365
ko:K02160	hpyg:HPOKI673_05370
ko:K01961	hpyg:HPOKI673_05375
ko:K15895	hpyg:HPOKI673_05395
ko:K00573	hpyg:HPOKI673_05410
ko:K07091	hpyg:HPOKI673_05415
ko:K06173	hpyg:HPOKI673_05420
ko:K01784	hpyg:HPOKI673_05425
ko:K07126	hpyg:HPOKI673_05450
ko:K01625	hpyg:HPOKI673_05455
ko:K01690	hpyg:HPOKI673_05460
ko:K00036	hpyg:HPOKI673_05465
ko:K01057	hpyg:HPOKI673_05470
ko:K00845	hpyg:HPOKI673_05475
ko:K19157	hpyg:HPOKI673_01100
ko:K03593	hpyg:HPOKI673_01115
ko:K04079	hpyg:HPOKI673_01130
ko:K01439	hpyg:HPOKI673_01150
ko:K03495	hpyg:HPOKI673_01155
ko:K14445	hpyg:HPOKI673_01160
ko:K00981	hpyg:HPOKI673_01165
ko:K00099	hpyg:HPOKI673_01170
ko:K06910	hpyg:HPOKI673_01180
ko:K04487	hpyg:HPOKI673_01190
ko:K13819	hpyg:HPOKI673_01195
ko:K04485	hpyg:HPOKI673_01210
ko:K12267	hpyg:HPOKI673_01220
ko:K07090	hpyg:HPOKI673_01230
ko:K03321	hpyg:HPOKI673_01240
ko:K00979	hpyg:HPOKI673_01255
ko:K03981	hpyg:HPOKI673_01260
ko:K07126	hpyg:HPOKI673_01285
ko:K01749	hpyg:HPOKI673_01295
ko:K01881	hpyg:HPOKI673_01300
ko:K02492	hpyg:HPOKI673_01305
ko:K02523	hpyg:HPOKI673_01310
ko:K04047	hpyg:HPOKI673_01325
ko:K07710	hpyg:HPOKI673_01330
ko:K02394	hpyg:HPOKI673_01340
ko:K05592	hpyg:HPOKI673_01345
ko:K13896	hpyg:HPOKI673_01360
ko:K13895	hpyg:HPOKI673_01365
ko:K13979	hpyg:HPOKI673_05480
ko:K00172	hpyg:HPOKI673_05505
ko:K00171	hpyg:HPOKI673_05510
ko:K00169	hpyg:HPOKI673_05515
ko:K00170	hpyg:HPOKI673_05520
ko:K01756	hpyg:HPOKI673_05525
ko:K03702	hpyg:HPOKI673_05535
ko:K07126	hpyg:HPOKI673_05550
ko:K00681	hpyg:HPOKI673_05555
ko:K02396	hpyg:HPOKI673_05560
ko:K03775	hpyg:HPOKI673_05585
ko:K03640	hpyg:HPOKI673_05595
ko:K03641	hpyg:HPOKI673_05600
ko:K03559	hpyg:HPOKI673_05610
ko:K02114	hpyg:HPOKI673_05620
ko:K02112	hpyg:HPOKI673_05625
ko:K02115	hpyg:HPOKI673_05630
ko:K02111	hpyg:HPOKI673_05635
ko:K02113	hpyg:HPOKI673_05640
ko:K02109	hpyg:HPOKI673_05645
ko:K02109	hpyg:HPOKI673_05650
ko:K03497	hpyg:HPOKI673_05655
ko:K03496	hpyg:HPOKI673_05660
ko:K03524	hpyg:HPOKI673_05665
ko:K00604	hpyg:HPOKI673_05670
ko:K02884	hpyg:HPOKI673_05710
ko:K00554	hpyg:HPOKI673_05715
ko:K02860	hpyg:HPOKI673_05720
ko:K06960	hpyg:HPOKI673_05725
ko:K02959	hpyg:HPOKI673_05730
ko:K02556	hpyg:HPOKI673_04130
ko:K02557	hpyg:HPOKI673_04135
ko:K05847	hpyg:HPOKI673_04160
ko:K03703	hpyg:HPOKI673_04175
ko:K00003	hpyg:HPOKI673_04180
ko:K07460	hpyg:HPOKI673_04185
ko:K03671	hpyg:HPOKI673_04190
ko:K00384	hpyg:HPOKI673_04195
ko:K07270	hpyg:HPOKI673_04205
ko:K02108	hpyg:HPOKI673_04220
ko:K00088	hpyg:HPOKI673_04225
ko:K02433	hpyg:HPOKI673_04230
ko:K00859	hpyg:HPOKI673_04235
ko:K00797	hpyg:HPOKI673_04240
ko:K03977	hpyg:HPOKI673_04250
ko:K03530	hpyg:HPOKI673_04255
ko:K09860	hpyg:HPOKI673_04270
ko:K15894	hpyg:HPOKI673_04285
ko:K13038	hpyg:HPOKI673_04290
ko:K00941	hpyg:HPOKI673_04305
ko:K00878	hpyg:HPOKI673_04310
ko:K01153	hpyg:HPOKI673_04315
ko:K01154	hpyg:HPOKI673_04320
ko:K03427	hpyg:HPOKI673_04325
ko:K09805	hpyg:HPOKI673_04335
ko:K00364	hpyg:HPOKI673_04345
ko:K03271	hpyg:HPOKI673_04350
ko:K03272	hpyg:HPOKI673_04355
ko:K03274	hpyg:HPOKI673_04360
ko:K03273	hpyg:HPOKI673_04365
ko:K07126	hpyg:HPOKI673_01800
ko:K07448	hpyg:HPOKI673_01935
ko:K00525	hpyg:HPOKI673_03440
ko:K04771	hpyg:HPOKI673_02245
ko:K07317	hpyg:HPOKI673_04620
ko:K01992	hpyg:HPOKI673_07425
ko:K07496	hpyg:HPOKI673_00295
ko:K07496	hpyg:HPOKI673_00460
ko:K07496	hpyg:HPOKI673_06470
ko:K19416	hpyg:HPOKI673_04660
ko:K12053	hpyg:HPOKI673_02565
ko:K12053	hpyg:HPOKI673_07945
ko:K12052	hpyg:HPOKI673_07835
ko:K14229	hpyg:HPOKI673_08000
ko:K14224	hpyg:HPOKI673_08020
ko:K14224	hpyg:HPOKI673_08005
ko:K14221	hpyg:HPOKI673_08015
ko:K14237	hpyg:HPOKI673_08010
ko:K14237	hpyg:HPOKI673_00430
ko:K20151	hpyg:HPOKI673_05330
ko:K20810	hpyg:HPOKI673_01450
ko:K20151	hpyg:HPOKI673_03310
ko:K14218	hpyg:HPOKI673_05435
ko:K14227	hpyg:HPOKI673_05430
ko:K14235	hpyg:HPOKI673_06020
ko:K14233	hpyg:HPOKI673_02010
ko:K01980	hpyg:HPOKI673_05070
ko:K01985	hpyg:HPOKI673_05060
ko:K01985	hpyg:HPOKI673_06985
ko:K01978	hpyg:HPOKI673_03035
ko:K14218	hpyg:HPOKI673_01370
ko:K14219	hpyg:HPOKI673_01770
ko:K14223	hpyg:HPOKI673_04555
ko:K14222	hpyg:HPOKI673_04800
ko:K14226	hpyg:HPOKI673_05150
ko:K12052	hpyg:HPOKI673_02450
ko:K01977	hpyg:HPOKI673_05695
ko:K01977	hpyg:HPOKI673_07185
ko:K14219	hpyg:HPOKI673_05145
ko:K11028	hpyg:HPOKI673_04505
ko:K07100	hpyg:HPOKI673_06100
ko:K02335	hpyg:HPOKI673_07345
ko:K02335	hpyg:HPOKI673_02225
ko:K02314	hpyg:HPOKI673_06880
ko:K06223	hpyg:HPOKI673_07495
ko:K03465	hpyg:HPOKI673_07665
ko:K00558	hpyg:HPOKI673_07770
ko:K02316	hpyg:HPOKI673_07970
ko:K01520	hpyg:HPOKI673_04390
ko:K00558	hpyg:HPOKI673_00305
ko:K03553	hpyg:HPOKI673_00845
ko:K00558	hpyg:HPOKI673_05570
ko:K06223	hpyg:HPOKI673_02395
ko:K00558	hpyg:HPOKI673_02405
ko:K07097	hpyg:HPOKI673_02125
ko:K02483	hpyg:HPOKI673_06895
ko:K00526	hpyg:HPOKI673_05405
ko:K02481	hpyg:HPOKI673_03555
ko:K01139	hpyg:HPOKI673_03925
ko:K02483	hpyg:HPOKI673_02120
ko:K10026	hpyg:HPOKI673_04725
ko:K21929	hpyg:HPOKI673_03305
ko:K03595	hpyg:HPOKI673_02780
ko:K22278	hpyg:HPOKI673_01665
ko:K14441	hpyg:HPOKI673_03705
ko:K22391	hpyg:HPOKI673_04880
ko:K17758	hpyg:HPOKI673_06885
ko:K17759	hpyg:HPOKI673_06885
ko:K00571	hpyg:HPOKI673_06830
ko:K01007	hpyg:HPOKI673_00675
