ko:K08744	mtj:J112_09730
ko:K01637	mtj:J112_10205
ko:K06916	mtj:J112_14310
ko:K01599	mtj:J112_14355
ko:K03684	mtj:J112_14370
ko:K01662	mtj:J112_14380
ko:K00886	mtj:J112_14480
ko:K03086	mtj:J112_14485
ko:K07058	mtj:J112_14505
ko:K00322	mtj:J112_14535
ko:K07738	mtj:J112_14560
ko:K03040	mtj:J112_18600
ko:K02986	mtj:J112_18605
ko:K02948	mtj:J112_18610
ko:K02952	mtj:J112_18615
ko:K02919	mtj:J112_18620
ko:K02518	mtj:J112_18625
ko:K01790	mtj:J112_18640
ko:K01666	mtj:J112_18655
ko:K01652	mtj:J112_18660
ko:K00697	mtj:J112_18765
ko:K02066	mtj:J112_18815
ko:K02066	mtj:J112_18820
ko:K03271	mtj:J112_00625
ko:K03273	mtj:J112_00630
ko:K02355	mtj:J112_00665
ko:K05343	mtj:J112_00695
ko:K03281	mtj:J112_00785
ko:K09958	mtj:J112_00855
ko:K00324	mtj:J112_00860
ko:K00324	mtj:J112_00865
ko:K00325	mtj:J112_00870
ko:K02003	mtj:J112_05325
ko:K00963	mtj:J112_05360
ko:K03750	mtj:J112_05365
ko:K03790	mtj:J112_05370
ko:K07056	mtj:J112_05420
ko:K01665	mtj:J112_05430
ko:K01874	mtj:J112_05440
ko:K03424	mtj:J112_05445
ko:K02528	mtj:J112_05455
ko:K00919	mtj:J112_05460
ko:K01056	mtj:J112_05470
ko:K02897	mtj:J112_05475
ko:K00948	mtj:J112_05485
ko:K04042	mtj:J112_05490
ko:K03723	mtj:J112_05500
ko:K01689	mtj:J112_05515
ko:K01524	mtj:J112_05530
ko:K07667	mtj:J112_05540
ko:K07646	mtj:J112_05545
ko:K01546	mtj:J112_05560
ko:K01547	mtj:J112_05565
ko:K01548	mtj:J112_05570
ko:K01637	mtj:J112_10210
ko:K09166	mtj:J112_10270
ko:K11065	mtj:J112_10295
ko:K14652	mtj:J112_10335
ko:K02066	mtj:J112_10470
ko:K02066	mtj:J112_10475
ko:K01356	mtj:J112_14570
ko:K03665	mtj:J112_14600
ko:K01778	mtj:J112_14605
ko:K00791	mtj:J112_14610
ko:K06168	mtj:J112_14635
ko:K03565	mtj:J112_14650
ko:K00995	mtj:J112_14715
ko:K03466	mtj:J112_14725
ko:K01714	mtj:J112_14750
ko:K03427	mtj:J112_14765
ko:K09927	mtj:J112_14795
ko:K01061	mtj:J112_14810
ko:K01666	mtj:J112_19030
ko:K07107	mtj:J112_00910
ko:K02066	mtj:J112_00930
ko:K02066	mtj:J112_00935
ko:K06911	mtj:J112_01000
ko:K03088	mtj:J112_01005
ko:K05349	mtj:J112_01025
ko:K01687	mtj:J112_01045
ko:K03439	mtj:J112_01140
ko:K07001	mtj:J112_05740
ko:K07001	mtj:J112_05745
ko:K01697	mtj:J112_05815
ko:K03624	mtj:J112_05830
ko:K06888	mtj:J112_05850
ko:K11068	mtj:J112_05855
ko:K09131	mtj:J112_10585
ko:K05596	mtj:J112_10590
ko:K06895	mtj:J112_10595
ko:K01194	mtj:J112_10730
ko:K07133	mtj:J112_10740
ko:K00215	mtj:J112_14850
ko:K07044	mtj:J112_14870
ko:K00259	mtj:J112_14885
ko:K00459	mtj:J112_14890
ko:K00962	mtj:J112_14900
ko:K02956	mtj:J112_14910
ko:K11753	mtj:J112_14915
ko:K06978	mtj:J112_14985
ko:K15342	mtj:J112_15085
ko:K04781	mtj:J112_12800
ko:K02338	mtj:J112_00010
ko:K03629	mtj:J112_00015
ko:K02313	mtj:J112_00005
ko:K17218	mtj:J112_01785
ko:K07682	mtj:J112_16795
ko:K14220	mtj:J112_t21145
ko:K14232	mtj:J112_t21147
ko:K14222	mtj:J112_t21161
ko:K12445	mtj:J112_15805
ko:K15581	mtj:J112_19700
ko:K19311	mtj:J112_17195
ko:K01990	mtj:J112_09005
ko:K14228	mtj:J112_t21101
ko:K14233	mtj:J112_t21185
ko:K14233	mtj:J112_t21179
ko:K14233	mtj:J112_t21183
ko:K14233	mtj:J112_t21177
ko:K14232	mtj:J112_t21175
ko:K14234	mtj:J112_t21113
ko:K14229	mtj:J112_t21115
ko:K14221	mtj:J112_t21119
ko:K14219	mtj:J112_t21123
ko:K14218	mtj:J112_t21125
ko:K14223	mtj:J112_t21127
ko:K14228	mtj:J112_t21129
ko:K14219	mtj:J112_t21131
ko:K14229	mtj:J112_t21155
ko:K07045	mtj:J112_10015
ko:K07045	mtj:J112_12325
ko:K14230	mtj:J112_t21143
ko:K14237	mtj:J112_t21141
ko:K14228	mtj:J112_t21135
ko:K14237	mtj:J112_t21157
ko:K14225	mtj:J112_t21159
ko:K14218	mtj:J112_t21169
ko:K14235	mtj:J112_t21111
ko:K14234	mtj:J112_t21107
ko:K14225	mtj:J112_t21103
ko:K14218	mtj:J112_t21099
ko:K14236	mtj:J112_t21105
ko:K14230	mtj:J112_t21109
ko:K14224	mtj:J112_t21117
ko:K14231	mtj:J112_t21121
ko:K14228	mtj:J112_t21133
ko:K14232	mtj:J112_t21137
ko:K14225	mtj:J112_t21149
ko:K14219	mtj:J112_t21151
ko:K14226	mtj:J112_t21153
ko:K14230	mtj:J112_t21171
ko:K14219	mtj:J112_t21181
ko:K01985	mtj:J112_r21187
ko:K01990	mtj:J112_15715
ko:K01990	mtj:J112_06565
ko:K01990	mtj:J112_07835
ko:K00951	mtj:J112_13855
ko:K00265	mtj:J112_20745
ko:K03574	mtj:J112_02200
ko:K17103	mtj:J112_02325
ko:K01977	mtj:J112_r21189
ko:K02484	mtj:J112_20230
ko:K01897	mtj:J112_11730
ko:K02484	mtj:J112_03215
ko:K02484	mtj:J112_03220
ko:K02484	mtj:J112_04080
ko:K14227	mtj:J112_t21097
ko:K14228	mtj:J112_t21139
ko:K14224	mtj:J112_t21165
ko:K14223	mtj:J112_t21167
ko:K01980	mtj:J112_r21191
ko:K15580	mtj:J112_19705
ko:K15582	mtj:J112_19695
ko:K14237	mtj:J112_t21163
ko:K10112	mtj:J112_10905
ko:K00058	mtj:J112_03890
ko:K00854	mtj:J112_03895
ko:K00939	mtj:J112_03915
ko:K00121	mtj:J112_04095
ko:K05917	mtj:J112_04110
ko:K01814	mtj:J112_08585
ko:K01817	mtj:J112_08585
ko:K01092	mtj:J112_08590
ko:K01496	mtj:J112_08600
ko:K16012	mtj:J112_08670
ko:K16013	mtj:J112_08675
ko:K01515	mtj:J112_09070
ko:K04763	mtj:J112_09075
ko:K00545	mtj:J112_09085
ko:K11263	mtj:J112_13415
ko:K00666	mtj:J112_13435
ko:K06902	mtj:J112_13450
ko:K05522	mtj:J112_17715
ko:K03932	mtj:J112_17720
ko:K06177	mtj:J112_17730
ko:K03783	mtj:J112_17765
ko:K01488	mtj:J112_17805
ko:K00758	mtj:J112_17810
ko:K01489	mtj:J112_17815
ko:K00241	mtj:J112_17820
ko:K07258	mtj:J112_17900
ko:K01607	mtj:J112_04145
ko:K06986	mtj:J112_04220
ko:K07077	mtj:J112_04225
ko:K07052	mtj:J112_04320
ko:K02619	mtj:J112_04360
ko:K01011	mtj:J112_04380
ko:K15520	mtj:J112_04400
ko:K01259	mtj:J112_04515
ko:K02480	mtj:J112_04540
ko:K01796	mtj:J112_04595
ko:K01782	mtj:J112_04625
ko:K10843	mtj:J112_04630
ko:K03635	mtj:J112_04655
ko:K09146	mtj:J112_08730
ko:K14340	mtj:J112_08745
ko:K16167	mtj:J112_08880
ko:K16167	mtj:J112_08905
ko:K01823	mtj:J112_09310
ko:K00666	mtj:J112_09340
ko:K14743	mtj:J112_09605
ko:K02004	mtj:J112_13755
ko:K07054	mtj:J112_13815
ko:K03768	mtj:J112_13850
ko:K02035	mtj:J112_13865
ko:K07250	mtj:J112_13885
ko:K12421	mtj:J112_13890
ko:K06945	mtj:J112_18090
ko:K07131	mtj:J112_18100
ko:K01426	mtj:J112_18165
ko:K07025	mtj:J112_18170
ko:K13787	mtj:J112_18205
ko:K13787	mtj:J112_18285
ko:K01664	mtj:J112_00080
ko:K00652	mtj:J112_00175
ko:K04750	mtj:J112_04770
ko:K07655	mtj:J112_04865
ko:K07671	mtj:J112_04870
ko:K01962	mtj:J112_04875
ko:K01963	mtj:J112_04875
ko:K01692	mtj:J112_04880
ko:K11159	mtj:J112_04930
ko:K00626	mtj:J112_04935
ko:K00076	mtj:J112_05005
ko:K00088	mtj:J112_09830
ko:K00033	mtj:J112_09835
ko:K08256	mtj:J112_14005
ko:K03333	mtj:J112_18340
ko:K00088	mtj:J112_18345
ko:K01409	mtj:J112_18395
ko:K01580	mtj:J112_18480
ko:K14743	mtj:J112_18565
ko:K09118	mtj:J112_00340
ko:K02004	mtj:J112_00395
ko:K01243	mtj:J112_00505
ko:K12949	mtj:J112_00510
ko:K02351	mtj:J112_00565
ko:K07245	mtj:J112_00565
ko:K12949	mtj:J112_00570
ko:K12955	mtj:J112_00595
ko:K10563	mtj:J112_05085
ko:K04093	mtj:J112_05115
ko:K03405	mtj:J112_05170
ko:K01692	mtj:J112_05245
ko:K01965	mtj:J112_05255
ko:K07669	mtj:J112_05300
ko:K07653	mtj:J112_05305
ko:K08372	mtj:J112_05310
ko:K02017	mtj:J112_09910
ko:K13953	mtj:J112_09925
ko:K07052	mtj:J112_09930
ko:K00626	mtj:J112_09950
ko:K00101	mtj:J112_09975
ko:K04093	mtj:J112_10045
ko:K08178	mtj:J112_10135
ko:K06910	mtj:J112_10180
ko:K06910	mtj:J112_10185
ko:K16647	mtj:J112_14325
ko:K07305	mtj:J112_14330
ko:K01692	mtj:J112_14360
ko:K16905	mtj:J112_14400
ko:K16906	mtj:J112_14405
ko:K16907	mtj:J112_14410
ko:K03499	mtj:J112_14425
ko:K03499	mtj:J112_14430
ko:K01092	mtj:J112_14475
ko:K03087	mtj:J112_14520
ko:K03709	mtj:J112_14525
ko:K02067	mtj:J112_18785
ko:K02067	mtj:J112_18790
ko:K02067	mtj:J112_18795
ko:K02067	mtj:J112_18800
ko:K02067	mtj:J112_18805
ko:K02067	mtj:J112_18810
ko:K00059	mtj:J112_18825
ko:K05337	mtj:J112_18830
ko:K00666	mtj:J112_18845
ko:K07031	mtj:J112_00635
ko:K01577	mtj:J112_00655
ko:K16146	mtj:J112_00700
ko:K07304	mtj:J112_00755
ko:K01104	mtj:J112_00845
ko:K02004	mtj:J112_05330
ko:K00805	mtj:J112_05340
ko:K01478	mtj:J112_05410
ko:K00666	mtj:J112_05465
ko:K02428	mtj:J112_05505
ko:K09009	mtj:J112_05525
ko:K07656	mtj:J112_05575
ko:K07672	mtj:J112_05580
ko:K00666	mtj:J112_10260
ko:K01692	mtj:J112_10310
ko:K02067	mtj:J112_10480
ko:K02067	mtj:J112_10485
ko:K02067	mtj:J112_10490
ko:K02067	mtj:J112_10495
ko:K02067	mtj:J112_10500
ko:K02067	mtj:J112_10505
ko:K05794	mtj:J112_14590
ko:K10533	mtj:J112_14675
ko:K00619	mtj:J112_14720
ko:K01692	mtj:J112_18930
ko:K16046	mtj:J112_18940
ko:K00626	mtj:J112_18965
ko:K15982	mtj:J112_18980
ko:K04073	mtj:J112_19035
ko:K15981	mtj:J112_19085
ko:K00626	mtj:J112_19090
ko:K01692	mtj:J112_19110
ko:K00626	mtj:J112_19145
ko:K00666	mtj:J112_00925
ko:K02067	mtj:J112_00940
ko:K02067	mtj:J112_00945
ko:K02067	mtj:J112_00950
ko:K02067	mtj:J112_00960
ko:K02067	mtj:J112_00965
ko:K07386	mtj:J112_01090
ko:K06860	mtj:J112_01135
ko:K01596	mtj:J112_01155
ko:K00666	mtj:J112_05720
ko:K01692	mtj:J112_05780
ko:K01692	mtj:J112_05785
ko:K00626	mtj:J112_05800
ko:K12503	mtj:J112_05860
ko:K12953	mtj:J112_10675
ko:K00038	mtj:J112_10705
ko:K07028	mtj:J112_10720
ko:K03709	mtj:J112_14925
ko:K03177	mtj:J112_14950
ko:K09002	mtj:J112_15110
ko:K00622	mtj:J112_19200
ko:K16049	mtj:J112_19215
ko:K16050	mtj:J112_19220
ko:K16047	mtj:J112_19225
ko:K15983	mtj:J112_19230
ko:K07067	mtj:J112_19305
ko:K14733	mtj:J112_19455
ko:K01692	mtj:J112_01210
ko:K07048	mtj:J112_01250
ko:K00135	mtj:J112_01270
ko:K16648	mtj:J112_01280
ko:K00059	mtj:J112_01315
ko:K00626	mtj:J112_01320
ko:K01719	mtj:J112_01400
ko:K00666	mtj:J112_01455
ko:K00867	mtj:J112_05900
ko:K03922	mtj:J112_05910
ko:K01679	mtj:J112_05930
ko:K02446	mtj:J112_05935
ko:K16045	mtj:J112_05975
ko:K00033	mtj:J112_06050
ko:K00626	mtj:J112_06125
ko:K16168	mtj:J112_06145
ko:K07052	mtj:J112_06150
ko:K01692	mtj:J112_06155
ko:K16370	mtj:J112_10860
ko:K02025	mtj:J112_10915
ko:K03929	mtj:J112_10940
ko:K02077	mtj:J112_11010
ko:K13540	mtj:J112_11055
ko:K00595	mtj:J112_11085
ko:K01692	mtj:J112_15165
ko:K05816	mtj:J112_15170
ko:K05815	mtj:J112_15180
ko:K05814	mtj:J112_15185
ko:K03404	mtj:J112_15260
ko:K02348	mtj:J112_15265
ko:K04652	mtj:J112_15295
ko:K04652	mtj:J112_15300
ko:K06976	mtj:J112_15360
ko:K01507	mtj:J112_19505
ko:K09153	mtj:J112_19525
ko:K01784	mtj:J112_19535
ko:K06877	mtj:J112_19615
ko:K14743	mtj:J112_01590
ko:K00598	mtj:J112_01605
ko:K01692	mtj:J112_06160
ko:K01796	mtj:J112_06165
ko:K06994	mtj:J112_06180
ko:K13669	mtj:J112_06265
ko:K01724	mtj:J112_06270
ko:K00374	mtj:J112_06295
ko:K15525	mtj:J112_06325
ko:K11779	mtj:J112_06345
ko:K00219	mtj:J112_06355
ko:K06994	mtj:J112_06390
ko:K12423	mtj:J112_06400
ko:K00294	mtj:J112_06410
ko:K03727	mtj:J112_11205
ko:K13573	mtj:J112_11220
ko:K13571	mtj:J112_11230
ko:K13570	mtj:J112_11305
ko:K13527	mtj:J112_11325
ko:K09764	mtj:J112_11335
ko:K07442	mtj:J112_11340
ko:K01523	mtj:J112_11360
ko:K00548	mtj:J112_11375
ko:K15526	mtj:J112_11410
ko:K01082	mtj:J112_11415
ko:K01426	mtj:J112_15465
ko:K07258	mtj:J112_15585
ko:K10563	mtj:J112_15655
ko:K12426	mtj:J112_15680
ko:K12440	mtj:J112_15685
ko:K02342	mtj:J112_19945
ko:K07009	mtj:J112_19955
ko:K13640	mtj:J112_01895
ko:K07161	mtj:J112_01975
ko:K03518	mtj:J112_02005
ko:K03519	mtj:J112_02010
ko:K00674	mtj:J112_06480
ko:K01439	mtj:J112_06485
ko:K00666	mtj:J112_06505
ko:K13693	mtj:J112_06515
ko:K16148	mtj:J112_06535
ko:K08981	mtj:J112_06605
ko:K09167	mtj:J112_06610
ko:K03593	mtj:J112_06625
ko:K02025	mtj:J112_06660
ko:K01616	mtj:J112_06720
ko:K06910	mtj:J112_11470
ko:K13787	mtj:J112_11655
ko:K13671	mtj:J112_11700
ko:K12441	mtj:J112_15695
ko:K12443	mtj:J112_15705
ko:K12444	mtj:J112_15710
ko:K12427	mtj:J112_15740
ko:K06994	mtj:J112_15745
ko:K12430	mtj:J112_15770
ko:K12430	mtj:J112_15775
ko:K01958	mtj:J112_15885
ko:K07030	mtj:J112_15925
ko:K14941	mtj:J112_15970
ko:K09966	mtj:J112_20135
ko:K04517	mtj:J112_20180
ko:K14953	mtj:J112_20225
ko:K01692	mtj:J112_20290
ko:K06994	mtj:J112_02145
ko:K14949	mtj:J112_02185
ko:K03153	mtj:J112_02210
ko:K01426	mtj:J112_06800
ko:K06147	mtj:J112_06855
ko:K06147	mtj:J112_06860
ko:K02035	mtj:J112_06895
ko:K02033	mtj:J112_06910
ko:K02851	mtj:J112_07015
ko:K13668	mtj:J112_11735
ko:K02342	mtj:J112_11755
ko:K03889	mtj:J112_11770
ko:K03890	mtj:J112_11775
ko:K03891	mtj:J112_11780
ko:K00856	mtj:J112_11810
ko:K01104	mtj:J112_11995
ko:K01885	mtj:J112_16015
ko:K00058	mtj:J112_16035
ko:K16149	mtj:J112_16235
ko:K16150	mtj:J112_16240
ko:K16649	mtj:J112_20335
ko:K16653	mtj:J112_20375
ko:K16652	mtj:J112_20380
ko:K13686	mtj:J112_20385
ko:K11387	mtj:J112_20390
ko:K11385	mtj:J112_20395
ko:K11386	mtj:J112_20400
ko:K12437	mtj:J112_20425
ko:K12428	mtj:J112_20435
ko:K13687	mtj:J112_20455
ko:K14136	mtj:J112_20460
ko:K16650	mtj:J112_20470
ko:K01854	mtj:J112_20475
ko:K14952	mtj:J112_20530
ko:K06994	mtj:J112_20555
ko:K06994	mtj:J112_02395
ko:K01692	mtj:J112_02425
ko:K01322	mtj:J112_02435
ko:K16645	mtj:J112_02530
ko:K01619	mtj:J112_02545
ko:K15521	mtj:J112_02585
ko:K01834	mtj:J112_02605
ko:K07768	mtj:J112_02610
ko:K07776	mtj:J112_02615
ko:K00567	mtj:J112_07090
ko:K07503	mtj:J112_07120
ko:K00626	mtj:J112_07130
ko:K00700	mtj:J112_07155
ko:K02428	mtj:J112_07230
ko:K01909	mtj:J112_07250
ko:K14699	mtj:J112_07275
ko:K00059	mtj:J112_07280
ko:K03386	mtj:J112_12020
ko:K11609	mtj:J112_12055
ko:K11609	mtj:J112_12060
ko:K00803	mtj:J112_12085
ko:K00153	mtj:J112_12125
ko:K00389	mtj:J112_12190
ko:K03316	mtj:J112_12255
ko:K01011	mtj:J112_12270
ko:K01692	mtj:J112_16280
ko:K02274	mtj:J112_16300
ko:K03647	mtj:J112_16350
ko:K01835	mtj:J112_16435
ko:K13419	mtj:J112_16505
ko:K04518	mtj:J112_20625
ko:K10215	mtj:J112_20720
ko:K04477	mtj:J112_20730
ko:K14743	mtj:J112_20870
ko:K01784	mtj:J112_02685
ko:K06994	mtj:J112_02715
ko:K06196	mtj:J112_02820
ko:K11608	mtj:J112_02855
ko:K00772	mtj:J112_02865
ko:K09931	mtj:J112_02895
ko:K00666	mtj:J112_02950
ko:K06889	mtj:J112_12350
ko:K02025	mtj:J112_12415
ko:K00819	mtj:J112_12450
ko:K00819	mtj:J112_12455
ko:K00027	mtj:J112_12515
ko:K06994	mtj:J112_12550
ko:K00121	mtj:J112_16535
ko:K00803	mtj:J112_16655
ko:K01724	mtj:J112_16670
ko:K01011	mtj:J112_16705
ko:K07491	mtj:J112_16730
ko:K05602	mtj:J112_16825
ko:K14743	mtj:J112_20885
ko:K00970	mtj:J112_21000
ko:K06346	mtj:J112_21065
ko:K02549	mtj:J112_02965
ko:K12583	mtj:J112_02985
ko:K00805	mtj:J112_03010
ko:K02067	mtj:J112_03155
ko:K02067	mtj:J112_03160
ko:K02067	mtj:J112_03165
ko:K02067	mtj:J112_03170
ko:K02067	mtj:J112_03175
ko:K02067	mtj:J112_03180
ko:K14954	mtj:J112_07595
ko:K09762	mtj:J112_07660
ko:K00616	mtj:J112_07790
ko:K14339	mtj:J112_07840
ko:K03711	mtj:J112_12660
ko:K01426	mtj:J112_12680
ko:K04793	mtj:J112_12760
ko:K04792	mtj:J112_12765
ko:K04789	mtj:J112_12770
ko:K04791	mtj:J112_12775
ko:K04790	mtj:J112_12780
ko:K04788	mtj:J112_12785
ko:K00392	mtj:J112_12830
ko:K00274	mtj:J112_16995
ko:K01426	mtj:J112_17020
ko:K01692	mtj:J112_03380
ko:K00845	mtj:J112_03485
ko:K07052	mtj:J112_03525
ko:K04488	mtj:J112_07870
ko:K12951	mtj:J112_07890
ko:K01692	mtj:J112_07905
ko:K07114	mtj:J112_07955
ko:K11610	mtj:J112_07965
ko:K11611	mtj:J112_07970
ko:K01847	mtj:J112_08015
ko:K01847	mtj:J112_08020
ko:K07588	mtj:J112_08035
ko:K00784	mtj:J112_12915
ko:K02238	mtj:J112_12950
ko:K07161	mtj:J112_13015
ko:K03386	mtj:J112_13040
ko:K00852	mtj:J112_13085
ko:K09118	mtj:J112_17130
ko:K07177	mtj:J112_17135
ko:K00508	mtj:J112_17360
ko:K03932	mtj:J112_03595
ko:K01692	mtj:J112_03605
ko:K01692	mtj:J112_03615
ko:K06994	mtj:J112_03620
ko:K00101	mtj:J112_03715
ko:K06994	mtj:J112_08175
ko:K12433	mtj:J112_08200
ko:K01424	mtj:J112_08260
ko:K00244	mtj:J112_08340
ko:K00245	mtj:J112_08345
ko:K00247	mtj:J112_08355
ko:K06994	mtj:J112_08365
ko:K00652	mtj:J112_08425
ko:K00547	mtj:J112_13190
ko:K05522	mtj:J112_13220
ko:K15781	mtj:J112_13310
ko:K01692	mtj:J112_13330
ko:K07654	mtj:J112_17440
ko:K07670	mtj:J112_17445
ko:K03294	mtj:J112_17480
ko:K11212	mtj:J112_17520
ko:K12234	mtj:J112_17525
ko:K12950	mtj:J112_17580
ko:K01966	mtj:J112_17630
ko:K01011	mtj:J112_17645
ko:K11263	mtj:J112_17655
ko:K03090	mtj:J112_17660
ko:K03918	mtj:J112_17680
ko:K17484	mtj:J112_12200
ko:K17483	mtj:J112_12205
ko:K14234	mtj:J112_t21173
ko:K00384	mtj:J112_07900
ko:K00966	mtj:J112_17545
ko:K10112	mtj:J112_06670
ko:K01739	mtj:J112_05825
ko:K17811	mtj:J112_18175
ko:K15911	mtj:J112_18180
ko:K03520	mtj:J112_02000
ko:K14955	mtj:J112_06845
ko:K00344	mtj:J112_07820
ko:K12954	mtj:J112_10640
ko:K17836	mtj:J112_11065
ko:K01130	mtj:J112_03550
ko:K01130	mtj:J112_03805
ko:K01130	mtj:J112_17725
ko:K12574	mtj:J112_14745
ko:K12956	mtj:J112_05235
ko:K00254	mtj:J112_11465
ko:K01840	mtj:J112_17770
ko:K12432	mtj:J112_06380
ko:K16048	mtj:J112_19210
ko:K01239	mtj:J112_18260
ko:K03767	mtj:J112_00055
ko:K07684	mtj:J112_04535
ko:K14956	mtj:J112_20820
ko:K02026	mtj:J112_10910
ko:K02026	mtj:J112_06665
ko:K02026	mtj:J112_12420
ko:K12434	mtj:J112_08885
ko:K12431	mtj:J112_20565
ko:K12439	mtj:J112_08895
ko:K12442	mtj:J112_15700
ko:K04787	mtj:J112_12790
ko:K14337	mtj:J112_11660
ko:K11628	mtj:J112_15735
ko:K00020	mtj:J112_04040
ko:K00128	mtj:J112_00805
ko:K00128	mtj:J112_01215
ko:K00128	mtj:J112_17695
ko:K00128	mtj:J112_04130
ko:K01840	mtj:J112_17500
ko:K12436	mtj:J112_10955
ko:K05898	mtj:J112_19045
ko:K12422	mtj:J112_00550
ko:K12424	mtj:J112_15780
ko:K12425	mtj:J112_20570
ko:K02027	mtj:J112_10920
ko:K02027	mtj:J112_06655
ko:K02027	mtj:J112_12425
ko:K01187	mtj:J112_13260
ko:K17947	mtj:J112_02870
ko:K09144	mtj:J112_15135
ko:K00344	mtj:J112_16845
ko:K07493	mtj:J112_18475
ko:K07493	mtj:J112_19565
ko:K07064	mtj:J112_15340
ko:K07064	mtj:J112_17840
ko:K07064	mtj:J112_19865
ko:K02031	mtj:J112_19690
ko:K02032	mtj:J112_19690
ko:K02031	mtj:J112_06900
ko:K02032	mtj:J112_06900
ko:K17883	mtj:J112_15285
ko:K00529	mtj:J112_09960
ko:K07068	mtj:J112_18955
ko:K08351	mtj:J112_07755
ko:K00249	mtj:J112_05265
ko:K00897	mtj:J112_20525
ko:K00104	mtj:J112_06765
ko:K00104	mtj:J112_12225
ko:K03719	mtj:J112_17685
ko:K11159	mtj:J112_03505
ko:K21688	mtj:J112_05450
ko:K00138	mtj:J112_02440
ko:K01154	mtj:J112_14760
ko:K01114	mtj:J112_09375
ko:K03684	mtj:J112_14375
ko:K02229	mtj:J112_11050
ko:K02224	mtj:J112_15250
ko:K12441	mtj:J112_15690
ko:K07001	mtj:J112_20045
ko:K09990	mtj:J112_11945
ko:K12437	mtj:J112_20430
ko:K01524	mtj:J112_02650
ko:K01114	mtj:J112_12605
ko:K01114	mtj:J112_12610
ko:K01711	mtj:J112_08105
ko:K03455	mtj:J112_17385
ko:K00631	mtj:J112_08330
ko:K03070	mtj:J112_17415
ko:K07485	mtj:J112_20415
ko:K07100	mtj:J112_03060
ko:K14728	mtj:J112_15795
ko:K07485	mtj:J112_03735
ko:K07486	mtj:J112_11675
ko:K03742	mtj:J112_10130
ko:K02067	mtj:J112_00955
ko:K18481	mtj:J112_18780
ko:K18481	mtj:J112_10510
ko:K18481	mtj:J112_07350
ko:K18481	mtj:J112_18775
ko:K18481	mtj:J112_07345
ko:K18481	mtj:J112_10515
ko:K18481	mtj:J112_12825
ko:K18481	mtj:J112_00970
ko:K18481	mtj:J112_00975
ko:K18481	mtj:J112_00980
ko:K18481	mtj:J112_00985
ko:K18455	mtj:J112_05840
ko:K18472	mtj:J112_12065
ko:K00681	mtj:J112_12845
ko:K00681	mtj:J112_04155
ko:K03574	mtj:J112_15980
ko:K22311	mtj:J112_14010
ko:K18554	mtj:J112_14140
ko:K18688	mtj:J112_18925
ko:K12429	mtj:J112_06440
ko:K07068	mtj:J112_19070
ko:K07485	mtj:J112_07075
ko:K07497	mtj:J112_20270
ko:K18687	mtj:J112_19175
ko:K01990	mtj:J112_20330
ko:K01992	mtj:J112_20340
ko:K07171	mtj:J112_16610
ko:K21672	mtj:J112_05000
ko:K07171	mtj:J112_11045
ko:K18917	mtj:J112_17165
ko:K18955	mtj:J112_18380
ko:K18913	mtj:J112_19885
ko:K07171	mtj:J112_08030
ko:K07171	mtj:J112_10630
ko:K18955	mtj:J112_17285
ko:K07171	mtj:J112_14190
ko:K18851	mtj:J112_05100
ko:K18851	mtj:J112_20450
ko:K07171	mtj:J112_14990
ko:K18851	mtj:J112_10050
ko:K10747	mtj:J112_16400
ko:K18894	mtj:J112_01070
ko:K01971	mtj:J112_05060
ko:K18955	mtj:J112_19785
ko:K18911	mtj:J112_19890
ko:K18912	mtj:J112_19900
ko:K03111	mtj:J112_00290
ko:K04565	mtj:J112_02300
ko:K03497	mtj:J112_21050
ko:K03496	mtj:J112_21055
ko:K03496	mtj:J112_17250
ko:K03111	mtj:J112_13290
ko:K03496	mtj:J112_09115
ko:K07492	mtj:J112_05630
ko:K07496	mtj:J112_04980
ko:K07496	mtj:J112_14940
ko:K07496	mtj:J112_15450
ko:K07496	mtj:J112_15945
ko:K07496	mtj:J112_20575
ko:K07497	mtj:J112_15050
ko:K03325	mtj:J112_14180
ko:K03741	mtj:J112_14180
ko:K07481	mtj:J112_05585
ko:K07481	mtj:J112_15850
ko:K07481	mtj:J112_18225
ko:K07481	mtj:J112_18220
ko:K03822	mtj:J112_08985
ko:K07064	mtj:J112_13960
ko:K00335	mtj:J112_16890
ko:K03761	mtj:J112_18690
ko:K07064	mtj:J112_17050
ko:K02483	mtj:J112_20235
ko:K00249	mtj:J112_00720
ko:K00249	mtj:J112_00850
ko:K07497	mtj:J112_04275
ko:K07497	mtj:J112_07385
ko:K07497	mtj:J112_09380
ko:K07497	mtj:J112_09430
ko:K07497	mtj:J112_11280
ko:K07497	mtj:J112_11625
ko:K07497	mtj:J112_12220
ko:K07497	mtj:J112_12640
ko:K07497	mtj:J112_13295
ko:K07497	mtj:J112_14215
ko:K07497	mtj:J112_15065
ko:K07497	mtj:J112_17075
ko:K07497	mtj:J112_17085
ko:K07497	mtj:J112_17875
ko:K07497	mtj:J112_18190
ko:K07497	mtj:J112_18685
ko:K07064	mtj:J112_01305
ko:K06893	mtj:J112_00185
ko:K07064	mtj:J112_03300
ko:K00249	mtj:J112_01255
ko:K00249	mtj:J112_16840
ko:K00001	mtj:J112_00905
ko:K00001	mtj:J112_08215
ko:K02113	mtj:J112_07045
ko:K02109	mtj:J112_07045
ko:K07485	mtj:J112_03965
ko:K02483	mtj:J112_04075
