ko:K19078	suj:SAA6159_00613
ko:K00459	suj:SAA6159_00780
ko:K07090	suj:SAA6159_00782
ko:K03644	suj:SAA6159_00784
ko:K03367	suj:SAA6159_00791
ko:K03739	suj:SAA6159_00792
ko:K14188	suj:SAA6159_00793
ko:K03740	suj:SAA6159_00794
ko:K03885	suj:SAA6159_00797
ko:K03885	suj:SAA6159_00800
ko:K01255	suj:SAA6159_00801
ko:K07084	suj:SAA6159_00802
ko:K05571	suj:SAA6159_00805
ko:K05569	suj:SAA6159_00807
ko:K05567	suj:SAA6159_00809
ko:K05566	suj:SAA6159_00810
ko:K06347	suj:SAA6159_00812
ko:K00260	suj:SAA6159_00817
ko:K01126	suj:SAA6159_00818
ko:K09699	suj:SAA6159_01451
ko:K00167	suj:SAA6159_01452
ko:K00166	suj:SAA6159_01453
ko:K00382	suj:SAA6159_01454
ko:K03631	suj:SAA6159_01455
ko:K03402	suj:SAA6159_01456
ko:K13789	suj:SAA6159_01457
ko:K03602	suj:SAA6159_01458
ko:K03601	suj:SAA6159_01459
ko:K03625	suj:SAA6159_01460
ko:K01961	suj:SAA6159_01462
ko:K02160	suj:SAA6159_01463
ko:K02356	suj:SAA6159_01464
ko:K03800	suj:SAA6159_01468
ko:K00283	suj:SAA6159_01470
ko:K00282	suj:SAA6159_01471
ko:K00605	suj:SAA6159_01472
ko:K00891	suj:SAA6159_01473
ko:K02913	suj:SAA6159_01486
ko:K04564	suj:SAA6159_01488
ko:K09816	suj:SAA6159_01490
ko:K09817	suj:SAA6159_01491
ko:K01151	suj:SAA6159_01492
ko:K15738	suj:SAA6159_00674
ko:K00865	suj:SAA6159_02330
ko:K00077	suj:SAA6159_02341
ko:K08170	suj:SAA6159_02342
ko:K05846	suj:SAA6159_02343
ko:K05845	suj:SAA6159_02344
ko:K05846	suj:SAA6159_02345
ko:K05847	suj:SAA6159_02346
ko:K02069	suj:SAA6159_02351
ko:K02068	suj:SAA6159_02352
ko:K10824	suj:SAA6159_02360
ko:K15587	suj:SAA6159_02361
ko:K15586	suj:SAA6159_02362
ko:K15585	suj:SAA6159_02363
ko:K15584	suj:SAA6159_02364
ko:K03654	suj:SAA6159_00675
ko:K01755	suj:SAA6159_00819
ko:K01940	suj:SAA6159_00820
ko:K01810	suj:SAA6159_00821
ko:K03100	suj:SAA6159_00823
ko:K03100	suj:SAA6159_00824
ko:K01845	suj:SAA6159_01592
ko:K01698	suj:SAA6159_01593
ko:K01749	suj:SAA6159_01595
ko:K02497	suj:SAA6159_01596
ko:K02492	suj:SAA6159_01597
ko:K03978	suj:SAA6159_01598
ko:K03544	suj:SAA6159_01599
ko:K03545	suj:SAA6159_01600
ko:K02887	suj:SAA6159_01603
ko:K02916	suj:SAA6159_01604
ko:K02520	suj:SAA6159_01605
ko:K01868	suj:SAA6159_01607
ko:K07738	suj:SAA6159_01610
ko:K00134	suj:SAA6159_01611
ko:K00859	suj:SAA6159_01612
ko:K07636	suj:SAA6159_01616
ko:K00031	suj:SAA6159_01618
ko:K01647	suj:SAA6159_01619
ko:K00873	suj:SAA6159_01621
ko:K00850	suj:SAA6159_01622
ko:K01962	suj:SAA6159_01623
ko:K01963	suj:SAA6159_01624
ko:K02337	suj:SAA6159_01626
ko:K00259	suj:SAA6159_01633
ko:K00925	suj:SAA6159_01635
ko:K11065	suj:SAA6159_01637
ko:K07090	suj:SAA6159_01638
ko:K03151	suj:SAA6159_01639
ko:K08998	suj:SAA6159_01712
ko:K01911	suj:SAA6159_01714
ko:K01154	suj:SAA6159_01737
ko:K09765	suj:SAA6159_02488
ko:K06978	suj:SAA6159_02491
ko:K01579	suj:SAA6159_02493
ko:K01918	suj:SAA6159_02494
ko:K00606	suj:SAA6159_02495
ko:K00077	suj:SAA6159_02496
ko:K01575	suj:SAA6159_02497
ko:K00823	suj:SAA6159_02500
ko:K01623	suj:SAA6159_02502
ko:K00116	suj:SAA6159_02503
ko:K01895	suj:SAA6159_02505
ko:K03300	suj:SAA6159_02514
ko:K02304	suj:SAA6159_02515
ko:K00432	suj:SAA6159_02517
ko:K05847	suj:SAA6159_00676
ko:K00817	suj:SAA6159_00678
ko:K03305	suj:SAA6159_00682
ko:K09457	suj:SAA6159_00683
ko:K02015	suj:SAA6159_00689
ko:K02015	suj:SAA6159_00690
ko:K02013	suj:SAA6159_00691
ko:K02016	suj:SAA6159_00692
ko:K00075	suj:SAA6159_00693
ko:K00865	suj:SAA6159_00697
ko:K03070	suj:SAA6159_00708
ko:K02836	suj:SAA6159_00709
ko:K07023	suj:SAA6159_00711
ko:K03702	suj:SAA6159_00713
ko:K03701	suj:SAA6159_00714
ko:K13292	suj:SAA6159_00718
ko:K00384	suj:SAA6159_00721
ko:K01358	suj:SAA6159_00725
ko:K07071	suj:SAA6159_00726
ko:K06967	suj:SAA6159_01495
ko:K03086	suj:SAA6159_01496
ko:K09773	suj:SAA6159_01498
ko:K01880	suj:SAA6159_01500
ko:K03584	suj:SAA6159_01501
ko:K07042	suj:SAA6159_01505
ko:K02970	suj:SAA6159_01510
ko:K09761	suj:SAA6159_01512
ko:K02687	suj:SAA6159_01513
ko:K03686	suj:SAA6159_01514
ko:K04043	suj:SAA6159_01515
ko:K03687	suj:SAA6159_01516
ko:K03705	suj:SAA6159_01517
ko:K03596	suj:SAA6159_01520
ko:K02968	suj:SAA6159_01521
ko:K02340	suj:SAA6159_01522
ko:K02237	suj:SAA6159_01525
ko:K09710	suj:SAA6159_01527
ko:K00969	suj:SAA6159_01529
ko:K07574	suj:SAA6159_01530
ko:K00014	suj:SAA6159_01531
ko:K07015	suj:SAA6159_01533
ko:K07160	suj:SAA6159_01538
ko:K01961	suj:SAA6159_01539
ko:K02160	suj:SAA6159_01540
ko:K04487	suj:SAA6159_01640
ko:K02986	suj:SAA6159_01643
ko:K01126	suj:SAA6159_01644
ko:K00655	suj:SAA6159_01650
ko:K01866	suj:SAA6159_01652
ko:K01938	suj:SAA6159_01655
ko:K01895	suj:SAA6159_01656
ko:K04766	suj:SAA6159_01657
ko:K04768	suj:SAA6159_01658
ko:K02529	suj:SAA6159_01659
ko:K00963	suj:SAA6159_02394
ko:K11476	suj:SAA6159_02401
ko:K04041	suj:SAA6159_02412
ko:K06999	suj:SAA6159_02414
ko:K15975	suj:SAA6159_02415
ko:K15973	suj:SAA6159_02416
ko:K06975	suj:SAA6159_02417
ko:K03778	suj:SAA6159_02420
ko:K03823	suj:SAA6159_02425
ko:K01752	suj:SAA6159_02426
ko:K01752	suj:SAA6159_02427
ko:K00130	suj:SAA6159_02509
ko:K11442	suj:SAA6159_02082
ko:K18934	suj:SAA6159_02078
ko:K18936	suj:SAA6159_02316
ko:K14234	suj:SAA6159_t05
ko:K14234	suj:SAA6159_t48
ko:K14234	suj:SAA6159_t32
ko:K06216	suj:SAA6159_00249
ko:K03328	suj:SAA6159_00115
ko:K03328	suj:SAA6159_00455
ko:K18935	suj:SAA6159_02080
ko:K14236	suj:SAA6159_t54
ko:K14236	suj:SAA6159_t31
ko:K02004	suj:SAA6159_00284
ko:K03307	suj:SAA6159_00290
ko:K01639	suj:SAA6159_00291
ko:K01788	suj:SAA6159_00294
ko:K03475	suj:SAA6159_00304
ko:K02822	suj:SAA6159_00305
ko:K02821	suj:SAA6159_00306
ko:K00059	suj:SAA6159_01084
ko:K09787	suj:SAA6159_01089
ko:K03177	suj:SAA6159_01126
ko:K02116	suj:SAA6159_02024
ko:K02424	suj:SAA6159_02315
ko:K01104	suj:SAA6159_02029
ko:K14222	suj:SAA6159_t27
ko:K07668	suj:SAA6159_00018
ko:K07652	suj:SAA6159_00019
ko:K06910	suj:SAA6159_00836
ko:K15582	suj:SAA6159_00844
ko:K10823	suj:SAA6159_00846
ko:K15582	suj:SAA6159_00849
ko:K10823	suj:SAA6159_00851
ko:K07816	suj:SAA6159_00862
ko:K03455	suj:SAA6159_00866
ko:K05362	suj:SAA6159_00874
ko:K10009	suj:SAA6159_02314
ko:K07533	suj:SAA6159_01769
ko:K03698	suj:SAA6159_01770
ko:K01679	suj:SAA6159_01779
ko:K07035	suj:SAA6159_01788
ko:K01478	suj:SAA6159_02531
ko:K12270	suj:SAA6159_02546
ko:K12269	suj:SAA6159_02547
ko:K12268	suj:SAA6159_02548
ko:K07304	suj:SAA6159_02556
ko:K01104	suj:SAA6159_02558
ko:K01784	suj:SAA6159_00111
ko:K03784	suj:SAA6159_00119
ko:K01619	suj:SAA6159_00121
ko:K01104	suj:SAA6159_00135
ko:K01784	suj:SAA6159_00146
ko:K02049	suj:SAA6159_00155
ko:K02051	suj:SAA6159_00156
ko:K02050	suj:SAA6159_00157
ko:K11189	suj:SAA6159_00939
ko:K08483	suj:SAA6159_00940
ko:K03499	suj:SAA6159_00944
ko:K11072	suj:SAA6159_00955
ko:K11071	suj:SAA6159_00956
ko:K11069	suj:SAA6159_00958
ko:K01092	suj:SAA6159_00963
ko:K01958	suj:SAA6159_00969
ko:K01916	suj:SAA6159_01844
ko:K04518	suj:SAA6159_01847
ko:K15986	suj:SAA6159_01851
ko:K00819	suj:SAA6159_00166
ko:K09963	suj:SAA6159_00172
ko:K02033	suj:SAA6159_00181
ko:K02035	suj:SAA6159_00183
ko:K15770	suj:SAA6159_00189
ko:K07784	suj:SAA6159_00196
ko:K07720	suj:SAA6159_00197
ko:K03471	suj:SAA6159_00994
ko:K00241	suj:SAA6159_01001
ko:K02428	suj:SAA6159_01005
ko:K11041	suj:SAA6159_01023
ko:K07025	suj:SAA6159_01026
ko:K01439	suj:SAA6159_01941
ko:K06889	suj:SAA6159_00075
ko:K01771	suj:SAA6159_00079
ko:K10254	suj:SAA6159_00091
ko:K07052	suj:SAA6159_00885
ko:K02552	suj:SAA6159_00899
ko:K08680	suj:SAA6159_00901
ko:K00841	suj:SAA6159_00906
ko:K09825	suj:SAA6159_01792
ko:K11085	suj:SAA6159_01797
ko:K07586	suj:SAA6159_01798
ko:K09693	suj:SAA6159_01802
ko:K01104	suj:SAA6159_01812
ko:K07009	suj:SAA6159_01822
ko:K02342	suj:SAA6159_01825
ko:K02433	suj:SAA6159_01831
ko:K07094	suj:SAA6159_01837
ko:K06889	suj:SAA6159_00213
ko:K02035	suj:SAA6159_00214
ko:K00016	suj:SAA6159_00218
ko:K02775	suj:SAA6159_00224
ko:K00852	suj:SAA6159_00247
ko:K07104	suj:SAA6159_01045
ko:K02824	suj:SAA6159_01052
ko:K07030	suj:SAA6159_01079
ko:K09167	suj:SAA6159_01987
ko:K08981	suj:SAA6159_01988
ko:K07052	suj:SAA6159_01945
ko:K07706	suj:SAA6159_01951
ko:K01409	suj:SAA6159_01962
ko:K03095	suj:SAA6159_01977
ko:K03090	suj:SAA6159_01979
ko:K07315	suj:SAA6159_01982
ko:K01226	suj:SAA6159_00424
ko:K03486	suj:SAA6159_00425
ko:K09685	suj:SAA6159_00447
ko:K02499	suj:SAA6159_00456
ko:K02033	suj:SAA6159_01249
ko:K05822	suj:SAA6159_01263
ko:K00939	suj:SAA6159_02136
ko:K03635	suj:SAA6159_02176
ko:K05565	suj:SAA6159_00578
ko:K05568	suj:SAA6159_00581
ko:K05570	suj:SAA6159_00583
ko:K08974	suj:SAA6159_00772
ko:K04488	suj:SAA6159_00776
ko:K07584	suj:SAA6159_01578
ko:K02236	suj:SAA6159_01587
ko:K01261	suj:SAA6159_01668
ko:K01439	suj:SAA6159_01674
ko:K06183	suj:SAA6159_01676
ko:K07052	suj:SAA6159_01701
ko:K00616	suj:SAA6159_01702
ko:K00158	suj:SAA6159_02435
ko:K00054	suj:SAA6159_02441
ko:K01641	suj:SAA6159_02442
ko:K00567	suj:SAA6159_02443
ko:K04086	suj:SAA6159_02444
ko:K06994	suj:SAA6159_02448
ko:K00294	suj:SAA6159_02450
ko:K07213	suj:SAA6159_02454
ko:K10209	suj:SAA6159_02457
ko:K07035	suj:SAA6159_02465
ko:K07032	suj:SAA6159_02472
ko:K07729	suj:SAA6159_00323
ko:K00626	suj:SAA6159_00328
ko:K01760	suj:SAA6159_00332
ko:K03386	suj:SAA6159_00356
ko:K00088	suj:SAA6159_00364
ko:K00059	suj:SAA6159_01135
ko:K02443	suj:SAA6159_01152
ko:K03713	suj:SAA6159_01162
ko:K03048	suj:SAA6159_02042
ko:K09680	suj:SAA6159_02044
ko:K01619	suj:SAA6159_02051
ko:K03784	suj:SAA6159_02052
ko:K02799	suj:SAA6159_02065
ko:K02800	suj:SAA6159_02065
ko:K02798	suj:SAA6159_02067
ko:K03593	suj:SAA6159_02077
ko:K03316	suj:SAA6159_00585
ko:K03709	suj:SAA6159_00589
ko:K09693	suj:SAA6159_00592
ko:K07258	suj:SAA6159_00597
ko:K09763	suj:SAA6159_01425
ko:K04763	suj:SAA6159_01426
ko:K03711	suj:SAA6159_01427
ko:K01515	suj:SAA6159_01428
ko:K00784	suj:SAA6159_01433
ko:K00374	suj:SAA6159_02295
ko:K09815	suj:SAA6159_02307
ko:K00652	suj:SAA6159_02325
ko:K03708	suj:SAA6159_00475
ko:K09698	suj:SAA6159_00481
ko:K00639	suj:SAA6159_00504
ko:K00853	suj:SAA6159_00506
ko:K07305	suj:SAA6159_01290
ko:K07304	suj:SAA6159_01291
ko:K03469	suj:SAA6159_01299
ko:K03294	suj:SAA6159_01302
ko:K03700	suj:SAA6159_01314
ko:K02086	suj:SAA6159_01318
ko:K00974	suj:SAA6159_01322
ko:K00805	suj:SAA6159_01334
ko:K02017	suj:SAA6159_02182
ko:K07052	suj:SAA6159_02217
ko:K06934	suj:SAA6159_00649
ko:K03976	suj:SAA6159_00652
ko:K09705	suj:SAA6159_00624
ko:K16013	suj:SAA6159_00639
ko:K16012	suj:SAA6159_00640
ko:K13628	suj:SAA6159_00799
ko:K05570	suj:SAA6159_00806
ko:K05568	suj:SAA6159_00808
ko:K05565	suj:SAA6159_00811
ko:K03768	suj:SAA6159_00813
ko:K00819	suj:SAA6159_00816
ko:K07120	suj:SAA6159_01591
ko:K01719	suj:SAA6159_01594
ko:K11144	suj:SAA6159_01608
ko:K03346	suj:SAA6159_01609
ko:K10563	suj:SAA6159_01613
ko:K07658	suj:SAA6159_01617
ko:K00027	suj:SAA6159_01625
ko:K02549	suj:SAA6159_01713
ko:K01727	suj:SAA6159_01731
ko:K04750	suj:SAA6159_02489
ko:K00016	suj:SAA6159_02498
ko:K03294	suj:SAA6159_02499
ko:K03451	suj:SAA6159_02511
ko:K00380	suj:SAA6159_02516
ko:K01077	suj:SAA6159_02523
ko:K07304	suj:SAA6159_01226
ko:K04517	suj:SAA6159_01231
ko:K09976	suj:SAA6159_01210
ko:K05020	suj:SAA6159_01215
ko:K02619	suj:SAA6159_00670
ko:K00033	suj:SAA6159_01447
ko:K02246	suj:SAA6159_01476
ko:K02245	suj:SAA6159_01477
ko:K02244	suj:SAA6159_01478
ko:K03436	suj:SAA6159_00653
ko:K02243	suj:SAA6159_01479
ko:K00845	suj:SAA6159_01482
ko:K02076	suj:SAA6159_01489
ko:K03929	suj:SAA6159_02349
ko:K12942	suj:SAA6159_02370
ko:K01220	suj:SAA6159_02100
ko:K02786	suj:SAA6159_02102
ko:K01635	suj:SAA6159_02103
ko:K00917	suj:SAA6159_02104
ko:K01819	suj:SAA6159_02105
ko:K01819	suj:SAA6159_02106
ko:K02530	suj:SAA6159_02107
ko:K01727	suj:SAA6159_02114
ko:K00712	suj:SAA6159_00518
ko:K00712	suj:SAA6159_00519
ko:K02564	suj:SAA6159_00523
ko:K08093	suj:SAA6159_00524
ko:K00626	suj:SAA6159_00529
ko:K00625	suj:SAA6159_00541
ko:K00869	suj:SAA6159_00543
ko:K01597	suj:SAA6159_00544
ko:K00938	suj:SAA6159_00545
ko:K13953	suj:SAA6159_00562
ko:K07457	suj:SAA6159_00565
ko:K07025	suj:SAA6159_00568
ko:K01424	suj:SAA6159_01342
ko:K05337	suj:SAA6159_01347
ko:K05845	suj:SAA6159_00677
ko:K05846	suj:SAA6159_00677
ko:K03647	suj:SAA6159_00685
ko:K01258	suj:SAA6159_00698
ko:K02240	suj:SAA6159_00705
ko:K02242	suj:SAA6159_00706
ko:K06023	suj:SAA6159_00717
ko:K09762	suj:SAA6159_00724
ko:K01489	suj:SAA6159_01503
ko:K02238	suj:SAA6159_01523
ko:K06948	suj:SAA6159_01532
ko:K01243	suj:SAA6159_01534
ko:K06286	suj:SAA6159_01641
ko:K00058	suj:SAA6159_01647
ko:K01835	suj:SAA6159_02385
ko:K03299	suj:SAA6159_02399
ko:K00851	suj:SAA6159_02400
ko:K03535	suj:SAA6159_02406
ko:K07104	suj:SAA6159_02418
ko:K01479	suj:SAA6159_02238
ko:K01785	suj:SAA6159_02242
ko:K01823	suj:SAA6159_02250
ko:K14232	suj:SAA6159_t10
ko:K14232	suj:SAA6159_t42
ko:K14235	suj:SAA6159_t30
ko:K14230	suj:SAA6159_t39
ko:K18940	suj:SAA6159_01281
ko:K21454	suj:SAA6159_02261
ko:K01977	suj:SAA6159_r01
ko:K01977	suj:SAA6159_r16
ko:K01977	suj:SAA6159_r10
ko:K01977	suj:SAA6159_r13
ko:K01977	suj:SAA6159_r05
ko:K07038	suj:SAA6159_01800
ko:K02545	suj:SAA6159_00031
ko:K16509	suj:SAA6159_00854
ko:K01834	suj:SAA6159_02317
ko:K01834	suj:SAA6159_00350
ko:K16511	suj:SAA6159_00855
ko:K11733	suj:SAA6159_01606
ko:K14229	suj:SAA6159_t06
ko:K16264	suj:SAA6159_00152
ko:K06198	suj:SAA6159_00856
ko:K15583	suj:SAA6159_00845
ko:K15583	suj:SAA6159_00850
ko:K14220	suj:SAA6159_t14
ko:K16329	suj:SAA6159_00288
ko:K16323	suj:SAA6159_00599
ko:K16169	suj:SAA6159_00363
ko:K11737	suj:SAA6159_02336
ko:K05340	suj:SAA6159_02163
ko:K16264	suj:SAA6159_02060
ko:K02851	suj:SAA6159_00702
ko:K09814	suj:SAA6159_02263
ko:K13052	suj:SAA6159_00458
ko:K10010	suj:SAA6159_02313
ko:K16786	suj:SAA6159_02129
ko:K16787	suj:SAA6159_02128
ko:K04564	suj:SAA6159_00116
ko:K16785	suj:SAA6159_02127
ko:K04757	suj:SAA6159_01980
ko:K01985	suj:SAA6159_r03
ko:K01985	suj:SAA6159_r11
ko:K01985	suj:SAA6159_r07
ko:K01985	suj:SAA6159_r14
ko:K01985	suj:SAA6159_r08
ko:K01985	suj:SAA6159_r04
ko:K07705	suj:SAA6159_00238
ko:K03429	suj:SAA6159_00873
ko:K09813	suj:SAA6159_02264
ko:K01401	suj:SAA6159_02533
ko:K11040	suj:SAA6159_01536
ko:K14198	suj:SAA6159_01875
ko:K14204	suj:SAA6159_01869
ko:K02547	suj:SAA6159_00032
ko:K11039	suj:SAA6159_02612
ko:K14200	suj:SAA6159_01010
ko:K14201	suj:SAA6159_00743
ko:K02755	suj:SAA6159_00243
ko:K00128	suj:SAA6159_00151
ko:K00128	suj:SAA6159_02036
ko:K08259	suj:SAA6159_00254
ko:K12553	suj:SAA6159_01487
ko:K07683	suj:SAA6159_02293
ko:K01239	suj:SAA6159_02188
ko:K00128	suj:SAA6159_01852
ko:K01906	suj:SAA6159_02324
ko:K14230	suj:SAA6159_t23
ko:K14230	suj:SAA6159_t35
ko:K14229	suj:SAA6159_t47
ko:K14229	suj:SAA6159_t52
ko:K14219	suj:SAA6159_t12
ko:K03483	suj:SAA6159_02066
ko:K11631	suj:SAA6159_02595
ko:K02803	suj:SAA6159_01649
ko:K02804	suj:SAA6159_01649
ko:K11042	suj:SAA6159_00375
ko:K13715	suj:SAA6159_00904
ko:K13732	suj:SAA6159_02398
ko:K10210	suj:SAA6159_02460
ko:K11695	suj:SAA6159_01242
ko:K11693	suj:SAA6159_02168
ko:K01271	suj:SAA6159_01632
ko:K16785	suj:SAA6159_00931
ko:K16786	suj:SAA6159_00932
ko:K16787	suj:SAA6159_00932
ko:K16785	suj:SAA6159_02580
ko:K16786	suj:SAA6159_02581
ko:K16787	suj:SAA6159_02581
ko:K02768	suj:SAA6159_02537
ko:K02769	suj:SAA6159_02537
ko:K02770	suj:SAA6159_02537
ko:K11632	suj:SAA6159_02596
ko:K13714	suj:SAA6159_00909
ko:K04478	suj:SAA6159_01805
ko:K00980	suj:SAA6159_00596
ko:K16937	suj:SAA6159_00662
ko:K16869	suj:SAA6159_00542
ko:K11991	suj:SAA6159_00512
ko:K17716	suj:SAA6159_00137
ko:K10851	suj:SAA6159_02294
ko:K00882	suj:SAA6159_00654
ko:K00108	suj:SAA6159_02508
ko:K16916	suj:SAA6159_02423
ko:K16917	suj:SAA6159_02422
ko:K16925	suj:SAA6159_00933
ko:K14202	suj:SAA6159_01873
ko:K14196	suj:SAA6159_00094
ko:K14203	suj:SAA6159_01008
ko:K02303	suj:SAA6159_02299
ko:K16924	suj:SAA6159_02582
ko:K14192	suj:SAA6159_02526
ko:K14193	suj:SAA6159_00984
ko:K14197	suj:SAA6159_02319
ko:K08258	suj:SAA6159_01840
ko:K10211	suj:SAA6159_02459
ko:K10850	suj:SAA6159_02291
ko:K11694	suj:SAA6159_01241
ko:K12552	suj:SAA6159_01032
ko:K07681	suj:SAA6159_01816
ko:K07694	suj:SAA6159_01815
ko:K02352	suj:SAA6159_02585
ko:K12551	suj:SAA6159_01653
ko:K07800	suj:SAA6159_01950
ko:K10208	suj:SAA6159_02458
ko:K07566	suj:SAA6159_02030
ko:K12574	suj:SAA6159_00945
ko:K12574	suj:SAA6159_01130
ko:K16898	suj:SAA6159_00826
ko:K16899	suj:SAA6159_00825
ko:K14224	suj:SAA6159_t01
ko:K14224	suj:SAA6159_t56
ko:K14224	suj:SAA6159_t17
ko:K14221	suj:SAA6159_t02
ko:K14221	suj:SAA6159_t34
ko:K14221	suj:SAA6159_t22
ko:K14221	suj:SAA6159_t37
ko:K14233	suj:SAA6159_t03
ko:K14233	suj:SAA6159_t38
ko:K14233	suj:SAA6159_t36
ko:K14233	suj:SAA6159_t13
ko:K01980	suj:SAA6159_r12
ko:K01980	suj:SAA6159_r15
ko:K01980	suj:SAA6159_r09
ko:K01980	suj:SAA6159_r06
ko:K01980	suj:SAA6159_r02
ko:K14237	suj:SAA6159_t04
ko:K14237	suj:SAA6159_t55
ko:K14237	suj:SAA6159_t49
ko:K14225	suj:SAA6159_t19
ko:K14225	suj:SAA6159_t50
ko:K14225	suj:SAA6159_t07
ko:K14225	suj:SAA6159_t45
ko:K14228	suj:SAA6159_t08
ko:K14228	suj:SAA6159_t44
ko:K14228	suj:SAA6159_t24
ko:K14228	suj:SAA6159_t46
ko:K14228	suj:SAA6159_t51
ko:K14219	suj:SAA6159_t09
ko:K14219	suj:SAA6159_t43
ko:K14219	suj:SAA6159_t15
ko:K14218	suj:SAA6159_t11
ko:K14218	suj:SAA6159_t41
ko:K14220	suj:SAA6159_t18
ko:K14220	suj:SAA6159_t57
ko:K14226	suj:SAA6159_t20
ko:K14226	suj:SAA6159_t29
ko:K14231	suj:SAA6159_t21
ko:K14231	suj:SAA6159_t33
ko:K14230	suj:SAA6159_t40
ko:K14223	suj:SAA6159_t28
ko:K14223	suj:SAA6159_t53
ko:K09692	suj:SAA6159_00593
ko:K11070	suj:SAA6159_00957
ko:K02029	suj:SAA6159_01787
ko:K02030	suj:SAA6159_01787
ko:K07284	suj:SAA6159_02424
ko:K01990	suj:SAA6159_00255
ko:K01990	suj:SAA6159_02410
ko:K14233	suj:SAA6159_t16
ko:K01990	suj:SAA6159_02245
ko:K01990	suj:SAA6159_00325
ko:K01990	suj:SAA6159_01765
ko:K01990	suj:SAA6159_01864
ko:K01664	suj:SAA6159_00668
ko:K01992	suj:SAA6159_00256
ko:K01992	suj:SAA6159_00257
ko:K01992	suj:SAA6159_01764
ko:K01992	suj:SAA6159_01861
ko:K01992	suj:SAA6159_02244
ko:K01897	suj:SAA6159_00208
ko:K02028	suj:SAA6159_01786
ko:K03574	suj:SAA6159_02384
ko:K17217	suj:SAA6159_00410
ko:K17216	suj:SAA6159_00409
ko:K00951	suj:SAA6159_01566
ko:K00265	suj:SAA6159_00421
ko:K01992	suj:SAA6159_01187
ko:K01992	suj:SAA6159_01444
ko:K01990	suj:SAA6159_01186
ko:K01990	suj:SAA6159_01445
ko:K01990	suj:SAA6159_01862
ko:K10112	suj:SAA6159_00188
ko:K17472	suj:SAA6159_01559
ko:K17686	suj:SAA6159_02453
ko:K01739	suj:SAA6159_00333
ko:K01791	suj:SAA6159_02025
ko:K00226	suj:SAA6159_02486
ko:K11928	suj:SAA6159_01833
ko:K01658	suj:SAA6159_01234
ko:K06518	suj:SAA6159_02437
ko:K02171	suj:SAA6159_p09
ko:K07979	suj:SAA6159_01865
ko:K10212	suj:SAA6159_02461
ko:K01791	suj:SAA6159_00139
ko:K01187	suj:SAA6159_01436
ko:K01791	suj:SAA6159_00148
ko:K02031	suj:SAA6159_00180
ko:K02032	suj:SAA6159_00180
ko:K19080	suj:SAA6159_00616
ko:K18104	suj:SAA6159_00598
ko:K02479	suj:SAA6159_01776
ko:K08168	suj:SAA6159_00120
ko:K03293	suj:SAA6159_01200
ko:K07741	suj:SAA6159_01928
ko:K02809	suj:SAA6159_00174
ko:K02810	suj:SAA6159_00174
ko:K02809	suj:SAA6159_02281
ko:K02810	suj:SAA6159_02281
ko:K03366	suj:SAA6159_00110
ko:K07045	suj:SAA6159_02477
ko:K07145	suj:SAA6159_00990
ko:K22580	suj:SAA6159_00913
ko:K01046	suj:SAA6159_00296
ko:K01046	suj:SAA6159_02566
ko:K00632	suj:SAA6159_00205
ko:K00008	suj:SAA6159_00227
ko:K02172	suj:SAA6159_p10
ko:K21461	suj:SAA6159_02563
ko:K21462	suj:SAA6159_02565
ko:K21463	suj:SAA6159_02260
ko:K00008	suj:SAA6159_00225
ko:K08255	suj:SAA6159_00830
ko:K14194	suj:SAA6159_02389
ko:K03427	suj:SAA6159_01738
ko:K15580	suj:SAA6159_00852
ko:K00681	suj:SAA6159_00184
ko:K04749	suj:SAA6159_01981
ko:K18707	suj:SAA6159_01511
ko:K18766	suj:SAA6159_p11
ko:K05592	suj:SAA6159_01995
ko:K18672	suj:SAA6159_02072
ko:K18704	suj:SAA6159_00230
ko:K18682	suj:SAA6159_01141
ko:K18692	suj:SAA6159_01493
ko:K18906	suj:SAA6159_00641
ko:K01262	suj:SAA6159_01465
ko:K09692	suj:SAA6159_01801
ko:K07723	suj:SAA6159_01984
ko:K18909	suj:SAA6159_00308
ko:K18941	suj:SAA6159_01282
ko:K18908	suj:SAA6159_00309
ko:K07171	suj:SAA6159_01983
ko:K03497	suj:SAA6159_02602
ko:K11040	suj:SAA6159_00067
ko:K03111	suj:SAA6159_01918
ko:K03111	suj:SAA6159_02010
ko:K03169	suj:SAA6159_02161
ko:K03497	suj:SAA6159_00334
ko:K03111	suj:SAA6159_00340
ko:K03892	suj:SAA6159_01693
ko:K07029	suj:SAA6159_01829
ko:K07132	suj:SAA6159_p05
ko:K03498	suj:SAA6159_01942
ko:K09145	suj:SAA6159_00625
ko:K18979	suj:SAA6159_01785
ko:K00949	suj:SAA6159_01076
ko:K01318	suj:SAA6159_00905
ko:K07816	suj:SAA6159_02403
ko:K07498	suj:SAA6159_00027
ko:K19005	suj:SAA6159_00673
ko:K03293	suj:SAA6159_02220
ko:K19077	suj:SAA6159_00614
ko:K01174	suj:SAA6159_01191
ko:K19158	suj:SAA6159_02308
ko:K19225	suj:SAA6159_01484
ko:K02777	suj:SAA6159_01289
ko:K19068	suj:SAA6159_00138
ko:K19081	suj:SAA6159_02520
ko:K19082	suj:SAA6159_02521
ko:K19083	suj:SAA6159_02519
ko:K19084	suj:SAA6159_02518
ko:K19159	suj:SAA6159_02309
ko:K02032	suj:SAA6159_01246
ko:K03722	suj:SAA6159_01320
