ko:K00054	spw:SPCG_1698
ko:K00872	spw:SPCG_1349
ko:K00046	spw:SPCG_0326
ko:K00759	spw:SPCG_1563
ko:K00674	spw:SPCG_2062
ko:K03575	spw:SPCG_1074
ko:K01953	spw:SPCG_0140
ko:K01447	spw:SPCG_1911
ko:K01101	spw:SPCG_1395
ko:K01071	spw:SPCG_1396
ko:K01916	spw:SPCG_1407
ko:K00763	spw:SPCG_1408
ko:K01951	spw:SPCG_1433
ko:K03710	spw:SPCG_1434
ko:K01462	spw:SPCG_1443
ko:K00384	spw:SPCG_1445
ko:K00567	spw:SPCG_1450
ko:K06215	spw:SPCG_1457
ko:K01879	spw:SPCG_1463
ko:K09903	spw:SPCG_0918
ko:K00549	spw:SPCG_0551
ko:K01892	spw:SPCG_2088
ko:K01889	spw:SPCG_0545
ko:K07568	spw:SPCG_1404
ko:K10773	spw:SPCG_1243
ko:K02115	spw:SPCG_1493
ko:K02113	spw:SPCG_1495
ko:K02108	spw:SPCG_1497
ko:K02564	spw:SPCG_1403
ko:K05896	spw:SPCG_1849
ko:K02796	spw:SPCG_0293
ko:K02795	spw:SPCG_0294
ko:K03629	spw:SPCG_2193
ko:K02950	spw:SPCG_0282
ko:K09811	spw:SPCG_0707
ko:K06183	spw:SPCG_0637
ko:K02358	spw:SPCG_1474
ko:K02916	spw:SPCG_0936
ko:K02887	spw:SPCG_0937
ko:K01489	spw:SPCG_0786
ko:K02621	spw:SPCG_0799
ko:K02970	spw:SPCG_1402
ko:K03499	spw:SPCG_0075
ko:K02337	spw:SPCG_0871
ko:K02884	spw:SPCG_1260
ko:K01657	spw:SPCG_1801
ko:K00928	spw:SPCG_0412
ko:K02355	spw:SPCG_0284
ko:K07456	spw:SPCG_0405
ko:K02956	spw:SPCG_1601
ko:K03705	spw:SPCG_0488
ko:K03687	spw:SPCG_0489
ko:K07862	spw:SPCG_1727
ko:K11144	spw:SPCG_1683
ko:K11069	spw:SPCG_1374
ko:K03624	spw:SPCG_1502
ko:K04488	spw:SPCG_0815
ko:K02759	spw:SPCG_0259
ko:K02990	spw:SPCG_1527
ko:K03046	spw:SPCG_1924
ko:K04083	spw:SPCG_2156
ko:K11068	spw:SPCG_1453
ko:K11175	spw:SPCG_0050
ko:K00997	spw:SPCG_1671
ko:K01193	spw:SPCG_1696
ko:K00053	spw:SPCG_0441
ko:K03697	spw:SPCG_0762
ko:K02372	spw:SPCG_0422
ko:K01520	spw:SPCG_0021
ko:K03475	spw:SPCG_2004
ko:K02346	spw:SPCG_0455
ko:K01738	spw:SPCG_2177
ko:K01873	spw:SPCG_0531
ko:K06207	spw:SPCG_0638
ko:K01925	spw:SPCG_0643
ko:K02236	spw:SPCG_1794
ko:K01246	spw:SPCG_0195
ko:K01155	spw:SPCG_1824
ko:K02529	spw:SPCG_1828
ko:K00001	spw:SPCG_1829
ko:K03811	spw:SPCG_1833
ko:K05847	spw:SPCG_1835
ko:K01261	spw:SPCG_1839
ko:K01784	spw:SPCG_1840
ko:K02015	spw:SPCG_1842
ko:K02015	spw:SPCG_1843
ko:K02013	spw:SPCG_1844
ko:K02016	spw:SPCG_1845
ko:K08998	spw:SPCG_1846
ko:K07095	spw:SPCG_1852
ko:K01776	spw:SPCG_1854
ko:K09976	spw:SPCG_1855
ko:K01226	spw:SPCG_1856
ko:K02817	spw:SPCG_1857
ko:K02818	spw:SPCG_1857
ko:K02819	spw:SPCG_1857
ko:K03486	spw:SPCG_1858
ko:K00690	spw:SPCG_1867
ko:K10119	spw:SPCG_1869
ko:K10118	spw:SPCG_1870
ko:K10117	spw:SPCG_1871
ko:K07407	spw:SPCG_1872
ko:K00897	spw:SPCG_1876
ko:K07586	spw:SPCG_1878
ko:K07485	spw:SPCG_1880
ko:K00226	spw:SPCG_0713
ko:K01733	spw:SPCG_2033
ko:K06173	spw:SPCG_1578
ko:K01937	spw:SPCG_0473
ko:K01624	spw:SPCG_0566
ko:K00849	spw:SPCG_1827
ko:K03501	spw:SPCG_1248
ko:K01914	spw:SPCG_1934
ko:K00878	spw:SPCG_0666
ko:K04567	spw:SPCG_0662
ko:K01595	spw:SPCG_1212
ko:K00850	spw:SPCG_0872
ko:K00820	spw:SPCG_0276
ko:K00931	spw:SPCG_0906
ko:K00147	spw:SPCG_0907
ko:K00286	spw:SPCG_0908
ko:K00052	spw:SPCG_1046
ko:K03763	spw:SPCG_0285
ko:K00806	spw:SPCG_0271
ko:K00949	spw:SPCG_1945
ko:K01783	spw:SPCG_1946
ko:K06949	spw:SPCG_1947
ko:K06346	spw:SPCG_2006
ko:K00057	spw:SPCG_2057
ko:K07313	spw:SPCG_1099
ko:K03402	spw:SPCG_2044
ko:K01887	spw:SPCG_2045
ko:K00705	spw:SPCG_2071
ko:K00927	spw:SPCG_0477
ko:K01409	spw:SPCG_0132
ko:K09861	spw:SPCG_1533
ko:K01598	spw:SPCG_1071
ko:K01000	spw:SPCG_0340
ko:K09458	spw:SPCG_0420
ko:K00059	spw:SPCG_0419
ko:K00645	spw:SPCG_0418
ko:K00648	spw:SPCG_0415
ko:K05837	spw:SPCG_0752
ko:K03402	spw:SPCG_1097
ko:K02123	spw:SPCG_0857
ko:K02528	spw:SPCG_1948
ko:K02992	spw:SPCG_0283
ko:K03671	spw:SPCG_1754
ko:K03048	spw:SPCG_0472
ko:K03070	spw:SPCG_1674
ko:K03655	spw:SPCG_1669
ko:K03701	spw:SPCG_0201
ko:K04077	spw:SPCG_1881
ko:K04078	spw:SPCG_1882
ko:K06180	spw:SPCG_1977
ko:K03570	spw:SPCG_2184
ko:K01878	spw:SPCG_1464
ko:K01153	spw:SPCG_0842
ko:K03427	spw:SPCG_0835
ko:K01673	spw:SPCG_0024
ko:K01186	spw:SPCG_1665
ko:K11072	spw:SPCG_1377
ko:K01625	spw:SPCG_0323
ko:K12574	spw:SPCG_0124
ko:K02071	spw:SPCG_0155
ko:K01992	spw:SPCG_1689
ko:K00602	spw:SPCG_0052
ko:K00262	spw:SPCG_1272
ko:K11717	spw:SPCG_0814
ko:K13292	spw:SPCG_1400
ko:K12267	spw:SPCG_0616
ko:K12268	spw:SPCG_1738
ko:K12269	spw:SPCG_1737
ko:K02012	spw:SPCG_0254
ko:K02012	spw:SPCG_0255
ko:K01223	spw:SPCG_0684
ko:K10947	spw:SPCG_0095
ko:K08643	spw:SPCG_1142
ko:K12415	spw:SPCG_2203
ko:K01491	spw:SPCG_0766
ko:K12296	spw:SPCG_0013
ko:K12295	spw:SPCG_2201
ko:K12294	spw:SPCG_2202
ko:K12293	spw:SPCG_0045
ko:K03768	spw:SPCG_1524
ko:K07404	spw:SPCG_1490
ko:K03524	spw:SPCG_1874
ko:K09015	spw:SPCG_0813
ko:K05362	spw:SPCG_1517
ko:K01990	spw:SPCG_1690
ko:K01243	spw:SPCG_0965
ko:K03218	spw:SPCG_1444
ko:K12270	spw:SPCG_1736
ko:K03574	spw:SPCG_0760
ko:K08681	spw:SPCG_1456
ko:K00879	spw:SPCG_2135
ko:K05350	spw:SPCG_1987
ko:K12373	spw:SPCG_0059
ko:K13747	spw:SPCG_0897
ko:K06158	spw:SPCG_1167
ko:K12573	spw:SPCG_0950
ko:K12554	spw:SPCG_0576
ko:K12555	spw:SPCG_1976
ko:K13925	spw:SPCG_1811
ko:K01992	spw:SPCG_0596
ko:K11754	spw:SPCG_0208
ko:K13789	spw:SPCG_1095
ko:K00687	spw:SPCG_1645
ko:K03574	spw:SPCG_1764
ko:K01537	spw:SPCG_1538
ko:K09457	spw:SPCG_1755
ko:K04072	spw:SPCG_1991
ko:K13953	spw:SPCG_0297
ko:K12556	spw:SPCG_0339
ko:K05363	spw:SPCG_0575
ko:K01835	spw:SPCG_1481
ko:K00561	spw:SPCG_0172
ko:K03342	spw:SPCG_0621
ko:K13678	spw:SPCG_1205
ko:K19271	spw:SPCG_1228
ko:K14228	spw:SPCG_t22
ko:K14228	spw:SPCG_t34
ko:K01961	spw:SPCG_0423
ko:K13940	spw:SPCG_0305
ko:K11754	spw:SPCG_0303
ko:K00941	spw:SPCG_0675
ko:K14233	spw:SPCG_t17
ko:K14233	spw:SPCG_t50
ko:K14232	spw:SPCG_t20
ko:K14232	spw:SPCG_t32
ko:K14222	spw:SPCG_t31
ko:K14225	spw:SPCG_t14
ko:K14225	spw:SPCG_t52
ko:K14228	spw:SPCG_t43
ko:K01990	spw:SPCG_1687
ko:K14228	spw:SPCG_t25
ko:K14228	spw:SPCG_t37
ko:K14228	spw:SPCG_t10
ko:K14230	spw:SPCG_t19
ko:K14221	spw:SPCG_t27
ko:K14221	spw:SPCG_t39
ko:K14219	spw:SPCG_t08
ko:K14227	spw:SPCG_t51
ko:K14227	spw:SPCG_t13
ko:K14219	spw:SPCG_t58
ko:K14225	spw:SPCG_t23
ko:K14225	spw:SPCG_t35
ko:K02010	spw:SPCG_0253
ko:K11071	spw:SPCG_1376
ko:K11070	spw:SPCG_1375
ko:K14223	spw:SPCG_t05
ko:K14223	spw:SPCG_t44
ko:K14260	spw:SPCG_1959
ko:K14219	spw:SPCG_t09
ko:K14233	spw:SPCG_t12
ko:K14155	spw:SPCG_1509
ko:K14233	spw:SPCG_t06
ko:K14236	spw:SPCG_t47
ko:K14236	spw:SPCG_t04
ko:K14230	spw:SPCG_t18
ko:K14234	spw:SPCG_t07
ko:K14220	spw:SPCG_t03
ko:K14220	spw:SPCG_t56
ko:K14229	spw:SPCG_t26
ko:K14229	spw:SPCG_t38
ko:K14229	spw:SPCG_t11
ko:K00868	spw:SPCG_1577
ko:K14230	spw:SPCG_t16
ko:K14230	spw:SPCG_t49
ko:K07052	spw:SPCG_0901
ko:K13052	spw:SPCG_0008
ko:K14231	spw:SPCG_t15
ko:K14231	spw:SPCG_t48
ko:K14982	spw:SPCG_0748
ko:K11618	spw:SPCG_0382
ko:K11617	spw:SPCG_0381
ko:K14983	spw:SPCG_0747
ko:K01980	spw:SPCG_s11
ko:K01980	spw:SPCG_s05
ko:K01980	spw:SPCG_s08
ko:K01980	spw:SPCG_s02
ko:K10117	spw:SPCG_2134
ko:K03324	spw:SPCG_0474
ko:K01985	spw:SPCG_s03
ko:K01977	spw:SPCG_s09
ko:K01977	spw:SPCG_s12
ko:K01977	spw:SPCG_s06
ko:K01977	spw:SPCG_s01
ko:K14188	spw:SPCG_2142
ko:K14218	spw:SPCG_t02
ko:K14218	spw:SPCG_t41
ko:K14218	spw:SPCG_t29
ko:K14218	spw:SPCG_t54
ko:K15051	spw:SPCG_1929
ko:K07729	spw:SPCG_0336
ko:K00965	spw:SPCG_1826
ko:K14235	spw:SPCG_t46
ko:K14226	spw:SPCG_t45
ko:K00974	spw:SPCG_1541
ko:K14219	spw:SPCG_t21
ko:K14219	spw:SPCG_t33
ko:K12960	spw:SPCG_1345
ko:K14234	spw:SPCG_t24
ko:K14234	spw:SPCG_t36
ko:K14540	spw:SPCG_1141
ko:K11749	spw:SPCG_0273
ko:K19689	spw:SPCG_0289
ko:K00564	spw:SPCG_0783
ko:K14652	spw:SPCG_0190
ko:K00105	spw:SPCG_2153
ko:K15383	spw:SPCG_0313
ko:K10040	spw:SPCG_0568
ko:K16169	spw:SPCG_1822
ko:K08316	spw:SPCG_1933
ko:K06147	spw:SPCG_1422
ko:K06147	spw:SPCG_1423
ko:K03215	spw:SPCG_1007
ko:K15581	spw:SPCG_1864
ko:K15583	spw:SPCG_1862
ko:K16301	spw:SPCG_1268
ko:K02428	spw:SPCG_1853
ko:K15738	spw:SPCG_1540
ko:K05352	spw:SPCG_1234
ko:K15582	spw:SPCG_1863
ko:K10823	spw:SPCG_1861
ko:K02028	spw:SPCG_1447
ko:K01079	spw:SPCG_1155
ko:K01274	spw:SPCG_0584
ko:K15986	spw:SPCG_1520
ko:K12296	spw:SPCG_1972
ko:K10716	spw:SPCG_1080
ko:K02029	spw:SPCG_0660
ko:K02030	spw:SPCG_0658
ko:K02028	spw:SPCG_0659
ko:K01390	spw:SPCG_1143
ko:K07243	spw:SPCG_1267
ko:K16511	spw:SPCG_1351
ko:K16786	spw:SPCG_0669
ko:K16787	spw:SPCG_0669
ko:K07482	spw:SPCG_1499
ko:K16509	spw:SPCG_1393
ko:K16214	spw:SPCG_1030
ko:K14224	spw:SPCG_t01
ko:K14224	spw:SPCG_t42
ko:K14224	spw:SPCG_t30
ko:K14224	spw:SPCG_t57
ko:K14224	spw:SPCG_t55
ko:K16214	spw:SPCG_1295
ko:K05845	spw:SPCG_1834
ko:K05846	spw:SPCG_1834
ko:K16264	spw:SPCG_1831
ko:K14237	spw:SPCG_t28
ko:K14237	spw:SPCG_t40
ko:K14237	spw:SPCG_t53
ko:K16785	spw:SPCG_0466
ko:K03699	spw:SPCG_1928
ko:K01223	spw:SPCG_0275
ko:K15770	spw:SPCG_2072
ko:K15772	spw:SPCG_2074
ko:K15771	spw:SPCG_2073
ko:K16786	spw:SPCG_2187
ko:K16787	spw:SPCG_2186
ko:K16785	spw:SPCG_2185
ko:K16788	spw:SPCG_1069
ko:K02072	spw:SPCG_0156
ko:K18830	spw:SPCG_1029
ko:K18830	spw:SPCG_1296
ko:K02029	spw:SPCG_1448
ko:K16786	spw:SPCG_1426
ko:K16787	spw:SPCG_1426
ko:K02028	spw:SPCG_0765
ko:K16786	spw:SPCG_0465
ko:K16787	spw:SPCG_0465
ko:K11991	spw:SPCG_0020
ko:K16785	spw:SPCG_1425
ko:K16785	spw:SPCG_0670
ko:K16868	spw:SPCG_0952
ko:K16925	spw:SPCG_0668
ko:K16924	spw:SPCG_0463
ko:K16926	spw:SPCG_1424
ko:K16926	spw:SPCG_0182
ko:K16898	spw:SPCG_1145
ko:K16899	spw:SPCG_1146
ko:K02029	spw:SPCG_1062
ko:K02030	spw:SPCG_1062
ko:K17319	spw:SPCG_0087
ko:K17319	spw:SPCG_1775
ko:K17318	spw:SPCG_0089
ko:K17318	spw:SPCG_1773
ko:K01992	spw:SPCG_0651
ko:K01992	spw:SPCG_1222
ko:K02028	spw:SPCG_1061
ko:K17320	spw:SPCG_0088
ko:K17320	spw:SPCG_1774
ko:K17076	spw:SPCG_0447
ko:K02029	spw:SPCG_0764
ko:K17073	spw:SPCG_0448
ko:K17074	spw:SPCG_0448
ko:K02030	spw:SPCG_0108
ko:K02030	spw:SPCG_1383
ko:K01992	spw:SPCG_0595
ko:K01992	spw:SPCG_1223
ko:K01992	spw:SPCG_1968
ko:K10119	spw:SPCG_2132
ko:K10118	spw:SPCG_2133
ko:K15923	spw:SPCG_1627
ko:K01990	spw:SPCG_0650
ko:K01990	spw:SPCG_0657
ko:K01990	spw:SPCG_1676
ko:K01990	spw:SPCG_1969
ko:K01985	spw:SPCG_s10
ko:K01985	spw:SPCG_s07
ko:K01985	spw:SPCG_s04
ko:K17624	spw:SPCG_0364
ko:K17686	spw:SPCG_0678
ko:K01467	spw:SPCG_0009
ko:K17828	spw:SPCG_0940
ko:K00537	spw:SPCG_1449
ko:K12574	spw:SPCG_0573
ko:K00561	spw:SPCG_1323
ko:K18220	spw:SPCG_0171
ko:K02614	spw:SPCG_1825
ko:K07260	spw:SPCG_0590
ko:K18369	spw:SPCG_2022
ko:K03742	spw:SPCG_1914
ko:K18474	spw:SPCG_0413
ko:K18581	spw:SPCG_0328
ko:K18682	spw:SPCG_1713
ko:K06896	spw:SPCG_0710
ko:K00561	spw:SPCG_1327
ko:K18672	spw:SPCG_1547
ko:K18692	spw:SPCG_0711
ko:K06218	spw:SPCG_1079
ko:K18892	spw:SPCG_2040
ko:K18891	spw:SPCG_2042
ko:K03790	spw:SPCG_1196
ko:K07484	spw:SPCG_0758
ko:K07484	spw:SPCG_2179
ko:K19002	spw:SPCG_1204
ko:K19159	spw:SPCG_1715
ko:K19158	spw:SPCG_1714
ko:K19157	spw:SPCG_0287
ko:K00571	spw:SPCG_1419
ko:K19273	spw:SPCG_1324
ko:K03491	spw:SPCG_0315
ko:K19302	spw:SPCG_0469
ko:K12952	spw:SPCG_1598
ko:K04771	spw:SPCG_2205
ko:K19299	spw:SPCG_1325
ko:K19271	spw:SPCG_1292
ko:K01992	spw:SPCG_0934
ko:K06881	spw:SPCG_1265
ko:K01990	spw:SPCG_0933
ko:K00887	spw:SPCG_0944
ko:K07497	spw:SPCG_0027
ko:K21636	spw:SPCG_0212
ko:K21636	spw:SPCG_0728
ko:K19971	spw:SPCG_1623
ko:K19972	spw:SPCG_1622
ko:K10830	spw:SPCG_1621
ko:K20074	spw:SPCG_1706
ko:K12132	spw:SPCG_1705
ko:K20073	spw:SPCG_0370
ko:K02003	spw:SPCG_0735
ko:K02003	spw:SPCG_1922
ko:K20112	spw:SPCG_0600
ko:K20112	spw:SPCG_1101
ko:K15580	spw:SPCG_1865
ko:K02777	spw:SPCG_0708
ko:K20107	spw:SPCG_0708
ko:K20108	spw:SPCG_0708
ko:K20114	spw:SPCG_0602
ko:K20113	spw:SPCG_0601
ko:K20113	spw:SPCG_1102
ko:K20341	spw:SPCG_0503
ko:K20342	spw:SPCG_1953
ko:K20344	spw:SPCG_0501
ko:K20345	spw:SPCG_0500
ko:K20483	spw:SPCG_0145
ko:K20484	spw:SPCG_0146
ko:K18889	spw:SPCG_1815
ko:K18890	spw:SPCG_1814
ko:K01208	spw:SPCG_1026
ko:K21030	spw:SPCG_1235
ko:K21064	spw:SPCG_0299
ko:K08968	spw:SPCG_0809
ko:K21471	spw:SPCG_2182
ko:K21567	spw:SPCG_1548
ko:K21977	spw:SPCG_1072
ko:K22044	spw:SPCG_1726
ko:K03079	spw:SPCG_2000
ko:K03078	spw:SPCG_2001
ko:K22278	spw:SPCG_1467
ko:K17758	spw:SPCG_0768
ko:K03077	spw:SPCG_1998
ko:K03079	spw:SPCG_1999
ko:K22441	spw:SPCG_0546
ko:K22457	spw:SPCG_1530
