ko:K19079	sauj:SAI2T2_1005130
ko:K02015	sauj:SAI2T2_1005020
ko:K02015	sauj:SAI2T2_1005030
ko:K05878	sauj:SAI2T2_1005040
ko:K05879	sauj:SAI2T2_1005050
ko:K07220	sauj:SAI2T2_1005150
ko:K03306	sauj:SAI2T2_1005160
ko:K06890	sauj:SAI2T2_1005180
ko:K09705	sauj:SAI2T2_1005210
ko:K09793	sauj:SAI2T2_1005250
ko:K02492	sauj:SAI2T2_1012170
ko:K03978	sauj:SAI2T2_1012180
ko:K03544	sauj:SAI2T2_1012190
ko:K03545	sauj:SAI2T2_1012200
ko:K02520	sauj:SAI2T2_1012230
ko:K11733	sauj:SAI2T2_1012240
ko:K01868	sauj:SAI2T2_1012250
ko:K11144	sauj:SAI2T2_1012260
ko:K03346	sauj:SAI2T2_1012270
ko:K07738	sauj:SAI2T2_1012280
ko:K00134	sauj:SAI2T2_1012290
ko:K00859	sauj:SAI2T2_1012300
ko:K10563	sauj:SAI2T2_1012310
ko:K07636	sauj:SAI2T2_1012340
ko:K07658	sauj:SAI2T2_1012350
ko:K00031	sauj:SAI2T2_1012360
ko:K01647	sauj:SAI2T2_1012370
ko:K11737	sauj:SAI2T2_1012380
ko:K00873	sauj:SAI2T2_1012390
ko:K00850	sauj:SAI2T2_1012400
ko:K01962	sauj:SAI2T2_1012410
ko:K01963	sauj:SAI2T2_1012420
ko:K00027	sauj:SAI2T2_1012430
ko:K02337	sauj:SAI2T2_1012440
ko:K00259	sauj:SAI2T2_1012490
ko:K00925	sauj:SAI2T2_1012510
ko:K11065	sauj:SAI2T2_1012530
ko:K07090	sauj:SAI2T2_1012540
ko:K03151	sauj:SAI2T2_1012550
ko:K04487	sauj:SAI2T2_1012560
ko:K06286	sauj:SAI2T2_1012570
ko:K02986	sauj:SAI2T2_1012580
ko:K01126	sauj:SAI2T2_1012600
ko:K00058	sauj:SAI2T2_1012630
ko:K03451	sauj:SAI2T2_1019540
ko:K03300	sauj:SAI2T2_1019570
ko:K02304	sauj:SAI2T2_1019580
ko:K00380	sauj:SAI2T2_1019590
ko:K00432	sauj:SAI2T2_1019600
ko:K01077	sauj:SAI2T2_1019650
ko:K14192	sauj:SAI2T2_1019680
ko:K00926	sauj:SAI2T2_1019700
ko:K03758	sauj:SAI2T2_1019710
ko:K00611	sauj:SAI2T2_1019720
ko:K01478	sauj:SAI2T2_1019730
ko:K01401	sauj:SAI2T2_1019750
ko:K02768	sauj:SAI2T2_1019790
ko:K02769	sauj:SAI2T2_1019790
ko:K02770	sauj:SAI2T2_1019790
ko:K01809	sauj:SAI2T2_1019800
ko:K01421	sauj:SAI2T2_1019810
ko:K03070	sauj:SAI2T2_1019870
ko:K12270	sauj:SAI2T2_1019880
ko:K12269	sauj:SAI2T2_1019890
ko:K12268	sauj:SAI2T2_1019900
ko:K03076	sauj:SAI2T2_1019910
ko:K07304	sauj:SAI2T2_1019950
ko:K01104	sauj:SAI2T2_1019970
ko:K06966	sauj:SAI2T2_1005280
ko:K09768	sauj:SAI2T2_1005290
ko:K06153	sauj:SAI2T2_1005310
ko:K16013	sauj:SAI2T2_1005320
ko:K16012	sauj:SAI2T2_1005330
ko:K01669	sauj:SAI2T2_1005370
ko:K03436	sauj:SAI2T2_1005400
ko:K00882	sauj:SAI2T2_1005410
ko:K02768	sauj:SAI2T2_1005420
ko:K02769	sauj:SAI2T2_1005420
ko:K02770	sauj:SAI2T2_1005420
ko:K01443	sauj:SAI2T2_1005430
ko:K10681	sauj:SAI2T2_1005470
ko:K10682	sauj:SAI2T2_1005480
ko:K16937	sauj:SAI2T2_1005490
ko:K10026	sauj:SAI2T2_1005510
ko:K06920	sauj:SAI2T2_1005520
ko:K01664	sauj:SAI2T2_1005530
ko:K01665	sauj:SAI2T2_1005540
ko:K02619	sauj:SAI2T2_1005550
ko:K15738	sauj:SAI2T2_1005590
ko:K03654	sauj:SAI2T2_1005600
ko:K05847	sauj:SAI2T2_1005610
ko:K05845	sauj:SAI2T2_1005620
ko:K05846	sauj:SAI2T2_1005620
ko:K00817	sauj:SAI2T2_1005630
ko:K03305	sauj:SAI2T2_1005660
ko:K09457	sauj:SAI2T2_1005670
ko:K02015	sauj:SAI2T2_1005710
ko:K02015	sauj:SAI2T2_1005720
ko:K02013	sauj:SAI2T2_1005730
ko:K02016	sauj:SAI2T2_1005740
ko:K00075	sauj:SAI2T2_1005750
ko:K02803	sauj:SAI2T2_1012650
ko:K02804	sauj:SAI2T2_1012650
ko:K00655	sauj:SAI2T2_1012660
ko:K01866	sauj:SAI2T2_1012680
ko:K12551	sauj:SAI2T2_1012690
ko:K01938	sauj:SAI2T2_1012710
ko:K01895	sauj:SAI2T2_1012720
ko:K04766	sauj:SAI2T2_1012730
ko:K04768	sauj:SAI2T2_1012740
ko:K02529	sauj:SAI2T2_1012750
ko:K13853	sauj:SAI2T2_1012760
ko:K01924	sauj:SAI2T2_1012790
ko:K03466	sauj:SAI2T2_1012800
ko:K06878	sauj:SAI2T2_1012810
ko:K01261	sauj:SAI2T2_1012830
ko:K03439	sauj:SAI2T2_1012850
ko:K00824	sauj:SAI2T2_1012870
ko:K01439	sauj:SAI2T2_1012880
ko:K06183	sauj:SAI2T2_1012890
ko:K07007	sauj:SAI2T2_1012910
ko:K01869	sauj:SAI2T2_1012930
ko:K07139	sauj:SAI2T2_1012950
ko:K00318	sauj:SAI2T2_1012990
ko:K14652	sauj:SAI2T2_1013000
ko:K00793	sauj:SAI2T2_1013010
ko:K11752	sauj:SAI2T2_1013020
ko:K03893	sauj:SAI2T2_1013040
ko:K07052	sauj:SAI2T2_1013080
ko:K00616	sauj:SAI2T2_1013090
ko:K11936	sauj:SAI2T2_1020010
ko:K11755	sauj:SAI2T2_1020050
ko:K02500	sauj:SAI2T2_1020060
ko:K01814	sauj:SAI2T2_1020070
ko:K02501	sauj:SAI2T2_1020080
ko:K01693	sauj:SAI2T2_1020090
ko:K00817	sauj:SAI2T2_1020100
ko:K00013	sauj:SAI2T2_1020110
ko:K00765	sauj:SAI2T2_1020120
ko:K16785	sauj:SAI2T2_1020160
ko:K16786	sauj:SAI2T2_1020170
ko:K16787	sauj:SAI2T2_1020170
ko:K16924	sauj:SAI2T2_1020180
ko:K02352	sauj:SAI2T2_1020210
ko:K07146	sauj:SAI2T2_1020220
ko:K01304	sauj:SAI2T2_1020230
ko:K03319	sauj:SAI2T2_1020260
ko:K05786	sauj:SAI2T2_1020270
ko:K07241	sauj:SAI2T2_1020290
ko:K11631	sauj:SAI2T2_1020320
ko:K11632	sauj:SAI2T2_1020330
ko:K03501	sauj:SAI2T2_1020360
ko:K03495	sauj:SAI2T2_1020370
ko:K03650	sauj:SAI2T2_1020380
ko:K01534	sauj:SAI2T2_20020
ko:K08167	sauj:SAI2T2_20080
ko:K00865	sauj:SAI2T2_1005780
ko:K01258	sauj:SAI2T2_1005790
ko:K02851	sauj:SAI2T2_1005830
ko:K02240	sauj:SAI2T2_1005860
ko:K02242	sauj:SAI2T2_1005870
ko:K03070	sauj:SAI2T2_1005890
ko:K02836	sauj:SAI2T2_1005900
ko:K07023	sauj:SAI2T2_1005920
ko:K03702	sauj:SAI2T2_1005930
ko:K03701	sauj:SAI2T2_1005940
ko:K06023	sauj:SAI2T2_1005950
ko:K13292	sauj:SAI2T2_1005960
ko:K00384	sauj:SAI2T2_1005990
ko:K09762	sauj:SAI2T2_1006020
ko:K01358	sauj:SAI2T2_1006040
ko:K07071	sauj:SAI2T2_1006050
ko:K05311	sauj:SAI2T2_1006070
ko:K00134	sauj:SAI2T2_1006080
ko:K00927	sauj:SAI2T2_1006090
ko:K01803	sauj:SAI2T2_1006100
ko:K15633	sauj:SAI2T2_1006110
ko:K01689	sauj:SAI2T2_1006120
ko:K03928	sauj:SAI2T2_1006140
ko:K12573	sauj:SAI2T2_1006150
ko:K00789	sauj:SAI2T2_1013130
ko:K01610	sauj:SAI2T2_1013140
ko:K02549	sauj:SAI2T2_1013170
ko:K01911	sauj:SAI2T2_1013180
ko:K01154	sauj:SAI2T2_1013260
ko:K01154	sauj:SAI2T2_1013270
ko:K03427	sauj:SAI2T2_1013280
ko:K07002	sauj:SAI2T2_1013530
ko:K00231	sauj:SAI2T2_1013540
ko:K01772	sauj:SAI2T2_1013550
ko:K01599	sauj:SAI2T2_1013560
ko:K01992	sauj:SAI2T2_1013580
ko:K01990	sauj:SAI2T2_1013590
ko:K07533	sauj:SAI2T2_1013610
ko:K03698	sauj:SAI2T2_1013620
ko:K00383	sauj:SAI2T2_20220
ko:K07784	sauj:SAI2T2_1001680
ko:K07720	sauj:SAI2T2_1001690
ko:K02012	sauj:SAI2T2_1001710
ko:K00656	sauj:SAI2T2_1001720
ko:K04069	sauj:SAI2T2_1001730
ko:K01126	sauj:SAI2T2_1001740
ko:K07516	sauj:SAI2T2_1001770
ko:K00252	sauj:SAI2T2_1001780
ko:K01897	sauj:SAI2T2_1001790
ko:K02035	sauj:SAI2T2_1001820
ko:K05916	sauj:SAI2T2_1001830
ko:K00016	sauj:SAI2T2_1001840
ko:K02773	sauj:SAI2T2_1001880
ko:K02775	sauj:SAI2T2_1001890
ko:K00008	sauj:SAI2T2_1001900
ko:K00008	sauj:SAI2T2_1001910
ko:K05352	sauj:SAI2T2_1001930
ko:K07322	sauj:SAI2T2_1002000
ko:K07704	sauj:SAI2T2_1002010
ko:K05339	sauj:SAI2T2_1002030
ko:K03489	sauj:SAI2T2_1002040
ko:K01223	sauj:SAI2T2_1002060
ko:K00852	sauj:SAI2T2_1002080
ko:K06726	sauj:SAI2T2_1002090
ko:K06216	sauj:SAI2T2_1002100
ko:K02529	sauj:SAI2T2_1002110
ko:K01442	sauj:SAI2T2_1002130
ko:K09769	sauj:SAI2T2_1009280
ko:K00174	sauj:SAI2T2_1009290
ko:K00175	sauj:SAI2T2_1009300
ko:K06168	sauj:SAI2T2_1009310
ko:K03555	sauj:SAI2T2_1009330
ko:K03572	sauj:SAI2T2_1009340
ko:K02443	sauj:SAI2T2_1009350
ko:K02440	sauj:SAI2T2_1009360
ko:K00864	sauj:SAI2T2_1009370
ko:K00111	sauj:SAI2T2_1009380
ko:K00791	sauj:SAI2T2_1009400
ko:K00432	sauj:SAI2T2_1009410
ko:K03665	sauj:SAI2T2_1009420
ko:K01915	sauj:SAI2T2_1009450
ko:K01620	sauj:SAI2T2_1009460
ko:K06131	sauj:SAI2T2_1009470
ko:K01990	sauj:SAI2T2_1009480
ko:K01992	sauj:SAI2T2_1009490
ko:K07778	sauj:SAI2T2_1009500
ko:K00928	sauj:SAI2T2_1009550
ko:K00003	sauj:SAI2T2_1009560
ko:K01733	sauj:SAI2T2_1009570
ko:K00872	sauj:SAI2T2_1009580
ko:K03781	sauj:SAI2T2_1009610
ko:K00364	sauj:SAI2T2_1009620
ko:K01356	sauj:SAI2T2_1009640
ko:K00615	sauj:SAI2T2_1009650
ko:K03547	sauj:SAI2T2_1009670
ko:K05020	sauj:SAI2T2_1009700
ko:K01681	sauj:SAI2T2_1009710
ko:K07107	sauj:SAI2T2_1009720
ko:K08591	sauj:SAI2T2_1009730
ko:K02622	sauj:SAI2T2_1009740
ko:K02621	sauj:SAI2T2_1009750
ko:K03310	sauj:SAI2T2_1009760
ko:K02988	sauj:SAI2T2_1016570
ko:K02933	sauj:SAI2T2_1016580
ko:K02931	sauj:SAI2T2_1016590
ko:K02982	sauj:SAI2T2_1016610
ko:K02886	sauj:SAI2T2_1016620
ko:K02926	sauj:SAI2T2_1016630
ko:K02906	sauj:SAI2T2_1016640
ko:K06901	sauj:SAI2T2_1016650
ko:K05340	sauj:SAI2T2_1016680
ko:K07088	sauj:SAI2T2_1016690
ko:K11693	sauj:SAI2T2_1016710
ko:K03639	sauj:SAI2T2_1016740
ko:K03752	sauj:SAI2T2_1016750
ko:K03753	sauj:SAI2T2_1016760
ko:K03750	sauj:SAI2T2_1016770
ko:K03637	sauj:SAI2T2_1016780
ko:K03638	sauj:SAI2T2_1016790
ko:K02017	sauj:SAI2T2_1016810
ko:K02018	sauj:SAI2T2_1016820
ko:K02020	sauj:SAI2T2_1016830
ko:K02379	sauj:SAI2T2_1016840
ko:K03523	sauj:SAI2T2_1016860
ko:K02016	sauj:SAI2T2_1016880
ko:K08717	sauj:SAI2T2_1016900
ko:K01428	sauj:SAI2T2_1016910
ko:K03188	sauj:SAI2T2_1016930
ko:K03189	sauj:SAI2T2_1016940
ko:K03190	sauj:SAI2T2_1016950
ko:K03315	sauj:SAI2T2_1016990
ko:K00123	sauj:SAI2T2_1017050
ko:K06895	sauj:SAI2T2_1006270
ko:K03785	sauj:SAI2T2_1006290
ko:K04763	sauj:SAI2T2_1006320
ko:K02071	sauj:SAI2T2_1006370
ko:K02072	sauj:SAI2T2_1006380
ko:K02073	sauj:SAI2T2_1006390
ko:K08974	sauj:SAI2T2_1006400
ko:K09013	sauj:SAI2T2_1006410
ko:K09015	sauj:SAI2T2_1006420
ko:K11717	sauj:SAI2T2_1006430
ko:K04488	sauj:SAI2T2_1006440
ko:K09014	sauj:SAI2T2_1006450
ko:K00459	sauj:SAI2T2_1006480
ko:K07090	sauj:SAI2T2_1006500
ko:K03644	sauj:SAI2T2_1006520
ko:K03367	sauj:SAI2T2_1006560
ko:K03739	sauj:SAI2T2_1006570
ko:K03740	sauj:SAI2T2_1006580
ko:K03885	sauj:SAI2T2_1006590
ko:K03885	sauj:SAI2T2_1006600
ko:K01255	sauj:SAI2T2_1006610
ko:K07084	sauj:SAI2T2_1006620
ko:K05569	sauj:SAI2T2_1006640
ko:K05568	sauj:SAI2T2_1006650
ko:K05565	sauj:SAI2T2_1006660
ko:K03768	sauj:SAI2T2_1006680
ko:K00819	sauj:SAI2T2_1006700
ko:K00260	sauj:SAI2T2_1006710
ko:K01126	sauj:SAI2T2_1006720
ko:K01755	sauj:SAI2T2_1006730
ko:K01940	sauj:SAI2T2_1006740
ko:K01810	sauj:SAI2T2_1006750
ko:K06180	sauj:SAI2T2_1013700
ko:K01679	sauj:SAI2T2_1013710
ko:K03216	sauj:SAI2T2_1013730
ko:K02028	sauj:SAI2T2_1013750
ko:K02029	sauj:SAI2T2_1013760
ko:K02030	sauj:SAI2T2_1013760
ko:K07035	sauj:SAI2T2_1013770
ko:K03564	sauj:SAI2T2_1014100
ko:K01845	sauj:SAI2T2_1014110
ko:K11085	sauj:SAI2T2_1014130
ko:K07586	sauj:SAI2T2_1014140
ko:K03480	sauj:SAI2T2_1009770
ko:K03100	sauj:SAI2T2_1006770
ko:K03100	sauj:SAI2T2_1006780
ko:K16899	sauj:SAI2T2_1006790
ko:K16898	sauj:SAI2T2_1006800
ko:K08255	sauj:SAI2T2_1006820
ko:K03695	sauj:SAI2T2_1006850
ko:K06910	sauj:SAI2T2_1006900
ko:K00648	sauj:SAI2T2_1006910
ko:K09458	sauj:SAI2T2_1006920
ko:K15581	sauj:SAI2T2_1006930
ko:K15582	sauj:SAI2T2_1006940
ko:K15583	sauj:SAI2T2_1006950
ko:K10823	sauj:SAI2T2_1006960
ko:K15580	sauj:SAI2T2_1006970
ko:K02035	sauj:SAI2T2_1006980
ko:K02033	sauj:SAI2T2_1007010
ko:K02034	sauj:SAI2T2_1007020
ko:K01867	sauj:SAI2T2_1007030
ko:K16511	sauj:SAI2T2_1007040
ko:K06198	sauj:SAI2T2_1007050
ko:K08602	sauj:SAI2T2_1007060
ko:K07816	sauj:SAI2T2_1007090
ko:K00858	sauj:SAI2T2_1007100
ko:K06180	sauj:SAI2T2_1007110
ko:K06213	sauj:SAI2T2_1007120
ko:K03455	sauj:SAI2T2_1007140
ko:K00208	sauj:SAI2T2_1007150
ko:K03310	sauj:SAI2T2_1007170
ko:K05362	sauj:SAI2T2_1007220
ko:K02837	sauj:SAI2T2_1007230
ko:K03575	sauj:SAI2T2_1014150
ko:K07038	sauj:SAI2T2_1014160
ko:K09693	sauj:SAI2T2_1014180
ko:K03565	sauj:SAI2T2_1014190
ko:K04478	sauj:SAI2T2_1014200
ko:K05520	sauj:SAI2T2_1014210
ko:K01104	sauj:SAI2T2_1014250
ko:K07058	sauj:SAI2T2_1014260
ko:K07694	sauj:SAI2T2_1014270
ko:K07681	sauj:SAI2T2_1014280
ko:K01265	sauj:SAI2T2_1014300
ko:K07009	sauj:SAI2T2_1014330
ko:K02217	sauj:SAI2T2_1014350
ko:K02342	sauj:SAI2T2_1014360
ko:K02346	sauj:SAI2T2_1014370
ko:K03215	sauj:SAI2T2_1014390
ko:K02434	sauj:SAI2T2_1014410
ko:K02433	sauj:SAI2T2_1014420
ko:K11928	sauj:SAI2T2_1014430
ko:K01972	sauj:SAI2T2_1014450
ko:K03657	sauj:SAI2T2_1014460
ko:K07094	sauj:SAI2T2_1014470
ko:K01756	sauj:SAI2T2_1014480
ko:K08258	sauj:SAI2T2_1014490
ko:K01916	sauj:SAI2T2_1014510
ko:K00763	sauj:SAI2T2_1014520
ko:K00491	sauj:SAI2T2_1014530
ko:K04518	sauj:SAI2T2_1014540
ko:K14445	sauj:SAI2T2_1014550
ko:K15986	sauj:SAI2T2_1014580
ko:K00128	sauj:SAI2T2_1014590
ko:K01990	sauj:SAI2T2_1002150
ko:K01992	sauj:SAI2T2_1002160
ko:K01992	sauj:SAI2T2_1002170
ko:K03466	sauj:SAI2T2_1002220
ko:K03311	sauj:SAI2T2_1002320
ko:K02004	sauj:SAI2T2_1002340
ko:K02003	sauj:SAI2T2_1002350
ko:K16329	sauj:SAI2T2_1002380
ko:K03307	sauj:SAI2T2_1002400
ko:K01639	sauj:SAI2T2_1002410
ko:K01788	sauj:SAI2T2_1002440
ko:K03800	sauj:SAI2T2_1002520
ko:K03475	sauj:SAI2T2_1002540
ko:K02445	sauj:SAI2T2_1002570
ko:K00299	sauj:SAI2T2_1002600
ko:K03817	sauj:SAI2T2_1002630
ko:K07224	sauj:SAI2T2_1002640
ko:K16301	sauj:SAI2T2_1002650
ko:K07243	sauj:SAI2T2_1002660
ko:K14205	sauj:SAI2T2_1009790
ko:K07304	sauj:SAI2T2_1009800
ko:K04517	sauj:SAI2T2_1009830
ko:K01657	sauj:SAI2T2_1009850
ko:K01658	sauj:SAI2T2_1009860
ko:K00766	sauj:SAI2T2_1009870
ko:K01609	sauj:SAI2T2_1009880
ko:K01696	sauj:SAI2T2_1009890
ko:K01695	sauj:SAI2T2_1009900
ko:K11694	sauj:SAI2T2_1009910
ko:K11695	sauj:SAI2T2_1009920
ko:K02034	sauj:SAI2T2_1009980
ko:K02033	sauj:SAI2T2_1009990
ko:K02039	sauj:SAI2T2_1010010
ko:K02036	sauj:SAI2T2_1010020
ko:K02038	sauj:SAI2T2_1010030
ko:K02037	sauj:SAI2T2_1010040
ko:K02040	sauj:SAI2T2_1010050
ko:K00243	sauj:SAI2T2_1010060
ko:K00928	sauj:SAI2T2_1010080
ko:K00133	sauj:SAI2T2_1010090
ko:K01714	sauj:SAI2T2_1010100
ko:K00215	sauj:SAI2T2_1010110
ko:K05822	sauj:SAI2T2_1010120
ko:K01775	sauj:SAI2T2_1010140
ko:K01586	sauj:SAI2T2_1010150
ko:K03311	sauj:SAI2T2_1010180
ko:K00658	sauj:SAI2T2_1010220
ko:K00164	sauj:SAI2T2_1010230
ko:K07052	sauj:SAI2T2_1017090
ko:K03453	sauj:SAI2T2_1017140
ko:K02749	sauj:SAI2T2_1017160
ko:K02750	sauj:SAI2T2_1017160
ko:K03481	sauj:SAI2T2_1017170
ko:K01468	sauj:SAI2T2_1017240
ko:K01712	sauj:SAI2T2_1017250
ko:K11210	sauj:SAI2T2_1017270
ko:K01479	sauj:SAI2T2_1017280
ko:K01807	sauj:SAI2T2_1017300
ko:K01785	sauj:SAI2T2_1017320
ko:K01992	sauj:SAI2T2_1017330
ko:K01990	sauj:SAI2T2_1017340
ko:K03652	sauj:SAI2T2_1017360
ko:K03312	sauj:SAI2T2_1017370
ko:K01823	sauj:SAI2T2_1017380
ko:K03284	sauj:SAI2T2_1017390
ko:K07107	sauj:SAI2T2_1017400
ko:K07552	sauj:SAI2T2_1017460
ko:K09814	sauj:SAI2T2_1017490
ko:K09813	sauj:SAI2T2_1017500
ko:K00116	sauj:SAI2T2_1017540
ko:K03303	sauj:SAI2T2_1017550
ko:K02313	sauj:SAI2T2_1000010
ko:K02338	sauj:SAI2T2_1000020
ko:K03629	sauj:SAI2T2_1000030
ko:K02470	sauj:SAI2T2_1000040
ko:K02469	sauj:SAI2T2_1000050
ko:K01745	sauj:SAI2T2_1000070
ko:K01875	sauj:SAI2T2_1000080
ko:K02250	sauj:SAI2T2_1007300
ko:K03800	sauj:SAI2T2_1007310
ko:K07052	sauj:SAI2T2_1007320
ko:K02003	sauj:SAI2T2_1007340
ko:K02016	sauj:SAI2T2_1007350
ko:K02548	sauj:SAI2T2_1007370
ko:K02552	sauj:SAI2T2_1007380
ko:K02551	sauj:SAI2T2_1007390
ko:K08680	sauj:SAI2T2_1007400
ko:K01661	sauj:SAI2T2_1007410
ko:K13715	sauj:SAI2T2_1007420
ko:K00841	sauj:SAI2T2_1007440
ko:K02828	sauj:SAI2T2_1007510
ko:K02827	sauj:SAI2T2_1007520
ko:K02826	sauj:SAI2T2_1007530
ko:K01491	sauj:SAI2T2_1007540
ko:K01588	sauj:SAI2T2_1007550
ko:K01589	sauj:SAI2T2_1007560
ko:K01923	sauj:SAI2T2_1007570
ko:K01952	sauj:SAI2T2_1007580
ko:K01952	sauj:SAI2T2_1007590
ko:K00764	sauj:SAI2T2_1007600
ko:K01933	sauj:SAI2T2_1007610
ko:K11175	sauj:SAI2T2_1007620
ko:K00602	sauj:SAI2T2_1007630
ko:K01945	sauj:SAI2T2_1007640
ko:K16785	sauj:SAI2T2_1007650
ko:K16786	sauj:SAI2T2_1007660
ko:K16787	sauj:SAI2T2_1007660
ko:K16925	sauj:SAI2T2_1007670
ko:K06969	sauj:SAI2T2_1007690
ko:K08483	sauj:SAI2T2_1007710
ko:K00425	sauj:SAI2T2_1007720
ko:K00426	sauj:SAI2T2_1007730
ko:K03499	sauj:SAI2T2_1007740
ko:K12574	sauj:SAI2T2_1007750
ko:K01992	sauj:SAI2T2_1014660
ko:K01990	sauj:SAI2T2_1014670
ko:K01990	sauj:SAI2T2_1014690
ko:K04077	sauj:SAI2T2_1014900
ko:K07052	sauj:SAI2T2_1014910
ko:K07078	sauj:SAI2T2_1014930
ko:K07813	sauj:SAI2T2_1014950
ko:K07706	sauj:SAI2T2_1014960
ko:K07707	sauj:SAI2T2_1014970
ko:K00847	sauj:SAI2T2_1014980
ko:K01193	sauj:SAI2T2_1014990
ko:K03484	sauj:SAI2T2_1015000
ko:K03320	sauj:SAI2T2_1015010
ko:K07112	sauj:SAI2T2_1015020
ko:K01926	sauj:SAI2T2_1015030
ko:K06158	sauj:SAI2T2_1015040
ko:K01409	sauj:SAI2T2_1015060
ko:K06925	sauj:SAI2T2_1015080
ko:K01687	sauj:SAI2T2_1015090
ko:K01652	sauj:SAI2T2_1015100
ko:K00053	sauj:SAI2T2_1015110
ko:K01649	sauj:SAI2T2_1015120
ko:K00681	sauj:SAI2T2_1001560
ko:K14221	sauj:SAI2T2_1000160
ko:K14221	sauj:SAI2T2_1013920
ko:K14221	sauj:SAI2T2_1013890
ko:K14221	sauj:SAI2T2_1013510
ko:K14233	sauj:SAI2T2_1003470
ko:K14233	sauj:SAI2T2_1013930
ko:K14233	sauj:SAI2T2_1013910
ko:K14233	sauj:SAI2T2_1007280
ko:K14233	sauj:SAI2T2_1013450
ko:K14227	sauj:SAI2T2_1003550
ko:K14227	sauj:SAI2T2_1003930
ko:K14227	sauj:SAI2T2_1014070
ko:K14218	sauj:SAI2T2_1003560
ko:K14218	sauj:SAI2T2_1013960
ko:K14218	sauj:SAI2T2_1003910
ko:K14218	sauj:SAI2T2_1014060
ko:K14237	sauj:SAI2T2_1003840
ko:K14237	sauj:SAI2T2_1014040
ko:K14237	sauj:SAI2T2_1016040
ko:K14234	sauj:SAI2T2_1003850
ko:K14234	sauj:SAI2T2_1013870
ko:K14234	sauj:SAI2T2_1014030
ko:K14225	sauj:SAI2T2_1003870
ko:K14225	sauj:SAI2T2_1014000
ko:K14224	sauj:SAI2T2_1000150
ko:K14224	sauj:SAI2T2_1013460
ko:K14224	sauj:SAI2T2_1016050
ko:K14225	sauj:SAI2T2_1013800
ko:K14225	sauj:SAI2T2_1013810
ko:K14228	sauj:SAI2T2_1013790
ko:K14219	sauj:SAI2T2_1003890
ko:K14219	sauj:SAI2T2_1013980
ko:K14219	sauj:SAI2T2_1006030
ko:K14219	sauj:SAI2T2_1008350
ko:K14220	sauj:SAI2T2_1007290
ko:K14220	sauj:SAI2T2_1016060
ko:K14220	sauj:SAI2T2_1013470
ko:K14225	sauj:SAI2T2_1013480
ko:K14225	sauj:SAI2T2_1015190
ko:K14235	sauj:SAI2T2_1013850
ko:K14236	sauj:SAI2T2_1013860
ko:K14236	sauj:SAI2T2_1016030
ko:K14228	sauj:SAI2T2_1014010
ko:K14232	sauj:SAI2T2_1003900
ko:K14232	sauj:SAI2T2_1013970
ko:K14228	sauj:SAI2T2_1003880
ko:K14228	sauj:SAI2T2_1013990
ko:K14231	sauj:SAI2T2_1013500
ko:K14231	sauj:SAI2T2_1013880
ko:K14230	sauj:SAI2T2_1013520
ko:K14230	sauj:SAI2T2_1013900
ko:K14230	sauj:SAI2T2_1013950
ko:K14222	sauj:SAI2T2_1013820
ko:K01980	sauj:SAI2T2_1015170
ko:K01980	sauj:SAI2T2_1016070
ko:K14230	sauj:SAI2T2_1013940
ko:K14223	sauj:SAI2T2_1013830
ko:K14223	sauj:SAI2T2_1016020
ko:K01977	sauj:SAI2T2_1003920
ko:K01977	sauj:SAI2T2_1016080
ko:K01977	sauj:SAI2T2_1014080
ko:K01977	sauj:SAI2T2_1015180
ko:K01977	sauj:SAI2T2_1003540
ko:K14229	sauj:SAI2T2_1003860
ko:K14229	sauj:SAI2T2_1016010
ko:K14229	sauj:SAI2T2_1014020
ko:K14226	sauj:SAI2T2_1013490
ko:K14226	sauj:SAI2T2_1013840
ko:K14228	sauj:SAI2T2_1015200
ko:K01980	sauj:SAI2T2_1014050
ko:K01980	sauj:SAI2T2_1003940
ko:K01980	sauj:SAI2T2_1003570
ko:K07705	sauj:SAI2T2_1002020
ko:K18707	sauj:SAI2T2_1011460
ko:K02547	sauj:SAI2T2_1000280
ko:K18766	sauj:SAI2T2_20030
ko:K05592	sauj:SAI2T2_1015350
ko:K18672	sauj:SAI2T2_1015990
ko:K18704	sauj:SAI2T2_1001940
ko:K18682	sauj:SAI2T2_1009270
ko:K18692	sauj:SAI2T2_1011320
ko:K09692	sauj:SAI2T2_1004940
ko:K19279	sauj:SAI2T2_1012020
ko:K19279	sauj:SAI2T2_1015860
ko:K19279	sauj:SAI2T2_1019360
ko:K09692	sauj:SAI2T2_1014170
ko:K18941	sauj:SAI2T2_1010250
ko:K18908	sauj:SAI2T2_1002560
ko:K04940	sauj:SAI2T2_1017000
ko:K18907	sauj:SAI2T2_1000640
ko:K03169	sauj:SAI2T2_1016660
ko:K03502	sauj:SAI2T2_1009820
ko:K03497	sauj:SAI2T2_1002780
ko:K03111	sauj:SAI2T2_1002810
ko:K03497	sauj:SAI2T2_1020350
ko:K02172	sauj:SAI2T2_20040
ko:K14201	sauj:SAI2T2_1006200
ko:K11040	sauj:SAI2T2_1013400
ko:K11040	sauj:SAI2T2_1013410
ko:K11040	sauj:SAI2T2_1013420
ko:K11040	sauj:SAI2T2_1013430
ko:K11040	sauj:SAI2T2_1013440
ko:K00520	sauj:SAI2T2_20190
ko:K11040	sauj:SAI2T2_1014740
ko:K09145	sauj:SAI2T2_1005220
ko:K00221	sauj:SAI2T2_20180
