ko:K02495	vcx:VAA049_100
ko:K03406	vcx:VAA049_1967
ko:K10117	vcx:VAA049_1968
ko:K03406	vcx:VAA049_1970
ko:K02024	vcx:VAA049_1973
ko:K05775	vcx:VAA049_1974
ko:K02564	vcx:VAA049_1976
ko:K09897	vcx:VAA049_1979
ko:K15977	vcx:VAA049_1981
ko:K13529	vcx:VAA049_1982
ko:K00567	vcx:VAA049_1983
ko:K03319	vcx:VAA049_1985
ko:K07700	vcx:VAA049_1986
ko:K07702	vcx:VAA049_1988
ko:K06203	vcx:VAA049_2777
ko:K01738	vcx:VAA049_2778
ko:K02784	vcx:VAA049_2779
ko:K08483	vcx:VAA049_2780
ko:K02777	vcx:VAA049_2781
ko:K03184	vcx:VAA049_2782
ko:K06168	vcx:VAA049_2783
ko:K07042	vcx:VAA049_2785
ko:K06189	vcx:VAA049_2786
ko:K03820	vcx:VAA049_2787
ko:K01869	vcx:VAA049_2789
ko:K03643	vcx:VAA049_2790
ko:K02340	vcx:VAA049_2791
ko:K09710	vcx:VAA049_2792
ko:K00783	vcx:VAA049_2793
ko:K05515	vcx:VAA049_2794
ko:K05837	vcx:VAA049_2795
ko:K03642	vcx:VAA049_2796
ko:K07258	vcx:VAA049_2797
ko:K09158	vcx:VAA049_2799
ko:K03801	vcx:VAA049_2800
ko:K03644	vcx:VAA049_2801
ko:K00600	vcx:VAA049_2803
ko:K03606	vcx:VAA049_2810
ko:K05946	vcx:VAA049_2816
ko:K01912	vcx:VAA049_2820
ko:K02472	vcx:VAA049_2824
ko:K01791	vcx:VAA049_2825
ko:K09964	vcx:VAA049_2897
ko:K05966	vcx:VAA049_2898
ko:K05964	vcx:VAA049_2899
ko:K01643	vcx:VAA049_2900
ko:K01644	vcx:VAA049_2901
ko:K01646	vcx:VAA049_2902
ko:K01910	vcx:VAA049_2903
ko:K01573	vcx:VAA049_2905
ko:K01571	vcx:VAA049_2906
ko:K01572	vcx:VAA049_2907
ko:K07700	vcx:VAA049_2908
ko:K07702	vcx:VAA049_2909
ko:K10253	vcx:VAA049_2911
ko:K00285	vcx:VAA049_2913
ko:K03310	vcx:VAA049_2914
ko:K02362	vcx:VAA049_2917
ko:K02013	vcx:VAA049_2918
ko:K02015	vcx:VAA049_2919
ko:K02015	vcx:VAA049_2920
ko:K02016	vcx:VAA049_2921
ko:K00216	vcx:VAA049_2923
ko:K02361	vcx:VAA049_2924
ko:K02363	vcx:VAA049_2925
ko:K01252	vcx:VAA049_2926
ko:K07034	vcx:VAA049_2927
ko:K01951	vcx:VAA049_2929
ko:K00088	vcx:VAA049_2930
ko:K00604	vcx:VAA049_33
ko:K01462	vcx:VAA049_34
ko:K04096	vcx:VAA049_36
ko:K03747	vcx:VAA049_37
ko:K07479	vcx:VAA049_38
ko:K01589	vcx:VAA049_39
ko:K01588	vcx:VAA049_40
ko:K07566	vcx:VAA049_41
ko:K00228	vcx:VAA049_42
ko:K00014	vcx:VAA049_43
ko:K06199	vcx:VAA049_52
ko:K03147	vcx:VAA049_53
ko:K00788	vcx:VAA049_54
ko:K03148	vcx:VAA049_55
ko:K03154	vcx:VAA049_56
ko:K03149	vcx:VAA049_57
ko:K03150	vcx:VAA049_58
ko:K01262	vcx:VAA049_59
ko:K07552	vcx:VAA049_61
ko:K03718	vcx:VAA049_63
ko:K15984	vcx:VAA049_65
ko:K06149	vcx:VAA049_68
ko:K02217	vcx:VAA049_69
ko:K06144	vcx:VAA049_70
ko:K07007	vcx:VAA049_72
ko:K09760	vcx:VAA049_73
ko:K03183	vcx:VAA049_74
ko:K03690	vcx:VAA049_75
ko:K03688	vcx:VAA049_76
ko:K03116	vcx:VAA049_77
ko:K03117	vcx:VAA049_78
ko:K03118	vcx:VAA049_79
ko:K00428	vcx:VAA049_80
ko:K03327	vcx:VAA049_81
ko:K01356	vcx:VAA049_83
ko:K00631	vcx:VAA049_84
ko:K03179	vcx:VAA049_85
ko:K03181	vcx:VAA049_86
ko:K02415	vcx:VAA049_87
ko:K03406	vcx:VAA049_88
ko:K02551	vcx:VAA049_904
ko:K08680	vcx:VAA049_905
ko:K01661	vcx:VAA049_906
ko:K02549	vcx:VAA049_907
ko:K01911	vcx:VAA049_908
ko:K05782	vcx:VAA049_909
ko:K09948	vcx:VAA049_916
ko:K03608	vcx:VAA049_918
ko:K03609	vcx:VAA049_919
ko:K03610	vcx:VAA049_920
ko:K09902	vcx:VAA049_921
ko:K08305	vcx:VAA049_922
ko:K03317	vcx:VAA049_924
ko:K01183	vcx:VAA049_925
ko:K07821	vcx:VAA049_926
ko:K07812	vcx:VAA049_927
ko:K01491	vcx:VAA049_933
ko:K07107	vcx:VAA049_939
ko:K00981	vcx:VAA049_941
ko:K11688	vcx:VAA049_947
ko:K11689	vcx:VAA049_948
ko:K10126	vcx:VAA049_950
ko:K10125	vcx:VAA049_951
ko:K03545	vcx:VAA049_952
ko:K01358	vcx:VAA049_953
ko:K03544	vcx:VAA049_954
ko:K07114	vcx:VAA049_1744
ko:K07114	vcx:VAA049_1745
ko:K09797	vcx:VAA049_1747
ko:K01488	vcx:VAA049_149
ko:K07712	vcx:VAA049_151
ko:K07708	vcx:VAA049_152
ko:K01915	vcx:VAA049_154
ko:K06207	vcx:VAA049_156
ko:K07058	vcx:VAA049_158
ko:K07560	vcx:VAA049_159
ko:K01610	vcx:VAA049_162
ko:K04083	vcx:VAA049_163
ko:K04762	vcx:VAA049_164
ko:K02452	vcx:VAA049_165
ko:K02453	vcx:VAA049_166
ko:K02454	vcx:VAA049_167
ko:K02455	vcx:VAA049_168
ko:K02456	vcx:VAA049_169
ko:K02457	vcx:VAA049_170
ko:K02458	vcx:VAA049_171
ko:K02459	vcx:VAA049_172
ko:K02460	vcx:VAA049_173
ko:K02461	vcx:VAA049_174
ko:K02462	vcx:VAA049_175
ko:K02463	vcx:VAA049_176
ko:K01082	vcx:VAA049_177
ko:K08312	vcx:VAA049_178
ko:K07400	vcx:VAA049_179
ko:K02170	vcx:VAA049_181
ko:K06959	vcx:VAA049_183
ko:K04760	vcx:VAA049_184
ko:K10439	vcx:VAA049_186
ko:K10441	vcx:VAA049_187
ko:K10440	vcx:VAA049_188
ko:K01207	vcx:VAA049_189
ko:K07659	vcx:VAA049_192
ko:K07638	vcx:VAA049_193
ko:K16345	vcx:VAA049_194
ko:K03655	vcx:VAA049_195
ko:K03060	vcx:VAA049_197
ko:K00942	vcx:VAA049_198
ko:K09125	vcx:VAA049_199
ko:K14393	vcx:VAA049_200
ko:K10025	vcx:VAA049_1009
ko:K10022	vcx:VAA049_1010
ko:K10023	vcx:VAA049_1012
ko:K01142	vcx:VAA049_1013
ko:K03406	vcx:VAA049_1014
ko:K04067	vcx:VAA049_1016
ko:K07090	vcx:VAA049_1017
ko:K03722	vcx:VAA049_1018
ko:K09909	vcx:VAA049_1020
ko:K09858	vcx:VAA049_1022
ko:K03269	vcx:VAA049_1024
ko:K03768	vcx:VAA049_1025
ko:K01883	vcx:VAA049_1026
ko:K01159	vcx:VAA049_1027
ko:K03550	vcx:VAA049_1028
ko:K03551	vcx:VAA049_1029
ko:K00425	vcx:VAA049_1030
ko:K00426	vcx:VAA049_1031
ko:K07107	vcx:VAA049_1033
ko:K03562	vcx:VAA049_1034
ko:K03560	vcx:VAA049_1035
ko:K03646	vcx:VAA049_1036
ko:K03641	vcx:VAA049_1037
ko:K03640	vcx:VAA049_1038
ko:K03517	vcx:VAA049_1040
ko:K07039	vcx:VAA049_1041
ko:K01809	vcx:VAA049_1044
ko:K02768	vcx:VAA049_1045
ko:K02769	vcx:VAA049_1045
ko:K02770	vcx:VAA049_1045
ko:K02806	vcx:VAA049_1046
ko:K02769	vcx:VAA049_1048
ko:K11202	vcx:VAA049_1050
ko:K11203	vcx:VAA049_1050
ko:K02768	vcx:VAA049_1051
ko:K00138	vcx:VAA049_1052
ko:K01669	vcx:VAA049_1056
ko:K01669	vcx:VAA049_1846
ko:K03784	vcx:VAA049_1849
ko:K08676	vcx:VAA049_1855
ko:K06975	vcx:VAA049_1856
ko:K03312	vcx:VAA049_1858
ko:K08974	vcx:VAA049_1859
ko:K07152	vcx:VAA049_1861
ko:K07862	vcx:VAA049_1863
ko:K01096	vcx:VAA049_1864
ko:K07093	vcx:VAA049_1866
ko:K01183	vcx:VAA049_1871
ko:K09909	vcx:VAA049_1872
ko:K14445	vcx:VAA049_1873
ko:K07088	vcx:VAA049_1874
ko:K07136	vcx:VAA049_1876
ko:K11904	vcx:VAA049_1880
ko:K11903	vcx:VAA049_1881
ko:K00700	vcx:VAA049_1882
ko:K00705	vcx:VAA049_1883
ko:K00688	vcx:VAA049_1884
ko:K03556	vcx:VAA049_1885
ko:K03406	vcx:VAA049_1887
ko:K03497	vcx:VAA049_1895
ko:K11069	vcx:VAA049_1896
ko:K06957	vcx:VAA049_1897
ko:K01963	vcx:VAA049_2679
ko:K19130	vcx:VAA049_2681
ko:K07443	vcx:VAA049_2687
ko:K09914	vcx:VAA049_2688
ko:K10805	vcx:VAA049_2689
ko:K05800	vcx:VAA049_2690
ko:K01738	vcx:VAA049_2691
ko:K04774	vcx:VAA049_2692
ko:K09160	vcx:VAA049_2694
ko:K06940	vcx:VAA049_2695
ko:K06187	vcx:VAA049_2696
ko:K09747	vcx:VAA049_2697
ko:K02343	vcx:VAA049_2698
ko:K00759	vcx:VAA049_2699
ko:K09790	vcx:VAA049_2700
ko:K01782	vcx:VAA049_2705
ko:K03088	vcx:VAA049_2707
ko:K06076	vcx:VAA049_2709
ko:K06076	vcx:VAA049_2710
ko:K01104	vcx:VAA049_2711
ko:K19221	vcx:VAA049_2712
ko:K07289	vcx:VAA049_2714
ko:K00876	vcx:VAA049_2715
ko:K03593	vcx:VAA049_2716
ko:K01874	vcx:VAA049_2717
ko:K00757	vcx:VAA049_2719
ko:K01534	vcx:VAA049_2720
ko:K03635	vcx:VAA049_2723
ko:K03636	vcx:VAA049_2724
ko:K02016	vcx:VAA049_3498
ko:K02013	vcx:VAA049_3499
ko:K02014	vcx:VAA049_3500
ko:K18893	vcx:VAA049_3501
ko:K03654	vcx:VAA049_3504
ko:K05786	vcx:VAA049_3505
ko:K00681	vcx:VAA049_3506
ko:K03657	vcx:VAA049_3509
ko:K01414	vcx:VAA049_3510
ko:K07115	vcx:VAA049_3511
ko:K00383	vcx:VAA049_3512
ko:K02034	vcx:VAA049_3514
ko:K02033	vcx:VAA049_3515
ko:K02035	vcx:VAA049_3516
ko:K02031	vcx:VAA049_3517
ko:K02032	vcx:VAA049_3517
ko:K03656	vcx:VAA049_3524
ko:K18136	vcx:VAA049_3525
ko:K03585	vcx:VAA049_3526
ko:K18138	vcx:VAA049_3527
ko:K09806	vcx:VAA049_3528
ko:K00053	vcx:VAA049_3529
ko:K02521	vcx:VAA049_3530
ko:K00230	vcx:VAA049_3544
ko:K03498	vcx:VAA049_3545
ko:K01825	vcx:VAA049_3547
ko:K04042	vcx:VAA049_3551
ko:K03704	vcx:VAA049_1748
ko:K09954	vcx:VAA049_1751
ko:K01667	vcx:VAA049_1753
ko:K03835	vcx:VAA049_1754
ko:K05565	vcx:VAA049_1757
ko:K05567	vcx:VAA049_1758
ko:K05568	vcx:VAA049_1759
ko:K05569	vcx:VAA049_1760
ko:K05570	vcx:VAA049_1761
ko:K05571	vcx:VAA049_1762
ko:K01462	vcx:VAA049_1764
ko:K15736	vcx:VAA049_1766
ko:K07080	vcx:VAA049_1768
ko:K10126	vcx:VAA049_1769
ko:K02445	vcx:VAA049_1773
ko:K01126	vcx:VAA049_1774
ko:K02529	vcx:VAA049_1777
ko:K00852	vcx:VAA049_1778
ko:K10439	vcx:VAA049_1779
ko:K10440	vcx:VAA049_1780
ko:K10441	vcx:VAA049_1781
ko:K06726	vcx:VAA049_1782
ko:K11904	vcx:VAA049_1786
ko:K11911	vcx:VAA049_1787
ko:K11891	vcx:VAA049_1788
ko:K11910	vcx:VAA049_1789
ko:K11909	vcx:VAA049_1790
ko:K11908	vcx:VAA049_1791
ko:K11907	vcx:VAA049_1792
ko:K11892	vcx:VAA049_1793
ko:K01876	vcx:VAA049_2574
ko:K15256	vcx:VAA049_2576
ko:K15257	vcx:VAA049_2577
ko:K00831	vcx:VAA049_2581
ko:K07343	vcx:VAA049_2586
ko:K01580	vcx:VAA049_2590
ko:K03674	vcx:VAA049_2593
ko:K07085	vcx:VAA049_2594
ko:K03694	vcx:VAA049_2595
ko:K06891	vcx:VAA049_2596
ko:K03704	vcx:VAA049_2597
ko:K00031	vcx:VAA049_2598
ko:K06181	vcx:VAA049_2599
ko:K11755	vcx:VAA049_2600
ko:K02500	vcx:VAA049_2601
ko:K01814	vcx:VAA049_2602
ko:K02501	vcx:VAA049_2603
ko:K01089	vcx:VAA049_2604
ko:K00817	vcx:VAA049_2605
ko:K00013	vcx:VAA049_2606
ko:K00765	vcx:VAA049_2607
ko:K18218	vcx:VAA049_2608
ko:K03746	vcx:VAA049_2609
ko:K00892	vcx:VAA049_2610
ko:K00566	vcx:VAA049_2611
ko:K07153	vcx:VAA049_2612
ko:K01756	vcx:VAA049_2613
ko:K00574	vcx:VAA049_2617
ko:K09701	vcx:VAA049_2618
ko:K03799	vcx:VAA049_2622
ko:K01895	vcx:VAA049_3400
ko:K03786	vcx:VAA049_3401
ko:K02160	vcx:VAA049_3402
ko:K01961	vcx:VAA049_3403
ko:K02687	vcx:VAA049_3404
ko:K05540	vcx:VAA049_3405
ko:K03557	vcx:VAA049_3406
ko:K06145	vcx:VAA049_3408
ko:K01690	vcx:VAA049_3409
ko:K00851	vcx:VAA049_3410
ko:K03299	vcx:VAA049_3411
ko:K01625	vcx:VAA049_3412
ko:K02014	vcx:VAA049_3413
ko:K09939	vcx:VAA049_3414
ko:K03406	vcx:VAA049_3415
ko:K03757	vcx:VAA049_3417
ko:K03765	vcx:VAA049_3418
ko:K00602	vcx:VAA049_3420
ko:K01945	vcx:VAA049_3421
ko:K05787	vcx:VAA049_3423
ko:K00847	vcx:VAA049_3425
ko:K01809	vcx:VAA049_3426
ko:K09891	vcx:VAA049_3427
ko:K16053	vcx:VAA049_3430
ko:K07576	vcx:VAA049_3433
ko:K12995	vcx:VAA049_3437
ko:K12994	vcx:VAA049_3438
ko:K01711	vcx:VAA049_3440
ko:K16435	vcx:VAA049_3444
ko:K02805	vcx:VAA049_3445
ko:K00059	vcx:VAA049_3447
ko:K00164	vcx:VAA049_794
ko:K00658	vcx:VAA049_795
ko:K01903	vcx:VAA049_796
ko:K01902	vcx:VAA049_797
ko:K09816	vcx:VAA049_798
ko:K09817	vcx:VAA049_799
ko:K09815	vcx:VAA049_800
ko:K04758	vcx:VAA049_802
ko:K04759	vcx:VAA049_803
ko:K01887	vcx:VAA049_806
ko:K09907	vcx:VAA049_808
ko:K08296	vcx:VAA049_809
ko:K02400	vcx:VAA049_810
ko:K02404	vcx:VAA049_811
ko:K04562	vcx:VAA049_812
ko:K02405	vcx:VAA049_813
ko:K03413	vcx:VAA049_814
ko:K03414	vcx:VAA049_815
ko:K03407	vcx:VAA049_816
ko:K03412	vcx:VAA049_817
ko:K03496	vcx:VAA049_818
ko:K03408	vcx:VAA049_819
ko:K03408	vcx:VAA049_820
ko:K02193	vcx:VAA049_822
ko:K02194	vcx:VAA049_823
ko:K02195	vcx:VAA049_824
ko:K02196	vcx:VAA049_825
ko:K02197	vcx:VAA049_826
ko:K02198	vcx:VAA049_827
ko:K02199	vcx:VAA049_828
ko:K02200	vcx:VAA049_829
ko:K04754	vcx:VAA049_831
ko:K04564	vcx:VAA049_834
ko:K07390	vcx:VAA049_835
ko:K03169	vcx:VAA049_836
ko:K07014	vcx:VAA049_840
ko:K09904	vcx:VAA049_841
ko:K06899	vcx:VAA049_842
ko:K03315	vcx:VAA049_844
ko:K00133	vcx:VAA049_845
ko:K04072	vcx:VAA049_847
ko:K00605	vcx:VAA049_1648
ko:K00600	vcx:VAA049_1650
ko:K02437	vcx:VAA049_1651
ko:K00281	vcx:VAA049_1652
ko:K01674	vcx:VAA049_1653
ko:K07258	vcx:VAA049_1656
ko:K03406	vcx:VAA049_1658
ko:K01176	vcx:VAA049_1671
ko:K12262	vcx:VAA049_1672
ko:K03476	vcx:VAA049_1673
ko:K03477	vcx:VAA049_1674
ko:K02822	vcx:VAA049_1675
ko:K03475	vcx:VAA049_1675
ko:K02821	vcx:VAA049_1676
ko:K03077	vcx:VAA049_1677
ko:K03078	vcx:VAA049_1679
ko:K00925	vcx:VAA049_1686
ko:K09956	vcx:VAA049_1687
ko:K16087	vcx:VAA049_1688
ko:K07341	vcx:VAA049_2472
ko:K00661	vcx:VAA049_2474
ko:K09153	vcx:VAA049_2491
ko:K06074	vcx:VAA049_2501
ko:K06073	vcx:VAA049_2502
ko:K05526	vcx:VAA049_2503
ko:K02226	vcx:VAA049_2504
ko:K02231	vcx:VAA049_2505
ko:K02233	vcx:VAA049_2506
ko:K00768	vcx:VAA049_2507
ko:K07305	vcx:VAA049_2508
ko:K06956	vcx:VAA049_2509
ko:K01141	vcx:VAA049_2510
ko:K06518	vcx:VAA049_2511
ko:K01489	vcx:VAA049_2513
ko:K07088	vcx:VAA049_2514
ko:K08289	vcx:VAA049_2515
ko:K00569	vcx:VAA049_2516
ko:K04764	vcx:VAA049_2519
ko:K00390	vcx:VAA049_3301
ko:K00381	vcx:VAA049_3302
ko:K00380	vcx:VAA049_3303
ko:K05539	vcx:VAA049_3307
ko:K09823	vcx:VAA049_3308
ko:K03409	vcx:VAA049_3309
ko:K01810	vcx:VAA049_3311
ko:K01775	vcx:VAA049_3313
ko:K07283	vcx:VAA049_3315
ko:K02939	vcx:VAA049_3316
ko:K02963	vcx:VAA049_3317
ko:K02686	vcx:VAA049_3318
ko:K02990	vcx:VAA049_3319
ko:K03594	vcx:VAA049_3320
ko:K02192	vcx:VAA049_3321
ko:K02358	vcx:VAA049_3322
ko:K02355	vcx:VAA049_3323
ko:K02992	vcx:VAA049_3324
ko:K02950	vcx:VAA049_3325
ko:K07237	vcx:VAA049_3326
ko:K07236	vcx:VAA049_3327
ko:K07235	vcx:VAA049_3328
ko:K03772	vcx:VAA049_3330
ko:K03745	vcx:VAA049_3332
ko:K09937	vcx:VAA049_3333
ko:K04087	vcx:VAA049_3334
ko:K04088	vcx:VAA049_3335
ko:K03665	vcx:VAA049_3336
ko:K03666	vcx:VAA049_3337
ko:K00791	vcx:VAA049_3338
ko:K03572	vcx:VAA049_3339
ko:K01448	vcx:VAA049_3340
ko:K06925	vcx:VAA049_3341
ko:K18979	vcx:VAA049_3342
ko:K00077	vcx:VAA049_575
ko:K05517	vcx:VAA049_576
ko:K07157	vcx:VAA049_577
ko:K03088	vcx:VAA049_578
ko:K07167	vcx:VAA049_579
ko:K08218	vcx:VAA049_580
ko:K03767	vcx:VAA049_581
ko:K07286	vcx:VAA049_582
ko:K05527	vcx:VAA049_584
ko:K00346	vcx:VAA049_585
ko:K00347	vcx:VAA049_586
ko:K00348	vcx:VAA049_587
ko:K00349	vcx:VAA049_588
ko:K00350	vcx:VAA049_589
ko:K00351	vcx:VAA049_590
ko:K03734	vcx:VAA049_591
ko:K05952	vcx:VAA049_592
ko:K02346	vcx:VAA049_593
ko:K03308	vcx:VAA049_596
ko:K06987	vcx:VAA049_597
ko:K05844	vcx:VAA049_598
ko:K01270	vcx:VAA049_600
ko:K06901	vcx:VAA049_601
ko:K00769	vcx:VAA049_602
ko:K11750	vcx:VAA049_603
ko:K11926	vcx:VAA049_604
ko:K00931	vcx:VAA049_605
ko:K00147	vcx:VAA049_606
ko:K07738	vcx:VAA049_607
ko:K11752	vcx:VAA049_608
ko:K00793	vcx:VAA049_609
ko:K14652	vcx:VAA049_610
ko:K00794	vcx:VAA049_611
ko:K03625	vcx:VAA049_612
ko:K00946	vcx:VAA049_613
ko:K01095	vcx:VAA049_614
ko:K00990	vcx:VAA049_616
ko:K01265	vcx:VAA049_617
ko:K02967	vcx:VAA049_618
ko:K02357	vcx:VAA049_619
ko:K09903	vcx:VAA049_620
ko:K02838	vcx:VAA049_621
ko:K00806	vcx:VAA049_622
ko:K00981	vcx:VAA049_623
ko:K00099	vcx:VAA049_624
ko:K11749	vcx:VAA049_625
ko:K07277	vcx:VAA049_626
ko:K06920	vcx:VAA049_1433
ko:K10026	vcx:VAA049_1435
ko:K02304	vcx:VAA049_1438
ko:K09969	vcx:VAA049_1439
ko:K09970	vcx:VAA049_1440
ko:K09971	vcx:VAA049_1441
ko:K09972	vcx:VAA049_1442
ko:K11179	vcx:VAA049_1444
ko:K01512	vcx:VAA049_1445
ko:K06969	vcx:VAA049_1446
ko:K07814	vcx:VAA049_1451
ko:K16171	vcx:VAA049_1452
ko:K00451	vcx:VAA049_1453
ko:K00457	vcx:VAA049_1454
ko:K01908	vcx:VAA049_1458
ko:K01659	vcx:VAA049_1461
ko:K03417	vcx:VAA049_1462
ko:K07795	vcx:VAA049_1464
ko:K07794	vcx:VAA049_1465
ko:K07793	vcx:VAA049_1466
ko:K10541	vcx:VAA049_1469
ko:K10542	vcx:VAA049_1470
ko:K10540	vcx:VAA049_1471
ko:K05952	vcx:VAA049_1473
ko:K07661	vcx:VAA049_1475
ko:K07639	vcx:VAA049_1476
ko:K09824	vcx:VAA049_1478
ko:K03821	vcx:VAA049_2260
ko:K02010	vcx:VAA049_2261
ko:K02011	vcx:VAA049_2262
ko:K02012	vcx:VAA049_2263
ko:K07783	vcx:VAA049_2264
ko:K02569	vcx:VAA049_2269
ko:K02568	vcx:VAA049_2270
ko:K02567	vcx:VAA049_2271
ko:K02570	vcx:VAA049_2272
ko:K02572	vcx:VAA049_2273
ko:K07674	vcx:VAA049_2274
ko:K07685	vcx:VAA049_2275
ko:K01752	vcx:VAA049_2276
ko:K03326	vcx:VAA049_2277
ko:K03406	vcx:VAA049_2278
ko:K03406	vcx:VAA049_2282
ko:K00111	vcx:VAA049_2283
ko:K00847	vcx:VAA049_2284
ko:K01193	vcx:VAA049_2285
ko:K03484	vcx:VAA049_2286
ko:K02809	vcx:VAA049_2287
ko:K02810	vcx:VAA049_2287
ko:K06996	vcx:VAA049_2295
ko:K07112	vcx:VAA049_2299
ko:K07112	vcx:VAA049_2300
ko:K10679	vcx:VAA049_2303
ko:K06967	vcx:VAA049_2306
ko:K02442	vcx:VAA049_2307
ko:K00058	vcx:VAA049_2310
ko:K02010	vcx:VAA049_3083
ko:K02011	vcx:VAA049_3084
ko:K02012	vcx:VAA049_3085
ko:K03320	vcx:VAA049_3086
ko:K04752	vcx:VAA049_3087
ko:K09910	vcx:VAA049_3088
ko:K01682	vcx:VAA049_3089
ko:K07001	vcx:VAA049_3091
ko:K05365	vcx:VAA049_3092
ko:K03579	vcx:VAA049_3093
ko:K06206	vcx:VAA049_3095
ko:K06204	vcx:VAA049_3096
ko:K01894	vcx:VAA049_3097
ko:K00970	vcx:VAA049_3098
ko:K00950	vcx:VAA049_3099
ko:K00606	vcx:VAA049_3100
ko:K01918	vcx:VAA049_3101
ko:K01992	vcx:VAA049_3102
ko:K01990	vcx:VAA049_3103
ko:K03321	vcx:VAA049_3104
ko:K01673	vcx:VAA049_3105
ko:K00760	vcx:VAA049_3106
ko:K07056	vcx:VAA049_3108
ko:K07121	vcx:VAA049_3109
ko:K07460	vcx:VAA049_3110
ko:K12961	vcx:VAA049_3111
ko:K03600	vcx:VAA049_3113
ko:K03599	vcx:VAA049_3114
ko:K00413	vcx:VAA049_3115
ko:K00412	vcx:VAA049_3116
ko:K00411	vcx:VAA049_3117
ko:K02996	vcx:VAA049_3118
ko:K02871	vcx:VAA049_3119
ko:K06916	vcx:VAA049_3120
ko:K09908	vcx:VAA049_3121
ko:K04771	vcx:VAA049_3122
ko:K04691	vcx:VAA049_3123
ko:K02884	vcx:VAA049_3124
ko:K00554	vcx:VAA049_3125
ko:K02860	vcx:VAA049_3126
ko:K02959	vcx:VAA049_3127
ko:K03106	vcx:VAA049_3128
ko:K07173	vcx:VAA049_3132
ko:K02392	vcx:VAA049_681
ko:K02393	vcx:VAA049_682
ko:K02394	vcx:VAA049_683
ko:K02395	vcx:VAA049_684
ko:K02396	vcx:VAA049_685
ko:K02397	vcx:VAA049_686
ko:K02406	vcx:VAA049_687
ko:K02406	vcx:VAA049_688
ko:K06942	vcx:VAA049_707
ko:K01056	vcx:VAA049_708
ko:K00948	vcx:VAA049_709
ko:K00919	vcx:VAA049_710
ko:K02494	vcx:VAA049_711
ko:K02492	vcx:VAA049_712
ko:K02835	vcx:VAA049_713
ko:K02493	vcx:VAA049_714
ko:K01627	vcx:VAA049_717
ko:K11751	vcx:VAA049_718
ko:K03976	vcx:VAA049_719
ko:K02824	vcx:VAA049_720
ko:K09938	vcx:VAA049_721
ko:K03809	vcx:VAA049_723
ko:K00537	vcx:VAA049_724
ko:K03548	vcx:VAA049_727
ko:K03406	vcx:VAA049_728
ko:K03564	vcx:VAA049_729
ko:K03567	vcx:VAA049_730
ko:K01714	vcx:VAA049_731
ko:K07287	vcx:VAA049_732
ko:K01439	vcx:VAA049_735
ko:K07231	vcx:VAA049_1529
ko:K01497	vcx:VAA049_1530
ko:K03291	vcx:VAA049_1532
ko:K07146	vcx:VAA049_1534
ko:K02469	vcx:VAA049_1535
ko:K00568	vcx:VAA049_1536
ko:K11107	vcx:VAA049_1539
ko:K03406	vcx:VAA049_1544
ko:K06950	vcx:VAA049_1548
ko:K19164	vcx:VAA049_1557
ko:K19163	vcx:VAA049_1558
ko:K19158	vcx:VAA049_1572
ko:K19159	vcx:VAA049_1573
ko:K06938	vcx:VAA049_1574
ko:K01921	vcx:VAA049_2363
ko:K03113	vcx:VAA049_2365
ko:K07467	vcx:VAA049_2368
ko:K09917	vcx:VAA049_2377
ko:K00325	vcx:VAA049_2382
ko:K00324	vcx:VAA049_2383
ko:K00681	vcx:VAA049_2388
ko:K06193	vcx:VAA049_2396
ko:K05794	vcx:VAA049_2398
ko:K01081	vcx:VAA049_2400
ko:K07459	vcx:VAA049_2401
ko:K12262	vcx:VAA049_2406
ko:K03116	vcx:VAA049_2411
ko:K07667	vcx:VAA049_2412
ko:K07646	vcx:VAA049_2413
ko:K03737	vcx:VAA049_2414
ko:K09807	vcx:VAA049_3185
ko:K05596	vcx:VAA049_3186
ko:K06895	vcx:VAA049_3187
ko:K03442	vcx:VAA049_3188
ko:K01624	vcx:VAA049_3189
ko:K00927	vcx:VAA049_3190
ko:K03472	vcx:VAA049_3191
ko:K16089	vcx:VAA049_3192
ko:K00615	vcx:VAA049_3194
ko:K00789	vcx:VAA049_3195
ko:K02742	vcx:VAA049_3196
ko:K01150	vcx:VAA049_3197
ko:K09761	vcx:VAA049_3198
ko:K01920	vcx:VAA049_3199
ko:K07735	vcx:VAA049_3200
ko:K07447	vcx:VAA049_3201
ko:K01866	vcx:VAA049_3202
ko:K02670	vcx:VAA049_3204
ko:K02669	vcx:VAA049_3205
ko:K06997	vcx:VAA049_3206
ko:K00286	vcx:VAA049_3207
ko:K02221	vcx:VAA049_3208
ko:K09131	vcx:VAA049_3209
ko:K02428	vcx:VAA049_3211
ko:K01425	vcx:VAA049_3213
ko:K03439	vcx:VAA049_3214
ko:K03575	vcx:VAA049_3215
ko:K08306	vcx:VAA049_3217
ko:K03406	vcx:VAA049_3222
ko:K05801	vcx:VAA049_3228
ko:K04744	vcx:VAA049_3229
ko:K03771	vcx:VAA049_3230
ko:K00097	vcx:VAA049_3231
ko:K02528	vcx:VAA049_3232
ko:K06195	vcx:VAA049_3233
ko:K01525	vcx:VAA049_3234
ko:K03979	vcx:VAA049_3238
ko:K02654	vcx:VAA049_469
ko:K02653	vcx:VAA049_470
ko:K02652	vcx:VAA049_471
ko:K00767	vcx:VAA049_473
ko:K03806	vcx:VAA049_474
ko:K03840	vcx:VAA049_475
