ko:K01212	ppoy:RE92_08210
ko:K03524	ppoy:RE92_22265
ko:K00606	ppoy:RE92_22270
ko:K01918	ppoy:RE92_22275
ko:K01579	ppoy:RE92_22280
ko:K01926	ppoy:RE92_22295
ko:K12960	ppoy:RE92_22300
ko:K00074	ppoy:RE92_22320
ko:K00925	ppoy:RE92_22325
ko:K01893	ppoy:RE92_22330
ko:K02086	ppoy:RE92_22335
ko:K08964	ppoy:RE92_22365
ko:K08966	ppoy:RE92_22370
ko:K08965	ppoy:RE92_22375
ko:K00286	ppoy:RE92_22380
ko:K00147	ppoy:RE92_22385
ko:K00931	ppoy:RE92_22390
ko:K08969	ppoy:RE92_22395
ko:K01077	ppoy:RE92_22425
ko:K01012	ppoy:RE92_22430
ko:K03150	ppoy:RE92_22435
ko:K06433	ppoy:RE92_11220
ko:K01875	ppoy:RE92_11235
ko:K08681	ppoy:RE92_11240
ko:K06215	ppoy:RE92_11245
ko:K07258	ppoy:RE92_11250
ko:K00088	ppoy:RE92_11255
ko:K02372	ppoy:RE92_11285
ko:K09458	ppoy:RE92_11290
ko:K01652	ppoy:RE92_11295
ko:K00128	ppoy:RE92_11300
ko:K00208	ppoy:RE92_11310
ko:K03498	ppoy:RE92_11320
ko:K04567	ppoy:RE92_11325
ko:K03624	ppoy:RE92_11330
ko:K11189	ppoy:RE92_18365
ko:K08483	ppoy:RE92_18370
ko:K00283	ppoy:RE92_18375
ko:K00282	ppoy:RE92_18380
ko:K00605	ppoy:RE92_18385
ko:K02437	ppoy:RE92_18390
ko:K02799	ppoy:RE92_18395
ko:K02800	ppoy:RE92_18395
ko:K02798	ppoy:RE92_18405
ko:K00009	ppoy:RE92_18410
ko:K02897	ppoy:RE92_18430
ko:K03406	ppoy:RE92_18435
ko:K02478	ppoy:RE92_18445
ko:K02477	ppoy:RE92_18450
ko:K00059	ppoy:RE92_02075
ko:K01449	ppoy:RE92_02090
ko:K03466	ppoy:RE92_02095
ko:K12574	ppoy:RE92_02110
ko:K01714	ppoy:RE92_02115
ko:K00928	ppoy:RE92_02120
ko:K00133	ppoy:RE92_02125
ko:K06411	ppoy:RE92_02130
ko:K06410	ppoy:RE92_02135
ko:K00962	ppoy:RE92_02155
ko:K02956	ppoy:RE92_02160
ko:K11753	ppoy:RE92_02165
ko:K03177	ppoy:RE92_02170
ko:K02834	ppoy:RE92_02180
ko:K02519	ppoy:RE92_02185
ko:K07742	ppoy:RE92_02195
ko:K02600	ppoy:RE92_02200
ko:K09748	ppoy:RE92_02205
ko:K03763	ppoy:RE92_02210
ko:K01881	ppoy:RE92_02215
ko:K11749	ppoy:RE92_02220
ko:K00099	ppoy:RE92_02225
ko:K00981	ppoy:RE92_02230
ko:K00806	ppoy:RE92_02235
ko:K02838	ppoy:RE92_02240
ko:K09903	ppoy:RE92_02245
ko:K02357	ppoy:RE92_02250
ko:K02967	ppoy:RE92_02255
ko:K09749	ppoy:RE92_02280
ko:K02405	ppoy:RE92_02285
ko:K03411	ppoy:RE92_02295
ko:K03410	ppoy:RE92_02300
ko:K03408	ppoy:RE92_02305
ko:K03407	ppoy:RE92_02310
ko:K03412	ppoy:RE92_02315
ko:K04562	ppoy:RE92_02320
ko:K02404	ppoy:RE92_02325
ko:K02400	ppoy:RE92_02330
ko:K02401	ppoy:RE92_02335
ko:K02421	ppoy:RE92_02340
ko:K03406	ppoy:RE92_06580
ko:K00849	ppoy:RE92_06600
ko:K09684	ppoy:RE92_06610
ko:K00259	ppoy:RE92_06615
ko:K03649	ppoy:RE92_06620
ko:K02040	ppoy:RE92_06635
ko:K01992	ppoy:RE92_06645
ko:K01990	ppoy:RE92_06650
ko:K07979	ppoy:RE92_06655
ko:K01239	ppoy:RE92_06665
ko:K07406	ppoy:RE92_06675
ko:K10439	ppoy:RE92_06685
ko:K07720	ppoy:RE92_06695
ko:K08153	ppoy:RE92_06715
ko:K06147	ppoy:RE92_06720
ko:K06147	ppoy:RE92_06725
ko:K02594	ppoy:RE92_06730
ko:K02596	ppoy:RE92_06740
ko:K02592	ppoy:RE92_06745
ko:K02587	ppoy:RE92_06750
ko:K02591	ppoy:RE92_06755
ko:K02586	ppoy:RE92_06760
ko:K02588	ppoy:RE92_06765
ko:K02585	ppoy:RE92_06770
ko:K03332	ppoy:RE92_06780
ko:K17318	ppoy:RE92_06785
ko:K17320	ppoy:RE92_06790
ko:K17319	ppoy:RE92_06795
ko:K02529	ppoy:RE92_06800
ko:K03088	ppoy:RE92_06810
ko:K07406	ppoy:RE92_06835
ko:K00950	ppoy:RE92_11345
ko:K01633	ppoy:RE92_11350
ko:K00796	ppoy:RE92_11355
ko:K02619	ppoy:RE92_11360
ko:K01664	ppoy:RE92_11365
ko:K01665	ppoy:RE92_11370
ko:K01738	ppoy:RE92_11375
ko:K07533	ppoy:RE92_11380
ko:K04083	ppoy:RE92_11385
ko:K03525	ppoy:RE92_11390
ko:K00767	ppoy:RE92_11395
ko:K00278	ppoy:RE92_11400
ko:K03798	ppoy:RE92_11405
ko:K00760	ppoy:RE92_11410
ko:K04075	ppoy:RE92_11415
ko:K07114	ppoy:RE92_11425
ko:K06382	ppoy:RE92_11430
ko:K07571	ppoy:RE92_11435
ko:K13052	ppoy:RE92_11440
ko:K03530	ppoy:RE92_11460
ko:K02499	ppoy:RE92_11465
ko:K04769	ppoy:RE92_11475
ko:K07533	ppoy:RE92_11480
ko:K03723	ppoy:RE92_11485
ko:K01056	ppoy:RE92_11495
ko:K00948	ppoy:RE92_11505
ko:K04042	ppoy:RE92_11510
ko:K06412	ppoy:RE92_11515
ko:K09685	ppoy:RE92_11520
ko:K00919	ppoy:RE92_11525
ko:K06423	ppoy:RE92_11530
ko:K06436	ppoy:RE92_11540
ko:K02528	ppoy:RE92_11545
ko:K05985	ppoy:RE92_11550
ko:K03424	ppoy:RE92_11560
ko:K06885	ppoy:RE92_11565
ko:K06284	ppoy:RE92_11570
ko:K07056	ppoy:RE92_11575
ko:K02341	ppoy:RE92_11595
ko:K08177	ppoy:RE92_18455
ko:K00005	ppoy:RE92_18545
ko:K01060	ppoy:RE92_18575
ko:K02424	ppoy:RE92_18590
ko:K10009	ppoy:RE92_18595
ko:K10010	ppoy:RE92_18600
ko:K08153	ppoy:RE92_18605
ko:K14415	ppoy:RE92_18615
ko:K03321	ppoy:RE92_18625
ko:K13276	ppoy:RE92_18630
ko:K13276	ppoy:RE92_18635
ko:K00548	ppoy:RE92_23035
ko:K00784	ppoy:RE92_23040
ko:K10563	ppoy:RE92_23050
ko:K01151	ppoy:RE92_23055
ko:K02013	ppoy:RE92_23070
ko:K06968	ppoy:RE92_23075
ko:K02283	ppoy:RE92_23100
ko:K10810	ppoy:RE92_23140
ko:K03153	ppoy:RE92_23145
ko:K03154	ppoy:RE92_23150
ko:K03149	ppoy:RE92_23155
ko:K07658	ppoy:RE92_23165
ko:K00949	ppoy:RE92_23175
ko:K01104	ppoy:RE92_23180
ko:K00161	ppoy:RE92_23190
ko:K00162	ppoy:RE92_23195
ko:K00627	ppoy:RE92_23200
ko:K00382	ppoy:RE92_23205
ko:K00266	ppoy:RE92_23220
ko:K00836	ppoy:RE92_23240
ko:K03169	ppoy:RE92_23290
ko:K07025	ppoy:RE92_23300
ko:K02041	ppoy:RE92_23315
ko:K03790	ppoy:RE92_16900
ko:K07816	ppoy:RE92_16915
ko:K04486	ppoy:RE92_16920
ko:K03409	ppoy:RE92_16930
ko:K07124	ppoy:RE92_16935
ko:K01990	ppoy:RE92_16945
ko:K01992	ppoy:RE92_16950
ko:K07697	ppoy:RE92_16955
ko:K01613	ppoy:RE92_16970
ko:K00973	ppoy:RE92_17020
ko:K06320	ppoy:RE92_17045
ko:K06320	ppoy:RE92_17050
ko:K01791	ppoy:RE92_17060
ko:K00067	ppoy:RE92_17070
ko:K01784	ppoy:RE92_17105
ko:K02760	ppoy:RE92_17110
ko:K05350	ppoy:RE92_17115
ko:K02761	ppoy:RE92_17120
ko:K02759	ppoy:RE92_17125
ko:K02420	ppoy:RE92_02345
ko:K02419	ppoy:RE92_02350
ko:K02418	ppoy:RE92_02355
ko:K03413	ppoy:RE92_02360
ko:K02417	ppoy:RE92_02365
ko:K02416	ppoy:RE92_02370
ko:K02415	ppoy:RE92_02375
ko:K02385	ppoy:RE92_02380
ko:K02390	ppoy:RE92_02385
ko:K02389	ppoy:RE92_02395
ko:K02414	ppoy:RE92_02400
ko:K02413	ppoy:RE92_02410
ko:K02412	ppoy:RE92_02415
ko:K02411	ppoy:RE92_02420
ko:K02410	ppoy:RE92_02425
ko:K02409	ppoy:RE92_02430
ko:K02408	ppoy:RE92_02435
ko:K02388	ppoy:RE92_02440
ko:K02387	ppoy:RE92_02445
ko:K03667	ppoy:RE92_02450
ko:K01419	ppoy:RE92_02455
ko:K04094	ppoy:RE92_02460
ko:K03168	ppoy:RE92_02465
ko:K04096	ppoy:RE92_02470
ko:K01902	ppoy:RE92_02475
ko:K01903	ppoy:RE92_02480
ko:K07391	ppoy:RE92_02495
ko:K07460	ppoy:RE92_02515
ko:K04061	ppoy:RE92_02520
ko:K14540	ppoy:RE92_02535
ko:K03100	ppoy:RE92_02540
ko:K02884	ppoy:RE92_02545
ko:K00554	ppoy:RE92_02550
ko:K02860	ppoy:RE92_02555
ko:K06960	ppoy:RE92_02560
ko:K02959	ppoy:RE92_02565
ko:K03106	ppoy:RE92_02570
ko:K09787	ppoy:RE92_02575
ko:K11068	ppoy:RE92_02580
ko:K03110	ppoy:RE92_02585
ko:K03529	ppoy:RE92_02590
ko:K03685	ppoy:RE92_02595
ko:K09458	ppoy:RE92_02600
ko:K02078	ppoy:RE92_02605
ko:K00059	ppoy:RE92_02610
ko:K18654	ppoy:RE92_06855
ko:K13979	ppoy:RE92_06890
ko:K06878	ppoy:RE92_06905
ko:K02028	ppoy:RE92_06920
ko:K02029	ppoy:RE92_06925
ko:K02030	ppoy:RE92_06930
ko:K02033	ppoy:RE92_06935
ko:K02034	ppoy:RE92_06940
ko:K15580	ppoy:RE92_06945
ko:K05792	ppoy:RE92_07005
ko:K05795	ppoy:RE92_07010
ko:K05795	ppoy:RE92_07015
ko:K05793	ppoy:RE92_07025
ko:K01990	ppoy:RE92_07035
ko:K01992	ppoy:RE92_07040
ko:K00645	ppoy:RE92_07070
ko:K02598	ppoy:RE92_07085
ko:K09770	ppoy:RE92_11600
ko:K00943	ppoy:RE92_11610
ko:K02469	ppoy:RE92_11655
ko:K02470	ppoy:RE92_11665
ko:K03629	ppoy:RE92_11675
ko:K02338	ppoy:RE92_11685
ko:K02313	ppoy:RE92_11690
ko:K02914	ppoy:RE92_11695
ko:K03536	ppoy:RE92_11700
ko:K03217	ppoy:RE92_11705
ko:K06346	ppoy:RE92_11710
ko:K03650	ppoy:RE92_11715
ko:K03495	ppoy:RE92_11720
ko:K03501	ppoy:RE92_11725
ko:K03497	ppoy:RE92_11730
ko:K03496	ppoy:RE92_11735
ko:K03497	ppoy:RE92_11740
ko:K02990	ppoy:RE92_11775
ko:K03111	ppoy:RE92_11780
ko:K02963	ppoy:RE92_11785
ko:K02035	ppoy:RE92_11790
ko:K02033	ppoy:RE92_11795
ko:K02034	ppoy:RE92_11800
ko:K07258	ppoy:RE92_11815
ko:K02939	ppoy:RE92_11845
ko:K01939	ppoy:RE92_11855
ko:K07668	ppoy:RE92_11870
ko:K07652	ppoy:RE92_11875
ko:K03491	ppoy:RE92_17130
ko:K02755	ppoy:RE92_17155
ko:K02756	ppoy:RE92_17155
ko:K02757	ppoy:RE92_17155
ko:K01990	ppoy:RE92_17165
ko:K01992	ppoy:RE92_17170
ko:K06390	ppoy:RE92_21575
ko:K06391	ppoy:RE92_21580
ko:K06392	ppoy:RE92_21585
ko:K06393	ppoy:RE92_21590
ko:K06394	ppoy:RE92_21595
ko:K06395	ppoy:RE92_21600
ko:K06396	ppoy:RE92_21605
ko:K06397	ppoy:RE92_21610
ko:K02160	ppoy:RE92_21615
ko:K01961	ppoy:RE92_21620
ko:K03625	ppoy:RE92_21640
ko:K01491	ppoy:RE92_21645
ko:K03601	ppoy:RE92_21650
ko:K03602	ppoy:RE92_21655
ko:K13789	ppoy:RE92_21660
ko:K01662	ppoy:RE92_21665
ko:K06442	ppoy:RE92_21670
ko:K03402	ppoy:RE92_21680
ko:K03631	ppoy:RE92_21685
ko:K06399	ppoy:RE92_21690
ko:K07699	ppoy:RE92_21695
ko:K03406	ppoy:RE92_21710
ko:K06377	ppoy:RE92_21725
ko:K00382	ppoy:RE92_21740
ko:K00166	ppoy:RE92_21745
ko:K00167	ppoy:RE92_21750
ko:K09699	ppoy:RE92_21755
ko:K03801	ppoy:RE92_21760
ko:K01515	ppoy:RE92_21770
ko:K06384	ppoy:RE92_21780
ko:K03711	ppoy:RE92_21785
ko:K04763	ppoy:RE92_21795
ko:K03783	ppoy:RE92_21800
ko:K07258	ppoy:RE92_21815
ko:K06378	ppoy:RE92_21820
ko:K06379	ppoy:RE92_21825
ko:K03091	ppoy:RE92_21830
ko:K06403	ppoy:RE92_21835
ko:K06404	ppoy:RE92_21840
ko:K06408	ppoy:RE92_21845
ko:K01586	ppoy:RE92_21850
ko:K03768	ppoy:RE92_21855
ko:K00172	ppoy:RE92_21860
ko:K14189	ppoy:RE92_19550
ko:K01011	ppoy:RE92_19610
ko:K05822	ppoy:RE92_19625
ko:K05823	ppoy:RE92_19630
ko:K11072	ppoy:RE92_19635
ko:K11071	ppoy:RE92_19640
ko:K11070	ppoy:RE92_19645
ko:K11069	ppoy:RE92_19650
ko:K00841	ppoy:RE92_19655
ko:K07032	ppoy:RE92_19660
ko:K01744	ppoy:RE92_19670
ko:K07448	ppoy:RE92_19675
ko:K14338	ppoy:RE92_19680
ko:K07335	ppoy:RE92_19685
ko:K02526	ppoy:RE92_19705
ko:K00123	ppoy:RE92_19720
ko:K03639	ppoy:RE92_19725
ko:K02379	ppoy:RE92_19730
ko:K02020	ppoy:RE92_19750
ko:K02018	ppoy:RE92_19755
ko:K01776	ppoy:RE92_24225
ko:K00645	ppoy:RE92_24280
ko:K03292	ppoy:RE92_24310
ko:K02529	ppoy:RE92_24315
ko:K01193	ppoy:RE92_24320
ko:K02532	ppoy:RE92_24325
ko:K03484	ppoy:RE92_24330
ko:K15921	ppoy:RE92_24360
ko:K01118	ppoy:RE92_24365
ko:K01990	ppoy:RE92_24440
ko:K01611	ppoy:RE92_17755
ko:K02492	ppoy:RE92_17760
ko:K02497	ppoy:RE92_17765
ko:K02304	ppoy:RE92_17770
ko:K01749	ppoy:RE92_17775
ko:K13542	ppoy:RE92_17780
ko:K01698	ppoy:RE92_17785
ko:K01845	ppoy:RE92_17790
ko:K06180	ppoy:RE92_17795
ko:K06417	ppoy:RE92_17800
ko:K01873	ppoy:RE92_17805
ko:K11754	ppoy:RE92_17810
ko:K01924	ppoy:RE92_17815
ko:K06380	ppoy:RE92_17820
ko:K06287	ppoy:RE92_17830
ko:K03630	ppoy:RE92_17835
ko:K03568	ppoy:RE92_18980
ko:K03592	ppoy:RE92_18985
ko:K01733	ppoy:RE92_18990
ko:K00262	ppoy:RE92_18995
ko:K02016	ppoy:RE92_19020
ko:K00004	ppoy:RE92_19025
ko:K02529	ppoy:RE92_19030
ko:K06976	ppoy:RE92_19060
ko:K01233	ppoy:RE92_19075
ko:K13530	ppoy:RE92_19085
ko:K00567	ppoy:RE92_19090
ko:K08969	ppoy:RE92_19110
ko:K00231	ppoy:RE92_19170
ko:K07322	ppoy:RE92_19175
ko:K02020	ppoy:RE92_19180
ko:K02018	ppoy:RE92_19185
ko:K00370	ppoy:RE92_19190
ko:K00371	ppoy:RE92_19195
ko:K00373	ppoy:RE92_19200
ko:K00374	ppoy:RE92_19205
ko:K10851	ppoy:RE92_19210
ko:K07683	ppoy:RE92_19215
ko:K07696	ppoy:RE92_19220
ko:K02575	ppoy:RE92_19225
ko:K01012	ppoy:RE92_23625
ko:K00005	ppoy:RE92_23630
ko:K01649	ppoy:RE92_23665
ko:K01679	ppoy:RE92_23670
ko:K11105	ppoy:RE92_23675
ko:K07104	ppoy:RE92_23700
ko:K01425	ppoy:RE92_23705
ko:K00860	ppoy:RE92_23745
ko:K03781	ppoy:RE92_23750
ko:K03327	ppoy:RE92_23755
ko:K02034	ppoy:RE92_23770
ko:K02033	ppoy:RE92_23775
ko:K02035	ppoy:RE92_23780
ko:K18926	ppoy:RE92_23785
ko:K18939	ppoy:RE92_23790
ko:K00285	ppoy:RE92_23840
ko:K07407	ppoy:RE92_23875
ko:K05340	ppoy:RE92_23880
ko:K02529	ppoy:RE92_23885
ko:K09992	ppoy:RE92_23895
ko:K15923	ppoy:RE92_15710
ko:K05350	ppoy:RE92_15715
ko:K02297	ppoy:RE92_15725
ko:K02827	ppoy:RE92_15730
ko:K02299	ppoy:RE92_15735
ko:K02300	ppoy:RE92_15740
ko:K01534	ppoy:RE92_15755
ko:K01534	ppoy:RE92_15765
ko:K03809	ppoy:RE92_15780
ko:K07238	ppoy:RE92_15790
ko:K00384	ppoy:RE92_15795
ko:K01805	ppoy:RE92_15810
ko:K00854	ppoy:RE92_15815
ko:K01990	ppoy:RE92_15845
ko:K04759	ppoy:RE92_15855
ko:K04758	ppoy:RE92_15860
ko:K11733	ppoy:RE92_15875
ko:K00425	ppoy:RE92_15895
ko:K00426	ppoy:RE92_15900
ko:K07145	ppoy:RE92_15910
ko:K02013	ppoy:RE92_15915
ko:K02015	ppoy:RE92_15920
ko:K02016	ppoy:RE92_15925
ko:K02016	ppoy:RE92_15950
ko:K02015	ppoy:RE92_15955
ko:K02013	ppoy:RE92_15960
ko:K15580	ppoy:RE92_20410
ko:K15581	ppoy:RE92_20415
ko:K15582	ppoy:RE92_20420
ko:K10823	ppoy:RE92_20425
ko:K01251	ppoy:RE92_20435
ko:K03925	ppoy:RE92_20440
ko:K03438	ppoy:RE92_20445
ko:K08724	ppoy:RE92_20455
ko:K08384	ppoy:RE92_20460
ko:K01928	ppoy:RE92_20465
ko:K01929	ppoy:RE92_20470
ko:K01000	ppoy:RE92_20475
ko:K01925	ppoy:RE92_20480
ko:K03588	ppoy:RE92_20485
ko:K02563	ppoy:RE92_20490
ko:K00075	ppoy:RE92_20495
ko:K00790	ppoy:RE92_20500
ko:K03589	ppoy:RE92_20505
ko:K03590	ppoy:RE92_20510
ko:K03531	ppoy:RE92_20515
ko:K06383	ppoy:RE92_20520
ko:K03091	ppoy:RE92_20525
ko:K03091	ppoy:RE92_20530
ko:K05810	ppoy:RE92_20540
ko:K06997	ppoy:RE92_20545
ko:K09772	ppoy:RE92_20550
ko:K02221	ppoy:RE92_20555
ko:K04074	ppoy:RE92_20565
ko:K01870	ppoy:RE92_20570
ko:K03101	ppoy:RE92_20585
ko:K06180	ppoy:RE92_20590
ko:K02825	ppoy:RE92_20595
ko:K00609	ppoy:RE92_20600
ko:K01465	ppoy:RE92_20605
ko:K01956	ppoy:RE92_20610
ko:K01955	ppoy:RE92_20615
ko:K01591	ppoy:RE92_20620
ko:K00762	ppoy:RE92_20625
ko:K17320	ppoy:RE92_20655
ko:K17319	ppoy:RE92_20660
ko:K17318	ppoy:RE92_20670
ko:K01051	ppoy:RE92_20685
ko:K02338	ppoy:RE92_25115
ko:K00645	ppoy:RE92_02615
ko:K00648	ppoy:RE92_02620
ko:K03621	ppoy:RE92_02625
ko:K02911	ppoy:RE92_02635
ko:K07040	ppoy:RE92_02640
ko:K07177	ppoy:RE92_02650
ko:K00954	ppoy:RE92_02660
ko:K07813	ppoy:RE92_02675
ko:K12308	ppoy:RE92_02700
ko:K08174	ppoy:RE92_02705
ko:K00355	ppoy:RE92_02725
ko:K05937	ppoy:RE92_02760
ko:K09962	ppoy:RE92_02780
ko:K15973	ppoy:RE92_02800
ko:K01807	ppoy:RE92_02810
ko:K03406	ppoy:RE92_02820
ko:K11931	ppoy:RE92_02830
ko:K00616	ppoy:RE92_02845
ko:K08221	ppoy:RE92_02860
ko:K03406	ppoy:RE92_02865
ko:K01811	ppoy:RE92_02875
ko:K03311	ppoy:RE92_02890
ko:K02532	ppoy:RE92_02895
ko:K03406	ppoy:RE92_02900
ko:K03828	ppoy:RE92_07140
ko:K01104	ppoy:RE92_07160
ko:K01201	ppoy:RE92_07175
ko:K05349	ppoy:RE92_07180
ko:K02073	ppoy:RE92_07205
ko:K02072	ppoy:RE92_07210
ko:K16785	ppoy:RE92_07220
ko:K16786	ppoy:RE92_07225
ko:K16787	ppoy:RE92_07225
ko:K16925	ppoy:RE92_07230
ko:K03424	ppoy:RE92_07235
ko:K07074	ppoy:RE92_07250
ko:K01738	ppoy:RE92_07275
ko:K00891	ppoy:RE92_07305
ko:K03785	ppoy:RE92_07310
ko:K00014	ppoy:RE92_07330
ko:K14415	ppoy:RE92_07335
ko:K15519	ppoy:RE92_07350
ko:K15518	ppoy:RE92_07355
ko:K07693	ppoy:RE92_07360
ko:K07778	ppoy:RE92_07365
ko:K10255	ppoy:RE92_07370
ko:K01491	ppoy:RE92_07375
ko:K02016	ppoy:RE92_07395
ko:K00783	ppoy:RE92_11945
ko:K03406	ppoy:RE92_12015
ko:K08600	ppoy:RE92_12035
ko:K02103	ppoy:RE92_12070
ko:K01804	ppoy:RE92_12085
ko:K00116	ppoy:RE92_12105
ko:K16137	ppoy:RE92_12110
ko:K01834	ppoy:RE92_12125
ko:K03088	ppoy:RE92_12135
ko:K16137	ppoy:RE92_12155
ko:K01181	ppoy:RE92_12170
ko:K03297	ppoy:RE92_12180
ko:K03569	ppoy:RE92_17840
ko:K03570	ppoy:RE92_17845
ko:K03571	ppoy:RE92_17850
ko:K03610	ppoy:RE92_17855
ko:K03609	ppoy:RE92_17860
ko:K06401	ppoy:RE92_17865
ko:K06402	ppoy:RE92_17870
ko:K08301	ppoy:RE92_17875
ko:K02888	ppoy:RE92_17880
ko:K07584	ppoy:RE92_17885
ko:K02899	ppoy:RE92_17890
ko:K03979	ppoy:RE92_17900
ko:K06209	ppoy:RE92_17905
ko:K00003	ppoy:RE92_17910
ko:K00872	ppoy:RE92_17915
ko:K04518	ppoy:RE92_17920
ko:K00826	ppoy:RE92_17925
ko:K06370	ppoy:RE92_17930
ko:K06318	ppoy:RE92_18005
ko:K01159	ppoy:RE92_18010
ko:K03550	ppoy:RE92_18015
ko:K03551	ppoy:RE92_18020
ko:K06381	ppoy:RE92_18025
ko:K07568	ppoy:RE92_18030
ko:K00773	ppoy:RE92_18035
ko:K03210	ppoy:RE92_18040
ko:K06409	ppoy:RE92_18055
ko:K01744	ppoy:RE92_22445
ko:K05796	ppoy:RE92_22450
ko:K05796	ppoy:RE92_22460
ko:K01703	ppoy:RE92_22480
ko:K01704	ppoy:RE92_22485
ko:K01448	ppoy:RE92_22490
ko:K01448	ppoy:RE92_22495
ko:K10773	ppoy:RE92_22505
ko:K00432	ppoy:RE92_22515
ko:K06147	ppoy:RE92_22525
ko:K08289	ppoy:RE92_22535
ko:K02622	ppoy:RE92_22570
ko:K02621	ppoy:RE92_22575
ko:K06180	ppoy:RE92_22595
ko:K06969	ppoy:RE92_22600
ko:K03839	ppoy:RE92_22605
ko:K01673	ppoy:RE92_22670
ko:K01299	ppoy:RE92_22675
ko:K02051	ppoy:RE92_22680
ko:K02049	ppoy:RE92_22685
ko:K02050	ppoy:RE92_22690
ko:K16263	ppoy:RE92_22700
ko:K06328	ppoy:RE92_22710
ko:K03555	ppoy:RE92_22720
ko:K03572	ppoy:RE92_22725
ko:K10117	ppoy:RE92_02905
ko:K01486	ppoy:RE92_02925
ko:K03657	ppoy:RE92_02930
ko:K08984	ppoy:RE92_02945
ko:K01192	ppoy:RE92_02960
ko:K02529	ppoy:RE92_02965
ko:K17318	ppoy:RE92_02970
ko:K03647	ppoy:RE92_02985
ko:K08151	ppoy:RE92_03000
ko:K04750	ppoy:RE92_03010
ko:K06113	ppoy:RE92_03035
ko:K02026	ppoy:RE92_03040
ko:K02025	ppoy:RE92_03045
ko:K02027	ppoy:RE92_03050
ko:K09702	ppoy:RE92_03065
ko:K10907	ppoy:RE92_03070
ko:K16137	ppoy:RE92_03090
ko:K09458	ppoy:RE92_03115
ko:K09798	ppoy:RE92_03150
ko:K07304	ppoy:RE92_03155
ko:K04750	ppoy:RE92_07445
ko:K15532	ppoy:RE92_07465
ko:K09124	ppoy:RE92_07480
ko:K03215	ppoy:RE92_07510
ko:K07029	ppoy:RE92_07515
ko:K03284	ppoy:RE92_07535
ko:K02028	ppoy:RE92_07540
ko:K02029	ppoy:RE92_07545
ko:K02030	ppoy:RE92_07545
ko:K03306	ppoy:RE92_07550
ko:K07220	ppoy:RE92_07555
ko:K16937	ppoy:RE92_07565
ko:K06889	ppoy:RE92_07580
ko:K02016	ppoy:RE92_07595
ko:K02015	ppoy:RE92_07600
ko:K02015	ppoy:RE92_07605
ko:K06113	ppoy:RE92_07610
ko:K01754	ppoy:RE92_07615
ko:K17236	ppoy:RE92_07620
ko:K17235	ppoy:RE92_07625
ko:K17234	ppoy:RE92_07630
ko:K06434	ppoy:RE92_07635
ko:K06999	ppoy:RE92_07640
ko:K03299	ppoy:RE92_12185
ko:K00851	ppoy:RE92_12190
ko:K11476	ppoy:RE92_12195
ko:K03299	ppoy:RE92_12200
ko:K00865	ppoy:RE92_12205
ko:K02647	ppoy:RE92_12210
ko:K03790	ppoy:RE92_12220
ko:K02768	ppoy:RE92_12245
ko:K02769	ppoy:RE92_12245
ko:K02770	ppoy:RE92_12245
ko:K00375	ppoy:RE92_12255
ko:K00981	ppoy:RE92_12265
ko:K19267	ppoy:RE92_12280
ko:K06193	ppoy:RE92_12285
ko:K11632	ppoy:RE92_12335
ko:K11631	ppoy:RE92_12340
ko:K11629	ppoy:RE92_12345
ko:K11630	ppoy:RE92_12350
ko:K07023	ppoy:RE92_12355
ko:K06439	ppoy:RE92_12380
ko:K00121	ppoy:RE92_12390
ko:K07034	ppoy:RE92_12425
ko:K00059	ppoy:RE92_12450
ko:K00432	ppoy:RE92_12460
ko:K03088	ppoy:RE92_18660
ko:K00209	ppoy:RE92_18675
ko:K07775	ppoy:RE92_18690
ko:K15583	ppoy:RE92_18700
ko:K01728	ppoy:RE92_18705
ko:K05982	ppoy:RE92_18735
ko:K02525	ppoy:RE92_18745
ko:K03475	ppoy:RE92_18750
ko:K07718	ppoy:RE92_18765
ko:K10117	ppoy:RE92_18775
ko:K10118	ppoy:RE92_18780
ko:K10119	ppoy:RE92_18785
ko:K00975	ppoy:RE92_23335
ko:K00700	ppoy:RE92_23340
ko:K00703	ppoy:RE92_23345
ko:K02029	ppoy:RE92_23360
ko:K02030	ppoy:RE92_23360
ko:K02028	ppoy:RE92_23365
ko:K03969	ppoy:RE92_23385
ko:K03750	ppoy:RE92_23430
ko:K03753	ppoy:RE92_23435
ko:K07088	ppoy:RE92_23460
ko:K00059	ppoy:RE92_23470
ko:K02529	ppoy:RE92_23480
ko:K00852	ppoy:RE92_23485
ko:K06726	ppoy:RE92_23490
ko:K10441	ppoy:RE92_23495
ko:K10440	ppoy:RE92_23500
ko:K10439	ppoy:RE92_23505
ko:K02016	ppoy:RE92_23510
ko:K06147	ppoy:RE92_23515
ko:K02016	ppoy:RE92_23520
ko:K02015	ppoy:RE92_23525
ko:K02015	ppoy:RE92_23530
ko:K00016	ppoy:RE92_23580
ko:K03294	ppoy:RE92_23585
ko:K01449	ppoy:RE92_23610
ko:K06305	ppoy:RE92_23615
ko:K00036	ppoy:RE92_16320
ko:K02837	ppoy:RE92_16325
ko:K06426	ppoy:RE92_16330
ko:K03499	ppoy:RE92_16335
ko:K03437	ppoy:RE92_16340
ko:K03088	ppoy:RE92_16345
ko:K11635	ppoy:RE92_16370
ko:K11636	ppoy:RE92_16375
ko:K02005	ppoy:RE92_16385
