ko:K18929	hey:MWE_0206
ko:K06148	hey:MWE_1407
ko:K05922	hey:MWE_0877
ko:K05927	hey:MWE_0878
ko:K00104	hey:MWE_1016
ko:K03605	hey:MWE_0875
ko:K03695	hey:MWE_0340
ko:K02020	hey:MWE_0539
ko:K06193	hey:MWE_0568
ko:K03530	hey:MWE_0603
ko:K01507	hey:MWE_0889
ko:K03601	hey:MWE_1152
ko:K01579	hey:MWE_1561
ko:K07126	hey:MWE_1741
ko:K11784	hey:MWE_0852
ko:K12048	hey:MWE_0697
ko:K07501	hey:MWE_0817
ko:K12048	hey:MWE_p18
ko:K11785	hey:MWE_0222
ko:K18284	hey:MWE_0186
ko:K18285	hey:MWE_0854
ko:K16235	hey:MWE_0514
ko:K18480	hey:MWE_1649
ko:K00681	hey:MWE_1302
ko:K07316	hey:MWE_1574
ko:K18930	hey:MWE_1423
ko:K03203	hey:MWE_0695
ko:K03204	hey:MWE_0696
ko:K03205	hey:MWE_0705
ko:K03497	hey:MWE_1323
ko:K03196	hey:MWE_0998
ko:K03761	hey:MWE_0432
ko:K02483	hey:MWE_0237
ko:K03526	hey:MWE_0883
ko:K03296	hey:MWE_0907
ko:K07448	hey:MWE_0446
ko:K19157	hey:MWE_0706
ko:K19157	hey:MWE_p09
ko:K00571	hey:MWE_0046
ko:K00571	hey:MWE_0078
ko:K00571	hey:MWE_0182
ko:K00571	hey:MWE_0339
ko:K00590	hey:MWE_0623
ko:K04771	hey:MWE_0513
ko:K01992	hey:MWE_1674
ko:K07496	hey:MWE_0688
ko:K07496	hey:MWE_0714
ko:K07496	hey:MWE_0972
ko:K07496	hey:MWE_p02
ko:K19302	hey:MWE_0588
ko:K19416	hey:MWE_1075
ko:K12053	hey:MWE_0692
ko:K12053	hey:MWE_p23
ko:K20151	hey:MWE_0857
ko:K20810	hey:MWE_0345
ko:K20151	hey:MWE_1252
ko:K00525	hey:MWE_0829
ko:K07100	hey:MWE_1417
ko:K02335	hey:MWE_1657
ko:K02335	hey:MWE_0509
ko:K00558	hey:MWE_0819
ko:K02316	hey:MWE_0016
ko:K02314	hey:MWE_0052
ko:K00558	hey:MWE_0079
ko:K00558	hey:MWE_0082
ko:K03553	hey:MWE_0223
ko:K06223	hey:MWE_0549
ko:K00558	hey:MWE_0552
ko:K01520	hey:MWE_0576
ko:K00558	hey:MWE_1305
ko:K02483	hey:MWE_0048
ko:K00526	hey:MWE_1269
ko:K01139	hey:MWE_0671
ko:K07097	hey:MWE_0489
ko:K02483	hey:MWE_0488
ko:K10026	hey:MWE_1089
ko:K21929	hey:MWE_0858
ko:K03595	hey:MWE_1006
ko:K09022	hey:MWE_1101
ko:K22278	hey:MWE_0391
ko:K14441	hey:MWE_0762
ko:K22391	hey:MWE_1125
ko:K00590	hey:MWE_0045
ko:K00571	hey:MWE_0066
ko:K01007	hey:MWE_0150
