ko:K03465	bah:BAMEG_0822
ko:K07570	bah:BAMEG_5189
ko:K04565	bah:BAMEG_5196
ko:K01880	bah:BAMEG_5204
ko:K03523	bah:BAMEG_5207
ko:K00963	bah:BAMEG_5209
ko:K01255	bah:BAMEG_5213
ko:K03885	bah:BAMEG_5217
ko:K01867	bah:BAMEG_3399
ko:K09458	bah:BAMEG_3402
ko:K00648	bah:BAMEG_3403
ko:K03695	bah:BAMEG_3408
ko:K07533	bah:BAMEG_3416
ko:K00243	bah:BAMEG_3418
ko:K09767	bah:BAMEG_3419
ko:K03320	bah:BAMEG_3422
ko:K03781	bah:BAMEG_3423
ko:K01772	bah:BAMEG_3424
ko:K01953	bah:BAMEG_3425
ko:K00819	bah:BAMEG_3428
ko:K03100	bah:BAMEG_3441
ko:K02250	bah:BAMEG_3443
ko:K03704	bah:BAMEG_3446
ko:K01637	bah:BAMEG_3448
ko:K01638	bah:BAMEG_3449
ko:K06024	bah:BAMEG_4317
ko:K05896	bah:BAMEG_4318
ko:K09763	bah:BAMEG_4319
ko:K02859	bah:BAMEG_4320
ko:K06407	bah:BAMEG_4326
ko:K06407	bah:BAMEG_4327
ko:K06406	bah:BAMEG_4328
ko:K06405	bah:BAMEG_4329
ko:K03308	bah:BAMEG_4333
ko:K03091	bah:BAMEG_4334
ko:K06379	bah:BAMEG_4335
ko:K07258	bah:BAMEG_4337
ko:K09807	bah:BAMEG_4343
ko:K06901	bah:BAMEG_4344
ko:K03284	bah:BAMEG_4345
ko:K00756	bah:BAMEG_4346
ko:K03783	bah:BAMEG_4347
ko:K01839	bah:BAMEG_4348
ko:K04763	bah:BAMEG_4350
ko:K07084	bah:BAMEG_4364
ko:K11752	bah:BAMEG_4371
ko:K00793	bah:BAMEG_4372
ko:K00794	bah:BAMEG_4375
ko:K01778	bah:BAMEG_5228
ko:K03885	bah:BAMEG_5230
ko:K06193	bah:BAMEG_5234
ko:K02446	bah:BAMEG_5252
ko:K01834	bah:BAMEG_5260
ko:K03644	bah:BAMEG_5262
ko:K09014	bah:BAMEG_5270
ko:K04488	bah:BAMEG_5271
ko:K11717	bah:BAMEG_5272
ko:K09015	bah:BAMEG_5273
ko:K09013	bah:BAMEG_5274
ko:K02073	bah:BAMEG_5275
ko:K02073	bah:BAMEG_5276
ko:K02072	bah:BAMEG_5277
ko:K02071	bah:BAMEG_5278
ko:K02437	bah:BAMEG_5284
ko:K03088	bah:BAMEG_3466
ko:K06885	bah:BAMEG_3468
ko:K07098	bah:BAMEG_3469
ko:K03800	bah:BAMEG_3487
ko:K07004	bah:BAMEG_3501
ko:K00231	bah:BAMEG_3503
ko:K01772	bah:BAMEG_3504
ko:K01599	bah:BAMEG_3505
ko:K08981	bah:BAMEG_3508
ko:K09167	bah:BAMEG_3509
ko:K08987	bah:BAMEG_3514
ko:K01012	bah:BAMEG_4376
ko:K02169	bah:BAMEG_4377
ko:K02170	bah:BAMEG_4378
ko:K01935	bah:BAMEG_4380
ko:K00833	bah:BAMEG_4381
ko:K03315	bah:BAMEG_4384
ko:K00930	bah:BAMEG_4392
ko:K00145	bah:BAMEG_4394
ko:K07124	bah:BAMEG_4396
ko:K00286	bah:BAMEG_4399
ko:K01752	bah:BAMEG_4400
ko:K01752	bah:BAMEG_4401
ko:K00784	bah:BAMEG_4403
ko:K02346	bah:BAMEG_4405
ko:K03790	bah:BAMEG_4407
ko:K09699	bah:BAMEG_4419
ko:K00167	bah:BAMEG_4420
ko:K00166	bah:BAMEG_4421
ko:K00382	bah:BAMEG_4422
ko:K00929	bah:BAMEG_4423
ko:K00263	bah:BAMEG_4424
ko:K01126	bah:BAMEG_4428
ko:K07035	bah:BAMEG_5293
ko:K00016	bah:BAMEG_5294
ko:K03217	bah:BAMEG_5316
ko:K01874	bah:BAMEG_5331
ko:K06911	bah:BAMEG_5336
ko:K03455	bah:BAMEG_5339
ko:K03310	bah:BAMEG_5341
ko:K04047	bah:BAMEG_5342
ko:K06966	bah:BAMEG_5346
ko:K08981	bah:BAMEG_3517
ko:K09167	bah:BAMEG_3519
ko:K07533	bah:BAMEG_3531
ko:K03088	bah:BAMEG_3540
ko:K00111	bah:BAMEG_3543
ko:K00864	bah:BAMEG_3544
ko:K02440	bah:BAMEG_3545
ko:K03698	bah:BAMEG_3558
ko:K03407	bah:BAMEG_3575
ko:K07699	bah:BAMEG_4431
ko:K06399	bah:BAMEG_4432
ko:K03631	bah:BAMEG_4433
ko:K03402	bah:BAMEG_4434
ko:K06442	bah:BAMEG_4435
ko:K01662	bah:BAMEG_4436
ko:K03602	bah:BAMEG_4438
ko:K03601	bah:BAMEG_4439
ko:K03625	bah:BAMEG_4441
ko:K02160	bah:BAMEG_4444
ko:K06397	bah:BAMEG_4445
ko:K06396	bah:BAMEG_4446
ko:K06394	bah:BAMEG_4448
ko:K07313	bah:BAMEG_4016
ko:K05815	bah:BAMEG_4018
ko:K05814	bah:BAMEG_4019
ko:K05816	bah:BAMEG_4020
ko:K03300	bah:BAMEG_4025
ko:K01387	bah:BAMEG_4031
ko:K09786	bah:BAMEG_4035
ko:K07180	bah:BAMEG_4036
ko:K03216	bah:BAMEG_4038
ko:K09825	bah:BAMEG_4068
ko:K03564	bah:BAMEG_4069
ko:K01845	bah:BAMEG_4074
ko:K01755	bah:BAMEG_4911
ko:K01940	bah:BAMEG_4912
ko:K00925	bah:BAMEG_4920
ko:K11065	bah:BAMEG_4922
ko:K00858	bah:BAMEG_4925
ko:K01895	bah:BAMEG_4928
ko:K03151	bah:BAMEG_4930
ko:K04487	bah:BAMEG_4931
ko:K06286	bah:BAMEG_4932
ko:K01761	bah:BAMEG_4939
ko:K02986	bah:BAMEG_4940
ko:K01866	bah:BAMEG_4943
ko:K03088	bah:BAMEG_4945
ko:K01895	bah:BAMEG_4947
ko:K04766	bah:BAMEG_4948
ko:K04768	bah:BAMEG_4950
ko:K03810	bah:BAMEG_4955
ko:K03282	bah:BAMEG_4956
ko:K02529	bah:BAMEG_4961
ko:K01924	bah:BAMEG_4969
ko:K02279	bah:BAMEG_A0078
ko:K02283	bah:BAMEG_A0080
ko:K00265	bah:BAMEG_4075
ko:K07586	bah:BAMEG_4078
ko:K03575	bah:BAMEG_4084
ko:K03565	bah:BAMEG_4090
ko:K07071	bah:BAMEG_4091
ko:K04069	bah:BAMEG_4096
ko:K00656	bah:BAMEG_4097
ko:K01425	bah:BAMEG_4109
ko:K06173	bah:BAMEG_4119
ko:K00763	bah:BAMEG_4970
ko:K03466	bah:BAMEG_4971
ko:K06878	bah:BAMEG_4973
ko:K03439	bah:BAMEG_4980
ko:K01975	bah:BAMEG_4984
ko:K01439	bah:BAMEG_4986
ko:K07007	bah:BAMEG_4990
ko:K05340	bah:BAMEG_5000
ko:K03636	bah:BAMEG_5002
ko:K03635	bah:BAMEG_5003
ko:K03753	bah:BAMEG_5004
ko:K03750	bah:BAMEG_5005
ko:K03637	bah:BAMEG_5006
ko:K03639	bah:BAMEG_5009
ko:K00641	bah:BAMEG_5015
ko:K01869	bah:BAMEG_5025
ko:K03455	bah:BAMEG_5027
ko:K00963	bah:BAMEG_A0122
ko:K00012	bah:BAMEG_A0123
ko:K06904	bah:BAMEG_4139
ko:K07177	bah:BAMEG_4177
ko:K02392	bah:BAMEG_2868
ko:K02404	bah:BAMEG_2869
ko:K02400	bah:BAMEG_2870
ko:K02401	bah:BAMEG_2871
ko:K02421	bah:BAMEG_2872
ko:K02420	bah:BAMEG_2873
ko:K02419	bah:BAMEG_2874
ko:K02417	bah:BAMEG_2876
ko:K02416	bah:BAMEG_2878
ko:K02417	bah:BAMEG_2879
ko:K02406	bah:BAMEG_2881
ko:K03415	bah:BAMEG_2895
ko:K02390	bah:BAMEG_2899
ko:K02389	bah:BAMEG_2900
ko:K02412	bah:BAMEG_2905
ko:K02411	bah:BAMEG_2906
ko:K02410	bah:BAMEG_2907
ko:K02409	bah:BAMEG_2909
ko:K02408	bah:BAMEG_2910
ko:K02388	bah:BAMEG_2911
ko:K02387	bah:BAMEG_2912
ko:K02422	bah:BAMEG_2914
ko:K02407	bah:BAMEG_2915
ko:K02397	bah:BAMEG_2917
ko:K02396	bah:BAMEG_2918
ko:K09770	bah:BAMEG_2921
ko:K02417	bah:BAMEG_2926
ko:K03407	bah:BAMEG_2927
ko:K03413	bah:BAMEG_2929
ko:K02557	bah:BAMEG_2930
ko:K02556	bah:BAMEG_2931
ko:K07023	bah:BAMEG_2933
ko:K03666	bah:BAMEG_2934
ko:K03704	bah:BAMEG_2961
ko:K03469	bah:BAMEG_2964
ko:K03469	bah:BAMEG_2968
ko:K08989	bah:BAMEG_2988
ko:K07148	bah:BAMEG_3000
ko:K03816	bah:BAMEG_3002
ko:K01265	bah:BAMEG_3005
ko:K01299	bah:BAMEG_3008
ko:K07444	bah:BAMEG_3011
ko:K03700	bah:BAMEG_3022
ko:K05366	bah:BAMEG_3023
ko:K10773	bah:BAMEG_3025
ko:K02086	bah:BAMEG_3026
ko:K00812	bah:BAMEG_3027
ko:K03722	bah:BAMEG_3030
ko:K01579	bah:BAMEG_3031
ko:K01918	bah:BAMEG_3032
ko:K00606	bah:BAMEG_3033
ko:K03524	bah:BAMEG_3035
ko:K03337	bah:BAMEG_2084
ko:K01624	bah:BAMEG_2085
ko:K03335	bah:BAMEG_2086
ko:K03336	bah:BAMEG_2087
ko:K00140	bah:BAMEG_2089
ko:K03338	bah:BAMEG_2090
ko:K03088	bah:BAMEG_2101
ko:K01834	bah:BAMEG_2113
ko:K02003	bah:BAMEG_2119
ko:K07775	bah:BAMEG_3097
ko:K07399	bah:BAMEG_3099
ko:K06178	bah:BAMEG_3101
ko:K06374	bah:BAMEG_3102
ko:K06373	bah:BAMEG_3103
ko:K04564	bah:BAMEG_3105
ko:K03784	bah:BAMEG_3111
ko:K01754	bah:BAMEG_2132
ko:K09001	bah:BAMEG_2136
ko:K02761	bah:BAMEG_2138
ko:K02760	bah:BAMEG_2139
ko:K03088	bah:BAMEG_2147
ko:K01448	bah:BAMEG_2155
ko:K00133	bah:BAMEG_2164
ko:K03704	bah:BAMEG_2176
ko:K00231	bah:BAMEG_2180
ko:K03825	bah:BAMEG_2186
ko:K07238	bah:BAMEG_2202
ko:K02003	bah:BAMEG_2211
ko:K01868	bah:BAMEG_2212
ko:K06182	bah:BAMEG_2214
ko:K03310	bah:BAMEG_2219
ko:K03530	bah:BAMEG_2223
ko:K02956	bah:BAMEG_0686
ko:K00962	bah:BAMEG_0687
ko:K00133	bah:BAMEG_0693
ko:K00928	bah:BAMEG_0694
ko:K01714	bah:BAMEG_0695
ko:K03466	bah:BAMEG_0699
ko:K03710	bah:BAMEG_0701
ko:K00059	bah:BAMEG_0709
ko:K00995	bah:BAMEG_0713
ko:K03553	bah:BAMEG_0715
ko:K03553	bah:BAMEG_0716
ko:K09769	bah:BAMEG_0718
ko:K06416	bah:BAMEG_0719
ko:K00174	bah:BAMEG_0721
ko:K00175	bah:BAMEG_0722
ko:K03555	bah:BAMEG_0726
ko:K03572	bah:BAMEG_0727
ko:K01442	bah:BAMEG_0733
ko:K07137	bah:BAMEG_0737
ko:K01771	bah:BAMEG_0741
ko:K01556	bah:BAMEG_1842
ko:K00453	bah:BAMEG_1844
ko:K03076	bah:BAMEG_1861
ko:K00285	bah:BAMEG_1880
ko:K08310	bah:BAMEG_1881
ko:K06153	bah:BAMEG_1891
ko:K11216	bah:BAMEG_1624
ko:K10558	bah:BAMEG_1626
ko:K10556	bah:BAMEG_1628
ko:K10557	bah:BAMEG_1629
ko:K10555	bah:BAMEG_1630
ko:K00116	bah:BAMEG_1631
ko:K03088	bah:BAMEG_1635
ko:K01736	bah:BAMEG_1646
ko:K00817	bah:BAMEG_1647
ko:K00800	bah:BAMEG_1649
ko:K03924	bah:BAMEG_1589
ko:K00876	bah:BAMEG_1596
ko:K07707	bah:BAMEG_1597
ko:K07706	bah:BAMEG_1598
ko:K07727	bah:BAMEG_1602
ko:K10255	bah:BAMEG_1605
ko:K00286	bah:BAMEG_1610
ko:K00931	bah:BAMEG_1611
ko:K00147	bah:BAMEG_1612
ko:K05375	bah:BAMEG_2227
ko:K02361	bah:BAMEG_2231
ko:K00216	bah:BAMEG_2232
ko:K03546	bah:BAMEG_2240
ko:K03547	bah:BAMEG_2241
ko:K00140	bah:BAMEG_2246
ko:K01720	bah:BAMEG_2251
ko:K01647	bah:BAMEG_2252
ko:K05366	bah:BAMEG_2255
ko:K07533	bah:BAMEG_2262
ko:K06377	bah:BAMEG_2286
ko:K08884	bah:BAMEG_2287
ko:K01438	bah:BAMEG_2297
ko:K03758	bah:BAMEG_2312
ko:K05845	bah:BAMEG_2313
ko:K05846	bah:BAMEG_2313
ko:K07040	bah:BAMEG_0564
ko:K02911	bah:BAMEG_0565
ko:K00077	bah:BAMEG_0568
ko:K03438	bah:BAMEG_0570
ko:K08724	bah:BAMEG_0572
ko:K08384	bah:BAMEG_0573
ko:K01928	bah:BAMEG_0574
ko:K01000	bah:BAMEG_0575
ko:K01925	bah:BAMEG_0576
ko:K03588	bah:BAMEG_0577
ko:K02563	bah:BAMEG_0578
ko:K00075	bah:BAMEG_0579
ko:K03589	bah:BAMEG_0580
ko:K03590	bah:BAMEG_0581
ko:K03531	bah:BAMEG_0582
ko:K06383	bah:BAMEG_0583
ko:K03091	bah:BAMEG_0584
ko:K03091	bah:BAMEG_0585
ko:K05810	bah:BAMEG_0587
ko:K06997	bah:BAMEG_0588
ko:K09772	bah:BAMEG_0589
ko:K02221	bah:BAMEG_0590
ko:K04074	bah:BAMEG_0592
ko:K01870	bah:BAMEG_0593
ko:K03101	bah:BAMEG_0595
ko:K06180	bah:BAMEG_0597
ko:K02825	bah:BAMEG_0599
ko:K00609	bah:BAMEG_0603
ko:K01465	bah:BAMEG_0604
ko:K01956	bah:BAMEG_0605
ko:K01356	bah:BAMEG_0881
ko:K02044	bah:BAMEG_0886
ko:K02041	bah:BAMEG_0887
ko:K02042	bah:BAMEG_0888
ko:K02042	bah:BAMEG_0889
ko:K00615	bah:BAMEG_0891
ko:K09976	bah:BAMEG_0893
ko:K07090	bah:BAMEG_0900
ko:K06196	bah:BAMEG_0908
ko:K01745	bah:BAMEG_0922
ko:K01712	bah:BAMEG_0923
ko:K01468	bah:BAMEG_0924
ko:K07736	bah:BAMEG_0926
ko:K06999	bah:BAMEG_0931
ko:K01489	bah:BAMEG_0938
ko:K03523	bah:BAMEG_0944
ko:K00626	bah:BAMEG_0946
ko:K01681	bah:BAMEG_0957
ko:K02342	bah:BAMEG_0962
ko:K07107	bah:BAMEG_0967
ko:K08591	bah:BAMEG_0969
ko:K04068	bah:BAMEG_0971
ko:K02622	bah:BAMEG_0975
ko:K02892	bah:BAMEG_0128
ko:K02886	bah:BAMEG_0129
ko:K02965	bah:BAMEG_0130
ko:K02890	bah:BAMEG_0131
ko:K02982	bah:BAMEG_0132
ko:K02878	bah:BAMEG_0133
ko:K02904	bah:BAMEG_0134
ko:K02961	bah:BAMEG_0135
ko:K02874	bah:BAMEG_0136
ko:K02895	bah:BAMEG_0137
ko:K02931	bah:BAMEG_0138
ko:K02954	bah:BAMEG_0139
ko:K02994	bah:BAMEG_0140
ko:K02933	bah:BAMEG_0141
ko:K02881	bah:BAMEG_0142
ko:K02988	bah:BAMEG_0143
ko:K02907	bah:BAMEG_0144
ko:K02876	bah:BAMEG_0145
ko:K03076	bah:BAMEG_0146
ko:K00939	bah:BAMEG_0147
ko:K01265	bah:BAMEG_0148
ko:K02518	bah:BAMEG_0149
ko:K02919	bah:BAMEG_0150
ko:K02952	bah:BAMEG_0151
ko:K02948	bah:BAMEG_0152
ko:K03040	bah:BAMEG_0153
ko:K02879	bah:BAMEG_0154
ko:K06173	bah:BAMEG_0158
ko:K02871	bah:BAMEG_0160
ko:K00574	bah:BAMEG_1167
ko:K03837	bah:BAMEG_1178
ko:K00059	bah:BAMEG_1188
ko:K00036	bah:BAMEG_1194
ko:K00615	bah:BAMEG_1195
ko:K00033	bah:BAMEG_1196
ko:K00616	bah:BAMEG_1197
ko:K00851	bah:BAMEG_1199
ko:K02996	bah:BAMEG_0161
ko:K01448	bah:BAMEG_0163
ko:K03593	bah:BAMEG_0164
ko:K00865	bah:BAMEG_0183
ko:K01476	bah:BAMEG_0184
ko:K03431	bah:BAMEG_0187
ko:K00820	bah:BAMEG_0189
ko:K11476	bah:BAMEG_0191
ko:K00851	bah:BAMEG_0192
ko:K00851	bah:BAMEG_0193
ko:K03299	bah:BAMEG_0194
ko:K00033	bah:BAMEG_0195
ko:K00059	bah:BAMEG_0204
ko:K02072	bah:BAMEG_0205
ko:K02071	bah:BAMEG_0206
ko:K02073	bah:BAMEG_0207
ko:K07552	bah:BAMEG_0214
ko:K02031	bah:BAMEG_0220
ko:K02032	bah:BAMEG_0221
ko:K02035	bah:BAMEG_0228
ko:K04045	bah:BAMEG_1410
ko:K03325	bah:BAMEG_1415
ko:K02548	bah:BAMEG_1425
ko:K05577	bah:BAMEG_1428
ko:K09822	bah:BAMEG_1429
ko:K01669	bah:BAMEG_1431
ko:K09932	bah:BAMEG_1443
ko:K03781	bah:BAMEG_1447
ko:K01425	bah:BAMEG_1455
ko:K00286	bah:BAMEG_0231
ko:K03811	bah:BAMEG_0232
ko:K05340	bah:BAMEG_0233
ko:K02018	bah:BAMEG_0234
ko:K02020	bah:BAMEG_0236
ko:K03424	bah:BAMEG_0247
ko:K02035	bah:BAMEG_0257
ko:K02033	bah:BAMEG_0258
ko:K02034	bah:BAMEG_0259
ko:K00457	bah:BAMEG_0269
ko:K00451	bah:BAMEG_0271
ko:K01921	bah:BAMEG_0273
ko:K01929	bah:BAMEG_0275
ko:K05592	bah:BAMEG_0276
ko:K00997	bah:BAMEG_0279
ko:K01775	bah:BAMEG_0281
ko:K06959	bah:BAMEG_0284
ko:K03095	bah:BAMEG_0285
ko:K01243	bah:BAMEG_2036
ko:K01895	bah:BAMEG_2047
ko:K01640	bah:BAMEG_2050
ko:K02160	bah:BAMEG_2051
ko:K00003	bah:BAMEG_1987
ko:K01928	bah:BAMEG_2006
ko:K09984	bah:BAMEG_1201
ko:K00099	bah:BAMEG_1219
ko:K01867	bah:BAMEG_1220
ko:K02003	bah:BAMEG_1222
ko:K00661	bah:BAMEG_1224
ko:K00059	bah:BAMEG_1241
ko:K00873	bah:BAMEG_1243
ko:K01892	bah:BAMEG_1249
ko:K03976	bah:BAMEG_1250
ko:K08591	bah:BAMEG_1251
ko:K02553	bah:BAMEG_1257
ko:K01448	bah:BAMEG_2072
ko:K01834	bah:BAMEG_0755
ko:K01258	bah:BAMEG_0759
ko:K01247	bah:BAMEG_0760
ko:K01142	bah:BAMEG_0763
ko:K02016	bah:BAMEG_0765
ko:K02015	bah:BAMEG_0766
ko:K02015	bah:BAMEG_0767
ko:K02013	bah:BAMEG_0768
ko:K03530	bah:BAMEG_0774
ko:K07098	bah:BAMEG_0776
ko:K08976	bah:BAMEG_0782
ko:K00882	bah:BAMEG_0786
ko:K02768	bah:BAMEG_0787
ko:K02769	bah:BAMEG_0787
ko:K02770	bah:BAMEG_0787
ko:K00791	bah:BAMEG_0790
ko:K03666	bah:BAMEG_0791
ko:K03665	bah:BAMEG_0796
ko:K03713	bah:BAMEG_0799
ko:K01915	bah:BAMEG_0800
ko:K00558	bah:BAMEG_0821
ko:K03088	bah:BAMEG_0833
ko:K06904	bah:BAMEG_0849
ko:K06187	bah:BAMEG_0028
ko:K06317	bah:BAMEG_0030
ko:K00943	bah:BAMEG_0039
ko:K02341	bah:BAMEG_0040
ko:K07461	bah:BAMEG_0044
ko:K07056	bah:BAMEG_0045
ko:K06284	bah:BAMEG_0046
ko:K01874	bah:BAMEG_0047
ko:K03424	bah:BAMEG_0048
ko:K05985	bah:BAMEG_0049
ko:K02528	bah:BAMEG_0050
ko:K06436	bah:BAMEG_0051
ko:K00919	bah:BAMEG_0054
ko:K09685	bah:BAMEG_0055
ko:K06412	bah:BAMEG_0058
ko:K04042	bah:BAMEG_0059
ko:K00948	bah:BAMEG_0060
ko:K01056	bah:BAMEG_0061
ko:K03723	bah:BAMEG_0063
ko:K04769	bah:BAMEG_0064
ko:K02499	bah:BAMEG_0066
ko:K07571	bah:BAMEG_0071
ko:K06382	bah:BAMEG_0074
ko:K04075	bah:BAMEG_0075
ko:K00760	bah:BAMEG_0076
ko:K03798	bah:BAMEG_0077
ko:K03525	bah:BAMEG_0078
ko:K04083	bah:BAMEG_0079
ko:K01738	bah:BAMEG_0080
ko:K01665	bah:BAMEG_0081
ko:K02619	bah:BAMEG_0083
ko:K00796	bah:BAMEG_0084
ko:K01633	bah:BAMEG_0085
ko:K00950	bah:BAMEG_0086
ko:K04567	bah:BAMEG_0089
ko:K03708	bah:BAMEG_0094
ko:K02015	bah:BAMEG_1095
ko:K02015	bah:BAMEG_1096
ko:K02016	bah:BAMEG_1098
ko:K09936	bah:BAMEG_1117
ko:K03696	bah:BAMEG_0097
ko:K04485	bah:BAMEG_0098
ko:K01955	bah:BAMEG_0606
ko:K01591	bah:BAMEG_0609
ko:K00762	bah:BAMEG_0610
ko:K09777	bah:BAMEG_0621
ko:K00942	bah:BAMEG_0622
ko:K03060	bah:BAMEG_0623
ko:K07090	bah:BAMEG_1533
ko:K00876	bah:BAMEG_1537
ko:K09768	bah:BAMEG_1545
ko:K02003	bah:BAMEG_1556
ko:K03924	bah:BAMEG_1570
ko:K01486	bah:BAMEG_1576
ko:K03781	bah:BAMEG_1578
ko:K02106	bah:BAMEG_1270
ko:K11031	bah:BAMEG_1271
ko:K03088	bah:BAMEG_1301
ko:K00831	bah:BAMEG_1304
ko:K04655	bah:BAMEG_1311
ko:K04656	bah:BAMEG_1312
ko:K00836	bah:BAMEG_1313
ko:K01752	bah:BAMEG_1315
ko:K01752	bah:BAMEG_1316
ko:K03837	bah:BAMEG_1317
ko:K01387	bah:BAMEG_1322
ko:K04066	bah:BAMEG_0625
ko:K01462	bah:BAMEG_0626
ko:K00604	bah:BAMEG_0627
ko:K03500	bah:BAMEG_0628
ko:K06941	bah:BAMEG_0629
ko:K06949	bah:BAMEG_0632
ko:K01783	bah:BAMEG_0633
ko:K02902	bah:BAMEG_0635
ko:K07030	bah:BAMEG_0637
ko:K03655	bah:BAMEG_0638
ko:K03621	bah:BAMEG_0640
ko:K00645	bah:BAMEG_0641
ko:K00059	bah:BAMEG_0642
ko:K02078	bah:BAMEG_0643
ko:K03685	bah:BAMEG_0644
ko:K03529	bah:BAMEG_0645
ko:K03110	bah:BAMEG_0646
ko:K09787	bah:BAMEG_0647
ko:K03106	bah:BAMEG_0648
ko:K02959	bah:BAMEG_0649
ko:K06960	bah:BAMEG_0650
ko:K02860	bah:BAMEG_0651
ko:K00554	bah:BAMEG_0652
ko:K02884	bah:BAMEG_0654
ko:K03100	bah:BAMEG_0655
ko:K03470	bah:BAMEG_0657
ko:K01903	bah:BAMEG_0658
ko:K01902	bah:BAMEG_0659
ko:K04096	bah:BAMEG_0660
ko:K03168	bah:BAMEG_0661
ko:K04094	bah:BAMEG_0662
ko:K03733	bah:BAMEG_0663
ko:K01419	bah:BAMEG_0664
ko:K03667	bah:BAMEG_0665
ko:K03706	bah:BAMEG_0666
ko:K02967	bah:BAMEG_0667
ko:K02357	bah:BAMEG_0668
ko:K09903	bah:BAMEG_0669
ko:K02838	bah:BAMEG_0670
ko:K00806	bah:BAMEG_0671
ko:K00981	bah:BAMEG_0672
ko:K00099	bah:BAMEG_0673
ko:K01881	bah:BAMEG_0675
ko:K03763	bah:BAMEG_0676
ko:K09748	bah:BAMEG_0677
ko:K02600	bah:BAMEG_0678
ko:K07742	bah:BAMEG_0679
ko:K02519	bah:BAMEG_0681
ko:K09764	bah:BAMEG_0682
ko:K02834	bah:BAMEG_0683
ko:K03177	bah:BAMEG_0684
ko:K11753	bah:BAMEG_0685
ko:K00027	bah:BAMEG_1466
ko:K03311	bah:BAMEG_1470
ko:K01744	bah:BAMEG_1476
ko:K07217	bah:BAMEG_1477
ko:K06385	bah:BAMEG_1507
ko:K06201	bah:BAMEG_1508
ko:K03100	bah:BAMEG_1509
ko:K07160	bah:BAMEG_1513
ko:K01304	bah:BAMEG_1517
ko:K03100	bah:BAMEG_1521
ko:K03502	bah:BAMEG_1332
ko:K00782	bah:BAMEG_1350
ko:K07734	bah:BAMEG_1353
ko:K02003	bah:BAMEG_1363
ko:K00648	bah:BAMEG_1367
ko:K05396	bah:BAMEG_1379
ko:K02760	bah:BAMEG_3766
ko:K02759	bah:BAMEG_3767
ko:K02809	bah:BAMEG_3804
ko:K02810	bah:BAMEG_3804
ko:K00847	bah:BAMEG_3806
ko:K06901	bah:BAMEG_3811
ko:K07646	bah:BAMEG_3816
ko:K01548	bah:BAMEG_3817
ko:K01547	bah:BAMEG_3818
ko:K01546	bah:BAMEG_3819
ko:K07560	bah:BAMEG_4670
ko:K00759	bah:BAMEG_4672
ko:K07462	bah:BAMEG_4673
ko:K03210	bah:BAMEG_4680
ko:K00773	bah:BAMEG_4681
ko:K07568	bah:BAMEG_4682
ko:K03551	bah:BAMEG_4684
ko:K03550	bah:BAMEG_4685
ko:K02016	bah:BAMEG_4686
ko:K03517	bah:BAMEG_4694
ko:K00767	bah:BAMEG_4695
ko:K00278	bah:BAMEG_4696
ko:K04487	bah:BAMEG_4697
ko:K02003	bah:BAMEG_4703
ko:K03979	bah:BAMEG_4707
ko:K02899	bah:BAMEG_4709
ko:K07584	bah:BAMEG_4710
ko:K02888	bah:BAMEG_4711
ko:K08301	bah:BAMEG_4713
ko:K03609	bah:BAMEG_4716
ko:K03610	bah:BAMEG_4717
ko:K03571	bah:BAMEG_4718
ko:K03570	bah:BAMEG_4719
ko:K03569	bah:BAMEG_4720
ko:K03630	bah:BAMEG_4721
ko:K06287	bah:BAMEG_4722
ko:K01873	bah:BAMEG_4725
ko:K00332	bah:BAMEG_5587
ko:K00331	bah:BAMEG_5588
ko:K00330	bah:BAMEG_5589
ko:K02114	bah:BAMEG_5593
ko:K02112	bah:BAMEG_5594
ko:K02115	bah:BAMEG_5595
ko:K02111	bah:BAMEG_5596
ko:K02113	bah:BAMEG_5597
ko:K02109	bah:BAMEG_5598
ko:K02110	bah:BAMEG_5599
ko:K02108	bah:BAMEG_5600
ko:K00761	bah:BAMEG_5604
ko:K00600	bah:BAMEG_5605
ko:K01808	bah:BAMEG_5607
ko:K02777	bah:BAMEG_5609
ko:K07566	bah:BAMEG_5614
ko:K06387	bah:BAMEG_5616
ko:K02493	bah:BAMEG_5617
ko:K02835	bah:BAMEG_5618
ko:K00857	bah:BAMEG_5619
ko:K02909	bah:BAMEG_5620
ko:K03628	bah:BAMEG_5621
ko:K02446	bah:BAMEG_5622
ko:K00790	bah:BAMEG_5623
ko:K01624	bah:BAMEG_5624
ko:K01937	bah:BAMEG_5627
ko:K03048	bah:BAMEG_5628
ko:K00074	bah:BAMEG_5632
ko:K00626	bah:BAMEG_5633
ko:K07693	bah:BAMEG_5641
ko:K07778	bah:BAMEG_5642
ko:K01926	bah:BAMEG_0308
ko:K04078	bah:BAMEG_0311
ko:K04077	bah:BAMEG_0312
ko:K01951	bah:BAMEG_0314
ko:K02621	bah:BAMEG_0976
ko:K03088	bah:BAMEG_0984
ko:K11103	bah:BAMEG_0987
ko:K00123	bah:BAMEG_1002
ko:K02379	bah:BAMEG_1005
ko:K03639	bah:BAMEG_1006
ko:K02313	bah:BAMEG_0001
ko:K02338	bah:BAMEG_0002
ko:K03629	bah:BAMEG_0004
ko:K02470	bah:BAMEG_0005
ko:K02469	bah:BAMEG_0006
ko:K00088	bah:BAMEG_0014
ko:K07258	bah:BAMEG_0015
ko:K06215	bah:BAMEG_0016
ko:K08681	bah:BAMEG_0017
