ko:K12979	kpnk:BN49_1127
ko:K03517	kpnk:BN49_1802
ko:K03811	kpnk:BN49_1803
ko:K16264	kpnk:BN49_1804
ko:K01626	kpnk:BN49_1806
ko:K01834	kpnk:BN49_1807
ko:K01785	kpnk:BN49_1808
ko:K00849	kpnk:BN49_1809
ko:K00965	kpnk:BN49_1810
ko:K01784	kpnk:BN49_1811
ko:K05776	kpnk:BN49_1812
ko:K02019	kpnk:BN49_1813
ko:K02020	kpnk:BN49_1815
ko:K02018	kpnk:BN49_1816
ko:K02017	kpnk:BN49_1817
ko:K03317	kpnk:BN49_2133
ko:K07243	kpnk:BN49_2134
ko:K07224	kpnk:BN49_2135
ko:K16301	kpnk:BN49_2136
ko:K06217	kpnk:BN49_2137
ko:K06911	kpnk:BN49_2139
ko:K01476	kpnk:BN49_2142
ko:K12972	kpnk:BN49_2143
ko:K04477	kpnk:BN49_2144
ko:K11941	kpnk:BN49_2149
ko:K03670	kpnk:BN49_2150
ko:K03669	kpnk:BN49_2151
ko:K12147	kpnk:BN49_2153
ko:K08161	kpnk:BN49_2154
ko:K02517	kpnk:BN49_2155
ko:K07146	kpnk:BN49_2156
ko:K02846	kpnk:BN49_2158
ko:K12148	kpnk:BN49_2159
ko:K12149	kpnk:BN49_2160
ko:K01465	kpnk:BN49_2161
ko:K08162	kpnk:BN49_2163
ko:K03790	kpnk:BN49_2164
ko:K00276	kpnk:BN49_2528
ko:K02618	kpnk:BN49_2530
ko:K02609	kpnk:BN49_2531
ko:K02610	kpnk:BN49_2532
ko:K02611	kpnk:BN49_2533
ko:K02612	kpnk:BN49_2534
ko:K02613	kpnk:BN49_2535
ko:K01692	kpnk:BN49_2536
ko:K15866	kpnk:BN49_2537
ko:K00074	kpnk:BN49_2538
ko:K02614	kpnk:BN49_2539
ko:K02615	kpnk:BN49_2540
ko:K01912	kpnk:BN49_2541
ko:K02616	kpnk:BN49_2542
ko:K02617	kpnk:BN49_2543
ko:K01118	kpnk:BN49_2545
ko:K03578	kpnk:BN49_2546
ko:K06075	kpnk:BN49_2551
ko:K00261	kpnk:BN49_2554
ko:K00840	kpnk:BN49_2555
ko:K00673	kpnk:BN49_2556
ko:K06447	kpnk:BN49_2557
ko:K01484	kpnk:BN49_2558
ko:K05526	kpnk:BN49_2559
ko:K03293	kpnk:BN49_2560
ko:K02030	kpnk:BN49_2928
ko:K00362	kpnk:BN49_0365
ko:K01485	kpnk:BN49_0366
ko:K06141	kpnk:BN49_0367
ko:K03767	kpnk:BN49_0368
ko:K04095	kpnk:BN49_0370
ko:K01664	kpnk:BN49_0371
ko:K00821	kpnk:BN49_0372
ko:K10914	kpnk:BN49_0374
ko:K07397	kpnk:BN49_0375
ko:K00855	kpnk:BN49_0376
ko:K09898	kpnk:BN49_0377
ko:K07019	kpnk:BN49_0378
ko:K06158	kpnk:BN49_0379
ko:K11748	kpnk:BN49_0380
ko:K11747	kpnk:BN49_0381
ko:K07070	kpnk:BN49_0382
ko:K03775	kpnk:BN49_0383
ko:K03745	kpnk:BN49_0384
ko:K03772	kpnk:BN49_0385
ko:K07235	kpnk:BN49_0387
ko:K07236	kpnk:BN49_0388
ko:K07237	kpnk:BN49_0389
ko:K02950	kpnk:BN49_0390
ko:K02992	kpnk:BN49_0391
ko:K02355	kpnk:BN49_0392
ko:K02358	kpnk:BN49_0393
ko:K02358	kpnk:BN49_0394
ko:K03594	kpnk:BN49_0395
ko:K02506	kpnk:BN49_0396
ko:K13920	kpnk:BN49_0901
ko:K13919	kpnk:BN49_0902
ko:K01699	kpnk:BN49_0903
ko:K02224	kpnk:BN49_0908
ko:K02227	kpnk:BN49_0909
ko:K06042	kpnk:BN49_0910
ko:K02188	kpnk:BN49_0911
ko:K03399	kpnk:BN49_0912
ko:K02191	kpnk:BN49_0913
ko:K05936	kpnk:BN49_0914
ko:K02189	kpnk:BN49_0915
ko:K05895	kpnk:BN49_0917
ko:K02190	kpnk:BN49_0918
ko:K03394	kpnk:BN49_0919
ko:K02007	kpnk:BN49_0920
ko:K02009	kpnk:BN49_0921
ko:K02008	kpnk:BN49_0922
ko:K02006	kpnk:BN49_0923
ko:K02232	kpnk:BN49_0924
ko:K02231	kpnk:BN49_0925
ko:K00768	kpnk:BN49_0926
ko:K11905	kpnk:BN49_0927
ko:K11906	kpnk:BN49_0928
ko:K07497	kpnk:BN49_0929
ko:K07483	kpnk:BN49_0930
ko:K05839	kpnk:BN49_1416
ko:K19162	kpnk:BN49_1417
ko:K18138	kpnk:BN49_1418
ko:K03585	kpnk:BN49_1419
ko:K03577	kpnk:BN49_1420
ko:K05802	kpnk:BN49_1421
ko:K04067	kpnk:BN49_1424
ko:K09790	kpnk:BN49_1425
ko:K00759	kpnk:BN49_1426
ko:K02343	kpnk:BN49_1427
ko:K09747	kpnk:BN49_1428
ko:K06187	kpnk:BN49_1429
ko:K04079	kpnk:BN49_1430
ko:K00939	kpnk:BN49_1431
ko:K01772	kpnk:BN49_1432
ko:K00892	kpnk:BN49_1433
ko:K03455	kpnk:BN49_1434
ko:K08223	kpnk:BN49_1435
ko:K11751	kpnk:BN49_1436
ko:K03976	kpnk:BN49_1437
ko:K09973	kpnk:BN49_1438
ko:K17686	kpnk:BN49_1439
ko:K19591	kpnk:BN49_1440
ko:K07340	kpnk:BN49_1441
ko:K02068	kpnk:BN49_1443
ko:K02069	kpnk:BN49_1444
ko:K05838	kpnk:BN49_1445
ko:K10804	kpnk:BN49_1447
ko:K02003	kpnk:BN49_1448
ko:K02004	kpnk:BN49_1449
ko:K03271	kpnk:BN49_1204
ko:K00346	kpnk:BN49_1207
ko:K00347	kpnk:BN49_1208
ko:K00348	kpnk:BN49_1209
ko:K00349	kpnk:BN49_1210
ko:K00350	kpnk:BN49_1211
ko:K00351	kpnk:BN49_1212
ko:K05952	kpnk:BN49_1213
ko:K02346	kpnk:BN49_1215
ko:K03830	kpnk:BN49_1216
ko:K01270	kpnk:BN49_1217
ko:K00769	kpnk:BN49_1218
ko:K04063	kpnk:BN49_2930
ko:K05343	kpnk:BN49_2936
ko:K02972	kpnk:BN49_2944
ko:K00027	kpnk:BN49_2945
ko:K01507	kpnk:BN49_2952
ko:K13953	kpnk:BN49_2953
ko:K02035	kpnk:BN49_2954
ko:K02033	kpnk:BN49_2955
ko:K02034	kpnk:BN49_2956
ko:K02031	kpnk:BN49_2957
ko:K02032	kpnk:BN49_2957
ko:K00370	kpnk:BN49_3322
ko:K02575	kpnk:BN49_3323
ko:K07673	kpnk:BN49_3324
ko:K07684	kpnk:BN49_3325
ko:K00372	kpnk:BN49_3327
ko:K00362	kpnk:BN49_3328
ko:K15578	kpnk:BN49_3329
ko:K15577	kpnk:BN49_3330
ko:K15576	kpnk:BN49_3331
ko:K06039	kpnk:BN49_3333
ko:K07232	kpnk:BN49_3335
ko:K06197	kpnk:BN49_3336
ko:K07300	kpnk:BN49_3337
ko:K01627	kpnk:BN49_3338
ko:K02493	kpnk:BN49_3341
ko:K02835	kpnk:BN49_3342
ko:K02492	kpnk:BN49_3343
ko:K02494	kpnk:BN49_3344
ko:K00919	kpnk:BN49_3345
ko:K00948	kpnk:BN49_3346
ko:K03321	kpnk:BN49_3347
ko:K01056	kpnk:BN49_3350
ko:K06942	kpnk:BN49_3351
ko:K17213	kpnk:BN49_3353
ko:K17213	kpnk:BN49_3354
ko:K11911	kpnk:BN49_3355
ko:K00033	kpnk:BN49_3715
ko:K03606	kpnk:BN49_3716
ko:K16695	kpnk:BN49_3720
ko:K16692	kpnk:BN49_3725
ko:K01104	kpnk:BN49_3726
ko:K01991	kpnk:BN49_3727
ko:K00963	kpnk:BN49_3731
ko:K07289	kpnk:BN49_3733
ko:K01494	kpnk:BN49_3734
ko:K00876	kpnk:BN49_3735
ko:K01247	kpnk:BN49_3736
ko:K04046	kpnk:BN49_3737
ko:K07660	kpnk:BN49_3739
ko:K07799	kpnk:BN49_3742
ko:K07788	kpnk:BN49_3743
ko:K07789	kpnk:BN49_3744
ko:K07404	kpnk:BN49_1819
ko:K21976	kpnk:BN49_1820
ko:K21975	kpnk:BN49_1821
ko:K21974	kpnk:BN49_1822
ko:K07497	kpnk:BN49_1823
ko:K07483	kpnk:BN49_1824
ko:K21973	kpnk:BN49_1825
ko:K21972	kpnk:BN49_1826
ko:K11932	kpnk:BN49_1834
ko:K09915	kpnk:BN49_2165
ko:K03810	kpnk:BN49_2166
ko:K03980	kpnk:BN49_2167
ko:K08300	kpnk:BN49_2170
ko:K06179	kpnk:BN49_2171
ko:K07040	kpnk:BN49_2173
ko:K02911	kpnk:BN49_2174
ko:K03621	kpnk:BN49_2175
ko:K00648	kpnk:BN49_2176
ko:K00645	kpnk:BN49_2177
ko:K00059	kpnk:BN49_2178
ko:K02078	kpnk:BN49_2179
ko:K09458	kpnk:BN49_2180
ko:K02619	kpnk:BN49_2181
ko:K07082	kpnk:BN49_2182
ko:K00943	kpnk:BN49_2183
ko:K02341	kpnk:BN49_2184
ko:K03424	kpnk:BN49_2185
ko:K02778	kpnk:BN49_2186
ko:K02779	kpnk:BN49_2186
ko:K02503	kpnk:BN49_2187
ko:K07337	kpnk:BN49_2189
ko:K07251	kpnk:BN49_2190
ko:K01207	kpnk:BN49_2191
ko:K07000	kpnk:BN49_2192
ko:K03885	kpnk:BN49_2193
ko:K02014	kpnk:BN49_2195
ko:K22041	kpnk:BN49_2196
ko:K12151	kpnk:BN49_2197
ko:K07248	kpnk:BN49_2563
ko:K00134	kpnk:BN49_2564
ko:K07112	kpnk:BN49_2568
ko:K08987	kpnk:BN49_2569
ko:K16074	kpnk:BN49_2572
ko:K14155	kpnk:BN49_2573
ko:K02790	kpnk:BN49_2574
ko:K02791	kpnk:BN49_2574
ko:K16136	kpnk:BN49_2575
ko:K01809	kpnk:BN49_2577
ko:K01676	kpnk:BN49_2578
ko:K01679	kpnk:BN49_2579
ko:K10748	kpnk:BN49_2580
ko:K07639	kpnk:BN49_2581
ko:K07661	kpnk:BN49_2583
ko:K13938	kpnk:BN49_2585
ko:K03758	kpnk:BN49_2586
ko:K00324	kpnk:BN49_2588
ko:K00325	kpnk:BN49_2589
ko:K14055	kpnk:BN49_2591
ko:K01420	kpnk:BN49_2592
ko:K00567	kpnk:BN49_2593
ko:K12942	kpnk:BN49_2594
ko:K08156	kpnk:BN49_2960
ko:K22468	kpnk:BN49_2962
ko:K19163	kpnk:BN49_2963
ko:K08350	kpnk:BN49_2964
ko:K08349	kpnk:BN49_2965
ko:K08348	kpnk:BN49_2967
ko:K05783	kpnk:BN49_2969
ko:K05784	kpnk:BN49_2970
ko:K05550	kpnk:BN49_2971
ko:K05549	kpnk:BN49_2972
ko:K03381	kpnk:BN49_2973
ko:K03464	kpnk:BN49_2974
ko:K01856	kpnk:BN49_2975
ko:K02624	kpnk:BN49_2976
ko:K08167	kpnk:BN49_2977
ko:K02575	kpnk:BN49_2979
ko:K00370	kpnk:BN49_2980
ko:K00371	kpnk:BN49_2981
ko:K00373	kpnk:BN49_2982
ko:K00374	kpnk:BN49_2983
ko:K00675	kpnk:BN49_2984
ko:K02011	kpnk:BN49_2985
ko:K02012	kpnk:BN49_2986
ko:K02010	kpnk:BN49_2987
ko:K01821	kpnk:BN49_2989
ko:K11208	kpnk:BN49_2990
ko:K02030	kpnk:BN49_2991
ko:K02028	kpnk:BN49_2992
ko:K02029	kpnk:BN49_2993
ko:K11905	kpnk:BN49_3356
ko:K11906	kpnk:BN49_3357
ko:K11895	kpnk:BN49_3358
ko:K11896	kpnk:BN49_3359
ko:K11891	kpnk:BN49_3360
ko:K11891	kpnk:BN49_3361
ko:K07126	kpnk:BN49_3365
ko:K07126	kpnk:BN49_3366
ko:K07126	kpnk:BN49_3367
ko:K07126	kpnk:BN49_3369
ko:K07126	kpnk:BN49_3370
ko:K11904	kpnk:BN49_3373
ko:K11892	kpnk:BN49_3375
ko:K11893	kpnk:BN49_3376
ko:K09912	kpnk:BN49_3378
ko:K06177	kpnk:BN49_3379
ko:K22003	kpnk:BN49_3382
ko:K03288	kpnk:BN49_3383
ko:K01610	kpnk:BN49_3386
ko:K18326	kpnk:BN49_3745
ko:K07642	kpnk:BN49_3746
ko:K07664	kpnk:BN49_3747
ko:K08303	kpnk:BN49_3748
ko:K02031	kpnk:BN49_3751
ko:K02034	kpnk:BN49_3752
ko:K02033	kpnk:BN49_3753
ko:K02035	kpnk:BN49_3754
ko:K00854	kpnk:BN49_3759
ko:K00007	kpnk:BN49_3760
ko:K03435	kpnk:BN49_3762
ko:K00039	kpnk:BN49_3763
ko:K00875	kpnk:BN49_3764
ko:K00941	kpnk:BN49_3767
ko:K00878	kpnk:BN49_3768
ko:K01486	kpnk:BN49_3771
ko:K06901	kpnk:BN49_3772
ko:K03593	kpnk:BN49_3776
ko:K01874	kpnk:BN49_3777
ko:K01051	kpnk:BN49_1836
ko:K01468	kpnk:BN49_1837
ko:K01479	kpnk:BN49_1838
ko:K05836	kpnk:BN49_1839
ko:K01712	kpnk:BN49_1840
ko:K01745	kpnk:BN49_1841
ko:K16234	kpnk:BN49_1842
ko:K06910	kpnk:BN49_1844
ko:K00833	kpnk:BN49_1845
ko:K01012	kpnk:BN49_1846
ko:K00652	kpnk:BN49_1847
ko:K02169	kpnk:BN49_1848
ko:K01935	kpnk:BN49_1849
ko:K03702	kpnk:BN49_1852
ko:K07643	kpnk:BN49_1853
ko:K07771	kpnk:BN49_1854
ko:K03760	kpnk:BN49_1855
ko:K03760	kpnk:BN49_1856
ko:K03639	kpnk:BN49_1858
ko:K03638	kpnk:BN49_1859
ko:K03637	kpnk:BN49_1860
ko:K03636	kpnk:BN49_1861
ko:K03635	kpnk:BN49_1862
ko:K06890	kpnk:BN49_1863
ko:K07027	kpnk:BN49_1864
ko:K06131	kpnk:BN49_1865
ko:K06131	kpnk:BN49_1866
ko:K19236	kpnk:BN49_2198
ko:K03723	kpnk:BN49_2199
ko:K09808	kpnk:BN49_2200
ko:K09810	kpnk:BN49_2201
ko:K09808	kpnk:BN49_2202
ko:K00884	kpnk:BN49_2203
ko:K12410	kpnk:BN49_2204
ko:K01803	kpnk:BN49_2207
ko:K22024	kpnk:BN49_2208
ko:K22129	kpnk:BN49_2209
ko:K02526	kpnk:BN49_2210
ko:K02781	kpnk:BN49_2211
ko:K01808	kpnk:BN49_2212
ko:K00616	kpnk:BN49_2213
ko:K00615	kpnk:BN49_2214
ko:K20034	kpnk:BN49_2215
ko:K11069	kpnk:BN49_2217
ko:K11070	kpnk:BN49_2218
ko:K11071	kpnk:BN49_2219
ko:K11072	kpnk:BN49_2220
ko:K01258	kpnk:BN49_2221
ko:K07491	kpnk:BN49_2222
ko:K18850	kpnk:BN49_2223
ko:K07637	kpnk:BN49_2224
ko:K07660	kpnk:BN49_2225
ko:K01756	kpnk:BN49_2228
ko:K07153	kpnk:BN49_2229
ko:K00566	kpnk:BN49_2230
ko:K03497	kpnk:BN49_2600
ko:K06223	kpnk:BN49_2606
ko:K01160	kpnk:BN49_2607
ko:K03791	kpnk:BN49_2612
ko:K07451	kpnk:BN49_2617
ko:K06904	kpnk:BN49_2621
ko:K02030	kpnk:BN49_2995
ko:K21613	kpnk:BN49_2997
ko:K11738	kpnk:BN49_3001
ko:K02014	kpnk:BN49_3004
ko:K01250	kpnk:BN49_3007
ko:K07119	kpnk:BN49_3008
ko:K03823	kpnk:BN49_3010
ko:K09936	kpnk:BN49_3011
ko:K00137	kpnk:BN49_3019
ko:K02053	kpnk:BN49_3020
ko:K02054	kpnk:BN49_3021
ko:K02052	kpnk:BN49_3022
ko:K02055	kpnk:BN49_3023
ko:K00425	kpnk:BN49_3025
ko:K21645	kpnk:BN49_3387
ko:K01996	kpnk:BN49_3388
ko:K01995	kpnk:BN49_3389
ko:K01998	kpnk:BN49_3390
ko:K01997	kpnk:BN49_3391
ko:K01999	kpnk:BN49_3392
ko:K00656	kpnk:BN49_3393
ko:K00932	kpnk:BN49_3394
ko:K03838	kpnk:BN49_3395
ko:K01754	kpnk:BN49_3396
ko:K07592	kpnk:BN49_3397
ko:K07395	kpnk:BN49_3400
ko:K03292	kpnk:BN49_3406
ko:K01194	kpnk:BN49_3407
ko:K02014	kpnk:BN49_3408
ko:K08308	kpnk:BN49_3409
ko:K01297	kpnk:BN49_3410
ko:K11105	kpnk:BN49_3411
ko:K01775	kpnk:BN49_3412
ko:K00285	kpnk:BN49_3413
ko:K03603	kpnk:BN49_3415
ko:K03314	kpnk:BN49_3416
ko:K03611	kpnk:BN49_3417
ko:K02477	kpnk:BN49_3779
ko:K02478	kpnk:BN49_3780
ko:K05846	kpnk:BN49_3782
ko:K05847	kpnk:BN49_3783
ko:K05846	kpnk:BN49_3784
ko:K05845	kpnk:BN49_3785
ko:K05349	kpnk:BN49_3786
ko:K03777	kpnk:BN49_3787
ko:K03823	kpnk:BN49_3788
ko:K07262	kpnk:BN49_3789
ko:K01223	kpnk:BN49_3793
ko:K02755	kpnk:BN49_3794
ko:K02756	kpnk:BN49_3794
ko:K02757	kpnk:BN49_3794
ko:K03488	kpnk:BN49_3795
ko:K07267	kpnk:BN49_3796
ko:K05541	kpnk:BN49_3797
ko:K06518	kpnk:BN49_3798
ko:K01489	kpnk:BN49_3800
ko:K03748	kpnk:BN49_3801
ko:K10541	kpnk:BN49_3802
ko:K10542	kpnk:BN49_3803
ko:K10540	kpnk:BN49_3804
ko:K02529	kpnk:BN49_3805
ko:K07148	kpnk:BN49_3806
ko:K01495	kpnk:BN49_3807
ko:K01070	kpnk:BN49_3808
ko:K16089	kpnk:BN49_3809
ko:K01992	kpnk:BN49_1869
ko:K01992	kpnk:BN49_1870
ko:K01990	kpnk:BN49_1871
ko:K01993	kpnk:BN49_1872
ko:K00615	kpnk:BN49_1877
ko:K00615	kpnk:BN49_1878
ko:K11927	kpnk:BN49_1879
ko:K03722	kpnk:BN49_1880
ko:K13650	kpnk:BN49_1884
ko:K06970	kpnk:BN49_1886
ko:K22044	kpnk:BN49_1887
ko:K10038	kpnk:BN49_1888
ko:K10037	kpnk:BN49_1889
ko:K10036	kpnk:BN49_1890
ko:K04047	kpnk:BN49_1891
ko:K11939	kpnk:BN49_1892
ko:K11934	kpnk:BN49_1893
ko:K11924	kpnk:BN49_1896
ko:K01223	kpnk:BN49_1898
ko:K03492	kpnk:BN49_1899
ko:K19235	kpnk:BN49_1900
ko:K12152	kpnk:BN49_2231
ko:K06181	kpnk:BN49_2232
ko:K00031	kpnk:BN49_2233
ko:K10906	kpnk:BN49_2236
ko:K07497	kpnk:BN49_2237
ko:K07483	kpnk:BN49_2238
ko:K13643	kpnk:BN49_2240
ko:K01185	kpnk:BN49_2258
ko:K07451	kpnk:BN49_2260
ko:K12942	kpnk:BN49_2641
ko:K12941	kpnk:BN49_2642
ko:K12940	kpnk:BN49_2643
ko:K14057	kpnk:BN49_2644
ko:K02624	kpnk:BN49_2646
ko:K01031	kpnk:BN49_2647
ko:K01032	kpnk:BN49_2648
ko:K01857	kpnk:BN49_2650
ko:K01055	kpnk:BN49_2651
ko:K01607	kpnk:BN49_2652
ko:K01676	kpnk:BN49_2655
ko:K11106	kpnk:BN49_2656
ko:K00244	kpnk:BN49_2657
ko:K03734	kpnk:BN49_2658
ko:K07703	kpnk:BN49_2659
ko:K07701	kpnk:BN49_2660
ko:K07106	kpnk:BN49_2662
ko:K00426	kpnk:BN49_3026
ko:K08303	kpnk:BN49_3030
ko:K05782	kpnk:BN49_3032
ko:K07506	kpnk:BN49_3033
ko:K16868	kpnk:BN49_3036
ko:K03304	kpnk:BN49_3037
ko:K03817	kpnk:BN49_3039
ko:K00055	kpnk:BN49_3041
ko:K03929	kpnk:BN49_3042
ko:K00449	kpnk:BN49_3044
ko:K00448	kpnk:BN49_3045
ko:K05358	kpnk:BN49_3047
ko:K00121	kpnk:BN49_3048
ko:K12262	kpnk:BN49_3050
ko:K01488	kpnk:BN49_3055
ko:K01223	kpnk:BN49_3057
ko:K09160	kpnk:BN49_3420
ko:K09902	kpnk:BN49_3422
ko:K03610	kpnk:BN49_3423
ko:K03609	kpnk:BN49_3424
ko:K03608	kpnk:BN49_3425
ko:K03684	kpnk:BN49_3426
ko:K01897	kpnk:BN49_3427
ko:K07285	kpnk:BN49_3428
ko:K14742	kpnk:BN49_3429
ko:K03722	kpnk:BN49_3430
ko:K09917	kpnk:BN49_3432
ko:K01665	kpnk:BN49_3433
ko:K01752	kpnk:BN49_3435
ko:K21090	kpnk:BN49_3436
ko:K02793	kpnk:BN49_3438
ko:K02794	kpnk:BN49_3438
ko:K02795	kpnk:BN49_3439
ko:K02796	kpnk:BN49_3440
ko:K00563	kpnk:BN49_3443
ko:K03587	kpnk:BN49_3444
ko:K03704	kpnk:BN49_3445
ko:K19333	kpnk:BN49_3448
ko:K08169	kpnk:BN49_3449
ko:K03799	kpnk:BN49_3450
ko:K11733	kpnk:BN49_3811
ko:K01151	kpnk:BN49_3814
ko:K02769	kpnk:BN49_3815
ko:K02770	kpnk:BN49_3815
ko:K00882	kpnk:BN49_3816
ko:K02768	kpnk:BN49_3817
ko:K11183	kpnk:BN49_3817
ko:K03291	kpnk:BN49_3818
ko:K06940	kpnk:BN49_3819
ko:K02356	kpnk:BN49_3820
ko:K01686	kpnk:BN49_3821
ko:K00040	kpnk:BN49_3822
ko:K19803	kpnk:BN49_3824
ko:K13694	kpnk:BN49_3825
ko:K13893	kpnk:BN49_3827
ko:K13894	kpnk:BN49_3828
ko:K13895	kpnk:BN49_3829
ko:K13896	kpnk:BN49_3830
ko:K07552	kpnk:BN49_3832
ko:K06183	kpnk:BN49_3833
ko:K19789	kpnk:BN49_3834
ko:K02897	kpnk:BN49_3835
ko:K06899	kpnk:BN49_3840
ko:K09904	kpnk:BN49_3841
ko:K07014	kpnk:BN49_3842
ko:K01187	kpnk:BN49_1903
ko:K08191	kpnk:BN49_1904
ko:K07757	kpnk:BN49_1907
ko:K00656	kpnk:BN49_1908
ko:K04069	kpnk:BN49_1909
ko:K21029	kpnk:BN49_1910
ko:K03750	kpnk:BN49_1911
ko:K13051	kpnk:BN49_1912
ko:K13892	kpnk:BN49_1913
ko:K13889	kpnk:BN49_1914
ko:K13890	kpnk:BN49_1915
ko:K13891	kpnk:BN49_1916
ko:K14441	kpnk:BN49_1918
ko:K02532	kpnk:BN49_1919
ko:K19688	kpnk:BN49_1920
ko:K21430	kpnk:BN49_1921
ko:K00799	kpnk:BN49_1922
ko:K07258	kpnk:BN49_1924
ko:K11534	kpnk:BN49_1925
ko:K19302	kpnk:BN49_1926
ko:K08160	kpnk:BN49_1927
ko:K20861	kpnk:BN49_1928
ko:K09984	kpnk:BN49_2286
ko:K07217	kpnk:BN49_2290
ko:K00425	kpnk:BN49_2291
ko:K00426	kpnk:BN49_2292
ko:K03182	kpnk:BN49_2296
ko:K00116	kpnk:BN49_2663
ko:K07497	kpnk:BN49_2664
ko:K07497	kpnk:BN49_2665
ko:K13928	kpnk:BN49_2667
ko:K13935	kpnk:BN49_2668
ko:K13934	kpnk:BN49_2669
ko:K13936	kpnk:BN49_2670
ko:K13933	kpnk:BN49_2671
ko:K13932	kpnk:BN49_2672
ko:K13931	kpnk:BN49_2673
ko:K13930	kpnk:BN49_2674
ko:K13929	kpnk:BN49_2675
ko:K11744	kpnk:BN49_2676
ko:K11743	kpnk:BN49_2677
ko:K04775	kpnk:BN49_2678
ko:K01299	kpnk:BN49_2681
ko:K08224	kpnk:BN49_2682
ko:K15545	kpnk:BN49_2684
ko:K01935	kpnk:BN49_2685
ko:K03281	kpnk:BN49_2686
ko:K07312	kpnk:BN49_2688
ko:K07307	kpnk:BN49_2689
ko:K07309	kpnk:BN49_2690
ko:K00657	kpnk:BN49_2693
ko:K03617	kpnk:BN49_3060
ko:K03616	kpnk:BN49_3061
ko:K03615	kpnk:BN49_3062
ko:K03614	kpnk:BN49_3063
ko:K03612	kpnk:BN49_3064
ko:K03613	kpnk:BN49_3065
ko:K10773	kpnk:BN49_3066
ko:K03305	kpnk:BN49_3068
ko:K00799	kpnk:BN49_3069
ko:K00868	kpnk:BN49_3070
ko:K01866	kpnk:BN49_3071
ko:K00275	kpnk:BN49_3072
ko:K09001	kpnk:BN49_3074
ko:K03655	kpnk:BN49_0107
ko:K00556	kpnk:BN49_0108
ko:K01139	kpnk:BN49_0109
ko:K03060	kpnk:BN49_0110
ko:K00942	kpnk:BN49_0111
ko:K01972	kpnk:BN49_0112
ko:K10778	kpnk:BN49_0115
ko:K01993	kpnk:BN49_0119
ko:K01990	kpnk:BN49_0120
ko:K01992	kpnk:BN49_0121
ko:K06077	kpnk:BN49_3075
ko:K06075	kpnk:BN49_3077
ko:K04565	kpnk:BN49_3081
ko:K06938	kpnk:BN49_3083
ko:K16137	kpnk:BN49_3084
ko:K10680	kpnk:BN49_3085
ko:K01759	kpnk:BN49_3086
ko:K03683	kpnk:BN49_3087
ko:K07390	kpnk:BN49_3088
ko:K19303	kpnk:BN49_3089
ko:K13631	kpnk:BN49_3090
ko:K04564	kpnk:BN49_3091
ko:K19577	kpnk:BN49_3092
ko:K03604	kpnk:BN49_3093
ko:K03797	kpnk:BN49_3451
ko:K03607	kpnk:BN49_3452
ko:K08968	kpnk:BN49_3453
ko:K03808	kpnk:BN49_3454
ko:K11392	kpnk:BN49_3456
ko:K07313	kpnk:BN49_3459
ko:K09824	kpnk:BN49_3460
ko:K07245	kpnk:BN49_3462
ko:K07156	kpnk:BN49_3463
ko:K02345	kpnk:BN49_3464
ko:K10857	kpnk:BN49_3465
ko:K01354	kpnk:BN49_3466
ko:K09918	kpnk:BN49_3469
ko:K08289	kpnk:BN49_3468
ko:K01625	kpnk:BN49_3470
ko:K01690	kpnk:BN49_3471
ko:K00036	kpnk:BN49_3472
ko:K19337	kpnk:BN49_3474
ko:K00873	kpnk:BN49_3475
ko:K02560	kpnk:BN49_3476
ko:K19304	kpnk:BN49_3477
ko:K09815	kpnk:BN49_3478
ko:K09817	kpnk:BN49_3479
ko:K09816	kpnk:BN49_3480
ko:K03551	kpnk:BN49_3481
ko:K03550	kpnk:BN49_3482
ko:K01159	kpnk:BN49_3483
ko:K08276	kpnk:BN49_3844
ko:K00116	kpnk:BN49_3845
ko:K03321	kpnk:BN49_3846
ko:K06213	kpnk:BN49_3847
ko:K06159	kpnk:BN49_3848
ko:K03919	kpnk:BN49_3849
ko:K10778	kpnk:BN49_3850
ko:K03734	kpnk:BN49_3851
ko:K09475	kpnk:BN49_3852
ko:K07676	kpnk:BN49_3853
ko:K07687	kpnk:BN49_3854
ko:K07677	kpnk:BN49_3855
ko:K02469	kpnk:BN49_3856
ko:K00568	kpnk:BN49_3857
ko:K00525	kpnk:BN49_3858
ko:K00526	kpnk:BN49_3859
ko:K11107	kpnk:BN49_3860
ko:K01126	kpnk:BN49_3862
ko:K02445	kpnk:BN49_3863
ko:K00111	kpnk:BN49_3864
ko:K00112	kpnk:BN49_3865
ko:K00113	kpnk:BN49_3866
ko:K12660	kpnk:BN49_3867
ko:K12661	kpnk:BN49_3869
ko:K12944	kpnk:BN49_3874
ko:K01911	kpnk:BN49_3875
ko:K02549	kpnk:BN49_3876
ko:K06223	kpnk:BN49_1940
ko:K01185	kpnk:BN49_1955
ko:K06903	kpnk:BN49_1961
ko:K07480	kpnk:BN49_1965
ko:K06907	kpnk:BN49_1967
ko:K01424	kpnk:BN49_2300
ko:K12974	kpnk:BN49_2301
ko:K11250	kpnk:BN49_2302
ko:K13069	kpnk:BN49_2304
ko:K09712	kpnk:BN49_2305
ko:K03449	kpnk:BN49_2309
ko:K19055	kpnk:BN49_2312
ko:K03503	kpnk:BN49_2315
ko:K03502	kpnk:BN49_2316
ko:K00432	kpnk:BN49_2322
ko:K09786	kpnk:BN49_2324
