ko:K01990	ssut:TL13_0284
ko:K12296	ssut:TL13_0114
ko:K09815	ssut:TL13_0142
ko:K02004	ssut:TL13_0148
ko:K03693	ssut:TL13_0150
ko:K02243	ssut:TL13_0155
ko:K02244	ssut:TL13_0156
ko:K02245	ssut:TL13_0157
ko:K02246	ssut:TL13_0158
ko:K02248	ssut:TL13_0160
ko:K00882	ssut:TL13_0993
ko:K03436	ssut:TL13_0994
ko:K01361	ssut:TL13_1002
ko:K11069	ssut:TL13_1006
ko:K11071	ssut:TL13_1008
ko:K11072	ssut:TL13_1009
ko:K11209	ssut:TL13_0668
ko:K00784	ssut:TL13_0683
ko:K02086	ssut:TL13_0691
ko:K12996	ssut:TL13_0704
ko:K12997	ssut:TL13_0705
ko:K07272	ssut:TL13_0709
ko:K09153	ssut:TL13_0711
ko:K05337	ssut:TL13_0717
ko:K17073	ssut:TL13_1667
ko:K17074	ssut:TL13_1667
ko:K17076	ssut:TL13_1668
ko:K07720	ssut:TL13_1712
ko:K07025	ssut:TL13_0573
ko:K01788	ssut:TL13_0575
ko:K02778	ssut:TL13_0576
ko:K02779	ssut:TL13_0576
ko:K10563	ssut:TL13_0581
ko:K08981	ssut:TL13_0607
ko:K06023	ssut:TL13_1409
ko:K03095	ssut:TL13_1413
ko:K01759	ssut:TL13_1437
ko:K01834	ssut:TL13_1438
ko:K00626	ssut:TL13_1439
ko:K01641	ssut:TL13_1440
ko:K00054	ssut:TL13_1441
ko:K07054	ssut:TL13_1453
ko:K04517	ssut:TL13_0728
ko:K01635	ssut:TL13_0731
ko:K01989	ssut:TL13_0732
ko:K01989	ssut:TL13_0733
ko:K05832	ssut:TL13_0734
ko:K05833	ssut:TL13_0735
ko:K06198	ssut:TL13_0744
ko:K07533	ssut:TL13_0749
ko:K07729	ssut:TL13_0755
ko:K07052	ssut:TL13_0759
ko:K07052	ssut:TL13_0761
ko:K11189	ssut:TL13_0768
ko:K08483	ssut:TL13_0769
ko:K01261	ssut:TL13_0183
ko:K03713	ssut:TL13_0204
ko:K01409	ssut:TL13_0210
ko:K02025	ssut:TL13_0213
ko:K16899	ssut:TL13_1048
ko:K04750	ssut:TL13_1055
ko:K07025	ssut:TL13_1059
ko:K11617	ssut:TL13_0453
ko:K11618	ssut:TL13_0454
ko:K03768	ssut:TL13_0455
ko:K07570	ssut:TL13_0456
ko:K02240	ssut:TL13_0459
ko:K02242	ssut:TL13_0460
ko:K07586	ssut:TL13_0477
ko:K02795	ssut:TL13_0483
ko:K02793	ssut:TL13_0485
ko:K01785	ssut:TL13_0486
ko:K03488	ssut:TL13_1303
ko:K07404	ssut:TL13_1308
ko:K07025	ssut:TL13_1310
ko:K06286	ssut:TL13_1335
ko:K04516	ssut:TL13_1344
ko:K01081	ssut:TL13_1347
ko:K01191	ssut:TL13_1720
ko:K09704	ssut:TL13_1721
ko:K02824	ssut:TL13_1732
ko:K06183	ssut:TL13_1742
ko:K00088	ssut:TL13_1985
ko:K01281	ssut:TL13_0237
ko:K07457	ssut:TL13_0253
ko:K03471	ssut:TL13_0256
ko:K01226	ssut:TL13_0259
ko:K02817	ssut:TL13_0260
ko:K02818	ssut:TL13_0260
ko:K02819	ssut:TL13_0260
ko:K03486	ssut:TL13_0261
ko:K01835	ssut:TL13_1096
ko:K07052	ssut:TL13_1101
ko:K03294	ssut:TL13_1105
ko:K00567	ssut:TL13_1110
ko:K00058	ssut:TL13_1111
ko:K04767	ssut:TL13_1122
ko:K02238	ssut:TL13_1123
ko:K05362	ssut:TL13_1126
ko:K06183	ssut:TL13_1132
ko:K07393	ssut:TL13_1133
ko:K01980	ssut:TL13_0019
ko:K01980	ssut:TL13_0464
ko:K01980	ssut:TL13_0377
ko:K01980	ssut:TL13_0117
ko:K14223	ssut:TL13_0129
ko:K14223	ssut:TL13_1038
ko:K14233	ssut:TL13_1234
ko:K14219	ssut:TL13_1346
ko:K14229	ssut:TL13_1913
ko:K15051	ssut:TL13_0799
ko:K03574	ssut:TL13_0818
ko:K10947	ssut:TL13_0830
ko:K06346	ssut:TL13_1818
ko:K07004	ssut:TL13_1774
ko:K03708	ssut:TL13_1779
ko:K12555	ssut:TL13_1788
ko:K09685	ssut:TL13_1798
ko:K03698	ssut:TL13_1800
ko:K00949	ssut:TL13_1802
ko:K03574	ssut:TL13_1813
ko:K01985	ssut:TL13_0020
ko:K01985	ssut:TL13_0465
ko:K01985	ssut:TL13_0118
ko:K01985	ssut:TL13_0378
ko:K14219	ssut:TL13_0028
ko:K14219	ssut:TL13_0473
ko:K14226	ssut:TL13_0128
ko:K14220	ssut:TL13_0379
ko:K14220	ssut:TL13_2001
ko:K14230	ssut:TL13_0124
ko:K14230	ssut:TL13_0033
ko:K14231	ssut:TL13_0034
ko:K14231	ssut:TL13_0125
ko:K09976	ssut:TL13_1512
ko:K10947	ssut:TL13_0289
ko:K13953	ssut:TL13_0306
ko:K00869	ssut:TL13_0315
ko:K01597	ssut:TL13_0316
ko:K00938	ssut:TL13_0317
ko:K01823	ssut:TL13_0318
ko:K06889	ssut:TL13_1150
ko:K02564	ssut:TL13_1153
ko:K12373	ssut:TL13_1157
ko:K01478	ssut:TL13_1163
ko:K09762	ssut:TL13_1165
ko:K01854	ssut:TL13_1175
ko:K04518	ssut:TL13_1179
ko:K02004	ssut:TL13_0619
ko:K10041	ssut:TL13_0636
ko:K07668	ssut:TL13_0637
ko:K07652	ssut:TL13_0638
ko:K02004	ssut:TL13_0647
ko:K08234	ssut:TL13_0663
ko:K15986	ssut:TL13_1461
ko:K07104	ssut:TL13_1468
ko:K03699	ssut:TL13_1473
ko:K02236	ssut:TL13_1476
ko:K01916	ssut:TL13_1478
ko:K07177	ssut:TL13_1483
ko:K01104	ssut:TL13_1496
ko:K02428	ssut:TL13_1510
ko:K01258	ssut:TL13_0833
ko:K09155	ssut:TL13_0840
ko:K03177	ssut:TL13_0842
ko:K16509	ssut:TL13_0845
ko:K01092	ssut:TL13_0847
ko:K14983	ssut:TL13_0856
ko:K14982	ssut:TL13_0857
ko:K00867	ssut:TL13_0860
ko:K00564	ssut:TL13_0861
ko:K01619	ssut:TL13_0863
ko:K01489	ssut:TL13_0864
ko:K02056	ssut:TL13_0866
ko:K00016	ssut:TL13_0870
ko:K07816	ssut:TL13_0881
ko:K00625	ssut:TL13_0884
ko:K16788	ssut:TL13_1823
ko:K07105	ssut:TL13_1824
ko:K00547	ssut:TL13_1827
ko:K09698	ssut:TL13_1829
ko:K01934	ssut:TL13_1848
ko:K00674	ssut:TL13_1850
ko:K03476	ssut:TL13_1857
ko:K03493	ssut:TL13_1858
ko:K02821	ssut:TL13_1863
ko:K02822	ssut:TL13_1864
ko:K03475	ssut:TL13_1865
ko:K01372	ssut:TL13_1514
ko:K11144	ssut:TL13_1530
ko:K03346	ssut:TL13_1531
ko:K00033	ssut:TL13_1536
ko:K12556	ssut:TL13_1544
ko:K07729	ssut:TL13_1547
ko:K00805	ssut:TL13_1557
ko:K00805	ssut:TL13_1559
ko:K03498	ssut:TL13_1560
ko:K03499	ssut:TL13_1561
ko:K01426	ssut:TL13_0337
ko:K09825	ssut:TL13_0344
ko:K09702	ssut:TL13_0349
ko:K02371	ssut:TL13_0361
ko:K09815	ssut:TL13_0368
ko:K03048	ssut:TL13_0370
ko:K01424	ssut:TL13_0382
ko:K01104	ssut:TL13_1203
ko:K02030	ssut:TL13_1219
ko:K02028	ssut:TL13_1220
ko:K01488	ssut:TL13_1233
ko:K01784	ssut:TL13_1246
ko:K00657	ssut:TL13_0513
ko:K03574	ssut:TL13_0516
ko:K03697	ssut:TL13_0517
ko:K02028	ssut:TL13_0520
ko:K00383	ssut:TL13_0536
ko:K02005	ssut:TL13_0537
ko:K02004	ssut:TL13_0539
ko:K03976	ssut:TL13_0543
ko:K08974	ssut:TL13_0544
ko:K16789	ssut:TL13_0545
ko:K07273	ssut:TL13_0546
ko:K10118	ssut:TL13_1363
ko:K01243	ssut:TL13_1385
ko:K01515	ssut:TL13_1387
ko:K00059	ssut:TL13_1391
ko:K10947	ssut:TL13_1394
ko:K02004	ssut:TL13_1396
ko:K05845	ssut:TL13_1403
ko:K05846	ssut:TL13_1403
ko:K12296	ssut:TL13_0016
ko:K00841	ssut:TL13_0041
ko:K06147	ssut:TL13_0886
ko:K02028	ssut:TL13_0895
ko:K02029	ssut:TL13_0896
ko:K02030	ssut:TL13_0896
ko:K03574	ssut:TL13_0905
ko:K02030	ssut:TL13_0906
ko:K02030	ssut:TL13_0907
ko:K00700	ssut:TL13_0908
ko:K02823	ssut:TL13_0913
ko:K01507	ssut:TL13_0916
ko:K03491	ssut:TL13_1885
ko:K09963	ssut:TL13_1886
ko:K01222	ssut:TL13_1888
ko:K07386	ssut:TL13_1891
ko:K11709	ssut:TL13_1892
ko:K11708	ssut:TL13_1893
ko:K11710	ssut:TL13_1894
ko:K11707	ssut:TL13_1896
ko:K03709	ssut:TL13_1897
ko:K01119	ssut:TL13_1904
ko:K02794	ssut:TL13_1578
ko:K02795	ssut:TL13_1579
ko:K00059	ssut:TL13_1593
ko:K02371	ssut:TL13_1595
ko:K02808	ssut:TL13_1607
ko:K02809	ssut:TL13_1607
ko:K02810	ssut:TL13_1607
ko:K01262	ssut:TL13_1613
ko:K01439	ssut:TL13_1571
ko:K02793	ssut:TL13_1578
ko:K02433	ssut:TL13_0391
ko:K06201	ssut:TL13_0399
ko:K06948	ssut:TL13_0402
ko:K00657	ssut:TL13_0406
ko:K04086	ssut:TL13_0417
ko:K16924	ssut:TL13_0427
ko:K07032	ssut:TL13_0431
ko:K03700	ssut:TL13_0437
ko:K03784	ssut:TL13_1255
ko:K03783	ssut:TL13_1256
ko:K07192	ssut:TL13_1272
ko:K07009	ssut:TL13_1287
ko:K03930	ssut:TL13_1294
ko:K05833	ssut:TL13_1298
ko:K05832	ssut:TL13_1299
ko:K01989	ssut:TL13_1300
ko:K02755	ssut:TL13_1302
ko:K02756	ssut:TL13_1302
ko:K02757	ssut:TL13_1302
ko:K17686	ssut:TL13_0615
ko:K01739	ssut:TL13_1368
ko:K00131	ssut:TL13_0770
ko:K00226	ssut:TL13_0279
ko:K17828	ssut:TL13_0914
ko:K06518	ssut:TL13_0290
ko:K03767	ssut:TL13_0653
ko:K00290	ssut:TL13_1239
ko:K03486	ssut:TL13_0420
ko:K01467	ssut:TL13_0012
ko:K02027	ssut:TL13_0212
ko:K07284	ssut:TL13_0872
ko:K02026	ssut:TL13_0214
ko:K00661	ssut:TL13_0930
ko:K12574	ssut:TL13_1295
ko:K07284	ssut:TL13_0526
ko:K18216	ssut:TL13_0571
ko:K18220	ssut:TL13_0601
ko:K01071	ssut:TL13_1251
ko:K02794	ssut:TL13_0482
ko:K02614	ssut:TL13_0887
ko:K18217	ssut:TL13_0572
ko:K07491	ssut:TL13_1463
ko:K09155	ssut:TL13_0841
ko:K01854	ssut:TL13_1184
ko:K05799	ssut:TL13_0803
ko:K03742	ssut:TL13_0076
ko:K18474	ssut:TL13_1599
ko:K16235	ssut:TL13_1828
ko:K00105	ssut:TL13_1069
ko:K01200	ssut:TL13_1935
ko:K00983	ssut:TL13_1185
ko:K18682	ssut:TL13_0444
ko:K06896	ssut:TL13_0421
ko:K18672	ssut:TL13_1285
ko:K18692	ssut:TL13_1540
ko:K06218	ssut:TL13_0946
ko:K18815	ssut:TL13_1276
ko:K03789	ssut:TL13_1743
ko:K18892	ssut:TL13_1842
ko:K18891	ssut:TL13_1843
ko:K03790	ssut:TL13_1420
ko:K18888	ssut:TL13_1014
ko:K18887	ssut:TL13_1015
ko:K03111	ssut:TL13_1622
ko:K03111	ssut:TL13_0189
ko:K03497	ssut:TL13_2007
ko:K07467	ssut:TL13_0593
ko:K18231	ssut:TL13_0643
ko:K07029	ssut:TL13_0787
ko:K19055	ssut:TL13_1297
ko:K19002	ssut:TL13_0629
ko:K18979	ssut:TL13_0564
ko:K13052	ssut:TL13_0010
ko:K18986	ssut:TL13_1455
ko:K02851	ssut:TL13_1664
ko:K18987	ssut:TL13_1456
ko:K19005	ssut:TL13_0724
ko:K07452	ssut:TL13_0960
ko:K06893	ssut:TL13_1955
ko:K06893	ssut:TL13_1467
ko:K19159	ssut:TL13_1812
ko:K19147	ssut:TL13_0959
ko:K19158	ssut:TL13_1811
ko:K05881	ssut:TL13_1765
ko:K01710	ssut:TL13_0698
ko:K07317	ssut:TL13_1692
ko:K01215	ssut:TL13_1360
ko:K03722	ssut:TL13_1216
ko:K19302	ssut:TL13_1499
ko:K12952	ssut:TL13_0651
ko:K04771	ssut:TL13_2006
ko:K07497	ssut:TL13_0356
ko:K07497	ssut:TL13_1879
ko:K07497	ssut:TL13_1327
ko:K07497	ssut:TL13_1471
ko:K06881	ssut:TL13_1341
ko:K00526	ssut:TL13_0762
ko:K01654	ssut:TL13_1188
ko:K02796	ssut:TL13_1580
ko:K02796	ssut:TL13_0484
ko:K00887	ssut:TL13_0579
ko:K07497	ssut:TL13_0737
ko:K21636	ssut:TL13_1918
ko:K20074	ssut:TL13_0450
ko:K12132	ssut:TL13_0451
ko:K20073	ssut:TL13_0442
ko:K02777	ssut:TL13_0422
ko:K20107	ssut:TL13_0422
ko:K20108	ssut:TL13_0422
ko:K20342	ssut:TL13_0068
ko:K00525	ssut:TL13_0763
ko:K20489	ssut:TL13_0942
ko:K20345	ssut:TL13_1794
ko:K20344	ssut:TL13_1796
ko:K18889	ssut:TL13_0320
ko:K18890	ssut:TL13_0319
ko:K20534	ssut:TL13_1869
ko:K21064	ssut:TL13_1577
ko:K08968	ssut:TL13_1430
ko:K06217	ssut:TL13_0676
ko:K06191	ssut:TL13_0764
ko:K03553	ssut:TL13_0077
ko:K00857	ssut:TL13_0973
ko:K00287	ssut:TL13_0981
ko:K00560	ssut:TL13_0982
ko:K02315	ssut:TL13_0168
ko:K01520	ssut:TL13_1837
ko:K07313	ssut:TL13_1852
ko:K02316	ssut:TL13_1244
ko:K04068	ssut:TL13_1914
ko:K02314	ssut:TL13_1947
ko:K00558	ssut:TL13_0494
ko:K02315	ssut:TL13_1319
ko:K01493	ssut:TL13_1424
ko:K02335	ssut:TL13_0621
ko:K02032	ssut:TL13_1653
ko:K02031	ssut:TL13_1654
ko:K00571	ssut:TL13_0179
ko:K03790	ssut:TL13_0780
ko:K01101	ssut:TL13_1249
ko:K01759	ssut:TL13_0655
ko:K07497	ssut:TL13_1584
ko:K06148	ssut:TL13_0310
ko:K06148	ssut:TL13_0309
ko:K21471	ssut:TL13_0241
ko:K21471	ssut:TL13_0039
ko:K21567	ssut:TL13_1789
ko:K00863	ssut:TL13_1761
ko:K21828	ssut:TL13_1164
ko:K21977	ssut:TL13_1093
ko:K22044	ssut:TL13_0275
ko:K03595	ssut:TL13_0580
ko:K03078	ssut:TL13_1862
ko:K22278	ssut:TL13_1436
ko:K17758	ssut:TL13_1001
ko:K03077	ssut:TL13_1860
ko:K03079	ssut:TL13_1861
ko:K22441	ssut:TL13_0812
ko:K22457	ssut:TL13_1171
