ko:K13613	bamb:BAPNAU_2047
ko:K06872	bamb:BAPNAU_0579
ko:K03088	bamb:BAPNAU_0583
ko:K06324	bamb:BAPNAU_0589
ko:K03711	bamb:BAPNAU_1422
ko:K11735	bamb:BAPNAU_0590
ko:K03924	bamb:BAPNAU_0592
ko:K01951	bamb:BAPNAU_0595
ko:K01841	bamb:BAPNAU_0598
ko:K00812	bamb:BAPNAU_0599
ko:K03088	bamb:BAPNAU_0601
ko:K06901	bamb:BAPNAU_0603
ko:K04763	bamb:BAPNAU_1424
ko:K01839	bamb:BAPNAU_1425
ko:K01588	bamb:BAPNAU_0608
ko:K01589	bamb:BAPNAU_0609
ko:K01756	bamb:BAPNAU_0610
ko:K01923	bamb:BAPNAU_0611
ko:K01952	bamb:BAPNAU_0612
ko:K01952	bamb:BAPNAU_0613
ko:K01952	bamb:BAPNAU_0614
ko:K00764	bamb:BAPNAU_0615
ko:K01933	bamb:BAPNAU_0616
ko:K11175	bamb:BAPNAU_0617
ko:K02601	bamb:BAPNAU_1377
ko:K15329	bamb:BAPNAU_1378
ko:K00059	bamb:BAPNAU_1382
ko:K15311	bamb:BAPNAU_1391
ko:K15313	bamb:BAPNAU_1392
ko:K00286	bamb:BAPNAU_1393
ko:K07124	bamb:BAPNAU_1395
ko:K01753	bamb:BAPNAU_1396
ko:K00867	bamb:BAPNAU_1397
ko:K02346	bamb:BAPNAU_1403
ko:K06889	bamb:BAPNAU_1409
ko:K01515	bamb:BAPNAU_1412
ko:K01424	bamb:BAPNAU_1415
ko:K01744	bamb:BAPNAU_1416
ko:K03315	bamb:BAPNAU_1417
ko:K00027	bamb:BAPNAU_1418
ko:K00133	bamb:BAPNAU_2092
ko:K06411	bamb:BAPNAU_2093
ko:K06410	bamb:BAPNAU_2094
ko:K00962	bamb:BAPNAU_2098
ko:K02956	bamb:BAPNAU_2099
ko:K11753	bamb:BAPNAU_2100
ko:K01835	bamb:BAPNAU_2845
ko:K00111	bamb:BAPNAU_2846
ko:K00864	bamb:BAPNAU_2847
ko:K02440	bamb:BAPNAU_2848
ko:K02443	bamb:BAPNAU_2849
ko:K06180	bamb:BAPNAU_2855
ko:K01081	bamb:BAPNAU_2857
ko:K06956	bamb:BAPNAU_2862
ko:K02073	bamb:BAPNAU_2864
ko:K03704	bamb:BAPNAU_2865
ko:K03439	bamb:BAPNAU_2868
ko:K01975	bamb:BAPNAU_2873
ko:K01738	bamb:BAPNAU_2874
ko:K01439	bamb:BAPNAU_2875
ko:K06901	bamb:BAPNAU_2876
ko:K01992	bamb:BAPNAU_2877
ko:K01990	bamb:BAPNAU_2878
ko:K06183	bamb:BAPNAU_2880
ko:K07007	bamb:BAPNAU_2882
ko:K05020	bamb:BAPNAU_2883
ko:K02529	bamb:BAPNAU_2885
ko:K10117	bamb:BAPNAU_2886
ko:K10118	bamb:BAPNAU_2887
ko:K10119	bamb:BAPNAU_2888
ko:K07406	bamb:BAPNAU_2889
ko:K01869	bamb:BAPNAU_2893
ko:K02493	bamb:BAPNAU_3617
ko:K02835	bamb:BAPNAU_3618
ko:K08234	bamb:BAPNAU_3619
ko:K11686	bamb:BAPNAU_3620
ko:K07088	bamb:BAPNAU_3621
ko:K00027	bamb:BAPNAU_3622
ko:K02909	bamb:BAPNAU_3624
ko:K03628	bamb:BAPNAU_3625
ko:K02446	bamb:BAPNAU_3626
ko:K00790	bamb:BAPNAU_3627
ko:K00616	bamb:BAPNAU_3628
ko:K01624	bamb:BAPNAU_3629
ko:K02490	bamb:BAPNAU_3630
ko:K01937	bamb:BAPNAU_3632
ko:K03048	bamb:BAPNAU_3633
ko:K06131	bamb:BAPNAU_3635
ko:K06147	bamb:BAPNAU_3638
ko:K06131	bamb:BAPNAU_3639
ko:K00374	bamb:BAPNAU_3641
ko:K00373	bamb:BAPNAU_3642
ko:K00371	bamb:BAPNAU_3643
ko:K03783	bamb:BAPNAU_1426
ko:K07258	bamb:BAPNAU_1427
ko:K06379	bamb:BAPNAU_1429
ko:K01462	bamb:BAPNAU_2197
ko:K04066	bamb:BAPNAU_2198
ko:K13038	bamb:BAPNAU_2199
ko:K03060	bamb:BAPNAU_2200
ko:K00942	bamb:BAPNAU_2201
ko:K09777	bamb:BAPNAU_2202
ko:K01537	bamb:BAPNAU_2204
ko:K02304	bamb:BAPNAU_2207
ko:K03794	bamb:BAPNAU_2208
ko:K02303	bamb:BAPNAU_2209
ko:K00860	bamb:BAPNAU_2210
ko:K00958	bamb:BAPNAU_2211
ko:K16331	bamb:BAPNAU_2212
ko:K00390	bamb:BAPNAU_2213
ko:K00762	bamb:BAPNAU_2214
ko:K01591	bamb:BAPNAU_2215
ko:K03406	bamb:BAPNAU_3003
ko:K03406	bamb:BAPNAU_3004
ko:K03406	bamb:BAPNAU_3005
ko:K03406	bamb:BAPNAU_3006
ko:K02823	bamb:BAPNAU_2217
ko:K01955	bamb:BAPNAU_2218
ko:K01956	bamb:BAPNAU_2219
ko:K01465	bamb:BAPNAU_2220
ko:K00609	bamb:BAPNAU_2221
ko:K02824	bamb:BAPNAU_2222
ko:K02825	bamb:BAPNAU_2223
ko:K06180	bamb:BAPNAU_2224
ko:K03101	bamb:BAPNAU_2225
ko:K01870	bamb:BAPNAU_2227
ko:K04074	bamb:BAPNAU_2228
ko:K02221	bamb:BAPNAU_2230
ko:K09772	bamb:BAPNAU_2231
ko:K06997	bamb:BAPNAU_2232
ko:K05810	bamb:BAPNAU_2233
ko:K02013	bamb:BAPNAU_2236
ko:K03091	bamb:BAPNAU_2237
ko:K03091	bamb:BAPNAU_2238
ko:K06383	bamb:BAPNAU_2239
ko:K13276	bamb:BAPNAU_2240
ko:K03531	bamb:BAPNAU_2241
ko:K03590	bamb:BAPNAU_2242
ko:K11440	bamb:BAPNAU_2989
ko:K03499	bamb:BAPNAU_2993
ko:K05916	bamb:BAPNAU_2995
ko:K06153	bamb:BAPNAU_2999
ko:K05520	bamb:BAPNAU_3002
ko:K00686	bamb:BAPNAU_3007
ko:K00459	bamb:BAPNAU_3009
ko:K06973	bamb:BAPNAU_3014
ko:K10716	bamb:BAPNAU_3017
ko:K01810	bamb:BAPNAU_3020
ko:K09779	bamb:BAPNAU_3025
ko:K07570	bamb:BAPNAU_3026
ko:K01866	bamb:BAPNAU_3763
ko:K02548	bamb:BAPNAU_3765
ko:K03367	bamb:BAPNAU_3767
ko:K03739	bamb:BAPNAU_3768
ko:K14188	bamb:BAPNAU_3769
ko:K03740	bamb:BAPNAU_3770
ko:K00826	bamb:BAPNAU_3771
ko:K01222	bamb:BAPNAU_3772
ko:K02759	bamb:BAPNAU_3773
ko:K02761	bamb:BAPNAU_3774
ko:K02760	bamb:BAPNAU_3775
ko:K03491	bamb:BAPNAU_3776
ko:K03652	bamb:BAPNAU_3777
ko:K02015	bamb:BAPNAU_3778
ko:K02015	bamb:BAPNAU_3779
ko:K02016	bamb:BAPNAU_3780
ko:K03893	bamb:BAPNAU_3782
ko:K02760	bamb:BAPNAU_3783
ko:K02759	bamb:BAPNAU_3784
ko:K02761	bamb:BAPNAU_3785
ko:K01223	bamb:BAPNAU_3786
ko:K00847	bamb:BAPNAU_3787
ko:K01809	bamb:BAPNAU_3788
ko:K01218	bamb:BAPNAU_3789
ko:K03781	bamb:BAPNAU_3790
ko:K01442	bamb:BAPNAU_3791
ko:K03457	bamb:BAPNAU_3792
ko:K16012	bamb:BAPNAU_3794
ko:K16013	bamb:BAPNAU_3795
ko:K00426	bamb:BAPNAU_3796
ko:K00425	bamb:BAPNAU_3797
ko:K10112	bamb:BAPNAU_3800
ko:K01784	bamb:BAPNAU_3804
ko:K01258	bamb:BAPNAU_3805
ko:K00563	bamb:BAPNAU_3809
ko:K15581	bamb:BAPNAU_2651
ko:K15580	bamb:BAPNAU_2652
ko:K01867	bamb:BAPNAU_2653
ko:K02034	bamb:BAPNAU_2655
ko:K02033	bamb:BAPNAU_2656
ko:K02035	bamb:BAPNAU_2657
ko:K09458	bamb:BAPNAU_2661
ko:K00648	bamb:BAPNAU_2662
ko:K02254	bamb:BAPNAU_2664
ko:K05519	bamb:BAPNAU_2665
ko:K00611	bamb:BAPNAU_2670
ko:K01955	bamb:BAPNAU_2671
ko:K01956	bamb:BAPNAU_2672
ko:K00930	bamb:BAPNAU_2674
ko:K00620	bamb:BAPNAU_2675
ko:K00145	bamb:BAPNAU_2676
ko:K11210	bamb:BAPNAU_2679
ko:K06889	bamb:BAPNAU_2681
ko:K15629	bamb:BAPNAU_2689
ko:K03701	bamb:BAPNAU_3420
ko:K03702	bamb:BAPNAU_3421
ko:K03797	bamb:BAPNAU_3435
ko:K09811	bamb:BAPNAU_3437
ko:K09812	bamb:BAPNAU_3438
ko:K12263	bamb:BAPNAU_3439
ko:K02836	bamb:BAPNAU_3441
ko:K03070	bamb:BAPNAU_3442
ko:K02423	bamb:BAPNAU_3445
ko:K02422	bamb:BAPNAU_3446
ko:K02407	bamb:BAPNAU_3447
ko:K02406	bamb:BAPNAU_3448
ko:K03563	bamb:BAPNAU_3449
ko:K13626	bamb:BAPNAU_3450
ko:K02397	bamb:BAPNAU_3452
ko:K02396	bamb:BAPNAU_3453
ko:K02398	bamb:BAPNAU_3455
ko:K02242	bamb:BAPNAU_3457
ko:K02241	bamb:BAPNAU_3458
ko:K02240	bamb:BAPNAU_3459
ko:K07692	bamb:BAPNAU_3461
ko:K07777	bamb:BAPNAU_3462
ko:K02851	bamb:BAPNAU_3465
ko:K16698	bamb:BAPNAU_3467
ko:K00370	bamb:BAPNAU_3644
ko:K02575	bamb:BAPNAU_3648
ko:K01887	bamb:BAPNAU_3649
ko:K07729	bamb:BAPNAU_3653
ko:K01480	bamb:BAPNAU_3657
ko:K00797	bamb:BAPNAU_3658
ko:K01821	bamb:BAPNAU_3663
ko:K00602	bamb:BAPNAU_0618
ko:K01945	bamb:BAPNAU_0619
ko:K01486	bamb:BAPNAU_0621
ko:K07094	bamb:BAPNAU_0627
ko:K03657	bamb:BAPNAU_0628
ko:K04487	bamb:BAPNAU_1065
ko:K00278	bamb:BAPNAU_1066
ko:K00767	bamb:BAPNAU_1067
ko:K03517	bamb:BAPNAU_1068
ko:K06370	bamb:BAPNAU_1069
ko:K06318	bamb:BAPNAU_1072
ko:K03550	bamb:BAPNAU_1073
ko:K03551	bamb:BAPNAU_1074
ko:K07568	bamb:BAPNAU_1076
ko:K00773	bamb:BAPNAU_1077
ko:K03210	bamb:BAPNAU_1078
ko:K06409	bamb:BAPNAU_1081
ko:K12257	bamb:BAPNAU_1084
ko:K07228	bamb:BAPNAU_1085
ko:K07462	bamb:BAPNAU_1087
ko:K00759	bamb:BAPNAU_1088
ko:K07001	bamb:BAPNAU_1299
ko:K01262	bamb:BAPNAU_1303
ko:K02356	bamb:BAPNAU_1304
ko:K06390	bamb:BAPNAU_1306
ko:K06391	bamb:BAPNAU_1307
ko:K06392	bamb:BAPNAU_1308
ko:K02243	bamb:BAPNAU_1277
ko:K02244	bamb:BAPNAU_1278
ko:K02245	bamb:BAPNAU_1279
ko:K02246	bamb:BAPNAU_1280
ko:K02247	bamb:BAPNAU_1281
ko:K02248	bamb:BAPNAU_1282
ko:K02249	bamb:BAPNAU_1283
ko:K13280	bamb:BAPNAU_1287
ko:K00605	bamb:BAPNAU_1293
ko:K00282	bamb:BAPNAU_1294
ko:K00283	bamb:BAPNAU_1295
ko:K03800	bamb:BAPNAU_1297
ko:K01972	bamb:BAPNAU_0629
ko:K07507	bamb:BAPNAU_0632
ko:K03307	bamb:BAPNAU_0633
ko:K02435	bamb:BAPNAU_0634
ko:K02433	bamb:BAPNAU_0635
ko:K02434	bamb:BAPNAU_0636
ko:K03215	bamb:BAPNAU_0640
ko:K06332	bamb:BAPNAU_0655
ko:K06333	bamb:BAPNAU_0656
ko:K06334	bamb:BAPNAU_0657
ko:K06890	bamb:BAPNAU_0666
ko:K03091	bamb:BAPNAU_1430
ko:K06403	bamb:BAPNAU_1431
ko:K06404	bamb:BAPNAU_1432
ko:K06405	bamb:BAPNAU_1433
ko:K06406	bamb:BAPNAU_1434
ko:K06407	bamb:BAPNAU_1435
ko:K06407	bamb:BAPNAU_1436
ko:K06408	bamb:BAPNAU_1437
ko:K01586	bamb:BAPNAU_1438
ko:K03768	bamb:BAPNAU_1440
ko:K03100	bamb:BAPNAU_1442
ko:K11752	bamb:BAPNAU_1445
ko:K00793	bamb:BAPNAU_1446
ko:K14652	bamb:BAPNAU_1447
ko:K00794	bamb:BAPNAU_1448
ko:K02859	bamb:BAPNAU_1449
ko:K09763	bamb:BAPNAU_1450
ko:K05896	bamb:BAPNAU_1451
ko:K06024	bamb:BAPNAU_1452
ko:K06373	bamb:BAPNAU_1455
ko:K06374	bamb:BAPNAU_1456
ko:K06178	bamb:BAPNAU_1457
ko:K07399	bamb:BAPNAU_1459
ko:K07775	bamb:BAPNAU_1461
ko:K07651	bamb:BAPNAU_1462
ko:K03088	bamb:BAPNAU_1463
ko:K00058	bamb:BAPNAU_1465
ko:K05337	bamb:BAPNAU_1467
ko:K03654	bamb:BAPNAU_1469
ko:K07052	bamb:BAPNAU_1470
ko:K16511	bamb:BAPNAU_1474
ko:K00260	bamb:BAPNAU_1475
ko:K00384	bamb:BAPNAU_1476
ko:K01449	bamb:BAPNAU_1478
ko:K06313	bamb:BAPNAU_1479
ko:K03589	bamb:BAPNAU_2243
ko:K00075	bamb:BAPNAU_2244
ko:K02563	bamb:BAPNAU_2245
ko:K03588	bamb:BAPNAU_2246
ko:K00951	bamb:BAPNAU_1089
ko:K07560	bamb:BAPNAU_1090
ko:K01448	bamb:BAPNAU_1091
ko:K01448	bamb:BAPNAU_1092
ko:K01892	bamb:BAPNAU_1094
ko:K01876	bamb:BAPNAU_1095
ko:K07478	bamb:BAPNAU_1097
ko:K17472	bamb:BAPNAU_1098
ko:K04487	bamb:BAPNAU_1099
ko:K00566	bamb:BAPNAU_1100
ko:K03581	bamb:BAPNAU_1102
ko:K10040	bamb:BAPNAU_1106
ko:K10040	bamb:BAPNAU_1107
ko:K10039	bamb:BAPNAU_1108
ko:K10041	bamb:BAPNAU_1109
ko:K01872	bamb:BAPNAU_1111
ko:K07447	bamb:BAPNAU_1113
ko:K07082	bamb:BAPNAU_1115
ko:K00666	bamb:BAPNAU_1906
ko:K01961	bamb:BAPNAU_1907
ko:K02160	bamb:BAPNAU_1908
ko:K01640	bamb:BAPNAU_1909
ko:K00963	bamb:BAPNAU_1913
ko:K00652	bamb:BAPNAU_1917
ko:K01935	bamb:BAPNAU_1918
ko:K01012	bamb:BAPNAU_1919
ko:K01028	bamb:BAPNAU_1922
ko:K01029	bamb:BAPNAU_1923
ko:K00019	bamb:BAPNAU_1924
ko:K00645	bamb:BAPNAU_1925
ko:K15921	bamb:BAPNAU_1929
ko:K15924	bamb:BAPNAU_1930
ko:K02525	bamb:BAPNAU_1942
ko:K01686	bamb:BAPNAU_1944
ko:K01625	bamb:BAPNAU_1945
ko:K08322	bamb:BAPNAU_1946
ko:K00874	bamb:BAPNAU_1947
ko:K03310	bamb:BAPNAU_1948
ko:K07335	bamb:BAPNAU_2691
ko:K06393	bamb:BAPNAU_1309
ko:K06394	bamb:BAPNAU_1310
ko:K06395	bamb:BAPNAU_1311
ko:K06396	bamb:BAPNAU_1312
ko:K06397	bamb:BAPNAU_1313
ko:K02160	bamb:BAPNAU_1314
ko:K01961	bamb:BAPNAU_1315
ko:K03625	bamb:BAPNAU_1317
ko:K01491	bamb:BAPNAU_1318
ko:K03601	bamb:BAPNAU_1319
ko:K03602	bamb:BAPNAU_1320
ko:K13789	bamb:BAPNAU_1321
ko:K01662	bamb:BAPNAU_1322
ko:K06442	bamb:BAPNAU_1323
ko:K03402	bamb:BAPNAU_1324
ko:K03631	bamb:BAPNAU_1325
ko:K03177	bamb:BAPNAU_2101
ko:K02834	bamb:BAPNAU_2102
ko:K09764	bamb:BAPNAU_2103
ko:K02519	bamb:BAPNAU_2104
ko:K07742	bamb:BAPNAU_2106
ko:K02600	bamb:BAPNAU_2107
ko:K09748	bamb:BAPNAU_2108
ko:K03763	bamb:BAPNAU_2109
ko:K01881	bamb:BAPNAU_2110
ko:K11749	bamb:BAPNAU_2111
ko:K00099	bamb:BAPNAU_2112
ko:K00981	bamb:BAPNAU_2113
ko:K00806	bamb:BAPNAU_2114
ko:K02838	bamb:BAPNAU_2115
ko:K09903	bamb:BAPNAU_2116
ko:K02357	bamb:BAPNAU_2117
ko:K02967	bamb:BAPNAU_2118
ko:K02405	bamb:BAPNAU_2120
ko:K03411	bamb:BAPNAU_2121
ko:K03410	bamb:BAPNAU_2122
ko:K03408	bamb:BAPNAU_2123
ko:K03407	bamb:BAPNAU_2124
ko:K03412	bamb:BAPNAU_2125
ko:K04562	bamb:BAPNAU_2126
ko:K02404	bamb:BAPNAU_2127
ko:K02400	bamb:BAPNAU_2128
ko:K02401	bamb:BAPNAU_2129
ko:K02421	bamb:BAPNAU_2130
ko:K02420	bamb:BAPNAU_2131
ko:K02419	bamb:BAPNAU_2132
ko:K02418	bamb:BAPNAU_2133
ko:K03413	bamb:BAPNAU_2134
ko:K02417	bamb:BAPNAU_2135
ko:K02416	bamb:BAPNAU_2136
ko:K01925	bamb:BAPNAU_2247
ko:K01000	bamb:BAPNAU_2248
ko:K01928	bamb:BAPNAU_2249
ko:K08384	bamb:BAPNAU_2250
ko:K08724	bamb:BAPNAU_2251
ko:K03438	bamb:BAPNAU_2253
ko:K03925	bamb:BAPNAU_2254
ko:K00077	bamb:BAPNAU_2256
ko:K02911	bamb:BAPNAU_2259
ko:K07040	bamb:BAPNAU_2260
ko:K07177	bamb:BAPNAU_2262
ko:K07001	bamb:BAPNAU_2263
ko:K00954	bamb:BAPNAU_2265
ko:K02862	bamb:BAPNAU_2274
ko:K02276	bamb:BAPNAU_2276
ko:K02274	bamb:BAPNAU_2277
ko:K02275	bamb:BAPNAU_2278
ko:K02259	bamb:BAPNAU_2280
ko:K01958	bamb:BAPNAU_2282
ko:K03588	bamb:BAPNAU_2283
ko:K01425	bamb:BAPNAU_2285
ko:K07175	bamb:BAPNAU_2287
ko:K06207	bamb:BAPNAU_2291
ko:K10907	bamb:BAPNAU_3027
ko:K14155	bamb:BAPNAU_3031
ko:K07697	bamb:BAPNAU_3032
ko:K06347	bamb:BAPNAU_3033
ko:K06348	bamb:BAPNAU_3034
ko:K11614	bamb:BAPNAU_3039
ko:K07335	bamb:BAPNAU_3041
ko:K02056	bamb:BAPNAU_3042
ko:K02057	bamb:BAPNAU_3043
ko:K02057	bamb:BAPNAU_3044
ko:K05565	bamb:BAPNAU_3046
ko:K05566	bamb:BAPNAU_3047
ko:K05567	bamb:BAPNAU_3048
ko:K05568	bamb:BAPNAU_3049
ko:K05569	bamb:BAPNAU_3050
ko:K05570	bamb:BAPNAU_3051
ko:K05571	bamb:BAPNAU_3052
ko:K07691	bamb:BAPNAU_3054
ko:K07680	bamb:BAPNAU_3055
ko:K02251	bamb:BAPNAU_3057
ko:K00763	bamb:BAPNAU_3061
ko:K06950	bamb:BAPNAU_3068
ko:K16216	bamb:BAPNAU_3069
ko:K03466	bamb:BAPNAU_3072
ko:K00259	bamb:BAPNAU_3077
ko:K16323	bamb:BAPNAU_3810
ko:K03781	bamb:BAPNAU_3814
ko:K03300	bamb:BAPNAU_3815
ko:K03488	bamb:BAPNAU_3817
ko:K06902	bamb:BAPNAU_3818
ko:K03574	bamb:BAPNAU_3831
ko:K06113	bamb:BAPNAU_3832
ko:K09683	bamb:BAPNAU_3833
ko:K01745	bamb:BAPNAU_3834
ko:K06878	bamb:BAPNAU_0862
ko:K03466	bamb:BAPNAU_0863
ko:K01924	bamb:BAPNAU_0864
ko:K13853	bamb:BAPNAU_0868
ko:K02529	bamb:BAPNAU_0869
ko:K02556	bamb:BAPNAU_0870
ko:K02557	bamb:BAPNAU_0871
ko:K04768	bamb:BAPNAU_0872
ko:K04767	bamb:BAPNAU_0873
ko:K04766	bamb:BAPNAU_0874
ko:K01895	bamb:BAPNAU_0875
ko:K01866	bamb:BAPNAU_0876
ko:K05520	bamb:BAPNAU_0884
ko:K05916	bamb:BAPNAU_0886
ko:K02986	bamb:BAPNAU_0890
ko:K04486	bamb:BAPNAU_0895
ko:K06286	bamb:BAPNAU_0896
ko:K03311	bamb:BAPNAU_0897
ko:K04487	bamb:BAPNAU_0898
ko:K03151	bamb:BAPNAU_0899
ko:K01895	bamb:BAPNAU_0901
ko:K00858	bamb:BAPNAU_0903
ko:K04773	bamb:BAPNAU_0904
ko:K11065	bamb:BAPNAU_0908
ko:K00925	bamb:BAPNAU_0910
ko:K03638	bamb:BAPNAU_0911
ko:K01940	bamb:BAPNAU_0912
ko:K01755	bamb:BAPNAU_0913
ko:K16169	bamb:BAPNAU_1703
ko:K07443	bamb:BAPNAU_1707
ko:K16167	bamb:BAPNAU_1709
ko:K16168	bamb:BAPNAU_1710
ko:K06429	bamb:BAPNAU_1715
ko:K03469	bamb:BAPNAU_1716
ko:K09125	bamb:BAPNAU_1717
ko:K03469	bamb:BAPNAU_1718
ko:K03704	bamb:BAPNAU_1722
ko:K00651	bamb:BAPNAU_1724
ko:K00432	bamb:BAPNAU_1725
ko:K06950	bamb:BAPNAU_1726
ko:K01687	bamb:BAPNAU_1728
ko:K00655	bamb:BAPNAU_1734
ko:K11068	bamb:BAPNAU_1735
ko:K01754	bamb:BAPNAU_1737
ko:K07152	bamb:BAPNAU_1739
ko:K07304	bamb:BAPNAU_1743
ko:K07305	bamb:BAPNAU_1744
ko:K15975	bamb:BAPNAU_2496
ko:K03294	bamb:BAPNAU_2497
ko:K07220	bamb:BAPNAU_2498
ko:K03306	bamb:BAPNAU_2499
ko:K06388	bamb:BAPNAU_2500
ko:K03088	bamb:BAPNAU_2532
ko:K16957	bamb:BAPNAU_3276
ko:K00059	bamb:BAPNAU_3280
ko:K03623	bamb:BAPNAU_3281
ko:K03623	bamb:BAPNAU_3282
ko:K03664	bamb:BAPNAU_3283
ko:K12573	bamb:BAPNAU_3284
ko:K03928	bamb:BAPNAU_3285
ko:K03075	bamb:BAPNAU_3286
ko:K05846	bamb:BAPNAU_3296
ko:K05845	bamb:BAPNAU_3297
ko:K05846	bamb:BAPNAU_3298
ko:K05847	bamb:BAPNAU_3299
ko:K05846	bamb:BAPNAU_3301
ko:K05845	bamb:BAPNAU_3302
ko:K05846	bamb:BAPNAU_3303
ko:K05847	bamb:BAPNAU_3304
ko:K05595	bamb:BAPNAU_3306
ko:K01689	bamb:BAPNAU_3310
ko:K15633	bamb:BAPNAU_3311
ko:K01803	bamb:BAPNAU_3312
ko:K00927	bamb:BAPNAU_3313
ko:K00134	bamb:BAPNAU_3314
ko:K05311	bamb:BAPNAU_3315
ko:K02103	bamb:BAPNAU_3317
ko:K02415	bamb:BAPNAU_2137
ko:K02385	bamb:BAPNAU_2138
ko:K02390	bamb:BAPNAU_2139
ko:K02389	bamb:BAPNAU_2140
ko:K02414	bamb:BAPNAU_2141
ko:K02413	bamb:BAPNAU_2143
ko:K02412	bamb:BAPNAU_2144
ko:K02411	bamb:BAPNAU_2145
ko:K02410	bamb:BAPNAU_2146
ko:K02409	bamb:BAPNAU_2147
ko:K02408	bamb:BAPNAU_2148
ko:K11632	bamb:BAPNAU_2898
ko:K11631	bamb:BAPNAU_2899
ko:K11629	bamb:BAPNAU_2900
ko:K16869	bamb:BAPNAU_3678
ko:K00625	bamb:BAPNAU_3681
ko:K11630	bamb:BAPNAU_2901
ko:K16918	bamb:BAPNAU_2902
ko:K16920	bamb:BAPNAU_2903
ko:K16919	bamb:BAPNAU_2904
ko:K16919	bamb:BAPNAU_2905
ko:K16919	bamb:BAPNAU_2906
ko:K07139	bamb:BAPNAU_2910
ko:K01126	bamb:BAPNAU_2914
ko:K16188	bamb:BAPNAU_2915
ko:K01048	bamb:BAPNAU_2916
ko:K01953	bamb:BAPNAU_2919
ko:K00789	bamb:BAPNAU_2920
ko:K01610	bamb:BAPNAU_2921
ko:K02051	bamb:BAPNAU_2924
ko:K02049	bamb:BAPNAU_2925
ko:K02050	bamb:BAPNAU_2926
ko:K04047	bamb:BAPNAU_2929
ko:K07173	bamb:BAPNAU_2932
ko:K08998	bamb:BAPNAU_2933
ko:K01673	bamb:BAPNAU_2934
ko:K02909	bamb:BAPNAU_2935
ko:K00425	bamb:BAPNAU_2936
ko:K00426	bamb:BAPNAU_2937
ko:K11709	bamb:BAPNAU_2939
ko:K11708	bamb:BAPNAU_2940
ko:K11710	bamb:BAPNAU_2941
ko:K11707	bamb:BAPNAU_2942
ko:K02549	bamb:BAPNAU_2943
ko:K03294	bamb:BAPNAU_3665
ko:K06885	bamb:BAPNAU_3667
ko:K06314	bamb:BAPNAU_3669
ko:K10947	bamb:BAPNAU_3670
ko:K01990	bamb:BAPNAU_3672
ko:K01992	bamb:BAPNAU_3673
ko:K07552	bamb:BAPNAU_3691
ko:K21064	bamb:BAPNAU_2682
ko:K12574	bamb:BAPNAU_2089
ko:K12574	bamb:BAPNAU_2328
ko:K17734	bamb:BAPNAU_2040
ko:K11638	bamb:BAPNAU_0707
ko:K01126	bamb:BAPNAU_0206
ko:K02445	bamb:BAPNAU_0207
ko:K08317	bamb:BAPNAU_0214
ko:K08289	bamb:BAPNAU_0215
ko:K17103	bamb:BAPNAU_0216
ko:K01613	bamb:BAPNAU_0218
ko:K07146	bamb:BAPNAU_0220
ko:K11102	bamb:BAPNAU_0221
ko:K00826	bamb:BAPNAU_0222
ko:K00547	bamb:BAPNAU_0224
ko:K11626	bamb:BAPNAU_0225
ko:K01425	bamb:BAPNAU_0226
ko:K07717	bamb:BAPNAU_0227
ko:K07719	bamb:BAPNAU_0228
ko:K01449	bamb:BAPNAU_0232
ko:K01113	bamb:BAPNAU_0233
ko:K03116	bamb:BAPNAU_0234
ko:K03118	bamb:BAPNAU_0235
ko:K01304	bamb:BAPNAU_0236
ko:K01424	bamb:BAPNAU_0240
ko:K07039	bamb:BAPNAU_0242
ko:K00034	bamb:BAPNAU_0249
ko:K14665	bamb:BAPNAU_0266
ko:K01176	bamb:BAPNAU_0269
ko:K00016	bamb:BAPNAU_0270
ko:K09190	bamb:BAPNAU_0274
ko:K09967	bamb:BAPNAU_0276
ko:K01916	bamb:BAPNAU_0277
ko:K15652	bamb:BAPNAU_0280
ko:K00891	bamb:BAPNAU_0282
ko:K01060	bamb:BAPNAU_0285
ko:K07074	bamb:BAPNAU_0286
ko:K00318	bamb:BAPNAU_0287
ko:K00294	bamb:BAPNAU_0288
ko:K13542	bamb:BAPNAU_0292
ko:K00363	bamb:BAPNAU_0293
ko:K00362	bamb:BAPNAU_0294
ko:K00372	bamb:BAPNAU_0295
ko:K00362	bamb:BAPNAU_0296
ko:K02575	bamb:BAPNAU_0297
ko:K00121	bamb:BAPNAU_0299
ko:K01223	bamb:BAPNAU_0303
ko:K08094	bamb:BAPNAU_0306
ko:K08093	bamb:BAPNAU_0307
ko:K06133	bamb:BAPNAU_0315
ko:K10010	bamb:BAPNAU_0317
ko:K07160	bamb:BAPNAU_0370
ko:K06351	bamb:BAPNAU_0373
ko:K06350	bamb:BAPNAU_0374
ko:K03817	bamb:BAPNAU_0385
ko:K00158	bamb:BAPNAU_0398
ko:K03322	bamb:BAPNAU_0409
ko:K07217	bamb:BAPNAU_0419
ko:K11692	bamb:BAPNAU_0422
ko:K11103	bamb:BAPNAU_0423
ko:K01990	bamb:BAPNAU_0425
ko:K01921	bamb:BAPNAU_0433
ko:K01929	bamb:BAPNAU_0434
ko:K05592	bamb:BAPNAU_0435
ko:K09167	bamb:BAPNAU_0436
ko:K08981	bamb:BAPNAU_0437
ko:K00997	bamb:BAPNAU_0439
ko:K01775	bamb:BAPNAU_0441
