ko:K02028	spya:A20_1271c
ko:K08974	spya:A20_1869
ko:K00752	spya:A20_1895
ko:K00784	spya:A20_0769
ko:K02086	spya:A20_0773
ko:K01989	spya:A20_0786
ko:K05832	spya:A20_0788
ko:K05833	spya:A20_0789
ko:K03930	spya:A20_0791
ko:K01727	spya:A20_0798c
ko:K07009	spya:A20_0800c
ko:K09952	spya:A20_0810
ko:K07305	spya:A20_0818
ko:K02793	spya:A20_0820
ko:K01262	spya:A20_1597c
ko:K03471	spya:A20_1612
ko:K01281	spya:A20_1624
ko:K02342	spya:A20_1629c
ko:K01619	spya:A20_1632c
ko:K03294	spya:A20_0015
ko:K07816	spya:A20_0886
ko:K00625	spya:A20_0889
ko:K05845	spya:A20_0894
ko:K05846	spya:A20_0894
ko:K06147	spya:A20_0909
ko:K00016	spya:A20_0911c
ko:K08234	spya:A20_0914
ko:K07035	spya:A20_0926
ko:K07729	spya:A20_1697c
ko:K00616	spya:A20_1709c
ko:K03475	spya:A20_1711c
ko:K02822	spya:A20_1712c
ko:K02821	spya:A20_1713c
ko:K03647	spya:A20_1735
ko:K03342	spya:A20_1741
ko:K02745	spya:A20_0563c
ko:K02744	spya:A20_0565c
ko:K00046	spya:A20_0566
ko:K09762	spya:A20_0583
ko:K09815	spya:A20_0585
ko:K04516	spya:A20_0591
ko:K06286	spya:A20_0598
ko:K11046	spya:A20_0606
ko:K03700	spya:A20_1397
ko:K01372	spya:A20_1399c
ko:K01916	spya:A20_1400c
ko:K12556	spya:A20_1410c
ko:K00616	spya:A20_1423c
ko:K07012	spya:A20_1324c
ko:K11704	spya:A20_0421
ko:K14224	spya:A20_0111
ko:K00131	spya:A20_1153c
ko:K14219	spya:A20_0040
ko:K14219	spya:A20_1665c
ko:K14219	spya:A20_0306
ko:K01834	spya:A20_1198c
ko:K14218	spya:A20_0017
ko:K16786	spya:A20_1570c
ko:K16787	spya:A20_1570c
ko:K10009	spya:A20_0749
ko:K02424	spya:A20_0748
ko:K14223	spya:A20_0118
ko:K02030	spya:A20_0319
ko:K02030	spya:A20_1016c
ko:K14232	spya:A20_0028
ko:K14229	spya:A20_0022
ko:K14236	spya:A20_0115
ko:K14234	spya:A20_1331
ko:K14229	spya:A20_1744
ko:K14230	spya:A20_0045
ko:K09951	spya:A20_0812
ko:K01426	spya:A20_0747
ko:K08986	spya:A20_0521c
ko:K00951	spya:A20_1733c
ko:K01598	spya:A20_0972
ko:K16926	spya:A20_1572c
ko:K01980	spya:A20_0018
ko:K01985	spya:A20_0019
ko:K14221	spya:A20_0021
ko:K14225	spya:A20_0025
ko:K14228	spya:A20_0026
ko:K14219	spya:A20_0594
ko:K14219	spya:A20_0760
ko:K14230	spya:A20_0042
ko:K14227	spya:A20_0048
ko:K14226	spya:A20_0117
ko:K14228	spya:A20_1653c
ko:K14219	spya:A20_0027
ko:K14237	spya:A20_0020
ko:K14228	spya:A20_0119
ko:K14234	spya:A20_0024
ko:K14225	spya:A20_0047
ko:K14233	spya:A20_0044
ko:K14231	spya:A20_0046
ko:K14233	spya:A20_0049
ko:K16898	spya:A20_0639
ko:K16899	spya:A20_0638
ko:K14222	spya:A20_1810c
ko:K11070	spya:A20_0867
ko:K02851	spya:A20_0286
ko:K01977	spya:A20_0016
ko:K01977	spya:A20_1366c
ko:K01977	spya:A20_1670c
ko:K01977	spya:A20_0104
ko:K01977	spya:A20_0029
ko:K01977	spya:A20_0301
ko:K14232	spya:A20_0041
ko:K14234	spya:A20_1358c
ko:K14234	spya:A20_0037
ko:K14237	spya:A20_1362c
ko:K14237	spya:A20_0033
ko:K14237	spya:A20_0108
ko:K03574	spya:A20_1275
ko:K14225	spya:A20_0038
ko:K01980	spya:A20_0303
ko:K01980	spya:A20_1668c
ko:K01980	spya:A20_1364c
ko:K01980	spya:A20_0106
ko:K01980	spya:A20_0031
ko:K02029	spya:A20_1110
ko:K02030	spya:A20_1110
ko:K01990	spya:A20_0650
ko:K17319	spya:A20_1344c
ko:K17318	spya:A20_1342c
ko:K14228	spya:A20_0039
ko:K01992	spya:A20_0475
ko:K01992	spya:A20_0649
ko:K01992	spya:A20_1416c
ko:K01992	spya:A20_1519c
ko:K01992	spya:A20_1567c
ko:K01990	spya:A20_1026
ko:K01990	spya:A20_1520c
ko:K01990	spya:A20_1417c
ko:K14988	spya:A20_1676c
ko:K14236	spya:A20_0757
ko:K14235	spya:A20_0116
ko:K14233	spya:A20_1516c
ko:K02028	spya:A20_1405c
ko:K02028	spya:A20_1017c
ko:K03574	spya:A20_0781
ko:K02028	spya:A20_1111
ko:K17320	spya:A20_1343c
ko:K14224	spya:A20_1356c
ko:K14224	spya:A20_1909c
ko:K14220	spya:A20_0305
ko:K14220	spya:A20_1666c
ko:K14220	spya:A20_1908c
ko:K14223	spya:A20_0758
ko:K14227	spya:A20_0110
ko:K14227	spya:A20_1357c
ko:K14225	spya:A20_0109
ko:K14231	spya:A20_0114
ko:K14233	spya:A20_0112
ko:K14228	spya:A20_0023
ko:K14228	spya:A20_0036
ko:K14228	spya:A20_1359c
ko:K14229	spya:A20_0035
ko:K14229	spya:A20_1360c
ko:K14221	spya:A20_0034
ko:K14221	spya:A20_1361c
ko:K14219	spya:A20_1912
ko:K01897	spya:A20_0478
ko:K08316	spya:A20_1301c
ko:K14230	spya:A20_0043
ko:K01537	spya:A20_0558
ko:K14230	spya:A20_0113
ko:K17076	spya:A20_0281c
ko:K17073	spya:A20_0282c
ko:K17074	spya:A20_0282c
ko:K02029	spya:A20_1272c
ko:K10947	spya:A20_1871
ko:K02030	spya:A20_0640
ko:K01035	spya:A20_0170
ko:K14218	spya:A20_0030
ko:K14218	spya:A20_1365c
ko:K14218	spya:A20_1669c
ko:K14218	spya:A20_0105
ko:K14218	spya:A20_0302
ko:K01985	spya:A20_0032
ko:K01985	spya:A20_1363c
ko:K01985	spya:A20_0304
ko:K01985	spya:A20_1667c
ko:K01985	spya:A20_0107
ko:K01992	spya:A20_0474
ko:K01992	spya:A20_0613
ko:K01992	spya:A20_0614
ko:K01190	spya:A20_1338c
ko:K01035	spya:A20_1389
ko:K01990	spya:A20_0473
ko:K01990	spya:A20_0612
ko:K01990	spya:A20_1568c
ko:K10112	spya:A20_1729c
ko:K17686	spya:A20_1453c
ko:K01101	spya:A20_0808
ko:K07284	spya:A20_0163
ko:K07284	spya:A20_0913
ko:K00226	spya:A20_1200
ko:K03767	spya:A20_0424c
ko:K02026	spya:A20_0261
ko:K00537	spya:A20_0738
ko:K01658	spya:A20_1742
ko:K02027	spya:A20_0259
ko:K12574	spya:A20_1641
ko:K01467	spya:A20_0011
ko:K12574	spya:A20_0790
ko:K01071	spya:A20_0807
ko:K03366	spya:A20_0576
ko:K06148	spya:A20_0908
ko:K18153	spya:A20_0190
ko:K02794	spya:A20_0821
ko:K12296	spya:A20_0307
ko:K22044	spya:A20_1659
ko:K18369	spya:A20_0873c
ko:K03742	spya:A20_1846c
ko:K18474	spya:A20_1545c
ko:K02001	spya:A20_0208
ko:K02002	spya:A20_0208
ko:K18581	spya:A20_0564c
ko:K18682	spya:A20_1385c
ko:K06896	spya:A20_1736c
ko:K18672	spya:A20_0802
ko:K18692	spya:A20_1407c
ko:K01271	spya:A20_0468c
ko:K18892	spya:A20_0243
ko:K18891	spya:A20_0242
ko:K03111	spya:A20_1602c
ko:K03111	spya:A20_0149
ko:K11040	spya:A20_1030
ko:K03111	spya:A20_1069c
ko:K03497	spya:A20_1915
ko:K07029	spya:A20_0618
ko:K07484	spya:A20_0161c
ko:K19002	spya:A20_0471
ko:K07483	spya:A20_0218c
ko:K07483	spya:A20_0222c
ko:K07483	spya:A20_1124
ko:K07483	spya:A20_1160
ko:K18979	spya:A20_0571
ko:K13052	spya:A20_0009
ko:K18986	spya:A20_1769c
ko:K18987	spya:A20_1770c
ko:K19005	spya:A20_0666c
ko:K19119	spya:A20_1323c
ko:K08652	spya:A20_1761c
ko:K02476	spya:A20_0870c
ko:K02475	spya:A20_0869c
ko:K09951	spya:A20_1318c
ko:K14989	spya:A20_1675c
ko:K00571	spya:A20_1492c
ko:K01710	spya:A20_0780
ko:K19117	spya:A20_1322c
ko:K19118	spya:A20_1321c
ko:K19137	spya:A20_0813
ko:K01215	spya:A20_1728c
ko:K01364	spya:A20_1779c
ko:K14745	spya:A20_1731
ko:K03722	spya:A20_0578
ko:K07486	spya:A20_0601c
ko:K19302	spya:A20_0362
ko:K04771	spya:A20_1914
ko:K12998	spya:A20_0651
ko:K02031	spya:A20_1753
ko:K06881	spya:A20_0589c
ko:K07487	spya:A20_1762
ko:K02796	spya:A20_1530
ko:K02796	spya:A20_0823
ko:K00887	spya:A20_0439
ko:K07497	spya:A20_0221c
ko:K07052	spya:A20_0610
ko:K00526	spya:A20_1158
ko:K07497	spya:A20_0217c
ko:K00786	spya:A20_0654
ko:K21636	spya:A20_1838c
ko:K11705	spya:A20_0423
ko:K11706	spya:A20_0422
ko:K20074	spya:A20_1379c
ko:K12132	spya:A20_1378c
ko:K20073	spya:A20_1393c
ko:K21349	spya:A20_0492
ko:K20112	spya:A20_1450c
ko:K02777	spya:A20_1737c
ko:K20107	spya:A20_1737c
ko:K20108	spya:A20_1737c
ko:K20114	spya:A20_1448c
ko:K20113	spya:A20_1449c
ko:K20374	spya:A20_0485c
ko:K20342	spya:A20_0067
ko:K20373	spya:A20_0453
ko:K20491	spya:A20_0849
ko:K20492	spya:A20_0850
ko:K20490	spya:A20_0848
ko:K00526	spya:A20_0399
ko:K20487	spya:A20_0845
ko:K20488	spya:A20_0844
ko:K20375	spya:A20_1782
ko:K01208	spya:A20_1100c
ko:K21064	spya:A20_1527
ko:K08968	spya:A20_1147c
ko:K00525	spya:A20_0401
ko:K00525	spya:A20_1157
ko:K02316	spya:A20_0643
ko:K06909	spya:A20_1488c
ko:K07474	spya:A20_1489c
ko:K06919	spya:A20_1497c
ko:K00560	spya:A20_0729
ko:K00287	spya:A20_0730
ko:K01493	spya:A20_1596c
ko:K00558	spya:A20_0840
ko:K00857	spya:A20_0900
ko:K04068	spya:A20_1834c
ko:K03553	spya:A20_1845c
ko:K02315	spya:A20_1075c
ko:K02314	spya:A20_1879c
ko:K01520	spya:A20_0245
ko:K01286	spya:A20_0293c
ko:K06191	spya:A20_1156
ko:K06217	spya:A20_0436
ko:K07455	spya:A20_1239c
ko:K02335	spya:A20_0209
ko:K02021	spya:A20_0847
ko:K02032	spya:A20_1754
ko:K00571	spya:A20_0140
ko:K01746	spya:A20_1816
ko:K07741	spya:A20_1250c
ko:K07497	spya:A20_0708c
ko:K07497	spya:A20_1125
ko:K06148	spya:A20_1573c
ko:K06148	spya:A20_1574c
ko:K21471	spya:A20_0050
ko:K00863	spya:A20_0476
ko:K21567	spya:A20_0700
ko:K21828	spya:A20_1309c
ko:K02334	spya:A20_1498c
ko:K21977	spya:A20_0971
ko:K21993	spya:A20_1194c
ko:K03595	spya:A20_0440
ko:K03078	spya:A20_0202
ko:K22278	spya:A20_1152c
ko:K03077	spya:A20_0204
ko:K03079	spya:A20_0203
ko:K22457	spya:A20_0579
