ko:K13613	bamy:V529_16600
ko:K02528	bamy:V529_00430
ko:K06436	bamy:V529_00440
ko:K06423	bamy:V529_00460
ko:K00919	bamy:V529_00470
ko:K09685	bamy:V529_00480
ko:K09022	bamy:V529_00490
ko:K06412	bamy:V529_00500
ko:K04042	bamy:V529_00510
ko:K00948	bamy:V529_00520
ko:K02897	bamy:V529_00530
ko:K01056	bamy:V529_00540
ko:K03723	bamy:V529_00560
ko:K04769	bamy:V529_00570
ko:K02499	bamy:V529_00590
ko:K07571	bamy:V529_00640
ko:K06382	bamy:V529_00660
ko:K07114	bamy:V529_00670
ko:K04075	bamy:V529_00690
ko:K06332	bamy:V529_06700
ko:K06333	bamy:V529_06710
ko:K06334	bamy:V529_06720
ko:K07145	bamy:V529_06760
ko:K17763	bamy:V529_06780
ko:K06890	bamy:V529_06810
ko:K14338	bamy:V529_06850
ko:K00978	bamy:V529_06880
ko:K01709	bamy:V529_06890
ko:K08223	bamy:V529_06930
ko:K03294	bamy:V529_06940
ko:K15738	bamy:V529_06990
ko:K01728	bamy:V529_07080
ko:K03319	bamy:V529_07090
ko:K07284	bamy:V529_07160
ko:K11637	bamy:V529_07170
ko:K00491	bamy:V529_07220
ko:K01512	bamy:V529_07230
ko:K02411	bamy:V529_15630
ko:K02412	bamy:V529_15640
ko:K02413	bamy:V529_15650
ko:K02414	bamy:V529_15670
ko:K02389	bamy:V529_15680
ko:K02390	bamy:V529_15690
ko:K02385	bamy:V529_15700
ko:K02415	bamy:V529_15710
ko:K02416	bamy:V529_15720
ko:K02417	bamy:V529_15730
ko:K03413	bamy:V529_15740
ko:K02418	bamy:V529_15750
ko:K02419	bamy:V529_15760
ko:K02420	bamy:V529_15770
ko:K02421	bamy:V529_15780
ko:K02401	bamy:V529_15790
ko:K02400	bamy:V529_15800
ko:K02404	bamy:V529_15810
ko:K04562	bamy:V529_15820
ko:K03412	bamy:V529_15830
ko:K03407	bamy:V529_15840
ko:K03408	bamy:V529_15850
ko:K03410	bamy:V529_15860
ko:K03411	bamy:V529_15870
ko:K02405	bamy:V529_15880
ko:K02967	bamy:V529_15900
ko:K03321	bamy:V529_01670
ko:K02015	bamy:V529_01700
ko:K02015	bamy:V529_01710
ko:K02016	bamy:V529_01720
ko:K01207	bamy:V529_01750
ko:K02809	bamy:V529_01770
ko:K02810	bamy:V529_01770
ko:K07106	bamy:V529_01780
ko:K03088	bamy:V529_01810
ko:K18672	bamy:V529_01830
ko:K03431	bamy:V529_01850
ko:K00820	bamy:V529_01870
ko:K01990	bamy:V529_01880
ko:K02003	bamy:V529_01940
ko:K02004	bamy:V529_01950
ko:K06518	bamy:V529_02000
ko:K01560	bamy:V529_02040
ko:K01992	bamy:V529_02080
ko:K01992	bamy:V529_02090
ko:K00626	bamy:V529_09950
ko:K03523	bamy:V529_09970
ko:K02250	bamy:V529_10020
ko:K05937	bamy:V529_10030
ko:K05937	bamy:V529_10040
ko:K03307	bamy:V529_10090
ko:K03100	bamy:V529_10130
ko:K07120	bamy:V529_10160
ko:K16899	bamy:V529_10210
ko:K16898	bamy:V529_10220
ko:K03547	bamy:V529_10230
ko:K06304	bamy:V529_10260
ko:K06303	bamy:V529_10270
ko:K06302	bamy:V529_10280
ko:K06301	bamy:V529_10290
ko:K06300	bamy:V529_10300
ko:K06299	bamy:V529_10310
ko:K01953	bamy:V529_10360
ko:K02291	bamy:V529_10370
ko:K06895	bamy:V529_10420
ko:K09767	bamy:V529_10480
ko:K00243	bamy:V529_10490
ko:K06878	bamy:V529_19100
ko:K08976	bamy:V529_19170
ko:K03654	bamy:V529_19230
ko:K01118	bamy:V529_19250
ko:K13993	bamy:V529_19300
ko:K00128	bamy:V529_19360
ko:K18115	bamy:V529_19370
ko:K04564	bamy:V529_19380
ko:K03308	bamy:V529_19390
ko:K03453	bamy:V529_19400
ko:K00658	bamy:V529_19420
ko:K00164	bamy:V529_19430
ko:K03327	bamy:V529_19520
ko:K17763	bamy:V529_19530
ko:K06370	bamy:V529_27760
ko:K03517	bamy:V529_27770
ko:K00767	bamy:V529_27780
ko:K00278	bamy:V529_27790
ko:K04487	bamy:V529_27800
ko:K07105	bamy:V529_27810
ko:K04518	bamy:V529_27820
ko:K06209	bamy:V529_27830
ko:K03979	bamy:V529_27840
ko:K06375	bamy:V529_27850
ko:K02899	bamy:V529_27860
ko:K07584	bamy:V529_27870
ko:K02888	bamy:V529_27880
ko:K06402	bamy:V529_27890
ko:K06401	bamy:V529_27900
ko:K03609	bamy:V529_27910
ko:K03610	bamy:V529_27920
ko:K03571	bamy:V529_27930
ko:K03570	bamy:V529_27940
ko:K03569	bamy:V529_27950
ko:K03630	bamy:V529_27960
ko:K06287	bamy:V529_27970
ko:K06380	bamy:V529_27980
ko:K02236	bamy:V529_27990
ko:K11754	bamy:V529_28000
ko:K01873	bamy:V529_28010
ko:K06417	bamy:V529_28050
ko:K01845	bamy:V529_28060
ko:K01698	bamy:V529_28070
ko:K01719	bamy:V529_28080
ko:K01749	bamy:V529_28090
ko:K02497	bamy:V529_28100
ko:K02492	bamy:V529_28110
ko:K03978	bamy:V529_28130
ko:K01338	bamy:V529_28140
ko:K04076	bamy:V529_28150
ko:K03544	bamy:V529_28160
ko:K03545	bamy:V529_28170
ko:K01704	bamy:V529_28190
ko:K01703	bamy:V529_28200
ko:K00052	bamy:V529_28210
ko:K01649	bamy:V529_28220
ko:K00053	bamy:V529_28230
ko:K01653	bamy:V529_28240
ko:K01652	bamy:V529_28250
ko:K03569	bamy:V529_36270
ko:K06283	bamy:V529_36280
ko:K03457	bamy:V529_36310
ko:K03320	bamy:V529_36340
ko:K04751	bamy:V529_36350
ko:K03588	bamy:V529_36360
ko:K06386	bamy:V529_36390
ko:K03823	bamy:V529_36400
ko:K06131	bamy:V529_36440
ko:K01181	bamy:V529_36460
ko:K01428	bamy:V529_36480
ko:K01429	bamy:V529_36490
ko:K01430	bamy:V529_36500
ko:K03639	bamy:V529_36540
ko:K02379	bamy:V529_36550
ko:K07114	bamy:V529_36570
ko:K07114	bamy:V529_36590
ko:K06381	bamy:V529_36600
ko:K00790	bamy:V529_36610
ko:K02114	bamy:V529_36650
ko:K02112	bamy:V529_36660
ko:K02115	bamy:V529_36670
ko:K02111	bamy:V529_36680
ko:K02113	bamy:V529_36690
ko:K02109	bamy:V529_36700
ko:K02110	bamy:V529_36710
ko:K02108	bamy:V529_36720
ko:K02116	bamy:V529_36730
ko:K00761	bamy:V529_36750
ko:K00600	bamy:V529_36760
ko:K01808	bamy:V529_36780
ko:K13979	bamy:V529_05060
ko:K00375	bamy:V529_05100
ko:K07734	bamy:V529_05110
ko:K06439	bamy:V529_05150
ko:K00121	bamy:V529_05170
ko:K11623	bamy:V529_05210
ko:K07010	bamy:V529_05240
ko:K00005	bamy:V529_05280
ko:K07552	bamy:V529_05290
ko:K09458	bamy:V529_05300
ko:K07090	bamy:V529_05320
ko:K00657	bamy:V529_05330
ko:K03492	bamy:V529_05470
ko:K03449	bamy:V529_05490
ko:K07217	bamy:V529_05540
ko:K03415	bamy:V529_13350
ko:K07098	bamy:V529_13390
ko:K09776	bamy:V529_13440
ko:K03839	bamy:V529_13480
ko:K03839	bamy:V529_13500
ko:K05822	bamy:V529_13510
ko:K05823	bamy:V529_13520
ko:K03752	bamy:V529_13580
ko:K03750	bamy:V529_13600
ko:K03753	bamy:V529_13610
ko:K03635	bamy:V529_13620
ko:K03636	bamy:V529_13630
ko:K02005	bamy:V529_13660
ko:K02003	bamy:V529_13670
ko:K02004	bamy:V529_13680
ko:K03436	bamy:V529_13690
ko:K00882	bamy:V529_13700
ko:K02768	bamy:V529_13710
ko:K02769	bamy:V529_13710
ko:K02770	bamy:V529_13710
ko:K03100	bamy:V529_13720
ko:K00077	bamy:V529_13750
ko:K03569	bamy:V529_13780
ko:K06284	bamy:V529_13790
ko:K07698	bamy:V529_13800
ko:K03499	bamy:V529_13820
ko:K12574	bamy:V529_13840
ko:K01462	bamy:V529_13870
ko:K15329	bamy:V529_13900
ko:K03088	bamy:V529_22700
ko:K06153	bamy:V529_30790
ko:K05520	bamy:V529_30820
ko:K03406	bamy:V529_30830
ko:K03406	bamy:V529_30840
ko:K03406	bamy:V529_30850
ko:K03406	bamy:V529_30860
ko:K00686	bamy:V529_30870
ko:K00459	bamy:V529_30890
ko:K01187	bamy:V529_30910
ko:K06973	bamy:V529_30930
ko:K10716	bamy:V529_30960
ko:K01810	bamy:V529_30990
ko:K09779	bamy:V529_31050
ko:K07570	bamy:V529_31060
ko:K10907	bamy:V529_31070
ko:K14155	bamy:V529_31110
ko:K07697	bamy:V529_31120
ko:K06347	bamy:V529_31130
ko:K06348	bamy:V529_31140
ko:K11614	bamy:V529_31190
ko:K07335	bamy:V529_31210
ko:K02056	bamy:V529_31220
ko:K02057	bamy:V529_31230
ko:K02057	bamy:V529_31240
ko:K05565	bamy:V529_31260
ko:K05566	bamy:V529_31270
ko:K05567	bamy:V529_31280
ko:K05568	bamy:V529_31290
ko:K05569	bamy:V529_31300
ko:K05570	bamy:V529_31310
ko:K05571	bamy:V529_31320
ko:K03386	bamy:V529_39630
ko:K03387	bamy:V529_39640
ko:K11737	bamy:V529_39660
ko:K04041	bamy:V529_39670
ko:K03518	bamy:V529_39680
ko:K07141	bamy:V529_39710
ko:K00783	bamy:V529_39760
ko:K01476	bamy:V529_39860
ko:K02205	bamy:V529_39870
ko:K00819	bamy:V529_39880
ko:K06714	bamy:V529_39920
ko:K02484	bamy:V529_39980
ko:K07652	bamy:V529_40040
ko:K07668	bamy:V529_40050
ko:K01939	bamy:V529_40070
ko:K01985	bamy:V529_r00180
ko:K02357	bamy:V529_15910
ko:K09903	bamy:V529_15920
ko:K02838	bamy:V529_15930
ko:K00806	bamy:V529_15940
ko:K00981	bamy:V529_15950
ko:K00099	bamy:V529_15960
ko:K11749	bamy:V529_15970
ko:K01881	bamy:V529_15980
ko:K03763	bamy:V529_15990
ko:K09748	bamy:V529_16000
ko:K02600	bamy:V529_16010
ko:K07742	bamy:V529_16020
ko:K02519	bamy:V529_16040
ko:K09764	bamy:V529_16050
ko:K02834	bamy:V529_16060
ko:K03177	bamy:V529_16070
ko:K11753	bamy:V529_16080
ko:K02956	bamy:V529_16090
ko:K00962	bamy:V529_16100
ko:K06410	bamy:V529_16140
ko:K06411	bamy:V529_16150
ko:K00133	bamy:V529_16160
ko:K00928	bamy:V529_16170
ko:K01714	bamy:V529_16180
ko:K02346	bamy:V529_24540
ko:K00867	bamy:V529_24600
ko:K01753	bamy:V529_24610
ko:K07124	bamy:V529_24620
ko:K00286	bamy:V529_24640
ko:K15313	bamy:V529_24650
ko:K15311	bamy:V529_24660
ko:K00059	bamy:V529_24750
ko:K02078	bamy:V529_24770
ko:K15329	bamy:V529_24790
ko:K02601	bamy:V529_24800
ko:K02913	bamy:V529_24860
ko:K00784	bamy:V529_24870
ko:K00036	bamy:V529_24880
ko:K00033	bamy:V529_24890
ko:K02346	bamy:V529_24900
ko:K03217	bamy:V529_24920
ko:K01966	bamy:V529_24940
ko:K05606	bamy:V529_24950
ko:K02028	bamy:V529_24990
ko:K02029	bamy:V529_25000
ko:K02030	bamy:V529_25010
ko:K09699	bamy:V529_25040
ko:K00167	bamy:V529_25050
ko:K00166	bamy:V529_25060
ko:K00382	bamy:V529_25070
ko:K01569	bamy:V529_33010
ko:K02013	bamy:V529_33030
ko:K02015	bamy:V529_33040
ko:K02015	bamy:V529_33050
ko:K02016	bamy:V529_33060
ko:K03758	bamy:V529_33070
ko:K06427	bamy:V529_33080
ko:K07038	bamy:V529_33090
ko:K07219	bamy:V529_33110
ko:K02020	bamy:V529_33120
ko:K02018	bamy:V529_33130
ko:K01992	bamy:V529_33170
ko:K03316	bamy:V529_33210
ko:K00381	bamy:V529_33220
ko:K00380	bamy:V529_33230
ko:K03657	bamy:V529_33240
ko:K03611	bamy:V529_33270
ko:K01534	bamy:V529_33290
ko:K17686	bamy:V529_33300
ko:K07213	bamy:V529_33310
ko:K01118	bamy:V529_33340
ko:K16959	bamy:V529_33390
ko:K16958	bamy:V529_33400
ko:K16957	bamy:V529_33410
ko:K00059	bamy:V529_33450
ko:K03623	bamy:V529_33460
ko:K03623	bamy:V529_33490
ko:K03664	bamy:V529_33500
ko:K00760	bamy:V529_00700
ko:K03798	bamy:V529_00710
ko:K03525	bamy:V529_00720
ko:K04083	bamy:V529_00730
ko:K01738	bamy:V529_00750
ko:K01665	bamy:V529_00760
ko:K01664	bamy:V529_00770
ko:K02619	bamy:V529_00780
ko:K00796	bamy:V529_00790
ko:K01633	bamy:V529_00800
ko:K00950	bamy:V529_00810
ko:K04567	bamy:V529_00840
ko:K03708	bamy:V529_00850
ko:K03696	bamy:V529_00880
ko:K04485	bamy:V529_00890
ko:K07067	bamy:V529_00900
ko:K00991	bamy:V529_00920
ko:K01770	bamy:V529_00930
ko:K09698	bamy:V529_00940
ko:K00640	bamy:V529_00960
ko:K01883	bamy:V529_00970
ko:K11145	bamy:V529_00980
ko:K03218	bamy:V529_00990
ko:K06962	bamy:V529_01000
ko:K03091	bamy:V529_01010
ko:K02913	bamy:V529_01020
ko:K03073	bamy:V529_01030
ko:K02601	bamy:V529_01040
ko:K02867	bamy:V529_01050
ko:K02863	bamy:V529_01060
ko:K02864	bamy:V529_01070
ko:K02935	bamy:V529_01080
ko:K00564	bamy:V529_01090
ko:K03043	bamy:V529_01100
ko:K03046	bamy:V529_01110
ko:K07590	bamy:V529_01120
ko:K02950	bamy:V529_01130
ko:K02992	bamy:V529_01140
ko:K02355	bamy:V529_01150
ko:K02358	bamy:V529_01160
ko:K02946	bamy:V529_01180
ko:K02906	bamy:V529_01190
ko:K02926	bamy:V529_01200
ko:K02892	bamy:V529_01210
ko:K02886	bamy:V529_01220
ko:K02965	bamy:V529_01230
ko:K02890	bamy:V529_01240
ko:K01126	bamy:V529_02200
ko:K02445	bamy:V529_02210
ko:K00483	bamy:V529_02230
ko:K08317	bamy:V529_02280
ko:K08289	bamy:V529_02290
ko:K17103	bamy:V529_02320
ko:K01613	bamy:V529_02340
ko:K07146	bamy:V529_02360
ko:K11102	bamy:V529_02370
ko:K00826	bamy:V529_02380
ko:K16235	bamy:V529_02390
ko:K00547	bamy:V529_02400
ko:K11626	bamy:V529_02410
ko:K01425	bamy:V529_02420
ko:K07717	bamy:V529_02430
ko:K07719	bamy:V529_02440
ko:K15976	bamy:V529_02480
ko:K15975	bamy:V529_02490
ko:K15977	bamy:V529_02500
ko:K01449	bamy:V529_02540
ko:K01113	bamy:V529_02560
ko:K03116	bamy:V529_02570
ko:K03118	bamy:V529_02580
ko:K01304	bamy:V529_02590
ko:K01424	bamy:V529_02630
ko:K07039	bamy:V529_02650
ko:K00034	bamy:V529_02720
ko:K01182	bamy:V529_02730
ko:K09815	bamy:V529_02740
ko:K09817	bamy:V529_02750
ko:K07335	bamy:V529_10500
ko:K15629	bamy:V529_10520
ko:K06889	bamy:V529_10600
ko:K11210	bamy:V529_10620
ko:K00145	bamy:V529_10660
ko:K00620	bamy:V529_10670
ko:K00930	bamy:V529_10680
ko:K01956	bamy:V529_10700
ko:K01955	bamy:V529_10710
ko:K00611	bamy:V529_10720
ko:K05519	bamy:V529_10770
ko:K02254	bamy:V529_10780
ko:K00648	bamy:V529_10800
ko:K09458	bamy:V529_10810
ko:K02035	bamy:V529_10850
ko:K02033	bamy:V529_10860
ko:K02034	bamy:V529_10870
ko:K01867	bamy:V529_10890
ko:K15580	bamy:V529_10910
ko:K15581	bamy:V529_10920
ko:K15582	bamy:V529_10930
ko:K15583	bamy:V529_10940
ko:K10823	bamy:V529_10950
ko:K16509	bamy:V529_10980
ko:K16511	bamy:V529_11000
ko:K08602	bamy:V529_11020
ko:K06886	bamy:V529_11050
ko:K05786	bamy:V529_19570
ko:K06999	bamy:V529_19640
ko:K15975	bamy:V529_19650
ko:K03307	bamy:V529_19670
ko:K01201	bamy:V529_19680
ko:K01223	bamy:V529_19690
ko:K03489	bamy:V529_19700
ko:K03797	bamy:V529_19710
ko:K07260	bamy:V529_19740
ko:K03784	bamy:V529_19750
ko:K01843	bamy:V529_19850
ko:K07095	bamy:V529_28280
ko:K02428	bamy:V529_28290
ko:K00989	bamy:V529_28300
ko:K06298	bamy:V529_28310
ko:K01977	bamy:V529_r00100
ko:K01977	bamy:V529_r00130
ko:K01265	bamy:V529_07280
ko:K02803	bamy:V529_07290
ko:K02804	bamy:V529_07290
ko:K13993	bamy:V529_07330
ko:K02818	bamy:V529_07360
ko:K02819	bamy:V529_07360
ko:K01226	bamy:V529_07370
ko:K03486	bamy:V529_07380
ko:K08693	bamy:V529_07420
ko:K05520	bamy:V529_07430
ko:K02529	bamy:V529_07440
ko:K00014	bamy:V529_07450
ko:K03785	bamy:V529_07460
ko:K01104	bamy:V529_07490
ko:K07058	bamy:V529_07510
ko:K07300	bamy:V529_07540
ko:K03284	bamy:V529_07670
ko:K01247	bamy:V529_07680
ko:K03215	bamy:V529_07690
ko:K00627	bamy:V529_07750
ko:K00382	bamy:V529_07760
ko:K06425	bamy:V529_07780
ko:K01232	bamy:V529_07790
ko:K03481	bamy:V529_07800
ko:K02749	bamy:V529_07810
ko:K02750	bamy:V529_07810
ko:K12574	bamy:V529_16190
ko:K03466	bamy:V529_16220
ko:K03710	bamy:V529_16230
ko:K08221	bamy:V529_16240
ko:K06994	bamy:V529_16260
ko:K00059	bamy:V529_16290
ko:K00995	bamy:V529_16330
ko:K03742	bamy:V529_16340
ko:K18682	bamy:V529_16390
ko:K09769	bamy:V529_16400
ko:K06416	bamy:V529_16410
ko:K00060	bamy:V529_16420
ko:K00639	bamy:V529_16430
ko:K06168	bamy:V529_16440
ko:K06328	bamy:V529_16460
ko:K03555	bamy:V529_16470
ko:K03572	bamy:V529_16480
ko:K15328	bamy:V529_16520
ko:K15329	bamy:V529_16530
ko:K15337	bamy:V529_16540
ko:K15311	bamy:V529_16550
ko:K15312	bamy:V529_16560
ko:K15313	bamy:V529_16570
ko:K17734	bamy:V529_16680
ko:K00791	bamy:V529_16770
ko:K03666	bamy:V529_16780
ko:K00929	bamy:V529_25080
ko:K00263	bamy:V529_25090
ko:K03417	bamy:V529_25130
ko:K01720	bamy:V529_25140
ko:K01647	bamy:V529_25150
ko:K00074	bamy:V529_25170
ko:K00626	bamy:V529_25180
ko:K01126	bamy:V529_25190
ko:K01448	bamy:V529_25200
ko:K06304	bamy:V529_25280
ko:K01775	bamy:V529_25290
ko:K07699	bamy:V529_25300
ko:K06399	bamy:V529_25310
ko:K03631	bamy:V529_25320
ko:K03402	bamy:V529_25330
ko:K06442	bamy:V529_25340
ko:K01662	bamy:V529_25350
ko:K13789	bamy:V529_25360
ko:K03602	bamy:V529_25370
ko:K03601	bamy:V529_25380
ko:K01491	bamy:V529_25390
ko:K03625	bamy:V529_25400
ko:K01961	bamy:V529_25420
ko:K02160	bamy:V529_25430
ko:K06397	bamy:V529_25440
ko:K06396	bamy:V529_25450
ko:K06395	bamy:V529_25460
ko:K06394	bamy:V529_25470
ko:K06393	bamy:V529_25480
ko:K06392	bamy:V529_25490
ko:K06391	bamy:V529_25500
ko:K06390	bamy:V529_25510
ko:K02356	bamy:V529_25530
ko:K01262	bamy:V529_25540
ko:K07001	bamy:V529_25580
ko:K03800	bamy:V529_25600
ko:K12573	bamy:V529_33510
ko:K03928	bamy:V529_33520
ko:K03075	bamy:V529_33530
ko:K05846	bamy:V529_33630
ko:K05845	bamy:V529_33640
ko:K05846	bamy:V529_33650
ko:K05847	bamy:V529_33660
ko:K05846	bamy:V529_33680
ko:K05845	bamy:V529_33690
ko:K05846	bamy:V529_33700
ko:K05847	bamy:V529_33710
ko:K05595	bamy:V529_33730
ko:K01784	bamy:V529_33830
ko:K13015	bamy:V529_33850
ko:K01689	bamy:V529_33870
ko:K15633	bamy:V529_33880
ko:K01803	bamy:V529_33890
ko:K00927	bamy:V529_33900
ko:K00134	bamy:V529_33910
ko:K05311	bamy:V529_33920
ko:K02103	bamy:V529_33950
ko:K00851	bamy:V529_34060
ko:K03299	bamy:V529_34070
ko:K01776	bamy:V529_28320
ko:K01994	bamy:V529_28340
ko:K07107	bamy:V529_28350
ko:K00240	bamy:V529_28360
ko:K00239	bamy:V529_28370
ko:K00241	bamy:V529_28380
ko:K00928	bamy:V529_28400
ko:K03703	bamy:V529_28410
ko:K03671	bamy:V529_28420
ko:K01209	bamy:V529_28430
ko:K03522	bamy:V529_28440
ko:K03521	bamy:V529_28450
ko:K13767	bamy:V529_28460
ko:K13770	bamy:V529_28470
ko:K01897	bamy:V529_28480
ko:K08989	bamy:V529_28500
ko:K07456	bamy:V529_28510
ko:K02347	bamy:V529_28520
ko:K09888	bamy:V529_28540
ko:K03471	bamy:V529_28550
ko:K01890	bamy:V529_28560
ko:K01889	bamy:V529_28570
ko:K03437	bamy:V529_28590
ko:K06426	bamy:V529_28600
ko:K02647	bamy:V529_28610
ko:K00104	bamy:V529_28620
ko:K11473	bamy:V529_28630
ko:K06200	bamy:V529_28640
ko:K01209	bamy:V529_28650
ko:K17236	bamy:V529_28660
ko:K17235	bamy:V529_28670
ko:K17234	bamy:V529_28680
ko:K00096	bamy:V529_28690
ko:K00853	bamy:V529_28720
ko:K01804	bamy:V529_28730
ko:K06113	bamy:V529_28740
ko:K02887	bamy:V529_28780
ko:K02916	bamy:V529_28790
ko:K02520	bamy:V529_28800
ko:K05339	bamy:V529_28810
ko:K07566	bamy:V529_36810
ko:K06387	bamy:V529_36830
ko:K02493	bamy:V529_36850
ko:K02835	bamy:V529_36860
ko:K08234	bamy:V529_36870
ko:K11686	bamy:V529_36880
ko:K07088	bamy:V529_36890
ko:K00027	bamy:V529_36900
ko:K02909	bamy:V529_36920
ko:K03628	bamy:V529_36930
ko:K02446	bamy:V529_36940
ko:K00790	bamy:V529_36950
ko:K00616	bamy:V529_36960
ko:K01624	bamy:V529_36970
ko:K02490	bamy:V529_36980
ko:K01937	bamy:V529_37000
ko:K03048	bamy:V529_37010
ko:K06131	bamy:V529_37030
ko:K06147	bamy:V529_37060
ko:K06131	bamy:V529_37070
ko:K00374	bamy:V529_37090
ko:K00373	bamy:V529_37100
ko:K00371	bamy:V529_37110
ko:K00370	bamy:V529_37120
ko:K02575	bamy:V529_37160
ko:K01887	bamy:V529_37170
ko:K07729	bamy:V529_37250
ko:K01480	bamy:V529_37320
ko:K00797	bamy:V529_37330
ko:K07104	bamy:V529_07860
ko:K00355	bamy:V529_07910
ko:K03623	bamy:V529_07940
ko:K14205	bamy:V529_07980
ko:K07071	bamy:V529_08030
ko:K03565	bamy:V529_08040
ko:K06428	bamy:V529_08090
ko:K07038	bamy:V529_08160
ko:K03575	bamy:V529_08170
ko:K10780	bamy:V529_08190
ko:K06422	bamy:V529_08200
ko:K07586	bamy:V529_08220
ko:K11085	bamy:V529_08230
ko:K01845	bamy:V529_08250
ko:K03564	bamy:V529_08260
ko:K09825	bamy:V529_08270
ko:K03647	bamy:V529_16810
ko:K01448	bamy:V529_16850
ko:K06413	bamy:V529_16860
ko:K03665	bamy:V529_16870
ko:K03713	bamy:V529_16890
ko:K01915	bamy:V529_16900
ko:K03292	bamy:V529_16980
ko:K01198	bamy:V529_16990
ko:K01805	bamy:V529_17010
ko:K00854	bamy:V529_17020
ko:K13953	bamy:V529_17080
ko:K01356	bamy:V529_17330
ko:K00283	bamy:V529_25620
ko:K00282	bamy:V529_25630
ko:K00605	bamy:V529_25640
ko:K13280	bamy:V529_25700
ko:K02249	bamy:V529_25740
ko:K02248	bamy:V529_25750
ko:K02247	bamy:V529_25760
ko:K02246	bamy:V529_25770
ko:K02245	bamy:V529_25780
ko:K02244	bamy:V529_25790
ko:K02243	bamy:V529_25800
ko:K17763	bamy:V529_25830
ko:K16509	bamy:V529_25840
ko:K01308	bamy:V529_25900
ko:K00845	bamy:V529_25910
ko:K03315	bamy:V529_25930
ko:K01934	bamy:V529_25950
ko:K02913	bamy:V529_25960
ko:K02036	bamy:V529_25990
ko:K02036	bamy:V529_26000
ko:K02038	bamy:V529_26010
ko:K02037	bamy:V529_26020
ko:K02040	bamy:V529_26030
ko:K08222	bamy:V529_26050
ko:K04564	bamy:V529_26060
ko:K09793	bamy:V529_26070
ko:K09816	bamy:V529_02760
ko:K05795	bamy:V529_02790
ko:K05795	bamy:V529_02800
ko:K08369	bamy:V529_02840
ko:K02000	bamy:V529_02850
ko:K02001	bamy:V529_02860
ko:K02002	bamy:V529_02870
ko:K14665	bamy:V529_02880
ko:K01176	bamy:V529_02910
ko:K00016	bamy:V529_02920
ko:K09190	bamy:V529_02960
ko:K09967	bamy:V529_02980
ko:K01916	bamy:V529_02990
ko:K15652	bamy:V529_03020
ko:K08194	bamy:V529_03030
ko:K00891	bamy:V529_03040
ko:K01060	bamy:V529_03050
ko:K07074	bamy:V529_03060
ko:K00318	bamy:V529_03070
ko:K00294	bamy:V529_03080
ko:K11928	bamy:V529_03090
ko:K13542	bamy:V529_03120
ko:K00363	bamy:V529_03130
ko:K00362	bamy:V529_03140
ko:K00372	bamy:V529_03150
ko:K00362	bamy:V529_03160
ko:K02575	bamy:V529_03170
ko:K00121	bamy:V529_03190
ko:K08094	bamy:V529_03240
ko:K08093	bamy:V529_03250
ko:K15656	bamy:V529_03290
ko:K15657	bamy:V529_03300
ko:K06133	bamy:V529_03330
ko:K10010	bamy:V529_03350
ko:K07816	bamy:V529_11090
ko:K00858	bamy:V529_11100
ko:K06180	bamy:V529_11110
ko:K03455	bamy:V529_11130
ko:K03707	bamy:V529_11140
ko:K10810	bamy:V529_11150
ko:K03153	bamy:V529_11160
ko:K03154	bamy:V529_11170
ko:K03149	bamy:V529_11180
ko:K00941	bamy:V529_11200
ko:K00208	bamy:V529_11210
ko:K06342	bamy:V529_11250
ko:K06341	bamy:V529_11260
ko:K03657	bamy:V529_11330
ko:K17837	bamy:V529_11350
ko:K01739	bamy:V529_11390
ko:K01760	bamy:V529_11400
ko:K17836	bamy:V529_11500
ko:K01224	bamy:V529_11540
ko:K00965	bamy:V529_11550
ko:K01784	bamy:V529_11560
ko:K00849	bamy:V529_11570
ko:K02787	bamy:V529_11580
ko:K02788	bamy:V529_11580
ko:K02786	bamy:V529_11590
ko:K01220	bamy:V529_11600
ko:K02530	bamy:V529_11610
ko:K03671	bamy:V529_20140
ko:K03647	bamy:V529_20220
ko:K02337	bamy:V529_20460
ko:K05338	bamy:V529_28820
ko:K07705	bamy:V529_28830
ko:K07704	bamy:V529_28840
ko:K07025	bamy:V529_28860
ko:K01868	bamy:V529_28870
ko:K11144	bamy:V529_28900
ko:K03346	bamy:V529_28910
ko:K07738	bamy:V529_28920
ko:K01611	bamy:V529_28930
ko:K00134	bamy:V529_28940
ko:K00859	bamy:V529_28980
ko:K10563	bamy:V529_29000
ko:K07636	bamy:V529_29020
ko:K07658	bamy:V529_29030
ko:K00024	bamy:V529_29040
ko:K00031	bamy:V529_29050
ko:K01647	bamy:V529_29060
ko:K07113	bamy:V529_29100
ko:K00873	bamy:V529_29110
ko:K00850	bamy:V529_29120
ko:K01962	bamy:V529_29130
ko:K01963	bamy:V529_29140
ko:K00027	bamy:V529_29160
ko:K02337	bamy:V529_29170
ko:K00059	bamy:V529_29250
ko:K01755	bamy:V529_29270
ko:K01940	bamy:V529_29280
ko:K03638	bamy:V529_29290
ko:K00925	bamy:V529_29300
ko:K11065	bamy:V529_29320
ko:K01821	bamy:V529_37380
ko:K03294	bamy:V529_37400
ko:K09388	bamy:V529_37410
ko:K06885	bamy:V529_37420
ko:K06314	bamy:V529_37450
ko:K10947	bamy:V529_37460
ko:K01990	bamy:V529_37480
ko:K01992	bamy:V529_37490
ko:K16869	bamy:V529_37540
ko:K00625	bamy:V529_37570
