ko:K18929	cjx:BN867_00670
ko:K09798	cjx:BN867_06390
ko:K04096	cjx:BN867_06400
ko:K07447	cjx:BN867_06410
ko:K07304	cjx:BN867_06430
ko:K01507	cjx:BN867_06440
ko:K00939	cjx:BN867_06450
ko:K01876	cjx:BN867_06460
ko:K00858	cjx:BN867_06470
ko:K03631	cjx:BN867_06480
ko:K02415	cjx:BN867_13880
ko:K00997	cjx:BN867_13890
ko:K07265	cjx:BN867_13930
ko:K07266	cjx:BN867_13940
ko:K00958	cjx:BN867_13970
ko:K00860	cjx:BN867_13980
ko:K03271	cjx:BN867_14010
ko:K07031	cjx:BN867_14020
ko:K01711	cjx:BN867_14030
ko:K02377	cjx:BN867_14040
ko:K01790	cjx:BN867_14050
ko:K01854	cjx:BN867_14080
ko:K01784	cjx:BN867_14090
ko:K00012	cjx:BN867_14100
ko:K06041	cjx:BN867_14150
ko:K10107	cjx:BN867_14170
ko:K09689	cjx:BN867_14180
ko:K09688	cjx:BN867_14190
ko:K09979	cjx:BN867_14200
ko:K04075	cjx:BN867_14240
ko:K02836	cjx:BN867_14270
ko:K06176	cjx:BN867_14290
ko:K00946	cjx:BN867_14300
ko:K02394	cjx:BN867_14340
ko:K01980	cjx:LSU_rRNA-1
ko:K01980	cjx:LSU_rRNA-2
ko:K01980	cjx:LSU_rRNA-3
ko:K03424	cjx:BN867_06500
ko:K08307	cjx:BN867_06510
ko:K03642	cjx:BN867_06520
ko:K03270	cjx:BN867_06530
ko:K09774	cjx:BN867_06550
ko:K03978	cjx:BN867_06560
ko:K05515	cjx:BN867_06580
ko:K01262	cjx:BN867_06590
ko:K03305	cjx:BN867_06600
ko:K03305	cjx:BN867_06610
ko:K03667	cjx:BN867_06650
ko:K01419	cjx:BN867_06660
ko:K02939	cjx:BN867_06670
ko:K01940	cjx:BN867_06680
ko:K06925	cjx:BN867_06700
ko:K06861	cjx:BN867_06710
ko:K03092	cjx:BN867_06720
ko:K07792	cjx:BN867_06730
ko:K01546	cjx:BN867_06750
ko:K01547	cjx:BN867_06760
ko:K01548	cjx:BN867_06770
ko:K07646	cjx:BN867_06780
ko:K03702	cjx:BN867_06790
ko:K02456	cjx:BN867_06820
ko:K04066	cjx:BN867_06830
ko:K07010	cjx:BN867_06850
ko:K02396	cjx:BN867_14380
ko:K07090	cjx:BN867_14400
ko:K02455	cjx:BN867_14410
ko:K02454	cjx:BN867_14420
ko:K01714	cjx:BN867_14440
ko:K02453	cjx:BN867_14450
ko:K03737	cjx:BN867_14470
ko:K01091	cjx:BN867_14480
ko:K03286	cjx:BN867_14490
ko:K02996	cjx:BN867_14500
ko:K02871	cjx:BN867_14510
ko:K03582	cjx:BN867_14520
ko:K00406	cjx:BN867_14570
ko:K00407	cjx:BN867_14580
ko:K00405	cjx:BN867_14590
ko:K00404	cjx:BN867_14600
ko:K09792	cjx:BN867_14630
ko:K01956	cjx:BN867_14640
ko:K09804	cjx:BN867_14650
ko:K01939	cjx:BN867_14680
ko:K07112	cjx:BN867_14690
ko:K13821	cjx:BN867_14720
ko:K01008	cjx:BN867_14730
ko:K03406	cjx:BN867_14750
ko:K02379	cjx:BN867_14770
ko:K00127	cjx:BN867_14780
ko:K00124	cjx:BN867_14790
ko:K00123	cjx:BN867_14810
ko:K00123	cjx:BN867_14800
ko:K00860	cjx:BN867_07020
ko:K02393	cjx:BN867_07040
ko:K13788	cjx:BN867_07050
ko:K00925	cjx:BN867_07060
ko:K03438	cjx:BN867_07090
ko:K03770	cjx:BN867_07100
ko:K03590	cjx:BN867_07110
ko:K03531	cjx:BN867_07120
ko:K02392	cjx:BN867_07130
ko:K02392	cjx:BN867_07140
ko:K01915	cjx:BN867_07150
ko:K08303	cjx:BN867_07170
ko:K01588	cjx:BN867_07180
ko:K01878	cjx:BN867_07200
ko:K07164	cjx:BN867_07220
ko:K02527	cjx:BN867_07230
ko:K06180	cjx:BN867_07240
ko:K03106	cjx:BN867_07250
ko:K02959	cjx:BN867_07260
ko:K06960	cjx:BN867_07270
ko:K02860	cjx:BN867_07280
ko:K00554	cjx:BN867_07290
ko:K02884	cjx:BN867_07300
ko:K07127	cjx:BN867_07310
ko:K01626	cjx:BN867_07320
ko:K02337	cjx:BN867_07340
ko:K06997	cjx:BN867_07350
ko:K02406	cjx:BN867_07360
ko:K02493	cjx:BN867_07380
ko:K06013	cjx:BN867_07390
ko:K03831	cjx:BN867_07410
ko:K03284	cjx:BN867_07420
ko:K02055	cjx:BN867_07430
ko:K02054	cjx:BN867_07460
ko:K02053	cjx:BN867_07470
ko:K02052	cjx:BN867_07480
ko:K02030	cjx:BN867_07500
ko:K13747	cjx:BN867_14850
ko:K03636	cjx:BN867_14870
ko:K03635	cjx:BN867_14880
ko:K03750	cjx:BN867_14890
ko:K09952	cjx:BN867_14930
ko:K03326	cjx:BN867_14950
ko:K01933	cjx:BN867_14960
ko:K00859	cjx:BN867_14970
ko:K01778	cjx:BN867_14980
ko:K03796	cjx:BN867_14990
ko:K07133	cjx:BN867_15000
ko:K04047	cjx:BN867_15010
ko:K01810	cjx:BN867_15020
ko:K00963	cjx:BN867_15030
ko:K01895	cjx:BN867_15040
ko:K06857	cjx:BN867_15050
ko:K05773	cjx:BN867_15060
ko:K05772	cjx:BN867_15070
ko:K07160	cjx:BN867_15080
ko:K03923	cjx:BN867_15120
ko:K03098	cjx:BN867_15140
ko:K13979	cjx:BN867_15150
ko:K01153	cjx:BN867_15160
ko:K01154	cjx:BN867_15190
ko:K03427	cjx:BN867_15200
ko:K01607	cjx:BN867_15210
ko:K07089	cjx:BN867_15240
ko:K03325	cjx:BN867_15270
ko:K03406	cjx:BN867_15290
ko:K00343	cjx:BN867_15310
ko:K00342	cjx:BN867_15320
ko:K00341	cjx:BN867_15330
ko:K03705	cjx:BN867_07580
ko:K03687	cjx:BN867_07590
ko:K04043	cjx:BN867_07600
ko:K00812	cjx:BN867_07630
ko:K00640	cjx:BN867_07640
ko:K01585	cjx:BN867_07650
ko:K01892	cjx:BN867_07660
ko:K00943	cjx:BN867_07670
ko:K00954	cjx:BN867_07680
ko:K03186	cjx:BN867_07690
ko:K02386	cjx:BN867_07700
ko:K02073	cjx:BN867_07730
ko:K02072	cjx:BN867_07740
ko:K02071	cjx:BN867_07750
ko:K01873	cjx:BN867_07760
ko:K03657	cjx:BN867_07780
ko:K11065	cjx:BN867_07800
ko:K02567	cjx:BN867_07810
ko:K02573	cjx:BN867_07820
ko:K02574	cjx:BN867_07830
ko:K02568	cjx:BN867_07840
ko:K02570	cjx:BN867_07860
ko:K00974	cjx:BN867_07900
ko:K01433	cjx:BN867_07910
ko:K01929	cjx:BN867_07960
ko:K01921	cjx:BN867_07990
ko:K00340	cjx:BN867_15340
ko:K00339	cjx:BN867_15350
ko:K00338	cjx:BN867_15360
ko:K00337	cjx:BN867_15370
ko:K00334	cjx:BN867_15400
ko:K00333	cjx:BN867_15410
ko:K00332	cjx:BN867_15420
ko:K00331	cjx:BN867_15430
ko:K00330	cjx:BN867_15440
ko:K02034	cjx:BN867_15470
ko:K02033	cjx:BN867_15480
ko:K02035	cjx:BN867_15490
ko:K07306	cjx:BN867_15510
ko:K07307	cjx:BN867_15520
ko:K07308	cjx:BN867_15530
ko:K06159	cjx:BN867_15560
ko:K02518	cjx:BN867_15590
ko:K02919	cjx:BN867_15600
ko:K02952	cjx:BN867_15610
ko:K02948	cjx:BN867_15620
ko:K02986	cjx:BN867_15630
ko:K03040	cjx:BN867_15640
ko:K02879	cjx:BN867_15650
ko:K00765	cjx:BN867_15660
ko:K00013	cjx:BN867_15670
ko:K01089	cjx:BN867_15680
ko:K02501	cjx:BN867_15690
ko:K01814	cjx:BN867_15700
ko:K09805	cjx:BN867_15710
ko:K02500	cjx:BN867_15720
ko:K11755	cjx:BN867_15730
ko:K00674	cjx:BN867_15740
ko:K03593	cjx:BN867_15750
ko:K12506	cjx:BN867_15760
ko:K00958	cjx:BN867_15780
ko:K01095	cjx:BN867_15790
ko:K02968	cjx:BN867_15800
ko:K17938	cjx:BN867_01660
ko:K05922	cjx:BN867_12600
ko:K05927	cjx:BN867_12610
ko:K05927	cjx:BN867_13790
ko:K07812	cjx:BN867_02400
ko:K15669	cjx:BN867_14000
ko:K00104	cjx:BN867_12060
ko:K07003	cjx:BN867_13580
ko:K03605	cjx:BN867_12580
ko:K05366	cjx:BN867_05210
ko:K01533	cjx:BN867_11560
ko:K15912	cjx:BN867_11120
ko:K18284	cjx:BN867_01080
ko:K17248	cjx:BN867_11180
ko:K11014	cjx:BN867_00710
ko:K11013	cjx:BN867_00720
ko:K18429	cjx:BN867_13130
ko:K18430	cjx:BN867_13120
ko:K18431	cjx:BN867_13160
ko:K11784	cjx:BN867_04320
ko:K11785	cjx:BN867_16420
ko:K18285	cjx:BN867_13530
ko:K15910	cjx:BN867_11130
ko:K02482	cjx:BN867_07940
ko:K01174	cjx:BN867_09690
ko:K04753	cjx:BN867_14860
ko:K06148	cjx:BN867_11210
ko:K07216	cjx:BN867_12170
ko:K15913	cjx:BN867_11140
ko:K02073	cjx:BN867_11950
ko:K00873	cjx:BN867_13960
ko:K00123	cjx:BN867_14820
ko:K03326	cjx:BN867_14940
ko:K02073	cjx:BN867_07710
ko:K02073	cjx:BN867_07720
ko:K07306	cjx:BN867_15500
ko:K03406	cjx:BN867_01360
ko:K03743	cjx:BN867_10550
ko:K18480	cjx:BN867_16180
ko:K00241	cjx:BN867_04110
ko:K03427	cjx:BN867_10400
ko:K18924	cjx:BN867_02850
ko:K18925	cjx:BN867_02840
ko:K10747	cjx:BN867_16370
ko:K18138	cjx:BN867_03400
ko:K03111	cjx:BN867_10630
ko:K00662	cjx:BN867_12890
ko:K09797	cjx:BN867_00330
ko:K03496	cjx:BN867_00910
ko:K03497	cjx:BN867_00920
ko:K12056	cjx:BN867_09280
ko:K12684	cjx:BN867_01960
ko:K18992	cjx:BN867_03420
ko:K00335	cjx:BN867_15390
ko:K03526	cjx:BN867_07030
ko:K07097	cjx:BN867_08680
ko:K07452	cjx:BN867_01300
ko:K08678	cjx:BN867_14110
ko:K15461	cjx:BN867_12620
ko:K00557	cjx:BN867_08280
ko:K00336	cjx:BN867_15380
ko:K11015	cjx:BN867_00700
ko:K17251	cjx:BN867_11170
ko:K19147	cjx:BN867_01310
ko:K17249	cjx:BN867_11200
ko:K15897	cjx:BN867_13010
ko:K15914	cjx:BN867_11160
ko:K15915	cjx:BN867_11150
ko:K15342	cjx:BN867_14920
ko:K01710	cjx:BN867_11280
ko:K17250	cjx:BN867_11190
ko:K09951	cjx:BN867_14910
ko:K22468	cjx:BN867_06130
ko:K04771	cjx:BN867_12210
ko:K19210	cjx:BN867_02740
ko:K15899	cjx:BN867_13000
ko:K00265	cjx:BN867_00070
ko:K03761	cjx:BN867_15880
ko:K03892	cjx:BN867_15250
ko:K06867	cjx:BN867_13700
ko:K19416	cjx:BN867_02110
ko:K06867	cjx:BN867_08310
ko:K10938	cjx:BN867_02660
ko:K19713	cjx:BN867_08640
ko:K07147	cjx:BN867_03530
ko:K09796	cjx:BN867_08950
ko:K07216	cjx:BN867_09650
ko:K03553	cjx:BN867_16410
ko:K20810	cjx:BN867_00590
ko:K01023	cjx:BN867_08620
ko:K00821	cjx:BN867_02020
ko:K02335	cjx:BN867_03130
ko:K02316	cjx:BN867_16070
ko:K02314	cjx:BN867_05720
ko:K03465	cjx:BN867_00250
ko:K02483	cjx:BN867_12550
ko:K02483	cjx:BN867_03300
ko:K02483	cjx:BN867_12200
ko:K00525	cjx:BN867_00230
ko:K02032	cjx:BN867_15450
ko:K02481	cjx:BN867_10120
ko:K01139	cjx:BN867_12660
ko:K00526	cjx:BN867_02060
ko:K10938	cjx:BN867_07790
ko:K03651	cjx:BN867_16590
ko:K13695	cjx:BN867_16220
ko:K21420	cjx:BN867_10240
ko:K01451	cjx:BN867_09750
ko:K10026	cjx:BN867_01520
ko:K21600	cjx:BN867_05230
ko:K21929	cjx:BN867_09550
ko:K03741	cjx:BN867_15260
ko:K03595	cjx:BN867_06640
ko:K14441	cjx:BN867_14250
ko:K17758	cjx:BN867_01720
ko:K17759	cjx:BN867_01720
ko:K22391	cjx:BN867_07210
ko:K22424	cjx:BN867_06860
ko:K22477	cjx:BN867_02000
