ko:K03429	btb:BMB171_C0436
ko:K14224	btb:BMB171_C5233
ko:K14224	btb:BMB171_C5208
ko:K14224	btb:BMB171_C5133
ko:K14224	btb:BMB171_C5201
ko:K01892	btb:BMB171_C3003
ko:K00873	btb:BMB171_C3009
ko:K01867	btb:BMB171_C3027
ko:K00099	btb:BMB171_C3028
ko:K00978	btb:BMB171_C3047
ko:K01709	btb:BMB171_C3048
ko:K09984	btb:BMB171_C3056
ko:K00615	btb:BMB171_C3063
ko:K00036	btb:BMB171_C3064
ko:K07078	btb:BMB171_C3078
ko:K08987	btb:BMB171_C3084
ko:K03837	btb:BMB171_C3086
ko:K00574	btb:BMB171_C3093
ko:K05967	btb:BMB171_C3074
ko:K11752	btb:BMB171_C3075
ko:K05822	btb:BMB171_C3644
ko:K11686	btb:BMB171_C2017
ko:K00939	btb:BMB171_C0126
ko:K14229	btb:BMB171_C5136
ko:K14229	btb:BMB171_C5185
ko:K14229	btb:BMB171_C5213
ko:K14229	btb:BMB171_C5234
ko:K14229	btb:BMB171_C5149
ko:K14229	btb:BMB171_C5159
ko:K01843	btb:BMB171_C2029
ko:K01992	btb:BMB171_C1117
ko:K14228	btb:BMB171_C5180
ko:K06893	btb:BMB171_C0725
ko:K03654	btb:BMB171_C2520
ko:K01448	btb:BMB171_C2526
ko:K03310	btb:BMB171_C2533
ko:K01714	btb:BMB171_C2535
ko:K03740	btb:BMB171_C2550
ko:K05946	btb:BMB171_C2574
ko:K02372	btb:BMB171_C2603
ko:K00116	btb:BMB171_C2662
ko:K14237	btb:BMB171_C5134
ko:K14237	btb:BMB171_C5155
ko:K14237	btb:BMB171_C5146
ko:K14237	btb:BMB171_C5169
ko:K14237	btb:BMB171_C5229
ko:K14237	btb:BMB171_C5182
ko:K14220	btb:BMB171_C5143
ko:K14220	btb:BMB171_C5210
ko:K14220	btb:BMB171_C5152
ko:K14220	btb:BMB171_C5200
ko:K14220	btb:BMB171_C5166
ko:K10555	btb:BMB171_C2663
ko:K10557	btb:BMB171_C2664
ko:K10556	btb:BMB171_C2665
ko:K10558	btb:BMB171_C2666
ko:K11216	btb:BMB171_C2668
ko:K00147	btb:BMB171_C2677
ko:K00800	btb:BMB171_C2645
ko:K00817	btb:BMB171_C2647
ko:K01736	btb:BMB171_C2648
ko:K00931	btb:BMB171_C2678
ko:K00286	btb:BMB171_C2679
ko:K10255	btb:BMB171_C2684
ko:K07727	btb:BMB171_C2688
ko:K00876	btb:BMB171_C2690
ko:K03924	btb:BMB171_C2695
ko:K03781	btb:BMB171_C2704
ko:K01486	btb:BMB171_C2707
ko:K03924	btb:BMB171_C2712
ko:K02003	btb:BMB171_C2741
ko:K13652	btb:BMB171_C2745
ko:K03100	btb:BMB171_C2770
ko:K01304	btb:BMB171_C2773
ko:K07160	btb:BMB171_C2777
ko:K06350	btb:BMB171_C2778
ko:K03100	btb:BMB171_C2781
ko:K09768	btb:BMB171_C2752
ko:K00876	btb:BMB171_C2756
ko:K07090	btb:BMB171_C2760
ko:K07217	btb:BMB171_C2804
ko:K01744	btb:BMB171_C2805
ko:K00286	btb:BMB171_C2821
ko:K06312	btb:BMB171_C2822
ko:K06311	btb:BMB171_C2823
ko:K06310	btb:BMB171_C2825
ko:K07717	btb:BMB171_C2827
ko:K01425	btb:BMB171_C2828
ko:K09932	btb:BMB171_C2840
ko:K01669	btb:BMB171_C2850
ko:K09822	btb:BMB171_C2854
ko:K05577	btb:BMB171_C2855
ko:K02548	btb:BMB171_C2859
ko:K00831	btb:BMB171_C2920
ko:K01434	btb:BMB171_C2926
ko:K01449	btb:BMB171_C2298
ko:K01990	btb:BMB171_C2607
ko:K14228	btb:BMB171_C5226
ko:K14228	btb:BMB171_C5137
ko:K14228	btb:BMB171_C5186
ko:K15580	btb:BMB171_C1810
ko:K11210	btb:BMB171_C1811
ko:K06330	btb:BMB171_C1815
ko:K03284	btb:BMB171_C1819
ko:K07089	btb:BMB171_C1820
ko:K09793	btb:BMB171_C1828
ko:K03311	btb:BMB171_C1832
ko:K06878	btb:BMB171_C1833
ko:K00140	btb:BMB171_C2061
ko:K03547	btb:BMB171_C2066
ko:K00216	btb:BMB171_C2073
ko:K02361	btb:BMB171_C2074
ko:K04780	btb:BMB171_C2077
ko:K06133	btb:BMB171_C2080
ko:K03530	btb:BMB171_C2082
ko:K09936	btb:BMB171_C2103
ko:K03310	btb:BMB171_C2086
ko:K06182	btb:BMB171_C2092
ko:K01868	btb:BMB171_C2093
ko:K02003	btb:BMB171_C2094
ko:K07238	btb:BMB171_C2096
ko:K09936	btb:BMB171_C2101
ko:K01990	btb:BMB171_C1199
ko:K06949	btb:BMB171_C1791
ko:K04047	btb:BMB171_C1795
ko:K06385	btb:BMB171_C1837
ko:K14219	btb:BMB171_C5206
ko:K01449	btb:BMB171_C2464
ko:K03924	btb:BMB171_C1902
ko:K00370	btb:BMB171_C1903
ko:K00371	btb:BMB171_C1905
ko:K00373	btb:BMB171_C1906
ko:K06950	btb:BMB171_C1936
ko:K01887	btb:BMB171_C1944
ko:K01870	btb:BMB171_C1947
ko:K02338	btb:BMB171_C2416
ko:K02851	btb:BMB171_C4794
ko:K03892	btb:BMB171_C2867
ko:K06867	btb:BMB171_C0484
ko:K06378	btb:BMB171_C3739
ko:K01990	btb:BMB171_C5058
ko:K07496	btb:BMB171_P0177
ko:K08602	btb:BMB171_C3162
ko:K14155	btb:BMB171_C4521
ko:K08777	btb:BMB171_C4651
ko:K11189	btb:BMB171_C3712
ko:K01977	btb:BMB171_C5092
ko:K01977	btb:BMB171_C5098
ko:K01977	btb:BMB171_C5101
ko:K01977	btb:BMB171_C5095
ko:K01977	btb:BMB171_C5125
ko:K01977	btb:BMB171_C5130
ko:K01977	btb:BMB171_C5089
ko:K01977	btb:BMB171_C5122
ko:K01977	btb:BMB171_C5116
ko:K01977	btb:BMB171_C5119
ko:K01977	btb:BMB171_C5110
ko:K01977	btb:BMB171_C5107
ko:K01977	btb:BMB171_C5113
ko:K01977	btb:BMB171_C5104
ko:K05020	btb:BMB171_C4834
ko:K03762	btb:BMB171_C2698
ko:K01187	btb:BMB171_C0355
ko:K06131	btb:BMB171_C1823
ko:K14221	btb:BMB171_C5157
ko:K14221	btb:BMB171_C5232
ko:K14221	btb:BMB171_C5195
ko:K14221	btb:BMB171_C5216
ko:K14221	btb:BMB171_C5171
ko:K14221	btb:BMB171_C5165
ko:K01286	btb:BMB171_C2708
ko:K02035	btb:BMB171_C1039
ko:K09607	btb:BMB171_C1128
ko:K11071	btb:BMB171_C1131
ko:K11069	btb:BMB171_C1133
ko:K02236	btb:BMB171_C1150
ko:K14225	btb:BMB171_C5138
ko:K14225	btb:BMB171_C5178
ko:K14225	btb:BMB171_C5187
ko:K14225	btb:BMB171_C5225
ko:K14225	btb:BMB171_C5150
ko:K02010	btb:BMB171_C1167
ko:K02010	btb:BMB171_C1549
ko:K00941	btb:BMB171_C0644
ko:K00666	btb:BMB171_C3303
ko:K07219	btb:BMB171_C0185
ko:K06421	btb:BMB171_C1155
ko:K11638	btb:BMB171_C0819
ko:K07098	btb:BMB171_C0979
ko:K07052	btb:BMB171_C0986
ko:K03406	btb:BMB171_C0989
ko:K06889	btb:BMB171_C0848
ko:K01569	btb:BMB171_C0905
ko:K02443	btb:BMB171_C0908
ko:K07729	btb:BMB171_C0797
ko:K01297	btb:BMB171_C1209
ko:K07729	btb:BMB171_C1111
ko:K14338	btb:BMB171_C2898
ko:K14226	btb:BMB171_C5227
ko:K14226	btb:BMB171_C576
ko:K02254	btb:BMB171_C1033
ko:K01992	btb:BMB171_C4155
ko:K01271	btb:BMB171_C4255
ko:K14540	btb:BMB171_C3503
ko:K00135	btb:BMB171_C0302
ko:K01784	btb:BMB171_C0260
ko:K03317	btb:BMB171_C0309
ko:K02443	btb:BMB171_C0486
ko:K03294	btb:BMB171_C0217
ko:K05816	btb:BMB171_C0487
ko:K05814	btb:BMB171_C0488
ko:K03095	btb:BMB171_C0230
ko:K01409	btb:BMB171_C0234
ko:K06889	btb:BMB171_C0248
ko:K07586	btb:BMB171_C0449
ko:K11085	btb:BMB171_C0450
ko:K03593	btb:BMB171_C0142
ko:K00059	btb:BMB171_C0158
ko:K02033	btb:BMB171_C0204
ko:K00294	btb:BMB171_C0286
ko:K02433	btb:BMB171_C0296
ko:K03386	btb:BMB171_C0321
ko:K03406	btb:BMB171_C0346
ko:K01478	btb:BMB171_C0348
ko:K03406	btb:BMB171_C0363
ko:K07729	btb:BMB171_C0377
ko:K06902	btb:BMB171_C0378
ko:K01104	btb:BMB171_C0394
ko:K01387	btb:BMB171_C0475
ko:K03406	btb:BMB171_C0478
ko:K09825	btb:BMB171_C0459
ko:K05815	btb:BMB171_C0489
ko:K03406	btb:BMB171_C0497
ko:K00027	btb:BMB171_C0501
ko:K03294	btb:BMB171_C0518
ko:K07094	btb:BMB171_C0281
ko:K06131	btb:BMB171_C4942
ko:K14233	btb:BMB171_C5209
ko:K14233	btb:BMB171_C5153
ko:K00632	btb:BMB171_C4612
ko:K11617	btb:BMB171_C1274
ko:K11618	btb:BMB171_C1275
ko:K07533	btb:BMB171_C0921
ko:K09167	btb:BMB171_C0932
ko:K08981	btb:BMB171_C0933
ko:K09167	btb:BMB171_C0938
ko:K08981	btb:BMB171_C0939
ko:K07004	btb:BMB171_C0946
ko:K00819	btb:BMB171_C1011
ko:K02004	btb:BMB171_C0699
ko:K02033	btb:BMB171_C0703
ko:K03294	btb:BMB171_C0717
ko:K09963	btb:BMB171_C0723
ko:K00619	btb:BMB171_C0729
ko:K08152	btb:BMB171_C0738
ko:K03784	btb:BMB171_C1297
ko:K05337	btb:BMB171_C1316
ko:K07052	btb:BMB171_C1319
ko:K01424	btb:BMB171_C1329
ko:K13280	btb:BMB171_C1122
ko:K03498	btb:BMB171_C1229
ko:K09963	btb:BMB171_C0692
ko:K01496	btb:BMB171_C1249
ko:K01523	btb:BMB171_C1250
ko:K01823	btb:BMB171_C1332
ko:K00805	btb:BMB171_C1345
ko:K03886	btb:BMB171_C1355
ko:K03574	btb:BMB171_C1619
ko:K00128	btb:BMB171_C1129
ko:K07816	btb:BMB171_C1057
ko:K03647	btb:BMB171_C1195
ko:K07533	btb:BMB171_C1024
ko:K03090	btb:BMB171_C0879
ko:K00575	btb:BMB171_C0882
ko:K03698	btb:BMB171_C0895
ko:K02033	btb:BMB171_C0788
ko:K02086	btb:BMB171_C1378
ko:K03700	btb:BMB171_C1383
ko:K03436	btb:BMB171_C3392
ko:K14230	btb:BMB171_C5219
ko:K14230	btb:BMB171_C5205
ko:K10440	btb:BMB171_C0582
ko:K10439	btb:BMB171_C0583
ko:K00616	btb:BMB171_C0584
ko:K03406	btb:BMB171_C0596
ko:K07729	btb:BMB171_C0608
ko:K03499	btb:BMB171_C0611
ko:K00639	btb:BMB171_C0543
ko:K03486	btb:BMB171_C0552
ko:K01226	btb:BMB171_C0554
ko:K00852	btb:BMB171_C0579
ko:K03153	btb:BMB171_C0640
ko:K13275	btb:BMB171_C1783
ko:K14236	btb:BMB171_C5147
ko:K14236	btb:BMB171_C5183
ko:K14236	btb:BMB171_C5174
ko:K01011	btb:BMB171_C1412
ko:K14218	btb:BMB171_C5142
ko:K14218	btb:BMB171_C5191
ko:K14218	btb:BMB171_C5151
ko:K14218	btb:BMB171_C5221
ko:K01990	btb:BMB171_C1964
ko:K10947	btb:BMB171_C3693
ko:K09682	btb:BMB171_C0923
ko:K06418	btb:BMB171_C2802
ko:K00433	btb:BMB171_C4417
ko:K14230	btb:BMB171_C5156
ko:K14230	btb:BMB171_C5164
ko:K14230	btb:BMB171_C5170
ko:K14230	btb:BMB171_C5194
ko:K14230	btb:BMB171_C5217
ko:K00274	btb:BMB171_C1713
ko:K00059	btb:BMB171_C1745
ko:K01183	btb:BMB171_C0370
ko:K01259	btb:BMB171_C4306
ko:K01259	btb:BMB171_C1952
ko:K00505	btb:BMB171_P0244
ko:K07052	btb:BMB171_C0558
ko:K07052	btb:BMB171_C4561
ko:K04757	btb:BMB171_C0878
ko:K14228	btb:BMB171_C5160
ko:K10907	btb:BMB171_C4516
ko:K07052	btb:BMB171_C1677
ko:K01679	btb:BMB171_C1580
ko:K00575	btb:BMB171_C1498
ko:K11637	btb:BMB171_C0818
ko:K14393	btb:BMB171_C1454
ko:K00868	btb:BMB171_C5007
ko:K01537	btb:BMB171_C0392
ko:K04763	btb:BMB171_C1480
ko:K01934	btb:BMB171_C3933
ko:K02030	btb:BMB171_P0241
ko:K14237	btb:BMB171_C5202
ko:K03469	btb:BMB171_C1443
ko:K03469	btb:BMB171_C1446
ko:K14233	btb:BMB171_C5167
ko:K14222	btb:BMB171_C5179
ko:K08221	btb:BMB171_C1772
ko:K02803	btb:BMB171_C0426
ko:K02804	btb:BMB171_C0426
ko:K01759	btb:BMB171_C2879
ko:K06196	btb:BMB171_C1587
ko:K00027	btb:BMB171_C1608
ko:K02005	btb:BMB171_C4851
ko:K09145	btb:BMB171_C1269
ko:K00131	btb:BMB171_C0746
ko:K08177	btb:BMB171_C2072
ko:K01980	btb:BMB171_C5090
ko:K01980	btb:BMB171_C5117
ko:K01980	btb:BMB171_C5123
ko:K01980	btb:BMB171_C5126
ko:K01980	btb:BMB171_C5099
ko:K01980	btb:BMB171_C5102
ko:K01980	btb:BMB171_C5129
ko:K01980	btb:BMB171_C5111
ko:K01980	btb:BMB171_C5105
ko:K01980	btb:BMB171_C5120
ko:K01980	btb:BMB171_C5096
ko:K01980	btb:BMB171_C5093
ko:K01980	btb:BMB171_C5114
ko:K01980	btb:BMB171_C5108
ko:K01619	btb:BMB171_C1680
ko:K01489	btb:BMB171_C1684
ko:K01262	btb:BMB171_C1692
ko:K00016	btb:BMB171_C1712
ko:K07304	btb:BMB171_C1640
ko:K14205	btb:BMB171_C1299
ko:K01447	btb:BMB171_C2525
ko:K02005	btb:BMB171_C0701
ko:K03293	btb:BMB171_C0606
ko:K03307	btb:BMB171_C0620
ko:K03324	btb:BMB171_C0690
ko:K05601	btb:BMB171_C3121
ko:K06131	btb:BMB171_C1603
ko:K01066	btb:BMB171_C3896
ko:K01992	btb:BMB171_C0927
ko:K01992	btb:BMB171_C3014
ko:K01990	btb:BMB171_C3015
ko:K01985	btb:BMB171_C5091
ko:K01985	btb:BMB171_C5100
ko:K01985	btb:BMB171_C5118
ko:K01985	btb:BMB171_C5094
ko:K01985	btb:BMB171_C5115
ko:K01985	btb:BMB171_C5112
ko:K01985	btb:BMB171_C5121
ko:K01985	btb:BMB171_C5109
ko:K01985	btb:BMB171_C5106
ko:K01985	btb:BMB171_C5128
ko:K01985	btb:BMB171_C5127
ko:K01985	btb:BMB171_C5097
ko:K01985	btb:BMB171_C5103
ko:K01985	btb:BMB171_C5124
ko:K14232	btb:BMB171_C5162
ko:K14232	btb:BMB171_C5222
ko:K14232	btb:BMB171_C5141
ko:K14232	btb:BMB171_C5190
ko:K14234	btb:BMB171_C5135
ko:K14234	btb:BMB171_C5214
ko:K14234	btb:BMB171_C5173
ko:K14234	btb:BMB171_C5197
ko:K14234	btb:BMB171_C5228
ko:K14219	btb:BMB171_C5230
ko:K01286	btb:BMB171_C2886
ko:K00459	btb:BMB171_C1210
ko:K07691	btb:BMB171_C0760
ko:K07050	btb:BMB171_C1538
ko:K14188	btb:BMB171_C1212
ko:K05346	btb:BMB171_C1679
ko:K14219	btb:BMB171_C5161
ko:K14219	btb:BMB171_C5189
ko:K14219	btb:BMB171_C5140
ko:K14219	btb:BMB171_C5223
ko:K10039	btb:BMB171_C0562
ko:K01449	btb:BMB171_C3433
ko:K14227	btb:BMB171_C5199
ko:K14227	btb:BMB171_C5211
ko:K14225	btb:BMB171_C5181
ko:K14225	btb:BMB171_C5207
ko:K14225	btb:BMB171_C5212
ko:K14225	btb:BMB171_C5163
ko:K01992	btb:BMB171_C1965
ko:K06433	btb:BMB171_C3294
ko:K06147	btb:BMB171_C4766
ko:K02247	btb:BMB171_C3907
ko:K02249	btb:BMB171_C3905
ko:K02205	btb:BMB171_C2682
ko:K01524	btb:BMB171_C3658
ko:K00851	btb:BMB171_C2000
ko:K03299	btb:BMB171_C2001
ko:K00033	btb:BMB171_C2002
ko:K02004	btb:BMB171_C2095
ko:K06994	btb:BMB171_C2106
ko:K03825	btb:BMB171_C2111
ko:K03976	btb:BMB171_C3002
ko:K00059	btb:BMB171_C3013
ko:K01560	btb:BMB171_C3020
ko:K01104	btb:BMB171_C3022
ko:K00851	btb:BMB171_C3059
ko:K00616	btb:BMB171_C3061
ko:K00033	btb:BMB171_C3062
ko:K00059	btb:BMB171_C3069
ko:K03406	btb:BMB171_C3072
ko:K01281	btb:BMB171_C2565
ko:K06889	btb:BMB171_C2571
ko:K01243	btb:BMB171_C2573
ko:K09680	btb:BMB171_C2604
ko:K06994	btb:BMB171_C2642
ko:K02004	btb:BMB171_C2742
ko:K02004	btb:BMB171_C2743
ko:K02004	btb:BMB171_C2908
ko:K03294	btb:BMB171_C2820
ko:K06889	btb:BMB171_C2847
ko:K03325	btb:BMB171_C2866
ko:K00058	btb:BMB171_C2919
ko:K06351	btb:BMB171_C2779
ko:K09607	btb:BMB171_C2796
ko:K00121	btb:BMB171_C2803
ko:K06201	btb:BMB171_C2782
ko:K01424	btb:BMB171_C2806
ko:K03406	btb:BMB171_C1792
ko:K00657	btb:BMB171_C1803
ko:K09815	btb:BMB171_C1804
ko:K00567	btb:BMB171_C1808
ko:K00374	btb:BMB171_C1907
ko:K00657	btb:BMB171_C2408
ko:K01239	btb:BMB171_C2098
ko:K01101	btb:BMB171_C4571
ko:K07214	btb:BMB171_C2421
ko:K03635	btb:BMB171_C1912
ko:K07025	btb:BMB171_C2445
ko:K01119	btb:BMB171_C2450
ko:K00274	btb:BMB171_C1799
ko:K07258	btb:BMB171_C2203
ko:K01243	btb:BMB171_C2263
ko:K06976	btb:BMB171_C1881
ko:K01387	btb:BMB171_C2222
ko:K07098	btb:BMB171_C2235
ko:K05845	btb:BMB171_C2011
ko:K05846	btb:BMB171_C2011
ko:K06377	btb:BMB171_C2036
ko:K07533	btb:BMB171_C2045
ko:K01760	btb:BMB171_C3925
ko:K03741	btb:BMB171_P0200
ko:K06342	btb:BMB171_C2578
ko:K06342	btb:BMB171_C2577
ko:K14231	btb:BMB171_C5172
ko:K14231	btb:BMB171_C5196
ko:K14231	btb:BMB171_C5215
ko:K14231	btb:BMB171_C5231
ko:K06595	btb:BMB171_C5018
ko:K06133	btb:BMB171_P0174
ko:K07273	btb:BMB171_C3123
ko:K11619	btb:BMB171_C1271
ko:K06422	btb:BMB171_C0447
ko:K06432	btb:BMB171_C3291
ko:K08177	btb:BMB171_C2413
ko:K01182	btb:BMB171_C3680
ko:K14166	btb:BMB171_C1702
ko:K01990	btb:BMB171_C0454
ko:K13052	btb:BMB171_C0055
ko:K06335	btb:BMB171_C3295
ko:K06370	btb:BMB171_C4089
ko:K07052	btb:BMB171_C4608
ko:K06183	btb:BMB171_C4344
ko:K11072	btb:BMB171_C1130
ko:K02001	btb:BMB171_C2494
ko:K00537	btb:BMB171_C4601
ko:K14235	btb:BMB171_C5175
ko:K14235	btb:BMB171_C5198
ko:K07052	btb:BMB171_C1203
ko:K06133	btb:BMB171_C2209
ko:K02304	btb:BMB171_C1265
ko:K14223	btb:BMB171_C5148
ko:K14223	btb:BMB171_C5184
ko:K14223	btb:BMB171_C5158
ko:K14223	btb:BMB171_C577
ko:K01081	btb:BMB171_C3767
ko:K09607	btb:BMB171_C0585
ko:K11033	btb:BMB171_C1672
ko:K11034	btb:BMB171_C1673
ko:K11034	btb:BMB171_C1674
ko:K01183	btb:BMB171_C3398
ko:K01200	btb:BMB171_C4341
ko:K00960	btb:BMB171_C4847
ko:K02475	btb:BMB171_C0480
ko:K11035	btb:BMB171_C2812
ko:K11035	btb:BMB171_C2813
ko:K12960	btb:BMB171_C1657
ko:K00128	btb:BMB171_C2534
ko:K05281	btb:BMB171_C2740
ko:K13730	btb:BMB171_C1174
ko:K01046	btb:BMB171_C2309
ko:K06948	btb:BMB171_C3999
ko:K01759	btb:BMB171_C2692
ko:K19689	btb:BMB171_C0305
ko:K11614	btb:BMB171_C0498
ko:K14652	btb:BMB171_C3777
ko:K14647	btb:BMB171_C4018
ko:K04749	btb:BMB171_C0877
ko:K01759	btb:BMB171_C1892
ko:K01759	btb:BMB171_C2657
ko:K16013	btb:BMB171_C1728
ko:K16012	btb:BMB171_C1729
ko:K03297	btb:BMB171_C0303
ko:K03086	btb:BMB171_P0077
ko:K08153	btb:BMB171_C0733
ko:K00666	btb:BMB171_C1767
ko:K01073	btb:BMB171_C1822
ko:K01252	btb:BMB171_C2076
ko:K15652	btb:BMB171_C1770
ko:K15600	btb:BMB171_C0636
ko:K15598	btb:BMB171_C0638
ko:K15599	btb:BMB171_C0637
ko:K02491	btb:BMB171_C2811
ko:K11032	btb:BMB171_C0978
ko:K11036	btb:BMB171_C2815
ko:K11037	btb:BMB171_C2814
ko:K03741	btb:BMB171_C2865
ko:K11749	btb:BMB171_C3485
ko:K06343	btb:BMB171_C1078
ko:K00564	btb:BMB171_C0097
ko:K03489	btb:BMB171_C3429
ko:K05592	btb:BMB171_C5047
ko:K07705	btb:BMB171_C5035
ko:K03817	btb:BMB171_C4323
ko:K00571	btb:BMB171_C4278
ko:K08651	btb:BMB171_C2085
ko:K03611	btb:BMB171_C0665
ko:K03719	btb:BMB171_C1205
ko:K01176	btb:BMB171_C3160
ko:K07496	btb:BMB171_P0142
ko:K03206	btb:BMB171_C2006
ko:K13767	btb:BMB171_C4170
ko:K02031	btb:BMB171_C0206
ko:K02428	btb:BMB171_C4139
ko:K15580	btb:BMB171_C3259
ko:K01834	btb:BMB171_C1558
ko:K01834	btb:BMB171_C3418
ko:K01834	btb:BMB171_C2190
ko:K01834	btb:BMB171_C4581
ko:K01834	btb:BMB171_C1846
ko:K15640	btb:BMB171_C3598
ko:K15519	btb:BMB171_C0014
ko:K04748	btb:BMB171_C0547
ko:K15554	btb:BMB171_C2617
ko:K15633	btb:BMB171_C4727
ko:K15771	btb:BMB171_C3677
ko:K15772	btb:BMB171_C3676
ko:K15738	btb:BMB171_C1937
ko:K09022	btb:BMB171_C0041
ko:K15553	btb:BMB171_C2618
ko:K02032	btb:BMB171_C0791
ko:K06147	btb:BMB171_C2133
ko:K02945	btb:BMB171_P0108
ko:K15582	btb:BMB171_C1041
ko:K15583	btb:BMB171_C1042
ko:K15581	btb:BMB171_C1040
ko:K10823	btb:BMB171_C1043
ko:K15580	btb:BMB171_C2552
ko:K01992	btb:BMB171_C2979
ko:K01990	btb:BMB171_C2980
ko:K07130	btb:BMB171_C2469
ko:K02363	btb:BMB171_C2075
ko:K02034	btb:BMB171_C0172
ko:K01835	btb:BMB171_C4534
ko:K02552	btb:BMB171_C4495
ko:K00700	btb:BMB171_C4506
ko:K00016	btb:BMB171_C4509
ko:K03455	btb:BMB171_C4656
ko:K04076	btb:BMB171_C4133
ko:K02446	btb:BMB171_C4929
ko:K03048	btb:BMB171_C4935
ko:K00626	btb:BMB171_C4940
ko:K01480	btb:BMB171_C4964
ko:K03839	btb:BMB171_C3216
ko:K03839	btb:BMB171_C1217
ko:K00241	btb:BMB171_C4164
ko:K00626	btb:BMB171_C3300
ko:K01479	btb:BMB171_C3319
ko:K09976	btb:BMB171_C3350
ko:K01119	btb:BMB171_C3357
ko:K07098	btb:BMB171_C3399
ko:K03830	btb:BMB171_C3402
ko:K01258	btb:BMB171_C3416
ko:K00059	btb:BMB171_C3454
ko:K03177	btb:BMB171_C3475
ko:K09764	btb:BMB171_C3477
ko:K09787	btb:BMB171_C3511
ko:K00059	btb:BMB171_C3516
ko:K07030	btb:BMB171_C3521
ko:K00949	btb:BMB171_C3524
ko:K08724	btb:BMB171_C3580
ko:K01092	btb:BMB171_C3623
ko:K00626	btb:BMB171_C3687
ko:K03325	btb:BMB171_P0201
ko:K00625	btb:BMB171_C4982
ko:K01560	btb:BMB171_C5002
ko:K07652	btb:BMB171_C5065
ko:K07668	btb:BMB171_C5066
ko:K06346	btb:BMB171_C5085
ko:K00121	btb:BMB171_P0008
ko:K07491	btb:BMB171_P0178
ko:K09815	btb:BMB171_P0224
ko:K09153	btb:BMB171_C5022
ko:K02342	btb:BMB171_C3287
ko:K06147	btb:BMB171_C3289
ko:K06196	btb:BMB171_C3331
ko:K03713	btb:BMB171_C3379
ko:K00882	btb:BMB171_C3391
ko:K01771	btb:BMB171_C3431
ko:K07149	btb:BMB171_C4997
ko:K03499	btb:BMB171_C3641
ko:K07098	btb:BMB171_C3655
ko:K08969	btb:BMB171_C3699
ko:K08964	btb:BMB171_C3702
ko:K08483	btb:BMB171_C3711
ko:K02564	btb:BMB171_C3717
ko:K09763	btb:BMB171_C3723
ko:K02823	btb:BMB171_C3550
ko:K02824	btb:BMB171_C3555
ko:K07177	btb:BMB171_C3590
ko:K01455	btb:BMB171_C3603
ko:K02076	btb:BMB171_C3946
ko:K02238	btb:BMB171_C3989
ko:K15976	btb:BMB171_C4005
ko:K03768	btb:BMB171_C3725
ko:K07258	btb:BMB171_C3740
ko:K03783	btb:BMB171_C3751
ko:K04763	btb:BMB171_C3755
ko:K03711	btb:BMB171_C3757
ko:K01515	btb:BMB171_C3761
ko:K01119	btb:BMB171_C3788
ko:K00784	btb:BMB171_C3803
ko:K00929	btb:BMB171_C3824
ko:K07025	btb:BMB171_C3861
ko:K02248	btb:BMB171_C3906
ko:K02246	btb:BMB171_C3908
ko:K02245	btb:BMB171_C3909
ko:K02244	btb:BMB171_C3910
ko:K02243	btb:BMB171_C3911
ko:K00548	btb:BMB171_C3922
ko:K00845	btb:BMB171_C3931
ko:K13300	btb:BMB171_C3956
ko:K01489	btb:BMB171_C3966
ko:K01724	btb:BMB171_C4021
ko:K07104	btb:BMB171_C4022
ko:K01243	btb:BMB171_C4035
ko:K03317	btb:BMB171_C4830
ko:K01104	btb:BMB171_C4875
ko:K07105	btb:BMB171_C4094
ko:K02004	btb:BMB171_C4097
ko:K02004	btb:BMB171_C4099
ko:K07584	btb:BMB171_C4106
ko:K06402	btb:BMB171_C4109
ko:K01719	btb:BMB171_C4125
ko:K00027	btb:BMB171_C4245
ko:K04767	btb:BMB171_C4304
ko:K03810	btb:BMB171_C4310
ko:K03635	btb:BMB171_C4357
ko:K02049	btb:BMB171_C4421
ko:K02050	btb:BMB171_C4422
ko:K02004	btb:BMB171_C4466
ko:K02549	btb:BMB171_C4490
ko:K08680	btb:BMB171_C4493
ko:K07570	btb:BMB171_C4515
ko:K06889	btb:BMB171_C3773
ko:K02446	btb:BMB171_C4574
ko:K04488	btb:BMB171_C4589
ko:K07035	btb:BMB171_C4604
ko:K00016	btb:BMB171_C4605
ko:K03406	btb:BMB171_C4620
ko:K03294	btb:BMB171_C4627
ko:K07729	btb:BMB171_C4637
ko:K03406	btb:BMB171_C4648
ko:K03406	btb:BMB171_C4649
ko:K03317	btb:BMB171_C4666
ko:K07117	btb:BMB171_C4679
ko:K03406	btb:BMB171_C4680
ko:K00657	btb:BMB171_C4687
ko:K11031	btb:BMB171_C4692
ko:K04763	btb:BMB171_C4724
ko:K09762	btb:BMB171_C4742
ko:K08974	btb:BMB171_C4746
ko:K06023	btb:BMB171_C4752
ko:K02240	btb:BMB171_C4784
ko:K03478	btb:BMB171_C4799
ko:K01222	btb:BMB171_C4800
ko:K02004	btb:BMB171_C4849
ko:K12996	btb:BMB171_C4859
ko:K03471	btb:BMB171_C4202
ko:K11144	btb:BMB171_C4221
ko:K03346	btb:BMB171_C4222
ko:K10563	btb:BMB171_C4229
ko:K07658	btb:BMB171_C4232
ko:K00059	btb:BMB171_C4264
ko:K06286	btb:BMB171_C4289
