ko:K18893	babu:DK53_1501
ko:K13747	babu:DK53_370
ko:K03327	babu:DK53_374
ko:K02480	babu:DK53_376
ko:K14977	babu:DK53_381
ko:K13481	babu:DK53_384
ko:K13482	babu:DK53_385
ko:K07402	babu:DK53_386
ko:K01487	babu:DK53_389
ko:K02931	babu:DK53_1204
ko:K02895	babu:DK53_1205
ko:K02874	babu:DK53_1206
ko:K02961	babu:DK53_1207
ko:K02904	babu:DK53_1208
ko:K02878	babu:DK53_1209
ko:K02982	babu:DK53_1210
ko:K02890	babu:DK53_1211
ko:K02965	babu:DK53_1212
ko:K02886	babu:DK53_1213
ko:K02892	babu:DK53_1214
ko:K02926	babu:DK53_1215
ko:K02906	babu:DK53_1216
ko:K02946	babu:DK53_1217
ko:K02358	babu:DK53_1218
ko:K02355	babu:DK53_1219
ko:K02992	babu:DK53_1220
ko:K02950	babu:DK53_1221
ko:K03046	babu:DK53_1223
ko:K03043	babu:DK53_1224
ko:K02935	babu:DK53_1225
ko:K02864	babu:DK53_1226
ko:K02863	babu:DK53_1227
ko:K02867	babu:DK53_1228
ko:K02601	babu:DK53_1229
ko:K03073	babu:DK53_1230
ko:K02358	babu:DK53_1232
ko:K03218	babu:DK53_1235
ko:K00640	babu:DK53_1243
ko:K09005	babu:DK53_1245
ko:K03704	babu:DK53_1246
ko:K01759	babu:DK53_1247
ko:K07462	babu:DK53_1250
ko:K01921	babu:DK53_1251
ko:K11532	babu:DK53_1252
ko:K00003	babu:DK53_1253
ko:K14261	babu:DK53_1254
ko:K01889	babu:DK53_2040
ko:K01890	babu:DK53_2041
ko:K04043	babu:DK53_2043
ko:K03686	babu:DK53_2044
ko:K00570	babu:DK53_2045
ko:K01591	babu:DK53_2046
ko:K01920	babu:DK53_2049
ko:K07391	babu:DK53_2050
ko:K03642	babu:DK53_2052
ko:K09790	babu:DK53_2053
ko:K02040	babu:DK53_2054
ko:K02037	babu:DK53_2055
ko:K02038	babu:DK53_2056
ko:K02036	babu:DK53_2057
ko:K02039	babu:DK53_2058
ko:K07657	babu:DK53_2059
ko:K04047	babu:DK53_2063
ko:K03789	babu:DK53_2065
ko:K06168	babu:DK53_2067
ko:K07042	babu:DK53_2069
ko:K03820	babu:DK53_2071
ko:K00789	babu:DK53_2073
ko:K03439	babu:DK53_2074
ko:K09748	babu:DK53_2075
ko:K02600	babu:DK53_2076
ko:K07742	babu:DK53_2077
ko:K02519	babu:DK53_2078
ko:K02834	babu:DK53_2079
ko:K03177	babu:DK53_2080
ko:K02956	babu:DK53_2081
ko:K00962	babu:DK53_2082
ko:K02509	babu:DK53_2083
ko:K02510	babu:DK53_2084
ko:K10544	babu:DK53_2088
ko:K10545	babu:DK53_2089
ko:K10543	babu:DK53_2090
ko:K00376	babu:DK53_2877
ko:K00039	babu:DK53_2883
ko:K10544	babu:DK53_2884
ko:K10545	babu:DK53_2885
ko:K10543	babu:DK53_2886
ko:K03435	babu:DK53_2887
ko:K00368	babu:DK53_2890
ko:K02448	babu:DK53_2898
ko:K04748	babu:DK53_2899
ko:K04561	babu:DK53_2900
ko:K02305	babu:DK53_2901
ko:K02164	babu:DK53_2903
ko:K03734	babu:DK53_2912
ko:K00380	babu:DK53_2913
ko:K02484	babu:DK53_2918
ko:K00074	babu:DK53_2922
ko:K06446	babu:DK53_2924
ko:K08196	babu:DK53_2926
ko:K03572	babu:DK53_2927
ko:K03621	babu:DK53_776
ko:K00648	babu:DK53_777
ko:K04764	babu:DK53_778
ko:K01991	babu:DK53_784
ko:K02259	babu:DK53_787
ko:K00145	babu:DK53_788
ko:K01480	babu:DK53_789
ko:K02996	babu:DK53_790
ko:K02871	babu:DK53_791
ko:K00330	babu:DK53_803
ko:K00331	babu:DK53_804
ko:K00332	babu:DK53_805
ko:K00333	babu:DK53_806
ko:K00334	babu:DK53_807
ko:K00337	babu:DK53_810
ko:K00338	babu:DK53_811
ko:K00339	babu:DK53_812
ko:K00340	babu:DK53_813
ko:K00341	babu:DK53_814
ko:K00342	babu:DK53_815
ko:K00343	babu:DK53_816
ko:K03524	babu:DK53_817
ko:K12574	babu:DK53_818
ko:K05606	babu:DK53_819
ko:K01881	babu:DK53_821
ko:K09808	babu:DK53_822
ko:K09810	babu:DK53_823
ko:K02337	babu:DK53_824
ko:K13888	babu:DK53_1625
ko:K05800	babu:DK53_1627
ko:K01939	babu:DK53_1633
ko:K00058	babu:DK53_1635
ko:K00831	babu:DK53_1636
ko:K03453	babu:DK53_1637
ko:K03431	babu:DK53_1639
ko:K03798	babu:DK53_1640
ko:K04075	babu:DK53_1641
ko:K03640	babu:DK53_1644
ko:K03641	babu:DK53_1645
ko:K03560	babu:DK53_1647
ko:K03562	babu:DK53_1648
ko:K07107	babu:DK53_1649
ko:K03551	babu:DK53_1650
ko:K03550	babu:DK53_1651
ko:K01159	babu:DK53_1652
ko:K13592	babu:DK53_1653
ko:K00788	babu:DK53_1655
ko:K07126	babu:DK53_1656
ko:K02356	babu:DK53_1657
ko:K01092	babu:DK53_1658
ko:K02557	babu:DK53_1660
ko:K06147	babu:DK53_1661
ko:K02909	babu:DK53_1662
ko:K03523	babu:DK53_1665
ko:K09706	babu:DK53_1666
ko:K09769	babu:DK53_1668
ko:K01934	babu:DK53_1669
ko:K09888	babu:DK53_1670
ko:K00615	babu:DK53_1672
ko:K00134	babu:DK53_1673
ko:K00927	babu:DK53_1674
ko:K01908	babu:DK53_1676
ko:K03601	babu:DK53_2464
ko:K01919	babu:DK53_2465
ko:K09761	babu:DK53_2466
ko:K06075	babu:DK53_2467
ko:K02016	babu:DK53_2471
ko:K02015	babu:DK53_2472
ko:K02013	babu:DK53_2473
ko:K02026	babu:DK53_2476
ko:K02025	babu:DK53_2477
ko:K02027	babu:DK53_2478
ko:K10112	babu:DK53_2480
ko:K02000	babu:DK53_2485
ko:K02001	babu:DK53_2486
ko:K02002	babu:DK53_2487
ko:K01915	babu:DK53_2491
ko:K00605	babu:DK53_2496
ko:K02437	babu:DK53_2497
ko:K00281	babu:DK53_2498
ko:K03719	babu:DK53_2499
ko:K13821	babu:DK53_2500
ko:K02012	babu:DK53_2501
ko:K02011	babu:DK53_2502
ko:K02010	babu:DK53_2503
ko:K01092	babu:DK53_2504
ko:K03337	babu:DK53_2505
ko:K03335	babu:DK53_2506
ko:K03336	babu:DK53_2507
ko:K03338	babu:DK53_2508
ko:K00010	babu:DK53_2510
ko:K04761	babu:DK53_2512
ko:K03386	babu:DK53_2513
ko:K04756	babu:DK53_2514
ko:K07258	babu:DK53_981
ko:K00943	babu:DK53_982
ko:K02341	babu:DK53_983
ko:K01874	babu:DK53_984
ko:K03424	babu:DK53_985
ko:K06167	babu:DK53_986
ko:K06147	babu:DK53_987
ko:K06179	babu:DK53_988
ko:K01091	babu:DK53_990
ko:K01915	babu:DK53_992
ko:K04751	babu:DK53_993
ko:K02888	babu:DK53_1779
ko:K03695	babu:DK53_1796
ko:K02493	babu:DK53_1798
ko:K02835	babu:DK53_1799
ko:K08484	babu:DK53_1800
ko:K00928	babu:DK53_1801
ko:K00568	babu:DK53_1803
ko:K02498	babu:DK53_1812
ko:K01719	babu:DK53_1814
ko:K01749	babu:DK53_1815
ko:K01409	babu:DK53_1816
ko:K00057	babu:DK53_1817
ko:K09780	babu:DK53_1818
ko:K03466	babu:DK53_1823
ko:K03320	babu:DK53_1824
ko:K10805	babu:DK53_1825
ko:K03185	babu:DK53_1826
ko:K00240	babu:DK53_1828
ko:K00239	babu:DK53_1829
ko:K00242	babu:DK53_1830
ko:K00241	babu:DK53_1831
ko:K02433	babu:DK53_2619
ko:K02622	babu:DK53_2621
ko:K03801	babu:DK53_2623
ko:K14205	babu:DK53_2628
ko:K06196	babu:DK53_2629
ko:K04042	babu:DK53_2630
ko:K00820	babu:DK53_2631
ko:K03655	babu:DK53_2632
ko:K09159	babu:DK53_2633
ko:K03723	babu:DK53_2634
ko:K02035	babu:DK53_2637
ko:K11940	babu:DK53_2639
ko:K03185	babu:DK53_2640
ko:K01004	babu:DK53_2641
ko:K02056	babu:DK53_2644
ko:K02057	babu:DK53_2645
ko:K02057	babu:DK53_2646
ko:K02058	babu:DK53_2647
ko:K14441	babu:DK53_2648
ko:K03594	babu:DK53_2649
ko:K13772	babu:DK53_2652
ko:K07039	babu:DK53_2659
ko:K00012	babu:DK53_2665
ko:K15580	babu:DK53_2671
ko:K03153	babu:DK53_223
ko:K00941	babu:DK53_224
ko:K05846	babu:DK53_228
ko:K05847	babu:DK53_229
ko:K05846	babu:DK53_230
ko:K05845	babu:DK53_231
ko:K00262	babu:DK53_233
ko:K00303	babu:DK53_234
ko:K00305	babu:DK53_240
ko:K02027	babu:DK53_243
ko:K02025	babu:DK53_244
ko:K02026	babu:DK53_245
ko:K10112	babu:DK53_246
ko:K03534	babu:DK53_248
ko:K18335	babu:DK53_251
ko:K18334	babu:DK53_253
ko:K02395	babu:DK53_267
ko:K01358	babu:DK53_1101
ko:K03665	babu:DK53_1102
ko:K03666	babu:DK53_1103
ko:K03499	babu:DK53_1105
ko:K13599	babu:DK53_1106
ko:K13598	babu:DK53_1107
ko:K07712	babu:DK53_1108
ko:K07708	babu:DK53_1109
ko:K12506	babu:DK53_1111
ko:K03743	babu:DK53_1112
ko:K18588	babu:DK53_1113
ko:K03644	babu:DK53_1115
ko:K00382	babu:DK53_1116
ko:K00627	babu:DK53_1117
ko:K00162	babu:DK53_1118
ko:K00161	babu:DK53_1119
ko:K01689	babu:DK53_1122
ko:K01627	babu:DK53_1123
ko:K01937	babu:DK53_1124
ko:K03075	babu:DK53_1126
ko:K01803	babu:DK53_1127
ko:K03770	babu:DK53_1128
ko:K00766	babu:DK53_1129
ko:K01609	babu:DK53_1130
ko:K03637	babu:DK53_1131
ko:K03750	babu:DK53_1132
ko:K01356	babu:DK53_1134
ko:K01885	babu:DK53_1135
ko:K01647	babu:DK53_1136
ko:K00748	babu:DK53_1137
ko:K09949	babu:DK53_1138
ko:K00677	babu:DK53_1139
ko:K02372	babu:DK53_1140
ko:K02536	babu:DK53_1141
ko:K07277	babu:DK53_1142
ko:K11749	babu:DK53_1143
ko:K00981	babu:DK53_1144
ko:K00806	babu:DK53_1145
ko:K02838	babu:DK53_1146
ko:K09903	babu:DK53_1147
ko:K02357	babu:DK53_1148
ko:K02967	babu:DK53_1149
ko:K01534	babu:DK53_1937
ko:K09883	babu:DK53_1940
ko:K05527	babu:DK53_1943
ko:K01735	babu:DK53_1945
ko:K00891	babu:DK53_1946
ko:K04763	babu:DK53_1948
ko:K01962	babu:DK53_1949
ko:K04085	babu:DK53_1951
ko:K00059	babu:DK53_1957
ko:K02529	babu:DK53_1968
ko:K01989	babu:DK53_1971
ko:K05832	babu:DK53_1972
ko:K05833	babu:DK53_1973
ko:K02340	babu:DK53_1974
ko:K03501	babu:DK53_1977
ko:K03495	babu:DK53_1978
ko:K03650	babu:DK53_1979
ko:K06888	babu:DK53_1981
ko:K03628	babu:DK53_1982
ko:K08973	babu:DK53_1984
ko:K01599	babu:DK53_1985
ko:K09773	babu:DK53_1986
ko:K06287	babu:DK53_1987
ko:K00014	babu:DK53_1988
ko:K01999	babu:DK53_2780
ko:K00135	babu:DK53_2781
ko:K00014	babu:DK53_2783
ko:K00059	babu:DK53_2784
ko:K01996	babu:DK53_2785
ko:K01995	babu:DK53_2786
ko:K01998	babu:DK53_2786
ko:K01997	babu:DK53_2787
ko:K01999	babu:DK53_2788
ko:K00925	babu:DK53_2794
ko:K07243	babu:DK53_2797
ko:K07230	babu:DK53_2799
ko:K01951	babu:DK53_2800
ko:K01243	babu:DK53_2801
ko:K03500	babu:DK53_2803
ko:K03781	babu:DK53_2806
ko:K04761	babu:DK53_2807
ko:K00088	babu:DK53_2809
ko:K01840	babu:DK53_2812
ko:K01425	babu:DK53_2818
ko:K01580	babu:DK53_2820
ko:K01580	babu:DK53_2821
ko:K03585	babu:DK53_2823
ko:K03527	babu:DK53_497
ko:K02204	babu:DK53_498
ko:K03469	babu:DK53_499
ko:K07735	babu:DK53_502
ko:K03790	babu:DK53_504
ko:K01733	babu:DK53_506
ko:K03281	babu:DK53_511
ko:K01560	babu:DK53_513
ko:K03575	babu:DK53_514
ko:K03529	babu:DK53_518
ko:K16264	babu:DK53_519
ko:K06996	babu:DK53_520
ko:K01006	babu:DK53_521
ko:K03523	babu:DK53_526
ko:K01483	babu:DK53_527
ko:K07127	babu:DK53_528
ko:K01711	babu:DK53_542
ko:K00791	babu:DK53_1360
ko:K01079	babu:DK53_1361
ko:K07007	babu:DK53_1362
ko:K09937	babu:DK53_1364
ko:K04087	babu:DK53_1365
ko:K04088	babu:DK53_1366
ko:K07552	babu:DK53_1370
ko:K09985	babu:DK53_1372
ko:K03657	babu:DK53_1381
ko:K05805	babu:DK53_1382
ko:K07152	babu:DK53_1384
ko:K02687	babu:DK53_1385
ko:K01262	babu:DK53_1387
ko:K01972	babu:DK53_1388
ko:K03631	babu:DK53_1389
ko:K05807	babu:DK53_1390
ko:K02535	babu:DK53_1391
ko:K03531	babu:DK53_1392
ko:K03590	babu:DK53_1393
ko:K03589	babu:DK53_1394
ko:K01921	babu:DK53_1395
ko:K00075	babu:DK53_1396
ko:K01924	babu:DK53_1397
ko:K02563	babu:DK53_1398
ko:K03588	babu:DK53_1399
ko:K01925	babu:DK53_1400
ko:K01000	babu:DK53_1401
ko:K01929	babu:DK53_1402
ko:K01928	babu:DK53_1403
ko:K03587	babu:DK53_1404
ko:K03438	babu:DK53_1406
ko:K03322	babu:DK53_1407
ko:K00329	babu:DK53_2200
ko:K00356	babu:DK53_2200
ko:K03596	babu:DK53_2201
ko:K07461	babu:DK53_2202
ko:K07401	babu:DK53_2203
ko:K09760	babu:DK53_2204
ko:K01462	babu:DK53_2205
ko:K00604	babu:DK53_2206
ko:K06173	babu:DK53_2207
ko:K01439	babu:DK53_2209
ko:K00674	babu:DK53_2212
ko:K06966	babu:DK53_2213
ko:K07025	babu:DK53_2214
ko:K00930	babu:DK53_2215
ko:K03978	babu:DK53_2216
ko:K03217	babu:DK53_2217
ko:K03536	babu:DK53_2218
ko:K08169	babu:DK53_2223
ko:K00128	babu:DK53_2225
ko:K00059	babu:DK53_2226
ko:K02035	babu:DK53_2227
ko:K02033	babu:DK53_2228
ko:K02034	babu:DK53_2229
ko:K02433	babu:DK53_2232
ko:K02433	babu:DK53_2233
ko:K02342	babu:DK53_2234
ko:K15736	babu:DK53_2235
ko:K00799	babu:DK53_2239
ko:K02014	babu:DK53_2242
ko:K10439	babu:DK53_2245
ko:K10441	babu:DK53_2246
ko:K10440	babu:DK53_2247
ko:K10440	babu:DK53_2248
ko:K17247	babu:DK53_2250
ko:K06999	babu:DK53_2252
ko:K01581	babu:DK53_3037
ko:K01426	babu:DK53_3038
ko:K02017	babu:DK53_3045
ko:K02018	babu:DK53_3046
ko:K02020	babu:DK53_3047
ko:K07146	babu:DK53_3048
ko:K01625	babu:DK53_3050
ko:K08602	babu:DK53_3053
ko:K01665	babu:DK53_3054
ko:K02619	babu:DK53_3055
ko:K00808	babu:DK53_3056
ko:K01772	babu:DK53_3058
ko:K07340	babu:DK53_3060
ko:K00963	babu:DK53_3063
ko:K08305	babu:DK53_3064
ko:K09795	babu:DK53_3077
ko:K11737	babu:DK53_3078
ko:K00266	babu:DK53_3079
ko:K00265	babu:DK53_3080
ko:K01620	babu:DK53_3081
ko:K04080	babu:DK53_3082
ko:K01048	babu:DK53_3084
ko:K02048	babu:DK53_120
ko:K02046	babu:DK53_121
ko:K02047	babu:DK53_122
ko:K02045	babu:DK53_123
ko:K13688	babu:DK53_124
ko:K00763	babu:DK53_125
ko:K00847	babu:DK53_128
ko:K05366	babu:DK53_130
ko:K16079	babu:DK53_131
ko:K16079	babu:DK53_132
ko:K03684	babu:DK53_133
ko:K05592	babu:DK53_136
ko:K02470	babu:DK53_137
ko:K01070	babu:DK53_138
ko:K02348	babu:DK53_141
ko:K00121	babu:DK53_142
ko:K03579	babu:DK53_144
ko:K03579	babu:DK53_145
ko:K15011	babu:DK53_146
ko:K15012	babu:DK53_149
ko:K01867	babu:DK53_154
ko:K03980	babu:DK53_155
ko:K00990	babu:DK53_156
ko:K00029	babu:DK53_157
ko:K08223	babu:DK53_665
ko:K09928	babu:DK53_667
ko:K00997	babu:DK53_668
ko:K03100	babu:DK53_669
ko:K03685	babu:DK53_670
ko:K03584	babu:DK53_673
ko:K06980	babu:DK53_675
ko:K01465	babu:DK53_676
ko:K06895	babu:DK53_683
ko:K01883	babu:DK53_684
ko:K01649	babu:DK53_685
ko:K05786	babu:DK53_686
ko:K02528	babu:DK53_688
ko:K00097	babu:DK53_689
ko:K03771	babu:DK53_690
ko:K04744	babu:DK53_691
ko:K11720	babu:DK53_692
ko:K07091	babu:DK53_693
ko:K01255	babu:DK53_694
ko:K02339	babu:DK53_695
ko:K06158	babu:DK53_697
ko:K00940	babu:DK53_699
ko:K09914	babu:DK53_700
ko:K03635	babu:DK53_701
ko:K03636	babu:DK53_702
ko:K03703	babu:DK53_704
ko:K16079	babu:DK53_706
ko:K00799	babu:DK53_707
ko:K01166	babu:DK53_708
ko:K07115	babu:DK53_710
ko:K11175	babu:DK53_714
ko:K01933	babu:DK53_715
ko:K01784	babu:DK53_718
ko:K07393	babu:DK53_1518
ko:K07275	babu:DK53_1519
ko:K01649	babu:DK53_1522
ko:K13503	babu:DK53_1524
ko:K03719	babu:DK53_1525
ko:K02002	babu:DK53_1530
ko:K02001	babu:DK53_1531
ko:K02000	babu:DK53_1532
ko:K12372	babu:DK53_1533
ko:K12371	babu:DK53_1534
ko:K12370	babu:DK53_1535
ko:K12369	babu:DK53_1536
ko:K12368	babu:DK53_1537
ko:K00566	babu:DK53_1542
ko:K06975	babu:DK53_1545
ko:K13588	babu:DK53_1548
ko:K13584	babu:DK53_1549
ko:K07270	babu:DK53_1554
ko:K07289	babu:DK53_1557
ko:K11074	babu:DK53_1558
ko:K11075	babu:DK53_1560
ko:K11076	babu:DK53_1561
ko:K11073	babu:DK53_1562
ko:K07110	babu:DK53_1563
ko:K01637	babu:DK53_1565
ko:K00076	babu:DK53_1569
ko:K01284	babu:DK53_2359
ko:K06213	babu:DK53_2360
ko:K06207	babu:DK53_2361
ko:K03841	babu:DK53_2364
ko:K01624	babu:DK53_2365
ko:K00862	babu:DK53_2372
ko:K17204	babu:DK53_2374
ko:K17203	babu:DK53_2375
ko:K17202	babu:DK53_2376
ko:K07043	babu:DK53_2385
ko:K01153	babu:DK53_2386
ko:K01154	babu:DK53_2387
ko:K03427	babu:DK53_2388
ko:K00459	babu:DK53_2398
ko:K03724	babu:DK53_2401
ko:K06953	babu:DK53_2402
ko:K07090	babu:DK53_2404
ko:K13582	babu:DK53_2405
ko:K09137	babu:DK53_2407
ko:K06199	babu:DK53_2408
ko:K06199	babu:DK53_2409
ko:K00564	babu:DK53_1
ko:K00564	babu:DK53_2
ko:K00208	babu:DK53_3
ko:K00647	babu:DK53_4
ko:K01716	babu:DK53_5
ko:K09826	babu:DK53_6
ko:K02986	babu:DK53_828
ko:K14058	babu:DK53_829
ko:K07552	babu:DK53_831
ko:K07390	babu:DK53_833
ko:K01952	babu:DK53_835
ko:K01952	babu:DK53_838
ko:K01952	babu:DK53_839
ko:K01923	babu:DK53_840
ko:K02510	babu:DK53_842
ko:K07002	babu:DK53_843
ko:K07104	babu:DK53_844
ko:K01756	babu:DK53_845
ko:K01783	babu:DK53_846
ko:K02517	babu:DK53_847
ko:K09458	babu:DK53_849
ko:K09458	babu:DK53_850
ko:K01785	babu:DK53_854
ko:K00874	babu:DK53_853
ko:K06162	babu:DK53_857
ko:K02030	babu:DK53_858
ko:K05539	babu:DK53_860
ko:K06985	babu:DK53_859
ko:K02233	babu:DK53_861
ko:K00768	babu:DK53_862
ko:K05800	babu:DK53_863
ko:K07126	babu:DK53_866
ko:K01142	babu:DK53_867
ko:K01129	babu:DK53_870
ko:K01887	babu:DK53_871
ko:K01207	babu:DK53_873
ko:K05896	babu:DK53_874
ko:K06024	babu:DK53_875
ko:K03116	babu:DK53_876
ko:K03117	babu:DK53_877
ko:K03118	babu:DK53_878
ko:K01875	babu:DK53_879
ko:K03787	babu:DK53_880
ko:K09987	babu:DK53_1681
ko:K01588	babu:DK53_1688
ko:K01589	babu:DK53_1689
ko:K02919	babu:DK53_1690
ko:K00873	babu:DK53_1692
ko:K15738	babu:DK53_1696
ko:K00949	babu:DK53_1698
ko:K02064	babu:DK53_1699
ko:K02063	babu:DK53_1700
ko:K02062	babu:DK53_1701
ko:K03089	babu:DK53_1704
ko:K07736	babu:DK53_1705
ko:K05524	babu:DK53_1706
ko:K04762	babu:DK53_1707
ko:K17675	babu:DK53_1708
ko:K00626	babu:DK53_1709
ko:K02911	babu:DK53_1711
ko:K03814	babu:DK53_1712
ko:K00795	babu:DK53_1713
ko:K00019	babu:DK53_1715
ko:K01958	babu:DK53_1717
ko:K01999	babu:DK53_1718
ko:K01999	babu:DK53_1720
ko:K01996	babu:DK53_1722
ko:K01995	babu:DK53_1723
ko:K01998	babu:DK53_1724
ko:K01997	babu:DK53_1725
ko:K12658	babu:DK53_1726
ko:K00285	babu:DK53_1727
ko:K14588	babu:DK53_2517
ko:K02010	babu:DK53_2521
ko:K02012	babu:DK53_2522
ko:K02011	babu:DK53_2523
ko:K02379	babu:DK53_2526
ko:K00794	babu:DK53_2527
ko:K17316	babu:DK53_2530
ko:K17317	babu:DK53_2531
ko:K10112	babu:DK53_2532
ko:K02427	babu:DK53_2535
ko:K01524	babu:DK53_2536
ko:K10010	babu:DK53_2537
ko:K10009	babu:DK53_2538
ko:K02424	babu:DK53_2539
ko:K01469	babu:DK53_2540
ko:K02013	babu:DK53_2542
ko:K02015	babu:DK53_2543
ko:K02015	babu:DK53_2544
ko:K02016	babu:DK53_2545
ko:K00128	babu:DK53_2546
ko:K07077	babu:DK53_2548
ko:K07090	babu:DK53_2549
ko:K00826	babu:DK53_2550
ko:K06901	babu:DK53_2554
ko:K05816	babu:DK53_2557
ko:K05815	babu:DK53_2558
ko:K05814	babu:DK53_2559
ko:K05813	babu:DK53_2560
ko:K01273	babu:DK53_2561
ko:K01486	babu:DK53_2562
ko:K01996	babu:DK53_2563
ko:K01995	babu:DK53_2564
ko:K01998	babu:DK53_2565
ko:K01997	babu:DK53_2566
ko:K00029	babu:DK53_158
ko:K03555	babu:DK53_159
ko:K03101	babu:DK53_161
ko:K03437	babu:DK53_162
ko:K06969	babu:DK53_163
ko:K05788	babu:DK53_165
ko:K04773	babu:DK53_166
ko:K11719	babu:DK53_167
ko:K09774	babu:DK53_168
ko:K06861	babu:DK53_169
ko:K01091	babu:DK53_996
ko:K01807	babu:DK53_997
ko:K09924	babu:DK53_998
ko:K00383	babu:DK53_999
ko:K01626	babu:DK53_1000
ko:K00901	babu:DK53_1001
ko:K01916	babu:DK53_1002
ko:K01885	babu:DK53_1004
ko:K00029	babu:DK53_1005
ko:K02066	babu:DK53_1007
ko:K02065	babu:DK53_1008
ko:K02067	babu:DK53_1009
ko:K18480	babu:DK53_1010
ko:K04755	babu:DK53_1012
ko:K00384	babu:DK53_1013
ko:K00384	babu:DK53_1014
ko:K00796	babu:DK53_1016
ko:K01633	babu:DK53_1017
ko:K00950	babu:DK53_1018
ko:K08990	babu:DK53_1020
ko:K06918	babu:DK53_1021
ko:K08296	babu:DK53_1022
ko:K06204	babu:DK53_1023
ko:K13587	babu:DK53_1026
ko:K07007	babu:DK53_1027
ko:K16053	babu:DK53_1028
ko:K00769	babu:DK53_1032
ko:K03809	babu:DK53_1035
ko:K01754	babu:DK53_1037
ko:K11927	babu:DK53_1038
ko:K01738	babu:DK53_1039
ko:K01011	babu:DK53_1041
ko:K18118	babu:DK53_1044
ko:K03543	babu:DK53_1047
ko:K01703	babu:DK53_1833
ko:K02884	babu:DK53_1834
ko:K07090	babu:DK53_1837
ko:K00554	babu:DK53_1842
ko:K02860	babu:DK53_1843
ko:K03733	babu:DK53_1844
ko:K09973	babu:DK53_1845
ko:K00382	babu:DK53_1846
ko:K00658	babu:DK53_1850
ko:K00164	babu:DK53_1851
ko:K01902	babu:DK53_1852
ko:K01903	babu:DK53_1853
ko:K00024	babu:DK53_1854
ko:K06916	babu:DK53_1855
ko:K01778	babu:DK53_1857
ko:K18707	babu:DK53_1858
ko:K03110	babu:DK53_1859
ko:K06190	babu:DK53_1860
ko:K01069	babu:DK53_1861
ko:K03574	babu:DK53_1864
ko:K00620	babu:DK53_1866
ko:K03769	babu:DK53_1867
ko:K03070	babu:DK53_1868
ko:K03760	babu:DK53_1870
ko:K03760	babu:DK53_1871
ko:K02030	babu:DK53_1875
ko:K02029	babu:DK53_1876
ko:K02029	babu:DK53_1877
ko:K02028	babu:DK53_1878
ko:K01480	babu:DK53_1879
ko:K01744	babu:DK53_1880
ko:K09972	babu:DK53_1881
ko:K01424	babu:DK53_1882
ko:K01424	babu:DK53_1884
ko:K15580	babu:DK53_2672
ko:K15581	babu:DK53_2673
ko:K15582	babu:DK53_2674
ko:K10823	babu:DK53_2675
ko:K15583	babu:DK53_2675
ko:K03919	babu:DK53_2676
ko:K08369	babu:DK53_2677
ko:K01266	babu:DK53_2678
ko:K03466	babu:DK53_2679
ko:K14998	babu:DK53_2682
ko:K00382	babu:DK53_2681
ko:K09699	babu:DK53_2683
ko:K00167	babu:DK53_2684
ko:K00166	babu:DK53_2685
ko:K10111	babu:DK53_2686
ko:K10119	babu:DK53_2688
ko:K10118	babu:DK53_2689
ko:K10117	babu:DK53_2690
ko:K10117	babu:DK53_2691
ko:K18676	babu:DK53_2692
ko:K03710	babu:DK53_2693
ko:K00426	babu:DK53_2695
ko:K00425	babu:DK53_2696
ko:K16012	babu:DK53_2697
ko:K16013	babu:DK53_2698
ko:K05564	babu:DK53_2700
ko:K05563	babu:DK53_2701
ko:K05562	babu:DK53_2702
ko:K05561	babu:DK53_2703
ko:K05560	babu:DK53_2704
ko:K05559	babu:DK53_2705
ko:K07078	babu:DK53_2707
ko:K03831	babu:DK53_2708
ko:K01012	babu:DK53_2710
ko:K00652	babu:DK53_2711
ko:K01935	babu:DK53_2712
ko:K00833	babu:DK53_2713
ko:K00648	babu:DK53_2714
ko:K00651	babu:DK53_2716
ko:K07273	babu:DK53_2717
ko:K03310	babu:DK53_2718
ko:K06996	babu:DK53_2720
ko:K01533	babu:DK53_392
ko:K00406	babu:DK53_395
ko:K00407	babu:DK53_396
ko:K00405	babu:DK53_397
ko:K00404	babu:DK53_398
ko:K10778	babu:DK53_403
ko:K17938	babu:DK53_407
ko:K03977	babu:DK53_410
ko:K04046	babu:DK53_411
ko:K02116	babu:DK53_413
ko:K02108	babu:DK53_414
ko:K02110	babu:DK53_415
ko:K02109	babu:DK53_416
ko:K02109	babu:DK53_417
ko:K03470	babu:DK53_418
ko:K00919	babu:DK53_423
ko:K02523	babu:DK53_428
ko:K01878	babu:DK53_430
ko:K01879	babu:DK53_432
ko:K07566	babu:DK53_433
ko:K01945	babu:DK53_441
ko:K03179	babu:DK53_442
ko:K09956	babu:DK53_1259
ko:K06206	babu:DK53_1260
ko:K01265	babu:DK53_1261
ko:K03630	babu:DK53_1262
ko:K16079	babu:DK53_1263
ko:K00595	babu:DK53_1264
ko:K02229	babu:DK53_1265
ko:K06042	babu:DK53_1266
ko:K03394	babu:DK53_1267
ko:K13541	babu:DK53_1268
ko:K13786	babu:DK53_1271
ko:K01999	babu:DK53_1273
ko:K02227	babu:DK53_1272
ko:K02225	babu:DK53_1274
ko:K02224	babu:DK53_1275
ko:K02303	babu:DK53_1276
ko:K02188	babu:DK53_1277
ko:K05895	babu:DK53_1279
ko:K05936	babu:DK53_1278
ko:K02189	babu:DK53_1280
ko:K07090	babu:DK53_1283
