ko:K01006	fts:F92_00730
ko:K00075	fts:F92_02230
ko:K00790	fts:F92_02235
ko:K03977	fts:F92_02240
ko:K07460	fts:F92_02265
ko:K01414	fts:F92_02270
ko:K03168	fts:F92_02300
ko:K01879	fts:F92_07495
ko:K03629	fts:F92_07510
ko:K01895	fts:F92_07530
ko:K02970	fts:F92_07560
ko:K03704	fts:F92_07570
ko:K04762	fts:F92_07665
ko:K00432	fts:F92_07715
ko:K00278	fts:F92_07750
ko:K00767	fts:F92_07755
ko:K03517	fts:F92_07760
ko:K00942	fts:F92_07765
ko:K05592	fts:F92_07770
ko:K08137	fts:F92_07785
ko:K00965	fts:F92_07790
ko:K00849	fts:F92_07795
ko:K00979	fts:F92_07805
ko:K09791	fts:F92_07810
ko:K02887	fts:F92_07835
ko:K03101	fts:F92_02345
ko:K01870	fts:F92_02350
ko:K11753	fts:F92_02355
ko:K01874	fts:F92_02405
ko:K01613	fts:F92_02450
ko:K04042	fts:F92_02465
ko:K00820	fts:F92_02470
ko:K02970	fts:F92_02480
ko:K03704	fts:F92_02485
ko:K01265	fts:F92_02495
ko:K02621	fts:F92_02510
ko:K08309	fts:F92_02530
ko:K02337	fts:F92_02560
ko:K01462	fts:F92_02565
ko:K09808	fts:F92_02570
ko:K02437	fts:F92_02595
ko:K00282	fts:F92_02600
ko:K02916	fts:F92_07840
ko:K02520	fts:F92_07845
ko:K01868	fts:F92_07850
ko:K02437	fts:F92_07865
ko:K02563	fts:F92_07870
ko:K09747	fts:F92_07875
ko:K06187	fts:F92_07880
ko:K03762	fts:F92_07905
ko:K13282	fts:F92_07915
ko:K12995	fts:F92_07965
ko:K01783	fts:F92_07980
ko:K06041	fts:F92_07985
ko:K09930	fts:F92_08005
ko:K00208	fts:F92_08030
ko:K06966	fts:F92_08035
ko:K03684	fts:F92_08075
ko:K02899	fts:F92_08090
ko:K02888	fts:F92_08095
ko:K03070	fts:F92_08120
ko:K02313	fts:F92_00005
ko:K02338	fts:F92_00010
ko:K04773	fts:F92_00045
ko:K03071	fts:F92_00060
ko:K09810	fts:F92_02575
ko:K00951	fts:F92_01540
ko:K17713	fts:F92_09560
ko:K01582	fts:F92_02580
ko:K01897	fts:F92_03200
ko:K01897	fts:F92_03780
ko:K03574	fts:F92_01695
ko:K01990	fts:F92_03400
ko:K01992	fts:F92_03405
ko:K08316	fts:F92_08240
ko:K03671	fts:F92_06800
ko:K01992	fts:F92_08390
ko:K02650	fts:F92_02120
ko:K17836	fts:F92_05265
ko:K00971	fts:F92_03320
ko:K01069	fts:F92_03600
ko:K07263	fts:F92_08230
ko:K11928	fts:F92_09420
ko:K01658	fts:F92_07000
ko:K00537	fts:F92_03205
ko:K00537	fts:F92_01700
ko:K00128	fts:F92_05580
ko:K17836	fts:F92_04855
ko:K01183	fts:F92_00520
ko:K00254	fts:F92_00270
ko:K12978	fts:F92_09440
ko:K00956	fts:F92_05735
ko:K00956	fts:F92_05740
ko:K01011	fts:F92_00055
ko:K00632	fts:F92_03180
ko:K18138	fts:F92_09260
ko:K07645	fts:F92_09770
ko:K06148	fts:F92_07960
ko:K03585	fts:F92_09255
ko:K02650	fts:F92_02125
ko:K11312	fts:F92_03390
ko:K18284	fts:F92_02515
ko:K03269	fts:F92_02760
ko:K14287	fts:F92_03545
ko:K16052	fts:F92_08795
ko:K03043	fts:F92_09665
ko:K15922	fts:F92_05825
ko:K15922	fts:F92_05830
ko:K07260	fts:F92_05550
ko:K03462	fts:F92_03160
ko:K00681	fts:F92_04210
ko:K03427	fts:F92_05390
ko:K18800	fts:F92_03990
ko:K07480	fts:F92_04780
ko:K03674	fts:F92_05435
ko:K03646	fts:F92_01800
ko:K04565	fts:F92_02055
ko:K03496	fts:F92_02305
ko:K03497	fts:F92_02310
ko:K03111	fts:F92_00075
ko:K00335	fts:F92_10105
ko:K18979	fts:F92_06055
ko:K18979	fts:F92_06060
ko:K03526	fts:F92_04835
ko:K02663	fts:F92_04390
ko:K12308	fts:F92_02700
ko:K02664	fts:F92_04395
ko:K09951	fts:F92_07315
ko:K13004	fts:F92_03245
ko:K13003	fts:F92_03270
ko:K13713	fts:F92_02145
ko:K01710	fts:F92_03305
ko:K22468	fts:F92_02970
ko:K00336	fts:F92_10100
ko:K01183	fts:F92_08425
ko:K01992	fts:F92_08395
ko:K01152	fts:F92_04310
ko:K01152	fts:F92_09530
ko:K01152	fts:F92_10465
ko:K01152	fts:F92_06240
ko:K00526	fts:F92_05430
ko:K03676	fts:F92_05430
ko:K08156	fts:F92_08685
ko:K07666	fts:F92_03010
ko:K19810	fts:F92_07575
ko:K05770	fts:F92_06025
ko:K20265	fts:F92_01475
ko:K20265	fts:F92_06845
ko:K20265	fts:F92_08765
ko:K20265	fts:F92_07180
ko:K20265	fts:F92_07185
ko:K00507	fts:F92_03035
ko:K00507	fts:F92_09640
ko:K20534	fts:F92_03410
ko:K22132	fts:F92_05490
ko:K01932	fts:F92_07900
ko:K01200	fts:F92_02615
ko:K00560	fts:F92_03925
ko:K06197	fts:F92_04460
ko:K06217	fts:F92_04890
ko:K00857	fts:F92_04915
ko:K00558	fts:F92_10260
ko:K02314	fts:F92_05680
ko:K02316	fts:F92_05810
ko:K00287	fts:F92_01240
ko:K01520	fts:F92_01275
ko:K13522	fts:F92_02460
ko:K03553	fts:F92_00065
ko:K02335	fts:F92_09225
ko:K03293	fts:F92_02065
ko:K03271	fts:F92_00390
ko:K01139	fts:F92_07885
ko:K21600	fts:F92_05595
ko:K04103	fts:F92_00035
ko:K21829	fts:F92_01870
ko:K22116	fts:F92_07895
ko:K03595	fts:F92_04350
ko:K02257	fts:F92_01090
ko:K13566	fts:F92_03520
