ko:K10563	vco:VC0395_A2602
ko:K03806	vco:VC0395_A1997
ko:K00859	vco:VC0395_A2003
ko:K09862	vco:VC0395_A2006
ko:K07000	vco:VC0395_A2009
ko:K03651	vco:VC0395_A2010
ko:K09920	vco:VC0395_A2011
ko:K01515	vco:VC0395_A2012
ko:K03406	vco:VC0395_A2016
ko:K07220	vco:VC0395_A2019
ko:K03306	vco:VC0395_A2020
ko:K07184	vco:VC0395_A2021
ko:K02451	vco:VC0395_A2022
ko:K02450	vco:VC0395_A2023
ko:K03474	vco:VC0395_A2036
ko:K03685	vco:VC0395_A2039
ko:K03596	vco:VC0395_A2041
ko:K03803	vco:VC0395_A2042
ko:K03598	vco:VC0395_A2043
ko:K03597	vco:VC0395_A2044
ko:K03088	vco:VC0395_A2045
ko:K09159	vco:VC0395_A2048
ko:K06980	vco:VC0395_A2049
ko:K09895	vco:VC0395_A2053
ko:K02231	vco:VC0395_A0861
ko:K03406	vco:VC0395_A2596
ko:K01420	vco:VC0395_A1045
ko:K09792	vco:VC0395_A1046
ko:K09926	vco:VC0395_A1049
ko:K00407	vco:VC0395_A1051
ko:K09911	vco:VC0395_A1089
ko:K04770	vco:VC0395_A1090
ko:K03797	vco:VC0395_A1104
ko:K03607	vco:VC0395_A1105
ko:K06148	vco:VC0395_A1107
ko:K00243	vco:VC0395_A1111
ko:K09767	vco:VC0395_A1115
ko:K00127	vco:VC0395_A1118
ko:K00123	vco:VC0395_A1120
ko:K02379	vco:VC0395_A1126
ko:K02482	vco:VC0395_A1128
ko:K05772	vco:VC0395_A1130
ko:K05773	vco:VC0395_A1131
ko:K06857	vco:VC0395_A1132
ko:K03750	vco:VC0395_A1134
ko:K00884	vco:VC0395_A1138
ko:K05812	vco:VC0395_A1139
ko:K03406	vco:VC0395_A1141
ko:K03684	vco:VC0395_A1569
ko:K07285	vco:VC0395_A1572
ko:K03722	vco:VC0395_A1575
ko:K04773	vco:VC0395_A1579
ko:K09916	vco:VC0395_A1581
ko:K07305	vco:VC0395_A1584
ko:K00563	vco:VC0395_A1589
ko:K03415	vco:VC0395_A1592
ko:K03308	vco:VC0395_A1598
ko:K03424	vco:VC0395_A1600
ko:K07082	vco:VC0395_A1603
ko:K02619	vco:VC0395_A1604
ko:K03621	vco:VC0395_A1610
ko:K02911	vco:VC0395_A1611
ko:K07040	vco:VC0395_A1612
ko:K08300	vco:VC0395_A1616
ko:K05595	vco:VC0395_A1620
ko:K06899	vco:VC0395_A1624
ko:K09904	vco:VC0395_A1625
ko:K07014	vco:VC0395_A1626
ko:K07390	vco:VC0395_A1631
ko:K02493	vco:VC0395_A1755
ko:K02835	vco:VC0395_A1756
ko:K02492	vco:VC0395_A1757
ko:K02494	vco:VC0395_A1758
ko:K00919	vco:VC0395_A1759
ko:K06942	vco:VC0395_A1762
ko:K02406	vco:VC0395_A1779
ko:K02406	vco:VC0395_A1780
ko:K02397	vco:VC0395_A1782
ko:K02396	vco:VC0395_A1783
ko:K02394	vco:VC0395_A1785
ko:K02393	vco:VC0395_A1786
ko:K02392	vco:VC0395_A1787
ko:K02391	vco:VC0395_A1788
ko:K02390	vco:VC0395_A1789
ko:K02389	vco:VC0395_A1790
ko:K02388	vco:VC0395_A1791
ko:K02387	vco:VC0395_A1792
ko:K03415	vco:VC0395_A1794
ko:K02386	vco:VC0395_A1795
ko:K02398	vco:VC0395_A1796
ko:K02399	vco:VC0395_A1797
ko:K09860	vco:VC0395_A1798
ko:K03286	vco:VC0395_A1805
ko:K09973	vco:VC0395_A1812
ko:K06182	vco:VC0395_A1816
ko:K03271	vco:VC0395_A1822
ko:K06445	vco:VC0395_A1823
ko:K01069	vco:VC0395_A1828
ko:K08307	vco:VC0395_A1829
ko:K03046	vco:VC0395_A2731
ko:K04751	vco:VC0395_A1831
ko:K04075	vco:VC0395_A1834
ko:K02372	vco:VC0395_A1840
ko:K02536	vco:VC0395_A1841
ko:K06142	vco:VC0395_A1842
ko:K00099	vco:VC0395_A1845
ko:K02357	vco:VC0395_A1850
ko:K02967	vco:VC0395_A1851
ko:K01095	vco:VC0395_A1855
ko:K03625	vco:VC0395_A1857
ko:K07738	vco:VC0395_A1862
ko:K06901	vco:VC0395_A1868
ko:K05844	vco:VC0395_A1871
ko:K03308	vco:VC0395_A1873
ko:K05952	vco:VC0395_A1877
ko:K03734	vco:VC0395_A1878
ko:K03110	vco:VC0395_A2374
ko:K03969	vco:VC0395_A1283
ko:K03970	vco:VC0395_A1282
ko:K03973	vco:VC0395_A1281
ko:K07090	vco:VC0395_0189
ko:K03810	vco:VC0395_0193
ko:K02562	vco:VC0395_0194
ko:K02028	vco:VC0395_0204
ko:K03406	vco:VC0395_0210
ko:K02024	vco:VC0395_0213
ko:K05775	vco:VC0395_0214
ko:K02564	vco:VC0395_0216
ko:K09897	vco:VC0395_0219
ko:K03675	vco:VC0395_0245
ko:K09888	vco:VC0395_A2054
ko:K01934	vco:VC0395_A2055
ko:K01653	vco:VC0395_A2058
ko:K01652	vco:VC0395_A2059
ko:K05798	vco:VC0395_A2061
ko:K03667	vco:VC0395_A2247
ko:K05499	vco:VC0395_A2250
ko:K02909	vco:VC0395_A2252
ko:K03764	vco:VC0395_A2255
ko:K09892	vco:VC0395_A2259
ko:K06006	vco:VC0395_A2263
ko:K07662	vco:VC0395_A2264
ko:K04564	vco:VC0395_A2266
ko:K03216	vco:VC0395_A2267
ko:K07113	vco:VC0395_A2268
ko:K04084	vco:VC0395_A2274
ko:K09125	vco:VC0395_A2279
ko:K03546	vco:VC0395_0454
ko:K03406	vco:VC0395_0250
ko:K09773	vco:VC0395_0252
ko:K02030	vco:VC0395_0260
ko:K03406	vco:VC0395_0265
ko:K09913	vco:VC0395_0270
ko:K06911	vco:VC0395_0271
ko:K01638	vco:VC0395_0282
ko:K03415	vco:VC0395_0285
ko:K02456	vco:VC0395_A2303
ko:K02452	vco:VC0395_A2307
ko:K04762	vco:VC0395_A2308
ko:K04083	vco:VC0395_A2309
ko:K07560	vco:VC0395_A2313
ko:K03060	vco:VC0395_A2281
ko:K07659	vco:VC0395_A2286
ko:K04760	vco:VC0395_A2287
ko:K06959	vco:VC0395_A2288
ko:K02170	vco:VC0395_A2290
ko:K07400	vco:VC0395_A2293
ko:K08312	vco:VC0395_A2294
ko:K02463	vco:VC0395_A2296
ko:K02462	vco:VC0395_A2297
ko:K02461	vco:VC0395_A2298
ko:K02460	vco:VC0395_A2299
ko:K02459	vco:VC0395_A2300
ko:K02458	vco:VC0395_A2301
ko:K02457	vco:VC0395_A2302
ko:K10126	vco:VC0395_A1516
ko:K02769	vco:VC0395_0449
ko:K02770	vco:VC0395_0449
ko:K02622	vco:VC0395_A2008
ko:K02469	vco:VC0395_A0877
ko:K02621	vco:VC0395_A2007
ko:K03469	vco:VC0395_A1826
ko:K03470	vco:VC0395_A1837
ko:K00351	vco:VC0395_A1879
ko:K01674	vco:VC0395_0957
ko:K03169	vco:VC0395_A1630
ko:K03168	vco:VC0395_A1332
ko:K01955	vco:VC0395_A1967
ko:K02338	vco:VC0395_A2506
ko:K03722	vco:VC0395_A1446
ko:K00350	vco:VC0395_A1880
ko:K00956	vco:VC0395_A2136
ko:K00957	vco:VC0395_A2137
ko:K03424	vco:VC0395_A2415
ko:K05916	vco:VC0395_1093
ko:K03315	vco:VC0395_A1622
ko:K02871	vco:VC0395_A0103
ko:K03711	vco:VC0395_A1690
ko:K03274	vco:VC0395_A2620
ko:K09747	vco:VC0395_A0573
ko:K02907	vco:VC0395_A2156
ko:K02876	vco:VC0395_A2155
ko:K02963	vco:VC0395_A2779
ko:K02361	vco:VC0395_A0302
ko:K05366	vco:VC0395_A2212
ko:K02798	vco:VC0395_0196
ko:K02799	vco:VC0395_0196
ko:K02800	vco:VC0395_0196
ko:K03595	vco:VC0395_A2038
ko:K02472	vco:VC0395_A0442
ko:K02110	vco:VC0395_A2523
ko:K02669	vco:VC0395_A0014
ko:K03215	vco:VC0395_A2030
ko:K02650	vco:VC0395_A1999
ko:K02652	vco:VC0395_A2000
ko:K02653	vco:VC0395_A2001
ko:K03075	vco:VC0395_A0169
ko:K02031	vco:VC0395_A2563
ko:K02032	vco:VC0395_A2563
ko:K01956	vco:VC0395_A1968
ko:K07648	vco:VC0395_A1948
ko:K02809	vco:VC0395_0597
ko:K02810	vco:VC0395_0597
ko:K09117	vco:VC0395_A0046
ko:K00648	vco:VC0395_A1609
ko:K03186	vco:VC0395_A2120
ko:K03569	vco:VC0395_A2834
ko:K01883	vco:VC0395_A1439
ko:K07394	vco:VC0395_0289
ko:K10111	vco:VC0395_0292
ko:K10108	vco:VC0395_0294
ko:K10110	vco:VC0395_0296
ko:K02444	vco:VC0395_0299
ko:K03704	vco:VC0395_0306
ko:K09781	vco:VC0395_0308
ko:K03212	vco:VC0395_0309
ko:K07140	vco:VC0395_0315
ko:K03406	vco:VC0395_0316
ko:K02013	vco:VC0395_0322
ko:K02015	vco:VC0395_0323
ko:K02016	vco:VC0395_0324
ko:K03561	vco:VC0395_0326
ko:K03832	vco:VC0395_0327
ko:K03183	vco:VC0395_A2432
ko:K10805	vco:VC0395_A0581
ko:K02078	vco:VC0395_A1606
ko:K07461	vco:VC0395_0675
ko:K03641	vco:VC0395_A1429
ko:K09760	vco:VC0395_A2433
ko:K02601	vco:VC0395_A2725
ko:K04565	vco:VC0395_A1186
ko:K03977	vco:VC0395_A0292
ko:K01897	vco:VC0395_A2060
ko:K02837	vco:VC0395_A0190
ko:K06206	vco:VC0395_A0128
ko:K03835	vco:VC0395_1118
ko:K00265	vco:VC0395_A1954
ko:K00404	vco:VC0395_A1053
ko:K03628	vco:VC0395_A2699
ko:K02914	vco:VC0395_A2512
ko:K02549	vco:VC0395_A1558
ko:K00525	vco:VC0395_A0875
ko:K06076	vco:VC0395_0374
ko:K02945	vco:VC0395_A1505
ko:K03500	vco:VC0395_A2475
ko:K02401	vco:VC0395_A1702
ko:K03413	vco:VC0395_A1653
ko:K03752	vco:VC0395_A1133
ko:K02824	vco:VC0395_A1749
ko:K07042	vco:VC0395_A0482
ko:K02400	vco:VC0395_A1657
ko:K02404	vco:VC0395_A1656
ko:K04562	vco:VC0395_A1655
ko:K04754	vco:VC0395_A1636
ko:K03808	vco:VC0395_A1108
ko:K03406	vco:VC0395_A1249
ko:K00648	vco:VC0395_0689
ko:K10680	vco:VC0395_0244
ko:K09811	vco:VC0395_A2372
ko:K02498	vco:VC0395_A2401
ko:K09894	vco:VC0395_A2404
ko:K03978	vco:VC0395_A2407
ko:K02439	vco:VC0395_A2416
ko:K02441	vco:VC0395_A2417
ko:K03406	vco:VC0395_A2418
ko:K03181	vco:VC0395_A2420
ko:K03179	vco:VC0395_A2421
ko:K00631	vco:VC0395_A2422
ko:K03327	vco:VC0395_A2425
ko:K03118	vco:VC0395_A2427
ko:K03688	vco:VC0395_A2430
ko:K03690	vco:VC0395_A2431
ko:K07007	vco:VC0395_A2434
ko:K06144	vco:VC0395_A2436
ko:K02217	vco:VC0395_A2437
ko:K06149	vco:VC0395_A2438
ko:K03718	vco:VC0395_A2443
ko:K07552	vco:VC0395_A2445
ko:K03147	vco:VC0395_A2452
ko:K06199	vco:VC0395_A2453
ko:K07566	vco:VC0395_A2466
ko:K07479	vco:VC0395_A2469
ko:K03747	vco:VC0395_A2470
ko:K04096	vco:VC0395_A2471
ko:K01462	vco:VC0395_A2473
ko:K03624	vco:VC0395_A0163
ko:K07674	vco:VC0395_0614
ko:K02654	vco:VC0395_A2002
ko:K02664	vco:VC0395_A2209
ko:K02665	vco:VC0395_A2208
ko:K00974	vco:VC0395_A2024
ko:K01056	vco:VC0395_A1761
ko:K09158	vco:VC0395_A0469
ko:K02970	vco:VC0395_A0047
ko:K03185	vco:VC0395_A2052
ko:K03686	vco:VC0395_A0383
ko:K03545	vco:VC0395_A1513
ko:K03218	vco:VC0395_A2176
ko:K09928	vco:VC0395_A1471
ko:K03531	vco:VC0395_A1975
ko:K02933	vco:VC0395_A2159
ko:K02890	vco:VC0395_A2169
ko:K02992	vco:VC0395_A2772
ko:K06987	vco:VC0395_A1872
ko:K02913	vco:VC0395_A2600
ko:K06189	vco:VC0395_A0481
ko:K03701	vco:VC0395_A2812
ko:K03702	vco:VC0395_A0540
ko:K02341	vco:VC0395_A1601
ko:K05799	vco:VC0395_A1991
ko:K03572	vco:VC0395_A2756
ko:K03573	vco:VC0395_A0200
ko:K03582	vco:VC0395_A1904
ko:K03583	vco:VC0395_A1905
ko:K03581	vco:VC0395_A1903
ko:K00575	vco:VC0395_A1793
ko:K03703	vco:VC0395_A0834
ko:K03657	vco:VC0395_A2571
ko:K03555	vco:VC0395_A0063
ko:K02879	vco:VC0395_A2148
ko:K02336	vco:VC0395_A0831
ko:K07812	vco:VC0395_A1538
ko:K10125	vco:VC0395_A1515
ko:K02931	vco:VC0395_A2162
ko:K09712	vco:VC0395_0538
ko:K02011	vco:VC0395_0543
ko:K02010	vco:VC0395_0544
ko:K02012	vco:VC0395_0545
ko:K03430	vco:VC0395_0546
ko:K00823	vco:VC0395_0547
ko:K05306	vco:VC0395_0548
ko:K06140	vco:VC0395_0549
ko:K03282	vco:VC0395_0554
ko:K03750	vco:VC0395_0559
ko:K02919	vco:VC0395_A2153
ko:K07481	vco:VC0395_0569
ko:K07120	vco:VC0395_0572
ko:K02442	vco:VC0395_0576
ko:K06967	vco:VC0395_0578
ko:K07112	vco:VC0395_0584
ko:K07112	vco:VC0395_0585
ko:K06996	vco:VC0395_0589
ko:K03484	vco:VC0395_0598
ko:K00111	vco:VC0395_0601
ko:K03406	vco:VC0395_0602
ko:K01802	vco:VC0395_0604
ko:K03406	vco:VC0395_0606
ko:K03326	vco:VC0395_0607
ko:K03307	vco:VC0395_0609
ko:K07685	vco:VC0395_0613
ko:K02570	vco:VC0395_0616
ko:K02568	vco:VC0395_0618
ko:K02569	vco:VC0395_0619
ko:K03629	vco:VC0395_A2505
ko:K03655	vco:VC0395_A2283
ko:K00500	vco:VC0395_0407
ko:K01724	vco:VC0395_0408
ko:K01480	vco:VC0395_0420
ko:K05994	vco:VC0395_0421
ko:K01147	vco:VC0395_0429
ko:K00892	vco:VC0395_0433
ko:K00882	vco:VC0395_0450
ko:K01921	vco:VC0395_0515
ko:K01938	vco:VC0395_0556
ko:K01495	vco:VC0395_0558
ko:K00616	vco:VC0395_0564
ko:K00615	vco:VC0395_0565
ko:K01193	vco:VC0395_0599
ko:K00847	vco:VC0395_0600
ko:K01752	vco:VC0395_0608
ko:K00626	vco:VC0395_0630
ko:K00023	vco:VC0395_0631
ko:K00975	vco:VC0395_0637
ko:K00873	vco:VC0395_0647
ko:K01734	vco:VC0395_0650
ko:K00901	vco:VC0395_0653
ko:K00021	vco:VC0395_0662
ko:K00864	vco:VC0395_0682
ko:K01620	vco:VC0395_0706
ko:K01784	vco:VC0395_0714
ko:K00012	vco:VC0395_0720
ko:K01868	vco:VC0395_0942
ko:K00605	vco:VC0395_0949
ko:K00600	vco:VC0395_0952
ko:K01176	vco:VC0395_0979
ko:K00925	vco:VC0395_0994
ko:K01046	vco:VC0395_1006
ko:K00364	vco:VC0395_1080
ko:K01667	vco:VC0395_1117
ko:K03439	vco:VC0395_A0005
ko:K00286	vco:VC0395_A0012
ko:K01866	vco:VC0395_A0017
ko:K01920	vco:VC0395_A0020
ko:K00789	vco:VC0395_A0024
ko:K00615	vco:VC0395_A0026
ko:K00927	vco:VC0395_A0030
ko:K00873	vco:VC0395_A0037
ko:K00820	vco:VC0395_A0039
ko:K01409	vco:VC0395_A0049
ko:K00950	vco:VC0395_A0053
ko:K01770	vco:VC0395_A0057
ko:K00573	vco:VC0395_A0060
ko:K01872	vco:VC0395_A0072
ko:K00928	vco:VC0395_A0074
ko:K00344	vco:VC0395_A0087
ko:K01919	vco:VC0395_A0090
ko:K00554	vco:VC0395_A0097
ko:K00760	vco:VC0395_A0117
ko:K01918	vco:VC0395_A0122
ko:K00606	vco:VC0395_A0123
ko:K00970	vco:VC0395_A0125
ko:K01845	vco:VC0395_A0154
ko:K01866	vco:VC0395_A0160
ko:K00796	vco:VC0395_A0167
ko:K00962	vco:VC0395_A0178
ko:K00560	vco:VC0395_A0207
ko:K01870	vco:VC0395_A0214
ko:K03101	vco:VC0395_A0215
ko:K01207	vco:VC0395_A0223
ko:K01626	vco:VC0395_A0226
ko:K00937	vco:VC0395_A0257
ko:K01638	vco:VC0395_A0266
ko:K01637	vco:VC0395_A0267
ko:K00773	vco:VC0395_A0270
ko:K00940	vco:VC0395_A0285
ko:K00088	vco:VC0395_A0296
ko:K01951	vco:VC0395_A0297
ko:K00285	vco:VC0395_A0313
ko:K01910	vco:VC0395_A0323
ko:K05966	vco:VC0395_A0328
ko:K00128	vco:VC0395_A0344
ko:K01952	vco:VC0395_A0395
ko:K01881	vco:VC0395_A0400
ko:K00795	vco:VC0395_A0413
ko:K01226	vco:VC0395_A0433
ko:K01791	vco:VC0395_A0441
ko:K00600	vco:VC0395_A0465
ko:K01869	vco:VC0395_A0478
ko:K01738	vco:VC0395_A0489
ko:K01972	vco:VC0395_A0492
ko:K00939	vco:VC0395_A0507
ko:K01772	vco:VC0395_A0508
ko:K01953	vco:VC0395_A0512
ko:K07568	vco:VC0395_A0269
ko:K03584	vco:VC0395_A2037
ko:K01704	vco:VC0395_A2068
ko:K01703	vco:VC0395_A2067
ko:K03774	vco:VC0395_A0216
ko:K03550	vco:VC0395_A1437
ko:K03551	vco:VC0395_A1436
ko:K01159	vco:VC0395_A1438
ko:K00867	vco:VC0395_A2718
ko:K07783	vco:VC0395_0624
ko:K03074	vco:VC0395_0632
ko:K03072	vco:VC0395_0633
ko:K08476	vco:VC0395_0641
ko:K08475	vco:VC0395_0643
ko:K08478	vco:VC0395_0644
ko:K07783	vco:VC0395_0646
ko:K07647	vco:VC0395_0648
ko:K02017	vco:VC0395_0663
ko:K02018	vco:VC0395_0664
ko:K02020	vco:VC0395_0665
ko:K02232	vco:VC0395_0666
ko:K09915	vco:VC0395_0676
ko:K09802	vco:VC0395_0679
ko:K00111	vco:VC0395_0686
ko:K00112	vco:VC0395_0687
ko:K00113	vco:VC0395_0688
ko:K03672	vco:VC0395_0690
ko:K09998	vco:VC0395_0698
ko:K09999	vco:VC0395_0699
ko:K03924	vco:VC0395_0704
ko:K08682	vco:VC0395_0710
ko:K03834	vco:VC0395_0712
ko:K03406	vco:VC0395_0713
ko:K07160	vco:VC0395_0716
ko:K02004	vco:VC0395_0722
ko:K08984	vco:VC0395_0729
ko:K07491	vco:VC0395_0751
ko:K06218	vco:VC0395_0794
ko:K07341	vco:VC0395_0797
ko:K07726	vco:VC0395_0803
ko:K02048	vco:VC0395_0814
ko:K06218	vco:VC0395_0823
ko:K03098	vco:VC0395_0868
ko:K06996	vco:VC0395_0880
ko:K03823	vco:VC0395_0935
ko:K02437	vco:VC0395_0953
ko:K03406	vco:VC0395_0962
ko:K03476	vco:VC0395_0981
ko:K03477	vco:VC0395_0982
ko:K02822	vco:VC0395_0983
ko:K03475	vco:VC0395_0983
ko:K02821	vco:VC0395_0984
ko:K03077	vco:VC0395_0985
ko:K09956	vco:VC0395_0995
ko:K02013	vco:VC0395_0998
ko:K02015	vco:VC0395_0999
ko:K03648	vco:VC0395_A1938
ko:K03149	vco:VC0395_A2449
ko:K00681	vco:VC0395_0492
ko:K00324	vco:VC0395_0497
ko:K00325	vco:VC0395_0498
ko:K09917	vco:VC0395_0503
ko:K07467	vco:VC0395_0506
ko:K09181	vco:VC0395_0517
ko:K06934	vco:VC0395_0531
ko:K06169	vco:VC0395_A1500
ko:K07084	vco:VC0395_A0526
ko:K02455	vco:VC0395_A2304
ko:K02109	vco:VC0395_A2524
ko:K07216	vco:VC0395_A0841
ko:K07212	vco:VC0395_A0841
ko:K02440	vco:VC0395_0683
ko:K09812	vco:VC0395_A2373
ko:K03666	vco:VC0395_A2758
ko:K00124	vco:VC0395_A1119
ko:K01588	vco:VC0395_A2467
ko:K00526	vco:VC0395_A0874
ko:K02899	vco:VC0395_A2854
ko:K02888	vco:VC0395_A2853
ko:K03269	vco:VC0395_A1441
ko:K02803	vco:VC0395_A0516
ko:K02804	vco:VC0395_A0516
ko:K03760	vco:VC0395_0141
ko:K06179	vco:VC0395_A1614
ko:K06192	vco:VC0395_A1352
ko:K06041	vco:VC0395_A2104
ko:K02563	vco:VC0395_A1979
ko:K03117	vco:VC0395_A2428
ko:K03775	vco:VC0395_A2182
ko:K00411	vco:VC0395_A0105
ko:K02395	vco:VC0395_A1784
ko:K03769	vco:VC0395_0286
ko:K07636	vco:VC0395_A0254
ko:K03563	vco:VC0395_A0075
ko:K03645	vco:VC0395_A1682
ko:K03980	vco:VC0395_A0212
ko:K15583	vco:VC0395_A0612
ko:K02010	vco:VC0395_0627
ko:K00793	vco:VC0395_A1860
ko:K02551	vco:VC0395_A1561
ko:K01223	vco:VC0395_A1165
ko:K02108	vco:VC0395_A2522
ko:K03150	vco:VC0395_A2448
ko:K11179	vco:VC0395_A0970
ko:K11191	vco:VC0395_A2586
ko:K11192	vco:VC0395_A2586
ko:K03565	vco:VC0395_A0071
ko:K09786	vco:VC0395_A1464
ko:K00537	vco:VC0395_A1745
ko:K11183	vco:VC0395_0451
ko:K02768	vco:VC0395_0451
ko:K11211	vco:VC0395_A2607
ko:K06173	vco:VC0395_A0520
ko:K02818	vco:VC0395_A0432
ko:K02819	vco:VC0395_A0432
ko:K02909	vco:VC0395_A0402
ko:K03406	vco:VC0395_0207
ko:K09937	vco:VC0395_A2762
ko:K01126	vco:VC0395_0002
ko:K00757	vco:VC0395_0004
ko:K00852	vco:VC0395_0007
ko:K00763	vco:VC0395_0041
ko:K01354	vco:VC0395_0075
ko:K01669	vco:VC0395_0080
ko:K01183	vco:VC0395_0106
ko:K00700	vco:VC0395_0117
ko:K00705	vco:VC0395_0118
ko:K00688	vco:VC0395_0119
ko:K00275	vco:VC0395_0163
ko:K01581	vco:VC0395_0179
ko:K00009	vco:VC0395_0195
ko:K01626	vco:VC0395_0205
ko:K00567	vco:VC0395_0223
ko:K01007	vco:VC0395_0251
ko:K00101	vco:VC0395_0254
ko:K00657	vco:VC0395_0291
ko:K01465	vco:VC0395_0313
ko:K00033	vco:VC0395_0339
ko:K01057	vco:VC0395_0340
ko:K00036	vco:VC0395_0341
ko:K00639	vco:VC0395_0352
ko:K00060	vco:VC0395_0353
ko:K01753	vco:VC0395_0362
ko:K01176	vco:VC0395_0377
ko:K00134	vco:VC0395_0393
ko:K08309	vco:VC0395_A0230
ko:K11392	vco:VC0395_A1110
ko:K03612	vco:VC0395_A0534
ko:K03719	vco:VC0395_0174
ko:K02422	vco:VC0395_A1722
ko:K01624	vco:VC0395_A0031
ko:K03498	vco:VC0395_A2536
ko:K00230	vco:VC0395_A2537
ko:K02521	vco:VC0395_A2549
ko:K09806	vco:VC0395_A2551
ko:K02035	vco:VC0395_A2564
ko:K02033	vco:VC0395_A2565
ko:K02034	vco:VC0395_A2566
ko:K07115	vco:VC0395_A2569
ko:K01414	vco:VC0395_A2570
ko:K06147	vco:VC0395_A2579
ko:K02014	vco:VC0395_A2580
ko:K02013	vco:VC0395_A2581
ko:K02016	vco:VC0395_A2582
ko:K02015	vco:VC0395_A2583
ko:K02560	vco:VC0395_A2591
ko:K02517	vco:VC0395_A2592
ko:K05501	vco:VC0395_A2593
ko:K03630	vco:VC0395_A2597
ko:K02902	vco:VC0395_A2599
ko:K02527	vco:VC0395_A2613
ko:K02193	vco:VC0395_A1645
ko:K07393	vco:VC0395_A0614
ko:K09899	vco:VC0395_A0617
ko:K01989	vco:VC0395_A0619
ko:K05832	vco:VC0395_A0620
ko:K05833	vco:VC0395_A0621
ko:K05541	vco:VC0395_A0623
ko:K05541	vco:VC0395_A0624
ko:K07039	vco:VC0395_A0625
ko:K03634	vco:VC0395_A0626
ko:K07478	vco:VC0395_A0627
ko:K02169	vco:VC0395_A0632
ko:K03799	vco:VC0395_A0635
ko:K06954	vco:VC0395_A0638
ko:K09701	vco:VC0395_A0639
ko:K07153	vco:VC0395_A0645
ko:K06181	vco:VC0395_A0710
ko:K03704	vco:VC0395_A0712
ko:K06891	vco:VC0395_A0713
ko:K03694	vco:VC0395_A0714
ko:K07085	vco:VC0395_A0715
ko:K03674	vco:VC0395_A0716
ko:K01580	vco:VC0395_A0719
ko:K07343	vco:VC0395_A0723
ko:K01695	vco:VC0395_A0791
ko:K01696	vco:VC0395_A0792
ko:K01658	vco:VC0395_A0795
ko:K01657	vco:VC0395_A0796
ko:K07053	vco:VC0395_A0798
ko:K06178	vco:VC0395_A0800
ko:K03748	vco:VC0395_A0807
ko:K01923	vco:VC0395_A0811
ko:K07126	vco:VC0395_A0814
ko:K05836	vco:VC0395_A0826
ko:K09901	vco:VC0395_A0828
ko:K02356	vco:VC0395_A0829
ko:K07689	vco:VC0395_A0833
ko:K03828	vco:VC0395_A0840
ko:K01889	vco:VC0395_A0843
ko:K08289	vco:VC0395_A0850
ko:K07088	vco:VC0395_A0851
ko:K06956	vco:VC0395_A0856
ko:K02233	vco:VC0395_A0860
ko:K05526	vco:VC0395_A0863
ko:K06073	vco:VC0395_A0864
ko:K06074	vco:VC0395_A0865
ko:K07146	vco:VC0395_A0878
ko:K07231	vco:VC0395_A0883
ko:K07338	vco:VC0395_A0885
ko:K09947	vco:VC0395_A0886
ko:K02480	vco:VC0395_A0895
ko:K07684	vco:VC0395_A0896
ko:K03451	vco:VC0395_A0898
ko:K02759	vco:VC0395_A0902
ko:K01222	vco:VC0395_A0903
ko:K03478	vco:VC0395_A0904
ko:K03116	vco:VC0395_A2429
ko:K02887	vco:VC0395_0939
ko:K07227	vco:VC0395_0329
ko:K07226	vco:VC0395_0330
ko:K02647	vco:VC0395_0332
ko:K00865	vco:VC0395_0334
ko:K07396	vco:VC0395_0336
ko:K08234	vco:VC0395_0348
ko:K05523	vco:VC0395_0351
ko:K00426	vco:VC0395_0364
ko:K00425	vco:VC0395_0365
ko:K07262	vco:VC0395_0368
ko:K07275	vco:VC0395_0370
ko:K03406	vco:VC0395_0372
ko:K02003	vco:VC0395_0382
ko:K02004	vco:VC0395_0383
ko:K01493	vco:VC0395_0395
ko:K07397	vco:VC0395_0397
ko:K06718	vco:VC0395_0409
ko:K00836	vco:VC0395_0410
ko:K06720	vco:VC0395_0411
ko:K00928	vco:VC0395_0412
ko:K04077	vco:VC0395_0414
ko:K04078	vco:VC0395_0415
ko:K06213	vco:VC0395_0416
ko:K01585	vco:VC0395_0419
ko:K06876	vco:VC0395_0425
ko:K02040	vco:VC0395_0427
ko:K05592	vco:VC0395_0430
ko:K05805	vco:VC0395_0434
ko:K07497	vco:VC0395_0442
ko:K04068	vco:VC0395_0446
ko:K00813	vco:VC0395_0447
ko:K03435	vco:VC0395_0452
ko:K03547	vco:VC0395_0453
ko:K03281	vco:VC0395_0459
ko:K03549	vco:VC0395_0462
ko:K03737	vco:VC0395_0463
ko:K07646	vco:VC0395_0464
ko:K07667	vco:VC0395_0465
ko:K03116	vco:VC0395_0466
ko:K07459	vco:VC0395_0477
ko:K01081	vco:VC0395_0478
ko:K05794	vco:VC0395_0479
ko:K06193	vco:VC0395_0481
ko:K02015	vco:VC0395_1000
ko:K03892	vco:VC0395_A0586
ko:K07052	vco:VC0395_A0593
ko:K06910	vco:VC0395_A0594
ko:K07566	vco:VC0395_A0598
ko:K03410	vco:VC0395_A0602
ko:K02044	vco:VC0395_A0608
ko:K02523	vco:VC0395_A2852
ko:K06195	vco:VC0395_A2860
ko:K02528	vco:VC0395_A2861
ko:K00097	vco:VC0395_A2862
ko:K03771	vco:VC0395_A2863
ko:K03406	vco:VC0395_A2871
ko:K01573	vco:VC0395_A0321
