ko:K19078	suf:SARLGA251_05920
ko:K02956	suf:SARLGA251_11840
ko:K00962	suf:SARLGA251_11850
ko:K03466	suf:SARLGA251_11870
ko:K00995	suf:SARLGA251_11940
ko:K09769	suf:SARLGA251_11990
ko:K00174	suf:SARLGA251_12000
ko:K00175	suf:SARLGA251_12010
ko:K06168	suf:SARLGA251_12030
ko:K03628	suf:SARLGA251_19220
ko:K00790	suf:SARLGA251_19250
ko:K01624	suf:SARLGA251_19260
ko:K01937	suf:SARLGA251_19280
ko:K07173	suf:SARLGA251_19350
ko:K00756	suf:SARLGA251_19370
ko:K04047	suf:SARLGA251_19400
ko:K01809	suf:SARLGA251_19440
ko:K16264	suf:SARLGA251_19470
ko:K02013	suf:SARLGA251_19500
ko:K00820	suf:SARLGA251_19510
ko:K00009	suf:SARLGA251_19550
ko:K03431	suf:SARLGA251_19570
ko:K01476	suf:SARLGA251_19600
ko:K07322	suf:SARLGA251_02230
ko:K07704	suf:SARLGA251_02240
ko:K05338	suf:SARLGA251_02260
ko:K05339	suf:SARLGA251_02270
ko:K04561	suf:SARLGA251_02280
ko:K03489	suf:SARLGA251_02290
ko:K01223	suf:SARLGA251_02310
ko:K06726	suf:SARLGA251_02340
ko:K02529	suf:SARLGA251_02360
ko:K01442	suf:SARLGA251_02390
ko:K03466	suf:SARLGA251_02510
ko:K03311	suf:SARLGA251_02680
ko:K02003	suf:SARLGA251_02710
ko:K01889	suf:SARLGA251_10500
ko:K01890	suf:SARLGA251_10510
ko:K09888	suf:SARLGA251_10530
ko:K02347	suf:SARLGA251_10550
ko:K07456	suf:SARLGA251_10560
ko:K03671	suf:SARLGA251_10570
ko:K03703	suf:SARLGA251_10580
ko:K00239	suf:SARLGA251_10600
ko:K00240	suf:SARLGA251_10610
ko:K01776	suf:SARLGA251_10620
ko:K07095	suf:SARLGA251_10640
ko:K14200	suf:SARLGA251_10680
ko:K00611	suf:SARLGA251_10780
ko:K00926	suf:SARLGA251_10790
ko:K03925	suf:SARLGA251_10890
ko:K03438	suf:SARLGA251_10900
ko:K12552	suf:SARLGA251_10920
ko:K01000	suf:SARLGA251_10930
ko:K01925	suf:SARLGA251_10940
ko:K03589	suf:SARLGA251_10950
ko:K03590	suf:SARLGA251_10960
ko:K03531	suf:SARLGA251_10970
ko:K05810	suf:SARLGA251_10980
ko:K06997	suf:SARLGA251_10990
ko:K09772	suf:SARLGA251_11000
ko:K02221	suf:SARLGA251_11010
ko:K04077	suf:SARLGA251_18310
ko:K04078	suf:SARLGA251_18320
ko:K07078	suf:SARLGA251_18350
ko:K07813	suf:SARLGA251_18380
ko:K07800	suf:SARLGA251_18390
ko:K07707	suf:SARLGA251_18410
ko:K00847	suf:SARLGA251_18420
ko:K01193	suf:SARLGA251_18430
ko:K03484	suf:SARLGA251_18440
ko:K03320	suf:SARLGA251_18450
ko:K07112	suf:SARLGA251_18470
ko:K01926	suf:SARLGA251_18480
ko:K06158	suf:SARLGA251_18490
ko:K03789	suf:SARLGA251_18530
ko:K06925	suf:SARLGA251_18550
ko:K01687	suf:SARLGA251_18560
ko:K01652	suf:SARLGA251_18570
ko:K00053	suf:SARLGA251_18590
ko:K01649	suf:SARLGA251_18600
ko:K00052	suf:SARLGA251_18610
ko:K01703	suf:SARLGA251_18620
ko:K01704	suf:SARLGA251_18630
ko:K01754	suf:SARLGA251_18640
ko:K06959	suf:SARLGA251_18660
ko:K01775	suf:SARLGA251_18730
ko:K00997	suf:SARLGA251_18740
ko:K02768	suf:SARLGA251_06330
ko:K02769	suf:SARLGA251_06330
ko:K02770	suf:SARLGA251_06330
ko:K01443	suf:SARLGA251_06340
ko:K10681	suf:SARLGA251_06380
ko:K10682	suf:SARLGA251_06390
ko:K10026	suf:SARLGA251_06430
ko:K01737	suf:SARLGA251_06440
ko:K06920	suf:SARLGA251_06450
ko:K01665	suf:SARLGA251_06470
ko:K15738	suf:SARLGA251_06530
ko:K03654	suf:SARLGA251_06540
ko:K05847	suf:SARLGA251_06550
ko:K00817	suf:SARLGA251_06570
ko:K03305	suf:SARLGA251_06600
ko:K09457	suf:SARLGA251_06610
ko:K02015	suf:SARLGA251_06660
ko:K02015	suf:SARLGA251_06670
ko:K02013	suf:SARLGA251_06680
ko:K02016	suf:SARLGA251_06690
ko:K00075	suf:SARLGA251_06710
ko:K00865	suf:SARLGA251_06750
ko:K02913	suf:SARLGA251_14570
ko:K12553	suf:SARLGA251_14580
ko:K04564	suf:SARLGA251_14590
ko:K09816	suf:SARLGA251_14610
ko:K09817	suf:SARLGA251_14620
ko:K01151	suf:SARLGA251_14630
ko:K06967	suf:SARLGA251_14660
ko:K03086	suf:SARLGA251_14670
ko:K09773	suf:SARLGA251_14690
ko:K01880	suf:SARLGA251_14710
ko:K03584	suf:SARLGA251_14720
ko:K07042	suf:SARLGA251_14760
ko:K02970	suf:SARLGA251_14810
ko:K09761	suf:SARLGA251_14830
ko:K02687	suf:SARLGA251_14840
ko:K03686	suf:SARLGA251_14850
ko:K04043	suf:SARLGA251_14860
ko:K03687	suf:SARLGA251_14870
ko:K03705	suf:SARLGA251_14880
ko:K03596	suf:SARLGA251_14900
ko:K02968	suf:SARLGA251_14910
ko:K02340	suf:SARLGA251_14920
ko:K02237	suf:SARLGA251_14950
ko:K09710	suf:SARLGA251_14970
ko:K00969	suf:SARLGA251_14990
ko:K07574	suf:SARLGA251_15000
ko:K00014	suf:SARLGA251_15010
ko:K07015	suf:SARLGA251_15030
ko:K00865	suf:SARLGA251_22130
ko:K11737	suf:SARLGA251_22190
ko:K00077	suf:SARLGA251_22240
ko:K08170	suf:SARLGA251_22250
ko:K05846	suf:SARLGA251_22260
ko:K05845	suf:SARLGA251_22270
ko:K05846	suf:SARLGA251_22280
ko:K05847	suf:SARLGA251_22290
ko:K02069	suf:SARLGA251_22340
ko:K02068	suf:SARLGA251_22350
ko:K10824	suf:SARLGA251_22430
ko:K15587	suf:SARLGA251_22440
ko:K15586	suf:SARLGA251_22450
ko:K15585	suf:SARLGA251_22460
ko:K15584	suf:SARLGA251_22470
ko:K03073	suf:SARLGA251_04710
ko:K02601	suf:SARLGA251_04720
ko:K02867	suf:SARLGA251_04730
ko:K02863	suf:SARLGA251_04740
ko:K02864	suf:SARLGA251_04750
ko:K02935	suf:SARLGA251_04760
ko:K03043	suf:SARLGA251_04780
ko:K03046	suf:SARLGA251_04790
ko:K07590	suf:SARLGA251_04800
ko:K02950	suf:SARLGA251_04810
ko:K02992	suf:SARLGA251_04820
ko:K02355	suf:SARLGA251_04830
ko:K02358	suf:SARLGA251_04840
ko:K05523	suf:SARLGA251_04870
ko:K00826	suf:SARLGA251_04900
ko:K01091	suf:SARLGA251_04910
ko:K15519	suf:SARLGA251_04920
ko:K15518	suf:SARLGA251_04930
ko:K14194	suf:SARLGA251_04980
ko:K14194	suf:SARLGA251_04990
ko:K09007	suf:SARLGA251_05020
ko:K08094	suf:SARLGA251_05070
ko:K03762	suf:SARLGA251_05090
ko:K00868	suf:SARLGA251_05150
ko:K03648	suf:SARLGA251_05160
ko:K01714	suf:SARLGA251_13110
ko:K00215	suf:SARLGA251_13120
ko:K01775	suf:SARLGA251_13150
ko:K01586	suf:SARLGA251_13160
ko:K07734	suf:SARLGA251_13170
ko:K03704	suf:SARLGA251_13190
ko:K01512	suf:SARLGA251_13210
ko:K03311	suf:SARLGA251_13240
ko:K00658	suf:SARLGA251_13290
ko:K00164	suf:SARLGA251_13300
ko:K02563	suf:SARLGA251_13340
ko:K03797	suf:SARLGA251_13360
ko:K09125	suf:SARLGA251_13480
ko:K08170	suf:SARLGA251_13510
ko:K01754	suf:SARLGA251_13530
ko:K00259	suf:SARLGA251_13540
ko:K07444	suf:SARLGA251_13590
ko:K02018	suf:SARLGA251_20620
ko:K02020	suf:SARLGA251_20630
ko:K02379	suf:SARLGA251_20640
ko:K03523	suf:SARLGA251_20660
ko:K02016	suf:SARLGA251_20680
ko:K08717	suf:SARLGA251_20700
ko:K01430	suf:SARLGA251_20710
ko:K01429	suf:SARLGA251_20720
ko:K01428	suf:SARLGA251_20730
ko:K03187	suf:SARLGA251_20740
ko:K03188	suf:SARLGA251_20750
ko:K03189	suf:SARLGA251_20760
ko:K03190	suf:SARLGA251_20770
ko:K03315	suf:SARLGA251_20830
ko:K09940	suf:SARLGA251_20850
ko:K00123	suf:SARLGA251_20920
ko:K03453	suf:SARLGA251_21040
ko:K02749	suf:SARLGA251_21060
ko:K02750	suf:SARLGA251_21060
ko:K03481	suf:SARLGA251_21070
ko:K05577	suf:SARLGA251_03860
ko:K09822	suf:SARLGA251_03870
ko:K03928	suf:SARLGA251_03910
ko:K03308	suf:SARLGA251_03920
ko:K02071	suf:SARLGA251_03950
ko:K02072	suf:SARLGA251_03960
ko:K02073	suf:SARLGA251_03970
ko:K00266	suf:SARLGA251_04060
ko:K02818	suf:SARLGA251_04070
ko:K02819	suf:SARLGA251_04070
ko:K02343	suf:SARLGA251_04110
ko:K09747	suf:SARLGA251_04120
ko:K06187	suf:SARLGA251_04130
ko:K00943	suf:SARLGA251_04160
ko:K02341	suf:SARLGA251_04180
ko:K07461	suf:SARLGA251_04220
ko:K07056	suf:SARLGA251_04230
ko:K01874	suf:SARLGA251_04240
ko:K03424	suf:SARLGA251_04250
ko:K05985	suf:SARLGA251_04260
ko:K02528	suf:SARLGA251_04270
ko:K00919	suf:SARLGA251_04290
ko:K03555	suf:SARLGA251_12060
ko:K03572	suf:SARLGA251_12070
ko:K02440	suf:SARLGA251_12090
ko:K00864	suf:SARLGA251_12100
ko:K00111	suf:SARLGA251_12110
ko:K00791	suf:SARLGA251_12130
ko:K03666	suf:SARLGA251_12140
ko:K00432	suf:SARLGA251_12150
ko:K03665	suf:SARLGA251_12160
ko:K01915	suf:SARLGA251_12190
ko:K01620	suf:SARLGA251_12290
ko:K06131	suf:SARLGA251_12310
ko:K00928	suf:SARLGA251_12360
ko:K00003	suf:SARLGA251_12370
ko:K01733	suf:SARLGA251_12380
ko:K00872	suf:SARLGA251_12390
ko:K03781	suf:SARLGA251_12430
ko:K02913	suf:SARLGA251_12440
ko:K02954	suf:SARLGA251_12450
ko:K00364	suf:SARLGA251_12460
ko:K01356	suf:SARLGA251_12480
ko:K00615	suf:SARLGA251_12510
ko:K03547	suf:SARLGA251_12540
ko:K11068	suf:SARLGA251_19650
ko:K07038	suf:SARLGA251_19670
ko:K02015	suf:SARLGA251_19700
ko:K02015	suf:SARLGA251_19710
ko:K02016	suf:SARLGA251_19720
ko:K02787	suf:SARLGA251_19850
ko:K02788	suf:SARLGA251_19850
ko:K12410	suf:SARLGA251_19920
ko:K01575	suf:SARLGA251_20000
ko:K01652	suf:SARLGA251_20010
ko:K02996	suf:SARLGA251_20030
ko:K02871	suf:SARLGA251_20040
ko:K06173	suf:SARLGA251_20050
ko:K16785	suf:SARLGA251_20060
ko:K02879	suf:SARLGA251_20090
ko:K03040	suf:SARLGA251_20100
ko:K02948	suf:SARLGA251_20110
ko:K16937	suf:SARLGA251_06400
ko:K11991	suf:SARLGA251_04940
ko:K02303	suf:SARLGA251_21800
ko:K17716	suf:SARLGA251_01270
ko:K08170	suf:SARLGA251_00790
ko:K03324	suf:SARLGA251_00800
ko:K03303	suf:SARLGA251_00850
ko:K14196	suf:SARLGA251_00860
ko:K02015	suf:SARLGA251_00880
ko:K02015	suf:SARLGA251_00890
ko:K02016	suf:SARLGA251_00900
ko:K01586	suf:SARLGA251_00980
ko:K04564	suf:SARLGA251_01080
ko:K01839	suf:SARLGA251_01130
ko:K02042	suf:SARLGA251_01140
ko:K02042	suf:SARLGA251_01150
ko:K02041	suf:SARLGA251_01160
ko:K15581	suf:SARLGA251_09020
ko:K15580	suf:SARLGA251_09060
ko:K02034	suf:SARLGA251_09110
ko:K01867	suf:SARLGA251_09120
ko:K16511	suf:SARLGA251_09140
ko:K08602	suf:SARLGA251_09160
ko:K06886	suf:SARLGA251_09180
ko:K00858	suf:SARLGA251_09220
ko:K06180	suf:SARLGA251_09230
ko:K06213	suf:SARLGA251_09240
ko:K00208	suf:SARLGA251_09260
ko:K03310	suf:SARLGA251_09280
ko:K02837	suf:SARLGA251_09350
ko:K02250	suf:SARLGA251_09400
ko:K03800	suf:SARLGA251_09420
ko:K02003	suf:SARLGA251_09480
ko:K15977	suf:SARLGA251_09510
ko:K07002	suf:SARLGA251_17140
ko:K00231	suf:SARLGA251_17150
ko:K01772	suf:SARLGA251_17160
ko:K01599	suf:SARLGA251_17170
ko:K02503	suf:SARLGA251_17210
ko:K06180	suf:SARLGA251_17330
ko:K03216	suf:SARLGA251_17380
ko:K03319	suf:SARLGA251_24610
ko:K05786	suf:SARLGA251_24620
ko:K07241	suf:SARLGA251_24640
ko:K11631	suf:SARLGA251_24670
ko:K11632	suf:SARLGA251_24680
ko:K03704	suf:SARLGA251_24690
ko:K03501	suf:SARLGA251_24740
ko:K03495	suf:SARLGA251_24750
ko:K03650	suf:SARLGA251_24760
ko:K03536	suf:SARLGA251_24770
ko:K02914	suf:SARLGA251_24780
ko:K03070	suf:SARLGA251_06860
ko:K02836	suf:SARLGA251_06870
ko:K07023	suf:SARLGA251_06890
ko:K03702	suf:SARLGA251_06910
ko:K03701	suf:SARLGA251_06920
ko:K13292	suf:SARLGA251_06940
ko:K00384	suf:SARLGA251_06970
ko:K01358	suf:SARLGA251_07010
ko:K07071	suf:SARLGA251_07030
ko:K05311	suf:SARLGA251_07050
ko:K00134	suf:SARLGA251_07060
ko:K00927	suf:SARLGA251_07070
ko:K01803	suf:SARLGA251_07080
ko:K15633	suf:SARLGA251_07090
ko:K01689	suf:SARLGA251_07100
ko:K03075	suf:SARLGA251_07120
ko:K03928	suf:SARLGA251_07130
ko:K12573	suf:SARLGA251_07140
ko:K03664	suf:SARLGA251_07150
ko:K03704	suf:SARLGA251_07240
ko:K06895	suf:SARLGA251_07320
ko:K07160	suf:SARLGA251_15080
ko:K01961	suf:SARLGA251_15090
ko:K02160	suf:SARLGA251_15100
ko:K03624	suf:SARLGA251_15130
ko:K00876	suf:SARLGA251_15140
ko:K08303	suf:SARLGA251_15150
ko:K07447	suf:SARLGA251_15190
ko:K01872	suf:SARLGA251_15210
ko:K03581	suf:SARLGA251_15220
ko:K00566	suf:SARLGA251_15240
ko:K04487	suf:SARLGA251_15250
ko:K07478	suf:SARLGA251_15300
ko:K01876	suf:SARLGA251_15320
ko:K01892	suf:SARLGA251_15330
ko:K01448	suf:SARLGA251_15340
ko:K07560	suf:SARLGA251_15350
ko:K00759	suf:SARLGA251_15370
ko:K07462	suf:SARLGA251_15380
ko:K12257	suf:SARLGA251_15390
ko:K03210	suf:SARLGA251_15400
ko:K00773	suf:SARLGA251_15410
ko:K07568	suf:SARLGA251_15420
ko:K03551	suf:SARLGA251_15430
ko:K03550	suf:SARLGA251_15440
ko:K06209	suf:SARLGA251_15450
ko:K03979	suf:SARLGA251_15460
ko:K02899	suf:SARLGA251_15470
ko:K02888	suf:SARLGA251_15490
ko:K03571	suf:SARLGA251_15500
ko:K03570	suf:SARLGA251_15510
ko:K03630	suf:SARLGA251_15540
ko:K00963	suf:SARLGA251_22750
ko:K13732	suf:SARLGA251_22770
ko:K11476	suf:SARLGA251_22800
ko:K04041	suf:SARLGA251_22910
ko:K06999	suf:SARLGA251_22930
ko:K15975	suf:SARLGA251_22940
ko:K15973	suf:SARLGA251_22950
ko:K06975	suf:SARLGA251_22960
ko:K03778	suf:SARLGA251_22990
ko:K16917	suf:SARLGA251_23010
ko:K16916	suf:SARLGA251_23020
ko:K03823	suf:SARLGA251_23040
ko:K01752	suf:SARLGA251_23050
ko:K01752	suf:SARLGA251_23060
ko:K03785	suf:SARLGA251_07350
ko:K02437	suf:SARLGA251_07390
ko:K07476	suf:SARLGA251_07410
ko:K02071	suf:SARLGA251_07430
ko:K02072	suf:SARLGA251_07440
ko:K02073	suf:SARLGA251_07450
ko:K07727	suf:SARLGA251_07480
ko:K09013	suf:SARLGA251_07710
ko:K09015	suf:SARLGA251_07720
ko:K11717	suf:SARLGA251_07730
ko:K09014	suf:SARLGA251_07750
ko:K11754	suf:SARLGA251_15560
ko:K01873	suf:SARLGA251_15570
ko:K01246	suf:SARLGA251_15580
ko:K01845	suf:SARLGA251_15600
ko:K01698	suf:SARLGA251_15610
ko:K01749	suf:SARLGA251_15630
ko:K02497	suf:SARLGA251_15640
ko:K02492	suf:SARLGA251_15650
ko:K03978	suf:SARLGA251_15660
ko:K03544	suf:SARLGA251_15670
ko:K03545	suf:SARLGA251_15680
ko:K02887	suf:SARLGA251_15710
ko:K02916	suf:SARLGA251_15720
ko:K02520	suf:SARLGA251_15730
ko:K11733	suf:SARLGA251_15740
ko:K01868	suf:SARLGA251_15750
ko:K07738	suf:SARLGA251_15780
ko:K00134	suf:SARLGA251_15790
ko:K00859	suf:SARLGA251_15800
ko:K07636	suf:SARLGA251_15840
ko:K00031	suf:SARLGA251_15860
ko:K01647	suf:SARLGA251_15870
ko:K11737	suf:SARLGA251_15880
ko:K00873	suf:SARLGA251_15890
ko:K00850	suf:SARLGA251_15900
ko:K01962	suf:SARLGA251_15910
ko:K01963	suf:SARLGA251_15920
ko:K02337	suf:SARLGA251_15940
ko:K00259	suf:SARLGA251_16000
ko:K00925	suf:SARLGA251_16020
ko:K07107	suf:SARLGA251_23120
ko:K04759	suf:SARLGA251_23250
ko:K04758	suf:SARLGA251_23260
ko:K03778	suf:SARLGA251_23340
ko:K10208	suf:SARLGA251_23370
ko:K10211	suf:SARLGA251_23380
ko:K10210	suf:SARLGA251_23390
ko:K02313	suf:SARLGA251_00010
ko:K02338	suf:SARLGA251_00020
ko:K03629	suf:SARLGA251_00040
ko:K02470	suf:SARLGA251_00050
ko:K02469	suf:SARLGA251_00060
ko:K01745	suf:SARLGA251_00080
ko:K01875	suf:SARLGA251_00090
ko:K00459	suf:SARLGA251_08390
ko:K07090	suf:SARLGA251_08410
ko:K03644	suf:SARLGA251_08430
ko:K03367	suf:SARLGA251_08500
ko:K11065	suf:SARLGA251_16040
ko:K07090	suf:SARLGA251_16050
ko:K03151	suf:SARLGA251_16060
ko:K04487	suf:SARLGA251_16070
ko:K02986	suf:SARLGA251_16100
ko:K01126	suf:SARLGA251_16110
ko:K02803	suf:SARLGA251_16160
ko:K02804	suf:SARLGA251_16160
ko:K00655	suf:SARLGA251_16170
ko:K01866	suf:SARLGA251_16190
ko:K12551	suf:SARLGA251_16200
ko:K01938	suf:SARLGA251_16220
ko:K01895	suf:SARLGA251_16230
ko:K04766	suf:SARLGA251_16240
ko:K04768	suf:SARLGA251_16250
ko:K02529	suf:SARLGA251_16260
ko:K13853	suf:SARLGA251_16270
ko:K01924	suf:SARLGA251_16300
ko:K03466	suf:SARLGA251_16310
ko:K06878	suf:SARLGA251_16320
ko:K03439	suf:SARLGA251_16380
ko:K00824	suf:SARLGA251_16400
ko:K07007	suf:SARLGA251_16450
ko:K01869	suf:SARLGA251_16480
ko:K07139	suf:SARLGA251_16500
ko:K09765	suf:SARLGA251_23650
ko:K06978	suf:SARLGA251_23680
ko:K01579	suf:SARLGA251_23700
ko:K01918	suf:SARLGA251_23710
ko:K00606	suf:SARLGA251_23720
ko:K00077	suf:SARLGA251_23730
ko:K01575	suf:SARLGA251_23740
ko:K00823	suf:SARLGA251_23770
ko:K01623	suf:SARLGA251_23790
ko:K00116	suf:SARLGA251_23800
ko:K01895	suf:SARLGA251_23810
ko:K03300	suf:SARLGA251_23900
ko:K02304	suf:SARLGA251_23910
ko:K00432	suf:SARLGA251_23930
ko:K14192	suf:SARLGA251_24020
ko:K00926	suf:SARLGA251_24040
ko:K03758	suf:SARLGA251_24050
ko:K00611	suf:SARLGA251_24060
ko:K00641	suf:SARLGA251_00120
ko:K02939	suf:SARLGA251_00150
ko:K01939	suf:SARLGA251_00170
ko:K00783	suf:SARLGA251_00240
ko:K02003	suf:SARLGA251_00480
ko:K03893	suf:SARLGA251_00520
ko:K03427	suf:SARLGA251_00560
ko:K01154	suf:SARLGA251_00570
ko:K01153	suf:SARLGA251_00580
ko:K07090	suf:SARLGA251_00630
ko:K03739	suf:SARLGA251_08510
ko:K14188	suf:SARLGA251_08520
ko:K03740	suf:SARLGA251_08530
ko:K03885	suf:SARLGA251_08560
ko:K03885	suf:SARLGA251_08590
ko:K01255	suf:SARLGA251_08600
ko:K07084	suf:SARLGA251_08610
ko:K05571	suf:SARLGA251_08640
ko:K05569	suf:SARLGA251_08660
ko:K05567	suf:SARLGA251_08680
ko:K05566	suf:SARLGA251_08690
ko:K06347	suf:SARLGA251_08710
ko:K00260	suf:SARLGA251_08760
ko:K01126	suf:SARLGA251_08770
ko:K01755	suf:SARLGA251_08780
ko:K01940	suf:SARLGA251_08790
ko:K01810	suf:SARLGA251_08800
ko:K03100	suf:SARLGA251_08820
ko:K03100	suf:SARLGA251_08830
ko:K16898	suf:SARLGA251_08850
ko:K03695	suf:SARLGA251_08920
ko:K00648	suf:SARLGA251_09000
ko:K09458	suf:SARLGA251_09010
ko:K00318	suf:SARLGA251_16540
ko:K00794	suf:SARLGA251_16550
ko:K14652	suf:SARLGA251_16560
ko:K00793	suf:SARLGA251_16570
ko:K11752	suf:SARLGA251_16580
ko:K03893	suf:SARLGA251_16600
ko:K06199	suf:SARLGA251_16700
ko:K06199	suf:SARLGA251_16710
ko:K00789	suf:SARLGA251_16740
ko:K01610	suf:SARLGA251_16750
ko:K08998	suf:SARLGA251_16780
ko:K01911	suf:SARLGA251_16800
ko:K03427	suf:SARLGA251_16900
ko:K02768	suf:SARLGA251_24130
ko:K02769	suf:SARLGA251_24130
ko:K02770	suf:SARLGA251_24130
ko:K01809	suf:SARLGA251_24140
ko:K01421	suf:SARLGA251_24150
ko:K03070	suf:SARLGA251_24210
ko:K03076	suf:SARLGA251_24250
ko:K11936	suf:SARLGA251_24400
ko:K11755	suf:SARLGA251_24450
ko:K02500	suf:SARLGA251_24460
ko:K01814	suf:SARLGA251_24470
ko:K02501	suf:SARLGA251_24480
ko:K01693	suf:SARLGA251_24490
ko:K00817	suf:SARLGA251_24500
ko:K00013	suf:SARLGA251_24510
ko:K00765	suf:SARLGA251_24520
ko:K07146	suf:SARLGA251_24570
ko:K01304	suf:SARLGA251_24580
ko:K16925	suf:SARLGA251_09910
ko:K01980	suf:23S_rRNA-4
ko:K01980	suf:23S_rRNA-1
ko:K01980	suf:23S_rRNA-2
ko:K01980	suf:23S_rRNA-3
ko:K11070	suf:SARLGA251_10140
ko:K14229	suf:tRNA_14
ko:K14229	suf:tRNA_56
ko:K14229	suf:tRNA_37
ko:K14232	suf:tRNA_16
ko:K14232	suf:tRNA_44
ko:K02029	suf:SARLGA251_17410
ko:K02030	suf:SARLGA251_17410
ko:K01992	suf:SARLGA251_21230
ko:K07284	suf:SARLGA251_23030
ko:K01990	suf:SARLGA251_02410
ko:K01990	suf:SARLGA251_22890
ko:K01990	suf:SARLGA251_21240
ko:K01990	suf:SARLGA251_03130
ko:K01990	suf:SARLGA251_17200
ko:K01977	suf:16S_rRNA-1
ko:K01977	suf:16S_rRNA-3
ko:K01977	suf:16S_rRNA-4
ko:K01977	suf:16S_rRNA-2
ko:K01990	suf:SARLGA251_18170
ko:K01664	suf:SARLGA251_06460
ko:K14227	suf:tRNA_12
ko:K14227	suf:tRNA_21
ko:K01992	suf:SARLGA251_02420
ko:K01992	suf:SARLGA251_02430
ko:K01992	suf:SARLGA251_17190
ko:K01992	suf:SARLGA251_18140
ko:K02028	suf:SARLGA251_17400
ko:K17216	suf:SARLGA251_03930
ko:K17217	suf:SARLGA251_03940
ko:K03574	suf:SARLGA251_22710
ko:K17218	suf:SARLGA251_00670
ko:K00951	suf:SARLGA251_15360
ko:K00265	suf:SARLGA251_04050
ko:K01897	suf:SARLGA251_01980
ko:K14222	suf:tRNA_22
ko:K14230	suf:tRNA_49
ko:K14230	suf:tRNA_8
ko:K01990	suf:SARLGA251_18150
ko:K17472	suf:SARLGA251_15290
ko:K14228	suf:tRNA_52
ko:K14228	suf:tRNA_19
ko:K14221	suf:tRNA_41
ko:K14221	suf:tRNA_58
ko:K14221	suf:tRNA_42
ko:K14221	suf:tRNA_6
ko:K14233	suf:tRNA_34
ko:K14223	suf:tRNA_23
ko:K14223	suf:tRNA_57
ko:K14236	suf:tRNA_51
ko:K14225	suf:tRNA_25
ko:K14225	suf:tRNA_26
ko:K14228	suf:tRNA_55
ko:K01985	suf:5S_rRNA-1
ko:K01985	suf:5S_rRNA-2
ko:K01985	suf:5S_rRNA-3
ko:K01985	suf:5S_rRNA-5
ko:K01985	suf:5S_rRNA-4
ko:K17686	suf:SARLGA251_23320
ko:K01739	suf:SARLGA251_03210
ko:K14224	suf:tRNA_32
ko:K14224	suf:tRNA_9
ko:K14224	suf:tRNA_59
ko:K14219	suf:tRNA_20
ko:K14219	suf:tRNA_3
ko:K14219	suf:tRNA_17
ko:K14219	suf:tRNA_47
ko:K14225	suf:tRNA_35
ko:K14225	suf:tRNA_5
ko:K14225	suf:tRNA_15
ko:K14225	suf:tRNA_43
ko:K14226	suf:tRNA_10
ko:K14226	suf:tRNA_24
ko:K14231	suf:tRNA_46
ko:K14231	suf:tRNA_7
ko:K14230	suf:tRNA_40
ko:K14228	suf:tRNA_28
ko:K14218	suf:tRNA_13
ko:K14218	suf:tRNA_18
ko:K14218	suf:tRNA_50
ko:K14237	suf:tRNA_2
ko:K14237	suf:tRNA_45
ko:K14237	suf:tRNA_31
ko:K02547	suf:SARLGA251_00270
ko:K02546	suf:SARLGA251_00280
ko:K00226	suf:SARLGA251_23630
ko:K06518	suf:SARLGA251_23160
ko:K01791	suf:SARLGA251_01290
ko:K11928	suf:SARLGA251_17850
ko:K01658	suf:SARLGA251_12770
ko:K12574	suf:SARLGA251_10020
ko:K12574	suf:SARLGA251_11860
ko:K07979	suf:SARLGA251_18180
ko:K10212	suf:SARLGA251_23400
ko:K01791	suf:SARLGA251_01380
ko:K14233	suf:tRNA_54
ko:K14233	suf:tRNA_60
ko:K14233	suf:tRNA_53
ko:K14233	suf:tRNA_11
ko:K14234	suf:tRNA_1
ko:K14234	suf:tRNA_39
ko:K14234	suf:tRNA_38
ko:K14220	suf:tRNA_30
ko:K14220	suf:tRNA_4
ko:K14220	suf:tRNA_33
ko:K14235	suf:tRNA_27
ko:K14230	suf:tRNA_48
ko:K14228	suf:tRNA_36
ko:K01187	suf:SARLGA251_14150
ko:K01791	suf:SARLGA251_19120
ko:K02755	suf:SARLGA251_02300
ko:K19080	suf:SARLGA251_05950
ko:K18104	suf:SARLGA251_05770
ko:K02479	suf:SARLGA251_17310
ko:K08168	suf:SARLGA251_01110
ko:K14204	suf:SARLGA251_18210
ko:K03293	suf:SARLGA251_12420
ko:K01271	suf:SARLGA251_15990
ko:K00130	suf:SARLGA251_23850
ko:K07741	suf:SARLGA251_07820
ko:K02031	suf:SARLGA251_01700
ko:K02032	suf:SARLGA251_01700
ko:K02809	suf:SARLGA251_01630
ko:K02810	suf:SARLGA251_01630
ko:K02809	suf:SARLGA251_21630
ko:K02810	suf:SARLGA251_21630
ko:K03366	suf:SARLGA251_01020
ko:K00008	suf:SARLGA251_02140
ko:K07145	suf:SARLGA251_10480
ko:K22580	suf:SARLGA251_09710
ko:K01046	suf:SARLGA251_02820
ko:K00632	suf:SARLGA251_01950
ko:K01046	suf:SARLGA251_24440
ko:K21461	suf:SARLGA251_24410
ko:K21462	suf:SARLGA251_24430
ko:K21463	suf:SARLGA251_21380
ko:K00008	suf:SARLGA251_02120
ko:K08255	suf:SARLGA251_08880
ko:K07483	suf:SARLGA251_03540
ko:K07705	suf:SARLGA251_02250
ko:K00681	suf:SARLGA251_01740
ko:K04749	suf:SARLGA251_18690
