ko:K07497	setu:STU288_14015
ko:K08301	setu:STU288_17075
ko:K06287	setu:STU288_17080
ko:K03571	setu:STU288_17085
ko:K03570	setu:STU288_17090
ko:K03569	setu:STU288_17095
ko:K03551	setu:STU288_05875
ko:K03550	setu:STU288_05880
ko:K01159	setu:STU288_05900
ko:K08310	setu:STU288_05910
ko:K01876	setu:STU288_05915
ko:K07136	setu:STU288_05930
ko:K15256	setu:STU288_05935
ko:K15257	setu:STU288_05940
ko:K09907	setu:STU288_05950
ko:K01887	setu:STU288_05955
ko:K05515	setu:STU288_05960
ko:K15532	setu:STU288_05965
ko:K03516	setu:STU288_05970
ko:K02400	setu:STU288_05975
ko:K02401	setu:STU288_05980
ko:K03414	setu:STU288_05985
ko:K03413	setu:STU288_05990
ko:K03412	setu:STU288_05995
ko:K03408	setu:STU288_06010
ko:K03407	setu:STU288_06015
ko:K02557	setu:STU288_06020
ko:K02556	setu:STU288_06025
ko:K02402	setu:STU288_06030
ko:K02403	setu:STU288_06035
ko:K14064	setu:STU288_06040
ko:K00697	setu:STU288_06045
ko:K01087	setu:STU288_06050
ko:K02255	setu:STU288_06065
ko:K02217	setu:STU288_06080
ko:K03834	setu:STU288_06090
ko:K07039	setu:STU288_06095
ko:K00995	setu:STU288_06115
ko:K11537	setu:STU288_08470
ko:K03815	setu:STU288_08475
ko:K14347	setu:STU288_08490
ko:K09954	setu:STU288_08495
ko:K01972	setu:STU288_08500
ko:K03528	setu:STU288_08505
ko:K06203	setu:STU288_08510
ko:K01738	setu:STU288_08515
ko:K00868	setu:STU288_08545
ko:K01951	setu:STU288_08555
ko:K12339	setu:STU288_08570
ko:K02045	setu:STU288_08575
ko:K02047	setu:STU288_08580
ko:K02046	setu:STU288_08585
ko:K02048	setu:STU288_08590
ko:K07223	setu:STU288_08600
ko:K01448	setu:STU288_08620
ko:K00228	setu:STU288_08625
ko:K04033	setu:STU288_08640
ko:K04025	setu:STU288_08645
ko:K04026	setu:STU288_08650
ko:K03736	setu:STU288_08655
ko:K03735	setu:STU288_08660
ko:K04019	setu:STU288_08665
ko:K04023	setu:STU288_08670
ko:K04022	setu:STU288_08675
ko:K04024	setu:STU288_08680
ko:K04021	setu:STU288_08685
ko:K11924	setu:STU288_10235
ko:K11934	setu:STU288_10250
ko:K11939	setu:STU288_10255
ko:K04047	setu:STU288_10260
ko:K10036	setu:STU288_10265
ko:K10037	setu:STU288_10270
ko:K11927	setu:STU288_10310
ko:K01993	setu:STU288_10320
ko:K06890	setu:STU288_10370
ko:K06890	setu:STU288_10375
ko:K03636	setu:STU288_10385
ko:K03637	setu:STU288_10390
ko:K03638	setu:STU288_10395
ko:K03639	setu:STU288_10400
ko:K03702	setu:STU288_10415
ko:K01935	setu:STU288_10425
ko:K02169	setu:STU288_10430
ko:K01012	setu:STU288_10440
ko:K00833	setu:STU288_10445
ko:K01745	setu:STU288_10455
ko:K05306	setu:STU288_12220
ko:K03430	setu:STU288_12225
ko:K11081	setu:STU288_12235
ko:K11084	setu:STU288_12240
ko:K11083	setu:STU288_12245
ko:K11082	setu:STU288_12250
ko:K03151	setu:STU288_12255
ko:K03602	setu:STU288_12260
ko:K00795	setu:STU288_12265
ko:K01662	setu:STU288_12270
ko:K01095	setu:STU288_12280
ko:K00946	setu:STU288_12285
ko:K03625	setu:STU288_12290
ko:K00794	setu:STU288_12295
ko:K11752	setu:STU288_12300
ko:K07738	setu:STU288_12305
ko:K05517	setu:STU288_12315
ko:K06996	setu:STU288_12335
ko:K03074	setu:STU288_12340
ko:K03072	setu:STU288_12345
ko:K03210	setu:STU288_12350
ko:K00773	setu:STU288_12355
ko:K07568	setu:STU288_12360
ko:K08682	setu:STU288_12365
ko:K11736	setu:STU288_12380
ko:K03311	setu:STU288_12385
ko:K07636	setu:STU288_12390
ko:K03547	setu:STU288_12405
ko:K00847	setu:STU288_12425
ko:K03554	setu:STU288_12430
ko:K09913	setu:STU288_12435
ko:K14591	setu:STU288_12440
ko:K00891	setu:STU288_12450
ko:K09768	setu:STU288_12455
ko:K00286	setu:STU288_12460
ko:K02078	setu:STU288_14560
ko:K03225	setu:STU288_14610
ko:K03230	setu:STU288_14635
ko:K07314	setu:STU288_14690
ko:K03555	setu:STU288_14700
ko:K03186	setu:STU288_14760
ko:K06194	setu:STU288_14780
ko:K00573	setu:STU288_14785
ko:K03787	setu:STU288_14790
ko:K06176	setu:STU288_14795
ko:K02160	setu:STU288_17120
ko:K01961	setu:STU288_17125
ko:K14392	setu:STU288_17135
ko:K02687	setu:STU288_17140
ko:K03557	setu:STU288_17150
ko:K00014	setu:STU288_17205
ko:K07566	setu:STU288_17210
ko:K07479	setu:STU288_17215
ko:K04096	setu:STU288_17225
ko:K01462	setu:STU288_17230
ko:K00604	setu:STU288_17235
ko:K03500	setu:STU288_17240
ko:K03282	setu:STU288_17250
ko:K09890	setu:STU288_17255
ko:K02879	setu:STU288_17270
ko:K03040	setu:STU288_17275
ko:K02986	setu:STU288_17280
ko:K02948	setu:STU288_17285
ko:K02952	setu:STU288_17290
ko:K02919	setu:STU288_17295
ko:K03076	setu:STU288_17300
ko:K02876	setu:STU288_17305
ko:K02907	setu:STU288_17310
ko:K02988	setu:STU288_17315
ko:K02881	setu:STU288_17320
ko:K02933	setu:STU288_17325
ko:K02994	setu:STU288_17330
ko:K02954	setu:STU288_17335
ko:K03703	setu:STU288_06120
ko:K07689	setu:STU288_06125
ko:K10010	setu:STU288_06145
ko:K10009	setu:STU288_06150
ko:K02424	setu:STU288_06160
ko:K02425	setu:STU288_06165
ko:K02405	setu:STU288_06170
ko:K02406	setu:STU288_06185
ko:K02407	setu:STU288_06190
ko:K02422	setu:STU288_06195
ko:K02423	setu:STU288_06200
ko:K07112	setu:STU288_06215
ko:K02408	setu:STU288_06230
ko:K02409	setu:STU288_06235
ko:K02410	setu:STU288_06240
ko:K02411	setu:STU288_06245
ko:K02412	setu:STU288_06250
ko:K02413	setu:STU288_06255
ko:K02415	setu:STU288_06265
ko:K02416	setu:STU288_06270
ko:K02417	setu:STU288_06275
ko:K02418	setu:STU288_06280
ko:K02419	setu:STU288_06285
ko:K02420	setu:STU288_06290
ko:K02421	setu:STU288_06295
ko:K07781	setu:STU288_06300
ko:K07026	setu:STU288_06315
ko:K09781	setu:STU288_06330
ko:K07458	setu:STU288_06340
ko:K06950	setu:STU288_06350
ko:K03704	setu:STU288_06370
ko:K04027	setu:STU288_08695
ko:K04020	setu:STU288_08700
ko:K04032	setu:STU288_08705
ko:K04030	setu:STU288_08710
ko:K04029	setu:STU288_08715
ko:K04031	setu:STU288_08720
ko:K00029	setu:STU288_08725
ko:K00615	setu:STU288_08735
ko:K12945	setu:STU288_08750
ko:K07674	setu:STU288_08765
ko:K06957	setu:STU288_08790
ko:K01923	setu:STU288_08800
ko:K07287	setu:STU288_08805
ko:K01714	setu:STU288_08810
ko:K03567	setu:STU288_08815
ko:K03564	setu:STU288_08820
ko:K10763	setu:STU288_08845
ko:K00761	setu:STU288_08855
ko:K01933	setu:STU288_08860
ko:K11175	setu:STU288_08865
ko:K00937	setu:STU288_08870
ko:K01524	setu:STU288_08875
ko:K01951	setu:STU288_08900
ko:K03601	setu:STU288_08910
ko:K13735	setu:STU288_08940
ko:K05836	setu:STU288_10470
ko:K01468	setu:STU288_10480
ko:K01051	setu:STU288_10485
ko:K02018	setu:STU288_10505
ko:K02020	setu:STU288_10510
ko:K02019	setu:STU288_10520
ko:K05776	setu:STU288_10525
ko:K00965	setu:STU288_10540
ko:K00849	setu:STU288_10545
ko:K02013	setu:STU288_10560
ko:K02015	setu:STU288_10565
ko:K01573	setu:STU288_10595
ko:K01677	setu:STU288_10615
ko:K01678	setu:STU288_10620
ko:K01626	setu:STU288_10625
ko:K16264	setu:STU288_10635
ko:K03811	setu:STU288_10640
ko:K03517	setu:STU288_10645
ko:K03640	setu:STU288_10655
ko:K03641	setu:STU288_10660
ko:K03562	setu:STU288_10675
ko:K07107	setu:STU288_10680
ko:K01921	setu:STU288_12490
ko:K01698	setu:STU288_12530
ko:K01908	setu:STU288_12535
ko:K01720	setu:STU288_12540
ko:K02688	setu:STU288_12555
ko:K03329	setu:STU288_12565
ko:K00426	setu:STU288_12585
ko:K00425	setu:STU288_12590
ko:K01649	setu:STU288_00565
ko:K05798	setu:STU288_00575
ko:K01652	setu:STU288_00580
ko:K01653	setu:STU288_00585
ko:K03435	setu:STU288_00590
ko:K03925	setu:STU288_00595
ko:K03438	setu:STU288_00600
ko:K03586	setu:STU288_00605
ko:K03587	setu:STU288_00610
ko:K01928	setu:STU288_00615
ko:K01929	setu:STU288_00620
ko:K01000	setu:STU288_00625
ko:K01925	setu:STU288_00630
ko:K03588	setu:STU288_00635
ko:K02563	setu:STU288_00640
ko:K01924	setu:STU288_00645
ko:K01921	setu:STU288_00650
ko:K03589	setu:STU288_00655
ko:K03590	setu:STU288_00660
ko:K03531	setu:STU288_00665
ko:K02535	setu:STU288_00670
ko:K13301	setu:STU288_00675
ko:K03070	setu:STU288_00680
ko:K09862	setu:STU288_00700
ko:K00859	setu:STU288_00710
ko:K00364	setu:STU288_00715
ko:K02505	setu:STU288_00720
ko:K02504	setu:STU288_00725
ko:K02682	setu:STU288_00730
ko:K00767	setu:STU288_00735
ko:K03806	setu:STU288_00740
ko:K03807	setu:STU288_00745
ko:K11734	setu:STU288_00760
ko:K00163	setu:STU288_00770
ko:K00627	setu:STU288_00775
ko:K00872	setu:STU288_00010
ko:K01733	setu:STU288_00015
ko:K09861	setu:STU288_00020
ko:K03310	setu:STU288_00025
ko:K03831	setu:STU288_00035
ko:K04043	setu:STU288_00055
ko:K03686	setu:STU288_00060
ko:K07347	setu:STU288_00110
ko:K06871	setu:STU288_00180
ko:K03313	setu:STU288_00195
ko:K03717	setu:STU288_00200
ko:K01811	setu:STU288_00205
ko:K02968	setu:STU288_00215
ko:K11753	setu:STU288_00225
ko:K01870	setu:STU288_00230
ko:K03101	setu:STU288_00235
ko:K03774	setu:STU288_00240
ko:K03527	setu:STU288_00245
ko:K12524	setu:STU288_00005
ko:K12700	setu:STU288_00255
ko:K07702	setu:STU288_00260
ko:K07700	setu:STU288_00265
ko:K00382	setu:STU288_00780
ko:K05921	setu:STU288_01835
ko:K00455	setu:STU288_01845
ko:K02509	setu:STU288_01855
ko:K02511	setu:STU288_01865
ko:K02508	setu:STU288_01870
ko:K05516	setu:STU288_01895
ko:K01085	setu:STU288_01920
ko:K03809	setu:STU288_01930
ko:K13821	setu:STU288_01945
ko:K12972	setu:STU288_02005
ko:K06214	setu:STU288_02025
ko:K04338	setu:STU288_02030
ko:K04337	setu:STU288_02035
ko:K04335	setu:STU288_02045
ko:K04334	setu:STU288_02050
ko:K04336	setu:STU288_02055
ko:K11941	setu:STU288_02075
ko:K03670	setu:STU288_02080
ko:K03669	setu:STU288_02085
ko:K12147	setu:STU288_02095
ko:K02517	setu:STU288_02105
ko:K07146	setu:STU288_02110
ko:K02846	setu:STU288_02130
ko:K12148	setu:STU288_02135
ko:K12149	setu:STU288_02140
ko:K01465	setu:STU288_02145
ko:K03675	setu:STU288_02155
ko:K10011	setu:STU288_07870
ko:K13014	setu:STU288_07875
ko:K07264	setu:STU288_07880
ko:K12962	setu:STU288_07885
ko:K12963	setu:STU288_07890
ko:K01911	setu:STU288_07900
ko:K01661	setu:STU288_07910
ko:K02551	setu:STU288_07920
ko:K05594	setu:STU288_07930
ko:K03415	setu:STU288_07945
ko:K00763	setu:STU288_09580
ko:K03310	setu:STU288_09585
ko:K01751	setu:STU288_09590
ko:K01893	setu:STU288_09605
ko:K03632	setu:STU288_09635
ko:K03804	setu:STU288_09640
ko:K03633	setu:STU288_09645
ko:K06219	setu:STU288_09650
ko:K00979	setu:STU288_09665
ko:K09791	setu:STU288_09670
ko:K09927	setu:STU288_09675
ko:K00912	setu:STU288_09680
ko:K05788	setu:STU288_09695
ko:K02945	setu:STU288_09700
ko:K00945	setu:STU288_09705
ko:K02362	setu:STU288_11455
ko:K06048	setu:STU288_11460
ko:K10679	setu:STU288_11485
ko:K12686	setu:STU288_11525
ko:K16053	setu:STU288_11530
ko:K11732	setu:STU288_11535
ko:K07644	setu:STU288_11570
ko:K08088	setu:STU288_11620
ko:K07688	setu:STU288_11625
ko:K07348	setu:STU288_11630
ko:K07350	setu:STU288_11635
ko:K07347	setu:STU288_11640
ko:K07351	setu:STU288_11650
ko:K07345	setu:STU288_11655
ko:K01491	setu:STU288_11660
ko:K07038	setu:STU288_11670
ko:K01883	setu:STU288_11685
ko:K02781	setu:STU288_13920
ko:K08094	setu:STU288_13945
ko:K06859	setu:STU288_13950
ko:K02406	setu:STU288_14030
ko:K15977	setu:STU288_16370
ko:K06911	setu:STU288_16390
ko:K01752	setu:STU288_16410
ko:K00656	setu:STU288_16415
ko:K03838	setu:STU288_16425
ko:K01754	setu:STU288_16430
ko:K07592	setu:STU288_16435
ko:K00865	setu:STU288_16440
ko:K02769	setu:STU288_16480
ko:K02770	setu:STU288_16480
ko:K16371	setu:STU288_16490
ko:K02773	setu:STU288_16495
ko:K02774	setu:STU288_16500
ko:K07056	setu:STU288_16520
ko:K07121	setu:STU288_16525
ko:K07460	setu:STU288_16530
ko:K05520	setu:STU288_16550
ko:K09979	setu:STU288_16555
ko:K07461	setu:STU288_16560
ko:K03824	setu:STU288_16565
ko:K08303	setu:STU288_16575
ko:K03835	setu:STU288_16600
ko:K05592	setu:STU288_16605
ko:K00343	setu:STU288_07965
ko:K00342	setu:STU288_07970
ko:K00341	setu:STU288_07975
ko:K00340	setu:STU288_07980
ko:K00339	setu:STU288_07985
ko:K00338	setu:STU288_07990
ko:K00337	setu:STU288_07995
ko:K00334	setu:STU288_08010
ko:K13378	setu:STU288_08015
ko:K00331	setu:STU288_08020
ko:K00330	setu:STU288_08025
ko:K14260	setu:STU288_08035
ko:K09161	setu:STU288_08055
ko:K09899	setu:STU288_08060
ko:K00925	setu:STU288_08065
ko:K13788	setu:STU288_08070
ko:K00615	setu:STU288_08080
ko:K00615	setu:STU288_08085
ko:K07095	setu:STU288_08120
ko:K07071	setu:STU288_08135
ko:K10017	setu:STU288_08140
ko:K10015	setu:STU288_08145
ko:K10016	setu:STU288_08150
ko:K10013	setu:STU288_08160
ko:K03186	setu:STU288_08165
ko:K01586	setu:STU288_08185
ko:K06714	setu:STU288_08190
ko:K00764	setu:STU288_08195
ko:K03558	setu:STU288_08200
ko:K03749	setu:STU288_08205
ko:K07387	setu:STU288_09710
ko:K00800	setu:STU288_09715
ko:K00831	setu:STU288_09720
ko:K09136	setu:STU288_09730
ko:K00656	setu:STU288_09740
ko:K04069	setu:STU288_09755
ko:K08219	setu:STU288_09765
ko:K07306	setu:STU288_09780
ko:K01875	setu:STU288_09785
ko:K07478	setu:STU288_09790
ko:K03634	setu:STU288_09795
ko:K03466	setu:STU288_09800
ko:K00384	setu:STU288_09810
ko:K00684	setu:STU288_09825
ko:K02518	setu:STU288_09830
ko:K06911	setu:STU288_09840
ko:K03694	setu:STU288_09865
ko:K06891	setu:STU288_09870
ko:K03704	setu:STU288_09875
ko:K05685	setu:STU288_09880
ko:K13888	setu:STU288_09885
ko:K09824	setu:STU288_09890
ko:K11933	setu:STU288_09910
ko:K00156	setu:STU288_09915
ko:K01620	setu:STU288_09920
ko:K11066	setu:STU288_09935
ko:K09997	setu:STU288_09955
ko:K03269	setu:STU288_11695
ko:K01588	setu:STU288_11700
ko:K01589	setu:STU288_11705
ko:K00926	setu:STU288_11710
ko:K02083	setu:STU288_11735
ko:K14977	setu:STU288_11740
ko:K00865	setu:STU288_11745
ko:K10975	setu:STU288_11760
ko:K01608	setu:STU288_11780
ko:K10973	setu:STU288_11785
ko:K01483	setu:STU288_11790
ko:K10972	setu:STU288_11795
ko:K06917	setu:STU288_11800
ko:K02072	setu:STU288_11805
ko:K02071	setu:STU288_11810
ko:K02073	setu:STU288_11815
ko:K02003	setu:STU288_11835
ko:K10804	setu:STU288_11840
ko:K05838	setu:STU288_11850
ko:K02069	setu:STU288_11855
ko:K02068	setu:STU288_11860
ko:K07340	setu:STU288_11870
ko:K09973	setu:STU288_11890
ko:K08223	setu:STU288_11905
ko:K00892	setu:STU288_11920
ko:K01772	setu:STU288_11930
ko:K04079	setu:STU288_11945
ko:K11073	setu:STU288_10015
ko:K03782	setu:STU288_20690
ko:K09974	setu:STU288_20695
ko:K00005	setu:STU288_20700
ko:K08483	setu:STU288_20710
ko:K11189	setu:STU288_20710
ko:K11201	setu:STU288_20710
ko:K11203	setu:STU288_20715
ko:K11202	setu:STU288_20720
ko:K00656	setu:STU288_20725
ko:K04069	setu:STU288_20730
ko:K11202	setu:STU288_20735
ko:K01595	setu:STU288_20750
ko:K01438	setu:STU288_20755
ko:K00145	setu:STU288_20760
ko:K00930	setu:STU288_20765
ko:K01755	setu:STU288_20770
ko:K04761	setu:STU288_20775
ko:K00322	setu:STU288_20780
ko:K16092	setu:STU288_20800
ko:K01776	setu:STU288_20805
ko:K00075	setu:STU288_20810
ko:K03524	setu:STU288_20815
ko:K02358	setu:STU288_20825
ko:K03073	setu:STU288_20830
ko:K02601	setu:STU288_20835
ko:K02867	setu:STU288_20840
ko:K02863	setu:STU288_20845
ko:K02864	setu:STU288_20850
ko:K02935	setu:STU288_20855
ko:K03043	setu:STU288_20860
ko:K03046	setu:STU288_20865
ko:K03150	setu:STU288_20900
ko:K03149	setu:STU288_20905
ko:K03154	setu:STU288_20910
ko:K00788	setu:STU288_20920
ko:K03147	setu:STU288_20925
ko:K07740	setu:STU288_20930
ko:K03426	setu:STU288_20935
ko:K01599	setu:STU288_20940
ko:K05982	setu:STU288_20945
ko:K09891	setu:STU288_20950
ko:K05787	setu:STU288_20955
ko:K07803	setu:STU288_20965
ko:K01945	setu:STU288_20980
ko:K00602	setu:STU288_20985
ko:K03827	setu:STU288_20990
ko:K00651	setu:STU288_20995
ko:K01638	setu:STU288_21000
ko:K01637	setu:STU288_21005
ko:K00906	setu:STU288_21010
ko:K03324	setu:STU288_21030
ko:K05995	setu:STU288_21035
ko:K09912	setu:STU288_21040
ko:K06182	setu:STU288_21045
ko:K03453	setu:STU288_21055
ko:K07685	setu:STU288_07605
ko:K02199	setu:STU288_07615
ko:K02198	setu:STU288_07620
ko:K02197	setu:STU288_07625
ko:K02196	setu:STU288_07630
ko:K02195	setu:STU288_07635
ko:K02194	setu:STU288_07640
ko:K02568	setu:STU288_07655
ko:K02573	setu:STU288_07665
ko:K02567	setu:STU288_07670
ko:K02570	setu:STU288_07675
ko:K13631	setu:STU288_21410
ko:K13639	setu:STU288_21415
ko:K06901	setu:STU288_21425
ko:K14393	setu:STU288_21455
ko:K01895	setu:STU288_21465
ko:K03385	setu:STU288_21470
ko:K04013	setu:STU288_21475
ko:K04014	setu:STU288_21480
ko:K04016	setu:STU288_21490
ko:K11102	setu:STU288_21500
ko:K09994	setu:STU288_21525
ko:K06193	setu:STU288_21535
ko:K03762	setu:STU288_21540
ko:K07643	setu:STU288_21550
ko:K07771	setu:STU288_21555
ko:K03760	setu:STU288_21560
ko:K03759	setu:STU288_21565
ko:K03755	setu:STU288_21570
ko:K01584	setu:STU288_21575
ko:K07406	setu:STU288_21585
ko:K01676	setu:STU288_21595
ko:K07703	setu:STU288_21605
ko:K07701	setu:STU288_21610
ko:K07306	setu:STU288_21615
ko:K09474	setu:STU288_21685
ko:K04084	setu:STU288_21710
ko:K03926	setu:STU288_21715
ko:K07791	setu:STU288_21720
ko:K01744	setu:STU288_21725
ko:K07113	setu:STU288_21730
ko:K16263	setu:STU288_21735
ko:K04078	setu:STU288_21740
ko:K04077	setu:STU288_21745
ko:K02356	setu:STU288_21765
ko:K16347	setu:STU288_21770
ko:K16348	setu:STU288_21775
ko:K03098	setu:STU288_21790
ko:K00246	setu:STU288_21800
ko:K04568	setu:STU288_21815
ko:K01613	setu:STU288_21835
ko:K06949	setu:STU288_21840
ko:K13288	setu:STU288_21845
ko:K09996	setu:STU288_21850
ko:K06925	setu:STU288_21865
ko:K01448	setu:STU288_21870
ko:K03572	setu:STU288_21875
ko:K00791	setu:STU288_21880
ko:K03666	setu:STU288_21885
ko:K03665	setu:STU288_21890
ko:K04088	setu:STU288_21895
ko:K04087	setu:STU288_21900
ko:K09937	setu:STU288_21905
ko:K03337	setu:STU288_22175
ko:K00140	setu:STU288_22180
ko:K03335	setu:STU288_22190
ko:K07345	setu:STU288_12695
ko:K07347	setu:STU288_12705
ko:K01770	setu:STU288_14800
ko:K00991	setu:STU288_14805
ko:K05589	setu:STU288_14810
ko:K00860	setu:STU288_14825
ko:K00957	setu:STU288_14835
ko:K09612	setu:STU288_14840
ko:K15342	setu:STU288_14850
ko:K00390	setu:STU288_14890
ko:K00381	setu:STU288_14895
ko:K01737	setu:STU288_14905
ko:K10026	setu:STU288_14925
ko:K01689	setu:STU288_14930
ko:K01937	setu:STU288_14935
ko:K03215	setu:STU288_14965
ko:K07678	setu:STU288_14970
ko:K00865	setu:STU288_14975
ko:K01706	setu:STU288_14980
ko:K13918	setu:STU288_14985
ko:K06175	setu:STU288_15000
ko:K15723	setu:STU288_15010
ko:K06879	setu:STU288_15015
ko:K06966	setu:STU288_15020
ko:K03837	setu:STU288_15025
ko:K01752	setu:STU288_15030
ko:K01146	setu:STU288_15035
ko:K00048	setu:STU288_15040
ko:K01628	setu:STU288_15045
ko:K02429	setu:STU288_15050
ko:K01818	setu:STU288_15055
ko:K02931	setu:STU288_17340
ko:K02895	setu:STU288_17345
ko:K02874	setu:STU288_17350
ko:K02961	setu:STU288_17355
ko:K02904	setu:STU288_17360
ko:K02878	setu:STU288_17365
ko:K02982	setu:STU288_17370
ko:K02890	setu:STU288_17375
ko:K02965	setu:STU288_17380
ko:K02886	setu:STU288_17385
ko:K02892	setu:STU288_17390
ko:K02926	setu:STU288_17395
ko:K02906	setu:STU288_17400
ko:K02946	setu:STU288_17405
ko:K03594	setu:STU288_17415
ko:K02192	setu:STU288_17420
ko:K02358	setu:STU288_17430
ko:K02355	setu:STU288_17435
ko:K02992	setu:STU288_17440
ko:K07237	setu:STU288_17445
ko:K07236	setu:STU288_17450
ko:K07235	setu:STU288_17455
ko:K03745	setu:STU288_17470
ko:K03775	setu:STU288_17475
ko:K07070	setu:STU288_17480
ko:K06158	setu:STU288_17495
ko:K00855	setu:STU288_17520
ko:K07397	setu:STU288_17525
ko:K04095	setu:STU288_17550
ko:K06141	setu:STU288_17565
ko:K00362	setu:STU288_17570
ko:K00363	setu:STU288_17575
ko:K02598	setu:STU288_17580
ko:K02302	setu:STU288_17585
ko:K12516	setu:STU288_17590
ko:K09933	setu:STU288_06390
ko:K01241	setu:STU288_06450
ko:K00768	setu:STU288_06470
ko:K02233	setu:STU288_06475
ko:K02231	setu:STU288_06480
ko:K02232	setu:STU288_06485
ko:K02006	setu:STU288_06490
ko:K02008	setu:STU288_06495
ko:K02007	setu:STU288_06505
ko:K03394	setu:STU288_06510
ko:K05895	setu:STU288_06520
ko:K02189	setu:STU288_06530
ko:K05936	setu:STU288_06535
ko:K02191	setu:STU288_06540
ko:K02188	setu:STU288_06550
ko:K06042	setu:STU288_06555
ko:K02227	setu:STU288_06560
ko:K02224	setu:STU288_06565
ko:K13919	setu:STU288_06595
ko:K13920	setu:STU288_06600
ko:K03977	setu:STU288_08950
ko:K01892	setu:STU288_08965
ko:K15539	setu:STU288_08975
ko:K06941	setu:STU288_08980
ko:K00940	setu:STU288_08985
ko:K07306	setu:STU288_09005
ko:K05367	setu:STU288_09010
ko:K06894	setu:STU288_09015
ko:K07751	setu:STU288_09040
ko:K04755	setu:STU288_09050
ko:K04044	setu:STU288_09055
ko:K04082	setu:STU288_09060
ko:K04487	setu:STU288_09075
ko:K13643	setu:STU288_09080
ko:K15396	setu:STU288_09085
ko:K05820	setu:STU288_09130
ko:K00600	setu:STU288_09135
ko:K05916	setu:STU288_09140
ko:K03765	setu:STU288_09145
ko:K03305	setu:STU288_09160
ko:K04751	setu:STU288_09165
ko:K07715	setu:STU288_09170
ko:K07711	setu:STU288_09180
ko:K01952	setu:STU288_09185
ko:K00426	setu:STU288_10700
ko:K00425	setu:STU288_10705
ko:K01902	setu:STU288_10715
ko:K01903	setu:STU288_10720
ko:K00658	setu:STU288_10725
ko:K00164	setu:STU288_10730
ko:K00240	setu:STU288_10735
ko:K00239	setu:STU288_10740
ko:K00242	setu:STU288_10745
ko:K01647	setu:STU288_10755
ko:K07357	setu:STU288_10820
ko:K07160	setu:STU288_10830
ko:K03305	setu:STU288_10850
ko:K01669	setu:STU288_10855
ko:K01546	setu:STU288_10870
ko:K01547	setu:STU288_10875
ko:K01548	setu:STU288_10880
ko:K07646	setu:STU288_10885
ko:K07667	setu:STU288_10890
ko:K01581	setu:STU288_10900
ko:K03645	setu:STU288_10920
ko:K03839	setu:STU288_10935
ko:K13794	setu:STU288_10945
ko:K01704	setu:STU288_12745
ko:K01703	setu:STU288_12750
ko:K02431	setu:STU288_15065
ko:K02430	setu:STU288_15070
ko:K06968	setu:STU288_15075
ko:K01766	setu:STU288_15095
ko:K02426	setu:STU288_15100
ko:K08304	setu:STU288_15115
ko:K01448	setu:STU288_15120
ko:K14682	setu:STU288_15125
ko:K03581	setu:STU288_15130
ko:K03582	setu:STU288_15135
ko:K01407	setu:STU288_15140
ko:K03583	setu:STU288_15145
ko:K02681	setu:STU288_15150
ko:K02680	setu:STU288_15160
ko:K02679	setu:STU288_15165
ko:K13292	setu:STU288_15175
ko:K08484	setu:STU288_15180
ko:K08311	setu:STU288_15185
ko:K03573	setu:STU288_15190
ko:K08227	setu:STU288_15210
ko:K05939	setu:STU288_15215
ko:K02529	setu:STU288_15220
ko:K01586	setu:STU288_15230
ko:K01815	setu:STU288_15255
ko:K01867	setu:STU288_17605
ko:K01091	setu:STU288_17610
ko:K01783	setu:STU288_17615
ko:K03112	setu:STU288_17625
ko:K01735	setu:STU288_17630
ko:K00891	setu:STU288_17635
ko:K02063	setu:STU288_00530
ko:K02064	setu:STU288_00535
ko:K11925	setu:STU288_00540
ko:K01704	setu:STU288_00550
ko:K01703	setu:STU288_00555
ko:K00052	setu:STU288_00560
ko:K08162	setu:STU288_02160
ko:K03790	setu:STU288_02165
ko:K09915	setu:STU288_02170
ko:K03980	setu:STU288_02180
ko:K02399	setu:STU288_02185
ko:K02398	setu:STU288_02190
ko:K02386	setu:STU288_02195
ko:K02387	setu:STU288_02200
ko:K02388	setu:STU288_02205
ko:K02389	setu:STU288_02210
ko:K02390	setu:STU288_02215
ko:K02391	setu:STU288_02220
ko:K02392	setu:STU288_02225
ko:K02393	setu:STU288_02230
ko:K02394	setu:STU288_02235
ko:K02395	setu:STU288_02240
ko:K02396	setu:STU288_02245
ko:K02397	setu:STU288_02250
ko:K08300	setu:STU288_02255
ko:K07040	setu:STU288_02280
ko:K02911	setu:STU288_02285
ko:K03621	setu:STU288_02290
ko:K00648	setu:STU288_02295
ko:K00645	setu:STU288_02300
ko:K02078	setu:STU288_02310
ko:K09458	setu:STU288_02315
ko:K00943	setu:STU288_02330
ko:K02341	setu:STU288_02335
ko:K03424	setu:STU288_02340
ko:K16088	setu:STU288_02350
ko:K07337	setu:STU288_02365
ko:K07251	setu:STU288_02370
ko:K01207	setu:STU288_02375
ko:K07000	setu:STU288_02380
ko:K03885	setu:STU288_02385
ko:K12151	setu:STU288_02405
ko:K03723	setu:STU288_02415
ko:K09808	setu:STU288_02420
ko:K09810	setu:STU288_02425
ko:K09808	setu:STU288_02430
ko:K12410	setu:STU288_02440
ko:K07637	setu:STU288_02485
ko:K01756	setu:STU288_02495
ko:K07153	setu:STU288_02500
ko:K00566	setu:STU288_02505
ko:K12152	setu:STU288_02510
ko:K06181	setu:STU288_02520
