ko:K02495	ena:ECNA114_3967
ko:K11940	ena:ECNA114_1046
ko:K06969	ena:ECNA114_1047
ko:K01512	ena:ECNA114_1048
ko:K03620	ena:ECNA114_1054
ko:K03619	ena:ECNA114_1056
ko:K03618	ena:ECNA114_1057
ko:K00425	ena:ECNA114_1058
ko:K00426	ena:ECNA114_1059
ko:K01093	ena:ECNA114_1060
ko:K03704	ena:ECNA114_1061
ko:K03704	ena:ECNA114_1062
ko:K07647	ena:ECNA114_1065
ko:K11930	ena:ECNA114_1066
ko:K03532	ena:ECNA114_1068
ko:K07811	ena:ECNA114_1069
ko:K03533	ena:ECNA114_1070
ko:K05516	ena:ECNA114_1072
ko:K01085	ena:ECNA114_1073
ko:K03809	ena:ECNA114_1075
ko:K09016	ena:ECNA114_1077
ko:K09024	ena:ECNA114_1078
ko:K09019	ena:ECNA114_1079
ko:K09023	ena:ECNA114_1080
ko:K09021	ena:ECNA114_1081
ko:K09018	ena:ECNA114_1083
ko:K08169	ena:ECNA114_1874
ko:K03799	ena:ECNA114_1875
ko:K03797	ena:ECNA114_1876
ko:K03607	ena:ECNA114_1877
ko:K03808	ena:ECNA114_1879
ko:K07156	ena:ECNA114_1888
ko:K10857	ena:ECNA114_1891
ko:K01354	ena:ECNA114_1892
ko:K09918	ena:ECNA114_1895
ko:K08289	ena:ECNA114_1896
ko:K01625	ena:ECNA114_1897
ko:K01690	ena:ECNA114_1898
ko:K00036	ena:ECNA114_1899
ko:K00873	ena:ECNA114_1902
ko:K02560	ena:ECNA114_1903
ko:K09781	ena:ECNA114_1906
ko:K07458	ena:ECNA114_1908
ko:K06950	ena:ECNA114_1910
ko:K05523	ena:ECNA114_1913
ko:K07127	ena:ECNA114_1916
ko:K09817	ena:ECNA114_1920
ko:K09816	ena:ECNA114_1921
ko:K03551	ena:ECNA114_1924
ko:K03550	ena:ECNA114_1925
ko:K03106	ena:ECNA114_2678
ko:K03687	ena:ECNA114_2681
ko:K00858	ena:ECNA114_2683
ko:K03631	ena:ECNA114_2684
ko:K06186	ena:ECNA114_2685
ko:K09801	ena:ECNA114_2686
ko:K03664	ena:ECNA114_2688
ko:K15737	ena:ECNA114_2690
ko:K15736	ena:ECNA114_2691
ko:K11735	ena:ECNA114_2694
ko:K15735	ena:ECNA114_2695
ko:K02000	ena:ECNA114_2709
ko:K02001	ena:ECNA114_2710
ko:K02002	ena:ECNA114_2711
ko:K02167	ena:ECNA114_0304
ko:K02168	ena:ECNA114_0305
ko:K00926	ena:ECNA114_0313
ko:K13979	ena:ECNA114_0315
ko:K03329	ena:ECNA114_0316
ko:K02688	ena:ECNA114_0318
ko:K01720	ena:ECNA114_0321
ko:K01908	ena:ECNA114_0322
ko:K10974	ena:ECNA114_0323
ko:K02532	ena:ECNA114_0326
ko:K05818	ena:ECNA114_0329
ko:K01666	ena:ECNA114_0335
ko:K05819	ena:ECNA114_0336
ko:K09912	ena:ECNA114_0337
ko:K01070	ena:ECNA114_0338
ko:K15551	ena:ECNA114_0342
ko:K15552	ena:ECNA114_0344
ko:K03119	ena:ECNA114_0345
ko:K01698	ena:ECNA114_0346
ko:K02394	ena:ECNA114_1137
ko:K02395	ena:ECNA114_1138
ko:K02396	ena:ECNA114_1139
ko:K02397	ena:ECNA114_1140
ko:K08300	ena:ECNA114_1141
ko:K07040	ena:ECNA114_1145
ko:K02911	ena:ECNA114_1146
ko:K03621	ena:ECNA114_1147
ko:K00648	ena:ECNA114_1148
ko:K00645	ena:ECNA114_1149
ko:K02078	ena:ECNA114_1151
ko:K09458	ena:ECNA114_1152
ko:K07082	ena:ECNA114_1154
ko:K00943	ena:ECNA114_1155
ko:K02341	ena:ECNA114_1156
ko:K03424	ena:ECNA114_1157
ko:K07337	ena:ECNA114_1163
ko:K07251	ena:ECNA114_1164
ko:K01207	ena:ECNA114_1165
ko:K07000	ena:ECNA114_1166
ko:K03885	ena:ECNA114_1167
ko:K12151	ena:ECNA114_1170
ko:K03723	ena:ECNA114_1172
ko:K09808	ena:ECNA114_1174
ko:K09808	ena:ECNA114_1176
ko:K12410	ena:ECNA114_1178
ko:K07637	ena:ECNA114_1187
ko:K00995	ena:ECNA114_2003
ko:K03703	ena:ECNA114_2004
ko:K07689	ena:ECNA114_2005
ko:K10010	ena:ECNA114_2008
ko:K10009	ena:ECNA114_2009
ko:K02424	ena:ECNA114_2011
ko:K02425	ena:ECNA114_2012
ko:K02405	ena:ECNA114_2013
ko:K02408	ena:ECNA114_2016
ko:K02409	ena:ECNA114_2017
ko:K02410	ena:ECNA114_2018
ko:K02411	ena:ECNA114_2019
ko:K02412	ena:ECNA114_2020
ko:K02413	ena:ECNA114_2021
ko:K02415	ena:ECNA114_2023
ko:K02416	ena:ECNA114_2024
ko:K02417	ena:ECNA114_2025
ko:K02418	ena:ECNA114_2026
ko:K02419	ena:ECNA114_2027
ko:K02420	ena:ECNA114_2028
ko:K00573	ena:ECNA114_2781
ko:K03787	ena:ECNA114_2782
ko:K06176	ena:ECNA114_2783
ko:K01770	ena:ECNA114_2784
ko:K00991	ena:ECNA114_2785
ko:K05589	ena:ECNA114_2786
ko:K00860	ena:ECNA114_2789
ko:K00957	ena:ECNA114_2791
ko:K09612	ena:ECNA114_2792
ko:K00390	ena:ECNA114_2793
ko:K00381	ena:ECNA114_2794
ko:K01737	ena:ECNA114_2797
ko:K00313	ena:ECNA114_2798
ko:K00847	ena:ECNA114_2809
ko:K01193	ena:ECNA114_2812
ko:K03484	ena:ECNA114_2813
ko:K10026	ena:ECNA114_2814
ko:K06872	ena:ECNA114_2815
ko:K01689	ena:ECNA114_2816
ko:K01937	ena:ECNA114_2817
ko:K03215	ena:ECNA114_2820
ko:K07678	ena:ECNA114_2821
ko:K01706	ena:ECNA114_2823
ko:K13918	ena:ECNA114_2824
ko:K06175	ena:ECNA114_2829
ko:K06133	ena:ECNA114_3584
ko:K15584	ena:ECNA114_3585
ko:K15585	ena:ECNA114_3586
ko:K15586	ena:ECNA114_3587
ko:K15587	ena:ECNA114_3588
ko:K10824	ena:ECNA114_3589
ko:K07722	ena:ECNA114_3590
ko:K02773	ena:ECNA114_3592
ko:K02774	ena:ECNA114_3593
ko:K13926	ena:ECNA114_3599
ko:K01993	ena:ECNA114_3600
ko:K07007	ena:ECNA114_3602
ko:K06144	ena:ECNA114_3604
ko:K04079	ena:ECNA114_0452
ko:K01772	ena:ECNA114_0454
ko:K00892	ena:ECNA114_0456
ko:K06946	ena:ECNA114_2098
ko:K12687	ena:ECNA114_2100
ko:K02013	ena:ECNA114_2106
ko:K02015	ena:ECNA114_2107
ko:K02016	ena:ECNA114_2108
ko:K07001	ena:ECNA114_2114
ko:K02680	ena:ECNA114_2883
ko:K02679	ena:ECNA114_2884
ko:K13292	ena:ECNA114_2886
ko:K08484	ena:ECNA114_2887
ko:K08311	ena:ECNA114_2888
ko:K03573	ena:ECNA114_2891
ko:K08227	ena:ECNA114_2895
ko:K05939	ena:ECNA114_2896
ko:K02529	ena:ECNA114_2897
ko:K01586	ena:ECNA114_2898
ko:K01815	ena:ECNA114_2903
ko:K13480	ena:ECNA114_2909
ko:K01751	ena:ECNA114_2912
ko:K01464	ena:ECNA114_2914
ko:K00926	ena:ECNA114_2915
ko:K07402	ena:ECNA114_2916
ko:K07141	ena:ECNA114_2918
ko:K12527	ena:ECNA114_2919
ko:K12529	ena:ECNA114_2921
ko:K12528	ena:ECNA114_2922
ko:K06901	ena:ECNA114_2925
ko:K04567	ena:ECNA114_2931
ko:K12372	ena:ECNA114_3691
ko:K12371	ena:ECNA114_3692
ko:K12370	ena:ECNA114_3693
ko:K12369	ena:ECNA114_3694
ko:K12368	ena:ECNA114_3695
ko:K12975	ena:ECNA114_3697
ko:K08177	ena:ECNA114_3698
ko:K01246	ena:ECNA114_3700
ko:K03826	ena:ECNA114_3701
ko:K07726	ena:ECNA114_3706
ko:K03704	ena:ECNA114_3707
ko:K01879	ena:ECNA114_3710
ko:K01878	ena:ECNA114_3711
ko:K01805	ena:ECNA114_3717
ko:K10543	ena:ECNA114_3718
ko:K10545	ena:ECNA114_3719
ko:K02529	ena:ECNA114_3721
ko:K00835	ena:ECNA114_3724
ko:K08092	ena:ECNA114_3727
ko:K00880	ena:ECNA114_3733
ko:K00609	ena:ECNA114_4468
ko:K00611	ena:ECNA114_4477
ko:K09893	ena:ECNA114_4478
ko:K03828	ena:ECNA114_4479
ko:K01873	ena:ECNA114_4481
ko:K02339	ena:ECNA114_4482
ko:K01255	ena:ECNA114_4483
ko:K07091	ena:ECNA114_4485
ko:K11720	ena:ECNA114_4486
ko:K06915	ena:ECNA114_4487
ko:K12957	ena:ECNA114_4488
ko:K01685	ena:ECNA114_4494
ko:K00097	ena:ECNA114_4495
ko:K02429	ena:ECNA114_4516
ko:K11534	ena:ECNA114_4518
ko:K15974	ena:ECNA114_2716
ko:K03543	ena:ECNA114_2718
ko:K03446	ena:ECNA114_2719
ko:K07173	ena:ECNA114_2722
ko:K01919	ena:ECNA114_2723
ko:K03563	ena:ECNA114_2726
ko:K01872	ena:ECNA114_2728
ko:K01867	ena:ECNA114_3481
ko:K01091	ena:ECNA114_3482
ko:K01783	ena:ECNA114_3483
ko:K03112	ena:ECNA114_3485
ko:K01735	ena:ECNA114_3486
ko:K00891	ena:ECNA114_3487
ko:K02507	ena:ECNA114_3488
ko:K12291	ena:ECNA114_3489
ko:K12290	ena:ECNA114_3490
ko:K12289	ena:ECNA114_3491
ko:K12288	ena:ECNA114_3492
ko:K05366	ena:ECNA114_3493
ko:K08312	ena:ECNA114_3494
ko:K04762	ena:ECNA114_3497
ko:K04083	ena:ECNA114_3498
ko:K02406	ena:ECNA114_3500
ko:K02407	ena:ECNA114_3501
ko:K02422	ena:ECNA114_3502
ko:K02423	ena:ECNA114_3503
ko:K07112	ena:ECNA114_3506
ko:K01610	ena:ECNA114_3511
ko:K07638	ena:ECNA114_3512
ko:K07659	ena:ECNA114_3513
ko:K04760	ena:ECNA114_3514
ko:K06959	ena:ECNA114_3515
ko:K04758	ena:ECNA114_3516
ko:K04759	ena:ECNA114_3517
ko:K07490	ena:ECNA114_3518
ko:K02170	ena:ECNA114_3520
ko:K07400	ena:ECNA114_3522
ko:K06155	ena:ECNA114_3523
ko:K00705	ena:ECNA114_3524
ko:K00688	ena:ECNA114_3525
ko:K03556	ena:ECNA114_3527
ko:K14414	ena:ECNA114_3529
ko:K02444	ena:ECNA114_3530
ko:K06167	ena:ECNA114_4275
ko:K09994	ena:ECNA114_4276
ko:K05774	ena:ECNA114_4277
ko:K06162	ena:ECNA114_4278
ko:K05780	ena:ECNA114_4279
ko:K05781	ena:ECNA114_4280
ko:K06163	ena:ECNA114_4281
ko:K06164	ena:ECNA114_4282
ko:K06165	ena:ECNA114_4283
ko:K06166	ena:ECNA114_4284
ko:K02043	ena:ECNA114_4285
ko:K02042	ena:ECNA114_4286
ko:K02044	ena:ECNA114_4287
ko:K02041	ena:ECNA114_4288
ko:K06193	ena:ECNA114_4290
ko:K03762	ena:ECNA114_4293
ko:K07643	ena:ECNA114_4294
ko:K03760	ena:ECNA114_4296
ko:K03759	ena:ECNA114_4297
ko:K03755	ena:ECNA114_4298
ko:K01584	ena:ECNA114_4299
ko:K07406	ena:ECNA114_4301
ko:K08984	ena:ECNA114_4302
ko:K01676	ena:ECNA114_4303
ko:K07703	ena:ECNA114_4306
ko:K07701	ena:ECNA114_4307
ko:K04567	ena:ECNA114_4315
ko:K03305	ena:ECNA114_4316
ko:K00899	ena:ECNA114_4321
ko:K08963	ena:ECNA114_4322
ko:K03305	ena:ECNA114_3606
ko:K15984	ena:ECNA114_3607
ko:K01414	ena:ECNA114_3608
ko:K07115	ena:ECNA114_3609
ko:K07285	ena:ECNA114_3615
ko:K07225	ena:ECNA114_3617
ko:K02016	ena:ECNA114_3621
ko:K02015	ena:ECNA114_3625
ko:K02013	ena:ECNA114_3626
ko:K07507	ena:ECNA114_3627
ko:K04568	ena:ECNA114_4375
ko:K01613	ena:ECNA114_4379
ko:K06949	ena:ECNA114_4380
ko:K13288	ena:ECNA114_4381
ko:K06925	ena:ECNA114_4384
ko:K01448	ena:ECNA114_4385
ko:K03572	ena:ECNA114_4386
ko:K00791	ena:ECNA114_4387
ko:K03666	ena:ECNA114_4388
ko:K03665	ena:ECNA114_4389
ko:K04088	ena:ECNA114_4390
ko:K04087	ena:ECNA114_4391
ko:K09937	ena:ECNA114_4392
ko:K01939	ena:ECNA114_4393
ko:K13771	ena:ECNA114_4394
ko:K12573	ena:ECNA114_4395
ko:K03218	ena:ECNA114_4396
ko:K09980	ena:ECNA114_4397
ko:K08989	ena:ECNA114_4400
ko:K09456	ena:ECNA114_4403
ko:K03477	ena:ECNA114_4407
ko:K03078	ena:ECNA114_4412
ko:K02990	ena:ECNA114_4417
ko:K02963	ena:ECNA114_4418
ko:K02939	ena:ECNA114_4419
ko:K07154	ena:ECNA114_44211
ko:K00526	ena:ECNA114_2328
ko:K00287	ena:ECNA114_0036
ko:K00097	ena:ECNA114_0042
ko:K03771	ena:ECNA114_0043
ko:K04744	ena:ECNA114_0044
ko:K05801	ena:ECNA114_0045
ko:K03580	ena:ECNA114_0047
ko:K02336	ena:ECNA114_0048
ko:K01804	ena:ECNA114_0050
ko:K01714	ena:ECNA114_0055
ko:K02063	ena:ECNA114_0061
ko:K02064	ena:ECNA114_0062
ko:K11925	ena:ECNA114_0064
ko:K01704	ena:ECNA114_0066
ko:K01703	ena:ECNA114_0067
ko:K00052	ena:ECNA114_0068
ko:K01649	ena:ECNA114_0069
ko:K05798	ena:ECNA114_0070
ko:K01652	ena:ECNA114_0071
ko:K01653	ena:ECNA114_0072
ko:K03435	ena:ECNA114_0073
ko:K00656	ena:ECNA114_0765
ko:K04069	ena:ECNA114_0766
ko:K03750	ena:ECNA114_0769
ko:K13051	ena:ECNA114_0770
ko:K13892	ena:ECNA114_0771
ko:K13889	ena:ECNA114_0772
ko:K13890	ena:ECNA114_0773
ko:K13891	ena:ECNA114_0774
ko:K14441	ena:ECNA114_0777
ko:K11534	ena:ECNA114_0782
ko:K08160	ena:ECNA114_0784
ko:K07085	ena:ECNA114_0789
ko:K11073	ena:ECNA114_0796
ko:K11076	ena:ECNA114_0797
ko:K11075	ena:ECNA114_0798
ko:K11074	ena:ECNA114_0799
ko:K03212	ena:ECNA114_0801
ko:K09996	ena:ECNA114_0802
ko:K09999	ena:ECNA114_0804
ko:K09997	ena:ECNA114_0805
ko:K11066	ena:ECNA114_0809
ko:K01620	ena:ECNA114_0812
ko:K00156	ena:ECNA114_0813
ko:K11933	ena:ECNA114_0814
ko:K06188	ena:ECNA114_0817
ko:K01284	ena:ECNA114_1619
ko:K08322	ena:ECNA114_1625
ko:K08323	ena:ECNA114_1626
ko:K09771	ena:ECNA114_1627
ko:K07309	ena:ECNA114_1632
ko:K03281	ena:ECNA114_1638
ko:K01935	ena:ECNA114_1639
ko:K15545	ena:ECNA114_1640
ko:K08224	ena:ECNA114_1642
ko:K04775	ena:ECNA114_1645
ko:K11742	ena:ECNA114_1646
ko:K11743	ena:ECNA114_1647
ko:K11744	ena:ECNA114_1648
ko:K00325	ena:ECNA114_1649
ko:K00324	ena:ECNA114_1650
ko:K03758	ena:ECNA114_1652
ko:K13938	ena:ECNA114_1653
ko:K07661	ena:ECNA114_1655
ko:K07639	ena:ECNA114_1656
ko:K01676	ena:ECNA114_1659
ko:K01809	ena:ECNA114_1660
ko:K01195	ena:ECNA114_1664
ko:K06076	ena:ECNA114_2435
ko:K04754	ena:ECNA114_2436
ko:K13629	ena:ECNA114_2447
ko:K01753	ena:ECNA114_2448
ko:K07786	ena:ECNA114_2449
ko:K07690	ena:ECNA114_2451
ko:K07679	ena:ECNA114_2452
ko:K07088	ena:ECNA114_2454
ko:K12974	ena:ECNA114_2459
ko:K14261	ena:ECNA114_2461
ko:K02478	ena:ECNA114_2462
ko:K08483	ena:ECNA114_2465
ko:K11189	ena:ECNA114_2465
ko:K11201	ena:ECNA114_2465
ko:K08326	ena:ECNA114_2467
ko:K11203	ena:ECNA114_2468
ko:K11202	ena:ECNA114_2469
ko:K03322	ena:ECNA114_2473
ko:K11535	ena:ECNA114_2474
ko:K03835	ena:ECNA114_3241
ko:K03925	ena:ECNA114_0074
ko:K03438	ena:ECNA114_0075
ko:K03586	ena:ECNA114_0076
ko:K03587	ena:ECNA114_0077
ko:K01928	ena:ECNA114_0078
ko:K01929	ena:ECNA114_0079
ko:K01000	ena:ECNA114_0080
ko:K01925	ena:ECNA114_0081
ko:K03588	ena:ECNA114_0082
ko:K02563	ena:ECNA114_0083
ko:K01924	ena:ECNA114_0084
ko:K01921	ena:ECNA114_0085
ko:K03589	ena:ECNA114_0086
ko:K03590	ena:ECNA114_0087
ko:K03531	ena:ECNA114_0088
ko:K02535	ena:ECNA114_0089
ko:K13301	ena:ECNA114_0090
ko:K03070	ena:ECNA114_0091
ko:K00012	ena:ECNA114_0878
ko:K05789	ena:ECNA114_0879
ko:K11755	ena:ECNA114_0880
ko:K02500	ena:ECNA114_0881
ko:K01814	ena:ECNA114_0882
ko:K02501	ena:ECNA114_0883
ko:K01089	ena:ECNA114_0884
ko:K00817	ena:ECNA114_0885
ko:K00013	ena:ECNA114_0886
ko:K00765	ena:ECNA114_0887
ko:K01141	ena:ECNA114_0897
ko:K07470	ena:ECNA114_0900
ko:K09802	ena:ECNA114_0902
ko:K00873	ena:ECNA114_1723
ko:K02426	ena:ECNA114_1726
ko:K11717	ena:ECNA114_1727
ko:K09015	ena:ECNA114_1728
ko:K09013	ena:ECNA114_1729
ko:K09014	ena:ECNA114_1730
ko:K05997	ena:ECNA114_1731
ko:K05887	ena:ECNA114_1739
ko:K03785	ena:ECNA114_1740
ko:K00313	ena:ECNA114_1746
ko:K12507	ena:ECNA114_1748
ko:K09773	ena:ECNA114_1751
ko:K01626	ena:ECNA114_1752
ko:K06074	ena:ECNA114_1757
ko:K00432	ena:ECNA114_1758
ko:K06073	ena:ECNA114_1759
ko:K04764	ena:ECNA114_1760
ko:K01890	ena:ECNA114_1761
ko:K01889	ena:ECNA114_1762
ko:K02887	ena:ECNA114_1763
ko:K02916	ena:ECNA114_1764
ko:K02520	ena:ECNA114_1765
ko:K01868	ena:ECNA114_1766
ko:K04029	ena:ECNA114_2527
ko:K04031	ena:ECNA114_2528
ko:K00029	ena:ECNA114_2529
ko:K00615	ena:ECNA114_2531
ko:K12945	ena:ECNA114_2533
ko:K07674	ena:ECNA114_2536
ko:K03088	ena:ECNA114_2542
ko:K02016	ena:ECNA114_2545
ko:K02015	ena:ECNA114_2546
ko:K02015	ena:ECNA114_2547
ko:K02013	ena:ECNA114_2549
ko:K13735	ena:ECNA114_2554
ko:K06999	ena:ECNA114_2558
ko:K06957	ena:ECNA114_2559
ko:K01923	ena:ECNA114_2561
ko:K07287	ena:ECNA114_2562
ko:K01714	ena:ECNA114_2563
ko:K03567	ena:ECNA114_2564
ko:K03564	ena:ECNA114_2565
ko:K10763	ena:ECNA114_2569
ko:K00761	ena:ECNA114_2571
ko:K01933	ena:ECNA114_2573
ko:K11175	ena:ECNA114_2574
ko:K00937	ena:ECNA114_2575
ko:K01524	ena:ECNA114_2576
ko:K03557	ena:ECNA114_3342
ko:K09969	ena:ECNA114_3349
ko:K09970	ena:ECNA114_3350
ko:K09971	ena:ECNA114_3351
ko:K09972	ena:ECNA114_3352
ko:K00014	ena:ECNA114_3356
ko:K07566	ena:ECNA114_3357
ko:K07479	ena:ECNA114_3358
ko:K04096	ena:ECNA114_3360
ko:K01462	ena:ECNA114_3361
ko:K00604	ena:ECNA114_3362
ko:K03500	ena:ECNA114_3363
ko:K03282	ena:ECNA114_3365
ko:K02879	ena:ECNA114_3368
ko:K03040	ena:ECNA114_3369
ko:K02986	ena:ECNA114_3370
ko:K02948	ena:ECNA114_3371
ko:K02952	ena:ECNA114_3372
ko:K02919	ena:ECNA114_3373
ko:K03076	ena:ECNA114_3374
ko:K02876	ena:ECNA114_3375
ko:K02907	ena:ECNA114_3376
ko:K02988	ena:ECNA114_3377
ko:K02881	ena:ECNA114_3378
ko:K02933	ena:ECNA114_3379
ko:K02994	ena:ECNA114_3380
ko:K02954	ena:ECNA114_3381
ko:K02931	ena:ECNA114_3382
ko:K02895	ena:ECNA114_3383
ko:K02874	ena:ECNA114_3384
ko:K02961	ena:ECNA114_3385
ko:K01061	ena:ECNA114_4135
ko:K00757	ena:ECNA114_4136
ko:K01631	ena:ECNA114_4140
ko:K00883	ena:ECNA114_4141
ko:K09760	ena:ECNA114_4143
ko:K03183	ena:ECNA114_4144
ko:K03690	ena:ECNA114_4145
ko:K03688	ena:ECNA114_4146
ko:K03116	ena:ECNA114_4147
ko:K03117	ena:ECNA114_4148
ko:K03118	ena:ECNA114_4149
ko:K03424	ena:ECNA114_4150
ko:K03182	ena:ECNA114_4152
ko:K05368	ena:ECNA114_4153
ko:K01825	ena:ECNA114_4155
ko:K03827	ena:ECNA114_4161
ko:K00651	ena:ECNA114_4162
ko:K01638	ena:ECNA114_4163
ko:K01637	ena:ECNA114_4164
ko:K00906	ena:ECNA114_4165
ko:K03324	ena:ECNA114_4169
ko:K05995	ena:ECNA114_4170
ko:K02815	ena:ECNA114_4172
ko:K02814	ena:ECNA114_4173
ko:K02813	ena:ECNA114_4174
ko:K02812	ena:ECNA114_4175
ko:K00164	ena:ECNA114_0661
ko:K00658	ena:ECNA114_0662
ko:K01903	ena:ECNA114_0663
ko:K01902	ena:ECNA114_0664
ko:K11922	ena:ECNA114_0665
ko:K11198	ena:ECNA114_0666
ko:K11199	ena:ECNA114_0666
ko:K11200	ena:ECNA114_0666
ko:K00425	ena:ECNA114_0669
ko:K00426	ena:ECNA114_0670
ko:K07107	ena:ECNA114_0673
ko:K03562	ena:ECNA114_0674
ko:K03641	ena:ECNA114_0677
ko:K03640	ena:ECNA114_0678
ko:K03517	ena:ECNA114_0680
ko:K03811	ena:ECNA114_0681
ko:K01626	ena:ECNA114_0684
ko:K00849	ena:ECNA114_0687
ko:K00965	ena:ECNA114_0688
ko:K05776	ena:ECNA114_0691
ko:K02019	ena:ECNA114_0692
ko:K02020	ena:ECNA114_0694
ko:K02018	ena:ECNA114_0695
ko:K03319	ena:ECNA114_0702
ko:K01681	ena:ECNA114_0703
ko:K01051	ena:ECNA114_0704
ko:K00833	ena:ECNA114_0706
ko:K01012	ena:ECNA114_0707
ko:K02169	ena:ECNA114_0709
ko:K01935	ena:ECNA114_0710
ko:K06918	ena:ECNA114_1511
ko:K08990	ena:ECNA114_1512
ko:K03721	ena:ECNA114_1513
ko:K11065	ena:ECNA114_1514
ko:K14054	ena:ECNA114_1516
ko:K15580	ena:ECNA114_1520
ko:K14055	ena:ECNA114_1523
ko:K03543	ena:ECNA114_1529
ko:K05591	ena:ECNA114_1534
ko:K14058	ena:ECNA114_1535
ko:K05592	ena:ECNA114_3243
ko:K05803	ena:ECNA114_3244
ko:K00962	ena:ECNA114_3245
ko:K02956	ena:ECNA114_3246
ko:K02834	ena:ECNA114_3248
ko:K02519	ena:ECNA114_3249
ko:K02600	ena:ECNA114_3250
ko:K09748	ena:ECNA114_3251
ko:K01940	ena:ECNA114_3252
ko:K03075	ena:ECNA114_3254
ko:K03431	ena:ECNA114_3255
ko:K00796	ena:ECNA114_3256
ko:K03798	ena:ECNA114_3257
ko:K07574	ena:ECNA114_3259
ko:K03624	ena:ECNA114_3260
ko:K07259	ena:ECNA114_3261
ko:K03979	ena:ECNA114_3262
ko:K02899	ena:ECNA114_3264
ko:K02888	ena:ECNA114_3265
ko:K02523	ena:ECNA114_3266
ko:K00790	ena:ECNA114_3268
ko:K07122	ena:ECNA114_3270
ko:K07323	ena:ECNA114_3271
ko:K02066	ena:ECNA114_3273
ko:K02065	ena:ECNA114_3274
ko:K07301	ena:ECNA114_3275
ko:K06041	ena:ECNA114_3276
ko:K03270	ena:ECNA114_3277
ko:K11719	ena:ECNA114_3278
ko:K09774	ena:ECNA114_3279
ko:K06861	ena:ECNA114_3280
ko:K03092	ena:ECNA114_3281
ko:K05808	ena:ECNA114_3282
ko:K06958	ena:ECNA114_3284
ko:K03814	ena:ECNA114_3287
ko:K00850	ena:ECNA114_4055
ko:K02048	ena:ECNA114_4056
ko:K01521	ena:ECNA114_4057
ko:K01803	ena:ECNA114_4058
ko:K14065	ena:ECNA114_4062
ko:K00528	ena:ECNA114_4063
ko:K00864	ena:ECNA114_4065
ko:K02440	ena:ECNA114_4066
ko:K09892	ena:ECNA114_4067
ko:K02553	ena:ECNA114_4068
ko:K02548	ena:ECNA114_4069
ko:K03667	ena:ECNA114_4070
ko:K01419	ena:ECNA114_4071
ko:K03591	ena:ECNA114_4072
ko:K04066	ena:ECNA114_4074
ko:K02909	ena:ECNA114_4075
ko:K03764	ena:ECNA114_4077
ko:K12525	ena:ECNA114_4079
ko:K03737	ena:ECNA114_1540
ko:K03778	ena:ECNA114_1544
ko:K09978	ena:ECNA114_1547
ko:K01118	ena:ECNA114_1553
ko:K03578	ena:ECNA114_1554
ko:K07248	ena:ECNA114_1556
ko:K00134	ena:ECNA114_1557
ko:K09794	ena:ECNA114_1564
ko:K00111	ena:ECNA114_2333
ko:K00112	ena:ECNA114_2334
ko:K00113	ena:ECNA114_2335
ko:K12660	ena:ECNA114_2338
ko:K12661	ena:ECNA114_2340
ko:K07806	ena:ECNA114_2346
ko:K10012	ena:ECNA114_2347
ko:K10011	ena:ECNA114_2348
ko:K13014	ena:ECNA114_2349
ko:K07264	ena:ECNA114_2350
ko:K12962	ena:ECNA114_2351
ko:K12963	ena:ECNA114_2352
ko:K01911	ena:ECNA114_2354
ko:K01661	ena:ECNA114_2356
ko:K02551	ena:ECNA114_2358
ko:K05594	ena:ECNA114_2360
ko:K00343	ena:ECNA114_2366
ko:K00342	ena:ECNA114_2367
ko:K00341	ena:ECNA114_2368
ko:K00340	ena:ECNA114_2369
ko:K00339	ena:ECNA114_2370
ko:K00338	ena:ECNA114_2371
ko:K00337	ena:ECNA114_2372
ko:K00334	ena:ECNA114_2375
ko:K13378	ena:ECNA114_2376
ko:K00331	ena:ECNA114_2377
ko:K00330	ena:ECNA114_2378
ko:K14260	ena:ECNA114_2380
ko:K03272	ena:ECNA114_3145
ko:K00982	ena:ECNA114_3146
ko:K07184	ena:ECNA114_3148
ko:K06153	ena:ECNA114_3150
ko:K01633	ena:ECNA114_3151
ko:K08591	ena:ECNA114_3152
ko:K03780	ena:ECNA114_3154
ko:K11106	ena:ECNA114_3155
ko:K02970	ena:ECNA114_3157
ko:K03086	ena:ECNA114_3160
ko:K07229	ena:ECNA114_3162
ko:K06878	ena:ECNA114_3167
ko:K12113	ena:ECNA114_3168
ko:K12111	ena:ECNA114_3169
ko:K12112	ena:ECNA114_3170
ko:K03931	ena:ECNA114_3173
ko:K07043	ena:ECNA114_3178
ko:K07862	ena:ECNA114_3182
ko:K01685	ena:ECNA114_3184
ko:K01812	ena:ECNA114_3185
ko:K08191	ena:ECNA114_3186
ko:K02472	ena:ECNA114_3925
ko:K00973	ena:ECNA114_3927
ko:K02805	ena:ECNA114_3929
ko:K12582	ena:ECNA114_3931
ko:K02853	ena:ECNA114_3932
ko:K06871	ena:ECNA114_3935
ko:K02498	ena:ECNA114_3938
ko:K02496	ena:ECNA114_3939
ko:K01749	ena:ECNA114_3941
ko:K05851	ena:ECNA114_3942
ko:K06202	ena:ECNA114_3943
ko:K01778	ena:ECNA114_3946
ko:K09921	ena:ECNA114_3947
ko:K03733	ena:ECNA114_3948
ko:K03657	ena:ECNA114_3950
ko:K03284	ena:ECNA114_3954
ko:K03752	ena:ECNA114_3955
ko:K09896	ena:ECNA114_3956
ko:K03673	ena:ECNA114_3958
