ko:K18137	abaz:P795_6965
ko:K07304	abaz:P795_15015
ko:K03559	abaz:P795_15020
ko:K03561	abaz:P795_15025
ko:K03832	abaz:P795_15030
ko:K01433	abaz:P795_15035
ko:K00154	abaz:P795_15045
ko:K02902	abaz:P795_15050
ko:K02913	abaz:P795_15055
ko:K03455	abaz:P795_15060
ko:K03657	abaz:P795_15085
ko:K03168	abaz:P795_15100
ko:K03745	abaz:P795_15120
ko:K15738	abaz:P795_15125
ko:K02517	abaz:P795_15135
ko:K11102	abaz:P795_15145
ko:K00133	abaz:P795_15155
ko:K01424	abaz:P795_15170
ko:K02892	abaz:P795_2025
ko:K02886	abaz:P795_2030
ko:K02965	abaz:P795_2035
ko:K02890	abaz:P795_2040
ko:K02982	abaz:P795_2045
ko:K02878	abaz:P795_2050
ko:K02904	abaz:P795_2055
ko:K02961	abaz:P795_2060
ko:K02874	abaz:P795_2065
ko:K02895	abaz:P795_2070
ko:K02931	abaz:P795_2075
ko:K02954	abaz:P795_2080
ko:K02994	abaz:P795_2085
ko:K02933	abaz:P795_2090
ko:K02881	abaz:P795_2095
ko:K02988	abaz:P795_2100
ko:K02907	abaz:P795_2105
ko:K02876	abaz:P795_2110
ko:K03076	abaz:P795_2115
ko:K02919	abaz:P795_2120
ko:K02952	abaz:P795_2125
ko:K02948	abaz:P795_2130
ko:K02986	abaz:P795_2135
ko:K03040	abaz:P795_2140
ko:K02879	abaz:P795_2145
ko:K09159	abaz:P795_2160
ko:K07070	abaz:P795_2195
ko:K01414	abaz:P795_2200
ko:K12573	abaz:P795_2205
ko:K07078	abaz:P795_2220
ko:K07058	abaz:P795_2245
ko:K03809	abaz:P795_2250
ko:K03816	abaz:P795_2255
ko:K03832	abaz:P795_2270
ko:K07042	abaz:P795_2275
ko:K06168	abaz:P795_2285
ko:K08309	abaz:P795_2290
ko:K01166	abaz:P795_2295
ko:K00024	abaz:P795_2300
ko:K13954	abaz:P795_6460
ko:K01826	abaz:P795_6470
ko:K00878	abaz:P795_6475
ko:K01256	abaz:P795_6490
ko:K07346	abaz:P795_6500
ko:K00799	abaz:P795_6515
ko:K04093	abaz:P795_6530
ko:K02014	abaz:P795_6565
ko:K16053	abaz:P795_6570
ko:K03824	abaz:P795_6595
ko:K16088	abaz:P795_6600
ko:K07275	abaz:P795_6605
ko:K01531	abaz:P795_6645
ko:K07507	abaz:P795_6650
ko:K05782	abaz:P795_6655
ko:K11250	abaz:P795_6665
ko:K00616	abaz:P795_6670
ko:K00626	abaz:P795_6685
ko:K00059	abaz:P795_6690
ko:K08167	abaz:P795_6710
ko:K02343	abaz:P795_6715
ko:K11892	abaz:P795_10840
ko:K11893	abaz:P795_10845
ko:K11902	abaz:P795_10850
ko:K11907	abaz:P795_10855
ko:K03286	abaz:P795_10865
ko:K11890	abaz:P795_10870
ko:K11891	abaz:P795_10875
ko:K11895	abaz:P795_10885
ko:K11896	abaz:P795_10890
ko:K11897	abaz:P795_10895
ko:K11903	abaz:P795_10900
ko:K11900	abaz:P795_10905
ko:K11901	abaz:P795_10910
ko:K02050	abaz:P795_10980
ko:K02049	abaz:P795_10985
ko:K02051	abaz:P795_10990
ko:K07722	abaz:P795_11000
ko:K11746	abaz:P795_11015
ko:K01941	abaz:P795_11020
ko:K09967	abaz:P795_11025
ko:K09967	abaz:P795_11030
ko:K07126	abaz:P795_11060
ko:K11263	abaz:P795_11070
ko:K07160	abaz:P795_11085
ko:K06173	abaz:P795_15175
ko:K02518	abaz:P795_15185
ko:K00052	abaz:P795_15200
ko:K01704	abaz:P795_15210
ko:K01703	abaz:P795_15215
ko:K08311	abaz:P795_15250
ko:K08484	abaz:P795_15255
ko:K03782	abaz:P795_15260
ko:K05817	abaz:P795_15270
ko:K00799	abaz:P795_15280
ko:K01091	abaz:P795_15290
ko:K06179	abaz:P795_15295
ko:K08300	abaz:P795_15300
ko:K13776	abaz:P795_15305
ko:K09936	abaz:P795_15325
ko:K03327	abaz:P795_15330
ko:K02909	abaz:P795_15350
ko:K06199	abaz:P795_15360
ko:K07007	abaz:P795_15370
ko:K09862	abaz:P795_15380
ko:K01772	abaz:P795_15390
ko:K01776	abaz:P795_15400
ko:K09986	abaz:P795_15405
ko:K00311	abaz:P795_15410
ko:K04085	abaz:P795_15420
ko:K06189	abaz:P795_15425
ko:K03820	abaz:P795_15430
ko:K06878	abaz:P795_15435
ko:K03500	abaz:P795_0105
ko:K00604	abaz:P795_0110
ko:K01687	abaz:P795_0115
ko:K07090	abaz:P795_0125
ko:K01595	abaz:P795_0140
ko:K03686	abaz:P795_0165
ko:K00215	abaz:P795_0175
ko:K06222	abaz:P795_0190
ko:K12957	abaz:P795_0210
ko:K01246	abaz:P795_0215
ko:K03575	abaz:P795_0230
ko:K09160	abaz:P795_0250
ko:K07478	abaz:P795_0260
ko:K01923	abaz:P795_0275
ko:K01714	abaz:P795_0285
ko:K08281	abaz:P795_0290
ko:K03453	abaz:P795_0295
ko:K00457	abaz:P795_0310
ko:K01669	abaz:P795_4525
ko:K03775	abaz:P795_4530
ko:K03885	abaz:P795_4535
ko:K07258	abaz:P795_4540
ko:K00031	abaz:P795_4550
ko:K06181	abaz:P795_4555
ko:K00031	abaz:P795_4560
ko:K06956	abaz:P795_4590
ko:K07263	abaz:P795_4600
ko:K00788	abaz:P795_4625
ko:K01845	abaz:P795_4630
ko:K06177	abaz:P795_4640
ko:K03580	abaz:P795_4645
ko:K00508	abaz:P795_4665
ko:K00836	abaz:P795_4685
ko:K13745	abaz:P795_4690
ko:K11734	abaz:P795_4710
ko:K02040	abaz:P795_4715
ko:K02037	abaz:P795_4720
ko:K02038	abaz:P795_4725
ko:K02036	abaz:P795_4730
ko:K04774	abaz:P795_4735
ko:K08984	abaz:P795_4745
ko:K01756	abaz:P795_4750
ko:K07153	abaz:P795_4755
ko:K00566	abaz:P795_4760
ko:K07258	abaz:P795_4775
ko:K00748	abaz:P795_8920
ko:K16088	abaz:P795_8925
ko:K07090	abaz:P795_8945
ko:K01626	abaz:P795_8950
ko:K02233	abaz:P795_8955
ko:K02226	abaz:P795_8965
ko:K00768	abaz:P795_8970
ko:K02231	abaz:P795_8975
ko:K02014	abaz:P795_9015
ko:K00496	abaz:P795_9080
ko:K03770	abaz:P795_9090
ko:K03530	abaz:P795_9095
ko:K13643	abaz:P795_9110
ko:K04487	abaz:P795_9115
ko:K04488	abaz:P795_9120
ko:K13628	abaz:P795_9125
ko:K04082	abaz:P795_9130
ko:K04044	abaz:P795_9135
ko:K04755	abaz:P795_9140
ko:K03723	abaz:P795_9155
ko:K07223	abaz:P795_9165
ko:K02553	abaz:P795_9175
ko:K02968	abaz:P795_9185
ko:K00930	abaz:P795_13325
ko:K15778	abaz:P795_13330
ko:K03656	abaz:P795_13340
ko:K03610	abaz:P795_13360
ko:K03609	abaz:P795_13365
ko:K03608	abaz:P795_13370
ko:K05835	abaz:P795_13385
ko:K03466	abaz:P795_13390
ko:K00384	abaz:P795_13395
ko:K00684	abaz:P795_13400
ko:K03789	abaz:P795_13410
ko:K07044	abaz:P795_13415
ko:K07044	abaz:P795_13420
ko:K02355	abaz:P795_13435
ko:K02992	abaz:P795_13440
ko:K02950	abaz:P795_13445
ko:K00647	abaz:P795_13455
ko:K08973	abaz:P795_13460
ko:K06911	abaz:P795_13465
ko:K01950	abaz:P795_13475
ko:K00954	abaz:P795_13490
ko:K03664	abaz:P795_13495
ko:K05810	abaz:P795_13505
ko:K06180	abaz:P795_13510
ko:K05807	abaz:P795_13515
ko:K02492	abaz:P795_13525
ko:K02494	abaz:P795_13535
ko:K00919	abaz:P795_13540
ko:K00948	abaz:P795_13545
ko:K02897	abaz:P795_13550
ko:K01056	abaz:P795_13555
ko:K01579	abaz:P795_13560
ko:K01153	abaz:P795_17990
ko:K01154	abaz:P795_18000
ko:K03427	abaz:P795_18005
ko:K02337	abaz:P795_18210
ko:K07394	abaz:P795_2315
ko:K07115	abaz:P795_2320
ko:K17103	abaz:P795_2325
ko:K13774	abaz:P795_2360
ko:K13778	abaz:P795_2365
ko:K11731	abaz:P795_2370
ko:K13779	abaz:P795_2375
ko:K13777	abaz:P795_2380
ko:K03600	abaz:P795_2390
ko:K03599	abaz:P795_2395
ko:K02996	abaz:P795_2400
ko:K02871	abaz:P795_2405
ko:K00097	abaz:P795_2410
ko:K02528	abaz:P795_2415
ko:K01525	abaz:P795_2420
ko:K03665	abaz:P795_2440
ko:K07098	abaz:P795_2455
ko:K00382	abaz:P795_2475
ko:K03672	abaz:P795_2495
ko:K10806	abaz:P795_2500
ko:K09767	abaz:P795_2510
ko:K15461	abaz:P795_2520
ko:K09780	abaz:P795_2530
ko:K06190	abaz:P795_2535
ko:K07053	abaz:P795_2540
ko:K03630	abaz:P795_2550
ko:K01114	abaz:P795_6725
ko:K07107	abaz:P795_6730
ko:K01104	abaz:P795_6745
ko:K00075	abaz:P795_6750
ko:K05820	abaz:P795_6785
ko:K01961	abaz:P795_6795
ko:K02160	abaz:P795_6800
ko:K03786	abaz:P795_6805
ko:K00362	abaz:P795_6830
ko:K00372	abaz:P795_6840
ko:K03752	abaz:P795_6845
ko:K03639	abaz:P795_6855
ko:K03635	abaz:P795_6865
ko:K03750	abaz:P795_6875
ko:K11179	abaz:P795_6895
ko:K07235	abaz:P795_6910
ko:K01784	abaz:P795_6915
ko:K01679	abaz:P795_6920
ko:K00285	abaz:P795_6940
ko:K01770	abaz:P795_6950
ko:K07712	abaz:P795_6970
ko:K07708	abaz:P795_6975
ko:K14441	abaz:P795_6980
ko:K09903	abaz:P795_6985
ko:K02838	abaz:P795_6990
ko:K00806	abaz:P795_6995
ko:K00981	abaz:P795_7000
ko:K08195	abaz:P795_11140
ko:K03284	abaz:P795_11155
ko:K02517	abaz:P795_11160
ko:K03555	abaz:P795_11185
ko:K05524	abaz:P795_11195
ko:K12542	abaz:P795_11225
ko:K12541	abaz:P795_11230
ko:K12543	abaz:P795_11235
ko:K06861	abaz:P795_11240
ko:K09774	abaz:P795_11245
ko:K11719	abaz:P795_11250
ko:K03270	abaz:P795_11255
ko:K06041	abaz:P795_11260
ko:K01883	abaz:P795_11265
ko:K08995	abaz:P795_11280
ko:K00286	abaz:P795_11315
ko:K03704	abaz:P795_11325
ko:K03601	abaz:P795_11360
ko:K02456	abaz:P795_15445
ko:K02455	abaz:P795_15450
ko:K04066	abaz:P795_15455
ko:K04083	abaz:P795_15465
ko:K05516	abaz:P795_15475
ko:K00962	abaz:P795_15490
ko:K02956	abaz:P795_15495
ko:K03581	abaz:P795_15505
ko:K03582	abaz:P795_15510
ko:K03583	abaz:P795_15515
ko:K03183	abaz:P795_15535
ko:K03690	abaz:P795_15540
ko:K03688	abaz:P795_15545
ko:K11755	abaz:P795_15555
ko:K05559	abaz:P795_15570
ko:K05560	abaz:P795_15575
ko:K05561	abaz:P795_15580
ko:K05562	abaz:P795_15585
ko:K05563	abaz:P795_15590
ko:K05564	abaz:P795_15595
ko:K02834	abaz:P795_15600
ko:K02519	abaz:P795_15605
ko:K02600	abaz:P795_15610
ko:K09748	abaz:P795_15615
ko:K03075	abaz:P795_15620
ko:K01803	abaz:P795_15625
ko:K02652	abaz:P795_15630
ko:K02653	abaz:P795_15635
ko:K02654	abaz:P795_15640
ko:K00859	abaz:P795_15645
ko:K03218	abaz:P795_15655
ko:K09913	abaz:P795_15660
ko:K03631	abaz:P795_15670
ko:K07735	abaz:P795_15675
ko:K07447	abaz:P795_15680
ko:K01555	abaz:P795_0330
ko:K11734	abaz:P795_0335
ko:K05836	abaz:P795_0355
ko:K09975	abaz:P795_0360
ko:K01712	abaz:P795_0365
ko:K01745	abaz:P795_0370
ko:K01468	abaz:P795_0380
ko:K01479	abaz:P795_0385
ko:K01091	abaz:P795_0395
ko:K01776	abaz:P795_0400
ko:K00820	abaz:P795_0415
ko:K04042	abaz:P795_0420
ko:K01095	abaz:P795_0425
ko:K00946	abaz:P795_0430
ko:K03625	abaz:P795_0435
ko:K00794	abaz:P795_0440
ko:K14652	abaz:P795_0445
ko:K01079	abaz:P795_0455
ko:K07560	abaz:P795_0470
ko:K03781	abaz:P795_0475
ko:K00763	abaz:P795_0485
ko:K01011	abaz:P795_0490
ko:K01613	abaz:P795_0495
ko:K07636	abaz:P795_0520
ko:K07657	abaz:P795_0525
ko:K14287	abaz:P795_0545
ko:K01919	abaz:P795_0565
ko:K03611	abaz:P795_0570
ko:K07000	abaz:P795_0610
ko:K02622	abaz:P795_0615
ko:K03787	abaz:P795_4790
ko:K06194	abaz:P795_4795
ko:K08218	abaz:P795_4810
ko:K01759	abaz:P795_4815
ko:K14347	abaz:P795_4820
ko:K02909	abaz:P795_4825
ko:K02356	abaz:P795_4845
ko:K06200	abaz:P795_4850
ko:K02616	abaz:P795_4865
ko:K13774	abaz:P795_4870
ko:K07044	abaz:P795_4915
ko:K06911	abaz:P795_4950
ko:K02015	abaz:P795_4985
ko:K02015	abaz:P795_4990
ko:K02013	abaz:P795_4995
ko:K02016	abaz:P795_5000
ko:K02014	abaz:P795_5005
ko:K03897	abaz:P795_5010
ko:K02363	abaz:P795_5020
ko:K01252	abaz:P795_5025
ko:K01590	abaz:P795_5030
ko:K02361	abaz:P795_5060
ko:K01082	abaz:P795_9195
ko:K02034	abaz:P795_9215
ko:K02033	abaz:P795_9220
ko:K02014	abaz:P795_9240
ko:K03832	abaz:P795_9245
ko:K03561	abaz:P795_9250
ko:K03559	abaz:P795_9255
ko:K03559	abaz:P795_9260
ko:K01638	abaz:P795_9265
ko:K06916	abaz:P795_9270
ko:K01591	abaz:P795_9290
ko:K05788	abaz:P795_9300
ko:K02945	abaz:P795_9305
ko:K00945	abaz:P795_9310
ko:K03648	abaz:P795_9330
ko:K01737	abaz:P795_9335
ko:K02460	abaz:P795_9340
ko:K02459	abaz:P795_9345
ko:K02458	abaz:P795_9350
ko:K02456	abaz:P795_9355
ko:K03424	abaz:P795_9365
ko:K02676	abaz:P795_9370
ko:K02341	abaz:P795_9375
ko:K00979	abaz:P795_9380
ko:K00912	abaz:P795_9385
ko:K11085	abaz:P795_9390
ko:K03559	abaz:P795_9395
ko:K03561	abaz:P795_9400
ko:K03501	abaz:P795_9415
ko:K07102	abaz:P795_9425
ko:K04744	abaz:P795_9430
ko:K03771	abaz:P795_9435
ko:K01624	abaz:P795_9440
ko:K00927	abaz:P795_9450
ko:K09966	abaz:P795_9455
ko:K02858	abaz:P795_13575
ko:K01091	abaz:P795_13580
ko:K00941	abaz:P795_13585
ko:K02078	abaz:P795_13595
ko:K00059	abaz:P795_13600
ko:K00645	abaz:P795_13605
ko:K02911	abaz:P795_13610
ko:K07040	abaz:P795_13615
ko:K09906	abaz:P795_13620
ko:K05896	abaz:P795_13630
ko:K06024	abaz:P795_13635
ko:K06178	abaz:P795_13640
ko:K01935	abaz:P795_13645
ko:K02169	abaz:P795_13650
ko:K00652	abaz:P795_13655
ko:K00833	abaz:P795_13660
ko:K02170	abaz:P795_13665
ko:K01087	abaz:P795_13670
ko:K00697	abaz:P795_13675
ko:K03594	abaz:P795_13685
ko:K01972	abaz:P795_13690
ko:K03528	abaz:P795_13695
ko:K03529	abaz:P795_13700
ko:K03524	abaz:P795_13715
ko:K03525	abaz:P795_13720
ko:K03106	abaz:P795_13725
ko:K05541	abaz:P795_13735
ko:K01494	abaz:P795_13765
ko:K09928	abaz:P795_13775
ko:K01243	abaz:P795_13780
ko:K03593	abaz:P795_13790
ko:K01874	abaz:P795_13800
ko:K07007	abaz:P795_13835
ko:K04763	abaz:P795_18250
ko:K00942	abaz:P795_18275
ko:K01483	abaz:P795_0630
ko:K01477	abaz:P795_0635
ko:K16839	abaz:P795_0640
ko:K07127	abaz:P795_0655
ko:K13038	abaz:P795_2555
ko:K03074	abaz:P795_2560
ko:K03072	abaz:P795_2565
ko:K03210	abaz:P795_2570
ko:K00773	abaz:P795_2575
ko:K03744	abaz:P795_2580
ko:K07568	abaz:P795_2595
ko:K00982	abaz:P795_2605
ko:K00826	abaz:P795_2610
ko:K07276	abaz:P795_2615
ko:K07276	abaz:P795_2630
ko:K01876	abaz:P795_2690
ko:K02014	abaz:P795_2700
ko:K07642	abaz:P795_2740
ko:K07664	abaz:P795_2745
ko:K08997	abaz:P795_2750
ko:K01126	abaz:P795_2765
ko:K00798	abaz:P795_2770
ko:K16092	abaz:P795_2775
ko:K01817	abaz:P795_2780
ko:K01696	abaz:P795_2785
ko:K07044	abaz:P795_2800
ko:K01695	abaz:P795_2810
ko:K01963	abaz:P795_2815
ko:K11754	abaz:P795_2820
ko:K00099	abaz:P795_7005
ko:K11749	abaz:P795_7010
ko:K07277	abaz:P795_7015
ko:K06142	abaz:P795_7020
ko:K02536	abaz:P795_7025
ko:K02372	abaz:P795_7030
ko:K00677	abaz:P795_7035
ko:K03565	abaz:P795_7045
ko:K04762	abaz:P795_7055
ko:K01556	abaz:P795_7090
ko:K03321	abaz:P795_7110
ko:K00117	abaz:P795_7120
ko:K02769	abaz:P795_7145
ko:K02770	abaz:P795_7145
ko:K00882	abaz:P795_7150
ko:K03311	abaz:P795_7180
ko:K01265	abaz:P795_7185
ko:K07390	abaz:P795_7200
ko:K03110	abaz:P795_7235
ko:K07078	abaz:P795_7240
ko:K09909	abaz:P795_7245
ko:K00426	abaz:P795_7260
ko:K00425	abaz:P795_7265
ko:K07213	abaz:P795_11405
ko:K05549	abaz:P795_11415
ko:K05550	abaz:P795_11420
ko:K05784	abaz:P795_11425
ko:K05783	abaz:P795_11430
ko:K05782	abaz:P795_11435
ko:K05548	abaz:P795_11440
ko:K16872	abaz:P795_11450
ko:K03578	abaz:P795_11455
ko:K03386	abaz:P795_11460
ko:K03387	abaz:P795_11480
ko:K00799	abaz:P795_11490
ko:K07004	abaz:P795_11495
ko:K03439	abaz:P795_11500
ko:K00799	abaz:P795_11505
ko:K01465	abaz:P795_11520
ko:K00609	abaz:P795_11525
ko:K12297	abaz:P795_11535
ko:K03743	abaz:P795_11545
ko:K03695	abaz:P795_11550
ko:K07397	abaz:P795_11565
ko:K10914	abaz:P795_11570
ko:K01939	abaz:P795_11590
ko:K02502	abaz:P795_11595
ko:K00134	abaz:P795_11600
ko:K01872	abaz:P795_11605
ko:K00928	abaz:P795_11610
ko:K03563	abaz:P795_11615
ko:K03470	abaz:P795_11620
ko:K12262	abaz:P795_11630
ko:K06901	abaz:P795_11640
ko:K10778	abaz:P795_15710
ko:K00995	abaz:P795_15715
ko:K03703	abaz:P795_15725
ko:K01825	abaz:P795_15745
ko:K07002	abaz:P795_15765
ko:K04079	abaz:P795_15795
ko:K07275	abaz:P795_15805
ko:K07084	abaz:P795_15810
ko:K03046	abaz:P795_15835
ko:K03043	abaz:P795_15840
ko:K02935	abaz:P795_15845
ko:K02864	abaz:P795_15850
ko:K02863	abaz:P795_15855
ko:K02867	abaz:P795_15860
ko:K02601	abaz:P795_15865
ko:K03073	abaz:P795_15875
ko:K02358	abaz:P795_15880
ko:K01657	abaz:P795_15885
ko:K01091	abaz:P795_15890
ko:K02453	abaz:P795_15900
ko:K02452	abaz:P795_15905
ko:K02463	abaz:P795_15910
ko:K07107	abaz:P795_15920
ko:K01719	abaz:P795_15935
ko:K01749	abaz:P795_15940
ko:K08083	abaz:P795_15945
ko:K08082	abaz:P795_15950
ko:K16840	abaz:P795_0660
ko:K16842	abaz:P795_0665
ko:K04084	abaz:P795_0685
ko:K01142	abaz:P795_0710
ko:K00762	abaz:P795_0715
ko:K02014	abaz:P795_0720
ko:K01920	abaz:P795_0730
ko:K02563	abaz:P795_0735
ko:K01924	abaz:P795_0740
ko:K01921	abaz:P795_0745
ko:K03589	abaz:P795_0750
ko:K03590	abaz:P795_0755
ko:K03531	abaz:P795_0760
ko:K02535	abaz:P795_0765
ko:K00163	abaz:P795_0780
ko:K00627	abaz:P795_0785
ko:K02014	abaz:P795_0800
ko:K06940	abaz:P795_0810
ko:K00088	abaz:P795_0815
ko:K03431	abaz:P795_0820
ko:K00275	abaz:P795_0825
ko:K07462	abaz:P795_0830
ko:K02836	abaz:P795_0845
ko:K02527	abaz:P795_0860
ko:K01895	abaz:P795_0880
ko:K17228	abaz:P795_0895
ko:K01599	abaz:P795_5070
ko:K01495	abaz:P795_5095
ko:K13481	abaz:P795_5100
ko:K13482	abaz:P795_5105
ko:K07402	abaz:P795_5110
ko:K01609	abaz:P795_5120
ko:K00766	abaz:P795_5125
ko:K01658	abaz:P795_5140
ko:K01262	abaz:P795_5145
ko:K03305	abaz:P795_5150
ko:K01915	abaz:P795_5155
ko:K03181	abaz:P795_5160
ko:K03179	abaz:P795_5165
ko:K04564	abaz:P795_5185
ko:K04691	abaz:P795_5195
ko:K00974	abaz:P795_5200
ko:K00029	abaz:P795_5205
ko:K09761	abaz:P795_5215
ko:K00297	abaz:P795_5220
ko:K01251	abaz:P795_5225
ko:K01607	abaz:P795_5235
ko:K06445	abaz:P795_5240
ko:K03644	abaz:P795_5245
ko:K00322	abaz:P795_5250
ko:K02575	abaz:P795_5265
ko:K01265	abaz:P795_5275
ko:K02967	abaz:P795_5280
ko:K02357	abaz:P795_5285
ko:K03642	abaz:P795_5315
ko:K08305	abaz:P795_5320
ko:K05837	abaz:P795_5325
ko:K07862	abaz:P795_9480
ko:K09912	abaz:P795_9490
ko:K02437	abaz:P795_9510
ko:K12410	abaz:P795_9515
ko:K11928	abaz:P795_9520
ko:K13821	abaz:P795_9530
ko:K07397	abaz:P795_9565
ko:K00615	abaz:P795_9570
ko:K00789	abaz:P795_9580
ko:K07113	abaz:P795_9595
ko:K03823	abaz:P795_9605
ko:K01159	abaz:P795_9615
ko:K01012	abaz:P795_9630
ko:K07345	abaz:P795_9645
ko:K07347	abaz:P795_9655
ko:K03457	abaz:P795_9695
ko:K10004	abaz:P795_9745
ko:K00528	abaz:P795_13860
ko:K00761	abaz:P795_13875
ko:K00343	abaz:P795_13880
ko:K00342	abaz:P795_13885
ko:K00341	abaz:P795_13890
ko:K00340	abaz:P795_13895
ko:K00339	abaz:P795_13900
ko:K00338	abaz:P795_13905
ko:K00337	abaz:P795_13910
ko:K00334	abaz:P795_13925
ko:K13378	abaz:P795_13930
ko:K00331	abaz:P795_13935
ko:K00330	abaz:P795_13940
ko:K07639	abaz:P795_13955
ko:K07661	abaz:P795_13960
ko:K06885	abaz:P795_14030
ko:K09024	abaz:P795_14040
ko:K00549	abaz:P795_14045
ko:K03288	abaz:P795_14085
ko:K13794	abaz:P795_14095
ko:K13796	abaz:P795_14100
ko:K13795	abaz:P795_14105
ko:K08196	abaz:P795_14115
ko:K06188	abaz:P795_1185
ko:K02500	abaz:P795_1200
ko:K02204	abaz:P795_1205
ko:K01814	abaz:P795_1230
ko:K02501	abaz:P795_1245
ko:K01693	abaz:P795_1250
ko:K07638	abaz:P795_1270
ko:K07659	abaz:P795_1275
ko:K06959	abaz:P795_1280
ko:K01673	abaz:P795_1285
ko:K01740	abaz:P795_1295
ko:K15725	abaz:P795_1325
ko:K15727	abaz:P795_1330
ko:K15726	abaz:P795_1335
ko:K16264	abaz:P795_1340
ko:K01885	abaz:P795_1370
ko:K02048	abaz:P795_1380
ko:K03438	abaz:P795_1385
ko:K03586	abaz:P795_1390
ko:K03587	abaz:P795_1395
ko:K01928	abaz:P795_1400
ko:K01929	abaz:P795_1405
ko:K01000	abaz:P795_1410
ko:K00563	abaz:P795_1420
ko:K05366	abaz:P795_1425
ko:K02662	abaz:P795_1430
ko:K04085	abaz:P795_5615
ko:K03704	abaz:P795_5620
ko:K03732	abaz:P795_5625
ko:K00057	abaz:P795_5640
ko:K08296	abaz:P795_5645
ko:K02461	abaz:P795_5650
ko:K02462	abaz:P795_5655
ko:K00254	abaz:P795_5660
ko:K03558	abaz:P795_5665
ko:K00764	abaz:P795_5670
ko:K00090	abaz:P795_5685
ko:K09117	abaz:P795_5695
ko:K02970	abaz:P795_5700
ko:K01409	abaz:P795_5705
ko:K06923	abaz:P795_5715
ko:K15125	abaz:P795_5735
ko:K00822	abaz:P795_5765
ko:K00140	abaz:P795_5770
ko:K11735	abaz:P795_5775
ko:K03821	abaz:P795_5830
ko:K03312	abaz:P795_5835
ko:K06923	abaz:P795_5840
ko:K07346	abaz:P795_5875
ko:K07347	abaz:P795_5880
ko:K00425	abaz:P795_10030
ko:K00426	abaz:P795_10035
ko:K13928	abaz:P795_10050
ko:K13935	abaz:P795_10065
ko:K13934	abaz:P795_10070
ko:K13933	abaz:P795_10075
ko:K13932	abaz:P795_10080
ko:K13931	abaz:P795_10085
ko:K13930	abaz:P795_10090
ko:K13929	abaz:P795_10095
ko:K03566	abaz:P795_10100
ko:K07734	abaz:P795_10120
ko:K00375	abaz:P795_10125
ko:K06518	abaz:P795_10135
ko:K11209	abaz:P795_10150
ko:K00059	abaz:P795_10160
ko:K00640	abaz:P795_10170
ko:K11717	abaz:P795_10180
ko:K02030	abaz:P795_10195
ko:K02030	abaz:P795_10200
ko:K02028	abaz:P795_10205
ko:K02029	abaz:P795_10210
ko:K02029	abaz:P795_10215
ko:K06975	abaz:P795_10220
ko:K03781	abaz:P795_10275
ko:K03743	abaz:P795_10285
ko:K02221	abaz:P795_14365
ko:K00286	abaz:P795_14370
ko:K04075	abaz:P795_14375
ko:K01962	abaz:P795_14380
ko:K01524	abaz:P795_14385
ko:K03671	abaz:P795_14390
ko:K03628	abaz:P795_14395
ko:K04764	abaz:P795_14405
ko:K03070	abaz:P795_2845
ko:K11068	abaz:P795_2860
ko:K01782	abaz:P795_2885
ko:K00626	abaz:P795_2890
ko:K07267	abaz:P795_2905
ko:K00117	abaz:P795_2910
ko:K00381	abaz:P795_2915
ko:K04750	abaz:P795_2930
ko:K00626	abaz:P795_2935
ko:K08084	abaz:P795_2940
ko:K03286	abaz:P795_2945
ko:K14415	abaz:P795_2955
ko:K11733	abaz:P795_2960
ko:K11733	abaz:P795_2965
ko:K00564	abaz:P795_2970
ko:K16345	abaz:P795_2975
ko:K06207	abaz:P795_2980
ko:K03282	abaz:P795_2985
ko:K03769	abaz:P795_2995
ko:K10563	abaz:P795_3000
ko:K03652	abaz:P795_3005
ko:K02014	abaz:P795_3010
ko:K07088	abaz:P795_3020
ko:K03981	abaz:P795_3030
ko:K06980	abaz:P795_3035
ko:K06193	abaz:P795_3050
ko:K09946	abaz:P795_3055
ko:K01881	abaz:P795_3060
ko:K02657	abaz:P795_3080
ko:K02658	abaz:P795_3085
ko:K02659	abaz:P795_3090
ko:K02660	abaz:P795_3095
ko:K01439	abaz:P795_3110
ko:K16090	abaz:P795_7290
ko:K06972	abaz:P795_7295
ko:K01058	abaz:P795_7300
ko:K03498	abaz:P795_7305
ko:K03499	abaz:P795_7310
ko:K01754	abaz:P795_7315
ko:K01807	abaz:P795_7320
ko:K07043	abaz:P795_7325
ko:K00145	abaz:P795_7335
ko:K06891	abaz:P795_7345
ko:K03694	abaz:P795_7350
ko:K09771	abaz:P795_7355
ko:K01626	abaz:P795_7360
ko:K00219	abaz:P795_7375
ko:K07019	abaz:P795_7390
ko:K07044	abaz:P795_7395
ko:K01937	abaz:P795_7405
ko:K01627	abaz:P795_7410
ko:K01689	abaz:P795_7415
ko:K05589	abaz:P795_7425
ko:K00991	abaz:P795_7430
ko:K01055	abaz:P795_7460
ko:K01434	abaz:P795_7465
ko:K00276	abaz:P795_7480
ko:K00059	abaz:P795_7500
ko:K01426	abaz:P795_7530
ko:K06911	abaz:P795_11665
ko:K03333	abaz:P795_11715
ko:K01130	abaz:P795_11730
ko:K11475	abaz:P795_11755
ko:K05819	abaz:P795_11765
ko:K12508	abaz:P795_11780
ko:K01707	abaz:P795_11820
ko:K01706	abaz:P795_11825
ko:K03535	abaz:P795_11830
ko:K01890	abaz:P795_14410
ko:K01889	abaz:P795_14415
