ko:K18816	cln:UPTC3659_1111
ko:K01696	cln:UPTC3659_1555
ko:K03701	cln:UPTC3659_1558
ko:K02916	cln:UPTC3659_0049
ko:K02887	cln:UPTC3659_0050
ko:K09816	cln:UPTC3659_0052
ko:K09817	cln:UPTC3659_0053
ko:K09815	cln:UPTC3659_0054
ko:K01465	cln:UPTC3659_0058
ko:K00901	cln:UPTC3659_0060
ko:K03760	cln:UPTC3659_0061
ko:K01142	cln:UPTC3659_0062
ko:K04564	cln:UPTC3659_0068
ko:K01933	cln:UPTC3659_0070
ko:K00859	cln:UPTC3659_0071
ko:K01778	cln:UPTC3659_0072
ko:K03796	cln:UPTC3659_0073
ko:K07133	cln:UPTC3659_0074
ko:K02946	cln:UPTC3659_0076
ko:K02906	cln:UPTC3659_0077
ko:K02926	cln:UPTC3659_0078
ko:K02892	cln:UPTC3659_0079
ko:K02886	cln:UPTC3659_0080
ko:K02965	cln:UPTC3659_0081
ko:K02890	cln:UPTC3659_0082
ko:K02982	cln:UPTC3659_0083
ko:K02878	cln:UPTC3659_0084
ko:K02904	cln:UPTC3659_0085
ko:K02961	cln:UPTC3659_0086
ko:K02874	cln:UPTC3659_0087
ko:K02895	cln:UPTC3659_0088
ko:K02931	cln:UPTC3659_0089
ko:K02954	cln:UPTC3659_0090
ko:K02994	cln:UPTC3659_0091
ko:K02933	cln:UPTC3659_0092
ko:K02881	cln:UPTC3659_0093
ko:K02988	cln:UPTC3659_0094
ko:K02876	cln:UPTC3659_0095
ko:K03076	cln:UPTC3659_0096
ko:K01776	cln:UPTC3659_0097
ko:K01424	cln:UPTC3659_0098
ko:K00244	cln:UPTC3659_0351
ko:K00245	cln:UPTC3659_0352
ko:K03923	cln:UPTC3659_0355
ko:K06152	cln:UPTC3659_0356
ko:K06151	cln:UPTC3659_0357
ko:K03098	cln:UPTC3659_0359
ko:K13979	cln:UPTC3659_0360
ko:K03427	cln:UPTC3659_0362
ko:K03750	cln:UPTC3659_0366
ko:K03635	cln:UPTC3659_0367
ko:K03636	cln:UPTC3659_0368
ko:K13747	cln:UPTC3659_0370
ko:K00127	cln:UPTC3659_0371
ko:K00123	cln:UPTC3659_0374
ko:K00124	cln:UPTC3659_0375
ko:K01008	cln:UPTC3659_0378
ko:K13821	cln:UPTC3659_0379
ko:K11928	cln:UPTC3659_0380
ko:K07112	cln:UPTC3659_0382
ko:K01939	cln:UPTC3659_0384
ko:K09804	cln:UPTC3659_0387
ko:K01956	cln:UPTC3659_0388
ko:K09792	cln:UPTC3659_0389
ko:K00404	cln:UPTC3659_0390
ko:K00405	cln:UPTC3659_0391
ko:K00407	cln:UPTC3659_0392
ko:K00406	cln:UPTC3659_0393
ko:K03582	cln:UPTC3659_0398
ko:K02871	cln:UPTC3659_0400
ko:K02996	cln:UPTC3659_0401
ko:K11749	cln:UPTC3659_0719
ko:K00995	cln:UPTC3659_0720
ko:K00076	cln:UPTC3659_0721
ko:K01714	cln:UPTC3659_0722
ko:K00254	cln:UPTC3659_0724
ko:K11085	cln:UPTC3659_0725
ko:K01883	cln:UPTC3659_0726
ko:K03980	cln:UPTC3659_0727
ko:K03550	cln:UPTC3659_0729
ko:K01921	cln:UPTC3659_0730
ko:K01929	cln:UPTC3659_0733
ko:K02393	cln:UPTC3659_0734
ko:K13788	cln:UPTC3659_0735
ko:K00925	cln:UPTC3659_0736
ko:K02073	cln:UPTC3659_0737
ko:K02072	cln:UPTC3659_0739
ko:K02071	cln:UPTC3659_0740
ko:K01873	cln:UPTC3659_0741
ko:K01507	cln:UPTC3659_0743
ko:K00939	cln:UPTC3659_0744
ko:K01876	cln:UPTC3659_0745
ko:K00858	cln:UPTC3659_0746
ko:K03631	cln:UPTC3659_0747
ko:K03424	cln:UPTC3659_0749
ko:K08307	cln:UPTC3659_0750
ko:K03642	cln:UPTC3659_0751
ko:K03270	cln:UPTC3659_0752
ko:K09774	cln:UPTC3659_0754
ko:K03978	cln:UPTC3659_0755
ko:K05515	cln:UPTC3659_0757
ko:K07568	cln:UPTC3659_0758
ko:K03118	cln:UPTC3659_0759
ko:K03117	cln:UPTC3659_0760
ko:K07089	cln:UPTC3659_0761
ko:K03325	cln:UPTC3659_0764
ko:K07226	cln:UPTC3659_0765
ko:K05685	cln:UPTC3659_1127
ko:K13888	cln:UPTC3659_1128
ko:K05939	cln:UPTC3659_1130
ko:K06978	cln:UPTC3659_1131
ko:K00384	cln:UPTC3659_1133
ko:K06940	cln:UPTC3659_1135
ko:K01609	cln:UPTC3659_1137
ko:K06917	cln:UPTC3659_1139
ko:K03306	cln:UPTC3659_1140
ko:K00097	cln:UPTC3659_1141
ko:K03474	cln:UPTC3659_1142
ko:K01524	cln:UPTC3659_1143
ko:K09117	cln:UPTC3659_1144
ko:K01173	cln:UPTC3659_1145
ko:K04043	cln:UPTC3659_1147
ko:K03687	cln:UPTC3659_1149
ko:K03705	cln:UPTC3659_1150
ko:K02400	cln:UPTC3659_1154
ko:K02956	cln:UPTC3659_1156
ko:K07447	cln:UPTC3659_1158
ko:K04096	cln:UPTC3659_1159
ko:K09798	cln:UPTC3659_1160
ko:K00053	cln:UPTC3659_1161
ko:K12573	cln:UPTC3659_1162
ko:K02340	cln:UPTC3659_1163
ko:K02990	cln:UPTC3659_1164
ko:K02963	cln:UPTC3659_1166
ko:K05595	cln:UPTC3659_1167
ko:K00286	cln:UPTC3659_1171
ko:K13626	cln:UPTC3659_1172
ko:K05807	cln:UPTC3659_1173
ko:K01338	cln:UPTC3659_1174
ko:K00831	cln:UPTC3659_1559
ko:K03601	cln:UPTC3659_1560
ko:K03183	cln:UPTC3659_1561
ko:K09825	cln:UPTC3659_1563
ko:K01662	cln:UPTC3659_1564
ko:K02411	cln:UPTC3659_1565
ko:K02410	cln:UPTC3659_1566
ko:K02409	cln:UPTC3659_1567
ko:K00817	cln:UPTC3659_1568
ko:K14170	cln:UPTC3659_1569
ko:K02566	cln:UPTC3659_1570
ko:K01586	cln:UPTC3659_1571
ko:K11720	cln:UPTC3659_1572
ko:K01056	cln:UPTC3659_1573
ko:K02897	cln:UPTC3659_1574
ko:K00616	cln:UPTC3659_1577
ko:K01079	cln:UPTC3659_1578
ko:K03408	cln:UPTC3659_1579
ko:K03407	cln:UPTC3659_1580
ko:K03415	cln:UPTC3659_1581
ko:K03269	cln:UPTC3659_1582
ko:K03624	cln:UPTC3659_1583
ko:K00748	cln:UPTC3659_1584
ko:K01258	cln:UPTC3659_1589
ko:K03326	cln:UPTC3659_1590
ko:K05995	cln:UPTC3659_1591
ko:K03787	cln:UPTC3659_1592
ko:K03830	cln:UPTC3659_1594
ko:K02169	cln:UPTC3659_1596
ko:K09789	cln:UPTC3659_1597
ko:K00652	cln:UPTC3659_1598
ko:K07126	cln:UPTC3659_1599
ko:K00833	cln:UPTC3659_1600
ko:K01935	cln:UPTC3659_1601
ko:K18925	cln:UPTC3659_1602
ko:K18924	cln:UPTC3659_1603
ko:K03470	cln:UPTC3659_0101
ko:K03837	cln:UPTC3659_0103
ko:K01752	cln:UPTC3659_0104
ko:K01265	cln:UPTC3659_0105
ko:K03406	cln:UPTC3659_0106
ko:K00428	cln:UPTC3659_0107
ko:K02518	cln:UPTC3659_0109
ko:K02919	cln:UPTC3659_0110
ko:K02952	cln:UPTC3659_0111
ko:K02948	cln:UPTC3659_0112
ko:K02986	cln:UPTC3659_0113
ko:K03040	cln:UPTC3659_0114
ko:K02879	cln:UPTC3659_0115
ko:K00765	cln:UPTC3659_0116
ko:K00013	cln:UPTC3659_0117
ko:K01089	cln:UPTC3659_0118
ko:K02501	cln:UPTC3659_0119
ko:K01814	cln:UPTC3659_0120
ko:K02500	cln:UPTC3659_0121
ko:K11755	cln:UPTC3659_0122
ko:K02390	cln:UPTC3659_0123
ko:K07552	cln:UPTC3659_0125
ko:K01928	cln:UPTC3659_0128
ko:K09747	cln:UPTC3659_0129
ko:K00795	cln:UPTC3659_0131
ko:K00615	cln:UPTC3659_0132
ko:K02066	cln:UPTC3659_0133
ko:K02065	cln:UPTC3659_0134
ko:K02067	cln:UPTC3659_0135
ko:K18480	cln:UPTC3659_0136
ko:K09981	cln:UPTC3659_0141
ko:K03648	cln:UPTC3659_0142
ko:K02484	cln:UPTC3659_0143
ko:K03575	cln:UPTC3659_0147
ko:K01091	cln:UPTC3659_0403
ko:K03737	cln:UPTC3659_0404
ko:K02453	cln:UPTC3659_0406
ko:K02454	cln:UPTC3659_0408
ko:K02455	cln:UPTC3659_0409
ko:K07090	cln:UPTC3659_0410
ko:K02396	cln:UPTC3659_0412
ko:K02394	cln:UPTC3659_0416
ko:K00946	cln:UPTC3659_0421
ko:K06176	cln:UPTC3659_0422
ko:K03839	cln:UPTC3659_0424
ko:K03406	cln:UPTC3659_0425
ko:K09979	cln:UPTC3659_0426
ko:K05927	cln:UPTC3659_0430
ko:K01803	cln:UPTC3659_0431
ko:K00927	cln:UPTC3659_0432
ko:K00134	cln:UPTC3659_0433
ko:K00969	cln:UPTC3659_0434
ko:K09710	cln:UPTC3659_0435
ko:K03286	cln:UPTC3659_0402
ko:K01679	cln:UPTC3659_0444
ko:K00820	cln:UPTC3659_0445
ko:K00990	cln:UPTC3659_0446
ko:K18285	cln:UPTC3659_0447
ko:K06901	cln:UPTC3659_0448
ko:K00769	cln:UPTC3659_0449
ko:K08311	cln:UPTC3659_0767
ko:K00928	cln:UPTC3659_0768
ko:K02341	cln:UPTC3659_0770
ko:K00796	cln:UPTC3659_0771
ko:K01972	cln:UPTC3659_0772
ko:K06442	cln:UPTC3659_0773
ko:K11753	cln:UPTC3659_0774
ko:K15256	cln:UPTC3659_0775
ko:K06942	cln:UPTC3659_0781
ko:K01255	cln:UPTC3659_0782
ko:K00759	cln:UPTC3659_0784
ko:K01808	cln:UPTC3659_0786
ko:K03412	cln:UPTC3659_0787
ko:K00575	cln:UPTC3659_0788
ko:K11784	cln:UPTC3659_0790
ko:K03655	cln:UPTC3659_0792
ko:K02029	cln:UPTC3659_0794
ko:K02029	cln:UPTC3659_0795
ko:K02028	cln:UPTC3659_0796
ko:K02030	cln:UPTC3659_0797
ko:K09944	cln:UPTC3659_0802
ko:K01735	cln:UPTC3659_0803
ko:K03831	cln:UPTC3659_0807
ko:K04079	cln:UPTC3659_0810
ko:K06199	cln:UPTC3659_0811
ko:K00655	cln:UPTC3659_0812
ko:K01754	cln:UPTC3659_1177
ko:K06929	cln:UPTC3659_1178
ko:K00567	cln:UPTC3659_1185
ko:K06173	cln:UPTC3659_1187
ko:K07091	cln:UPTC3659_1188
ko:K02654	cln:UPTC3659_1189
ko:K00806	cln:UPTC3659_1190
ko:K13038	cln:UPTC3659_1192
ko:K18138	cln:UPTC3659_1770
ko:K18992	cln:UPTC3659_1768
ko:K00335	cln:UPTC3659_1653
ko:K03297	cln:UPTC3659_1507
ko:K03526	cln:UPTC3659_1402
ko:K03496	cln:UPTC3659_0205
ko:K03497	cln:UPTC3659_0206
ko:K03502	cln:UPTC3659_1486
ko:K00662	cln:UPTC3659_1527
ko:K03111	cln:UPTC3659_1165
ko:K04565	cln:UPTC3659_0138
ko:K07452	cln:UPTC3659_0242
ko:K07097	cln:UPTC3659_1153
ko:K15461	cln:UPTC3659_0715
ko:K00557	cln:UPTC3659_1181
ko:K00336	cln:UPTC3659_1652
ko:K11015	cln:UPTC3659_1586
ko:K17251	cln:UPTC3659_1473
ko:K19147	cln:UPTC3659_0243
ko:K17249	cln:UPTC3659_1471
ko:K15897	cln:UPTC3659_1536
ko:K00571	cln:UPTC3659_1608
ko:K15912	cln:UPTC3659_1478
ko:K15913	cln:UPTC3659_1476
ko:K15914	cln:UPTC3659_1474
ko:K15342	cln:UPTC3659_0259
ko:K00571	cln:UPTC3659_0642
ko:K00354	cln:UPTC3659_0102
ko:K09951	cln:UPTC3659_0260
ko:K22468	cln:UPTC3659_1114
ko:K15910	cln:UPTC3659_1477
ko:K01978	cln:UPTC3659_0878
ko:K04771	cln:UPTC3659_0896
ko:K15899	cln:UPTC3659_1532
ko:K03892	cln:UPTC3659_0762
ko:K15915	cln:UPTC3659_1475
ko:K06867	cln:UPTC3659_0294
ko:K19353	cln:UPTC3659_1458
ko:K19416	cln:UPTC3659_1715
ko:K06867	cln:UPTC3659_1184
ko:K15669	cln:UPTC3659_0328
ko:K07216	cln:UPTC3659_0776
ko:K07216	cln:UPTC3659_0777
ko:K07216	cln:UPTC3659_1320
ko:K07216	cln:UPTC3659_1321
ko:K10938	cln:UPTC3659_1585
ko:K10938	cln:UPTC3659_0833
ko:K07147	cln:UPTC3659_1288
ko:K21636	cln:UPTC3659_0066
ko:K09796	cln:UPTC3659_1352
ko:K20810	cln:UPTC3659_0246
ko:K00525	cln:UPTC3659_0030
ko:K14227	cln:UPTC3659_0485
ko:K14227	cln:UPTC3659_0551
ko:K14227	cln:UPTC3659_1670
ko:K01980	cln:UPTC3659_0486
ko:K01985	cln:UPTC3659_0487
ko:K01985	cln:UPTC3659_0553
ko:K01985	cln:UPTC3659_1668
ko:K14234	cln:UPTC3659_0456
ko:K14230	cln:UPTC3659_0700
ko:K14230	cln:UPTC3659_0701
ko:K14228	cln:UPTC3659_1755
ko:K14229	cln:UPTC3659_0538
ko:K14229	cln:UPTC3659_0541
ko:K14229	cln:UPTC3659_0544
ko:K14220	cln:UPTC3659_0563
ko:K14231	cln:UPTC3659_0309
ko:K15035	cln:UPTC3659_1492
ko:K14238	cln:UPTC3659_0383
ko:K14219	cln:UPTC3659_0622
ko:K01977	cln:UPTC3659_0483
ko:K01977	cln:UPTC3659_1672
ko:K01977	cln:UPTC3659_0549
ko:K14236	cln:UPTC3659_0457
ko:K14224	cln:UPTC3659_0064
ko:K14224	cln:UPTC3659_1699
ko:K14224	cln:UPTC3659_0545
ko:K14218	cln:UPTC3659_0075
ko:K14233	cln:UPTC3659_0152
ko:K14228	cln:UPTC3659_1431
ko:K14233	cln:UPTC3659_1485
ko:K14228	cln:UPTC3659_1675
ko:K14233	cln:UPTC3659_1753
ko:K07100	cln:UPTC3659_0536
ko:K14235	cln:UPTC3659_0462
ko:K01023	cln:UPTC3659_0595
ko:K22333	cln:UPTC3659_1595
ko:K01023	cln:UPTC3659_0594
ko:K14230	cln:UPTC3659_0154
ko:K14225	cln:UPTC3659_0458
ko:K14225	cln:UPTC3659_0850
ko:K14225	cln:UPTC3659_1756
ko:K14234	cln:UPTC3659_0459
ko:K14218	cln:UPTC3659_0484
ko:K14218	cln:UPTC3659_0550
ko:K14218	cln:UPTC3659_1671
ko:K14237	cln:UPTC3659_0539
ko:K14237	cln:UPTC3659_0542
ko:K14221	cln:UPTC3659_0540
ko:K14221	cln:UPTC3659_0543
ko:K01980	cln:UPTC3659_0552
ko:K14219	cln:UPTC3659_0634
ko:K01980	cln:UPTC3659_1669
ko:K14237	cln:UPTC3659_1779
ko:K14219	cln:UPTC3659_1676
ko:K14219	cln:UPTC3659_1677
ko:K14223	cln:UPTC3659_0699
ko:K14228	cln:UPTC3659_0940
ko:K14226	cln:UPTC3659_1678
ko:K14232	cln:UPTC3659_1679
ko:K14222	cln:UPTC3659_1754
ko:K02335	cln:UPTC3659_1551
ko:K03553	cln:UPTC3659_0171
ko:K02314	cln:UPTC3659_1452
ko:K03465	cln:UPTC3659_0016
ko:K10747	cln:UPTC3659_0051
ko:K04068	cln:UPTC3659_0067
ko:K02316	cln:UPTC3659_1706
ko:K02483	cln:UPTC3659_0522
ko:K02483	cln:UPTC3659_0897
ko:K02031	cln:UPTC3659_1660
ko:K02032	cln:UPTC3659_1659
ko:K02481	cln:UPTC3659_0558
ko:K01139	cln:UPTC3659_0711
ko:K00526	cln:UPTC3659_1720
ko:K07741	cln:UPTC3659_0638
ko:K21420	cln:UPTC3659_0625
ko:K02483	cln:UPTC3659_0195
ko:K01420	cln:UPTC3659_0901
ko:K10026	cln:UPTC3659_1638
ko:K07401	cln:UPTC3659_1783
ko:K21929	cln:UPTC3659_0587
ko:K03741	cln:UPTC3659_0763
ko:K03595	cln:UPTC3659_0875
ko:K18918	cln:UPTC3659_1322
ko:K14441	cln:UPTC3659_0278
ko:K22391	cln:UPTC3659_1212
ko:K17758	cln:UPTC3659_1682
ko:K17759	cln:UPTC3659_1682
ko:K22424	cln:UPTC3659_1407
