ko:K19078	sue:SAOV_0693
ko:K03188	sue:SAOV_2331
ko:K03189	sue:SAOV_2332
ko:K03190	sue:SAOV_2333
ko:K03315	sue:SAOV_2340c
ko:K09940	sue:SAOV_2342
ko:K00123	sue:SAOV_2349c
ko:K00174	sue:SAOV_1291
ko:K00175	sue:SAOV_1292
ko:K06168	sue:SAOV_1294
ko:K03555	sue:SAOV_1297
ko:K03572	sue:SAOV_1298
ko:K02440	sue:SAOV_1300
ko:K00864	sue:SAOV_1301
ko:K00111	sue:SAOV_1302
ko:K00791	sue:SAOV_1304
ko:K03666	sue:SAOV_1305
ko:K00432	sue:SAOV_1306c
ko:K03665	sue:SAOV_1307
ko:K01915	sue:SAOV_1310
ko:K01620	sue:SAOV_1329c
ko:K06131	sue:SAOV_1331
ko:K07778	sue:SAOV_1334
ko:K00928	sue:SAOV_1340c
ko:K00003	sue:SAOV_1341
ko:K01733	sue:SAOV_1342
ko:K00872	sue:SAOV_1343
ko:K03781	sue:SAOV_1347
ko:K02913	sue:SAOV_1348
ko:K02954	sue:SAOV_1349
ko:K00364	sue:SAOV_1350
ko:K01476	sue:SAOV_2203c
ko:K11068	sue:SAOV_2217c
ko:K07038	sue:SAOV_2219c
ko:K02015	sue:SAOV_2222c
ko:K02015	sue:SAOV_2223c
ko:K02016	sue:SAOV_2224c
ko:K02787	sue:SAOV_2237c
ko:K02788	sue:SAOV_2237c
ko:K12410	sue:SAOV_2244
ko:K01575	sue:SAOV_2251c
ko:K01652	sue:SAOV_2252c
ko:K03655	sue:SAOV_2254c
ko:K02996	sue:SAOV_2255c
ko:K02871	sue:SAOV_2256c
ko:K00077	sue:SAOV_2493c
ko:K01443	sue:SAOV_0735
ko:K03701	sue:SAOV_0796
ko:K05311	sue:SAOV_0813
ko:K01356	sue:SAOV_1352c
ko:K00615	sue:SAOV_1355
ko:K03547	sue:SAOV_1358
ko:K03282	sue:SAOV_1360c
ko:K01681	sue:SAOV_1362
ko:K07107	sue:SAOV_1363
ko:K08591	sue:SAOV_1365c
ko:K02622	sue:SAOV_1366
ko:K02621	sue:SAOV_1367
ko:K03310	sue:SAOV_1368
ko:K03480	sue:SAOV_1369
ko:K14205	sue:SAOV_1371
ko:K01657	sue:SAOV_1377
ko:K00766	sue:SAOV_1379
ko:K01609	sue:SAOV_1380
ko:K01817	sue:SAOV_1381
ko:K01696	sue:SAOV_1382
ko:K01695	sue:SAOV_1383
ko:K02034	sue:SAOV_1390c
ko:K02039	sue:SAOV_1394c
ko:K02036	sue:SAOV_1395c
ko:K02038	sue:SAOV_1396c
ko:K02037	sue:SAOV_1397c
ko:K00243	sue:SAOV_1400c
ko:K00928	sue:SAOV_1402
ko:K00133	sue:SAOV_1403
ko:K01714	sue:SAOV_1404
ko:K00215	sue:SAOV_1405
ko:K00887	sue:SAOV_1569
ko:K16301	sue:SAOV_0368
ko:K05352	sue:SAOV_0195
ko:K09692	sue:SAOV_0673
ko:K02822	sue:SAOV_0355c
ko:K10823	sue:SAOV_0935
ko:K02035	sue:SAOV_0937
ko:K02033	sue:SAOV_0940
ko:K07816	sue:SAOV_0951
ko:K03455	sue:SAOV_0955
ko:K05362	sue:SAOV_0963
ko:K07052	sue:SAOV_0975
ko:K02552	sue:SAOV_0988
ko:K08680	sue:SAOV_0990
ko:K09825	sue:SAOV_1888
ko:K11085	sue:SAOV_1893
ko:K07586	sue:SAOV_1894
ko:K09693	sue:SAOV_1898
ko:K03475	sue:SAOV_0354c
ko:K07729	sue:SAOV_0373
ko:K01226	sue:SAOV_0493
ko:K00625	sue:SAOV_0622
ko:K07258	sue:SAOV_0677c
ko:K00841	sue:SAOV_0996c
ko:K11189	sue:SAOV_1027
ko:K08483	sue:SAOV_1028
ko:K03499	sue:SAOV_1032
ko:K11072	sue:SAOV_1043
ko:K11071	sue:SAOV_1044
ko:K11069	sue:SAOV_1046
ko:K09685	sue:SAOV_0518
ko:K01092	sue:SAOV_1051
ko:K01958	sue:SAOV_1056
ko:K01104	sue:SAOV_1979
ko:K07009	sue:SAOV_1990
ko:K02342	sue:SAOV_1993
ko:K02433	sue:SAOV_2000
ko:K02371	sue:SAOV_2004
ko:K07094	sue:SAOV_2008
ko:K01916	sue:SAOV_2015
ko:K04518	sue:SAOV_2018
ko:K15986	sue:SAOV_2022
ko:K02821	sue:SAOV_0356c
ko:K03976	sue:SAOV_0731
ko:K00869	sue:SAOV_0624
ko:K13953	sue:SAOV_0640
ko:K05565	sue:SAOV_0658
ko:K03486	sue:SAOV_0494
ko:K16013	sue:SAOV_0719
ko:K03436	sue:SAOV_0732
ko:K03471	sue:SAOV_1136c
ko:K00241	sue:SAOV_1144
ko:K02428	sue:SAOV_1148
ko:K01439	sue:SAOV_2043
ko:K07052	sue:SAOV_2050
ko:K07052	sue:SAOV_2068
ko:K07706	sue:SAOV_2075
ko:K01409	sue:SAOV_2086c
ko:K03386	sue:SAOV_0404c
ko:K09693	sue:SAOV_0672c
ko:K00712	sue:SAOV_0599
ko:K02246	sue:SAOV_1541
ko:K02245	sue:SAOV_1542
ko:K02244	sue:SAOV_1543
ko:K02243	sue:SAOV_1544
ko:K00845	sue:SAOV_1547
ko:K02076	sue:SAOV_1554
ko:K01489	sue:SAOV_1568
ko:K00374	sue:SAOV_2439c
ko:K09815	sue:SAOV_2452c
ko:K00652	sue:SAOV_2473c
ko:K06147	sue:SAOV_2477c
ko:K06147	sue:SAOV_2478c
ko:K11041	sue:SAOV_1171c
ko:K07025	sue:SAOV_1176
ko:K07104	sue:SAOV_1195
ko:K02824	sue:SAOV_1202
ko:K07030	sue:SAOV_1229
ko:K03095	sue:SAOV_2104c
ko:K03090	sue:SAOV_2106c
ko:K07315	sue:SAOV_2109c
ko:K09167	sue:SAOV_2114c
ko:K08981	sue:SAOV_2115c
ko:K09705	sue:SAOV_0704
ko:K16012	sue:SAOV_0720
ko:K02619	sue:SAOV_0749
ko:K01760	sue:SAOV_0382c
ko:K00088	sue:SAOV_0412
ko:K01597	sue:SAOV_0625
ko:K02499	sue:SAOV_0527
ko:K00712	sue:SAOV_0600c
ko:K00059	sue:SAOV_1234
ko:K09787	sue:SAOV_1239
ko:K03177	sue:SAOV_1273
ko:K00059	sue:SAOV_1282
ko:K02116	sue:SAOV_2151c
ko:K01104	sue:SAOV_2156c
ko:K03048	sue:SAOV_2169c
ko:K09680	sue:SAOV_2171
ko:K01619	sue:SAOV_2177c
ko:K03784	sue:SAOV_2178
ko:K02799	sue:SAOV_2195
ko:K02800	sue:SAOV_2195
ko:K02798	sue:SAOV_2197
ko:K00626	sue:SAOV_0610
ko:K00938	sue:SAOV_0626
ko:K07025	sue:SAOV_0647
ko:K00639	sue:SAOV_0585
ko:K02238	sue:SAOV_1587
ko:K06948	sue:SAOV_1596
ko:K01243	sue:SAOV_1598
ko:K00130	sue:SAOV_2658c
ko:K02443	sue:SAOV_1299
ko:K03713	sue:SAOV_1309
ko:K03593	sue:SAOV_2213c
ko:K01220	sue:SAOV_2236c
ko:K02786	sue:SAOV_2238c
ko:K01635	sue:SAOV_2239c
ko:K00917	sue:SAOV_2240c
ko:K01819	sue:SAOV_2241c
ko:K01819	sue:SAOV_2242c
ko:K02530	sue:SAOV_2243c
ko:K01727	sue:SAOV_2247
ko:K01258	sue:SAOV_0780c
ko:K11442	sue:SAOV_2218c
ko:K00626	sue:SAOV_0378
ko:K05568	sue:SAOV_0661
ko:K07584	sue:SAOV_1643
ko:K02236	sue:SAOV_1650
ko:K07120	sue:SAOV_1654
ko:K01719	sue:SAOV_1658
ko:K11144	sue:SAOV_1672
ko:K03346	sue:SAOV_1673
ko:K10563	sue:SAOV_1677
ko:K07658	sue:SAOV_1681
ko:K09976	sue:SAOV_1356
ko:K05020	sue:SAOV_1361
ko:K07304	sue:SAOV_1372c
ko:K04517	sue:SAOV_1375c
ko:K02033	sue:SAOV_1391c
ko:K05822	sue:SAOV_1406
ko:K00939	sue:SAOV_2266c
ko:K03635	sue:SAOV_2310c
ko:K03647	sue:SAOV_0766
ko:K06023	sue:SAOV_0797
ko:K00853	sue:SAOV_0587
ko:K05570	sue:SAOV_0663
ko:K05845	sue:SAOV_0757
ko:K05846	sue:SAOV_0757
ko:K00027	sue:SAOV_1689
ko:K06286	sue:SAOV_1704
ko:K00058	sue:SAOV_1710
ko:K01261	sue:SAOV_1731
ko:K02017	sue:SAOV_2316c
ko:K07052	sue:SAOV_2353c
ko:K07305	sue:SAOV_1432c
ko:K07304	sue:SAOV_1433c
ko:K03469	sue:SAOV_1442
ko:K03294	sue:SAOV_1446
ko:K03700	sue:SAOV_1457
ko:K02086	sue:SAOV_1461
ko:K00974	sue:SAOV_1465
ko:K09698	sue:SAOV_0563
ko:K01439	sue:SAOV_1737
ko:K06183	sue:SAOV_1739
ko:K03711	sue:SAOV_1500
ko:K01515	sue:SAOV_1501
ko:K00784	sue:SAOV_1506
ko:K00033	sue:SAOV_1512
ko:K01479	sue:SAOV_2374c
ko:K01785	sue:SAOV_2379c
ko:K01823	sue:SAOV_2389c
ko:K00805	sue:SAOV_1476
ko:K01424	sue:SAOV_1485
ko:K05337	sue:SAOV_1490
ko:K09763	sue:SAOV_1498
ko:K04763	sue:SAOV_1499
ko:K02564	sue:SAOV_0604
ko:K02240	sue:SAOV_0787
ko:K08974	sue:SAOV_0858c
ko:K04488	sue:SAOV_0862
ko:K07052	sue:SAOV_1764
ko:K00616	sue:SAOV_1765
ko:K02549	sue:SAOV_1776
ko:K03929	sue:SAOV_2502
ko:K12942	sue:SAOV_2523
ko:K01835	sue:SAOV_2537
ko:K03299	sue:SAOV_2546c
ko:K00851	sue:SAOV_2547c
ko:K03535	sue:SAOV_2554c
ko:K07104	sue:SAOV_2566
ko:K00158	sue:SAOV_2583c
ko:K00054	sue:SAOV_2589c
ko:K01641	sue:SAOV_2590
ko:K00567	sue:SAOV_2591c
ko:K04086	sue:SAOV_2592
ko:K06994	sue:SAOV_2596c
ko:K00294	sue:SAOV_2599c
ko:K07213	sue:SAOV_2603
ko:K10209	sue:SAOV_2606c
ko:K07035	sue:SAOV_2615c
ko:K07032	sue:SAOV_2619c
ko:K04750	sue:SAOV_2637
ko:K00016	sue:SAOV_2646c
ko:K03294	sue:SAOV_2647
ko:K03451	sue:SAOV_2660c
ko:K02242	sue:SAOV_0788
ko:K13628	sue:SAOV_0886
ko:K05570	sue:SAOV_0893c
ko:K05568	sue:SAOV_0895c
ko:K05565	sue:SAOV_0898c
ko:K03768	sue:SAOV_0900
ko:K00819	sue:SAOV_0903
ko:K06910	sue:SAOV_0926
ko:K15582	sue:SAOV_0933
ko:K07533	sue:SAOV_1837
ko:K03698	sue:SAOV_1838
ko:K01679	sue:SAOV_1848
ko:K07035	sue:SAOV_1856
ko:K00380	sue:SAOV_2666c
ko:K01077	sue:SAOV_2675
ko:K01478	sue:SAOV_2684c
ko:K12270	sue:SAOV_2701c
ko:K12269	sue:SAOV_2702c
ko:K12268	sue:SAOV_2703c
ko:K07304	sue:SAOV_2712c
ko:K01104	sue:SAOV_2714c
ko:K07457	sue:SAOV_0644
ko:K03709	sue:SAOV_0669
ko:K03708	sue:SAOV_0557
ko:K08093	sue:SAOV_0605
ko:K03316	sue:SAOV_0665
ko:K06934	sue:SAOV_0728c
ko:K09762	sue:SAOV_0805
ko:K18936	sue:SAOV_2461c
ko:K18934	sue:SAOV_2214c
ko:K14234	sue:SAOV_0543
ko:K14234	sue:SAOV_1865c
ko:K14234	sue:SAOV_1881c
ko:K06216	sue:SAOV_0211
ko:K03328	sue:SAOV_0080
ko:K03328	sue:SAOV_0526
ko:K14236	sue:SAOV_2206c
ko:K14236	sue:SAOV_1864c
ko:K02424	sue:SAOV_2460c
ko:K14222	sue:SAOV_1860c
ko:K10009	sue:SAOV_2459c
ko:K12574	sue:SAOV_1033c
ko:K12574	sue:SAOV_1277
ko:K14232	sue:SAOV_0548
ko:K14232	sue:SAOV_1875c
ko:K14235	sue:SAOV_1863c
ko:K14230	sue:SAOV_1872c
ko:K18935	sue:SAOV_2216c
ko:K18940	sue:SAOV_1424c
ko:K21454	sue:SAOV_2401c
ko:K01985	sue:SAOV_0501
ko:K01985	sue:SAOV_0541
ko:K01985	sue:SAOV_2099c
ko:K01985	sue:SAOV_2210c
ko:K01985	sue:SAOV_1883c
ko:K01985	sue:SAOV_0552
ko:K16264	sue:SAOV_0115
ko:K07038	sue:SAOV_1896
ko:K16509	sue:SAOV_0943
ko:K01834	sue:SAOV_2463c
ko:K01834	sue:SAOV_0399
ko:K16511	sue:SAOV_0944
ko:K11733	sue:SAOV_1670
ko:K14229	sue:SAOV_0544
ko:K01977	sue:SAOV_0499
ko:K01977	sue:SAOV_2212c
ko:K01977	sue:SAOV_1887c
ko:K01977	sue:SAOV_2101c
ko:K01977	sue:SAOV_0550
ko:K06198	sue:SAOV_0945
ko:K15583	sue:SAOV_0934
ko:K14220	sue:SAOV_0970c
ko:K16329	sue:SAOV_0265
ko:K16323	sue:SAOV_0679
ko:K16169	sue:SAOV_0411
ko:K11737	sue:SAOV_2488
ko:K05340	sue:SAOV_2294
ko:K07045	sue:SAOV_2625
ko:K16264	sue:SAOV_2185
ko:K02851	sue:SAOV_0784
ko:K09814	sue:SAOV_2403c
ko:K13052	sue:SAOV_0529
ko:K11043	sue:SAOV_0427c
ko:K10010	sue:SAOV_2458c
ko:K16786	sue:SAOV_2260c
ko:K16787	sue:SAOV_2259c
ko:K04564	sue:SAOV_0081
ko:K11040	sue:SAOV_1600
ko:K16785	sue:SAOV_2258c
ko:K04757	sue:SAOV_2107c
ko:K07705	sue:SAOV_0201
ko:K02032	sue:SAOV_0939
ko:K03429	sue:SAOV_0962c
ko:K09813	sue:SAOV_2404c
ko:K01401	sue:SAOV_2686c
ko:K13733	sue:SAOV_2544c
ko:K14200	sue:SAOV_1155
ko:K14201	sue:SAOV_0828
ko:K10208	sue:SAOV_2607c
ko:K02755	sue:SAOV_0206
ko:K00128	sue:SAOV_0114
ko:K00128	sue:SAOV_2163c
ko:K07800	sue:SAOV_2074
ko:K08259	sue:SAOV_0217
ko:K12553	sue:SAOV_1552
ko:K07683	sue:SAOV_2438c
ko:K01239	sue:SAOV_2322c
ko:K00128	sue:SAOV_2023
ko:K01906	sue:SAOV_2472c
ko:K14230	sue:SAOV_1825c
ko:K14230	sue:SAOV_1868c
ko:K14229	sue:SAOV_1880c
ko:K14229	sue:SAOV_2204c
ko:K01980	sue:SAOV_0500
ko:K01980	sue:SAOV_2211c
ko:K01980	sue:SAOV_0551
ko:K01980	sue:SAOV_1884c
ko:K01980	sue:SAOV_2100c
ko:K03483	sue:SAOV_2196
ko:K11631	sue:SAOV_2744
ko:K02803	sue:SAOV_1712
ko:K02804	sue:SAOV_1712
ko:K11042	sue:SAOV_0440
ko:K13715	sue:SAOV_0993c
ko:K13732	sue:SAOV_2545c
ko:K10210	sue:SAOV_2609c
ko:K11695	sue:SAOV_1385
ko:K11693	sue:SAOV_2300c
ko:K01271	sue:SAOV_1695
ko:K16785	sue:SAOV_1020c
ko:K16786	sue:SAOV_1021c
ko:K16787	sue:SAOV_1021c
ko:K02768	sue:SAOV_2690
ko:K02769	sue:SAOV_2690
ko:K02770	sue:SAOV_2690
ko:K11632	sue:SAOV_2745
ko:K13714	sue:SAOV_0999c
ko:K04478	sue:SAOV_1900
ko:K00980	sue:SAOV_0676
ko:K16937	sue:SAOV_0741c
ko:K16869	sue:SAOV_0623
ko:K11991	sue:SAOV_0593
ko:K00265	sue:SAOV_0489
ko:K00951	sue:SAOV_1631
ko:K17716	sue:SAOV_0100
ko:K00882	sue:SAOV_0733
ko:K00108	sue:SAOV_2657c
ko:K16917	sue:SAOV_2570
ko:K07668	sue:SAOV_0020
ko:K07652	sue:SAOV_0021
ko:K02313	sue:SAOV_0001
ko:K02338	sue:SAOV_0002
ko:K03629	sue:SAOV_0004
ko:K02470	sue:SAOV_0005
ko:K02469	sue:SAOV_0006
ko:K01745	sue:SAOV_0008
ko:K01875	sue:SAOV_0009
ko:K00641	sue:SAOV_0012
ko:K02939	sue:SAOV_0015
ko:K01939	sue:SAOV_0017
ko:K16925	sue:SAOV_1022c
ko:K14196	sue:SAOV_0058
ko:K14192	sue:SAOV_2679c
ko:K14193	sue:SAOV_1126c
ko:K14197	sue:SAOV_2466
ko:K08258	sue:SAOV_2011
ko:K10211	sue:SAOV_2608c
ko:K10850	sue:SAOV_2434c
ko:K11694	sue:SAOV_1384
ko:K12552	sue:SAOV_1182
ko:K07681	sue:SAOV_1983
ko:K07694	sue:SAOV_1982
ko:K02352	sue:SAOV_2734c
ko:K12551	sue:SAOV_1716
ko:K02303	sue:SAOV_2444c
ko:K16898	sue:SAOV_0914
ko:K16899	sue:SAOV_0913
ko:K14224	sue:SAOV_0018
ko:K14224	sue:SAOV_2208c
ko:K14224	sue:SAOV_1819c
ko:K14221	sue:SAOV_0019
ko:K14221	sue:SAOV_1870C
ko:K14221	sue:SAOV_1867
ko:K14221	sue:SAOV_1824c
ko:K14233	sue:SAOV_0491
ko:K14233	sue:SAOV_1871c
ko:K14233	sue:SAOV_1869c
ko:K14233	sue:SAOV_0969c
ko:K14237	sue:SAOV_0542
ko:K14237	sue:SAOV_2207c
ko:K14237	sue:SAOV_1882c
ko:K14225	sue:SAOV_1821c
ko:K14225	sue:SAOV_2102c
ko:K14225	sue:SAOV_0545
ko:K14225	sue:SAOV_1878c
ko:K14228	sue:SAOV_0546
ko:K14228	sue:SAOV_1877c
ko:K14228	sue:SAOV_1857c
ko:K14228	sue:SAOV_1879c
ko:K14228	sue:SAOV_2103c
ko:K14219	sue:SAOV_0547
ko:K14219	sue:SAOV_1876c
ko:K14219	sue:SAOV_0806
ko:K14219	sue:SAOV_1173
ko:K14218	sue:SAOV_0549
ko:K14218	sue:SAOV_1885c
ko:K14218	sue:SAOV_1874c
ko:K14227	sue:SAOV_1886c
ko:K14220	sue:SAOV_1820c
ko:K14220	sue:SAOV_2209c
ko:K14226	sue:SAOV_1822c
ko:K14226	sue:SAOV_1862c
ko:K14231	sue:SAOV_1823c
ko:K14231	sue:SAOV_1866c
ko:K14230	sue:SAOV_1873c
ko:K14225	sue:SAOV_1859c
ko:K14225	sue:SAOV_1858c
ko:K14223	sue:SAOV_2205c
ko:K14223	sue:SAOV_1861c
ko:K11070	sue:SAOV_1045
ko:K02029	sue:SAOV_1855
ko:K02030	sue:SAOV_1855
ko:K01992	sue:SAOV_2382c
ko:K07284	sue:SAOV_2571c
ko:K01990	sue:SAOV_0218
ko:K01990	sue:SAOV_2558
ko:K14233	sue:SAOV_1818c
ko:K01990	sue:SAOV_2383c
ko:K01990	sue:SAOV_0375
ko:K01990	sue:SAOV_1832
ko:K01990	sue:SAOV_2035
ko:K01664	sue:SAOV_0747
ko:K01992	sue:SAOV_0219
ko:K01992	sue:SAOV_0220
ko:K01992	sue:SAOV_1831
ko:K01992	sue:SAOV_2032
ko:K02028	sue:SAOV_1854
ko:K03574	sue:SAOV_2535c
ko:K17216	sue:SAOV_0477
ko:K17217	sue:SAOV_0478
ko:K01771	sue:SAOV_0049
ko:K08170	sue:SAOV_0053
ko:K03324	sue:SAOV_0054
ko:K10254	sue:SAOV_0055
ko:K03303	sue:SAOV_0057
ko:K02015	sue:SAOV_0060
ko:K02015	sue:SAOV_0061
ko:K02016	sue:SAOV_0062
ko:K01586	sue:SAOV_0070
ko:K01784	sue:SAOV_0076
ko:K03784	sue:SAOV_0083
ko:K01619	sue:SAOV_0085
ko:K01839	sue:SAOV_0086
ko:K02042	sue:SAOV_0087
ko:K02042	sue:SAOV_0088
ko:K02041	sue:SAOV_0089
ko:K02044	sue:SAOV_0090
ko:K04072	sue:SAOV_0095
ko:K01104	sue:SAOV_0098
ko:K13012	sue:SAOV_0108
ko:K01784	sue:SAOV_0109
ko:K02472	sue:SAOV_0110
ko:K17218	sue:SAOV_0040
ko:K09790	sue:SAOV_0113
ko:K02049	sue:SAOV_0118
ko:K02051	sue:SAOV_0119
ko:K02050	sue:SAOV_0120
ko:K08996	sue:SAOV_0125
ko:K00930	sue:SAOV_0126
ko:K00620	sue:SAOV_0127
ko:K00145	sue:SAOV_0128
ko:K00819	sue:SAOV_0129
ko:K03311	sue:SAOV_0130
ko:K09963	sue:SAOV_0135
ko:K07106	sue:SAOV_0136
ko:K01153	sue:SAOV_0140
ko:K07784	sue:SAOV_0159
ko:K07720	sue:SAOV_0160
ko:K02012	sue:SAOV_0162
ko:K00656	sue:SAOV_0163
ko:K04069	sue:SAOV_0164
ko:K01126	sue:SAOV_0165
ko:K07516	sue:SAOV_0169
ko:K00252	sue:SAOV_0170
ko:K01897	sue:SAOV_0171
ko:K02035	sue:SAOV_0174
ko:K05916	sue:SAOV_0177
ko:K00016	sue:SAOV_0178
ko:K02773	sue:SAOV_0183
ko:K02774	sue:SAOV_0184
ko:K02775	sue:SAOV_0186
ko:K02031	sue:SAOV_0144
ko:K02032	sue:SAOV_0144
ko:K02033	sue:SAOV_0145
ko:K02034	sue:SAOV_0146
ko:K02035	sue:SAOV_0147
ko:K00681	sue:SAOV_0148
ko:K01118	sue:SAOV_0149
ko:K10112	sue:SAOV_0151
ko:K15770	sue:SAOV_0152
ko:K15771	sue:SAOV_0153
ko:K15772	sue:SAOV_0154
ko:K05352	sue:SAOV_0191
ko:K07322	sue:SAOV_0199
ko:K07704	sue:SAOV_0200
ko:K05338	sue:SAOV_0202
ko:K05339	sue:SAOV_0203
ko:K04561	sue:SAOV_0204
ko:K03489	sue:SAOV_0205
ko:K01223	sue:SAOV_0207
ko:K00852	sue:SAOV_0209
ko:K07090	sue:SAOV_0036
ko:K06726	sue:SAOV_0210
ko:K02529	sue:SAOV_0212
ko:K01442	sue:SAOV_0216
ko:K01992	sue:SAOV_1333
ko:K01990	sue:SAOV_1332
ko:K01990	sue:SAOV_2033
ko:K17472	sue:SAOV_1624
ko:K17686	sue:SAOV_2602
ko:K01739	sue:SAOV_0383c
ko:K00226	sue:SAOV_2634
ko:K01658	sue:SAOV_1378
ko:K11928	sue:SAOV_2002
ko:K01791	sue:SAOV_0102
ko:K06518	sue:SAOV_2585c
ko:K07979	sue:SAOV_2036
ko:K10212	sue:SAOV_2610c
ko:K01791	sue:SAOV_0111
ko:K01187	sue:SAOV_1509
ko:K01791	sue:SAOV_2152c
ko:K19080	sue:SAOV_0696
ko:K18104	sue:SAOV_0678
ko:K02479	sue:SAOV_1845
ko:K08168	sue:SAOV_0084
ko:K14204	sue:SAOV_0927
ko:K03293	sue:SAOV_1346c
ko:K07741	sue:SAOV_0283
ko:K02809	sue:SAOV_0137
ko:K02810	sue:SAOV_0137
ko:K02809	sue:SAOV_2425c
ko:K02810	sue:SAOV_2425c
ko:K03366	sue:SAOV_0074
ko:K00008	sue:SAOV_0189
ko:K07145	sue:SAOV_1132
ko:K22580	sue:SAOV_1003
ko:K01046	sue:SAOV_0273
ko:K01046	sue:SAOV_2721c
ko:K00632	sue:SAOV_0168
ko:K21461	sue:SAOV_2719
ko:K21462	sue:SAOV_2720
ko:K21463	sue:SAOV_2400c
ko:K00008	sue:SAOV_0187
ko:K01589	sue:SAOV_1011
ko:K03427	sue:SAOV_1794
ko:K08255	sue:SAOV_0917c
ko:K07483	sue:SAOV_1198c
ko:K04749	sue:SAOV_2108c
ko:K18707	sue:SAOV_1576
ko:K05592	sue:SAOV_2122c
ko:K18672	sue:SAOV_2202c
ko:K18704	sue:SAOV_0192
ko:K18682	sue:SAOV_1288
ko:K18692	sue:SAOV_1558
ko:K18906	sue:SAOV_0721
ko:K01262	sue:SAOV_1530
ko:K09692	sue:SAOV_1897
ko:K07723	sue:SAOV_2111c
ko:K18909	sue:SAOV_0358
ko:K18941	sue:SAOV_1425c
ko:K18908	sue:SAOV_0359
ko:K07171	sue:SAOV_2110c
ko:K04940	sue:SAOV_2341c
ko:K03497	sue:SAOV_2750c
ko:K03169	sue:SAOV_2291c
ko:K03111	sue:SAOV_1081
ko:K11040	sue:SAOV_1120
ko:K03111	sue:SAOV_0290
ko:K03497	sue:SAOV_0384
ko:K03111	sue:SAOV_0390
ko:K11040	sue:SAOV_0430
ko:K11040	sue:SAOV_0431c
ko:K03502	sue:SAOV_1374
ko:K03111	sue:SAOV_2138c
ko:K03111	sue:SAOV_1956c
ko:K07029	sue:SAOV_1997
ko:K03741	sue:SAOV_1758
ko:K03498	sue:SAOV_2046
ko:K09145	sue:SAOV_0706
ko:K18979	sue:SAOV_1853
ko:K00949	sue:SAOV_1226
ko:K01318	sue:SAOV_1795
ko:K01318	sue:SAOV_0994c
ko:K07816	sue:SAOV_2550c
ko:K03892	sue:SAOV_1756
ko:K14203	sue:SAOV_1153c
ko:K03293	sue:SAOV_2356c
ko:K19077	sue:SAOV_0694
ko:K01174	sue:SAOV_1337
ko:K19158	sue:SAOV_2453c
ko:K19225	sue:SAOV_1549
ko:K02777	sue:SAOV_1431c
ko:K00571	sue:SAOV_1699
ko:K19068	sue:SAOV_0101
ko:K19079	sue:SAOV_0695
ko:K19081	sue:SAOV_2672c
ko:K19082	sue:SAOV_2673c
ko:K19083	sue:SAOV_2671c
ko:K19084	sue:SAOV_2670c
ko:K19159	sue:SAOV_2454c
ko:K02031	sue:SAOV_0938
ko:K02032	sue:SAOV_1388c
ko:K03722	sue:SAOV_1463
ko:K01992	sue:SAOV_2411
ko:K01992	sue:SAOV_2559
ko:K19411	sue:SAOV_0558
ko:K19302	sue:SAOV_1426c
ko:K19405	sue:SAOV_0559
ko:K03574	sue:SAOV_1774
ko:K19576	sue:SAOV_0729
ko:K06881	sue:SAOV_1691
ko:K21721	sue:SAOV_0064
ko:K19689	sue:SAOV_1977
ko:K01258	sue:SAOV_1513
ko:K20483	sue:SAOV_1806
ko:K20482	sue:SAOV_1811
ko:K07119	sue:SAOV_2234c
ko:K00547	sue:SAOV_0381c
ko:K00297	sue:SAOV_0381c
ko:K02538	sue:SAOV_2689
ko:K21636	sue:SAOV_2663c
ko:K19975	sue:SAOV_0666c
ko:K19976	sue:SAOV_0667c
ko:K19973	sue:SAOV_0668c
ko:K20074	sue:SAOV_1222
ko:K12132	sue:SAOV_1223
ko:K20116	sue:SAOV_0134
ko:K20117	sue:SAOV_0134
ko:K20118	sue:SAOV_0134
ko:K20116	sue:SAOV_2582c
ko:K20117	sue:SAOV_2582c
ko:K20118	sue:SAOV_2582c
ko:K20338	sue:SAOV_1748
ko:K20491	sue:SAOV_1801
ko:K20494	sue:SAOV_1800
ko:K20482	sue:SAOV_1807
ko:K21949	sue:SAOV_0063
ko:K20484	sue:SAOV_1805
ko:K20486	sue:SAOV_1803
ko:K20490	sue:SAOV_1802
ko:K20337	sue:SAOV_1174
ko:K20337	sue:SAOV_1175
ko:K20534	sue:SAOV_0738
ko:K02790	sue:SAOV_0180
ko:K02791	sue:SAOV_0180
ko:K21029	sue:SAOV_2315c
ko:K21030	sue:SAOV_0190
ko:K21030	sue:SAOV_0194
ko:K21064	sue:SAOV_0918c
ko:K08968	sue:SAOV_1705
ko:K00435	sue:SAOV_0621c
ko:K00526	sue:SAOV_0768
ko:K14199	sue:SAOV_0166
ko:K06919	sue:SAOV_0421
ko:K07474	sue:SAOV_0426
ko:K01520	sue:SAOV_1092
ko:K14199	sue:SAOV_1156
ko:K03553	sue:SAOV_1287
ko:K03546	sue:SAOV_1359
ko:K00287	sue:SAOV_1435c
ko:K00560	sue:SAOV_1436c
ko:K02316	sue:SAOV_1562
ko:K06217	sue:SAOV_1571
ko:K01493	sue:SAOV_1588
ko:K11038	sue:SAOV_1812
ko:K11038	sue:SAOV_1908
ko:K11038	sue:SAOV_1909
ko:K06904	sue:SAOV_1928c
ko:K01520	sue:SAOV_1941c
ko:K11038	sue:SAOV_2041
