ko:K12108	hpc:HPPC_02695
ko:K01521	hpc:HPPC_04400
ko:K06193	hpc:HPPC_04405
ko:K03781	hpc:HPPC_04420
ko:K01159	hpc:HPPC_04430
ko:K06179	hpc:HPPC_04830
ko:K02483	hpc:HPPC_02040
ko:K07318	hpc:HPPC_05905
ko:K12107	hpc:HPPC_02690
ko:K12091	hpc:HPPC_02585
ko:K12088	hpc:HPPC_02565
ko:K12094	hpc:HPPC_02610
ko:K12096	hpc:HPPC_02620
ko:K12098	hpc:HPPC_02630
ko:K12110	hpc:HPPC_02705
ko:K15256	hpc:HPPC_05170
ko:K15257	hpc:HPPC_05025
ko:K03442	hpc:HPPC_04965
ko:K01719	hpc:HPPC_05980
ko:K01679	hpc:HPPC_06520
ko:K03768	hpc:HPPC_07025
ko:K06346	hpc:HPPC_07080
ko:K02067	hpc:HPPC_07160
ko:K02342	hpc:HPPC_07605
ko:K01585	hpc:HPPC_05010
ko:K00058	hpc:HPPC_05120
ko:K01455	hpc:HPPC_06055
ko:K02238	hpc:HPPC_06695
ko:K00616	hpc:HPPC_07335
ko:K03743	hpc:HPPC_04810
ko:K06013	hpc:HPPC_05205
ko:K01784	hpc:HPPC_05310
ko:K07126	hpc:HPPC_05330
ko:K00845	hpc:HPPC_05355
ko:K03784	hpc:HPPC_05755
ko:K03317	hpc:HPPC_05765
ko:K01674	hpc:HPPC_05800
ko:K02843	hpc:HPPC_05820
ko:K00949	hpc:HPPC_06340
ko:K03279	hpc:HPPC_06880
ko:K01156	hpc:HPPC_07445
ko:K07316	hpc:HPPC_07455
ko:K07126	hpc:HPPC_05430
ko:K06196	hpc:HPPC_01345
ko:K11085	hpc:HPPC_01850
ko:K07126	hpc:HPPC_02550
ko:K00652	hpc:HPPC_03015
ko:K07457	hpc:HPPC_03040
ko:K00939	hpc:HPPC_03115
ko:K01507	hpc:HPPC_03130
ko:K00567	hpc:HPPC_03410
ko:K03469	hpc:HPPC_03480
ko:K01885	hpc:HPPC_03575
ko:K01424	hpc:HPPC_03655
ko:K15633	hpc:HPPC_04925
ko:K04655	hpc:HPPC_00215
ko:K14048	hpc:HPPC_00370
ko:K03279	hpc:HPPC_00810
ko:K07126	hpc:HPPC_00815
ko:K00245	hpc:HPPC_00955
ko:K00244	hpc:HPPC_00960
ko:K03342	hpc:HPPC_01485
ko:K07098	hpc:HPPC_02030
ko:K01262	hpc:HPPC_02070
ko:K03711	hpc:HPPC_02120
ko:K13640	hpc:HPPC_02130
ko:K00076	hpc:HPPC_02185
ko:K00059	hpc:HPPC_02780
ko:K00674	hpc:HPPC_03160
ko:K07126	hpc:HPPC_03165
ko:K00626	hpc:HPPC_03330
ko:K13016	hpc:HPPC_03400
ko:K04763	hpc:HPPC_03415
ko:K00769	hpc:HPPC_03725
ko:K06603	hpc:HPPC_03805
ko:K04652	hpc:HPPC_04535
ko:K02014	hpc:HPPC_04620
ko:K03406	hpc:HPPC_00410
ko:K03406	hpc:HPPC_00505
ko:K03406	hpc:HPPC_00525
ko:K01119	hpc:HPPC_00530
ko:K03593	hpc:HPPC_01030
ko:K07126	hpc:HPPC_01055
ko:K01439	hpc:HPPC_01060
ko:K06910	hpc:HPPC_01095
ko:K07126	hpc:HPPC_01190
ko:K07126	hpc:HPPC_01705
ko:K03455	hpc:HPPC_02260
ko:K02017	hpc:HPPC_02280
ko:K01885	hpc:HPPC_02285
ko:K05845	hpc:HPPC_04140
ko:K05846	hpc:HPPC_04140
ko:K00088	hpc:HPPC_04200
ko:K02433	hpc:HPPC_04205
ko:K02004	hpc:HPPC_03975
ko:K03635	hpc:HPPC_04035
ko:K15895	hpc:HPPC_05285
ko:K15896	hpc:HPPC_01660
ko:K15898	hpc:HPPC_00900
ko:K15778	hpc:HPPC_06270
ko:K15842	hpc:HPPC_02715
ko:K15843	hpc:HPPC_04605
ko:K15844	hpc:HPPC_04610
ko:K15846	hpc:HPPC_04020
ko:K15846	hpc:HPPC_02425
ko:K15846	hpc:HPPC_05055
ko:K15847	hpc:HPPC_04515
ko:K15848	hpc:HPPC_03665
ko:K11028	hpc:HPPC_04470
ko:K04771	hpc:HPPC_02160
ko:K15894	hpc:HPPC_04255
ko:K07316	hpc:HPPC_01315
ko:K18682	hpc:HPPC_03850
ko:K03781	hpc:HPPC_02355
ko:K16091	hpc:HPPC_03365
ko:K16091	hpc:HPPC_07540
ko:K15726	hpc:HPPC_04900
ko:K01977	hpc:HPPC_r08193
ko:K01977	hpc:HPPC_r08195
ko:K10716	hpc:HPPC_02410
ko:K02014	hpc:HPPC_04425
ko:K02014	hpc:HPPC_07420
ko:K03496	hpc:HPPC_07785
ko:K02030	hpc:HPPC_05715
ko:K16052	hpc:HPPC_05045
ko:K01985	hpc:HPPC_r08189
ko:K01985	hpc:HPPC_r08191
ko:K01980	hpc:HPPC_r08199
ko:K01980	hpc:HPPC_r08197
ko:K02029	hpc:HPPC_05705
ko:K02028	hpc:HPPC_05710
ko:K03196	hpc:HPPC_07735
ko:K03196	hpc:HPPC_06915
ko:K10009	hpc:HPPC_04740
ko:K00970	hpc:HPPC_03590
ko:K03321	hpc:HPPC_01155
ko:K12369	hpc:HPPC_01520
ko:K12371	hpc:HPPC_01530
ko:K02424	hpc:HPPC_04745
ko:K09477	hpc:HPPC_00725
ko:K03559	hpc:HPPC_05490
ko:K03559	hpc:HPPC_06590
ko:K02003	hpc:HPPC_00905
ko:K13689	hpc:HPPC_01090
ko:K11782	hpc:HPPC_03935
ko:K01738	hpc:HPPC_00545
ko:K01760	hpc:HPPC_00540
ko:K01992	hpc:HPPC_03080
ko:K07316	hpc:HPPC_07450
ko:K17103	hpc:HPPC_01895
ko:K03559	hpc:HPPC_07055
ko:K00681	hpc:HPPC_05435
ko:K02847	hpc:HPPC_02060
ko:K01992	hpc:HPPC_07295
ko:K17686	hpc:HPPC_07375
ko:K17686	hpc:HPPC_01890
ko:K07318	hpc:HPPC_07205
ko:K01155	hpc:HPPC_01330
ko:K00971	hpc:HPPC_00200
ko:K11928	hpc:HPPC_00245
ko:K01658	hpc:HPPC_06300
ko:K01156	hpc:HPPC_06825
ko:K12574	hpc:HPPC_06960
ko:K00254	hpc:HPPC_02200
ko:K06148	hpc:HPPC_05895
ko:K07812	hpc:HPPC_05070
ko:K05366	hpc:HPPC_03010
ko:K07501	hpc:HPPC_03335
ko:K00925	hpc:HPPC_04550
ko:K15848	hpc:HPPC_03645
ko:K12048	hpc:HPPC_07715
ko:K11065	hpc:HPPC_05155
ko:K11784	hpc:HPPC_03505
ko:K13788	hpc:HPPC_04560
ko:K11785	hpc:HPPC_00775
ko:K18284	hpc:HPPC_00450
ko:K18285	hpc:HPPC_03515
ko:K16235	hpc:HPPC_02165
ko:K18480	hpc:HPPC_07155
ko:K11754	hpc:HPPC_07905
ko:K03723	hpc:HPPC_07925
ko:K00411	hpc:HPPC_07930
ko:K00412	hpc:HPPC_07935
ko:K00413	hpc:HPPC_07940
ko:K03587	hpc:HPPC_07950
ko:K02408	hpc:HPPC_07955
ko:K02388	hpc:HPPC_07960
ko:K02387	hpc:HPPC_07965
ko:K03588	hpc:HPPC_07970
ko:K02016	hpc:HPPC_07975
ko:K02016	hpc:HPPC_07980
ko:K03386	hpc:HPPC_07985
ko:K02073	hpc:HPPC_07990
ko:K05515	hpc:HPPC_07995
ko:K03978	hpc:HPPC_08005
ko:K09774	hpc:HPPC_08010
ko:K03270	hpc:HPPC_08020
ko:K03642	hpc:HPPC_08025
ko:K08307	hpc:HPPC_08030
ko:K03424	hpc:HPPC_08035
ko:K00793	hpc:HPPC_08040
ko:K04061	hpc:HPPC_08045
ko:K02071	hpc:HPPC_08050
ko:K02072	hpc:HPPC_08055
ko:K01821	hpc:HPPC_04655
ko:K03474	hpc:HPPC_08080
ko:K00097	hpc:HPPC_08085
ko:K01409	hpc:HPPC_08090
ko:K02392	hpc:HPPC_08095
ko:K02357	hpc:HPPC_07855
ko:K02967	hpc:HPPC_07860
ko:K03313	hpc:HPPC_07870
ko:K03210	hpc:HPPC_07875
ko:K03072	hpc:HPPC_07880
ko:K03074	hpc:HPPC_07885
ko:K01869	hpc:HPPC_07895
ko:K07316	hpc:HPPC_06820
ko:K03196	hpc:HPPC_02580
ko:K03203	hpc:HPPC_07705
ko:K03204	hpc:HPPC_07710
ko:K03205	hpc:HPPC_07755
ko:K03497	hpc:HPPC_05535
ko:K03496	hpc:HPPC_05540
ko:K03111	hpc:HPPC_06110
ko:K18930	hpc:HPPC_05970
ko:K03761	hpc:HPPC_01805
ko:K00335	hpc:HPPC_06220
ko:K03526	hpc:HPPC_03155
ko:K00336	hpc:HPPC_06225
ko:K07448	hpc:HPPC_01860
ko:K19157	hpc:HPPC_04495
ko:K19157	hpc:HPPC_07760
ko:K00571	hpc:HPPC_00470
ko:K00571	hpc:HPPC_01335
ko:K00571	hpc:HPPC_06720
ko:K00525	hpc:HPPC_03395
ko:K07317	hpc:HPPC_04590
ko:K01992	hpc:HPPC_07290
ko:K07496	hpc:HPPC_02980
ko:K07496	hpc:HPPC_04955
ko:K19416	hpc:HPPC_04635
ko:K12053	hpc:HPPC_07695
ko:K20151	hpc:HPPC_05220
ko:K20810	hpc:HPPC_01355
ko:K20151	hpc:HPPC_03535
ko:K02335	hpc:HPPC_07195
ko:K00558	hpc:HPPC_00240
ko:K03553	hpc:HPPC_00780
ko:K02314	hpc:HPPC_06700
ko:K00558	hpc:HPPC_06890
ko:K03465	hpc:HPPC_07505
ko:K02316	hpc:HPPC_00060
ko:K01185	hpc:HPPC_01725
ko:K06223	hpc:HPPC_02315
ko:K00558	hpc:HPPC_02330
ko:K01520	hpc:HPPC_04370
ko:K00558	hpc:HPPC_05450
ko:K02483	hpc:HPPC_06715
ko:K00526	hpc:HPPC_05290
ko:K02335	hpc:HPPC_02145
ko:K02481	hpc:HPPC_03265
ko:K01139	hpc:HPPC_03920
ko:K10026	hpc:HPPC_04700
ko:K21929	hpc:HPPC_03540
ko:K03595	hpc:HPPC_02540
ko:K22278	hpc:HPPC_01575
ko:K14441	hpc:HPPC_03720
ko:K22391	hpc:HPPC_04845
ko:K17758	hpc:HPPC_06705
ko:K17759	hpc:HPPC_06705
ko:K00590	hpc:HPPC_06725
ko:K00590	hpc:HPPC_02965
ko:K00571	hpc:HPPC_06655
ko:K01007	hpc:HPPC_00610
