ko:K19077	suq:HMPREF0772_12528
ko:K00611	suq:HMPREF0772_10554
ko:K03758	suq:HMPREF0772_10555
ko:K00926	suq:HMPREF0772_10556
ko:K00432	suq:HMPREF0772_10569
ko:K02304	suq:HMPREF0772_10571
ko:K03300	suq:HMPREF0772_10572
ko:K02472	suq:HMPREF0772_10335
ko:K13012	suq:HMPREF0772_10337
ko:K04072	suq:HMPREF0772_10350
ko:K02044	suq:HMPREF0772_10355
ko:K02041	suq:HMPREF0772_10356
ko:K02042	suq:HMPREF0772_10357
ko:K02042	suq:HMPREF0772_10358
ko:K01839	suq:HMPREF0772_10359
ko:K01586	suq:HMPREF0772_10374
ko:K01929	suq:HMPREF0772_11113
ko:K07667	suq:HMPREF0772_11115
ko:K07646	suq:HMPREF0772_11116
ko:K01546	suq:HMPREF0772_11118
ko:K01547	suq:HMPREF0772_11119
ko:K01548	suq:HMPREF0772_11120
ko:K00997	suq:HMPREF0772_11124
ko:K01775	suq:HMPREF0772_11125
ko:K01895	suq:HMPREF0772_10583
ko:K00116	suq:HMPREF0772_10585
ko:K01623	suq:HMPREF0772_10586
ko:K00823	suq:HMPREF0772_10588
ko:K01575	suq:HMPREF0772_10591
ko:K00077	suq:HMPREF0772_10592
ko:K00606	suq:HMPREF0772_10593
ko:K01918	suq:HMPREF0772_10594
ko:K01579	suq:HMPREF0772_10595
ko:K06978	suq:HMPREF0772_10596
ko:K09765	suq:HMPREF0772_10600
ko:K06959	suq:HMPREF0772_11132
ko:K01754	suq:HMPREF0772_11137
ko:K01704	suq:HMPREF0772_11138
ko:K01703	suq:HMPREF0772_11139
ko:K00052	suq:HMPREF0772_11140
ko:K01649	suq:HMPREF0772_11141
ko:K00053	suq:HMPREF0772_11142
ko:K01653	suq:HMPREF0772_11143
ko:K01652	suq:HMPREF0772_11144
ko:K01687	suq:HMPREF0772_11145
ko:K06925	suq:HMPREF0772_11147
ko:K03789	suq:HMPREF0772_11149
ko:K06158	suq:HMPREF0772_11152
ko:K01926	suq:HMPREF0772_11153
ko:K07112	suq:HMPREF0772_11154
ko:K03320	suq:HMPREF0772_11156
ko:K03778	suq:HMPREF0772_10630
ko:K04758	suq:HMPREF0772_10640
ko:K04759	suq:HMPREF0772_10641
ko:K07107	suq:HMPREF0772_10654
ko:K01752	suq:HMPREF0772_10660
ko:K01752	suq:HMPREF0772_10661
ko:K03823	suq:HMPREF0772_10662
ko:K03778	suq:HMPREF0772_10669
ko:K06975	suq:HMPREF0772_10672
ko:K15973	suq:HMPREF0772_10673
ko:K15975	suq:HMPREF0772_10674
ko:K06999	suq:HMPREF0772_10675
ko:K02016	suq:HMPREF0772_10382
ko:K02015	suq:HMPREF0772_10383
ko:K02015	suq:HMPREF0772_10384
ko:K03303	suq:HMPREF0772_10387
ko:K03324	suq:HMPREF0772_10390
ko:K08170	suq:HMPREF0772_10391
ko:K03484	suq:HMPREF0772_11157
ko:K01193	suq:HMPREF0772_11158
ko:K00847	suq:HMPREF0772_11159
ko:K07707	suq:HMPREF0772_11160
ko:K07813	suq:HMPREF0772_11163
ko:K07078	suq:HMPREF0772_11165
ko:K04078	suq:HMPREF0772_11168
ko:K04077	suq:HMPREF0772_11169
ko:K01114	suq:HMPREF0772_11179
ko:K01661	suq:HMPREF0772_12189
ko:K02551	suq:HMPREF0772_12191
ko:K02548	suq:HMPREF0772_12194
ko:K02016	suq:HMPREF0772_12197
ko:K15977	suq:HMPREF0772_12198
ko:K02003	suq:HMPREF0772_12202
ko:K03800	suq:HMPREF0772_12207
ko:K02250	suq:HMPREF0772_12209
ko:K02837	suq:HMPREF0772_12214
ko:K01247	suq:HMPREF0772_12220
ko:K03310	suq:HMPREF0772_12223
ko:K00208	suq:HMPREF0772_12226
ko:K06213	suq:HMPREF0772_12228
ko:K06180	suq:HMPREF0772_12229
ko:K00858	suq:HMPREF0772_12230
ko:K01126	suq:HMPREF0772_10437
ko:K00783	suq:HMPREF0772_10443
ko:K01939	suq:HMPREF0772_10451
ko:K02939	suq:HMPREF0772_10453
ko:K00641	suq:HMPREF0772_10456
ko:K01875	suq:HMPREF0772_10459
ko:K01745	suq:HMPREF0772_10460
ko:K02469	suq:HMPREF0772_10462
ko:K02470	suq:HMPREF0772_10463
ko:K03629	suq:HMPREF0772_10464
ko:K02338	suq:HMPREF0772_10466
ko:K02313	suq:HMPREF0772_10467
ko:K02914	suq:HMPREF0772_10468
ko:K03536	suq:HMPREF0772_10469
ko:K03650	suq:HMPREF0772_10470
ko:K03495	suq:HMPREF0772_10471
ko:K03501	suq:HMPREF0772_10472
ko:K03704	suq:HMPREF0772_10478
ko:K14445	suq:HMPREF0772_11225
ko:K00491	suq:HMPREF0772_11227
ko:K00763	suq:HMPREF0772_11228
ko:K01756	suq:HMPREF0772_11234
ko:K03657	suq:HMPREF0772_11237
ko:K01972	suq:HMPREF0772_11238
ko:K02435	suq:HMPREF0772_11241
ko:K02434	suq:HMPREF0772_11243
ko:K03215	suq:HMPREF0772_11246
ko:K02346	suq:HMPREF0772_11248
ko:K02217	suq:HMPREF0772_11250
ko:K01265	suq:HMPREF0772_11256
ko:K00130	suq:HMPREF0772_10578
ko:K04041	suq:HMPREF0772_10677
ko:K06895	suq:HMPREF0772_10683
ko:K11476	suq:HMPREF0772_10690
ko:K00963	suq:HMPREF0772_10697
ko:K15584	suq:HMPREF0772_10722
ko:K15585	suq:HMPREF0772_10723
ko:K15586	suq:HMPREF0772_10724
ko:K15587	suq:HMPREF0772_10725
ko:K10824	suq:HMPREF0772_10726
ko:K02068	suq:HMPREF0772_10734
ko:K02069	suq:HMPREF0772_10735
ko:K05847	suq:HMPREF0772_10740
ko:K05846	suq:HMPREF0772_10741
ko:K05845	suq:HMPREF0772_10742
ko:K05846	suq:HMPREF0772_10743
ko:K08170	suq:HMPREF0772_10744
ko:K00077	suq:HMPREF0772_10745
ko:K00865	suq:HMPREF0772_10756
ko:K01935	suq:HMPREF0772_10760
ko:K00833	suq:HMPREF0772_10761
ko:K01012	suq:HMPREF0772_10762
ko:K11442	suq:HMPREF0772_11021
ko:K00362	suq:HMPREF0772_10787
ko:K00363	suq:HMPREF0772_10788
ko:K00370	suq:HMPREF0772_10790
ko:K00371	suq:HMPREF0772_10791
ko:K00373	suq:HMPREF0772_10792
ko:K07696	suq:HMPREF0772_10796
ko:K11102	suq:HMPREF0772_10804
ko:K03303	suq:HMPREF0772_10823
ko:K00116	suq:HMPREF0772_10824
ko:K07552	suq:HMPREF0772_10838
ko:K07107	suq:HMPREF0772_10846
ko:K03284	suq:HMPREF0772_10847
ko:K03312	suq:HMPREF0772_10849
ko:K03652	suq:HMPREF0772_10850
ko:K09771	suq:HMPREF0772_10855
ko:K01807	suq:HMPREF0772_10858
ko:K11210	suq:HMPREF0772_10861
ko:K01712	suq:HMPREF0772_10863
ko:K01468	suq:HMPREF0772_10864
ko:K03481	suq:HMPREF0772_10871
ko:K02749	suq:HMPREF0772_10872
ko:K02750	suq:HMPREF0772_10872
ko:K03453	suq:HMPREF0772_10874
ko:K00123	suq:HMPREF0772_10886
ko:K09940	suq:HMPREF0772_10895
ko:K03315	suq:HMPREF0772_10897
ko:K03190	suq:HMPREF0772_10904
ko:K03189	suq:HMPREF0772_10905
ko:K03188	suq:HMPREF0772_10906
ko:K03187	suq:HMPREF0772_10907
ko:K01428	suq:HMPREF0772_10908
ko:K01429	suq:HMPREF0772_10909
ko:K01430	suq:HMPREF0772_10910
ko:K08717	suq:HMPREF0772_10911
ko:K02016	suq:HMPREF0772_10913
ko:K03523	suq:HMPREF0772_10916
ko:K02379	suq:HMPREF0772_10918
ko:K02020	suq:HMPREF0772_10919
ko:K02018	suq:HMPREF0772_10920
ko:K03638	suq:HMPREF0772_10923
ko:K06886	suq:HMPREF0772_12234
ko:K08602	suq:HMPREF0772_12236
ko:K01867	suq:HMPREF0772_12240
ko:K02034	suq:HMPREF0772_12246
ko:K15580	suq:HMPREF0772_12255
ko:K15581	suq:HMPREF0772_12259
ko:K09458	suq:HMPREF0772_12261
ko:K00648	suq:HMPREF0772_12262
ko:K03695	suq:HMPREF0772_12271
ko:K03637	suq:HMPREF0772_10924
ko:K03750	suq:HMPREF0772_10925
ko:K03753	suq:HMPREF0772_10926
ko:K03636	suq:HMPREF0772_10928
ko:K03752	suq:HMPREF0772_10929
ko:K03639	suq:HMPREF0772_10930
ko:K07088	suq:HMPREF0772_10941
ko:K06901	suq:HMPREF0772_10945
ko:K02946	suq:HMPREF0772_10947
ko:K02906	suq:HMPREF0772_10948
ko:K02926	suq:HMPREF0772_10949
ko:K02892	suq:HMPREF0772_10950
ko:K02886	suq:HMPREF0772_10951
ko:K02965	suq:HMPREF0772_10952
ko:K02890	suq:HMPREF0772_10953
ko:K02982	suq:HMPREF0772_10954
ko:K02878	suq:HMPREF0772_10955
ko:K02904	suq:HMPREF0772_10956
ko:K02961	suq:HMPREF0772_10957
ko:K02874	suq:HMPREF0772_10958
ko:K02895	suq:HMPREF0772_10959
ko:K02931	suq:HMPREF0772_10960
ko:K02954	suq:HMPREF0772_10961
ko:K02994	suq:HMPREF0772_10962
ko:K02933	suq:HMPREF0772_10963
ko:K02881	suq:HMPREF0772_10964
ko:K02988	suq:HMPREF0772_10965
ko:K02907	suq:HMPREF0772_10966
ko:K02876	suq:HMPREF0772_10967
ko:K03076	suq:HMPREF0772_10968
ko:K02518	suq:HMPREF0772_10970
ko:K02919	suq:HMPREF0772_10971
ko:K02952	suq:HMPREF0772_10972
ko:K02948	suq:HMPREF0772_10973
ko:K03040	suq:HMPREF0772_10974
ko:K02529	suq:HMPREF0772_10229
ko:K06726	suq:HMPREF0772_10231
ko:K01223	suq:HMPREF0772_10235
ko:K03489	suq:HMPREF0772_10237
ko:K04561	suq:HMPREF0772_10238
ko:K05339	suq:HMPREF0772_10239
ko:K05338	suq:HMPREF0772_10240
ko:K07704	suq:HMPREF0772_10242
ko:K07322	suq:HMPREF0772_10243
ko:K02879	suq:HMPREF0772_10975
ko:K06173	suq:HMPREF0772_10979
ko:K02871	suq:HMPREF0772_10980
ko:K02996	suq:HMPREF0772_10981
ko:K03655	suq:HMPREF0772_10982
ko:K01652	suq:HMPREF0772_10984
ko:K01575	suq:HMPREF0772_10985
ko:K12410	suq:HMPREF0772_10994
ko:K02787	suq:HMPREF0772_11001
ko:K02788	suq:HMPREF0772_11001
ko:K02016	suq:HMPREF0772_11015
ko:K02015	suq:HMPREF0772_11016
ko:K02015	suq:HMPREF0772_11017
ko:K07038	suq:HMPREF0772_11020
ko:K11068	suq:HMPREF0772_11022
ko:K18936	suq:HMPREF0772_10772
ko:K18934	suq:HMPREF0772_11025
ko:K14234	suq:HMPREF0772_t10008
ko:K14234	suq:HMPREF0772_t10040
ko:K14234	suq:HMPREF0772_t10024
ko:K00122	suq:HMPREF0772_10322
ko:K06216	suq:HMPREF0772_10230
ko:K03328	suq:HMPREF0772_10366
ko:K03328	suq:HMPREF0772_10015
ko:K14236	suq:HMPREF0772_t10016
ko:K14236	suq:HMPREF0772_t10041
ko:K02424	suq:HMPREF0772_10773
ko:K14222	suq:HMPREF0772_t10045
ko:K10009	suq:HMPREF0772_10774
ko:K00819	suq:HMPREF0772_12289
ko:K03768	suq:HMPREF0772_12293
ko:K05565	suq:HMPREF0772_12295
ko:K05568	suq:HMPREF0772_12298
ko:K05570	suq:HMPREF0772_12300
ko:K13628	suq:HMPREF0772_12307
ko:K05020	suq:HMPREF0772_11860
ko:K09976	suq:HMPREF0772_11865
ko:K00626	suq:HMPREF0772_12613
ko:K08093	suq:HMPREF0772_12618
ko:K02564	suq:HMPREF0772_12619
ko:K00712	suq:HMPREF0772_12624
ko:K00712	suq:HMPREF0772_12625
ko:K00853	suq:HMPREF0772_12637
ko:K00639	suq:HMPREF0772_12639
ko:K01104	suq:HMPREF0772_10524
ko:K01104	suq:HMPREF0772_11263
ko:K09693	suq:HMPREF0772_11273
ko:K07586	suq:HMPREF0772_11277
ko:K11085	suq:HMPREF0772_11278
ko:K09825	suq:HMPREF0772_11284
ko:K07035	suq:HMPREF0772_11285
ko:K01823	suq:HMPREF0772_10848
ko:K01785	suq:HMPREF0772_10856
ko:K01479	suq:HMPREF0772_10860
ko:K03698	suq:HMPREF0772_11302
ko:K07533	suq:HMPREF0772_11303
ko:K01679	suq:HMPREF0772_11293
ko:K01727	suq:HMPREF0772_11345
ko:K02549	suq:HMPREF0772_11361
ko:K00616	suq:HMPREF0772_11372
ko:K07052	suq:HMPREF0772_11373
ko:K07052	suq:HMPREF0772_11374
ko:K06183	suq:HMPREF0772_11399
ko:K01439	suq:HMPREF0772_11401
ko:K01261	suq:HMPREF0772_11408
ko:K00058	suq:HMPREF0772_11429
ko:K06286	suq:HMPREF0772_11435
ko:K00027	suq:HMPREF0772_11450
ko:K07658	suq:HMPREF0772_11458
ko:K10563	suq:HMPREF0772_11462
ko:K03346	suq:HMPREF0772_11466
ko:K11144	suq:HMPREF0772_11467
ko:K01719	suq:HMPREF0772_11481
ko:K07120	suq:HMPREF0772_11484
ko:K02236	suq:HMPREF0772_11488
ko:K07584	suq:HMPREF0772_11496
ko:K01243	suq:HMPREF0772_11542
ko:K06948	suq:HMPREF0772_11544
ko:K02238	suq:HMPREF0772_11553
ko:K01489	suq:HMPREF0772_11572
ko:K02076	suq:HMPREF0772_11586
ko:K00845	suq:HMPREF0772_11594
ko:K02243	suq:HMPREF0772_11597
ko:K02244	suq:HMPREF0772_11598
ko:K02245	suq:HMPREF0772_11599
ko:K02246	suq:HMPREF0772_11600
ko:K00033	suq:HMPREF0772_11629
ko:K00784	suq:HMPREF0772_11637
ko:K10254	suq:HMPREF0772_10389
ko:K01771	suq:HMPREF0772_10395
ko:K07706	suq:HMPREF0772_11161
ko:K07052	suq:HMPREF0772_11167
ko:K01439	suq:HMPREF0772_11176
ko:K00805	suq:HMPREF0772_11736
ko:K00974	suq:HMPREF0772_11747
ko:K02086	suq:HMPREF0772_11751
ko:K03700	suq:HMPREF0772_11755
ko:K02619	suq:HMPREF0772_12472
ko:K03436	suq:HMPREF0772_12489
ko:K03976	suq:HMPREF0772_12490
ko:K06934	suq:HMPREF0772_12493
ko:K16012	suq:HMPREF0772_12502
ko:K16013	suq:HMPREF0772_12503
ko:K03499	suq:HMPREF0772_12145
ko:K08483	suq:HMPREF0772_12149
ko:K11189	suq:HMPREF0772_12150
ko:K00841	suq:HMPREF0772_12184
ko:K03711	suq:HMPREF0772_11643
ko:K04763	suq:HMPREF0772_11644
ko:K09763	suq:HMPREF0772_11645
ko:K05337	suq:HMPREF0772_11722
ko:K02499	suq:HMPREF0772_10014
ko:K09685	suq:HMPREF0772_10024
ko:K03486	suq:HMPREF0772_10046
ko:K01226	suq:HMPREF0772_10047
ko:K00088	suq:HMPREF0772_10104
ko:K01515	suq:HMPREF0772_11642
ko:K03386	suq:HMPREF0772_10114
ko:K01760	suq:HMPREF0772_10136
ko:K00626	suq:HMPREF0772_10140
ko:K07729	suq:HMPREF0772_10145
ko:K02821	suq:HMPREF0772_10164
ko:K02822	suq:HMPREF0772_10165
ko:K03475	suq:HMPREF0772_10166
ko:K01788	suq:HMPREF0772_10177
ko:K01639	suq:HMPREF0772_10180
ko:K03307	suq:HMPREF0772_10181
ko:K02004	suq:HMPREF0772_10187
ko:K07304	suq:HMPREF0772_10526
ko:K12268	suq:HMPREF0772_10535
ko:K12269	suq:HMPREF0772_10536
ko:K12270	suq:HMPREF0772_10537
ko:K01478	suq:HMPREF0772_10553
ko:K01077	suq:HMPREF0772_10562
ko:K00380	suq:HMPREF0772_10570
ko:K03177	suq:HMPREF0772_11958
ko:K09787	suq:HMPREF0772_11995
ko:K07052	suq:HMPREF0772_10882
ko:K02017	suq:HMPREF0772_10921
ko:K07652	suq:HMPREF0772_10449
ko:K07668	suq:HMPREF0772_10450
ko:K15986	suq:HMPREF0772_11222
ko:K04518	suq:HMPREF0772_11226
ko:K01916	suq:HMPREF0772_11229
ko:K07094	suq:HMPREF0772_11236
ko:K02433	suq:HMPREF0772_11242
ko:K02342	suq:HMPREF0772_11249
ko:K07009	suq:HMPREF0772_11252
ko:K03451	suq:HMPREF0772_10576
ko:K03294	suq:HMPREF0772_10589
ko:K00016	suq:HMPREF0772_10590
ko:K04750	suq:HMPREF0772_10599
ko:K07032	suq:HMPREF0772_10616
ko:K07035	suq:HMPREF0772_10620
ko:K04488	suq:HMPREF0772_12331
ko:K08974	suq:HMPREF0772_12335
ko:K03635	suq:HMPREF0772_10927
ko:K00939	suq:HMPREF0772_10969
ko:K00059	suq:HMPREF0772_12001
ko:K07030	suq:HMPREF0772_12006
ko:K02824	suq:HMPREF0772_12033
ko:K07104	suq:HMPREF0772_12037
ko:K10209	suq:HMPREF0772_10628
ko:K07213	suq:HMPREF0772_10631
ko:K00294	suq:HMPREF0772_10636
ko:K06994	suq:HMPREF0772_10639
ko:K04086	suq:HMPREF0772_10643
ko:K03294	suq:HMPREF0772_11769
ko:K03469	suq:HMPREF0772_11773
ko:K07304	suq:HMPREF0772_11782
ko:K07305	suq:HMPREF0772_11783
ko:K05822	suq:HMPREF0772_11812
ko:K09705	suq:HMPREF0772_12518
ko:K07258	suq:HMPREF0772_12545
ko:K09693	suq:HMPREF0772_12550
ko:K03709	suq:HMPREF0772_12553
ko:K08680	suq:HMPREF0772_12190
ko:K02552	suq:HMPREF0772_12193
ko:K07052	suq:HMPREF0772_12205
ko:K05362	suq:HMPREF0772_12216
ko:K03455	suq:HMPREF0772_12227
ko:K01641	suq:HMPREF0772_10645
ko:K00054	suq:HMPREF0772_10646
ko:K00158	suq:HMPREF0772_10652
ko:K00567	suq:HMPREF0772_10644
ko:K07104	suq:HMPREF0772_10671
ko:K00852	suq:HMPREF0772_10232
ko:K01727	suq:HMPREF0772_10989
ko:K02530	suq:HMPREF0772_10995
ko:K01819	suq:HMPREF0772_10996
ko:K01819	suq:HMPREF0772_10997
ko:K00917	suq:HMPREF0772_10998
ko:K01635	suq:HMPREF0772_10999
ko:K02786	suq:HMPREF0772_11000
ko:K01220	suq:HMPREF0772_11002
ko:K07025	suq:HMPREF0772_12057
ko:K11041	suq:HMPREF0772_12060
ko:K02428	suq:HMPREF0772_12082
ko:K00241	suq:HMPREF0772_12086
ko:K03471	suq:HMPREF0772_12093
ko:K03535	suq:HMPREF0772_10685
ko:K00851	suq:HMPREF0772_10691
ko:K03299	suq:HMPREF0772_10692
ko:K01835	suq:HMPREF0772_10700
ko:K12942	suq:HMPREF0772_10716
ko:K09762	suq:HMPREF0772_12413
ko:K02033	suq:HMPREF0772_11826
ko:K04517	suq:HMPREF0772_11842
ko:K07304	suq:HMPREF0772_11848
ko:K03316	suq:HMPREF0772_12559
ko:K05570	suq:HMPREF0772_12561
ko:K00016	suq:HMPREF0772_10263
ko:K02035	suq:HMPREF0772_10267
ko:K07720	suq:HMPREF0772_10285
ko:K07784	suq:HMPREF0772_10286
ko:K03593	suq:HMPREF0772_11026
ko:K02798	suq:HMPREF0772_11035
ko:K02799	suq:HMPREF0772_11037
ko:K02800	suq:HMPREF0772_11037
ko:K03784	suq:HMPREF0772_11052
ko:K01619	suq:HMPREF0772_11053
ko:K09680	suq:HMPREF0772_11060
ko:K03048	suq:HMPREF0772_11062
ko:K02775	suq:HMPREF0772_10256
ko:K05568	suq:HMPREF0772_12563
ko:K05565	suq:HMPREF0772_12566
ko:K07025	suq:HMPREF0772_12575
ko:K07457	suq:HMPREF0772_12578
ko:K13953	suq:HMPREF0772_12581
ko:K00938	suq:HMPREF0772_12596
ko:K01597	suq:HMPREF0772_12597
ko:K00869	suq:HMPREF0772_12598
ko:K00625	suq:HMPREF0772_12600
ko:K03713	suq:HMPREF0772_11918
ko:K02443	suq:HMPREF0772_11930
ko:K00059	suq:HMPREF0772_11948
ko:K09698	suq:HMPREF0772_12663
ko:K03708	suq:HMPREF0772_12669
ko:K03929	suq:HMPREF0772_10737
ko:K06147	suq:HMPREF0772_10758
ko:K06147	suq:HMPREF0772_10759
ko:K00652	suq:HMPREF0772_10763
ko:K15770	suq:HMPREF0772_10293
ko:K10112	suq:HMPREF0772_10294
ko:K02035	suq:HMPREF0772_10298
ko:K02033	suq:HMPREF0772_10300
ko:K09963	suq:HMPREF0772_10308
ko:K00819	suq:HMPREF0772_10314
ko:K02050	suq:HMPREF0772_10325
ko:K02051	suq:HMPREF0772_10326
ko:K02049	suq:HMPREF0772_10327
ko:K07816	suq:HMPREF0772_12231
ko:K02033	suq:HMPREF0772_12247
ko:K02035	suq:HMPREF0772_12251
ko:K10823	suq:HMPREF0772_12256
ko:K15582	suq:HMPREF0772_12258
ko:K06910	suq:HMPREF0772_12265
ko:K01104	suq:HMPREF0772_11076
ko:K02116	suq:HMPREF0772_11081
ko:K06023	suq:HMPREF0772_12421
ko:K02242	suq:HMPREF0772_12431
ko:K02240	suq:HMPREF0772_12432
ko:K01258	suq:HMPREF0772_12440
ko:K03647	suq:HMPREF0772_12454
ko:K05845	suq:HMPREF0772_12464
ko:K05846	suq:HMPREF0772_12464
ko:K01958	suq:HMPREF0772_12118
ko:K01092	suq:HMPREF0772_12125
ko:K11069	suq:HMPREF0772_12130
ko:K11071	suq:HMPREF0772_12132
ko:K11072	suq:HMPREF0772_12133
ko:K09815	suq:HMPREF0772_10781
ko:K00374	suq:HMPREF0772_10793
ko:K01784	suq:HMPREF0772_10336
ko:K01104	suq:HMPREF0772_10347
ko:K01619	suq:HMPREF0772_10360
ko:K03784	suq:HMPREF0772_10362
ko:K01784	suq:HMPREF0772_10370
ko:K08981	suq:HMPREF0772_11122
ko:K09167	suq:HMPREF0772_11123
ko:K07315	suq:HMPREF0772_11128
ko:K03090	suq:HMPREF0772_11131
ko:K03095	suq:HMPREF0772_11133
ko:K01409	suq:HMPREF0772_11150
ko:K14232	suq:HMPREF0772_t10003
ko:K14232	suq:HMPREF0772_t10030
ko:K14235	suq:HMPREF0772_t10042
ko:K14230	suq:HMPREF0772_t10033
ko:K18935	suq:HMPREF0772_11023
ko:K18940	suq:HMPREF0772_11794
ko:K21454	suq:HMPREF0772_10835
ko:K01977	suq:HMPREF0772_r10003
ko:K01977	suq:HMPREF0772_r10019
ko:K01977	suq:HMPREF0772_r10008
ko:K01977	suq:HMPREF0772_r10014
ko:K01977	suq:HMPREF0772_r10007
ko:K01977	suq:HMPREF0772_r10011
ko:K07482	suq:HMPREF0772_12253
ko:K07482	suq:HMPREF0772_12038
ko:K07482	suq:HMPREF0772_12592
ko:K07482	suq:HMPREF0772_11786
ko:K07482	suq:HMPREF0772_12292
ko:K07038	suq:HMPREF0772_11275
ko:K02545	suq:HMPREF0772_10435
ko:K16509	suq:HMPREF0772_12239
ko:K01834	suq:HMPREF0772_10771
ko:K01834	suq:HMPREF0772_10119
ko:K16511	suq:HMPREF0772_12238
ko:K11733	suq:HMPREF0772_11469
ko:K14229	suq:HMPREF0772_t10007
ko:K16264	suq:HMPREF0772_10330
ko:K06198	suq:HMPREF0772_12237
ko:K15583	suq:HMPREF0772_12257
ko:K14220	suq:HMPREF0772_t10013
ko:K16329	suq:HMPREF0772_10183
ko:K16323	suq:HMPREF0772_12543
ko:K16169	suq:HMPREF0772_10105
ko:K11737	suq:HMPREF0772_10750
ko:K01545	suq:HMPREF0772_11117
ko:K05340	suq:HMPREF0772_10942
ko:K16264	suq:HMPREF0772_11044
ko:K02851	suq:HMPREF0772_12436
ko:K07045	suq:HMPREF0772_10611
ko:K09814	suq:HMPREF0772_10833
ko:K13052	suq:HMPREF0772_10012
ko:K11040	suq:HMPREF0772_11539
ko:K10010	suq:HMPREF0772_10775
ko:K16786	suq:HMPREF0772_10976
ko:K16787	suq:HMPREF0772_10977
ko:K04564	suq:HMPREF0772_10365
ko:K16785	suq:HMPREF0772_10978
ko:K01906	suq:HMPREF0772_10764
ko:K04757	suq:HMPREF0772_11130
ko:K01985	suq:HMPREF0772_r10005
ko:K01985	suq:HMPREF0772_r10016
ko:K01985	suq:HMPREF0772_r10010
ko:K01985	suq:HMPREF0772_r10017
ko:K01985	suq:HMPREF0772_r10004
ko:K01985	suq:HMPREF0772_r10013
ko:K01985	suq:HMPREF0772_r10001
ko:K07705	suq:HMPREF0772_10241
ko:K03429	suq:HMPREF0772_12217
ko:K09813	suq:HMPREF0772_10832
ko:K01401	suq:HMPREF0772_10550
ko:K14198	suq:HMPREF0772_11195
ko:K14204	suq:HMPREF0772_11204
ko:K13733	suq:HMPREF0772_10696
ko:K02547	suq:HMPREF0772_10434
ko:K14200	suq:HMPREF0772_12076
ko:K14201	suq:HMPREF0772_12391
ko:K10208	suq:HMPREF0772_10627
ko:K02755	suq:HMPREF0772_10236
ko:K00128	suq:HMPREF0772_10331
ko:K00128	suq:HMPREF0772_11068
ko:K08259	suq:HMPREF0772_10224
ko:K12553	suq:HMPREF0772_11588
ko:K07683	suq:HMPREF0772_10795
ko:K01239	suq:HMPREF0772_10915
ko:K00128	suq:HMPREF0772_11220
ko:K14230	suq:HMPREF0772_t10037
ko:K14230	suq:HMPREF0772_t10048
ko:K14229	suq:HMPREF0772_t10025
ko:K14229	suq:HMPREF0772_t10018
ko:K14219	suq:HMPREF0772_t10059
ko:K11631	suq:HMPREF0772_10486
ko:K02803	suq:HMPREF0772_11427
ko:K02804	suq:HMPREF0772_11427
ko:K11042	suq:HMPREF0772_10095
ko:K13715	suq:HMPREF0772_12187
ko:K13732	suq:HMPREF0772_10694
ko:K10210	suq:HMPREF0772_10625
ko:K11695	suq:HMPREF0772_11832
ko:K11693	suq:HMPREF0772_10937
ko:K01271	suq:HMPREF0772_11444
ko:K16785	suq:HMPREF0772_12158
ko:K16786	suq:HMPREF0772_12157
ko:K16787	suq:HMPREF0772_12157
ko:K16785	suq:HMPREF0772_10503
ko:K16786	suq:HMPREF0772_10502
ko:K16787	suq:HMPREF0772_10502
ko:K02768	suq:HMPREF0772_10546
ko:K02769	suq:HMPREF0772_10546
ko:K02770	suq:HMPREF0772_10546
ko:K11632	suq:HMPREF0772_10485
ko:K13714	suq:HMPREF0772_12181
ko:K04478	suq:HMPREF0772_11270
ko:K00980	suq:HMPREF0772_12546
ko:K16937	suq:HMPREF0772_12480
ko:K16869	suq:HMPREF0772_12599
ko:K11991	suq:HMPREF0772_12631
ko:K17716	suq:HMPREF0772_10345
ko:K10851	suq:HMPREF0772_10794
ko:K00882	suq:HMPREF0772_12488
ko:K00108	suq:HMPREF0772_10579
ko:K16925	suq:HMPREF0772_12156
ko:K14202	suq:HMPREF0772_11197
ko:K14196	suq:HMPREF0772_10386
ko:K16924	suq:HMPREF0772_10501
ko:K14192	suq:HMPREF0772_10559
ko:K14193	suq:HMPREF0772_12103
ko:K14197	suq:HMPREF0772_10769
ko:K08258	suq:HMPREF0772_11233
ko:K10211	suq:HMPREF0772_10626
ko:K10850	suq:HMPREF0772_10800
ko:K11694	suq:HMPREF0772_11833
ko:K12552	suq:HMPREF0772_12051
ko:K07681	suq:HMPREF0772_11259
ko:K07694	suq:HMPREF0772_11260
ko:K02352	suq:HMPREF0772_10498
ko:K12551	suq:HMPREF0772_11423
ko:K02303	suq:HMPREF0772_10789
ko:K07800	suq:HMPREF0772_11162
ko:K16898	suq:HMPREF0772_12279
ko:K16899	suq:HMPREF0772_12280
ko:K14224	suq:HMPREF0772_t10012
ko:K14224	suq:HMPREF0772_t10054
ko:K14224	suq:HMPREF0772_t10014
ko:K14221	suq:HMPREF0772_t10011
ko:K14221	suq:HMPREF0772_t10035
ko:K14221	suq:HMPREF0772_t10049
ko:K14221	suq:HMPREF0772_t10038
ko:K14233	suq:HMPREF0772_t10010
ko:K14233	suq:HMPREF0772_t10034
ko:K14233	suq:HMPREF0772_t10036
ko:K14233	suq:HMPREF0772_t10058
