ko:K19504	senl:IY59_22800
ko:K02356	senl:IY59_11450
ko:K13694	senl:IY59_11465
ko:K13893	senl:IY59_11475
ko:K13894	senl:IY59_11480
ko:K13895	senl:IY59_11485
ko:K13896	senl:IY59_11490
ko:K07552	senl:IY59_11505
ko:K06183	senl:IY59_11510
ko:K02897	senl:IY59_11520
ko:K06899	senl:IY59_11530
ko:K09904	senl:IY59_11535
ko:K07014	senl:IY59_11540
ko:K15353	senl:IY59_11555
ko:K07685	senl:IY59_11590
ko:K02200	senl:IY59_11595
ko:K02199	senl:IY59_11600
ko:K02198	senl:IY59_11605
ko:K02197	senl:IY59_11610
ko:K01460	senl:IY59_15770
ko:K11209	senl:IY59_15775
ko:K02020	senl:IY59_15780
ko:K02016	senl:IY59_15785
ko:K04653	senl:IY59_15790
ko:K04651	senl:IY59_15795
ko:K03605	senl:IY59_15805
ko:K06281	senl:IY59_15810
ko:K06282	senl:IY59_15825
ko:K03406	senl:IY59_15835
ko:K03559	senl:IY59_15865
ko:K03561	senl:IY59_15870
ko:K01760	senl:IY59_15880
ko:K08325	senl:IY59_15895
ko:K06221	senl:IY59_15900
ko:K03319	senl:IY59_15905
ko:K00655	senl:IY59_15945
ko:K02621	senl:IY59_15950
ko:K13652	senl:IY59_15955
ko:K07666	senl:IY59_15965
ko:K07645	senl:IY59_15970
ko:K03923	senl:IY59_15975
ko:K02622	senl:IY59_15985
ko:K07000	senl:IY59_15990
ko:K03651	senl:IY59_15995
ko:K09920	senl:IY59_16000
ko:K01515	senl:IY59_16005
ko:K12340	senl:IY59_16010
ko:K07238	senl:IY59_16030
ko:K02380	senl:IY59_20250
ko:K00127	senl:IY59_20255
ko:K00124	senl:IY59_20260
ko:K00123	senl:IY59_20265
ko:K00123	senl:IY59_20270
ko:K02379	senl:IY59_20275
ko:K03534	senl:IY59_20310
ko:K01629	senl:IY59_20320
ko:K01813	senl:IY59_20325
ko:K00848	senl:IY59_20330
ko:K02855	senl:IY59_20335
ko:K02854	senl:IY59_20340
ko:K02856	senl:IY59_20345
ko:K04564	senl:IY59_20370
ko:K07640	senl:IY59_20390
ko:K06006	senl:IY59_20400
ko:K13283	senl:IY59_20405
ko:K00850	senl:IY59_20410
ko:K02048	senl:IY59_20415
ko:K01521	senl:IY59_20420
ko:K00847	senl:IY59_20430
ko:K11216	senl:IY59_20460
ko:K11531	senl:IY59_20465
ko:K10558	senl:IY59_20470
ko:K10556	senl:IY59_20475
ko:K10557	senl:IY59_20480
ko:K10555	senl:IY59_20485
ko:K08321	senl:IY59_20490
ko:K11530	senl:IY59_20495
ko:K01783	senl:IY59_20500
ko:K01803	senl:IY59_20505
ko:K00528	senl:IY59_20520
ko:K02446	senl:IY59_20525
ko:K01921	senl:IY59_00675
ko:K03589	senl:IY59_00680
ko:K03590	senl:IY59_00685
ko:K03531	senl:IY59_00690
ko:K02535	senl:IY59_00695
ko:K13301	senl:IY59_00700
ko:K03070	senl:IY59_00705
ko:K03574	senl:IY59_00710
ko:K09862	senl:IY59_00725
ko:K18778	senl:IY59_00730
ko:K00859	senl:IY59_00735
ko:K00364	senl:IY59_00740
ko:K02505	senl:IY59_00745
ko:K02504	senl:IY59_00750
ko:K02682	senl:IY59_00755
ko:K00767	senl:IY59_00760
ko:K03806	senl:IY59_00765
ko:K03807	senl:IY59_00770
ko:K11734	senl:IY59_00785
ko:K00163	senl:IY59_00795
ko:K00627	senl:IY59_00800
ko:K00382	senl:IY59_00805
ko:K01682	senl:IY59_00830
ko:K09910	senl:IY59_00845
ko:K02526	senl:IY59_00850
ko:K01611	senl:IY59_00870
ko:K00797	senl:IY59_00875
ko:K14588	senl:IY59_00885
ko:K00117	senl:IY59_00890
ko:K00760	senl:IY59_00895
ko:K01673	senl:IY59_00900
ko:K01990	senl:IY59_00905
ko:K01992	senl:IY59_00910
ko:K07347	senl:IY59_00920
ko:K01579	senl:IY59_00945
ko:K01918	senl:IY59_00950
ko:K06887	senl:IY59_05275
ko:K11911	senl:IY59_05280
ko:K07126	senl:IY59_05305
ko:K07126	senl:IY59_05310
ko:K07483	senl:IY59_05315
ko:K03704	senl:IY59_05340
ko:K06950	senl:IY59_05355
ko:K07458	senl:IY59_05365
ko:K09781	senl:IY59_05375
ko:K07026	senl:IY59_05390
ko:K07781	senl:IY59_05405
ko:K02421	senl:IY59_05410
ko:K02420	senl:IY59_05415
ko:K02419	senl:IY59_05420
ko:K02418	senl:IY59_05425
ko:K02417	senl:IY59_05430
ko:K02416	senl:IY59_05435
ko:K02415	senl:IY59_05440
ko:K02414	senl:IY59_05445
ko:K02413	senl:IY59_05450
ko:K02412	senl:IY59_05455
ko:K02411	senl:IY59_05460
ko:K02410	senl:IY59_05465
ko:K02409	senl:IY59_05470
ko:K02408	senl:IY59_05475
ko:K07112	senl:IY59_05490
ko:K01176	senl:IY59_05500
ko:K02423	senl:IY59_05505
ko:K02422	senl:IY59_05510
ko:K02407	senl:IY59_05515
ko:K02406	senl:IY59_05525
ko:K18475	senl:IY59_05530
ko:K02405	senl:IY59_05535
ko:K02425	senl:IY59_05540
ko:K02397	senl:IY59_09915
ko:K02396	senl:IY59_09920
ko:K02395	senl:IY59_09925
ko:K02394	senl:IY59_09930
ko:K02393	senl:IY59_09935
ko:K02392	senl:IY59_09940
ko:K02391	senl:IY59_09945
ko:K02390	senl:IY59_09950
ko:K02389	senl:IY59_09955
ko:K02388	senl:IY59_09960
ko:K02387	senl:IY59_09965
ko:K02386	senl:IY59_09970
ko:K02398	senl:IY59_09975
ko:K02399	senl:IY59_09980
ko:K03980	senl:IY59_09985
ko:K03810	senl:IY59_09990
ko:K09915	senl:IY59_09995
ko:K03790	senl:IY59_10000
ko:K08162	senl:IY59_10005
ko:K03675	senl:IY59_10010
ko:K01465	senl:IY59_10020
ko:K12149	senl:IY59_10025
ko:K12148	senl:IY59_10030
ko:K02846	senl:IY59_10035
ko:K07146	senl:IY59_10055
ko:K02517	senl:IY59_10060
ko:K08161	senl:IY59_10065
ko:K12147	senl:IY59_10070
ko:K03669	senl:IY59_10080
ko:K03670	senl:IY59_10085
ko:K11941	senl:IY59_10090
ko:K04336	senl:IY59_10110
ko:K04334	senl:IY59_10115
ko:K04335	senl:IY59_10120
ko:K04337	senl:IY59_10130
ko:K04338	senl:IY59_10135
ko:K06214	senl:IY59_10140
ko:K04477	senl:IY59_10155
ko:K12972	senl:IY59_10160
ko:K13740	senl:IY59_14410
ko:K02078	senl:IY59_14425
ko:K13284	senl:IY59_14430
ko:K13287	senl:IY59_14435
ko:K13286	senl:IY59_14440
ko:K13285	senl:IY59_14445
ko:K03225	senl:IY59_14475
ko:K03230	senl:IY59_14500
ko:K07314	senl:IY59_14540
ko:K03555	senl:IY59_14565
ko:K03186	senl:IY59_14625
ko:K03087	senl:IY59_14640
ko:K06194	senl:IY59_14645
ko:K00573	senl:IY59_14650
ko:K03787	senl:IY59_14655
ko:K01972	senl:IY59_18820
ko:K00942	senl:IY59_18825
ko:K03060	senl:IY59_18830
ko:K00556	senl:IY59_18840
ko:K03655	senl:IY59_18845
ko:K03312	senl:IY59_18850
ko:K16345	senl:IY59_18855
ko:K01811	senl:IY59_18865
ko:K03292	senl:IY59_18870
ko:K12678	senl:IY59_18910
ko:K01531	senl:IY59_18940
ko:K07507	senl:IY59_18945
ko:K17463	senl:IY59_18960
ko:K17468	senl:IY59_18965
ko:K17467	senl:IY59_18970
ko:K17466	senl:IY59_18975
ko:K17465	senl:IY59_18980
ko:K17464	senl:IY59_18985
ko:K17473	senl:IY59_18990
ko:K01223	senl:IY59_19000
ko:K07726	senl:IY59_19015
ko:K07784	senl:IY59_19030
ko:K07783	senl:IY59_19035
ko:K07675	senl:IY59_19040
ko:K02429	senl:IY59_19055
ko:K00852	senl:IY59_19060
ko:K11534	senl:IY59_19065
ko:K01653	senl:IY59_19070
ko:K01652	senl:IY59_19075
ko:K19148	senl:IY59_19085
ko:K08154	senl:IY59_19095
ko:K13636	senl:IY59_19105
ko:K04045	senl:IY59_03265
ko:K01250	senl:IY59_03275
ko:K10004	senl:IY59_03280
ko:K10002	senl:IY59_03285
ko:K10003	senl:IY59_03290
ko:K10001	senl:IY59_03295
ko:K03820	senl:IY59_03300
ko:K06189	senl:IY59_03305
ko:K07042	senl:IY59_03310
ko:K06168	senl:IY59_03320
ko:K03184	senl:IY59_03325
ko:K01953	senl:IY59_03370
ko:K02566	senl:IY59_03375
ko:K02565	senl:IY59_03380
ko:K01443	senl:IY59_03385
ko:K02564	senl:IY59_03390
ko:K02802	senl:IY59_03395
ko:K02803	senl:IY59_03395
ko:K02804	senl:IY59_03395
ko:K01886	senl:IY59_03400
ko:K03288	senl:IY59_03415
ko:K13795	senl:IY59_03420
ko:K13796	senl:IY59_03425
ko:K13794	senl:IY59_03430
ko:K03711	senl:IY59_03435
ko:K03839	senl:IY59_03440
ko:K03645	senl:IY59_03455
ko:K01835	senl:IY59_03460
ko:K03756	senl:IY59_03470
ko:K01581	senl:IY59_03475
ko:K07667	senl:IY59_03485
ko:K07646	senl:IY59_03490
ko:K01548	senl:IY59_03495
ko:K01547	senl:IY59_03500
ko:K01546	senl:IY59_03505
ko:K01545	senl:IY59_03510
ko:K01669	senl:IY59_03520
ko:K03305	senl:IY59_03525
ko:K06044	senl:IY59_07920
ko:K14155	senl:IY59_07930
ko:K03315	senl:IY59_07935
ko:K02529	senl:IY59_07940
ko:K06282	senl:IY59_08010
ko:K06281	senl:IY59_08015
ko:K03620	senl:IY59_08020
ko:K03605	senl:IY59_08025
ko:K04653	senl:IY59_08030
ko:K03619	senl:IY59_08035
ko:K03618	senl:IY59_08040
ko:K04651	senl:IY59_08050
ko:K01425	senl:IY59_08075
ko:K08324	senl:IY59_08080
ko:K08159	senl:IY59_08090
ko:K05595	senl:IY59_08095
ko:K03712	senl:IY59_08100
ko:K13632	senl:IY59_08105
ko:K13630	senl:IY59_08110
ko:K15268	senl:IY59_08115
ko:K01284	senl:IY59_08145
ko:K16066	senl:IY59_08150
ko:K00040	senl:IY59_08165
ko:K08173	senl:IY59_08170
ko:K08322	senl:IY59_08175
ko:K08323	senl:IY59_08180
ko:K09771	senl:IY59_08185
ko:K00657	senl:IY59_08195
ko:K19265	senl:IY59_12440
ko:K03322	senl:IY59_12450
ko:K11535	senl:IY59_12455
ko:K01885	senl:IY59_12485
ko:K11537	senl:IY59_12520
ko:K03815	senl:IY59_12525
ko:K14347	senl:IY59_12540
ko:K09954	senl:IY59_12545
ko:K01972	senl:IY59_12550
ko:K03528	senl:IY59_12555
ko:K06203	senl:IY59_12560
ko:K01738	senl:IY59_12565
ko:K02784	senl:IY59_12575
ko:K08483	senl:IY59_12580
ko:K02777	senl:IY59_12585
ko:K00868	senl:IY59_12595
ko:K01951	senl:IY59_12605
ko:K12339	senl:IY59_12625
ko:K02045	senl:IY59_12630
ko:K02047	senl:IY59_12635
ko:K02046	senl:IY59_12640
ko:K02048	senl:IY59_12645
ko:K07223	senl:IY59_12655
ko:K01448	senl:IY59_12675
ko:K00228	senl:IY59_12680
ko:K04033	senl:IY59_12690
ko:K04025	senl:IY59_12695
ko:K04026	senl:IY59_12700
ko:K03736	senl:IY59_12705
ko:K03735	senl:IY59_12710
ko:K04019	senl:IY59_12715
ko:K00024	senl:IY59_16875
ko:K03402	senl:IY59_16880
ko:K03623	senl:IY59_16900
ko:K03468	senl:IY59_16905
ko:K15548	senl:IY59_16910
ko:K03568	senl:IY59_16925
ko:K08301	senl:IY59_16935
ko:K06287	senl:IY59_16940
ko:K03571	senl:IY59_16945
ko:K03570	senl:IY59_16950
ko:K03569	senl:IY59_16955
ko:K18765	senl:IY59_16965
ko:K17247	senl:IY59_16980
ko:K02160	senl:IY59_16985
ko:K01961	senl:IY59_16990
ko:K14392	senl:IY59_17000
ko:K02687	senl:IY59_17005
ko:K05540	senl:IY59_17010
ko:K03557	senl:IY59_17015
ko:K07319	senl:IY59_17020
ko:K18140	senl:IY59_17035
ko:K18141	senl:IY59_17040
ko:K18142	senl:IY59_17045
ko:K00014	senl:IY59_17105
ko:K07566	senl:IY59_17110
ko:K07479	senl:IY59_17115
ko:K03747	senl:IY59_17120
ko:K04096	senl:IY59_17125
ko:K01462	senl:IY59_17130
ko:K00604	senl:IY59_17135
ko:K03500	senl:IY59_17140
ko:K03499	senl:IY59_17145
ko:K03282	senl:IY59_17150
ko:K09890	senl:IY59_17155
ko:K03316	senl:IY59_21395
ko:K06518	senl:IY59_21405
ko:K14393	senl:IY59_21415
ko:K01895	senl:IY59_21425
ko:K03385	senl:IY59_21435
ko:K04013	senl:IY59_21440
ko:K04014	senl:IY59_21445
ko:K04015	senl:IY59_21450
ko:K04016	senl:IY59_21455
ko:K04017	senl:IY59_21460
ko:K04018	senl:IY59_21465
ko:K11102	senl:IY59_21470
ko:K07126	senl:IY59_21475
ko:K09994	senl:IY59_21495
ko:K04750	senl:IY59_21500
ko:K06193	senl:IY59_21505
ko:K03762	senl:IY59_21510
ko:K07643	senl:IY59_21520
ko:K07771	senl:IY59_21525
ko:K03760	senl:IY59_21530
ko:K03759	senl:IY59_21535
ko:K03755	senl:IY59_21540
ko:K01584	senl:IY59_21550
ko:K07406	senl:IY59_21560
ko:K11104	senl:IY59_21565
ko:K01676	senl:IY59_21570
ko:K07792	senl:IY59_21575
ko:K07703	senl:IY59_21585
ko:K07701	senl:IY59_21590
ko:K07306	senl:IY59_21595
ko:K07307	senl:IY59_21600
ko:K07308	senl:IY59_21605
ko:K09474	senl:IY59_21665
ko:K04084	senl:IY59_21685
ko:K03926	senl:IY59_21690
ko:K11924	senl:IY59_04115
ko:K19235	senl:IY59_04125
ko:K07757	senl:IY59_04150
ko:K00656	senl:IY59_04155
ko:K04069	senl:IY59_04160
ko:K03750	senl:IY59_04170
ko:K13051	senl:IY59_04175
ko:K13892	senl:IY59_04180
ko:K13889	senl:IY59_04185
ko:K13890	senl:IY59_04190
ko:K13891	senl:IY59_04195
ko:K14441	senl:IY59_04200
ko:K03521	senl:IY59_04215
ko:K03522	senl:IY59_04220
ko:K09709	senl:IY59_04225
ko:K00311	senl:IY59_04235
ko:K07258	senl:IY59_04265
ko:K11534	senl:IY59_04270
ko:K08160	senl:IY59_04280
ko:K07085	senl:IY59_04300
ko:K03674	senl:IY59_04310
ko:K05844	senl:IY59_04325
ko:K11073	senl:IY59_04335
ko:K11076	senl:IY59_04340
ko:K11075	senl:IY59_04345
ko:K11074	senl:IY59_04350
ko:K03212	senl:IY59_04360
ko:K03475	senl:IY59_04365
ko:K02822	senl:IY59_04370
ko:K09996	senl:IY59_04380
ko:K09998	senl:IY59_04385
ko:K14979	senl:IY59_08765
ko:K13041	senl:IY59_08785
ko:K13040	senl:IY59_08790
ko:K08358	senl:IY59_08795
ko:K08359	senl:IY59_08800
ko:K08357	senl:IY59_08805
ko:K01259	senl:IY59_08820
ko:K00873	senl:IY59_08830
ko:K06078	senl:IY59_08835
ko:K06078	senl:IY59_08840
ko:K19234	senl:IY59_08845
ko:K02426	senl:IY59_08850
ko:K11717	senl:IY59_08855
ko:K09015	senl:IY59_08860
ko:K09013	senl:IY59_08865
ko:K09014	senl:IY59_08870
ko:K05997	senl:IY59_08875
ko:K06956	senl:IY59_08880
ko:K19222	senl:IY59_08890
ko:K05887	senl:IY59_08920
ko:K03785	senl:IY59_08925
ko:K00313	senl:IY59_08955
ko:K12507	senl:IY59_08965
ko:K09773	senl:IY59_08980
ko:K01626	senl:IY59_08985
ko:K08997	senl:IY59_08995
ko:K06074	senl:IY59_09010
ko:K00432	senl:IY59_09015
ko:K06073	senl:IY59_09020
ko:K04764	senl:IY59_09025
ko:K01890	senl:IY59_09030
ko:K01889	senl:IY59_09035
ko:K02887	senl:IY59_09040
ko:K02916	senl:IY59_09045
ko:K02809	senl:IY59_13270
ko:K02810	senl:IY59_13270
ko:K07106	senl:IY59_13275
ko:K00077	senl:IY59_13285
ko:K08177	senl:IY59_13290
ko:K00997	senl:IY59_13305
ko:K03474	senl:IY59_13310
ko:K03584	senl:IY59_13315
ko:K03685	senl:IY59_13325
ko:K02346	senl:IY59_01540
ko:K02839	senl:IY59_01550
ko:K01270	senl:IY59_01555
ko:K00769	senl:IY59_01560
ko:K11750	senl:IY59_01565
ko:K11926	senl:IY59_01570
ko:K11929	senl:IY59_01575
ko:K00931	senl:IY59_01580
ko:K00147	senl:IY59_01585
ko:K07483	senl:IY59_01600
ko:K01703	senl:IY59_01625
ko:K01704	senl:IY59_01630
ko:K01561	senl:IY59_01640
ko:K07347	senl:IY59_01670
ko:K07345	senl:IY59_01680
ko:K18139	senl:IY59_01730
ko:K07213	senl:IY59_01755
ko:K08178	senl:IY59_01765
ko:K07316	senl:IY59_01770
ko:K01156	senl:IY59_01775
ko:K00425	senl:IY59_01785
ko:K00426	senl:IY59_01790
ko:K02014	senl:IY59_01805
ko:K03329	senl:IY59_01810
ko:K02688	senl:IY59_01820
ko:K03417	senl:IY59_01825
ko:K01659	senl:IY59_01830
ko:K07790	senl:IY59_06185
ko:K13741	senl:IY59_06235
ko:K11392	senl:IY59_06265
ko:K03808	senl:IY59_06275
ko:K03607	senl:IY59_06285
ko:K03797	senl:IY59_06290
ko:K03799	senl:IY59_06295
ko:K08169	senl:IY59_06300
ko:K03704	senl:IY59_06335
ko:K03587	senl:IY59_06340
ko:K00563	senl:IY59_06345
ko:K02795	senl:IY59_06365
ko:K02793	senl:IY59_06370
ko:K02794	senl:IY59_06370
ko:K01752	senl:IY59_06390
ko:K01665	senl:IY59_06400
ko:K09917	senl:IY59_06405
ko:K14742	senl:IY59_06420
ko:K07285	senl:IY59_06425
ko:K01897	senl:IY59_06430
ko:K03684	senl:IY59_06435
ko:K03608	senl:IY59_06440
ko:K03609	senl:IY59_06445
ko:K03610	senl:IY59_06450
ko:K02500	senl:IY59_10770
ko:K11755	senl:IY59_10775
ko:K05789	senl:IY59_10780
ko:K00012	senl:IY59_10785
ko:K00033	senl:IY59_10790
ko:K01840	senl:IY59_10800
ko:K00971	senl:IY59_10805
ko:K12992	senl:IY59_10810
ko:K13005	senl:IY59_10820
ko:K12454	senl:IY59_10830
ko:K12452	senl:IY59_10840
ko:K01709	senl:IY59_10845
ko:K00978	senl:IY59_10850
ko:K00523	senl:IY59_10855
ko:K01790	senl:IY59_10860
ko:K00973	senl:IY59_10865
ko:K00067	senl:IY59_10870
ko:K01710	senl:IY59_10875
ko:K00963	senl:IY59_10880
ko:K16703	senl:IY59_10890
ko:K16710	senl:IY59_10895
ko:K16695	senl:IY59_10900
ko:K03606	senl:IY59_10905
ko:K01840	senl:IY59_10910
ko:K00971	senl:IY59_10915
ko:K03208	senl:IY59_10920
ko:K03207	senl:IY59_10925
ko:K02377	senl:IY59_10930
ko:K01711	senl:IY59_10935
ko:K03818	senl:IY59_10940
ko:K13683	senl:IY59_10945
ko:K13620	senl:IY59_10950
ko:K13684	senl:IY59_10955
ko:K03819	senl:IY59_10960
ko:K16692	senl:IY59_10970
ko:K01104	senl:IY59_10975
ko:K01991	senl:IY59_10980
ko:K07289	senl:IY59_10990
ko:K01494	senl:IY59_10995
ko:K00876	senl:IY59_11000
ko:K01247	senl:IY59_11010
ko:K04046	senl:IY59_11015
ko:K07799	senl:IY59_11020
ko:K07788	senl:IY59_11025
ko:K07789	senl:IY59_11030
ko:K18828	senl:IY59_15215
ko:K18829	senl:IY59_15220
ko:K12943	senl:IY59_15245
ko:K01823	senl:IY59_15250
ko:K04567	senl:IY59_15255
ko:K02836	senl:IY59_15260
ko:K07462	senl:IY59_15265
ko:K03981	senl:IY59_15270
ko:K04763	senl:IY59_15275
ko:K03840	senl:IY59_15280
ko:K19168	senl:IY59_15285
ko:K09159	senl:IY59_15290
ko:K06980	senl:IY59_15300
ko:K11068	senl:IY59_15305
ko:K09900	senl:IY59_15310
ko:K01223	senl:IY59_15315
ko:K00281	senl:IY59_15325
ko:K02437	senl:IY59_15330
ko:K00605	senl:IY59_15335
ko:K18800	senl:IY59_15340
ko:K03185	senl:IY59_15345
ko:K01262	senl:IY59_15350
ko:K09895	senl:IY59_15355
ko:K09888	senl:IY59_15360
ko:K01934	senl:IY59_15365
ko:K00058	senl:IY59_15370
ko:K01807	senl:IY59_15375
ko:K05596	senl:IY59_15380
ko:K09807	senl:IY59_15385
ko:K06895	senl:IY59_15390
ko:K03442	senl:IY59_15395
ko:K01624	senl:IY59_15400
ko:K00927	senl:IY59_15405
ko:K03472	senl:IY59_15410
ko:K06934	senl:IY59_15415
ko:K16923	senl:IY59_15420
ko:K16785	senl:IY59_15425
ko:K16786	senl:IY59_15430
ko:K16787	senl:IY59_15435
ko:K00615	senl:IY59_15440
ko:K07387	senl:IY59_15445
ko:K01480	senl:IY59_15450
ko:K03732	senl:IY59_19670
ko:K03671	senl:IY59_19675
ko:K03628	senl:IY59_19680
ko:K02851	senl:IY59_19685
ko:K05790	senl:IY59_19690
ko:K01791	senl:IY59_19695
ko:K02472	senl:IY59_19700
ko:K01710	senl:IY59_19705
ko:K16704	senl:IY59_19715
ko:K02805	senl:IY59_19720
ko:K16693	senl:IY59_19725
ko:K12582	senl:IY59_19730
ko:K02853	senl:IY59_19735
ko:K02852	senl:IY59_19740
ko:K02498	senl:IY59_19770
ko:K02496	senl:IY59_19775
ko:K01719	senl:IY59_19780
ko:K01749	senl:IY59_19785
ko:K05851	senl:IY59_19790
ko:K06202	senl:IY59_19795
ko:K01778	senl:IY59_19815
ko:K09921	senl:IY59_19820
ko:K03733	senl:IY59_19825
ko:K03657	senl:IY59_19835
ko:K03284	senl:IY59_19840
ko:K05786	senl:IY59_19855
ko:K01058	senl:IY59_19865
ko:K03654	senl:IY59_19870
ko:K05835	senl:IY59_19875
ko:K05834	senl:IY59_19880
ko:K01048	senl:IY59_19885
ko:K03576	senl:IY59_19900
ko:K00549	senl:IY59_19905
ko:K06871	senl:IY59_19915
ko:K01061	senl:IY59_19920
ko:K00757	senl:IY59_19925
ko:K09760	senl:IY59_19930
ko:K03183	senl:IY59_19935
ko:K03100	senl:IY59_13330
ko:K03596	senl:IY59_13335
ko:K03803	senl:IY59_13340
ko:K03598	senl:IY59_13345
ko:K03597	senl:IY59_13350
ko:K03088	senl:IY59_13355
ko:K00278	senl:IY59_13360
ko:K15460	senl:IY59_13365
ko:K05590	senl:IY59_13370
ko:K11249	senl:IY59_13380
ko:K03648	senl:IY59_13390
ko:K03214	senl:IY59_13395
ko:K03672	senl:IY59_13400
ko:K05812	senl:IY59_13405
ko:K00998	senl:IY59_13415
ko:K05811	senl:IY59_13420
ko:K03761	senl:IY59_13425
ko:K03695	senl:IY59_13460
ko:K05810	senl:IY59_13465
ko:K06180	senl:IY59_13470
ko:K05807	senl:IY59_13475
ko:K05809	senl:IY59_13480
ko:K14170	senl:IY59_13485
ko:K14187	senl:IY59_13495
ko:K01626	senl:IY59_13500
ko:K02884	senl:IY59_13515
ko:K00554	senl:IY59_13520
ko:K02860	senl:IY59_13525
ko:K02959	senl:IY59_13530
ko:K03106	senl:IY59_13535
ko:K02439	senl:IY59_17715
ko:K00111	senl:IY59_17720
ko:K02040	senl:IY59_17730
ko:K00005	senl:IY59_17735
ko:K01687	senl:IY59_17745
ko:K00688	senl:IY59_17760
ko:K00703	senl:IY59_17765
ko:K00975	senl:IY59_17770
ko:K00700	senl:IY59_17780
ko:K00133	senl:IY59_17785
ko:K06156	senl:IY59_17790
ko:K00851	senl:IY59_17795
ko:K06145	senl:IY59_17800
ko:K06911	senl:IY59_17805
ko:K03825	senl:IY59_17820
ko:K09936	senl:IY59_17840
ko:K07048	senl:IY59_17845
ko:K00681	senl:IY59_17850
ko:K01126	senl:IY59_17860
ko:K05816	senl:IY59_17865
ko:K05815	senl:IY59_17870
ko:K05814	senl:IY59_17875
ko:K05813	senl:IY59_17880
ko:K07341	senl:IY59_17885
ko:K19165	senl:IY59_17890
ko:K01996	senl:IY59_17895
ko:K01995	senl:IY59_17900
ko:K01998	senl:IY59_17905
ko:K01997	senl:IY59_17910
ko:K01999	senl:IY59_17915
ko:K01999	senl:IY59_17930
ko:K03089	senl:IY59_17935
ko:K09811	senl:IY59_17940
ko:K09812	senl:IY59_17945
ko:K03110	senl:IY59_17950
ko:K08316	senl:IY59_17955
ko:K08993	senl:IY59_17960
ko:K01534	senl:IY59_17975
ko:K03406	senl:IY59_17980
ko:K02818	senl:IY59_22260
ko:K02819	senl:IY59_22260
ko:K03485	senl:IY59_22265
ko:K01531	senl:IY59_22270
ko:K09022	senl:IY59_22280
ko:K00610	senl:IY59_22285
ko:K00609	senl:IY59_22290
ko:K00611	senl:IY59_22315
ko:K00926	senl:IY59_22320
ko:K01478	senl:IY59_22325
ko:K00611	senl:IY59_22335
ko:K09893	senl:IY59_22340
ko:K06169	senl:IY59_22345
ko:K03828	senl:IY59_22365
ko:K01873	senl:IY59_22375
ko:K02339	senl:IY59_22380
ko:K01255	senl:IY59_22385
ko:K07091	senl:IY59_22395
ko:K11720	senl:IY59_22400
ko:K06146	senl:IY59_22405
ko:K06157	senl:IY59_22410
ko:K00046	senl:IY59_22415
ko:K00098	senl:IY59_22420
ko:K00851	senl:IY59_22425
ko:K12957	senl:IY59_22430
ko:K19164	senl:IY59_22450
ko:K19163	senl:IY59_22455
ko:K09982	senl:IY59_22565
ko:K03690	senl:IY59_19940
ko:K03688	senl:IY59_19945
ko:K03116	senl:IY59_19950
ko:K04067	senl:IY59_02405
ko:K09790	senl:IY59_02410
ko:K00759	senl:IY59_02415
ko:K02343	senl:IY59_02420
ko:K09747	senl:IY59_02425
ko:K06187	senl:IY59_02430
ko:K04079	senl:IY59_02435
ko:K00939	senl:IY59_02440
ko:K01772	senl:IY59_02445
ko:K01066	senl:IY59_02450
ko:K00892	senl:IY59_02455
ko:K03455	senl:IY59_02460
ko:K08223	senl:IY59_02470
ko:K03976	senl:IY59_02480
ko:K09973	senl:IY59_02485
ko:K17686	senl:IY59_02495
ko:K07340	senl:IY59_02505
ko:K02068	senl:IY59_02515
ko:K02069	senl:IY59_02520
ko:K05838	senl:IY59_02525
ko:K10804	senl:IY59_02535
ko:K02003	senl:IY59_02540
ko:K02004	senl:IY59_02545
ko:K02073	senl:IY59_02560
ko:K02071	senl:IY59_02565
ko:K02072	senl:IY59_02570
ko:K06917	senl:IY59_02575
ko:K10972	senl:IY59_02580
ko:K01483	senl:IY59_02585
ko:K10973	senl:IY59_02590
ko:K01608	senl:IY59_02595
ko:K10975	senl:IY59_02615
ko:K01466	senl:IY59_02620
ko:K00865	senl:IY59_02630
ko:K14977	senl:IY59_02635
ko:K02083	senl:IY59_02640
ko:K00073	senl:IY59_02645
ko:K02381	senl:IY59_02650
ko:K00926	senl:IY59_02665
ko:K01589	senl:IY59_02670
ko:K01588	senl:IY59_02675
ko:K03269	senl:IY59_02680
ko:K03768	senl:IY59_02685
ko:K01883	senl:IY59_02690
ko:K14051	senl:IY59_07025
ko:K01147	senl:IY59_07030
ko:K00208	senl:IY59_07040
ko:K19230	senl:IY59_07065
ko:K19229	senl:IY59_07070
ko:K19228	senl:IY59_07075
ko:K19227	senl:IY59_07080
ko:K19226	senl:IY59_07085
ko:K03974	senl:IY59_07090
ko:K03969	senl:IY59_07095
ko:K03970	senl:IY59_07100
ko:K03971	senl:IY59_07110
ko:K03972	senl:IY59_07115
ko:K06918	senl:IY59_07120
ko:K08990	senl:IY59_07125
ko:K03721	senl:IY59_07130
ko:K11065	senl:IY59_07135
ko:K14054	senl:IY59_07145
ko:K15580	senl:IY59_07150
ko:K16052	senl:IY59_07235
ko:K14055	senl:IY59_07245
ko:K00567	senl:IY59_07255
ko:K16074	senl:IY59_07270
ko:K05591	senl:IY59_07275
ko:K14058	senl:IY59_07280
ko:K02196	senl:IY59_11615
