ko:K13967	babs:DK51_2253
ko:K02968	babs:DK51_1443
ko:K01692	babs:DK51_1444
ko:K10563	babs:DK51_1445
ko:K01255	babs:DK51_1447
ko:K02073	babs:DK51_1454
ko:K01012	babs:DK51_2193
ko:K00652	babs:DK51_2194
ko:K01935	babs:DK51_2195
ko:K00833	babs:DK51_2196
ko:K00648	babs:DK51_2197
ko:K00651	babs:DK51_2199
ko:K07273	babs:DK51_2200
ko:K03310	babs:DK51_2201
ko:K06996	babs:DK51_2203
ko:K02051	babs:DK51_2215
ko:K02049	babs:DK51_2216
ko:K02050	babs:DK51_2217
ko:K01990	babs:DK51_2220
ko:K01990	babs:DK51_2221
ko:K01993	babs:DK51_2222
ko:K07112	babs:DK51_2226
ko:K07112	babs:DK51_2227
ko:K09781	babs:DK51_2229
ko:K01462	babs:DK51_2230
ko:K00058	babs:DK51_2231
ko:K01895	babs:DK51_2233
ko:K01895	babs:DK51_2234
ko:K00626	babs:DK51_2236
ko:K07305	babs:DK51_2238
ko:K08224	babs:DK51_2240
ko:K01991	babs:DK51_2246
ko:K01686	babs:DK51_2995
ko:K01812	babs:DK51_2997
ko:K01812	babs:DK51_2998
ko:K00919	babs:DK51_1039
ko:K03470	babs:DK51_1044
ko:K02109	babs:DK51_1045
ko:K02109	babs:DK51_1046
ko:K02110	babs:DK51_1047
ko:K02108	babs:DK51_1048
ko:K02116	babs:DK51_1049
ko:K04046	babs:DK51_1051
ko:K04046	babs:DK51_1052
ko:K03977	babs:DK51_1053
ko:K17938	babs:DK51_1057
ko:K10778	babs:DK51_1061
ko:K00404	babs:DK51_1066
ko:K00405	babs:DK51_1067
ko:K00407	babs:DK51_1068
ko:K00406	babs:DK51_1069
ko:K01533	babs:DK51_1072
ko:K01487	babs:DK51_1075
ko:K07402	babs:DK51_1078
ko:K13482	babs:DK51_1079
ko:K13481	babs:DK51_1080
ko:K14977	babs:DK51_1083
ko:K01999	babs:DK51_1824
ko:K01958	babs:DK51_1825
ko:K00019	babs:DK51_1827
ko:K03526	babs:DK51_1828
ko:K00795	babs:DK51_1829
ko:K03814	babs:DK51_1830
ko:K02911	babs:DK51_1831
ko:K00626	babs:DK51_1833
ko:K17675	babs:DK51_1834
ko:K04762	babs:DK51_1835
ko:K05524	babs:DK51_1836
ko:K07736	babs:DK51_1837
ko:K03089	babs:DK51_1838
ko:K02062	babs:DK51_1841
ko:K02063	babs:DK51_1842
ko:K02064	babs:DK51_1843
ko:K00949	babs:DK51_1844
ko:K15738	babs:DK51_1846
ko:K00873	babs:DK51_1850
ko:K02919	babs:DK51_1852
ko:K01589	babs:DK51_1853
ko:K01588	babs:DK51_1854
ko:K09987	babs:DK51_1862
ko:K01908	babs:DK51_1867
ko:K00927	babs:DK51_1869
ko:K00134	babs:DK51_1870
ko:K00615	babs:DK51_1871
ko:K09888	babs:DK51_1873
ko:K01934	babs:DK51_1874
ko:K01996	babs:DK51_2619
ko:K01995	babs:DK51_2620
ko:K01998	babs:DK51_2621
ko:K01997	babs:DK51_2622
ko:K01997	babs:DK51_2623
ko:K01999	babs:DK51_2624
ko:K16087	babs:DK51_2626
ko:K02050	babs:DK51_2628
ko:K02049	babs:DK51_2629
ko:K02051	babs:DK51_2630
ko:K10112	babs:DK51_2633
ko:K02025	babs:DK51_2634
ko:K02026	babs:DK51_2635
ko:K02027	babs:DK51_2636
ko:K03710	babs:DK51_2637
ko:K07090	babs:DK51_2638
ko:K01996	babs:DK51_2640
ko:K01995	babs:DK51_2641
ko:K01998	babs:DK51_2641
ko:K01997	babs:DK51_2642
ko:K01999	babs:DK51_2643
ko:K09472	babs:DK51_2645
ko:K07025	babs:DK51_2649
ko:K01826	babs:DK51_2655
ko:K00151	babs:DK51_2656
ko:K00446	babs:DK51_2657
ko:K02509	babs:DK51_2659
ko:K02510	babs:DK51_2660
ko:K10544	babs:DK51_2664
ko:K00040	babs:DK51_2999
ko:K02055	babs:DK51_3000
ko:K02052	babs:DK51_3001
ko:K02054	babs:DK51_3002
ko:K02053	babs:DK51_3003
ko:K01708	babs:DK51_3004
ko:K07722	babs:DK51_3005
ko:K15584	babs:DK51_3006
ko:K15584	babs:DK51_3007
ko:K15585	babs:DK51_3008
ko:K15586	babs:DK51_3009
ko:K15587	babs:DK51_3010
ko:K10824	babs:DK51_3011
ko:K00626	babs:DK51_3015
ko:K01782	babs:DK51_3016
ko:K04566	babs:DK51_3019
ko:K01673	babs:DK51_3021
ko:K02035	babs:DK51_3023
ko:K02033	babs:DK51_3024
ko:K02034	babs:DK51_3025
ko:K00286	babs:DK51_3028
ko:K01491	babs:DK51_3029
ko:K01690	babs:DK51_3030
ko:K01057	babs:DK51_3031
ko:K00036	babs:DK51_3032
ko:K00059	babs:DK51_3033
ko:K09471	babs:DK51_3040
ko:K01915	babs:DK51_3042
ko:K01710	babs:DK51_2961
ko:K02480	babs:DK51_1088
ko:K03327	babs:DK51_1090
ko:K13747	babs:DK51_1094
ko:K09826	babs:DK51_1455
ko:K01716	babs:DK51_1456
ko:K00647	babs:DK51_1457
ko:K00208	babs:DK51_1458
ko:K00564	babs:DK51_1459
ko:K00564	babs:DK51_1460
ko:K00962	babs:DK51_1461
ko:K02956	babs:DK51_1462
ko:K03177	babs:DK51_1463
ko:K02834	babs:DK51_1464
ko:K02519	babs:DK51_1465
ko:K07742	babs:DK51_1466
ko:K02600	babs:DK51_1467
ko:K09748	babs:DK51_1468
ko:K03439	babs:DK51_1469
ko:K00789	babs:DK51_1470
ko:K03820	babs:DK51_1472
ko:K07042	babs:DK51_1474
ko:K06168	babs:DK51_1476
ko:K03789	babs:DK51_1478
ko:K04047	babs:DK51_1480
ko:K07657	babs:DK51_1484
ko:K02039	babs:DK51_1485
ko:K02036	babs:DK51_1486
ko:K02038	babs:DK51_1487
ko:K02037	babs:DK51_1488
ko:K02040	babs:DK51_1489
ko:K09790	babs:DK51_1490
ko:K03642	babs:DK51_1491
ko:K07391	babs:DK51_1493
ko:K01920	babs:DK51_1494
ko:K01591	babs:DK51_1497
ko:K00570	babs:DK51_1498
ko:K03686	babs:DK51_1499
ko:K04043	babs:DK51_1500
ko:K01890	babs:DK51_1502
ko:K00528	babs:DK51_1096
ko:K00606	babs:DK51_1097
ko:K01918	babs:DK51_1098
ko:K06518	babs:DK51_1101
ko:K00643	babs:DK51_1108
ko:K03282	babs:DK51_1109
ko:K01259	babs:DK51_1112
ko:K00254	babs:DK51_1115
ko:K01494	babs:DK51_1120
ko:K10764	babs:DK51_1121
ko:K06195	babs:DK51_1122
ko:K04083	babs:DK51_1123
ko:K00611	babs:DK51_1124
ko:K13583	babs:DK51_1126
ko:K07636	babs:DK51_1127
ko:K02030	babs:DK51_1130
ko:K18138	babs:DK51_1132
ko:K03585	babs:DK51_1133
ko:K03577	babs:DK51_1134
ko:K01897	babs:DK51_1135
ko:K01091	babs:DK51_1136
ko:K06987	babs:DK51_1138
ko:K01810	babs:DK51_1139
ko:K09769	babs:DK51_1875
ko:K09706	babs:DK51_1877
ko:K03523	babs:DK51_1878
ko:K02909	babs:DK51_1881
ko:K06147	babs:DK51_1882
ko:K02557	babs:DK51_1883
ko:K01092	babs:DK51_1885
ko:K02356	babs:DK51_1886
ko:K07126	babs:DK51_1887
ko:K00788	babs:DK51_1888
ko:K13592	babs:DK51_1890
ko:K01159	babs:DK51_1891
ko:K03550	babs:DK51_1892
ko:K03551	babs:DK51_1893
ko:K07107	babs:DK51_1894
ko:K03562	babs:DK51_1895
ko:K03560	babs:DK51_1896
ko:K03641	babs:DK51_1898
ko:K03640	babs:DK51_1899
ko:K04075	babs:DK51_1902
ko:K03798	babs:DK51_1903
ko:K03431	babs:DK51_1904
ko:K03453	babs:DK51_1906
ko:K00831	babs:DK51_1907
ko:K00058	babs:DK51_1908
ko:K01939	babs:DK51_1910
ko:K05800	babs:DK51_1916
ko:K13888	babs:DK51_1918
ko:K05685	babs:DK51_1919
ko:K03832	babs:DK51_1922
ko:K03559	babs:DK51_1923
ko:K03561	babs:DK51_1924
ko:K02406	babs:DK51_2672
ko:K02409	babs:DK51_2673
ko:K02557	babs:DK51_2675
ko:K10564	babs:DK51_2676
ko:K10565	babs:DK51_2677
ko:K02390	babs:DK51_2680
ko:K02396	babs:DK51_2681
ko:K02397	babs:DK51_2682
ko:K06602	babs:DK51_2683
ko:K06601	babs:DK51_2684
ko:K02389	babs:DK51_2685
ko:K02420	babs:DK51_2686
ko:K02400	babs:DK51_2687
ko:K02400	babs:DK51_2688
ko:K02421	babs:DK51_2689
ko:K09823	babs:DK51_2695
ko:K09816	babs:DK51_2696
ko:K09817	babs:DK51_2697
ko:K09815	babs:DK51_2698
ko:K18676	babs:DK51_2701
ko:K00135	babs:DK51_2711
ko:K02034	babs:DK51_2716
ko:K02033	babs:DK51_2717
ko:K00627	babs:DK51_2719
ko:K02035	babs:DK51_2720
ko:K11381	babs:DK51_2721
ko:K00074	babs:DK51_2722
ko:K06446	babs:DK51_2724
ko:K01434	babs:DK51_2725
ko:K01889	babs:DK51_1503
ko:K17948	babs:DK51_2252
ko:K02035	babs:DK51_2255
ko:K02033	babs:DK51_2256
ko:K02034	babs:DK51_2257
ko:K01714	babs:DK51_2258
ko:K01999	babs:DK51_2264
ko:K00135	babs:DK51_2265
ko:K00014	babs:DK51_2267
ko:K01996	babs:DK51_2270
ko:K01995	babs:DK51_2271
ko:K01998	babs:DK51_2271
ko:K01997	babs:DK51_2272
ko:K01999	babs:DK51_2273
ko:K00925	babs:DK51_2279
ko:K07243	babs:DK51_2282
ko:K07230	babs:DK51_2284
ko:K01951	babs:DK51_2285
ko:K01243	babs:DK51_2286
ko:K03500	babs:DK51_2288
ko:K03781	babs:DK51_2291
ko:K04761	babs:DK51_2292
ko:K00088	babs:DK51_2294
ko:K01840	babs:DK51_2297
ko:K03601	babs:DK51_3046
ko:K01919	babs:DK51_3047
ko:K09761	babs:DK51_3048
ko:K06075	babs:DK51_3049
ko:K02016	babs:DK51_3053
ko:K02015	babs:DK51_3054
ko:K02013	babs:DK51_3055
ko:K02026	babs:DK51_3058
ko:K02025	babs:DK51_3059
ko:K02027	babs:DK51_3060
ko:K10112	babs:DK51_3062
ko:K02000	babs:DK51_3068
ko:K02001	babs:DK51_3069
ko:K02002	babs:DK51_3070
ko:K01915	babs:DK51_3074
ko:K01915	babs:DK51_3075
ko:K00605	babs:DK51_3080
ko:K02437	babs:DK51_3081
ko:K00281	babs:DK51_3082
ko:K03719	babs:DK51_3083
ko:K13821	babs:DK51_3084
ko:K02012	babs:DK51_3085
ko:K02011	babs:DK51_3086
ko:K02010	babs:DK51_3087
ko:K01092	babs:DK51_3088
ko:K03337	babs:DK51_3089
ko:K03335	babs:DK51_3090
ko:K03336	babs:DK51_3091
ko:K03338	babs:DK51_3092
ko:K00010	babs:DK51_3094
ko:K04761	babs:DK51_3096
ko:K03386	babs:DK51_3097
ko:K02887	babs:DK51_1505
ko:K02916	babs:DK51_1506
ko:K02520	babs:DK51_1508
ko:K05782	babs:DK51_1510
ko:K07043	babs:DK51_1512
ko:K01817	babs:DK51_1514
ko:K01696	babs:DK51_1515
ko:K01695	babs:DK51_1517
ko:K01963	babs:DK51_1518
ko:K11754	babs:DK51_1519
ko:K03671	babs:DK51_1520
ko:K16898	babs:DK51_1521
ko:K16899	babs:DK51_1522
ko:K01251	babs:DK51_1526
ko:K11189	babs:DK51_1527
ko:K02793	babs:DK51_1528
ko:K14980	babs:DK51_1530
ko:K14981	babs:DK51_1531
ko:K01610	babs:DK51_1532
ko:K15034	babs:DK51_1534
ko:K00867	babs:DK51_1535
ko:K01523	babs:DK51_1536
ko:K02500	babs:DK51_1537
ko:K01814	babs:DK51_1538
ko:K02501	babs:DK51_1539
ko:K01693	babs:DK51_1541
ko:K01419	babs:DK51_1542
ko:K03667	babs:DK51_1543
ko:K08304	babs:DK51_1547
ko:K07113	babs:DK51_1549
ko:K03071	babs:DK51_1550
ko:K02342	babs:DK51_1551
ko:K00859	babs:DK51_1552
ko:K00014	babs:DK51_1553
ko:K06287	babs:DK51_1554
ko:K01425	babs:DK51_2303
ko:K01580	babs:DK51_2305
ko:K01580	babs:DK51_2306
ko:K03585	babs:DK51_2308
ko:K02053	babs:DK51_2312
ko:K02054	babs:DK51_2313
ko:K02054	babs:DK51_2314
ko:K02052	babs:DK51_2315
ko:K17723	babs:DK51_1142
ko:K06016	babs:DK51_1145
ko:K01464	babs:DK51_1146
ko:K03189	babs:DK51_1152
ko:K03188	babs:DK51_1153
ko:K03187	babs:DK51_1154
ko:K01428	babs:DK51_1155
ko:K01429	babs:DK51_1156
ko:K01430	babs:DK51_1158
ko:K03190	babs:DK51_1159
ko:K00790	babs:DK51_1169
ko:K00013	babs:DK51_1171
ko:K02518	babs:DK51_1174
ko:K06287	babs:DK51_1175
ko:K09862	babs:DK51_1176
ko:K03088	babs:DK51_1931
ko:K03711	babs:DK51_1936
ko:K06180	babs:DK51_1939
ko:K03089	babs:DK51_1940
ko:K03823	babs:DK51_1941
ko:K01638	babs:DK51_1942
ko:K01894	babs:DK51_1943
ko:K01247	babs:DK51_1944
ko:K00135	babs:DK51_1948
ko:K17207	babs:DK51_1959
ko:K17206	babs:DK51_1960
ko:K17205	babs:DK51_1961
ko:K05878	babs:DK51_1963
ko:K05879	babs:DK51_1964
ko:K05878	babs:DK51_1965
ko:K05879	babs:DK51_1966
ko:K16079	babs:DK51_1969
ko:K00076	babs:DK51_1973
ko:K01637	babs:DK51_1977
ko:K07110	babs:DK51_1979
ko:K11073	babs:DK51_1980
ko:K11076	babs:DK51_1981
ko:K02035	babs:DK51_2726
ko:K02034	babs:DK51_2729
ko:K02035	babs:DK51_2733
ko:K02033	babs:DK51_2734
ko:K02034	babs:DK51_2735
ko:K01426	babs:DK51_2739
ko:K11078	babs:DK51_2741
ko:K01845	babs:DK51_2744
ko:K01628	babs:DK51_2746
ko:K07171	babs:DK51_2749
ko:K03777	babs:DK51_2750
ko:K07304	babs:DK51_2754
ko:K03745	babs:DK51_2755
ko:K00761	babs:DK51_2756
ko:K03183	babs:DK51_2757
ko:K03688	babs:DK51_2758
ko:K13038	babs:DK51_2759
ko:K02837	babs:DK51_2760
ko:K06131	babs:DK51_2762
ko:K00154	babs:DK51_2764
ko:K04719	babs:DK51_2767
ko:K01834	babs:DK51_2771
ko:K00215	babs:DK51_2772
ko:K06147	babs:DK51_2773
ko:K00845	babs:DK51_2774
ko:K01734	babs:DK51_2775
ko:K07261	babs:DK51_2776
ko:K18979	babs:DK51_2778
ko:K00799	babs:DK51_2779
ko:K06153	babs:DK51_2780
ko:K06042	babs:DK51_194
ko:K02229	babs:DK51_195
ko:K00595	babs:DK51_196
ko:K16079	babs:DK51_197
ko:K03630	babs:DK51_198
ko:K01265	babs:DK51_199
ko:K06206	babs:DK51_200
ko:K09956	babs:DK51_201
ko:K14261	babs:DK51_205
ko:K00003	babs:DK51_206
ko:K11532	babs:DK51_207
ko:K01921	babs:DK51_208
ko:K07462	babs:DK51_209
ko:K03704	babs:DK51_213
ko:K09005	babs:DK51_214
ko:K00640	babs:DK51_216
ko:K03218	babs:DK51_224
ko:K02358	babs:DK51_227
ko:K03073	babs:DK51_229
ko:K02601	babs:DK51_230
ko:K02867	babs:DK51_231
ko:K02863	babs:DK51_232
ko:K02864	babs:DK51_233
ko:K02935	babs:DK51_234
ko:K03043	babs:DK51_235
ko:K03046	babs:DK51_236
ko:K02950	babs:DK51_238
ko:K02992	babs:DK51_239
ko:K02355	babs:DK51_240
ko:K02358	babs:DK51_241
ko:K02946	babs:DK51_242
ko:K02906	babs:DK51_243
ko:K02926	babs:DK51_244
ko:K02892	babs:DK51_245
ko:K02886	babs:DK51_246
ko:K02965	babs:DK51_247
ko:K02890	babs:DK51_248
ko:K02982	babs:DK51_249
ko:K02878	babs:DK51_250
ko:K02904	babs:DK51_251
ko:K02961	babs:DK51_252
ko:K02874	babs:DK51_253
ko:K02895	babs:DK51_254
ko:K02931	babs:DK51_255
ko:K02954	babs:DK51_256
ko:K02994	babs:DK51_257
ko:K02933	babs:DK51_258
ko:K02881	babs:DK51_259
ko:K02988	babs:DK51_260
ko:K02907	babs:DK51_261
ko:K02876	babs:DK51_262
ko:K03076	babs:DK51_263
ko:K00939	babs:DK51_264
ko:K02952	babs:DK51_265
ko:K02948	babs:DK51_266
ko:K03040	babs:DK51_267
ko:K02879	babs:DK51_268
ko:K07478	babs:DK51_270
ko:K01872	babs:DK51_274
ko:K01077	babs:DK51_275
ko:K00031	babs:DK51_276
ko:K05520	babs:DK51_278
ko:K02533	babs:DK51_279
ko:K01776	babs:DK51_280
ko:K07080	babs:DK51_281
ko:K01847	babs:DK51_284
ko:K01965	babs:DK51_285
ko:K01966	babs:DK51_286
ko:K09457	babs:DK51_290
ko:K01752	babs:DK51_297
ko:K06891	babs:DK51_301
ko:K03694	babs:DK51_302
ko:K02503	babs:DK51_303
ko:K09919	babs:DK51_304
ko:K02967	babs:DK51_309
ko:K02357	babs:DK51_310
ko:K09903	babs:DK51_311
ko:K12506	babs:DK51_347
ko:K02838	babs:DK51_312
ko:K00806	babs:DK51_313
ko:K00981	babs:DK51_314
ko:K11749	babs:DK51_315
ko:K07277	babs:DK51_316
ko:K02536	babs:DK51_317
ko:K02372	babs:DK51_318
ko:K00677	babs:DK51_319
ko:K09949	babs:DK51_320
ko:K00748	babs:DK51_321
ko:K01647	babs:DK51_322
ko:K01885	babs:DK51_323
ko:K01356	babs:DK51_324
ko:K03750	babs:DK51_326
ko:K03637	babs:DK51_327
ko:K01609	babs:DK51_328
ko:K00766	babs:DK51_329
ko:K03770	babs:DK51_330
ko:K01803	babs:DK51_331
ko:K03075	babs:DK51_332
ko:K01937	babs:DK51_334
ko:K01627	babs:DK51_335
ko:K01689	babs:DK51_336
ko:K00161	babs:DK51_339
ko:K00162	babs:DK51_340
ko:K00627	babs:DK51_341
ko:K00382	babs:DK51_342
ko:K03644	babs:DK51_343
ko:K18588	babs:DK51_345
ko:K03743	babs:DK51_346
ko:K07708	babs:DK51_349
ko:K07712	babs:DK51_350
ko:K13598	babs:DK51_351
ko:K13599	babs:DK51_352
ko:K03499	babs:DK51_353
ko:K03666	babs:DK51_355
ko:K03665	babs:DK51_356
ko:K01358	babs:DK51_357
ko:K03544	babs:DK51_358
ko:K22468	babs:DK51_1129
ko:K01338	babs:DK51_359
ko:K03530	babs:DK51_360
ko:K03701	babs:DK51_361
ko:K03111	babs:DK51_364
ko:K02043	babs:DK51_366
ko:K05774	babs:DK51_367
ko:K05595	babs:DK51_368
ko:K02469	babs:DK51_369
ko:K00954	babs:DK51_371
ko:K07568	babs:DK51_374
ko:K00773	babs:DK51_375
ko:K03585	babs:DK51_377
ko:K18138	babs:DK51_378
ko:K00252	babs:DK51_382
ko:K07001	babs:DK51_392
ko:K01496	babs:DK51_393
ko:K01495	babs:DK51_394
ko:K08998	babs:DK51_396
ko:K01868	babs:DK51_398
ko:K04765	babs:DK51_402
ko:K01784	babs:DK51_403
ko:K14347	babs:DK51_404
ko:K13953	babs:DK51_406
ko:K13953	babs:DK51_407
ko:K03543	babs:DK51_410
ko:K18118	babs:DK51_413
ko:K01011	babs:DK51_416
ko:K07050	babs:DK51_417
ko:K01738	babs:DK51_418
ko:K11927	babs:DK51_419
ko:K01754	babs:DK51_420
ko:K03809	babs:DK51_422
ko:K00769	babs:DK51_425
ko:K16053	babs:DK51_428
ko:K07007	babs:DK51_430
ko:K13587	babs:DK51_431
ko:K06204	babs:DK51_434
ko:K08296	babs:DK51_435
ko:K06918	babs:DK51_436
ko:K08990	babs:DK51_437
ko:K00950	babs:DK51_439
ko:K01633	babs:DK51_440
ko:K00796	babs:DK51_441
ko:K00384	babs:DK51_443
ko:K00384	babs:DK51_444
ko:K04755	babs:DK51_445
ko:K18480	babs:DK51_447
ko:K02067	babs:DK51_448
ko:K02065	babs:DK51_449
ko:K02066	babs:DK51_450
ko:K00029	babs:DK51_452
ko:K01885	babs:DK51_453
ko:K01916	babs:DK51_455
ko:K00901	babs:DK51_456
ko:K01626	babs:DK51_457
ko:K00383	babs:DK51_458
ko:K09924	babs:DK51_459
ko:K01807	babs:DK51_460
ko:K01091	babs:DK51_461
ko:K04751	babs:DK51_464
ko:K01915	babs:DK51_465
ko:K01091	babs:DK51_467
ko:K06179	babs:DK51_469
ko:K06147	babs:DK51_470
ko:K06167	babs:DK51_471
ko:K03424	babs:DK51_472
ko:K01874	babs:DK51_473
ko:K02341	babs:DK51_474
ko:K00943	babs:DK51_475
ko:K07258	babs:DK51_476
ko:K03642	babs:DK51_477
ko:K00537	babs:DK51_478
ko:K00773	babs:DK51_490
ko:K09803	babs:DK51_491
ko:K16079	babs:DK51_494
ko:K16079	babs:DK51_495
ko:K01676	babs:DK51_510
ko:K03639	babs:DK51_514
ko:K03752	babs:DK51_515
ko:K03753	babs:DK51_516
ko:K02030	babs:DK51_517
ko:K06076	babs:DK51_520
ko:K01873	babs:DK51_522
ko:K09991	babs:DK51_523
ko:K12340	babs:DK51_524
ko:K00573	babs:DK51_525
ko:K07213	babs:DK51_526
ko:K13628	babs:DK51_528
ko:K00858	babs:DK51_530
ko:K11717	babs:DK51_534
ko:K09015	babs:DK51_535
ko:K09013	babs:DK51_536
ko:K09014	babs:DK51_537
ko:K04487	babs:DK51_538
ko:K07018	babs:DK51_539
ko:K03297	babs:DK51_541
ko:K09001	babs:DK51_540
ko:K01866	babs:DK51_542
ko:K03564	babs:DK51_544
ko:K02836	babs:DK51_549
ko:K05366	babs:DK51_550
ko:K01448	babs:DK51_551
ko:K08300	babs:DK51_552
ko:K03786	babs:DK51_556
ko:K02160	babs:DK51_557
ko:K01961	babs:DK51_558
ko:K00684	babs:DK51_559
ko:K02434	babs:DK51_563
ko:K03545	babs:DK51_564
ko:K04094	babs:DK51_570
ko:K02291	babs:DK51_571
ko:K12257	babs:DK51_573
ko:K03210	babs:DK51_574
ko:K06923	babs:DK51_575
ko:K00573	babs:DK51_577
ko:K03787	babs:DK51_578
ko:K03118	babs:DK51_580
ko:K01875	babs:DK51_579
ko:K03117	babs:DK51_581
ko:K03116	babs:DK51_582
ko:K06024	babs:DK51_583
ko:K05896	babs:DK51_584
ko:K01207	babs:DK51_585
ko:K01887	babs:DK51_587
ko:K01129	babs:DK51_588
ko:K01142	babs:DK51_591
ko:K07126	babs:DK51_592
ko:K05800	babs:DK51_595
ko:K00768	babs:DK51_596
ko:K02233	babs:DK51_597
ko:K06985	babs:DK51_599
ko:K05539	babs:DK51_598
ko:K02030	babs:DK51_600
ko:K06162	babs:DK51_601
ko:K00874	babs:DK51_605
ko:K01785	babs:DK51_604
ko:K09458	babs:DK51_608
ko:K09458	babs:DK51_609
ko:K02517	babs:DK51_611
ko:K01783	babs:DK51_612
ko:K01756	babs:DK51_613
ko:K07104	babs:DK51_614
ko:K07002	babs:DK51_615
ko:K02510	babs:DK51_616
ko:K01923	babs:DK51_618
ko:K01952	babs:DK51_619
ko:K01952	babs:DK51_620
ko:K01952	babs:DK51_623
ko:K07390	babs:DK51_625
ko:K07552	babs:DK51_627
ko:K14058	babs:DK51_629
ko:K02986	babs:DK51_630
ko:K02337	babs:DK51_634
ko:K09810	babs:DK51_635
ko:K09808	babs:DK51_636
ko:K01881	babs:DK51_637
ko:K05606	babs:DK51_639
ko:K12574	babs:DK51_640
ko:K03524	babs:DK51_641
ko:K00343	babs:DK51_642
ko:K00342	babs:DK51_643
ko:K00341	babs:DK51_644
ko:K00340	babs:DK51_645
ko:K00339	babs:DK51_646
ko:K00338	babs:DK51_647
ko:K00337	babs:DK51_648
ko:K00335	babs:DK51_650
ko:K00334	babs:DK51_651
ko:K00333	babs:DK51_652
ko:K00332	babs:DK51_653
ko:K00331	babs:DK51_654
ko:K00330	babs:DK51_655
ko:K02871	babs:DK51_666
ko:K02996	babs:DK51_667
ko:K01480	babs:DK51_668
ko:K00145	babs:DK51_669
ko:K02259	babs:DK51_670
ko:K01991	babs:DK51_673
ko:K11741	babs:DK51_677
ko:K04764	babs:DK51_679
ko:K00648	babs:DK51_680
ko:K03621	babs:DK51_681
ko:K17662	babs:DK51_683
ko:K15987	babs:DK51_685
ko:K03625	babs:DK51_686
ko:K00794	babs:DK51_687
ko:K00793	babs:DK51_688
ko:K11752	babs:DK51_689
ko:K07738	babs:DK51_690
ko:K00600	babs:DK51_691
ko:K01698	babs:DK51_696
ko:K02621	babs:DK51_699
ko:K01876	babs:DK51_701
ko:K03684	babs:DK51_702
ko:K01524	babs:DK51_703
ko:K00937	babs:DK51_704
ko:K00480	babs:DK51_706
ko:K09972	babs:DK51_707
ko:K09971	babs:DK51_708
ko:K09971	babs:DK51_709
ko:K09970	babs:DK51_710
ko:K09969	babs:DK51_711
ko:K01760	babs:DK51_713
ko:K00939	babs:DK51_728
ko:K03303	babs:DK51_734
ko:K01784	babs:DK51_737
ko:K01933	babs:DK51_741
ko:K11175	babs:DK51_742
ko:K07115	babs:DK51_746
ko:K01166	babs:DK51_748
ko:K00799	babs:DK51_749
ko:K16079	babs:DK51_750
ko:K03703	babs:DK51_752
ko:K03636	babs:DK51_754
ko:K03635	babs:DK51_755
ko:K09914	babs:DK51_756
ko:K00940	babs:DK51_757
ko:K06158	babs:DK51_759
ko:K02339	babs:DK51_761
ko:K01255	babs:DK51_762
ko:K07091	babs:DK51_763
ko:K11720	babs:DK51_764
ko:K04744	babs:DK51_765
ko:K03771	babs:DK51_766
ko:K00097	babs:DK51_767
ko:K02528	babs:DK51_768
ko:K05786	babs:DK51_770
ko:K01649	babs:DK51_771
ko:K01883	babs:DK51_774
ko:K06895	babs:DK51_775
ko:K01465	babs:DK51_782
ko:K06980	babs:DK51_783
ko:K03584	babs:DK51_785
ko:K03685	babs:DK51_788
ko:K03100	babs:DK51_789
ko:K00997	babs:DK51_790
ko:K09928	babs:DK51_791
ko:K08223	babs:DK51_793
ko:K00762	babs:DK51_796
ko:K03060	babs:DK51_798
ko:K03664	babs:DK51_801
ko:K01714	babs:DK51_802
ko:K08309	babs:DK51_803
ko:K00817	babs:DK51_810
ko:K07126	babs:DK51_814
ko:K01241	babs:DK51_820
ko:K00311	babs:DK51_822
ko:K01256	babs:DK51_826
ko:K07716	babs:DK51_827
ko:K00982	babs:DK51_829
ko:K02200	babs:DK51_833
ko:K02198	babs:DK51_834
ko:K02197	babs:DK51_835
ko:K02200	babs:DK51_836
ko:K05366	babs:DK51_859
ko:K11357	babs:DK51_865
ko:K02426	babs:DK51_867
ko:K02433	babs:DK51_868
ko:K01354	babs:DK51_874
ko:K04564	babs:DK51_876
ko:K01560	babs:DK51_877
ko:K06915	babs:DK51_880
ko:K03449	babs:DK51_882
ko:K03449	babs:DK51_883
ko:K03284	babs:DK51_885
ko:K07341	babs:DK51_888
ko:K02167	babs:DK51_890
ko:K02529	babs:DK51_894
ko:K00854	babs:DK51_895
ko:K01805	babs:DK51_896
ko:K10440	babs:DK51_901
ko:K10441	babs:DK51_902
ko:K12995	babs:DK51_903
ko:K00971	babs:DK51_905
ko:K01840	babs:DK51_906
ko:K07483	babs:DK51_908
ko:K01711	babs:DK51_918
ko:K07127	babs:DK51_932
ko:K01483	babs:DK51_933
ko:K03523	babs:DK51_934
ko:K01006	babs:DK51_940
ko:K06996	babs:DK51_941
ko:K16264	babs:DK51_942
ko:K03529	babs:DK51_943
ko:K03575	babs:DK51_947
ko:K01560	babs:DK51_948
ko:K03281	babs:DK51_950
ko:K01733	babs:DK51_955
ko:K03790	babs:DK51_957
ko:K07735	babs:DK51_959
ko:K03469	babs:DK51_962
ko:K02204	babs:DK51_963
ko:K03527	babs:DK51_964
ko:K14998	babs:DK51_965
ko:K02276	babs:DK51_967
ko:K02258	babs:DK51_968
