ko:K22010	lmr:LMR479A_1193
ko:K05567	lmr:LMR479A_2504
ko:K05568	lmr:LMR479A_2505
ko:K05569	lmr:LMR479A_2506
ko:K05570	lmr:LMR479A_2507
ko:K05571	lmr:LMR479A_2508
ko:K09775	lmr:LMR479A_2510
ko:K03885	lmr:LMR479A_2513
ko:K00657	lmr:LMR479A_2526
ko:K07090	lmr:LMR479A_2530
ko:K09014	lmr:LMR479A_2534
ko:K04488	lmr:LMR479A_2535
ko:K11717	lmr:LMR479A_2536
ko:K09015	lmr:LMR479A_2537
ko:K09013	lmr:LMR479A_2538
ko:K01738	lmr:LMR479A_0232
ko:K00796	lmr:LMR479A_0234
ko:K01633	lmr:LMR479A_0235
ko:K00950	lmr:LMR479A_0236
ko:K04567	lmr:LMR479A_0238
ko:K03708	lmr:LMR479A_0242
ko:K03696	lmr:LMR479A_0245
ko:K04485	lmr:LMR479A_0246
ko:K00991	lmr:LMR479A_0248
ko:K01770	lmr:LMR479A_0249
ko:K09698	lmr:LMR479A_0250
ko:K00640	lmr:LMR479A_0251
ko:K01883	lmr:LMR479A_0252
ko:K11145	lmr:LMR479A_0253
ko:K03218	lmr:LMR479A_0254
ko:K06962	lmr:LMR479A_0255
ko:K03091	lmr:LMR479A_0256
ko:K03073	lmr:LMR479A_0257
ko:K02601	lmr:LMR479A_0258
ko:K02867	lmr:LMR479A_0260
ko:K02863	lmr:LMR479A_0261
ko:K02864	lmr:LMR479A_0262
ko:K02935	lmr:LMR479A_0263
ko:K00564	lmr:LMR479A_0265
ko:K15770	lmr:LMR479A_0270
ko:K15771	lmr:LMR479A_0271
ko:K15772	lmr:LMR479A_0272
ko:K01182	lmr:LMR479A_0273
ko:K00690	lmr:LMR479A_0274
ko:K03043	lmr:LMR479A_0276
ko:K03046	lmr:LMR479A_0277
ko:K01223	lmr:LMR479A_0279
ko:K02000	lmr:LMR479A_1040
ko:K02001	lmr:LMR479A_1041
ko:K02002	lmr:LMR479A_1042
ko:K06201	lmr:LMR479A_1044
ko:K00243	lmr:LMR479A_1045
ko:K11622	lmr:LMR479A_1046
ko:K11617	lmr:LMR479A_1047
ko:K11618	lmr:LMR479A_1048
ko:K03499	lmr:LMR479A_1049
ko:K12574	lmr:LMR479A_1053
ko:K02529	lmr:LMR479A_1057
ko:K00615	lmr:LMR479A_1059
ko:K00615	lmr:LMR479A_1060
ko:K00864	lmr:LMR479A_1061
ko:K02755	lmr:LMR479A_1062
ko:K02756	lmr:LMR479A_1062
ko:K02757	lmr:LMR479A_1062
ko:K03752	lmr:LMR479A_1065
ko:K02017	lmr:LMR479A_1066
ko:K02018	lmr:LMR479A_1067
ko:K02020	lmr:LMR479A_1068
ko:K03750	lmr:LMR479A_1069
ko:K03753	lmr:LMR479A_1070
ko:K03635	lmr:LMR479A_1071
ko:K03636	lmr:LMR479A_1072
ko:K03637	lmr:LMR479A_1073
ko:K03639	lmr:LMR479A_1074
ko:K03638	lmr:LMR479A_1075
ko:K01462	lmr:LMR479A_1078
ko:K00161	lmr:LMR479A_1080
ko:K00162	lmr:LMR479A_1081
ko:K00627	lmr:LMR479A_1082
ko:K00382	lmr:LMR479A_1083
ko:K03565	lmr:LMR479A_1796
ko:K07071	lmr:LMR479A_1797
ko:K14205	lmr:LMR479A_1798
ko:K03790	lmr:LMR479A_1801
ko:K07058	lmr:LMR479A_1810
ko:K01265	lmr:LMR479A_1813
ko:K03839	lmr:LMR479A_1814
ko:K03569	lmr:LMR479A_1817
ko:K09963	lmr:LMR479A_1822
ko:K02759	lmr:LMR479A_1823
ko:K02760	lmr:LMR479A_1824
ko:K01990	lmr:LMR479A_1828
ko:K02529	lmr:LMR479A_1831
ko:K05349	lmr:LMR479A_1833
ko:K02027	lmr:LMR479A_1834
ko:K02025	lmr:LMR479A_1835
ko:K02026	lmr:LMR479A_1836
ko:K00266	lmr:LMR479A_1837
ko:K00265	lmr:LMR479A_1838
ko:K08317	lmr:LMR479A_1841
ko:K02073	lmr:LMR479A_2540
ko:K02072	lmr:LMR479A_2541
ko:K02071	lmr:LMR479A_2542
ko:K02437	lmr:LMR479A_2549
ko:K00537	lmr:LMR479A_2550
ko:K05837	lmr:LMR479A_2551
ko:K05837	lmr:LMR479A_2552
ko:K02013	lmr:LMR479A_2553
ko:K02015	lmr:LMR479A_2554
ko:K02016	lmr:LMR479A_2555
ko:K01580	lmr:LMR479A_2558
ko:K03488	lmr:LMR479A_2561
ko:K07032	lmr:LMR479A_2562
ko:K03664	lmr:LMR479A_2573
ko:K12573	lmr:LMR479A_2574
ko:K03928	lmr:LMR479A_2575
ko:K03075	lmr:LMR479A_2576
ko:K01689	lmr:LMR479A_2580
ko:K15633	lmr:LMR479A_2581
ko:K01803	lmr:LMR479A_2582
ko:K00927	lmr:LMR479A_2583
ko:K00134	lmr:LMR479A_2584
ko:K05311	lmr:LMR479A_2585
ko:K03092	lmr:LMR479A_2586
ko:K01439	lmr:LMR479A_0284
ko:K15975	lmr:LMR479A_0286
ko:K02034	lmr:LMR479A_0288
ko:K01223	lmr:LMR479A_0290
ko:K10112	lmr:LMR479A_0297
ko:K02072	lmr:LMR479A_0302
ko:K02071	lmr:LMR479A_0303
ko:K02073	lmr:LMR479A_0304
ko:K08969	lmr:LMR479A_0305
ko:K07668	lmr:LMR479A_0306
ko:K07652	lmr:LMR479A_0307
ko:K00783	lmr:LMR479A_0314
ko:K03491	lmr:LMR479A_0318
ko:K02761	lmr:LMR479A_0319
ko:K02760	lmr:LMR479A_0320
ko:K02759	lmr:LMR479A_0322
ko:K03707	lmr:LMR479A_0328
ko:K00878	lmr:LMR479A_0329
ko:K18344	lmr:LMR479A_1088
ko:K18345	lmr:LMR479A_1089
ko:K02004	lmr:LMR479A_1090
ko:K02003	lmr:LMR479A_1091
ko:K03284	lmr:LMR479A_1092
ko:K01092	lmr:LMR479A_1094
ko:K06207	lmr:LMR479A_1095
ko:K03588	lmr:LMR479A_1099
ko:K01958	lmr:LMR479A_1100
ko:K02016	lmr:LMR479A_1101
ko:K09693	lmr:LMR479A_1103
ko:K00963	lmr:LMR479A_1106
ko:K00973	lmr:LMR479A_1109
ko:K01790	lmr:LMR479A_1110
ko:K00067	lmr:LMR479A_1112
ko:K00763	lmr:LMR479A_1120
ko:K01916	lmr:LMR479A_1121
ko:K02760	lmr:LMR479A_1123
ko:K01951	lmr:LMR479A_1124
ko:K01156	lmr:LMR479A_1126
ko:K02030	lmr:LMR479A_1842
ko:K02028	lmr:LMR479A_1843
ko:K02029	lmr:LMR479A_1844
ko:K01486	lmr:LMR479A_1847
ko:K02004	lmr:LMR479A_1851
ko:K02003	lmr:LMR479A_1852
ko:K00891	lmr:LMR479A_1854
ko:K03215	lmr:LMR479A_1856
ko:K02434	lmr:LMR479A_1859
ko:K02433	lmr:LMR479A_1860
ko:K02435	lmr:LMR479A_1861
ko:K01972	lmr:LMR479A_1863
ko:K03657	lmr:LMR479A_1864
ko:K07094	lmr:LMR479A_1865
ko:K03308	lmr:LMR479A_1866
ko:K01945	lmr:LMR479A_1869
ko:K00602	lmr:LMR479A_1870
ko:K11175	lmr:LMR479A_1871
ko:K01933	lmr:LMR479A_1872
ko:K00764	lmr:LMR479A_1873
ko:K01952	lmr:LMR479A_1874
ko:K01952	lmr:LMR479A_1875
ko:K01952	lmr:LMR479A_1876
ko:K01923	lmr:LMR479A_1877
ko:K01756	lmr:LMR479A_1878
ko:K01589	lmr:LMR479A_1879
ko:K01588	lmr:LMR479A_1880
ko:K06950	lmr:LMR479A_1885
ko:K01273	lmr:LMR479A_2587
ko:K06994	lmr:LMR479A_2588
ko:K01358	lmr:LMR479A_2593
ko:K09762	lmr:LMR479A_2597
ko:K06958	lmr:LMR479A_2599
ko:K01835	lmr:LMR479A_2600
ko:K01785	lmr:LMR479A_2601
ko:K01784	lmr:LMR479A_2602
ko:K00384	lmr:LMR479A_2603
ko:K06019	lmr:LMR479A_2606
ko:K13292	lmr:LMR479A_2607
ko:K06023	lmr:LMR479A_2608
ko:K08972	lmr:LMR479A_2609
ko:K03701	lmr:LMR479A_2613
ko:K03702	lmr:LMR479A_2614
ko:K07023	lmr:LMR479A_2616
ko:K02039	lmr:LMR479A_2619
ko:K02036	lmr:LMR479A_2620
ko:K02036	lmr:LMR479A_2621
ko:K02038	lmr:LMR479A_2622
ko:K02037	lmr:LMR479A_2623
ko:K02040	lmr:LMR479A_2624
ko:K07636	lmr:LMR479A_2625
ko:K07658	lmr:LMR479A_2626
ko:K06131	lmr:LMR479A_2628
ko:K09811	lmr:LMR479A_2631
ko:K09812	lmr:LMR479A_2632
ko:K00941	lmr:LMR479A_0330
ko:K00788	lmr:LMR479A_0331
ko:K01223	lmr:LMR479A_0332
ko:K00615	lmr:LMR479A_0353
ko:K00616	lmr:LMR479A_0354
ko:K01808	lmr:LMR479A_0356
ko:K01803	lmr:LMR479A_0357
ko:K05879	lmr:LMR479A_0358
ko:K05878	lmr:LMR479A_0359
ko:K00244	lmr:LMR479A_0366
ko:K02768	lmr:LMR479A_0368
ko:K02769	lmr:LMR479A_0369
ko:K02770	lmr:LMR479A_0369
ko:K01624	lmr:LMR479A_0370
ko:K03118	lmr:LMR479A_0373
ko:K03116	lmr:LMR479A_0374
ko:K07243	lmr:LMR479A_0375
ko:K07224	lmr:LMR479A_0376
ko:K16301	lmr:LMR479A_0377
ko:K03827	lmr:LMR479A_1147
ko:K06889	lmr:LMR479A_1149
ko:K01358	lmr:LMR479A_1160
ko:K02304	lmr:LMR479A_1162
ko:K04031	lmr:LMR479A_1165
ko:K04029	lmr:LMR479A_1166
ko:K02231	lmr:LMR479A_1168
ko:K02233	lmr:LMR479A_1169
ko:K02226	lmr:LMR479A_1170
ko:K13919	lmr:LMR479A_1175
ko:K13920	lmr:LMR479A_1176
ko:K13923	lmr:LMR479A_1181
ko:K04024	lmr:LMR479A_1182
ko:K13922	lmr:LMR479A_1186
ko:K02013	lmr:LMR479A_1886
ko:K01258	lmr:LMR479A_1888
ko:K01142	lmr:LMR479A_1890
ko:K02887	lmr:LMR479A_1891
ko:K02916	lmr:LMR479A_1892
ko:K02520	lmr:LMR479A_1893
ko:K02884	lmr:LMR479A_1897
ko:K00554	lmr:LMR479A_1902
ko:K02860	lmr:LMR479A_1903
ko:K07010	lmr:LMR479A_1905
ko:K06960	lmr:LMR479A_1906
ko:K02959	lmr:LMR479A_1907
ko:K01104	lmr:LMR479A_1910
ko:K03106	lmr:LMR479A_1911
ko:K09787	lmr:LMR479A_1912
ko:K03110	lmr:LMR479A_1913
ko:K03529	lmr:LMR479A_1914
ko:K03685	lmr:LMR479A_1915
ko:K02078	lmr:LMR479A_1916
ko:K00059	lmr:LMR479A_1917
ko:K00645	lmr:LMR479A_1918
ko:K03621	lmr:LMR479A_1919
ko:K03655	lmr:LMR479A_1921
ko:K01752	lmr:LMR479A_1922
ko:K01752	lmr:LMR479A_1923
ko:K07030	lmr:LMR479A_1924
ko:K02902	lmr:LMR479A_1926
ko:K00949	lmr:LMR479A_1927
ko:K01783	lmr:LMR479A_1928
ko:K06949	lmr:LMR479A_1929
ko:K02836	lmr:LMR479A_2634
ko:K03070	lmr:LMR479A_2636
ko:K02242	lmr:LMR479A_2638
ko:K02240	lmr:LMR479A_2639
ko:K07692	lmr:LMR479A_2641
ko:K02851	lmr:LMR479A_2645
ko:K02549	lmr:LMR479A_2646
ko:K05946	lmr:LMR479A_2647
ko:K02372	lmr:LMR479A_2650
ko:K03569	lmr:LMR479A_2651
ko:K00790	lmr:LMR479A_2652
ko:K02114	lmr:LMR479A_2654
ko:K02112	lmr:LMR479A_2655
ko:K02115	lmr:LMR479A_2656
ko:K02111	lmr:LMR479A_2657
ko:K02113	lmr:LMR479A_2658
ko:K02109	lmr:LMR479A_2659
ko:K02110	lmr:LMR479A_2660
ko:K02108	lmr:LMR479A_2661
ko:K02116	lmr:LMR479A_2662
ko:K01791	lmr:LMR479A_2665
ko:K00761	lmr:LMR479A_2666
ko:K00600	lmr:LMR479A_2667
ko:K07566	lmr:LMR479A_2669
ko:K02493	lmr:LMR479A_2670
ko:K02835	lmr:LMR479A_2671
ko:K00872	lmr:LMR479A_2673
ko:K01733	lmr:LMR479A_2674
ko:K00003	lmr:LMR479A_2675
ko:K02909	lmr:LMR479A_2676
ko:K03628	lmr:LMR479A_2679
ko:K00790	lmr:LMR479A_2680
ko:K06193	lmr:LMR479A_0380
ko:K05350	lmr:LMR479A_0382
ko:K02761	lmr:LMR479A_0383
ko:K02760	lmr:LMR479A_0384
ko:K06608	lmr:LMR479A_0393
ko:K00140	lmr:LMR479A_0394
ko:K03337	lmr:LMR479A_0395
ko:K03338	lmr:LMR479A_0396
ko:K03336	lmr:LMR479A_0397
ko:K05937	lmr:LMR479A_0398
ko:K03648	lmr:LMR479A_0401
ko:K00286	lmr:LMR479A_0407
ko:K02768	lmr:LMR479A_0409
ko:K02769	lmr:LMR479A_0410
ko:K02770	lmr:LMR479A_0411
ko:K15524	lmr:LMR479A_0412
ko:K03306	lmr:LMR479A_0416
ko:K01759	lmr:LMR479A_0417
ko:K07238	lmr:LMR479A_0424
ko:K07729	lmr:LMR479A_0426
ko:K13921	lmr:LMR479A_1187
ko:K02440	lmr:LMR479A_1188
ko:K00925	lmr:LMR479A_1189
ko:K04720	lmr:LMR479A_1190
ko:K16651	lmr:LMR479A_1191
ko:K04019	lmr:LMR479A_1195
ko:K03735	lmr:LMR479A_1196
ko:K03736	lmr:LMR479A_1197
ko:K04026	lmr:LMR479A_1198
ko:K04027	lmr:LMR479A_1201
ko:K04032	lmr:LMR479A_1202
ko:K04023	lmr:LMR479A_1207
ko:K04030	lmr:LMR479A_1208
ko:K02224	lmr:LMR479A_1212
ko:K02227	lmr:LMR479A_1213
ko:K06042	lmr:LMR479A_1214
ko:K02188	lmr:LMR479A_1215
ko:K03399	lmr:LMR479A_1216
ko:K02191	lmr:LMR479A_1217
ko:K05936	lmr:LMR479A_1218
ko:K02189	lmr:LMR479A_1219
ko:K05895	lmr:LMR479A_1221
ko:K13542	lmr:LMR479A_1222
ko:K02190	lmr:LMR479A_1223
ko:K03394	lmr:LMR479A_1224
ko:K02007	lmr:LMR479A_1225
ko:K02009	lmr:LMR479A_1226
ko:K02008	lmr:LMR479A_1227
ko:K02006	lmr:LMR479A_1228
ko:K02232	lmr:LMR479A_1229
ko:K09936	lmr:LMR479A_1231
ko:K09936	lmr:LMR479A_1232
ko:K03500	lmr:LMR479A_1932
ko:K00604	lmr:LMR479A_1933
ko:K04066	lmr:LMR479A_1934
ko:K13038	lmr:LMR479A_1935
ko:K03060	lmr:LMR479A_1936
ko:K00942	lmr:LMR479A_1937
ko:K00762	lmr:LMR479A_1941
ko:K01591	lmr:LMR479A_1942
ko:K17828	lmr:LMR479A_1943
ko:K02823	lmr:LMR479A_1944
ko:K01955	lmr:LMR479A_1945
ko:K01956	lmr:LMR479A_1946
ko:K01465	lmr:LMR479A_1947
ko:K00609	lmr:LMR479A_1948
ko:K02824	lmr:LMR479A_1949
ko:K02825	lmr:LMR479A_1950
ko:K06180	lmr:LMR479A_1953
ko:K03101	lmr:LMR479A_1954
ko:K06901	lmr:LMR479A_1955
ko:K03327	lmr:LMR479A_1956
ko:K03797	lmr:LMR479A_1961
ko:K07260	lmr:LMR479A_1965
ko:K03784	lmr:LMR479A_1966
ko:K03810	lmr:LMR479A_1968
ko:K07305	lmr:LMR479A_1969
ko:K07304	lmr:LMR479A_1970
ko:K11068	lmr:LMR479A_1974
ko:K07027	lmr:LMR479A_2681
ko:K13678	lmr:LMR479A_2682
ko:K01937	lmr:LMR479A_2687
ko:K03048	lmr:LMR479A_2688
ko:K01887	lmr:LMR479A_2689
ko:K01821	lmr:LMR479A_2692
ko:K06885	lmr:LMR479A_2693
ko:K02035	lmr:LMR479A_2697
ko:K08281	lmr:LMR479A_2699
ko:K16264	lmr:LMR479A_2703
ko:K02003	lmr:LMR479A_2709
ko:K02004	lmr:LMR479A_2710
ko:K02379	lmr:LMR479A_2713
ko:K00123	lmr:LMR479A_2715
ko:K03088	lmr:LMR479A_0433
ko:K05340	lmr:LMR479A_0434
ko:K02768	lmr:LMR479A_0436
ko:K01421	lmr:LMR479A_0453
ko:K01442	lmr:LMR479A_0455
ko:K01580	lmr:LMR479A_0456
ko:K03924	lmr:LMR479A_0464
ko:K10974	lmr:LMR479A_0466
ko:K09703	lmr:LMR479A_0467
ko:K06885	lmr:LMR479A_0479
ko:K03437	lmr:LMR479A_1239
ko:K01889	lmr:LMR479A_1242
ko:K01890	lmr:LMR479A_1243
ko:K02003	lmr:LMR479A_1244
ko:K02004	lmr:LMR479A_1245
ko:K06994	lmr:LMR479A_1247
ko:K03648	lmr:LMR479A_1248
ko:K03471	lmr:LMR479A_1249
ko:K09888	lmr:LMR479A_1250
ko:K02347	lmr:LMR479A_1252
ko:K07456	lmr:LMR479A_1253
ko:K03671	lmr:LMR479A_1254
ko:K03703	lmr:LMR479A_1255
ko:K00928	lmr:LMR479A_1256
ko:K01776	lmr:LMR479A_1258
ko:K00989	lmr:LMR479A_1259
ko:K02428	lmr:LMR479A_1260
ko:K07095	lmr:LMR479A_1261
ko:K09773	lmr:LMR479A_1976
ko:K01006	lmr:LMR479A_1977
ko:K00563	lmr:LMR479A_1982
ko:K15738	lmr:LMR479A_1985
ko:K01938	lmr:LMR479A_1986
ko:K03704	lmr:LMR479A_1988
ko:K03469	lmr:LMR479A_1989
ko:K02954	lmr:LMR479A_1991
ko:K16169	lmr:LMR479A_1993
ko:K03816	lmr:LMR479A_1994
ko:K01299	lmr:LMR479A_1995
ko:K07444	lmr:LMR479A_1996
ko:K03700	lmr:LMR479A_2000
ko:K05366	lmr:LMR479A_2001
ko:K10773	lmr:LMR479A_2003
ko:K02086	lmr:LMR479A_2004
ko:K01893	lmr:LMR479A_2005
ko:K00812	lmr:LMR479A_2006
ko:K01579	lmr:LMR479A_2009
ko:K01918	lmr:LMR479A_2010
ko:K00606	lmr:LMR479A_2011
ko:K03524	lmr:LMR479A_2013
ko:K00974	lmr:LMR479A_2014
ko:K01734	lmr:LMR479A_2015
ko:K00215	lmr:LMR479A_2016
ko:K03593	lmr:LMR479A_2725
ko:K02996	lmr:LMR479A_2732
ko:K02871	lmr:LMR479A_2733
ko:K06173	lmr:LMR479A_2734
ko:K16785	lmr:LMR479A_2735
ko:K16787	lmr:LMR479A_2736
ko:K16786	lmr:LMR479A_2737
ko:K07507	lmr:LMR479A_2738
ko:K01426	lmr:LMR479A_2739
ko:K02879	lmr:LMR479A_2741
ko:K03040	lmr:LMR479A_2742
ko:K02948	lmr:LMR479A_2743
ko:K02952	lmr:LMR479A_2744
ko:K02518	lmr:LMR479A_2745
ko:K00939	lmr:LMR479A_2746
ko:K03076	lmr:LMR479A_2747
ko:K02876	lmr:LMR479A_2748
ko:K02907	lmr:LMR479A_2749
ko:K02988	lmr:LMR479A_2750
ko:K02881	lmr:LMR479A_2751
ko:K02933	lmr:LMR479A_2752
ko:K02994	lmr:LMR479A_2753
ko:K02954	lmr:LMR479A_2754
ko:K02931	lmr:LMR479A_2755
ko:K02895	lmr:LMR479A_2756
ko:K02874	lmr:LMR479A_2757
ko:K02961	lmr:LMR479A_2758
ko:K02904	lmr:LMR479A_2759
ko:K02878	lmr:LMR479A_2760
ko:K02982	lmr:LMR479A_2761
ko:K02890	lmr:LMR479A_2762
ko:K02965	lmr:LMR479A_2763
ko:K02886	lmr:LMR479A_2764
ko:K02892	lmr:LMR479A_2765
ko:K02926	lmr:LMR479A_2766
ko:K02906	lmr:LMR479A_2767
ko:K02946	lmr:LMR479A_2768
ko:K16785	lmr:LMR479A_2769
ko:K03734	lmr:LMR479A_2771
ko:K03885	lmr:LMR479A_2773
ko:K10254	lmr:LMR479A_0488
ko:K06941	lmr:LMR479A_0489
ko:K13653	lmr:LMR479A_0490
ko:K07145	lmr:LMR479A_0491
ko:K02911	lmr:LMR479A_0493
ko:K00014	lmr:LMR479A_0497
ko:K03785	lmr:LMR479A_0498
ko:K06978	lmr:LMR479A_0500
ko:K01808	lmr:LMR479A_0505
ko:K01783	lmr:LMR479A_0506
ko:K02773	lmr:LMR479A_0510
ko:K01783	lmr:LMR479A_0512
ko:K00008	lmr:LMR479A_0513
ko:K02774	lmr:LMR479A_0514
ko:K02775	lmr:LMR479A_0515
ko:K00948	lmr:LMR479A_0516
ko:K07282	lmr:LMR479A_0523
ko:K08987	lmr:LMR479A_0525
ko:K01153	lmr:LMR479A_0528
ko:K03427	lmr:LMR479A_0529
ko:K01154	lmr:LMR479A_0530
ko:K01154	lmr:LMR479A_0532
ko:K01222	lmr:LMR479A_0533
ko:K04750	lmr:LMR479A_1323
ko:K03574	lmr:LMR479A_1328
ko:K03486	lmr:LMR479A_1336
ko:K01226	lmr:LMR479A_1337
ko:K02818	lmr:LMR479A_1338
ko:K02819	lmr:LMR479A_1338
ko:K00147	lmr:LMR479A_1342
ko:K00931	lmr:LMR479A_1343
ko:K00027	lmr:LMR479A_2024
ko:K00656	lmr:LMR479A_2026
ko:K07007	lmr:LMR479A_2027
ko:K06973	lmr:LMR479A_2028
ko:K00800	lmr:LMR479A_2032
ko:K04517	lmr:LMR479A_2033
ko:K00817	lmr:LMR479A_2034
ko:K06208	lmr:LMR479A_2035
ko:K01735	lmr:LMR479A_2036
ko:K01736	lmr:LMR479A_2037
ko:K00940	lmr:LMR479A_2038
ko:K00805	lmr:LMR479A_2039
ko:K03183	lmr:LMR479A_2040
ko:K00805	lmr:LMR479A_2041
ko:K01495	lmr:LMR479A_2042
ko:K03530	lmr:LMR479A_2043
ko:K01104	lmr:LMR479A_2045
ko:K00057	lmr:LMR479A_2046
ko:K03977	lmr:LMR479A_2047
ko:K02945	lmr:LMR479A_2048
ko:K00945	lmr:LMR479A_2049
ko:K01424	lmr:LMR479A_2050
ko:K03654	lmr:LMR479A_2052
ko:K05337	lmr:LMR479A_2054
ko:K07651	lmr:LMR479A_2057
ko:K07775	lmr:LMR479A_2058
ko:K06178	lmr:LMR479A_2059
ko:K06024	lmr:LMR479A_2060
ko:K05896	lmr:LMR479A_2061
ko:K01586	lmr:LMR479A_2062
ko:K03783	lmr:LMR479A_2063
ko:K01839	lmr:LMR479A_2064
ko:K04763	lmr:LMR479A_2065
ko:K03711	lmr:LMR479A_2066
ko:K00805	lmr:LMR479A_2775
ko:K00805	lmr:LMR479A_2776
ko:K01470	lmr:LMR479A_2782
ko:K07048	lmr:LMR479A_2783
ko:K03475	lmr:LMR479A_2784
ko:K02822	lmr:LMR479A_2785
ko:K02358	lmr:LMR479A_2789
ko:K02355	lmr:LMR479A_2790
ko:K02992	lmr:LMR479A_2791
ko:K02950	lmr:LMR479A_2792
ko:K01129	lmr:LMR479A_2793
ko:K01783	lmr:LMR479A_2795
ko:K00615	lmr:LMR479A_2796
ko:K01783	lmr:LMR479A_2797
ko:K01808	lmr:LMR479A_2798
ko:K00008	lmr:LMR479A_2799
ko:K00008	lmr:LMR479A_2800
ko:K02775	lmr:LMR479A_2801
ko:K02774	lmr:LMR479A_2802
ko:K02773	lmr:LMR479A_2803
ko:K01808	lmr:LMR479A_2810
ko:K07667	lmr:LMR479A_2814
ko:K07646	lmr:LMR479A_2815
ko:K01548	lmr:LMR479A_2816
ko:K01547	lmr:LMR479A_2817
ko:K01546	lmr:LMR479A_2818
ko:K02760	lmr:LMR479A_2820
ko:K02761	lmr:LMR479A_2821
ko:K02759	lmr:LMR479A_2822
ko:K07166	lmr:LMR479A_0545
ko:K09157	lmr:LMR479A_0546
ko:K01222	lmr:LMR479A_0548
ko:K02083	lmr:LMR479A_0549
ko:K01635	lmr:LMR479A_0551
ko:K02016	lmr:LMR479A_0553
ko:K02781	lmr:LMR479A_0554
ko:K02782	lmr:LMR479A_0555
ko:K02783	lmr:LMR479A_0555
ko:K02783	lmr:LMR479A_0556
ko:K08325	lmr:LMR479A_0566
ko:K03305	lmr:LMR479A_0567
ko:K07404	lmr:LMR479A_0570
ko:K00262	lmr:LMR479A_0572
ko:K02500	lmr:LMR479A_0575
ko:K01814	lmr:LMR479A_0576
ko:K02501	lmr:LMR479A_0577
ko:K01693	lmr:LMR479A_0578
ko:K00013	lmr:LMR479A_0579
ko:K00765	lmr:LMR479A_0580
ko:K02502	lmr:LMR479A_0581
ko:K04486	lmr:LMR479A_0582
ko:K07443	lmr:LMR479A_0583
ko:K06901	lmr:LMR479A_0585
ko:K03545	lmr:LMR479A_1350
ko:K03544	lmr:LMR479A_1351
ko:K03100	lmr:LMR479A_1352
ko:K03100	lmr:LMR479A_1353
ko:K03100	lmr:LMR479A_1354
ko:K14540	lmr:LMR479A_1355
ko:K03470	lmr:LMR479A_1356
ko:K04096	lmr:LMR479A_1357
ko:K03168	lmr:LMR479A_1358
ko:K04094	lmr:LMR479A_1359
ko:K03733	lmr:LMR479A_1361
ko:K01419	lmr:LMR479A_1362
ko:K03667	lmr:LMR479A_1363
ko:K03706	lmr:LMR479A_1364
ko:K07107	lmr:LMR479A_1365
ko:K08591	lmr:LMR479A_1368
ko:K02622	lmr:LMR479A_1370
ko:K02621	lmr:LMR479A_1371
ko:K07173	lmr:LMR479A_1372
ko:K01126	lmr:LMR479A_1376
ko:K00111	lmr:LMR479A_1377
ko:K00791	lmr:LMR479A_1378
ko:K03666	lmr:LMR479A_1379
ko:K03665	lmr:LMR479A_1380
ko:K03713	lmr:LMR479A_1382
ko:K01915	lmr:LMR479A_1383
ko:K03893	lmr:LMR479A_1384
ko:K01356	lmr:LMR479A_1386
ko:K00615	lmr:LMR479A_1389
ko:K09976	lmr:LMR479A_1390
ko:K02015	lmr:LMR479A_2067
ko:K02015	lmr:LMR479A_2068
ko:K02016	lmr:LMR479A_2069
ko:K02013	lmr:LMR479A_2070
ko:K01992	lmr:LMR479A_2073
ko:K01990	lmr:LMR479A_2074
ko:K01515	lmr:LMR479A_2075
ko:K01625	lmr:LMR479A_2079
ko:K07048	lmr:LMR479A_2080
ko:K03475	lmr:LMR479A_2081
ko:K02822	lmr:LMR479A_2082
ko:K02821	lmr:LMR479A_2083
ko:K03710	lmr:LMR479A_2084
ko:K02346	lmr:LMR479A_2085
ko:K07124	lmr:LMR479A_2086
ko:K00784	lmr:LMR479A_2087
ko:K00036	lmr:LMR479A_2088
ko:K01687	lmr:LMR479A_2093
ko:K01652	lmr:LMR479A_2094
ko:K01653	lmr:LMR479A_2095
ko:K00053	lmr:LMR479A_2096
ko:K01649	lmr:LMR479A_2097
ko:K00052	lmr:LMR479A_2098
ko:K01703	lmr:LMR479A_2099
ko:K01704	lmr:LMR479A_2100
ko:K01754	lmr:LMR479A_2101
ko:K01575	lmr:LMR479A_2102
ko:K00756	lmr:LMR479A_2103
ko:K02529	lmr:LMR479A_2104
ko:K01619	lmr:LMR479A_2105
ko:K05346	lmr:LMR479A_2106
ko:K02793	lmr:LMR479A_2107
ko:K01531	lmr:LMR479A_2827
ko:K00943	lmr:LMR479A_2831
ko:K05878	lmr:LMR479A_2833
ko:K05879	lmr:LMR479A_2834
ko:K06187	lmr:LMR479A_2840
ko:K09747	lmr:LMR479A_2841
ko:K02343	lmr:LMR479A_2842
ko:K02761	lmr:LMR479A_2846
ko:K00851	lmr:LMR479A_2849
ko:K16012	lmr:LMR479A_2852
ko:K16013	lmr:LMR479A_2853
ko:K00426	lmr:LMR479A_2854
ko:K00425	lmr:LMR479A_2855
ko:K11991	lmr:LMR479A_2856
ko:K01895	lmr:LMR479A_2857
ko:K04750	lmr:LMR479A_2861
ko:K01223	lmr:LMR479A_0586
ko:K03492	lmr:LMR479A_0587
ko:K06999	lmr:LMR479A_0592
ko:K06969	lmr:LMR479A_0593
ko:K03070	lmr:LMR479A_0595
ko:K01669	lmr:LMR479A_0600
