ko:K09796	mmv:MYCMA_1220
ko:K00872	mmv:MYCMA_0767
ko:K03628	mmv:MYCMA_0768
ko:K02835	mmv:MYCMA_0769
ko:K02493	mmv:MYCMA_0770
ko:K02108	mmv:MYCMA_0773
ko:K02109	mmv:MYCMA_0774
ko:K02111	mmv:MYCMA_0776
ko:K02115	mmv:MYCMA_0777
ko:K02112	mmv:MYCMA_0778
ko:K02114	mmv:MYCMA_0779
ko:K01591	mmv:MYCMA_1555
ko:K01955	mmv:MYCMA_1556
ko:K01956	mmv:MYCMA_1557
ko:K01465	mmv:MYCMA_1558
ko:K00609	mmv:MYCMA_1559
ko:K02825	mmv:MYCMA_1560
ko:K03625	mmv:MYCMA_1562
ko:K02356	mmv:MYCMA_1563
ko:K03786	mmv:MYCMA_1565
ko:K01735	mmv:MYCMA_1566
ko:K00891	mmv:MYCMA_1567
ko:K01736	mmv:MYCMA_1568
ko:K07082	mmv:MYCMA_1571
ko:K07447	mmv:MYCMA_1572
ko:K01872	mmv:MYCMA_1573
ko:K07478	mmv:MYCMA_1574
ko:K01876	mmv:MYCMA_1580
ko:K01892	mmv:MYCMA_1585
ko:K00759	mmv:MYCMA_1590
ko:K03074	mmv:MYCMA_1592
ko:K03072	mmv:MYCMA_1593
ko:K03210	mmv:MYCMA_1594
ko:K03551	mmv:MYCMA_1595
ko:K03550	mmv:MYCMA_1596
ko:K01159	mmv:MYCMA_1597
ko:K08681	mmv:MYCMA_1599
ko:K10805	mmv:MYCMA_1600
ko:K06215	mmv:MYCMA_1601
ko:K00995	mmv:MYCMA_1604
ko:K03975	mmv:MYCMA_2368
ko:K00762	mmv:MYCMA_2369
ko:K07124	mmv:MYCMA_2370
ko:K03695	mmv:MYCMA_2372
ko:K03686	mmv:MYCMA_2375
ko:K03687	mmv:MYCMA_2376
ko:K04043	mmv:MYCMA_2377
ko:K14260	mmv:MYCMA_2385
ko:K00012	mmv:MYCMA_2386
ko:K01494	mmv:MYCMA_2387
ko:K07407	mmv:MYCMA_2389
ko:K01725	mmv:MYCMA_0541
ko:K03322	mmv:MYCMA_0543
ko:K10979	mmv:MYCMA_0545
ko:K01714	mmv:MYCMA_0555
ko:K01628	mmv:MYCMA_0556
ko:K01810	mmv:MYCMA_0557
ko:K03657	mmv:MYCMA_0558
ko:K01903	mmv:MYCMA_0560
ko:K01902	mmv:MYCMA_0561
ko:K11175	mmv:MYCMA_0565
ko:K00602	mmv:MYCMA_0566
ko:K03781	mmv:MYCMA_1367
ko:K10536	mmv:MYCMA_1373
ko:K12251	mmv:MYCMA_1374
ko:K03921	mmv:MYCMA_1376
ko:K06048	mmv:MYCMA_1378
ko:K09771	mmv:MYCMA_1402
ko:K04047	mmv:MYCMA_2164
ko:K05520	mmv:MYCMA_2165
ko:K09767	mmv:MYCMA_2172
ko:K00057	mmv:MYCMA_2175
ko:K03799	mmv:MYCMA_2183
ko:K03183	mmv:MYCMA_2186
ko:K02551	mmv:MYCMA_2188
ko:K06911	mmv:MYCMA_2193
ko:K01661	mmv:MYCMA_2195
ko:K03306	mmv:MYCMA_2198
ko:K01911	mmv:MYCMA_2199
ko:K04564	mmv:MYCMA_2201
ko:K02548	mmv:MYCMA_2202
ko:K07399	mmv:MYCMA_2210
ko:K01977	mmv:MYCMA_0783
ko:K01666	mmv:MYCMA_0326
ko:K05571	mmv:MYCMA_0329
ko:K05567	mmv:MYCMA_0331
ko:K13525	mmv:MYCMA_0333
ko:K01613	mmv:MYCMA_0335
ko:K03750	mmv:MYCMA_0336
ko:K04077	mmv:MYCMA_0342
ko:K03924	mmv:MYCMA_0344
ko:K15268	mmv:MYCMA_0358
ko:K01945	mmv:MYCMA_0363
ko:K01756	mmv:MYCMA_0365
ko:K01923	mmv:MYCMA_0366
ko:K01354	mmv:MYCMA_0367
ko:K01652	mmv:MYCMA_1144
ko:K00648	mmv:MYCMA_1145
ko:K00817	mmv:MYCMA_1146
ko:K03433	mmv:MYCMA_1149
ko:K03432	mmv:MYCMA_1150
ko:K15551	mmv:MYCMA_1151
ko:K05936	mmv:MYCMA_1167
ko:K05895	mmv:MYCMA_1168
ko:K06042	mmv:MYCMA_1170
ko:K02229	mmv:MYCMA_1171
ko:K02230	mmv:MYCMA_1172
ko:K03820	mmv:MYCMA_1174
ko:K15554	mmv:MYCMA_1180
ko:K06978	mmv:MYCMA_1183
ko:K03070	mmv:MYCMA_1964
ko:K07507	mmv:MYCMA_1971
ko:K00943	mmv:MYCMA_1972
ko:K01251	mmv:MYCMA_1973
ko:K00496	mmv:MYCMA_1974
ko:K01809	mmv:MYCMA_1976
ko:K00067	mmv:MYCMA_1982
ko:K01588	mmv:MYCMA_1986
ko:K01589	mmv:MYCMA_1987
ko:K03119	mmv:MYCMA_1988
ko:K03524	mmv:MYCMA_1990
ko:K06287	mmv:MYCMA_1994
ko:K02426	mmv:MYCMA_2000
ko:K03724	mmv:MYCMA_2006
ko:K00111	mmv:MYCMA_2008
ko:K00382	mmv:MYCMA_2009
ko:K00392	mmv:MYCMA_0906
ko:K10673	mmv:MYCMA_1289
ko:K14218	mmv:MYCMA_0584
ko:K14232	mmv:MYCMA_0867
ko:K08174	mmv:MYCMA_1413
ko:K01692	mmv:MYCMA_1711
ko:K12433	mmv:MYCMA_1727
ko:K03404	mmv:MYCMA_1733
ko:K02348	mmv:MYCMA_1734
ko:K03177	mmv:MYCMA_1709
ko:K00121	mmv:MYCMA_2521
ko:K00666	mmv:MYCMA_2523
ko:K07393	mmv:MYCMA_2530
ko:K01692	mmv:MYCMA_2535
ko:K11609	mmv:MYCMA_2544
ko:K00666	mmv:MYCMA_2554
ko:K00076	mmv:MYCMA_2556
ko:K03307	mmv:MYCMA_2561
ko:K02433	mmv:MYCMA_2564
ko:K07192	mmv:MYCMA_2080
ko:K00939	mmv:MYCMA_2084
ko:K03929	mmv:MYCMA_2096
ko:K04750	mmv:MYCMA_0484
ko:K06994	mmv:MYCMA_0489
ko:K00059	mmv:MYCMA_0502
ko:K07671	mmv:MYCMA_0506
ko:K01692	mmv:MYCMA_0508
ko:K06994	mmv:MYCMA_0524
ko:K00088	mmv:MYCMA_1311
ko:K00033	mmv:MYCMA_1312
ko:K02017	mmv:MYCMA_1326
ko:K02051	mmv:MYCMA_1339
ko:K02050	mmv:MYCMA_1340
ko:K03891	mmv:MYCMA_1341
ko:K00380	mmv:MYCMA_1352
ko:K00101	mmv:MYCMA_2120
ko:K01692	mmv:MYCMA_2134
ko:K01692	mmv:MYCMA_2135
ko:K00803	mmv:MYCMA_2149
ko:K06994	mmv:MYCMA_0681
ko:K15525	mmv:MYCMA_0694
ko:K11779	mmv:MYCMA_0695
ko:K00219	mmv:MYCMA_0696
ko:K00294	mmv:MYCMA_0701
ko:K00674	mmv:MYCMA_0705
ko:K01439	mmv:MYCMA_0706
ko:K00666	mmv:MYCMA_0710
ko:K16148	mmv:MYCMA_0714
ko:K03593	mmv:MYCMA_0722
ko:K00616	mmv:MYCMA_1511
ko:K09762	mmv:MYCMA_1521
ko:K14954	mmv:MYCMA_1540
ko:K01692	mmv:MYCMA_2318
ko:K15982	mmv:MYCMA_2322
ko:K00135	mmv:MYCMA_2341
ko:K03153	mmv:MYCMA_2347
ko:K14949	mmv:MYCMA_2351
ko:K03316	mmv:MYCMA_2365
ko:K00626	mmv:MYCMA_0318
ko:K15981	mmv:MYCMA_0319
ko:K04073	mmv:MYCMA_0325
ko:K05568	mmv:MYCMA_0330
ko:K05565	mmv:MYCMA_0332
ko:K00389	mmv:MYCMA_0353
ko:K10831	mmv:MYCMA_1152
ko:K13571	mmv:MYCMA_1156
ko:K13573	mmv:MYCMA_1159
ko:K03727	mmv:MYCMA_1160
ko:K00595	mmv:MYCMA_1166
ko:K00721	mmv:MYCMA_1175
ko:K14743	mmv:MYCMA_1186
ko:K07654	mmv:MYCMA_1968
ko:K07670	mmv:MYCMA_1969
ko:K03294	mmv:MYCMA_1975
ko:K12234	mmv:MYCMA_1979
ko:K15982	mmv:MYCMA_1991
ko:K00666	mmv:MYCMA_1992
ko:K01966	mmv:MYCMA_1993
ko:K03299	mmv:MYCMA_1995
ko:K00851	mmv:MYCMA_1996
ko:K01011	mmv:MYCMA_1999
ko:K11263	mmv:MYCMA_2001
ko:K06877	mmv:MYCMA_0240
ko:K01784	mmv:MYCMA_0247
ko:K05794	mmv:MYCMA_0251
ko:K01507	mmv:MYCMA_0255
ko:K14733	mmv:MYCMA_0262
ko:K13671	mmv:MYCMA_1041
ko:K00059	mmv:MYCMA_1064
ko:K01692	mmv:MYCMA_1864
ko:K02274	mmv:MYCMA_1869
ko:K03918	mmv:MYCMA_2002
ko:K06177	mmv:MYCMA_2007
ko:K00666	mmv:MYCMA_0604
ko:K02428	mmv:MYCMA_0615
ko:K08372	mmv:MYCMA_0576
ko:K00666	mmv:MYCMA_1410
ko:K02274	mmv:MYCMA_1415
ko:K01478	mmv:MYCMA_0589
ko:K16013	mmv:MYCMA_1425
ko:K01092	mmv:MYCMA_1447
ko:K01814	mmv:MYCMA_1448
ko:K01817	mmv:MYCMA_1448
ko:K07386	mmv:MYCMA_2215
ko:K02371	mmv:MYCMA_2224
ko:K01784	mmv:MYCMA_2226
ko:K07776	mmv:MYCMA_2251
ko:K07768	mmv:MYCMA_2252
ko:K15521	mmv:MYCMA_2259
ko:K01835	mmv:MYCMA_1900
ko:K03929	mmv:MYCMA_1902
ko:K06346	mmv:MYCMA_2682
ko:K03647	mmv:MYCMA_1880
ko:K05522	mmv:MYCMA_0864
ko:K00033	mmv:MYCMA_0003
ko:K01664	mmv:MYCMA_0020
ko:K01011	mmv:MYCMA_0042
ko:K15982	mmv:MYCMA_0050
ko:K06221	mmv:MYCMA_0836
ko:K06902	mmv:MYCMA_0845
ko:K13686	mmv:MYCMA_0114
ko:K01885	mmv:MYCMA_0148
ko:K13671	mmv:MYCMA_0150
ko:K02025	mmv:MYCMA_0938
ko:K00153	mmv:MYCMA_0966
ko:K11609	mmv:MYCMA_0969
ko:K03386	mmv:MYCMA_0976
ko:K01104	mmv:MYCMA_0982
ko:K07258	mmv:MYCMA_1772
ko:K10563	mmv:MYCMA_1787
ko:K01958	mmv:MYCMA_1795
ko:K07030	mmv:MYCMA_1800
ko:K14941	mmv:MYCMA_1808
ko:K00038	mmv:MYCMA_2579
ko:K11105	mmv:MYCMA_2593
ko:K03499	mmv:MYCMA_2594
ko:K05522	mmv:MYCMA_2596
ko:K01569	mmv:MYCMA_2613
ko:K01616	mmv:MYCMA_0735
ko:K06147	mmv:MYCMA_0749
ko:K06147	mmv:MYCMA_0750
ko:K00598	mmv:MYCMA_1569
ko:K01560	mmv:MYCMA_1579
ko:K03929	mmv:MYCMA_1581
ko:K07054	mmv:MYCMA_1582
ko:K03768	mmv:MYCMA_1587
ko:K02035	mmv:MYCMA_1591
ko:K08256	mmv:MYCMA_1602
ko:K13640	mmv:MYCMA_2374
ko:K00135	mmv:MYCMA_2396
ko:K00666	mmv:MYCMA_2405
ko:K07077	mmv:MYCMA_0371
ko:K02035	mmv:MYCMA_0380
ko:K02033	mmv:MYCMA_0381
ko:K01426	mmv:MYCMA_0384
ko:K02619	mmv:MYCMA_0387
ko:K01011	mmv:MYCMA_0390
ko:K15520	mmv:MYCMA_0392
ko:K02051	mmv:MYCMA_1198
ko:K02050	mmv:MYCMA_1199
ko:K02049	mmv:MYCMA_1200
ko:K04789	mmv:MYCMA_1204
ko:K09251	mmv:MYCMA_1226
ko:K06994	mmv:MYCMA_1237
ko:K03783	mmv:MYCMA_2012
ko:K01488	mmv:MYCMA_2016
ko:K00758	mmv:MYCMA_2017
ko:K01489	mmv:MYCMA_2018
ko:K07258	mmv:MYCMA_2022
ko:K14162	mmv:MYCMA_2036
ko:K06889	mmv:MYCMA_2037
ko:K03333	mmv:MYCMA_2043
ko:K00088	mmv:MYCMA_2044
ko:K00088	mmv:MYCMA_2045
ko:K01409	mmv:MYCMA_2050
ko:K01580	mmv:MYCMA_2055
ko:K01113	mmv:MYCMA_2060
ko:K01692	mmv:MYCMA_0628
ko:K01692	mmv:MYCMA_0630
ko:K00626	mmv:MYCMA_0634
ko:K12503	mmv:MYCMA_0646
ko:K05917	mmv:MYCMA_0649
ko:K03333	mmv:MYCMA_0661
ko:K00867	mmv:MYCMA_0662
ko:K01679	mmv:MYCMA_0668
ko:K02446	mmv:MYCMA_0669
ko:K00567	mmv:MYCMA_1661
ko:K03087	mmv:MYCMA_1666
ko:K03709	mmv:MYCMA_1667
ko:K00619	mmv:MYCMA_1687
ko:K01092	mmv:MYCMA_1658
ko:K03709	mmv:MYCMA_1708
ko:K00059	mmv:MYCMA_2469
ko:K01596	mmv:MYCMA_2495
ko:K07386	mmv:MYCMA_2508
ko:K11263	mmv:MYCMA_2511
ko:K07067	mmv:MYCMA_0282
ko:K00652	mmv:MYCMA_1464
ko:K07588	mmv:MYCMA_1478
ko:K01847	mmv:MYCMA_1479
ko:K01847	mmv:MYCMA_1480
ko:K11611	mmv:MYCMA_1487
ko:K07114	mmv:MYCMA_1488
ko:K01692	mmv:MYCMA_1496
ko:K04488	mmv:MYCMA_1502
ko:K01619	mmv:MYCMA_2269
ko:K01941	mmv:MYCMA_2278
ko:K06994	mmv:MYCMA_2291
ko:K01322	mmv:MYCMA_2302
ko:K00059	mmv:MYCMA_2311
ko:K00666	mmv:MYCMA_2314
ko:K02077	mmv:MYCMA_0292
ko:K16047	mmv:MYCMA_0297
ko:K16049	mmv:MYCMA_0298
ko:K01455	mmv:MYCMA_0300
ko:K00059	mmv:MYCMA_0307
ko:K00626	mmv:MYCMA_0309
ko:K01692	mmv:MYCMA_0313
ko:K06910	mmv:MYCMA_1100
ko:K01082	mmv:MYCMA_1105
ko:K15526	mmv:MYCMA_1106
ko:K04791	mmv:MYCMA_1108
ko:K04790	mmv:MYCMA_1109
ko:K04789	mmv:MYCMA_1111
ko:K04792	mmv:MYCMA_1112
ko:K04788	mmv:MYCMA_1113
ko:K00548	mmv:MYCMA_1116
ko:K00508	mmv:MYCMA_1133
ko:K07442	mmv:MYCMA_1139
ko:K13527	mmv:MYCMA_1142
ko:K00135	mmv:MYCMA_1911
ko:K05602	mmv:MYCMA_1919
ko:K09118	mmv:MYCMA_1925
ko:K07177	mmv:MYCMA_1926
ko:K01719	mmv:MYCMA_1936
ko:K02074	mmv:MYCMA_0291
ko:K00508	mmv:MYCMA_1949
ko:K02228	mmv:MYCMA_0548
ko:K10563	mmv:MYCMA_0549
ko:K01965	mmv:MYCMA_0571
ko:K07669	mmv:MYCMA_0574
ko:K07653	mmv:MYCMA_0575
ko:K03090	mmv:MYCMA_1362
ko:K03294	mmv:MYCMA_1403
ko:K07028	mmv:MYCMA_2166
ko:K00805	mmv:MYCMA_2184
ko:K12583	mmv:MYCMA_2187
ko:K02549	mmv:MYCMA_2190
ko:K00772	mmv:MYCMA_2200
ko:K06196	mmv:MYCMA_2211
ko:K02342	mmv:MYCMA_0171
ko:K07503	mmv:MYCMA_0787
ko:K00626	mmv:MYCMA_0790
ko:K00700	mmv:MYCMA_0793
ko:K02428	mmv:MYCMA_0808
ko:K00666	mmv:MYCMA_0812
ko:K06994	mmv:MYCMA_0830
ko:K00365	mmv:MYCMA_1623
ko:K08167	mmv:MYCMA_1633
ko:K07305	mmv:MYCMA_1644
ko:K03499	mmv:MYCMA_1654
ko:K03499	mmv:MYCMA_1655
ko:K00666	mmv:MYCMA_2430
ko:K00055	mmv:MYCMA_2438
ko:K03386	mmv:MYCMA_2448
ko:K02433	mmv:MYCMA_2453
ko:K00135	mmv:MYCMA_2455
ko:K00626	mmv:MYCMA_2468
ko:K13671	mmv:MYCMA_0060
ko:K04477	mmv:MYCMA_0061
ko:K07304	mmv:MYCMA_0071
ko:K04518	mmv:MYCMA_0079
ko:K14952	mmv:MYCMA_0092
ko:K01854	mmv:MYCMA_0101
ko:K14136	mmv:MYCMA_0103
ko:K12428	mmv:MYCMA_0107
ko:K00852	mmv:MYCMA_0886
ko:K03711	mmv:MYCMA_0918
ko:K00856	mmv:MYCMA_1024
ko:K03891	mmv:MYCMA_1030
ko:K03890	mmv:MYCMA_1031
ko:K03889	mmv:MYCMA_1032
ko:K01885	mmv:MYCMA_1816
ko:K00058	mmv:MYCMA_1819
ko:K03718	mmv:MYCMA_1833
ko:K03929	mmv:MYCMA_1839
ko:K02433	mmv:MYCMA_1842
ko:K01692	mmv:MYCMA_1847
ko:K16149	mmv:MYCMA_1857
ko:K16150	mmv:MYCMA_1858
ko:K00970	mmv:MYCMA_2672
ko:K07250	mmv:MYCMA_0422
ko:K01796	mmv:MYCMA_0433
ko:K00626	mmv:MYCMA_0436
ko:K01782	mmv:MYCMA_0437
ko:K06994	mmv:MYCMA_0439
ko:K03635	mmv:MYCMA_0444
ko:K14953	mmv:MYCMA_0452
ko:K01515	mmv:MYCMA_1276
ko:K04763	mmv:MYCMA_1277
ko:K14743	mmv:MYCMA_2066
ko:K16653	mmv:MYCMA_0116
ko:K16645	mmv:MYCMA_2271
ko:K12422	mmv:MYCMA_0348
ko:K05350	mmv:MYCMA_1752
ko:K10009	mmv:MYCMA_0147
ko:K02424	mmv:MYCMA_0147
ko:K02066	mmv:MYCMA_0534
ko:K02066	mmv:MYCMA_0533
ko:K02066	mmv:MYCMA_0926
ko:K02066	mmv:MYCMA_2498
ko:K02066	mmv:MYCMA_2536
ko:K02066	mmv:MYCMA_2245
ko:K12423	mmv:MYCMA_0487
ko:K11385	mmv:MYCMA_0112
ko:K12421	mmv:MYCMA_2591
ko:K11386	mmv:MYCMA_0111
ko:K13669	mmv:MYCMA_0687
ko:K04793	mmv:MYCMA_1205
ko:K11608	mmv:MYCMA_0605
ko:K04787	mmv:MYCMA_1203
ko:K05898	mmv:MYCMA_0322
ko:K13572	mmv:MYCMA_1158
ko:K02484	mmv:MYCMA_0356
ko:K07250	mmv:MYCMA_2340
ko:K01985	mmv:MYCMA_0785
ko:K02075	mmv:MYCMA_0290
ko:K16652	mmv:MYCMA_0115
ko:K16650	mmv:MYCMA_0102
ko:K02066	mmv:MYCMA_2499
ko:K02066	mmv:MYCMA_2537
ko:K16649	mmv:MYCMA_0123
ko:K02851	mmv:MYCMA_0772
ko:K16906	mmv:MYCMA_0958
ko:K02030	mmv:MYCMA_2350
ko:K02030	mmv:MYCMA_2358
ko:K11387	mmv:MYCMA_0113
ko:K16907	mmv:MYCMA_0957
ko:K11991	mmv:MYCMA_0144
ko:K14224	mmv:MYCMA_0409
ko:K14225	mmv:MYCMA_1615
ko:K14234	mmv:MYCMA_2163
ko:K14233	mmv:MYCMA_0145
ko:K16785	mmv:MYCMA_0936
ko:K01426	mmv:MYCMA_0915
ko:K14233	mmv:MYCMA_0128
ko:K00966	mmv:MYCMA_1980
ko:K01834	mmv:MYCMA_2253
ko:K03417	mmv:MYCMA_2551
ko:K08316	mmv:MYCMA_1794
ko:K04781	mmv:MYCMA_1202
ko:K18652	mmv:MYCMA_1412
ko:K16870	mmv:MYCMA_1981
ko:K03922	mmv:MYCMA_0664
ko:K14228	mmv:MYCMA_0026
ko:K14220	mmv:MYCMA_0934
ko:K14221	mmv:MYCMA_0410
ko:K14218	mmv:MYCMA_1898
ko:K14223	mmv:MYCMA_0612
ko:K14225	mmv:MYCMA_2395
ko:K14222	mmv:MYCMA_1616
ko:K14227	mmv:MYCMA_0011
ko:K14228	mmv:MYCMA_1098
ko:K16905	mmv:MYCMA_0959
ko:K14232	mmv:MYCMA_1285
ko:K14232	mmv:MYCMA_0207
ko:K14219	mmv:MYCMA_0134
ko:K14228	mmv:MYCMA_0624
ko:K14229	mmv:MYCMA_0408
ko:K14223	mmv:MYCMA_1815
ko:K14235	mmv:MYCMA_2159
ko:K14233	mmv:MYCMA_0151
ko:K14226	mmv:MYCMA_0840
ko:K14228	mmv:MYCMA_1421
ko:K14230	mmv:MYCMA_1924
ko:K16051	mmv:MYCMA_0323
ko:K06046	mmv:MYCMA_2577
ko:K17218	mmv:MYCMA_2603
ko:K01980	mmv:MYCMA_0784
ko:K15555	mmv:MYCMA_1181
ko:K00480	mmv:MYCMA_1836
ko:K02028	mmv:MYCMA_2359
ko:K00122	mmv:MYCMA_0531
ko:K14219	mmv:MYCMA_0762
ko:K15581	mmv:MYCMA_0221
ko:K14218	mmv:MYCMA_0012
ko:K14233	mmv:MYCMA_0133
ko:K14234	mmv:MYCMA_0244
ko:K14234	mmv:MYCMA_0354
ko:K14231	mmv:MYCMA_0411
ko:K14219	mmv:MYCMA_0538
ko:K14228	mmv:MYCMA_0811
ko:K14229	mmv:MYCMA_0838
ko:K14237	mmv:MYCMA_0977
ko:K14230	mmv:MYCMA_2162
ko:K14236	mmv:MYCMA_2171
ko:K19311	mmv:MYCMA_06005
ko:K03457	mmv:MYCMA_1625
ko:K03574	mmv:MYCMA_2349
ko:K17103	mmv:MYCMA_0334
ko:K00265	mmv:MYCMA_0057
ko:K00951	mmv:MYCMA_1589
ko:K01897	mmv:MYCMA_1037
ko:K14222	mmv:MYCMA_1254
ko:K14219	mmv:MYCMA_0850
ko:K15580	mmv:MYCMA_0220
ko:K15582	mmv:MYCMA_0222
ko:K14225	mmv:MYCMA_0866
ko:K17476	mmv:MYCMA_2203
ko:K01990	mmv:MYCMA_0717
ko:K01990	mmv:MYCMA_0923
ko:K01990	mmv:MYCMA_1507
ko:K00384	mmv:MYCMA_1497
ko:K17686	mmv:MYCMA_2216
ko:K10112	mmv:MYCMA_0726
ko:K01739	mmv:MYCMA_0638
ko:K01533	mmv:MYCMA_0228
ko:K01130	mmv:MYCMA_2391
ko:K17836	mmv:MYCMA_1588
ko:K19746	mmv:MYCMA_03130
ko:K03767	mmv:MYCMA_0015
ko:K12574	mmv:MYCMA_1691
ko:K02026	mmv:MYCMA_0937
ko:K02026	mmv:MYCMA_0725
ko:K00138	mmv:MYCMA_0515
ko:K00128	mmv:MYCMA_2541
ko:K00128	mmv:MYCMA_2005
ko:K00128	mmv:MYCMA_0653
ko:K01187	mmv:MYCMA_0857
ko:K02027	mmv:MYCMA_0724
ko:K00254	mmv:MYCMA_1101
ko:K01487	mmv:MYCMA_1621
ko:K02031	mmv:MYCMA_0223
ko:K02032	mmv:MYCMA_0223
ko:K02031	mmv:MYCMA_0383
ko:K02032	mmv:MYCMA_0383
ko:K00956	mmv:MYCMA_0903
ko:K01505	mmv:MYCMA_0929
ko:K17883	mmv:MYCMA_0038
ko:K17947	mmv:MYCMA_2288
ko:K22552	mmv:MYCMA_0677
ko:K08351	mmv:MYCMA_1674
ko:K00091	mmv:MYCMA_0920
ko:K01167	mmv:MYCMA_1342
ko:K01758	mmv:MYCMA_1806
ko:K00897	mmv:MYCMA_0096
ko:K00249	mmv:MYCMA_0573
ko:K03719	mmv:MYCMA_2003
ko:K00104	mmv:MYCMA_0743
ko:K11159	mmv:MYCMA_2142
ko:K03885	mmv:MYCMA_2335
ko:K00138	mmv:MYCMA_1530
ko:K21689	mmv:MYCMA_04820
ko:K21688	mmv:MYCMA_0596
ko:K06911	mmv:MYCMA_0856
ko:K00666	mmv:MYCMA_0924
ko:K16786	mmv:MYCMA_1724
ko:K16787	mmv:MYCMA_1724
ko:K16785	mmv:MYCMA_1725
ko:K06994	mmv:MYCMA_1729
ko:K06994	mmv:MYCMA_1755
ko:K06994	mmv:MYCMA_2587
ko:K06994	mmv:MYCMA_2588
ko:K06994	mmv:MYCMA_2605
ko:K06994	mmv:MYCMA_2614
ko:K12421	mmv:MYCMA_1859
ko:K01673	mmv:MYCMA_0234
ko:K06994	mmv:MYCMA_0237
ko:K00645	mmv:MYCMA_1066
ko:K06994	mmv:MYCMA_1069
ko:K03929	mmv:MYCMA_1901
ko:K03696	mmv:MYCMA_1923
ko:K15981	mmv:MYCMA_0317
ko:K06994	mmv:MYCMA_1177
ko:K06994	mmv:MYCMA_1223
ko:K06994	mmv:MYCMA_1239
ko:K01692	mmv:MYCMA_0432
ko:K02045	mmv:MYCMA_1338
ko:K02274	mmv:MYCMA_0553
ko:K02039	mmv:MYCMA_1366
ko:K15983	mmv:MYCMA_2177
ko:K10215	mmv:MYCMA_2207
ko:K06994	mmv:MYCMA_0600
ko:K06994	mmv:MYCMA_1438
ko:K15981	mmv:MYCMA_0648
ko:K03929	mmv:MYCMA_0656
ko:K06994	mmv:MYCMA_2292
ko:K06994	mmv:MYCMA_2361
ko:K06994	mmv:MYCMA_2371
ko:K08372	mmv:MYCMA_2392
ko:K06994	mmv:MYCMA_2393
ko:K15983	mmv:MYCMA_1638
ko:K19302	mmv:MYCMA_13625
ko:K00108	mmv:MYCMA_0417
ko:K03742	mmv:MYCMA_1329
ko:K18455	mmv:MYCMA_2236
ko:K18455	mmv:MYCMA_0642
ko:K16234	mmv:MYCMA_1368
ko:K18472	mmv:MYCMA_0968
ko:K00681	mmv:MYCMA_1526
ko:K18553	mmv:MYCMA_1645
ko:K03574	mmv:MYCMA_1810
ko:K18688	mmv:MYCMA_2317
ko:K18653	mmv:MYCMA_1411
ko:K06860	mmv:MYCMA_03805
ko:K04047	mmv:MYCMA_03135
ko:K03088	mmv:MYCMA_03140
ko:K07301	mmv:MYCMA_03170
ko:K07006	mmv:MYCMA_03205
ko:K03088	mmv:MYCMA_03425
ko:K16648	mmv:MYCMA_03890
ko:K07044	mmv:MYCMA_03970
ko:K07107	mmv:MYCMA_04355
ko:K03088	mmv:MYCMA_04390
ko:K00574	mmv:MYCMA_04400
ko:K09701	mmv:MYCMA_04405
ko:K00574	mmv:MYCMA_04415
ko:K07071	mmv:MYCMA_04425
ko:K01669	mmv:MYCMA_04430
ko:K01191	mmv:MYCMA_04480
ko:K02067	mmv:MYCMA_03535
ko:K18481	mmv:MYCMA_03560
ko:K09793	mmv:MYCMA_03565
ko:K01104	mmv:MYCMA_03570
ko:K02067	mmv:MYCMA_03630
ko:K03744	mmv:MYCMA_03665
ko:K07032	mmv:MYCMA_03675
ko:K01799	mmv:MYCMA_04045
ko:K09125	mmv:MYCMA_04075
ko:K02016	mmv:MYCMA_04085
ko:K01907	mmv:MYCMA_04105
ko:K03154	mmv:MYCMA_04495
ko:K00276	mmv:MYCMA_04515
ko:K09684	mmv:MYCMA_04520
ko:K03088	mmv:MYCMA_04525
ko:K07020	mmv:MYCMA_04530
ko:K00626	mmv:MYCMA_04600
ko:K07068	mmv:MYCMA_04610
ko:K07157	mmv:MYCMA_04615
ko:K02067	mmv:MYCMA_04935
ko:K02067	mmv:MYCMA_04950
ko:K02067	mmv:MYCMA_04955
ko:K02066	mmv:MYCMA_04965
ko:K07044	mmv:MYCMA_04980
ko:K07044	mmv:MYCMA_04990
ko:K09956	mmv:MYCMA_04205
ko:K15977	mmv:MYCMA_04255
ko:K05337	mmv:MYCMA_04620
ko:K02067	mmv:MYCMA_04630
ko:K02067	mmv:MYCMA_04635
ko:K02067	mmv:MYCMA_04640
ko:K02067	mmv:MYCMA_04645
ko:K02067	mmv:MYCMA_04650
ko:K18481	mmv:MYCMA_04660
ko:K18481	mmv:MYCMA_04665
ko:K05303	mmv:MYCMA_04755
ko:K07090	mmv:MYCMA_05065
ko:K06975	mmv:MYCMA_05155
ko:K02965	mmv:MYCMA_05390
ko:K02904	mmv:MYCMA_05395
ko:K02954	mmv:MYCMA_05400
ko:K02907	mmv:MYCMA_05420
ko:K02518	mmv:MYCMA_05465
ko:K02919	mmv:MYCMA_05470
ko:K09967	mmv:MYCMA_04800
ko:K14953	mmv:MYCMA_04840
ko:K02913	mmv:MYCMA_05230
ko:K02996	mmv:MYCMA_05500
ko:K04078	mmv:MYCMA_05535
ko:K14161	mmv:MYCMA_05570
ko:K09167	mmv:MYCMA_05580
ko:K02616	mmv:MYCMA_05310
ko:K00819	mmv:MYCMA_05350
ko:K03735	mmv:MYCMA_05370
