ko:K22477	blx:GS08_00965
ko:K01485	blx:GS08_07585
ko:K03696	blx:GS08_07590
ko:K00925	blx:GS08_03935
ko:K13788	blx:GS08_03940
ko:K09710	blx:GS08_03960
ko:K04042	blx:GS08_03965
ko:K00948	blx:GS08_03975
ko:K01951	blx:GS08_03990
ko:K02003	blx:GS08_04005
ko:K02004	blx:GS08_04010
ko:K02073	blx:GS08_04020
ko:K02071	blx:GS08_04025
ko:K02072	blx:GS08_04030
ko:K01950	blx:GS08_04040
ko:K00656	blx:GS08_04050
ko:K04069	blx:GS08_04055
ko:K03684	blx:GS08_04065
ko:K03545	blx:GS08_04070
ko:K01358	blx:GS08_04085
ko:K01358	blx:GS08_04090
ko:K03544	blx:GS08_04095
ko:K03313	blx:GS08_04110
ko:K06966	blx:GS08_04115
ko:K00240	blx:GS08_04125
ko:K00239	blx:GS08_04130
ko:K04096	blx:GS08_04135
ko:K07391	blx:GS08_04140
ko:K07460	blx:GS08_04145
ko:K00868	blx:GS08_04150
ko:K01740	blx:GS08_04155
ko:K02004	blx:GS08_04165
ko:K00286	blx:GS08_04185
ko:K06942	blx:GS08_04190
ko:K01875	blx:GS08_08820
ko:K02028	blx:GS08_02675
ko:K00820	blx:GS08_02680
ko:K06177	blx:GS08_02685
ko:K07154	blx:GS08_02690
ko:K02025	blx:GS08_02705
ko:K02026	blx:GS08_02710
ko:K12308	blx:GS08_02715
ko:K01209	blx:GS08_02725
ko:K02027	blx:GS08_02730
ko:K02027	blx:GS08_02735
ko:K02027	blx:GS08_02740
ko:K03525	blx:GS08_02745
ko:K13038	blx:GS08_02750
ko:K02035	blx:GS08_02755
ko:K02033	blx:GS08_02760
ko:K02034	blx:GS08_02765
ko:K01697	blx:GS08_02780
ko:K01739	blx:GS08_02785
ko:K03654	blx:GS08_02795
ko:K07173	blx:GS08_02800
ko:K03294	blx:GS08_02810
ko:K01775	blx:GS08_02815
ko:K01129	blx:GS08_02820
ko:K06215	blx:GS08_02830
ko:K08681	blx:GS08_02835
ko:K03710	blx:GS08_02840
ko:K13051	blx:GS08_02845
ko:K02003	blx:GS08_02885
ko:K01662	blx:GS08_02900
ko:K01588	blx:GS08_02910
ko:K01589	blx:GS08_02915
ko:K03711	blx:GS08_02920
ko:K02077	blx:GS08_02930
ko:K00128	blx:GS08_02940
ko:K01945	blx:GS08_02945
ko:K01933	blx:GS08_02950
ko:K00764	blx:GS08_02955
ko:K07318	blx:GS08_02965
ko:K03704	blx:GS08_07635
ko:K02484	blx:GS08_07640
ko:K04077	blx:GS08_07660
ko:K03704	blx:GS08_07665
ko:K03648	blx:GS08_07675
ko:K03924	blx:GS08_07680
ko:K07114	blx:GS08_07700
ko:K01756	blx:GS08_07730
ko:K03530	blx:GS08_07740
ko:K13571	blx:GS08_07745
ko:K13570	blx:GS08_07750
ko:K01092	blx:GS08_07755
ko:K13527	blx:GS08_07765
ko:K01079	blx:GS08_07775
ko:K04066	blx:GS08_07780
ko:K07025	blx:GS08_07785
ko:K00604	blx:GS08_07790
ko:K01687	blx:GS08_07795
ko:K03060	blx:GS08_07800
ko:K00789	blx:GS08_07805
ko:K01153	blx:GS08_07830
ko:K01154	blx:GS08_07840
ko:K03427	blx:GS08_07845
ko:K01870	blx:GS08_07870
ko:K14155	blx:GS08_07875
ko:K02529	blx:GS08_07885
ko:K00852	blx:GS08_07895
ko:K06726	blx:GS08_07900
ko:K10439	blx:GS08_07905
ko:K03488	blx:GS08_08830
ko:K02755	blx:GS08_08835
ko:K02756	blx:GS08_08835
ko:K02757	blx:GS08_08835
ko:K01835	blx:GS08_08845
ko:K03469	blx:GS08_08870
ko:K01807	blx:GS08_08875
ko:K04485	blx:GS08_08890
ko:K11753	blx:GS08_08895
ko:K03177	blx:GS08_08900
ko:K02834	blx:GS08_08905
ko:K02519	blx:GS08_08910
ko:K02600	blx:GS08_08915
ko:K01209	blx:GS08_08930
ko:K06173	blx:GS08_08955
ko:K02879	blx:GS08_08960
ko:K03040	blx:GS08_08965
ko:K02948	blx:GS08_08970
ko:K02952	blx:GS08_08975
ko:K02919	blx:GS08_08980
ko:K02518	blx:GS08_08985
ko:K00939	blx:GS08_08990
ko:K03076	blx:GS08_08995
ko:K02876	blx:GS08_09000
ko:K02907	blx:GS08_09005
ko:K02988	blx:GS08_09010
ko:K02881	blx:GS08_09015
ko:K02933	blx:GS08_09020
ko:K02994	blx:GS08_09025
ko:K02954	blx:GS08_09030
ko:K02931	blx:GS08_09035
ko:K02895	blx:GS08_09040
ko:K02874	blx:GS08_09045
ko:K02961	blx:GS08_09050
ko:K02904	blx:GS08_09055
ko:K02878	blx:GS08_09060
ko:K02982	blx:GS08_09065
ko:K02890	blx:GS08_09070
ko:K02965	blx:GS08_09075
ko:K02886	blx:GS08_09080
ko:K02892	blx:GS08_09085
ko:K02926	blx:GS08_09090
ko:K02906	blx:GS08_09095
ko:K02283	blx:GS08_00725
ko:K12510	blx:GS08_00730
ko:K02343	blx:GS08_00765
ko:K06187	blx:GS08_00770
ko:K07284	blx:GS08_00775
ko:K00928	blx:GS08_00785
ko:K00133	blx:GS08_00790
ko:K01649	blx:GS08_00805
ko:K03168	blx:GS08_00820
ko:K00943	blx:GS08_00825
ko:K02341	blx:GS08_00830
ko:K06910	blx:GS08_00835
ko:K08659	blx:GS08_00840
ko:K01938	blx:GS08_00845
ko:K01792	blx:GS08_00875
ko:K01154	blx:GS08_00905
ko:K03427	blx:GS08_00915
ko:K01885	blx:GS08_00920
ko:K03655	blx:GS08_00945
ko:K07454	blx:GS08_00975
ko:K01409	blx:GS08_05865
ko:K03789	blx:GS08_05870
ko:K06925	blx:GS08_05880
ko:K02340	blx:GS08_05885
ko:K02237	blx:GS08_05895
ko:K01869	blx:GS08_05900
ko:K03284	blx:GS08_05910
ko:K01834	blx:GS08_05915
ko:K07006	blx:GS08_05925
ko:K04095	blx:GS08_06020
ko:K07729	blx:GS08_06030
ko:K03767	blx:GS08_06040
ko:K00951	blx:GS08_06045
ko:K02469	blx:GS08_06070
ko:K03724	blx:GS08_06080
ko:K00852	blx:GS08_06085
ko:K02470	blx:GS08_06095
ko:K03086	blx:GS08_06100
ko:K13787	blx:GS08_06110
ko:K00655	blx:GS08_06120
ko:K01214	blx:GS08_03775
ko:K07171	blx:GS08_04215
ko:K01978	blx:GS08_10595
ko:K03976	blx:GS08_06430
ko:K07483	blx:GS08_10200
ko:K07483	blx:GS08_00985
ko:K07483	blx:GS08_02205
ko:K07473	blx:GS08_04485
ko:K07473	blx:GS08_05170
ko:K03497	blx:GS08_10560
ko:K03496	blx:GS08_10565
ko:K03646	blx:GS08_01055
ko:K03111	blx:GS08_01265
ko:K03496	blx:GS08_06395
ko:K03205	blx:GS08_06460
ko:K18220	blx:GS08_06480
ko:K03502	blx:GS08_02980
ko:K07483	blx:GS08_03810
ko:K07483	blx:GS08_03885
ko:K03526	blx:GS08_07110
ko:K07816	blx:GS08_06215
ko:K01710	blx:GS08_09715
ko:K01710	blx:GS08_09810
ko:K19157	blx:GS08_05165
ko:K01621	blx:GS08_03995
ko:K19265	blx:GS08_01990
ko:K01239	blx:GS08_01850
ko:K01785	blx:GS08_06535
ko:K07496	blx:GS08_01780
ko:K07496	blx:GS08_01860
ko:K01990	blx:GS08_04345
ko:K12952	blx:GS08_06260
ko:K08217	blx:GS08_04250
ko:K01785	blx:GS08_06530
ko:K05786	blx:GS08_04895
ko:K08156	blx:GS08_08685
ko:K00526	blx:GS08_10450
ko:K20459	blx:GS08_05820
ko:K19710	blx:GS08_05460
ko:K01977	blx:GS08_06940
ko:K01977	blx:GS08_09440
ko:K01977	blx:GS08_10295
ko:K14236	blx:GS08_09215
ko:K08744	blx:GS08_05320
ko:K21672	blx:GS08_04730
ko:K12132	blx:GS08_00300
ko:K12132	blx:GS08_00295
ko:K12132	blx:GS08_06115
ko:K14228	blx:GS08_00430
ko:K14228	blx:GS08_03750
ko:K14225	blx:GS08_05470
ko:K14225	blx:GS08_05490
ko:K14225	blx:GS08_01590
ko:K14229	blx:GS08_01150
ko:K14233	blx:GS08_01065
ko:K14224	blx:GS08_08545
ko:K14224	blx:GS08_00925
ko:K14221	blx:GS08_08425
ko:K14221	blx:GS08_08530
ko:K01980	blx:GS08_06935
ko:K01980	blx:GS08_09435
ko:K01980	blx:GS08_10290
ko:K20074	blx:GS08_00315
ko:K14232	blx:GS08_08680
ko:K20461	blx:GS08_05810
ko:K20460	blx:GS08_05815
ko:K01214	blx:GS08_09125
ko:K01200	blx:GS08_00620
ko:K20814	blx:GS08_07760
ko:K21011	blx:GS08_07960
ko:K21012	blx:GS08_07955
ko:K00821	blx:GS08_03325
ko:K21636	blx:GS08_08030
ko:K00287	blx:GS08_08610
ko:K00560	blx:GS08_08615
ko:K06217	blx:GS08_04605
ko:K06191	blx:GS08_10470
ko:K00558	blx:GS08_01005
ko:K01520	blx:GS08_06050
ko:K02314	blx:GS08_01205
ko:K03553	blx:GS08_06170
ko:K02316	blx:GS08_02825
ko:K06223	blx:GS08_02970
ko:K04068	blx:GS08_08025
ko:K02031	blx:GS08_02770
ko:K02032	blx:GS08_02775
ko:K00525	blx:GS08_10460
ko:K02335	blx:GS08_03760
ko:K02028	blx:GS08_07205
ko:K07005	blx:GS08_00390
ko:K03293	blx:GS08_10145
ko:K21471	blx:GS08_02650
ko:K03293	blx:GS08_10220
ko:K21471	blx:GS08_08630
ko:K05364	blx:GS08_00305
ko:K21495	blx:GS08_01945
ko:K21600	blx:GS08_01305
ko:K10914	blx:GS08_02345
ko:K14230	blx:GS08_09205
ko:K14234	blx:GS08_02055
ko:K14223	blx:GS08_03970
ko:K14226	blx:GS08_03080
ko:K14237	blx:GS08_01600
ko:K14237	blx:GS08_05475
ko:K14220	blx:GS08_05780
ko:K14220	blx:GS08_05860
ko:K14232	blx:GS08_05390
ko:K14228	blx:GS08_03575
ko:K14237	blx:GS08_07130
ko:K14228	blx:GS08_04590
ko:K14234	blx:GS08_09210
ko:K14219	blx:GS08_08080
ko:K00936	blx:GS08_03620
ko:K22010	blx:GS08_03755
ko:K14231	blx:GS08_08525
ko:K14225	blx:GS08_00465
ko:K03595	blx:GS08_04620
ko:K03077	blx:GS08_02100
ko:K22306	blx:GS08_03955
ko:K22397	blx:GS08_09510
ko:K22397	blx:GS08_01705
ko:K08300	blx:GS08_09495
ko:K08301	blx:GS08_09495
