ko:K18929	ccf:YSQ_00385
ko:K02503	ccf:YSQ_04730
ko:K01889	ccf:YSQ_04735
ko:K01890	ccf:YSQ_04740
ko:K00800	ccf:YSQ_04745
ko:K03527	ccf:YSQ_04750
ko:K02945	ccf:YSQ_04755
ko:K03551	ccf:YSQ_02040
ko:K03407	ccf:YSQ_02045
ko:K00937	ccf:YSQ_02055
ko:K15876	ccf:YSQ_02060
ko:K03385	ccf:YSQ_02065
ko:K02016	ccf:YSQ_02080
ko:K02013	ccf:YSQ_02085
ko:K02015	ccf:YSQ_02090
ko:K02015	ccf:YSQ_02095
ko:K01058	ccf:YSQ_02100
ko:K03752	ccf:YSQ_02105
ko:K00981	ccf:YSQ_02120
ko:K00099	ccf:YSQ_02125
ko:K01409	ccf:YSQ_02135
ko:K02456	ccf:YSQ_02140
ko:K02406	ccf:YSQ_02160
ko:K02406	ccf:YSQ_02165
ko:K18429	ccf:YSQ_02210
ko:K18430	ccf:YSQ_02215
ko:K15898	ccf:YSQ_02260
ko:K02501	ccf:YSQ_02270
ko:K02500	ccf:YSQ_02275
ko:K15896	ccf:YSQ_02280
ko:K00648	ccf:YSQ_02305
ko:K03100	ccf:YSQ_06960
ko:K03981	ccf:YSQ_06985
ko:K07491	ccf:YSQ_07035
ko:K00384	ccf:YSQ_07075
ko:K00147	ccf:YSQ_07080
ko:K02356	ccf:YSQ_07095
ko:K02422	ccf:YSQ_07110
ko:K02407	ccf:YSQ_07115
ko:K03640	ccf:YSQ_09340
ko:K03641	ccf:YSQ_09345
ko:K03832	ccf:YSQ_09350
ko:K03559	ccf:YSQ_09355
ko:K02114	ccf:YSQ_09365
ko:K02112	ccf:YSQ_09370
ko:K02115	ccf:YSQ_09375
ko:K02111	ccf:YSQ_09380
ko:K02113	ccf:YSQ_09385
ko:K02109	ccf:YSQ_09390
ko:K02109	ccf:YSQ_09395
ko:K03524	ccf:YSQ_09410
ko:K00604	ccf:YSQ_09415
ko:K00931	ccf:YSQ_09440
ko:K01689	ccf:YSQ_09570
ko:K11785	ccf:YSQ_09580
ko:K02420	ccf:YSQ_09585
ko:K00075	ccf:YSQ_09590
ko:K01082	ccf:YSQ_09605
ko:K01647	ccf:YSQ_09610
ko:K01012	ccf:YSQ_09620
ko:K03168	ccf:YSQ_09625
ko:K00648	ccf:YSQ_02355
ko:K15895	ccf:YSQ_02390
ko:K15894	ccf:YSQ_02395
ko:K01494	ccf:YSQ_02400
ko:K02160	ccf:YSQ_02405
ko:K01961	ccf:YSQ_02410
ko:K01885	ccf:YSQ_02420
ko:K00029	ccf:YSQ_02425
ko:K00761	ccf:YSQ_02430
ko:K11782	ccf:YSQ_02435
ko:K03499	ccf:YSQ_02440
ko:K03498	ccf:YSQ_02445
ko:K14652	ccf:YSQ_02465
ko:K09117	ccf:YSQ_02470
ko:K01652	ccf:YSQ_02475
ko:K01653	ccf:YSQ_02480
ko:K02536	ccf:YSQ_02485
ko:K07568	ccf:YSQ_02490
ko:K03118	ccf:YSQ_02495
ko:K03117	ccf:YSQ_02500
ko:K08311	ccf:YSQ_02510
ko:K00928	ccf:YSQ_02515
ko:K02341	ccf:YSQ_02525
ko:K00796	ccf:YSQ_02530
ko:K01972	ccf:YSQ_02535
ko:K06442	ccf:YSQ_02545
ko:K15256	ccf:YSQ_02555
ko:K01173	ccf:YSQ_02570
ko:K10773	ccf:YSQ_02575
ko:K01624	ccf:YSQ_02585
ko:K02557	ccf:YSQ_02595
ko:K01104	ccf:YSQ_02605
ko:K01821	ccf:YSQ_02620
ko:K00962	ccf:YSQ_02635
ko:K03182	ccf:YSQ_07125
ko:K01749	ccf:YSQ_07130
ko:K01649	ccf:YSQ_07135
ko:K01881	ccf:YSQ_07140
ko:K02492	ccf:YSQ_07145
ko:K02523	ccf:YSQ_07150
ko:K00177	ccf:YSQ_07165
ko:K00175	ccf:YSQ_07170
ko:K00174	ccf:YSQ_07175
ko:K00176	ccf:YSQ_07180
ko:K01902	ccf:YSQ_07185
ko:K01903	ccf:YSQ_07190
ko:K00024	ccf:YSQ_07195
ko:K00031	ccf:YSQ_07200
ko:K07082	ccf:YSQ_07210
ko:K02387	ccf:YSQ_07215
ko:K02388	ccf:YSQ_07220
ko:K02408	ccf:YSQ_07225
ko:K03587	ccf:YSQ_07230
ko:K03324	ccf:YSQ_07235
ko:K04079	ccf:YSQ_07250
ko:K06199	ccf:YSQ_07255
ko:K00655	ccf:YSQ_07260
ko:K01952	ccf:YSQ_07270
ko:K01952	ccf:YSQ_07275
ko:K01923	ccf:YSQ_07280
ko:K03797	ccf:YSQ_07285
ko:K03695	ccf:YSQ_07295
ko:K05366	ccf:YSQ_07300
ko:K06287	ccf:YSQ_07305
ko:K01872	ccf:YSQ_07310
ko:K13017	ccf:YSQ_07315
ko:K01772	ccf:YSQ_07330
ko:K03320	ccf:YSQ_07335
ko:K06917	ccf:YSQ_07340
ko:K01609	ccf:YSQ_07350
ko:K06940	ccf:YSQ_07360
ko:K02355	ccf:YSQ_07380
ko:K02992	ccf:YSQ_07385
ko:K02950	ccf:YSQ_07390
ko:K07248	ccf:YSQ_07395
ko:K02313	ccf:YSQ_00005
ko:K02338	ccf:YSQ_00010
ko:K02470	ccf:YSQ_00015
ko:K14393	ccf:YSQ_00045
ko:K07084	ccf:YSQ_00055
ko:K00266	ccf:YSQ_00065
ko:K03470	ccf:YSQ_00070
ko:K01687	ccf:YSQ_00085
ko:K07023	ccf:YSQ_00090
ko:K06920	ccf:YSQ_00095
ko:K06180	ccf:YSQ_00115
ko:K01756	ccf:YSQ_00120
ko:K01937	ccf:YSQ_00140
ko:K07462	ccf:YSQ_00145
ko:K01424	ccf:YSQ_00150
ko:K03596	ccf:YSQ_00200
ko:K14445	ccf:YSQ_00205
ko:K01000	ccf:YSQ_00210
ko:K07552	ccf:YSQ_00225
ko:K00058	ccf:YSQ_04765
ko:K03750	ccf:YSQ_04790
ko:K00790	ccf:YSQ_04795
ko:K01664	ccf:YSQ_04805
ko:K03342	ccf:YSQ_04810
ko:K04763	ccf:YSQ_04815
ko:K03611	ccf:YSQ_04820
ko:K03673	ccf:YSQ_04825
ko:K02400	ccf:YSQ_04850
ko:K02956	ccf:YSQ_04860
ko:K03466	ccf:YSQ_04865
ko:K02397	ccf:YSQ_04870
ko:K06921	ccf:YSQ_04890
ko:K02029	ccf:YSQ_04935
ko:K06143	ccf:YSQ_04945
ko:K02004	ccf:YSQ_04950
ko:K03070	ccf:YSQ_04955
ko:K03634	ccf:YSQ_04960
ko:K12251	ccf:YSQ_04980
ko:K03406	ccf:YSQ_05000
ko:K00602	ccf:YSQ_05005
ko:K05801	ccf:YSQ_05010
ko:K01952	ccf:YSQ_05015
ko:K03650	ccf:YSQ_05020
ko:K06346	ccf:YSQ_05025
ko:K03217	ccf:YSQ_05030
ko:K03536	ccf:YSQ_05040
ko:K02914	ccf:YSQ_05045
ko:K03076	ccf:YSQ_09635
ko:K02876	ccf:YSQ_09640
ko:K02988	ccf:YSQ_09645
ko:K02881	ccf:YSQ_09650
ko:K02933	ccf:YSQ_09655
ko:K02994	ccf:YSQ_09660
ko:K02954	ccf:YSQ_09665
ko:K02931	ccf:YSQ_09670
ko:K02895	ccf:YSQ_09675
ko:K02874	ccf:YSQ_09680
ko:K02961	ccf:YSQ_09685
ko:K02904	ccf:YSQ_09690
ko:K02878	ccf:YSQ_09695
ko:K02982	ccf:YSQ_09700
ko:K02890	ccf:YSQ_09705
ko:K02965	ccf:YSQ_09710
ko:K02886	ccf:YSQ_09715
ko:K02892	ccf:YSQ_09720
ko:K02926	ccf:YSQ_09725
ko:K02906	ccf:YSQ_09730
ko:K02946	ccf:YSQ_09735
ko:K06178	ccf:YSQ_09740
ko:K12574	ccf:YSQ_09745
ko:K02528	ccf:YSQ_09750
ko:K06941	ccf:YSQ_09760
ko:K01704	ccf:YSQ_09800
ko:K01703	ccf:YSQ_09805
ko:K00052	ccf:YSQ_09810
ko:K01649	ccf:YSQ_09815
ko:K09457	ccf:YSQ_09840
ko:K00651	ccf:YSQ_09850
ko:K07112	ccf:YSQ_09860
ko:K01740	ccf:YSQ_09865
ko:K02390	ccf:YSQ_09870
ko:K04485	ccf:YSQ_02960
ko:K02108	ccf:YSQ_02965
ko:K00297	ccf:YSQ_02975
ko:K00549	ccf:YSQ_02980
ko:K02073	ccf:YSQ_02985
ko:K07173	ccf:YSQ_02995
ko:K02434	ccf:YSQ_03000
ko:K00057	ccf:YSQ_03005
ko:K01465	ccf:YSQ_03010
ko:K03306	ccf:YSQ_03015
ko:K03495	ccf:YSQ_03045
ko:K03893	ccf:YSQ_03050
ko:K00411	ccf:YSQ_03055
ko:K00412	ccf:YSQ_03060
ko:K00413	ccf:YSQ_03065
ko:K00574	ccf:YSQ_03070
ko:K02967	ccf:YSQ_03075
ko:K02357	ccf:YSQ_03080
ko:K02003	ccf:YSQ_03085
ko:K02421	ccf:YSQ_03090
ko:K00942	ccf:YSQ_03100
ko:K03116	ccf:YSQ_03105
ko:K01887	ccf:YSQ_03110
ko:K11742	ccf:YSQ_03115
ko:K11743	ccf:YSQ_03120
ko:K03768	ccf:YSQ_03130
ko:K00016	ccf:YSQ_03140
ko:K09981	ccf:YSQ_03155
ko:K16264	ccf:YSQ_03160
ko:K01533	ccf:YSQ_03170
ko:K02343	ccf:YSQ_03175
ko:K03628	ccf:YSQ_03180
ko:K17686	ccf:YSQ_03185
ko:K08738	ccf:YSQ_03195
ko:K03273	ccf:YSQ_03200
ko:K03274	ccf:YSQ_03205
ko:K03272	ccf:YSQ_03210
ko:K03271	ccf:YSQ_03215
ko:K02843	ccf:YSQ_03225
ko:K00973	ccf:YSQ_03235
ko:K00059	ccf:YSQ_07685
ko:K15633	ccf:YSQ_07690
ko:K01000	ccf:YSQ_07695
ko:K01925	ccf:YSQ_07700
ko:K03406	ccf:YSQ_07730
ko:K07126	ccf:YSQ_07820
ko:K00245	ccf:YSQ_07835
ko:K00244	ccf:YSQ_07840
ko:K00246	ccf:YSQ_07845
ko:K13292	ccf:YSQ_07850
ko:K00014	ccf:YSQ_07860
ko:K03749	ccf:YSQ_07865
ko:K00600	ccf:YSQ_07875
ko:K04567	ccf:YSQ_07880
ko:K03711	ccf:YSQ_07885
ko:K03558	ccf:YSQ_07890
ko:K02435	ccf:YSQ_07895
ko:K03525	ccf:YSQ_07915
ko:K00116	ccf:YSQ_07920
ko:K00873	ccf:YSQ_07925
ko:K01875	ccf:YSQ_07940
ko:K01867	ccf:YSQ_07945
ko:K00891	ccf:YSQ_07950
ko:K03977	ccf:YSQ_07955
ko:K01627	ccf:YSQ_07965
ko:K00794	ccf:YSQ_07970
ko:K03625	ccf:YSQ_07975
ko:K03168	ccf:YSQ_09995
ko:K01985	ccf:YSQ_00175
ko:K01985	ccf:YSQ_07705
ko:K01985	ccf:YSQ_05655
ko:K14233	ccf:YSQ_02070
ko:K14222	ccf:YSQ_00735
ko:K14228	ccf:YSQ_00740
ko:K14228	ccf:YSQ_04540
ko:K14228	ccf:YSQ_04875
ko:K14225	ccf:YSQ_00745
ko:K14225	ccf:YSQ_04785
ko:K14225	ccf:YSQ_07505
ko:K14238	ccf:YSQ_01405
ko:K14231	ccf:YSQ_02450
ko:K14230	ccf:YSQ_02455
ko:K14230	ccf:YSQ_06415
ko:K14223	ccf:YSQ_02460
ko:K14220	ccf:YSQ_02795
ko:K14219	ccf:YSQ_03980
ko:K14224	ccf:YSQ_04910
ko:K14229	ccf:YSQ_04915
ko:K14229	ccf:YSQ_04930
ko:K01977	ccf:YSQ_07725
ko:K14235	ccf:YSQ_07485
ko:K14218	ccf:YSQ_00160
ko:K14218	ccf:YSQ_05670
ko:K14218	ccf:YSQ_07720
ko:K14233	ccf:YSQ_00730
ko:K14234	ccf:YSQ_07500
ko:K14218	ccf:YSQ_09785
ko:K14227	ccf:YSQ_00165
ko:K14227	ccf:YSQ_05665
ko:K14227	ccf:YSQ_07715
ko:K14219	ccf:YSQ_07375
ko:K14219	ccf:YSQ_09535
ko:K14219	ccf:YSQ_09540
ko:K14221	ccf:YSQ_04900
ko:K14221	ccf:YSQ_04920
ko:K14237	ccf:YSQ_04905
ko:K14237	ccf:YSQ_04925
ko:K14237	ccf:YSQ_09790
ko:K14224	ccf:YSQ_09005
ko:K01977	ccf:YSQ_05675
ko:K01978	ccf:YSQ_07100
ko:K14234	ccf:YSQ_07515
ko:K14236	ccf:YSQ_07510
ko:K14230	ccf:YSQ_09770
ko:K14233	ccf:YSQ_09775
ko:K01977	ccf:YSQ_00155
ko:K01980	ccf:YSQ_00170
ko:K01980	ccf:YSQ_07710
ko:K01980	ccf:YSQ_05660
ko:K07794	ccf:YSQ_08260
ko:K03427	ccf:YSQ_03765
ko:K18924	ccf:YSQ_08340
ko:K18925	ccf:YSQ_08345
ko:K03789	ccf:YSQ_02325
ko:K10747	ccf:YSQ_09555
ko:K18930	ccf:YSQ_00970
ko:K18138	ccf:YSQ_08055
ko:K03111	ccf:YSQ_09985
ko:K03205	ccf:YSQ_10020
ko:K03111	ccf:YSQ_03630
ko:K05797	ccf:YSQ_00025
ko:K09797	ccf:YSQ_00220
ko:K03111	ccf:YSQ_06605
ko:K12057	ccf:YSQ_06840
ko:K12061	ccf:YSQ_06845
ko:K12060	ccf:YSQ_06850
ko:K12056	ccf:YSQ_06930
ko:K12072	ccf:YSQ_06955
ko:K12063	ccf:YSQ_06965
ko:K12065	ccf:YSQ_06990
ko:K12067	ccf:YSQ_07000
ko:K12068	ccf:YSQ_07005
ko:K03497	ccf:YSQ_09400
ko:K03496	ccf:YSQ_09405
ko:K00335	ccf:YSQ_01025
ko:K18992	ccf:YSQ_08045
ko:K03203	ccf:YSQ_10050
ko:K03526	ccf:YSQ_05915
ko:K03195	ccf:YSQ_10040
ko:K07097	ccf:YSQ_04845
ko:K07326	ccf:YSQ_00660
ko:K06992	ccf:YSQ_00305
ko:K15461	ccf:YSQ_06345
ko:K00557	ccf:YSQ_05250
ko:K00336	ccf:YSQ_01030
ko:K17251	ccf:YSQ_03340
ko:K17249	ccf:YSQ_03325
ko:K15897	ccf:YSQ_02285
ko:K00571	ccf:YSQ_08520
ko:K15912	ccf:YSQ_03365
ko:K15913	ccf:YSQ_03355
ko:K15914	ccf:YSQ_03345
ko:K15915	ccf:YSQ_03350
ko:K19157	ccf:YSQ_10085
ko:K19157	ccf:YSQ_06920
ko:K19147	ccf:YSQ_09195
ko:K17250	ccf:YSQ_03330
ko:K01710	ccf:YSQ_03240
ko:K00525	ccf:YSQ_00125
ko:K22468	ccf:YSQ_06280
ko:K15910	ccf:YSQ_03360
ko:K07317	ccf:YSQ_00185
ko:K04771	ccf:YSQ_02780
ko:K19210	ccf:YSQ_08395
ko:K15899	ccf:YSQ_02290
ko:K03892	ccf:YSQ_01095
ko:K03761	ccf:YSQ_04250
ko:K00265	ccf:YSQ_00060
ko:K03761	ccf:YSQ_00770
ko:K06867	ccf:YSQ_01920
ko:K07496	ccf:YSQ_05640
ko:K07496	ccf:YSQ_07040
ko:K19416	ccf:YSQ_08755
ko:K18431	ccf:YSQ_02195
ko:K06867	ccf:YSQ_05235
ko:K00549	ccf:YSQ_07320
ko:K07216	ccf:YSQ_00370
ko:K07216	ccf:YSQ_00375
ko:K07216	ccf:YSQ_00760
ko:K15669	ccf:YSQ_01745
ko:K12053	ccf:YSQ_10060
ko:K10938	ccf:YSQ_05515
ko:K03204	ccf:YSQ_10045
ko:K07147	ccf:YSQ_07990
ko:K09796	ccf:YSQ_04680
ko:K20810	ccf:YSQ_00350
ko:K00821	ccf:YSQ_08800
ko:K02335	ccf:YSQ_08190
ko:K03465	ccf:YSQ_00135
ko:K02316	ccf:YSQ_00610
ko:K00857	ccf:YSQ_06535
ko:K02314	ccf:YSQ_07060
ko:K03553	ccf:YSQ_09575
ko:K02483	ccf:YSQ_06310
ko:K02483	ccf:YSQ_08105
ko:K02483	ccf:YSQ_02785
ko:K02032	ccf:YSQ_00995
ko:K02481	ccf:YSQ_03900
ko:K01139	ccf:YSQ_06365
ko:K00526	ccf:YSQ_08780
ko:K13695	ccf:YSQ_00535
ko:K21420	ccf:YSQ_03845
ko:K01420	ccf:YSQ_00420
ko:K10026	ccf:YSQ_08970
ko:K21600	ccf:YSQ_07290
ko:K21929	ccf:YSQ_05055
ko:K03595	ccf:YSQ_06025
ko:K22278	ccf:YSQ_02950
ko:K14441	ccf:YSQ_01640
ko:K22391	ccf:YSQ_05825
ko:K22424	ccf:YSQ_05940
ko:K22477	ccf:YSQ_08810
