ko:K01990	ssk:SSUD12_0236
ko:K05833	ssk:SSUD12_0697
ko:K06198	ssk:SSUD12_0704
ko:K07533	ssk:SSUD12_0713
ko:K07729	ssk:SSUD12_0720
ko:K07052	ssk:SSUD12_0724
ko:K07052	ssk:SSUD12_0726
ko:K11189	ssk:SSUD12_0733
ko:K08483	ssk:SSUD12_0734
ko:K01759	ssk:SSUD12_1593
ko:K00626	ssk:SSUD12_1595
ko:K01641	ssk:SSUD12_1596
ko:K00054	ssk:SSUD12_1597
ko:K07054	ssk:SSUD12_1622
ko:K15986	ssk:SSUD12_1632
ko:K01424	ssk:SSUD12_0334
ko:K01635	ssk:SSUD12_1206
ko:K00882	ssk:SSUD12_1209
ko:K02238	ssk:SSUD12_1214
ko:K05362	ssk:SSUD12_1217
ko:K06183	ssk:SSUD12_1223
ko:K07393	ssk:SSUD12_1224
ko:K06889	ssk:SSUD12_1244
ko:K02564	ssk:SSUD12_1248
ko:K01119	ssk:SSUD12_2070
ko:K03647	ssk:SSUD12_2104
ko:K02348	ssk:SSUD12_2107
ko:K00244	ssk:SSUD12_2111
ko:K02004	ssk:SSUD12_0572
ko:K07668	ssk:SSUD12_0595
ko:K07652	ssk:SSUD12_0596
ko:K02004	ssk:SSUD12_0603
ko:K08234	ssk:SSUD12_0619
ko:K07404	ssk:SSUD12_1472
ko:K07025	ssk:SSUD12_1474
ko:K06286	ssk:SSUD12_1482
ko:K04516	ssk:SSUD12_1493
ko:K01081	ssk:SSUD12_1495
ko:K01739	ssk:SSUD12_1516
ko:K11617	ssk:SSUD12_0407
ko:K11618	ssk:SSUD12_0408
ko:K03768	ssk:SSUD12_0409
ko:K07570	ssk:SSUD12_0410
ko:K02240	ssk:SSUD12_0413
ko:K02242	ssk:SSUD12_0414
ko:K07586	ssk:SSUD12_0425
ko:K02795	ssk:SSUD12_0433
ko:K02793	ssk:SSUD12_0435
ko:K01785	ssk:SSUD12_0436
ko:K04518	ssk:SSUD12_1351
ko:K11209	ssk:SSUD12_0624
ko:K00784	ssk:SSUD12_0640
ko:K02086	ssk:SSUD12_0648
ko:K12996	ssk:SSUD12_0664
ko:K12997	ssk:SSUD12_0665
ko:K07272	ssk:SSUD12_0668
ko:K09153	ssk:SSUD12_0676
ko:K05337	ssk:SSUD12_0679
ko:K01243	ssk:SSUD12_1537
ko:K01515	ssk:SSUD12_1539
ko:K00059	ssk:SSUD12_1543
ko:K02004	ssk:SSUD12_1548
ko:K05845	ssk:SSUD12_1555
ko:K05846	ssk:SSUD12_1555
ko:K06023	ssk:SSUD12_1561
ko:K03095	ssk:SSUD12_1567
ko:K02433	ssk:SSUD12_0347
ko:K06201	ssk:SSUD12_0353
ko:K06948	ssk:SSUD12_0356
ko:K05363	ssk:SSUD12_0367
ko:K12554	ssk:SSUD12_0368
ko:K04086	ssk:SSUD12_0370
ko:K07032	ssk:SSUD12_0384
ko:K03700	ssk:SSUD12_0390
ko:K12373	ssk:SSUD12_1252
ko:K01478	ssk:SSUD12_1259
ko:K09762	ssk:SSUD12_1261
ko:K01854	ssk:SSUD12_1273
ko:K07706	ssk:SSUD12_1281
ko:K00088	ssk:SSUD12_2155
ko:K00657	ssk:SSUD12_0461
ko:K03697	ssk:SSUD12_0465
ko:K00383	ssk:SSUD12_0484
ko:K02005	ssk:SSUD12_0485
ko:K02004	ssk:SSUD12_0487
ko:K01104	ssk:SSUD12_1367
ko:K01488	ssk:SSUD12_1399
ko:K01784	ssk:SSUD12_1414
ko:K09825	ssk:SSUD12_0294
ko:K09702	ssk:SSUD12_0299
ko:K09815	ssk:SSUD12_0322
ko:K03048	ssk:SSUD12_0324
ko:K03976	ssk:SSUD12_0512
ko:K08974	ssk:SSUD12_0513
ko:K07273	ssk:SSUD12_0515
ko:K07025	ssk:SSUD12_0541
ko:K01788	ssk:SSUD12_0543
ko:K10563	ssk:SSUD12_0550
ko:K08981	ssk:SSUD12_0558
ko:K03784	ssk:SSUD12_1423
ko:K03783	ssk:SSUD12_1424
ko:K07192	ssk:SSUD12_1437
ko:K07009	ssk:SSUD12_1452
ko:K03930	ssk:SSUD12_1458
ko:K05833	ssk:SSUD12_1463
ko:K05832	ssk:SSUD12_1464
ko:K01989	ssk:SSUD12_1465
ko:K00939	ssk:SSUD12_0096
ko:K01361	ssk:SSUD12_0974
ko:K11069	ssk:SSUD12_0975
ko:K11071	ssk:SSUD12_0977
ko:K11072	ssk:SSUD12_0978
ko:K07491	ssk:SSUD12_0994
ko:K07720	ssk:SSUD12_1882
ko:K01191	ssk:SSUD12_1890
ko:K09704	ssk:SSUD12_1891
ko:K02824	ssk:SSUD12_1902
ko:K03574	ssk:SSUD12_0867
ko:K00700	ssk:SSUD12_0870
ko:K02823	ssk:SSUD12_0875
ko:K01507	ssk:SSUD12_0878
ko:K02793	ssk:SSUD12_1752
ko:K02794	ssk:SSUD12_1752
ko:K02795	ssk:SSUD12_1753
ko:K07052	ssk:SSUD12_1758
ko:K00059	ssk:SSUD12_1766
ko:K02371	ssk:SSUD12_1768
ko:K02808	ssk:SSUD12_1782
ko:K02809	ssk:SSUD12_1782
ko:K02810	ssk:SSUD12_1782
ko:K01262	ssk:SSUD12_1788
ko:K14226	ssk:SSUD12_t028
ko:K15051	ssk:SSUD12_0765
ko:K07104	ssk:SSUD12_1639
ko:K02236	ssk:SSUD12_1647
ko:K01916	ssk:SSUD12_1649
ko:K07177	ssk:SSUD12_1656
ko:K01104	ssk:SSUD12_1668
ko:K02428	ssk:SSUD12_1682
ko:K09976	ssk:SSUD12_1684
ko:K01372	ssk:SSUD12_1686
ko:K14230	ssk:SSUD12_t014
ko:K07260	ssk:SSUD12_1076
ko:K16509	ssk:SSUD12_0811
ko:K16214	ssk:SSUD12_1295
ko:K02245	ssk:SSUD12_0125
ko:K02246	ssk:SSUD12_0126
ko:K02248	ssk:SSUD12_0128
ko:K01261	ssk:SSUD12_0134
ko:K03713	ssk:SSUD12_0154
ko:K04750	ssk:SSUD12_1075
ko:K07025	ssk:SSUD12_1080
ko:K07729	ssk:SSUD12_1903
ko:K06183	ssk:SSUD12_1907
ko:K07004	ssk:SSUD12_1938
ko:K03708	ssk:SSUD12_1943
ko:K12555	ssk:SSUD12_1953
ko:K09815	ssk:SSUD12_0108
ko:K02004	ssk:SSUD12_0116
ko:K03693	ssk:SSUD12_0118
ko:K02243	ssk:SSUD12_0123
ko:K02244	ssk:SSUD12_0124
ko:K14233	ssk:SSUD12_t013
ko:K14233	ssk:SSUD12_t023
ko:K03699	ssk:SSUD12_1642
ko:K14231	ssk:SSUD12_t015
ko:K14231	ssk:SSUD12_t025
ko:K14233	ssk:SSUD12_t017
ko:K14224	ssk:SSUD12_t034
ko:K14224	ssk:SSUD12_t050
ko:K14224	ssk:SSUD12_t022
ko:K12296	ssk:SSUD12_0017
ko:K00841	ssk:SSUD12_0023
ko:K02004	ssk:SSUD12_0914
ko:K09787	ssk:SSUD12_0927
ko:K00845	ssk:SSUD12_0957
ko:K00974	ssk:SSUD12_0960
ko:K00882	ssk:SSUD12_0965
ko:K03436	ssk:SSUD12_0966
ko:K02755	ssk:SSUD12_1809
ko:K02756	ssk:SSUD12_1809
ko:K02757	ssk:SSUD12_1809
ko:K03488	ssk:SSUD12_1810
ko:K07030	ssk:SSUD12_1835
ko:K02033	ssk:SSUD12_1838
ko:K02035	ssk:SSUD12_1841
ko:K07258	ssk:SSUD12_1842
ko:K04488	ssk:SSUD12_1847
ko:K16511	ssk:SSUD12_1852
ko:K01258	ssk:SSUD12_0800
ko:K09155	ssk:SSUD12_0807
ko:K03177	ssk:SSUD12_0808
ko:K01092	ssk:SSUD12_0813
ko:K14983	ssk:SSUD12_0822
ko:K14982	ssk:SSUD12_0823
ko:K00867	ssk:SSUD12_0826
ko:K00564	ssk:SSUD12_0827
ko:K01619	ssk:SSUD12_0829
ko:K01489	ssk:SSUD12_0830
ko:K02056	ssk:SSUD12_0832
ko:K00016	ssk:SSUD12_0836
ko:K07816	ssk:SSUD12_0847
ko:K00625	ssk:SSUD12_0850
ko:K06147	ssk:SSUD12_0852
ko:K11144	ssk:SSUD12_1702
ko:K03346	ssk:SSUD12_1703
ko:K00033	ssk:SSUD12_1707
ko:K12556	ssk:SSUD12_1715
ko:K07729	ssk:SSUD12_1718
ko:K00805	ssk:SSUD12_1727
ko:K00805	ssk:SSUD12_1729
ko:K03498	ssk:SSUD12_1730
ko:K03499	ssk:SSUD12_1732
ko:K01439	ssk:SSUD12_1743
ko:K01977	ssk:SSUD12_r10
ko:K01977	ssk:SSUD12_r12
ko:K01977	ssk:SSUD12_r11
ko:K01977	ssk:SSUD12_r09
ko:K16264	ssk:SSUD12_1646
ko:K01409	ssk:SSUD12_0162
ko:K02025	ssk:SSUD12_0165
ko:K01281	ssk:SSUD12_0182
ko:K03471	ssk:SSUD12_0196
ko:K02817	ssk:SSUD12_0201
ko:K02818	ssk:SSUD12_0201
ko:K02819	ssk:SSUD12_0201
ko:K03486	ssk:SSUD12_0204
ko:K01835	ssk:SSUD12_1118
ko:K07052	ssk:SSUD12_1125
ko:K03294	ssk:SSUD12_1128
ko:K00567	ssk:SSUD12_1133
ko:K00058	ssk:SSUD12_1134
ko:K09685	ssk:SSUD12_1963
ko:K03698	ssk:SSUD12_1965
ko:K00949	ssk:SSUD12_1967
ko:K06346	ssk:SSUD12_1984
ko:K07105	ssk:SSUD12_1990
ko:K00547	ssk:SSUD12_1994
ko:K09698	ssk:SSUD12_1996
ko:K01223	ssk:SSUD12_1805
ko:K01223	ssk:SSUD12_0175
ko:K14237	ssk:SSUD12_t019
ko:K14237	ssk:SSUD12_t02
ko:K14237	ssk:SSUD12_t036
ko:K14228	ssk:SSUD12_t030
ko:K13409	ssk:SSUD12_1308
ko:K14234	ssk:SSUD12_t040
ko:K14234	ssk:SSUD12_t06
ko:K14225	ssk:SSUD12_t020
ko:K14222	ssk:SSUD12_t046
ko:K01223	ssk:SSUD12_2055
ko:K14235	ssk:SSUD12_t027
ko:K15770	ssk:SSUD12_2098
ko:K01989	ssk:SSUD12_0694
ko:K15772	ssk:SSUD12_2100
ko:K15771	ssk:SSUD12_2099
ko:K16786	ssk:SSUD12_2134
ko:K16787	ssk:SSUD12_2133
ko:K16785	ssk:SSUD12_2132
ko:K10118	ssk:SSUD12_1511
ko:K16788	ssk:SSUD12_1989
ko:K01989	ssk:SSUD12_0695
ko:K16789	ssk:SSUD12_0514
ko:K08168	ssk:SSUD12_1291
ko:K01985	ssk:SSUD12_r01
ko:K01985	ssk:SSUD12_r02
ko:K01985	ssk:SSUD12_r04
ko:K01985	ssk:SSUD12_r03
ko:K02778	ssk:SSUD12_0544
ko:K02779	ssk:SSUD12_0544
ko:K18830	ssk:SSUD12_1296
ko:K01155	ssk:SSUD12_0039
ko:K18816	ssk:SSUD12_0549
ko:K10119	ssk:SSUD12_1510
ko:K14219	ssk:SSUD12_t043
ko:K14219	ssk:SSUD12_t09
ko:K10009	ssk:SSUD12_0290
ko:K16786	ssk:SSUD12_0262
ko:K16787	ssk:SSUD12_0262
ko:K02424	ssk:SSUD12_0289
ko:K14230	ssk:SSUD12_t024
ko:K02030	ssk:SSUD12_1384
ko:K02030	ssk:SSUD12_2087
ko:K14232	ssk:SSUD12_t010
ko:K14232	ssk:SSUD12_t044
ko:K14225	ssk:SSUD12_t041
ko:K14225	ssk:SSUD12_t07
ko:K16785	ssk:SSUD12_0386
ko:K14218	ssk:SSUD12_t01
ko:K14218	ssk:SSUD12_t035
ko:K14218	ssk:SSUD12_t018
ko:K14218	ssk:SSUD12_t032
ko:K00355	ssk:SSUD12_1578
ko:K16786	ssk:SSUD12_0385
ko:K16787	ssk:SSUD12_0385
ko:K01426	ssk:SSUD12_0288
ko:K08986	ssk:SSUD12_0749
ko:K08316	ssk:SSUD12_1658
ko:K11991	ssk:SSUD12_2025
ko:K16868	ssk:SSUD12_0566
ko:K16924	ssk:SSUD12_0381
ko:K16926	ssk:SSUD12_0261
ko:K14221	ssk:SSUD12_t03
ko:K14221	ssk:SSUD12_t037
ko:K14230	ssk:SSUD12_t011
ko:K14228	ssk:SSUD12_t031
ko:K16898	ssk:SSUD12_1064
ko:K16899	ssk:SSUD12_1065
ko:K14220	ssk:SSUD12_t033
ko:K14220	ssk:SSUD12_t051
ko:K03574	ssk:SSUD12_0464
ko:K11070	ssk:SSUD12_0976
ko:K14234	ssk:SSUD12_t045
ko:K01992	ssk:SSUD12_0235
ko:K10010	ssk:SSUD12_2045
ko:K01990	ssk:SSUD12_1073
ko:K02029	ssk:SSUD12_0862
ko:K02030	ssk:SSUD12_0862
ko:K01990	ssk:SSUD12_0667
ko:K14228	ssk:SSUD12_t047
ko:K10947	ssk:SSUD12_1547
ko:K17318	ssk:SSUD12_0616
ko:K17318	ssk:SSUD12_1885
ko:K17319	ssk:SSUD12_0614
ko:K17319	ssk:SSUD12_1887
ko:K01992	ssk:SSUD12_1074
ko:K14227	ssk:SSUD12_t016
ko:K14227	ssk:SSUD12_t021
ko:K01992	ssk:SSUD12_1827
ko:K01992	ssk:SSUD12_0666
ko:K01990	ssk:SSUD12_1828
ko:K01990	ssk:SSUD12_0172
ko:K14988	ssk:SSUD12_1304
ko:K01990	ssk:SSUD12_1397
ko:K02028	ssk:SSUD12_2085
ko:K02032	ssk:SSUD12_1839
ko:K02028	ssk:SSUD12_1385
ko:K03574	ssk:SSUD12_0784
ko:K00951	ssk:SSUD12_2069
ko:K02028	ssk:SSUD12_0861
ko:K14236	ssk:SSUD12_t026
ko:K14236	ssk:SSUD12_t054
ko:K14219	ssk:SSUD12_t056
ko:K17320	ssk:SSUD12_0615
ko:K17320	ssk:SSUD12_1886
ko:K01537	ssk:SSUD12_0528
ko:K02030	ssk:SSUD12_0868
ko:K02030	ssk:SSUD12_0869
ko:K17076	ssk:SSUD12_1855
ko:K02029	ssk:SSUD12_0467
ko:K14219	ssk:SSUD12_t049
ko:K01992	ssk:SSUD12_0234
ko:K17073	ssk:SSUD12_1854
ko:K17074	ssk:SSUD12_1854
ko:K10947	ssk:SSUD12_0241
ko:K10947	ssk:SSUD12_0797
ko:K14230	ssk:SSUD12_t012
ko:K14229	ssk:SSUD12_t038
ko:K14229	ssk:SSUD12_t04
ko:K14228	ssk:SSUD12_t042
ko:K14228	ssk:SSUD12_t08
ko:K07271	ssk:SSUD12_1362
ko:K10112	ssk:SSUD12_1880
ko:K14228	ssk:SSUD12_t05
ko:K14228	ssk:SSUD12_t039
ko:K01990	ssk:SSUD12_0277
ko:K01990	ssk:SSUD12_0561
ko:K01990	ssk:SSUD12_1307
ko:K01990	ssk:SSUD12_1665
ko:K01992	ssk:SSUD12_1664
ko:K01980	ssk:SSUD12_r08
ko:K01980	ssk:SSUD12_r06
ko:K01980	ssk:SSUD12_r07
ko:K01980	ssk:SSUD12_r05
ko:K14223	ssk:SSUD12_t029
ko:K14223	ssk:SSUD12_t055
ko:K14233	ssk:SSUD12_t053
ko:K14219	ssk:SSUD12_t052
ko:K14229	ssk:SSUD12_t048
ko:K17686	ssk:SSUD12_0568
ko:K00226	ssk:SSUD12_0231
ko:K17828	ssk:SSUD12_0876
ko:K03767	ssk:SSUD12_0609
ko:K00537	ssk:SSUD12_1425
ko:K00290	ssk:SSUD12_1406
ko:K03486	ssk:SSUD12_0373
ko:K01467	ssk:SSUD12_0012
ko:K02768	ssk:SSUD12_1207
ko:K02026	ssk:SSUD12_0166
ko:K02027	ssk:SSUD12_0164
ko:K07284	ssk:SSUD12_0838
ko:K12574	ssk:SSUD12_0156
ko:K00661	ssk:SSUD12_0892
ko:K12574	ssk:SSUD12_1460
ko:K07284	ssk:SSUD12_0473
ko:K00561	ssk:SSUD12_1346
ko:K18216	ssk:SSUD12_0539
ko:K18220	ssk:SSUD12_1319
ko:K01071	ssk:SSUD12_1419
ko:K05799	ssk:SSUD12_0769
ko:K02794	ssk:SSUD12_0432
ko:K18104	ssk:SSUD12_0051
ko:K02614	ssk:SSUD12_0853
ko:K18217	ssk:SSUD12_0540
ko:K02238	ssk:SSUD12_1145
ko:K07707	ssk:SSUD12_2065
ko:K00657	ssk:SSUD12_0360
ko:K00657	ssk:SSUD12_0361
ko:K07491	ssk:SSUD12_0422
ko:K01854	ssk:SSUD12_1356
ko:K07491	ssk:SSUD12_0795
ko:K07491	ssk:SSUD12_0985
ko:K07491	ssk:SSUD12_1111
ko:K03742	ssk:SSUD12_0065
ko:K18474	ssk:SSUD12_1772
ko:K16235	ssk:SSUD12_1995
ko:K00105	ssk:SSUD12_1089
ko:K01200	ssk:SSUD12_2103
ko:K18682	ssk:SSUD12_0398
ko:K06896	ssk:SSUD12_0374
ko:K18672	ssk:SSUD12_1450
ko:K18692	ssk:SSUD12_1711
ko:K01155	ssk:SSUD12_0038
ko:K18815	ssk:SSUD12_1441
ko:K18892	ssk:SSUD12_2011
ko:K00571	ssk:SSUD12_0037
ko:K18891	ssk:SSUD12_2012
ko:K03790	ssk:SSUD12_1576
ko:K18888	ssk:SSUD12_0999
ko:K18887	ssk:SSUD12_1000
ko:K03502	ssk:SSUD12_1203
ko:K03497	ssk:SSUD12_1313
ko:K03205	ssk:SSUD12_1332
ko:K05593	ssk:SSUD12_1344
ko:K03497	ssk:SSUD12_2173
ko:K06218	ssk:SSUD12_0916
ko:K03111	ssk:SSUD12_1799
ko:K03205	ssk:SSUD12_1027
ko:K03111	ssk:SSUD12_0140
ko:K07029	ssk:SSUD12_0753
ko:K19055	ssk:SSUD12_1462
ko:K19002	ssk:SSUD12_0586
ko:K18979	ssk:SSUD12_0532
ko:K13052	ssk:SSUD12_0010
ko:K18986	ssk:SSUD12_1626
ko:K02851	ssk:SSUD12_1851
ko:K18987	ssk:SSUD12_1627
ko:K19005	ssk:SSUD12_0686
ko:K07452	ssk:SSUD12_0931
ko:K06893	ssk:SSUD12_2124
ko:K06893	ssk:SSUD12_1638
ko:K00571	ssk:SSUD12_1198
ko:K19147	ssk:SSUD12_0930
ko:K14989	ssk:SSUD12_1303
ko:K05881	ssk:SSUD12_1929
ko:K01710	ssk:SSUD12_0656
ko:K01215	ssk:SSUD12_1508
ko:K03722	ssk:SSUD12_1380
ko:K19302	ssk:SSUD12_1671
ko:K12952	ssk:SSUD12_0607
ko:K04771	ssk:SSUD12_2172
ko:K06881	ssk:SSUD12_1490
ko:K00561	ssk:SSUD12_1565
ko:K02796	ssk:SSUD12_0434
ko:K02796	ssk:SSUD12_1754
ko:K00887	ssk:SSUD12_0547
ko:K07497	ssk:SSUD12_1624
ko:K00526	ssk:SSUD12_0727
ko:K03789	ssk:SSUD12_1908
ko:K21636	ssk:SSUD12_2084
ko:K20074	ssk:SSUD12_0404
ko:K12132	ssk:SSUD12_0405
ko:K20073	ssk:SSUD12_0396
ko:K02777	ssk:SSUD12_0375
ko:K20107	ssk:SSUD12_0375
ko:K20108	ssk:SSUD12_0375
ko:K20342	ssk:SSUD12_0057
ko:K20344	ssk:SSUD12_1278
ko:K20345	ssk:SSUD12_1279
ko:K00525	ssk:SSUD12_0728
ko:K20489	ssk:SSUD12_0912
ko:K18889	ssk:SSUD12_0272
ko:K18890	ssk:SSUD12_0271
ko:K20534	ssk:SSUD12_2039
ko:K21064	ssk:SSUD12_1751
ko:K08968	ssk:SSUD12_1586
ko:K00558	ssk:SSUD12_1176
ko:K07451	ssk:SSUD12_1179
ko:K07313	ssk:SSUD12_2022
ko:K00558	ssk:SSUD12_1197
ko:K04068	ssk:SSUD12_2080
ko:K02314	ssk:SSUD12_2115
ko:K02315	ssk:SSUD12_2140
ko:K06223	ssk:SSUD12_0444
ko:K00558	ssk:SSUD12_0445
ko:K00558	ssk:SSUD12_1338
ko:K02315	ssk:SSUD12_0498
ko:K02316	ssk:SSUD12_1411
ko:K06217	ssk:SSUD12_0632
ko:K01493	ssk:SSUD12_1580
ko:K06191	ssk:SSUD12_0729
ko:K06223	ssk:SSUD12_0036
ko:K00857	ssk:SSUD12_0944
ko:K00287	ssk:SSUD12_0953
ko:K00560	ssk:SSUD12_0954
ko:K03553	ssk:SSUD12_0066
ko:K01520	ssk:SSUD12_2004
ko:K01101	ssk:SSUD12_1417
ko:K01759	ssk:SSUD12_0611
ko:K02335	ssk:SSUD12_0576
ko:K02031	ssk:SSUD12_1840
ko:K00571	ssk:SSUD12_0130
ko:K06148	ssk:SSUD12_0260
ko:K06148	ssk:SSUD12_0259
ko:K21471	ssk:SSUD12_0186
ko:K21471	ssk:SSUD12_0021
ko:K21567	ssk:SSUD12_1954
ko:K00863	ssk:SSUD12_1925
ko:K21828	ssk:SSUD12_1260
ko:K22044	ssk:SSUD12_0227
ko:K03595	ssk:SSUD12_0548
ko:K03078	ssk:SSUD12_2032
ko:K22278	ssk:SSUD12_1592
ko:K17758	ssk:SSUD12_0973
ko:K03077	ssk:SSUD12_2030
ko:K03079	ssk:SSUD12_2031
ko:K22441	ssk:SSUD12_0778
ko:K22457	ssk:SSUD12_1269
