ko:K07726	nmi:NMO_0277
ko:K03557	nmi:NMO_1253
ko:K04567	nmi:NMO_1258
ko:K01262	nmi:NMO_1260
ko:K03624	nmi:NMO_1263
ko:K00800	nmi:NMO_1264
ko:K00782	nmi:NMO_1269
ko:K01588	nmi:NMO_1271
ko:K03572	nmi:NMO_1275
ko:K02343	nmi:NMO_1276
ko:K09747	nmi:NMO_1277
ko:K03553	nmi:NMO_1278
ko:K03785	nmi:NMO_1279
ko:K03656	nmi:NMO_1280
ko:K02346	nmi:NMO_1281
ko:K00528	nmi:NMO_1284
ko:K02342	nmi:NMO_1285
ko:K09926	nmi:NMO_1287
ko:K00615	nmi:NMO_1289
ko:K01679	nmi:NMO_1290
ko:K03111	nmi:NMO_1292
ko:K01867	nmi:NMO_1301
ko:K03695	nmi:NMO_1302
ko:K01821	nmi:NMO_1304
ko:K00260	nmi:NMO_1307
ko:K01091	nmi:NMO_1308
ko:K03565	nmi:NMO_1309
ko:K01207	nmi:NMO_0412
ko:K10773	nmi:NMO_0415
ko:K02429	nmi:NMO_0417
ko:K03315	nmi:NMO_0418
ko:K06189	nmi:NMO_0419
ko:K07042	nmi:NMO_0420
ko:K01749	nmi:NMO_0421
ko:K03303	nmi:NMO_0425
ko:K03269	nmi:NMO_0426
ko:K03529	nmi:NMO_0427
ko:K02655	nmi:NMO_0429
ko:K03981	nmi:NMO_0432
ko:K04066	nmi:NMO_0433
ko:K04043	nmi:NMO_0436
ko:K03688	nmi:NMO_0442
ko:K00640	nmi:NMO_0443
ko:K03687	nmi:NMO_0444
ko:K05952	nmi:NMO_0445
ko:K03734	nmi:NMO_0446
ko:K00351	nmi:NMO_0447
ko:K00350	nmi:NMO_0448
ko:K00349	nmi:NMO_0449
ko:K00348	nmi:NMO_0450
ko:K00347	nmi:NMO_0451
ko:K00346	nmi:NMO_0452
ko:K09790	nmi:NMO_0454
ko:K09941	nmi:NMO_0455
ko:K00605	nmi:NMO_0457
ko:K02437	nmi:NMO_0458
ko:K02492	nmi:NMO_0459
ko:K07218	nmi:NMO_0461
ko:K00311	nmi:NMO_0464
ko:K02884	nmi:NMO_0474
ko:K00554	nmi:NMO_0475
ko:K00033	nmi:NMO_0001
ko:K02527	nmi:NMO_0002
ko:K00790	nmi:NMO_0005
ko:K00927	nmi:NMO_0006
ko:K09811	nmi:NMO_0008
ko:K09812	nmi:NMO_0009
ko:K01885	nmi:NMO_0014
ko:K03555	nmi:NMO_0017
ko:K00134	nmi:NMO_0018
ko:K02841	nmi:NMO_0022
ko:K03521	nmi:NMO_0023
ko:K03522	nmi:NMO_0024
ko:K01945	nmi:NMO_0027
ko:K07566	nmi:NMO_0028
ko:K03088	nmi:NMO_0031
ko:K09929	nmi:NMO_0032
ko:K09930	nmi:NMO_0033
ko:K07001	nmi:NMO_0036
ko:K02836	nmi:NMO_0037
ko:K03305	nmi:NMO_0038
ko:K09800	nmi:NMO_0039
ko:K07862	nmi:NMO_0041
ko:K01940	nmi:NMO_0045
ko:K04773	nmi:NMO_0047
ko:K03149	nmi:NMO_0095
ko:K03154	nmi:NMO_0096
ko:K00788	nmi:NMO_0097
ko:K03153	nmi:NMO_0098
ko:K03568	nmi:NMO_0100
ko:K02493	nmi:NMO_0102
ko:K07084	nmi:NMO_0103
ko:K03745	nmi:NMO_0104
ko:K01595	nmi:NMO_0106
ko:K00057	nmi:NMO_0107
ko:K09888	nmi:NMO_0109
ko:K02871	nmi:NMO_0110
ko:K02996	nmi:NMO_0111
ko:K03576	nmi:NMO_0113
ko:K00411	nmi:NMO_0115
ko:K00412	nmi:NMO_0116
ko:K00413	nmi:NMO_0117
ko:K09760	nmi:NMO_0118
ko:K00760	nmi:NMO_0121
ko:K02821	nmi:NMO_0122
ko:K08483	nmi:NMO_0124
ko:K03147	nmi:NMO_0127
ko:K06173	nmi:NMO_0131
ko:K07043	nmi:NMO_0132
ko:K00655	nmi:NMO_0133
ko:K03273	nmi:NMO_0134
ko:K03835	nmi:NMO_0135
ko:K02204	nmi:NMO_0137
ko:K00851	nmi:NMO_0138
ko:K03299	nmi:NMO_0139
ko:K02063	nmi:NMO_0140
ko:K01673	nmi:NMO_0141
ko:K00969	nmi:NMO_0142
ko:K09710	nmi:NMO_0143
ko:K00783	nmi:NMO_0144
ko:K00954	nmi:NMO_0147
ko:K06177	nmi:NMO_0148
ko:K00558	nmi:NMO_0153
ko:K02071	nmi:NMO_0223
ko:K02072	nmi:NMO_0224
ko:K02073	nmi:NMO_0225
ko:K03186	nmi:NMO_0226
ko:K03497	nmi:NMO_0227
ko:K02108	nmi:NMO_0230
ko:K02110	nmi:NMO_0231
ko:K02109	nmi:NMO_0232
ko:K02113	nmi:NMO_0233
ko:K02111	nmi:NMO_0234
ko:K02115	nmi:NMO_0235
ko:K02112	nmi:NMO_0236
ko:K02114	nmi:NMO_0237
ko:K01878	nmi:NMO_0238
ko:K09923	nmi:NMO_0239
ko:K01879	nmi:NMO_0240
ko:K07270	nmi:NMO_0242
ko:K07270	nmi:NMO_0243
ko:K09761	nmi:NMO_0244
ko:K09858	nmi:NMO_0246
ko:K00059	nmi:NMO_0250
ko:K01951	nmi:NMO_0251
ko:K00645	nmi:NMO_0253
ko:K00648	nmi:NMO_0255
ko:K03621	nmi:NMO_0258
ko:K07101	nmi:NMO_0259
ko:K02911	nmi:NMO_0260
ko:K07056	nmi:NMO_0262
ko:K03217	nmi:NMO_0263
ko:K08998	nmi:NMO_0264
ko:K03536	nmi:NMO_0265
ko:K02914	nmi:NMO_0266
ko:K02313	nmi:NMO_0267
ko:K02338	nmi:NMO_0268
ko:K00937	nmi:NMO_0270
ko:K01869	nmi:NMO_0273
ko:K06223	nmi:NMO_0274
ko:K03075	nmi:NMO_0280
ko:K01803	nmi:NMO_0281
ko:K00573	nmi:NMO_0283
ko:K09952	nmi:NMO_0348
ko:K02337	nmi:NMO_0349
ko:K07053	nmi:NMO_0353
ko:K11752	nmi:NMO_0361
ko:K07738	nmi:NMO_0362
ko:K01735	nmi:NMO_0364
ko:K00891	nmi:NMO_0365
ko:K02666	nmi:NMO_0366
ko:K02665	nmi:NMO_0367
ko:K02662	nmi:NMO_0370
ko:K05366	nmi:NMO_0371
ko:K03978	nmi:NMO_0372
ko:K07399	nmi:NMO_0374
ko:K01409	nmi:NMO_0376
ko:K02517	nmi:NMO_0377
ko:K00789	nmi:NMO_0378
ko:K07259	nmi:NMO_0380
ko:K03300	nmi:NMO_0382
ko:K08301	nmi:NMO_0385
ko:K03676	nmi:NMO_0386
ko:K03071	nmi:NMO_0387
ko:K03655	nmi:NMO_0388
ko:K00145	nmi:NMO_0389
ko:K07058	nmi:NMO_0405
ko:K06920	nmi:NMO_0407
ko:K01737	nmi:NMO_0409
ko:K08987	nmi:NMO_0410
ko:K07458	nmi:NMO_0155
ko:K03578	nmi:NMO_0156
ko:K03578	nmi:NMO_0159
ko:K04083	nmi:NMO_0167
ko:K06213	nmi:NMO_0168
ko:K01952	nmi:NMO_0171
ko:K02013	nmi:NMO_0173
ko:K02015	nmi:NMO_0175
ko:K02015	nmi:NMO_0176
ko:K02016	nmi:NMO_0178
ko:K04077	nmi:NMO_0181
ko:K04078	nmi:NMO_0182
ko:K03308	nmi:NMO_0184
ko:K01586	nmi:NMO_0185
ko:K06202	nmi:NMO_0187
ko:K07173	nmi:NMO_0190
ko:K02335	nmi:NMO_0191
ko:K03650	nmi:NMO_0196
ko:K02065	nmi:NMO_0205
ko:K02066	nmi:NMO_0206
ko:K02067	nmi:NMO_0207
ko:K07323	nmi:NMO_0208
ko:K07122	nmi:NMO_0209
ko:K04754	nmi:NMO_0210
ko:K02909	nmi:NMO_0214
ko:K03599	nmi:NMO_0217
ko:K03600	nmi:NMO_0218
ko:K09117	nmi:NMO_0220
ko:K01322	nmi:NMO_0289
ko:K00762	nmi:NMO_0292
ko:K03789	nmi:NMO_0294
ko:K01624	nmi:NMO_0297
ko:K03733	nmi:NMO_0298
ko:K01662	nmi:NMO_0299
ko:K06168	nmi:NMO_0300
ko:K01845	nmi:NMO_0302
ko:K02687	nmi:NMO_0304
ko:K02160	nmi:NMO_0306
ko:K07568	nmi:NMO_0308
ko:K03923	nmi:NMO_0309
ko:K01955	nmi:NMO_0311
ko:K01956	nmi:NMO_0316
ko:K03593	nmi:NMO_0317
ko:K01938	nmi:NMO_0323
ko:K06942	nmi:NMO_0324
ko:K01866	nmi:NMO_0326
ko:K11753	nmi:NMO_0327
ko:K01870	nmi:NMO_0328
ko:K03101	nmi:NMO_0329
ko:K03527	nmi:NMO_0330
ko:K01091	nmi:NMO_0331
ko:K02014	nmi:NMO_0332
ko:K00558	nmi:NMO_0082
ko:K01883	nmi:NMO_0084
ko:K01142	nmi:NMO_0085
ko:K00133	nmi:NMO_0088
ko:K09903	nmi:NMO_0065
ko:K02357	nmi:NMO_0066
ko:K02967	nmi:NMO_0067
ko:K00116	nmi:NMO_0071
ko:K01265	nmi:NMO_0074
ko:K03271	nmi:NMO_0077
ko:K07460	nmi:NMO_0078
ko:K07056	nmi:NMO_0079
ko:K03979	nmi:NMO_0081
ko:K00368	nmi:NMO_1452
ko:K12942	nmi:NMO_1535
ko:K03711	nmi:NMO_1835
ko:K02077	nmi:NMO_0471
ko:K13643	nmi:NMO_1218
ko:K01156	nmi:NMO_1216
ko:K06969	nmi:NMO_1206
ko:K08281	nmi:NMO_0021
ko:K07248	nmi:NMO_0201
ko:K01069	nmi:NMO_0170
ko:K01497	nmi:NMO_1068
ko:K00970	nmi:NMO_0726
ko:K01759	nmi:NMO_1700
ko:K05799	nmi:NMO_1527
ko:K07491	nmi:NMO_1296
ko:K02074	nmi:NMO_0473
ko:K00121	nmi:NMO_1145
ko:K08978	nmi:NMO_0322
ko:K08324	nmi:NMO_1189
ko:K14237	nmi:NMO_tRNA49
ko:K14237	nmi:NMO_tRNA51
ko:K14234	nmi:NMO_tRNA16
ko:K01977	nmi:NMO_rRNA01
ko:K01977	nmi:NMO_rRNA06
ko:K01977	nmi:NMO_rRNA09
ko:K01977	nmi:NMO_rRNA12
ko:K14232	nmi:NMO_tRNA10
ko:K14228	nmi:NMO_tRNA25
ko:K14228	nmi:NMO_tRNA08
ko:K14228	nmi:NMO_tRNA29
ko:K14218	nmi:NMO_tRNA43
ko:K01070	nmi:NMO_1146
ko:K02673	nmi:NMO_0766
ko:K09951	nmi:NMO_0346
ko:K03417	nmi:NMO_1611
ko:K13634	nmi:NMO_1658
ko:K01947	nmi:NMO_0092
ko:K01259	nmi:NMO_0822
ko:K05794	nmi:NMO_0004
ko:K13771	nmi:NMO_1603
ko:K03719	nmi:NMO_1469
ko:K09789	nmi:NMO_1569
ko:K14220	nmi:NMO_tRNA28
ko:K14220	nmi:NMO_tRNA41
ko:K14232	nmi:NMO_tRNA02
ko:K00941	nmi:NMO_1443
ko:K14236	nmi:NMO_tRNA56
ko:K14233	nmi:NMO_tRNA20
ko:K14228	nmi:NMO_tRNA24
ko:K14228	nmi:NMO_tRNA23
ko:K01139	nmi:NMO_1479
ko:K06992	nmi:NMO_0738
ko:K06992	nmi:NMO_0465
ko:K14232	nmi:NMO_tRNA11
ko:K01934	nmi:NMO_0069
ko:K01760	nmi:NMO_0691
ko:K11073	nmi:NMO_0510
ko:K14224	nmi:NMO_tRNA36
ko:K14233	nmi:NMO_tRNA12
ko:K14233	nmi:NMO_tRNA21
ko:K14219	nmi:NMO_tRNA45
ko:K14221	nmi:NMO_tRNA48
ko:K14221	nmi:NMO_tRNA50
ko:K14233	nmi:NMO_tRNA22
ko:K14234	nmi:NMO_tRNA54
ko:K14228	nmi:NMO_tRNA30
ko:K00674	nmi:NMO_1706
ko:K14231	nmi:NMO_tRNA44
ko:K14230	nmi:NMO_tRNA40
ko:K14445	nmi:NMO_0680
ko:K04771	nmi:NMO_0414
ko:K06945	nmi:NMO_1565
ko:K09810	nmi:NMO_1046
ko:K03972	nmi:NMO_0672
ko:K01985	nmi:NMO_rRNA04
ko:K01985	nmi:NMO_rRNA10
ko:K01985	nmi:NMO_rRNA07
ko:K01985	nmi:NMO_rRNA03
ko:K14267	nmi:NMO_0770
ko:K14234	nmi:NMO_tRNA52
ko:K09968	nmi:NMO_1408
ko:K00657	nmi:NMO_1526
ko:K14260	nmi:NMO_1303
ko:K02010	nmi:NMO_0519
ko:K14225	nmi:NMO_tRNA55
ko:K14225	nmi:NMO_tRNA32
ko:K14225	nmi:NMO_tRNA35
ko:K14225	nmi:NMO_tRNA34
ko:K14225	nmi:NMO_tRNA33
ko:K02358	nmi:NMO_1913
ko:K01524	nmi:NMO_1298
ko:K06020	nmi:NMO_1654
ko:K05540	nmi:NMO_1254
ko:K14652	nmi:NMO_1070
ko:K15125	nmi:NMO_0398
ko:K15035	nmi:NMO_sRNA2
ko:K09943	nmi:NMO_0003
ko:K14226	nmi:NMO_tRNA04
ko:K04517	nmi:NMO_1600
ko:K02075	nmi:NMO_0472
ko:K14219	nmi:NMO_tRNA39
ko:K14235	nmi:NMO_tRNA53
ko:K14224	nmi:NMO_tRNA15
ko:K14224	nmi:NMO_tRNA27
ko:K14218	nmi:NMO_tRNA07
ko:K14218	nmi:NMO_tRNA46
ko:K14218	nmi:NMO_tRNA37
ko:K14218	nmi:NMO_tRNA57
ko:K01978	nmi:NMO_sRNA1
ko:K14219	nmi:NMO_tRNA03
ko:K14229	nmi:NMO_tRNA01
ko:K14229	nmi:NMO_tRNA09
ko:K14230	nmi:NMO_tRNA42
ko:K14237	nmi:NMO_tRNA13
ko:K14222	nmi:NMO_tRNA31
ko:K14227	nmi:NMO_tRNA06
ko:K14227	nmi:NMO_tRNA58
ko:K14227	nmi:NMO_tRNA38
ko:K14227	nmi:NMO_tRNA47
ko:K14223	nmi:NMO_tRNA17
ko:K14223	nmi:NMO_tRNA19
ko:K14223	nmi:NMO_tRNA18
ko:K14230	nmi:NMO_tRNA05
ko:K01980	nmi:NMO_rRNA02
ko:K01980	nmi:NMO_rRNA11
ko:K01980	nmi:NMO_rRNA08
ko:K01980	nmi:NMO_rRNA05
ko:K14219	nmi:NMO_tRNA14
ko:K14219	nmi:NMO_tRNA26
ko:K14170	nmi:NMO_1595
ko:K02650	nmi:NMO_1986
ko:K07733	nmi:NMO_1398
ko:K14540	nmi:NMO_0629
ko:K06919	nmi:NMO_0787
ko:K06919	nmi:NMO_1391
ko:K06919	nmi:NMO_1390
ko:K02668	nmi:NMO_1431
ko:K00691	nmi:NMO_1651
ko:K00029	nmi:NMO_0556
ko:K18133	nmi:NMO_0128
ko:K07645	nmi:NMO_0384
ko:K06177	nmi:NMO_0744
ko:K18928	nmi:NMO_1268
ko:K03772	nmi:NMO_1378
ko:K02483	nmi:NMO_0480
ko:K14761	nmi:NMO_0351
ko:K07213	nmi:NMO_1113
ko:K00459	nmi:NMO_1286
ko:K02055	nmi:NMO_1580
ko:K03574	nmi:NMO_1589
ko:K01659	nmi:NMO_1610
ko:K06992	nmi:NMO_1935
ko:K01802	nmi:NMO_1979
ko:K02533	nmi:NMO_1185
ko:K15738	nmi:NMO_0954
ko:K02428	nmi:NMO_0525
ko:K15724	nmi:NMO_0439
ko:K14742	nmi:NMO_0295
ko:K07017	nmi:NMO_0333
ko:K06148	nmi:NMO_0404
ko:K00813	nmi:NMO_0422
ko:K03719	nmi:NMO_0456
ko:K02484	nmi:NMO_0479
ko:K18139	nmi:NMO_1530
ko:K15778	nmi:NMO_0678
ko:K01082	nmi:NMO_0245
ko:K02028	nmi:NMO_0588
ko:K15977	nmi:NMO_1747
ko:K16087	nmi:NMO_0179
ko:K15984	nmi:NMO_1433
ko:K18138	nmi:NMO_1531
ko:K15977	nmi:NMO_0035
ko:K18132	nmi:NMO_1262
ko:K16301	nmi:NMO_1970
ko:K16088	nmi:NMO_0285
ko:K02424	nmi:NMO_0675
ko:K10009	nmi:NMO_0676
ko:K16087	nmi:NMO_0579
ko:K16087	nmi:NMO_1321
ko:K16087	nmi:NMO_1581
ko:K16087	nmi:NMO_1486
ko:K10010	nmi:NMO_0677
ko:K16211	nmi:NMO_1653
ko:K16345	nmi:NMO_0826
ko:K07278	nmi:NMO_0040
ko:K16264	nmi:NMO_0507
ko:K01156	nmi:NMO_1359
ko:K16868	nmi:NMO_1444
ko:K02030	nmi:NMO_1439
ko:K17103	nmi:NMO_1158
ko:K02029	nmi:NMO_1330
ko:K02169	nmi:NMO_1766
ko:K17686	nmi:NMO_1165
ko:K00254	nmi:NMO_1815
ko:K07090	nmi:NMO_1159
ko:K21344	nmi:NMO_0711
ko:K09796	nmi:NMO_1367
ko:K19339	nmi:NMO_0460
ko:K07171	nmi:NMO_0129
ko:K22132	nmi:NMO_1325
ko:K07316	nmi:NMO_1361
ko:K10747	nmi:NMO_0120
ko:K18893	nmi:NMO_1774
ko:K03526	nmi:NMO_1151
ko:K18991	nmi:NMO_1419
ko:K07172	nmi:NMO_0130
ko:K15342	nmi:NMO_0347
ko:K00020	nmi:NMO_1412
ko:K07062	nmi:NMO_1401
ko:K07280	nmi:NMO_1903
ko:K19342	nmi:NMO_0463
ko:K19337	nmi:NMO_1231
ko:K19416	nmi:NMO_0146
ko:K19340	nmi:NMO_0462
ko:K07280	nmi:NMO_1727
ko:K00992	nmi:NMO_0321
ko:K19784	nmi:NMO_0381
ko:K06132	nmi:NMO_1266
ko:K19804	nmi:NMO_1701
ko:K08992	nmi:NMO_1702
ko:K09788	nmi:NMO_1606
ko:K20455	nmi:NMO_1607
ko:K16066	nmi:NMO_0819
ko:K08968	nmi:NMO_0282
ko:K10026	nmi:NMO_0411
ko:K21929	nmi:NMO_0293
ko:K22292	nmi:NMO_0506
ko:K01834	nmi:NMO_1429
ko:K17758	nmi:NMO_1014
ko:K11206	nmi:NMO_1599
ko:K00590	nmi:NMO_0616
