ko:K07126	hih:NF38_07625
ko:K01951	hih:NF38_04280
ko:K00088	hih:NF38_04285
ko:K03524	hih:NF38_04290
ko:K07648	hih:NF38_04320
ko:K01153	hih:NF38_04330
ko:K01154	hih:NF38_04345
ko:K03427	hih:NF38_04350
ko:K01414	hih:NF38_04355
ko:K09790	hih:NF38_04360
ko:K02035	hih:NF38_04365
ko:K01497	hih:NF38_04370
ko:K01129	hih:NF38_06515
ko:K15738	hih:NF38_06520
ko:K11069	hih:NF38_06525
ko:K11070	hih:NF38_06530
ko:K11071	hih:NF38_06535
ko:K11072	hih:NF38_06540
ko:K01258	hih:NF38_06545
ko:K04047	hih:NF38_06550
ko:K01489	hih:NF38_06555
ko:K11928	hih:NF38_06565
ko:K08301	hih:NF38_06570
ko:K01886	hih:NF38_06575
ko:K09160	hih:NF38_06580
ko:K00705	hih:NF38_06585
ko:K00700	hih:NF38_06590
ko:K00975	hih:NF38_06600
ko:K00703	hih:NF38_06605
ko:K00688	hih:NF38_06610
ko:K00324	hih:NF38_06615
ko:K00325	hih:NF38_06620
ko:K03168	hih:NF38_06630
ko:K01118	hih:NF38_06635
ko:K01868	hih:NF38_06640
ko:K07263	hih:NF38_06645
ko:K00425	hih:NF38_08740
ko:K03578	hih:NF38_08760
ko:K03385	hih:NF38_08765
ko:K04013	hih:NF38_08770
ko:K04014	hih:NF38_08775
ko:K04015	hih:NF38_08780
ko:K09903	hih:NF38_08785
ko:K02372	hih:NF38_08795
ko:K00677	hih:NF38_08800
ko:K00748	hih:NF38_08805
ko:K03470	hih:NF38_08810
ko:K07316	hih:NF38_08815
ko:K01156	hih:NF38_08820
ko:K07306	hih:NF38_08855
ko:K07307	hih:NF38_08860
ko:K07308	hih:NF38_08865
ko:K07133	hih:NF38_08890
ko:K09811	hih:NF38_01095
ko:K09812	hih:NF38_01100
ko:K03110	hih:NF38_01105
ko:K08316	hih:NF38_01110
ko:K03216	hih:NF38_01115
ko:K07270	hih:NF38_01120
ko:K02858	hih:NF38_01125
ko:K06211	hih:NF38_01130
ko:K08306	hih:NF38_01150
ko:K03575	hih:NF38_01160
ko:K02909	hih:NF38_01165
ko:K01834	hih:NF38_01170
ko:K09798	hih:NF38_01180
ko:K07270	hih:NF38_01185
ko:K01952	hih:NF38_01190
ko:K11065	hih:NF38_01195
ko:K01778	hih:NF38_01200
ko:K01356	hih:NF38_01205
ko:K00631	hih:NF38_01210
ko:K03885	hih:NF38_01215
ko:K07792	hih:NF38_01220
ko:K03071	hih:NF38_01230
ko:K15396	hih:NF38_03490
ko:K13643	hih:NF38_03495
ko:K04487	hih:NF38_03500
ko:K04488	hih:NF38_03505
ko:K13628	hih:NF38_03510
ko:K04082	hih:NF38_03515
ko:K06949	hih:NF38_05655
ko:K02784	hih:NF38_05660
ko:K08483	hih:NF38_05665
ko:K07666	hih:NF38_05685
ko:K07645	hih:NF38_05690
ko:K02168	hih:NF38_05695
ko:K01255	hih:NF38_05700
ko:K07091	hih:NF38_05705
ko:K11720	hih:NF38_05710
ko:K00549	hih:NF38_05715
ko:K00785	hih:NF38_05730
ko:K07270	hih:NF38_05740
ko:K07343	hih:NF38_02095
ko:K06199	hih:NF38_02110
ko:K00611	hih:NF38_02120
ko:K00926	hih:NF38_02125
ko:K16087	hih:NF38_02135
ko:K05995	hih:NF38_02145
ko:K03326	hih:NF38_02150
ko:K12940	hih:NF38_02155
ko:K01119	hih:NF38_02160
ko:K03495	hih:NF38_02165
ko:K02950	hih:NF38_02170
ko:K02992	hih:NF38_02175
ko:K02355	hih:NF38_02180
ko:K02358	hih:NF38_02185
ko:K07237	hih:NF38_02190
ko:K07236	hih:NF38_02195
ko:K07235	hih:NF38_02200
ko:K03772	hih:NF38_02210
ko:K03745	hih:NF38_02215
ko:K04761	hih:NF38_02225
ko:K04760	hih:NF38_02235
ko:K01735	hih:NF38_04385
ko:K00891	hih:NF38_04390
ko:K02959	hih:NF38_04405
ko:K02860	hih:NF38_04410
ko:K00554	hih:NF38_04415
ko:K02884	hih:NF38_04420
ko:K01008	hih:NF38_04425
ko:K02560	hih:NF38_04430
ko:K07090	hih:NF38_04435
ko:K07261	hih:NF38_04440
ko:K01736	hih:NF38_04445
ko:K05802	hih:NF38_04450
ko:K01911	hih:NF38_04455
ko:K03645	hih:NF38_04460
ko:K03839	hih:NF38_04470
ko:K03711	hih:NF38_04475
ko:K00262	hih:NF38_04480
ko:K03118	hih:NF38_04485
ko:K03117	hih:NF38_04490
ko:K03116	hih:NF38_04495
ko:K00121	hih:NF38_04505
ko:K01070	hih:NF38_04510
ko:K15257	hih:NF38_06560
ko:K11179	hih:NF38_06660
ko:K14058	hih:NF38_06665
ko:K03633	hih:NF38_06670
ko:K03804	hih:NF38_06685
ko:K03632	hih:NF38_06690
ko:K01141	hih:NF38_06705
ko:K07636	hih:NF38_06710
ko:K07657	hih:NF38_06715
ko:K02036	hih:NF38_06720
ko:K02038	hih:NF38_06725
ko:K02037	hih:NF38_06730
ko:K02040	hih:NF38_06735
ko:K02217	hih:NF38_06740
ko:K02217	hih:NF38_06745
ko:K01657	hih:NF38_06755
ko:K01658	hih:NF38_06760
ko:K00766	hih:NF38_06770
ko:K13498	hih:NF38_06775
ko:K04653	hih:NF38_06780
ko:K01873	hih:NF38_06785
ko:K02221	hih:NF38_08900
ko:K03284	hih:NF38_08905
ko:K09767	hih:NF38_08910
ko:K01079	hih:NF38_08915
ko:K00615	hih:NF38_08920
ko:K01012	hih:NF38_08925
ko:K02062	hih:NF38_08930
ko:K02063	hih:NF38_08935
ko:K02064	hih:NF38_08940
ko:K02237	hih:NF38_08945
ko:K03527	hih:NF38_08950
ko:K03101	hih:NF38_08955
ko:K03770	hih:NF38_08965
ko:K03650	hih:NF38_08970
ko:K03217	hih:NF38_08975
ko:K08998	hih:NF38_08980
ko:K03536	hih:NF38_08985
ko:K02914	hih:NF38_08990
ko:K16087	hih:NF38_09005
ko:K02019	hih:NF38_05755
ko:K02020	hih:NF38_05760
ko:K02018	hih:NF38_05765
ko:K02017	hih:NF38_05770
ko:K03308	hih:NF38_05775
ko:K10773	hih:NF38_05780
ko:K03613	hih:NF38_05785
ko:K09930	hih:NF38_07800
ko:K02006	hih:NF38_07900
ko:K02008	hih:NF38_07905
ko:K02007	hih:NF38_07910
ko:K16915	hih:NF38_07915
ko:K07126	hih:NF38_07930
ko:K09908	hih:NF38_07945
ko:K02897	hih:NF38_07955
ko:K01939	hih:NF38_07985
ko:K00674	hih:NF38_07990
ko:K03604	hih:NF38_07995
ko:K01595	hih:NF38_08000
ko:K06918	hih:NF38_08005
ko:K06173	hih:NF38_08040
ko:K01840	hih:NF38_01235
ko:K02337	hih:NF38_01240
ko:K01754	hih:NF38_01245
ko:K01687	hih:NF38_01250
ko:K01652	hih:NF38_01255
ko:K03308	hih:NF38_01260
ko:K03269	hih:NF38_01270
ko:K00655	hih:NF38_01275
ko:K04744	hih:NF38_01285
ko:K01881	hih:NF38_01290
ko:K03654	hih:NF38_01295
ko:K06202	hih:NF38_01300
ko:K01586	hih:NF38_01305
ko:K07685	hih:NF38_01310
ko:K09894	hih:NF38_01320
ko:K03273	hih:NF38_01350
ko:K02071	hih:NF38_01355
ko:K02072	hih:NF38_01360
ko:K02073	hih:NF38_01365
ko:K04044	hih:NF38_03525
ko:K04755	hih:NF38_03530
ko:K01892	hih:NF38_03545
ko:K15539	hih:NF38_03555
ko:K02656	hih:NF38_03560
ko:K03565	hih:NF38_02105
ko:K06959	hih:NF38_02240
ko:K02470	hih:NF38_02245
ko:K01783	hih:NF38_02250
ko:K01091	hih:NF38_02255
ko:K01914	hih:NF38_02260
ko:K03718	hih:NF38_02265
ko:K04762	hih:NF38_02270
ko:K01082	hih:NF38_02285
ko:K00036	hih:NF38_02290
ko:K01057	hih:NF38_02295
ko:K08987	hih:NF38_02300
ko:K00033	hih:NF38_02310
ko:K01525	hih:NF38_02320
ko:K02528	hih:NF38_02330
ko:K02518	hih:NF38_02335
ko:K02990	hih:NF38_02340
ko:K02686	hih:NF38_02345
ko:K02963	hih:NF38_02350
ko:K02939	hih:NF38_02355
ko:K04077	hih:NF38_02360
ko:K04078	hih:NF38_02365
ko:K01430	hih:NF38_02370
ko:K01429	hih:NF38_02375
ko:K03310	hih:NF38_04515
ko:K00884	hih:NF38_04520
ko:K06212	hih:NF38_04525
ko:K00656	hih:NF38_04530
ko:K04069	hih:NF38_04535
ko:K05807	hih:NF38_04545
ko:K06180	hih:NF38_04550
ko:K05810	hih:NF38_04555
ko:K00566	hih:NF38_04560
ko:K05952	hih:NF38_04565
ko:K03734	hih:NF38_04570
ko:K00351	hih:NF38_04575
ko:K00350	hih:NF38_04580
ko:K00349	hih:NF38_04585
ko:K00348	hih:NF38_04590
ko:K00347	hih:NF38_04595
ko:K00346	hih:NF38_04600
ko:K07286	hih:NF38_04610
ko:K00383	hih:NF38_04615
ko:K01613	hih:NF38_04620
ko:K07040	hih:NF38_04625
ko:K02911	hih:NF38_04630
ko:K00648	hih:NF38_04635
ko:K00645	hih:NF38_04640
ko:K00059	hih:NF38_04645
ko:K02339	hih:NF38_06805
ko:K01679	hih:NF38_06820
ko:K07053	hih:NF38_06830
ko:K00254	hih:NF38_06835
ko:K06941	hih:NF38_03565
ko:K07262	hih:NF38_03570
ko:K11604	hih:NF38_03580
ko:K11607	hih:NF38_03585
ko:K11605	hih:NF38_03590
ko:K11606	hih:NF38_03595
ko:K03707	hih:NF38_03600
ko:K15598	hih:NF38_03605
ko:K15599	hih:NF38_03610
ko:K15600	hih:NF38_03615
ko:K01784	hih:NF38_03625
ko:K08218	hih:NF38_03630
ko:K00939	hih:NF38_03635
ko:K02569	hih:NF38_03640
ko:K02568	hih:NF38_03645
ko:K02574	hih:NF38_03650
ko:K02573	hih:NF38_03655
ko:K02567	hih:NF38_03660
ko:K02570	hih:NF38_03665
ko:K03612	hih:NF38_05790
ko:K03614	hih:NF38_05795
ko:K03615	hih:NF38_05800
ko:K03616	hih:NF38_05805
ko:K03617	hih:NF38_05810
ko:K04774	hih:NF38_05815
ko:K09909	hih:NF38_05820
ko:K03270	hih:NF38_05845
ko:K06041	hih:NF38_05850
ko:K07322	hih:NF38_05855
ko:K03639	hih:NF38_05860
ko:K03637	hih:NF38_05865
ko:K03636	hih:NF38_05870
ko:K03635	hih:NF38_05875
ko:K03808	hih:NF38_05885
ko:K03607	hih:NF38_05890
ko:K03797	hih:NF38_05895
ko:K03424	hih:NF38_05910
ko:K00164	hih:NF38_05920
ko:K03841	hih:NF38_08045
ko:K03303	hih:NF38_08055
ko:K16087	hih:NF38_08060
ko:K01243	hih:NF38_08065
ko:K03673	hih:NF38_08070
ko:K07462	hih:NF38_08075
ko:K03981	hih:NF38_08080
ko:K02836	hih:NF38_08085
ko:K04567	hih:NF38_08090
ko:K00024	hih:NF38_08095
ko:K03402	hih:NF38_08100
ko:K07071	hih:NF38_08105
ko:K00764	hih:NF38_08110
ko:K03558	hih:NF38_08115
ko:K09899	hih:NF38_08120
ko:K00925	hih:NF38_08125
ko:K13788	hih:NF38_08130
ko:K07320	hih:NF38_08140
ko:K13634	hih:NF38_08145
ko:K06178	hih:NF38_08150
ko:K01902	hih:NF38_08160
ko:K01903	hih:NF38_08165
ko:K06968	hih:NF38_08170
ko:K03566	hih:NF38_08175
ko:K00826	hih:NF38_08180
ko:K14237	hih:NF38_04005
ko:K14237	hih:NF38_04020
ko:K14237	hih:NF38_04015
ko:K14237	hih:NF38_04010
ko:K14218	hih:NF38_04030
ko:K14233	hih:NF38_04115
ko:K14228	hih:NF38_04790
ko:K14228	hih:NF38_05045
ko:K14225	hih:NF38_04795
ko:K14225	hih:NF38_05640
ko:K14225	hih:NF38_05055
ko:K14225	hih:NF38_05645
ko:K14230	hih:NF38_04840
ko:K14230	hih:NF38_06425
ko:K01980	hih:NF38_05535
ko:K00052	hih:NF38_00035
ko:K01649	hih:NF38_00040
ko:K12573	hih:NF38_00640
ko:K03695	hih:NF38_00650
ko:K03218	hih:NF38_00645
ko:K04096	hih:NF38_00045
ko:K09861	hih:NF38_00050
ko:K00850	hih:NF38_00060
ko:K03664	hih:NF38_00065
ko:K03557	hih:NF38_00070
ko:K05540	hih:NF38_00075
ko:K02687	hih:NF38_00080
ko:K14392	hih:NF38_00090
ko:K01961	hih:NF38_00100
ko:K02160	hih:NF38_00105
ko:K03786	hih:NF38_00110
ko:K02549	hih:NF38_00115
ko:K01661	hih:NF38_00120
ko:K02968	hih:NF38_00135
ko:K03980	hih:NF38_00140
ko:K11753	hih:NF38_00145
ko:K01870	hih:NF38_00150
ko:K02503	hih:NF38_00155
ko:K01207	hih:NF38_00165
ko:K03212	hih:NF38_00170
ko:K10914	hih:NF38_00175
ko:K09898	hih:NF38_00180
ko:K05501	hih:NF38_00185
ko:K13038	hih:NF38_00195
ko:K03630	hih:NF38_00200
ko:K02902	hih:NF38_00205
ko:K02913	hih:NF38_00210
ko:K00836	hih:NF38_00215
ko:K13745	hih:NF38_00230
ko:K10563	hih:NF38_00235
ko:K04691	hih:NF38_00240
ko:K11752	hih:NF38_00245
ko:K07738	hih:NF38_00250
ko:K03583	hih:NF38_00255
ko:K02681	hih:NF38_00260
ko:K02680	hih:NF38_00270
ko:K02679	hih:NF38_00275
ko:K01092	hih:NF38_00280
ko:K04016	hih:NF38_00285
ko:K02199	hih:NF38_00290
ko:K02200	hih:NF38_00295
ko:K07007	hih:NF38_00300
ko:K01689	hih:NF38_00305
ko:K03781	hih:NF38_00325
ko:K01878	hih:NF38_00330
ko:K01879	hih:NF38_00350
ko:K02340	hih:NF38_00360
ko:K03643	hih:NF38_00365
ko:K01869	hih:NF38_00370
ko:K00806	hih:NF38_00375
ko:K00981	hih:NF38_00380
ko:K11749	hih:NF38_00385
ko:K07277	hih:NF38_00390
ko:K06142	hih:NF38_00395
ko:K02536	hih:NF38_00400
ko:K02357	hih:NF38_00405
ko:K02967	hih:NF38_00410
ko:K11747	hih:NF38_00420
ko:K03574	hih:NF38_00425
ko:K03070	hih:NF38_00430
ko:K11991	hih:NF38_00445
ko:K13292	hih:NF38_00455
ko:K07090	hih:NF38_00460
ko:K08311	hih:NF38_00465
ko:K00931	hih:NF38_00470
ko:K03543	hih:NF38_00480
ko:K03446	hih:NF38_00485
ko:K03591	hih:NF38_00490
ko:K18138	hih:NF38_00495
ko:K03585	hih:NF38_00500
ko:K18136	hih:NF38_00505
ko:K03732	hih:NF38_00510
ko:K09862	hih:NF38_00515
ko:K00859	hih:NF38_00520
ko:K00600	hih:NF38_00525
ko:K01945	hih:NF38_00535
ko:K00602	hih:NF38_00540
ko:K15977	hih:NF38_00545
ko:K04084	hih:NF38_00550
ko:K07773	hih:NF38_00555
ko:K03310	hih:NF38_00560
ko:K09765	hih:NF38_00565
ko:K02523	hih:NF38_00570
ko:K02888	hih:NF38_00575
ko:K02899	hih:NF38_00580
ko:K03979	hih:NF38_00590
ko:K00940	hih:NF38_00595
ko:K07751	hih:NF38_00600
ko:K01915	hih:NF38_00610
ko:K06207	hih:NF38_00620
ko:K00275	hih:NF38_00625
ko:K09125	hih:NF38_00630
ko:K02313	hih:NF38_00005
ko:K02338	hih:NF38_00010
ko:K03629	hih:NF38_00015
ko:K01347	hih:NF38_00020
ko:K01704	hih:NF38_00025
ko:K01703	hih:NF38_00030
ko:K19239	hih:NF38_08035
ko:K18850	hih:NF38_03075
ko:K14230	hih:NF38_00355
ko:K14220	hih:NF38_01140
ko:K14220	hih:NF38_06135
ko:K01985	hih:NF38_01325
ko:K01985	hih:NF38_02075
ko:K01985	hih:NF38_01490
ko:K01985	hih:NF38_05540
ko:K01985	hih:NF38_04310
ko:K01985	hih:NF38_04880
ko:K01980	hih:NF38_01330
ko:K01980	hih:NF38_01495
ko:K00526	hih:NF38_05930
ko:K14218	hih:NF38_01335
ko:K14218	hih:NF38_01500
ko:K14218	hih:NF38_05530
ko:K01977	hih:NF38_01345
ko:K14235	hih:NF38_01475
ko:K14221	hih:NF38_01480
ko:K14221	hih:NF38_04740
ko:K14221	hih:NF38_04745
ko:K10747	hih:NF38_08235
ko:K14238	hih:NF38_01600
ko:K14219	hih:NF38_01925
ko:K14219	hih:NF38_01930
ko:K14234	hih:NF38_01995
ko:K14225	hih:NF38_02000
ko:K14236	hih:NF38_02005
ko:K14234	hih:NF38_02010
ko:K01980	hih:NF38_02080
ko:K14226	hih:NF38_04855
ko:K14219	hih:NF38_04850
ko:K14222	hih:NF38_05050
ko:K01978	hih:NF38_09010
ko:K14228	hih:NF38_06995
ko:K14237	hih:NF38_07655
ko:K14223	hih:NF38_07960
ko:K14223	hih:NF38_07965
ko:K14228	hih:NF38_07970
ko:K14230	hih:NF38_07975
ko:K18893	hih:NF38_08835
ko:K03976	hih:NF38_07045
ko:K03526	hih:NF38_03550
ko:K14742	hih:NF38_03115
ko:K07483	hih:NF38_02600
ko:K07483	hih:NF38_04890
ko:K18829	hih:NF38_00220
ko:K18828	hih:NF38_00225
ko:K03646	hih:NF38_03140
ko:K03746	hih:NF38_07725
ko:K03111	hih:NF38_03230
ko:K18828	hih:NF38_03770
ko:K18829	hih:NF38_03775
ko:K07473	hih:NF38_01580
ko:K03111	hih:NF38_04155
ko:K08364	hih:NF38_08840
ko:K08363	hih:NF38_08845
ko:K03169	hih:NF38_02850
ko:K03674	hih:NF38_07475
ko:K18991	hih:NF38_08830
ko:K19157	hih:NF38_01575
ko:K19226	hih:NF38_08010
ko:K00983	hih:NF38_06255
ko:K04772	hih:NF38_06180
ko:K02777	hih:NF38_05670
ko:K01710	hih:NF38_00605
ko:K00355	hih:NF38_07525
ko:K19228	hih:NF38_08020
ko:K10094	hih:NF38_07920
ko:K07268	hih:NF38_03730
ko:K00557	hih:NF38_00705
ko:K03722	hih:NF38_03120
ko:K19416	hih:NF38_05265
ko:K01096	hih:NF38_04375
ko:K19804	hih:NF38_06015
ko:K07662	hih:NF38_00755
ko:K19810	hih:NF38_03735
ko:K21636	hih:NF38_05100
ko:K11751	hih:NF38_04395
ko:K16066	hih:NF38_07025
ko:K20074	hih:NF38_07320
ko:K01139	hih:NF38_05500
ko:K02438	hih:NF38_06595
ko:K21029	hih:NF38_07135
ko:K01520	hih:NF38_00190
ko:K00560	hih:NF38_00450
ko:K00287	hih:NF38_00475
ko:K00558	hih:NF38_03205
ko:K06866	hih:NF38_05400
ko:K02314	hih:NF38_07665
ko:K01185	hih:NF38_03345
ko:K04068	hih:NF38_08360
ko:K01185	hih:NF38_06300
ko:K06903	hih:NF38_06370
ko:K06223	hih:NF38_04380
ko:K00558	hih:NF38_06675
ko:K00558	hih:NF38_06795
ko:K09961	hih:NF38_06850
ko:K06909	hih:NF38_06855
ko:K03791	hih:NF38_06880
ko:K02316	hih:NF38_02415
ko:K00857	hih:NF38_02430
ko:K02335	hih:NF38_00665
ko:K00525	hih:NF38_05935
ko:K21394	hih:NF38_05220
ko:K21395	hih:NF38_05215
ko:K21393	hih:NF38_05225
ko:K13695	hih:NF38_07355
ko:K21470	hih:NF38_05900
ko:K01420	hih:NF38_07000
ko:K07334	hih:NF38_06150
ko:K10026	hih:NF38_08200
ko:K19591	hih:NF38_03905
ko:K22132	hih:NF38_04830
ko:K22105	hih:NF38_02230
ko:K03595	hih:NF38_05420
ko:K18446	hih:NF38_07765
