ko:K02495	senb:BN855_40700
ko:K02016	senb:BN855_32180
ko:K04653	senb:BN855_32190
ko:K04651	senb:BN855_32200
ko:K09897	senb:BN855_39780
ko:K07391	senb:BN855_39790
ko:K01652	senb:BN855_39800
ko:K11258	senb:BN855_39810
ko:K00826	senb:BN855_39820
ko:K01687	senb:BN855_39830
ko:K01754	senb:BN855_39840
ko:K02521	senb:BN855_39870
ko:K00053	senb:BN855_39880
ko:K03656	senb:BN855_39910
ko:K01524	senb:BN855_39920
ko:K03732	senb:BN855_39930
ko:K03671	senb:BN855_39940
ko:K03628	senb:BN855_39950
ko:K05790	senb:BN855_39970
ko:K02472	senb:BN855_39990
ko:K00973	senb:BN855_40010
ko:K16704	senb:BN855_40020
ko:K02805	senb:BN855_40030
ko:K16693	senb:BN855_40040
ko:K12582	senb:BN855_40050
ko:K02853	senb:BN855_40060
ko:K02498	senb:BN855_40090
ko:K02496	senb:BN855_40100
ko:K01749	senb:BN855_40120
ko:K05851	senb:BN855_40130
ko:K06202	senb:BN855_40140
ko:K01778	senb:BN855_40180
ko:K09921	senb:BN855_40190
ko:K03733	senb:BN855_40200
ko:K03657	senb:BN855_40220
ko:K04047	senb:BN855_8020
ko:K11939	senb:BN855_8040
ko:K11934	senb:BN855_8050
ko:K11924	senb:BN855_8100
ko:K00656	senb:BN855_8210
ko:K04069	senb:BN855_8220
ko:K03750	senb:BN855_8240
ko:K13051	senb:BN855_8250
ko:K13892	senb:BN855_8260
ko:K13889	senb:BN855_8270
ko:K13890	senb:BN855_8280
ko:K13891	senb:BN855_8290
ko:K14441	senb:BN855_8300
ko:K03522	senb:BN855_8350
ko:K00311	senb:BN855_8390
ko:K11534	senb:BN855_8450
ko:K08160	senb:BN855_8470
ko:K11249	senb:BN855_27430
ko:K03648	senb:BN855_27450
ko:K03214	senb:BN855_27460
ko:K03672	senb:BN855_27470
ko:K00998	senb:BN855_27500
ko:K05811	senb:BN855_27510
ko:K03695	senb:BN855_27550
ko:K05810	senb:BN855_27560
ko:K06180	senb:BN855_27570
ko:K05807	senb:BN855_27580
ko:K05809	senb:BN855_27590
ko:K14170	senb:BN855_27600
ko:K14187	senb:BN855_27620
ko:K01626	senb:BN855_27630
ko:K02884	senb:BN855_27670
ko:K00554	senb:BN855_27680
ko:K02860	senb:BN855_27690
ko:K02959	senb:BN855_27700
ko:K03106	senb:BN855_27710
ko:K03687	senb:BN855_27750
ko:K08349	senb:BN855_16150
ko:K02575	senb:BN855_16230
ko:K00370	senb:BN855_16240
ko:K00371	senb:BN855_16250
ko:K00373	senb:BN855_16260
ko:K00675	senb:BN855_16290
ko:K11738	senb:BN855_16310
ko:K03823	senb:BN855_16370
ko:K09936	senb:BN855_16380
ko:K00137	senb:BN855_16440
ko:K08641	senb:BN855_16460
ko:K08303	senb:BN855_16500
ko:K05782	senb:BN855_16520
ko:K16868	senb:BN855_16540
ko:K03304	senb:BN855_16550
ko:K03817	senb:BN855_16570
ko:K02774	senb:BN855_16590
ko:K00341	senb:BN855_24000
ko:K00340	senb:BN855_24010
ko:K00339	senb:BN855_24020
ko:K00338	senb:BN855_24030
ko:K00337	senb:BN855_24040
ko:K00334	senb:BN855_24070
ko:K13378	senb:BN855_24080
ko:K00331	senb:BN855_24090
ko:K00330	senb:BN855_24100
ko:K14260	senb:BN855_24130
ko:K09161	senb:BN855_24170
ko:K09899	senb:BN855_24180
ko:K00925	senb:BN855_24200
ko:K13788	senb:BN855_24210
ko:K00615	senb:BN855_24230
ko:K00615	senb:BN855_24240
ko:K07095	senb:BN855_24310
ko:K07071	senb:BN855_24340
ko:K10017	senb:BN855_24350
ko:K10015	senb:BN855_24360
ko:K10016	senb:BN855_24370
ko:K10013	senb:BN855_24390
ko:K03186	senb:BN855_24420
ko:K01586	senb:BN855_24460
ko:K06714	senb:BN855_24470
ko:K00764	senb:BN855_24480
ko:K03561	senb:BN855_32360
ko:K08325	senb:BN855_32420
ko:K03319	senb:BN855_32440
ko:K00655	senb:BN855_32520
ko:K02621	senb:BN855_32530
ko:K13652	senb:BN855_32540
ko:K03923	senb:BN855_32580
ko:K02622	senb:BN855_32610
ko:K07000	senb:BN855_32620
ko:K03651	senb:BN855_32630
ko:K09920	senb:BN855_32640
ko:K12340	senb:BN855_32660
ko:K07238	senb:BN855_32700
ko:K03673	senb:BN855_32730
ko:K03611	senb:BN855_32740
ko:K03272	senb:BN855_32800
ko:K00982	senb:BN855_32810
ko:K07184	senb:BN855_32830
ko:K03284	senb:BN855_40230
ko:K05786	senb:BN855_40260
ko:K01058	senb:BN855_40280
ko:K03654	senb:BN855_40290
ko:K05835	senb:BN855_40300
ko:K05834	senb:BN855_40310
ko:K03576	senb:BN855_40350
ko:K00549	senb:BN855_40360
ko:K06871	senb:BN855_40380
ko:K01061	senb:BN855_40390
ko:K00757	senb:BN855_40400
ko:K09760	senb:BN855_40410
ko:K03183	senb:BN855_40420
ko:K03690	senb:BN855_40430
ko:K03688	senb:BN855_40440
ko:K03116	senb:BN855_40450
ko:K03117	senb:BN855_40460
ko:K03118	senb:BN855_40470
ko:K03424	senb:BN855_40480
ko:K03182	senb:BN855_40500
ko:K05368	senb:BN855_40510
ko:K01825	senb:BN855_40540
ko:K03753	senb:BN855_40590
ko:K03752	senb:BN855_40600
ko:K09896	senb:BN855_40610
ko:K03673	senb:BN855_40630
ko:K03978	senb:BN855_40670
ko:K09894	senb:BN855_40690
ko:K07712	senb:BN855_40710
ko:K00858	senb:BN855_27760
ko:K03631	senb:BN855_27770
ko:K06186	senb:BN855_27780
ko:K09801	senb:BN855_27790
ko:K03664	senb:BN855_27810
ko:K12543	senb:BN855_27850
ko:K12541	senb:BN855_27860
ko:K12542	senb:BN855_27870
ko:K03745	senb:BN855_35330
ko:K03775	senb:BN855_35340
ko:K07070	senb:BN855_35350
ko:K06158	senb:BN855_35380
ko:K00855	senb:BN855_35430
ko:K07397	senb:BN855_35440
ko:K04095	senb:BN855_35490
ko:K06141	senb:BN855_35520
ko:K00362	senb:BN855_35540
ko:K02598	senb:BN855_35550
ko:K02302	senb:BN855_35560
ko:K01867	senb:BN855_35590
ko:K01091	senb:BN855_35600
ko:K01783	senb:BN855_35610
ko:K03112	senb:BN855_35630
ko:K01735	senb:BN855_35640
ko:K00891	senb:BN855_35650
ko:K02507	senb:BN855_35660
ko:K12291	senb:BN855_35670
ko:K12290	senb:BN855_35680
ko:K12289	senb:BN855_35690
ko:K12288	senb:BN855_35700
ko:K05366	senb:BN855_35710
ko:K08312	senb:BN855_35720
ko:K04762	senb:BN855_35750
ko:K04083	senb:BN855_35760
ko:K01610	senb:BN855_35790
ko:K07638	senb:BN855_35800
ko:K03701	senb:BN855_43240
ko:K13631	senb:BN855_43380
ko:K13639	senb:BN855_43390
ko:K06901	senb:BN855_43420
ko:K14393	senb:BN855_43470
ko:K01895	senb:BN855_43490
ko:K03385	senb:BN855_43500
ko:K04013	senb:BN855_43510
ko:K04014	senb:BN855_43520
ko:K04016	senb:BN855_43540
ko:K11102	senb:BN855_43570
ko:K09994	senb:BN855_43620
ko:K06193	senb:BN855_43640
ko:K03762	senb:BN855_43650
ko:K07643	senb:BN855_43660
ko:K07771	senb:BN855_43670
ko:K03760	senb:BN855_43680
ko:K03759	senb:BN855_43690
ko:K03755	senb:BN855_43700
ko:K07085	senb:BN855_8510
ko:K11073	senb:BN855_8580
ko:K11076	senb:BN855_8590
ko:K11075	senb:BN855_8600
ko:K11074	senb:BN855_8610
ko:K03212	senb:BN855_8630
ko:K09996	senb:BN855_8680
ko:K09999	senb:BN855_8700
ko:K09997	senb:BN855_8710
ko:K11066	senb:BN855_8750
ko:K01620	senb:BN855_8780
ko:K00156	senb:BN855_8790
ko:K11933	senb:BN855_8800
ko:K05601	senb:BN855_8810
ko:K09824	senb:BN855_8850
ko:K13888	senb:BN855_8860
ko:K05685	senb:BN855_8870
ko:K03704	senb:BN855_8880
ko:K06891	senb:BN855_8890
ko:K03694	senb:BN855_8900
ko:K06911	senb:BN855_8940
ko:K02518	senb:BN855_8960
ko:K00684	senb:BN855_8970
ko:K00384	senb:BN855_9000
ko:K02773	senb:BN855_16620
ko:K05876	senb:BN855_16720
ko:K02029	senb:BN855_16810
ko:K02029	senb:BN855_16830
ko:K12262	senb:BN855_16860
ko:K03578	senb:BN855_16880
ko:K01118	senb:BN855_16890
ko:K09978	senb:BN855_16910
ko:K03778	senb:BN855_16940
ko:K03737	senb:BN855_16980
ko:K14058	senb:BN855_17040
ko:K05591	senb:BN855_17050
ko:K16074	senb:BN855_17060
ko:K03558	senb:BN855_24490
ko:K03749	senb:BN855_24500
ko:K11754	senb:BN855_24510
ko:K01963	senb:BN855_24520
ko:K03975	senb:BN855_24530
ko:K06173	senb:BN855_24540
ko:K03473	senb:BN855_24560
ko:K15461	senb:BN855_24650
ko:K09906	senb:BN855_24670
ko:K07090	senb:BN855_24680
ko:K07261	senb:BN855_24690
ko:K01736	senb:BN855_24700
ko:K07320	senb:BN855_24710
ko:K08296	senb:BN855_24730
ko:K06076	senb:BN855_24770
ko:K04754	senb:BN855_24780
ko:K11382	senb:BN855_24860
ko:K12974	senb:BN855_24890
ko:K14261	senb:BN855_24910
ko:K06153	senb:BN855_32850
ko:K01633	senb:BN855_32860
ko:K08591	senb:BN855_32870
ko:K02970	senb:BN855_32890
ko:K03086	senb:BN855_32910
ko:K07229	senb:BN855_32930
ko:K11391	senb:BN855_33000
ko:K07043	senb:BN855_33010
ko:K07862	senb:BN855_33060
ko:K15977	senb:BN855_33130
ko:K06911	senb:BN855_33170
ko:K01752	senb:BN855_33210
ko:K00656	senb:BN855_33220
ko:K03838	senb:BN855_33240
ko:K01754	senb:BN855_33250
ko:K07592	senb:BN855_33260
ko:K00865	senb:BN855_33270
ko:K07708	senb:BN855_40720
ko:K01915	senb:BN855_40730
ko:K06207	senb:BN855_40740
ko:K15922	senb:BN855_40850
ko:K01671	senb:BN855_40880
ko:K08318	senb:BN855_40890
ko:K07058	senb:BN855_40940
ko:K07560	senb:BN855_40950
ko:K02380	senb:BN855_41030
ko:K00123	senb:BN855_41060
ko:K02379	senb:BN855_41070
ko:K03534	senb:BN855_41140
ko:K00848	senb:BN855_41180
ko:K02854	senb:BN855_41210
ko:K09458	senb:BN855_11570
ko:K07082	senb:BN855_11590
ko:K00943	senb:BN855_11600
ko:K02341	senb:BN855_11610
ko:K03424	senb:BN855_11620
ko:K16088	senb:BN855_11650
ko:K02503	senb:BN855_11660
ko:K07337	senb:BN855_11680
ko:K07251	senb:BN855_11690
ko:K01207	senb:BN855_11700
ko:K07000	senb:BN855_11710
ko:K03885	senb:BN855_11720
ko:K12151	senb:BN855_11750
ko:K03723	senb:BN855_11770
ko:K09808	senb:BN855_11790
ko:K09810	senb:BN855_11800
ko:K09808	senb:BN855_11810
ko:K12410	senb:BN855_11830
ko:K09918	senb:BN855_19650
ko:K08289	senb:BN855_19660
ko:K01625	senb:BN855_19680
ko:K01690	senb:BN855_19690
ko:K00036	senb:BN855_19700
ko:K00873	senb:BN855_19720
ko:K02560	senb:BN855_19730
ko:K09817	senb:BN855_19760
ko:K09816	senb:BN855_19770
ko:K03551	senb:BN855_19780
ko:K03550	senb:BN855_19790
ko:K01159	senb:BN855_19840
ko:K08310	senb:BN855_19860
ko:K01876	senb:BN855_19870
ko:K07136	senb:BN855_19900
ko:K15256	senb:BN855_19910
ko:K15257	senb:BN855_19920
ko:K09907	senb:BN855_19940
ko:K01887	senb:BN855_19960
ko:K05515	senb:BN855_19970
ko:K15532	senb:BN855_19980
ko:K03516	senb:BN855_19990
ko:K02400	senb:BN855_20000
ko:K02401	senb:BN855_20010
ko:K03414	senb:BN855_20020
ko:K03413	senb:BN855_20030
ko:K03412	senb:BN855_20040
ko:K03408	senb:BN855_20080
ko:K03407	senb:BN855_20090
ko:K02557	senb:BN855_20100
ko:K02556	senb:BN855_20110
ko:K07733	senb:BN855_27980
ko:K09824	senb:BN855_28140
ko:K07241	senb:BN855_28180
ko:K07649	senb:BN855_28190
ko:K07774	senb:BN855_28200
ko:K07795	senb:BN855_28210
ko:K15737	senb:BN855_28250
ko:K15736	senb:BN855_28260
ko:K11735	senb:BN855_28290
ko:K15735	senb:BN855_28300
ko:K00375	senb:BN855_28410
ko:K07659	senb:BN855_35810
ko:K04760	senb:BN855_35820
ko:K06959	senb:BN855_35830
ko:K04758	senb:BN855_35840
ko:K04759	senb:BN855_35850
ko:K07490	senb:BN855_35860
ko:K02170	senb:BN855_35890
ko:K07400	senb:BN855_35910
ko:K06155	senb:BN855_35920
ko:K00705	senb:BN855_35930
ko:K00688	senb:BN855_35940
ko:K03556	senb:BN855_35950
ko:K02444	senb:BN855_35960
ko:K02439	senb:BN855_35980
ko:K00111	senb:BN855_35990
ko:K02040	senb:BN855_36010
ko:K00005	senb:BN855_36020
ko:K01687	senb:BN855_36040
ko:K00688	senb:BN855_36070
ko:K00703	senb:BN855_36080
ko:K00975	senb:BN855_36090
ko:K00133	senb:BN855_36120
ko:K06156	senb:BN855_36140
ko:K06145	senb:BN855_36160
ko:K06911	senb:BN855_36170
ko:K09936	senb:BN855_36240
ko:K01126	senb:BN855_36280
ko:K01584	senb:BN855_43710
ko:K07406	senb:BN855_43730
ko:K01676	senb:BN855_43750
ko:K07703	senb:BN855_43780
ko:K07701	senb:BN855_43790
ko:K07306	senb:BN855_43800
ko:K09474	senb:BN855_43960
ko:K04084	senb:BN855_43980
ko:K03926	senb:BN855_43990
ko:K07791	senb:BN855_44000
ko:K01744	senb:BN855_44010
ko:K07113	senb:BN855_44020
ko:K16263	senb:BN855_44030
ko:K04078	senb:BN855_44040
ko:K04077	senb:BN855_44050
ko:K02356	senb:BN855_44090
ko:K16347	senb:BN855_44100
ko:K03098	senb:BN855_44140
ko:K00246	senb:BN855_44160
ko:K04568	senb:BN855_44190
ko:K03466	senb:BN855_9020
ko:K03634	senb:BN855_9030
ko:K07478	senb:BN855_9040
ko:K01875	senb:BN855_9050
ko:K07306	senb:BN855_9060
ko:K08219	senb:BN855_9080
ko:K04069	senb:BN855_9100
ko:K00656	senb:BN855_9130
ko:K03430	senb:BN855_4280
ko:K05306	senb:BN855_4290
ko:K03152	senb:BN855_4300
ko:K00077	senb:BN855_4310
ko:K09767	senb:BN855_4320
ko:K02300	senb:BN855_4370
ko:K02299	senb:BN855_4380
ko:K02298	senb:BN855_4390
ko:K02297	senb:BN855_4400
ko:K08218	senb:BN855_4420
ko:K07286	senb:BN855_4430
ko:K05527	senb:BN855_4440
ko:K03545	senb:BN855_4450
ko:K01358	senb:BN855_4460
ko:K03544	senb:BN855_4470
ko:K01338	senb:BN855_4480
ko:K03530	senb:BN855_4490
ko:K03770	senb:BN855_4500
ko:K07637	senb:BN855_12560
ko:K01756	senb:BN855_12580
ko:K07153	senb:BN855_12590
ko:K00566	senb:BN855_12600
ko:K12152	senb:BN855_12610
ko:K06181	senb:BN855_12630
ko:K02402	senb:BN855_20120
ko:K02403	senb:BN855_20130
ko:K14064	senb:BN855_20140
ko:K00697	senb:BN855_20150
ko:K01087	senb:BN855_20160
ko:K02255	senb:BN855_20190
ko:K02217	senb:BN855_20220
ko:K03834	senb:BN855_20240
ko:K07039	senb:BN855_20250
ko:K00995	senb:BN855_20300
ko:K03703	senb:BN855_20310
ko:K07689	senb:BN855_20320
ko:K10010	senb:BN855_20360
ko:K10009	senb:BN855_20370
ko:K02424	senb:BN855_20390
ko:K02425	senb:BN855_20400
ko:K02405	senb:BN855_20410
ko:K02407	senb:BN855_20440
ko:K02422	senb:BN855_20450
ko:K02423	senb:BN855_20460
ko:K07112	senb:BN855_20490
ko:K02408	senb:BN855_20520
ko:K02409	senb:BN855_20540
ko:K02410	senb:BN855_20550
ko:K02411	senb:BN855_20560
ko:K02412	senb:BN855_20570
ko:K02413	senb:BN855_20580
ko:K02000	senb:BN855_28480
ko:K02001	senb:BN855_28490
ko:K02002	senb:BN855_28500
ko:K15974	senb:BN855_28530
ko:K03543	senb:BN855_28540
ko:K09136	senb:BN855_9150
ko:K00831	senb:BN855_9170
ko:K00800	senb:BN855_9180
ko:K07387	senb:BN855_9190
ko:K00945	senb:BN855_9200
ko:K02945	senb:BN855_9210
ko:K05788	senb:BN855_9220
ko:K00912	senb:BN855_9270
ko:K09927	senb:BN855_9280
ko:K09791	senb:BN855_9290
ko:K00979	senb:BN855_9300
ko:K06219	senb:BN855_9330
ko:K03633	senb:BN855_9340
ko:K03804	senb:BN855_9350
ko:K03632	senb:BN855_9360
ko:K01893	senb:BN855_9440
ko:K01751	senb:BN855_9470
ko:K00763	senb:BN855_9500
ko:K14055	senb:BN855_17120
ko:K16052	senb:BN855_17140
ko:K15580	senb:BN855_17310
ko:K14054	senb:BN855_17320
ko:K11065	senb:BN855_17340
ko:K03721	senb:BN855_17350
ko:K08990	senb:BN855_17360
ko:K06918	senb:BN855_17370
ko:K03971	senb:BN855_17390
ko:K03970	senb:BN855_17410
ko:K03969	senb:BN855_17420
ko:K03974	senb:BN855_17430
ko:K00208	senb:BN855_17510
ko:K01147	senb:BN855_17530
ko:K14051	senb:BN855_17540
ko:K04062	senb:BN855_17570
ko:K03113	senb:BN855_17580
ko:K01591	senb:BN855_17590
ko:K03322	senb:BN855_24970
ko:K11535	senb:BN855_24980
ko:K11537	senb:BN855_25050
ko:K03815	senb:BN855_25060
ko:K14347	senb:BN855_25090
ko:K09954	senb:BN855_25100
ko:K01972	senb:BN855_25110
ko:K03528	senb:BN855_25120
ko:K06203	senb:BN855_25130
ko:K01738	senb:BN855_25140
ko:K00868	senb:BN855_25200
ko:K01951	senb:BN855_25220
ko:K12339	senb:BN855_25260
ko:K02045	senb:BN855_25270
ko:K02047	senb:BN855_25280
ko:K02046	senb:BN855_25290
ko:K02048	senb:BN855_25300
ko:K07223	senb:BN855_25320
ko:K01448	senb:BN855_25360
ko:K00228	senb:BN855_25370
ko:K04033	senb:BN855_25400
ko:K04025	senb:BN855_25410
ko:K02769	senb:BN855_33360
ko:K02770	senb:BN855_33360
ko:K16371	senb:BN855_33380
ko:K02773	senb:BN855_33390
ko:K02774	senb:BN855_33400
ko:K07056	senb:BN855_33440
ko:K07121	senb:BN855_33450
ko:K07460	senb:BN855_33460
ko:K05520	senb:BN855_33500
ko:K09979	senb:BN855_33510
ko:K07461	senb:BN855_33520
ko:K03824	senb:BN855_33530
ko:K08303	senb:BN855_33550
ko:K03835	senb:BN855_33580
ko:K05592	senb:BN855_33590
ko:K05803	senb:BN855_33600
ko:K00962	senb:BN855_33610
ko:K02956	senb:BN855_33620
ko:K02834	senb:BN855_33640
ko:K02519	senb:BN855_33650
ko:K02600	senb:BN855_33660
ko:K09748	senb:BN855_33670
ko:K01940	senb:BN855_33680
ko:K03075	senb:BN855_33700
ko:K03431	senb:BN855_33710
ko:K00796	senb:BN855_33720
ko:K03798	senb:BN855_33730
ko:K03624	senb:BN855_33750
ko:K07259	senb:BN855_33770
ko:K03979	senb:BN855_33790
ko:K02899	senb:BN855_33810
ko:K02888	senb:BN855_33820
ko:K02856	senb:BN855_41220
ko:K04564	senb:BN855_41290
ko:K06006	senb:BN855_41350
ko:K00850	senb:BN855_41370
ko:K02048	senb:BN855_41380
ko:K01521	senb:BN855_41390
ko:K00847	senb:BN855_41410
ko:K11216	senb:BN855_41470
ko:K11531	senb:BN855_41480
ko:K10558	senb:BN855_41500
ko:K10556	senb:BN855_41510
ko:K10557	senb:BN855_41520
ko:K10555	senb:BN855_41530
ko:K08321	senb:BN855_41540
ko:K01783	senb:BN855_41560
ko:K01803	senb:BN855_41570
ko:K00528	senb:BN855_41600
ko:K00864	senb:BN855_41620
ko:K02440	senb:BN855_41630
ko:K09892	senb:BN855_41640
ko:K02553	senb:BN855_41660
ko:K02548	senb:BN855_41670
ko:K03667	senb:BN855_41680
ko:K01419	senb:BN855_41690
ko:K03591	senb:BN855_41700
ko:K03446	senb:BN855_28550
ko:K07173	senb:BN855_28580
ko:K01919	senb:BN855_28590
ko:K03563	senb:BN855_28620
ko:K01872	senb:BN855_28630
ko:K03565	senb:BN855_28640
ko:K02781	senb:BN855_28710
ko:K02468	senb:BN855_28740
ko:K02467	senb:BN855_28750
ko:K12266	senb:BN855_28760
ko:K12264	senb:BN855_28770
ko:K12265	senb:BN855_28780
ko:K04656	senb:BN855_28790
ko:K05796	senb:BN855_28800
ko:K08315	senb:BN855_28830
ko:K15834	senb:BN855_28840
ko:K15832	senb:BN855_28850
ko:K15831	senb:BN855_28860
ko:K15830	senb:BN855_28870
ko:K15829	senb:BN855_28880
ko:K15828	senb:BN855_28890
ko:K15827	senb:BN855_28900
ko:K05813	senb:BN855_36320
ko:K07341	senb:BN855_36330
ko:K01996	senb:BN855_36350
ko:K01995	senb:BN855_36360
ko:K01998	senb:BN855_36370
ko:K01997	senb:BN855_36380
ko:K01999	senb:BN855_36390
ko:K01999	senb:BN855_36420
ko:K03089	senb:BN855_36430
ko:K09811	senb:BN855_36440
ko:K09812	senb:BN855_36450
ko:K03110	senb:BN855_36460
ko:K08993	senb:BN855_36480
ko:K01534	senb:BN855_36510
ko:K09125	senb:BN855_36540
ko:K06133	senb:BN855_36580
ko:K07722	senb:BN855_36590
ko:K13926	senb:BN855_36610
ko:K01993	senb:BN855_36620
ko:K07007	senb:BN855_36650
ko:K16322	senb:BN855_36660
ko:K06144	senb:BN855_36670
ko:K03305	senb:BN855_36690
ko:K15984	senb:BN855_36700
ko:K01414	senb:BN855_36710
ko:K07115	senb:BN855_36730
ko:K01613	senb:BN855_44230
ko:K06949	senb:BN855_44240
ko:K13288	senb:BN855_44250
ko:K09996	senb:BN855_44260
ko:K06925	senb:BN855_44290
ko:K01448	senb:BN855_44300
ko:K03572	senb:BN855_44310
ko:K00791	senb:BN855_44320
ko:K03666	senb:BN855_44330
ko:K03665	senb:BN855_44340
ko:K04088	senb:BN855_44350
ko:K04087	senb:BN855_44360
ko:K09937	senb:BN855_44370
ko:K01939	senb:BN855_44380
ko:K13771	senb:BN855_44390
ko:K12573	senb:BN855_44400
ko:K03218	senb:BN855_44410
ko:K09980	senb:BN855_44430
ko:K10716	senb:BN855_44450
ko:K08989	senb:BN855_44470
ko:K09456	senb:BN855_44500
ko:K03477	senb:BN855_44540
ko:K03078	senb:BN855_44590
ko:K02990	senb:BN855_44630
ko:K02686	senb:BN855_44640
ko:K02963	senb:BN855_44650
ko:K02939	senb:BN855_44660
ko:K07269	senb:BN855_44680
ko:K01681	senb:BN855_17640
ko:K13634	senb:BN855_17660
ko:K03168	senb:BN855_17680
ko:K06178	senb:BN855_17730
ko:K07053	senb:BN855_17750
ko:K01657	senb:BN855_17760
ko:K13497	senb:BN855_17770
ko:K13498	senb:BN855_17780
ko:K01696	senb:BN855_17790
ko:K01695	senb:BN855_17800
ko:K07217	senb:BN855_17840
ko:K07275	senb:BN855_17850
ko:K06940	senb:BN855_17860
ko:K06190	senb:BN855_17880
ko:K10806	senb:BN855_17890
ko:K03832	senb:BN855_17900
ko:K09780	senb:BN855_17910
ko:K06131	senb:BN855_17930
ko:K09901	senb:BN855_17940
ko:K10716	senb:BN855_17950
ko:K15581	senb:BN855_17990
ko:K15580	senb:BN855_18000
ko:K04072	senb:BN855_18030
ko:K00963	senb:BN855_18060
ko:K07001	senb:BN855_18080
ko:K09858	senb:BN855_18090
ko:K01433	senb:BN855_18100
ko:K04026	senb:BN855_25420
ko:K03736	senb:BN855_25430
ko:K03735	senb:BN855_25440
ko:K04019	senb:BN855_25450
ko:K04023	senb:BN855_25460
ko:K04022	senb:BN855_25470
ko:K04024	senb:BN855_25480
ko:K04021	senb:BN855_25490
ko:K04027	senb:BN855_25510
ko:K04020	senb:BN855_25520
ko:K04032	senb:BN855_25530
ko:K04030	senb:BN855_25540
ko:K04029	senb:BN855_25550
ko:K04031	senb:BN855_25560
ko:K00029	senb:BN855_25570
ko:K00615	senb:BN855_25590
ko:K12945	senb:BN855_25620
ko:K07674	senb:BN855_25650
ko:K06957	senb:BN855_25700
ko:K01923	senb:BN855_25720
ko:K07287	senb:BN855_25730
ko:K01714	senb:BN855_25740
ko:K03567	senb:BN855_25750
ko:K03564	senb:BN855_25760
ko:K00865	senb:BN855_25770
ko:K02647	senb:BN855_25790
ko:K10763	senb:BN855_25830
ko:K00761	senb:BN855_25850
ko:K01933	senb:BN855_25870
ko:K11175	senb:BN855_25880
ko:K00937	senb:BN855_25890
ko:K01524	senb:BN855_25900
ko:K02523	senb:BN855_33830
ko:K00790	senb:BN855_33850
ko:K07122	senb:BN855_33870
ko:K07323	senb:BN855_33880
ko:K02066	senb:BN855_33900
ko:K02065	senb:BN855_33910
ko:K07301	senb:BN855_33920
ko:K06041	senb:BN855_33930
ko:K03270	senb:BN855_33940
ko:K11719	senb:BN855_33950
ko:K09774	senb:BN855_33960
ko:K06861	senb:BN855_33970
ko:K03092	senb:BN855_33980
ko:K05808	senb:BN855_33990
ko:K06958	senb:BN855_34010
ko:K03814	senb:BN855_34040
ko:K07648	senb:BN855_34060
ko:K07139	senb:BN855_34070
ko:K00266	senb:BN855_34090
ko:K10974	senb:BN855_34110
ko:K00885	senb:BN855_34140
ko:K03290	senb:BN855_34160
ko:K03600	senb:BN855_34190
ko:K03599	senb:BN855_34200
ko:K02996	senb:BN855_34210
ko:K02871	senb:BN855_34220
ko:K06916	senb:BN855_34230
ko:K09908	senb:BN855_34240
ko:K04691	senb:BN855_34260
ko:K01573	senb:BN855_34300
ko:K03780	senb:BN855_34310
ko:K04066	senb:BN855_41720
ko:K02909	senb:BN855_41730
ko:K03764	senb:BN855_41770
ko:K12525	senb:BN855_41790
ko:K00297	senb:BN855_41840
ko:K03782	senb:BN855_41850
ko:K09974	senb:BN855_41860
ko:K00005	senb:BN855_41870
ko:K08483	senb:BN855_41890
ko:K02237	senb:BN855_4510
ko:K12500	senb:BN855_4520
ko:K06920	senb:BN855_4530
ko:K11938	senb:BN855_4550
ko:K01738	senb:BN855_4560
ko:K05800	senb:BN855_4570
ko:K04752	senb:BN855_4610
ko:K03320	senb:BN855_4620
ko:K10805	senb:BN855_4630
ko:K09914	senb:BN855_4640
ko:K07443	senb:BN855_4650
ko:K02909	senb:BN855_4670
ko:K03577	senb:BN855_4740
ko:K05802	senb:BN855_4760
ko:K09790	senb:BN855_4810
ko:K00759	senb:BN855_4820
ko:K02343	senb:BN855_4830
ko:K09747	senb:BN855_4840
ko:K06187	senb:BN855_4850
ko:K04079	senb:BN855_4860
ko:K01772	senb:BN855_4890
ko:K00892	senb:BN855_4910
ko:K08223	senb:BN855_4930
ko:K09973	senb:BN855_4960
ko:K07340	senb:BN855_5000
ko:K02068	senb:BN855_5020
ko:K02069	senb:BN855_5030
ko:K00031	senb:BN855_12640
ko:K07804	senb:BN855_12730
ko:K04080	senb:BN855_12770
ko:K02034	senb:BN855_12860
ko:K11250	senb:BN855_12990
ko:K09712	senb:BN855_13060
ko:K03449	senb:BN855_13100
ko:K02415	senb:BN855_20600
ko:K02416	senb:BN855_20610
ko:K02417	senb:BN855_20620
ko:K02418	senb:BN855_20630
ko:K02419	senb:BN855_20640
ko:K02420	senb:BN855_20650
ko:K02421	senb:BN855_20660
ko:K07781	senb:BN855_20670
ko:K07026	senb:BN855_20700
ko:K09781	senb:BN855_20730
ko:K07458	senb:BN855_20750
ko:K06950	senb:BN855_20770
ko:K03704	senb:BN855_20820
ko:K09933	senb:BN855_20860
ko:K01241	senb:BN855_20960
ko:K00768	senb:BN855_21010
ko:K02233	senb:BN855_21020
ko:K02231	senb:BN855_21030
ko:K02232	senb:BN855_21040
ko:K02006	senb:BN855_21050
ko:K15833	senb:BN855_28920
ko:K04651	senb:BN855_28940
ko:K04653	senb:BN855_28960
ko:K04654	senb:BN855_28970
