ko:K01006	ftr:NE061598_01425
ko:K07277	ftr:NE061598_08820
ko:K00099	ftr:NE061598_08825
ko:K02469	ftr:NE061598_08830
ko:K03648	ftr:NE061598_08845
ko:K07461	ftr:NE061598_08860
ko:K04754	ftr:NE061598_08925
ko:K01676	ftr:NE061598_08985
ko:K03655	ftr:NE061598_09000
ko:K02902	ftr:NE061598_09010
ko:K02913	ftr:NE061598_09015
ko:K03610	ftr:NE061598_09020
ko:K03609	ftr:NE061598_09025
ko:K03608	ftr:NE061598_09030
ko:K02065	ftr:NE061598_09035
ko:K02066	ftr:NE061598_09040
ko:K01883	ftr:NE061598_09085
ko:K07320	ftr:NE061598_09090
ko:K18552	ftr:NE061598_10045
ko:K00122	ftr:NE061598_09595
ko:K11900	ftr:NE061598_09955
ko:K11901	ftr:NE061598_09960
ko:K06179	ftr:NE061598_00305
ko:K00241	ftr:NE061598_00395
ko:K02074	ftr:NE061598_01190
ko:K02077	ftr:NE061598_01195
ko:K00700	ftr:NE061598_02300
ko:K01835	ftr:NE061598_02305
ko:K01585	ftr:NE061598_02410
ko:K11179	ftr:NE061598_02555
ko:K04774	ftr:NE061598_02565
ko:K01409	ftr:NE061598_00840
ko:K04763	ftr:NE061598_00875
ko:K02238	ftr:NE061598_01020
ko:K02238	ftr:NE061598_01025
ko:K07052	ftr:NE061598_01100
ko:K01679	ftr:NE061598_01720
ko:K01885	ftr:NE061598_01725
ko:K02342	ftr:NE061598_03105
ko:K04518	ftr:NE061598_03285
ko:K19416	ftr:NE061598_03700
ko:K07126	ftr:NE061598_02020
ko:K13628	ftr:NE061598_03305
ko:K03469	ftr:NE061598_03370
ko:K01424	ftr:NE061598_03375
ko:K01262	ftr:NE061598_03485
ko:K02433	ftr:NE061598_00120
ko:K03711	ftr:NE061598_00170
ko:K09806	ftr:NE061598_00245
ko:K00974	ftr:NE061598_00615
ko:K11085	ftr:NE061598_00620
ko:K01619	ftr:NE061598_00645
ko:K03317	ftr:NE061598_00650
ko:K03442	ftr:NE061598_00770
ko:K02050	ftr:NE061598_01500
ko:K02049	ftr:NE061598_01505
ko:K07114	ftr:NE061598_01650
ko:K07114	ftr:NE061598_01655
ko:K07114	ftr:NE061598_01660
ko:K00101	ftr:NE061598_01705
ko:K01424	ftr:NE061598_02590
ko:K01525	ftr:NE061598_02625
ko:K03548	ftr:NE061598_02670
ko:K06201	ftr:NE061598_02755
ko:K01424	ftr:NE061598_02770
ko:K14232	ftr:NE061598_t10544
ko:K07305	ftr:NE061598_05045
ko:K02427	ftr:NE061598_05225
ko:K00949	ftr:NE061598_09745
ko:K00088	ftr:NE061598_09750
ko:K01489	ftr:NE061598_09800
ko:K16013	ftr:NE061598_09840
ko:K16012	ftr:NE061598_09845
ko:K07386	ftr:NE061598_07005
ko:K01759	ftr:NE061598_07025
ko:K01934	ftr:NE061598_07065
ko:K01104	ftr:NE061598_03620
ko:K03769	ftr:NE061598_08225
ko:K03316	ftr:NE061598_08325
ko:K16053	ftr:NE061598_05690
ko:K03784	ftr:NE061598_04400
ko:K09966	ftr:NE061598_04450
ko:K01784	ftr:NE061598_04545
ko:K07025	ftr:NE061598_04590
ko:K02446	ftr:NE061598_09175
ko:K03498	ftr:NE061598_09215
ko:K00569	ftr:NE061598_09350
ko:K01507	ftr:NE061598_05890
ko:K07258	ftr:NE061598_05895
ko:K14219	ftr:NE061598_t10546
ko:K00059	ftr:NE061598_07625
ko:K01092	ftr:NE061598_07670
ko:K01719	ftr:NE061598_07815
ko:K16052	ftr:NE061598_02650
ko:K00027	ftr:NE061598_05250
ko:K00845	ftr:NE061598_05340
ko:K00652	ftr:NE061598_05365
ko:K03342	ftr:NE061598_05410
ko:K00383	ftr:NE061598_05475
ko:K01580	ftr:NE061598_10020
ko:K03316	ftr:NE061598_10150
ko:K03616	ftr:NE061598_03720
ko:K03455	ftr:NE061598_03830
ko:K10563	ftr:NE061598_03960
ko:K00567	ftr:NE061598_08485
ko:K03177	ftr:NE061598_08720
ko:K02428	ftr:NE061598_08755
ko:K02067	ftr:NE061598_07220
ko:K01916	ftr:NE061598_07270
ko:K00058	ftr:NE061598_07120
ko:K01784	ftr:NE061598_08165
ko:K01488	ftr:NE061598_08190
ko:K00616	ftr:NE061598_06300
ko:K01424	ftr:NE061598_04605
ko:K03560	ftr:NE061598_04800
ko:K03316	ftr:NE061598_09415
ko:K00845	ftr:NE061598_09635
ko:K00639	ftr:NE061598_04070
ko:K01156	ftr:NE061598_08850
ko:K07316	ftr:NE061598_08865
ko:K02067	ftr:NE061598_09045
ko:K03499	ftr:NE061598_05555
ko:K03574	ftr:NE061598_05645
ko:K03593	ftr:NE061598_05700
ko:K00135	ftr:NE061598_10210
ko:K05524	ftr:NE061598_10275
ko:K07304	ftr:NE061598_10470
ko:K02653	ftr:NE061598_06535
ko:K02665	ftr:NE061598_06685
ko:K00939	ftr:NE061598_06705
ko:K02533	ftr:NE061598_07390
ko:K02806	ftr:NE061598_07395
ko:K14235	ftr:NE061598_t10532
ko:K01183	ftr:NE061598_10295
ko:K14223	ftr:NE061598_t10534
ko:K14218	ftr:NE061598_t10556
ko:K14218	ftr:NE061598_t10590
ko:K14218	ftr:NE061598_t10580
ko:K14230	ftr:NE061598_t10576
ko:K14234	ftr:NE061598_t10596
ko:K15583	ftr:NE061598_00710
ko:K07394	ftr:NE061598_07920
ko:K00956	ftr:NE061598_06015
ko:K01840	ftr:NE061598_08075
ko:K11733	ftr:NE061598_09185
ko:K01069	ftr:NE061598_07800
ko:K19561	ftr:NE061598_05390
ko:K01990	ftr:NE061598_04160
ko:K12262	ftr:NE061598_01250
ko:K12262	ftr:NE061598_10240
ko:K14219	ftr:NE061598_t10578
ko:K14230	ftr:NE061598_t10522
ko:K14228	ftr:NE061598_t10524
ko:K14236	ftr:NE061598_t10526
ko:K14225	ftr:NE061598_t10528
ko:K14234	ftr:NE061598_t10530
ko:K14224	ftr:NE061598_t10536
ko:K01985	ftr:NE061598_r10598
ko:K14237	ftr:NE061598_t10538
ko:K14237	ftr:NE061598_t10584
ko:K14233	ftr:NE061598_t10540
ko:K14231	ftr:NE061598_t10542
ko:K14226	ftr:NE061598_t10548
ko:K14228	ftr:NE061598_t10550
ko:K14233	ftr:NE061598_t10552
ko:K14237	ftr:NE061598_t10554
ko:K01985	ftr:NE061598_r10600
ko:K01985	ftr:NE061598_r10604
ko:K01985	ftr:NE061598_r10602
ko:K01980	ftr:NE061598_r10612
ko:K01980	ftr:NE061598_r10616
ko:K01980	ftr:NE061598_r10614
ko:K14227	ftr:NE061598_t10558
ko:K14227	ftr:NE061598_t10592
ko:K14227	ftr:NE061598_t10582
ko:K01977	ftr:NE061598_r10606
ko:K01977	ftr:NE061598_r10610
ko:K01977	ftr:NE061598_r10608
ko:K14228	ftr:NE061598_t10560
ko:K14222	ftr:NE061598_t10562
ko:K14225	ftr:NE061598_t10564
ko:K14225	ftr:NE061598_t10572
ko:K14220	ftr:NE061598_t10566
ko:K14228	ftr:NE061598_t10568
ko:K14219	ftr:NE061598_t10570
ko:K14230	ftr:NE061598_t10574
ko:K14233	ftr:NE061598_t10586
ko:K14229	ftr:NE061598_t10588
ko:K14221	ftr:NE061598_t10594
ko:K00568	ftr:NE061598_08920
ko:K10823	ftr:NE061598_00715
ko:K03321	ftr:NE061598_09860
ko:K07323	ftr:NE061598_09050
ko:K07122	ftr:NE061598_09055
ko:K00971	ftr:NE061598_08080
ko:K02073	ftr:NE061598_06490
ko:K02072	ftr:NE061598_06490
ko:K02075	ftr:NE061598_01185
ko:K02473	ftr:NE061598_08150
ko:K09810	ftr:NE061598_02260
ko:K17713	ftr:NE061598_00935
ko:K03574	ftr:NE061598_04710
ko:K01582	ftr:NE061598_02265
ko:K00951	ftr:NE061598_08430
ko:K01897	ftr:NE061598_07245
ko:K01897	ftr:NE061598_08545
ko:K01990	ftr:NE061598_08000
ko:K01992	ftr:NE061598_07995
ko:K08316	ftr:NE061598_09780
ko:K03671	ftr:NE061598_05595
ko:K17836	ftr:NE061598_03890
ko:K07263	ftr:NE061598_09770
ko:K11928	ftr:NE061598_09170
ko:K01658	ftr:NE061598_05415
ko:K01658	ftr:NE061598_10500
ko:K00537	ftr:NE061598_04715
ko:K00537	ftr:NE061598_08540
ko:K00128	ftr:NE061598_03135
ko:K17836	ftr:NE061598_03495
ko:K00254	ftr:NE061598_09275
ko:K12978	ftr:NE061598_09190
ko:K01011	ftr:NE061598_10175
ko:K07645	ftr:NE061598_00525
ko:K00632	ftr:NE061598_08560
ko:K18138	ftr:NE061598_00595
ko:K06148	ftr:NE061598_04555
ko:K03585	ftr:NE061598_00600
ko:K02650	ftr:NE061598_05115
ko:K18284	ftr:NE061598_02215
ko:K04744	ftr:NE061598_04240
ko:K01895	ftr:NE061598_04350
ko:K00122	ftr:NE061598_10135
ko:K01299	ftr:NE061598_10335
ko:K07666	ftr:NE061598_08735
ko:K07461	ftr:NE061598_08100
ko:K09794	ftr:NE061598_08580
ko:K00574	ftr:NE061598_08675
ko:K00425	ftr:NE061598_00515
ko:K00135	ftr:NE061598_00030
ko:K03316	ftr:NE061598_03460
ko:K03316	ftr:NE061598_03465
ko:K07260	ftr:NE061598_03110
ko:K03462	ftr:NE061598_08585
ko:K00681	ftr:NE061598_06840
ko:K03427	ftr:NE061598_02950
ko:K18800	ftr:NE061598_07050
ko:K12308	ftr:NE061598_02395
ko:K03427	ftr:NE061598_02955
ko:K03646	ftr:NE061598_04805
ko:K04565	ftr:NE061598_05050
ko:K03496	ftr:NE061598_05200
ko:K03497	ftr:NE061598_05205
ko:K03111	ftr:NE061598_10195
ko:K03674	ftr:NE061598_03020
ko:K00335	ftr:NE061598_00200
ko:K03526	ftr:NE061598_03475
ko:K02663	ftr:NE061598_06695
ko:K02664	ftr:NE061598_06690
ko:K13004	ftr:NE061598_08160
ko:K13003	ftr:NE061598_08140
ko:K13713	ftr:NE061598_05135
ko:K09951	ftr:NE061598_03345
ko:K01710	ftr:NE061598_08095
ko:K22468	ftr:NE061598_08775
ko:K00336	ftr:NE061598_00205
ko:K01183	ftr:NE061598_04075
ko:K00020	ftr:NE061598_09380
ko:K01992	ftr:NE061598_04165
ko:K00526	ftr:NE061598_03015
ko:K03676	ftr:NE061598_03015
ko:K03271	ftr:NE061598_09470
ko:K19810	ftr:NE061598_04305
ko:K05770	ftr:NE061598_06385
ko:K20265	ftr:NE061598_02065
ko:K20265	ftr:NE061598_08500
ko:K20265	ftr:NE061598_05550
ko:K20265	ftr:NE061598_02675
ko:K00507	ftr:NE061598_00845
ko:K00507	ftr:NE061598_08710
ko:K20534	ftr:NE061598_07990
ko:K01932	ftr:NE061598_04615
ko:K22132	ftr:NE061598_03050
ko:K01200	ftr:NE061598_02295
ko:K21053	ftr:NE061598_05380
ko:K00558	ftr:NE061598_00060
ko:K02335	ftr:NE061598_00630
ko:K00287	ftr:NE061598_01750
ko:K01520	ftr:NE061598_01785
ko:K13522	ftr:NE061598_02160
ko:K06217	ftr:NE061598_03530
ko:K03553	ftr:NE061598_10185
ko:K02316	ftr:NE061598_05945
ko:K02314	ftr:NE061598_06075
ko:K06197	ftr:NE061598_06620
ko:K00560	ftr:NE061598_07115
ko:K00857	ftr:NE061598_03550
ko:K02483	ftr:NE061598_08640
ko:K03293	ftr:NE061598_05060
ko:K00525	ftr:NE061598_03025
ko:K01139	ftr:NE061598_04630
ko:K21600	ftr:NE061598_03145
ko:K04103	ftr:NE061598_10155
ko:K21712	ftr:NE061598_04670
ko:K21829	ftr:NE061598_04875
ko:K22116	ftr:NE061598_04620
ko:K03595	ftr:NE061598_06735
ko:K02257	ftr:NE061598_01610
ko:K13566	ftr:NE061598_07895
