ko:K01006	lmol:LMOL312_1876
ko:K01714	lmol:LMOL312_1433
ko:K00928	lmol:LMOL312_1434
ko:K00133	lmol:LMOL312_1435
ko:K04564	lmol:LMOL312_1437
ko:K09816	lmol:LMOL312_1444
ko:K09817	lmol:LMOL312_1445
ko:K01151	lmol:LMOL312_1447
ko:K03527	lmol:LMOL312_1449
ko:K06967	lmol:LMOL312_1451
ko:K03086	lmol:LMOL312_1452
ko:K09768	lmol:LMOL312_1454
ko:K09773	lmol:LMOL312_1455
ko:K01879	lmol:LMOL312_1456
ko:K01878	lmol:LMOL312_1457
ko:K03584	lmol:LMOL312_1458
ko:K07042	lmol:LMOL312_1463
ko:K07037	lmol:LMOL312_1464
ko:K09117	lmol:LMOL312_1466
ko:K02970	lmol:LMOL312_1467
ko:K09761	lmol:LMOL312_1468
ko:K02687	lmol:LMOL312_1469
ko:K03686	lmol:LMOL312_1470
ko:K04758	lmol:LMOL312_2118
ko:K04759	lmol:LMOL312_2119
ko:K01443	lmol:LMOL312_2123
ko:K01809	lmol:LMOL312_2125
ko:K02003	lmol:LMOL312_2130
ko:K03431	lmol:LMOL312_2134
ko:K01624	lmol:LMOL312_2150
ko:K01624	lmol:LMOL312_2151
ko:K01875	lmol:LMOL312_2714
ko:K06978	lmol:LMOL312_2723
ko:K03654	lmol:LMOL312_2725
ko:K01223	lmol:LMOL312_2729
ko:K02760	lmol:LMOL312_2730
ko:K02761	lmol:LMOL312_2731
ko:K02759	lmol:LMOL312_2733
ko:K01919	lmol:LMOL312_2738
ko:K01223	lmol:LMOL312_2739
ko:K02003	lmol:LMOL312_2742
ko:K06942	lmol:LMOL312_2747
ko:K02759	lmol:LMOL312_2748
ko:K05349	lmol:LMOL312_2749
ko:K02760	lmol:LMOL312_2750
ko:K02761	lmol:LMOL312_2751
ko:K03781	lmol:LMOL312_2753
ko:K02389	lmol:LMOL312_0708
ko:K02390	lmol:LMOL312_0709
ko:K02417	lmol:LMOL312_0710
ko:K02416	lmol:LMOL312_0711
ko:K02417	lmol:LMOL312_0712
ko:K09770	lmol:LMOL312_0715
ko:K02396	lmol:LMOL312_0717
ko:K02397	lmol:LMOL312_0718
ko:K02407	lmol:LMOL312_0719
ko:K02422	lmol:LMOL312_0720
ko:K02387	lmol:LMOL312_0722
ko:K02388	lmol:LMOL312_0723
ko:K02408	lmol:LMOL312_0724
ko:K02409	lmol:LMOL312_0725
ko:K02410	lmol:LMOL312_0726
ko:K02411	lmol:LMOL312_0727
ko:K02412	lmol:LMOL312_0728
ko:K00820	lmol:LMOL312_0738
ko:K07726	lmol:LMOL312_0745
ko:K15975	lmol:LMOL312_0759
ko:K04043	lmol:LMOL312_1471
ko:K03687	lmol:LMOL312_1472
ko:K03705	lmol:LMOL312_1473
ko:K03596	lmol:LMOL312_1477
ko:K02968	lmol:LMOL312_1478
ko:K02340	lmol:LMOL312_1479
ko:K02237	lmol:LMOL312_1482
ko:K09710	lmol:LMOL312_1484
ko:K00969	lmol:LMOL312_1486
ko:K07574	lmol:LMOL312_1487
ko:K00014	lmol:LMOL312_1488
ko:K07015	lmol:LMOL312_1490
ko:K03624	lmol:LMOL312_1494
ko:K00876	lmol:LMOL312_1495
ko:K07082	lmol:LMOL312_1497
ko:K07447	lmol:LMOL312_1500
ko:K01872	lmol:LMOL312_1502
ko:K02003	lmol:LMOL312_1503
ko:K03581	lmol:LMOL312_1507
ko:K00566	lmol:LMOL312_1510
ko:K04487	lmol:LMOL312_1511
ko:K07478	lmol:LMOL312_1512
ko:K03320	lmol:LMOL312_1514
ko:K04751	lmol:LMOL312_1515
ko:K01876	lmol:LMOL312_1517
ko:K01892	lmol:LMOL312_1518
ko:K01448	lmol:LMOL312_1519
ko:K03710	lmol:LMOL312_2162
ko:K03671	lmol:LMOL312_2170
ko:K08177	lmol:LMOL312_2189
ko:K08600	lmol:LMOL312_2200
ko:K02013	lmol:LMOL312_2201
ko:K02015	lmol:LMOL312_2202
ko:K02016	lmol:LMOL312_2203
ko:K08602	lmol:LMOL312_2207
ko:K03501	lmol:LMOL312_2767
ko:K03495	lmol:LMOL312_2775
ko:K03650	lmol:LMOL312_2776
ko:K08170	lmol:LMOL312_2783
ko:K00831	lmol:LMOL312_2790
ko:K07078	lmol:LMOL312_2794
ko:K00865	lmol:LMOL312_2797
ko:K16509	lmol:LMOL312_2210
ko:K03699	lmol:LMOL312_2705
ko:K06198	lmol:LMOL312_2208
ko:K16511	lmol:LMOL312_2209
ko:K03696	lmol:LMOL312_0230
ko:K04485	lmol:LMOL312_0231
ko:K00991	lmol:LMOL312_0233
ko:K01770	lmol:LMOL312_0234
ko:K00640	lmol:LMOL312_0236
ko:K01883	lmol:LMOL312_0237
ko:K11145	lmol:LMOL312_0238
ko:K03218	lmol:LMOL312_0239
ko:K06962	lmol:LMOL312_0240
ko:K03091	lmol:LMOL312_0241
ko:K03073	lmol:LMOL312_0242
ko:K02601	lmol:LMOL312_0243
ko:K02867	lmol:LMOL312_0245
ko:K02863	lmol:LMOL312_0246
ko:K02864	lmol:LMOL312_0247
ko:K02935	lmol:LMOL312_0248
ko:K00690	lmol:LMOL312_0256
ko:K03043	lmol:LMOL312_0258
ko:K03046	lmol:LMOL312_0259
ko:K01223	lmol:LMOL312_0261
ko:K15975	lmol:LMOL312_0272
ko:K02034	lmol:LMOL312_0274
ko:K01223	lmol:LMOL312_0277
ko:K02002	lmol:LMOL312_1017
ko:K00243	lmol:LMOL312_1020
ko:K11622	lmol:LMOL312_1021
ko:K02529	lmol:LMOL312_1031
ko:K00615	lmol:LMOL312_1033
ko:K00615	lmol:LMOL312_1034
ko:K00864	lmol:LMOL312_1035
ko:K03752	lmol:LMOL312_1039
ko:K02018	lmol:LMOL312_1041
ko:K02020	lmol:LMOL312_1042
ko:K03750	lmol:LMOL312_1043
ko:K03753	lmol:LMOL312_1044
ko:K03636	lmol:LMOL312_1046
ko:K03637	lmol:LMOL312_1047
ko:K03639	lmol:LMOL312_1048
ko:K03638	lmol:LMOL312_1049
ko:K01462	lmol:LMOL312_1052
ko:K00161	lmol:LMOL312_1053
ko:K00162	lmol:LMOL312_1054
ko:K00627	lmol:LMOL312_1055
ko:K00382	lmol:LMOL312_1056
ko:K03284	lmol:LMOL312_1061
ko:K06207	lmol:LMOL312_1064
ko:K00266	lmol:LMOL312_1740
ko:K08317	lmol:LMOL312_1744
ko:K02029	lmol:LMOL312_1747
ko:K01486	lmol:LMOL312_1749
ko:K02003	lmol:LMOL312_1754
ko:K00891	lmol:LMOL312_1756
ko:K03215	lmol:LMOL312_1758
ko:K02434	lmol:LMOL312_1761
ko:K02435	lmol:LMOL312_1763
ko:K01972	lmol:LMOL312_1765
ko:K03657	lmol:LMOL312_1766
ko:K03308	lmol:LMOL312_1768
ko:K01945	lmol:LMOL312_1771
ko:K00602	lmol:LMOL312_1772
ko:K11175	lmol:LMOL312_1773
ko:K01933	lmol:LMOL312_1774
ko:K00764	lmol:LMOL312_1775
ko:K01952	lmol:LMOL312_1776
ko:K01952	lmol:LMOL312_1777
ko:K01952	lmol:LMOL312_1778
ko:K01923	lmol:LMOL312_1779
ko:K01756	lmol:LMOL312_1780
ko:K01589	lmol:LMOL312_1781
ko:K01588	lmol:LMOL312_1782
ko:K05566	lmol:LMOL312_2341
ko:K05567	lmol:LMOL312_2342
ko:K05569	lmol:LMOL312_2344
ko:K05571	lmol:LMOL312_2346
ko:K09775	lmol:LMOL312_2348
ko:K03885	lmol:LMOL312_2352
ko:K07090	lmol:LMOL312_2365
ko:K09014	lmol:LMOL312_2369
ko:K11717	lmol:LMOL312_2371
ko:K09015	lmol:LMOL312_2372
ko:K09013	lmol:LMOL312_2373
ko:K02073	lmol:LMOL312_2375
ko:K02313	lmol:LMOL312_0001
ko:K10778	lmol:LMOL312_0083
ko:K02110	lmol:LMOL312_0092
ko:K02113	lmol:LMOL312_0093
ko:K02111	lmol:LMOL312_0094
ko:K02115	lmol:LMOL312_0095
ko:K02112	lmol:LMOL312_0096
ko:K02114	lmol:LMOL312_0097
ko:K01448	lmol:LMOL312_0134
ko:K05592	lmol:LMOL312_0866
ko:K02759	lmol:LMOL312_0874
ko:K02760	lmol:LMOL312_0875
ko:K02761	lmol:LMOL312_0876
ko:K00231	lmol:LMOL312_0884
ko:K00997	lmol:LMOL312_0885
ko:K01775	lmol:LMOL312_0886
ko:K07723	lmol:LMOL312_0887
ko:K03321	lmol:LMOL312_0897
ko:K06959	lmol:LMOL312_0898
ko:K02761	lmol:LMOL312_0903
ko:K03439	lmol:LMOL312_1617
ko:K00824	lmol:LMOL312_1621
ko:K01695	lmol:LMOL312_1629
ko:K01696	lmol:LMOL312_1630
ko:K01817	lmol:LMOL312_1631
ko:K01609	lmol:LMOL312_1632
ko:K00766	lmol:LMOL312_1633
ko:K01657	lmol:LMOL312_1635
ko:K04072	lmol:LMOL312_1636
ko:K01246	lmol:LMOL312_1641
ko:K01681	lmol:LMOL312_1643
ko:K03547	lmol:LMOL312_1648
ko:K00655	lmol:LMOL312_1649
ko:K02357	lmol:LMOL312_1660
ko:K02967	lmol:LMOL312_1661
ko:K01232	lmol:LMOL312_2315
ko:K02759	lmol:LMOL312_2318
ko:K02760	lmol:LMOL312_2319
ko:K02761	lmol:LMOL312_2320
ko:K01421	lmol:LMOL312_2321
ko:K01810	lmol:LMOL312_2328
ko:K14155	lmol:LMOL312_2331
ko:K02003	lmol:LMOL312_2333
ko:K02760	lmol:LMOL312_2334
ko:K00928	lmol:LMOL312_2335
ko:K07106	lmol:LMOL312_1665
ko:K06975	lmol:LMOL312_0139
ko:K02034	lmol:LMOL312_0142
ko:K09817	lmol:LMOL312_0156
ko:K09816	lmol:LMOL312_0157
ko:K02341	lmol:LMOL312_0164
ko:K07461	lmol:LMOL312_0168
ko:K07056	lmol:LMOL312_0169
ko:K06284	lmol:LMOL312_0170
ko:K01874	lmol:LMOL312_0175
ko:K03424	lmol:LMOL312_0183
ko:K05985	lmol:LMOL312_0185
ko:K02528	lmol:LMOL312_0186
ko:K00919	lmol:LMOL312_0188
ko:K02760	lmol:LMOL312_0916
ko:K02761	lmol:LMOL312_0917
ko:K02759	lmol:LMOL312_0918
ko:K01223	lmol:LMOL312_0919
ko:K07089	lmol:LMOL312_0922
ko:K03652	lmol:LMOL312_0929
ko:K03800	lmol:LMOL312_0932
ko:K03216	lmol:LMOL312_0936
ko:K04079	lmol:LMOL312_0942
ko:K04047	lmol:LMOL312_0943
ko:K03449	lmol:LMOL312_0947
ko:K01443	lmol:LMOL312_0956
ko:K03710	lmol:LMOL312_0958
ko:K08303	lmol:LMOL312_0961
ko:K03744	lmol:LMOL312_0962
ko:K03799	lmol:LMOL312_0963
ko:K01869	lmol:LMOL312_1667
ko:K07139	lmol:LMOL312_1668
ko:K01953	lmol:LMOL312_1670
ko:K00789	lmol:LMOL312_1671
ko:K08998	lmol:LMOL312_1677
ko:K01911	lmol:LMOL312_1679
ko:K01661	lmol:LMOL312_1680
ko:K02551	lmol:LMOL312_1682
ko:K02548	lmol:LMOL312_1684
ko:K00549	lmol:LMOL312_1688
ko:K02003	lmol:LMOL312_0192
ko:K06412	lmol:LMOL312_0194
ko:K06412	lmol:LMOL312_0195
ko:K04042	lmol:LMOL312_0196
ko:K00948	lmol:LMOL312_0197
ko:K01114	lmol:LMOL312_0203
ko:K02897	lmol:LMOL312_0208
ko:K01056	lmol:LMOL312_0210
ko:K03723	lmol:LMOL312_0211
ko:K07571	lmol:LMOL312_0215
ko:K03798	lmol:LMOL312_0217
ko:K03525	lmol:LMOL312_0218
ko:K04083	lmol:LMOL312_0219
ko:K01738	lmol:LMOL312_0220
ko:K00796	lmol:LMOL312_0222
ko:K01633	lmol:LMOL312_0223
ko:K00950	lmol:LMOL312_0224
ko:K04567	lmol:LMOL312_0226
ko:K00858	lmol:LMOL312_0968
ko:K06180	lmol:LMOL312_0969
ko:K00208	lmol:LMOL312_0970
ko:K03740	lmol:LMOL312_0971
ko:K14188	lmol:LMOL312_0972
ko:K03739	lmol:LMOL312_0973
ko:K03367	lmol:LMOL312_0974
ko:K01807	lmol:LMOL312_0976
ko:K00826	lmol:LMOL312_0979
ko:K00432	lmol:LMOL312_0984
ko:K02837	lmol:LMOL312_0989
ko:K05823	lmol:LMOL312_1013
ko:K02000	lmol:LMOL312_1015
ko:K02001	lmol:LMOL312_1016
ko:K01845	lmol:LMOL312_1692
ko:K10780	lmol:LMOL312_1695
ko:K03575	lmol:LMOL312_1696
ko:K07038	lmol:LMOL312_1697
ko:K03565	lmol:LMOL312_1700
ko:K07071	lmol:LMOL312_1701
ko:K14205	lmol:LMOL312_1702
ko:K03790	lmol:LMOL312_1705
ko:K07058	lmol:LMOL312_1713
ko:K01265	lmol:LMOL312_1716
ko:K03839	lmol:LMOL312_1717
ko:K03569	lmol:LMOL312_1720
ko:K02759	lmol:LMOL312_1726
ko:K02760	lmol:LMOL312_1727
ko:K02529	lmol:LMOL312_1734
ko:K05349	lmol:LMOL312_1736
ko:K10254	lmol:LMOL312_0483
ko:K02428	lmol:LMOL312_1227
ko:K04750	lmol:LMOL312_1237
ko:K03486	lmol:LMOL312_1250
ko:K01226	lmol:LMOL312_1251
ko:K04517	lmol:LMOL312_1934
ko:K00805	lmol:LMOL312_1940
ko:K00805	lmol:LMOL312_1942
ko:K01104	lmol:LMOL312_1945
ko:K01424	lmol:LMOL312_1950
ko:K03783	lmol:LMOL312_1963
ko:K04763	lmol:LMOL312_1965
ko:K03711	lmol:LMOL312_1966
ko:K02035	lmol:LMOL312_2528
ko:K02004	lmol:LMOL312_2540
ko:K03593	lmol:LMOL312_2550
ko:K02775	lmol:LMOL312_0512
ko:K01222	lmol:LMOL312_0530
ko:K01222	lmol:LMOL312_0544
ko:K01635	lmol:LMOL312_0547
ko:K03713	lmol:LMOL312_1295
ko:K09976	lmol:LMOL312_1303
ko:K09764	lmol:LMOL312_1322
ko:K01515	lmol:LMOL312_1975
ko:K00784	lmol:LMOL312_1980
ko:K01619	lmol:LMOL312_1998
ko:K02793	lmol:LMOL312_2000
ko:K07720	lmol:LMOL312_2013
ko:K09704	lmol:LMOL312_2016
ko:K01191	lmol:LMOL312_2017
ko:K01191	lmol:LMOL312_2018
ko:K01426	lmol:LMOL312_2563
ko:K00939	lmol:LMOL312_2571
ko:K00805	lmol:LMOL312_2600
ko:K00805	lmol:LMOL312_2601
ko:K01470	lmol:LMOL312_2606
ko:K07048	lmol:LMOL312_2607
ko:K03475	lmol:LMOL312_2608
ko:K02822	lmol:LMOL312_2609
ko:K02851	lmol:LMOL312_0959
ko:K02782	lmol:LMOL312_0551
ko:K02783	lmol:LMOL312_0551
ko:K02783	lmol:LMOL312_0552
ko:K07404	lmol:LMOL312_0566
ko:K01523	lmol:LMOL312_0569
ko:K01496	lmol:LMOL312_0570
ko:K03492	lmol:LMOL312_0583
ko:K07030	lmol:LMOL312_0598
ko:K03177	lmol:LMOL312_1324
ko:K01934	lmol:LMOL312_1332
ko:K00845	lmol:LMOL312_1335
ko:K02249	lmol:LMOL312_1337
ko:K02248	lmol:LMOL312_1338
ko:K02246	lmol:LMOL312_1340
ko:K02245	lmol:LMOL312_1341
ko:K02244	lmol:LMOL312_1342
ko:K02243	lmol:LMOL312_1343
ko:K01262	lmol:LMOL312_1350
ko:K00929	lmol:LMOL312_1366
ko:K00033	lmol:LMOL312_1373
ko:K07105	lmol:LMOL312_2024
ko:K08724	lmol:LMOL312_2052
ko:K08152	lmol:LMOL312_2056
ko:K07177	lmol:LMOL312_2064
ko:K02775	lmol:LMOL312_2631
ko:K10947	lmol:LMOL312_0607
ko:K06147	lmol:LMOL312_0615
ko:K06147	lmol:LMOL312_0616
ko:K07025	lmol:LMOL312_0639
ko:K03294	lmol:LMOL312_0650
ko:K07104	lmol:LMOL312_0651
ko:K01823	lmol:LMOL312_1380
ko:K02056	lmol:LMOL312_1387
ko:K00059	lmol:LMOL312_1392
ko:K02443	lmol:LMOL312_1403
ko:K00626	lmol:LMOL312_1412
ko:K01641	lmol:LMOL312_1413
ko:K06902	lmol:LMOL312_1415
ko:K05845	lmol:LMOL312_1420
ko:K05846	lmol:LMOL312_1420
ko:K07052	lmol:LMOL312_2084
ko:K06889	lmol:LMOL312_2088
ko:K01409	lmol:LMOL312_2089
ko:K05020	lmol:LMOL312_2106
ko:K00882	lmol:LMOL312_2109
ko:K02775	lmol:LMOL312_2110
ko:K00625	lmol:LMOL312_2117
ko:K00851	lmol:LMOL312_2679
ko:K16012	lmol:LMOL312_2682
ko:K16013	lmol:LMOL312_2683
ko:K04750	lmol:LMOL312_2691
ko:K01191	lmol:LMOL312_2701
ko:K08161	lmol:LMOL312_2708
ko:K00616	lmol:LMOL312_2710
ko:K07457	lmol:LMOL312_0666
ko:K00575	lmol:LMOL312_0695
ko:K00383	lmol:LMOL312_1431
ko:K07533	lmol:LMOL312_1442
ko:K02076	lmol:LMOL312_1443
ko:K07052	lmol:LMOL312_2144
ko:K07343	lmol:LMOL312_2713
ko:K03342	lmol:LMOL312_2717
ko:K15986	lmol:LMOL312_1446
ko:K07258	lmol:LMOL312_2722
ko:K00088	lmol:LMOL312_2726
ko:K02755	lmol:LMOL312_2740
ko:K02756	lmol:LMOL312_2740
ko:K02757	lmol:LMOL312_2740
ko:K03488	lmol:LMOL312_2741
ko:K02004	lmol:LMOL312_2743
ko:K03491	lmol:LMOL312_2752
ko:K01489	lmol:LMOL312_1461
ko:K00158	lmol:LMOL312_0734
ko:K03406	lmol:LMOL312_0735
ko:K02238	lmol:LMOL312_1480
ko:K06948	lmol:LMOL312_1489
ko:K01243	lmol:LMOL312_1492
ko:K02004	lmol:LMOL312_1504
ko:K07035	lmol:LMOL312_2163
ko:K01759	lmol:LMOL312_2186
ko:K01026	lmol:LMOL312_2190
ko:K02798	lmol:LMOL312_2762
ko:K02799	lmol:LMOL312_2764
ko:K02800	lmol:LMOL312_2764
ko:K01788	lmol:LMOL312_2766
ko:K00059	lmol:LMOL312_2780
ko:K00058	lmol:LMOL312_2789
ko:K04844	lmol:LMOL312_2798
ko:K02025	lmol:LMOL312_2803
ko:K07098	lmol:LMOL312_2121
ko:K02004	lmol:LMOL312_2131
ko:K00691	lmol:LMOL312_2138
ko:K00657	lmol:LMOL312_0009
ko:K00869	lmol:LMOL312_0011
ko:K00938	lmol:LMOL312_0012
ko:K02793	lmol:LMOL312_0024
ko:K07098	lmol:LMOL312_0763
ko:K09704	lmol:LMOL312_0765
ko:K02795	lmol:LMOL312_0781
ko:K02793	lmol:LMOL312_0783
ko:K03976	lmol:LMOL312_0790
ko:K03316	lmol:LMOL312_0802
ko:K11072	lmol:LMOL312_0806
ko:K11071	lmol:LMOL312_0807
ko:K11069	lmol:LMOL312_0809
ko:K01674	lmol:LMOL312_0810
ko:K00016	lmol:LMOL312_1532
ko:K04518	lmol:LMOL312_1534
ko:K07584	lmol:LMOL312_1539
ko:K02236	lmol:LMOL312_1549
ko:K01719	lmol:LMOL312_1555
ko:K11144	lmol:LMOL312_1560
ko:K03346	lmol:LMOL312_1561
ko:K10563	lmol:LMOL312_1564
ko:K10823	lmol:LMOL312_2211
ko:K15583	lmol:LMOL312_2212
ko:K15582	lmol:LMOL312_2213
ko:K06976	lmol:LMOL312_2228
ko:K07533	lmol:LMOL312_2238
ko:K03698	lmol:LMOL312_2239
ko:K01679	lmol:LMOL312_2244
ko:K12555	lmol:LMOL312_2248
ko:K01629	lmol:LMOL312_2811
ko:K01813	lmol:LMOL312_2812
ko:K06610	lmol:LMOL312_2814
ko:K06346	lmol:LMOL312_2817
ko:K02793	lmol:LMOL312_0100
ko:K02794	lmol:LMOL312_0100
ko:K02795	lmol:LMOL312_0101
ko:K06147	lmol:LMOL312_0112
ko:K06147	lmol:LMOL312_0113
ko:K01081	lmol:LMOL312_0135
ko:K09167	lmol:LMOL312_0882
ko:K08981	lmol:LMOL312_0883
ko:K07315	lmol:LMOL312_0892
ko:K03090	lmol:LMOL312_0895
ko:K05518	lmol:LMOL312_0896
ko:K03095	lmol:LMOL312_0899
ko:K03492	lmol:LMOL312_0904
ko:K00383	lmol:LMOL312_0908
ko:K01439	lmol:LMOL312_1622
ko:K02564	lmol:LMOL312_2313
ko:K03491	lmol:LMOL312_2316
ko:K03478	lmol:LMOL312_2317
ko:K01580	lmol:LMOL312_2324
ko:K07570	lmol:LMOL312_2330
ko:K02004	lmol:LMOL312_2332
ko:K03768	lmol:LMOL312_2338
ko:K02795	lmol:LMOL312_0026
ko:K06201	lmol:LMOL312_0029
ko:K02755	lmol:LMOL312_0030
ko:K02756	lmol:LMOL312_0030
ko:K02757	lmol:LMOL312_0030
ko:K01478	lmol:LMOL312_0051
ko:K07706	lmol:LMOL312_0058
ko:K02371	lmol:LMOL312_0813
ko:K00054	lmol:LMOL312_0827
ko:K06147	lmol:LMOL312_0837
ko:K07784	lmol:LMOL312_0838
ko:K01426	lmol:LMOL312_0849
ko:K02025	lmol:LMOL312_0860
ko:K01226	lmol:LMOL312_0862
ko:K06286	lmol:LMOL312_1594
ko:K06889	lmol:LMOL312_2280
ko:K00882	lmol:LMOL312_2291
ko:K03436	lmol:LMOL312_2292
ko:K01372	lmol:LMOL312_2293
ko:K16329	lmol:LMOL312_2295
ko:K06183	lmol:LMOL312_2297
ko:K00135	lmol:LMOL312_0915
ko:K00088	lmol:LMOL312_0137
ko:K02035	lmol:LMOL312_0140
ko:K02033	lmol:LMOL312_0141
ko:K02035	lmol:LMOL312_0153
ko:K09815	lmol:LMOL312_0155
ko:K01182	lmol:LMOL312_0182
ko:K03478	lmol:LMOL312_0189
ko:K09685	lmol:LMOL312_0190
ko:K03491	lmol:LMOL312_0920
ko:K00867	lmol:LMOL312_0924
ko:K01104	lmol:LMOL312_0939
ko:K02564	lmol:LMOL312_0957
ko:K07816	lmol:LMOL312_0967
ko:K00016	lmol:LMOL312_1674
ko:K09815	lmol:LMOL312_1678
ko:K08680	lmol:LMOL312_1681
ko:K02552	lmol:LMOL312_1683
ko:K01760	lmol:LMOL312_1686
ko:K09825	lmol:LMOL312_1690
ko:K02005	lmol:LMOL312_0191
ko:K02004	lmol:LMOL312_0193
ko:K01771	lmol:LMOL312_0199
ko:K11031	lmol:LMOL312_0200
ko:K00016	lmol:LMOL312_0207
ko:K03708	lmol:LMOL312_0227
ko:K00567	lmol:LMOL312_0997
ko:K03697	lmol:LMOL312_0998
ko:K07052	lmol:LMOL312_0999
ko:K11189	lmol:LMOL312_1003
ko:K08483	lmol:LMOL312_1004
ko:K00841	lmol:LMOL312_1007
ko:K05822	lmol:LMOL312_1012
ko:K07586	lmol:LMOL312_1694
ko:K09963	lmol:LMOL312_1725
ko:K02025	lmol:LMOL312_1738
ko:K07504	lmol:LMOL312_1724
ko:K09698	lmol:LMOL312_0235
ko:K00564	lmol:LMOL312_0249
ko:K01182	lmol:LMOL312_0255
ko:K01439	lmol:LMOL312_0270
ko:K06201	lmol:LMOL312_1019
ko:K11617	lmol:LMOL312_1022
ko:K11618	lmol:LMOL312_1023
ko:K03499	lmol:LMOL312_1024
ko:K02755	lmol:LMOL312_1036
ko:K02756	lmol:LMOL312_1036
ko:K02757	lmol:LMOL312_1036
ko:K02017	lmol:LMOL312_1040
ko:K03635	lmol:LMOL312_1045
ko:K01092	lmol:LMOL312_1063
ko:K02004	lmol:LMOL312_1753
ko:K02433	lmol:LMOL312_1762
ko:K07094	lmol:LMOL312_1767
ko:K05565	lmol:LMOL312_2340
ko:K05568	lmol:LMOL312_2343
ko:K05570	lmol:LMOL312_2345
ko:K00657	lmol:LMOL312_2361
ko:K04488	lmol:LMOL312_2370
ko:K08969	lmol:LMOL312_0293
ko:K07668	lmol:LMOL312_0294
ko:K07652	lmol:LMOL312_0295
ko:K03491	lmol:LMOL312_0304
ko:K01958	lmol:LMOL312_1069
ko:K09693	lmol:LMOL312_1072
ko:K01916	lmol:LMOL312_1087
ko:K06889	lmol:LMOL312_1112
ko:K00059	lmol:LMOL312_1816
ko:K01258	lmol:LMOL312_1787
ko:K07030	lmol:LMOL312_1823
ko:K00949	lmol:LMOL312_1826
ko:K01580	lmol:LMOL312_2393
ko:K03488	lmol:LMOL312_2395
ko:K07032	lmol:LMOL312_2396
ko:K06994	lmol:LMOL312_2423
ko:K01104	lmol:LMOL312_1808
ko:K09787	lmol:LMOL312_1810
ko:K16644	lmol:LMOL312_0202
ko:K07213	lmol:LMOL312_1861
ko:K03784	lmol:LMOL312_1865
ko:K03810	lmol:LMOL312_1867
ko:K07305	lmol:LMOL312_1868
ko:K07304	lmol:LMOL312_1869
ko:K09762	lmol:LMOL312_2432
ko:K01835	lmol:LMOL312_2435
ko:K01785	lmol:LMOL312_2436
ko:K01784	lmol:LMOL312_2437
ko:K06023	lmol:LMOL312_2443
ko:K07658	lmol:LMOL312_2461
ko:K02242	lmol:LMOL312_2472
ko:K00616	lmol:LMOL312_0341
ko:K00244	lmol:LMOL312_0354
ko:K13921	lmol:LMOL312_1153
ko:K04720	lmol:LMOL312_1156
ko:K02823	lmol:LMOL312_1843
ko:K05937	lmol:LMOL312_0388
ko:K02004	lmol:LMOL312_0406
ko:K02824	lmol:LMOL312_1848
ko:K15770	lmol:LMOL312_2142
ko:K15524	lmol:LMOL312_0412
ko:K03399	lmol:LMOL312_1183
ko:K02190	lmol:LMOL312_1189
ko:K02009	lmol:LMOL312_1192
ko:K02004	lmol:LMOL312_1211
ko:K06994	lmol:LMOL312_1213
ko:K03471	lmol:LMOL312_1215
ko:K03469	lmol:LMOL312_1890
ko:K03700	lmol:LMOL312_1901
ko:K02086	lmol:LMOL312_1905
ko:K00974	lmol:LMOL312_1915
ko:K00027	lmol:LMOL312_1925
ko:K01759	lmol:LMOL312_0417
ko:K02240	lmol:LMOL312_2473
ko:K07692	lmol:LMOL312_2475
ko:K02549	lmol:LMOL312_2480
ko:K02116	lmol:LMOL312_2496
ko:K07027	lmol:LMOL312_2512
ko:K03048	lmol:LMOL312_2519
ko:K07729	lmol:LMOL312_0427
ko:K15770	lmol:LMOL312_0252
ko:K15772	lmol:LMOL312_0254
ko:K13730	lmol:LMOL312_0449
ko:K13731	lmol:LMOL312_0450
ko:K07979	lmol:LMOL312_2260
ko:K15772	lmol:LMOL312_2140
ko:K15771	lmol:LMOL312_2141
ko:K16786	lmol:LMOL312_2561
ko:K02768	lmol:LMOL312_0434
ko:K02026	lmol:LMOL312_0178
ko:K02025	lmol:LMOL312_0766
ko:K16787	lmol:LMOL312_2560
ko:K16785	lmol:LMOL312_2559
ko:K09681	lmol:LMOL312_1742
ko:K00980	lmol:LMOL312_1085
ko:K16789	lmol:LMOL312_1427
ko:K01838	lmol:LMOL312_2796
ko:K02768	lmol:LMOL312_0409
ko:K02768	lmol:LMOL312_2154
ko:K02025	lmol:LMOL312_0177
ko:K13052	lmol:LMOL312_0214
ko:K10947	lmol:LMOL312_0731
ko:K03574	lmol:LMOL312_1623
ko:K16785	lmol:LMOL312_2594
ko:K03574	lmol:LMOL312_2329
ko:K02768	lmol:LMOL312_0356
ko:K11050	lmol:LMOL312_0987
ko:K16651	lmol:LMOL312_1157
ko:K02851	lmol:LMOL312_2479
ko:K16898	lmol:LMOL312_2285
ko:K14219	lmol:LMOL312_tRNA08
ko:K14219	lmol:LMOL312_tRNA32
ko:K01834	lmol:LMOL312_2224
ko:K02030	lmol:LMOL312_1745
ko:K02006	lmol:LMOL312_1194
ko:K01271	lmol:LMOL312_1578
ko:K02226	lmol:LMOL312_1136
ko:K11991	lmol:LMOL312_2686
ko:K00951	lmol:LMOL312_1521
ko:K10974	lmol:LMOL312_0467
ko:K01985	lmol:LMOL312_rRNA03
ko:K01985	lmol:LMOL312_rRNA13
ko:K01985	lmol:LMOL312_rRNA06
