ko:K18923	vcr:VC395_A0438
ko:K11907	vcr:VC395_A0109
ko:K07140	vcr:VC395_A0949
ko:K01465	vcr:VC395_A0950
ko:K03212	vcr:VC395_A0954
ko:K09781	vcr:VC395_A0955
ko:K03704	vcr:VC395_A0958
ko:K02444	vcr:VC395_A0965
ko:K03415	vcr:VC395_A0979
ko:K01638	vcr:VC395_A0982
ko:K06911	vcr:VC395_A0994
ko:K09913	vcr:VC395_A0995
ko:K06946	vcr:VC395_1921
ko:K07733	vcr:VC395_1924
ko:K01669	vcr:VC395_1929
ko:K11202	vcr:VC395_1936
ko:K11203	vcr:VC395_1936
ko:K02906	vcr:VC395_2709
ko:K02946	vcr:VC395_2710
ko:K03218	vcr:VC395_2711
ko:K12573	vcr:VC395_2712
ko:K07014	vcr:VC395_2713
ko:K01939	vcr:VC395_2715
ko:K13051	vcr:VC395_2716
ko:K03775	vcr:VC395_2717
ko:K07070	vcr:VC395_2718
ko:K06158	vcr:VC395_2721
ko:K00855	vcr:VC395_2726
ko:K06447	vcr:VC395_2729
ko:K00673	vcr:VC395_2730
ko:K14441	vcr:VC395_2733
ko:K01867	vcr:VC395_2736
ko:K01091	vcr:VC395_2737
ko:K01783	vcr:VC395_2738
ko:K03112	vcr:VC395_2740
ko:K01735	vcr:VC395_2741
ko:K00891	vcr:VC395_2742
ko:K02666	vcr:VC395_2743
ko:K02662	vcr:VC395_2747
ko:K05366	vcr:VC395_2748
ko:K04761	vcr:VC395_2749
ko:K00382	vcr:VC395_2751
ko:K01940	vcr:VC395_2755
ko:K00930	vcr:VC395_2756
ko:K00145	vcr:VC395_2757
ko:K01438	vcr:VC395_2758
ko:K01595	vcr:VC395_2759
ko:K11925	vcr:VC395_A0736
ko:K16087	vcr:VC395_A0739
ko:K01921	vcr:VC395_A0743
ko:K03113	vcr:VC395_A0745
ko:K09917	vcr:VC395_A0756
ko:K00325	vcr:VC395_A0761
ko:K00324	vcr:VC395_A0762
ko:K06193	vcr:VC395_A0775
ko:K01696	vcr:VC395_1289
ko:K13498	vcr:VC395_1290
ko:K00766	vcr:VC395_1291
ko:K01657	vcr:VC395_1293
ko:K07053	vcr:VC395_1296
ko:K06178	vcr:VC395_1298
ko:K00384	vcr:VC395_1301
ko:K01923	vcr:VC395_1309
ko:K01745	vcr:VC395_1321
ko:K01712	vcr:VC395_1322
ko:K01468	vcr:VC395_1324
ko:K05836	vcr:VC395_1325
ko:K09901	vcr:VC395_1327
ko:K02356	vcr:VC395_1328
ko:K02336	vcr:VC395_1331
ko:K07689	vcr:VC395_1332
ko:K03703	vcr:VC395_1333
ko:K00995	vcr:VC395_1334
ko:K03828	vcr:VC395_1336
ko:K01889	vcr:VC395_1338
ko:K00133	vcr:VC395_2151
ko:K03315	vcr:VC395_2152
ko:K06899	vcr:VC395_2154
ko:K09904	vcr:VC395_2155
ko:K07014	vcr:VC395_2156
ko:K07390	vcr:VC395_2159
ko:K04564	vcr:VC395_2160
ko:K04754	vcr:VC395_2163
ko:K02199	vcr:VC395_2166
ko:K02198	vcr:VC395_2167
ko:K02197	vcr:VC395_2168
ko:K02196	vcr:VC395_2169
ko:K02195	vcr:VC395_2170
ko:K02194	vcr:VC395_2171
ko:K03408	vcr:VC395_2174
ko:K03408	vcr:VC395_2175
ko:K03412	vcr:VC395_2177
ko:K03407	vcr:VC395_2178
ko:K03414	vcr:VC395_2179
ko:K03413	vcr:VC395_2180
ko:K02405	vcr:VC395_2181
ko:K04562	vcr:VC395_2182
ko:K02404	vcr:VC395_2183
ko:K02400	vcr:VC395_2184
ko:K08296	vcr:VC395_2185
ko:K09907	vcr:VC395_2188
ko:K01887	vcr:VC395_2189
ko:K04759	vcr:VC395_2192
ko:K04758	vcr:VC395_2193
ko:K09817	vcr:VC395_2197
ko:K09816	vcr:VC395_2198
ko:K01902	vcr:VC395_2199
ko:K01903	vcr:VC395_2200
ko:K11909	vcr:VC395_A0111
ko:K11910	vcr:VC395_A0112
ko:K11911	vcr:VC395_A0114
ko:K06726	vcr:VC395_A0120
ko:K10441	vcr:VC395_A0121
ko:K02529	vcr:VC395_A0125
ko:K03811	vcr:VC395_A0126
ko:K00757	vcr:VC395_A0127
ko:K01126	vcr:VC395_A0129
ko:K02445	vcr:VC395_A0130
ko:K10126	vcr:VC395_A0135
ko:K07080	vcr:VC395_A0137
ko:K15736	vcr:VC395_A0140
ko:K01462	vcr:VC395_A0143
ko:K05571	vcr:VC395_A0145
ko:K05569	vcr:VC395_A0147
ko:K05567	vcr:VC395_A0149
ko:K03835	vcr:VC395_A0153
ko:K01667	vcr:VC395_A0154
ko:K09954	vcr:VC395_A0156
ko:K03704	vcr:VC395_A0159
ko:K03303	vcr:VC395_A1007
ko:K09773	vcr:VC395_A1010
ko:K03675	vcr:VC395_A1016
ko:K10680	vcr:VC395_A1017
ko:K13529	vcr:VC395_A1042
ko:K15977	vcr:VC395_A1043
ko:K09897	vcr:VC395_A1045
ko:K05775	vcr:VC395_A1050
ko:K02024	vcr:VC395_A1051
ko:K00759	vcr:VC395_1067
ko:K02343	vcr:VC395_1068
ko:K09747	vcr:VC395_1069
ko:K06187	vcr:VC395_1070
ko:K06940	vcr:VC395_1071
ko:K09160	vcr:VC395_1072
ko:K01738	vcr:VC395_1075
ko:K05800	vcr:VC395_1076
ko:K10805	vcr:VC395_1077
ko:K09914	vcr:VC395_1078
ko:K07443	vcr:VC395_1079
ko:K00134	vcr:VC395_1084
ko:K07566	vcr:VC395_1094
ko:K03410	vcr:VC395_1098
ko:K02044	vcr:VC395_1104
ko:K15580	vcr:VC395_1106
ko:K15581	vcr:VC395_1107
ko:K13788	vcr:VC395_1112
ko:K00925	vcr:VC395_1113
ko:K09899	vcr:VC395_1114
ko:K07039	vcr:VC395_1121
ko:K02768	vcr:VC395_1941
ko:K02769	vcr:VC395_1941
ko:K02770	vcr:VC395_1941
ko:K01809	vcr:VC395_1942
ko:K07039	vcr:VC395_1947
ko:K03517	vcr:VC395_1948
ko:K03640	vcr:VC395_1950
ko:K03641	vcr:VC395_1951
ko:K03562	vcr:VC395_1954
ko:K00426	vcr:VC395_1958
ko:K00425	vcr:VC395_1959
ko:K03551	vcr:VC395_1960
ko:K03550	vcr:VC395_1961
ko:K01159	vcr:VC395_1962
ko:K01883	vcr:VC395_1963
ko:K03269	vcr:VC395_1965
ko:K09858	vcr:VC395_1967
ko:K07090	vcr:VC395_1971
ko:K01142	vcr:VC395_1975
ko:K10023	vcr:VC395_1976
ko:K10022	vcr:VC395_1978
ko:K00656	vcr:VC395_1981
ko:K04069	vcr:VC395_1984
ko:K09161	vcr:VC395_1986
ko:K07180	vcr:VC395_1987
ko:K09786	vcr:VC395_1988
ko:K00979	vcr:VC395_1990
ko:K09791	vcr:VC395_1991
ko:K00640	vcr:VC395_2762
ko:K00057	vcr:VC395_2764
ko:K03071	vcr:VC395_2766
ko:K04568	vcr:VC395_2768
ko:K00246	vcr:VC395_2771
ko:K02356	vcr:VC395_2773
ko:K04077	vcr:VC395_2777
ko:K04078	vcr:VC395_2778
ko:K01803	vcr:VC395_2783
ko:K02553	vcr:VC395_2785
ko:K02548	vcr:VC395_2786
ko:K03667	vcr:VC395_2787
ko:K01419	vcr:VC395_2788
ko:K04066	vcr:VC395_2791
ko:K02909	vcr:VC395_2792
ko:K00029	vcr:VC395_2794
ko:K03764	vcr:VC395_2795
ko:K12525	vcr:VC395_2797
ko:K00297	vcr:VC395_2798
ko:K09892	vcr:VC395_2799
ko:K00850	vcr:VC395_2802
ko:K06006	vcr:VC395_2804
ko:K04564	vcr:VC395_2807
ko:K03216	vcr:VC395_2808
ko:K07113	vcr:VC395_2809
ko:K01744	vcr:VC395_2811
ko:K07791	vcr:VC395_2812
ko:K04084	vcr:VC395_2814
ko:K03116	vcr:VC395_A0791
ko:K07667	vcr:VC395_A0792
ko:K07646	vcr:VC395_A0793
ko:K03737	vcr:VC395_A0794
ko:K03549	vcr:VC395_A0795
ko:K14540	vcr:VC395_A0796
ko:K03281	vcr:VC395_A0798
ko:K03547	vcr:VC395_A0804
ko:K03435	vcr:VC395_A0805
ko:K02768	vcr:VC395_A0806
ko:K11183	vcr:VC395_A0806
ko:K02769	vcr:VC395_A0808
ko:K02770	vcr:VC395_A0808
ko:K05805	vcr:VC395_A0824
ko:K00892	vcr:VC395_A0825
ko:K05592	vcr:VC395_A0828
ko:K01147	vcr:VC395_A0829
ko:K02040	vcr:VC395_A0831
ko:K06876	vcr:VC395_A0833
ko:K12995	vcr:VC395_0288
ko:K16053	vcr:VC395_0294
ko:K09891	vcr:VC395_0297
ko:K01809	vcr:VC395_0298
ko:K00847	vcr:VC395_0299
ko:K05787	vcr:VC395_0302
ko:K01945	vcr:VC395_0304
ko:K00602	vcr:VC395_0305
ko:K03765	vcr:VC395_0307
ko:K09939	vcr:VC395_0312
ko:K01625	vcr:VC395_0314
ko:K01690	vcr:VC395_0317
ko:K06145	vcr:VC395_0318
ko:K15342	vcr:VC395_0327
ko:K03557	vcr:VC395_0334
ko:K02687	vcr:VC395_0337
ko:K01961	vcr:VC395_0339
ko:K06925	vcr:VC395_0386
ko:K01448	vcr:VC395_0387
ko:K03572	vcr:VC395_0388
ko:K00791	vcr:VC395_0389
ko:K03666	vcr:VC395_0390
ko:K03665	vcr:VC395_0391
ko:K04088	vcr:VC395_0392
ko:K04087	vcr:VC395_0393
ko:K09937	vcr:VC395_0394
ko:K03745	vcr:VC395_0395
ko:K07235	vcr:VC395_0399
ko:K07236	vcr:VC395_0400
ko:K07237	vcr:VC395_0401
ko:K02950	vcr:VC395_0402
ko:K02992	vcr:VC395_0403
ko:K02355	vcr:VC395_0404
ko:K02192	vcr:VC395_0407
ko:K03594	vcr:VC395_0408
ko:K02990	vcr:VC395_0409
ko:K02686	vcr:VC395_0410
ko:K02963	vcr:VC395_0411
ko:K02939	vcr:VC395_0412
ko:K01775	vcr:VC395_0415
ko:K01810	vcr:VC395_0417
ko:K09823	vcr:VC395_0421
ko:K05539	vcr:VC395_0422
ko:K00381	vcr:VC395_0429
ko:K00390	vcr:VC395_0430
ko:K01776	vcr:VC395_0003
ko:K14645	vcr:VC395_0004
ko:K07154	vcr:VC395_0010
ko:K06915	vcr:VC395_0015
ko:K00322	vcr:VC395_0029
ko:K03089	vcr:VC395_0030
ko:K09811	vcr:VC395_0031
ko:K09812	vcr:VC395_0032
ko:K03110	vcr:VC395_0033
ko:K08993	vcr:VC395_0035
ko:K04047	vcr:VC395_0041
ko:K05834	vcr:VC395_0044
ko:K08985	vcr:VC395_0048
ko:K03733	vcr:VC395_0052
ko:K09921	vcr:VC395_0053
ko:K01778	vcr:VC395_0054
ko:K01586	vcr:VC395_0055
ko:K06202	vcr:VC395_0057
ko:K05851	vcr:VC395_0058
ko:K01749	vcr:VC395_0060
ko:K02415	vcr:VC395_0083
ko:K03181	vcr:VC395_0085
ko:K03179	vcr:VC395_0086
ko:K00631	vcr:VC395_0087
ko:K01356	vcr:VC395_0088
ko:K03327	vcr:VC395_0090
ko:K00428	vcr:VC395_0091
ko:K03118	vcr:VC395_0092
ko:K03117	vcr:VC395_0093
ko:K03116	vcr:VC395_0094
ko:K03688	vcr:VC395_0095
ko:K03690	vcr:VC395_0096
ko:K03183	vcr:VC395_0097
ko:K04744	vcr:VC395_0490
ko:K05801	vcr:VC395_0491
ko:K08306	vcr:VC395_0494
ko:K03575	vcr:VC395_0496
ko:K03439	vcr:VC395_0497
ko:K01425	vcr:VC395_0498
ko:K09131	vcr:VC395_0502
ko:K02221	vcr:VC395_0503
ko:K00286	vcr:VC395_0504
ko:K06997	vcr:VC395_0505
ko:K02669	vcr:VC395_0506
ko:K02670	vcr:VC395_0507
ko:K01866	vcr:VC395_0509
ko:K07447	vcr:VC395_0510
ko:K07735	vcr:VC395_0511
ko:K01920	vcr:VC395_0512
ko:K09761	vcr:VC395_0513
ko:K01150	vcr:VC395_0514
ko:K02742	vcr:VC395_0515
ko:K00789	vcr:VC395_0516
ko:K00615	vcr:VC395_0517
ko:K03472	vcr:VC395_0520
ko:K00927	vcr:VC395_0521
ko:K01624	vcr:VC395_0522
ko:K06895	vcr:VC395_0525
ko:K05596	vcr:VC395_0526
ko:K09807	vcr:VC395_0527
ko:K00873	vcr:VC395_0529
ko:K00820	vcr:VC395_0531
ko:K03086	vcr:VC395_0534
ko:K01890	vcr:VC395_1339
ko:K04764	vcr:VC395_1341
ko:K08289	vcr:VC395_1347
ko:K07088	vcr:VC395_1348
ko:K01141	vcr:VC395_1353
ko:K06956	vcr:VC395_1354
ko:K00768	vcr:VC395_1356
ko:K02233	vcr:VC395_1357
ko:K02231	vcr:VC395_1358
ko:K05526	vcr:VC395_1361
ko:K06073	vcr:VC395_1363
ko:K06074	vcr:VC395_1364
ko:K11107	vcr:VC395_1373
ko:K02469	vcr:VC395_1377
ko:K07146	vcr:VC395_1378
ko:K03291	vcr:VC395_1380
ko:K07231	vcr:VC395_1383
ko:K09947	vcr:VC395_1386
ko:K00658	vcr:VC395_2201
ko:K00164	vcr:VC395_2202
ko:K00240	vcr:VC395_2203
ko:K00239	vcr:VC395_2204
ko:K00242	vcr:VC395_2205
ko:K01647	vcr:VC395_2207
ko:K09977	vcr:VC395_2209
ko:K03645	vcr:VC395_2211
ko:K03839	vcr:VC395_2214
ko:K00133	vcr:VC395_2221
ko:K03473	vcr:VC395_2222
ko:K15461	vcr:VC395_2224
ko:K09906	vcr:VC395_2227
ko:K01736	vcr:VC395_2230
ko:K07320	vcr:VC395_2232
ko:K02401	vcr:VC395_2234
ko:K02421	vcr:VC395_2235
ko:K02420	vcr:VC395_2236
ko:K02419	vcr:VC395_2237
ko:K02418	vcr:VC395_2238
ko:K02417	vcr:VC395_2239
ko:K02416	vcr:VC395_2240
ko:K02415	vcr:VC395_2241
ko:K02413	vcr:VC395_2243
ko:K02412	vcr:VC395_2244
ko:K02411	vcr:VC395_2245
ko:K02410	vcr:VC395_2246
ko:K02409	vcr:VC395_2247
ko:K02408	vcr:VC395_2248
ko:K10941	vcr:VC395_2251
ko:K03924	vcr:VC395_A0166
ko:K12266	vcr:VC395_A0173
ko:K05916	vcr:VC395_A0174
ko:K03704	vcr:VC395_A0175
ko:K09890	vcr:VC395_A0176
ko:K03634	vcr:VC395_1122
ko:K07478	vcr:VC395_1123
ko:K01875	vcr:VC395_1125
ko:K00833	vcr:VC395_1126
ko:K01012	vcr:VC395_1127
ko:K02169	vcr:VC395_1129
ko:K01935	vcr:VC395_1130
ko:K03799	vcr:VC395_1132
ko:K09701	vcr:VC395_1136
ko:K00574	vcr:VC395_1137
ko:K01756	vcr:VC395_1141
ko:K07153	vcr:VC395_1142
ko:K00566	vcr:VC395_1143
ko:K00892	vcr:VC395_1144
ko:K06204	vcr:VC395_1166
ko:K00912	vcr:VC395_1992
ko:K09928	vcr:VC395_1995
ko:K09808	vcr:VC395_1997
ko:K09808	vcr:VC395_1999
ko:K03723	vcr:VC395_2001
ko:K03885	vcr:VC395_2005
ko:K07000	vcr:VC395_2007
ko:K07337	vcr:VC395_2009
ko:K09859	vcr:VC395_2011
ko:K03603	vcr:VC395_2015
ko:K03314	vcr:VC395_2016
ko:K03611	vcr:VC395_2017
ko:K03466	vcr:VC395_2018
ko:K00259	vcr:VC395_2020
ko:K13634	vcr:VC395_2022
ko:K06169	vcr:VC395_2025
ko:K01591	vcr:VC395_2026
ko:K05788	vcr:VC395_2029
ko:K02945	vcr:VC395_2030
ko:K00945	vcr:VC395_2031
ko:K02237	vcr:VC395_2032
ko:K03770	vcr:VC395_2033
ko:K03530	vcr:VC395_2034
ko:K01338	vcr:VC395_2035
ko:K03544	vcr:VC395_2036
ko:K01358	vcr:VC395_2037
ko:K03545	vcr:VC395_2038
ko:K10125	vcr:VC395_2040
ko:K10126	vcr:VC395_2041
ko:K14393	vcr:VC395_2818
ko:K09125	vcr:VC395_2819
ko:K00942	vcr:VC395_2820
ko:K03060	vcr:VC395_2821
ko:K03655	vcr:VC395_2823
ko:K07638	vcr:VC395_2825
ko:K07659	vcr:VC395_2826
ko:K04760	vcr:VC395_2827
ko:K06959	vcr:VC395_2828
ko:K02170	vcr:VC395_2830
ko:K07400	vcr:VC395_2832
ko:K08312	vcr:VC395_2833
ko:K02462	vcr:VC395_2836
ko:K02461	vcr:VC395_2837
ko:K02460	vcr:VC395_2838
ko:K02459	vcr:VC395_2839
ko:K02458	vcr:VC395_2840
ko:K02457	vcr:VC395_2841
ko:K02456	vcr:VC395_2842
ko:K02455	vcr:VC395_2843
ko:K02453	vcr:VC395_2845
ko:K02452	vcr:VC395_2846
ko:K04762	vcr:VC395_2847
ko:K04083	vcr:VC395_2848
ko:K01610	vcr:VC395_2850
ko:K07560	vcr:VC395_2853
ko:K07058	vcr:VC395_2854
ko:K06207	vcr:VC395_2856
ko:K01915	vcr:VC395_2858
ko:K07708	vcr:VC395_2860
ko:K07712	vcr:VC395_2861
ko:K06213	vcr:VC395_A0842
ko:K09760	vcr:VC395_0098
ko:K07007	vcr:VC395_0100
ko:K06144	vcr:VC395_0101
ko:K02217	vcr:VC395_0102
ko:K15984	vcr:VC395_0107
ko:K07552	vcr:VC395_0111
ko:K03150	vcr:VC395_0114
ko:K03149	vcr:VC395_0115
ko:K03154	vcr:VC395_0116
ko:K00788	vcr:VC395_0118
ko:K03147	vcr:VC395_0119
ko:K06199	vcr:VC395_0120
ko:K00014	vcr:VC395_0124
ko:K00228	vcr:VC395_0125
ko:K07566	vcr:VC395_0126
ko:K01588	vcr:VC395_0128
ko:K01589	vcr:VC395_0129
ko:K07479	vcr:VC395_0130
ko:K04096	vcr:VC395_0132
ko:K01462	vcr:VC395_0134
ko:K00604	vcr:VC395_0135
ko:K03500	vcr:VC395_0136
ko:K11068	vcr:VC395_0140
ko:K09896	vcr:VC395_0143
ko:K03673	vcr:VC395_0146
ko:K07391	vcr:VC395_0148
ko:K01652	vcr:VC395_0149
ko:K11258	vcr:VC395_0150
ko:K00826	vcr:VC395_0151
ko:K01687	vcr:VC395_0152
ko:K01754	vcr:VC395_0153
ko:K01878	vcr:VC395_0159
ko:K01879	vcr:VC395_0160
ko:K00835	vcr:VC395_0161
ko:K04080	vcr:VC395_0162
ko:K02470	vcr:VC395_0165
ko:K03629	vcr:VC395_0166
ko:K02338	vcr:VC395_0167
ko:K02313	vcr:VC395_0168
ko:K02914	vcr:VC395_0173
ko:K03536	vcr:VC395_0174
ko:K08998	vcr:VC395_0175
ko:K03217	vcr:VC395_0176
ko:K03650	vcr:VC395_0177
ko:K06205	vcr:VC395_0178
ko:K03495	vcr:VC395_0180
ko:K03501	vcr:VC395_0181
ko:K02108	vcr:VC395_0185
ko:K02110	vcr:VC395_0186
ko:K02109	vcr:VC395_0187
ko:K02113	vcr:VC395_0188
ko:K02111	vcr:VC395_0189
ko:K02115	vcr:VC395_0190
ko:K02112	vcr:VC395_0191
ko:K02114	vcr:VC395_0192
ko:K04042	vcr:VC395_0193
ko:K01825	vcr:VC395_0197
ko:K02521	vcr:VC395_0204
ko:K00053	vcr:VC395_0205
ko:K03656	vcr:VC395_0210
ko:K02034	vcr:VC395_0216
ko:K07115	vcr:VC395_0219
ko:K01414	vcr:VC395_0220
ko:K03657	vcr:VC395_0222
ko:K05786	vcr:VC395_0227
ko:K03654	vcr:VC395_0228
ko:K02013	vcr:VC395_0233
ko:K02016	vcr:VC395_0234
ko:K02015	vcr:VC395_0235
ko:K15835	vcr:VC395_0236
ko:K07106	vcr:VC395_0238
ko:K11191	vcr:VC395_0239
ko:K11192	vcr:VC395_0239
ko:K00989	vcr:VC395_0242
ko:K00762	vcr:VC395_0243
ko:K02560	vcr:VC395_0244
ko:K02517	vcr:VC395_0245
ko:K05501	vcr:VC395_0246
ko:K13038	vcr:VC395_0247
ko:K03630	vcr:VC395_0249
ko:K02902	vcr:VC395_0250
ko:K02913	vcr:VC395_0251
ko:K00954	vcr:VC395_0254
ko:K11211	vcr:VC395_0259
ko:K02527	vcr:VC395_0265
ko:K03274	vcr:VC395_0272
ko:K01711	vcr:VC395_0275
ko:K02078	vcr:VC395_0280
ko:K02160	vcr:VC395_0340
ko:K00928	vcr:VC395_0435
ko:K13009	vcr:VC395_0437
ko:K03701	vcr:VC395_0438
ko:K00963	vcr:VC395_0439
ko:K03569	vcr:VC395_0459
ko:K03570	vcr:VC395_0460
ko:K03571	vcr:VC395_0461
ko:K06287	vcr:VC395_0462
ko:K08301	vcr:VC395_0463
ko:K03568	vcr:VC395_0466
ko:K09893	vcr:VC395_0468
ko:K07080	vcr:VC395_0474
ko:K03402	vcr:VC395_0475
ko:K00024	vcr:VC395_0476
ko:K03758	vcr:VC395_0477
ko:K02523	vcr:VC395_0478
ko:K02888	vcr:VC395_0479
ko:K02899	vcr:VC395_0480
ko:K03979	vcr:VC395_0481
ko:K06195	vcr:VC395_0486
ko:K02528	vcr:VC395_0487
ko:K00097	vcr:VC395_0488
ko:K03786	vcr:VC395_0341
ko:K01895	vcr:VC395_0342
ko:K05820	vcr:VC395_0346
ko:K01524	vcr:VC395_0348
ko:K03732	vcr:VC395_0349
ko:K03671	vcr:VC395_0350
ko:K03628	vcr:VC395_0351
ko:K03182	vcr:VC395_0353
ko:K05368	vcr:VC395_0355
ko:K00998	vcr:VC395_0358
ko:K00075	vcr:VC395_0361
ko:K03524	vcr:VC395_0362
ko:K02358	vcr:VC395_0364
ko:K03073	vcr:VC395_0365
ko:K02601	vcr:VC395_0366
ko:K02867	vcr:VC395_0367
ko:K02863	vcr:VC395_0368
ko:K02864	vcr:VC395_0369
ko:K02935	vcr:VC395_0370
ko:K03043	vcr:VC395_0371
ko:K03046	vcr:VC395_0372
ko:K07740	vcr:VC395_0373
ko:K03426	vcr:VC395_0374
ko:K01599	vcr:VC395_0375
ko:K15633	vcr:VC395_0379
ko:K14445	vcr:VC395_0381
ko:K01613	vcr:VC395_0382
ko:K06949	vcr:VC395_0383
ko:K13288	vcr:VC395_0384
ko:K02498	vcr:VC395_0063
ko:K09894	vcr:VC395_0066
ko:K03978	vcr:VC395_0069
ko:K01698	vcr:VC395_0075
ko:K03424	vcr:VC395_0077
ko:K02439	vcr:VC395_0080
ko:K02496	vcr:VC395_0062
ko:K03778	vcr:VC395_A0183
ko:K10716	vcr:VC395_A0185
ko:K00364	vcr:VC395_A0188
ko:K01626	vcr:VC395_A1059
ko:K00009	vcr:VC395_A1069
ko:K02562	vcr:VC395_A1070
ko:K07090	vcr:VC395_A1075
ko:K07118	vcr:VC395_A1077
ko:K01581	vcr:VC395_A1085
ko:K00154	vcr:VC395_A1089
ko:K13821	vcr:VC395_A1095
ko:K00275	vcr:VC395_A1101
ko:K12542	vcr:VC395_A1102
ko:K12541	vcr:VC395_A1105
ko:K09117	vcr:VC395_0536
ko:K02970	vcr:VC395_0537
ko:K08591	vcr:VC395_0540
ko:K01633	vcr:VC395_0541
ko:K00950	vcr:VC395_0542
ko:K06153	vcr:VC395_0543
ko:K05589	vcr:VC395_0544
ko:K00991	vcr:VC395_0545
ko:K04078	vcr:VC395_A0843
ko:K04077	vcr:VC395_A0844
ko:K00928	vcr:VC395_A0846
ko:K06720	vcr:VC395_A0847
ko:K00836	vcr:VC395_A0848
ko:K06718	vcr:VC395_A0849
ko:K00500	vcr:VC395_A0852
ko:K07397	vcr:VC395_A0862
ko:K00134	vcr:VC395_A0867
ko:K02003	vcr:VC395_A0879
ko:K06076	vcr:VC395_A0886
ko:K07275	vcr:VC395_A0891
ko:K00765	vcr:VC395_1199
ko:K00013	vcr:VC395_1200
ko:K00817	vcr:VC395_1201
ko:K01089	vcr:VC395_1202
ko:K02501	vcr:VC395_1203
ko:K01814	vcr:VC395_1204
ko:K02500	vcr:VC395_1205
ko:K11755	vcr:VC395_1206
ko:K06181	vcr:VC395_1207
ko:K00031	vcr:VC395_1208
ko:K03704	vcr:VC395_1209
ko:K06891	vcr:VC395_1210
ko:K03694	vcr:VC395_1211
ko:K07085	vcr:VC395_1212
ko:K00831	vcr:VC395_1225
ko:K15257	vcr:VC395_1229
ko:K15256	vcr:VC395_1230
ko:K01876	vcr:VC395_1232
ko:K00981	vcr:VC395_2051
ko:K07107	vcr:VC395_2053
ko:K01491	vcr:VC395_2057
ko:K07821	vcr:VC395_2066
ko:K09902	vcr:VC395_2072
ko:K03610	vcr:VC395_2074
ko:K03609	vcr:VC395_2075
ko:K03608	vcr:VC395_2076
ko:K01770	vcr:VC395_0546
ko:K06176	vcr:VC395_0547
ko:K03787	vcr:VC395_0548
ko:K00573	vcr:VC395_0549
ko:K06194	vcr:VC395_0550
ko:K03555	vcr:VC395_0552
ko:K12339	vcr:VC395_0554
ko:K02048	vcr:VC395_0555
ko:K02046	vcr:VC395_0556
ko:K02047	vcr:VC395_0557
ko:K02045	vcr:VC395_0558
ko:K03565	vcr:VC395_0561
ko:K01872	vcr:VC395_0562
ko:K00928	vcr:VC395_0564
ko:K03563	vcr:VC395_0565
ko:K01573	vcr:VC395_0566
ko:K01919	vcr:VC395_0573
ko:K07173	vcr:VC395_0574
ko:K03106	vcr:VC395_0577
ko:K02959	vcr:VC395_0578
ko:K02860	vcr:VC395_0579
ko:K00554	vcr:VC395_0580
ko:K02884	vcr:VC395_0581
ko:K04691	vcr:VC395_0582
ko:K02760	vcr:VC395_1400
ko:K02761	vcr:VC395_1401
ko:K02759	vcr:VC395_1402
ko:K03669	vcr:VC395_1406
ko:K03670	vcr:VC395_1407
ko:K00832	vcr:VC395_1412
ko:K00941	vcr:VC395_1415
ko:K01893	vcr:VC395_1416
ko:K01737	vcr:VC395_1418
ko:K01752	vcr:VC395_1419
ko:K03837	vcr:VC395_1420
ko:K01665	vcr:VC395_1422
ko:K01676	vcr:VC395_1423
ko:K06918	vcr:VC395_1425
ko:K08990	vcr:VC395_1426
ko:K03721	vcr:VC395_1427
ko:K03790	vcr:VC395_1428
ko:K11939	vcr:VC395_1430
ko:K01775	vcr:VC395_1431
ko:K14445	vcr:VC395_1433
ko:K03413	vcr:VC395_1435
ko:K09824	vcr:VC395_1436
ko:K07639	vcr:VC395_1438
ko:K07661	vcr:VC395_1439
ko:K05952	vcr:VC395_1441
ko:K02422	vcr:VC395_2252
ko:K02407	vcr:VC395_2254
ko:K02406	vcr:VC395_2256
ko:K02406	vcr:VC395_2257
ko:K02406	vcr:VC395_2258
ko:K07223	vcr:VC395_2259
ko:K07287	vcr:VC395_2270
ko:K01714	vcr:VC395_2271
ko:K03567	vcr:VC395_2273
ko:K03564	vcr:VC395_2274
ko:K03809	vcr:VC395_2280
ko:K09938	vcr:VC395_2282
ko:K01627	vcr:VC395_2289
ko:K02493	vcr:VC395_2292
ko:K02835	vcr:VC395_2293
ko:K02492	vcr:VC395_2294
ko:K02494	vcr:VC395_2295
ko:K00919	vcr:VC395_2296
ko:K00948	vcr:VC395_2297
ko:K01056	vcr:VC395_2298
ko:K06942	vcr:VC395_2299
ko:K11927	vcr:VC395_A0242
ko:K00969	vcr:VC395_A0245
ko:K02016	vcr:VC395_A0264
ko:K02015	vcr:VC395_A0265
ko:K02015	vcr:VC395_A0266
ko:K02013	vcr:VC395_A0267
ko:K16087	vcr:VC395_A0269
ko:K09956	vcr:VC395_A0270
ko:K00925	vcr:VC395_A0272
ko:K03078	vcr:VC395_A0279
ko:K03412	vcr:VC395_A1110
ko:K03411	vcr:VC395_A1111
ko:K03408	vcr:VC395_A1114
ko:K03408	vcr:VC395_A1115
ko:K03407	vcr:VC395_A1116
ko:K03413	vcr:VC395_A1117
ko:K02034	vcr:VC395_A1121
ko:K06957	vcr:VC395_A1132
ko:K09948	vcr:VC395_2078
ko:K05782	vcr:VC395_2085
ko:K01911	vcr:VC395_2086
ko:K01661	vcr:VC395_2088
ko:K02551	vcr:VC395_2090
