ko:K18919	seep:I137_07860
ko:K07058	seep:I137_19000
ko:K03710	seep:I137_19030
ko:K07115	seep:I137_19060
ko:K01414	seep:I137_19070
ko:K03305	seep:I137_19075
ko:K06039	seep:I137_07155
ko:K06282	seep:I137_07245
ko:K06281	seep:I137_07250
ko:K01297	seep:I137_07300
ko:K11105	seep:I137_07305
ko:K02793	seep:I137_07440
ko:K02794	seep:I137_07440
ko:K02795	seep:I137_07445
ko:K13741	seep:I137_07570
ko:K03564	seep:I137_01755
ko:K03567	seep:I137_01760
ko:K01714	seep:I137_01765
ko:K07287	seep:I137_01770
ko:K03601	seep:I137_01665
ko:K02047	seep:I137_01980
ko:K02045	seep:I137_01985
ko:K12339	seep:I137_01990
ko:K01951	seep:I137_02005
ko:K00868	seep:I137_02015
ko:K01972	seep:I137_02060
ko:K09954	seep:I137_02065
ko:K06203	seep:I137_02050
ko:K03815	seep:I137_02085
ko:K11537	seep:I137_02090
ko:K14261	seep:I137_02180
ko:K12974	seep:I137_02185
ko:K11382	seep:I137_02200
ko:K03473	seep:I137_02365
ko:K06173	seep:I137_02375
ko:K03975	seep:I137_02380
ko:K01963	seep:I137_02385
ko:K11754	seep:I137_02390
ko:K03749	seep:I137_02395
ko:K03558	seep:I137_02405
ko:K00764	seep:I137_02410
ko:K06714	seep:I137_02415
ko:K01586	seep:I137_02420
ko:K07320	seep:I137_02290
ko:K01736	seep:I137_02295
ko:K07261	seep:I137_02300
ko:K07090	seep:I137_02305
ko:K09906	seep:I137_02310
ko:K15461	seep:I137_02320
ko:K08296	seep:I137_02280
ko:K11535	seep:I137_02150
ko:K01738	seep:I137_02045
ko:K04754	seep:I137_02255
ko:K06076	seep:I137_02260
ko:K06168	seep:I137_10430
ko:K15723	seep:I137_14145
ko:K06879	seep:I137_14150
ko:K06966	seep:I137_14155
ko:K03837	seep:I137_14160
ko:K01752	seep:I137_14165
ko:K01146	seep:I137_14170
ko:K00048	seep:I137_14175
ko:K01628	seep:I137_14180
ko:K02429	seep:I137_14185
ko:K01818	seep:I137_14190
ko:K02431	seep:I137_14200
ko:K02430	seep:I137_14205
ko:K06968	seep:I137_14210
ko:K01766	seep:I137_14230
ko:K02426	seep:I137_14235
ko:K08304	seep:I137_14250
ko:K01448	seep:I137_14265
ko:K14682	seep:I137_14270
ko:K03582	seep:I137_14275
ko:K03583	seep:I137_14280
ko:K02681	seep:I137_14285
ko:K02680	seep:I137_14295
ko:K02679	seep:I137_14300
ko:K13292	seep:I137_14315
ko:K08484	seep:I137_14320
ko:K08311	seep:I137_14325
ko:K03573	seep:I137_14330
ko:K08227	seep:I137_14350
ko:K05939	seep:I137_14355
ko:K02529	seep:I137_14360
ko:K01586	seep:I137_14365
ko:K01803	seep:I137_17210
ko:K01783	seep:I137_17215
ko:K08321	seep:I137_17225
ko:K10555	seep:I137_17230
ko:K10557	seep:I137_17235
ko:K10556	seep:I137_17240
ko:K10558	seep:I137_17245
ko:K11531	seep:I137_17250
ko:K01521	seep:I137_17290
ko:K00850	seep:I137_17300
ko:K06006	seep:I137_17310
ko:K04564	seep:I137_17340
ko:K02856	seep:I137_17370
ko:K02854	seep:I137_17375
ko:K00848	seep:I137_17385
ko:K03534	seep:I137_17405
ko:K02379	seep:I137_17440
ko:K00123	seep:I137_17450
ko:K02380	seep:I137_17465
ko:K01153	seep:I137_21555
ko:K01154	seep:I137_21560
ko:K03427	seep:I137_21565
ko:K09803	seep:I137_21585
ko:K02317	seep:I137_21660
ko:K13255	seep:I137_21690
ko:K02344	seep:I137_21725
ko:K03789	seep:I137_21730
ko:K08723	seep:I137_21735
ko:K02837	seep:I137_21740
ko:K03424	seep:I137_21755
ko:K01839	seep:I137_21780
ko:K03800	seep:I137_21795
ko:K01079	seep:I137_21805
ko:K04485	seep:I137_21810
ko:K02000	seep:I137_13360
ko:K02002	seep:I137_13370
ko:K15974	seep:I137_13380
ko:K03543	seep:I137_13385
ko:K07173	seep:I137_13400
ko:K01919	seep:I137_13405
ko:K03563	seep:I137_13440
ko:K01872	seep:I137_13445
ko:K03565	seep:I137_13450
ko:K02781	seep:I137_13480
ko:K02468	seep:I137_13495
ko:K02467	seep:I137_13500
ko:K12266	seep:I137_13505
ko:K12264	seep:I137_13510
ko:K12265	seep:I137_13515
ko:K04656	seep:I137_13520
ko:K05796	seep:I137_13525
ko:K08315	seep:I137_13535
ko:K15834	seep:I137_13540
ko:K15832	seep:I137_13545
ko:K15831	seep:I137_13550
ko:K15830	seep:I137_13555
ko:K15829	seep:I137_13560
ko:K15827	seep:I137_13570
ko:K15833	seep:I137_13575
ko:K04651	seep:I137_13580
ko:K04653	seep:I137_13590
ko:K04654	seep:I137_13595
ko:K15836	seep:I137_13605
ko:K16013	seep:I137_09325
ko:K16012	seep:I137_09330
ko:K10000	seep:I137_09450
ko:K09998	seep:I137_09465
ko:K02822	seep:I137_09480
ko:K03475	seep:I137_09485
ko:K05844	seep:I137_09525
ko:K07258	seep:I137_09585
ko:K07757	seep:I137_09690
ko:K06970	seep:I137_09770
ko:K03098	seep:I137_20725
ko:K00246	seep:I137_20735
ko:K04568	seep:I137_20750
ko:K01613	seep:I137_20770
ko:K06949	seep:I137_20775
ko:K13288	seep:I137_20780
ko:K09996	seep:I137_20785
ko:K06925	seep:I137_20820
ko:K01448	seep:I137_20825
ko:K03572	seep:I137_20830
ko:K00791	seep:I137_20835
ko:K03666	seep:I137_20840
ko:K03665	seep:I137_20845
ko:K04088	seep:I137_20850
ko:K04087	seep:I137_20855
ko:K09937	seep:I137_20860
ko:K01939	seep:I137_20865
ko:K13771	seep:I137_20870
ko:K12573	seep:I137_20875
ko:K03218	seep:I137_20880
ko:K09980	seep:I137_20885
ko:K10716	seep:I137_20895
ko:K08989	seep:I137_20905
ko:K09456	seep:I137_20920
ko:K03477	seep:I137_20940
ko:K03078	seep:I137_20965
ko:K02990	seep:I137_20980
ko:K02686	seep:I137_20985
ko:K02963	seep:I137_20990
ko:K07027	seep:I137_09840
ko:K14061	seep:I137_06635
ko:K00567	seep:I137_06680
ko:K03972	seep:I137_06745
ko:K08992	seep:I137_06860
ko:K04774	seep:I137_06905
ko:K10823	seep:I137_07025
ko:K15583	seep:I137_07030
ko:K15582	seep:I137_07035
ko:K00374	seep:I137_07115
ko:K10679	seep:I137_10885
ko:K12686	seep:I137_10890
ko:K16053	seep:I137_10895
ko:K11732	seep:I137_10900
ko:K07644	seep:I137_10935
ko:K08088	seep:I137_10985
ko:K07688	seep:I137_10990
ko:K07348	seep:I137_10995
ko:K07350	seep:I137_11000
ko:K07347	seep:I137_11005
ko:K01491	seep:I137_11015
ko:K07038	seep:I137_11025
ko:K01883	seep:I137_11040
ko:K03269	seep:I137_11050
ko:K01588	seep:I137_11055
ko:K01589	seep:I137_11060
ko:K00926	seep:I137_11065
ko:K02083	seep:I137_11090
ko:K14977	seep:I137_11095
ko:K00865	seep:I137_11100
ko:K10975	seep:I137_11110
ko:K01608	seep:I137_11130
ko:K10973	seep:I137_11135
ko:K01483	seep:I137_11140
ko:K09920	seep:I137_15245
ko:K12340	seep:I137_15255
ko:K03673	seep:I137_15290
ko:K03611	seep:I137_15295
ko:K03272	seep:I137_15325
ko:K00982	seep:I137_15330
ko:K07184	seep:I137_15340
ko:K06153	seep:I137_15350
ko:K01633	seep:I137_15355
ko:K02970	seep:I137_15370
ko:K03086	seep:I137_15380
ko:K07229	seep:I137_15395
ko:K08682	seep:I137_11685
ko:K03311	seep:I137_11695
ko:K07636	seep:I137_11700
ko:K03547	seep:I137_11710
ko:K00847	seep:I137_11720
ko:K03554	seep:I137_11725
ko:K09913	seep:I137_11730
ko:K14591	seep:I137_11735
ko:K00891	seep:I137_11745
ko:K09768	seep:I137_11750
ko:K01921	seep:I137_11785
ko:K01698	seep:I137_11835
ko:K01720	seep:I137_11845
ko:K02688	seep:I137_11860
ko:K03329	seep:I137_11870
ko:K00426	seep:I137_11885
ko:K00425	seep:I137_11890
ko:K03780	seep:I137_16060
ko:K00024	seep:I137_16085
ko:K03402	seep:I137_16090
ko:K03623	seep:I137_16110
ko:K03468	seep:I137_16115
ko:K15548	seep:I137_16120
ko:K03568	seep:I137_16135
ko:K08301	seep:I137_16145
ko:K06287	seep:I137_16150
ko:K03571	seep:I137_16155
ko:K03570	seep:I137_16160
ko:K03569	seep:I137_16165
ko:K17247	seep:I137_16180
ko:K01961	seep:I137_16190
ko:K14392	seep:I137_16200
ko:K02687	seep:I137_16205
ko:K03557	seep:I137_16215
ko:K00602	seep:I137_16285
ko:K01945	seep:I137_16290
ko:K07803	seep:I137_16305
ko:K05787	seep:I137_16315
ko:K09891	seep:I137_16320
ko:K05982	seep:I137_16325
ko:K01599	seep:I137_16330
ko:K03426	seep:I137_16335
ko:K06144	seep:I137_19085
ko:K16322	seep:I137_19090
ko:K07007	seep:I137_19095
ko:K01993	seep:I137_19100
ko:K07722	seep:I137_19115
ko:K06133	seep:I137_19120
ko:K09125	seep:I137_19140
ko:K08993	seep:I137_19165
ko:K03110	seep:I137_19175
ko:K09812	seep:I137_19180
ko:K09811	seep:I137_19185
ko:K03089	seep:I137_19190
ko:K01999	seep:I137_19205
ko:K01995	seep:I137_19220
ko:K01996	seep:I137_19225
ko:K07341	seep:I137_19235
ko:K05813	seep:I137_19240
ko:K09936	seep:I137_19270
ko:K06911	seep:I137_19300
ko:K06145	seep:I137_19305
ko:K06156	seep:I137_19315
ko:K00133	seep:I137_19320
ko:K00975	seep:I137_19335
ko:K00703	seep:I137_19340
ko:K00688	seep:I137_19345
ko:K04567	seep:I137_14510
ko:K02836	seep:I137_14515
ko:K03981	seep:I137_14525
ko:K03840	seep:I137_14535
ko:K09159	seep:I137_14545
ko:K06980	seep:I137_14555
ko:K11068	seep:I137_14560
ko:K09900	seep:I137_14565
ko:K01223	seep:I137_14570
ko:K00281	seep:I137_14580
ko:K02437	seep:I137_14585
ko:K00605	seep:I137_14590
ko:K03185	seep:I137_14600
ko:K09895	seep:I137_14610
ko:K09888	seep:I137_14615
ko:K01807	seep:I137_14630
ko:K05596	seep:I137_14635
ko:K09807	seep:I137_14640
ko:K06895	seep:I137_14645
ko:K01624	seep:I137_14655
ko:K00927	seep:I137_14660
ko:K03472	seep:I137_14665
ko:K07560	seep:I137_17500
ko:K08318	seep:I137_17525
ko:K01671	seep:I137_17530
ko:K15922	seep:I137_17545
ko:K06207	seep:I137_17595
ko:K01915	seep:I137_17600
ko:K07708	seep:I137_17605
ko:K07712	seep:I137_17610
ko:K09894	seep:I137_17620
ko:K03978	seep:I137_17635
ko:K03673	seep:I137_17650
ko:K09896	seep:I137_17660
ko:K03752	seep:I137_17665
ko:K02529	seep:I137_17695
ko:K10441	seep:I137_17715
ko:K06726	seep:I137_17720
ko:K03549	seep:I137_17725
ko:K03924	seep:I137_17730
ko:K06211	seep:I137_21815
ko:K08309	seep:I137_21825
ko:K03720	seep:I137_21830
ko:K05805	seep:I137_21850
ko:K07663	seep:I137_21855
ko:K07641	seep:I137_21860
ko:K06143	seep:I137_21865
ko:K07347	seep:I137_21875
ko:K07773	seep:I137_21900
ko:K11391	seep:I137_15425
ko:K07043	seep:I137_15430
ko:K07862	seep:I137_15450
ko:K06911	seep:I137_15505
ko:K01811	seep:I137_18300
ko:K16345	seep:I137_18310
ko:K03312	seep:I137_18315
ko:K03655	seep:I137_18320
ko:K00556	seep:I137_18325
ko:K03060	seep:I137_18335
ko:K00942	seep:I137_18340
ko:K01972	seep:I137_18345
ko:K00989	seep:I137_18370
ko:K00762	seep:I137_18375
ko:K05501	seep:I137_18380
ko:K13038	seep:I137_18390
ko:K03630	seep:I137_18395
ko:K02902	seep:I137_18400
ko:K02913	seep:I137_18405
ko:K00954	seep:I137_18415
ko:K02527	seep:I137_18420
ko:K02844	seep:I137_18430
ko:K02848	seep:I137_18435
ko:K02840	seep:I137_18445
ko:K02850	seep:I137_18460
ko:K02847	seep:I137_18475
ko:K02841	seep:I137_18480
ko:K03274	seep:I137_18490
ko:K00060	seep:I137_18500
ko:K09798	seep:I137_18510
ko:K15633	seep:I137_18520
ko:K05541	seep:I137_03250
ko:K07262	seep:I137_03280
ko:K03777	seep:I137_03285
ko:K05349	seep:I137_03290
ko:K05845	seep:I137_03295
ko:K05846	seep:I137_03300
ko:K05847	seep:I137_03305
ko:K05846	seep:I137_03310
ko:K02478	seep:I137_03320
ko:K01874	seep:I137_03345
ko:K00878	seep:I137_03380
ko:K00941	seep:I137_03385
ko:K08303	seep:I137_03415
ko:K07664	seep:I137_03430
ko:K07642	seep:I137_03435
ko:K07789	seep:I137_03440
ko:K07788	seep:I137_03445
ko:K07799	seep:I137_03450
ko:K04046	seep:I137_03455
ko:K01247	seep:I137_03460
ko:K00876	seep:I137_03470
ko:K01494	seep:I137_03475
ko:K07289	seep:I137_03480
ko:K03819	seep:I137_03510
ko:K13684	seep:I137_03515
ko:K13620	seep:I137_03520
ko:K13683	seep:I137_03525
ko:K03818	seep:I137_03530
ko:K01711	seep:I137_03535
ko:K03207	seep:I137_03545
ko:K03208	seep:I137_03550
ko:K16695	seep:I137_03565
ko:K16710	seep:I137_03570
ko:K16703	seep:I137_03575
ko:K00963	seep:I137_03585
ko:K00067	seep:I137_03595
ko:K00973	seep:I137_03600
ko:K01790	seep:I137_03605
ko:K00978	seep:I137_03615
ko:K01709	seep:I137_03620
ko:K12452	seep:I137_03625
ko:K12454	seep:I137_03635
ko:K00012	seep:I137_03680
ko:K05789	seep:I137_03685
ko:K11755	seep:I137_03690
ko:K02500	seep:I137_03695
ko:K01814	seep:I137_03700
ko:K02501	seep:I137_03705
ko:K01089	seep:I137_03710
ko:K00817	seep:I137_03715
ko:K00013	seep:I137_03720
ko:K01141	seep:I137_03745
ko:K08354	seep:I137_03770
ko:K07470	seep:I137_03780
ko:K12262	seep:I137_06575
ko:K03578	seep:I137_06585
ko:K01118	seep:I137_06590
ko:K09978	seep:I137_06600
ko:K03778	seep:I137_06615
ko:K14058	seep:I137_06655
ko:K05591	seep:I137_06660
ko:K16074	seep:I137_06665
ko:K14055	seep:I137_06690
ko:K16052	seep:I137_06700
ko:K15580	seep:I137_06715
ko:K11065	seep:I137_06725
ko:K03721	seep:I137_06730
ko:K08990	seep:I137_06735
ko:K03971	seep:I137_06750
ko:K03970	seep:I137_06760
ko:K03969	seep:I137_06765
ko:K00208	seep:I137_06810
ko:K01147	seep:I137_06820
ko:K14051	seep:I137_06825
ko:K04062	seep:I137_06840
ko:K03113	seep:I137_06845
ko:K01591	seep:I137_06850
ko:K01681	seep:I137_06875
ko:K13634	seep:I137_06890
ko:K03168	seep:I137_06895
ko:K06178	seep:I137_06920
ko:K07053	seep:I137_06930
ko:K01657	seep:I137_06935
ko:K13497	seep:I137_06940
ko:K01696	seep:I137_06950
ko:K01695	seep:I137_06955
ko:K07275	seep:I137_06975
ko:K06940	seep:I137_06980
ko:K06190	seep:I137_06990
ko:K10806	seep:I137_06995
ko:K03832	seep:I137_07000
ko:K09780	seep:I137_07005
ko:K06131	seep:I137_07010
ko:K09901	seep:I137_07015
ko:K10716	seep:I137_07020
ko:K15581	seep:I137_07040
ko:K15580	seep:I137_07045
ko:K04072	seep:I137_07055
ko:K00963	seep:I137_07070
ko:K07001	seep:I137_07085
ko:K09858	seep:I137_07090
ko:K01433	seep:I137_07095
ko:K03809	seep:I137_08810
ko:K01085	seep:I137_08820
ko:K05516	seep:I137_08845
ko:K02511	seep:I137_08865
ko:K02509	seep:I137_08870
ko:K00455	seep:I137_08880
ko:K05921	seep:I137_08890
ko:K07127	seep:I137_08910
ko:K01512	seep:I137_08975
ko:K06969	seep:I137_08990
ko:K11940	seep:I137_08995
ko:K06929	seep:I137_09000
ko:K01734	seep:I137_09010
ko:K03658	seep:I137_09015
ko:K09911	seep:I137_09045
ko:K04770	seep:I137_09050
ko:K01716	seep:I137_09055
ko:K09857	seep:I137_09060
ko:K06192	seep:I137_09065
ko:K03808	seep:I137_09070
ko:K15738	seep:I137_09075
ko:K12297	seep:I137_09080
ko:K07140	seep:I137_09085
ko:K01256	seep:I137_09100
ko:K00763	seep:I137_09105
ko:K03310	seep:I137_09110
ko:K01751	seep:I137_09115
ko:K01893	seep:I137_09125
ko:K03804	seep:I137_09155
ko:K03633	seep:I137_09160
ko:K06219	seep:I137_09165
ko:K00979	seep:I137_09180
ko:K09791	seep:I137_09185
ko:K00912	seep:I137_09190
ko:K05788	seep:I137_09205
ko:K02945	seep:I137_09210
ko:K00945	seep:I137_09215
ko:K07387	seep:I137_09220
ko:K00800	seep:I137_09225
ko:K00831	seep:I137_09230
ko:K09136	seep:I137_09240
ko:K00656	seep:I137_09250
ko:K04069	seep:I137_09265
ko:K08219	seep:I137_09275
ko:K01875	seep:I137_09295
ko:K07478	seep:I137_09300
ko:K03634	seep:I137_09305
ko:K03466	seep:I137_09310
ko:K00384	seep:I137_09320
ko:K00684	seep:I137_09335
ko:K02518	seep:I137_09340
ko:K06911	seep:I137_09350
ko:K03694	seep:I137_09375
ko:K06891	seep:I137_09380
ko:K03704	seep:I137_09385
ko:K13888	seep:I137_09390
ko:K09824	seep:I137_09395
ko:K05601	seep:I137_09410
ko:K11933	seep:I137_09415
ko:K00156	seep:I137_09420
ko:K01620	seep:I137_09425
ko:K09997	seep:I137_09455
ko:K09999	seep:I137_09460
ko:K09996	seep:I137_09470
ko:K03212	seep:I137_09490
ko:K11074	seep:I137_09500
ko:K11075	seep:I137_09505
ko:K11076	seep:I137_09510
ko:K11073	seep:I137_09515
ko:K07085	seep:I137_09550
ko:K08160	seep:I137_09570
ko:K11534	seep:I137_09580
ko:K00311	seep:I137_09605
ko:K03522	seep:I137_09620
ko:K03521	seep:I137_09625
ko:K14441	seep:I137_09640
ko:K13891	seep:I137_09645
ko:K13890	seep:I137_09650
ko:K13889	seep:I137_09655
ko:K13892	seep:I137_09660
ko:K13051	seep:I137_09665
ko:K03750	seep:I137_09670
ko:K04069	seep:I137_09680
ko:K00656	seep:I137_09685
ko:K11924	seep:I137_09710
ko:K11934	seep:I137_09725
ko:K11939	seep:I137_09730
ko:K04047	seep:I137_09735
ko:K10036	seep:I137_09745
ko:K10037	seep:I137_09750
ko:K11927	seep:I137_09795
ko:K01993	seep:I137_09805
ko:K06890	seep:I137_09855
ko:K06890	seep:I137_09860
ko:K03636	seep:I137_09870
ko:K03637	seep:I137_09875
ko:K03638	seep:I137_09880
ko:K03639	seep:I137_09885
ko:K03702	seep:I137_09895
ko:K01935	seep:I137_09900
ko:K01012	seep:I137_09915
ko:K00833	seep:I137_09920
ko:K01745	seep:I137_09930
ko:K05836	seep:I137_09935
ko:K01468	seep:I137_09945
ko:K01051	seep:I137_09950
ko:K02018	seep:I137_09970
ko:K02020	seep:I137_09975
ko:K02019	seep:I137_09985
ko:K00965	seep:I137_10000
ko:K00849	seep:I137_10005
ko:K02013	seep:I137_10020
ko:K02015	seep:I137_10025
ko:K01573	seep:I137_10045
ko:K01677	seep:I137_10065
ko:K01678	seep:I137_10070
ko:K01626	seep:I137_10075
ko:K16264	seep:I137_10085
ko:K05809	seep:I137_12805
ko:K14170	seep:I137_12810
ko:K14187	seep:I137_12820
ko:K01626	seep:I137_12825
ko:K02884	seep:I137_12840
ko:K00554	seep:I137_12845
ko:K02860	seep:I137_12850
ko:K02959	seep:I137_12855
ko:K03106	seep:I137_12860
ko:K03687	seep:I137_12880
ko:K00858	seep:I137_12885
ko:K03631	seep:I137_12890
ko:K06186	seep:I137_12895
ko:K09801	seep:I137_12900
ko:K03664	seep:I137_12910
ko:K12543	seep:I137_12930
ko:K12542	seep:I137_12935
ko:K10110	seep:I137_20185
ko:K10109	seep:I137_20190
ko:K10108	seep:I137_20195
ko:K02024	seep:I137_20205
ko:K05775	seep:I137_20210
ko:K03181	seep:I137_20215
ko:K03179	seep:I137_20220
ko:K00631	seep:I137_20225
ko:K00901	seep:I137_20230
ko:K01356	seep:I137_20235
ko:K03327	seep:I137_20240
ko:K09823	seep:I137_20255
ko:K05539	seep:I137_20265
ko:K01775	seep:I137_20285
ko:K00832	seep:I137_20290
ko:K03788	seep:I137_20295
ko:K03701	seep:I137_20320
ko:K13631	seep:I137_20375
ko:K13639	seep:I137_20380
ko:K06901	seep:I137_20390
ko:K14393	seep:I137_20420
ko:K01895	seep:I137_20430
ko:K03385	seep:I137_20435
ko:K04013	seep:I137_20440
ko:K04014	seep:I137_20445
ko:K04016	seep:I137_20455
ko:K11605	seep:I137_13625
ko:K11606	seep:I137_13630
ko:K03221	seep:I137_13675
ko:K02078	seep:I137_13715
ko:K03225	seep:I137_13765
ko:K03230	seep:I137_13790
ko:K07314	seep:I137_13830
ko:K01754	seep:I137_16880
ko:K01687	seep:I137_16885
ko:K00826	seep:I137_16890
ko:K11258	seep:I137_16895
ko:K01652	seep:I137_16900
ko:K07391	seep:I137_16905
ko:K09897	seep:I137_16910
ko:K02939	seep:I137_20995
ko:K07269	seep:I137_21005
ko:K03773	seep:I137_21010
ko:K11737	seep:I137_21015
ko:K07322	seep:I137_21030
ko:K07109	seep:I137_21060
ko:K07278	seep:I137_21080
ko:K09800	seep:I137_21085
ko:K03841	seep:I137_21110
ko:K02558	seep:I137_21115
ko:K09889	seep:I137_21120
ko:K03592	seep:I137_21125
ko:K15536	seep:I137_21130
ko:K01042	seep:I137_21160
ko:K02818	seep:I137_21195
ko:K02819	seep:I137_21195
ko:K03485	seep:I137_21200
ko:K01531	seep:I137_21205
ko:K00610	seep:I137_21220
ko:K00609	seep:I137_21225
ko:K00611	seep:I137_21245
ko:K00926	seep:I137_21250
ko:K03517	seep:I137_10090
ko:K03640	seep:I137_10110
ko:K03641	seep:I137_10115
ko:K03562	seep:I137_10130
ko:K07107	seep:I137_10135
ko:K00426	seep:I137_10150
ko:K01902	seep:I137_10160
ko:K01903	seep:I137_10165
ko:K00658	seep:I137_10170
ko:K00240	seep:I137_10180
ko:K00242	seep:I137_10190
ko:K01647	seep:I137_10200
ko:K07160	seep:I137_10210
ko:K03305	seep:I137_10230
ko:K01669	seep:I137_10235
ko:K01546	seep:I137_10250
ko:K01547	seep:I137_10255
ko:K07646	seep:I137_10265
ko:K07667	seep:I137_10270
ko:K01581	seep:I137_10280
ko:K03645	seep:I137_10300
ko:K03839	seep:I137_10315
ko:K13794	seep:I137_10325
ko:K13796	seep:I137_10330
ko:K13795	seep:I137_10335
ko:K03288	seep:I137_10340
ko:K01886	seep:I137_10355
ko:K01443	seep:I137_10370
ko:K02565	seep:I137_10375
ko:K00371	seep:I137_07125
ko:K00370	seep:I137_07130
ko:K02575	seep:I137_07135
ko:K01627	seep:I137_07170
ko:K02493	seep:I137_07185
ko:K02835	seep:I137_07190
ko:K02492	seep:I137_07195
ko:K02494	seep:I137_07200
ko:K00919	seep:I137_07205
ko:K00948	seep:I137_07210
ko:K03321	seep:I137_07215
ko:K01056	seep:I137_07225
ko:K06942	seep:I137_07230
ko:K03620	seep:I137_07255
ko:K00425	seep:I137_07265
ko:K00426	seep:I137_07270
ko:K00261	seep:I137_07280
ko:K01194	seep:I137_07285
ko:K08308	seep:I137_07295
ko:K01775	seep:I137_07310
ko:K03603	seep:I137_07325
ko:K03314	seep:I137_07330
ko:K03611	seep:I137_07335
ko:K09160	seep:I137_07355
ko:K03610	seep:I137_07365
ko:K03609	seep:I137_07370
ko:K03608	seep:I137_07375
ko:K03684	seep:I137_07380
ko:K07285	seep:I137_07390
ko:K09917	seep:I137_07410
ko:K01665	seep:I137_07415
ko:K01752	seep:I137_07425
ko:K00563	seep:I137_07470
ko:K03587	seep:I137_07475
ko:K03704	seep:I137_07480
ko:K08169	seep:I137_07510
ko:K03799	seep:I137_07515
ko:K03797	seep:I137_07520
ko:K03607	seep:I137_07525
ko:K03808	seep:I137_07535
ko:K09802	seep:I137_03790
ko:K16651	seep:I137_03795
ko:K04029	seep:I137_03805
ko:K04031	seep:I137_03810
ko:K13922	seep:I137_03830
ko:K13920	seep:I137_03875
ko:K13919	seep:I137_03880
ko:K02224	seep:I137_03905
ko:K02227	seep:I137_03910
ko:K06042	seep:I137_03915
ko:K02188	seep:I137_03920
ko:K02191	seep:I137_03930
ko:K05936	seep:I137_03935
ko:K02189	seep:I137_03940
ko:K05895	seep:I137_03950
ko:K02007	seep:I137_03965
ko:K02008	seep:I137_03975
ko:K02232	seep:I137_03985
ko:K02231	seep:I137_03990
ko:K02233	seep:I137_03995
ko:K00768	seep:I137_04000
ko:K01241	seep:I137_04030
ko:K07733	seep:I137_04075
ko:K09933	seep:I137_04230
ko:K12972	seep:I137_04270
ko:K06214	seep:I137_04290
ko:K04338	seep:I137_04295
ko:K04337	seep:I137_04300
ko:K04335	seep:I137_04310
ko:K04334	seep:I137_04315
ko:K04336	seep:I137_04320
ko:K11941	seep:I137_04340
ko:K03670	seep:I137_04345
ko:K03669	seep:I137_04350
ko:K02517	seep:I137_04370
ko:K07146	seep:I137_04375
ko:K02846	seep:I137_04395
ko:K12148	seep:I137_04400
ko:K01465	seep:I137_04410
ko:K03675	seep:I137_04420
ko:K08162	seep:I137_04425
ko:K03790	seep:I137_04430
ko:K09915	seep:I137_04435
ko:K03980	seep:I137_04445
ko:K02399	seep:I137_04450
ko:K02398	seep:I137_04455
ko:K02386	seep:I137_04460
ko:K02387	seep:I137_04465
ko:K02388	seep:I137_04470
ko:K02389	seep:I137_04475
ko:K02390	seep:I137_04480
ko:K02391	seep:I137_04485
ko:K02392	seep:I137_04490
ko:K02393	seep:I137_04495
ko:K02394	seep:I137_04500
ko:K02395	seep:I137_04505
ko:K02397	seep:I137_04515
ko:K07040	seep:I137_04545
ko:K02911	seep:I137_04550
ko:K03621	seep:I137_04555
ko:K00648	seep:I137_04560
ko:K00645	seep:I137_04565
ko:K02078	seep:I137_04575
ko:K07082	seep:I137_04590
ko:K00943	seep:I137_04595
ko:K02341	seep:I137_04600
ko:K03424	seep:I137_04605
ko:K02503	seep:I137_04615
ko:K07337	seep:I137_04625
ko:K07251	seep:I137_04630
ko:K01207	seep:I137_04635
ko:K07000	seep:I137_04640
ko:K03885	seep:I137_04645
ko:K12151	seep:I137_04660
ko:K03723	seep:I137_04670
ko:K09808	seep:I137_04675
ko:K09810	seep:I137_04680
ko:K09808	seep:I137_04685
ko:K12410	seep:I137_04695
ko:K07637	seep:I137_04740
ko:K01756	seep:I137_04750
ko:K07153	seep:I137_04755
ko:K00566	seep:I137_04760
ko:K12152	seep:I137_04765
ko:K06181	seep:I137_04775
ko:K00031	seep:I137_04780
ko:K03704	seep:I137_04810
ko:K07804	seep:I137_04815
ko:K04080	seep:I137_04840
ko:K02034	seep:I137_04865
ko:K11250	seep:I137_04925
ko:K09712	seep:I137_04950
ko:K03449	seep:I137_04965
ko:K09786	seep:I137_05000
ko:K01792	seep:I137_05015
ko:K00134	seep:I137_05025
ko:K09916	seep:I137_05035
ko:K08369	seep:I137_05050
ko:K08369	seep:I137_05090
ko:K08281	seep:I137_05095
ko:K01008	seep:I137_05115
ko:K00262	seep:I137_05120
ko:K08320	seep:I137_05130
ko:K03635	seep:I137_09865
ko:K00652	seep:I137_09910
ko:K06910	seep:I137_09925
ko:K07404	seep:I137_09955
ko:K02017	seep:I137_09965
ko:K01784	seep:I137_09995
ko:K01785	seep:I137_10010
ko:K01834	seep:I137_10015
ko:K01572	seep:I137_10035
ko:K01571	seep:I137_10040
ko:K03560	seep:I137_10125
ko:K00241	seep:I137_10195
ko:K07120	seep:I137_10205
ko:K01545	seep:I137_10245
ko:K03756	seep:I137_10285
ko:K01835	seep:I137_10295
ko:K03711	seep:I137_10320
ko:K02564	seep:I137_10365
ko:K01142	seep:I137_05135
ko:K00840	seep:I137_05140
ko:K00673	seep:I137_05145
ko:K06447	seep:I137_05150
ko:K01484	seep:I137_05155
