ko:K07489	ypj:CH55_3572
ko:K00265	ypj:CH55_2467
ko:K00266	ypj:CH55_2468
ko:K00266	ypj:CH55_2469
ko:K03600	ypj:CH55_2471
ko:K03599	ypj:CH55_2472
ko:K02996	ypj:CH55_2473
ko:K02871	ypj:CH55_2474
ko:K06916	ypj:CH55_2475
ko:K09908	ypj:CH55_2477
ko:K07491	ypj:CH55_2479
ko:K04691	ypj:CH55_2480
ko:K00790	ypj:CH55_2481
ko:K07122	ypj:CH55_2483
ko:K07323	ypj:CH55_2484
ko:K02067	ypj:CH55_2485
ko:K02066	ypj:CH55_2486
ko:K02065	ypj:CH55_2487
ko:K07301	ypj:CH55_2488
ko:K06041	ypj:CH55_2489
ko:K03270	ypj:CH55_2490
ko:K11719	ypj:CH55_2491
ko:K09774	ypj:CH55_2492
ko:K06861	ypj:CH55_2493
ko:K03092	ypj:CH55_2494
ko:K05808	ypj:CH55_2495
ko:K02806	ypj:CH55_2496
ko:K06958	ypj:CH55_2497
ko:K08485	ypj:CH55_2498
ko:K00609	ypj:CH55_2499
ko:K00610	ypj:CH55_2500
ko:K09022	ypj:CH55_2501
ko:K03485	ypj:CH55_2503
ko:K02818	ypj:CH55_2504
ko:K02819	ypj:CH55_2504
ko:K02014	ypj:CH55_3311
ko:K01258	ypj:CH55_3312
ko:K12942	ypj:CH55_3313
ko:K12678	ypj:CH55_3317
ko:K07483	ypj:CH55_3326
ko:K02956	ypj:CH55_3327
ko:K03177	ypj:CH55_3328
ko:K02834	ypj:CH55_3329
ko:K02519	ypj:CH55_3330
ko:K02600	ypj:CH55_3331
ko:K09748	ypj:CH55_3332
ko:K03075	ypj:CH55_3335
ko:K03431	ypj:CH55_3336
ko:K00796	ypj:CH55_3337
ko:K03798	ypj:CH55_3338
ko:K02427	ypj:CH55_3339
ko:K07574	ypj:CH55_3340
ko:K03624	ypj:CH55_3341
ko:K07259	ypj:CH55_3342
ko:K07771	ypj:CH55_3343
ko:K07643	ypj:CH55_3344
ko:K03979	ypj:CH55_3345
ko:K02899	ypj:CH55_3347
ko:K02888	ypj:CH55_3348
ko:K02523	ypj:CH55_3349
ko:K07724	ypj:CH55_3351
ko:K00024	ypj:CH55_3352
ko:K03402	ypj:CH55_3353
ko:K02558	ypj:CH55_3355
ko:K03841	ypj:CH55_3356
ko:K01507	ypj:CH55_3357
ko:K07491	ypj:CH55_4194
ko:K07491	ypj:CH55_4195
ko:K07128	ypj:CH55_4204
ko:K07128	ypj:CH55_4206
ko:K02200	ypj:CH55_1
ko:K04754	ypj:CH55_3
ko:K06076	ypj:CH55_4
ko:K01782	ypj:CH55_7
ko:K08296	ypj:CH55_8
ko:K07320	ypj:CH55_10
ko:K01736	ypj:CH55_11
ko:K07261	ypj:CH55_12
ko:K07090	ypj:CH55_13
ko:K09906	ypj:CH55_14
ko:K15461	ypj:CH55_16
ko:K00647	ypj:CH55_17
ko:K01779	ypj:CH55_18
ko:K03473	ypj:CH55_23
ko:K06173	ypj:CH55_25
ko:K03975	ypj:CH55_26
ko:K01963	ypj:CH55_27
ko:K11754	ypj:CH55_28
ko:K03749	ypj:CH55_29
ko:K03558	ypj:CH55_30
ko:K00764	ypj:CH55_31
ko:K03186	ypj:CH55_32
ko:K02396	ypj:CH55_869
ko:K02395	ypj:CH55_870
ko:K02394	ypj:CH55_871
ko:K02393	ypj:CH55_872
ko:K02392	ypj:CH55_873
ko:K02391	ypj:CH55_874
ko:K02390	ypj:CH55_875
ko:K02389	ypj:CH55_876
ko:K02388	ypj:CH55_877
ko:K02387	ypj:CH55_878
ko:K02386	ypj:CH55_879
ko:K02398	ypj:CH55_880
ko:K02399	ypj:CH55_881
ko:K07491	ypj:CH55_883
ko:K03516	ypj:CH55_885
ko:K02400	ypj:CH55_886
ko:K02401	ypj:CH55_887
ko:K07245	ypj:CH55_891
ko:K07156	ypj:CH55_892
ko:K02217	ypj:CH55_893
ko:K02345	ypj:CH55_894
ko:K01259	ypj:CH55_895
ko:K01354	ypj:CH55_897
ko:K09900	ypj:CH55_899
ko:K09918	ypj:CH55_900
ko:K05591	ypj:CH55_901
ko:K08289	ypj:CH55_902
ko:K09917	ypj:CH55_903
ko:K01665	ypj:CH55_904
ko:K01752	ypj:CH55_906
ko:K00484	ypj:CH55_907
ko:K00483	ypj:CH55_908
ko:K02511	ypj:CH55_909
ko:K02511	ypj:CH55_910
ko:K02510	ypj:CH55_911
ko:K02509	ypj:CH55_912
ko:K01826	ypj:CH55_913
ko:K00455	ypj:CH55_914
ko:K00151	ypj:CH55_915
ko:K05921	ypj:CH55_916
ko:K05921	ypj:CH55_917
ko:K02793	ypj:CH55_920
ko:K02794	ypj:CH55_920
ko:K19162	ypj:CH55_1715
ko:K05839	ypj:CH55_1716
ko:K07443	ypj:CH55_1717
ko:K09914	ypj:CH55_1718
ko:K10805	ypj:CH55_1719
ko:K06166	ypj:CH55_2040
ko:K06165	ypj:CH55_2042
ko:K06164	ypj:CH55_2043
ko:K06163	ypj:CH55_2044
ko:K05781	ypj:CH55_2045
ko:K05780	ypj:CH55_2046
ko:K06162	ypj:CH55_2047
ko:K05774	ypj:CH55_2048
ko:K06167	ypj:CH55_2049
ko:K09979	ypj:CH55_2051
ko:K10112	ypj:CH55_2053
ko:K02026	ypj:CH55_2054
ko:K02025	ypj:CH55_2055
ko:K02027	ypj:CH55_2056
ko:K07461	ypj:CH55_2059
ko:K03824	ypj:CH55_2060
ko:K08303	ypj:CH55_2062
ko:K18139	ypj:CH55_2064
ko:K18138	ypj:CH55_2065
ko:K03585	ypj:CH55_2066
ko:K03585	ypj:CH55_2067
ko:K05592	ypj:CH55_2073
ko:K05803	ypj:CH55_2074
ko:K00962	ypj:CH55_2075
ko:K07483	ypj:CH55_2077
ko:K04759	ypj:CH55_2875
ko:K04758	ypj:CH55_2876
ko:K06959	ypj:CH55_2877
ko:K04760	ypj:CH55_2878
ko:K07659	ypj:CH55_2879
ko:K07638	ypj:CH55_2880
ko:K01610	ypj:CH55_2881
ko:K04083	ypj:CH55_2882
ko:K04762	ypj:CH55_2883
ko:K08312	ypj:CH55_2887
ko:K05366	ypj:CH55_2888
ko:K12288	ypj:CH55_2889
ko:K12289	ypj:CH55_2890
ko:K12290	ypj:CH55_2891
ko:K12291	ypj:CH55_2892
ko:K02507	ypj:CH55_2893
ko:K00891	ypj:CH55_2894
ko:K01735	ypj:CH55_2895
ko:K03112	ypj:CH55_2896
ko:K01783	ypj:CH55_2898
ko:K01091	ypj:CH55_2899
ko:K01867	ypj:CH55_2900
ko:K02302	ypj:CH55_2901
ko:K02598	ypj:CH55_2902
ko:K00363	ypj:CH55_2903
ko:K00362	ypj:CH55_2904
ko:K01485	ypj:CH55_2905
ko:K06141	ypj:CH55_2906
ko:K02014	ypj:CH55_2907
ko:K01222	ypj:CH55_2909
ko:K03767	ypj:CH55_2910
ko:K06915	ypj:CH55_2911
ko:K01664	ypj:CH55_2912
ko:K10914	ypj:CH55_2915
ko:K07397	ypj:CH55_2916
ko:K00855	ypj:CH55_2918
ko:K09898	ypj:CH55_2919
ko:K07019	ypj:CH55_2920
ko:K15551	ypj:CH55_2922
ko:K10831	ypj:CH55_2923
ko:K15552	ypj:CH55_2924
ko:K03119	ypj:CH55_2925
ko:K07396	ypj:CH55_3739
ko:K01586	ypj:CH55_3746
ko:K02529	ypj:CH55_3745
ko:K08351	ypj:CH55_3747
ko:K05939	ypj:CH55_3749
ko:K08227	ypj:CH55_3750
ko:K03573	ypj:CH55_3754
ko:K08311	ypj:CH55_3755
ko:K08484	ypj:CH55_3756
ko:K08484	ypj:CH55_3757
ko:K13292	ypj:CH55_3758
ko:K02679	ypj:CH55_3761
ko:K02680	ypj:CH55_3762
ko:K02681	ypj:CH55_3764
ko:K03583	ypj:CH55_3765
ko:K01407	ypj:CH55_3766
ko:K03582	ypj:CH55_3767
ko:K03581	ypj:CH55_3768
ko:K14682	ypj:CH55_3769
ko:K01448	ypj:CH55_3770
ko:K08304	ypj:CH55_3773
ko:K02426	ypj:CH55_3775
ko:K01766	ypj:CH55_3776
ko:K03566	ypj:CH55_3778
ko:K06968	ypj:CH55_3780
ko:K01146	ypj:CH55_3781
ko:K06966	ypj:CH55_3782
ko:K06879	ypj:CH55_3783
ko:K15723	ypj:CH55_3784
ko:K07491	ypj:CH55_3785
ko:K06175	ypj:CH55_3787
ko:K07491	ypj:CH55_3790
ko:K00674	ypj:CH55_3791
ko:K03320	ypj:CH55_1720
ko:K04752	ypj:CH55_1721
ko:K18890	ypj:CH55_1722
ko:K18889	ypj:CH55_1723
ko:K05800	ypj:CH55_1724
ko:K01738	ypj:CH55_1725
ko:K11938	ypj:CH55_1726
ko:K06920	ypj:CH55_1728
ko:K12500	ypj:CH55_1729
ko:K02237	ypj:CH55_1730
ko:K03770	ypj:CH55_1731
ko:K03530	ypj:CH55_1732
ko:K01338	ypj:CH55_1733
ko:K03544	ypj:CH55_1734
ko:K01358	ypj:CH55_1735
ko:K03545	ypj:CH55_1736
ko:K05527	ypj:CH55_1738
ko:K07286	ypj:CH55_1739
ko:K08218	ypj:CH55_1740
ko:K02297	ypj:CH55_1742
ko:K02298	ypj:CH55_1743
ko:K02299	ypj:CH55_1744
ko:K02300	ypj:CH55_1745
ko:K09767	ypj:CH55_1748
ko:K00077	ypj:CH55_1749
ko:K03152	ypj:CH55_1750
ko:K03151	ypj:CH55_1751
ko:K03602	ypj:CH55_1752
ko:K00795	ypj:CH55_1753
ko:K01662	ypj:CH55_1754
ko:K07491	ypj:CH55_1755
ko:K01095	ypj:CH55_1756
ko:K00946	ypj:CH55_1757
ko:K03625	ypj:CH55_1758
ko:K00794	ypj:CH55_1759
ko:K11752	ypj:CH55_1760
ko:K07738	ypj:CH55_1761
ko:K07491	ypj:CH55_1764
ko:K03074	ypj:CH55_1765
ko:K07491	ypj:CH55_2559
ko:K11209	ypj:CH55_2562
ko:K02057	ypj:CH55_2565
ko:K02057	ypj:CH55_2566
ko:K02056	ypj:CH55_2567
ko:K02058	ypj:CH55_2568
ko:K12974	ypj:CH55_2569
ko:K03316	ypj:CH55_2571
ko:K06901	ypj:CH55_2572
ko:K07473	ypj:CH55_2573
ko:K15555	ypj:CH55_2574
ko:K15554	ypj:CH55_2575
ko:K04091	ypj:CH55_2576
ko:K15553	ypj:CH55_2577
ko:K00299	ypj:CH55_2578
ko:K01619	ypj:CH55_2579
ko:K00852	ypj:CH55_2580
ko:K02057	ypj:CH55_2581
ko:K11904	ypj:CH55_2588
ko:K19048	ypj:CH55_2591
ko:K11904	ypj:CH55_2597
ko:K11911	ypj:CH55_2598
ko:K11911	ypj:CH55_2599
ko:K11891	ypj:CH55_2600
ko:K11910	ypj:CH55_2601
ko:K11909	ypj:CH55_2602
ko:K11907	ypj:CH55_2604
ko:K11892	ypj:CH55_2605
ko:K11893	ypj:CH55_2606
ko:K11906	ypj:CH55_2607
ko:K11895	ypj:CH55_2609
ko:K11896	ypj:CH55_2610
ko:K04078	ypj:CH55_3414
ko:K07113	ypj:CH55_3415
ko:K01744	ypj:CH55_3416
ko:K07791	ypj:CH55_3417
ko:K03926	ypj:CH55_3418
ko:K04084	ypj:CH55_3419
ko:K05796	ypj:CH55_3421
ko:K02856	ypj:CH55_3429
ko:K02854	ypj:CH55_3430
ko:K02855	ypj:CH55_3431
ko:K00848	ypj:CH55_3434
ko:K01813	ypj:CH55_3435
ko:K01629	ypj:CH55_3436
ko:K03534	ypj:CH55_3438
ko:K03111	ypj:CH55_3439
ko:K03701	ypj:CH55_3440
ko:K00832	ypj:CH55_3442
ko:K01775	ypj:CH55_3443
ko:K05539	ypj:CH55_3447
ko:K09823	ypj:CH55_3448
ko:K01356	ypj:CH55_3449
ko:K00901	ypj:CH55_3450
ko:K00631	ypj:CH55_3451
ko:K03179	ypj:CH55_3452
ko:K03181	ypj:CH55_3453
ko:K05795	ypj:CH55_3461
ko:K05795	ypj:CH55_3462
ko:K05794	ypj:CH55_3463
ko:K05793	ypj:CH55_3464
ko:K05792	ypj:CH55_3465
ko:K05791	ypj:CH55_3466
ko:K03229	ypj:CH55_4285
ko:K03228	ypj:CH55_4286
ko:K03227	ypj:CH55_4287
ko:K03226	ypj:CH55_4288
ko:K03225	ypj:CH55_4289
ko:K04056	ypj:CH55_4291
ko:K03224	ypj:CH55_4292
ko:K03224	ypj:CH55_4293
ko:K04058	ypj:CH55_4294
ko:K04059	ypj:CH55_4297
ko:K04060	ypj:CH55_4298
ko:K03230	ypj:CH55_4299
ko:K08599	ypj:CH55_4313
ko:K07483	ypj:CH55_4316
ko:K03496	ypj:CH55_4320
ko:K03497	ypj:CH55_4321
ko:K07746	ypj:CH55_4323
ko:K06970	ypj:CH55_90
ko:K03406	ypj:CH55_94
ko:K10038	ypj:CH55_96
ko:K10037	ypj:CH55_97
ko:K10036	ypj:CH55_98
ko:K04047	ypj:CH55_100
ko:K00598	ypj:CH55_101
ko:K11939	ypj:CH55_103
ko:K11934	ypj:CH55_104
ko:K00008	ypj:CH55_108
ko:K10439	ypj:CH55_109
ko:K10441	ypj:CH55_110
ko:K10440	ypj:CH55_111
ko:K02529	ypj:CH55_112
ko:K16135	ypj:CH55_113
ko:K07246	ypj:CH55_114
ko:K03451	ypj:CH55_115
ko:K15125	ypj:CH55_120
ko:K15125	ypj:CH55_121
ko:K10111	ypj:CH55_129
ko:K01840	ypj:CH55_130
ko:K02027	ypj:CH55_132
ko:K02025	ypj:CH55_133
ko:K02026	ypj:CH55_134
ko:K16053	ypj:CH55_139
ko:K15342	ypj:CH55_140
ko:K07012	ypj:CH55_141
ko:K19127	ypj:CH55_142
ko:K09802	ypj:CH55_978
ko:K01141	ypj:CH55_980
ko:K08317	ypj:CH55_983
ko:K02056	ypj:CH55_984
ko:K02056	ypj:CH55_985
ko:K02057	ypj:CH55_986
ko:K00765	ypj:CH55_989
ko:K00013	ypj:CH55_990
ko:K00817	ypj:CH55_991
ko:K01089	ypj:CH55_992
ko:K02501	ypj:CH55_993
ko:K01814	ypj:CH55_994
ko:K02500	ypj:CH55_995
ko:K11755	ypj:CH55_996
ko:K00033	ypj:CH55_997
ko:K00963	ypj:CH55_998
ko:K00963	ypj:CH55_999
ko:K16088	ypj:CH55_1001
ko:K02016	ypj:CH55_1002
ko:K02015	ypj:CH55_1003
ko:K02015	ypj:CH55_1004
ko:K02013	ypj:CH55_1005
ko:K03897	ypj:CH55_1008
ko:K13745	ypj:CH55_1009
ko:K13255	ypj:CH55_1010
ko:K07289	ypj:CH55_1012
ko:K01494	ypj:CH55_1013
ko:K00876	ypj:CH55_1014
ko:K03593	ypj:CH55_1015
ko:K01874	ypj:CH55_1016
ko:K07491	ypj:CH55_1017
ko:K02058	ypj:CH55_1019
ko:K06518	ypj:CH55_1023
ko:K01489	ypj:CH55_1025
ko:K00027	ypj:CH55_1026
ko:K03748	ypj:CH55_1027
ko:K10541	ypj:CH55_1028
ko:K06445	ypj:CH55_1817
ko:K02083	ypj:CH55_1822
ko:K02028	ypj:CH55_1824
ko:K02029	ypj:CH55_1825
ko:K02029	ypj:CH55_1826
ko:K02030	ypj:CH55_1827
ko:K15974	ypj:CH55_1835
ko:K03543	ypj:CH55_1836
ko:K03446	ypj:CH55_1837
ko:K03214	ypj:CH55_1838
ko:K03672	ypj:CH55_1839
ko:K05812	ypj:CH55_1840
ko:K00998	ypj:CH55_1842
ko:K05811	ypj:CH55_1843
ko:K03695	ypj:CH55_1849
ko:K05810	ypj:CH55_1850
ko:K06180	ypj:CH55_1851
ko:K05807	ypj:CH55_1852
ko:K05809	ypj:CH55_1853
ko:K07491	ypj:CH55_1854
ko:K14170	ypj:CH55_1855
ko:K14187	ypj:CH55_1859
ko:K01626	ypj:CH55_1860
ko:K02477	ypj:CH55_1861
ko:K07792	ypj:CH55_1862
ko:K07792	ypj:CH55_1863
ko:K07792	ypj:CH55_1864
ko:K07283	ypj:CH55_1865
ko:K07491	ypj:CH55_1866
ko:K07491	ypj:CH55_1867
ko:K02884	ypj:CH55_1868
ko:K00554	ypj:CH55_1869
ko:K01521	ypj:CH55_2666
ko:K07290	ypj:CH55_2665
ko:K07290	ypj:CH55_2667
ko:K01821	ypj:CH55_2669
ko:K00874	ypj:CH55_2670
ko:K11103	ypj:CH55_2672
ko:K01728	ypj:CH55_2674
ko:K12372	ypj:CH55_2678
ko:K12371	ypj:CH55_2679
ko:K12370	ypj:CH55_2680
ko:K12369	ypj:CH55_2681
ko:K12368	ypj:CH55_2682
ko:K07491	ypj:CH55_2686
ko:K07783	ypj:CH55_2688
ko:K07675	ypj:CH55_2689
ko:K12975	ypj:CH55_2691
ko:K16234	ypj:CH55_2693
ko:K01745	ypj:CH55_2694
ko:K01712	ypj:CH55_2695
ko:K01738	ypj:CH55_2696
ko:K00759	ypj:CH55_2697
ko:K02016	ypj:CH55_2700
ko:K02015	ypj:CH55_2701
ko:K02015	ypj:CH55_2702
ko:K02013	ypj:CH55_2704
ko:K02529	ypj:CH55_2713
ko:K10544	ypj:CH55_2714
ko:K10545	ypj:CH55_2715
ko:K10543	ypj:CH55_2716
ko:K01805	ypj:CH55_2717
ko:K06147	ypj:CH55_3526
ko:K06147	ypj:CH55_3527
ko:K16321	ypj:CH55_3531
ko:K11904	ypj:CH55_3535
ko:K14445	ypj:CH55_3540
ko:K02529	ypj:CH55_3541
ko:K07483	ypj:CH55_3544
ko:K02014	ypj:CH55_3546
ko:K03897	ypj:CH55_3547
ko:K03895	ypj:CH55_3548
ko:K03896	ypj:CH55_3549
ko:K03894	ypj:CH55_3550
ko:K03894	ypj:CH55_3551
ko:K07052	ypj:CH55_3558
ko:K11901	ypj:CH55_3563
ko:K11900	ypj:CH55_3564
ko:K11893	ypj:CH55_3565
ko:K11892	ypj:CH55_3566
ko:K11903	ypj:CH55_3568
ko:K11907	ypj:CH55_3569
ko:K11904	ypj:CH55_3570
ko:K01299	ypj:CH55_389
ko:K07491	ypj:CH55_390
ko:K11021	ypj:CH55_391
ko:K04775	ypj:CH55_395
ko:K03578	ypj:CH55_398
ko:K01118	ypj:CH55_399
ko:K00007	ypj:CH55_401
ko:K09978	ypj:CH55_402
ko:K03778	ypj:CH55_405
ko:K03668	ypj:CH55_406
ko:K07507	ypj:CH55_408
ko:K03297	ypj:CH55_409
ko:K03737	ypj:CH55_410
ko:K14058	ypj:CH55_411
ko:K16074	ypj:CH55_415
ko:K15580	ypj:CH55_416
ko:K14054	ypj:CH55_417
ko:K11065	ypj:CH55_419
ko:K07491	ypj:CH55_420
ko:K01151	ypj:CH55_1242
ko:K07347	ypj:CH55_1243
ko:K02769	ypj:CH55_1248
ko:K02770	ypj:CH55_1248
ko:K00882	ypj:CH55_1249
ko:K02768	ypj:CH55_1250
ko:K11183	ypj:CH55_1250
ko:K02057	ypj:CH55_1252
ko:K02056	ypj:CH55_1253
ko:K02058	ypj:CH55_1254
ko:K01807	ypj:CH55_1255
ko:K00854	ypj:CH55_1256
ko:K00135	ypj:CH55_1257
ko:K00058	ypj:CH55_1259
ko:K06940	ypj:CH55_1261
ko:K03835	ypj:CH55_1262
ko:K02356	ypj:CH55_1263
ko:K01686	ypj:CH55_1264
ko:K00040	ypj:CH55_1265
ko:K13637	ypj:CH55_1266
ko:K13694	ypj:CH55_1270
ko:K13893	ypj:CH55_1273
ko:K13894	ypj:CH55_1274
ko:K13895	ypj:CH55_1275
ko:K13896	ypj:CH55_1276
ko:K07552	ypj:CH55_1278
ko:K06183	ypj:CH55_1279
ko:K02897	ypj:CH55_1281
ko:K07491	ypj:CH55_1282
ko:K07491	ypj:CH55_1283
ko:K06899	ypj:CH55_1284
ko:K09904	ypj:CH55_1285
ko:K07014	ypj:CH55_1286
ko:K02406	ypj:CH55_2078
ko:K02397	ypj:CH55_2082
ko:K02396	ypj:CH55_2083
ko:K02395	ypj:CH55_2084
ko:K02394	ypj:CH55_2085
ko:K02393	ypj:CH55_2086
ko:K02392	ypj:CH55_2087
ko:K02391	ypj:CH55_2088
ko:K02390	ypj:CH55_2089
ko:K02389	ypj:CH55_2090
ko:K02388	ypj:CH55_2091
ko:K02387	ypj:CH55_2092
ko:K02386	ypj:CH55_2093
ko:K02398	ypj:CH55_2094
ko:K02399	ypj:CH55_2095
ko:K02412	ypj:CH55_2097
ko:K02411	ypj:CH55_2098
ko:K02410	ypj:CH55_2099
ko:K02409	ypj:CH55_2100
ko:K02408	ypj:CH55_2101
ko:K02416	ypj:CH55_2103
ko:K02417	ypj:CH55_2104
ko:K02419	ypj:CH55_2105
ko:K02420	ypj:CH55_2106
ko:K02421	ypj:CH55_2107
ko:K02401	ypj:CH55_2108
ko:K02400	ypj:CH55_2109
ko:K02016	ypj:CH55_2112
ko:K07491	ypj:CH55_2116
ko:K02278	ypj:CH55_2117
ko:K02279	ypj:CH55_2118
ko:K02280	ypj:CH55_2119
ko:K02282	ypj:CH55_2122
ko:K02283	ypj:CH55_2123
ko:K12510	ypj:CH55_2124
ko:K12511	ypj:CH55_2125
ko:K12512	ypj:CH55_2126
ko:K12513	ypj:CH55_2127
ko:K12514	ypj:CH55_2128
ko:K12515	ypj:CH55_2129
ko:K03559	ypj:CH55_2130
ko:K06158	ypj:CH55_2928
ko:K11748	ypj:CH55_2930
ko:K11747	ypj:CH55_2931
ko:K07070	ypj:CH55_2932
ko:K03775	ypj:CH55_2933
ko:K03745	ypj:CH55_2934
ko:K03772	ypj:CH55_2935
ko:K07235	ypj:CH55_2937
ko:K07236	ypj:CH55_2938
ko:K07237	ypj:CH55_2939
ko:K02950	ypj:CH55_2940
ko:K02992	ypj:CH55_2941
ko:K02355	ypj:CH55_2942
ko:K02358	ypj:CH55_2943
ko:K07491	ypj:CH55_2944
ko:K02192	ypj:CH55_2945
ko:K03594	ypj:CH55_2946
ko:K02946	ypj:CH55_2947
ko:K02906	ypj:CH55_2948
ko:K02926	ypj:CH55_2949
ko:K02892	ypj:CH55_2950
ko:K02886	ypj:CH55_2951
ko:K02965	ypj:CH55_2952
ko:K02890	ypj:CH55_2953
ko:K02982	ypj:CH55_2954
ko:K02878	ypj:CH55_2955
ko:K02904	ypj:CH55_2956
ko:K02961	ypj:CH55_2957
ko:K02874	ypj:CH55_2958
ko:K02895	ypj:CH55_2959
ko:K02931	ypj:CH55_2960
ko:K02954	ypj:CH55_2961
ko:K02994	ypj:CH55_2962
ko:K02933	ypj:CH55_2963
ko:K02881	ypj:CH55_2964
ko:K02988	ypj:CH55_2965
ko:K02907	ypj:CH55_2966
ko:K02876	ypj:CH55_2967
ko:K03076	ypj:CH55_2968
ko:K02919	ypj:CH55_2969
ko:K02952	ypj:CH55_2970
ko:K02948	ypj:CH55_2971
ko:K02986	ypj:CH55_2972
ko:K03040	ypj:CH55_2973
ko:K02879	ypj:CH55_2974
ko:K09890	ypj:CH55_2976
ko:K03282	ypj:CH55_2977
ko:K03499	ypj:CH55_2978
ko:K03500	ypj:CH55_2979
ko:K00604	ypj:CH55_2980
ko:K01462	ypj:CH55_2981
ko:K04096	ypj:CH55_2982
ko:K03747	ypj:CH55_2983
ko:K00990	ypj:CH55_3792
ko:K01265	ypj:CH55_3793
ko:K02967	ypj:CH55_3794
ko:K02357	ypj:CH55_3795
ko:K09903	ypj:CH55_3796
ko:K02838	ypj:CH55_3797
ko:K00099	ypj:CH55_3798
ko:K00806	ypj:CH55_3799
ko:K00981	ypj:CH55_3800
ko:K11749	ypj:CH55_3801
ko:K07277	ypj:CH55_3802
ko:K06142	ypj:CH55_3803
ko:K02536	ypj:CH55_3804
ko:K02372	ypj:CH55_3805
ko:K00677	ypj:CH55_3806
ko:K00748	ypj:CH55_3807
ko:K03470	ypj:CH55_3808
ko:K02337	ypj:CH55_3809
ko:K01962	ypj:CH55_3810
ko:K08234	ypj:CH55_3811
ko:K04075	ypj:CH55_3812
ko:K19000	ypj:CH55_3814
ko:K15034	ypj:CH55_3817
ko:K06079	ypj:CH55_3818
ko:K01881	ypj:CH55_3819
ko:K06080	ypj:CH55_3821
ko:K02073	ypj:CH55_3822
ko:K02072	ypj:CH55_3823
ko:K02071	ypj:CH55_3824
ko:K03273	ypj:CH55_3825
ko:K06222	ypj:CH55_3831
ko:K08307	ypj:CH55_3834
ko:K01069	ypj:CH55_3835
ko:K03469	ypj:CH55_3837
ko:K02342	ypj:CH55_3838
ko:K03457	ypj:CH55_3840
ko:K09015	ypj:CH55_477
ko:K09013	ypj:CH55_478
ko:K09014	ypj:CH55_479
ko:K05997	ypj:CH55_480
ko:K19222	ypj:CH55_481
ko:K09773	ypj:CH55_486
ko:K01626	ypj:CH55_487
ko:K08997	ypj:CH55_488
ko:K08997	ypj:CH55_489
ko:K03800	ypj:CH55_490
ko:K12963	ypj:CH55_492
ko:K12962	ypj:CH55_493
ko:K07264	ypj:CH55_494
ko:K13014	ypj:CH55_495
ko:K10011	ypj:CH55_496
ko:K10012	ypj:CH55_497
ko:K07806	ypj:CH55_498
ko:K06074	ypj:CH55_499
ko:K00432	ypj:CH55_500
ko:K06073	ypj:CH55_501
ko:K04764	ypj:CH55_503
ko:K01890	ypj:CH55_504
ko:K01889	ypj:CH55_505
ko:K02887	ypj:CH55_506
ko:K02916	ypj:CH55_507
ko:K02520	ypj:CH55_508
ko:K01868	ypj:CH55_509
ko:K05595	ypj:CH55_512
ko:K08308	ypj:CH55_513
ko:K11604	ypj:CH55_514
ko:K11607	ypj:CH55_515
ko:K11605	ypj:CH55_516
ko:K11606	ypj:CH55_517
ko:K01815	ypj:CH55_523
ko:K00065	ypj:CH55_524
ko:K01731	ypj:CH55_525
ko:K10193	ypj:CH55_526
ko:K10194	ypj:CH55_527
ko:K10195	ypj:CH55_528
ko:K10192	ypj:CH55_529
ko:K01584	ypj:CH55_1347
ko:K03759	ypj:CH55_1348
ko:K05846	ypj:CH55_1349
ko:K05847	ypj:CH55_1350
ko:K05846	ypj:CH55_1351
ko:K05845	ypj:CH55_1352
ko:K05845	ypj:CH55_1353
ko:K01011	ypj:CH55_1354
ko:K11963	ypj:CH55_1357
ko:K11961	ypj:CH55_1358
ko:K11960	ypj:CH55_1359
ko:K11959	ypj:CH55_1360
ko:K02042	ypj:CH55_1362
ko:K02042	ypj:CH55_1363
ko:K02042	ypj:CH55_1364
ko:K02044	ypj:CH55_1365
ko:K02041	ypj:CH55_1366
ko:K05873	ypj:CH55_1370
ko:K03777	ypj:CH55_1371
ko:K07262	ypj:CH55_1372
ko:K05541	ypj:CH55_1374
ko:K07491	ypj:CH55_1376
ko:K11927	ypj:CH55_1377
ko:K06887	ypj:CH55_1384
ko:K07491	ypj:CH55_1385
ko:K01951	ypj:CH55_1386
ko:K00088	ypj:CH55_1387
ko:K03601	ypj:CH55_1388
ko:K07088	ypj:CH55_1390
ko:K03977	ypj:CH55_1391
ko:K17713	ypj:CH55_1392
ko:K01892	ypj:CH55_1394
ko:K03526	ypj:CH55_1395
ko:K15539	ypj:CH55_1396
ko:K15549	ypj:CH55_2193
ko:K15547	ypj:CH55_2194
ko:K05349	ypj:CH55_2196
ko:K02026	ypj:CH55_2198
ko:K02025	ypj:CH55_2199
ko:K02027	ypj:CH55_2200
ko:K02529	ypj:CH55_2201
ko:K10112	ypj:CH55_2203
ko:K15125	ypj:CH55_2212
ko:K15125	ypj:CH55_2213
ko:K00219	ypj:CH55_2222
ko:K07043	ypj:CH55_2226
ko:K07862	ypj:CH55_2228
ko:K07491	ypj:CH55_2230
ko:K01525	ypj:CH55_2232
ko:K06195	ypj:CH55_2233
ko:K02528	ypj:CH55_2234
ko:K00097	ypj:CH55_2235
ko:K03771	ypj:CH55_2236
ko:K04744	ypj:CH55_2237
ko:K05801	ypj:CH55_2238
ko:K01681	ypj:CH55_312
ko:K01497	ypj:CH55_313
ko:K08992	ypj:CH55_315
