ko:K00127	sbm:Shew185_0102
ko:K06996	sbm:Shew185_4175
ko:K01356	sbm:Shew185_4178
ko:K02014	sbm:Shew185_3573
ko:K02426	sbm:Shew185_3576
ko:K01866	sbm:Shew185_1214
ko:K02227	sbm:Shew185_1219
ko:K00266	sbm:Shew185_1221
ko:K07139	sbm:Shew185_1223
ko:K04761	sbm:Shew185_1225
ko:K08311	sbm:Shew185_1228
ko:K00560	sbm:Shew185_1232
ko:K03313	sbm:Shew185_1233
ko:K03717	sbm:Shew185_1235
ko:K09159	sbm:Shew185_1236
ko:K00278	sbm:Shew185_1238
ko:K03088	sbm:Shew185_1239
ko:K03597	sbm:Shew185_1240
ko:K03598	sbm:Shew185_1241
ko:K03803	sbm:Shew185_1242
ko:K03596	sbm:Shew185_1243
ko:K03100	sbm:Shew185_1244
ko:K00156	sbm:Shew185_2031
ko:K02429	sbm:Shew185_2040
ko:K01921	sbm:Shew185_2043
ko:K00892	sbm:Shew185_2582
ko:K01772	sbm:Shew185_2583
ko:K00939	sbm:Shew185_2584
ko:K05838	sbm:Shew185_2585
ko:K04079	sbm:Shew185_2586
ko:K07287	sbm:Shew185_2589
ko:K03567	sbm:Shew185_2591
ko:K03564	sbm:Shew185_2592
ko:K03799	sbm:Shew185_2595
ko:K05995	sbm:Shew185_2596
ko:K08303	sbm:Shew185_3192
ko:K08303	sbm:Shew185_3196
ko:K07391	sbm:Shew185_4016
ko:K06205	sbm:Shew185_4377
ko:K08998	sbm:Shew185_4380
ko:K07386	sbm:Shew185_3866
ko:K07218	sbm:Shew185_3870
ko:K02198	sbm:Shew185_3878
ko:K02200	sbm:Shew185_3879
ko:K07727	sbm:Shew185_3882
ko:K07054	sbm:Shew185_3896
ko:K06915	sbm:Shew185_3899
ko:K07080	sbm:Shew185_3901
ko:K09794	sbm:Shew185_2989
ko:K00426	sbm:Shew185_2992
ko:K01952	sbm:Shew185_2994
ko:K03282	sbm:Shew185_3845
ko:K00826	sbm:Shew185_4027
ko:K09892	sbm:Shew185_4033
ko:K03673	sbm:Shew185_4035
ko:K06039	sbm:Shew185_4041
ko:K06910	sbm:Shew185_4051
ko:K01581	sbm:Shew185_4053
ko:K03756	sbm:Shew185_4054
ko:K00851	sbm:Shew185_4056
ko:K06145	sbm:Shew185_4058
ko:K07136	sbm:Shew185_4060
ko:K07056	sbm:Shew185_4068
ko:K07121	sbm:Shew185_4069
ko:K07460	sbm:Shew185_4070
ko:K03758	sbm:Shew185_3099
ko:K01716	sbm:Shew185_2605
ko:K03812	sbm:Shew185_2606
ko:K03825	sbm:Shew185_2612
ko:K00759	sbm:Shew185_2616
ko:K09790	sbm:Shew185_2617
ko:K09929	sbm:Shew185_2619
ko:K05541	sbm:Shew185_2622
ko:K06999	sbm:Shew185_2626
ko:K03775	sbm:Shew185_2629
ko:K03415	sbm:Shew185_2633
ko:K07157	sbm:Shew185_2635
ko:K03088	sbm:Shew185_2636
ko:K03977	sbm:Shew185_3001
ko:K02656	sbm:Shew185_3007
ko:K06911	sbm:Shew185_3013
ko:K03830	sbm:Shew185_3014
ko:K09954	sbm:Shew185_3017
ko:K09933	sbm:Shew185_3023
ko:K01620	sbm:Shew185_3026
ko:K03442	sbm:Shew185_3028
ko:K11065	sbm:Shew185_3029
ko:K03113	sbm:Shew185_3033
ko:K07735	sbm:Shew185_3034
ko:K01772	sbm:Shew185_3036
ko:K00432	sbm:Shew185_3037
ko:K02670	sbm:Shew185_3038
ko:K02669	sbm:Shew185_3039
ko:K06997	sbm:Shew185_3040
ko:K03672	sbm:Shew185_3906
ko:K07154	sbm:Shew185_0650
ko:K07154	sbm:Shew185_1983
ko:K09471	sbm:Shew185_1170
ko:K00135	sbm:Shew185_1171
ko:K03305	sbm:Shew185_1174
ko:K00847	sbm:Shew185_1186
ko:K01153	sbm:Shew185_1976
ko:K03427	sbm:Shew185_1977
ko:K01305	sbm:Shew185_1999
ko:K01647	sbm:Shew185_2513
ko:K09900	sbm:Shew185_2517
ko:K09907	sbm:Shew185_2522
ko:K00428	sbm:Shew185_2526
ko:K06899	sbm:Shew185_2527
ko:K09904	sbm:Shew185_2528
ko:K07014	sbm:Shew185_2529
ko:K09781	sbm:Shew185_3388
ko:K06969	sbm:Shew185_3390
ko:K09930	sbm:Shew185_3392
ko:K06213	sbm:Shew185_3396
ko:K01968	sbm:Shew185_2849
ko:K01640	sbm:Shew185_2850
ko:K00857	sbm:Shew185_2861
ko:K01284	sbm:Shew185_2863
ko:K03522	sbm:Shew185_2865
ko:K03521	sbm:Shew185_2866
ko:K03579	sbm:Shew185_3743
ko:K01975	sbm:Shew185_3745
ko:K06447	sbm:Shew185_3752
ko:K00673	sbm:Shew185_3753
ko:K03600	sbm:Shew185_3759
ko:K03599	sbm:Shew185_3760
ko:K00413	sbm:Shew185_3761
ko:K00412	sbm:Shew185_3762
ko:K01810	sbm:Shew185_1110
ko:K05810	sbm:Shew185_1087
ko:K03695	sbm:Shew185_1088
ko:K01573	sbm:Shew185_1091
ko:K01572	sbm:Shew185_1093
ko:K01919	sbm:Shew185_1098
ko:K02221	sbm:Shew185_3042
ko:K09131	sbm:Shew185_3043
ko:K00995	sbm:Shew185_2598
ko:K07173	sbm:Shew185_3440
ko:K03530	sbm:Shew185_3817
ko:K05844	sbm:Shew185_3819
ko:K03310	sbm:Shew185_3826
ko:K07576	sbm:Shew185_3827
ko:K00134	sbm:Shew185_3830
ko:K07089	sbm:Shew185_3832
ko:K03325	sbm:Shew185_3833
ko:K02348	sbm:Shew185_3841
ko:K03543	sbm:Shew185_3843
ko:K01589	sbm:Shew185_1102
ko:K03088	sbm:Shew185_1106
ko:K03594	sbm:Shew185_3430
ko:K05952	sbm:Shew185_3431
ko:K05772	sbm:Shew185_4317
ko:K05773	sbm:Shew185_4318
ko:K03752	sbm:Shew185_4320
ko:K03750	sbm:Shew185_4321
ko:K03639	sbm:Shew185_4322
ko:K00791	sbm:Shew185_3768
ko:K06925	sbm:Shew185_3771
ko:K06949	sbm:Shew185_3775
ko:K01613	sbm:Shew185_3776
ko:K01126	sbm:Shew185_3779
ko:K02192	sbm:Shew185_3783
ko:K02419	sbm:Shew185_2926
ko:K02416	sbm:Shew185_2929
ko:K02413	sbm:Shew185_2932
ko:K02408	sbm:Shew185_2937
ko:K02406	sbm:Shew185_2950
ko:K02396	sbm:Shew185_2953
ko:K01649	sbm:Shew185_0385
ko:K00052	sbm:Shew185_0386
ko:K03925	sbm:Shew185_0392
ko:K03438	sbm:Shew185_0393
ko:K01928	sbm:Shew185_0396
ko:K01929	sbm:Shew185_0397
ko:K01000	sbm:Shew185_0398
ko:K01925	sbm:Shew185_0399
ko:K03588	sbm:Shew185_0400
ko:K03589	sbm:Shew185_0403
ko:K03590	sbm:Shew185_0404
ko:K03086	sbm:Shew185_1188
ko:K09117	sbm:Shew185_1190
ko:K02970	sbm:Shew185_1191
ko:K01409	sbm:Shew185_1192
ko:K08591	sbm:Shew185_1193
ko:K01633	sbm:Shew185_1194
ko:K00950	sbm:Shew185_1195
ko:K06153	sbm:Shew185_1196
ko:K00563	sbm:Shew185_1197
ko:K06078	sbm:Shew185_1198
ko:K06188	sbm:Shew185_1211
ko:K00012	sbm:Shew185_4328
ko:K02527	sbm:Shew185_4338
ko:K00639	sbm:Shew185_4340
ko:K02439	sbm:Shew185_4342
ko:K02441	sbm:Shew185_4343
ko:K03978	sbm:Shew185_4346
ko:K09894	sbm:Shew185_4349
ko:K01661	sbm:Shew185_4358
ko:K02014	sbm:Shew185_4362
ko:K00127	sbm:Shew185_2546
ko:K02394	sbm:Shew185_2955
ko:K03415	sbm:Shew185_2964
ko:K02386	sbm:Shew185_2965
ko:K02399	sbm:Shew185_2967
ko:K09860	sbm:Shew185_2968
ko:K07175	sbm:Shew185_3789
ko:K03580	sbm:Shew185_3790
ko:K09893	sbm:Shew185_3795
ko:K00655	sbm:Shew185_3796
ko:K01938	sbm:Shew185_3804
ko:K06219	sbm:Shew185_3807
ko:K07004	sbm:Shew185_1811
ko:K06901	sbm:Shew185_3210
ko:K02571	sbm:Shew185_3211
ko:K03532	sbm:Shew185_3212
ko:K03784	sbm:Shew185_3227
ko:K01839	sbm:Shew185_3228
ko:K01619	sbm:Shew185_3230
ko:K05517	sbm:Shew185_3231
ko:K03424	sbm:Shew185_3233
ko:K07154	sbm:Shew185_3248
ko:K07053	sbm:Shew185_2721
ko:K00766	sbm:Shew185_2724
ko:K06190	sbm:Shew185_2735
ko:K09780	sbm:Shew185_2736
ko:K07303	sbm:Shew185_2746
ko:K07302	sbm:Shew185_2747
ko:K07402	sbm:Shew185_2749
ko:K00764	sbm:Shew185_2755
ko:K03558	sbm:Shew185_2756
ko:K03749	sbm:Shew185_2757
ko:K00133	sbm:Shew185_2761
ko:K03473	sbm:Shew185_2762
ko:K00351	sbm:Shew185_3559
ko:K00349	sbm:Shew185_3561
ko:K00348	sbm:Shew185_3562
ko:K00347	sbm:Shew185_3563
ko:K00246	sbm:Shew185_3962
ko:K07322	sbm:Shew185_3967
ko:K03192	sbm:Shew185_3969
ko:K09921	sbm:Shew185_3972
ko:K01778	sbm:Shew185_3973
ko:K01586	sbm:Shew185_3974
ko:K06202	sbm:Shew185_3976
ko:K01749	sbm:Shew185_3978
ko:K01719	sbm:Shew185_3979
ko:K02496	sbm:Shew185_3980
ko:K09927	sbm:Shew185_3994
ko:K06143	sbm:Shew185_3996
ko:K03308	sbm:Shew185_4000
ko:K01754	sbm:Shew185_4006
ko:K01687	sbm:Shew185_4007
ko:K02078	sbm:Shew185_0339
ko:K07301	sbm:Shew185_0348
ko:K03885	sbm:Shew185_1134
ko:K00820	sbm:Shew185_1145
ko:K01443	sbm:Shew185_1146
ko:K06995	sbm:Shew185_1150
ko:K00140	sbm:Shew185_1151
ko:K00822	sbm:Shew185_1152
ko:K09472	sbm:Shew185_1153
ko:K03642	sbm:Shew185_1159
ko:K07010	sbm:Shew185_1164
ko:K01915	sbm:Shew185_1165
ko:K11073	sbm:Shew185_1166
ko:K11076	sbm:Shew185_1167
ko:K11075	sbm:Shew185_1168
ko:K11074	sbm:Shew185_1169
ko:K00931	sbm:Shew185_4284
ko:K00147	sbm:Shew185_4285
ko:K01638	sbm:Shew185_4295
ko:K01484	sbm:Shew185_2490
ko:K03284	sbm:Shew185_2498
ko:K06140	sbm:Shew185_2504
ko:K00164	sbm:Shew185_2508
ko:K07773	sbm:Shew185_3719
ko:K01278	sbm:Shew185_3720
ko:K03841	sbm:Shew185_3721
ko:K01885	sbm:Shew185_2822
ko:K09936	sbm:Shew185_2829
ko:K00033	sbm:Shew185_2842
ko:K07662	sbm:Shew185_0254
ko:K07712	sbm:Shew185_0258
ko:K09913	sbm:Shew185_0265
ko:K09940	sbm:Shew185_0274
ko:K00311	sbm:Shew185_0276
ko:K02020	sbm:Shew185_0281
ko:K02018	sbm:Shew185_0282
ko:K06177	sbm:Shew185_0288
ko:K05916	sbm:Shew185_1083
ko:K05807	sbm:Shew185_1085
ko:K00230	sbm:Shew185_0022
ko:K02011	sbm:Shew185_3692
ko:K02012	sbm:Shew185_3693
ko:K00528	sbm:Shew185_3696
ko:K01626	sbm:Shew185_3704
ko:K04752	sbm:Shew185_3708
ko:K03385	sbm:Shew185_3711
ko:K07674	sbm:Shew185_3712
ko:K07685	sbm:Shew185_3713
ko:K09910	sbm:Shew185_3714
ko:K06987	sbm:Shew185_3716
ko:K00928	sbm:Shew185_3717
ko:K01698	sbm:Shew185_1885
ko:K03684	sbm:Shew185_1892
ko:K09902	sbm:Shew185_1896
ko:K09160	sbm:Shew185_1898
ko:K02560	sbm:Shew185_1903
ko:K04655	sbm:Shew185_1905
ko:K09983	sbm:Shew185_0235
ko:K02498	sbm:Shew185_3981
ko:K01870	sbm:Shew185_1121
ko:K03101	sbm:Shew185_1122
ko:K03774	sbm:Shew185_1123
ko:K06217	sbm:Shew185_3304
ko:K01869	sbm:Shew185_3311
ko:K03643	sbm:Shew185_3312
ko:K00969	sbm:Shew185_3314
ko:K00783	sbm:Shew185_3316
ko:K05837	sbm:Shew185_3318
ko:K03327	sbm:Shew185_4191
ko:K07400	sbm:Shew185_4192
ko:K06959	sbm:Shew185_4202
ko:K04760	sbm:Shew185_4203
ko:K02298	sbm:Shew185_4219
ko:K02299	sbm:Shew185_4220
ko:K02300	sbm:Shew185_4221
ko:K03312	sbm:Shew185_2705
ko:K03100	sbm:Shew185_2706
ko:K00919	sbm:Shew185_3617
ko:K00948	sbm:Shew185_3618
ko:K03088	sbm:Shew185_3620
ko:K07386	sbm:Shew185_3625
ko:K08981	sbm:Shew185_3631
ko:K00549	sbm:Shew185_3640
ko:K03576	sbm:Shew185_3641
ko:K02014	sbm:Shew185_3644
ko:K00852	sbm:Shew185_3648
ko:K01126	sbm:Shew185_3652
ko:K09136	sbm:Shew185_3664
ko:K08312	sbm:Shew185_0167
ko:K06917	sbm:Shew185_0172
ko:K01008	sbm:Shew185_0173
ko:K00507	sbm:Shew185_0174
ko:K01776	sbm:Shew185_0177
ko:K03832	sbm:Shew185_1020
ko:K07227	sbm:Shew185_1022
ko:K07226	sbm:Shew185_1023
ko:K02014	sbm:Shew185_1028
ko:K02523	sbm:Shew185_1035
ko:K02888	sbm:Shew185_1036
ko:K02899	sbm:Shew185_1037
ko:K00287	sbm:Shew185_1041
ko:K00760	sbm:Shew185_3590
ko:K11211	sbm:Shew185_4337
ko:K00167	sbm:Shew185_2150
ko:K03406	sbm:Shew185_1084
ko:K03719	sbm:Shew185_2216
ko:K06941	sbm:Shew185_3008
ko:K02193	sbm:Shew185_0228
ko:K03117	sbm:Shew185_0415
ko:K03116	sbm:Shew185_0416
ko:K02887	sbm:Shew185_2219
ko:K03667	sbm:Shew185_0446
ko:K03610	sbm:Shew185_1895
ko:K03615	sbm:Shew185_2063
ko:K07034	sbm:Shew185_1075
ko:K01879	sbm:Shew185_0008
ko:K01091	sbm:Shew185_4076
ko:K06178	sbm:Shew185_2717
ko:K03592	sbm:Shew185_0512
ko:K03413	sbm:Shew185_3816
ko:K03413	sbm:Shew185_2248
ko:K02655	sbm:Shew185_0830
ko:K02600	sbm:Shew185_3281
ko:K06176	sbm:Shew185_3132
ko:K02553	sbm:Shew185_0421
ko:K07167	sbm:Shew185_2637
ko:K03787	sbm:Shew185_3131
ko:K03587	sbm:Shew185_0395
ko:K01664	sbm:Shew185_3758
ko:K01665	sbm:Shew185_1943
ko:K02652	sbm:Shew185_3942
ko:K06603	sbm:Shew185_2944
ko:K01903	sbm:Shew185_2506
ko:K05873	sbm:Shew185_0875
ko:K02965	sbm:Shew185_0200
ko:K02906	sbm:Shew185_0196
ko:K02946	sbm:Shew185_0195
ko:K02462	sbm:Shew185_0158
ko:K02455	sbm:Shew185_0151
ko:K02858	sbm:Shew185_0134
ko:K03071	sbm:Shew185_0045
ko:K02109	sbm:Shew185_4369
ko:K02116	sbm:Shew185_4372
ko:K00265	sbm:Shew185_1222
ko:K00163	sbm:Shew185_3934
ko:K02404	sbm:Shew185_2921
ko:K00956	sbm:Shew185_0929
ko:K10914	sbm:Shew185_3747
ko:K07640	sbm:Shew185_0253
ko:K07638	sbm:Shew185_4207
ko:K02410	sbm:Shew185_2935
ko:K02398	sbm:Shew185_2966
ko:K06891	sbm:Shew185_2466
ko:K08084	sbm:Shew185_1132
ko:K00259	sbm:Shew185_2217
ko:K01902	sbm:Shew185_2505
ko:K03811	sbm:Shew185_1796
ko:K10925	sbm:Shew185_0490
ko:K10926	sbm:Shew185_0492
ko:K10927	sbm:Shew185_0493
ko:K03781	sbm:Shew185_3468
ko:K10941	sbm:Shew185_2940
ko:K03639	sbm:Shew185_0277
ko:K03177	sbm:Shew185_3278
ko:K03786	sbm:Shew185_3854
ko:K02392	sbm:Shew185_2957
ko:K02340	sbm:Shew185_3313
ko:K02390	sbm:Shew185_2959
ko:K02417	sbm:Shew185_2928
ko:K02418	sbm:Shew185_2927
ko:K02420	sbm:Shew185_2925
ko:K02397	sbm:Shew185_2952
ko:K02391	sbm:Shew185_2958
ko:K00793	sbm:Shew185_2225
ko:K00793	sbm:Shew185_3158
ko:K02387	sbm:Shew185_2962
ko:K00864	sbm:Shew185_0390
ko:K02411	sbm:Shew185_2934
ko:K02415	sbm:Shew185_2930
ko:K01883	sbm:Shew185_1590
ko:K01807	sbm:Shew185_3389
ko:K02567	sbm:Shew185_1936
ko:K02343	sbm:Shew185_2615
ko:K10943	sbm:Shew185_2938
ko:K03583	sbm:Shew185_2048
ko:K02407	sbm:Shew185_2943
ko:K02422	sbm:Shew185_2941
ko:K02336	sbm:Shew185_1619
ko:K02687	sbm:Shew185_3963
ko:K02346	sbm:Shew185_3427
ko:K02337	sbm:Shew185_1460
ko:K00244	sbm:Shew185_3960
ko:K02339	sbm:Shew185_3120
ko:K00647	sbm:Shew185_2763
ko:K03722	sbm:Shew185_1618
ko:K03723	sbm:Shew185_2395
ko:K04477	sbm:Shew185_1467
ko:K09696	sbm:Shew185_0069
ko:K09697	sbm:Shew185_0070
ko:K03553	sbm:Shew185_3126
ko:K04066	sbm:Shew185_0475
ko:K02686	sbm:Shew185_0712
ko:K04067	sbm:Shew185_1616
ko:K00124	sbm:Shew185_4111
ko:K00127	sbm:Shew185_4108
ko:K02412	sbm:Shew185_2933
ko:K10680	sbm:Shew185_0454
ko:K03442	sbm:Shew185_0463
ko:K01581	sbm:Shew185_0465
ko:K01638	sbm:Shew185_1307
ko:K03834	sbm:Shew185_2426
ko:K07000	sbm:Shew185_0785
ko:K02018	sbm:Shew185_0797
ko:K02020	sbm:Shew185_0798
ko:K02019	sbm:Shew185_0799
ko:K09749	sbm:Shew185_0805
ko:K01920	sbm:Shew185_0808
ko:K09761	sbm:Shew185_0809
ko:K02742	sbm:Shew185_0811
ko:K02355	sbm:Shew185_0820
ko:K02568	sbm:Shew185_0823
ko:K02567	sbm:Shew185_0824
ko:K01637	sbm:Shew185_1308
ko:K02167	sbm:Shew185_1313
ko:K00705	sbm:Shew185_1320
ko:K00700	sbm:Shew185_1321
ko:K00688	sbm:Shew185_1323
ko:K00975	sbm:Shew185_1324
ko:K00858	sbm:Shew185_1341
ko:K03687	sbm:Shew185_1342
ko:K01662	sbm:Shew185_1343
ko:K00795	sbm:Shew185_1344
ko:K02556	sbm:Shew185_1346
ko:K02557	sbm:Shew185_1347
ko:K03151	sbm:Shew185_1348
ko:K07020	sbm:Shew185_1351
ko:K06966	sbm:Shew185_1358
ko:K02003	sbm:Shew185_0833
ko:K03310	sbm:Shew185_0834
ko:K07814	sbm:Shew185_0836
ko:K06980	sbm:Shew185_0837
ko:K08984	sbm:Shew185_0839
ko:K06918	sbm:Shew185_1609
ko:K08990	sbm:Shew185_1610
ko:K01761	sbm:Shew185_1611
ko:K09909	sbm:Shew185_1615
ko:K03559	sbm:Shew185_1628
ko:K03832	sbm:Shew185_1629
ko:K03546	sbm:Shew185_1640
ko:K07043	sbm:Shew185_1643
ko:K07043	sbm:Shew185_2198
ko:K07236	sbm:Shew185_2207
ko:K07237	sbm:Shew185_2208
ko:K11179	sbm:Shew185_2209
ko:K01875	sbm:Shew185_2211
ko:K06199	sbm:Shew185_2212
ko:K07478	sbm:Shew185_2213
ko:K03634	sbm:Shew185_2214
ko:K00384	sbm:Shew185_2218
ko:K02916	sbm:Shew185_2220
ko:K01868	sbm:Shew185_2222
ko:K03327	sbm:Shew185_2226
ko:K03411	sbm:Shew185_2243
ko:K07001	sbm:Shew185_1646
ko:K07119	sbm:Shew185_1647
ko:K04068	sbm:Shew185_1651
ko:K01246	sbm:Shew185_0010
ko:K03499	sbm:Shew185_0024
ko:K01462	sbm:Shew185_0027
ko:K04096	sbm:Shew185_0029
ko:K03747	sbm:Shew185_0030
ko:K07479	sbm:Shew185_0031
ko:K06223	sbm:Shew185_4081
ko:K00380	sbm:Shew185_0919
ko:K00381	sbm:Shew185_0920
ko:K00390	sbm:Shew185_0921
ko:K00860	sbm:Shew185_0931
ko:K03790	sbm:Shew185_0944
ko:K05786	sbm:Shew185_0947
ko:K07262	sbm:Shew185_0957
ko:K11175	sbm:Shew185_1729
ko:K01933	sbm:Shew185_1730
ko:K00761	sbm:Shew185_1731
ko:K07084	sbm:Shew185_1733
ko:K03683	sbm:Shew185_1735
ko:K07107	sbm:Shew185_1738
ko:K03562	sbm:Shew185_1739
ko:K01387	sbm:Shew185_0630
ko:K00849	sbm:Shew185_0634
ko:K04084	sbm:Shew185_0636
ko:K03926	sbm:Shew185_0637
ko:K07113	sbm:Shew185_0638
ko:K04078	sbm:Shew185_0644
ko:K05776	sbm:Shew185_0654
ko:K01433	sbm:Shew185_1440
ko:K00990	sbm:Shew185_1443
ko:K01265	sbm:Shew185_1444
ko:K02967	sbm:Shew185_1445
ko:K02357	sbm:Shew185_1446
ko:K02838	sbm:Shew185_1448
ko:K00806	sbm:Shew185_1449
ko:K00981	sbm:Shew185_1450
ko:K00099	sbm:Shew185_1451
ko:K07277	sbm:Shew185_1453
ko:K06142	sbm:Shew185_1454
ko:K02536	sbm:Shew185_1455
ko:K03560	sbm:Shew185_1740
ko:K03674	sbm:Shew185_1746
ko:K01012	sbm:Shew185_1751
ko:K02169	sbm:Shew185_1753
ko:K01935	sbm:Shew185_1754
ko:K09915	sbm:Shew185_1758
ko:K00243	sbm:Shew185_1759
ko:K01611	sbm:Shew185_1762
ko:K00275	sbm:Shew185_1763
ko:K09768	sbm:Shew185_1764
ko:K03611	sbm:Shew185_1769
ko:K03314	sbm:Shew185_1770
ko:K03603	sbm:Shew185_1771
ko:K09786	sbm:Shew185_1773
ko:K07180	sbm:Shew185_1774
ko:K07390	sbm:Shew185_1776
ko:K09938	sbm:Shew185_1778
ko:K00075	sbm:Shew185_0179
ko:K00867	sbm:Shew185_0181
ko:K00677	sbm:Shew185_1457
ko:K03455	sbm:Shew185_1463
ko:K03704	sbm:Shew185_1464
ko:K00067	sbm:Shew185_1468
ko:K00847	sbm:Shew185_1470
ko:K02572	sbm:Shew185_1476
ko:K00963	sbm:Shew185_1478
ko:K00500	sbm:Shew185_1479
ko:K01724	sbm:Shew185_1480
ko:K03721	sbm:Shew185_1481
ko:K09962	sbm:Shew185_1484
ko:K07275	sbm:Shew185_1485
ko:K03150	sbm:Shew185_2318
ko:K03149	sbm:Shew185_2319
ko:K03154	sbm:Shew185_2320
ko:K03147	sbm:Shew185_2323
ko:K06969	sbm:Shew185_2332
ko:K02892	sbm:Shew185_0198
ko:K02197	sbm:Shew185_0224
ko:K02196	sbm:Shew185_0225
ko:K02195	sbm:Shew185_0226
ko:K02194	sbm:Shew185_0227
ko:K02200	sbm:Shew185_0230
ko:K02198	sbm:Shew185_0231
ko:K02199	sbm:Shew185_0232
ko:K02200	sbm:Shew185_0233
ko:K07300	sbm:Shew185_0959
ko:K09707	sbm:Shew185_2348
ko:K08483	sbm:Shew185_2350
ko:K02777	sbm:Shew185_2351
ko:K01439	sbm:Shew185_2354
ko:K00979	sbm:Shew185_2363
ko:K07146	sbm:Shew185_2366
ko:K07178	sbm:Shew185_0676
ko:K02013	sbm:Shew185_0975
ko:K02015	sbm:Shew185_0976
ko:K00768	sbm:Shew185_0977
ko:K02233	sbm:Shew185_0978
ko:K02231	sbm:Shew185_0979
ko:K02232	sbm:Shew185_0980
ko:K00135	sbm:Shew185_0984
ko:K00005	sbm:Shew185_0985
ko:K00375	sbm:Shew185_0989
ko:K01465	sbm:Shew185_0995
ko:K02003	sbm:Shew185_0998
ko:K04338	sbm:Shew185_1004
ko:K06214	sbm:Shew185_1005
ko:K00154	sbm:Shew185_1007
ko:K02013	sbm:Shew185_1015
ko:K02015	sbm:Shew185_1016
ko:K02016	sbm:Shew185_1017
ko:K01588	sbm:Shew185_1103
ko:K08300	sbm:Shew185_1707
ko:K02520	sbm:Shew185_2221
ko:K02342	sbm:Shew185_2015
ko:K02313	sbm:Shew185_0001
ko:K03720	sbm:Shew185_1268
ko:K03775	sbm:Shew185_1270
ko:K00872	sbm:Shew185_1272
ko:K01733	sbm:Shew185_1273
ko:K03664	sbm:Shew185_1298
ko:K09801	sbm:Shew185_1300
ko:K06186	sbm:Shew185_1301
ko:K03455	sbm:Shew185_1305
ko:K03839	sbm:Shew185_2141
ko:K05526	sbm:Shew185_2148
ko:K03305	sbm:Shew185_1551
ko:K06996	sbm:Shew185_1556
ko:K00865	sbm:Shew185_1570
ko:K02647	sbm:Shew185_1573
ko:K04758	sbm:Shew185_1583
ko:K04759	sbm:Shew185_1584
ko:K01886	sbm:Shew185_1585
ko:K06169	sbm:Shew185_1587
ko:K03269	sbm:Shew185_1588
ko:K03544	sbm:Shew185_1594
ko:K01338	sbm:Shew185_1595
ko:K03770	sbm:Shew185_1597
ko:K03517	sbm:Shew185_2152
ko:K00134	sbm:Shew185_2153
ko:K00134	sbm:Shew185_2155
ko:K03796	sbm:Shew185_2158
ko:K09792	sbm:Shew185_2163
ko:K09926	sbm:Shew185_2166
ko:K03427	sbm:Shew185_2193
ko:K01698	sbm:Shew185_0410
ko:K03424	sbm:Shew185_0412
ko:K07552	sbm:Shew185_2373
ko:K01653	sbm:Shew185_2375
ko:K04080	sbm:Shew185_2376
ko:K00940	sbm:Shew185_2377
ko:K05844	sbm:Shew185_2380
ko:K04044	sbm:Shew185_2382
ko:K04082	sbm:Shew185_2383
ko:K04488	sbm:Shew185_2385
ko:K00640	sbm:Shew185_2388
ko:K09808	sbm:Shew185_2391
ko:K09808	sbm:Shew185_2393
ko:K01512	sbm:Shew185_2397
ko:K07000	sbm:Shew185_2404
ko:K01752	sbm:Shew185_2406
ko:K00765	sbm:Shew185_2418
ko:K00013	sbm:Shew185_2419
ko:K01129	sbm:Shew185_2134
ko:K01915	sbm:Shew185_2138
ko:K09794	sbm:Shew185_0466
ko:K01887	sbm:Shew185_0474
ko:K06287	sbm:Shew185_0500
ko:K08301	sbm:Shew185_0501
ko:K03568	sbm:Shew185_0504
ko:K01993	sbm:Shew185_0506
ko:K09889	sbm:Shew185_0511
ko:K02014	sbm:Shew185_0513
ko:K09890	sbm:Shew185_0515
ko:K09807	sbm:Shew185_0518
ko:K03118	sbm:Shew185_0414
ko:K03690	sbm:Shew185_0418
ko:K02014	sbm:Shew185_0430
ko:K06876	sbm:Shew185_0441
ko:K02338	sbm:Shew185_0002
ko:K03646	sbm:Shew185_1741
ko:K03640	sbm:Shew185_1743
ko:K03616	sbm:Shew185_2064
ko:K00239	sbm:Shew185_2510
ko:K00346	sbm:Shew185_3438
ko:K07708	sbm:Shew185_0259
ko:K00347	sbm:Shew185_3437
ko:K00348	sbm:Shew185_3436
ko:K00349	sbm:Shew185_3435
ko:K07274	sbm:Shew185_3566
ko:K03273	sbm:Shew185_2667
ko:K02335	sbm:Shew185_4345
ko:K02553	sbm:Shew185_2007
ko:K08307	sbm:Shew185_2010
ko:K06445	sbm:Shew185_2019
ko:K07443	sbm:Shew185_2022
ko:K01462	sbm:Shew185_2023
ko:K00942	sbm:Shew185_0353
ko:K00989	sbm:Shew185_0369
ko:K00762	sbm:Shew185_0370
ko:K01495	sbm:Shew185_0371
ko:K05501	sbm:Shew185_0373
ko:K01520	sbm:Shew185_0374
ko:K02902	sbm:Shew185_0377
ko:K02913	sbm:Shew185_0378
ko:K00147	sbm:Shew185_3415
ko:K00931	sbm:Shew185_3416
ko:K06901	sbm:Shew185_3417
ko:K01255	sbm:Shew185_3421
ko:K03594	sbm:Shew185_3429
ko:K03112	sbm:Shew185_4082
ko:K01735	sbm:Shew185_4083
ko:K00891	sbm:Shew185_4084
ko:K02666	sbm:Shew185_4085
ko:K02665	sbm:Shew185_4086
ko:K02662	sbm:Shew185_4089
ko:K01940	sbm:Shew185_4092
ko:K00611	sbm:Shew185_4093
