ko:K18816	clr:UPTC16701_0869
ko:K00981	clr:UPTC16701_1502
ko:K03752	clr:UPTC16701_1505
ko:K01058	clr:UPTC16701_1506
ko:K08296	clr:UPTC16701_0746
ko:K01779	clr:UPTC16701_0748
ko:K04763	clr:UPTC16701_0749
ko:K00790	clr:UPTC16701_0751
ko:K03750	clr:UPTC16701_0752
ko:K02386	clr:UPTC16701_0755
ko:K03186	clr:UPTC16701_0756
ko:K00954	clr:UPTC16701_0757
ko:K00943	clr:UPTC16701_0758
ko:K01892	clr:UPTC16701_0759
ko:K01585	clr:UPTC16701_0760
ko:K00640	clr:UPTC16701_0761
ko:K02563	clr:UPTC16701_0762
ko:K06997	clr:UPTC16701_0763
ko:K03092	clr:UPTC16701_0764
ko:K06861	clr:UPTC16701_0765
ko:K06925	clr:UPTC16701_0766
ko:K01940	clr:UPTC16701_0768
ko:K02939	clr:UPTC16701_0769
ko:K01419	clr:UPTC16701_0770
ko:K03667	clr:UPTC16701_0771
ko:K02422	clr:UPTC16701_0777
ko:K02407	clr:UPTC16701_0778
ko:K06603	clr:UPTC16701_0779
ko:K03182	clr:UPTC16701_0780
ko:K01749	clr:UPTC16701_0781
ko:K07113	clr:UPTC16701_0782
ko:K01881	clr:UPTC16701_0783
ko:K02492	clr:UPTC16701_0784
ko:K02523	clr:UPTC16701_0785
ko:K01091	clr:UPTC16701_0788
ko:K03455	clr:UPTC16701_0790
ko:K13640	clr:UPTC16701_0791
ko:K05516	clr:UPTC16701_0792
ko:K01687	clr:UPTC16701_1509
ko:K03406	clr:UPTC16701_1514
ko:K03406	clr:UPTC16701_1515
ko:K09767	clr:UPTC16701_1519
ko:K02970	clr:UPTC16701_1524
ko:K03585	clr:UPTC16701_1527
ko:K08973	clr:UPTC16701_1532
ko:K03101	clr:UPTC16701_1533
ko:K03431	clr:UPTC16701_1534
ko:K07478	clr:UPTC16701_1536
ko:K01159	clr:UPTC16701_1540
ko:K18284	clr:UPTC16701_0211
ko:K13747	clr:UPTC16701_0349
ko:K00127	clr:UPTC16701_0350
ko:K00123	clr:UPTC16701_0353
ko:K00124	clr:UPTC16701_0354
ko:K01008	clr:UPTC16701_0357
ko:K13821	clr:UPTC16701_0358
ko:K11928	clr:UPTC16701_0359
ko:K07112	clr:UPTC16701_0361
ko:K01939	clr:UPTC16701_0363
ko:K09804	clr:UPTC16701_0366
ko:K01956	clr:UPTC16701_0367
ko:K09792	clr:UPTC16701_0368
ko:K00404	clr:UPTC16701_0369
ko:K00405	clr:UPTC16701_0370
ko:K00407	clr:UPTC16701_0371
ko:K00406	clr:UPTC16701_0372
ko:K03582	clr:UPTC16701_0377
ko:K02871	clr:UPTC16701_0379
ko:K02996	clr:UPTC16701_0380
ko:K03286	clr:UPTC16701_0381
ko:K01091	clr:UPTC16701_0382
ko:K03737	clr:UPTC16701_0383
ko:K02453	clr:UPTC16701_0385
ko:K02454	clr:UPTC16701_0387
ko:K02455	clr:UPTC16701_0388
ko:K07090	clr:UPTC16701_0389
ko:K02396	clr:UPTC16701_0391
ko:K02394	clr:UPTC16701_0395
ko:K07456	clr:UPTC16701_1128
ko:K01924	clr:UPTC16701_1130
ko:K03602	clr:UPTC16701_1133
ko:K00088	clr:UPTC16701_1134
ko:K02433	clr:UPTC16701_1135
ko:K01870	clr:UPTC16701_1136
ko:K03743	clr:UPTC16701_1137
ko:K02003	clr:UPTC16701_1143
ko:K02004	clr:UPTC16701_1144
ko:K02004	clr:UPTC16701_1145
ko:K07230	clr:UPTC16701_1147
ko:K07243	clr:UPTC16701_1148
ko:K11103	clr:UPTC16701_1149
ko:K00824	clr:UPTC16701_1150
ko:K03438	clr:UPTC16701_1154
ko:K01628	clr:UPTC16701_1155
ko:K03770	clr:UPTC16701_1156
ko:K03590	clr:UPTC16701_1157
ko:K03531	clr:UPTC16701_1158
ko:K00763	clr:UPTC16701_1159
ko:K04066	clr:UPTC16701_1161
ko:K02456	clr:UPTC16701_1162
ko:K03702	clr:UPTC16701_1165
ko:K02356	clr:UPTC16701_1166
ko:K00058	clr:UPTC16701_1167
ko:K02945	clr:UPTC16701_1169
ko:K12410	clr:UPTC16701_1127
ko:K03527	clr:UPTC16701_1170
ko:K00800	clr:UPTC16701_1171
ko:K01890	clr:UPTC16701_1172
ko:K07318	clr:UPTC16701_0033
ko:K02887	clr:UPTC16701_0043
ko:K01142	clr:UPTC16701_0054
ko:K02988	clr:UPTC16701_0085
ko:K02518	clr:UPTC16701_0100
ko:K09747	clr:UPTC16701_0120
ko:K02065	clr:UPTC16701_0125
ko:K07791	clr:UPTC16701_0148
ko:K00075	clr:UPTC16701_0164
ko:K03524	clr:UPTC16701_0193
ko:K07084	clr:UPTC16701_1508
ko:K03187	clr:UPTC16701_0007
ko:K02835	clr:UPTC16701_0018
ko:K09815	clr:UPTC16701_0047
ko:K02876	clr:UPTC16701_0086
ko:K01752	clr:UPTC16701_0095
ko:K02500	clr:UPTC16701_0112
ko:K03575	clr:UPTC16701_0138
ko:K01744	clr:UPTC16701_0149
ko:K02417	clr:UPTC16701_0180
ko:K03775	clr:UPTC16701_0209
ko:K02484	clr:UPTC16701_0795
ko:K03657	clr:UPTC16701_0796
ko:K11065	clr:UPTC16701_0797
ko:K07304	clr:UPTC16701_0799
ko:K04651	clr:UPTC16701_0800
ko:K04655	clr:UPTC16701_0801
ko:K04654	clr:UPTC16701_0802
ko:K04653	clr:UPTC16701_0803
ko:K04652	clr:UPTC16701_0804
ko:K04656	clr:UPTC16701_0805
ko:K05995	clr:UPTC16701_0807
ko:K07043	clr:UPTC16701_0808
ko:K02217	clr:UPTC16701_0812
ko:K02536	clr:UPTC16701_0819
ko:K01653	clr:UPTC16701_0820
ko:K01652	clr:UPTC16701_0821
ko:K00177	clr:UPTC16701_0822
ko:K00175	clr:UPTC16701_0823
ko:K00174	clr:UPTC16701_0824
ko:K00176	clr:UPTC16701_0825
ko:K00024	clr:UPTC16701_0826
ko:K07082	clr:UPTC16701_0828
ko:K03466	clr:UPTC16701_0829
ko:K02397	clr:UPTC16701_0830
ko:K00946	clr:UPTC16701_0400
ko:K06176	clr:UPTC16701_0401
ko:K03839	clr:UPTC16701_0404
ko:K03406	clr:UPTC16701_0405
ko:K09979	clr:UPTC16701_0406
ko:K05927	clr:UPTC16701_0410
ko:K01803	clr:UPTC16701_0411
ko:K00927	clr:UPTC16701_0412
ko:K00134	clr:UPTC16701_0413
ko:K00969	clr:UPTC16701_0414
ko:K09710	clr:UPTC16701_0415
ko:K01679	clr:UPTC16701_0420
ko:K00820	clr:UPTC16701_0421
ko:K00990	clr:UPTC16701_0422
ko:K18285	clr:UPTC16701_0423
ko:K06901	clr:UPTC16701_0424
ko:K00769	clr:UPTC16701_0425
ko:K07812	clr:UPTC16701_0426
ko:K03406	clr:UPTC16701_0430
ko:K09861	clr:UPTC16701_0432
ko:K02358	clr:UPTC16701_0437
ko:K02913	clr:UPTC16701_0438
ko:K03073	clr:UPTC16701_0440
ko:K02601	clr:UPTC16701_0441
ko:K02867	clr:UPTC16701_0442
ko:K02863	clr:UPTC16701_0443
ko:K02864	clr:UPTC16701_0444
ko:K02935	clr:UPTC16701_0445
ko:K03043	clr:UPTC16701_0446
ko:K01889	clr:UPTC16701_1173
ko:K02503	clr:UPTC16701_1174
ko:K01610	clr:UPTC16701_1175
ko:K01960	clr:UPTC16701_1176
ko:K03308	clr:UPTC16701_1177
ko:K03308	clr:UPTC16701_1178
ko:K03308	clr:UPTC16701_1179
ko:K02110	clr:UPTC16701_1180
ko:K03406	clr:UPTC16701_1183
ko:K01465	clr:UPTC16701_1184
ko:K00057	clr:UPTC16701_1185
ko:K02434	clr:UPTC16701_1186
ko:K02108	clr:UPTC16701_1187
ko:K04485	clr:UPTC16701_1189
ko:K03110	clr:UPTC16701_1190
ko:K01934	clr:UPTC16701_1192
ko:K18682	clr:UPTC16701_1193
ko:K02238	clr:UPTC16701_1195
ko:K07058	clr:UPTC16701_1196
ko:K00104	clr:UPTC16701_1197
ko:K06213	clr:UPTC16701_1200
ko:K11065	clr:UPTC16701_1201
ko:K01738	clr:UPTC16701_1203
ko:K03530	clr:UPTC16701_1204
ko:K02843	clr:UPTC16701_1205
ko:K00978	clr:UPTC16701_1207
ko:K01709	clr:UPTC16701_1208
ko:K01790	clr:UPTC16701_1209
ko:K07270	clr:UPTC16701_1217
ko:K02968	clr:UPTC16701_0019
ko:K02886	clr:UPTC16701_0071
ko:K01265	clr:UPTC16701_0096
ko:K02919	clr:UPTC16701_0101
ko:K00013	clr:UPTC16701_0108
ko:K02390	clr:UPTC16701_0114
ko:K00645	clr:UPTC16701_0210
ko:K02337	clr:UPTC16701_0858
ko:K03152	clr:UPTC16701_0859
ko:K12251	clr:UPTC16701_0860
ko:K01916	clr:UPTC16701_0865
ko:K00912	clr:UPTC16701_0866
ko:K01733	clr:UPTC16701_0867
ko:K00979	clr:UPTC16701_0868
ko:K02030	clr:UPTC16701_0870
ko:K02029	clr:UPTC16701_0871
ko:K04084	clr:UPTC16701_0873
ko:K03885	clr:UPTC16701_0874
ko:K03308	clr:UPTC16701_0875
ko:K02557	clr:UPTC16701_0877
ko:K01624	clr:UPTC16701_0879
ko:K10773	clr:UPTC16701_0881
ko:K03312	clr:UPTC16701_0882
ko:K05685	clr:UPTC16701_0884
ko:K13888	clr:UPTC16701_0885
ko:K05939	clr:UPTC16701_0887
ko:K00384	clr:UPTC16701_0890
ko:K03188	clr:UPTC16701_0008
ko:K06178	clr:UPTC16701_0020
ko:K04564	clr:UPTC16701_0060
ko:K02965	clr:UPTC16701_0072
ko:K02952	clr:UPTC16701_0102
ko:K01089	clr:UPTC16701_0109
ko:K06886	clr:UPTC16701_0157
ko:K01082	clr:UPTC16701_0166
ko:K01633	clr:UPTC16701_0185
ko:K18138	clr:UPTC16701_1528
ko:K18992	clr:UPTC16701_1526
ko:K00335	clr:UPTC16701_1411
ko:K03526	clr:UPTC16701_1160
ko:K03111	clr:UPTC16701_0920
ko:K03502	clr:UPTC16701_1249
ko:K00662	clr:UPTC16701_1286
ko:K03497	clr:UPTC16701_0195
ko:K04565	clr:UPTC16701_0129
ko:K03496	clr:UPTC16701_0194
ko:K11015	clr:UPTC16701_1345
ko:K07452	clr:UPTC16701_0846
ko:K07452	clr:UPTC16701_0232
ko:K07097	clr:UPTC16701_0908
ko:K15461	clr:UPTC16701_0621
ko:K00557	clr:UPTC16701_0937
ko:K00336	clr:UPTC16701_1410
ko:K17251	clr:UPTC16701_1236
ko:K19147	clr:UPTC16701_0233
ko:K17249	clr:UPTC16701_1234
ko:K15897	clr:UPTC16701_1294
ko:K00571	clr:UPTC16701_1365
ko:K15912	clr:UPTC16701_1241
ko:K15913	clr:UPTC16701_1239
ko:K15914	clr:UPTC16701_1237
ko:K08678	clr:UPTC16701_0306
ko:K00354	clr:UPTC16701_0093
ko:K01710	clr:UPTC16701_1226
ko:K00525	clr:UPTC16701_0028
ko:K22468	clr:UPTC16701_0872
ko:K15910	clr:UPTC16701_1240
ko:K01978	clr:UPTC16701_0775
ko:K04771	clr:UPTC16701_0793
ko:K15899	clr:UPTC16701_1290
ko:K03892	clr:UPTC16701_0668
ko:K15915	clr:UPTC16701_1238
ko:K14218	clr:UPTC16701_0458
ko:K14218	clr:UPTC16701_1430
ko:K14218	clr:UPTC16701_0514
ko:K19271	clr:UPTC16701_0448
ko:K06867	clr:UPTC16701_0281
ko:K19416	clr:UPTC16701_1473
ko:K06867	clr:UPTC16701_0940
ko:K07216	clr:UPTC16701_0683
ko:K07216	clr:UPTC16701_0684
ko:K07216	clr:UPTC16701_1077
ko:K07216	clr:UPTC16701_1078
ko:K15669	clr:UPTC16701_0318
ko:K13735	clr:UPTC16701_0833
ko:K10938	clr:UPTC16701_0739
ko:K07147	clr:UPTC16701_1045
ko:K21636	clr:UPTC16701_0058
ko:K09796	clr:UPTC16701_1109
ko:K20810	clr:UPTC16701_0236
ko:K14227	clr:UPTC16701_0459
ko:K14227	clr:UPTC16701_0515
ko:K14227	clr:UPTC16701_1429
ko:K01980	clr:UPTC16701_0460
ko:K01980	clr:UPTC16701_0516
ko:K01980	clr:UPTC16701_1428
ko:K01985	clr:UPTC16701_0461
ko:K01985	clr:UPTC16701_1427
ko:K01985	clr:UPTC16701_0517
ko:K14224	clr:UPTC16701_0056
ko:K14224	clr:UPTC16701_1457
ko:K14234	clr:UPTC16701_0433
ko:K14236	clr:UPTC16701_0434
ko:K14225	clr:UPTC16701_0435
ko:K14225	clr:UPTC16701_0754
ko:K14225	clr:UPTC16701_1513
ko:K14230	clr:UPTC16701_0606
ko:K14230	clr:UPTC16701_0607
ko:K14223	clr:UPTC16701_0605
ko:K14228	clr:UPTC16701_0831
ko:K14228	clr:UPTC16701_1512
ko:K14237	clr:UPTC16701_0509
ko:K14229	clr:UPTC16701_0508
ko:K14229	clr:UPTC16701_0511
ko:K14220	clr:UPTC16701_0528
ko:K14231	clr:UPTC16701_0296
ko:K14233	clr:UPTC16701_1510
ko:K15035	clr:UPTC16701_1255
ko:K14222	clr:UPTC16701_1511
ko:K14232	clr:UPTC16701_1437
ko:K14218	clr:UPTC16701_0066
ko:K14233	clr:UPTC16701_0143
ko:K14233	clr:UPTC16701_1248
ko:K14230	clr:UPTC16701_0145
ko:K14238	clr:UPTC16701_0362
ko:K14234	clr:UPTC16701_0436
ko:K14221	clr:UPTC16701_0510
ko:K14224	clr:UPTC16701_0512
ko:K14219	clr:UPTC16701_0586
ko:K14228	clr:UPTC16701_1181
ko:K14237	clr:UPTC16701_1537
ko:K01977	clr:UPTC16701_0457
ko:K01977	clr:UPTC16701_1431
ko:K01977	clr:UPTC16701_0513
ko:K14228	clr:UPTC16701_1433
ko:K07100	clr:UPTC16701_0506
ko:K01023	clr:UPTC16701_0560
ko:K22333	clr:UPTC16701_1351
ko:K02335	clr:UPTC16701_1311
ko:K02316	clr:UPTC16701_1464
ko:K02314	clr:UPTC16701_1202
ko:K03465	clr:UPTC16701_0014
ko:K03553	clr:UPTC16701_0161
ko:K04068	clr:UPTC16701_0059
ko:K10747	clr:UPTC16701_0044
ko:K02483	clr:UPTC16701_0492
ko:K02483	clr:UPTC16701_0794
ko:K02032	clr:UPTC16701_1417
ko:K02481	clr:UPTC16701_0523
ko:K01139	clr:UPTC16701_0617
ko:K00526	clr:UPTC16701_1478
ko:K21420	clr:UPTC16701_0589
ko:K02483	clr:UPTC16701_0184
ko:K01420	clr:UPTC16701_0798
ko:K10026	clr:UPTC16701_1396
ko:K07401	clr:UPTC16701_1541
ko:K21929	clr:UPTC16701_0552
ko:K03741	clr:UPTC16701_0669
ko:K03595	clr:UPTC16701_0772
ko:K14441	clr:UPTC16701_0266
ko:K22391	clr:UPTC16701_0969
ko:K17758	clr:UPTC16701_1440
ko:K17759	clr:UPTC16701_1440
