ko:K12978	fto:X557_08760
ko:K14236	fto:X557_09045
ko:K14227	fto:X557_00650
ko:K14227	fto:X557_02385
ko:K14227	fto:X557_06085
ko:K14218	fto:X557_00655
ko:K14218	fto:X557_06090
ko:K14218	fto:X557_02390
ko:K14224	fto:X557_01175
ko:K14219	fto:X557_01650
ko:K14233	fto:X557_01865
ko:K14233	fto:X557_02360
ko:K14220	fto:X557_03485
ko:K14222	fto:X557_03535
ko:K14228	fto:X557_03540
ko:K14231	fto:X557_07345
ko:K14237	fto:X557_06685
ko:K14233	fto:X557_07010
ko:K14229	fto:X557_07685
ko:K14230	fto:X557_08800
ko:K14219	fto:X557_08840
ko:K14234	fto:X557_09035
ko:K14225	fto:X557_09040
ko:K14228	fto:X557_09170
ko:K14221	fto:X557_10070
ko:K01978	fto:X557_01515
ko:K14234	fto:X557_10075
ko:K14228	fto:X557_03290
ko:K14237	fto:X557_07895
ko:K14237	fto:X557_02365
ko:K14228	fto:X557_07325
ko:K14226	fto:X557_07330
ko:K07645	fto:X557_09100
ko:K01985	fto:X557_00665
ko:K01985	fto:X557_06100
ko:K01985	fto:X557_02400
ko:K03462	fto:X557_03080
ko:K00681	fto:X557_04095
ko:K16052	fto:X557_08175
ko:K01985	fto:X557_02550
ko:K03427	fto:X557_05095
ko:K18800	fto:X557_03895
ko:K03111	fto:X557_00080
ko:K07480	fto:X557_04570
ko:K03674	fto:X557_05140
ko:K03496	fto:X557_02265
ko:K03497	fto:X557_02270
ko:K03646	fto:X557_01785
ko:K00335	fto:X557_09420
ko:K14742	fto:X557_04200
ko:K03526	fto:X557_04615
ko:K02663	fto:X557_04245
ko:K02664	fto:X557_04250
ko:K09951	fto:X557_06845
ko:K13004	fto:X557_03160
ko:K13003	fto:X557_03180
ko:K13713	fto:X557_02105
ko:K01710	fto:X557_03225
ko:K22468	fto:X557_02920
ko:K01977	fto:X557_00645
ko:K01977	fto:X557_02380
ko:K01977	fto:X557_06080
ko:K00336	fto:X557_09415
ko:K01183	fto:X557_07835
ko:K01992	fto:X557_07810
ko:K01152	fto:X557_08860
ko:K01152	fto:X557_05175
ko:K02650	fto:X557_02080
ko:K02650	fto:X557_02085
ko:K00526	fto:X557_05135
ko:K03676	fto:X557_05135
ko:K00525	fto:X557_05145
ko:K08156	fto:X557_08070
ko:K01980	fto:X557_00660
ko:K01980	fto:X557_06095
ko:K01980	fto:X557_02395
ko:K19810	fto:X557_07035
ko:K05770	fto:X557_05665
ko:K03271	fto:X557_00350
ko:K20265	fto:X557_01450
ko:K20265	fto:X557_06425
ko:K20265	fto:X557_08140
ko:K00507	fto:X557_02980
ko:K00507	fto:X557_08970
ko:K20534	fto:X557_03335
ko:K01932	fto:X557_07315
ko:K00632	fto:X557_03100
ko:K02335	fto:X557_08570
ko:K00560	fto:X557_03830
ko:K06197	fto:X557_04310
ko:K06217	fto:X557_04665
ko:K00558	fto:X557_09555
ko:K02314	fto:X557_05350
ko:K02316	fto:X557_05475
ko:K13522	fto:X557_02440
ko:K03553	fto:X557_00070
ko:K00287	fto:X557_01185
ko:K01520	fto:X557_01220
ko:K03293	fto:X557_02040
ko:K01582	fto:X557_02565
ko:K21600	fto:X557_05265
ko:K04103	fto:X557_00040
ko:K21829	fto:X557_01855
ko:K22116	fto:X557_07310
ko:K03595	fto:X557_04215
ko:K22132	fto:X557_05170
ko:K22132	fto:X557_05185
ko:K02257	fto:X557_01045
