ko:K09806	ecg:E2348C_3341
ko:K02389	ecg:E2348C_1165
ko:K02390	ecg:E2348C_1166
ko:K02391	ecg:E2348C_1167
ko:K02392	ecg:E2348C_1168
ko:K02393	ecg:E2348C_1169
ko:K02394	ecg:E2348C_1170
ko:K02395	ecg:E2348C_1171
ko:K02396	ecg:E2348C_1172
ko:K02397	ecg:E2348C_1173
ko:K08300	ecg:E2348C_1176
ko:K06179	ecg:E2348C_1178
ko:K07040	ecg:E2348C_1180
ko:K02911	ecg:E2348C_1181
ko:K03621	ecg:E2348C_1182
ko:K00648	ecg:E2348C_1183
ko:K00645	ecg:E2348C_1184
ko:K02078	ecg:E2348C_1186
ko:K09458	ecg:E2348C_1187
ko:K06181	ecg:E2348C_1276
ko:K00031	ecg:E2348C_1277
ko:K03532	ecg:E2348C_1047
ko:K07811	ecg:E2348C_1048
ko:K05516	ecg:E2348C_1051
ko:K03809	ecg:E2348C_1055
ko:K09019	ecg:E2348C_1059
ko:K09023	ecg:E2348C_1060
ko:K09021	ecg:E2348C_1061
ko:K09018	ecg:E2348C_1063
ko:K07243	ecg:E2348C_1067
ko:K07224	ecg:E2348C_1068
ko:K06217	ecg:E2348C_1070
ko:K07043	ecg:E2348C_1090
ko:K01153	ecg:E2348C_1091
ko:K01154	ecg:E2348C_1094
ko:K03427	ecg:E2348C_1095
ko:K02846	ecg:E2348C_1149
ko:K01465	ecg:E2348C_1152
ko:K03675	ecg:E2348C_1154
ko:K08162	ecg:E2348C_1155
ko:K03790	ecg:E2348C_1156
ko:K09915	ecg:E2348C_1157
ko:K03980	ecg:E2348C_1159
ko:K02399	ecg:E2348C_1160
ko:K02398	ecg:E2348C_1161
ko:K02386	ecg:E2348C_1162
ko:K02387	ecg:E2348C_1163
ko:K03607	ecg:E2348C_1956
ko:K02793	ecg:E2348C_1941
ko:K02794	ecg:E2348C_1941
ko:K02795	ecg:E2348C_1942
ko:K02796	ecg:E2348C_1943
ko:K00563	ecg:E2348C_1946
ko:K03704	ecg:E2348C_1947
ko:K08169	ecg:E2348C_1953
ko:K03799	ecg:E2348C_1954
ko:K03797	ecg:E2348C_1955
ko:K07082	ecg:E2348C_1189
ko:K00943	ecg:E2348C_1190
ko:K02341	ecg:E2348C_1191
ko:K03424	ecg:E2348C_1192
ko:K07337	ecg:E2348C_1197
ko:K01207	ecg:E2348C_1199
ko:K07000	ecg:E2348C_1200
ko:K03885	ecg:E2348C_1201
ko:K03723	ecg:E2348C_1206
ko:K09808	ecg:E2348C_1208
ko:K09808	ecg:E2348C_1210
ko:K11069	ecg:E2348C_1215
ko:K11070	ecg:E2348C_1216
ko:K11071	ecg:E2348C_1266
ko:K01258	ecg:E2348C_1268
ko:K07660	ecg:E2348C_1271
ko:K01756	ecg:E2348C_1272
ko:K07153	ecg:E2348C_1273
ko:K00566	ecg:E2348C_1274
ko:K08310	ecg:E2348C_1990
ko:K01876	ecg:E2348C_1991
ko:K07136	ecg:E2348C_1994
ko:K06201	ecg:E2348C_1999
ko:K09907	ecg:E2348C_2000
ko:K01887	ecg:E2348C_2001
ko:K03516	ecg:E2348C_2002
ko:K02400	ecg:E2348C_2003
ko:K03608	ecg:E2348C_1293
ko:K03609	ecg:E2348C_1294
ko:K03610	ecg:E2348C_1295
ko:K09902	ecg:E2348C_1298
ko:K09160	ecg:E2348C_1300
ko:K03503	ecg:E2348C_1302
ko:K03502	ecg:E2348C_1303
ko:K03611	ecg:E2348C_1304
ko:K03314	ecg:E2348C_1305
ko:K03603	ecg:E2348C_1306
ko:K00285	ecg:E2348C_1308
ko:K01775	ecg:E2348C_1309
ko:K11105	ecg:E2348C_1310
ko:K08308	ecg:E2348C_1312
ko:K02014	ecg:E2348C_1315
ko:K03813	ecg:E2348C_1316
ko:K00657	ecg:E2348C_1668
ko:K02013	ecg:E2348C_1318
ko:K02015	ecg:E2348C_1319
ko:K02016	ecg:E2348C_1320
ko:K01194	ecg:E2348C_1321
ko:K05879	ecg:E2348C_1323
ko:K05878	ecg:E2348C_1324
ko:K06942	ecg:E2348C_1326
ko:K01056	ecg:E2348C_1327
ko:K00948	ecg:E2348C_1330
ko:K02424	ecg:E2348C_2038
ko:K02425	ecg:E2348C_2039
ko:K02405	ecg:E2348C_2040
ko:K02406	ecg:E2348C_2041
ko:K02407	ecg:E2348C_2042
ko:K00919	ecg:E2348C_1331
ko:K02494	ecg:E2348C_1332
ko:K02492	ecg:E2348C_1333
ko:K02835	ecg:E2348C_1334
ko:K02493	ecg:E2348C_1335
ko:K01627	ecg:E2348C_1338
ko:K07300	ecg:E2348C_1340
ko:K06197	ecg:E2348C_1341
ko:K06039	ecg:E2348C_1343
ko:K07673	ecg:E2348C_1346
ko:K02575	ecg:E2348C_1347
ko:K00370	ecg:E2348C_1348
ko:K00371	ecg:E2348C_1349
ko:K00373	ecg:E2348C_1350
ko:K00374	ecg:E2348C_1351
ko:K00648	ecg:E2348C_1352
ko:K01433	ecg:E2348C_1359
ko:K09858	ecg:E2348C_1360
ko:K07001	ecg:E2348C_1361
ko:K00963	ecg:E2348C_1363
ko:K03746	ecg:E2348C_1364
ko:K00857	ecg:E2348C_1365
ko:K09901	ecg:E2348C_1374
ko:K06131	ecg:E2348C_1375
ko:K01695	ecg:E2348C_1450
ko:K01696	ecg:E2348C_1451
ko:K01657	ecg:E2348C_1454
ko:K07053	ecg:E2348C_1456
ko:K06178	ecg:E2348C_1459
ko:K02025	ecg:E2348C_1503
ko:K02026	ecg:E2348C_1504
ko:K03808	ecg:E2348C_1958
ko:K11392	ecg:E2348C_1960
ko:K07313	ecg:E2348C_1963
ko:K07156	ecg:E2348C_1966
ko:K02345	ecg:E2348C_1967
ko:K10857	ecg:E2348C_1969
ko:K01354	ecg:E2348C_1970
ko:K09918	ecg:E2348C_1973
ko:K08289	ecg:E2348C_1974
ko:K01625	ecg:E2348C_1975
ko:K01690	ecg:E2348C_1976
ko:K00036	ecg:E2348C_1977
ko:K00873	ecg:E2348C_1979
ko:K02560	ecg:E2348C_1980
ko:K09815	ecg:E2348C_1982
ko:K09817	ecg:E2348C_1983
ko:K09816	ecg:E2348C_1984
ko:K03551	ecg:E2348C_1985
ko:K03550	ecg:E2348C_1986
ko:K01159	ecg:E2348C_1988
ko:K02401	ecg:E2348C_2004
ko:K03414	ecg:E2348C_2005
ko:K03413	ecg:E2348C_2006
ko:K03412	ecg:E2348C_2007
ko:K03408	ecg:E2348C_2010
ko:K03407	ecg:E2348C_2011
ko:K02557	ecg:E2348C_2012
ko:K02556	ecg:E2348C_2013
ko:K07687	ecg:E2348C_2362
ko:K04028	ecg:E2348C_2690
ko:K06218	ecg:E2348_P1_033
ko:K12944	ecg:E2348C_2395
ko:K13301	ecg:E2348C_0102
ko:K00073	ecg:E2348C_0450
ko:K14762	ecg:E2348C_3849
ko:K03316	ecg:E2348C_4389
ko:K11754	ecg:E2348C_2455
ko:K01424	ecg:E2348C_1894
ko:K02024	ecg:E2348C_4351
ko:K00799	ecg:E2348C_1722
ko:K11209	ecg:E2348C_3276
ko:K03324	ecg:E2348C_4324
ko:K01093	ecg:E2348C_0965
ko:K11929	ecg:E2348C_0234
ko:K07659	ecg:E2348C_3650
ko:K03755	ecg:E2348C_4444
ko:K04065	ecg:E2348C_4673
ko:K01580	ecg:E2348C_1620
ko:K05881	ecg:E2348C_1322
ko:K06079	ecg:E2348C_0198
ko:K03759	ecg:E2348C_4443
ko:K11930	ecg:E2348C_1045
ko:K03445	ecg:E2348C_3977
ko:K11745	ecg:E2348C_0048
ko:K11753	ecg:E2348C_0025
ko:K11735	ecg:E2348C_2926
ko:K09017	ecg:E2348C_1064
ko:K11072	ecg:E2348C_1267
ko:K04018	ecg:E2348C_4399
ko:K01580	ecg:E2348C_3759
ko:K07311	ecg:E2348C_1673
ko:K07070	ecg:E2348C_3599
ko:K06158	ecg:E2348C_3602
ko:K07019	ecg:E2348C_3603
ko:K09898	ecg:E2348C_3604
ko:K00855	ecg:E2348C_3605
ko:K10914	ecg:E2348C_3607
ko:K04095	ecg:E2348C_3611
ko:K06141	ecg:E2348C_3614
ko:K00362	ecg:E2348C_3615
ko:K00363	ecg:E2348C_3616
ko:K07048	ecg:E2348C_3623
ko:K01867	ecg:E2348C_3628
ko:K01091	ecg:E2348C_3629
ko:K01783	ecg:E2348C_3630
ko:K04083	ecg:E2348C_3645
ko:K01610	ecg:E2348C_3647
ko:K07638	ecg:E2348C_3649
ko:K04760	ecg:E2348C_3651
ko:K06959	ecg:E2348C_3652
ko:K04758	ecg:E2348C_3653
ko:K04759	ecg:E2348C_3654
ko:K07490	ecg:E2348C_3655
ko:K02170	ecg:E2348C_3657
ko:K07400	ecg:E2348C_3659
ko:K06155	ecg:E2348C_3660
ko:K00705	ecg:E2348C_3661
ko:K00688	ecg:E2348C_3662
ko:K03556	ecg:E2348C_3663
ko:K01974	ecg:E2348C_3664
ko:K02444	ecg:E2348C_3667
ko:K02441	ecg:E2348C_3668
ko:K01995	ecg:E2348C_3695
ko:K01998	ecg:E2348C_3696
ko:K01997	ecg:E2348C_3697
ko:K01999	ecg:E2348C_3698
ko:K01999	ecg:E2348C_3700
ko:K03089	ecg:E2348C_3701
ko:K09811	ecg:E2348C_3702
ko:K02015	ecg:E2348C_3748
ko:K02013	ecg:E2348C_3749
ko:K07507	ecg:E2348C_3750
ko:K00428	ecg:E2348C_3760
ko:K01194	ecg:E2348C_3761
ko:K07058	ecg:E2348C_3764
ko:K07290	ecg:E2348C_3766
ko:K00874	ecg:E2348C_3768
ko:K11103	ecg:E2348C_3770
ko:K07154	ecg:E2348C_3785
ko:K07154	ecg:E2348C_3786
ko:K04651	ecg:E2348C_2991
ko:K04652	ecg:E2348C_2992
ko:K04653	ecg:E2348C_2993
ko:K04654	ecg:E2348C_2994
ko:K04655	ecg:E2348C_2995
ko:K03555	ecg:E2348C_2999
ko:K03299	ecg:E2348C_3006
ko:K03186	ecg:E2348C_3009
ko:K01246	ecg:E2348C_3801
ko:K03826	ecg:E2348C_3802
ko:K03704	ecg:E2348C_3808
ko:K01879	ecg:E2348C_3810
ko:K01878	ecg:E2348C_3811
ko:K01805	ecg:E2348C_3817
ko:K10543	ecg:E2348C_3818
ko:K10545	ecg:E2348C_3819
ko:K10544	ecg:E2348C_3820
ko:K02529	ecg:E2348C_3821
ko:K03796	ecg:E2348C_3822
ko:K06223	ecg:E2348C_3631
ko:K03112	ecg:E2348C_3632
ko:K01735	ecg:E2348C_3633
ko:K00891	ecg:E2348C_3634
ko:K02507	ecg:E2348C_3635
ko:K05366	ecg:E2348C_3640
ko:K08312	ecg:E2348C_3641
ko:K04762	ecg:E2348C_3644
ko:K00982	ecg:E2348C_3346
ko:K07184	ecg:E2348C_3348
ko:K06153	ecg:E2348C_3350
ko:K01633	ecg:E2348C_3351
ko:K08591	ecg:E2348C_3352
ko:K03780	ecg:E2348C_3355
ko:K01409	ecg:E2348C_3357
ko:K02970	ecg:E2348C_3358
ko:K02316	ecg:E2348C_3359
ko:K03086	ecg:E2348C_3360
ko:K03776	ecg:E2348C_3365
ko:K06878	ecg:E2348C_3367
ko:K11391	ecg:E2348C_3376
ko:K07043	ecg:E2348C_3377
ko:K07862	ecg:E2348C_3382
ko:K01685	ecg:E2348C_3384
ko:K01812	ecg:E2348C_3385
ko:K02335	ecg:E2348C_4170
ko:K08191	ecg:E2348C_3386
ko:K07393	ecg:E2348C_3395
ko:K06911	ecg:E2348C_3398
ko:K01752	ecg:E2348C_3402
ko:K00656	ecg:E2348C_3404
ko:K01754	ecg:E2348C_3407
ko:K00865	ecg:E2348C_3410
ko:K02745	ecg:E2348C_3417
ko:K02746	ecg:E2348C_3418
ko:K02747	ecg:E2348C_3419
ko:K02744	ecg:E2348C_3420
ko:K02079	ecg:E2348C_3421
ko:K02082	ecg:E2348C_3422
ko:K08302	ecg:E2348C_3423
ko:K07056	ecg:E2348C_3428
ko:K07121	ecg:E2348C_3429
ko:K07460	ecg:E2348C_3430
ko:K03835	ecg:E2348C_3442
ko:K05592	ecg:E2348C_3443
ko:K05803	ecg:E2348C_3444
ko:K00962	ecg:E2348C_3445
ko:K02956	ecg:E2348C_3446
ko:K03177	ecg:E2348C_3447
ko:K02834	ecg:E2348C_3448
ko:K02519	ecg:E2348C_3449
ko:K02600	ecg:E2348C_3450
ko:K09748	ecg:E2348C_3451
ko:K01940	ecg:E2348C_3452
ko:K03075	ecg:E2348C_3454
ko:K03431	ecg:E2348C_3455
ko:K00796	ecg:E2348C_3456
ko:K03798	ecg:E2348C_3457
ko:K02427	ecg:E2348C_3458
ko:K07574	ecg:E2348C_3459
ko:K03624	ecg:E2348C_3460
ko:K07259	ecg:E2348C_3461
ko:K03979	ecg:E2348C_3462
ko:K02899	ecg:E2348C_3464
ko:K02888	ecg:E2348C_3465
ko:K02523	ecg:E2348C_3466
ko:K00790	ecg:E2348C_3468
ko:K07122	ecg:E2348C_3470
ko:K07323	ecg:E2348C_3471
ko:K02067	ecg:E2348C_3472
ko:K07648	ecg:E2348C_3489
ko:K07139	ecg:E2348C_3490
ko:K00266	ecg:E2348C_3492
ko:K01788	ecg:E2348C_3495
ko:K03290	ecg:E2348C_3496
ko:K01639	ecg:E2348C_3497
ko:K03600	ecg:E2348C_3499
ko:K03599	ecg:E2348C_3500
ko:K02996	ecg:E2348C_3501
ko:K02871	ecg:E2348C_3502
ko:K06916	ecg:E2348C_3503
ko:K09908	ecg:E2348C_3504
ko:K03402	ecg:E2348C_3508
ko:K00014	ecg:E2348C_3544
ko:K03563	ecg:E2348C_2959
ko:K01872	ecg:E2348C_2960
ko:K03565	ecg:E2348C_2961
ko:K03553	ecg:E2348C_2962
ko:K03743	ecg:E2348C_2963
ko:K02467	ecg:E2348C_2965
ko:K05796	ecg:E2348C_2977
ko:K08315	ecg:E2348C_2982
ko:K03924	ecg:E2348C_4056
ko:K03549	ecg:E2348C_4057
ko:K06726	ecg:E2348C_4058
ko:K10441	ecg:E2348C_4059
ko:K10440	ecg:E2348C_4060
ko:K10439	ecg:E2348C_4061
ko:K00852	ecg:E2348C_4062
ko:K02529	ecg:E2348C_4063
ko:K02853	ecg:E2348C_4095
ko:K06871	ecg:E2348C_4098
ko:K02498	ecg:E2348C_4100
ko:K02496	ecg:E2348C_4101
ko:K01719	ecg:E2348C_4102
ko:K01749	ecg:E2348C_4103
ko:K05851	ecg:E2348C_4104
ko:K06202	ecg:E2348C_4105
ko:K01778	ecg:E2348C_4109
ko:K09921	ecg:E2348C_4110
ko:K03733	ecg:E2348C_4111
ko:K03657	ecg:E2348C_4113
ko:K12297	ecg:E2348C_0934
ko:K12290	ecg:E2348C_3637
ko:K01784	ecg:E2348C_2182
ko:K12288	ecg:E2348C_3639
ko:K00758	ecg:E2348C_4680
ko:K11732	ecg:E2348C_0476
ko:K11739	ecg:E2348C_0468
ko:K00748	ecg:E2348C_0187
ko:K12059	ecg:E2348_P1_059
ko:K12060	ecg:E2348_P1_060
ko:K12056	ecg:E2348_P1_048
ko:K08224	ecg:E2348C_1680
ko:K00325	ecg:E2348C_1687
ko:K00324	ecg:E2348C_1688
ko:K03758	ecg:E2348C_1690
ko:K07661	ecg:E2348C_1693
ko:K07639	ecg:E2348C_1694
ko:K10748	ecg:E2348C_1695
ko:K01679	ecg:E2348C_1696
ko:K01676	ecg:E2348C_1697
ko:K01809	ecg:E2348C_1698
ko:K01195	ecg:E2348C_1702
ko:K08680	ecg:E2348C_2408
ko:K02551	ecg:E2348C_2409
ko:K02552	ecg:E2348C_2410
ko:K05594	ecg:E2348C_2411
ko:K02348	ecg:E2348C_2412
ko:K00784	ecg:E2348C_2413
ko:K00343	ecg:E2348C_2416
ko:K00342	ecg:E2348C_2417
ko:K00341	ecg:E2348C_2418
ko:K00340	ecg:E2348C_2419
ko:K00339	ecg:E2348C_2420
ko:K00338	ecg:E2348C_2421
ko:K00337	ecg:E2348C_2422
ko:K00336	ecg:E2348C_2423
ko:K02573	ecg:E2348C_2349
ko:K02567	ecg:E2348C_2350
ko:K02570	ecg:E2348C_2351
ko:K02572	ecg:E2348C_2352
ko:K08276	ecg:E2348C_2354
ko:K00116	ecg:E2348C_2355
ko:K07806	ecg:E2348C_2397
ko:K10012	ecg:E2348C_2398
ko:K10011	ecg:E2348C_2399
ko:K07264	ecg:E2348C_2401
ko:K01911	ecg:E2348C_2405
ko:K02549	ecg:E2348C_2406
ko:K01661	ecg:E2348C_2407
ko:K00335	ecg:E2348C_2424
ko:K00334	ecg:E2348C_2425
ko:K00331	ecg:E2348C_2427
ko:K00330	ecg:E2348C_2428
ko:K08722	ecg:E2348C_2431
ko:K09161	ecg:E2348C_2434
ko:K09899	ecg:E2348C_2435
ko:K00925	ecg:E2348C_2436
ko:K07095	ecg:E2348C_2440
ko:K07589	ecg:E2348C_2443
ko:K07071	ecg:E2348C_2444
ko:K10017	ecg:E2348C_2446
ko:K10015	ecg:E2348C_2447
ko:K10016	ecg:E2348C_2448
ko:K10014	ecg:E2348C_2449
ko:K03186	ecg:E2348C_2451
ko:K00764	ecg:E2348C_2452
ko:K03558	ecg:E2348C_2453
ko:K03749	ecg:E2348C_2454
ko:K01963	ecg:E2348C_2456
ko:K03975	ecg:E2348C_2457
ko:K06173	ecg:E2348C_2458
ko:K02314	ecg:E2348C_2529
ko:K00847	ecg:E2348C_2555
ko:K07690	ecg:E2348C_2562
ko:K07088	ecg:E2348C_2565
ko:K01577	ecg:E2348C_2566
ko:K00950	ecg:E2348C_0145
ko:K06204	ecg:E2348C_0148
ko:K06206	ecg:E2348C_0149
ko:K03830	ecg:E2348C_0227
ko:K02839	ecg:E2348C_0229
ko:K00769	ecg:E2348C_0231
ko:K00931	ecg:E2348C_0235
ko:K00147	ecg:E2348C_0236
ko:K08996	ecg:E2348C_0243
ko:K06940	ecg:E2348C_0244
ko:K02919	ecg:E2348C_0253
ko:K02909	ecg:E2348C_0254
ko:K06910	ecg:E2348C_0724
ko:K00833	ecg:E2348C_0726
ko:K01012	ecg:E2348C_0727
ko:K02169	ecg:E2348C_0729
ko:K01935	ecg:E2348C_0730
ko:K03702	ecg:E2348C_0731
ko:K03639	ecg:E2348C_0733
ko:K03638	ecg:E2348C_0734
ko:K03637	ecg:E2348C_0735
ko:K03635	ecg:E2348C_0737
ko:K06890	ecg:E2348C_0738
ko:K06890	ecg:E2348C_0739
ko:K01993	ecg:E2348C_0747
ko:K12057	ecg:E2348_P1_056
ko:K00697	ecg:E2348C_2017
ko:K10539	ecg:E2348C_2021
ko:K10537	ecg:E2348C_2022
ko:K02217	ecg:E2348C_2026
ko:K03834	ecg:E2348C_2028
ko:K07039	ecg:E2348C_2029
ko:K00995	ecg:E2348C_2030
ko:K03703	ecg:E2348C_2031
ko:K07689	ecg:E2348C_2032
ko:K10010	ecg:E2348C_2035
ko:K10009	ecg:E2348C_2036
ko:K05396	ecg:E2348C_2037
ko:K02422	ecg:E2348C_2043
ko:K07112	ecg:E2348C_2047
ko:K03829	ecg:E2348C_2050
ko:K02408	ecg:E2348C_2051
ko:K02409	ecg:E2348C_2052
ko:K02410	ecg:E2348C_2053
ko:K02411	ecg:E2348C_2054
ko:K02412	ecg:E2348C_2055
ko:K02413	ecg:E2348C_2056
ko:K02415	ecg:E2348C_2058
ko:K02416	ecg:E2348C_2059
ko:K02417	ecg:E2348C_2060
ko:K02418	ecg:E2348C_2061
ko:K02419	ecg:E2348C_2062
ko:K02420	ecg:E2348C_2063
ko:K00969	ecg:E2348C_0539
ko:K02340	ecg:E2348C_0540
ko:K03643	ecg:E2348C_0541
ko:K01869	ecg:E2348C_0542
ko:K10004	ecg:E2348C_0545
ko:K10002	ecg:E2348C_0546
ko:K10003	ecg:E2348C_0547
ko:K10001	ecg:E2348C_0548
ko:K03820	ecg:E2348C_0550
ko:K06189	ecg:E2348C_0551
ko:K07042	ecg:E2348C_0552
ko:K06217	ecg:E2348C_0553
ko:K03184	ecg:E2348C_0555
ko:K01953	ecg:E2348C_0556
ko:K02565	ecg:E2348C_0558
ko:K01443	ecg:E2348C_0559
ko:K02564	ecg:E2348C_0560
ko:K02802	ecg:E2348C_0561
ko:K02803	ecg:E2348C_0561
ko:K02804	ecg:E2348C_0561
ko:K01714	ecg:E2348C_0566
ko:K01886	ecg:E2348C_0571
ko:K03839	ecg:E2348C_0576
ko:K03645	ecg:E2348C_0579
ko:K03756	ecg:E2348C_0581
ko:K01581	ecg:E2348C_0582
ko:K07667	ecg:E2348C_0583
ko:K07646	ecg:E2348C_0584
ko:K01548	ecg:E2348C_0585
ko:K01547	ecg:E2348C_0586
ko:K01546	ecg:E2348C_0587
ko:K01669	ecg:E2348C_0591
ko:K03305	ecg:E2348C_0592
ko:K07160	ecg:E2348C_0596
ko:K05522	ecg:E2348C_0597
ko:K07120	ecg:E2348C_0598
ko:K01647	ecg:E2348C_0600
ko:K00241	ecg:E2348C_0601
ko:K00242	ecg:E2348C_0602
ko:K00239	ecg:E2348C_0603
ko:K00240	ecg:E2348C_0604
ko:K00164	ecg:E2348C_0605
ko:K00658	ecg:E2348C_0606
ko:K01903	ecg:E2348C_0607
ko:K01902	ecg:E2348C_0608
ko:K00425	ecg:E2348C_0616
ko:K00426	ecg:E2348C_0617
ko:K07107	ecg:E2348C_0620
ko:K03562	ecg:E2348C_0621
ko:K03560	ecg:E2348C_0622
ko:K03646	ecg:E2348C_0623
ko:K03641	ecg:E2348C_0624
ko:K03640	ecg:E2348C_0625
ko:K01626	ecg:E2348C_0631
ko:K01834	ecg:E2348C_0632
ko:K01785	ecg:E2348C_0633
ko:K00849	ecg:E2348C_0634
ko:K05776	ecg:E2348C_0637
ko:K02019	ecg:E2348C_0638
ko:K02020	ecg:E2348C_0640
ko:K02018	ecg:E2348C_0641
ko:K03319	ecg:E2348C_0647
ko:K01681	ecg:E2348C_0648
ko:K03517	ecg:E2348C_0627
ko:K03811	ecg:E2348C_0628
ko:K03722	ecg:E2348C_0751
ko:K07336	ecg:E2348C_0756
ko:K04047	ecg:E2348C_0764
ko:K00656	ecg:E2348C_0774
ko:K04069	ecg:E2348C_0775
ko:K03750	ecg:E2348C_0778
ko:K07258	ecg:E2348C_0790
ko:K08160	ecg:E2348C_0793
ko:K07140	ecg:E2348C_0933
ko:K03808	ecg:E2348C_0936
ko:K06192	ecg:E2348C_0937
ko:K09857	ecg:E2348C_0938
ko:K03812	ecg:E2348C_0939
ko:K01716	ecg:E2348C_0940
ko:K04770	ecg:E2348C_0941
ko:K09911	ecg:E2348C_0942
ko:K03658	ecg:E2348C_0948
ko:K01734	ecg:E2348C_0949
ko:K09909	ecg:E2348C_0950
ko:K06929	ecg:E2348C_0951
ko:K06969	ecg:E2348C_0953
ko:K01512	ecg:E2348C_0954
ko:K11179	ecg:E2348C_0955
ko:K06282	ecg:E2348C_0957
ko:K06281	ecg:E2348C_0958
ko:K03620	ecg:E2348C_0959
ko:K03111	ecg:E2348C_0986
ko:K06903	ecg:E2348C_0832
ko:K06907	ecg:E2348C_0836
ko:K06908	ecg:E2348C_0837
ko:K06906	ecg:E2348C_0841
ko:K07085	ecg:E2348C_0844
ko:K03674	ecg:E2348C_0846
ko:K10678	ecg:E2348C_0848
ko:K05844	ecg:E2348C_0849
ko:K11073	ecg:E2348C_0851
ko:K11076	ecg:E2348C_0852
ko:K11075	ecg:E2348C_0853
ko:K11074	ecg:E2348C_0854
ko:K03212	ecg:E2348C_0856
ko:K09996	ecg:E2348C_0857
ko:K09998	ecg:E2348C_0858
ko:K09999	ecg:E2348C_0859
ko:K09997	ecg:E2348C_0860
ko:K10000	ecg:E2348C_0861
ko:K11066	ecg:E2348C_0864
ko:K01620	ecg:E2348C_0867
ko:K00156	ecg:E2348C_0868
ko:K06188	ecg:E2348C_0872
ko:K09824	ecg:E2348C_0874
ko:K06891	ecg:E2348C_0878
ko:K03694	ecg:E2348C_0879
ko:K02518	ecg:E2348C_0880
ko:K00684	ecg:E2348C_0881
ko:K00384	ecg:E2348C_0884
ko:K03466	ecg:E2348C_0886
ko:K03634	ecg:E2348C_0887
ko:K07478	ecg:E2348C_0888
ko:K01875	ecg:E2348C_0889
ko:K07308	ecg:E2348C_0892
ko:K08219	ecg:E2348C_0894
ko:K04069	ecg:E2348C_0895
ko:K00656	ecg:E2348C_0896
ko:K09136	ecg:E2348C_0898
ko:K00831	ecg:E2348C_0900
ko:K00800	ecg:E2348C_0901
ko:K07387	ecg:E2348C_0902
ko:K00945	ecg:E2348C_0903
ko:K02945	ecg:E2348C_0904
ko:K05788	ecg:E2348C_0905
ko:K02238	ecg:E2348C_0906
ko:K00912	ecg:E2348C_0908
ko:K09927	ecg:E2348C_0909
ko:K09791	ecg:E2348C_0910
ko:K00979	ecg:E2348C_0911
ko:K06219	ecg:E2348C_0914
ko:K03633	ecg:E2348C_0915
ko:K03804	ecg:E2348C_0916
ko:K03632	ecg:E2348C_0917
ko:K03619	ecg:E2348C_0961
ko:K03618	ecg:E2348C_0962
ko:K00425	ecg:E2348C_0963
ko:K00426	ecg:E2348C_0964
ko:K01991	ecg:E2348C_0968
ko:K03704	ecg:E2348C_0973
ko:K03704	ecg:E2348C_0974
ko:K07647	ecg:E2348C_0978
ko:K03785	ecg:E2348C_1778
ko:K00313	ecg:E2348C_1784
ko:K01007	ecg:E2348C_1787
ko:K09773	ecg:E2348C_1788
ko:K01626	ecg:E2348C_1789
ko:K07772	ecg:E2348C_1046
ko:K03473	ecg:E2348C_2460
ko:K00647	ecg:E2348C_2463
ko:K09906	ecg:E2348C_2466
ko:K07261	ecg:E2348C_2468
ko:K03704	ecg:E2348C_0877
ko:K03617	ecg:E2348C_1714
ko:K03616	ecg:E2348C_1715
ko:K01893	ecg:E2348C_0923
ko:K00763	ecg:E2348C_0924
ko:K01256	ecg:E2348C_0925
ko:K03615	ecg:E2348C_1716
ko:K03614	ecg:E2348C_1717
ko:K03612	ecg:E2348C_1718
ko:K03613	ecg:E2348C_1719
ko:K10773	ecg:E2348C_1720
ko:K03305	ecg:E2348C_1721
ko:K00868	ecg:E2348C_1723
ko:K01866	ecg:E2348C_1724
ko:K00275	ecg:E2348C_1725
ko:K09001	ecg:E2348C_1727
ko:K12058	ecg:E2348_P1_058
ko:K02421	ecg:E2348C_2064
ko:K07026	ecg:E2348C_2068
ko:K09781	ecg:E2348C_2071
ko:K07458	ecg:E2348C_2073
ko:K00558	ecg:E2348C_2074
ko:K06950	ecg:E2348C_2075
ko:K05523	ecg:E2348C_2078
ko:K07127	ecg:E2348C_2081
ko:K07147	ecg:E2348C_2082
ko:K09933	ecg:E2348C_2085
ko:K01241	ecg:E2348C_2089
ko:K09780	ecg:E2348C_1378
ko:K03832	ecg:E2348C_1379
ko:K10806	ecg:E2348C_1380
ko:K06190	ecg:E2348C_1381
ko:K07275	ecg:E2348C_1383
ko:K00768	ecg:E2348C_2124
ko:K02233	ecg:E2348C_2125
ko:K02231	ecg:E2348C_2126
ko:K04031	ecg:E2348C_2147
ko:K04029	ecg:E2348C_2148
ko:K09802	ecg:E2348C_2149
ko:K07258	ecg:E2348C_2152
ko:K01141	ecg:E2348C_2153
ko:K00765	ecg:E2348C_2160
ko:K00013	ecg:E2348C_2161
ko:K00817	ecg:E2348C_2162
ko:K02501	ecg:E2348C_2164
ko:K01814	ecg:E2348C_2165
ko:K02500	ecg:E2348C_2166
ko:K00012	ecg:E2348C_2169
ko:K00033	ecg:E2348C_2170
ko:K03168	ecg:E2348C_1464
ko:K01681	ecg:E2348C_1468
ko:K01591	ecg:E2348C_1473
ko:K03113	ecg:E2348C_1474
ko:K04062	ecg:E2348C_1475
ko:K00208	ecg:E2348C_1482
ko:K07552	ecg:E2348C_1487
ko:K03974	ecg:E2348C_1495
ko:K03969	ecg:E2348C_1496
