ko:K01658	ypx:YPD8_1328
ko:K03472	ypx:YPD8_0754
ko:K00927	ypx:YPD8_0755
ko:K01624	ypx:YPD8_0756
ko:K06895	ypx:YPD8_0758
ko:K09807	ypx:YPD8_0759
ko:K05596	ypx:YPD8_0760
ko:K01807	ypx:YPD8_0761
ko:K09888	ypx:YPD8_0764
ko:K09895	ypx:YPD8_0765
ko:K03185	ypx:YPD8_0767
ko:K00605	ypx:YPD8_0769
ko:K02437	ypx:YPD8_0770
ko:K00281	ypx:YPD8_0771
ko:K11068	ypx:YPD8_0775
ko:K06980	ypx:YPD8_0777
ko:K07663	ypx:YPD8_0779
ko:K07641	ypx:YPD8_0780
ko:K06143	ypx:YPD8_0781
ko:K03840	ypx:YPD8_0782
ko:K03981	ypx:YPD8_0784
ko:K07462	ypx:YPD8_0785
ko:K02836	ypx:YPD8_0786
ko:K04567	ypx:YPD8_0787
ko:K13655	ypx:YPD8_0790
ko:K00012	ypx:YPD8_1637
ko:K09858	ypx:YPD8_1639
ko:K01433	ypx:YPD8_1640
ko:K01142	ypx:YPD8_1643
ko:K08320	ypx:YPD8_1644
ko:K01008	ypx:YPD8_1646
ko:K04773	ypx:YPD8_1648
ko:K08281	ypx:YPD8_1650
ko:K00134	ypx:YPD8_1652
ko:K01792	ypx:YPD8_1653
ko:K07180	ypx:YPD8_1655
ko:K09786	ypx:YPD8_1656
ko:K06911	ypx:YPD8_1659
ko:K07552	ypx:YPD8_1660
ko:K00285	ypx:YPD8_1661
ko:K03603	ypx:YPD8_1663
ko:K03314	ypx:YPD8_1664
ko:K03611	ypx:YPD8_1665
ko:K04487	ypx:YPD8_1668
ko:K01779	ypx:YPD8_2526
ko:K09906	ypx:YPD8_2530
ko:K07090	ypx:YPD8_2531
ko:K07261	ypx:YPD8_2532
ko:K01736	ypx:YPD8_2533
ko:K07320	ypx:YPD8_2534
ko:K08296	ypx:YPD8_2536
ko:K06076	ypx:YPD8_2539
ko:K04754	ypx:YPD8_2540
ko:K02199	ypx:YPD8_2543
ko:K02198	ypx:YPD8_2544
ko:K02197	ypx:YPD8_2545
ko:K02196	ypx:YPD8_2546
ko:K02195	ypx:YPD8_2547
ko:K02194	ypx:YPD8_2548
ko:K03744	ypx:YPD8_2551
ko:K06193	ypx:YPD8_2553
ko:K11897	ypx:YPD8_2555
ko:K11898	ypx:YPD8_2556
ko:K11891	ypx:YPD8_2559
ko:K11892	ypx:YPD8_2560
ko:K11893	ypx:YPD8_2564
ko:K11903	ypx:YPD8_2566
ko:K11900	ypx:YPD8_2567
ko:K11901	ypx:YPD8_2568
ko:K07347	ypx:YPD8_2572
ko:K07345	ypx:YPD8_2574
ko:K11907	ypx:YPD8_2575
ko:K11896	ypx:YPD8_2576
ko:K11895	ypx:YPD8_2577
ko:K11902	ypx:YPD8_2578
ko:K03657	ypx:YPD8_3388
ko:K03733	ypx:YPD8_3390
ko:K09921	ypx:YPD8_3391
ko:K01778	ypx:YPD8_3392
ko:K06202	ypx:YPD8_3393
ko:K05851	ypx:YPD8_3394
ko:K01749	ypx:YPD8_3395
ko:K02496	ypx:YPD8_3397
ko:K02498	ypx:YPD8_3398
ko:K02853	ypx:YPD8_3402
ko:K12582	ypx:YPD8_3403
ko:K02805	ypx:YPD8_3405
ko:K00973	ypx:YPD8_3407
ko:K02472	ypx:YPD8_3409
ko:K05790	ypx:YPD8_3411
ko:K03628	ypx:YPD8_3413
ko:K03671	ypx:YPD8_3414
ko:K03732	ypx:YPD8_3415
ko:K01524	ypx:YPD8_3416
ko:K03656	ypx:YPD8_3417
ko:K07345	ypx:YPD8_3421
ko:K07347	ypx:YPD8_3424
ko:K00053	ypx:YPD8_3428
ko:K02521	ypx:YPD8_3429
ko:K01754	ypx:YPD8_3434
ko:K01687	ypx:YPD8_3435
ko:K02057	ypx:YPD8_3227
ko:K02389	ypx:YPD8_0630
ko:K02390	ypx:YPD8_0631
ko:K02391	ypx:YPD8_0634
ko:K02393	ypx:YPD8_0636
ko:K02394	ypx:YPD8_0637
ko:K02396	ypx:YPD8_0638
ko:K02397	ypx:YPD8_0639
ko:K02406	ypx:YPD8_0643
ko:K02406	ypx:YPD8_0644
ko:K02406	ypx:YPD8_0645
ko:K02407	ypx:YPD8_0646
ko:K02422	ypx:YPD8_0647
ko:K02415	ypx:YPD8_0650
ko:K02405	ypx:YPD8_0651
ko:K02556	ypx:YPD8_0652
ko:K02557	ypx:YPD8_0653
ko:K02529	ypx:YPD8_0659
ko:K14445	ypx:YPD8_0660
ko:K01868	ypx:YPD8_1525
ko:K08308	ypx:YPD8_1527
ko:K11605	ypx:YPD8_1530
ko:K11606	ypx:YPD8_1531
ko:K02532	ypx:YPD8_1536
ko:K07407	ypx:YPD8_1537
ko:K09912	ypx:YPD8_1543
ko:K01940	ypx:YPD8_1548
ko:K09802	ypx:YPD8_1557
ko:K02392	ypx:YPD8_0635
ko:K01141	ypx:YPD8_1559
ko:K08317	ypx:YPD8_1561
ko:K02057	ypx:YPD8_1564
ko:K00765	ypx:YPD8_1567
ko:K00013	ypx:YPD8_1568
ko:K00817	ypx:YPD8_1569
ko:K01089	ypx:YPD8_1570
ko:K02501	ypx:YPD8_1571
ko:K01814	ypx:YPD8_1572
ko:K02500	ypx:YPD8_1573
ko:K11755	ypx:YPD8_1574
ko:K00963	ypx:YPD8_1576
ko:K00963	ypx:YPD8_1577
ko:K13643	ypx:YPD8_2413
ko:K04487	ypx:YPD8_2414
ko:K04082	ypx:YPD8_2416
ko:K04044	ypx:YPD8_2417
ko:K04755	ypx:YPD8_2418
ko:K07751	ypx:YPD8_2419
ko:K00940	ypx:YPD8_2425
ko:K06941	ypx:YPD8_2426
ko:K02656	ypx:YPD8_2427
ko:K15539	ypx:YPD8_2428
ko:K01892	ypx:YPD8_2430
ko:K03977	ypx:YPD8_2433
ko:K07088	ypx:YPD8_2434
ko:K03601	ypx:YPD8_2435
ko:K01951	ypx:YPD8_2437
ko:K00941	ypx:YPD8_2443
ko:K08303	ypx:YPD8_2447
ko:K09946	ypx:YPD8_2448
ko:K07664	ypx:YPD8_2449
ko:K07642	ypx:YPD8_2450
ko:K07789	ypx:YPD8_2452
ko:K07788	ypx:YPD8_2453
ko:K07799	ypx:YPD8_2454
ko:K00375	ypx:YPD8_2456
ko:K00823	ypx:YPD8_2457
ko:K02053	ypx:YPD8_2460
ko:K04046	ypx:YPD8_2461
ko:K06213	ypx:YPD8_2462
ko:K01524	ypx:YPD8_2463
ko:K00937	ypx:YPD8_2464
ko:K02037	ypx:YPD8_2465
ko:K02038	ypx:YPD8_2466
ko:K02036	ypx:YPD8_2467
ko:K09891	ypx:YPD8_3285
ko:K05982	ypx:YPD8_3286
ko:K01599	ypx:YPD8_3287
ko:K03426	ypx:YPD8_3289
ko:K07740	ypx:YPD8_3290
ko:K03147	ypx:YPD8_3291
ko:K00788	ypx:YPD8_3292
ko:K03149	ypx:YPD8_3294
ko:K03150	ypx:YPD8_3295
ko:K03046	ypx:YPD8_3297
ko:K03043	ypx:YPD8_3298
ko:K02935	ypx:YPD8_3299
ko:K02864	ypx:YPD8_3300
ko:K02863	ypx:YPD8_3301
ko:K02867	ypx:YPD8_3302
ko:K02601	ypx:YPD8_3303
ko:K03073	ypx:YPD8_3304
ko:K02358	ypx:YPD8_3305
ko:K03524	ypx:YPD8_3310
ko:K00075	ypx:YPD8_3311
ko:K01825	ypx:YPD8_3316
ko:K05368	ypx:YPD8_3318
ko:K03182	ypx:YPD8_3319
ko:K01698	ypx:YPD8_3321
ko:K03424	ypx:YPD8_3325
ko:K03118	ypx:YPD8_3326
ko:K03117	ypx:YPD8_3327
ko:K03688	ypx:YPD8_3328
ko:K03690	ypx:YPD8_3329
ko:K03183	ypx:YPD8_3330
ko:K09760	ypx:YPD8_3331
ko:K15634	ypx:YPD8_0395
ko:K12545	ypx:YPD8_3457
ko:K03585	ypx:YPD8_3063
ko:K04785	ypx:YPD8_1873
ko:K05374	ypx:YPD8_1874
ko:K02083	ypx:YPD8_2837
ko:K07497	ypx:YPD8_0657
ko:K07497	ypx:YPD8_0696
ko:K07497	ypx:YPD8_3069
ko:K07497	ypx:YPD8_3256
ko:K07497	ypx:YPD8_3465
ko:K07497	ypx:YPD8_3568
ko:K07497	ypx:YPD8_3610
ko:K18139	ypx:YPD8_3061
ko:K18138	ypx:YPD8_3062
ko:K11202	ypx:YPD8_0349
ko:K11202	ypx:YPD8_0350
ko:K11203	ypx:YPD8_0351
ko:K08483	ypx:YPD8_0352
ko:K11189	ypx:YPD8_0352
ko:K11201	ypx:YPD8_0352
ko:K08321	ypx:YPD8_0354
ko:K10555	ypx:YPD8_0355
ko:K10557	ypx:YPD8_0356
ko:K10556	ypx:YPD8_0357
ko:K10558	ypx:YPD8_0358
ko:K11531	ypx:YPD8_0360
ko:K11216	ypx:YPD8_0361
ko:K01051	ypx:YPD8_0366
ko:K02344	ypx:YPD8_0369
ko:K03789	ypx:YPD8_0370
ko:K02837	ypx:YPD8_0371
ko:K03424	ypx:YPD8_0374
ko:K01839	ypx:YPD8_0379
ko:K01079	ypx:YPD8_0382
ko:K04485	ypx:YPD8_0383
ko:K06211	ypx:YPD8_0384
ko:K08309	ypx:YPD8_0392
ko:K03720	ypx:YPD8_0393
ko:K05804	ypx:YPD8_0396
ko:K05805	ypx:YPD8_0397
ko:K07773	ypx:YPD8_0398
ko:K06222	ypx:YPD8_1242
ko:K08307	ypx:YPD8_1245
ko:K08307	ypx:YPD8_1246
ko:K01716	ypx:YPD8_1257
ko:K04770	ypx:YPD8_1258
ko:K09911	ypx:YPD8_1259
ko:K03658	ypx:YPD8_1266
ko:K01734	ypx:YPD8_1267
ko:K06929	ypx:YPD8_1269
ko:K11940	ypx:YPD8_1270
ko:K06969	ypx:YPD8_1271
ko:K02372	ypx:YPD8_1277
ko:K00645	ypx:YPD8_1285
ko:K11901	ypx:YPD8_1286
ko:K11900	ypx:YPD8_1287
ko:K11893	ypx:YPD8_1288
ko:K03621	ypx:YPD8_2133
ko:K07040	ypx:YPD8_2134
ko:K08300	ypx:YPD8_2138
ko:K13788	ypx:YPD8_2142
ko:K00925	ypx:YPD8_2143
ko:K09899	ypx:YPD8_2144
ko:K09161	ypx:YPD8_2145
ko:K14260	ypx:YPD8_2149
ko:K00330	ypx:YPD8_2151
ko:K00331	ypx:YPD8_2152
ko:K13378	ypx:YPD8_2153
ko:K00334	ypx:YPD8_2154
ko:K00337	ypx:YPD8_2157
ko:K00338	ypx:YPD8_2158
ko:K00339	ypx:YPD8_2159
ko:K00340	ypx:YPD8_2160
ko:K00341	ypx:YPD8_2161
ko:K00342	ypx:YPD8_2162
ko:K00343	ypx:YPD8_2163
ko:K01690	ypx:YPD8_2173
ko:K02551	ypx:YPD8_2177
ko:K01661	ypx:YPD8_2179
ko:K01911	ypx:YPD8_2181
ko:K10037	ypx:YPD8_2188
ko:K10036	ypx:YPD8_2189
ko:K02504	ypx:YPD8_3010
ko:K02505	ypx:YPD8_3011
ko:K00364	ypx:YPD8_3012
ko:K00859	ypx:YPD8_3013
ko:K11720	ypx:YPD8_3021
ko:K07091	ypx:YPD8_3022
ko:K01255	ypx:YPD8_3023
ko:K02339	ypx:YPD8_3024
ko:K01873	ypx:YPD8_3025
ko:K03828	ypx:YPD8_3026
ko:K09893	ypx:YPD8_3027
ko:K00611	ypx:YPD8_3028
ko:K02034	ypx:YPD8_3033
ko:K02043	ypx:YPD8_3038
ko:K06166	ypx:YPD8_3039
ko:K06165	ypx:YPD8_3040
ko:K06164	ypx:YPD8_3041
ko:K06163	ypx:YPD8_3042
ko:K05781	ypx:YPD8_3043
ko:K05780	ypx:YPD8_3044
ko:K06162	ypx:YPD8_3045
ko:K05774	ypx:YPD8_3046
ko:K06167	ypx:YPD8_3047
ko:K09979	ypx:YPD8_3049
ko:K03824	ypx:YPD8_3057
ko:K08303	ypx:YPD8_3059
ko:K05592	ypx:YPD8_3066
ko:K03219	ypx:YPD8_0229
ko:K03220	ypx:YPD8_0230
ko:K03222	ypx:YPD8_0232
ko:K03230	ypx:YPD8_0235
ko:K03224	ypx:YPD8_0236
ko:K03225	ypx:YPD8_0239
ko:K03226	ypx:YPD8_0240
ko:K03228	ypx:YPD8_0241
ko:K03229	ypx:YPD8_0242
ko:K07112	ypx:YPD8_0243
ko:K02013	ypx:YPD8_0247
ko:K02015	ypx:YPD8_0248
ko:K02016	ypx:YPD8_0249
ko:K07225	ypx:YPD8_0250
ko:K00297	ypx:YPD8_0255
ko:K05795	ypx:YPD8_0265
ko:K05795	ypx:YPD8_0266
ko:K03181	ypx:YPD8_0273
ko:K03179	ypx:YPD8_0274
ko:K00631	ypx:YPD8_0275
ko:K00901	ypx:YPD8_0276
ko:K01356	ypx:YPD8_0277
ko:K09823	ypx:YPD8_0278
ko:K05539	ypx:YPD8_0279
ko:K01775	ypx:YPD8_0282
ko:K00832	ypx:YPD8_0283
ko:K03701	ypx:YPD8_0285
ko:K00965	ypx:YPD8_1137
ko:K00849	ypx:YPD8_1138
ko:K01626	ypx:YPD8_1144
ko:K03811	ypx:YPD8_1146
ko:K03517	ypx:YPD8_1147
ko:K03640	ypx:YPD8_1149
ko:K03641	ypx:YPD8_1150
ko:K03562	ypx:YPD8_1154
ko:K00426	ypx:YPD8_1156
ko:K00425	ypx:YPD8_1157
ko:K01902	ypx:YPD8_1158
ko:K01903	ypx:YPD8_1159
ko:K00658	ypx:YPD8_1160
ko:K00164	ypx:YPD8_1161
ko:K00240	ypx:YPD8_1162
ko:K00239	ypx:YPD8_1164
ko:K00242	ypx:YPD8_1165
ko:K01647	ypx:YPD8_1166
ko:K03687	ypx:YPD8_1167
ko:K00858	ypx:YPD8_1168
ko:K03631	ypx:YPD8_1169
ko:K06186	ypx:YPD8_1170
ko:K03664	ypx:YPD8_1172
ko:K02680	ypx:YPD8_1183
ko:K02681	ypx:YPD8_1185
ko:K03583	ypx:YPD8_1186
ko:K01407	ypx:YPD8_1187
ko:K03582	ypx:YPD8_1188
ko:K03581	ypx:YPD8_1189
ko:K10193	ypx:YPD8_2020
ko:K10194	ypx:YPD8_2021
ko:K10195	ypx:YPD8_2022
ko:K10192	ypx:YPD8_2023
ko:K07038	ypx:YPD8_2025
ko:K06956	ypx:YPD8_2026
ko:K11066	ypx:YPD8_2027
ko:K08169	ypx:YPD8_2030
ko:K07345	ypx:YPD8_2032
ko:K07347	ypx:YPD8_2033
ko:K07345	ypx:YPD8_2035
ko:K03799	ypx:YPD8_2036
ko:K03797	ypx:YPD8_2037
ko:K03607	ypx:YPD8_2038
ko:K03808	ypx:YPD8_2040
ko:K07347	ypx:YPD8_2046
ko:K01775	ypx:YPD8_2052
ko:K03414	ypx:YPD8_2057
ko:K03413	ypx:YPD8_2058
ko:K03412	ypx:YPD8_2059
ko:K05877	ypx:YPD8_2061
ko:K03408	ypx:YPD8_2070
ko:K03407	ypx:YPD8_2071
ko:K02557	ypx:YPD8_2072
ko:K02556	ypx:YPD8_2073
ko:K02402	ypx:YPD8_2074
ko:K03782	ypx:YPD8_2907
ko:K15536	ypx:YPD8_2908
ko:K07306	ypx:YPD8_2912
ko:K02430	ypx:YPD8_2914
ko:K02057	ypx:YPD8_2918
ko:K02057	ypx:YPD8_2919
ko:K00880	ypx:YPD8_2921
ko:K01676	ypx:YPD8_2922
ko:K01265	ypx:YPD8_2923
ko:K00428	ypx:YPD8_2927
ko:K01713	ypx:YPD8_2928
ko:K03893	ypx:YPD8_2930
ko:K05879	ypx:YPD8_2932
ko:K05878	ypx:YPD8_2933
ko:K01808	ypx:YPD8_2936
ko:K03555	ypx:YPD8_2937
ko:K06194	ypx:YPD8_2939
ko:K00573	ypx:YPD8_2940
ko:K03787	ypx:YPD8_2941
ko:K06176	ypx:YPD8_2942
ko:K01770	ypx:YPD8_2943
ko:K00991	ypx:YPD8_2944
ko:K05589	ypx:YPD8_2945
ko:K00860	ypx:YPD8_2947
ko:K00957	ypx:YPD8_2949
ko:K02302	ypx:YPD8_2950
ko:K00390	ypx:YPD8_2952
ko:K00381	ypx:YPD8_2953
ko:K01737	ypx:YPD8_2955
ko:K02337	ypx:YPD8_pMT0054
ko:K07347	ypx:YPD8_pMT0060
ko:K00688	ypx:YPD8_0114
ko:K00705	ypx:YPD8_0115
ko:K07400	ypx:YPD8_0116
ko:K02170	ypx:YPD8_0118
ko:K04759	ypx:YPD8_0119
ko:K06959	ypx:YPD8_0120
ko:K04760	ypx:YPD8_0122
ko:K07659	ypx:YPD8_0123
ko:K07638	ypx:YPD8_0124
ko:K01610	ypx:YPD8_0125
ko:K04083	ypx:YPD8_0126
ko:K04762	ypx:YPD8_0127
ko:K08312	ypx:YPD8_0130
ko:K05366	ypx:YPD8_0131
ko:K12288	ypx:YPD8_0133
ko:K12289	ypx:YPD8_0134
ko:K12290	ypx:YPD8_0135
ko:K02507	ypx:YPD8_0137
ko:K00891	ypx:YPD8_0138
ko:K01735	ypx:YPD8_0139
ko:K03112	ypx:YPD8_0140
ko:K01783	ypx:YPD8_0142
ko:K01091	ypx:YPD8_0143
ko:K01867	ypx:YPD8_0144
ko:K02302	ypx:YPD8_0145
ko:K02598	ypx:YPD8_0146
ko:K00363	ypx:YPD8_0147
ko:K00362	ypx:YPD8_0148
ko:K06141	ypx:YPD8_0150
ko:K06915	ypx:YPD8_0155
ko:K07397	ypx:YPD8_0160
ko:K00855	ypx:YPD8_0162
ko:K15551	ypx:YPD8_0165
ko:K15552	ypx:YPD8_0168
ko:K01223	ypx:YPD8_1034
ko:K09475	ypx:YPD8_1060
ko:K07676	ypx:YPD8_1062
ko:K07676	ypx:YPD8_1063
ko:K07687	ypx:YPD8_1064
ko:K07677	ypx:YPD8_1065
ko:K02469	ypx:YPD8_1066
ko:K08276	ypx:YPD8_1070
ko:K03834	ypx:YPD8_1072
ko:K03781	ypx:YPD8_1074
ko:K01584	ypx:YPD8_1078
ko:K03759	ypx:YPD8_1079
ko:K05846	ypx:YPD8_1080
ko:K05847	ypx:YPD8_1081
ko:K05846	ypx:YPD8_1082
ko:K13821	ypx:YPD8_1911
ko:K10010	ypx:YPD8_1914
ko:K10009	ypx:YPD8_1915
ko:K02424	ypx:YPD8_1916
ko:K02425	ypx:YPD8_1918
ko:K02405	ypx:YPD8_1919
ko:K02406	ypx:YPD8_1920
ko:K02407	ypx:YPD8_1921
ko:K02422	ypx:YPD8_1922
ko:K02423	ypx:YPD8_1923
ko:K02408	ypx:YPD8_1928
ko:K02410	ypx:YPD8_1931
ko:K02411	ypx:YPD8_1932
ko:K02412	ypx:YPD8_1933
ko:K02413	ypx:YPD8_1934
ko:K02415	ypx:YPD8_1937
ko:K02416	ypx:YPD8_1938
ko:K02417	ypx:YPD8_1939
ko:K02418	ypx:YPD8_1940
ko:K02419	ypx:YPD8_1941
ko:K02421	ypx:YPD8_1942
ko:K02057	ypx:YPD8_1945
ko:K02057	ypx:YPD8_1948
ko:K02397	ypx:YPD8_1951
ko:K02396	ypx:YPD8_1952
ko:K02395	ypx:YPD8_1953
ko:K02394	ypx:YPD8_1954
ko:K02393	ypx:YPD8_1955
ko:K02392	ypx:YPD8_1956
ko:K02391	ypx:YPD8_1957
ko:K02390	ypx:YPD8_1958
ko:K02389	ypx:YPD8_1959
ko:K02388	ypx:YPD8_1960
ko:K02387	ypx:YPD8_1961
ko:K02386	ypx:YPD8_1962
ko:K02398	ypx:YPD8_1963
ko:K02399	ypx:YPD8_1964
ko:K03311	ypx:YPD8_2800
ko:K02040	ypx:YPD8_2801
ko:K07636	ypx:YPD8_2802
ko:K03547	ypx:YPD8_2804
ko:K00847	ypx:YPD8_2806
ko:K03554	ypx:YPD8_2807
ko:K00891	ypx:YPD8_2808
ko:K00147	ypx:YPD8_2812
ko:K00931	ypx:YPD8_2813
ko:K11926	ypx:YPD8_2814
ko:K11750	ypx:YPD8_2815
ko:K02346	ypx:YPD8_2820
ko:K03734	ypx:YPD8_2822
ko:K00351	ypx:YPD8_2823
ko:K00350	ypx:YPD8_2824
ko:K00349	ypx:YPD8_2825
ko:K00348	ypx:YPD8_2826
ko:K00347	ypx:YPD8_2827
ko:K00346	ypx:YPD8_2828
ko:K03271	ypx:YPD8_2831
ko:K02029	ypx:YPD8_2843
ko:K02029	ypx:YPD8_2844
ko:K03230	ypx:YPD8_pCD0024
ko:K04058	ypx:YPD8_pCD0028
ko:K03224	ypx:YPD8_pCD0029
ko:K03225	ypx:YPD8_pCD0032
ko:K03226	ypx:YPD8_pCD0033
ko:K03228	ypx:YPD8_pCD0034
ko:K03229	ypx:YPD8_pCD0035
ko:K03219	ypx:YPD8_pCD0039
ko:K03220	ypx:YPD8_pCD0041
ko:K03222	ypx:YPD8_pCD0045
ko:K03223	ypx:YPD8_pCD0047
ko:K06205	ypx:YPD8_0001
ko:K01914	ypx:YPD8_0003
ko:K03924	ypx:YPD8_0005
ko:K03549	ypx:YPD8_0006
ko:K06726	ypx:YPD8_0007
ko:K03753	ypx:YPD8_0013
ko:K03752	ypx:YPD8_0014
ko:K03673	ypx:YPD8_0016
ko:K03978	ypx:YPD8_0020
ko:K09894	ypx:YPD8_0021
ko:K07712	ypx:YPD8_0023
ko:K07708	ypx:YPD8_0024
ko:K01915	ypx:YPD8_0025
ko:K06207	ypx:YPD8_0026
ko:K07058	ypx:YPD8_0028
ko:K07560	ypx:YPD8_0029
ko:K03312	ypx:YPD8_0035
ko:K03655	ypx:YPD8_0036
ko:K00556	ypx:YPD8_0037
ko:K00942	ypx:YPD8_0039
ko:K01972	ypx:YPD8_0040
ko:K00989	ypx:YPD8_0043
ko:K00762	ypx:YPD8_0044
ko:K05501	ypx:YPD8_0045
ko:K13038	ypx:YPD8_0048
ko:K03630	ypx:YPD8_0049
ko:K00954	ypx:YPD8_0051
ko:K02527	ypx:YPD8_0053
ko:K02841	ypx:YPD8_0054
ko:K00656	ypx:YPD8_0919
ko:K07270	ypx:YPD8_0920
ko:K04069	ypx:YPD8_0921
ko:K08219	ypx:YPD8_0922
ko:K01875	ypx:YPD8_0923
ko:K07478	ypx:YPD8_0924
ko:K03634	ypx:YPD8_0925
ko:K03466	ypx:YPD8_0926
ko:K00384	ypx:YPD8_0928
ko:K00684	ypx:YPD8_0931
ko:K03694	ypx:YPD8_0933
ko:K06891	ypx:YPD8_0934
ko:K05685	ypx:YPD8_0935
ko:K13888	ypx:YPD8_0936
ko:K09824	ypx:YPD8_0937
ko:K11933	ypx:YPD8_0941
ko:K00156	ypx:YPD8_0942
ko:K01620	ypx:YPD8_0943
ko:K09997	ypx:YPD8_0949
ko:K09999	ypx:YPD8_0950
ko:K02013	ypx:YPD8_0955
ko:K02015	ypx:YPD8_0957
ko:K09996	ypx:YPD8_0960
ko:K03212	ypx:YPD8_0961
ko:K11074	ypx:YPD8_0963
ko:K11075	ypx:YPD8_0964
ko:K11076	ypx:YPD8_0965
ko:K11073	ypx:YPD8_0966
ko:K07085	ypx:YPD8_0969
ko:K11534	ypx:YPD8_0973
ko:K03837	ypx:YPD8_0974
ko:K00648	ypx:YPD8_1806
ko:K00648	ypx:YPD8_1807
ko:K09975	ypx:YPD8_1809
ko:K05836	ypx:YPD8_1811
ko:K01468	ypx:YPD8_1812
ko:K05526	ypx:YPD8_1817
ko:K01484	ypx:YPD8_1818
ko:K06447	ypx:YPD8_1819
ko:K00673	ypx:YPD8_1820
ko:K00840	ypx:YPD8_1821
ko:K07673	ypx:YPD8_1823
ko:K07300	ypx:YPD8_1824
ko:K11937	ypx:YPD8_1827
ko:K11936	ypx:YPD8_1828
ko:K11931	ypx:YPD8_1829
ko:K11935	ypx:YPD8_1830
ko:K02003	ypx:YPD8_1835
ko:K07230	ypx:YPD8_1839
ko:K07243	ypx:YPD8_1840
ko:K01425	ypx:YPD8_1842
ko:K11738	ypx:YPD8_1844
ko:K00350	ypx:YPD8_1846
ko:K07688	ypx:YPD8_1856
ko:K07679	ypx:YPD8_1857
ko:K03269	ypx:YPD8_2689
ko:K01588	ypx:YPD8_2690
ko:K01589	ypx:YPD8_2691
ko:K02003	ypx:YPD8_2693
ko:K10804	ypx:YPD8_2694
ko:K05838	ypx:YPD8_2696
ko:K07340	ypx:YPD8_2698
ko:K09973	ypx:YPD8_2701
ko:K08223	ypx:YPD8_2705
ko:K00892	ypx:YPD8_2707
ko:K02377	ypx:YPD8_2712
ko:K01711	ypx:YPD8_2713
ko:K12452	ypx:YPD8_2721
ko:K01709	ypx:YPD8_2722
ko:K00978	ypx:YPD8_2723
ko:K01772	ypx:YPD8_2725
ko:K04079	ypx:YPD8_2727
ko:K06187	ypx:YPD8_2728
ko:K09747	ypx:YPD8_2729
ko:K02343	ypx:YPD8_2730
ko:K00759	ypx:YPD8_2731
ko:K05802	ypx:YPD8_2733
ko:K03577	ypx:YPD8_2735
ko:K07443	ypx:YPD8_2740
ko:K09914	ypx:YPD8_2741
ko:K10805	ypx:YPD8_2742
ko:K03320	ypx:YPD8_2743
ko:K01712	ypx:YPD8_3541
ko:K01738	ypx:YPD8_3542
ko:K00759	ypx:YPD8_3543
ko:K02016	ypx:YPD8_3546
ko:K02015	ypx:YPD8_3547
ko:K02015	ypx:YPD8_3548
ko:K02013	ypx:YPD8_3549
ko:K02529	ypx:YPD8_3554
ko:K10545	ypx:YPD8_3557
ko:K10543	ypx:YPD8_3558
ko:K01805	ypx:YPD8_3559
ko:K08160	ypx:YPD8_3569
ko:K03833	ypx:YPD8_3573
ko:K01042	ypx:YPD8_3574
ko:K02380	ypx:YPD8_3575
ko:K00123	ypx:YPD8_3578
ko:K00123	ypx:YPD8_3579
ko:K02379	ypx:YPD8_3580
ko:K04564	ypx:YPD8_3581
ko:K14762	ypx:YPD8_3585
ko:K02562	ypx:YPD8_3586
ko:K00009	ypx:YPD8_3587
ko:K01879	ypx:YPD8_3590
ko:K01878	ypx:YPD8_3591
ko:K01246	ypx:YPD8_3592
ko:K03826	ypx:YPD8_3593
ko:K03534	ypx:YPD8_0287
ko:K00848	ypx:YPD8_0291
ko:K02854	ypx:YPD8_0293
ko:K02856	ypx:YPD8_0294
ko:K05796	ypx:YPD8_0299
ko:K04084	ypx:YPD8_0301
ko:K03926	ypx:YPD8_0302
ko:K07791	ypx:YPD8_0303
ko:K01744	ypx:YPD8_0304
ko:K07113	ypx:YPD8_0305
ko:K04077	ypx:YPD8_0306
ko:K02356	ypx:YPD8_0309
ko:K00246	ypx:YPD8_0312
ko:K04568	ypx:YPD8_0315
ko:K01613	ypx:YPD8_0317
ko:K06949	ypx:YPD8_0318
ko:K13288	ypx:YPD8_0319
ko:K06925	ypx:YPD8_0322
ko:K01448	ypx:YPD8_0323
ko:K03572	ypx:YPD8_0324
ko:K00791	ypx:YPD8_0326
ko:K03666	ypx:YPD8_0327
ko:K03665	ypx:YPD8_0328
ko:K04088	ypx:YPD8_0329
ko:K04087	ypx:YPD8_0330
ko:K01939	ypx:YPD8_0331
ko:K13771	ypx:YPD8_0332
ko:K12573	ypx:YPD8_0333
ko:K03218	ypx:YPD8_0334
ko:K09456	ypx:YPD8_0335
ko:K14682	ypx:YPD8_1190
ko:K01448	ypx:YPD8_1191
ko:K08304	ypx:YPD8_1192
ko:K02426	ypx:YPD8_1194
ko:K01766	ypx:YPD8_1195
ko:K06968	ypx:YPD8_1198
ko:K01146	ypx:YPD8_1199
ko:K06966	ypx:YPD8_1200
ko:K06879	ypx:YPD8_1201
ko:K15723	ypx:YPD8_1202
ko:K06175	ypx:YPD8_1205
ko:K00990	ypx:YPD8_1209
ko:K01265	ypx:YPD8_1210
ko:K02967	ypx:YPD8_1211
ko:K02357	ypx:YPD8_1212
ko:K09903	ypx:YPD8_1213
ko:K02838	ypx:YPD8_1214
ko:K00099	ypx:YPD8_1215
