ko:K15864	psz:PSTAB_3504
ko:K08995	psz:PSTAB_1125
ko:K01153	psz:PSTAB_0289
ko:K07220	psz:PSTAB_0301
ko:K03306	psz:PSTAB_0302
ko:K01438	psz:PSTAB_0303
ko:K03584	psz:PSTAB_1141
ko:K03474	psz:PSTAB_1142
ko:K15257	psz:PSTAB_1146
ko:K15256	psz:PSTAB_1147
ko:K01338	psz:PSTAB_1149
ko:K13821	psz:PSTAB_1151
ko:K00449	psz:PSTAB_1158
ko:K00448	psz:PSTAB_1159
ko:K06916	psz:PSTAB_1160
ko:K02624	psz:PSTAB_1161
ko:K01040	psz:PSTAB_1163
ko:K07823	psz:PSTAB_1164
ko:K01857	psz:PSTAB_1165
ko:K01055	psz:PSTAB_1166
ko:K07733	psz:PSTAB_1172
ko:K07107	psz:PSTAB_0345
ko:K02379	psz:PSTAB_0347
ko:K08312	psz:PSTAB_0350
ko:K06940	psz:PSTAB_0353
ko:K00688	psz:PSTAB_0354
ko:K03841	psz:PSTAB_0355
ko:K03098	psz:PSTAB_0358
ko:K03630	psz:PSTAB_1221
ko:K06200	psz:PSTAB_0408
ko:K05569	psz:PSTAB_0409
ko:K05571	psz:PSTAB_0411
ko:K05567	psz:PSTAB_0413
ko:K03704	psz:PSTAB_1255
ko:K01494	psz:PSTAB_1256
ko:K02568	psz:PSTAB_1258
ko:K02567	psz:PSTAB_1259
ko:K02570	psz:PSTAB_1260
ko:K08224	psz:PSTAB_1262
ko:K02742	psz:PSTAB_1263
ko:K14058	psz:PSTAB_1267
ko:K01626	psz:PSTAB_1268
ko:K00425	psz:PSTAB_1274
ko:K00426	psz:PSTAB_1275
ko:K12410	psz:PSTAB_1277
ko:K02224	psz:PSTAB_1285
ko:K04719	psz:PSTAB_1286
ko:K02016	psz:PSTAB_1287
ko:K02227	psz:PSTAB_1288
ko:K02225	psz:PSTAB_1289
ko:K02232	psz:PSTAB_1290
ko:K02231	psz:PSTAB_1291
ko:K07636	psz:PSTAB_0457
ko:K03179	psz:PSTAB_0459
ko:K03181	psz:PSTAB_0460
ko:K11474	psz:PSTAB_0461
ko:K11472	psz:PSTAB_0463
ko:K11473	psz:PSTAB_0464
ko:K11477	psz:PSTAB_0465
ko:K01638	psz:PSTAB_0466
ko:K03303	psz:PSTAB_0467
ko:K05297	psz:PSTAB_0469
ko:K05787	psz:PSTAB_0470
ko:K01872	psz:PSTAB_1310
ko:K00928	psz:PSTAB_1311
ko:K03563	psz:PSTAB_1312
ko:K06213	psz:PSTAB_1314
ko:K01573	psz:PSTAB_1315
ko:K02399	psz:PSTAB_1325
ko:K02398	psz:PSTAB_1327
ko:K02386	psz:PSTAB_1328
ko:K03415	psz:PSTAB_1329
ko:K02387	psz:PSTAB_1331
ko:K02388	psz:PSTAB_1332
ko:K02389	psz:PSTAB_1333
ko:K02390	psz:PSTAB_1334
ko:K02391	psz:PSTAB_1335
ko:K02392	psz:PSTAB_1336
ko:K02393	psz:PSTAB_1337
ko:K02394	psz:PSTAB_1338
ko:K02395	psz:PSTAB_1339
ko:K02396	psz:PSTAB_1340
ko:K02397	psz:PSTAB_1341
ko:K02237	psz:PSTAB_1342
ko:K13038	psz:PSTAB_0508
ko:K03630	psz:PSTAB_0509
ko:K00074	psz:PSTAB_0512
ko:K00285	psz:PSTAB_0519
ko:K03816	psz:PSTAB_0524
ko:K05343	psz:PSTAB_0526
ko:K00134	psz:PSTAB_0528
ko:K14393	psz:PSTAB_1363
ko:K03449	psz:PSTAB_1365
ko:K01953	psz:PSTAB_1370
ko:K06182	psz:PSTAB_1382
ko:K00117	psz:PSTAB_1387
ko:K00243	psz:PSTAB_1388
ko:K02498	psz:PSTAB_0563
ko:K03611	psz:PSTAB_0564
ko:K07740	psz:PSTAB_0565
ko:K06158	psz:PSTAB_0568
ko:K05834	psz:PSTAB_0571
ko:K09768	psz:PSTAB_0572
ko:K01698	psz:PSTAB_0576
ko:K00937	psz:PSTAB_0577
ko:K01524	psz:PSTAB_0578
ko:K03671	psz:PSTAB_0579
ko:K03628	psz:PSTAB_0580
ko:K03182	psz:PSTAB_0581
ko:K01887	psz:PSTAB_0584
ko:K04066	psz:PSTAB_0585
ko:K02909	psz:PSTAB_0586
ko:K00528	psz:PSTAB_1422
ko:K09858	psz:PSTAB_1423
ko:K00275	psz:PSTAB_1430
ko:K06077	psz:PSTAB_1432
ko:K05559	psz:PSTAB_1433
ko:K05560	psz:PSTAB_1434
ko:K05561	psz:PSTAB_1435
ko:K05562	psz:PSTAB_1436
ko:K05563	psz:PSTAB_1437
ko:K05564	psz:PSTAB_1438
ko:K00990	psz:PSTAB_1439
ko:K01265	psz:PSTAB_1440
ko:K02967	psz:PSTAB_1441
ko:K02357	psz:PSTAB_1442
ko:K09903	psz:PSTAB_1443
ko:K02838	psz:PSTAB_1444
ko:K00806	psz:PSTAB_1445
ko:K00981	psz:PSTAB_1446
ko:K00099	psz:PSTAB_1447
ko:K11749	psz:PSTAB_1448
ko:K09786	psz:PSTAB_0616
ko:K07180	psz:PSTAB_0617
ko:K02439	psz:PSTAB_0618
ko:K06195	psz:PSTAB_0620
ko:K02528	psz:PSTAB_0621
ko:K00097	psz:PSTAB_0622
ko:K03771	psz:PSTAB_0623
ko:K04744	psz:PSTAB_0624
ko:K07102	psz:PSTAB_0625
ko:K05801	psz:PSTAB_0627
ko:K02053	psz:PSTAB_0634
ko:K01783	psz:PSTAB_0637
ko:K01091	psz:PSTAB_0638
ko:K01657	psz:PSTAB_0639
ko:K06176	psz:PSTAB_1473
ko:K03787	psz:PSTAB_1474
ko:K00573	psz:PSTAB_1475
ko:K06194	psz:PSTAB_1477
ko:K06886	psz:PSTAB_1485
ko:K15268	psz:PSTAB_1489
ko:K01129	psz:PSTAB_1493
ko:K12972	psz:PSTAB_1495
ko:K03043	psz:PSTAB_0663
ko:K03046	psz:PSTAB_0664
ko:K02950	psz:PSTAB_0665
ko:K02992	psz:PSTAB_0666
ko:K02355	psz:PSTAB_0667
ko:K02946	psz:PSTAB_0669
ko:K02906	psz:PSTAB_0670
ko:K02926	psz:PSTAB_0671
ko:K02892	psz:PSTAB_0672
ko:K02886	psz:PSTAB_0673
ko:K02965	psz:PSTAB_0674
ko:K02890	psz:PSTAB_0675
ko:K02982	psz:PSTAB_0676
ko:K02878	psz:PSTAB_0677
ko:K02904	psz:PSTAB_0678
ko:K02961	psz:PSTAB_0679
ko:K02874	psz:PSTAB_0680
ko:K02895	psz:PSTAB_0681
ko:K02931	psz:PSTAB_0682
ko:K02954	psz:PSTAB_0683
ko:K02994	psz:PSTAB_0684
ko:K02933	psz:PSTAB_0685
ko:K02881	psz:PSTAB_0686
ko:K02988	psz:PSTAB_0687
ko:K02907	psz:PSTAB_0688
ko:K02876	psz:PSTAB_0689
ko:K03076	psz:PSTAB_0690
ko:K02919	psz:PSTAB_0691
ko:K01053	psz:PSTAB_1531
ko:K03782	psz:PSTAB_1540
ko:K01118	psz:PSTAB_1543
ko:K01129	psz:PSTAB_1546
ko:K07661	psz:PSTAB_1549
ko:K07639	psz:PSTAB_1550
ko:K02343	psz:PSTAB_1718
ko:K09747	psz:PSTAB_1719
ko:K06187	psz:PSTAB_1720
ko:K07152	psz:PSTAB_1725
ko:K00759	psz:PSTAB_1726
ko:K09792	psz:PSTAB_1730
ko:K09926	psz:PSTAB_1733
ko:K00406	psz:PSTAB_1735
ko:K00407	psz:PSTAB_1736
ko:K00405	psz:PSTAB_1737
ko:K00404	psz:PSTAB_1738
ko:K00604	psz:PSTAB_0027
ko:K01462	psz:PSTAB_0028
ko:K04096	psz:PSTAB_0030
ko:K07566	psz:PSTAB_0031
ko:K00228	psz:PSTAB_0033
ko:K00014	psz:PSTAB_0034
ko:K07262	psz:PSTAB_0037
ko:K02073	psz:PSTAB_0045
ko:K02072	psz:PSTAB_0046
ko:K02071	psz:PSTAB_0047
ko:K03781	psz:PSTAB_0048
ko:K07043	psz:PSTAB_0049
ko:K09816	psz:PSTAB_0050
ko:K09817	psz:PSTAB_0051
ko:K09823	psz:PSTAB_0052
ko:K00822	psz:PSTAB_0054
ko:K00406	psz:PSTAB_1739
ko:K00404	psz:PSTAB_1741
ko:K07020	psz:PSTAB_1742
ko:K06923	psz:PSTAB_2514
ko:K00432	psz:PSTAB_2515
ko:K14260	psz:PSTAB_2517
ko:K03799	psz:PSTAB_2519
ko:K10941	psz:PSTAB_2525
ko:K02199	psz:PSTAB_2531
ko:K02198	psz:PSTAB_2532
ko:K02197	psz:PSTAB_2533
ko:K02196	psz:PSTAB_2534
ko:K02195	psz:PSTAB_2535
ko:K02194	psz:PSTAB_2536
ko:K03799	psz:PSTAB_4172
ko:K03672	psz:PSTAB_4176
ko:K03798	psz:PSTAB_4178
ko:K03696	psz:PSTAB_4179
ko:K13993	psz:PSTAB_4180
ko:K00820	psz:PSTAB_4189
ko:K04042	psz:PSTAB_4192
ko:K02114	psz:PSTAB_4193
ko:K02112	psz:PSTAB_4194
ko:K02115	psz:PSTAB_4195
ko:K07001	psz:PSTAB_1799
ko:K01008	psz:PSTAB_1800
ko:K06917	psz:PSTAB_1801
ko:K03924	psz:PSTAB_1803
ko:K00140	psz:PSTAB_1821
ko:K00688	psz:PSTAB_1824
ko:K07184	psz:PSTAB_1831
ko:K02379	psz:PSTAB_1837
ko:K01083	psz:PSTAB_1842
ko:K09861	psz:PSTAB_1072
ko:K07175	psz:PSTAB_1074
ko:K03637	psz:PSTAB_1075
ko:K03636	psz:PSTAB_1076
ko:K03732	psz:PSTAB_1079
ko:K06999	psz:PSTAB_1081
ko:K09969	psz:PSTAB_1082
ko:K09970	psz:PSTAB_1083
ko:K09971	psz:PSTAB_1084
ko:K00574	psz:PSTAB_1855
ko:K09701	psz:PSTAB_1856
ko:K01669	psz:PSTAB_1860
ko:K07071	psz:PSTAB_1863
ko:K01772	psz:PSTAB_1864
ko:K07589	psz:PSTAB_1870
ko:K01495	psz:PSTAB_1871
ko:K07237	psz:PSTAB_1882
ko:K07236	psz:PSTAB_1883
ko:K07235	psz:PSTAB_1884
ko:K01915	psz:PSTAB_1890
ko:K00641	psz:PSTAB_1891
ko:K06980	psz:PSTAB_1127
ko:K09159	psz:PSTAB_1128
ko:K00278	psz:PSTAB_1130
ko:K03088	psz:PSTAB_1131
ko:K03597	psz:PSTAB_1132
ko:K03598	psz:PSTAB_1133
ko:K03596	psz:PSTAB_1136
ko:K03100	psz:PSTAB_1137
ko:K03685	psz:PSTAB_1139
ko:K09967	psz:PSTAB_1907
ko:K09967	psz:PSTAB_1908
ko:K03424	psz:PSTAB_1912
ko:K04760	psz:PSTAB_1916
ko:K10804	psz:PSTAB_1919
ko:K06975	psz:PSTAB_1923
ko:K01626	psz:PSTAB_1924
ko:K00077	psz:PSTAB_1925
ko:K13634	psz:PSTAB_1926
ko:K00390	psz:PSTAB_1927
ko:K02203	psz:PSTAB_1928
ko:K01665	psz:PSTAB_1929
ko:K09773	psz:PSTAB_1938
ko:K02553	psz:PSTAB_1940
ko:K03088	psz:PSTAB_1944
ko:K01682	psz:PSTAB_1946
ko:K01338	psz:PSTAB_1961
ko:K03530	psz:PSTAB_1962
ko:K03770	psz:PSTAB_1963
ko:K06136	psz:PSTAB_1967
ko:K06137	psz:PSTAB_1968
ko:K06138	psz:PSTAB_1969
ko:K06139	psz:PSTAB_1970
ko:K07798	psz:PSTAB_1976
ko:K07787	psz:PSTAB_1977
ko:K03703	psz:PSTAB_1980
ko:K09771	psz:PSTAB_1990
ko:K00134	psz:PSTAB_1991
ko:K07644	psz:PSTAB_1239
ko:K01874	psz:PSTAB_1253
ko:K00156	psz:PSTAB_2017
ko:K00703	psz:PSTAB_2025
ko:K01236	psz:PSTAB_2026
ko:K00705	psz:PSTAB_2027
ko:K06044	psz:PSTAB_2028
ko:K05343	psz:PSTAB_2041
ko:K02380	psz:PSTAB_2044
ko:K00768	psz:PSTAB_1292
ko:K02233	psz:PSTAB_1294
ko:K02018	psz:PSTAB_1298
ko:K02020	psz:PSTAB_1299
ko:K00432	psz:PSTAB_1301
ko:K06076	psz:PSTAB_1302
ko:K03684	psz:PSTAB_1304
ko:K09902	psz:PSTAB_1305
ko:K09160	psz:PSTAB_1307
ko:K01620	psz:PSTAB_1309
ko:K09800	psz:PSTAB_2069
ko:K07278	psz:PSTAB_2070
ko:K01142	psz:PSTAB_2072
ko:K02040	psz:PSTAB_2073
ko:K00847	psz:PSTAB_2074
ko:K10227	psz:PSTAB_2076
ko:K10228	psz:PSTAB_2077
ko:K10229	psz:PSTAB_2078
ko:K06145	psz:PSTAB_2084
ko:K06916	psz:PSTAB_2089
ko:K00285	psz:PSTAB_2091
ko:K06153	psz:PSTAB_2095
ko:K03168	psz:PSTAB_2101
ko:K07400	psz:PSTAB_2104
ko:K03797	psz:PSTAB_1348
ko:K03608	psz:PSTAB_1354
ko:K03609	psz:PSTAB_1355
ko:K03610	psz:PSTAB_1356
ko:K02517	psz:PSTAB_1357
ko:K06911	psz:PSTAB_1358
ko:K03427	psz:PSTAB_3398
ko:K02557	psz:PSTAB_3417
ko:K03581	psz:PSTAB_3425
ko:K03582	psz:PSTAB_3426
ko:K03583	psz:PSTAB_3427
ko:K02111	psz:PSTAB_4196
ko:K02113	psz:PSTAB_4197
ko:K02109	psz:PSTAB_4198
ko:K02110	psz:PSTAB_4199
ko:K02108	psz:PSTAB_4200
ko:K03501	psz:PSTAB_4204
ko:K03495	psz:PSTAB_4205
ko:K05571	psz:PSTAB_4206
ko:K05569	psz:PSTAB_4208
ko:K05567	psz:PSTAB_4210
ko:K05566	psz:PSTAB_4211
ko:K03650	psz:PSTAB_4213
ko:K03217	psz:PSTAB_4214
ko:K04754	psz:PSTAB_1359
ko:K07090	psz:PSTAB_2131
ko:K03426	psz:PSTAB_2132
ko:K01584	psz:PSTAB_2135
ko:K08307	psz:PSTAB_2140
ko:K13893	psz:PSTAB_2142
ko:K13893	psz:PSTAB_2143
ko:K13894	psz:PSTAB_2144
ko:K13895	psz:PSTAB_2145
ko:K13896	psz:PSTAB_2146
ko:K00208	psz:PSTAB_2147
ko:K00481	psz:PSTAB_1398
ko:K07058	psz:PSTAB_1403
ko:K03555	psz:PSTAB_1409
ko:K03565	psz:PSTAB_1413
ko:K06966	psz:PSTAB_1414
ko:K02518	psz:PSTAB_2181
ko:K03694	psz:PSTAB_2182
ko:K06891	psz:PSTAB_2183
ko:K03704	psz:PSTAB_2184
ko:K00031	psz:PSTAB_2185
ko:K00031	psz:PSTAB_2187
ko:K00566	psz:PSTAB_2189
ko:K07153	psz:PSTAB_2190
ko:K01756	psz:PSTAB_2191
ko:K01637	psz:PSTAB_2196
ko:K07093	psz:PSTAB_2197
ko:K07084	psz:PSTAB_2200
ko:K01737	psz:PSTAB_2201
ko:K06178	psz:PSTAB_2206
ko:K01625	psz:PSTAB_2207
ko:K01057	psz:PSTAB_2208
ko:K07277	psz:PSTAB_1449
ko:K06142	psz:PSTAB_1450
ko:K02536	psz:PSTAB_1451
ko:K02372	psz:PSTAB_1452
ko:K00677	psz:PSTAB_1453
ko:K00748	psz:PSTAB_1454
ko:K03470	psz:PSTAB_1455
ko:K02337	psz:PSTAB_1456
ko:K01962	psz:PSTAB_1457
ko:K04075	psz:PSTAB_1458
ko:K01937	psz:PSTAB_1459
ko:K01627	psz:PSTAB_1460
ko:K01689	psz:PSTAB_1461
ko:K05589	psz:PSTAB_1462
ko:K00991	psz:PSTAB_1463
ko:K01070	psz:PSTAB_1468
ko:K01770	psz:PSTAB_1472
ko:K10010	psz:PSTAB_2232
ko:K08482	psz:PSTAB_2242
ko:K03630	psz:PSTAB_2253
ko:K02040	psz:PSTAB_1506
ko:K00111	psz:PSTAB_1509
ko:K02444	psz:PSTAB_1510
ko:K00864	psz:PSTAB_1511
ko:K02440	psz:PSTAB_1512
ko:K08159	psz:PSTAB_1521
ko:K08303	psz:PSTAB_1522
ko:K07259	psz:PSTAB_2285
ko:K12297	psz:PSTAB_2286
ko:K03812	psz:PSTAB_2287
ko:K03924	psz:PSTAB_2292
ko:K02575	psz:PSTAB_2303
ko:K00362	psz:PSTAB_2306
ko:K00363	psz:PSTAB_2307
ko:K00372	psz:PSTAB_2308
ko:K01256	psz:PSTAB_2312
ko:K09916	psz:PSTAB_2314
ko:K05526	psz:PSTAB_1561
ko:K06879	psz:PSTAB_1564
ko:K04754	psz:PSTAB_1566
ko:K05539	psz:PSTAB_1571
ko:K05549	psz:PSTAB_1578
ko:K05550	psz:PSTAB_1579
ko:K05784	psz:PSTAB_1580
ko:K05548	psz:PSTAB_1581
ko:K03464	psz:PSTAB_1583
ko:K01690	psz:PSTAB_2342
ko:K06024	psz:PSTAB_2343
ko:K05896	psz:PSTAB_2344
ko:K01867	psz:PSTAB_2345
ko:K07053	psz:PSTAB_2347
ko:K09780	psz:PSTAB_2349
ko:K06940	psz:PSTAB_2355
ko:K09781	psz:PSTAB_2357
ko:K07401	psz:PSTAB_2363
ko:K07001	psz:PSTAB_2365
ko:K03654	psz:PSTAB_2367
ko:K07039	psz:PSTAB_2368
ko:K04061	psz:PSTAB_2539
ko:K03408	psz:PSTAB_2542
ko:K03408	psz:PSTAB_2543
ko:K02557	psz:PSTAB_2545
ko:K02556	psz:PSTAB_2546
ko:K03412	psz:PSTAB_2547
ko:K03407	psz:PSTAB_2548
ko:K03414	psz:PSTAB_2550
ko:K03413	psz:PSTAB_2551
ko:K02405	psz:PSTAB_2552
ko:K04562	psz:PSTAB_2553
ko:K02404	psz:PSTAB_2554
ko:K02400	psz:PSTAB_2555
ko:K02401	psz:PSTAB_2557
ko:K02421	psz:PSTAB_2558
ko:K02420	psz:PSTAB_2559
ko:K02419	psz:PSTAB_2560
ko:K02418	psz:PSTAB_2561
ko:K02417	psz:PSTAB_2562
ko:K02160	psz:PSTAB_3319
ko:K01961	psz:PSTAB_3320
ko:K02687	psz:PSTAB_3321
ko:K03557	psz:PSTAB_3325
ko:K00602	psz:PSTAB_3326
ko:K01945	psz:PSTAB_3327
ko:K07088	psz:PSTAB_3332
ko:K00067	psz:PSTAB_3333
ko:K06206	psz:PSTAB_3334
ko:K06204	psz:PSTAB_3336
ko:K01894	psz:PSTAB_3337
ko:K00950	psz:PSTAB_3342
ko:K00606	psz:PSTAB_3343
ko:K01918	psz:PSTAB_3344
ko:K01579	psz:PSTAB_3345
ko:K01810	psz:PSTAB_3346
ko:K03562	psz:PSTAB_1843
ko:K07093	psz:PSTAB_1846
ko:K00363	psz:PSTAB_1850
ko:K00362	psz:PSTAB_1851
ko:K12410	psz:PSTAB_1852
ko:K09791	psz:PSTAB_2616
ko:K00912	psz:PSTAB_2617
ko:K03561	psz:PSTAB_2619
ko:K10536	psz:PSTAB_0069
ko:K12251	psz:PSTAB_0070
ko:K01915	psz:PSTAB_0072
ko:K07010	psz:PSTAB_0073
ko:K01915	psz:PSTAB_0074
ko:K12256	psz:PSTAB_0075
ko:K11073	psz:PSTAB_0076
ko:K11073	psz:PSTAB_0077
ko:K11076	psz:PSTAB_0078
ko:K11075	psz:PSTAB_0079
ko:K11074	psz:PSTAB_0080
ko:K03570	psz:PSTAB_0918
ko:K03571	psz:PSTAB_0919
ko:K06287	psz:PSTAB_0921
ko:K08301	psz:PSTAB_0922
ko:K03568	psz:PSTAB_0925
ko:K09889	psz:PSTAB_0926
ko:K03592	psz:PSTAB_0928
ko:K06958	psz:PSTAB_0930
ko:K05808	psz:PSTAB_0932
ko:K03092	psz:PSTAB_0933
ko:K06861	psz:PSTAB_0935
ko:K09774	psz:PSTAB_0936
ko:K11719	psz:PSTAB_0937
ko:K03270	psz:PSTAB_0938
ko:K06041	psz:PSTAB_0939
ko:K02065	psz:PSTAB_0940
ko:K02066	psz:PSTAB_0941
ko:K07323	psz:PSTAB_0943
ko:K08998	psz:PSTAB_4215
ko:K03536	psz:PSTAB_4216
ko:K02914	psz:PSTAB_4217
ko:K06955	psz:PSTAB_2442
ko:K02556	psz:PSTAB_2443
ko:K02557	psz:PSTAB_2444
ko:K07238	psz:PSTAB_2445
ko:K09808	psz:PSTAB_2447
ko:K03070	psz:PSTAB_3214
ko:K09918	psz:PSTAB_3218
ko:K00760	psz:PSTAB_3223
ko:K00761	psz:PSTAB_3224
ko:K01776	psz:PSTAB_3228
ko:K02493	psz:PSTAB_3230
ko:K02835	psz:PSTAB_3231
ko:K02492	psz:PSTAB_3232
ko:K02494	psz:PSTAB_3235
ko:K00919	psz:PSTAB_3236
ko:K00948	psz:PSTAB_3237
ko:K02897	psz:PSTAB_3238
ko:K01056	psz:PSTAB_3239
ko:K06942	psz:PSTAB_3240
ko:K09928	psz:PSTAB_2621
ko:K09808	psz:PSTAB_2622
ko:K09808	psz:PSTAB_2624
ko:K01126	psz:PSTAB_2627
ko:K00322	psz:PSTAB_2628
ko:K05952	psz:PSTAB_2629
ko:K03734	psz:PSTAB_2630
ko:K00351	psz:PSTAB_2631
ko:K00350	psz:PSTAB_2632
ko:K00349	psz:PSTAB_2633
ko:K00348	psz:PSTAB_2634
ko:K00347	psz:PSTAB_2635
ko:K00346	psz:PSTAB_2636
ko:K00134	psz:PSTAB_2637
ko:K03723	psz:PSTAB_2638
ko:K03724	psz:PSTAB_2645
ko:K09912	psz:PSTAB_2650
ko:K03215	psz:PSTAB_2653
ko:K12339	psz:PSTAB_2654
ko:K05596	psz:PSTAB_2655
ko:K09919	psz:PSTAB_2671
ko:K00563	psz:PSTAB_2676
ko:K03704	psz:PSTAB_2678
ko:K15256	psz:PSTAB_2685
ko:K00631	psz:PSTAB_2687
ko:K03826	psz:PSTAB_2688
ko:K03805	psz:PSTAB_2690
ko:K04084	psz:PSTAB_2692
ko:K07644	psz:PSTAB_2695
ko:K03809	psz:PSTAB_2705
ko:K06911	psz:PSTAB_2706
ko:K03669	psz:PSTAB_2708
ko:K03670	psz:PSTAB_2709
ko:K06938	psz:PSTAB_1948
ko:K06169	psz:PSTAB_1950
ko:K03269	psz:PSTAB_1951
ko:K01886	psz:PSTAB_1953
ko:K01883	psz:PSTAB_1954
ko:K01491	psz:PSTAB_1955
ko:K07090	psz:PSTAB_1957
ko:K03545	psz:PSTAB_1958
ko:K01358	psz:PSTAB_1959
ko:K03544	psz:PSTAB_1960
ko:K01595	psz:PSTAB_2731
ko:K04567	psz:PSTAB_2739
ko:K02836	psz:PSTAB_2740
ko:K07462	psz:PSTAB_2744
ko:K07160	psz:PSTAB_2746
ko:K02192	psz:PSTAB_2753
ko:K03594	psz:PSTAB_2754
ko:K03773	psz:PSTAB_2755
ko:K03554	psz:PSTAB_2756
ko:K00963	psz:PSTAB_2001
ko:K00948	psz:PSTAB_2005
ko:K03101	psz:PSTAB_2797
ko:K03820	psz:PSTAB_2798
ko:K07238	psz:PSTAB_2799
ko:K01923	psz:PSTAB_2810
ko:K07287	psz:PSTAB_2811
ko:K01714	psz:PSTAB_2812
ko:K03567	psz:PSTAB_2813
ko:K03564	psz:PSTAB_2814
ko:K10979	psz:PSTAB_2050
ko:K07789	psz:PSTAB_2062
ko:K07788	psz:PSTAB_2063
ko:K07799	psz:PSTAB_2064
ko:K11065	psz:PSTAB_2067
ko:K03310	psz:PSTAB_2068
ko:K01159	psz:PSTAB_2832
ko:K01876	psz:PSTAB_2834
ko:K04047	psz:PSTAB_2836
ko:K03704	psz:PSTAB_2837
ko:K03745	psz:PSTAB_2838
ko:K01881	psz:PSTAB_2841
ko:K07058	psz:PSTAB_2847
ko:K03809	psz:PSTAB_2849
ko:K10763	psz:PSTAB_2851
ko:K09938	psz:PSTAB_2853
ko:K01933	psz:PSTAB_2854
ko:K11175	psz:PSTAB_2855
ko:K08985	psz:PSTAB_2857
ko:K14267	psz:PSTAB_2858
ko:K03671	psz:PSTAB_2861
ko:K01766	psz:PSTAB_2864
ko:K02426	psz:PSTAB_2865
ko:K03811	psz:PSTAB_2109
ko:K06941	psz:PSTAB_2115
ko:K13993	psz:PSTAB_2118
ko:K00381	psz:PSTAB_2121
ko:K06969	psz:PSTAB_2891
ko:K07267	psz:PSTAB_2906
ko:K02078	psz:PSTAB_2918
ko:K02302	psz:PSTAB_2172
ko:K01875	psz:PSTAB_2173
ko:K06199	psz:PSTAB_2174
ko:K07478	psz:PSTAB_2175
ko:K03634	psz:PSTAB_2176
ko:K03466	psz:PSTAB_2177
ko:K00384	psz:PSTAB_2178
ko:K00684	psz:PSTAB_2179
ko:K02057	psz:PSTAB_2947
ko:K02057	psz:PSTAB_2948
ko:K00036	psz:PSTAB_2209
ko:K07320	psz:PSTAB_2210
ko:K01495	psz:PSTAB_2213
ko:K02945	psz:PSTAB_2217
ko:K00945	psz:PSTAB_2218
ko:K00817	psz:PSTAB_2220
ko:K14170	psz:PSTAB_2221
ko:K00831	psz:PSTAB_2222
ko:K02469	psz:PSTAB_2223
ko:K08963	psz:PSTAB_2224
ko:K14161	psz:PSTAB_2226
ko:K02424	psz:PSTAB_2230
ko:K10009	psz:PSTAB_2231
ko:K03578	psz:PSTAB_2998
ko:K03580	psz:PSTAB_3009
ko:K04046	psz:PSTAB_3011
ko:K06153	psz:PSTAB_3017
ko:K02044	psz:PSTAB_3019
ko:K02041	psz:PSTAB_3020
ko:K02042	psz:PSTAB_3021
ko:K02042	psz:PSTAB_3022
ko:K01999	psz:PSTAB_3024
ko:K01997	psz:PSTAB_3025
ko:K01998	psz:PSTAB_3026
ko:K01995	psz:PSTAB_3027
ko:K01996	psz:PSTAB_3028
ko:K04764	psz:PSTAB_2264
ko:K01890	psz:PSTAB_2265
ko:K01889	psz:PSTAB_2266
ko:K02887	psz:PSTAB_2267
ko:K02916	psz:PSTAB_2268
ko:K02520	psz:PSTAB_2269
ko:K01868	psz:PSTAB_2270
ko:K03752	psz:PSTAB_2274
ko:K01129	psz:PSTAB_2282
ko:K09923	psz:PSTAB_2284
ko:K01755	psz:PSTAB_3049
ko:K01951	psz:PSTAB_3052
ko:K03601	psz:PSTAB_3055
ko:K01649	psz:PSTAB_3061
ko:K13979	psz:PSTAB_3063
ko:K01150	psz:PSTAB_3065
ko:K08984	psz:PSTAB_3066
ko:K14287	psz:PSTAB_3071
ko:K00640	psz:PSTAB_3072
ko:K03977	psz:PSTAB_3073
ko:K01892	psz:PSTAB_3076
ko:K00858	psz:PSTAB_2317
ko:K09977	psz:PSTAB_2318
ko:K07240	psz:PSTAB_2319
ko:K07090	psz:PSTAB_2320
ko:K00797	psz:PSTAB_2323
ko:K01247	psz:PSTAB_2324
ko:K08967	psz:PSTAB_2328
ko:K05820	psz:PSTAB_2329
ko:K01736	psz:PSTAB_2330
ko:K02024	psz:PSTAB_2333
ko:K11720	psz:PSTAB_3102
ko:K07091	psz:PSTAB_3103
ko:K01255	psz:PSTAB_3104
ko:K02339	psz:PSTAB_3105
ko:K01873	psz:PSTAB_3107
ko:K02548	psz:PSTAB_3116
ko:K06899	psz:PSTAB_3117
ko:K07461	psz:PSTAB_3121
ko:K13481	psz:PSTAB_3128
ko:K13482	psz:PSTAB_3129
ko:K07402	psz:PSTAB_3130
ko:K09790	psz:PSTAB_2369
ko:K00906	psz:PSTAB_2373
ko:K01738	psz:PSTAB_2375
ko:K09989	psz:PSTAB_2379
ko:K08309	psz:PSTAB_2387
ko:K07140	psz:PSTAB_2388
ko:K03415	psz:PSTAB_2389
ko:K00790	psz:PSTAB_0947
ko:K00765	psz:PSTAB_0948
ko:K00013	psz:PSTAB_0949
ko:K00817	psz:PSTAB_0950
ko:K04691	psz:PSTAB_0951
ko:K00957	psz:PSTAB_0953
ko:K00955	psz:PSTAB_0954
ko:K02652	psz:PSTAB_0957
ko:K02654	psz:PSTAB_0959
ko:K00859	psz:PSTAB_0960
ko:K02871	psz:PSTAB_0963
ko:K02996	psz:PSTAB_0964
