ko:K01533	llw:kw2_0822
ko:K07058	llw:kw2_0566
ko:K07118	llw:kw2_0746
ko:K00145	llw:kw2_0747
ko:K00620	llw:kw2_0748
ko:K00930	llw:kw2_0750
ko:K00611	llw:kw2_0751
ko:K03685	llw:kw2_0753
ko:K03529	llw:kw2_0754
ko:K03110	llw:kw2_0762
ko:K00948	llw:kw2_0763
ko:K01869	llw:kw2_0765
ko:K02761	llw:kw2_0767
ko:K01223	llw:kw2_0768
ko:K03885	llw:kw2_0771
ko:K03885	llw:kw2_0772
ko:K01752	llw:kw2_0773
ko:K01752	llw:kw2_0774
ko:K00566	llw:kw2_0781
ko:K02945	llw:kw2_0782
ko:K00757	llw:kw2_0786
ko:K03811	llw:kw2_0787
ko:K03703	llw:kw2_0788
ko:K03575	llw:kw2_0789
ko:K03070	llw:kw2_0791
ko:K03076	llw:kw2_0795
ko:K00763	llw:kw2_1046
ko:K02003	llw:kw2_1049
ko:K01928	llw:kw2_1052
ko:K01575	llw:kw2_1053
ko:K03596	llw:kw2_1054
ko:K02469	llw:kw2_1057
ko:K03734	llw:kw2_1058
ko:K03657	llw:kw2_1063
ko:K01246	llw:kw2_1065
ko:K11753	llw:kw2_1074
ko:K07106	llw:kw2_1077
ko:K01803	llw:kw2_1080
ko:K01442	llw:kw2_1081
ko:K00364	llw:kw2_1091
ko:K03816	llw:kw2_1095
ko:K16169	llw:kw2_1096
ko:K03216	llw:kw2_1098
ko:K03544	llw:kw2_1101
ko:K03978	llw:kw2_1102
ko:K01633	llw:kw2_1103
ko:K00756	llw:kw2_1385
ko:K13256	llw:kw2_1388
ko:K02000	llw:kw2_1396
ko:K01223	llw:kw2_1398
ko:K01695	llw:kw2_1401
ko:K01696	llw:kw2_1402
ko:K01817	llw:kw2_1404
ko:K01609	llw:kw2_1405
ko:K00766	llw:kw2_1410
ko:K01657	llw:kw2_1412
ko:K08987	llw:kw2_1413
ko:K01662	llw:kw2_1423
ko:K03284	llw:kw2_1425
ko:K17318	llw:kw2_1430
ko:K17320	llw:kw2_1431
ko:K17319	llw:kw2_1432
ko:K01951	llw:kw2_1433
ko:K00847	llw:kw2_1434
ko:K01223	llw:kw2_1436
ko:K03466	llw:kw2_1779
ko:K00954	llw:kw2_2224
ko:K01810	llw:kw2_2228
ko:K06940	llw:kw2_2229
ko:K01873	llw:kw2_2235
ko:K03565	llw:kw2_2244
ko:K02963	llw:kw2_2255
ko:K02990	llw:kw2_2257
ko:K06153	llw:kw2_2258
ko:K11733	llw:kw2_2259
ko:K02343	llw:kw2_2260
ko:K01915	llw:kw2_2266
ko:K03551	llw:kw2_2269
ko:K03550	llw:kw2_2270
ko:K02835	llw:kw2_0548
ko:K02493	llw:kw2_0551
ko:K07566	llw:kw2_0553
ko:K00600	llw:kw2_0554
ko:K03827	llw:kw2_0542
ko:K00831	llw:kw2_0556
ko:K02440	llw:kw2_2105
ko:K07010	llw:kw2_2107
ko:K04485	llw:kw2_2122
ko:K03273	llw:kw2_2124
ko:K03271	llw:kw2_2125
ko:K02879	llw:kw2_2133
ko:K03040	llw:kw2_2134
ko:K02948	llw:kw2_2135
ko:K02952	llw:kw2_2136
ko:K02919	llw:kw2_2137
ko:K02518	llw:kw2_2138
ko:K03076	llw:kw2_2140
ko:K02876	llw:kw2_2141
ko:K02907	llw:kw2_2142
ko:K02988	llw:kw2_2143
ko:K02881	llw:kw2_2144
ko:K02933	llw:kw2_2145
ko:K02994	llw:kw2_2146
ko:K02954	llw:kw2_2148
ko:K02931	llw:kw2_2149
ko:K02895	llw:kw2_2150
ko:K02874	llw:kw2_2151
ko:K02961	llw:kw2_2152
ko:K02904	llw:kw2_2153
ko:K02878	llw:kw2_2154
ko:K02982	llw:kw2_2155
ko:K02890	llw:kw2_2156
ko:K02965	llw:kw2_2157
ko:K02886	llw:kw2_2158
ko:K02892	llw:kw2_2159
ko:K13292	llw:kw2_0571
ko:K03549	llw:kw2_0578
ko:K03549	llw:kw2_0579
ko:K00791	llw:kw2_0582
ko:K07124	llw:kw2_0590
ko:K07462	llw:kw2_0591
ko:K00759	llw:kw2_0592
ko:K07082	llw:kw2_0594
ko:K03624	llw:kw2_0595
ko:K03696	llw:kw2_0597
ko:K01689	llw:kw2_0599
ko:K02003	llw:kw2_0600
ko:K03284	llw:kw2_0604
ko:K00656	llw:kw2_0605
ko:K00859	llw:kw2_0606
ko:K02913	llw:kw2_0608
ko:K03588	llw:kw2_0609
ko:K01647	llw:kw2_0611
ko:K01681	llw:kw2_0612
ko:K00031	llw:kw2_0613
ko:K01358	llw:kw2_0614
ko:K03311	llw:kw2_0624
ko:K06975	llw:kw2_0625
ko:K03424	llw:kw2_0627
ko:K05985	llw:kw2_0629
ko:K00997	llw:kw2_0806
ko:K01775	llw:kw2_0807
ko:K05847	llw:kw2_0810
ko:K01491	llw:kw2_0823
ko:K03601	llw:kw2_0824
ko:K03602	llw:kw2_0825
ko:K02647	llw:kw2_0826
ko:K00865	llw:kw2_0828
ko:K13789	llw:kw2_0830
ko:K06442	llw:kw2_0833
ko:K03402	llw:kw2_0834
ko:K03631	llw:kw2_0835
ko:K03438	llw:kw2_0839
ko:K01000	llw:kw2_0842
ko:K02003	llw:kw2_0845
ko:K02884	llw:kw2_0848
ko:K03811	llw:kw2_0855
ko:K03530	llw:kw2_0858
ko:K01421	llw:kw2_0860
ko:K00796	llw:kw2_1105
ko:K11754	llw:kw2_1107
ko:K00003	llw:kw2_1109
ko:K00872	llw:kw2_1110
ko:K00075	llw:kw2_1112
ko:K01198	llw:kw2_1120
ko:K03704	llw:kw2_1127
ko:K02529	llw:kw2_1128
ko:K02761	llw:kw2_1132
ko:K03215	llw:kw2_1150
ko:K07137	llw:kw2_1151
ko:K01652	llw:kw2_1155
ko:K12573	llw:kw2_1162
ko:K17318	llw:kw2_1442
ko:K17320	llw:kw2_1443
ko:K17319	llw:kw2_1444
ko:K01198	llw:kw2_1456
ko:K01805	llw:kw2_1461
ko:K01589	llw:kw2_1463
ko:K01588	llw:kw2_1464
ko:K01945	llw:kw2_1466
ko:K00602	llw:kw2_1470
ko:K00760	llw:kw2_1471
ko:K11175	llw:kw2_1475
ko:K01933	llw:kw2_1476
ko:K01153	llw:kw2_1478
ko:K01154	llw:kw2_1481
ko:K03427	llw:kw2_1484
ko:K03695	llw:kw2_1485
ko:K00764	llw:kw2_1489
ko:K01952	llw:kw2_1490
ko:K09014	llw:kw2_1842
ko:K11717	llw:kw2_1845
ko:K09015	llw:kw2_1846
ko:K09013	llw:kw2_1847
ko:K16511	llw:kw2_1849
ko:K02029	llw:kw2_1851
ko:K03046	llw:kw2_1853
ko:K03043	llw:kw2_1854
ko:K07443	llw:kw2_1858
ko:K03654	llw:kw2_1863
ko:K04069	llw:kw2_1868
ko:K03701	llw:kw2_1877
ko:K07461	llw:kw2_1880
ko:K03572	llw:kw2_2271
ko:K03555	llw:kw2_2273
ko:K07090	llw:kw2_2279
ko:K00036	llw:kw2_2281
ko:K07015	llw:kw2_2282
ko:K03686	llw:kw2_2283
ko:K01779	llw:kw2_2285
ko:K01953	llw:kw2_2287
ko:K03571	llw:kw2_2289
ko:K03570	llw:kw2_2290
ko:K01807	llw:kw2_2299
ko:K03650	llw:kw2_2308
ko:K03655	llw:kw2_2314
ko:K06193	llw:kw2_2315
ko:K00134	llw:kw2_2316
ko:K14224	llw:kw2_0020
ko:K14224	llw:kw2_2354
ko:K14230	llw:kw2_0022
ko:K14230	llw:kw2_0661
ko:K14230	llw:kw2_0512
ko:K14230	llw:kw2_0513
ko:K14231	llw:kw2_0023
ko:K14231	llw:kw2_0514
ko:K14225	llw:kw2_0024
ko:K14225	llw:kw2_0515
ko:K14220	llw:kw2_0027
ko:K14220	llw:kw2_2353
ko:K14229	llw:kw2_0041
ko:K14229	llw:kw2_1973
ko:K14229	llw:kw2_0588
ko:K14228	llw:kw2_0102
ko:K14228	llw:kw2_0250
ko:K14228	llw:kw2_1969
ko:K14228	llw:kw2_2324
ko:K14234	llw:kw2_0144
ko:K14234	llw:kw2_1971
ko:K14219	llw:kw2_0281
ko:K14219	llw:kw2_0510
ko:K14223	llw:kw2_2325
ko:K14219	llw:kw2_0585
ko:K14221	llw:kw2_0505
ko:K14221	llw:kw2_1974
ko:K14223	llw:kw2_1609
ko:K02528	llw:kw2_0630
ko:K02356	llw:kw2_0632
ko:K03625	llw:kw2_0634
ko:K00705	llw:kw2_0635
ko:K00975	llw:kw2_0636
ko:K00975	llw:kw2_0637
ko:K00703	llw:kw2_0638
ko:K00688	llw:kw2_0639
ko:K03305	llw:kw2_0644
ko:K00425	llw:kw2_0645
ko:K00426	llw:kw2_0646
ko:K03704	llw:kw2_0664
ko:K11991	llw:kw2_0667
ko:K17319	llw:kw2_0669
ko:K17320	llw:kw2_0670
ko:K17318	llw:kw2_0671
ko:K01911	llw:kw2_0677
ko:K01661	llw:kw2_0678
ko:K02551	llw:kw2_0680
ko:K05837	llw:kw2_0869
ko:K02470	llw:kw2_0882
ko:K01839	llw:kw2_0923
ko:K00817	llw:kw2_1167
ko:K02502	llw:kw2_1168
ko:K00765	llw:kw2_1169
ko:K00013	llw:kw2_1170
ko:K01693	llw:kw2_1171
ko:K02501	llw:kw2_1173
ko:K01814	llw:kw2_1174
ko:K02500	llw:kw2_1175
ko:K11755	llw:kw2_1176
ko:K04486	llw:kw2_1177
ko:K07146	llw:kw2_1178
ko:K01649	llw:kw2_1179
ko:K00052	llw:kw2_1180
ko:K01703	llw:kw2_1181
ko:K01704	llw:kw2_1183
ko:K02013	llw:kw2_1184
ko:K01687	llw:kw2_1185
ko:K01652	llw:kw2_1186
ko:K01653	llw:kw2_1187
ko:K00053	llw:kw2_1188
ko:K01754	llw:kw2_1189
ko:K01575	llw:kw2_1190
ko:K04096	llw:kw2_1192
ko:K03168	llw:kw2_1193
ko:K04094	llw:kw2_1194
ko:K09799	llw:kw2_1204
ko:K01626	llw:kw2_1206
ko:K00297	llw:kw2_1207
ko:K00549	llw:kw2_1208
ko:K01531	llw:kw2_1210
ko:K03740	llw:kw2_1211
ko:K14188	llw:kw2_1212
ko:K03739	llw:kw2_1213
ko:K03367	llw:kw2_1214
ko:K00788	llw:kw2_1216
ko:K01952	llw:kw2_1491
ko:K01952	llw:kw2_1492
ko:K01923	llw:kw2_1493
ko:K15738	llw:kw2_1510
ko:K08317	llw:kw2_1512
ko:K08659	llw:kw2_1514
ko:K00215	llw:kw2_1517
ko:K00554	llw:kw2_1520
ko:K02860	llw:kw2_1521
ko:K01772	llw:kw2_1523
ko:K06960	llw:kw2_1524
ko:K02959	llw:kw2_1525
ko:K07568	llw:kw2_1531
ko:K03979	llw:kw2_1542
ko:K03589	llw:kw2_1543
ko:K02563	llw:kw2_1544
ko:K01893	llw:kw2_1887
ko:K02034	llw:kw2_1894
ko:K02887	llw:kw2_1898
ko:K02916	llw:kw2_1899
ko:K02520	llw:kw2_1900
ko:K03495	llw:kw2_1904
ko:K11145	llw:kw2_1907
ko:K01883	llw:kw2_1908
ko:K00640	llw:kw2_1910
ko:K00962	llw:kw2_1912
ko:K00948	llw:kw2_1914
ko:K04487	llw:kw2_1916
ko:K02358	llw:kw2_1918
ko:K01870	llw:kw2_1920
ko:K04074	llw:kw2_1921
ko:K02221	llw:kw2_1923
ko:K09772	llw:kw2_1924
ko:K06997	llw:kw2_1925
ko:K03531	llw:kw2_1926
ko:K03590	llw:kw2_1927
ko:K03218	llw:kw2_1929
ko:K02996	llw:kw2_2334
ko:K02871	llw:kw2_2335
ko:K02003	llw:kw2_2337
ko:K03100	llw:kw2_2339
ko:K02355	llw:kw2_2344
ko:K02992	llw:kw2_2345
ko:K02950	llw:kw2_2346
ko:K05340	llw:kw2_2350
ko:K07139	llw:kw2_2352
ko:K01101	llw:kw2_1089
ko:K03292	llw:kw2_1457
ko:K02226	llw:kw2_1879
ko:K12574	llw:kw2_0291
ko:K00226	llw:kw2_1506
ko:K17810	llw:kw2_2286
ko:K01658	llw:kw2_1411
ko:K02026	llw:kw2_0470
ko:K06518	llw:kw2_0712
ko:K01467	llw:kw2_0016
ko:K03767	llw:kw2_0368
ko:K17828	llw:kw2_1332
ko:K02026	llw:kw2_1339
ko:K02768	llw:kw2_1284
ko:K02027	llw:kw2_0468
ko:K00298	llw:kw2_1126
ko:K01739	llw:kw2_1988
ko:K07284	llw:kw2_0709
ko:K07284	llw:kw2_1059
ko:K01183	llw:kw2_2004
ko:K00661	llw:kw2_0802
ko:K00661	llw:kw2_1454
ko:K00661	llw:kw2_1271
ko:K00661	llw:kw2_1647
ko:K12574	llw:kw2_1578
ko:K00537	llw:kw2_0738
ko:K01791	llw:kw2_1220
ko:K01187	llw:kw2_1645
ko:K01838	llw:kw2_0435
ko:K18104	llw:kw2_0653
ko:K00897	llw:kw2_1172
ko:K01071	llw:kw2_1088
ko:K02770	llw:kw2_1281
ko:K03366	llw:kw2_0323
ko:K03366	llw:kw2_0872
ko:K06148	llw:kw2_1474
ko:K02769	llw:kw2_1282
ko:K15531	llw:kw2_1262
ko:K11936	llw:kw2_0621
ko:K16509	llw:kw2_1005
ko:K07126	llw:kw2_1009
ko:K16509	llw:kw2_1143
ko:K03704	llw:kw2_0663
ko:K02551	llw:kw2_0910
ko:K16509	llw:kw2_1288
ko:K16509	llw:kw2_1310
ko:K08316	llw:kw2_2225
ko:K02001	llw:kw2_1395
ko:K02002	llw:kw2_1395
ko:K09809	llw:kw2_0920
ko:K18682	llw:kw2_1959
ko:K18672	llw:kw2_0428
ko:K18692	llw:kw2_0414
ko:K02755	llw:kw2_0433
ko:K02756	llw:kw2_0433
ko:K02757	llw:kw2_0433
ko:K03790	llw:kw2_0740
ko:K18892	llw:kw2_0313
ko:K04844	llw:kw2_0467
ko:K18891	llw:kw2_0312
ko:K03790	llw:kw2_0682
ko:K03497	llw:kw2_0075
ko:K08151	llw:kw2_0308
ko:K03111	llw:kw2_0391
ko:K18929	llw:kw2_1711
ko:K18928	llw:kw2_1710
ko:K03111	llw:kw2_2256
ko:K03646	llw:kw2_0884
ko:K07029	llw:kw2_0425
ko:K19055	llw:kw2_2082
ko:K19002	llw:kw2_2198
ko:K13052	llw:kw2_0014
ko:K03741	llw:kw2_1555
ko:K07816	llw:kw2_0847
ko:K19005	llw:kw2_0755
ko:K01621	llw:kw2_1449
ko:K00001	llw:kw2_1503
ko:K01710	llw:kw2_0190
ko:K05881	llw:kw2_0241
ko:K02755	llw:kw2_0432
ko:K19265	llw:kw2_2042
ko:K00020	llw:kw2_2275
ko:K03722	llw:kw2_1891
ko:K01992	llw:kw2_0247
ko:K12472	llw:kw2_0799
ko:K19267	llw:kw2_2232
ko:K12952	llw:kw2_0541
ko:K01215	llw:kw2_1440
ko:K01215	llw:kw2_1648
ko:K19350	llw:kw2_0874
ko:K06881	llw:kw2_0684
ko:K03483	llw:kw2_0029
ko:K00526	llw:kw2_0976
ko:K07273	llw:kw2_1785
ko:K19504	llw:kw2_1129
ko:K00887	llw:kw2_1031
ko:K02796	llw:kw2_1678
ko:K19302	llw:kw2_1001
ko:K02538	llw:kw2_1285
ko:K00863	llw:kw2_0237
ko:K21636	llw:kw2_0266
ko:K19965	llw:kw2_1106
ko:K10830	llw:kw2_1304
ko:K19972	llw:kw2_1303
ko:K19971	llw:kw2_1302
ko:K22457	llw:kw2_1889
ko:K00661	llw:kw2_1247
ko:K05770	llw:kw2_1163
ko:K20074	llw:kw2_1945
ko:K12132	llw:kw2_1944
ko:K20073	llw:kw2_1617
ko:K20265	llw:kw2_1251
ko:K20265	llw:kw2_1668
ko:K20276	llw:kw2_1311
ko:K01209	llw:kw2_0916
ko:K00525	llw:kw2_0977
ko:K20345	llw:kw2_0819
ko:K20344	llw:kw2_0820
ko:K12999	llw:kw2_0087
ko:K18889	llw:kw2_1230
ko:K18890	llw:kw2_1229
ko:K12999	llw:kw2_0107
ko:K22103	llw:kw2_1257
ko:K20866	llw:kw2_0090
ko:K01208	llw:kw2_1649
ko:K21064	llw:kw2_1709
ko:K08968	llw:kw2_2262
ko:K00821	llw:kw2_0749
ko:K03546	llw:kw2_1307
ko:K01520	llw:kw2_0172
ko:K03553	llw:kw2_0357
ko:K04068	llw:kw2_0267
ko:K02316	llw:kw2_0518
ko:K00857	llw:kw2_0546
ko:K02314	llw:kw2_0696
ko:K06217	llw:kw2_1028
ko:K01493	llw:kw2_1087
ko:K00287	llw:kw2_1099
ko:K06919	llw:kw2_1828
ko:K00558	llw:kw2_2297
ko:K00560	llw:kw2_1502
ko:K06191	llw:kw2_0979
ko:K02335	llw:kw2_2202
ko:K19577	llw:kw2_0335
ko:K02031	llw:kw2_1897
ko:K02032	llw:kw2_1896
ko:K00980	llw:kw2_0918
ko:K03293	llw:kw2_0759
ko:K03293	llw:kw2_1881
ko:K21478	llw:kw2_0623
ko:K03293	llw:kw2_0359
ko:K21471	llw:kw2_2288
ko:K21471	llw:kw2_0486
ko:K01495	llw:kw2_1104
ko:K18704	llw:kw2_0921
ko:K00950	llw:kw2_1104
ko:K21562	llw:kw2_0962
ko:K21567	llw:kw2_1614
ko:K21977	llw:kw2_0539
ko:K21993	llw:kw2_0970
ko:K22044	llw:kw2_1249
ko:K03595	llw:kw2_0354
ko:K01537	llw:kw2_1360
ko:K22212	llw:kw2_0875
ko:K22227	llw:kw2_2217
ko:K22278	llw:kw2_1261
ko:K17758	llw:kw2_0252
ko:K22299	llw:kw2_1159
ko:K09988	llw:kw2_1280
