ko:K22010	lmom:IJ09_04475
ko:K02008	lmom:IJ09_04305
ko:K02009	lmom:IJ09_04310
ko:K02007	lmom:IJ09_04315
ko:K03394	lmom:IJ09_04320
ko:K02190	lmom:IJ09_04325
ko:K13542	lmom:IJ09_04330
ko:K05895	lmom:IJ09_04335
ko:K02189	lmom:IJ09_04345
ko:K05936	lmom:IJ09_04350
ko:K02191	lmom:IJ09_04355
ko:K03399	lmom:IJ09_04360
ko:K02188	lmom:IJ09_04365
ko:K06042	lmom:IJ09_04370
ko:K02227	lmom:IJ09_04375
ko:K02224	lmom:IJ09_04380
ko:K04030	lmom:IJ09_04400
ko:K04023	lmom:IJ09_04405
ko:K04032	lmom:IJ09_04430
ko:K01866	lmom:IJ09_01995
ko:K02986	lmom:IJ09_02010
ko:K06286	lmom:IJ09_02020
ko:K04487	lmom:IJ09_02025
ko:K03151	lmom:IJ09_02030
ko:K00145	lmom:IJ09_02035
ko:K00620	lmom:IJ09_02040
ko:K00930	lmom:IJ09_02045
ko:K00611	lmom:IJ09_02055
ko:K00858	lmom:IJ09_02060
ko:K04773	lmom:IJ09_02065
ko:K11065	lmom:IJ09_02075
ko:K00925	lmom:IJ09_02085
ko:K00259	lmom:IJ09_02095
ko:K02793	lmom:IJ09_06405
ko:K02794	lmom:IJ09_06410
ko:K02795	lmom:IJ09_06415
ko:K02027	lmom:IJ09_06485
ko:K02026	lmom:IJ09_06490
ko:K02025	lmom:IJ09_06495
ko:K09704	lmom:IJ09_06500
ko:K03800	lmom:IJ09_06505
ko:K07098	lmom:IJ09_06510
ko:K03665	lmom:IJ09_06515
ko:K06999	lmom:IJ09_06525
ko:K15975	lmom:IJ09_06530
ko:K07729	lmom:IJ09_06580
ko:K01990	lmom:IJ09_06615
ko:K01223	lmom:IJ09_06630
ko:K02755	lmom:IJ09_06635
ko:K02756	lmom:IJ09_06635
ko:K02757	lmom:IJ09_06635
ko:K01808	lmom:IJ09_06645
ko:K01783	lmom:IJ09_06650
ko:K02529	lmom:IJ09_06655
ko:K07726	lmom:IJ09_06660
ko:K00059	lmom:IJ09_10620
ko:K03650	lmom:IJ09_10645
ko:K03495	lmom:IJ09_10650
ko:K03501	lmom:IJ09_10695
ko:K01788	lmom:IJ09_10700
ko:K02799	lmom:IJ09_10710
ko:K02800	lmom:IJ09_10710
ko:K02798	lmom:IJ09_10720
ko:K03488	lmom:IJ09_10765
ko:K02755	lmom:IJ09_10770
ko:K02756	lmom:IJ09_10770
ko:K02757	lmom:IJ09_10770
ko:K03781	lmom:IJ09_10780
ko:K03491	lmom:IJ09_10785
ko:K02761	lmom:IJ09_10790
ko:K02760	lmom:IJ09_10795
ko:K05349	lmom:IJ09_10800
ko:K02759	lmom:IJ09_10805
ko:K06942	lmom:IJ09_10810
ko:K03488	lmom:IJ09_10835
ko:K02755	lmom:IJ09_10840
ko:K02756	lmom:IJ09_10840
ko:K02757	lmom:IJ09_10840
ko:K01223	lmom:IJ09_10845
ko:K01919	lmom:IJ09_10850
ko:K01990	lmom:IJ09_10855
ko:K02759	lmom:IJ09_10875
ko:K18673	lmom:IJ09_10880
ko:K02761	lmom:IJ09_10885
ko:K02760	lmom:IJ09_10890
ko:K01223	lmom:IJ09_10895
ko:K02793	lmom:IJ09_15230
ko:K05346	lmom:IJ09_15235
ko:K01619	lmom:IJ09_15240
ko:K02529	lmom:IJ09_15245
ko:K00756	lmom:IJ09_15250
ko:K01575	lmom:IJ09_15255
ko:K01754	lmom:IJ09_15260
ko:K01704	lmom:IJ09_15265
ko:K01703	lmom:IJ09_15270
ko:K00052	lmom:IJ09_15275
ko:K01649	lmom:IJ09_15280
ko:K00053	lmom:IJ09_15285
ko:K01653	lmom:IJ09_15290
ko:K01652	lmom:IJ09_15295
ko:K01687	lmom:IJ09_15300
ko:K00036	lmom:IJ09_15325
ko:K00784	lmom:IJ09_15330
ko:K07124	lmom:IJ09_15335
ko:K02346	lmom:IJ09_15340
ko:K03710	lmom:IJ09_15345
ko:K02821	lmom:IJ09_15350
ko:K02822	lmom:IJ09_15355
ko:K03475	lmom:IJ09_15360
ko:K07048	lmom:IJ09_15365
ko:K01625	lmom:IJ09_15370
ko:K01515	lmom:IJ09_15390
ko:K02337	lmom:IJ09_02120
ko:K01963	lmom:IJ09_02125
ko:K01962	lmom:IJ09_02130
ko:K00850	lmom:IJ09_02135
ko:K00873	lmom:IJ09_02140
ko:K07113	lmom:IJ09_02145
ko:K01647	lmom:IJ09_02155
ko:K00031	lmom:IJ09_02160
ko:K10563	lmom:IJ09_02170
ko:K00859	lmom:IJ09_02175
ko:K07738	lmom:IJ09_02180
ko:K03346	lmom:IJ09_02185
ko:K11144	lmom:IJ09_02190
ko:K01868	lmom:IJ09_02195
ko:K03978	lmom:IJ09_02200
ko:K02492	lmom:IJ09_02205
ko:K01749	lmom:IJ09_02210
ko:K01719	lmom:IJ09_02215
ko:K01698	lmom:IJ09_02220
ko:K01845	lmom:IJ09_02225
ko:K01873	lmom:IJ09_02230
ko:K11754	lmom:IJ09_02235
ko:K02236	lmom:IJ09_02240
ko:K03630	lmom:IJ09_02245
ko:K03569	lmom:IJ09_02255
ko:K03570	lmom:IJ09_02260
ko:K03571	lmom:IJ09_02265
ko:K03610	lmom:IJ09_02270
ko:K03609	lmom:IJ09_02275
ko:K08301	lmom:IJ09_02280
ko:K02888	lmom:IJ09_02285
ko:K07584	lmom:IJ09_02290
ko:K02899	lmom:IJ09_02295
ko:K02440	lmom:IJ09_02300
ko:K00864	lmom:IJ09_02305
ko:K03979	lmom:IJ09_02310
ko:K04518	lmom:IJ09_02315
ko:K00016	lmom:IJ09_02325
ko:K03550	lmom:IJ09_02330
ko:K03551	lmom:IJ09_02335
ko:K07568	lmom:IJ09_02340
ko:K00773	lmom:IJ09_02345
ko:K03210	lmom:IJ09_02350
ko:K12257	lmom:IJ09_02360
ko:K07462	lmom:IJ09_02370
ko:K00759	lmom:IJ09_02375
ko:K00951	lmom:IJ09_02380
ko:K07560	lmom:IJ09_02385
ko:K01448	lmom:IJ09_02390
ko:K01892	lmom:IJ09_02395
ko:K01876	lmom:IJ09_02400
ko:K00820	lmom:IJ09_06690
ko:K03406	lmom:IJ09_06710
ko:K00158	lmom:IJ09_06715
ko:K10947	lmom:IJ09_06730
ko:K02412	lmom:IJ09_06745
ko:K02411	lmom:IJ09_06750
ko:K02410	lmom:IJ09_06755
ko:K02409	lmom:IJ09_06760
ko:K02408	lmom:IJ09_06765
ko:K02388	lmom:IJ09_06770
ko:K02387	lmom:IJ09_06775
ko:K02422	lmom:IJ09_06785
ko:K02407	lmom:IJ09_06790
ko:K02397	lmom:IJ09_06795
ko:K02396	lmom:IJ09_06800
ko:K09770	lmom:IJ09_06810
ko:K02417	lmom:IJ09_06825
ko:K02416	lmom:IJ09_06830
ko:K02417	lmom:IJ09_06835
ko:K02390	lmom:IJ09_06840
ko:K02389	lmom:IJ09_06845
ko:K02417	lmom:IJ09_06860
ko:K03407	lmom:IJ09_06865
ko:K03413	lmom:IJ09_06870
ko:K02406	lmom:IJ09_06875
ko:K03415	lmom:IJ09_06880
ko:K02557	lmom:IJ09_06895
ko:K02556	lmom:IJ09_06900
ko:K00575	lmom:IJ09_06910
ko:K02392	lmom:IJ09_06915
ko:K02404	lmom:IJ09_06920
ko:K02400	lmom:IJ09_06925
ko:K02401	lmom:IJ09_06930
ko:K02421	lmom:IJ09_06935
ko:K00088	lmom:IJ09_10915
ko:K03654	lmom:IJ09_10920
ko:K06978	lmom:IJ09_10930
ko:K07258	lmom:IJ09_10935
ko:K03342	lmom:IJ09_10955
ko:K01875	lmom:IJ09_10970
ko:K07343	lmom:IJ09_10975
ko:K18104	lmom:IJ09_10980
ko:K00616	lmom:IJ09_10990
ko:K08161	lmom:IJ09_11000
ko:K12410	lmom:IJ09_11010
ko:K03699	lmom:IJ09_11015
ko:K00865	lmom:IJ09_11025
ko:K01191	lmom:IJ09_11035
ko:K02768	lmom:IJ09_11040
ko:K02769	lmom:IJ09_11040
ko:K02770	lmom:IJ09_11040
ko:K04750	lmom:IJ09_11085
ko:K01895	lmom:IJ09_11105
ko:K11991	lmom:IJ09_11110
ko:K00425	lmom:IJ09_11115
ko:K00426	lmom:IJ09_11120
ko:K16013	lmom:IJ09_11125
ko:K16012	lmom:IJ09_11130
ko:K00851	lmom:IJ09_11145
ko:K02761	lmom:IJ09_11170
ko:K02343	lmom:IJ09_11195
ko:K09747	lmom:IJ09_11200
ko:K06187	lmom:IJ09_11205
ko:K04751	lmom:IJ09_02410
ko:K03320	lmom:IJ09_02415
ko:K17472	lmom:IJ09_02420
ko:K07478	lmom:IJ09_02425
ko:K04487	lmom:IJ09_02430
ko:K00566	lmom:IJ09_02435
ko:K03581	lmom:IJ09_02450
ko:K02004	lmom:IJ09_02465
ko:K02003	lmom:IJ09_02470
ko:K01872	lmom:IJ09_02475
ko:K07447	lmom:IJ09_02485
ko:K07082	lmom:IJ09_02500
ko:K00876	lmom:IJ09_02510
ko:K03624	lmom:IJ09_02515
ko:K01243	lmom:IJ09_02525
ko:K07015	lmom:IJ09_02545
ko:K06948	lmom:IJ09_02550
ko:K00014	lmom:IJ09_02555
ko:K07574	lmom:IJ09_02560
ko:K00969	lmom:IJ09_02565
ko:K09710	lmom:IJ09_02575
ko:K02237	lmom:IJ09_02585
ko:K02238	lmom:IJ09_02595
ko:K02340	lmom:IJ09_02600
ko:K02968	lmom:IJ09_02605
ko:K03596	lmom:IJ09_02610
ko:K03705	lmom:IJ09_02630
ko:K03687	lmom:IJ09_02635
ko:K04043	lmom:IJ09_02640
ko:K03686	lmom:IJ09_02645
ko:K02687	lmom:IJ09_02650
ko:K09761	lmom:IJ09_02655
ko:K02970	lmom:IJ09_02660
ko:K09117	lmom:IJ09_02665
ko:K07037	lmom:IJ09_02675
ko:K07042	lmom:IJ09_02680
ko:K01489	lmom:IJ09_02690
ko:K02420	lmom:IJ09_06940
ko:K02419	lmom:IJ09_06945
ko:K01992	lmom:IJ09_07000
ko:K01990	lmom:IJ09_07005
ko:K00661	lmom:IJ09_07020
ko:K00868	lmom:IJ09_07030
ko:K07457	lmom:IJ09_07050
ko:K08976	lmom:IJ09_07060
ko:K01421	lmom:IJ09_07090
ko:K03284	lmom:IJ09_07100
ko:K07104	lmom:IJ09_07110
ko:K03294	lmom:IJ09_07115
ko:K01534	lmom:IJ09_07135
ko:K07025	lmom:IJ09_07175
ko:K11202	lmom:IJ09_07185
ko:K11203	lmom:IJ09_07190
ko:K02768	lmom:IJ09_07195
ko:K05879	lmom:IJ09_11235
ko:K05878	lmom:IJ09_11240
ko:K00943	lmom:IJ09_11250
ko:K01531	lmom:IJ09_11280
ko:K02759	lmom:IJ09_11305
ko:K02761	lmom:IJ09_11310
ko:K02760	lmom:IJ09_11315
ko:K01546	lmom:IJ09_11325
ko:K01547	lmom:IJ09_11330
ko:K01548	lmom:IJ09_11335
ko:K07646	lmom:IJ09_11340
ko:K07667	lmom:IJ09_11345
ko:K01808	lmom:IJ09_11365
ko:K02773	lmom:IJ09_11400
ko:K02774	lmom:IJ09_11405
ko:K02775	lmom:IJ09_11410
ko:K00008	lmom:IJ09_11415
ko:K00008	lmom:IJ09_11420
ko:K01808	lmom:IJ09_11430
ko:K01783	lmom:IJ09_11435
ko:K00615	lmom:IJ09_11440
ko:K01783	lmom:IJ09_11445
ko:K01129	lmom:IJ09_11455
ko:K02950	lmom:IJ09_11460
ko:K02992	lmom:IJ09_11465
ko:K02355	lmom:IJ09_11470
ko:K02358	lmom:IJ09_11475
ko:K02822	lmom:IJ09_11490
ko:K03475	lmom:IJ09_11495
ko:K07048	lmom:IJ09_11500
ko:K01470	lmom:IJ09_11505
ko:K03584	lmom:IJ09_02705
ko:K01878	lmom:IJ09_02710
ko:K01879	lmom:IJ09_02715
ko:K09773	lmom:IJ09_02720
ko:K09768	lmom:IJ09_02725
ko:K03086	lmom:IJ09_02735
ko:K06967	lmom:IJ09_02740
ko:K03527	lmom:IJ09_02750
ko:K18692	lmom:IJ09_02755
ko:K01151	lmom:IJ09_02760
ko:K15986	lmom:IJ09_02765
ko:K09817	lmom:IJ09_02770
ko:K09816	lmom:IJ09_02775
ko:K02076	lmom:IJ09_02780
ko:K07533	lmom:IJ09_02785
ko:K04564	lmom:IJ09_02810
ko:K00133	lmom:IJ09_02820
ko:K00928	lmom:IJ09_02825
ko:K01714	lmom:IJ09_02830
ko:K12574	lmom:IJ09_02835
ko:K00383	lmom:IJ09_02840
ko:K16789	lmom:IJ09_02860
ko:K05847	lmom:IJ09_02865
ko:K05846	lmom:IJ09_02870
ko:K05845	lmom:IJ09_02875
ko:K05846	lmom:IJ09_02880
ko:K03322	lmom:IJ09_02885
ko:K05845	lmom:IJ09_02895
ko:K05846	lmom:IJ09_02895
ko:K05847	lmom:IJ09_02900
ko:K00075	lmom:IJ09_02905
ko:K06902	lmom:IJ09_02920
ko:K01641	lmom:IJ09_02930
ko:K00626	lmom:IJ09_02935
ko:K07727	lmom:IJ09_02950
ko:K04069	lmom:IJ09_02970
ko:K00656	lmom:IJ09_02975
ko:K07090	lmom:IJ09_07245
ko:K01126	lmom:IJ09_07270
ko:K01118	lmom:IJ09_07295
ko:K06147	lmom:IJ09_07310
ko:K06147	lmom:IJ09_07315
ko:K10947	lmom:IJ09_07355
ko:K03523	lmom:IJ09_07360
ko:K01740	lmom:IJ09_07375
ko:K00641	lmom:IJ09_07380
ko:K07030	lmom:IJ09_07400
ko:K01669	lmom:IJ09_07410
ko:K03070	lmom:IJ09_07435
ko:K06969	lmom:IJ09_07445
ko:K06999	lmom:IJ09_07450
ko:K03492	lmom:IJ09_07475
ko:K01223	lmom:IJ09_07480
ko:K06901	lmom:IJ09_07485
ko:K07443	lmom:IJ09_07495
ko:K04486	lmom:IJ09_07500
ko:K02502	lmom:IJ09_07505
ko:K00765	lmom:IJ09_07510
ko:K00013	lmom:IJ09_07515
ko:K01693	lmom:IJ09_07520
ko:K00805	lmom:IJ09_11535
ko:K00805	lmom:IJ09_11540
ko:K03885	lmom:IJ09_11550
ko:K03734	lmom:IJ09_11560
ko:K16785	lmom:IJ09_11570
ko:K02946	lmom:IJ09_11575
ko:K02906	lmom:IJ09_11580
ko:K02926	lmom:IJ09_11585
ko:K02892	lmom:IJ09_11590
ko:K02886	lmom:IJ09_11595
ko:K02965	lmom:IJ09_11600
ko:K02890	lmom:IJ09_11605
ko:K02982	lmom:IJ09_11610
ko:K02878	lmom:IJ09_11615
ko:K02904	lmom:IJ09_11620
ko:K02961	lmom:IJ09_11625
ko:K02874	lmom:IJ09_11630
ko:K02895	lmom:IJ09_11635
ko:K02931	lmom:IJ09_11640
ko:K02954	lmom:IJ09_11645
ko:K02994	lmom:IJ09_11650
ko:K02933	lmom:IJ09_11655
ko:K02881	lmom:IJ09_11660
ko:K02988	lmom:IJ09_11665
ko:K02907	lmom:IJ09_11670
ko:K02876	lmom:IJ09_11675
ko:K03076	lmom:IJ09_11680
ko:K00939	lmom:IJ09_11685
ko:K02518	lmom:IJ09_11690
ko:K02919	lmom:IJ09_11695
ko:K02952	lmom:IJ09_11700
ko:K02948	lmom:IJ09_11705
ko:K03040	lmom:IJ09_11710
ko:K02879	lmom:IJ09_11715
ko:K01426	lmom:IJ09_11725
ko:K07507	lmom:IJ09_11730
ko:K16786	lmom:IJ09_11735
ko:K16787	lmom:IJ09_11740
ko:K16785	lmom:IJ09_11745
ko:K06173	lmom:IJ09_11750
ko:K02871	lmom:IJ09_11755
ko:K02996	lmom:IJ09_11760
ko:K03593	lmom:IJ09_11790
ko:K02443	lmom:IJ09_02980
ko:K03572	lmom:IJ09_02985
ko:K03555	lmom:IJ09_02990
ko:K09769	lmom:IJ09_03000
ko:K03823	lmom:IJ09_03005
ko:K18682	lmom:IJ09_03010
ko:K03742	lmom:IJ09_03020
ko:K00995	lmom:IJ09_03025
ko:K00059	lmom:IJ09_03035
ko:K02057	lmom:IJ09_03050
ko:K02057	lmom:IJ09_03055
ko:K02056	lmom:IJ09_03060
ko:K07335	lmom:IJ09_03065
ko:K00286	lmom:IJ09_03070
ko:K03466	lmom:IJ09_03075
ko:K07146	lmom:IJ09_03085
ko:K01823	lmom:IJ09_03090
ko:K01512	lmom:IJ09_03100
ko:K03217	lmom:IJ09_03110
ko:K00033	lmom:IJ09_03125
ko:K09699	lmom:IJ09_03140
ko:K00167	lmom:IJ09_03145
ko:K00166	lmom:IJ09_03150
ko:K00382	lmom:IJ09_03155
ko:K00929	lmom:IJ09_03160
ko:K03631	lmom:IJ09_03170
ko:K03402	lmom:IJ09_03175
ko:K06442	lmom:IJ09_03180
ko:K01662	lmom:IJ09_03185
ko:K03704	lmom:IJ09_03190
ko:K13789	lmom:IJ09_03195
ko:K03602	lmom:IJ09_03200
ko:K03601	lmom:IJ09_03205
ko:K01491	lmom:IJ09_03210
ko:K03625	lmom:IJ09_03215
ko:K01961	lmom:IJ09_03225
ko:K02160	lmom:IJ09_03230
ko:K02356	lmom:IJ09_03235
ko:K01262	lmom:IJ09_03240
ko:K00627	lmom:IJ09_05020
ko:K00162	lmom:IJ09_05025
ko:K00161	lmom:IJ09_05030
ko:K01462	lmom:IJ09_05035
ko:K03638	lmom:IJ09_05050
ko:K03639	lmom:IJ09_05055
ko:K03637	lmom:IJ09_05060
ko:K03636	lmom:IJ09_05065
ko:K03635	lmom:IJ09_05070
ko:K03753	lmom:IJ09_05075
ko:K03750	lmom:IJ09_05080
ko:K02020	lmom:IJ09_05085
ko:K02018	lmom:IJ09_05090
ko:K02017	lmom:IJ09_05095
ko:K03752	lmom:IJ09_05100
ko:K02755	lmom:IJ09_05115
ko:K02756	lmom:IJ09_05115
ko:K02757	lmom:IJ09_05115
ko:K00864	lmom:IJ09_05120
ko:K00615	lmom:IJ09_05125
ko:K00615	lmom:IJ09_05130
ko:K02529	lmom:IJ09_05140
ko:K12574	lmom:IJ09_05155
ko:K03499	lmom:IJ09_05175
ko:K11618	lmom:IJ09_05180
ko:K11617	lmom:IJ09_05185
ko:K11622	lmom:IJ09_05190
ko:K00243	lmom:IJ09_05195
ko:K06201	lmom:IJ09_05200
ko:K02002	lmom:IJ09_05210
ko:K02001	lmom:IJ09_05215
ko:K02000	lmom:IJ09_05220
ko:K05823	lmom:IJ09_05230
ko:K05822	lmom:IJ09_05235
ko:K00841	lmom:IJ09_05260
ko:K08483	lmom:IJ09_05275
ko:K11189	lmom:IJ09_05280
ko:K04567	lmom:IJ09_09220
ko:K00950	lmom:IJ09_09230
ko:K01633	lmom:IJ09_09235
ko:K00796	lmom:IJ09_09240
ko:K01738	lmom:IJ09_09245
ko:K04083	lmom:IJ09_09250
ko:K03525	lmom:IJ09_09255
ko:K03798	lmom:IJ09_09260
ko:K07571	lmom:IJ09_09275
ko:K03723	lmom:IJ09_09295
ko:K01056	lmom:IJ09_09300
ko:K02897	lmom:IJ09_09310
ko:K00016	lmom:IJ09_09315
ko:K01114	lmom:IJ09_09340
ko:K11031	lmom:IJ09_09355
ko:K01771	lmom:IJ09_09360
ko:K00948	lmom:IJ09_09370
ko:K04042	lmom:IJ09_09375
ko:K06412	lmom:IJ09_09380
ko:K06412	lmom:IJ09_09385
ko:K02004	lmom:IJ09_09390
ko:K02003	lmom:IJ09_09395
ko:K02005	lmom:IJ09_09400
ko:K09685	lmom:IJ09_09405
ko:K03478	lmom:IJ09_09410
ko:K00919	lmom:IJ09_09415
ko:K02528	lmom:IJ09_09425
ko:K05985	lmom:IJ09_09430
ko:K03424	lmom:IJ09_09440
ko:K01182	lmom:IJ09_09445
ko:K01187	lmom:IJ09_09450
ko:K02027	lmom:IJ09_09460
ko:K02026	lmom:IJ09_09465
ko:K02025	lmom:IJ09_09470
ko:K06901	lmom:IJ09_13640
ko:K02028	lmom:IJ09_13655
ko:K02029	lmom:IJ09_13660
ko:K02030	lmom:IJ09_13660
ko:K03306	lmom:IJ09_13665
ko:K07220	lmom:IJ09_13670
ko:K06180	lmom:IJ09_13690
ko:K13530	lmom:IJ09_13695
ko:K13531	lmom:IJ09_13700
ko:K07979	lmom:IJ09_13705
ko:K01990	lmom:IJ09_13710
ko:K01992	lmom:IJ09_13715
ko:K00014	lmom:IJ09_13730
ko:K12555	lmom:IJ09_13765
ko:K01990	lmom:IJ09_13775
ko:K01992	lmom:IJ09_13780
ko:K01679	lmom:IJ09_13785
ko:K03698	lmom:IJ09_13810
ko:K07533	lmom:IJ09_13815
ko:K02503	lmom:IJ09_13830
ko:K01990	lmom:IJ09_13835
ko:K01992	lmom:IJ09_13840
ko:K01599	lmom:IJ09_13850
ko:K01772	lmom:IJ09_13855
ko:K06976	lmom:IJ09_13865
ko:K06890	lmom:IJ09_13875
ko:K03695	lmom:IJ09_13880
ko:K01834	lmom:IJ09_13885
ko:K00648	lmom:IJ09_13900
ko:K09458	lmom:IJ09_13905
ko:K01867	lmom:IJ09_13920
ko:K18892	lmom:IJ09_10945
ko:K06901	lmom:IJ09_00605
ko:K03101	lmom:IJ09_00610
ko:K06180	lmom:IJ09_00615
ko:K02825	lmom:IJ09_00630
ko:K02824	lmom:IJ09_00635
ko:K00609	lmom:IJ09_00640
ko:K01465	lmom:IJ09_00645
ko:K01956	lmom:IJ09_00650
ko:K01955	lmom:IJ09_00655
ko:K02823	lmom:IJ09_00660
ko:K17828	lmom:IJ09_00665
ko:K01591	lmom:IJ09_00670
ko:K00762	lmom:IJ09_00675
ko:K00942	lmom:IJ09_00695
ko:K03060	lmom:IJ09_00700
ko:K13038	lmom:IJ09_00705
ko:K04066	lmom:IJ09_00710
ko:K00604	lmom:IJ09_00715
ko:K03500	lmom:IJ09_00720
ko:K06949	lmom:IJ09_00735
ko:K01783	lmom:IJ09_00740
ko:K00949	lmom:IJ09_00745
ko:K02902	lmom:IJ09_00750
ko:K07030	lmom:IJ09_00760
ko:K01752	lmom:IJ09_00765
ko:K01752	lmom:IJ09_00770
ko:K03655	lmom:IJ09_00775
ko:K03621	lmom:IJ09_00785
ko:K00645	lmom:IJ09_00790
ko:K00059	lmom:IJ09_00795
ko:K02078	lmom:IJ09_00800
ko:K03685	lmom:IJ09_00810
ko:K03529	lmom:IJ09_00815
ko:K03110	lmom:IJ09_00820
ko:K09787	lmom:IJ09_00825
ko:K03106	lmom:IJ09_00830
ko:K01104	lmom:IJ09_00835
ko:K02959	lmom:IJ09_00850
ko:K06960	lmom:IJ09_00855
ko:K07010	lmom:IJ09_00860
ko:K02860	lmom:IJ09_00870
ko:K00554	lmom:IJ09_00875
ko:K02884	lmom:IJ09_00900
ko:K18891	lmom:IJ09_10950
ko:K04027	lmom:IJ09_04435
ko:K04026	lmom:IJ09_04450
ko:K03736	lmom:IJ09_04455
ko:K03735	lmom:IJ09_04460
ko:K04019	lmom:IJ09_04465
ko:K16651	lmom:IJ09_04485
ko:K04720	lmom:IJ09_04490
ko:K00925	lmom:IJ09_04495
ko:K02440	lmom:IJ09_04500
ko:K13921	lmom:IJ09_04505
ko:K13922	lmom:IJ09_04510
ko:K04024	lmom:IJ09_04530
ko:K13923	lmom:IJ09_04535
ko:K13920	lmom:IJ09_04560
ko:K13919	lmom:IJ09_04565
ko:K02226	lmom:IJ09_04590
ko:K02233	lmom:IJ09_04595
ko:K02231	lmom:IJ09_04600
ko:K04029	lmom:IJ09_04610
ko:K04031	lmom:IJ09_04615
ko:K02304	lmom:IJ09_04630
ko:K01358	lmom:IJ09_04640
ko:K06889	lmom:IJ09_04700
ko:K03827	lmom:IJ09_04710
ko:K01223	lmom:IJ09_08700
ko:K00788	lmom:IJ09_08705
ko:K00941	lmom:IJ09_08710
ko:K00878	lmom:IJ09_08715
ko:K03707	lmom:IJ09_08720
ko:K02759	lmom:IJ09_08750
ko:K02760	lmom:IJ09_08760
ko:K02761	lmom:IJ09_08765
ko:K03491	lmom:IJ09_08770
ko:K00783	lmom:IJ09_08790
ko:K07652	lmom:IJ09_08815
ko:K07668	lmom:IJ09_08820
ko:K08969	lmom:IJ09_08825
ko:K02073	lmom:IJ09_08830
ko:K02071	lmom:IJ09_08835
ko:K02072	lmom:IJ09_08840
ko:K10112	lmom:IJ09_08870
ko:K01223	lmom:IJ09_08905
ko:K02034	lmom:IJ09_08915
ko:K01580	lmom:IJ09_13085
ko:K01421	lmom:IJ09_13100
ko:K02564	lmom:IJ09_13110
ko:K00299	lmom:IJ09_13145
ko:K16957	lmom:IJ09_13155
ko:K16958	lmom:IJ09_13160
ko:K16959	lmom:IJ09_13165
ko:K06183	lmom:IJ09_13190
ko:K16329	lmom:IJ09_13200
ko:K01372	lmom:IJ09_13210
ko:K03436	lmom:IJ09_13215
ko:K00882	lmom:IJ09_13220
ko:K02768	lmom:IJ09_13225
ko:K02769	lmom:IJ09_13225
ko:K02770	lmom:IJ09_13225
ko:K02250	lmom:IJ09_13235
ko:K01990	lmom:IJ09_00005
ko:K01992	lmom:IJ09_00010
ko:K02013	lmom:IJ09_00025
ko:K02016	lmom:IJ09_00035
ko:K02015	lmom:IJ09_00040
ko:K02015	lmom:IJ09_00045
ko:K03711	lmom:IJ09_00050
ko:K04763	lmom:IJ09_00055
ko:K01839	lmom:IJ09_00060
ko:K03783	lmom:IJ09_00065
ko:K01586	lmom:IJ09_00070
ko:K05896	lmom:IJ09_00075
ko:K06024	lmom:IJ09_00080
ko:K06178	lmom:IJ09_00085
ko:K07775	lmom:IJ09_00090
ko:K07651	lmom:IJ09_00095
ko:K05337	lmom:IJ09_00110
ko:K03654	lmom:IJ09_00120
ko:K01424	lmom:IJ09_00130
ko:K00945	lmom:IJ09_00135
ko:K02945	lmom:IJ09_00140
ko:K03977	lmom:IJ09_00145
ko:K00057	lmom:IJ09_00150
ko:K01104	lmom:IJ09_00155
ko:K03530	lmom:IJ09_00160
ko:K01495	lmom:IJ09_00165
ko:K00805	lmom:IJ09_00170
ko:K03183	lmom:IJ09_00175
ko:K00805	lmom:IJ09_00180
ko:K00940	lmom:IJ09_00185
ko:K01736	lmom:IJ09_00190
ko:K01735	lmom:IJ09_00195
ko:K06208	lmom:IJ09_00200
ko:K00817	lmom:IJ09_00205
ko:K04517	lmom:IJ09_00210
ko:K00800	lmom:IJ09_00215
ko:K06973	lmom:IJ09_00235
ko:K07007	lmom:IJ09_00240
ko:K00656	lmom:IJ09_00245
ko:K00027	lmom:IJ09_00255
ko:K00215	lmom:IJ09_00295
ko:K01734	lmom:IJ09_00300
ko:K00974	lmom:IJ09_00305
ko:K01156	lmom:IJ09_04795
ko:K07316	lmom:IJ09_04800
ko:K01951	lmom:IJ09_04805
ko:K02760	lmom:IJ09_04810
ko:K01916	lmom:IJ09_04820
ko:K00763	lmom:IJ09_04825
ko:K00067	lmom:IJ09_04865
ko:K01790	lmom:IJ09_04875
ko:K00973	lmom:IJ09_04880
ko:K00963	lmom:IJ09_04895
ko:K09693	lmom:IJ09_04910
ko:K02016	lmom:IJ09_04920
ko:K01958	lmom:IJ09_04925
ko:K03588	lmom:IJ09_04930
ko:K06207	lmom:IJ09_04955
ko:K01092	lmom:IJ09_04960
ko:K03284	lmom:IJ09_04970
ko:K02003	lmom:IJ09_04975
ko:K02004	lmom:IJ09_04980
ko:K18345	lmom:IJ09_04985
ko:K18344	lmom:IJ09_04990
ko:K00382	lmom:IJ09_05015
ko:K15975	lmom:IJ09_08925
ko:K01439	lmom:IJ09_08935
ko:K01223	lmom:IJ09_08960
ko:K03046	lmom:IJ09_08970
ko:K03043	lmom:IJ09_08975
ko:K00690	lmom:IJ09_08985
ko:K01182	lmom:IJ09_08990
ko:K15772	lmom:IJ09_08995
ko:K15771	lmom:IJ09_09000
ko:K15770	lmom:IJ09_09005
ko:K00564	lmom:IJ09_09020
ko:K02935	lmom:IJ09_09030
