ko:K17103	lpu:LPE509_02745
ko:K00036	lpu:LPE509_02806
ko:K07152	lpu:LPE509_02810
ko:K02259	lpu:LPE509_02812
ko:K02400	lpu:LPE509_01404
ko:K02404	lpu:LPE509_01405
ko:K04562	lpu:LPE509_01406
ko:K02405	lpu:LPE509_01407
ko:K02556	lpu:LPE509_01408
ko:K02557	lpu:LPE509_01409
ko:K02836	lpu:LPE509_01411
ko:K04567	lpu:LPE509_01412
ko:K03592	lpu:LPE509_01418
ko:K02518	lpu:LPE509_01419
ko:K00684	lpu:LPE509_01421
ko:K00384	lpu:LPE509_01422
ko:K03466	lpu:LPE509_01424
ko:K03634	lpu:LPE509_01425
ko:K07478	lpu:LPE509_01426
ko:K02408	lpu:LPE509_01429
ko:K02409	lpu:LPE509_01430
ko:K02410	lpu:LPE509_01431
ko:K02411	lpu:LPE509_01432
ko:K02412	lpu:LPE509_01433
ko:K02413	lpu:LPE509_01434
ko:K02558	lpu:LPE509_01437
ko:K03695	lpu:LPE509_01440
ko:K04773	lpu:LPE509_01441
ko:K15396	lpu:LPE509_01443
ko:K04487	lpu:LPE509_01444
ko:K03557	lpu:LPE509_01448
ko:K02434	lpu:LPE509_01454
ko:K02435	lpu:LPE509_01456
ko:K00175	lpu:LPE509_02261
ko:K00174	lpu:LPE509_02262
ko:K03474	lpu:LPE509_02263
ko:K03584	lpu:LPE509_02267
ko:K03101	lpu:LPE509_02272
ko:K01870	lpu:LPE509_02273
ko:K11753	lpu:LPE509_02274
ko:K01735	lpu:LPE509_02277
ko:K00891	lpu:LPE509_02278
ko:K02666	lpu:LPE509_02279
ko:K02662	lpu:LPE509_02283
ko:K05366	lpu:LPE509_02285
ko:K00259	lpu:LPE509_02286
ko:K03522	lpu:LPE509_02287
ko:K03521	lpu:LPE509_02288
ko:K03473	lpu:LPE509_02293
ko:K01928	lpu:LPE509_02294
ko:K03587	lpu:LPE509_02295
ko:K03586	lpu:LPE509_02296
ko:K03438	lpu:LPE509_02297
ko:K03925	lpu:LPE509_02298
ko:K03525	lpu:LPE509_02299
ko:K02386	lpu:LPE509_02302
ko:K02398	lpu:LPE509_02303
ko:K02399	lpu:LPE509_02304
ko:K01414	lpu:LPE509_03093
ko:K00615	lpu:LPE509_03097
ko:K00134	lpu:LPE509_03098
ko:K00927	lpu:LPE509_03099
ko:K00873	lpu:LPE509_03100
ko:K03607	lpu:LPE509_03103
ko:K00215	lpu:LPE509_03106
ko:K00140	lpu:LPE509_03109
ko:K01895	lpu:LPE509_03111
ko:K03978	lpu:LPE509_03113
ko:K03673	lpu:LPE509_03115
ko:K00605	lpu:LPE509_03120
ko:K02437	lpu:LPE509_03121
ko:K00282	lpu:LPE509_03122
ko:K00283	lpu:LPE509_03124
ko:K06901	lpu:LPE509_03132
ko:K02536	lpu:LPE509_03139
ko:K06193	lpu:LPE509_03142
ko:K00675	lpu:LPE509_00613
ko:K07238	lpu:LPE509_00614
ko:K08641	lpu:LPE509_00615
ko:K07552	lpu:LPE509_00627
ko:K13930	lpu:LPE509_00635
ko:K13934	lpu:LPE509_00636
ko:K13933	lpu:LPE509_00637
ko:K13932	lpu:LPE509_00638
ko:K13929	lpu:LPE509_00639
ko:K01689	lpu:LPE509_01141
ko:K06287	lpu:LPE509_01142
ko:K03655	lpu:LPE509_01146
ko:K01887	lpu:LPE509_01149
ko:K03591	lpu:LPE509_01150
ko:K01633	lpu:LPE509_01151
ko:K01599	lpu:LPE509_01152
ko:K01626	lpu:LPE509_01153
ko:K03687	lpu:LPE509_01154
ko:K04043	lpu:LPE509_01155
ko:K03686	lpu:LPE509_01156
ko:K01956	lpu:LPE509_01157
ko:K00789	lpu:LPE509_01158
ko:K01251	lpu:LPE509_01159
ko:K14645	lpu:LPE509_01161
ko:K02221	lpu:LPE509_01164
ko:K00286	lpu:LPE509_01165
ko:K06997	lpu:LPE509_01166
ko:K02669	lpu:LPE509_01167
ko:K00989	lpu:LPE509_01169
ko:K00942	lpu:LPE509_01171
ko:K03060	lpu:LPE509_01172
ko:K06985	lpu:LPE509_01175
ko:K15738	lpu:LPE509_01176
ko:K07568	lpu:LPE509_01178
ko:K00773	lpu:LPE509_01179
ko:K03210	lpu:LPE509_01180
ko:K01953	lpu:LPE509_00060
ko:K00748	lpu:LPE509_00065
ko:K02536	lpu:LPE509_00066
ko:K00677	lpu:LPE509_00067
ko:K02517	lpu:LPE509_00069
ko:K02517	lpu:LPE509_00070
ko:K09761	lpu:LPE509_00074
ko:K03671	lpu:LPE509_00075
ko:K03628	lpu:LPE509_00077
ko:K03182	lpu:LPE509_00078
ko:K11940	lpu:LPE509_00081
ko:K03118	lpu:LPE509_00082
ko:K01579	lpu:LPE509_00083
ko:K02528	lpu:LPE509_00084
ko:K02003	lpu:LPE509_00089
ko:K07726	lpu:LPE509_00098
ko:K07133	lpu:LPE509_00102
ko:K12267	lpu:LPE509_00111
ko:K03117	lpu:LPE509_00114
ko:K03116	lpu:LPE509_00115
ko:K13503	lpu:LPE509_01457
ko:K03281	lpu:LPE509_01458
ko:K03608	lpu:LPE509_01466
ko:K03609	lpu:LPE509_01467
ko:K01951	lpu:LPE509_01469
ko:K11991	lpu:LPE509_01470
ko:K00990	lpu:LPE509_01471
ko:K01265	lpu:LPE509_01472
ko:K02967	lpu:LPE509_01479
ko:K02357	lpu:LPE509_01480
ko:K09903	lpu:LPE509_01481
ko:K02838	lpu:LPE509_01482
ko:K01484	lpu:LPE509_01485
ko:K06447	lpu:LPE509_01486
ko:K00673	lpu:LPE509_01487
ko:K01295	lpu:LPE509_01488
ko:K03648	lpu:LPE509_01494
ko:K03607	lpu:LPE509_01496
ko:K13821	lpu:LPE509_01498
ko:K01681	lpu:LPE509_01503
ko:K03575	lpu:LPE509_02313
ko:K07301	lpu:LPE509_02315
ko:K02452	lpu:LPE509_02317
ko:K01207	lpu:LPE509_02328
ko:K00324	lpu:LPE509_02335
ko:K00324	lpu:LPE509_02336
ko:K00325	lpu:LPE509_02337
ko:K02837	lpu:LPE509_02339
ko:K03654	lpu:LPE509_02345
ko:K03652	lpu:LPE509_02346
ko:K09165	lpu:LPE509_02348
ko:K02199	lpu:LPE509_02351
ko:K02198	lpu:LPE509_02352
ko:K02197	lpu:LPE509_02353
ko:K02196	lpu:LPE509_02354
ko:K02195	lpu:LPE509_02355
ko:K02194	lpu:LPE509_02357
ko:K01807	lpu:LPE509_03145
ko:K03218	lpu:LPE509_03146
ko:K12573	lpu:LPE509_03147
ko:K09768	lpu:LPE509_03151
ko:K03185	lpu:LPE509_03161
ko:K09895	lpu:LPE509_03163
ko:K03072	lpu:LPE509_01181
ko:K03074	lpu:LPE509_01182
ko:K00817	lpu:LPE509_01184
ko:K08304	lpu:LPE509_01188
ko:K11752	lpu:LPE509_01988
ko:K02667	lpu:LPE509_01992
ko:K02668	lpu:LPE509_01993
ko:K04069	lpu:LPE509_01996
ko:K09767	lpu:LPE509_01999
ko:K00876	lpu:LPE509_02001
ko:K01438	lpu:LPE509_02003
ko:K10778	lpu:LPE509_02018
ko:K01299	lpu:LPE509_02022
ko:K00459	lpu:LPE509_02037
ko:K00574	lpu:LPE509_02039
ko:K03106	lpu:LPE509_02828
ko:K02959	lpu:LPE509_02829
ko:K02860	lpu:LPE509_02830
ko:K00554	lpu:LPE509_02831
ko:K02884	lpu:LPE509_02832
ko:K07043	lpu:LPE509_02837
ko:K07394	lpu:LPE509_02838
ko:K03799	lpu:LPE509_02843
ko:K03744	lpu:LPE509_02844
ko:K03701	lpu:LPE509_02845
ko:K06186	lpu:LPE509_02861
ko:K09801	lpu:LPE509_02862
ko:K06999	lpu:LPE509_02864
ko:K01778	lpu:LPE509_02868
ko:K02517	lpu:LPE509_02871
ko:K09458	lpu:LPE509_02873
ko:K10780	lpu:LPE509_02876
ko:K02879	lpu:LPE509_02879
ko:K03040	lpu:LPE509_02880
ko:K02986	lpu:LPE509_02881
ko:K03594	lpu:LPE509_00678
ko:K03782	lpu:LPE509_00682
ko:K03549	lpu:LPE509_00691
ko:K01531	lpu:LPE509_00695
ko:K07154	lpu:LPE509_00712
ko:K07154	lpu:LPE509_00713
ko:K09888	lpu:LPE509_03164
ko:K03702	lpu:LPE509_03167
ko:K00812	lpu:LPE509_03168
ko:K07002	lpu:LPE509_03170
ko:K01626	lpu:LPE509_03174
ko:K03688	lpu:LPE509_00116
ko:K03690	lpu:LPE509_00118
ko:K03183	lpu:LPE509_00119
ko:K06895	lpu:LPE509_00121
ko:K02275	lpu:LPE509_00127
ko:K02276	lpu:LPE509_00130
ko:K03501	lpu:LPE509_00135
ko:K03495	lpu:LPE509_00136
ko:K06920	lpu:LPE509_00139
ko:K03186	lpu:LPE509_00142
ko:K01874	lpu:LPE509_00143
ko:K10773	lpu:LPE509_00145
ko:K03284	lpu:LPE509_00148
ko:K04042	lpu:LPE509_00151
ko:K08311	lpu:LPE509_00154
ko:K13292	lpu:LPE509_00156
ko:K07107	lpu:LPE509_00159
ko:K04066	lpu:LPE509_00160
ko:K01737	lpu:LPE509_00161
ko:K03924	lpu:LPE509_00167
ko:K07136	lpu:LPE509_01193
ko:K08296	lpu:LPE509_01195
ko:K05520	lpu:LPE509_01204
ko:K16137	lpu:LPE509_01215
ko:K00074	lpu:LPE509_01245
ko:K08482	lpu:LPE509_02060
ko:K03821	lpu:LPE509_02083
ko:K07787	lpu:LPE509_02086
ko:K07798	lpu:LPE509_02087
ko:K02948	lpu:LPE509_02882
ko:K02952	lpu:LPE509_02883
ko:K03076	lpu:LPE509_02884
ko:K02876	lpu:LPE509_02885
ko:K02907	lpu:LPE509_02886
ko:K02988	lpu:LPE509_02887
ko:K02881	lpu:LPE509_02888
ko:K02933	lpu:LPE509_02889
ko:K02994	lpu:LPE509_02890
ko:K02954	lpu:LPE509_02891
ko:K02931	lpu:LPE509_02892
ko:K02895	lpu:LPE509_02893
ko:K02874	lpu:LPE509_02894
ko:K02904	lpu:LPE509_02895
ko:K02878	lpu:LPE509_02896
ko:K02982	lpu:LPE509_02897
ko:K02890	lpu:LPE509_02898
ko:K02965	lpu:LPE509_02899
ko:K02886	lpu:LPE509_02900
ko:K02892	lpu:LPE509_02901
ko:K02926	lpu:LPE509_02902
ko:K02906	lpu:LPE509_02903
ko:K02946	lpu:LPE509_02904
ko:K02358	lpu:LPE509_02905
ko:K02355	lpu:LPE509_02906
ko:K02992	lpu:LPE509_02907
ko:K02950	lpu:LPE509_02908
ko:K03046	lpu:LPE509_02909
ko:K03043	lpu:LPE509_02910
ko:K02935	lpu:LPE509_02911
ko:K02864	lpu:LPE509_02912
ko:K02863	lpu:LPE509_02913
ko:K02867	lpu:LPE509_02914
ko:K02601	lpu:LPE509_02915
ko:K03073	lpu:LPE509_02916
ko:K00097	lpu:LPE509_02920
ko:K03771	lpu:LPE509_02921
ko:K04744	lpu:LPE509_02922
ko:K07102	lpu:LPE509_02923
ko:K04084	lpu:LPE509_01512
ko:K01952	lpu:LPE509_01516
ko:K01933	lpu:LPE509_01517
ko:K01952	lpu:LPE509_01518
ko:K01923	lpu:LPE509_01519
ko:K00764	lpu:LPE509_01520
ko:K11175	lpu:LPE509_01522
ko:K06894	lpu:LPE509_01530
ko:K05367	lpu:LPE509_01531
ko:K03338	lpu:LPE509_01544
ko:K03336	lpu:LPE509_01545
ko:K03335	lpu:LPE509_01546
ko:K12262	lpu:LPE509_01550
ko:K01733	lpu:LPE509_01553
ko:K01061	lpu:LPE509_01561
ko:K00648	lpu:LPE509_01565
ko:K10941	lpu:LPE509_02361
ko:K09808	lpu:LPE509_02365
ko:K09810	lpu:LPE509_02366
ko:K00790	lpu:LPE509_02368
ko:K07122	lpu:LPE509_02371
ko:K07323	lpu:LPE509_02372
ko:K02066	lpu:LPE509_02374
ko:K02065	lpu:LPE509_02375
ko:K06041	lpu:LPE509_02376
ko:K03270	lpu:LPE509_02377
ko:K11719	lpu:LPE509_02378
ko:K09774	lpu:LPE509_02379
ko:K06861	lpu:LPE509_02380
ko:K00766	lpu:LPE509_02382
ko:K01609	lpu:LPE509_02383
ko:K12543	lpu:LPE509_02390
ko:K03601	lpu:LPE509_02391
ko:K03694	lpu:LPE509_02399
ko:K06891	lpu:LPE509_02400
ko:K00031	lpu:LPE509_02401
ko:K06181	lpu:LPE509_02403
ko:K03570	lpu:LPE509_02405
ko:K03569	lpu:LPE509_02406
ko:K02237	lpu:LPE509_02407
ko:K02563	lpu:LPE509_02409
ko:K00767	lpu:LPE509_02410
ko:K07038	lpu:LPE509_03206
ko:K09996	lpu:LPE509_03208
ko:K06134	lpu:LPE509_03216
ko:K03306	lpu:LPE509_03217
ko:K12973	lpu:LPE509_03219
ko:K12297	lpu:LPE509_03222
ko:K09889	lpu:LPE509_03223
ko:K06911	lpu:LPE509_03233
ko:K03665	lpu:LPE509_03236
ko:K03666	lpu:LPE509_03237
ko:K12251	lpu:LPE509_03240
ko:K10536	lpu:LPE509_03242
ko:K02470	lpu:LPE509_03243
ko:K03629	lpu:LPE509_03244
ko:K02338	lpu:LPE509_03245
ko:K02313	lpu:LPE509_03246
ko:K03086	lpu:LPE509_00723
ko:K09117	lpu:LPE509_00725
ko:K02970	lpu:LPE509_00726
ko:K08591	lpu:LPE509_00728
ko:K08312	lpu:LPE509_00732
ko:K00024	lpu:LPE509_00733
ko:K04756	lpu:LPE509_00737
ko:K05592	lpu:LPE509_00742
ko:K05801	lpu:LPE509_00747
ko:K02527	lpu:LPE509_00748
ko:K06204	lpu:LPE509_00750
ko:K02493	lpu:LPE509_00751
ko:K02835	lpu:LPE509_00752
ko:K02492	lpu:LPE509_00753
ko:K11749	lpu:LPE509_00756
ko:K02169	lpu:LPE509_00758
ko:K00795	lpu:LPE509_00759
ko:K03602	lpu:LPE509_00760
ko:K04485	lpu:LPE509_00764
ko:K02670	lpu:LPE509_00768
ko:K03837	lpu:LPE509_00770
ko:K02557	lpu:LPE509_00772
ko:K02556	lpu:LPE509_00773
ko:K07001	lpu:LPE509_00774
ko:K01985	lpu:LPE509_r01
ko:K01985	lpu:LPE509_r02
ko:K01985	lpu:LPE509_r03
ko:K14998	lpu:LPE509_02814
ko:K11070	lpu:LPE509_02031
ko:K02029	lpu:LPE509_02725
ko:K01897	lpu:LPE509_01648
ko:K00122	lpu:LPE509_02940
ko:K01980	lpu:LPE509_r04
ko:K01980	lpu:LPE509_r05
ko:K01980	lpu:LPE509_r06
ko:K01759	lpu:LPE509_01309
ko:K08305	lpu:LPE509_01317
ko:K01259	lpu:LPE509_01342
ko:K15725	lpu:LPE509_02162
ko:K00758	lpu:LPE509_02168
ko:K01537	lpu:LPE509_02173
ko:K15727	lpu:LPE509_02185
ko:K15725	lpu:LPE509_02186
ko:K00058	lpu:LPE509_02983
ko:K07250	lpu:LPE509_02986
ko:K07030	lpu:LPE509_03022
ko:K00974	lpu:LPE509_00281
ko:K01719	lpu:LPE509_00287
ko:K03768	lpu:LPE509_00297
ko:K02653	lpu:LPE509_01679
ko:K07258	lpu:LPE509_01694
ko:K01992	lpu:LPE509_02529
ko:K02057	lpu:LPE509_03042
ko:K01081	lpu:LPE509_00353
ko:K00652	lpu:LPE509_01728
ko:K06910	lpu:LPE509_01752
ko:K07640	lpu:LPE509_01766
ko:K01489	lpu:LPE509_01768
ko:K01619	lpu:LPE509_01770
ko:K02674	lpu:LPE509_02589
ko:K02238	lpu:LPE509_02591
ko:K04488	lpu:LPE509_02617
ko:K00625	lpu:LPE509_00829
ko:K00059	lpu:LPE509_00863
ko:K06910	lpu:LPE509_00888
ko:K15725	lpu:LPE509_00966
ko:K07305	lpu:LPE509_00992
ko:K07305	lpu:LPE509_01006
ko:K07304	lpu:LPE509_01007
ko:K06147	lpu:LPE509_01043
ko:K06147	lpu:LPE509_01044
ko:K01537	lpu:LPE509_01080
ko:K00758	lpu:LPE509_01085
ko:K15725	lpu:LPE509_01091
ko:K00625	lpu:LPE509_01099
ko:K15725	lpu:LPE509_01102
ko:K15727	lpu:LPE509_01103
ko:K00054	lpu:LPE509_01126
ko:K01823	lpu:LPE509_01127
ko:K02067	lpu:LPE509_01133
ko:K01597	lpu:LPE509_01138
ko:K00869	lpu:LPE509_01139
ko:K01907	lpu:LPE509_01356
ko:K00626	lpu:LPE509_01362
ko:K11085	lpu:LPE509_01368
ko:K03593	lpu:LPE509_01374
ko:K02033	lpu:LPE509_02247
ko:K02056	lpu:LPE509_03043
ko:K06889	lpu:LPE509_03066
ko:K07397	lpu:LPE509_03066
ko:K03743	lpu:LPE509_01384
ko:K01510	lpu:LPE509_02235
ko:K02116	lpu:LPE509_00017
ko:K00027	lpu:LPE509_00034
ko:K03386	lpu:LPE509_00040
ko:K07386	lpu:LPE509_00429
ko:K06889	lpu:LPE509_00433
ko:K12064	lpu:LPE509_01017
ko:K10942	lpu:LPE509_01427
ko:K10943	lpu:LPE509_01428
ko:K01092	lpu:LPE509_01442
ko:K04488	lpu:LPE509_01445
ko:K13628	lpu:LPE509_01446
ko:K02433	lpu:LPE509_01455
ko:K06149	lpu:LPE509_02275
ko:K02665	lpu:LPE509_02280
ko:K02049	lpu:LPE509_03116
ko:K02050	lpu:LPE509_03117
ko:K07304	lpu:LPE509_03135
ko:K08992	lpu:LPE509_01781
ko:K00939	lpu:LPE509_01792
ko:K00059	lpu:LPE509_01808
ko:K02342	lpu:LPE509_01819
ko:K03469	lpu:LPE509_01820
ko:K01934	lpu:LPE509_02631
ko:K09806	lpu:LPE509_02633
ko:K01488	lpu:LPE509_02644
ko:K00383	lpu:LPE509_02645
ko:K10563	lpu:LPE509_02661
ko:K14219	lpu:LPE509_t04
ko:K14230	lpu:LPE509_t29
ko:K02454	lpu:LPE509_01887
ko:K08086	lpu:LPE509_01907
ko:K03087	lpu:LPE509_01924
ko:K00027	lpu:LPE509_01928
ko:K14475	lpu:LPE509_01929
ko:K01488	lpu:LPE509_02720
ko:K11189	lpu:LPE509_02744
ko:K15383	lpu:LPE509_00560
ko:K00949	lpu:LPE509_00561
ko:K00808	lpu:LPE509_00564
ko:K13953	lpu:LPE509_00567
ko:K02428	lpu:LPE509_00577
ko:K04652	lpu:LPE509_00586
ko:K04655	lpu:LPE509_00590
ko:K01679	lpu:LPE509_00073
ko:K01525	lpu:LPE509_00086
ko:K02004	lpu:LPE509_00090
ko:K08305	lpu:LPE509_00094
ko:K00276	lpu:LPE509_00105
ko:K05814	lpu:LPE509_01460
ko:K05815	lpu:LPE509_01461
ko:K05816	lpu:LPE509_01462
ko:K06445	lpu:LPE509_01465
ko:K00088	lpu:LPE509_01468
ko:K00568	lpu:LPE509_01495
ko:K02414	lpu:LPE509_01505
ko:K00486	lpu:LPE509_02320
ko:K01760	lpu:LPE509_02323
ko:K00674	lpu:LPE509_02325
ko:K01439	lpu:LPE509_02326
ko:K01715	lpu:LPE509_02343
ko:K02200	lpu:LPE509_02350
ko:K02193	lpu:LPE509_02358
ko:K04774	lpu:LPE509_02359
ko:K01262	lpu:LPE509_03162
ko:K03294	lpu:LPE509_03194
ko:K07126	lpu:LPE509_01847
ko:K00241	lpu:LPE509_02686
ko:K04518	lpu:LPE509_00519
ko:K00845	lpu:LPE509_02803
ko:K05844	lpu:LPE509_02809
ko:K02348	lpu:LPE509_00608
ko:K04750	lpu:LPE509_00622
ko:K07393	lpu:LPE509_00624
ko:K01724	lpu:LPE509_01183
ko:K07126	lpu:LPE509_01994
ko:K06990	lpu:LPE509_01997
ko:K11072	lpu:LPE509_02029
ko:K11071	lpu:LPE509_02030
ko:K11069	lpu:LPE509_02032
ko:K00567	lpu:LPE509_02833
ko:K03711	lpu:LPE509_02859
ko:K00647	lpu:LPE509_02872
ko:K02274	lpu:LPE509_00128
ko:K02258	lpu:LPE509_00129
ko:K03616	lpu:LPE509_00144
ko:K01424	lpu:LPE509_00153
ko:K03793	lpu:LPE509_00163
ko:K01176	lpu:LPE509_01523
ko:K01176	lpu:LPE509_01525
ko:K01482	lpu:LPE509_01538
ko:K00010	lpu:LPE509_01543
ko:K02067	lpu:LPE509_02373
ko:K03294	lpu:LPE509_03218
ko:K01585	lpu:LPE509_03241
ko:K08481	lpu:LPE509_02061
ko:K07305	lpu:LPE509_02073
ko:K01409	lpu:LPE509_00727
ko:K01426	lpu:LPE509_00730
ko:K03386	lpu:LPE509_00736
ko:K00219	lpu:LPE509_00740
ko:K16329	lpu:LPE509_01261
ko:K05524	lpu:LPE509_01266
ko:K01885	lpu:LPE509_01279
ko:K00799	lpu:LPE509_01282
ko:K02116	lpu:LPE509_02136
ko:K06902	lpu:LPE509_02961
ko:K06179	lpu:LPE509_00799
ko:K07114	lpu:LPE509_00170
ko:K07114	lpu:LPE509_00171
ko:K07114	lpu:LPE509_00172
ko:K01426	lpu:LPE509_00174
ko:K00088	lpu:LPE509_00185
ko:K00569	lpu:LPE509_00193
ko:K05994	lpu:LPE509_00216
ko:K07019	lpu:LPE509_01572
ko:K00626	lpu:LPE509_01599
ko:K01782	lpu:LPE509_01600
ko:K00135	lpu:LPE509_01615
ko:K03325	lpu:LPE509_p00007
ko:K02427	lpu:LPE509_00233
ko:K03177	lpu:LPE509_00259
ko:K01507	lpu:LPE509_00265
ko:K03560	lpu:LPE509_01626
ko:K03153	lpu:LPE509_01634
ko:K00970	lpu:LPE509_01664
ko:K07665	lpu:LPE509_02497
ko:K01479	lpu:LPE509_02503
ko:K00639	lpu:LPE509_02511
ko:K17713	lpu:LPE509_01660
ko:K03574	lpu:LPE509_00664
ko:K03574	lpu:LPE509_01739
ko:K02028	lpu:LPE509_02724
ko:K14228	lpu:LPE509_t20
ko:K14228	lpu:LPE509_t21
ko:K14230	lpu:LPE509_t27
ko:K01977	lpu:LPE509_r07
ko:K01977	lpu:LPE509_r08
ko:K01977	lpu:LPE509_r09
ko:K14227	lpu:LPE509_t18
ko:K14237	lpu:LPE509_t42
ko:K14232	lpu:LPE509_t32
ko:K14230	lpu:LPE509_t28
ko:K14228	lpu:LPE509_t22
ko:K14229	lpu:LPE509_t24
ko:K14219	lpu:LPE509_t06
ko:K14229	lpu:LPE509_t25
ko:K14229	lpu:LPE509_t26
ko:K14222	lpu:LPE509_t10
ko:K14231	lpu:LPE509_t30
ko:K14218	lpu:LPE509_t01
ko:K14224	lpu:LPE509_t12
ko:K14224	lpu:LPE509_t13
ko:K14232	lpu:LPE509_t33
ko:K14219	lpu:LPE509_t07
ko:K14226	lpu:LPE509_t17
ko:K14228	lpu:LPE509_t23
ko:K14221	lpu:LPE509_t09
ko:K14219	lpu:LPE509_t05
ko:K14233	lpu:LPE509_t36
ko:K14234	lpu:LPE509_t37
ko:K14233	lpu:LPE509_t35
ko:K14228	lpu:LPE509_t19
ko:K14218	lpu:LPE509_t02
ko:K14218	lpu:LPE509_t03
ko:K14225	lpu:LPE509_t14
ko:K14225	lpu:LPE509_t16
ko:K14223	lpu:LPE509_t11
ko:K14232	lpu:LPE509_t31
ko:K14234	lpu:LPE509_t38
ko:K14234	lpu:LPE509_t39
ko:K14220	lpu:LPE509_t08
ko:K01897	lpu:LPE509_00865
ko:K01897	lpu:LPE509_02046
ko:K00951	lpu:LPE509_01746
ko:K01537	lpu:LPE509_02089
ko:K01990	lpu:LPE509_02841
ko:K01992	lpu:LPE509_02842
ko:K08316	lpu:LPE509_00357
ko:K07576	lpu:LPE509_02169
ko:K07576	lpu:LPE509_00834
ko:K07576	lpu:LPE509_01084
ko:K12207	lpu:LPE509_02769
ko:K03671	lpu:LPE509_01791
ko:K00821	lpu:LPE509_00037
ko:K17686	lpu:LPE509_01088
ko:K17686	lpu:LPE509_01570
ko:K17686	lpu:LPE509_02165
ko:K01467	lpu:LPE509_00655
ko:K06518	lpu:LPE509_03012
ko:K03767	lpu:LPE509_01221
ko:K00254	lpu:LPE509_01366
ko:K07263	lpu:LPE509_00359
ko:K07263	lpu:LPE509_00358
ko:K01658	lpu:LPE509_02381
ko:K00537	lpu:LPE509_02977
ko:K17758	lpu:LPE509_00324
ko:K17759	lpu:LPE509_00324
ko:K00128	lpu:LPE509_01852
ko:K01069	lpu:LPE509_01912
ko:K01487	lpu:LPE509_01197
ko:K11022	lpu:LPE509_00539
ko:K01659	lpu:LPE509_01672
ko:K03719	lpu:LPE509_00537
ko:K03719	lpu:LPE509_01715
ko:K14742	lpu:LPE509_01268
ko:K00130	lpu:LPE509_02987
ko:K07645	lpu:LPE509_01917
ko:K16011	lpu:LPE509_00138
ko:K00632	lpu:LPE509_01850
ko:K01139	lpu:LPE509_01173
ko:K07001	lpu:LPE509_03231
ko:K09930	lpu:LPE509_02545
ko:K07045	lpu:LPE509_00512
ko:K00663	lpu:LPE509_00673
ko:K03585	lpu:LPE509_02491
ko:K01286	lpu:LPE509_01280
ko:K21480	lpu:LPE509_02996
ko:K01286	lpu:LPE509_00093
ko:K01286	lpu:LPE509_02057
ko:K02032	lpu:LPE509_02520
ko:K02031	lpu:LPE509_02520
ko:K01838	lpu:LPE509_02090
ko:K01768	lpu:LPE509_01711
ko:K12226	lpu:LPE509_02765
ko:K07090	lpu:LPE509_00155
ko:K00523	lpu:LPE509_00079
ko:K01533	lpu:LPE509_00334
ko:K01533	lpu:LPE509_02994
ko:K07461	lpu:LPE509_00617
ko:K07461	lpu:LPE509_02028
ko:K07154	lpu:LPE509_00696
ko:K07154	lpu:LPE509_00697
ko:K02358	lpu:LPE509_02917
ko:K03704	lpu:LPE509_02124
ko:K07461	lpu:LPE509_02963
ko:K03563	lpu:LPE509_01011
ko:K07126	lpu:LPE509_01097
ko:K00925	lpu:LPE509_01100
ko:K15726	lpu:LPE509_01104
ko:K03704	lpu:LPE509_01115
ko:K09458	lpu:LPE509_03137
ko:K03563	lpu:LPE509_p00046
ko:K03563	lpu:LPE509_p00063
ko:K03563	lpu:LPE509_p00069
ko:K17686	lpu:LPE509_p00075
ko:K15725	lpu:LPE509_p00076
ko:K07461	lpu:LPE509_01893
ko:K18429	lpu:LPE509_02458
ko:K18431	lpu:LPE509_02460
ko:K18430	lpu:LPE509_02459
ko:K03293	lpu:LPE509_02237
ko:K18480	lpu:LPE509_01134
ko:K00681	lpu:LPE509_02668
ko:K01178	lpu:LPE509_02800
ko:K02664	lpu:LPE509_02281
ko:K08744	lpu:LPE509_00229
ko:K09691	lpu:LPE509_02439
ko:K18831	lpu:LPE509_00708
ko:K18778	lpu:LPE509_01737
ko:K06147	lpu:LPE509_01931
ko:K18893	lpu:LPE509_00855
ko:K22452	lpu:LPE509_01291
ko:K18844	lpu:LPE509_01709
ko:K18850	lpu:LPE509_01290
ko:K06147	lpu:LPE509_01583
ko:K05593	lpu:LPE509_00949
ko:K12068	lpu:LPE509_01013
ko:K12067	lpu:LPE509_01014
ko:K12066	lpu:LPE509_01015
ko:K12065	lpu:LPE509_01016
ko:K12063	lpu:LPE509_01018
ko:K12061	lpu:LPE509_01020
ko:K12060	lpu:LPE509_01021
ko:K12059	lpu:LPE509_01022
ko:K12058	lpu:LPE509_01023
ko:K12057	lpu:LPE509_01024
ko:K12072	lpu:LPE509_01026
ko:K12056	lpu:LPE509_01027
ko:K03205	lpu:LPE509_01063
ko:K03111	lpu:LPE509_02222
ko:K03502	lpu:LPE509_02227
ko:K03503	lpu:LPE509_02228
ko:K03503	lpu:LPE509_01489
ko:K03502	lpu:LPE509_01490
ko:K03497	lpu:LPE509_00133
ko:K03496	lpu:LPE509_00134
ko:K03169	lpu:LPE509_p00031
ko:K03205	lpu:LPE509_p00033
ko:K03496	lpu:LPE509_p00057
ko:K03646	lpu:LPE509_01627
ko:K12203	lpu:LPE509_00354
ko:K12204	lpu:LPE509_00355
ko:K03497	lpu:LPE509_00448
ko:K12206	lpu:LPE509_02766
ko:K12209	lpu:LPE509_02771
ko:K12213	lpu:LPE509_02772
ko:K12214	lpu:LPE509_02773
