ko:K19079	sauv:SAI7S6_1005120
ko:K11695	sauv:SAI7S6_1009910
ko:K02034	sauv:SAI7S6_1009970
ko:K02033	sauv:SAI7S6_1009980
ko:K02039	sauv:SAI7S6_1010000
ko:K02036	sauv:SAI7S6_1010010
ko:K02038	sauv:SAI7S6_1010020
ko:K02037	sauv:SAI7S6_1010030
ko:K02040	sauv:SAI7S6_1010040
ko:K00243	sauv:SAI7S6_1010050
ko:K00928	sauv:SAI7S6_1010070
ko:K00133	sauv:SAI7S6_1010080
ko:K01714	sauv:SAI7S6_1010090
ko:K00215	sauv:SAI7S6_1010100
ko:K05822	sauv:SAI7S6_1010110
ko:K01775	sauv:SAI7S6_1010130
ko:K01586	sauv:SAI7S6_1010140
ko:K03311	sauv:SAI7S6_1010170
ko:K00658	sauv:SAI7S6_1010210
ko:K00164	sauv:SAI7S6_1010220
ko:K00116	sauv:SAI7S6_1017530
ko:K03303	sauv:SAI7S6_1017540
ko:K02809	sauv:SAI7S6_1017630
ko:K02810	sauv:SAI7S6_1017630
ko:K11102	sauv:SAI7S6_1017660
ko:K10850	sauv:SAI7S6_1017680
ko:K07696	sauv:SAI7S6_1017710
ko:K07683	sauv:SAI7S6_1017720
ko:K00374	sauv:SAI7S6_1017730
ko:K00373	sauv:SAI7S6_1017740
ko:K00371	sauv:SAI7S6_1017750
ko:K00370	sauv:SAI7S6_1017760
ko:K02303	sauv:SAI7S6_1017770
ko:K00362	sauv:SAI7S6_1017780
ko:K09815	sauv:SAI7S6_1017830
ko:K10010	sauv:SAI7S6_1017870
ko:K10009	sauv:SAI7S6_1017880
ko:K02424	sauv:SAI7S6_1017890
ko:K01834	sauv:SAI7S6_1017910
ko:K14197	sauv:SAI7S6_1017930
ko:K00652	sauv:SAI7S6_1017990
ko:K01012	sauv:SAI7S6_1018000
ko:K00833	sauv:SAI7S6_1018010
ko:K16899	sauv:SAI7S6_1006780
ko:K16898	sauv:SAI7S6_1006790
ko:K08255	sauv:SAI7S6_1006810
ko:K03695	sauv:SAI7S6_1006840
ko:K06910	sauv:SAI7S6_1006890
ko:K00648	sauv:SAI7S6_1006900
ko:K09458	sauv:SAI7S6_1006910
ko:K15581	sauv:SAI7S6_1006920
ko:K15582	sauv:SAI7S6_1006930
ko:K15583	sauv:SAI7S6_1006940
ko:K10823	sauv:SAI7S6_1006950
ko:K15580	sauv:SAI7S6_1006960
ko:K02035	sauv:SAI7S6_1006970
ko:K02033	sauv:SAI7S6_1007000
ko:K02034	sauv:SAI7S6_1007010
ko:K01867	sauv:SAI7S6_1007020
ko:K16511	sauv:SAI7S6_1007030
ko:K06198	sauv:SAI7S6_1007040
ko:K08602	sauv:SAI7S6_1007050
ko:K07816	sauv:SAI7S6_1007080
ko:K00858	sauv:SAI7S6_1007090
ko:K06180	sauv:SAI7S6_1007100
ko:K06213	sauv:SAI7S6_1007110
ko:K03455	sauv:SAI7S6_1007130
ko:K00208	sauv:SAI7S6_1007140
ko:K03310	sauv:SAI7S6_1007160
ko:K05362	sauv:SAI7S6_1007210
ko:K02837	sauv:SAI7S6_1007220
ko:K01992	sauv:SAI7S6_1014660
ko:K01990	sauv:SAI7S6_1014670
ko:K01990	sauv:SAI7S6_1014690
ko:K04077	sauv:SAI7S6_1014900
ko:K07052	sauv:SAI7S6_1014910
ko:K07078	sauv:SAI7S6_1014930
ko:K07813	sauv:SAI7S6_1014950
ko:K07706	sauv:SAI7S6_1014960
ko:K07707	sauv:SAI7S6_1014970
ko:K00847	sauv:SAI7S6_1014980
ko:K01193	sauv:SAI7S6_1014990
ko:K03484	sauv:SAI7S6_1015000
ko:K03320	sauv:SAI7S6_1015010
ko:K07112	sauv:SAI7S6_1015020
ko:K01926	sauv:SAI7S6_1015030
ko:K06158	sauv:SAI7S6_1015040
ko:K01409	sauv:SAI7S6_1015060
ko:K06925	sauv:SAI7S6_1015080
ko:K01687	sauv:SAI7S6_1015090
ko:K01652	sauv:SAI7S6_1015100
ko:K05577	sauv:SAI7S6_1003290
ko:K09822	sauv:SAI7S6_1003300
ko:K03928	sauv:SAI7S6_1003330
ko:K03308	sauv:SAI7S6_1003340
ko:K17216	sauv:SAI7S6_1003350
ko:K17217	sauv:SAI7S6_1003360
ko:K02071	sauv:SAI7S6_1003370
ko:K02072	sauv:SAI7S6_1003380
ko:K02073	sauv:SAI7S6_1003390
ko:K00265	sauv:SAI7S6_1003450
ko:K00266	sauv:SAI7S6_1003460
ko:K02818	sauv:SAI7S6_1003480
ko:K02819	sauv:SAI7S6_1003480
ko:K01226	sauv:SAI7S6_1003490
ko:K03486	sauv:SAI7S6_1003500
ko:K02343	sauv:SAI7S6_1003520
ko:K06187	sauv:SAI7S6_1003530
ko:K00943	sauv:SAI7S6_1003580
ko:K02341	sauv:SAI7S6_1003590
ko:K07056	sauv:SAI7S6_1003620
ko:K01874	sauv:SAI7S6_1003630
ko:K03424	sauv:SAI7S6_1003640
ko:K05985	sauv:SAI7S6_1003650
ko:K02528	sauv:SAI7S6_1003660
ko:K02244	sauv:SAI7S6_1011210
ko:K02243	sauv:SAI7S6_1011220
ko:K00845	sauv:SAI7S6_1011240
ko:K12553	sauv:SAI7S6_1011270
ko:K04564	sauv:SAI7S6_1011280
ko:K09816	sauv:SAI7S6_1011290
ko:K09817	sauv:SAI7S6_1011300
ko:K01151	sauv:SAI7S6_1011310
ko:K06967	sauv:SAI7S6_1011340
ko:K03086	sauv:SAI7S6_1011350
ko:K09773	sauv:SAI7S6_1011370
ko:K01880	sauv:SAI7S6_1011390
ko:K03584	sauv:SAI7S6_1011400
ko:K09761	sauv:SAI7S6_1011470
ko:K02687	sauv:SAI7S6_1011480
ko:K03686	sauv:SAI7S6_1011490
ko:K04043	sauv:SAI7S6_1011500
ko:K03687	sauv:SAI7S6_1011510
ko:K03705	sauv:SAI7S6_1011520
ko:K03596	sauv:SAI7S6_1011540
ko:K02340	sauv:SAI7S6_1011550
ko:K02238	sauv:SAI7S6_1011560
ko:K02237	sauv:SAI7S6_1011580
ko:K00969	sauv:SAI7S6_1011610
ko:K00014	sauv:SAI7S6_1011620
ko:K06948	sauv:SAI7S6_1011630
ko:K07015	sauv:SAI7S6_1011640
ko:K01243	sauv:SAI7S6_1011650
ko:K00294	sauv:SAI7S6_1019010
ko:K17686	sauv:SAI7S6_1019030
ko:K03778	sauv:SAI7S6_1019040
ko:K10209	sauv:SAI7S6_1019060
ko:K10208	sauv:SAI7S6_1019070
ko:K10211	sauv:SAI7S6_1019080
ko:K10210	sauv:SAI7S6_1019090
ko:K10212	sauv:SAI7S6_1019100
ko:K07035	sauv:SAI7S6_1019150
ko:K07045	sauv:SAI7S6_1019210
ko:K00226	sauv:SAI7S6_1019270
ko:K09765	sauv:SAI7S6_1019280
ko:K06978	sauv:SAI7S6_1019300
ko:K04763	sauv:SAI7S6_1019370
ko:K01918	sauv:SAI7S6_1019390
ko:K00606	sauv:SAI7S6_1019400
ko:K00077	sauv:SAI7S6_1019410
ko:K01575	sauv:SAI7S6_1019420
ko:K00016	sauv:SAI7S6_1019430
ko:K03294	sauv:SAI7S6_1019440
ko:K00823	sauv:SAI7S6_1019450
ko:K01623	sauv:SAI7S6_1019460
ko:K00116	sauv:SAI7S6_1019470
ko:K00865	sauv:SAI7S6_1005770
ko:K01258	sauv:SAI7S6_1005780
ko:K02851	sauv:SAI7S6_1005820
ko:K02240	sauv:SAI7S6_1005850
ko:K02242	sauv:SAI7S6_1005860
ko:K03070	sauv:SAI7S6_1005880
ko:K02836	sauv:SAI7S6_1005890
ko:K07023	sauv:SAI7S6_1005910
ko:K03702	sauv:SAI7S6_1005920
ko:K03701	sauv:SAI7S6_1005930
ko:K06023	sauv:SAI7S6_1005940
ko:K13292	sauv:SAI7S6_1005950
ko:K00384	sauv:SAI7S6_1005980
ko:K09762	sauv:SAI7S6_1006010
ko:K01358	sauv:SAI7S6_1006030
ko:K07071	sauv:SAI7S6_1006040
ko:K05311	sauv:SAI7S6_1006060
ko:K00134	sauv:SAI7S6_1006070
ko:K00927	sauv:SAI7S6_1006080
ko:K01803	sauv:SAI7S6_1006090
ko:K15633	sauv:SAI7S6_1006100
ko:K01689	sauv:SAI7S6_1006110
ko:K03928	sauv:SAI7S6_1006130
ko:K12573	sauv:SAI7S6_1006140
ko:K06895	sauv:SAI7S6_1006260
ko:K07533	sauv:SAI7S6_1013620
ko:K03698	sauv:SAI7S6_1013630
ko:K06180	sauv:SAI7S6_1013710
ko:K01679	sauv:SAI7S6_1013720
ko:K03216	sauv:SAI7S6_1013740
ko:K02028	sauv:SAI7S6_1013760
ko:K02029	sauv:SAI7S6_1013770
ko:K02030	sauv:SAI7S6_1013770
ko:K07035	sauv:SAI7S6_1013780
ko:K03564	sauv:SAI7S6_1014100
ko:K01845	sauv:SAI7S6_1014110
ko:K11085	sauv:SAI7S6_1014130
ko:K02529	sauv:SAI7S6_1002110
ko:K01442	sauv:SAI7S6_1002130
ko:K01990	sauv:SAI7S6_1002150
ko:K01992	sauv:SAI7S6_1002160
ko:K01992	sauv:SAI7S6_1002170
ko:K03466	sauv:SAI7S6_1002220
ko:K03311	sauv:SAI7S6_1002320
ko:K02004	sauv:SAI7S6_1002340
ko:K02003	sauv:SAI7S6_1002350
ko:K16329	sauv:SAI7S6_1002380
ko:K03307	sauv:SAI7S6_1002400
ko:K01639	sauv:SAI7S6_1002410
ko:K01788	sauv:SAI7S6_1002440
ko:K03800	sauv:SAI7S6_1002520
ko:K03475	sauv:SAI7S6_1002540
ko:K02445	sauv:SAI7S6_1002570
ko:K00299	sauv:SAI7S6_1002600
ko:K02563	sauv:SAI7S6_1010260
ko:K03797	sauv:SAI7S6_1010280
ko:K07304	sauv:SAI7S6_1010300
ko:K09125	sauv:SAI7S6_1010350
ko:K08170	sauv:SAI7S6_1010380
ko:K03294	sauv:SAI7S6_1010390
ko:K01754	sauv:SAI7S6_1010400
ko:K00259	sauv:SAI7S6_1010410
ko:K07444	sauv:SAI7S6_1010450
ko:K03700	sauv:SAI7S6_1010470
ko:K05366	sauv:SAI7S6_1010480
ko:K10773	sauv:SAI7S6_1010490
ko:K02086	sauv:SAI7S6_1010500
ko:K01893	sauv:SAI7S6_1010510
ko:K03524	sauv:SAI7S6_1010530
ko:K00974	sauv:SAI7S6_1010540
ko:K06973	sauv:SAI7S6_1010560
ko:K00800	sauv:SAI7S6_1010600
ko:K01735	sauv:SAI7S6_1010610
ko:K01736	sauv:SAI7S6_1010620
ko:K00940	sauv:SAI7S6_1010630
ko:K00805	sauv:SAI7S6_1010640
ko:K03183	sauv:SAI7S6_1010650
ko:K00057	sauv:SAI7S6_1010670
ko:K03977	sauv:SAI7S6_1010680
ko:K02945	sauv:SAI7S6_1010690
ko:K00945	sauv:SAI7S6_1010700
ko:K01424	sauv:SAI7S6_1010710
ko:K01935	sauv:SAI7S6_1018020
ko:K06147	sauv:SAI7S6_1018030
ko:K06147	sauv:SAI7S6_1018040
ko:K00865	sauv:SAI7S6_1018050
ko:K11737	sauv:SAI7S6_1018110
ko:K00077	sauv:SAI7S6_1018160
ko:K08170	sauv:SAI7S6_1018170
ko:K05846	sauv:SAI7S6_1018180
ko:K05845	sauv:SAI7S6_1018190
ko:K05846	sauv:SAI7S6_1018200
ko:K05847	sauv:SAI7S6_1018210
ko:K02016	sauv:SAI7S6_1004710
ko:K02015	sauv:SAI7S6_1004720
ko:K07025	sauv:SAI7S6_1004730
ko:K09936	sauv:SAI7S6_1004780
ko:K05565	sauv:SAI7S6_1004800
ko:K05568	sauv:SAI7S6_1004810
ko:K05569	sauv:SAI7S6_1004820
ko:K05571	sauv:SAI7S6_1004830
ko:K03316	sauv:SAI7S6_1004840
ko:K03709	sauv:SAI7S6_1004890
ko:K05946	sauv:SAI7S6_1004910
ko:K09693	sauv:SAI7S6_1004920
ko:K07258	sauv:SAI7S6_1004960
ko:K18104	sauv:SAI7S6_1004970
ko:K16323	sauv:SAI7S6_1004980
ko:K02013	sauv:SAI7S6_1005000
ko:K02015	sauv:SAI7S6_1005010
ko:K02015	sauv:SAI7S6_1005020
ko:K05878	sauv:SAI7S6_1005030
ko:K05879	sauv:SAI7S6_1005040
ko:K07220	sauv:SAI7S6_1005140
ko:K03306	sauv:SAI7S6_1005150
ko:K06890	sauv:SAI7S6_1005170
ko:K09705	sauv:SAI7S6_1005200
ko:K09793	sauv:SAI7S6_1005240
ko:K00058	sauv:SAI7S6_1012630
ko:K02803	sauv:SAI7S6_1012650
ko:K02804	sauv:SAI7S6_1012650
ko:K00655	sauv:SAI7S6_1012660
ko:K01866	sauv:SAI7S6_1012680
ko:K12551	sauv:SAI7S6_1012690
ko:K01938	sauv:SAI7S6_1012710
ko:K01895	sauv:SAI7S6_1012720
ko:K04766	sauv:SAI7S6_1012730
ko:K04768	sauv:SAI7S6_1012740
ko:K02529	sauv:SAI7S6_1012750
ko:K13853	sauv:SAI7S6_1012760
ko:K01924	sauv:SAI7S6_1012790
ko:K03466	sauv:SAI7S6_1012800
ko:K06878	sauv:SAI7S6_1012810
ko:K01261	sauv:SAI7S6_1012830
ko:K03439	sauv:SAI7S6_1012850
ko:K00824	sauv:SAI7S6_1012870
ko:K01439	sauv:SAI7S6_1012880
ko:K06183	sauv:SAI7S6_1012890
ko:K07007	sauv:SAI7S6_1012910
ko:K01869	sauv:SAI7S6_1012930
ko:K07139	sauv:SAI7S6_1012950
ko:K00318	sauv:SAI7S6_1012990
ko:K14652	sauv:SAI7S6_1013000
ko:K00793	sauv:SAI7S6_1013010
ko:K11752	sauv:SAI7S6_1013020
ko:K03893	sauv:SAI7S6_1013040
ko:K07052	sauv:SAI7S6_1013080
ko:K00616	sauv:SAI7S6_1013090
ko:K08167	sauv:SAI7S6_20080
ko:K03929	sauv:SAI7S6_1018240
ko:K02069	sauv:SAI7S6_1018260
ko:K02068	sauv:SAI7S6_1018270
ko:K10824	sauv:SAI7S6_1018330
ko:K15587	sauv:SAI7S6_1018340
ko:K15586	sauv:SAI7S6_1018350
ko:K15585	sauv:SAI7S6_1018360
ko:K15584	sauv:SAI7S6_1018370
ko:K12942	sauv:SAI7S6_1018430
ko:K03817	sauv:SAI7S6_1002630
ko:K07224	sauv:SAI7S6_1002640
ko:K16301	sauv:SAI7S6_1002650
ko:K07243	sauv:SAI7S6_1002660
ko:K03118	sauv:SAI7S6_1002670
ko:K01990	sauv:SAI7S6_1002690
ko:K00626	sauv:SAI7S6_1002720
ko:K00549	sauv:SAI7S6_1002740
ko:K01760	sauv:SAI7S6_1002760
ko:K01739	sauv:SAI7S6_1002770
ko:K06942	sauv:SAI7S6_1002800
ko:K01834	sauv:SAI7S6_1002850
ko:K03387	sauv:SAI7S6_1002870
ko:K03386	sauv:SAI7S6_1002880
ko:K06956	sauv:SAI7S6_1002900
ko:K03816	sauv:SAI7S6_1002950
ko:K16169	sauv:SAI7S6_1002960
ko:K00088	sauv:SAI7S6_1002970
ko:K01951	sauv:SAI7S6_1002980
ko:K11042	sauv:SAI7S6_1003020
ko:K03427	sauv:SAI7S6_1003120
ko:K01154	sauv:SAI7S6_1003130
ko:K03654	sauv:SAI7S6_1010740
ko:K07651	sauv:SAI7S6_1010830
ko:K07775	sauv:SAI7S6_1010840
ko:K06178	sauv:SAI7S6_1010850
ko:K06024	sauv:SAI7S6_1010860
ko:K05896	sauv:SAI7S6_1010870
ko:K09763	sauv:SAI7S6_1010880
ko:K04763	sauv:SAI7S6_1010890
ko:K01515	sauv:SAI7S6_1010900
ko:K07124	sauv:SAI7S6_1010920
ko:K00286	sauv:SAI7S6_1010930
ko:K00784	sauv:SAI7S6_1010940
ko:K00036	sauv:SAI7S6_1010950
ko:K01187	sauv:SAI7S6_1010970
ko:K01745	sauv:SAI7S6_1000070
ko:K01875	sauv:SAI7S6_1000080
ko:K00641	sauv:SAI7S6_1000100
ko:K01939	sauv:SAI7S6_1000140
ko:K07668	sauv:SAI7S6_1000170
ko:K07652	sauv:SAI7S6_1000180
ko:K00783	sauv:SAI7S6_1000240
ko:K01126	sauv:SAI7S6_1000260
ko:K02545	sauv:SAI7S6_1000270
ko:K07090	sauv:SAI7S6_1000380
ko:K00712	sauv:SAI7S6_1000400
ko:K01929	sauv:SAI7S6_1000420
ko:K07090	sauv:SAI7S6_1000440
ko:K17218	sauv:SAI7S6_1000470
ko:K01771	sauv:SAI7S6_1000520
ko:K11032	sauv:SAI7S6_1008260
ko:K00611	sauv:SAI7S6_1008300
ko:K00926	sauv:SAI7S6_1008310
ko:K11041	sauv:SAI7S6_1008330
ko:K07025	sauv:SAI7S6_1008350
ko:K03438	sauv:SAI7S6_1008370
ko:K12552	sauv:SAI7S6_1008380
ko:K01000	sauv:SAI7S6_1008390
ko:K01925	sauv:SAI7S6_1008400
ko:K03589	sauv:SAI7S6_1008410
ko:K03590	sauv:SAI7S6_1008420
ko:K03531	sauv:SAI7S6_1008430
ko:K05810	sauv:SAI7S6_1008440
ko:K06997	sauv:SAI7S6_1008450
ko:K09772	sauv:SAI7S6_1008460
ko:K04074	sauv:SAI7S6_1008480
ko:K01870	sauv:SAI7S6_1008490
ko:K03101	sauv:SAI7S6_1008500
ko:K06180	sauv:SAI7S6_1008510
ko:K02825	sauv:SAI7S6_1008520
ko:K02824	sauv:SAI7S6_1008530
ko:K00609	sauv:SAI7S6_1008540
ko:K01465	sauv:SAI7S6_1008550
ko:K01956	sauv:SAI7S6_1008560
ko:K01955	sauv:SAI7S6_1008570
ko:K01591	sauv:SAI7S6_1008580
ko:K00762	sauv:SAI7S6_1008590
ko:K00942	sauv:SAI7S6_1008610
ko:K13038	sauv:SAI7S6_1008620
ko:K04066	sauv:SAI7S6_1008630
ko:K01462	sauv:SAI7S6_1008650
ko:K00604	sauv:SAI7S6_1008660
ko:K03500	sauv:SAI7S6_1008670
ko:K06941	sauv:SAI7S6_1008680
ko:K06949	sauv:SAI7S6_1008710
ko:K01783	sauv:SAI7S6_1008720
ko:K07030	sauv:SAI7S6_1008740
ko:K03655	sauv:SAI7S6_1008750
ko:K03593	sauv:SAI7S6_1016080
ko:K11068	sauv:SAI7S6_1016130
ko:K07038	sauv:SAI7S6_1016150
ko:K02015	sauv:SAI7S6_1016170
ko:K02015	sauv:SAI7S6_1016180
ko:K02016	sauv:SAI7S6_1016190
ko:K01220	sauv:SAI7S6_1016300
ko:K02787	sauv:SAI7S6_1016310
ko:K02788	sauv:SAI7S6_1016310
ko:K01635	sauv:SAI7S6_1016320
ko:K00917	sauv:SAI7S6_1016330
ko:K01819	sauv:SAI7S6_1016340
ko:K02530	sauv:SAI7S6_1016350
ko:K12410	sauv:SAI7S6_1016360
ko:K01727	sauv:SAI7S6_1016390
ko:K01575	sauv:SAI7S6_1016420
ko:K01652	sauv:SAI7S6_1016430
ko:K06173	sauv:SAI7S6_1016490
ko:K16785	sauv:SAI7S6_1016500
ko:K16787	sauv:SAI7S6_1016510
ko:K16786	sauv:SAI7S6_1016520
ko:K03040	sauv:SAI7S6_1016530
ko:K08170	sauv:SAI7S6_1000600
ko:K03324	sauv:SAI7S6_1000610
ko:K10254	sauv:SAI7S6_1000620
ko:K03303	sauv:SAI7S6_1000660
ko:K14196	sauv:SAI7S6_1000670
ko:K02015	sauv:SAI7S6_1000690
ko:K02015	sauv:SAI7S6_1000700
ko:K02016	sauv:SAI7S6_1000710
ko:K01586	sauv:SAI7S6_1000790
ko:K03366	sauv:SAI7S6_1000820
ko:K01784	sauv:SAI7S6_1000830
ko:K04564	sauv:SAI7S6_1000880
ko:K03784	sauv:SAI7S6_1000910
ko:K01619	sauv:SAI7S6_1000930
ko:K01839	sauv:SAI7S6_1000940
ko:K02042	sauv:SAI7S6_1000950
ko:K02042	sauv:SAI7S6_1000960
ko:K02041	sauv:SAI7S6_1000970
ko:K02044	sauv:SAI7S6_1000980
ko:K04072	sauv:SAI7S6_1001030
ko:K01104	sauv:SAI7S6_1001060
ko:K17716	sauv:SAI7S6_1001080
ko:K01791	sauv:SAI7S6_1001100
ko:K03621	sauv:SAI7S6_1008770
ko:K00645	sauv:SAI7S6_1008780
ko:K00059	sauv:SAI7S6_1008790
ko:K03685	sauv:SAI7S6_1008800
ko:K03529	sauv:SAI7S6_1008810
ko:K03110	sauv:SAI7S6_1008820
ko:K03106	sauv:SAI7S6_1008830
ko:K02860	sauv:SAI7S6_1008840
ko:K00554	sauv:SAI7S6_1008850
ko:K14540	sauv:SAI7S6_1008870
ko:K03470	sauv:SAI7S6_1008880
ko:K01903	sauv:SAI7S6_1008890
ko:K01902	sauv:SAI7S6_1008900
ko:K04096	sauv:SAI7S6_1008930
ko:K03168	sauv:SAI7S6_1008940
ko:K04094	sauv:SAI7S6_1008950
ko:K03733	sauv:SAI7S6_1008960
ko:K01419	sauv:SAI7S6_1008970
ko:K03667	sauv:SAI7S6_1008980
ko:K03706	sauv:SAI7S6_1008990
ko:K02967	sauv:SAI7S6_1009000
ko:K02357	sauv:SAI7S6_1009010
ko:K09903	sauv:SAI7S6_1009020
ko:K02838	sauv:SAI7S6_1009030
ko:K00806	sauv:SAI7S6_1009040
ko:K00981	sauv:SAI7S6_1009050
ko:K11749	sauv:SAI7S6_1009060
ko:K01881	sauv:SAI7S6_1009070
ko:K03763	sauv:SAI7S6_1009080
ko:K09748	sauv:SAI7S6_1009090
ko:K02600	sauv:SAI7S6_1009100
ko:K02519	sauv:SAI7S6_1009120
ko:K03177	sauv:SAI7S6_1009130
ko:K11753	sauv:SAI7S6_1009140
ko:K00962	sauv:SAI7S6_1009150
ko:K12574	sauv:SAI7S6_1009160
ko:K03466	sauv:SAI7S6_1009170
ko:K00059	sauv:SAI7S6_1009210
ko:K00995	sauv:SAI7S6_1009230
ko:K00939	sauv:SAI7S6_1016540
ko:K03076	sauv:SAI7S6_1016550
ko:K02988	sauv:SAI7S6_1016560
ko:K02933	sauv:SAI7S6_1016570
ko:K02931	sauv:SAI7S6_1016580
ko:K02982	sauv:SAI7S6_1016600
ko:K02886	sauv:SAI7S6_1016610
ko:K02926	sauv:SAI7S6_1016620
ko:K02906	sauv:SAI7S6_1016630
ko:K06901	sauv:SAI7S6_1016640
ko:K05340	sauv:SAI7S6_1016670
ko:K07088	sauv:SAI7S6_1016680
ko:K11693	sauv:SAI7S6_1016700
ko:K03639	sauv:SAI7S6_1016730
ko:K03752	sauv:SAI7S6_1016740
ko:K03753	sauv:SAI7S6_1016750
ko:K03750	sauv:SAI7S6_1016760
ko:K03637	sauv:SAI7S6_1016770
ko:K03638	sauv:SAI7S6_1016780
ko:K02017	sauv:SAI7S6_1016800
ko:K02018	sauv:SAI7S6_1016810
ko:K02020	sauv:SAI7S6_1016820
ko:K02379	sauv:SAI7S6_1016830
ko:K03523	sauv:SAI7S6_1016850
ko:K02016	sauv:SAI7S6_1016870
ko:K08717	sauv:SAI7S6_1016890
ko:K01428	sauv:SAI7S6_1016900
ko:K03188	sauv:SAI7S6_1016920
ko:K03189	sauv:SAI7S6_1016930
ko:K03190	sauv:SAI7S6_1016940
ko:K03315	sauv:SAI7S6_1016980
ko:K00681	sauv:SAI7S6_1001560
ko:K14221	sauv:SAI7S6_1000160
ko:K14221	sauv:SAI7S6_1013930
ko:K14221	sauv:SAI7S6_1013520
ko:K14221	sauv:SAI7S6_1013900
ko:K14233	sauv:SAI7S6_1003470
ko:K14233	sauv:SAI7S6_1013940
ko:K14233	sauv:SAI7S6_1013920
ko:K14233	sauv:SAI7S6_1007270
ko:K14233	sauv:SAI7S6_1013460
ko:K14227	sauv:SAI7S6_1003550
ko:K14227	sauv:SAI7S6_1014070
ko:K14227	sauv:SAI7S6_1003920
ko:K14218	sauv:SAI7S6_1003560
ko:K14218	sauv:SAI7S6_1013970
ko:K14218	sauv:SAI7S6_1003900
ko:K14218	sauv:SAI7S6_1014060
ko:K14218	sauv:SAI7S6_1003930
ko:K14237	sauv:SAI7S6_1003830
ko:K14237	sauv:SAI7S6_1016040
ko:K14237	sauv:SAI7S6_1014050
ko:K14234	sauv:SAI7S6_1003840
ko:K14234	sauv:SAI7S6_1013880
ko:K14234	sauv:SAI7S6_1014040
ko:K14225	sauv:SAI7S6_1003860
ko:K14225	sauv:SAI7S6_1014010
ko:K14224	sauv:SAI7S6_1000150
ko:K14224	sauv:SAI7S6_1016050
ko:K14224	sauv:SAI7S6_1013470
ko:K14225	sauv:SAI7S6_1013810
ko:K14225	sauv:SAI7S6_1013820
ko:K14228	sauv:SAI7S6_1013800
ko:K14219	sauv:SAI7S6_1003880
ko:K14219	sauv:SAI7S6_1013990
ko:K14219	sauv:SAI7S6_1006020
ko:K14219	sauv:SAI7S6_1008340
ko:K14220	sauv:SAI7S6_1007280
ko:K14220	sauv:SAI7S6_1013480
ko:K14220	sauv:SAI7S6_1016060
ko:K14225	sauv:SAI7S6_1013490
ko:K14225	sauv:SAI7S6_1015180
ko:K14235	sauv:SAI7S6_1013860
ko:K14236	sauv:SAI7S6_1013870
ko:K14236	sauv:SAI7S6_1016030
ko:K14228	sauv:SAI7S6_1014020
ko:K14228	sauv:SAI7S6_1003870
ko:K14228	sauv:SAI7S6_1014000
ko:K14231	sauv:SAI7S6_1013510
ko:K14231	sauv:SAI7S6_1013890
ko:K14230	sauv:SAI7S6_1013530
ko:K14230	sauv:SAI7S6_1013910
ko:K14230	sauv:SAI7S6_1013960
ko:K14222	sauv:SAI7S6_1013830
ko:K14232	sauv:SAI7S6_1003890
ko:K14232	sauv:SAI7S6_1013980
ko:K14230	sauv:SAI7S6_1013950
ko:K14223	sauv:SAI7S6_1013840
ko:K14223	sauv:SAI7S6_1016020
ko:K01977	sauv:SAI7S6_1016070
ko:K01977	sauv:SAI7S6_1015170
ko:K01977	sauv:SAI7S6_1003540
ko:K01977	sauv:SAI7S6_1014080
ko:K01977	sauv:SAI7S6_1003910
ko:K14229	sauv:SAI7S6_1003850
ko:K14229	sauv:SAI7S6_1014030
ko:K14229	sauv:SAI7S6_1016010
ko:K14226	sauv:SAI7S6_1013500
ko:K14226	sauv:SAI7S6_1013850
ko:K14228	sauv:SAI7S6_1015190
ko:K07705	sauv:SAI7S6_1002020
ko:K18707	sauv:SAI7S6_1011460
ko:K02547	sauv:SAI7S6_1000280
ko:K18766	sauv:SAI7S6_20030
ko:K05592	sauv:SAI7S6_1015340
ko:K18672	sauv:SAI7S6_1015990
ko:K18704	sauv:SAI7S6_1001940
ko:K18682	sauv:SAI7S6_1009260
ko:K18692	sauv:SAI7S6_1011320
ko:K19279	sauv:SAI7S6_1012020
ko:K19279	sauv:SAI7S6_1015860
ko:K19279	sauv:SAI7S6_1019350
ko:K09692	sauv:SAI7S6_1014170
ko:K18941	sauv:SAI7S6_1010240
ko:K18908	sauv:SAI7S6_1002560
ko:K04940	sauv:SAI7S6_1016990
ko:K18907	sauv:SAI7S6_1000640
ko:K03497	sauv:SAI7S6_1020340
ko:K02172	sauv:SAI7S6_20040
ko:K11040	sauv:SAI7S6_1013410
ko:K11040	sauv:SAI7S6_1013420
ko:K11040	sauv:SAI7S6_1013430
ko:K11040	sauv:SAI7S6_1013440
ko:K11040	sauv:SAI7S6_1013450
ko:K14201	sauv:SAI7S6_1006190
ko:K11040	sauv:SAI7S6_1014740
ko:K03169	sauv:SAI7S6_1016650
ko:K03502	sauv:SAI7S6_1009810
ko:K03497	sauv:SAI7S6_1002780
ko:K03111	sauv:SAI7S6_1002810
ko:K09145	sauv:SAI7S6_1005210
ko:K07029	sauv:SAI7S6_1014400
ko:K01271	sauv:SAI7S6_1012480
ko:K18979	sauv:SAI7S6_1013750
ko:K00949	sauv:SAI7S6_1008730
ko:K01318	sauv:SAI7S6_1013290
ko:K01318	sauv:SAI7S6_1007420
ko:K07498	sauv:SAI7S6_20130
ko:K07816	sauv:SAI7S6_1018660
