ko:K07062	xcr:J163_04448
ko:K11004	xcr:J163_02349
ko:K07733	xcr:J163_02350
ko:K12055	xcr:J163_02351
ko:K03111	xcr:J163_02358
ko:K03169	xcr:J163_02359
ko:K07483	xcr:J163_02373
ko:K11939	xcr:J163_02375
ko:K00355	xcr:J163_02378
ko:K00799	xcr:J163_02379
ko:K03449	xcr:J163_02383
ko:K12262	xcr:J163_03194
ko:K01752	xcr:J163_03197
ko:K00003	xcr:J163_03199
ko:K01739	xcr:J163_03200
ko:K00641	xcr:J163_03201
ko:K02837	xcr:J163_03204
ko:K11068	xcr:J163_03205
ko:K07290	xcr:J163_03206
ko:K03814	xcr:J163_03209
ko:K04083	xcr:J163_03210
ko:K02014	xcr:J163_03212
ko:K06445	xcr:J163_03216
ko:K08987	xcr:J163_03217
ko:K03301	xcr:J163_03218
ko:K01467	xcr:J163_03219
ko:K02437	xcr:J163_03221
ko:K00605	xcr:J163_03222
ko:K07340	xcr:J163_03223
ko:K09771	xcr:J163_03225
ko:K04765	xcr:J163_03226
ko:K01082	xcr:J163_03227
ko:K08312	xcr:J163_03228
ko:K00833	xcr:J163_03229
ko:K09761	xcr:J163_03230
ko:K00845	xcr:J163_03231
ko:K02014	xcr:J163_03232
ko:K01206	xcr:J163_03233
ko:K12373	xcr:J163_03235
ko:K01192	xcr:J163_03236
ko:K05349	xcr:J163_03237
ko:K12308	xcr:J163_03239
ko:K09001	xcr:J163_04050
ko:K08218	xcr:J163_04052
ko:K01142	xcr:J163_04053
ko:K00762	xcr:J163_04054
ko:K03496	xcr:J163_04056
ko:K03497	xcr:J163_04057
ko:K08679	xcr:J163_04059
ko:K00721	xcr:J163_04060
ko:K15778	xcr:J163_04063
ko:K13038	xcr:J163_04065
ko:K03630	xcr:J163_04066
ko:K01887	xcr:J163_04067
ko:K02364	xcr:J163_04073
ko:K01585	xcr:J163_04074
ko:K00797	xcr:J163_04075
ko:K01197	xcr:J163_04079
ko:K04751	xcr:J163_04080
ko:K09806	xcr:J163_04081
ko:K07391	xcr:J163_04082
ko:K03098	xcr:J163_04083
ko:K00508	xcr:J163_04086
ko:K14415	xcr:J163_04094
ko:K06889	xcr:J163_04096
ko:K07071	xcr:J163_04102
ko:K00449	xcr:J163_00485
ko:K00448	xcr:J163_00486
ko:K01857	xcr:J163_00487
ko:K01055	xcr:J163_00488
ko:K01607	xcr:J163_00489
ko:K02624	xcr:J163_00491
ko:K07178	xcr:J163_00492
ko:K03495	xcr:J163_00495
ko:K01754	xcr:J163_00497
ko:K02169	xcr:J163_00501
ko:K00059	xcr:J163_00502
ko:K02170	xcr:J163_00503
ko:K00652	xcr:J163_00505
ko:K01012	xcr:J163_00506
ko:K03179	xcr:J163_00508
ko:K18376	xcr:J163_00512
ko:K03220	xcr:J163_00518
ko:K03227	xcr:J163_00520
ko:K03226	xcr:J163_00521
ko:K03225	xcr:J163_00522
ko:K18381	xcr:J163_00523
ko:K03230	xcr:J163_00524
ko:K03229	xcr:J163_00525
ko:K18373	xcr:J163_00526
ko:K18374	xcr:J163_00527
ko:K03222	xcr:J163_00528
ko:K03223	xcr:J163_00530
ko:K03224	xcr:J163_00531
ko:K03228	xcr:J163_00533
ko:K03219	xcr:J163_00534
ko:K03608	xcr:J163_01361
ko:K03609	xcr:J163_01362
ko:K03610	xcr:J163_01363
ko:K01247	xcr:J163_01369
ko:K07260	xcr:J163_01370
ko:K08289	xcr:J163_01374
ko:K10805	xcr:J163_01381
ko:K07107	xcr:J163_01384
ko:K03701	xcr:J163_01385
ko:K02888	xcr:J163_01386
ko:K02899	xcr:J163_01387
ko:K03979	xcr:J163_01388
ko:K02968	xcr:J163_01389
ko:K03980	xcr:J163_01390
ko:K11753	xcr:J163_01391
ko:K01870	xcr:J163_01392
ko:K03101	xcr:J163_01393
ko:K03527	xcr:J163_01394
ko:K02297	xcr:J163_01396
ko:K02298	xcr:J163_01397
ko:K02299	xcr:J163_01398
ko:K02300	xcr:J163_01399
ko:K04485	xcr:J163_01401
ko:K04079	xcr:J163_01405
ko:K17763	xcr:J163_01407
ko:K17762	xcr:J163_01408
ko:K17752	xcr:J163_01409
ko:K06980	xcr:J163_02220
ko:K00241	xcr:J163_02222
ko:K00242	xcr:J163_02223
ko:K00239	xcr:J163_02224
ko:K00240	xcr:J163_02226
ko:K09159	xcr:J163_02227
ko:K19168	xcr:J163_02228
ko:K09808	xcr:J163_02229
ko:K09810	xcr:J163_02230
ko:K02238	xcr:J163_02232
ko:K03561	xcr:J163_02233
ko:K03559	xcr:J163_02234
ko:K11085	xcr:J163_02235
ko:K00912	xcr:J163_02236
ko:K00979	xcr:J163_02237
ko:K01104	xcr:J163_02238
ko:K03703	xcr:J163_02240
ko:K00995	xcr:J163_02241
ko:K07483	xcr:J163_02250
ko:K02474	xcr:J163_02253
ko:K07007	xcr:J163_02254
ko:K03772	xcr:J163_02255
ko:K07146	xcr:J163_02257
ko:K08300	xcr:J163_02259
ko:K06179	xcr:J163_02260
ko:K07238	xcr:J163_02262
ko:K03832	xcr:J163_02263
ko:K01724	xcr:J163_02264
ko:K07400	xcr:J163_02265
ko:K02670	xcr:J163_03083
ko:K02669	xcr:J163_03084
ko:K06997	xcr:J163_03085
ko:K00286	xcr:J163_03086
ko:K05520	xcr:J163_03092
ko:K07117	xcr:J163_03093
ko:K09014	xcr:J163_03095
ko:K09013	xcr:J163_03096
ko:K09015	xcr:J163_03097
ko:K11717	xcr:J163_03098
ko:K16090	xcr:J163_03101
ko:K07126	xcr:J163_03103
ko:K09939	xcr:J163_03104
ko:K03734	xcr:J163_03107
ko:K00380	xcr:J163_03108
ko:K09975	xcr:J163_03110
ko:K02237	xcr:J163_03111
ko:K07102	xcr:J163_03114
ko:K10763	xcr:J163_03116
ko:K09938	xcr:J163_03118
ko:K01933	xcr:J163_03119
ko:K11175	xcr:J163_03121
ko:K00790	xcr:J163_03125
ko:K06041	xcr:J163_03127
ko:K03270	xcr:J163_03128
ko:K11719	xcr:J163_03129
ko:K09774	xcr:J163_03130
ko:K06861	xcr:J163_03131
ko:K03092	xcr:J163_03132
ko:K07560	xcr:J163_03939
ko:K02517	xcr:J163_03940
ko:K03823	xcr:J163_03941
ko:K01497	xcr:J163_03942
ko:K09167	xcr:J163_03943
ko:K08981	xcr:J163_03944
ko:K02847	xcr:J163_03947
ko:K03500	xcr:J163_03949
ko:K00604	xcr:J163_03950
ko:K01462	xcr:J163_03951
ko:K04096	xcr:J163_03953
ko:K03747	xcr:J163_03954
ko:K03168	xcr:J163_03957
ko:K07566	xcr:J163_03958
ko:K08081	xcr:J163_03961
ko:K04773	xcr:J163_03963
ko:K03327	xcr:J163_03964
ko:K04066	xcr:J163_03968
ko:K03885	xcr:J163_03972
ko:K03089	xcr:J163_03974
ko:K03648	xcr:J163_03975
ko:K09811	xcr:J163_03977
ko:K09812	xcr:J163_03978
ko:K03732	xcr:J163_03979
ko:K03671	xcr:J163_03980
ko:K03628	xcr:J163_03981
ko:K00906	xcr:J163_03982
ko:K00031	xcr:J163_03985
ko:K07012	xcr:J163_03987
ko:K19119	xcr:J163_03988
ko:K19117	xcr:J163_03989
ko:K19117	xcr:J163_03990
ko:K19118	xcr:J163_03991
ko:K07464	xcr:J163_03992
ko:K06954	xcr:J163_01520
ko:K01802	xcr:J163_01733
ko:K06148	xcr:J163_01846
ko:K13663	xcr:J163_02746
ko:K13661	xcr:J163_02749
ko:K19265	xcr:J163_03358
ko:K00839	xcr:J163_00415
ko:K00020	xcr:J163_01456
ko:K00118	xcr:J163_01011
ko:K07497	xcr:J163_01200
ko:K07497	xcr:J163_01234
ko:K07497	xcr:J163_02065
ko:K07497	xcr:J163_02069
ko:K07497	xcr:J163_00459
ko:K07497	xcr:J163_03056
ko:K07497	xcr:J163_03057
ko:K07497	xcr:J163_03916
ko:K07497	xcr:J163_03917
ko:K07497	xcr:J163_02247
ko:K07497	xcr:J163_02248
ko:K07497	xcr:J163_02249
ko:K07497	xcr:J163_02277
ko:K07497	xcr:J163_02318
ko:K07497	xcr:J163_02374
ko:K07497	xcr:J163_00695
ko:K07497	xcr:J163_01650
ko:K07497	xcr:J163_01651
ko:K07497	xcr:J163_02527
ko:K07497	xcr:J163_03383
ko:K07497	xcr:J163_02580
ko:K07497	xcr:J163_02581
ko:K07497	xcr:J163_03413
ko:K07497	xcr:J163_03442
ko:K07497	xcr:J163_03443
ko:K07497	xcr:J163_03478
ko:K07497	xcr:J163_04340
ko:K07497	xcr:J163_04456
ko:K07497	xcr:J163_00203
ko:K07497	xcr:J163_02771
ko:K07497	xcr:J163_02772
ko:K07497	xcr:J163_02801
ko:K07497	xcr:J163_03664
ko:K07497	xcr:J163_03665
ko:K07497	xcr:J163_00004
ko:K07497	xcr:J163_00005
ko:K07497	xcr:J163_02827
ko:K07497	xcr:J163_00267
ko:K07497	xcr:J163_01175
ko:K07497	xcr:J163_02016
ko:K07497	xcr:J163_00091
ko:K07497	xcr:J163_00092
ko:K07497	xcr:J163_00103
ko:K07497	xcr:J163_00104
ko:K19335	xcr:J163_01293
ko:K03722	xcr:J163_03265
ko:K03722	xcr:J163_04158
ko:K18323	xcr:J163_00444
ko:K18322	xcr:J163_00443
ko:K18240	xcr:J163_04231
ko:K01066	xcr:J163_00493
ko:K19267	xcr:J163_00454
ko:K00001	xcr:J163_02991
ko:K00035	xcr:J163_00918
ko:K19302	xcr:J163_01944
ko:K18321	xcr:J163_00442
ko:K04771	xcr:J163_01461
ko:K08646	xcr:J163_02928
ko:K19302	xcr:J163_01160
ko:K19336	xcr:J163_01292
ko:K06867	xcr:J163_04156
ko:K06867	xcr:J163_04211
ko:K00426	xcr:J163_02494
ko:K03449	xcr:J163_02497
ko:K06978	xcr:J163_02498
ko:K00147	xcr:J163_02499
ko:K00931	xcr:J163_02500
ko:K01755	xcr:J163_02502
ko:K00145	xcr:J163_02503
ko:K01438	xcr:J163_02506
ko:K01940	xcr:J163_02508
ko:K01883	xcr:J163_02511
ko:K02426	xcr:J163_02512
ko:K06204	xcr:J163_02514
ko:K08998	xcr:J163_02515
ko:K01465	xcr:J163_02516
ko:K03735	xcr:J163_02520
ko:K03736	xcr:J163_02521
ko:K01728	xcr:J163_02528
ko:K00568	xcr:J163_02533
ko:K02356	xcr:J163_02536
ko:K02044	xcr:J163_02539
ko:K15396	xcr:J163_02540
ko:K01092	xcr:J163_02541
ko:K04564	xcr:J163_02542
ko:K15738	xcr:J163_02545
ko:K02227	xcr:J163_03348
ko:K19221	xcr:J163_03349
ko:K16092	xcr:J163_03352
ko:K03695	xcr:J163_03354
ko:K15555	xcr:J163_03355
ko:K15554	xcr:J163_03356
ko:K15553	xcr:J163_03357
ko:K02014	xcr:J163_03360
ko:K07461	xcr:J163_03361
ko:K00799	xcr:J163_03362
ko:K06901	xcr:J163_03365
ko:K02014	xcr:J163_03368
ko:K01087	xcr:J163_03369
ko:K00697	xcr:J163_03371
ko:K00117	xcr:J163_03372
ko:K03406	xcr:J163_03373
ko:K05810	xcr:J163_03376
ko:K06180	xcr:J163_03377
ko:K05807	xcr:J163_03378
ko:K01950	xcr:J163_03380
ko:K07483	xcr:J163_03382
ko:K01902	xcr:J163_03396
ko:K01903	xcr:J163_03397
ko:K02668	xcr:J163_03398
ko:K02667	xcr:J163_03399
ko:K09902	xcr:J163_04212
ko:K00647	xcr:J163_04213
ko:K00059	xcr:J163_04218
ko:K00655	xcr:J163_04227
ko:K02078	xcr:J163_04229
ko:K00228	xcr:J163_04237
ko:K11902	xcr:J163_04240
ko:K11890	xcr:J163_04246
ko:K11891	xcr:J163_04247
ko:K11892	xcr:J163_04248
ko:K11893	xcr:J163_04249
ko:K11904	xcr:J163_04252
ko:K03088	xcr:J163_04257
ko:K07165	xcr:J163_04258
ko:K01093	xcr:J163_04260
ko:K16147	xcr:J163_00268
ko:K05343	xcr:J163_00269
ko:K00700	xcr:J163_00270
ko:K07095	xcr:J163_00271
ko:K00064	xcr:J163_00272
ko:K03929	xcr:J163_00273
ko:K02554	xcr:J163_00275
ko:K02529	xcr:J163_00280
ko:K01815	xcr:J163_00281
ko:K00065	xcr:J163_00282
ko:K01808	xcr:J163_00283
ko:K00500	xcr:J163_00287
ko:K03719	xcr:J163_00288
ko:K16088	xcr:J163_00289
ko:K07001	xcr:J163_00290
ko:K02013	xcr:J163_00292
ko:K05847	xcr:J163_00295
ko:K05845	xcr:J163_00296
ko:K05846	xcr:J163_00296
ko:K07154	xcr:J163_00300
ko:K04090	xcr:J163_00302
ko:K07088	xcr:J163_00304
ko:K03496	xcr:J163_00305
ko:K00655	xcr:J163_00310
ko:K07019	xcr:J163_00311
ko:K06910	xcr:J163_00314
ko:K06153	xcr:J163_00317
ko:K01915	xcr:J163_00318
ko:K04751	xcr:J163_00319
ko:K03320	xcr:J163_00320
ko:K07708	xcr:J163_00321
ko:K06178	xcr:J163_01136
ko:K00639	xcr:J163_01138
ko:K02048	xcr:J163_01139
ko:K02046	xcr:J163_01140
ko:K02047	xcr:J163_01141
ko:K02045	xcr:J163_01142
ko:K00060	xcr:J163_01144
ko:K01114	xcr:J163_01146
ko:K11754	xcr:J163_01150
ko:K03558	xcr:J163_01152
ko:K00764	xcr:J163_01153
ko:K03269	xcr:J163_01158
ko:K01524	xcr:J163_01162
ko:K00937	xcr:J163_01163
ko:K07636	xcr:J163_01164
ko:K07657	xcr:J163_01165
ko:K00030	xcr:J163_01169
ko:K07483	xcr:J163_01176
ko:K07462	xcr:J163_02010
ko:K02836	xcr:J163_02019
ko:K04567	xcr:J163_02020
ko:K13815	xcr:J163_02021
ko:K10715	xcr:J163_02022
ko:K13816	xcr:J163_02023
ko:K01897	xcr:J163_02024
ko:K01681	xcr:J163_02026
ko:K01682	xcr:J163_02029
ko:K03412	xcr:J163_02032
ko:K03411	xcr:J163_02033
ko:K00575	xcr:J163_02034
ko:K03406	xcr:J163_02036
ko:K03406	xcr:J163_02041
ko:K03406	xcr:J163_02044
ko:K03407	xcr:J163_02047
ko:K03413	xcr:J163_02048
ko:K03408	xcr:J163_02050
ko:K03496	xcr:J163_02051
ko:K02557	xcr:J163_02052
ko:K02556	xcr:J163_02053
ko:K19048	xcr:J163_02059
ko:K07124	xcr:J163_02871
ko:K06886	xcr:J163_02872
ko:K03431	xcr:J163_02877
ko:K01963	xcr:J163_02878
ko:K01695	xcr:J163_02879
ko:K01696	xcr:J163_02881
ko:K01817	xcr:J163_02883
ko:K06173	xcr:J163_02884
ko:K06996	xcr:J163_02886
ko:K08086	xcr:J163_02887
ko:K00133	xcr:J163_02888
ko:K00090	xcr:J163_02889
ko:K01736	xcr:J163_02890
ko:K07320	xcr:J163_02891
ko:K07152	xcr:J163_02892
ko:K01613	xcr:J163_02893
ko:K08307	xcr:J163_02894
ko:K06915	xcr:J163_02895
ko:K04760	xcr:J163_02899
ko:K14441	xcr:J163_02900
ko:K01061	xcr:J163_02901
ko:K01494	xcr:J163_02905
ko:K03593	xcr:J163_02906
ko:K07386	xcr:J163_02910
ko:K07386	xcr:J163_02911
ko:K07386	xcr:J163_02912
ko:K07443	xcr:J163_02914
ko:K00383	xcr:J163_02915
ko:K00285	xcr:J163_02916
ko:K07148	xcr:J163_02917
ko:K03775	xcr:J163_02918
ko:K02066	xcr:J163_03727
ko:K02065	xcr:J163_03728
ko:K02067	xcr:J163_03729
ko:K18480	xcr:J163_03730
ko:K00311	xcr:J163_03732
ko:K01029	xcr:J163_03734
ko:K01028	xcr:J163_03735
ko:K15778	xcr:J163_03736
ko:K16011	xcr:J163_03737
ko:K00012	xcr:J163_03738
ko:K00067	xcr:J163_03739
ko:K01790	xcr:J163_03740
ko:K00973	xcr:J163_03741
ko:K01710	xcr:J163_03742
ko:K03521	xcr:J163_03743
ko:K03522	xcr:J163_03744
ko:K01758	xcr:J163_03760
ko:K01697	xcr:J163_03761
ko:K02670	xcr:J163_03765
ko:K16171	xcr:J163_03767
ko:K11927	xcr:J163_03768
ko:K01301	xcr:J163_03769
ko:K02014	xcr:J163_03771
ko:K01737	xcr:J163_03772
ko:K01935	xcr:J163_03774
ko:K07017	xcr:J163_03777
ko:K03497	xcr:J163_00095
ko:K03496	xcr:J163_00096
ko:K18828	xcr:J163_00100
ko:K18829	xcr:J163_00101
ko:K05946	xcr:J163_00155
ko:K01953	xcr:J163_00160
ko:K01953	xcr:J163_00168
ko:K07502	xcr:J163_00189
ko:K06877	xcr:J163_00190
ko:K11068	xcr:J163_00191
ko:K00059	xcr:J163_00195
ko:K00355	xcr:J163_00200
ko:K07483	xcr:J163_00202
ko:K07304	xcr:J163_01023
ko:K00616	xcr:J163_01025
ko:K06140	xcr:J163_01026
ko:K04761	xcr:J163_01027
ko:K03387	xcr:J163_01028
ko:K03386	xcr:J163_01029
ko:K02493	xcr:J163_01030
ko:K01259	xcr:J163_01031
ko:K01515	xcr:J163_01033
ko:K00324	xcr:J163_01040
ko:K03088	xcr:J163_01044
ko:K00324	xcr:J163_01045
ko:K00325	xcr:J163_01046
ko:K00826	xcr:J163_01049
ko:K14645	xcr:J163_01050
ko:K14645	xcr:J163_01051
ko:K14645	xcr:J163_01052
ko:K03976	xcr:J163_01053
ko:K01424	xcr:J163_01054
ko:K03809	xcr:J163_01058
ko:K07058	xcr:J163_01059
ko:K01512	xcr:J163_01061
ko:K03638	xcr:J163_01064
ko:K02835	xcr:J163_01066
ko:K02492	xcr:J163_01067
ko:K02494	xcr:J163_01069
ko:K00919	xcr:J163_01070
ko:K00948	xcr:J163_01072
ko:K02897	xcr:J163_01073
ko:K01056	xcr:J163_01074
ko:K06942	xcr:J163_01075
ko:K03567	xcr:J163_01901
ko:K01714	xcr:J163_01902
ko:K05524	xcr:J163_01904
ko:K00883	xcr:J163_01905
ko:K01684	xcr:J163_01907
ko:K01631	xcr:J163_01908
ko:K05970	xcr:J163_01914
ko:K01811	xcr:J163_01916
ko:K15923	xcr:J163_01917
ko:K00854	xcr:J163_01918
ko:K01805	xcr:J163_01919
ko:K01448	xcr:J163_01923
ko:K09007	xcr:J163_01924
ko:K00970	xcr:J163_01928
ko:K00950	xcr:J163_01929
ko:K00606	xcr:J163_01930
ko:K01918	xcr:J163_01931
ko:K01579	xcr:J163_01932
ko:K01810	xcr:J163_01933
ko:K07093	xcr:J163_01936
ko:K05349	xcr:J163_01937
ko:K03307	xcr:J163_01938
ko:K01218	xcr:J163_01940
ko:K15012	xcr:J163_01941
ko:K15011	xcr:J163_01942
ko:K03526	xcr:J163_01943
ko:K01779	xcr:J163_01946
ko:K00075	xcr:J163_01948
ko:K00254	xcr:J163_01949
ko:K00128	xcr:J163_01952
ko:K16211	xcr:J163_02763
ko:K01187	xcr:J163_02765
ko:K01187	xcr:J163_02769
ko:K03201	xcr:J163_02774
ko:K03201	xcr:J163_02778
ko:K03194	xcr:J163_02783
ko:K03196	xcr:J163_02784
ko:K03204	xcr:J163_02786
ko:K03203	xcr:J163_02787
ko:K03205	xcr:J163_02789
ko:K03702	xcr:J163_02792
ko:K07483	xcr:J163_02800
ko:K00573	xcr:J163_03622
ko:K12340	xcr:J163_03623
ko:K02527	xcr:J163_03624
ko:K02517	xcr:J163_03625
ko:K00029	xcr:J163_03630
ko:K11103	xcr:J163_03631
ko:K07221	xcr:J163_03632
ko:K03288	xcr:J163_03634
ko:K06893	xcr:J163_03638
ko:K02012	xcr:J163_03642
ko:K07649	xcr:J163_03643
ko:K07774	xcr:J163_03644
ko:K07221	xcr:J163_03645
ko:K03300	xcr:J163_03646
ko:K00023	xcr:J163_03648
ko:K16211	xcr:J163_03650
ko:K05341	xcr:J163_03652
ko:K06949	xcr:J163_03655
ko:K14260	xcr:J163_03656
ko:K16088	xcr:J163_03659
ko:K07390	xcr:J163_03661
ko:K18195	xcr:J163_03666
ko:K01462	xcr:J163_03670
ko:K00537	xcr:J163_03671
ko:K00799	xcr:J163_04486
ko:K03294	xcr:J163_04488
ko:K02647	xcr:J163_04492
ko:K00865	xcr:J163_04493
ko:K01273	xcr:J163_04495
ko:K06969	xcr:J163_04497
ko:K05794	xcr:J163_04499
ko:K01126	xcr:J163_04501
ko:K02014	xcr:J163_04502
ko:K09474	xcr:J163_04503
ko:K03650	xcr:J163_04504
ko:K03217	xcr:J163_04506
ko:K03536	xcr:J163_04507
ko:K02914	xcr:J163_04508
ko:K03496	xcr:J163_00019
ko:K18841	xcr:J163_00027
ko:K18842	xcr:J163_00028
ko:K09912	xcr:J163_00920
ko:K01251	xcr:J163_00926
ko:K01595	xcr:J163_00929
ko:K01093	xcr:J163_00934
ko:K00789	xcr:J163_00935
ko:K07038	xcr:J163_00936
ko:K05540	xcr:J163_00938
ko:K00852	xcr:J163_00941
ko:K03317	xcr:J163_00942
ko:K16087	xcr:J163_00945
ko:K09922	xcr:J163_00949
ko:K02050	xcr:J163_00950
ko:K02049	xcr:J163_00951
ko:K02051	xcr:J163_00952
ko:K03119	xcr:J163_00953
ko:K02004	xcr:J163_00954
ko:K02003	xcr:J163_00955
ko:K10804	xcr:J163_00956
ko:K00901	xcr:J163_00960
ko:K03744	xcr:J163_00961
ko:K06872	xcr:J163_00962
ko:K13292	xcr:J163_00964
ko:K15555	xcr:J163_00970
ko:K15554	xcr:J163_00971
ko:K17247	xcr:J163_01795
ko:K00831	xcr:J163_01797
ko:K14170	xcr:J163_01798
ko:K00800	xcr:J163_01799
ko:K03832	xcr:J163_01800
ko:K01875	xcr:J163_01802
ko:K01118	xcr:J163_01803
ko:K08482	xcr:J163_01812
ko:K02200	xcr:J163_01815
ko:K02199	xcr:J163_01816
ko:K02198	xcr:J163_01817
ko:K02197	xcr:J163_01818
ko:K02196	xcr:J163_01819
ko:K02195	xcr:J163_01820
ko:K03088	xcr:J163_01823
ko:K08738	xcr:J163_01826
ko:K12262	xcr:J163_01828
ko:K02169	xcr:J163_01840
ko:K15371	xcr:J163_02655
ko:K03585	xcr:J163_02657
ko:K18138	xcr:J163_02658
ko:K03435	xcr:J163_02659
ko:K02768	xcr:J163_02660
ko:K08483	xcr:J163_02660
ko:K11183	xcr:J163_02660
ko:K00882	xcr:J163_02661
ko:K02769	xcr:J163_02662
ko:K02770	xcr:J163_02662
ko:K07267	xcr:J163_02663
ko:K03074	xcr:J163_02670
ko:K03072	xcr:J163_02671
ko:K03210	xcr:J163_02672
ko:K00773	xcr:J163_02673
ko:K07568	xcr:J163_02674
ko:K01083	xcr:J163_02680
ko:K00761	xcr:J163_02682
ko:K00681	xcr:J163_02684
ko:K00954	xcr:J163_02688
ko:K08316	xcr:J163_02689
ko:K04079	xcr:J163_02690
ko:K09955	xcr:J163_02693
ko:K08677	xcr:J163_02700
ko:K07275	xcr:J163_03512
ko:K02020	xcr:J163_03516
ko:K02018	xcr:J163_03517
ko:K02017	xcr:J163_03518
ko:K16088	xcr:J163_03528
ko:K00615	xcr:J163_03530
ko:K07114	xcr:J163_03533
ko:K07114	xcr:J163_03534
ko:K03924	xcr:J163_03537
ko:K02666	xcr:J163_03539
ko:K02665	xcr:J163_03540
ko:K02664	xcr:J163_03541
ko:K02663	xcr:J163_03542
ko:K02662	xcr:J163_03543
ko:K05366	xcr:J163_03544
ko:K01647	xcr:J163_03547
ko:K02909	xcr:J163_03548
ko:K01239	xcr:J163_03549
ko:K03655	xcr:J163_03550
ko:K03060	xcr:J163_03553
ko:K00942	xcr:J163_03554
ko:K00989	xcr:J163_03556
ko:K02428	xcr:J163_03558
ko:K01262	xcr:J163_03564
ko:K01262	xcr:J163_03565
ko:K09895	xcr:J163_03566
ko:K09892	xcr:J163_03567
ko:K01845	xcr:J163_04373
ko:K01845	xcr:J163_04374
ko:K01628	xcr:J163_04375
ko:K00854	xcr:J163_04376
ko:K01053	xcr:J163_04379
ko:K01181	xcr:J163_04380
ko:K01190	xcr:J163_04381
ko:K01812	xcr:J163_04382
ko:K01181	xcr:J163_04383
ko:K08191	xcr:J163_04384
ko:K01181	xcr:J163_04385
ko:K08191	xcr:J163_04386
ko:K03098	xcr:J163_04390
ko:K00631	xcr:J163_04400
ko:K02529	xcr:J163_04402
ko:K14266	xcr:J163_04405
ko:K01591	xcr:J163_04406
ko:K09915	xcr:J163_04409
ko:K03656	xcr:J163_04412
ko:K03670	xcr:J163_04415
ko:K10563	xcr:J163_04417
ko:K05782	xcr:J163_04424
ko:K08151	xcr:J163_04427
ko:K01792	xcr:J163_04428
ko:K02452	xcr:J163_00811
ko:K02453	xcr:J163_00812
ko:K02454	xcr:J163_00813
ko:K02455	xcr:J163_00814
ko:K02456	xcr:J163_00815
ko:K02457	xcr:J163_00816
ko:K02458	xcr:J163_00817
ko:K02459	xcr:J163_00818
ko:K02460	xcr:J163_00819
ko:K02461	xcr:J163_00820
ko:K02462	xcr:J163_00821
ko:K02463	xcr:J163_00822
ko:K01190	xcr:J163_00825
ko:K01205	xcr:J163_00826
ko:K03710	xcr:J163_00829
ko:K02529	xcr:J163_00831
ko:K00820	xcr:J163_00832
ko:K01443	xcr:J163_00833
ko:K02014	xcr:J163_00834
ko:K00974	xcr:J163_00835
ko:K02168	xcr:J163_00838
ko:K03673	xcr:J163_00840
ko:K03673	xcr:J163_00841
ko:K03978	xcr:J163_00844
ko:K01919	xcr:J163_00847
ko:K02484	xcr:J163_00848
ko:K00121	xcr:J163_00853
ko:K03396	xcr:J163_00854
ko:K01070	xcr:J163_00855
ko:K00600	xcr:J163_00862
ko:K07738	xcr:J163_00863
ko:K06966	xcr:J163_01680
ko:K00382	xcr:J163_01681
ko:K00658	xcr:J163_01682
ko:K00164	xcr:J163_01683
ko:K18850	xcr:J163_01685
ko:K01756	xcr:J163_01687
ko:K01679	xcr:J163_01690
ko:K01992	xcr:J163_01694
ko:K01990	xcr:J163_01695
ko:K07979	xcr:J163_01696
ko:K00432	xcr:J163_01698
ko:K03772	xcr:J163_01699
ko:K00012	xcr:J163_01700
ko:K03745	xcr:J163_01701
ko:K02529	xcr:J163_01704
ko:K02429	xcr:J163_01705
ko:K00847	xcr:J163_01706
ko:K00548	xcr:J163_01708
ko:K00548	xcr:J163_01709
ko:K12573	xcr:J163_01714
ko:K03218	xcr:J163_01716
ko:K03683	xcr:J163_01718
ko:K02039	xcr:J163_01720
ko:K02036	xcr:J163_01721
ko:K02038	xcr:J163_01722
ko:K02037	xcr:J163_01723
ko:K02040	xcr:J163_01724
ko:K02040	xcr:J163_01725
ko:K07221	xcr:J163_01726
ko:K01673	xcr:J163_01728
ko:K10773	xcr:J163_01730
ko:K01715	xcr:J163_01732
ko:K05591	xcr:J163_02546
ko:K00759	xcr:J163_02547
ko:K00799	xcr:J163_02550
ko:K03704	xcr:J163_02551
ko:K07007	xcr:J163_02553
ko:K03799	xcr:J163_02555
ko:K01894	xcr:J163_02556
ko:K00023	xcr:J163_02557
ko:K09973	xcr:J163_02559
ko:K09164	xcr:J163_02560
ko:K03572	xcr:J163_02561
ko:K01448	xcr:J163_02562
ko:K06925	xcr:J163_02563
ko:K17758	xcr:J163_02564
ko:K17759	xcr:J163_02564
ko:K18979	xcr:J163_02565
ko:K03601	xcr:J163_02566
ko:K03684	xcr:J163_02569
ko:K01971	xcr:J163_02571
ko:K07481	xcr:J163_02579
ko:K07473	xcr:J163_02584
ko:K02652	xcr:J163_03403
ko:K02653	xcr:J163_03406
ko:K02654	xcr:J163_03407
ko:K00859	xcr:J163_03408
ko:K19048	xcr:J163_03411
ko:K07483	xcr:J163_03412
ko:K05844	xcr:J163_03417
ko:K03630	xcr:J163_03431
ko:K03413	xcr:J163_03436
ko:K07052	xcr:J163_03452
ko:K11907	xcr:J163_04267
ko:K11895	xcr:J163_04268
ko:K11896	xcr:J163_04269
ko:K11897	xcr:J163_04270
ko:K11898	xcr:J163_04271
ko:K11903	xcr:J163_04272
ko:K11900	xcr:J163_04273
