ko:K16238	kpi:D364_01565
ko:K00845	kpi:D364_13950
ko:K03322	kpi:D364_13975
ko:K11535	kpi:D364_13980
ko:K02784	kpi:D364_14075
ko:K08483	kpi:D364_14080
ko:K00868	kpi:D364_14095
ko:K12339	kpi:D364_14110
ko:K02045	kpi:D364_14115
ko:K02047	kpi:D364_14120
ko:K02046	kpi:D364_14125
ko:K01885	kpi:D364_14010
ko:K14347	kpi:D364_14040
ko:K09954	kpi:D364_14045
ko:K01972	kpi:D364_14050
ko:K03528	kpi:D364_14055
ko:K06203	kpi:D364_14060
ko:K02048	kpi:D364_14130
ko:K07223	kpi:D364_14135
ko:K01448	kpi:D364_14155
ko:K00228	kpi:D364_14160
ko:K04033	kpi:D364_14165
ko:K04025	kpi:D364_14170
ko:K04026	kpi:D364_14175
ko:K03736	kpi:D364_14180
ko:K03735	kpi:D364_14185
ko:K04019	kpi:D364_14190
ko:K01685	kpi:D364_18130
ko:K01812	kpi:D364_18135
ko:K08191	kpi:D364_18145
ko:K15977	kpi:D364_18185
ko:K07393	kpi:D364_18190
ko:K06911	kpi:D364_18205
ko:K00865	kpi:D364_18225
ko:K01630	kpi:D364_18235
ko:K12299	kpi:D364_18240
ko:K01708	kpi:D364_18245
ko:K07056	kpi:D364_18250
ko:K07121	kpi:D364_18255
ko:K07460	kpi:D364_18260
ko:K12961	kpi:D364_18265
ko:K07089	kpi:D364_18275
ko:K05520	kpi:D364_18285
ko:K01738	kpi:D364_14065
ko:K09979	kpi:D364_18290
ko:K07461	kpi:D364_18295
ko:K03824	kpi:D364_18300
ko:K08303	kpi:D364_18310
ko:K03835	kpi:D364_18325
ko:K05592	kpi:D364_18330
ko:K05803	kpi:D364_18335
ko:K00962	kpi:D364_18340
ko:K02956	kpi:D364_18345
ko:K03177	kpi:D364_18350
ko:K02834	kpi:D364_18355
ko:K02519	kpi:D364_18360
ko:K02600	kpi:D364_18365
ko:K09748	kpi:D364_18370
ko:K01940	kpi:D364_18380
ko:K03075	kpi:D364_18405
ko:K03431	kpi:D364_18410
ko:K00796	kpi:D364_18415
ko:K01599	kpi:D364_22300
ko:K05982	kpi:D364_22305
ko:K09891	kpi:D364_22310
ko:K05787	kpi:D364_22315
ko:K07803	kpi:D364_22325
ko:K07709	kpi:D364_22330
ko:K01945	kpi:D364_22340
ko:K00602	kpi:D364_22345
ko:K03827	kpi:D364_22375
ko:K00651	kpi:D364_22380
ko:K01638	kpi:D364_22385
ko:K01637	kpi:D364_22390
ko:K00906	kpi:D364_22395
ko:K13641	kpi:D364_22400
ko:K00548	kpi:D364_22405
ko:K03324	kpi:D364_22410
ko:K00014	kpi:D364_22415
ko:K02815	kpi:D364_22425
ko:K02814	kpi:D364_22430
ko:K02813	kpi:D364_22435
ko:K02812	kpi:D364_22440
ko:K11891	kpi:D364_11515
ko:K11892	kpi:D364_11555
ko:K11893	kpi:D364_11560
ko:K09912	kpi:D364_11570
ko:K06177	kpi:D364_11575
ko:K03288	kpi:D364_11595
ko:K01610	kpi:D364_11610
ko:K01996	kpi:D364_11620
ko:K01995	kpi:D364_11625
ko:K01998	kpi:D364_11630
ko:K01997	kpi:D364_11635
ko:K01999	kpi:D364_11640
ko:K01754	kpi:D364_11660
ko:K07592	kpi:D364_11665
ko:K07395	kpi:D364_11685
ko:K15833	kpi:D364_15610
ko:K04651	kpi:D364_15615
ko:K04652	kpi:D364_15620
ko:K00656	kpi:D364_11645
ko:K00932	kpi:D364_11650
ko:K04653	kpi:D364_15625
ko:K04654	kpi:D364_15630
ko:K04655	kpi:D364_15635
ko:K15836	kpi:D364_15640
ko:K01223	kpi:D364_15645
ko:K16077	kpi:D364_15655
ko:K02761	kpi:D364_15660
ko:K02760	kpi:D364_15665
ko:K02761	kpi:D364_15670
ko:K02759	kpi:D364_15675
ko:K00847	kpi:D364_15680
ko:K11604	kpi:D364_15690
ko:K11607	kpi:D364_15695
ko:K11605	kpi:D364_15700
ko:K11606	kpi:D364_15705
ko:K07088	kpi:D364_15720
ko:K01652	kpi:D364_15725
ko:K07401	kpi:D364_15730
ko:K16087	kpi:D364_15735
ko:K07225	kpi:D364_15740
ko:K02016	kpi:D364_15745
ko:K02015	kpi:D364_15750
ko:K02013	kpi:D364_15755
ko:K11903	kpi:D364_15760
ko:K03555	kpi:D364_15775
ko:K03186	kpi:D364_15795
ko:K03087	kpi:D364_15820
ko:K06194	kpi:D364_15825
ko:K00573	kpi:D364_15830
ko:K03787	kpi:D364_15835
ko:K06176	kpi:D364_15840
ko:K01770	kpi:D364_15845
ko:K00991	kpi:D364_15850
ko:K05589	kpi:D364_15855
ko:K00860	kpi:D364_15865
ko:K00957	kpi:D364_15875
ko:K02302	kpi:D364_15880
ko:K01194	kpi:D364_19790
ko:K07058	kpi:D364_19810
ko:K07290	kpi:D364_19820
ko:K00874	kpi:D364_19825
ko:K11103	kpi:D364_19835
ko:K00694	kpi:D364_19860
ko:K00694	kpi:D364_19910
ko:K03838	kpi:D364_11655
ko:K12370	kpi:D364_19930
ko:K12369	kpi:D364_19935
ko:K03811	kpi:D364_03955
ko:K16264	kpi:D364_03960
ko:K01626	kpi:D364_03970
ko:K01834	kpi:D364_03975
ko:K01785	kpi:D364_03980
ko:K00849	kpi:D364_03985
ko:K00965	kpi:D364_03990
ko:K01784	kpi:D364_03995
ko:K05776	kpi:D364_04000
ko:K02019	kpi:D364_04005
ko:K02020	kpi:D364_04015
ko:K02018	kpi:D364_04020
ko:K02017	kpi:D364_04025
ko:K07404	kpi:D364_04040
ko:K04047	kpi:D364_04410
ko:K11939	kpi:D364_04415
ko:K11934	kpi:D364_04420
ko:K11924	kpi:D364_04440
ko:K01223	kpi:D364_04450
ko:K03492	kpi:D364_04455
ko:K08191	kpi:D364_04480
ko:K07757	kpi:D364_04495
ko:K00656	kpi:D364_04500
ko:K04069	kpi:D364_04505
ko:K03750	kpi:D364_04515
ko:K13051	kpi:D364_04520
ko:K13892	kpi:D364_04525
ko:K13889	kpi:D364_04530
ko:K13890	kpi:D364_04535
ko:K13891	kpi:D364_04540
ko:K14441	kpi:D364_04545
ko:K07258	kpi:D364_04575
ko:K11534	kpi:D364_04580
ko:K08160	kpi:D364_04590
ko:K07085	kpi:D364_04610
ko:K01051	kpi:D364_04125
ko:K01468	kpi:D364_04130
ko:K01479	kpi:D364_04135
ko:K05836	kpi:D364_04140
ko:K01712	kpi:D364_04145
ko:K01745	kpi:D364_04150
ko:K06910	kpi:D364_04165
ko:K00833	kpi:D364_04170
ko:K01012	kpi:D364_04175
ko:K00652	kpi:D364_04180
ko:K02169	kpi:D364_04185
ko:K01935	kpi:D364_04190
ko:K03702	kpi:D364_04210
ko:K07643	kpi:D364_04220
ko:K07771	kpi:D364_04225
ko:K03760	kpi:D364_04230
ko:K03639	kpi:D364_04240
ko:K03638	kpi:D364_04245
ko:K03637	kpi:D364_04250
ko:K03636	kpi:D364_04255
ko:K03635	kpi:D364_04260
ko:K06890	kpi:D364_04265
ko:K07027	kpi:D364_04270
ko:K03517	kpi:D364_03950
ko:K06182	kpi:D364_22455
ko:K03453	kpi:D364_22465
ko:K00928	kpi:D364_22470
ko:K01810	kpi:D364_22475
ko:K09022	kpi:D364_22490
ko:K13256	kpi:D364_22510
ko:K10110	kpi:D364_22515
ko:K10109	kpi:D364_22520
ko:K10108	kpi:D364_22525
ko:K10111	kpi:D364_22530
ko:K00068	kpi:D364_22445
ko:K02024	kpi:D364_22535
ko:K05775	kpi:D364_22540
ko:K03181	kpi:D364_22545
ko:K03179	kpi:D364_22550
ko:K00631	kpi:D364_22555
ko:K00901	kpi:D364_22560
ko:K01356	kpi:D364_22565
ko:K12975	kpi:D364_19960
ko:K08177	kpi:D364_19965
ko:K01246	kpi:D364_19975
ko:K03826	kpi:D364_19980
ko:K02525	kpi:D364_19995
ko:K00874	kpi:D364_20005
ko:K00090	kpi:D364_20015
ko:K08195	kpi:D364_20025
ko:K07726	kpi:D364_20030
ko:K03704	kpi:D364_20035
ko:K01879	kpi:D364_20055
ko:K01878	kpi:D364_20060
ko:K01198	kpi:D364_24040
ko:K01805	kpi:D364_24050
ko:K02024	kpi:D364_24055
ko:K00574	kpi:D364_24080
ko:K09701	kpi:D364_24085
ko:K03098	kpi:D364_24110
ko:K07787	kpi:D364_24120
ko:K07798	kpi:D364_24125
ko:K07665	kpi:D364_24140
ko:K07644	kpi:D364_24145
ko:K13926	kpi:D364_24200
ko:K01993	kpi:D364_24205
ko:K01867	kpi:D364_24210
ko:K02056	kpi:D364_24220
ko:K02057	kpi:D364_24225
ko:K02057	kpi:D364_24230
ko:K00355	kpi:D364_24235
ko:K12368	kpi:D364_19940
ko:K01993	kpi:D364_04310
ko:K00615	kpi:D364_04335
ko:K00615	kpi:D364_04340
ko:K11927	kpi:D364_04345
ko:K13650	kpi:D364_04375
ko:K06970	kpi:D364_04385
ko:K00813	kpi:D364_05000
ko:K09476	kpi:D364_05005
ko:K10037	kpi:D364_04400
ko:K10036	kpi:D364_04405
ko:K05844	kpi:D364_04635
ko:K11073	kpi:D364_04645
ko:K11076	kpi:D364_04650
ko:K11075	kpi:D364_04655
ko:K11074	kpi:D364_04660
ko:K03212	kpi:D364_04670
ko:K09996	kpi:D364_04685
ko:K09998	kpi:D364_04690
ko:K09999	kpi:D364_04695
ko:K09997	kpi:D364_04700
ko:K10000	kpi:D364_04705
ko:K11066	kpi:D364_04725
ko:K01620	kpi:D364_04740
ko:K00156	kpi:D364_04745
ko:K15977	kpi:D364_04750
ko:K11933	kpi:D364_04755
ko:K05601	kpi:D364_04760
ko:K06188	kpi:D364_04770
ko:K13888	kpi:D364_04780
ko:K05685	kpi:D364_04785
ko:K03704	kpi:D364_04790
ko:K06891	kpi:D364_04795
ko:K03694	kpi:D364_04800
ko:K02518	kpi:D364_04805
ko:K00684	kpi:D364_04810
ko:K16012	kpi:D364_04815
ko:K16013	kpi:D364_04820
ko:K00384	kpi:D364_04825
ko:K03466	kpi:D364_04835
ko:K03634	kpi:D364_04840
ko:K07478	kpi:D364_04845
ko:K01875	kpi:D364_04850
ko:K07306	kpi:D364_04855
ko:K07307	kpi:D364_04860
ko:K07308	kpi:D364_04865
ko:K08219	kpi:D364_04870
ko:K04069	kpi:D364_04875
ko:K00656	kpi:D364_04880
ko:K06212	kpi:D364_04885
ko:K09136	kpi:D364_04890
ko:K00831	kpi:D364_04900
ko:K00800	kpi:D364_04905
ko:K00945	kpi:D364_04910
ko:K02945	kpi:D364_04915
ko:K05788	kpi:D364_04920
ko:K02238	kpi:D364_04925
ko:K11085	kpi:D364_04930
ko:K00912	kpi:D364_04935
ko:K09927	kpi:D364_04940
ko:K09791	kpi:D364_04945
ko:K00979	kpi:D364_04950
ko:K06219	kpi:D364_04965
ko:K03633	kpi:D364_04970
ko:K03804	kpi:D364_04975
ko:K03632	kpi:D364_04980
ko:K01893	kpi:D364_05010
ko:K05358	kpi:D364_10020
ko:K00121	kpi:D364_10025
ko:K12262	kpi:D364_10035
ko:K01488	kpi:D364_10060
ko:K01223	kpi:D364_10075
ko:K03617	kpi:D364_10090
ko:K03616	kpi:D364_10095
ko:K03615	kpi:D364_10100
ko:K03614	kpi:D364_10105
ko:K03612	kpi:D364_10110
ko:K03613	kpi:D364_10115
ko:K10773	kpi:D364_10120
ko:K03305	kpi:D364_10130
ko:K00799	kpi:D364_10135
ko:K00868	kpi:D364_10140
ko:K01866	kpi:D364_10145
ko:K00275	kpi:D364_10150
ko:K09001	kpi:D364_10160
ko:K06077	kpi:D364_10165
ko:K06075	kpi:D364_10175
ko:K06938	kpi:D364_10205
ko:K16137	kpi:D364_10210
ko:K10680	kpi:D364_10215
ko:K01759	kpi:D364_10220
ko:K03683	kpi:D364_10225
ko:K07390	kpi:D364_10230
ko:K04564	kpi:D364_10245
ko:K03604	kpi:D364_10260
ko:K00574	kpi:D364_10275
ko:K00793	kpi:D364_10280
ko:K03327	kpi:D364_10285
ko:K06966	kpi:D364_10300
ko:K04023	kpi:D364_14195
ko:K04022	kpi:D364_14200
ko:K04024	kpi:D364_14205
ko:K04021	kpi:D364_14210
ko:K04027	kpi:D364_14220
ko:K04020	kpi:D364_14225
ko:K04032	kpi:D364_14230
ko:K04030	kpi:D364_14235
ko:K04029	kpi:D364_14240
ko:K04031	kpi:D364_14245
ko:K00029	kpi:D364_14250
ko:K00616	kpi:D364_14255
ko:K00615	kpi:D364_14260
ko:K12945	kpi:D364_14270
ko:K01439	kpi:D364_14290
ko:K06999	kpi:D364_14300
ko:K06957	kpi:D364_14305
ko:K07054	kpi:D364_14310
ko:K01923	kpi:D364_14315
ko:K07287	kpi:D364_14320
ko:K01714	kpi:D364_14325
ko:K03567	kpi:D364_14330
ko:K03564	kpi:D364_14335
ko:K03548	kpi:D364_14340
ko:K10763	kpi:D364_14360
ko:K02824	kpi:D364_14365
ko:K00761	kpi:D364_14370
ko:K01223	kpi:D364_14375
ko:K01933	kpi:D364_14385
ko:K11175	kpi:D364_14390
ko:K00937	kpi:D364_14395
ko:K01524	kpi:D364_14400
ko:K06871	kpi:D364_14430
ko:K01951	kpi:D364_14440
ko:K00088	kpi:D364_14445
ko:K03601	kpi:D364_14450
ko:K03798	kpi:D364_18420
ko:K02427	kpi:D364_18425
ko:K07574	kpi:D364_18430
ko:K03624	kpi:D364_18435
ko:K07259	kpi:D364_18440
ko:K03979	kpi:D364_18445
ko:K02899	kpi:D364_18455
ko:K02888	kpi:D364_18460
ko:K02523	kpi:D364_18465
ko:K01194	kpi:D364_11705
ko:K02014	kpi:D364_11710
ko:K08308	kpi:D364_11715
ko:K01297	kpi:D364_11720
ko:K11105	kpi:D364_11725
ko:K01775	kpi:D364_11730
ko:K00285	kpi:D364_11735
ko:K03603	kpi:D364_11745
ko:K03314	kpi:D364_11750
ko:K03611	kpi:D364_11755
ko:K09160	kpi:D364_11765
ko:K09902	kpi:D364_11775
ko:K03610	kpi:D364_11780
ko:K03609	kpi:D364_11785
ko:K03608	kpi:D364_11790
ko:K03684	kpi:D364_11795
ko:K01897	kpi:D364_11800
ko:K07285	kpi:D364_11805
ko:K09917	kpi:D364_11825
ko:K01665	kpi:D364_11830
ko:K01752	kpi:D364_11840
ko:K02793	kpi:D364_11855
ko:K02794	kpi:D364_11855
ko:K02795	kpi:D364_11860
ko:K00563	kpi:D364_11880
ko:K03587	kpi:D364_11885
ko:K03704	kpi:D364_11890
ko:K08169	kpi:D364_11915
ko:K03799	kpi:D364_11920
ko:K03797	kpi:D364_11925
ko:K03607	kpi:D364_11930
ko:K03808	kpi:D364_11940
ko:K11392	kpi:D364_11950
ko:K09824	kpi:D364_11970
ko:K09612	kpi:D364_15885
ko:K00390	kpi:D364_15890
ko:K00381	kpi:D364_15895
ko:K00380	kpi:D364_15900
ko:K01737	kpi:D364_15905
ko:K10026	kpi:D364_15910
ko:K01689	kpi:D364_15920
ko:K01937	kpi:D364_15925
ko:K04765	kpi:D364_15930
ko:K00951	kpi:D364_15935
ko:K03215	kpi:D364_15940
ko:K07678	kpi:D364_15945
ko:K00865	kpi:D364_15950
ko:K01751	kpi:D364_05020
ko:K03837	kpi:D364_05025
ko:K06016	kpi:D364_05030
ko:K00763	kpi:D364_05040
ko:K01256	kpi:D364_05045
ko:K15555	kpi:D364_05050
ko:K15554	kpi:D364_05055
ko:K04091	kpi:D364_05060
ko:K15553	kpi:D364_05065
ko:K00299	kpi:D364_05070
ko:K07140	kpi:D364_05085
ko:K12297	kpi:D364_05090
ko:K15738	kpi:D364_05095
ko:K03808	kpi:D364_05100
ko:K06192	kpi:D364_05105
ko:K09857	kpi:D364_05110
ko:K03812	kpi:D364_05115
ko:K01716	kpi:D364_05120
ko:K04770	kpi:D364_05125
ko:K09911	kpi:D364_05130
ko:K03286	kpi:D364_05135
ko:K07343	kpi:D364_05145
ko:K03658	kpi:D364_05160
ko:K01734	kpi:D364_05165
ko:K06929	kpi:D364_05170
ko:K12543	kpi:D364_05180
ko:K12541	kpi:D364_05185
ko:K12542	kpi:D364_05190
ko:K11940	kpi:D364_05205
ko:K06969	kpi:D364_05210
ko:K06910	kpi:D364_05215
ko:K01512	kpi:D364_05225
ko:K11179	kpi:D364_05230
ko:K15580	kpi:D364_05240
ko:K00135	kpi:D364_05265
ko:K03451	kpi:D364_05275
ko:K07246	kpi:D364_05280
ko:K16135	kpi:D364_05285
ko:K09471	kpi:D364_05290
ko:K14056	kpi:D364_05300
ko:K09473	kpi:D364_05305
ko:K09470	kpi:D364_05310
ko:K14052	kpi:D364_05315
ko:K07124	kpi:D364_05330
ko:K01085	kpi:D364_05340
ko:K03809	kpi:D364_05350
ko:K09016	kpi:D364_05365
ko:K09024	kpi:D364_05370
ko:K09019	kpi:D364_05375
ko:K09023	kpi:D364_05380
ko:K09021	kpi:D364_05385
ko:K09020	kpi:D364_05390
ko:K02517	kpi:D364_05550
ko:K07146	kpi:D364_05555
ko:K09018	kpi:D364_05395
ko:K13821	kpi:D364_05410
ko:K03317	kpi:D364_05425
ko:K07243	kpi:D364_05430
ko:K07224	kpi:D364_05435
ko:K16301	kpi:D364_05440
ko:K06911	kpi:D364_05465
ko:K01476	kpi:D364_05480
ko:K12972	kpi:D364_05490
ko:K04477	kpi:D364_05495
ko:K11941	kpi:D364_05520
ko:K03670	kpi:D364_05525
ko:K03669	kpi:D364_05530
ko:K12147	kpi:D364_05540
ko:K08161	kpi:D364_05545
ko:K00790	kpi:D364_18475
ko:K07122	kpi:D364_18485
ko:K07323	kpi:D364_18490
ko:K02067	kpi:D364_18495
ko:K02066	kpi:D364_18500
ko:K02065	kpi:D364_18505
ko:K07301	kpi:D364_18510
ko:K06041	kpi:D364_18515
ko:K03270	kpi:D364_18520
ko:K11719	kpi:D364_18525
ko:K09774	kpi:D364_18530
ko:K06861	kpi:D364_18535
ko:K03092	kpi:D364_18540
ko:K05808	kpi:D364_18545
ko:K02806	kpi:D364_18550
ko:K06958	kpi:D364_18555
ko:K03814	kpi:D364_18565
ko:K07648	kpi:D364_18575
ko:K01686	kpi:D364_18580
ko:K08322	kpi:D364_18585
ko:K07139	kpi:D364_18595
ko:K00265	kpi:D364_18600
ko:K00266	kpi:D364_18605
ko:K01788	kpi:D364_18610
ko:K03600	kpi:D364_18615
ko:K03599	kpi:D364_18620
ko:K02996	kpi:D364_18625
ko:K02871	kpi:D364_18630
ko:K06916	kpi:D364_18635
ko:K09908	kpi:D364_18640
ko:K04691	kpi:D364_18650
ko:K00024	kpi:D364_18655
ko:K03402	kpi:D364_18660
ko:K03623	kpi:D364_18675
ko:K03468	kpi:D364_18680
ko:K15548	kpi:D364_18685
ko:K03327	kpi:D364_22570
ko:K09823	kpi:D364_22580
ko:K05539	kpi:D364_22590
ko:K01775	kpi:D364_22610
ko:K00832	kpi:D364_22615
ko:K03788	kpi:D364_22620
ko:K03701	kpi:D364_22635
ko:K07277	kpi:D364_22670
ko:K01092	kpi:D364_22680
ko:K13631	kpi:D364_22725
ko:K13639	kpi:D364_22730
ko:K00799	kpi:D364_22735
ko:K06901	kpi:D364_22740
ko:K03316	kpi:D364_22745
ko:K07347	kpi:D364_22780
ko:K14393	kpi:D364_22795
ko:K01895	kpi:D364_22805
ko:K11102	kpi:D364_22810
ko:K07126	kpi:D364_22815
ko:K10439	kpi:D364_22850
ko:K10440	kpi:D364_22855
ko:K10441	kpi:D364_22860
ko:K13918	kpi:D364_15960
ko:K03535	kpi:D364_15965
ko:K06175	kpi:D364_15975
ko:K15723	kpi:D364_15985
ko:K06879	kpi:D364_15990
ko:K06966	kpi:D364_15995
ko:K03837	kpi:D364_16000
ko:K01752	kpi:D364_16005
ko:K15553	kpi:D364_16010
ko:K04091	kpi:D364_16050
ko:K01146	kpi:D364_16060
ko:K00048	kpi:D364_16065
ko:K01628	kpi:D364_16070
ko:K02429	kpi:D364_16075
ko:K01818	kpi:D364_16080
ko:K02431	kpi:D364_16090
ko:K02430	kpi:D364_16095
ko:K06968	kpi:D364_16100
ko:K01766	kpi:D364_16120
ko:K02426	kpi:D364_16125
ko:K08304	kpi:D364_16135
ko:K00768	kpi:D364_16155
ko:K00854	kpi:D364_20085
ko:K01805	kpi:D364_20090
ko:K10543	kpi:D364_20095
ko:K10545	kpi:D364_20100
ko:K10544	kpi:D364_20105
ko:K02529	kpi:D364_20110
ko:K03796	kpi:D364_20115
ko:K01176	kpi:D364_20120
ko:K00835	kpi:D364_20125
ko:K05796	kpi:D364_20130
ko:K03833	kpi:D364_20135
ko:K01042	kpi:D364_20140
ko:K02798	kpi:D364_20150
ko:K02799	kpi:D364_20150
ko:K02800	kpi:D364_20150
ko:K00009	kpi:D364_20155
ko:K02562	kpi:D364_20160
ko:K14762	kpi:D364_20170
ko:K00427	kpi:D364_20180
ko:K14348	kpi:D364_20185
ko:K00101	kpi:D364_20190
ko:K03216	kpi:D364_20195
ko:K00640	kpi:D364_20200
ko:K00057	kpi:D364_20205
ko:K03071	kpi:D364_20210
ko:K15633	kpi:D364_20225
ko:K09798	kpi:D364_20235
ko:K00060	kpi:D364_20245
ko:K00639	kpi:D364_20250
ko:K03274	kpi:D364_20255
ko:K02843	kpi:D364_20260
ko:K02841	kpi:D364_20265
ko:K02849	kpi:D364_20290
ko:K02844	kpi:D364_20295
ko:K02527	kpi:D364_20310
ko:K12984	kpi:D364_20315
ko:K00954	kpi:D364_20320
ko:K10563	kpi:D364_20325
ko:K02913	kpi:D364_20330
ko:K02902	kpi:D364_20335
ko:K03630	kpi:D364_20340
ko:K13038	kpi:D364_20345
ko:K00135	kpi:D364_24325
ko:K00484	kpi:D364_24350
ko:K02508	kpi:D364_24360
ko:K02511	kpi:D364_24365
ko:K02510	kpi:D364_24370
ko:K02509	kpi:D364_24375
ko:K01826	kpi:D364_24380
ko:K00455	kpi:D364_24385
ko:K00151	kpi:D364_24390
ko:K05921	kpi:D364_24395
ko:K05921	kpi:D364_24400
ko:K12658	kpi:D364_24425
ko:K06015	kpi:D364_24460
ko:K03307	kpi:D364_24470
ko:K00883	kpi:D364_24475
ko:K01631	kpi:D364_24480
ko:K01706	kpi:D364_15955
ko:K01002	kpi:D364_24540
ko:K02317	kpi:D364_24555
ko:K08195	kpi:D364_01950
ko:K00014	kpi:D364_01975
ko:K02624	kpi:D364_01980
ko:K02300	kpi:D364_01995
ko:K02299	kpi:D364_02000
ko:K02298	kpi:D364_02005
ko:K02297	kpi:D364_02010
ko:K12148	kpi:D364_05570
ko:K12149	kpi:D364_05575
ko:K01465	kpi:D364_05580
ko:K08162	kpi:D364_05590
ko:K03790	kpi:D364_05595
ko:K09915	kpi:D364_05600
ko:K03810	kpi:D364_05605
ko:K03980	kpi:D364_05610
ko:K08300	kpi:D364_05625
ko:K06179	kpi:D364_05630
ko:K07040	kpi:D364_05640
ko:K02911	kpi:D364_05645
ko:K03621	kpi:D364_05650
ko:K00648	kpi:D364_05655
ko:K00645	kpi:D364_05660
ko:K00059	kpi:D364_05665
ko:K02078	kpi:D364_05670
ko:K09458	kpi:D364_05675
ko:K02619	kpi:D364_05680
ko:K07082	kpi:D364_05685
ko:K00943	kpi:D364_05690
ko:K02846	kpi:D364_05565
ko:K02341	kpi:D364_05695
ko:K03424	kpi:D364_05700
ko:K02778	kpi:D364_05705
ko:K02779	kpi:D364_05705
ko:K02503	kpi:D364_05710
ko:K07337	kpi:D364_05720
ko:K07251	kpi:D364_05725
ko:K01207	kpi:D364_05730
ko:K07000	kpi:D364_05735
ko:K03885	kpi:D364_05740
ko:K02014	kpi:D364_05750
ko:K12151	kpi:D364_05760
ko:K03723	kpi:D364_05770
ko:K09808	kpi:D364_05775
ko:K09810	kpi:D364_05780
ko:K09808	kpi:D364_05785
ko:K12410	kpi:D364_05795
ko:K01803	kpi:D364_05810
ko:K02526	kpi:D364_05825
ko:K02781	kpi:D364_05830
ko:K01808	kpi:D364_05835
ko:K00616	kpi:D364_05840
ko:K00615	kpi:D364_05845
ko:K11069	kpi:D364_05860
ko:K11070	kpi:D364_05865
ko:K11071	kpi:D364_05870
ko:K11072	kpi:D364_05875
ko:K01258	kpi:D364_05880
ko:K07637	kpi:D364_05890
ko:K07660	kpi:D364_05895
ko:K01756	kpi:D364_05910
ko:K07153	kpi:D364_05915
ko:K00566	kpi:D364_05920
ko:K12152	kpi:D364_05925
ko:K06181	kpi:D364_05930
ko:K00031	kpi:D364_05935
ko:K09984	kpi:D364_05960
ko:K07217	kpi:D364_05990
ko:K00425	kpi:D364_05995
ko:K00426	kpi:D364_06000
ko:K10441	kpi:D364_03360
ko:K03182	kpi:D364_06035
ko:K01424	kpi:D364_06055
ko:K12974	kpi:D364_06060
ko:K11250	kpi:D364_06065
ko:K13069	kpi:D364_06085
ko:K09712	kpi:D364_06090
ko:K03449	kpi:D364_06110
ko:K00432	kpi:D364_06175
ko:K09786	kpi:D364_06185
ko:K07180	kpi:D364_06190
ko:K01792	kpi:D364_06205
ko:K00134	kpi:D364_06210
ko:K07305	kpi:D364_06215
ko:K09916	kpi:D364_06220
ko:K08281	kpi:D364_06235
ko:K01424	kpi:D364_06240
ko:K04773	kpi:D364_06245
ko:K09474	kpi:D364_06255
ko:K01008	kpi:D364_06260
ko:K00262	kpi:D364_06275
ko:K08320	kpi:D364_06280
ko:K05779	kpi:D364_06295
ko:K05778	kpi:D364_06300
ko:K01673	kpi:D364_10370
ko:K01759	kpi:D364_10385
ko:K02035	kpi:D364_10395
ko:K02033	kpi:D364_10400
ko:K02034	kpi:D364_10405
ko:K02051	kpi:D364_10465
ko:K01470	kpi:D364_10495
ko:K02051	kpi:D364_10500
ko:K02049	kpi:D364_10505
ko:K02050	kpi:D364_10510
ko:K01028	kpi:D364_10540
ko:K01029	kpi:D364_10545
ko:K00626	kpi:D364_10550
ko:K00074	kpi:D364_10555
ko:K00019	kpi:D364_10565
ko:K01575	kpi:D364_10575
ko:K01652	kpi:D364_10580
ko:K04096	kpi:D364_14480
ko:K03977	kpi:D364_14595
ko:K17713	kpi:D364_14600
ko:K01892	kpi:D364_14610
ko:K15539	kpi:D364_14620
ko:K06941	kpi:D364_14625
ko:K00940	kpi:D364_14630
ko:K05367	kpi:D364_14635
ko:K01011	kpi:D364_14645
ko:K07751	kpi:D364_14660
ko:K04755	kpi:D364_14670
ko:K04044	kpi:D364_14675
ko:K04082	kpi:D364_14680
ko:K13628	kpi:D364_14685
ko:K04488	kpi:D364_14690
ko:K04487	kpi:D364_14695
ko:K13643	kpi:D364_14700
ko:K15396	kpi:D364_14705
ko:K01092	kpi:D364_14710
ko:K05820	kpi:D364_14735
ko:K03568	kpi:D364_18700
ko:K08301	kpi:D364_18710
ko:K06287	kpi:D364_18715
ko:K03571	kpi:D364_18720
ko:K03570	kpi:D364_18725
ko:K03569	kpi:D364_18730
ko:K17247	kpi:D364_18745
ko:K03786	kpi:D364_18750
ko:K02160	kpi:D364_18755
ko:K01961	kpi:D364_18760
ko:K14392	kpi:D364_18770
ko:K02687	kpi:D364_18775
ko:K03557	kpi:D364_18785
ko:K00014	kpi:D364_18845
ko:K07566	kpi:D364_18850
ko:K06167	kpi:D364_22875
ko:K07479	kpi:D364_18855
ko:K03747	kpi:D364_18860
ko:K04096	kpi:D364_18865
ko:K01462	kpi:D364_18870
ko:K00604	kpi:D364_18875
ko:K03500	kpi:D364_18880
ko:K03499	kpi:D364_18885
ko:K03282	kpi:D364_18890
ko:K02879	kpi:D364_18905
ko:K03040	kpi:D364_18910
ko:K02986	kpi:D364_18915
ko:K02948	kpi:D364_18920
ko:K02952	kpi:D364_18925
ko:K02919	kpi:D364_18930
ko:K03076	kpi:D364_18935
ko:K02876	kpi:D364_18940
ko:K02907	kpi:D364_18945
ko:K02988	kpi:D364_18950
ko:K02881	kpi:D364_18955
ko:K02933	kpi:D364_18960
