ko:K00459	hps:HPSH_02945
ko:K06168	hps:HPSH_01400
ko:K01358	hps:HPSH_02845
ko:K03496	hps:HPSH_04515
ko:K11928	hps:HPSH_00270
ko:K07098	hps:HPSH_02095
ko:K06895	hps:HPSH_03275
ko:K08309	hps:HPSH_03635
ko:K01058	hps:HPSH_04420
ko:K14048	hps:HPSH_00355
ko:K00407	hps:HPSH_00735
ko:K02503	hps:HPSH_05385
ko:K03296	hps:HPSH_03825
ko:K13819	hps:HPSH_01145
ko:K13640	hps:HPSH_02190
ko:K06950	hps:HPSH_02000
ko:K01424	hps:HPSH_03250
ko:K13747	hps:HPSH_00105
ko:K01473	hps:HPSH_03375
ko:K00652	hps:HPSH_03875
ko:K01534	hps:HPSH_02860
ko:K11085	hps:HPSH_01905
ko:K03406	hps:HPSH_00495
ko:K03406	hps:HPSH_00515
ko:K03406	hps:HPSH_00400
ko:K13788	hps:HPSH_04765
ko:K00215	hps:HPSH_04375
ko:K12573	hps:HPSH_06465
ko:K03279	hps:HPSH_00805
ko:K09457	hps:HPSH_07200
ko:K09804	hps:HPSH_06395
ko:K01491	hps:HPSH_03990
ko:K12506	hps:HPSH_02215
ko:K00076	hps:HPSH_02240
ko:K07133	hps:HPSH_06830
ko:K01609	hps:HPSH_01435
ko:K07126	hps:HPSH_01225
ko:K07126	hps:HPSH_01090
ko:K07126	hps:HPSH_05745
ko:K07126	hps:HPSH_05640
ko:K07126	hps:HPSH_00810
ko:K07126	hps:HPSH_03725
ko:K13979	hps:HPSH_05670
ko:K14233	hps:HPSH_t08294
ko:K01119	hps:HPSH_00520
ko:K01156	hps:HPSH_07810
ko:K01079	hps:HPSH_03595
ko:K01455	hps:HPSH_06405
ko:K14228	hps:HPSH_t08316
ko:K03342	hps:HPSH_01520
ko:K02004	hps:HPSH_02875
ko:K09805	hps:HPSH_02540
ko:K03317	hps:HPSH_06115
ko:K13893	hps:HPSH_06490
ko:K09944	hps:HPSH_01465
ko:K13896	hps:HPSH_01300
ko:K13895	hps:HPSH_01305
ko:K09943	hps:HPSH_07710
ko:K00949	hps:HPSH_06675
ko:K14220	hps:HPSH_t08296
ko:K14226	hps:HPSH_t08326
ko:K04517	hps:HPSH_07145
ko:K14234	hps:HPSH_t08346
ko:K14232	hps:HPSH_t08328
ko:K05847	hps:HPSH_02715
ko:K12372	hps:HPSH_01565
ko:K14225	hps:HPSH_t08314
ko:K00290	hps:HPSH_07735
ko:K01990	hps:HPSH_06310
ko:K14221	hps:HPSH_t08284
ko:K14228	hps:HPSH_t08330
ko:K14232	hps:HPSH_t08304
ko:K14228	hps:HPSH_t08348
ko:K14233	hps:HPSH_t08302
ko:K13498	hps:HPSH_06625
ko:K13821	hps:HPSH_00275
ko:K05922	hps:HPSH_03705
ko:K05927	hps:HPSH_03710
ko:K00058	hps:HPSH_05420
ko:K13689	hps:HPSH_01125
ko:K13626	hps:HPSH_07125
ko:K04093	hps:HPSH_01510
ko:K03605	hps:HPSH_03695
ko:K14228	hps:HPSH_t08350
ko:K02029	hps:HPSH_06045
ko:K00941	hps:HPSH_02580
ko:K07097	hps:HPSH_02105
ko:K06882	hps:HPSH_03100
ko:K02484	hps:HPSH_07060
ko:K07791	hps:HPSH_03245
ko:K02484	hps:HPSH_00830
ko:K14234	hps:HPSH_t08340
ko:K14231	hps:HPSH_t08352
ko:K14229	hps:HPSH_t08290
ko:K08077	hps:HPSH_04390
ko:K05540	hps:HPSH_03225
ko:K10856	hps:HPSH_03365
ko:K14224	hps:HPSH_t08282
ko:K14224	hps:HPSH_t08288
ko:K14222	hps:HPSH_t08318
ko:K14225	hps:HPSH_t08342
ko:K14235	hps:HPSH_t08338
ko:K00674	hps:HPSH_03730
ko:K14237	hps:HPSH_t08286
ko:K14236	hps:HPSH_t08344
ko:K14230	hps:HPSH_t08310
ko:K14230	hps:HPSH_t08308
ko:K14233	hps:HPSH_t08320
ko:K14445	hps:HPSH_01105
ko:K07126	hps:HPSH_01745
ko:K00971	hps:HPSH_00210
ko:K02481	hps:HPSH_03340
ko:K01977	hps:HPSH_r08358
ko:K01977	hps:HPSH_r08360
ko:K01980	hps:HPSH_r08362
ko:K01980	hps:HPSH_r08364
ko:K01985	hps:HPSH_r08354
ko:K01985	hps:HPSH_r08356
ko:K14219	hps:HPSH_t08300
ko:K14219	hps:HPSH_t08324
ko:K14218	hps:HPSH_t08334
ko:K14218	hps:HPSH_t08298
ko:K03293	hps:HPSH_02225
ko:K01524	hps:HPSH_01445
ko:K01173	hps:HPSH_07150
ko:K14237	hps:HPSH_t08292
ko:K14230	hps:HPSH_t08336
ko:K09477	hps:HPSH_00720
ko:K00104	hps:HPSH_04380
ko:K14219	hps:HPSH_t08322
ko:K14227	hps:HPSH_t08332
ko:K14219	hps:HPSH_t08306
ko:K19302	hps:HPSH_02545
ko:K14223	hps:HPSH_t08312
ko:K01992	hps:HPSH_03810
ko:K01155	hps:HPSH_07070
ko:K18928	hps:HPSH_00700
ko:K11473	hps:HPSH_03525
ko:K00566	hps:HPSH_00065
ko:K06179	hps:HPSH_05040
ko:K03611	hps:HPSH_03895
ko:K07318	hps:HPSH_06255
ko:K07100	hps:HPSH_06285
ko:K15256	hps:HPSH_05465
ko:K15257	hps:HPSH_05315
ko:K15633	hps:HPSH_05145
ko:K15895	hps:HPSH_05585
ko:K15896	hps:HPSH_01700
ko:K15898	hps:HPSH_00900
ko:K15778	hps:HPSH_06605
ko:K15842	hps:HPSH_04145
ko:K15842	hps:HPSH_04215
ko:K15843	hps:HPSH_04805
ko:K15844	hps:HPSH_04810
ko:K15846	hps:HPSH_02830
ko:K15846	hps:HPSH_04455
ko:K15846	hps:HPSH_05350
ko:K15847	hps:HPSH_04720
ko:K15894	hps:HPSH_02600
ko:K07316	hps:HPSH_01350
ko:K18682	hps:HPSH_03025
ko:K03781	hps:HPSH_02395
ko:K16091	hps:HPSH_03435
ko:K16091	hps:HPSH_07905
ko:K15726	hps:HPSH_05120
ko:K10716	hps:HPSH_04465
ko:K02014	hps:HPSH_02430
ko:K02028	hps:HPSH_06055
ko:K02030	hps:HPSH_06060
ko:K16052	hps:HPSH_05335
ko:K02029	hps:HPSH_06050
ko:K12110	hps:HPSH_04230
ko:K00970	hps:HPSH_03665
ko:K03321	hps:HPSH_01185
ko:K12369	hps:HPSH_01550
ko:K12371	hps:HPSH_01560
ko:K10009	hps:HPSH_04940
ko:K02424	hps:HPSH_04945
ko:K02003	hps:HPSH_00905
ko:K11782	hps:HPSH_02920
ko:K01738	hps:HPSH_00535
ko:K01760	hps:HPSH_00530
ko:K17103	hps:HPSH_01970
ko:K02847	hps:HPSH_02120
ko:K01992	hps:HPSH_07620
ko:K17686	hps:HPSH_07715
ko:K17686	hps:HPSH_01965
ko:K01155	hps:HPSH_01365
ko:K00254	hps:HPSH_02255
ko:K06148	hps:HPSH_06245
ko:K05366	hps:HPSH_03880
ko:K11784	hps:HPSH_03575
ko:K11785	hps:HPSH_00770
ko:K18284	hps:HPSH_00440
ko:K18285	hps:HPSH_03585
ko:K18480	hps:HPSH_07495
ko:K07316	hps:HPSH_07155
ko:K18930	hps:HPSH_06320
ko:K03526	hps:HPSH_03735
ko:K00571	hps:HPSH_00465
ko:K07448	hps:HPSH_01915
ko:K00571	hps:HPSH_00245
ko:K00571	hps:HPSH_01370
ko:K07317	hps:HPSH_04790
ko:K01992	hps:HPSH_07615
ko:K19416	hps:HPSH_04845
ko:K20810	hps:HPSH_01390
ko:K20151	hps:HPSH_05520
ko:K02483	hps:HPSH_07065
ko:K01139	hps:HPSH_02935
ko:K10026	hps:HPSH_04915
ko:K21929	hps:HPSH_03610
ko:K09022	hps:HPSH_04970
ko:K14441	hps:HPSH_03170
ko:K22391	hps:HPSH_05055
ko:K17758	hps:HPSH_07055
ko:K17759	hps:HPSH_07055
ko:K00590	hps:HPSH_03420
ko:K00571	hps:HPSH_07000
