ko:K03741	fpk:IA06_07655
ko:K03723	fpk:IA06_00865
ko:K03642	fpk:IA06_00875
ko:K00764	fpk:IA06_00885
ko:K03469	fpk:IA06_00895
ko:K11175	fpk:IA06_00900
ko:K02078	fpk:IA06_00905
ko:K09458	fpk:IA06_00915
ko:K03685	fpk:IA06_00920
ko:K00873	fpk:IA06_00930
ko:K01159	fpk:IA06_00955
ko:K09793	fpk:IA06_00975
ko:K01870	fpk:IA06_00995
ko:K03101	fpk:IA06_01005
ko:K01934	fpk:IA06_01010
ko:K06987	fpk:IA06_01015
ko:K03703	fpk:IA06_01020
ko:K07001	fpk:IA06_01025
ko:K03294	fpk:IA06_01030
ko:K00451	fpk:IA06_01035
ko:K00457	fpk:IA06_01040
ko:K00453	fpk:IA06_01050
ko:K01056	fpk:IA06_01060
ko:K11753	fpk:IA06_01075
ko:K01012	fpk:IA06_01080
ko:K03654	fpk:IA06_05840
ko:K06041	fpk:IA06_05845
ko:K03118	fpk:IA06_05850
ko:K06861	fpk:IA06_05860
ko:K07273	fpk:IA06_05865
ko:K17103	fpk:IA06_05870
ko:K00640	fpk:IA06_05920
ko:K00640	fpk:IA06_05945
ko:K08068	fpk:IA06_05955
ko:K01991	fpk:IA06_06055
ko:K00648	fpk:IA06_06080
ko:K00648	fpk:IA06_06090
ko:K01791	fpk:IA06_06105
ko:K19068	fpk:IA06_06110
ko:K17716	fpk:IA06_06120
ko:K06940	fpk:IA06_10805
ko:K02040	fpk:IA06_10855
ko:K03832	fpk:IA06_10860
ko:K03561	fpk:IA06_10875
ko:K06915	fpk:IA06_10880
ko:K00486	fpk:IA06_10885
ko:K01434	fpk:IA06_10890
ko:K01480	fpk:IA06_10895
ko:K01556	fpk:IA06_10900
ko:K02899	fpk:IA06_10910
ko:K02888	fpk:IA06_10915
ko:K00343	fpk:IA06_10925
ko:K00342	fpk:IA06_10930
ko:K00341	fpk:IA06_10935
ko:K00340	fpk:IA06_10940
ko:K00339	fpk:IA06_10945
ko:K00338	fpk:IA06_10950
ko:K00337	fpk:IA06_10955
ko:K00335	fpk:IA06_10970
ko:K00334	fpk:IA06_10975
ko:K00333	fpk:IA06_10980
ko:K00332	fpk:IA06_10985
ko:K00331	fpk:IA06_10990
ko:K00330	fpk:IA06_10995
ko:K06894	fpk:IA06_11005
ko:K05367	fpk:IA06_11010
ko:K00452	fpk:IA06_11015
ko:K03596	fpk:IA06_11050
ko:K03565	fpk:IA06_11055
ko:K00655	fpk:IA06_11070
ko:K01867	fpk:IA06_11075
ko:K01737	fpk:IA06_11080
ko:K03092	fpk:IA06_11085
ko:K01893	fpk:IA06_11090
ko:K07003	fpk:IA06_11095
ko:K01534	fpk:IA06_02080
ko:K03154	fpk:IA06_02085
ko:K03147	fpk:IA06_02090
ko:K00788	fpk:IA06_02095
ko:K00941	fpk:IA06_02100
ko:K00788	fpk:IA06_02105
ko:K03149	fpk:IA06_02110
ko:K03150	fpk:IA06_02115
ko:K09903	fpk:IA06_02125
ko:K02838	fpk:IA06_02130
ko:K01754	fpk:IA06_02175
ko:K00053	fpk:IA06_02180
ko:K01653	fpk:IA06_02185
ko:K01652	fpk:IA06_02190
ko:K01687	fpk:IA06_02195
ko:K00826	fpk:IA06_02200
ko:K02357	fpk:IA06_02215
ko:K02967	fpk:IA06_02220
ko:K02996	fpk:IA06_02225
ko:K02871	fpk:IA06_02230
ko:K05595	fpk:IA06_02250
ko:K03797	fpk:IA06_02265
ko:K09748	fpk:IA06_02290
ko:K02600	fpk:IA06_02295
ko:K02519	fpk:IA06_02300
ko:K06207	fpk:IA06_02310
ko:K00243	fpk:IA06_02315
ko:K01661	fpk:IA06_02320
ko:K02548	fpk:IA06_02325
ko:K00912	fpk:IA06_07035
ko:K01491	fpk:IA06_07045
ko:K03106	fpk:IA06_07050
ko:K03734	fpk:IA06_07095
ko:K16091	fpk:IA06_07120
ko:K16089	fpk:IA06_07150
ko:K01887	fpk:IA06_07165
ko:K00648	fpk:IA06_07180
ko:K07090	fpk:IA06_07185
ko:K04079	fpk:IA06_07220
ko:K02477	fpk:IA06_07255
ko:K15342	fpk:IA06_07270
ko:K09951	fpk:IA06_07275
ko:K01880	fpk:IA06_12010
ko:K03770	fpk:IA06_12015
ko:K03525	fpk:IA06_12035
ko:K04096	fpk:IA06_12050
ko:K00973	fpk:IA06_12110
ko:K02014	fpk:IA06_12145
ko:K02115	fpk:IA06_12150
ko:K02111	fpk:IA06_12155
ko:K02113	fpk:IA06_12160
ko:K02109	fpk:IA06_12165
ko:K02110	fpk:IA06_12170
ko:K02108	fpk:IA06_12175
ko:K02613	fpk:IA06_12205
ko:K00761	fpk:IA06_12220
ko:K01945	fpk:IA06_12235
ko:K01912	fpk:IA06_12240
ko:K03606	fpk:IA06_12250
ko:K00067	fpk:IA06_12260
ko:K01790	fpk:IA06_12265
ko:K03687	fpk:IA06_03305
ko:K07071	fpk:IA06_03310
ko:K09940	fpk:IA06_03320
ko:K10947	fpk:IA06_03325
ko:K01555	fpk:IA06_03350
ko:K00600	fpk:IA06_03355
ko:K00615	fpk:IA06_03360
ko:K00615	fpk:IA06_03365
ko:K01933	fpk:IA06_03375
ko:K01952	fpk:IA06_03430
ko:K03500	fpk:IA06_03440
ko:K00382	fpk:IA06_03485
ko:K04487	fpk:IA06_03495
ko:K07095	fpk:IA06_03500
ko:K07504	fpk:IA06_03520
ko:K03628	fpk:IA06_03545
ko:K09861	fpk:IA06_03550
ko:K07106	fpk:IA06_03585
ko:K07444	fpk:IA06_03605
ko:K03215	fpk:IA06_03630
ko:K07305	fpk:IA06_08270
ko:K07305	fpk:IA06_08275
ko:K01897	fpk:IA06_08280
ko:K00681	fpk:IA06_08285
ko:K07516	fpk:IA06_08295
ko:K03386	fpk:IA06_08325
ko:K03782	fpk:IA06_08330
ko:K01761	fpk:IA06_08345
ko:K03719	fpk:IA06_08350
ko:K00382	fpk:IA06_08355
ko:K04565	fpk:IA06_08360
ko:K04761	fpk:IA06_08370
ko:K00826	fpk:IA06_08385
ko:K03424	fpk:IA06_08410
ko:K09164	fpk:IA06_08415
ko:K07447	fpk:IA06_08435
ko:K00116	fpk:IA06_08440
ko:K01462	fpk:IA06_08445
ko:K02428	fpk:IA06_08455
ko:K07017	fpk:IA06_08460
ko:K02371	fpk:IA06_08490
ko:K03695	fpk:IA06_08505
ko:K00949	fpk:IA06_08515
ko:K06970	fpk:IA06_08520
ko:K00014	fpk:IA06_08525
ko:K03281	fpk:IA06_08545
ko:K03313	fpk:IA06_08550
ko:K00566	fpk:IA06_08555
ko:K03284	fpk:IA06_08575
ko:K00819	fpk:IA06_03655
ko:K06169	fpk:IA06_03670
ko:K07054	fpk:IA06_03680
ko:K05844	fpk:IA06_03690
ko:K03696	fpk:IA06_03695
ko:K02469	fpk:IA06_03700
ko:K09022	fpk:IA06_03710
ko:K01448	fpk:IA06_03720
ko:K02067	fpk:IA06_03725
ko:K01736	fpk:IA06_03785
ko:K00626	fpk:IA06_03810
ko:K00605	fpk:IA06_03840
ko:K01745	fpk:IA06_03850
ko:K13653	fpk:IA06_03855
ko:K03718	fpk:IA06_03880
ko:K06966	fpk:IA06_03890
ko:K03701	fpk:IA06_03910
ko:K02014	fpk:IA06_03920
ko:K01840	fpk:IA06_03935
ko:K01468	fpk:IA06_08580
ko:K02217	fpk:IA06_08590
ko:K01809	fpk:IA06_08625
ko:K03564	fpk:IA06_08630
ko:K01737	fpk:IA06_08635
ko:K01823	fpk:IA06_08640
ko:K02945	fpk:IA06_08645
ko:K00609	fpk:IA06_08655
ko:K02825	fpk:IA06_08660
ko:K06199	fpk:IA06_08670
ko:K00639	fpk:IA06_08695
ko:K01756	fpk:IA06_08700
ko:K12410	fpk:IA06_08705
ko:K00556	fpk:IA06_08710
ko:K03671	fpk:IA06_08735
ko:K07090	fpk:IA06_08755
ko:K05592	fpk:IA06_08765
ko:K02428	fpk:IA06_08770
ko:K00088	fpk:IA06_08775
ko:K01640	fpk:IA06_08795
ko:K00254	fpk:IA06_08800
ko:K07636	fpk:IA06_08840
ko:K00859	fpk:IA06_08845
ko:K01081	fpk:IA06_08875
ko:K01714	fpk:IA06_08890
ko:K00798	fpk:IA06_02875
ko:K00336	fpk:IA06_10960
ko:K19302	fpk:IA06_10200
ko:K01990	fpk:IA06_07960
ko:K01990	fpk:IA06_11200
ko:K01992	fpk:IA06_01395
ko:K19294	fpk:IA06_06730
ko:K06867	fpk:IA06_07070
ko:K06881	fpk:IA06_09190
ko:K09690	fpk:IA06_06025
ko:K01980	fpk:IA06_10770
ko:K14225	fpk:IA06_10455
ko:K14227	fpk:IA06_10780
ko:K14237	fpk:IA06_02650
ko:K14237	fpk:IA06_05015
ko:K14219	fpk:IA06_03825
ko:K10206	fpk:IA06_01165
ko:K05770	fpk:IA06_01475
ko:K01985	fpk:IA06_10765
ko:K14230	fpk:IA06_09560
ko:K14230	fpk:IA06_09565
ko:K01977	fpk:IA06_10785
ko:K09691	fpk:IA06_06020
ko:K14228	fpk:IA06_00675
ko:K14228	fpk:IA06_00680
ko:K14228	fpk:IA06_01905
ko:K14228	fpk:IA06_06900
ko:K14220	fpk:IA06_00335
ko:K14230	fpk:IA06_01090
ko:K14230	fpk:IA06_09790
ko:K14221	fpk:IA06_01205
ko:K14223	fpk:IA06_01415
ko:K14225	fpk:IA06_01910
ko:K14218	fpk:IA06_10775
ko:K14218	fpk:IA06_11865
ko:K14226	fpk:IA06_03220
ko:K14219	fpk:IA06_03420
ko:K14219	fpk:IA06_10035
ko:K14233	fpk:IA06_03815
ko:K14233	fpk:IA06_07600
ko:K14233	fpk:IA06_11300
ko:K14232	fpk:IA06_03820
ko:K14232	fpk:IA06_05235
ko:K14236	fpk:IA06_04290
ko:K14236	fpk:IA06_05595
ko:K14235	fpk:IA06_05580
ko:K14234	fpk:IA06_05590
ko:K14234	fpk:IA06_05600
ko:K14234	fpk:IA06_08615
ko:K14224	fpk:IA06_06645
ko:K14224	fpk:IA06_06650
ko:K14229	fpk:IA06_06890
ko:K14229	fpk:IA06_06895
ko:K14231	fpk:IA06_12040
ko:K14222	fpk:IA06_12340
ko:K01978	fpk:IA06_12460
ko:K20534	fpk:IA06_07830
ko:K18890	fpk:IA06_06790
ko:K18889	fpk:IA06_02610
ko:K20866	fpk:IA06_09905
ko:K08968	fpk:IA06_09960
ko:K00632	fpk:IA06_08305
ko:K00857	fpk:IA06_04980
ko:K06217	fpk:IA06_05070
ko:K02316	fpk:IA06_10150
ko:K07313	fpk:IA06_00625
ko:K00558	fpk:IA06_10530
ko:K03553	fpk:IA06_11065
ko:K14623	fpk:IA06_01140
ko:K00558	fpk:IA06_11210
ko:K00287	fpk:IA06_01575
ko:K00560	fpk:IA06_01600
ko:K01493	fpk:IA06_02270
ko:K01520	fpk:IA06_12115
ko:K02314	fpk:IA06_03030
ko:K00558	fpk:IA06_03640
ko:K00558	fpk:IA06_03955
ko:K02335	fpk:IA06_01375
ko:K00525	fpk:IA06_02235
ko:K02481	fpk:IA06_08140
ko:K00526	fpk:IA06_02240
ko:K21470	fpk:IA06_10465
ko:K01420	fpk:IA06_04285
ko:K10026	fpk:IA06_10820
ko:K00754	fpk:IA06_03770
ko:K01463	fpk:IA06_03225
ko:K17758	fpk:IA06_03845
ko:K22132	fpk:IA06_08405
ko:K22136	fpk:IA06_06705
ko:K03595	fpk:IA06_09555
ko:K08994	fpk:IA06_03055
ko:K22252	fpk:IA06_07870
ko:K02257	fpk:IA06_10325
ko:K01505	fpk:IA06_05700
ko:K22491	fpk:IA06_06910
ko:K09516	fpk:IA06_11245
