ko:K01212	bsy:I653_16755
ko:K02493	bsy:I653_18100
ko:K02835	bsy:I653_18105
ko:K08234	bsy:I653_18110
ko:K11686	bsy:I653_18115
ko:K07088	bsy:I653_18120
ko:K00027	bsy:I653_18125
ko:K02909	bsy:I653_18135
ko:K03628	bsy:I653_18140
ko:K02446	bsy:I653_18145
ko:K00790	bsy:I653_18150
ko:K00616	bsy:I653_18160
ko:K01624	bsy:I653_18165
ko:K02490	bsy:I653_18170
ko:K01937	bsy:I653_18180
ko:K03048	bsy:I653_18185
ko:K06131	bsy:I653_18200
ko:K06147	bsy:I653_18220
ko:K06131	bsy:I653_18225
ko:K00374	bsy:I653_18230
ko:K00373	bsy:I653_18235
ko:K00371	bsy:I653_18240
ko:K00370	bsy:I653_18245
ko:K02575	bsy:I653_18265
ko:K01887	bsy:I653_18270
ko:K00024	bsy:I653_13910
ko:K07406	bsy:I653_03600
ko:K06890	bsy:I653_03635
ko:K14338	bsy:I653_03650
ko:K00978	bsy:I653_03660
ko:K01709	bsy:I653_03665
ko:K08223	bsy:I653_03685
ko:K03321	bsy:I653_00800
ko:K02015	bsy:I653_00815
ko:K02015	bsy:I653_00820
ko:K02016	bsy:I653_00825
ko:K01207	bsy:I653_00840
ko:K07106	bsy:I653_00860
ko:K03088	bsy:I653_00880
ko:K03431	bsy:I653_00900
ko:K00820	bsy:I653_00910
ko:K05577	bsy:I653_00920
ko:K09822	bsy:I653_00925
ko:K02016	bsy:I653_05225
ko:K00626	bsy:I653_05235
ko:K03523	bsy:I653_05245
ko:K02250	bsy:I653_05270
ko:K03307	bsy:I653_05285
ko:K03100	bsy:I653_05305
ko:K08174	bsy:I653_05320
ko:K07120	bsy:I653_05345
ko:K16899	bsy:I653_05370
ko:K16898	bsy:I653_05375
ko:K03547	bsy:I653_05380
ko:K06304	bsy:I653_05395
ko:K06303	bsy:I653_05400
ko:K06302	bsy:I653_05405
ko:K06301	bsy:I653_05410
ko:K06300	bsy:I653_05415
ko:K06299	bsy:I653_05420
ko:K01953	bsy:I653_05460
ko:K02291	bsy:I653_05465
ko:K07727	bsy:I653_09750
ko:K01181	bsy:I653_09805
ko:K00274	bsy:I653_09845
ko:K06878	bsy:I653_09850
ko:K08976	bsy:I653_09900
ko:K10255	bsy:I653_09920
ko:K07778	bsy:I653_09925
ko:K07693	bsy:I653_09930
ko:K03654	bsy:I653_09940
ko:K01118	bsy:I653_09950
ko:K13993	bsy:I653_09970
ko:K04564	bsy:I653_10005
ko:K03308	bsy:I653_10010
ko:K03453	bsy:I653_10015
ko:K00658	bsy:I653_10020
ko:K00059	bsy:I653_14070
ko:K01755	bsy:I653_14080
ko:K01940	bsy:I653_14085
ko:K03638	bsy:I653_14090
ko:K00925	bsy:I653_14095
ko:K11065	bsy:I653_14105
ko:K04773	bsy:I653_14125
ko:K00858	bsy:I653_14135
ko:K01895	bsy:I653_14145
ko:K03151	bsy:I653_14155
ko:K04487	bsy:I653_14160
ko:K03311	bsy:I653_14165
ko:K06286	bsy:I653_14170
ko:K04486	bsy:I653_14175
ko:K02986	bsy:I653_14195
ko:K01866	bsy:I653_14205
ko:K01895	bsy:I653_14210
ko:K04766	bsy:I653_14215
ko:K04767	bsy:I653_14220
ko:K04768	bsy:I653_14225
ko:K02557	bsy:I653_14230
ko:K02556	bsy:I653_14235
ko:K02529	bsy:I653_14240
ko:K13853	bsy:I653_14245
ko:K01924	bsy:I653_14265
ko:K03466	bsy:I653_14270
ko:K06878	bsy:I653_14275
ko:K01480	bsy:I653_18375
ko:K00797	bsy:I653_18380
ko:K01821	bsy:I653_18400
ko:K01868	bsy:I653_18410
ko:K06885	bsy:I653_18440
ko:K06314	bsy:I653_18450
ko:K03298	bsy:I653_18455
ko:K16869	bsy:I653_18465
ko:K00625	bsy:I653_18475
ko:K02205	bsy:I653_18525
ko:K00294	bsy:I653_18535
ko:K00260	bsy:I653_18540
ko:K03294	bsy:I653_03695
ko:K15738	bsy:I653_03710
ko:K02013	bsy:I653_03760
ko:K02015	bsy:I653_03765
ko:K02015	bsy:I653_03770
ko:K02016	bsy:I653_03775
ko:K01728	bsy:I653_03790
ko:K03319	bsy:I653_03795
ko:K11637	bsy:I653_03800
ko:K01560	bsy:I653_03690
ko:K00491	bsy:I653_03830
ko:K01512	bsy:I653_03835
ko:K01265	bsy:I653_03860
ko:K02803	bsy:I653_03865
ko:K02804	bsy:I653_03865
ko:K03310	bsy:I653_03880
ko:K02304	bsy:I653_08040
ko:K01537	bsy:I653_08050
ko:K09777	bsy:I653_08060
ko:K00942	bsy:I653_08065
ko:K03060	bsy:I653_08070
ko:K13038	bsy:I653_08075
ko:K04066	bsy:I653_08080
ko:K01462	bsy:I653_08085
ko:K00604	bsy:I653_08090
ko:K03500	bsy:I653_08095
ko:K06941	bsy:I653_08100
ko:K06949	bsy:I653_08115
ko:K01783	bsy:I653_08120
ko:K00949	bsy:I653_08125
ko:K06414	bsy:I653_08130
ko:K02902	bsy:I653_08135
ko:K07030	bsy:I653_08145
ko:K01752	bsy:I653_08150
ko:K01752	bsy:I653_08155
ko:K03655	bsy:I653_08160
ko:K03621	bsy:I653_08170
ko:K00645	bsy:I653_08175
ko:K00059	bsy:I653_08180
ko:K02078	bsy:I653_08185
ko:K03685	bsy:I653_08190
ko:K03529	bsy:I653_08195
ko:K03110	bsy:I653_08200
ko:K09787	bsy:I653_08210
ko:K03106	bsy:I653_08215
ko:K02959	bsy:I653_08220
ko:K06960	bsy:I653_08225
ko:K02860	bsy:I653_08235
ko:K00554	bsy:I653_08240
ko:K02884	bsy:I653_08245
ko:K14540	bsy:I653_08250
ko:K03470	bsy:I653_08255
ko:K04061	bsy:I653_08265
ko:K01903	bsy:I653_08270
ko:K01902	bsy:I653_08275
ko:K04096	bsy:I653_08280
ko:K03168	bsy:I653_08285
ko:K04094	bsy:I653_08290
ko:K03733	bsy:I653_08295
ko:K01419	bsy:I653_08300
ko:K03667	bsy:I653_08305
ko:K03706	bsy:I653_08310
ko:K13256	bsy:I653_12430
ko:K07148	bsy:I653_12445
ko:K08153	bsy:I653_12600
ko:K00657	bsy:I653_12605
ko:K16264	bsy:I653_12635
ko:K03311	bsy:I653_12655
ko:K03929	bsy:I653_16710
ko:K13727	bsy:I653_16720
ko:K01779	bsy:I653_16730
ko:K00692	bsy:I653_16750
ko:K01358	bsy:I653_16810
ko:K01182	bsy:I653_16820
ko:K00691	bsy:I653_16825
ko:K15772	bsy:I653_16835
ko:K15771	bsy:I653_16840
ko:K15770	bsy:I653_16845
ko:K06966	bsy:I653_16860
ko:K03321	bsy:I653_16870
ko:K01673	bsy:I653_16875
ko:K00090	bsy:I653_16880
ko:K02004	bsy:I653_16885
ko:K02003	bsy:I653_16890
ko:K00675	bsy:I653_16910
ko:K11184	bsy:I653_16915
ko:K09762	bsy:I653_16920
ko:K14233	bsy:I653_t20285
ko:K14233	bsy:I653_t20355
ko:K14233	bsy:I653_t20221
ko:K15629	bsy:I653_01020
ko:K01126	bsy:I653_01035
ko:K02445	bsy:I653_01040
ko:K08289	bsy:I653_01085
ko:K01613	bsy:I653_01115
ko:K07146	bsy:I653_01130
ko:K11102	bsy:I653_01135
ko:K02564	bsy:I653_01145
ko:K03710	bsy:I653_01150
ko:K00826	bsy:I653_01160
ko:K00547	bsy:I653_01170
ko:K11626	bsy:I653_01180
ko:K01425	bsy:I653_01185
ko:K07717	bsy:I653_01190
ko:K07719	bsy:I653_01195
ko:K01707	bsy:I653_01200
ko:K03535	bsy:I653_01210
ko:K01706	bsy:I653_01215
ko:K01708	bsy:I653_01225
ko:K01449	bsy:I653_01275
ko:K01113	bsy:I653_01290
ko:K03116	bsy:I653_01295
ko:K06895	bsy:I653_05500
ko:K00860	bsy:I653_05520
ko:K00958	bsy:I653_05525
ko:K00390	bsy:I653_05530
ko:K05979	bsy:I653_05535
ko:K08097	bsy:I653_05540
ko:K08221	bsy:I653_05555
ko:K09767	bsy:I653_05580
ko:K00243	bsy:I653_05585
ko:K01990	bsy:I653_02295
ko:K01990	bsy:I653_16565
ko:K01990	bsy:I653_18365
ko:K06295	bsy:I653_03900
ko:K02818	bsy:I653_03905
ko:K02819	bsy:I653_03905
ko:K01226	bsy:I653_03910
ko:K03486	bsy:I653_03915
ko:K05520	bsy:I653_03930
ko:K01104	bsy:I653_03945
ko:K07058	bsy:I653_03955
ko:K07300	bsy:I653_03975
ko:K03284	bsy:I653_04010
ko:K01247	bsy:I653_04015
ko:K03215	bsy:I653_04020
ko:K00627	bsy:I653_04055
ko:K00382	bsy:I653_04060
ko:K06425	bsy:I653_04070
ko:K09771	bsy:I653_04075
ko:K01232	bsy:I653_04100
ko:K03481	bsy:I653_04105
ko:K02749	bsy:I653_04110
ko:K02750	bsy:I653_04110
ko:K07104	bsy:I653_04130
ko:K02387	bsy:I653_08315
ko:K02388	bsy:I653_08320
ko:K02408	bsy:I653_08325
ko:K02409	bsy:I653_08330
ko:K02410	bsy:I653_08335
ko:K02411	bsy:I653_08340
ko:K02412	bsy:I653_08345
ko:K02413	bsy:I653_08350
ko:K02414	bsy:I653_08360
ko:K02389	bsy:I653_08365
ko:K02390	bsy:I653_08370
ko:K02385	bsy:I653_08375
ko:K02415	bsy:I653_08380
ko:K02416	bsy:I653_08385
ko:K02417	bsy:I653_08390
ko:K03413	bsy:I653_08395
ko:K02418	bsy:I653_08400
ko:K02419	bsy:I653_08405
ko:K02420	bsy:I653_08410
ko:K02421	bsy:I653_08415
ko:K02401	bsy:I653_08420
ko:K02400	bsy:I653_08425
ko:K02404	bsy:I653_08430
ko:K04562	bsy:I653_08435
ko:K03412	bsy:I653_08440
ko:K03407	bsy:I653_08445
ko:K03408	bsy:I653_08450
ko:K03410	bsy:I653_08455
ko:K03411	bsy:I653_08460
ko:K02405	bsy:I653_08465
ko:K02967	bsy:I653_08475
ko:K02357	bsy:I653_08480
ko:K09903	bsy:I653_08485
ko:K02838	bsy:I653_08490
ko:K00806	bsy:I653_08495
ko:K00981	bsy:I653_08500
ko:K00099	bsy:I653_08505
ko:K11749	bsy:I653_08510
ko:K01881	bsy:I653_08515
ko:K03763	bsy:I653_08520
ko:K09748	bsy:I653_08525
ko:K02600	bsy:I653_08530
ko:K07742	bsy:I653_08535
ko:K02519	bsy:I653_08545
ko:K09764	bsy:I653_08550
ko:K02834	bsy:I653_08555
ko:K03177	bsy:I653_08560
ko:K11753	bsy:I653_08565
ko:K02956	bsy:I653_08570
ko:K08777	bsy:I653_05620
ko:K06889	bsy:I653_05655
ko:K00145	bsy:I653_05680
ko:K00620	bsy:I653_05685
ko:K00930	bsy:I653_05690
ko:K01956	bsy:I653_05700
ko:K01955	bsy:I653_05705
ko:K00611	bsy:I653_05710
ko:K05519	bsy:I653_05735
ko:K02254	bsy:I653_05740
ko:K00648	bsy:I653_05750
ko:K09458	bsy:I653_05755
ko:K00164	bsy:I653_10025
ko:K03327	bsy:I653_10065
ko:K05786	bsy:I653_10090
ko:K03299	bsy:I653_10105
ko:K06999	bsy:I653_10130
ko:K15975	bsy:I653_10135
ko:K03307	bsy:I653_10145
ko:K03797	bsy:I653_10150
ko:K03784	bsy:I653_10170
ko:K01438	bsy:I653_10225
ko:K01034	bsy:I653_10235
ko:K01083	bsy:I653_10280
ko:K07305	bsy:I653_10290
ko:K07304	bsy:I653_10295
ko:K00027	bsy:I653_14305
ko:K03439	bsy:I653_14315
ko:K01975	bsy:I653_14345
ko:K01738	bsy:I653_14350
ko:K01439	bsy:I653_14355
ko:K06901	bsy:I653_14360
ko:K06183	bsy:I653_14380
ko:K07007	bsy:I653_14390
ko:K05020	bsy:I653_14395
ko:K15532	bsy:I653_14420
ko:K01012	bsy:I653_14455
ko:K01935	bsy:I653_14460
ko:K00652	bsy:I653_14465
ko:K02529	bsy:I653_14485
ko:K10117	bsy:I653_14490
ko:K10118	bsy:I653_14495
ko:K10119	bsy:I653_14500
ko:K07406	bsy:I653_14505
ko:K01869	bsy:I653_14515
ko:K11632	bsy:I653_14545
ko:K11631	bsy:I653_14550
ko:K11629	bsy:I653_14555
ko:K11630	bsy:I653_14560
ko:K01790	bsy:I653_18550
ko:K00067	bsy:I653_18555
ko:K00973	bsy:I653_18565
ko:K07257	bsy:I653_18575
ko:K06305	bsy:I653_18605
ko:K03648	bsy:I653_18630
ko:K00868	bsy:I653_18640
ko:K01193	bsy:I653_18650
ko:K02598	bsy:I653_18665
ko:K03488	bsy:I653_18670
ko:K14647	bsy:I653_18680
ko:K05837	bsy:I653_18695
ko:K02829	bsy:I653_18705
ko:K02828	bsy:I653_18710
ko:K02827	bsy:I653_18715
ko:K02826	bsy:I653_18720
ko:K00965	bsy:I653_18730
ko:K00849	bsy:I653_18735
ko:K14393	bsy:I653_18760
ko:K16301	bsy:I653_18770
ko:K07224	bsy:I653_18775
ko:K07243	bsy:I653_18780
ko:K00788	bsy:I653_18785
ko:K00878	bsy:I653_18790
ko:K01990	bsy:I653_04145
ko:K01990	bsy:I653_04190
ko:K01990	bsy:I653_04570
ko:K00962	bsy:I653_08575
ko:K00459	bsy:I653_12720
ko:K01776	bsy:I653_12725
ko:K09815	bsy:I653_12735
ko:K03088	bsy:I653_12740
ko:K00121	bsy:I653_12790
ko:K06439	bsy:I653_12800
ko:K01607	bsy:I653_12810
ko:K13979	bsy:I653_12815
ko:K05520	bsy:I653_12820
ko:K11737	bsy:I653_12855
ko:K03088	bsy:I653_12870
ko:K14338	bsy:I653_12890
ko:K00123	bsy:I653_12925
ko:K01243	bsy:I653_12950
ko:K03624	bsy:I653_12975
ko:K00876	bsy:I653_12980
ko:K08303	bsy:I653_12985
ko:K08303	bsy:I653_12990
ko:K06958	bsy:I653_16930
ko:K00384	bsy:I653_16940
ko:K11755	bsy:I653_16975
ko:K02500	bsy:I653_16980
ko:K01814	bsy:I653_16985
ko:K02501	bsy:I653_16990
ko:K01693	bsy:I653_16995
ko:K00013	bsy:I653_17000
ko:K00765	bsy:I653_17005
ko:K02502	bsy:I653_17010
ko:K06019	bsy:I653_17030
ko:K06023	bsy:I653_17050
ko:K01443	bsy:I653_17055
ko:K02564	bsy:I653_17060
ko:K03710	bsy:I653_17065
ko:K08972	bsy:I653_17075
ko:K02406	bsy:I653_17100
ko:K03701	bsy:I653_17110
ko:K03702	bsy:I653_17115
ko:K03797	bsy:I653_17150
ko:K09811	bsy:I653_17155
ko:K09812	bsy:I653_17160
ko:K02836	bsy:I653_17175
ko:K03070	bsy:I653_17180
ko:K02423	bsy:I653_17195
ko:K02313	bsy:I653_00005
ko:K02338	bsy:I653_00010
ko:K03629	bsy:I653_00020
ko:K14205	bsy:I653_04225
ko:K02016	bsy:I653_04230
ko:K02015	bsy:I653_04235
ko:K02015	bsy:I653_04240
ko:K07071	bsy:I653_04265
ko:K03565	bsy:I653_04270
ko:K06428	bsy:I653_04285
ko:K07038	bsy:I653_04320
ko:K03575	bsy:I653_04325
ko:K10780	bsy:I653_04335
ko:K06422	bsy:I653_04340
ko:K07586	bsy:I653_04350
ko:K11085	bsy:I653_04355
ko:K01845	bsy:I653_04365
ko:K03564	bsy:I653_04370
ko:K09825	bsy:I653_04375
ko:K06410	bsy:I653_08595
ko:K06411	bsy:I653_08600
ko:K00133	bsy:I653_08605
ko:K00928	bsy:I653_08610
ko:K01714	bsy:I653_08615
ko:K03466	bsy:I653_08635
ko:K03710	bsy:I653_08640
ko:K08221	bsy:I653_08645
ko:K00059	bsy:I653_08660
ko:K00995	bsy:I653_08680
ko:K03118	bsy:I653_01300
ko:K01304	bsy:I653_01305
ko:K01424	bsy:I653_01325
ko:K07039	bsy:I653_01340
ko:K09697	bsy:I653_01355
ko:K09696	bsy:I653_01360
ko:K01182	bsy:I653_01400
ko:K09815	bsy:I653_01405
ko:K09817	bsy:I653_01410
ko:K09816	bsy:I653_01415
ko:K05795	bsy:I653_01430
ko:K05795	bsy:I653_01435
ko:K08369	bsy:I653_01455
ko:K02000	bsy:I653_01470
ko:K02001	bsy:I653_01475
ko:K02002	bsy:I653_01480
ko:K14665	bsy:I653_01485
ko:K01176	bsy:I653_01500
ko:K00016	bsy:I653_01505
ko:K03303	bsy:I653_01510
ko:K09190	bsy:I653_01530
ko:K09967	bsy:I653_01545
ko:K01916	bsy:I653_01550
ko:K00891	bsy:I653_01560
ko:K01060	bsy:I653_01575
ko:K07074	bsy:I653_01580
ko:K00318	bsy:I653_01585
ko:K02035	bsy:I653_05775
ko:K02034	bsy:I653_05790
ko:K01867	bsy:I653_05800
ko:K15580	bsy:I653_05805
ko:K15581	bsy:I653_05810
ko:K15582	bsy:I653_05815
ko:K15583	bsy:I653_05820
ko:K10823	bsy:I653_05825
ko:K16509	bsy:I653_05840
ko:K16511	bsy:I653_05850
ko:K08602	bsy:I653_05860
ko:K06886	bsy:I653_05875
ko:K07816	bsy:I653_05895
ko:K00858	bsy:I653_05900
ko:K06180	bsy:I653_05905
ko:K03455	bsy:I653_05915
ko:K03707	bsy:I653_05920
ko:K10810	bsy:I653_05925
ko:K03153	bsy:I653_05930
ko:K03154	bsy:I653_05935
ko:K03149	bsy:I653_05940
ko:K00941	bsy:I653_05950
ko:K00208	bsy:I653_05955
ko:K06342	bsy:I653_05975
ko:K06341	bsy:I653_05980
ko:K03657	bsy:I653_06010
ko:K01760	bsy:I653_06040
ko:K03790	bsy:I653_06045
ko:K07152	bsy:I653_10325
ko:K01754	bsy:I653_10335
ko:K11068	bsy:I653_10345
ko:K01687	bsy:I653_10385
ko:K06950	bsy:I653_10405
ko:K00432	bsy:I653_10410
ko:K00651	bsy:I653_10415
ko:K03704	bsy:I653_10425
ko:K03469	bsy:I653_10445
ko:K09125	bsy:I653_10450
ko:K03469	bsy:I653_10455
ko:K06429	bsy:I653_10460
ko:K16168	bsy:I653_10490
ko:K16167	bsy:I653_10495
ko:K16169	bsy:I653_10500
ko:K03816	bsy:I653_10505
ko:K01299	bsy:I653_10510
ko:K02526	bsy:I653_10515
ko:K01625	bsy:I653_10520
ko:K00874	bsy:I653_10525
ko:K02525	bsy:I653_10530
ko:K01815	bsy:I653_10535
ko:K00065	bsy:I653_10540
ko:K07444	bsy:I653_10560
ko:K06327	bsy:I653_10575
ko:K07139	bsy:I653_14605
ko:K16188	bsy:I653_14615
ko:K01048	bsy:I653_14620
ko:K01953	bsy:I653_14635
ko:K00789	bsy:I653_14640
ko:K01610	bsy:I653_14645
ko:K02051	bsy:I653_14660
ko:K02049	bsy:I653_14665
ko:K02050	bsy:I653_14670
ko:K04047	bsy:I653_14685
ko:K07173	bsy:I653_14700
ko:K08998	bsy:I653_14705
ko:K01673	bsy:I653_14710
ko:K02909	bsy:I653_14715
ko:K00425	bsy:I653_14720
ko:K00426	bsy:I653_14725
ko:K11709	bsy:I653_14735
ko:K11708	bsy:I653_14740
ko:K11710	bsy:I653_14745
ko:K11707	bsy:I653_14750
ko:K02549	bsy:I653_14755
ko:K01911	bsy:I653_14760
ko:K01661	bsy:I653_14765
ko:K08680	bsy:I653_14770
ko:K02551	bsy:I653_14775
ko:K02552	bsy:I653_14780
ko:K00963	bsy:I653_14795
ko:K00012	bsy:I653_14800
ko:K00688	bsy:I653_14840
ko:K05820	bsy:I653_18810
ko:K06969	bsy:I653_18820
ko:K01759	bsy:I653_18825
ko:K02761	bsy:I653_18840
ko:K01866	bsy:I653_18875
ko:K02548	bsy:I653_18890
ko:K03367	bsy:I653_18900
ko:K03739	bsy:I653_18905
ko:K14188	bsy:I653_18910
ko:K03740	bsy:I653_18915
ko:K14189	bsy:I653_18920
ko:K00826	bsy:I653_18925
ko:K01222	bsy:I653_18930
ko:K02759	bsy:I653_18935
ko:K02761	bsy:I653_18940
ko:K02760	bsy:I653_18945
ko:K03491	bsy:I653_18950
ko:K03652	bsy:I653_18960
ko:K03781	bsy:I653_18965
ko:K03088	bsy:I653_19000
ko:K03457	bsy:I653_19005
ko:K16012	bsy:I653_19015
ko:K16013	bsy:I653_19020
ko:K00426	bsy:I653_19025
ko:K00425	bsy:I653_19030
ko:K01784	bsy:I653_19075
ko:K09769	bsy:I653_08705
ko:K06416	bsy:I653_08710
ko:K00060	bsy:I653_08715
ko:K00639	bsy:I653_08720
ko:K06168	bsy:I653_08725
ko:K06328	bsy:I653_08735
ko:K03555	bsy:I653_08740
ko:K03572	bsy:I653_08745
ko:K15328	bsy:I653_08780
ko:K15329	bsy:I653_08785
ko:K15337	bsy:I653_08790
ko:K00646	bsy:I653_08795
ko:K15311	bsy:I653_08800
ko:K15312	bsy:I653_08805
ko:K15313	bsy:I653_08810
ko:K07082	bsy:I653_13000
ko:K07447	bsy:I653_13010
ko:K01872	bsy:I653_13020
ko:K10041	bsy:I653_13030
ko:K10039	bsy:I653_13035
ko:K10040	bsy:I653_13040
ko:K03581	bsy:I653_13065
ko:K00566	bsy:I653_13075
ko:K04487	bsy:I653_13080
ko:K07478	bsy:I653_13090
ko:K01876	bsy:I653_13105
ko:K01892	bsy:I653_13110
ko:K01448	bsy:I653_13120
ko:K07560	bsy:I653_13125
ko:K00759	bsy:I653_13135
ko:K07462	bsy:I653_13140
ko:K07228	bsy:I653_13150
ko:K12257	bsy:I653_13155
ko:K06409	bsy:I653_13165
ko:K03210	bsy:I653_13180
ko:K00773	bsy:I653_13185
ko:K07568	bsy:I653_13190
ko:K03551	bsy:I653_13200
ko:K03550	bsy:I653_13205
ko:K06318	bsy:I653_13210
ko:K00010	bsy:I653_13220
ko:K03310	bsy:I653_13245
ko:K02422	bsy:I653_17200
ko:K02407	bsy:I653_17205
ko:K06603	bsy:I653_17210
ko:K02406	bsy:I653_17215
ko:K03563	bsy:I653_17220
ko:K13626	bsy:I653_17225
ko:K02397	bsy:I653_17235
ko:K02396	bsy:I653_17240
ko:K02398	bsy:I653_17250
ko:K02242	bsy:I653_17260
ko:K02241	bsy:I653_17265
ko:K02240	bsy:I653_17270
ko:K07692	bsy:I653_17280
ko:K07777	bsy:I653_17285
ko:K02851	bsy:I653_17300
ko:K16698	bsy:I653_17310
ko:K16705	bsy:I653_17320
ko:K00012	bsy:I653_17325
ko:K01448	bsy:I653_17350
ko:K00963	bsy:I653_17390
ko:K09693	bsy:I653_17395
ko:K05946	bsy:I653_17435
ko:K10112	bsy:I653_15700
ko:K03609	bsy:I653_13340
ko:K03610	bsy:I653_13345
ko:K03571	bsy:I653_13350
ko:K03570	bsy:I653_13355
ko:K03569	bsy:I653_13360
ko:K03630	bsy:I653_13365
ko:K06287	bsy:I653_13370
ko:K02236	bsy:I653_13380
ko:K11754	bsy:I653_13385
ko:K01873	bsy:I653_13390
ko:K06417	bsy:I653_13405
ko:K01845	bsy:I653_13410
ko:K01698	bsy:I653_13415
ko:K01719	bsy:I653_13420
ko:K02470	bsy:I653_00030
ko:K02469	bsy:I653_00035
ko:K00088	bsy:I653_00045
ko:K07258	bsy:I653_00050
ko:K06215	bsy:I653_00055
ko:K08681	bsy:I653_00060
ko:K01875	bsy:I653_00065
ko:K15519	bsy:I653_00070
ko:K15518	bsy:I653_00075
ko:K06306	bsy:I653_00080
ko:K02343	bsy:I653_00095
ko:K09747	bsy:I653_00100
ko:K06187	bsy:I653_00105
ko:K06317	bsy:I653_00115
ko:K00943	bsy:I653_00140
ko:K09770	bsy:I653_00150
ko:K02341	bsy:I653_00155
ko:K07461	bsy:I653_00175
ko:K07056	bsy:I653_00180
ko:K06284	bsy:I653_00185
ko:K01874	bsy:I653_00190
ko:K03424	bsy:I653_00195
ko:K05985	bsy:I653_00205
ko:K02528	bsy:I653_00210
ko:K06436	bsy:I653_00215
ko:K06423	bsy:I653_00225
ko:K00919	bsy:I653_00230
ko:K09685	bsy:I653_00235
ko:K06412	bsy:I653_00245
ko:K04042	bsy:I653_00250
ko:K00948	bsy:I653_00255
ko:K02897	bsy:I653_00260
ko:K01056	bsy:I653_00265
ko:K06377	bsy:I653_04395
ko:K03147	bsy:I653_04415
ko:K03781	bsy:I653_04430
ko:K15553	bsy:I653_04440
ko:K15554	bsy:I653_04445
ko:K02954	bsy:I653_04465
ko:K03216	bsy:I653_04495
ko:K07180	bsy:I653_04520
ko:K09786	bsy:I653_04525
ko:K03809	bsy:I653_04545
ko:K03704	bsy:I653_04580
ko:K02073	bsy:I653_04585
ko:K06956	bsy:I653_04595
ko:K06180	bsy:I653_04630
ko:K00791	bsy:I653_08900
ko:K03666	bsy:I653_08905
ko:K03647	bsy:I653_08920
ko:K01448	bsy:I653_08940
ko:K06413	bsy:I653_08945
ko:K03665	bsy:I653_08955
ko:K03713	bsy:I653_08965
ko:K01915	bsy:I653_08970
ko:K01198	bsy:I653_09090
ko:K01805	bsy:I653_09100
ko:K00854	bsy:I653_09105
ko:K01775	bsy:I653_09125
ko:K06370	bsy:I653_13260
ko:K03517	bsy:I653_13265
ko:K00767	bsy:I653_13270
ko:K00278	bsy:I653_13275
ko:K04487	bsy:I653_13280
ko:K07105	bsy:I653_13285
ko:K04518	bsy:I653_13290
ko:K06209	bsy:I653_13295
ko:K03979	bsy:I653_13300
ko:K06375	bsy:I653_13305
ko:K02899	bsy:I653_13315
ko:K07584	bsy:I653_13320
ko:K02888	bsy:I653_13325
ko:K06402	bsy:I653_13330
ko:K06401	bsy:I653_13335
ko:K00294	bsy:I653_01590
ko:K07089	bsy:I653_01610
ko:K13542	bsy:I653_01625
ko:K00363	bsy:I653_01630
ko:K00362	bsy:I653_01635
ko:K00372	bsy:I653_01640
ko:K00362	bsy:I653_01645
ko:K02575	bsy:I653_01650
ko:K09007	bsy:I653_01655
ko:K01223	bsy:I653_01705
ko:K03406	bsy:I653_01720
ko:K08094	bsy:I653_01725
ko:K08093	bsy:I653_01730
ko:K06133	bsy:I653_01800
ko:K10010	bsy:I653_01810
ko:K10009	bsy:I653_01815
ko:K02424	bsy:I653_01820
ko:K03186	bsy:I653_01830
ko:K01259	bsy:I653_01850
ko:K03305	bsy:I653_01855
ko:K06295	bsy:I653_01870
ko:K06297	bsy:I653_01875
ko:K06296	bsy:I653_01880
ko:K02003	bsy:I653_01885
ko:K02004	bsy:I653_01890
ko:K02768	bsy:I653_06125
ko:K02769	bsy:I653_06125
ko:K02770	bsy:I653_06125
ko:K01809	bsy:I653_06130
ko:K03976	bsy:I653_06145
ko:K00123	bsy:I653_06200
ko:K01719	bsy:I653_06240
ko:K02069	bsy:I653_06245
ko:K02068	bsy:I653_06250
ko:K03885	bsy:I653_06270
ko:K01812	bsy:I653_06275
ko:K00073	bsy:I653_06285
ko:K08322	bsy:I653_06290
ko:K01686	bsy:I653_06295
ko:K02529	bsy:I653_06310
ko:K00041	bsy:I653_06315
ko:K01685	bsy:I653_06320
ko:K07090	bsy:I653_06325
ko:K07502	bsy:I653_10585
ko:K06877	bsy:I653_10590
ko:K03700	bsy:I653_10635
ko:K05366	bsy:I653_10640
ko:K10773	bsy:I653_10650
ko:K02086	bsy:I653_10655
ko:K01893	bsy:I653_10660
ko:K00812	bsy:I653_10665
ko:K01579	bsy:I653_10685
ko:K01918	bsy:I653_10690
ko:K00606	bsy:I653_10695
ko:K03524	bsy:I653_10700
ko:K00974	bsy:I653_10705
ko:K01734	bsy:I653_10720
ko:K00215	bsy:I653_10725
ko:K03888	bsy:I653_10750
ko:K03887	bsy:I653_10755
ko:K03886	bsy:I653_10760
ko:K00800	bsy:I653_10780
ko:K04517	bsy:I653_10785
ko:K00817	bsy:I653_10790
ko:K01695	bsy:I653_10795
ko:K01696	bsy:I653_10800
ko:K01817	bsy:I653_10805
ko:K01609	bsy:I653_10810
ko:K00766	bsy:I653_10815
ko:K01657	bsy:I653_10820
ko:K06208	bsy:I653_10825
ko:K01735	bsy:I653_10830
ko:K00703	bsy:I653_14845
ko:K00975	bsy:I653_14850
ko:K00975	bsy:I653_14855
ko:K00700	bsy:I653_14860
