ko:K01687	cjb:BN148_0013
ko:K00459	cjb:BN148_1270c
ko:K01866	cjb:BN148_1271c
ko:K03060	cjb:BN148_1273c
ko:K09903	cjb:BN148_1274c
ko:K09811	cjb:BN148_1276c
ko:K09812	cjb:BN148_1277c
ko:K03439	cjb:BN148_1278c
ko:K06180	cjb:BN148_1280c
ko:K05837	cjb:BN148_1282
ko:K00761	cjb:BN148_1286c
ko:K00029	cjb:BN148_1287c
ko:K01961	cjb:BN148_1290c
ko:K02160	cjb:BN148_1291c
ko:K01494	cjb:BN148_1292
ko:K15894	cjb:BN148_1293
ko:K00648	cjb:BN148_1303
ko:K02500	cjb:BN148_1314c
ko:K03707	cjb:BN148_0440c
ko:K02078	cjb:BN148_0441
ko:K09458	cjb:BN148_0442
ko:K01962	cjb:BN148_0443
ko:K09794	cjb:BN148_0449c
ko:K02902	cjb:BN148_0450c
ko:K01783	cjb:BN148_0451
ko:K03147	cjb:BN148_0453
ko:K09778	cjb:BN148_0457c
ko:K06168	cjb:BN148_0458c
ko:K02600	cjb:BN148_0460
ko:K06920	cjb:BN148_0016
ko:K03406	cjb:BN148_0019c
ko:K01424	cjb:BN148_0029
ko:K03406	cjb:BN148_1110c
ko:K05595	cjb:BN148_1111c
ko:K07305	cjb:BN148_1112c
ko:K01784	cjb:BN148_1131c
ko:K02843	cjb:BN148_1148
ko:K02017	cjb:BN148_0300c
ko:K00652	cjb:BN148_0306c
ko:K02566	cjb:BN148_0315
ko:K09825	cjb:BN148_0322
ko:K09981	cjb:BN148_1164c
ko:K00016	cjb:BN148_1167
ko:K03768	cjb:BN148_1171c
ko:K01934	cjb:BN148_1208
ko:K01092	cjb:BN148_0128c
ko:K04517	cjb:BN148_0130
ko:K09815	cjb:BN148_0143c
ko:K03406	cjb:BN148_0144
ko:K02010	cjb:BN148_0173c
ko:K03406	cjb:BN148_0262c
ko:K00616	cjb:BN148_0281c
ko:K03830	cjb:BN148_0295
ko:K01270	cjb:BN148_0980
ko:K02242	cjb:BN148_1028c
ko:K03148	cjb:BN148_1046c
ko:K01439	cjb:BN148_1048c
ko:K00088	cjb:BN148_1058c
ko:K02433	cjb:BN148_1059c
ko:K01719	cjb:BN148_1080c
ko:K07457	cjb:BN148_1083c
ko:K03177	cjb:BN148_1102
ko:K03386	cjb:BN148_0334
ko:K02238	cjb:BN148_1211
ko:K13640	cjb:BN148_1230
ko:K03455	cjb:BN148_1231
ko:K01104	cjb:BN148_1258
ko:K03711	cjb:BN148_0400
ko:K00244	cjb:BN148_0409
ko:K00245	cjb:BN148_0410
ko:K07126	cjb:BN148_0413
ko:K00059	cjb:BN148_0435
ko:K03498	cjb:BN148_1283
ko:K03499	cjb:BN148_1284
ko:K01885	cjb:BN148_1288c
ko:K08077	cjb:BN148_0447
ko:K02342	cjb:BN148_0452
ko:K15898	cjb:BN148_1317
ko:K01409	cjb:BN148_1344c
ko:K01679	cjb:BN148_1364c
ko:K06603	cjb:BN148_0547
ko:K00769	cjb:BN148_1370
ko:K02428	cjb:BN148_1374c
ko:K07017	cjb:BN148_1376
ko:K01760	cjb:BN148_1393
ko:K07031	cjb:BN148_1425c
ko:K01854	cjb:BN148_1439c
ko:K02454	cjb:BN148_1471c
ko:K03286	cjb:BN148_1478c
ko:K04652	cjb:BN148_0623
ko:K04655	cjb:BN148_0626
ko:K07304	cjb:BN148_0637c
ko:K01507	cjb:BN148_0638c
ko:K00939	cjb:BN148_0639c
ko:K01262	cjb:BN148_0653c
ko:K03406	cjb:BN148_1506c
ko:K00127	cjb:BN148_1509c
ko:K00124	cjb:BN148_1510c
ko:K03635	cjb:BN148_1518
ko:K09952	cjb:BN148_1523c
ko:K03796	cjb:BN148_1532
ko:K06857	cjb:BN148_1538c
ko:K07792	cjb:BN148_0671
ko:K03406	cjb:BN148_1564
ko:K02033	cjb:BN148_1583c
ko:K02035	cjb:BN148_1584c
ko:K02055	cjb:BN148_0727
ko:K02052	cjb:BN148_0732
ko:K01585	cjb:BN148_0764c
ko:K02574	cjb:BN148_0782
ko:K00674	cjb:BN148_1605c
ko:K03593	cjb:BN148_1606c
ko:K02014	cjb:BN148_1614
ko:K03469	cjb:BN148_1636c
ko:K06013	cjb:BN148_0723c
ko:K00974	cjb:BN148_0789
ko:K11085	cjb:BN148_0803
ko:K00076	cjb:BN148_0807
ko:K01916	cjb:BN148_0810
ko:K00567	cjb:BN148_0836
ko:K02067	cjb:BN148_1648
ko:K02004	cjb:BN148_1661
ko:K02004	cjb:BN148_1662
ko:K01082	cjb:BN148_1681c
ko:K01885	cjb:BN148_0845c
ko:K07098	cjb:BN148_0846
ko:K01664	cjb:BN148_0861c
ko:K03342	cjb:BN148_0862c
ko:K04763	cjb:BN148_0863c
ko:K11014	cjb:BN148_0078c
ko:K11015	cjb:BN148_0077c
ko:K15913	cjb:BN148_1123c
ko:K15912	cjb:BN148_1120c
ko:K01977	cjb:BN148_r01
ko:K01977	cjb:BN148_r07
ko:K01977	cjb:BN148_r04
ko:K01985	cjb:BN148_r09
ko:K01985	cjb:BN148_r06
ko:K01983	cjb:BN148_s03
ko:K14230	cjb:BN148_p23
ko:K14230	cjb:BN148_p34
ko:K15914	cjb:BN148_1125c
ko:K01980	cjb:BN148_r02
ko:K01980	cjb:BN148_r08
ko:K01980	cjb:BN148_r05
ko:K01985	cjb:BN148_r03
ko:K14228	cjb:BN148_p16
ko:K14233	cjb:BN148_p30
ko:K14233	cjb:BN148_t06
ko:K15910	cjb:BN148_1121c
ko:K14227	cjb:BN148_p02
ko:K14227	cjb:BN148_p05
ko:K14227	cjb:BN148_p15
ko:K14224	cjb:BN148_p03
ko:K14234	cjb:BN148_p06
ko:K14234	cjb:BN148_t1
ko:K14236	cjb:BN148_p07
ko:K14225	cjb:BN148_p08
ko:K14225	cjb:BN148_p17
ko:K14225	cjb:BN148_p27
ko:K14235	cjb:BN148_p09
ko:K14219	cjb:BN148_p10
ko:K14219	cjb:BN148_p21
ko:K14219	cjb:BN148_t3
ko:K14219	cjb:BN148_t4
ko:K01978	cjb:BN148_p11
ko:K14230	cjb:BN148_p12
ko:K14223	cjb:BN148_p13
ko:K14228	cjb:BN148_t05
ko:K14228	cjb:BN148_p28
ko:K14228	cjb:BN148_t01
ko:K14221	cjb:BN148_t02
ko:K14221	cjb:BN148_t2
ko:K14237	cjb:BN148_p19
ko:K14237	cjb:BN148_t03
ko:K14237	cjb:BN148_p36
ko:K14229	cjb:BN148_p20
ko:K14229	cjb:BN148_t04
ko:K14220	cjb:BN148_p22
ko:K14231	cjb:BN148_p24
ko:K14233	cjb:BN148_p25
ko:K15035	cjb:BN148_s01
ko:K14238	cjb:BN148_p26
ko:K14222	cjb:BN148_p29
ko:K14226	cjb:BN148_p32
ko:K14232	cjb:BN148_p33
ko:K14218	cjb:BN148_p35
ko:K14218	cjb:BN148_p01
ko:K14218	cjb:BN148_p04
ko:K14218	cjb:BN148_p14
ko:K13017	cjb:BN148_0505c
ko:K15899	cjb:BN148_1311
ko:K15915	cjb:BN148_1124c
ko:K11013	cjb:BN148_0079c
ko:K01959	cjb:BN148_1037c
ko:K16849	cjb:BN148_0482
ko:K02030	cjb:BN148_0982c
ko:K11782	cjb:BN148_1285c
ko:K16850	cjb:BN148_0483
ko:K03559	cjb:BN148_0110
ko:K03559	cjb:BN148_0180
ko:K15897	cjb:BN148_1312
ko:K15895	cjb:BN148_1294
ko:K15896	cjb:BN148_1313
ko:K02003	cjb:BN148_1180c
ko:K09951	cjb:BN148_1521c
ko:K02028	cjb:BN148_0902
ko:K02030	cjb:BN148_0734c
ko:K02030	cjb:BN148_0817
ko:K02028	cjb:BN148_0469
ko:K17247	cjb:BN148_0378c
ko:K17248	cjb:BN148_1127c
ko:K17249	cjb:BN148_1129c
ko:K17250	cjb:BN148_1128c
ko:K17251	cjb:BN148_1126c
ko:K08738	cjb:BN148_1153
ko:K17103	cjb:BN148_1114c
ko:K03152	cjb:BN148_0899c
ko:K03310	cjb:BN148_0903c
ko:K03216	cjb:BN148_0904c
ko:K01775	cjb:BN148_0905c
ko:K07152	cjb:BN148_0911
ko:K01738	cjb:BN148_0912c
ko:K03530	cjb:BN148_0913c
ko:K10806	cjb:BN148_0915
ko:K06200	cjb:BN148_0917c
ko:K00948	cjb:BN148_0918c
ko:K03559	cjb:BN148_1629
ko:K10040	cjb:BN148_0920c
ko:K10039	cjb:BN148_0921c
ko:K10041	cjb:BN148_0922c
ko:K00575	cjb:BN148_0923c
ko:K03412	cjb:BN148_0924c
ko:K01808	cjb:BN148_0925
ko:K00759	cjb:BN148_0927
ko:K01255	cjb:BN148_0929
ko:K06942	cjb:BN148_0930
ko:K01755	cjb:BN148_0931c
ko:K01610	cjb:BN148_0932c
ko:K01960	cjb:BN148_0933c
ko:K03308	cjb:BN148_0934c
ko:K03308	cjb:BN148_0935c
ko:K02110	cjb:BN148_0936
ko:K07088	cjb:BN148_0937
ko:K03406	cjb:BN148_0951c
ko:K03406	cjb:BN148_0952c
ko:K00602	cjb:BN148_0953c
ko:K05801	cjb:BN148_0954c
ko:K01952	cjb:BN148_0955c
ko:K03650	cjb:BN148_0956c
ko:K06346	cjb:BN148_0957c
ko:K03217	cjb:BN148_0958c
ko:K03536	cjb:BN148_0960c
ko:K02914	cjb:BN148_0961c
ko:K07107	cjb:BN148_0965c
ko:K11753	cjb:BN148_0589
ko:K10773	cjb:BN148_0595c
ko:K02400	cjb:BN148_0882c
ko:K02956	cjb:BN148_0884
ko:K03466	cjb:BN148_0886c
ko:K02397	cjb:BN148_0887c
ko:K15738	cjb:BN148_0888c
ko:K00058	cjb:BN148_0891c
ko:K02945	cjb:BN148_0893c
ko:K03527	cjb:BN148_0894c
ko:K00800	cjb:BN148_0895c
ko:K01890	cjb:BN148_0896c
ko:K01889	cjb:BN148_0897c
ko:K02503	cjb:BN148_0898
ko:K05939	cjb:BN148_0938c
ko:K02004	cjb:BN148_0941c
ko:K03070	cjb:BN148_0942c
ko:K03634	cjb:BN148_0943
ko:K12251	cjb:BN148_0947c
ko:K02484	cjb:BN148_1222c
ko:K02484	cjb:BN148_1226c
ko:K02484	cjb:BN148_1262
ko:K02029	cjb:BN148_0901
ko:K02029	cjb:BN148_0940c
ko:K03324	cjb:BN148_0524
ko:K17686	cjb:BN148_1155c
ko:K05540	cjb:BN148_0123c
ko:K08173	cjb:BN148_0339
ko:K11928	cjb:BN148_1502c
ko:K12574	cjb:BN148_1710c
ko:K07318	cjb:BN148_0208
ko:K00290	cjb:BN148_0172c
ko:K01497	cjb:BN148_0996
ko:K00254	cjb:BN148_0804
ko:K17938	cjb:BN148_0182
ko:K05922	cjb:BN148_1266c
ko:K05927	cjb:BN148_1399c
ko:K05927	cjb:BN148_1267c
ko:K07812	cjb:BN148_0264c
ko:K15669	cjb:BN148_1423c
ko:K00104	cjb:BN148_1213c
ko:K07003	cjb:BN148_1373
ko:K03605	cjb:BN148_1264c
ko:K05366	cjb:BN148_0508
ko:K01533	cjb:BN148_1161c
ko:K18284	cjb:BN148_0117
ko:K02073	cjb:BN148_0770c
ko:K02073	cjb:BN148_0771c
ko:K03673	cjb:BN148_0864
ko:K02073	cjb:BN148_1200
ko:K18429	cjb:BN148_1328
ko:K18430	cjb:BN148_1327
ko:K18431	cjb:BN148_1331
ko:K11784	cjb:BN148_0462
ko:K11785	cjb:BN148_1674
ko:K18333	cjb:BN148_0485
ko:K18285	cjb:BN148_1368
ko:K08068	cjb:BN148_1142
ko:K02482	cjb:BN148_0793
ko:K01174	cjb:BN148_0979c
ko:K00983	cjb:BN148_1143
ko:K04753	cjb:BN148_1516
ko:K06148	cjb:BN148_1130c
ko:K03743	cjb:BN148_1062
ko:K18480	cjb:BN148_1649
ko:K00241	cjb:BN148_0439
ko:K18924	cjb:BN148_0310c
ko:K18925	cjb:BN148_0309c
ko:K10747	cjb:BN148_1669c
ko:K18930	cjb:BN148_1585c
ko:K03496	cjb:BN148_0100
ko:K03497	cjb:BN148_0101
ko:K09797	cjb:BN148_0034c
ko:K03111	cjb:BN148_1071
ko:K00662	cjb:BN148_1296
ko:K00662	cjb:BN148_1297
ko:K00662	cjb:BN148_1298
ko:K18992	cjb:BN148_0368c
ko:K00335	cjb:BN148_1574c
ko:K03526	cjb:BN148_0686
ko:K07452	cjb:BN148_0139
ko:K07097	cjb:BN148_0881c
ko:K15461	cjb:BN148_1268c
ko:K00557	cjb:BN148_0831c
ko:K00336	cjb:BN148_1573c
ko:K03761	cjb:BN148_1619
ko:K19147	cjb:BN148_0140
ko:K06992	cjb:BN148_0058
ko:K01654	cjb:BN148_1141
ko:K22468	cjb:BN148_0604
ko:K15342	cjb:BN148_1522c
ko:K04771	cjb:BN148_1228c
ko:K19210	cjb:BN148_0299
ko:K00265	cjb:BN148_0007
ko:K03892	cjb:BN148_1561
ko:K06867	cjb:BN148_1386
ko:K02031	cjb:BN148_1581c
ko:K19416	cjb:BN148_0236c
ko:K06867	cjb:BN148_0834c
ko:K07216	cjb:BN148_1224
ko:K10938	cjb:BN148_0289c
ko:K19713	cjb:BN148_0874c
ko:K19713	cjb:BN148_0876c
ko:K07147	cjb:BN148_0379c
ko:K09796	cjb:BN148_0909
ko:K20810	cjb:BN148_0067
ko:K00821	cjb:BN148_0227
ko:K02335	cjb:BN148_0338c
ko:K02316	cjb:BN148_1638
ko:K03553	cjb:BN148_1673c
ko:K03465	cjb:BN148_0026c
ko:K02314	cjb:BN148_0562
ko:K02483	cjb:BN148_1261
ko:K02483	cjb:BN148_0355c
ko:K02483	cjb:BN148_1227c
ko:K00525	cjb:BN148_0024
ko:K10938	cjb:BN148_0778
ko:K03668	cjb:BN148_0950c
ko:K02032	cjb:BN148_1580c
ko:K02481	cjb:BN148_1024c
ko:K01139	cjb:BN148_1272c
ko:K00526	cjb:BN148_0231c
ko:K13695	cjb:BN148_1653c
ko:K21420	cjb:BN148_1035c
ko:K01451	cjb:BN148_0985c
ko:K10026	cjb:BN148_0160c
ko:K21600	cjb:BN148_0510c
ko:K21929	cjb:BN148_0963
ko:K03595	cjb:BN148_0661c
ko:K03892	cjb:BN148_1562
ko:K14441	cjb:BN148_1454c
ko:K17758	cjb:BN148_0188c
ko:K17759	cjb:BN148_0188c
ko:K22391	cjb:BN148_0705
ko:K22424	cjb:BN148_1418c
ko:K22477	cjb:BN148_0225
