ko:K18929	cji:CJSA_0067
ko:K07323	cji:CJSA_1306
ko:K00147	cji:CJSA_0525
ko:K00384	cji:CJSA_0526
ko:K14652	cji:CJSA_0540
ko:K09117	cji:CJSA_0541
ko:K01652	cji:CJSA_0542
ko:K01653	cji:CJSA_0543
ko:K02536	cji:CJSA_0544
ko:K07568	cji:CJSA_0545
ko:K03118	cji:CJSA_0546
ko:K03117	cji:CJSA_0547
ko:K08311	cji:CJSA_0549
ko:K00928	cji:CJSA_0550
ko:K02341	cji:CJSA_0552
ko:K00796	cji:CJSA_0553
ko:K01972	cji:CJSA_0554
ko:K06442	cji:CJSA_0556
ko:K11753	cji:CJSA_0557
ko:K15256	cji:CJSA_0558
ko:K01173	cji:CJSA_0562
ko:K10773	cji:CJSA_0563
ko:K01624	cji:CJSA_0565
ko:K02557	cji:CJSA_0567
ko:K03308	cji:CJSA_0569
ko:K04084	cji:CJSA_0571
ko:K13888	cji:CJSA_0574
ko:K05685	cji:CJSA_0575
ko:K01042	cji:CJSA_1312
ko:K03833	cji:CJSA_1313
ko:K03981	cji:CJSA_1314
ko:K03839	cji:CJSA_1316
ko:K03781	cji:CJSA_1319
ko:K01756	cji:CJSA_1326
ko:K04758	cji:CJSA_1328
ko:K04759	cji:CJSA_1329
ko:K00208	cji:CJSA_1331
ko:K01803	cji:CJSA_1332
ko:K00927	cji:CJSA_1333
ko:K00134	cji:CJSA_1334
ko:K00969	cji:CJSA_1335
ko:K09710	cji:CJSA_1336
ko:K15778	cji:CJSA_1338
ko:K02415	cji:CJSA_1339
ko:K00997	cji:CJSA_1340
ko:K07265	cji:CJSA_1344
ko:K07266	cji:CJSA_1345
ko:K00860	cji:CJSA_1346
ko:K07010	cji:CJSA_1348
ko:K18138	cji:CJSA_0339
ko:K14234	cji:CJSA_t0006
ko:K14228	cji:CJSA_t0033
ko:K14222	cji:CJSA_t0034
ko:K14228	cji:CJSA_t0036
ko:K14219	cji:CJSA_t0037
ko:K14219	cji:CJSA_t0038
ko:K14226	cji:CJSA_t0039
ko:K14230	cji:CJSA_t0041
ko:K14233	cji:CJSA_t0042
ko:K14218	cji:CJSA_t0043
ko:K14237	cji:CJSA_t0044
ko:K15035	cji:CJSA_CjtmRNA1
ko:K01980	cji:CJSA_Cj23SA
ko:K01980	cji:CJSA_Cj23SAC
ko:K01985	cji:CJSA_Cj5SB
ko:K01985	cji:CJSA_Cj5SC
ko:K01985	cji:CJSA_Cj5SA
ko:K01983	cji:CJSA_CjSRP1
ko:K14224	cji:CJSA_t0003
ko:K01980	cji:CJSA_Cj23SB
ko:K14236	cji:CJSA_t0007
ko:K14234	cji:CJSA_t0009
ko:K14219	cji:CJSA_t0011
ko:K01978	cji:CJSA_CjrnpB1
ko:K14230	cji:CJSA_t0012
ko:K14223	cji:CJSA_t0013
ko:K16089	cji:CJSA_0712
ko:K10041	cji:CJSA_0867
ko:K01977	cji:CJSA_Cj16SA
ko:K01977	cji:CJSA_Cj16SB
ko:K01977	cji:CJSA_Cj16SC
ko:K14227	cji:CJSA_t0002
ko:K14227	cji:CJSA_t0005
ko:K14227	cji:CJSA_t0015
ko:K14225	cji:CJSA_t0017
ko:K14225	cji:CJSA_t0032
ko:K14228	cji:CJSA_t0018
ko:K14221	cji:CJSA_t0019
ko:K14221	cji:CJSA_t0023
ko:K14237	cji:CJSA_t0020
ko:K14237	cji:CJSA_t0024
ko:K14224	cji:CJSA_t0021
ko:K14229	cji:CJSA_t0022
ko:K14229	cji:CJSA_t0025
ko:K14219	cji:CJSA_t0026
ko:K14220	cji:CJSA_t0027
ko:K14231	cji:CJSA_t0029
ko:K14233	cji:CJSA_t0030
ko:K14238	cji:CJSA_t0031
ko:K14225	cji:CJSA_t0008
ko:K14228	cji:CJSA_t0016
ko:K14233	cji:CJSA_t0035
ko:K10039	cji:CJSA_0866
ko:K16087	cji:CJSA_0168
ko:K03496	cji:CJSA_pVir0024
ko:K02029	cji:CJSA_0438
ko:K02028	cji:CJSA_0439
ko:K02030	cji:CJSA_0925
ko:K02010	cji:CJSA_0163
ko:K02242	cji:CJSA_0971
ko:K03148	cji:CJSA_0989
ko:K01439	cji:CJSA_0991
ko:K01760	cji:CJSA_1325
ko:K03406	cji:CJSA_0239
ko:K04652	cji:CJSA_0591
ko:K04655	cji:CJSA_0594
ko:K07504	cji:CJSA_0596
ko:K07304	cji:CJSA_0604
ko:K01507	cji:CJSA_0605
ko:K00939	cji:CJSA_0606
ko:K01262	cji:CJSA_0620
ko:K02454	cji:CJSA_1394
ko:K03286	cji:CJSA_1401
ko:K00616	cji:CJSA_0257
ko:K00088	cji:CJSA_1001
ko:K02433	cji:CJSA_1002
ko:K01719	cji:CJSA_1022
ko:K07457	cji:CJSA_1025
ko:K03177	cji:CJSA_1044
ko:K03830	cji:CJSA_0269
ko:K02017	cji:CJSA_0274
ko:K00652	cji:CJSA_0280
ko:K02566	cji:CJSA_0289
ko:K09825	cji:CJSA_0296
ko:K03386	cji:CJSA_0308
ko:K05595	cji:CJSA_1053
ko:K07305	cji:CJSA_1054
ko:K01784	cji:CJSA_1073
ko:K02843	cji:CJSA_1088
ko:K09981	cji:CJSA_1102
ko:K07792	cji:CJSA_0635
ko:K06013	cji:CJSA_0687
ko:K03406	cji:CJSA_1428
ko:K00127	cji:CJSA_1431
ko:K00124	cji:CJSA_1432
ko:K03635	cji:CJSA_1439
ko:K09952	cji:CJSA_1443
ko:K06857	cji:CJSA_1454
ko:K03796	cji:CJSA_1448
ko:K00016	cji:CJSA_1105
ko:K03768	cji:CJSA_1109
ko:K01934	cji:CJSA_1146
ko:K02238	cji:CJSA_1149
ko:K02055	cji:CJSA_0691
ko:K02052	cji:CJSA_0696
ko:K01585	cji:CJSA_0720
ko:K02574	cji:CJSA_0738
ko:K03406	cji:CJSA_1476
ko:K02033	cji:CJSA_1495
ko:K02035	cji:CJSA_1496
ko:K00974	cji:CJSA_0745
ko:K11085	cji:CJSA_0759
ko:K00076	cji:CJSA_0763
ko:K01916	cji:CJSA_0766
ko:K00567	cji:CJSA_0791
ko:K00674	cji:CJSA_1517
ko:K03593	cji:CJSA_1518
ko:K02014	cji:CJSA_1526
ko:K03469	cji:CJSA_1548
ko:K02067	cji:CJSA_1560
ko:K03711	cji:CJSA_0373
ko:K00244	cji:CJSA_0382
ko:K00245	cji:CJSA_0383
ko:K07126	cji:CJSA_0386
ko:K00059	cji:CJSA_0407
ko:K13640	cji:CJSA_1168
ko:K03455	cji:CJSA_1169
ko:K01104	cji:CJSA_1197
ko:K00575	cji:CJSA_0868
ko:K02004	cji:CJSA_0886
ko:K08077	cji:CJSA_0417
ko:K02342	cji:CJSA_0422
ko:K03498	cji:CJSA_1221
ko:K03499	cji:CJSA_1222
ko:K01885	cji:CJSA_1226
ko:K15898	cji:CJSA_1255
ko:K03406	cji:CJSA_0019
ko:K01424	cji:CJSA_0029
ko:K01885	cji:CJSA_0800
ko:K07098	cji:CJSA_0801
ko:K03342	cji:CJSA_0816
ko:K04763	cji:CJSA_0817
ko:K00058	cji:CJSA_0837
ko:K02004	cji:CJSA_1572
ko:K02004	cji:CJSA_1573
ko:K01082	cji:CJSA_1591
ko:K06603	cji:CJSA_0514
ko:K01409	cji:CJSA_1279
ko:K01679	cji:CJSA_1298
ko:K00769	cji:CJSA_1304
ko:K02428	cji:CJSA_1308
ko:K07017	cji:CJSA_1310
ko:K01092	cji:CJSA_0119
ko:K04517	cji:CJSA_0121
ko:K09815	cji:CJSA_0134
ko:K03406	cji:CJSA_0135
ko:K03406	cji:CJSA_0897
ko:K06346	cji:CJSA_0902
ko:K14235	cji:CJSA_t0010
ko:K14232	cji:CJSA_t0040
ko:K16052	cji:CJSA_0215
ko:K14230	cji:CJSA_t0028
ko:K14218	cji:CJSA_t0001
ko:K14218	cji:CJSA_t0014
ko:K14218	cji:CJSA_t0004
ko:K10040	cji:CJSA_0865
ko:K03196	cji:CJSA_pVir0005
ko:K01270	cji:CJSA_0923
ko:K18682	cji:CJSA_1147
ko:K15910	cji:CJSA_1063
ko:K16264	cji:CJSA_1101
ko:K02054	cji:CJSA_0694
ko:K15913	cji:CJSA_1065
ko:K11014	cji:CJSA_0071
ko:K11015	cji:CJSA_0070
ko:K15912	cji:CJSA_1062
ko:K15914	cji:CJSA_1067
ko:K02031	cji:CJSA_1493
ko:K13017	cji:CJSA_0475
ko:K15899	cji:CJSA_1249
ko:K15915	cji:CJSA_1066
ko:K11013	cji:CJSA_0072
ko:K01959	cji:CJSA_0980
ko:K16849	cji:CJSA_0452
ko:K11782	cji:CJSA_1223
ko:K16850	cji:CJSA_0453
ko:K00316	cji:CJSA_1098
ko:K03559	cji:CJSA_0101
ko:K03559	cji:CJSA_0170
ko:K03559	cji:CJSA_1541
ko:K15897	cji:CJSA_1250
ko:K02003	cji:CJSA_1118
ko:K15895	cji:CJSA_1232
ko:K15896	cji:CJSA_1251
ko:K09951	cji:CJSA_1441
ko:K17103	cji:CJSA_1056
ko:K02028	cji:CJSA_0848
ko:K02030	cji:CJSA_0698
ko:K02030	cji:CJSA_0772
ko:K17247	cji:CJSA_0351
ko:K17248	cji:CJSA_1069
ko:K17249	cji:CJSA_1071
ko:K17250	cji:CJSA_1070
ko:K17251	cji:CJSA_1068
ko:K01664	cji:CJSA_0815
ko:K08738	cji:CJSA_1093
ko:K02484	cji:CJSA_1160
ko:K02484	cji:CJSA_1164
ko:K02484	cji:CJSA_1201
ko:K02029	cji:CJSA_0847
ko:K02029	cji:CJSA_0885
ko:K17686	cji:CJSA_1095
ko:K05540	cji:CJSA_0114
ko:K08173	cji:CJSA_0313
ko:K11928	cji:CJSA_1424
ko:K07318	cji:CJSA_0199
ko:K00290	cji:CJSA_0162
ko:K01497	cji:CJSA_0939
ko:K00254	cji:CJSA_0760
ko:K18220	cji:CJSA_0193
ko:K17938	cji:CJSA_0172
ko:K05922	cji:CJSA_1205
ko:K05927	cji:CJSA_1330
ko:K05927	cji:CJSA_1206
ko:K07812	cji:CJSA_0241
ko:K00104	cji:CJSA_1151
ko:K07003	cji:CJSA_1307
ko:K03605	cji:CJSA_1203
ko:K05366	cji:CJSA_0478
ko:K01533	cji:CJSA_1099
ko:K18284	cji:CJSA_0108
ko:K03406	cji:CJSA_0896
ko:K02073	cji:CJSA_1138
ko:K03305	cji:CJSA_0622
ko:K01547	cji:CJSA_0640
ko:K07646	cji:CJSA_0643
ko:K02073	cji:CJSA_0726
ko:K02073	cji:CJSA_0727
ko:K03673	cji:CJSA_0818
ko:K18429	cji:CJSA_1264
ko:K18430	cji:CJSA_1263
ko:K18431	cji:CJSA_1267
ko:K11784	cji:CJSA_0432
ko:K11785	cji:CJSA_1585
ko:K18333	cji:CJSA_0456
ko:K18285	cji:CJSA_1302
ko:K08068	cji:CJSA_1084
ko:K02482	cji:CJSA_0749
ko:K01174	cji:CJSA_0922
ko:K00983	cji:CJSA_1085
ko:K04753	cji:CJSA_1437
ko:K06148	cji:CJSA_1072
ko:K07216	cji:CJSA_1162
ko:K03743	cji:CJSA_1005
ko:K18480	cji:CJSA_1561
ko:K00241	cji:CJSA_0411
ko:K09809	cji:CJSA_1365
ko:K18924	cji:CJSA_0284
ko:K18925	cji:CJSA_0283
ko:K10747	cji:CJSA_1580
ko:K18930	cji:CJSA_1497
ko:K03496	cji:CJSA_0091
ko:K03204	cji:CJSA_pVir0002
ko:K03205	cji:CJSA_pVir0007
ko:K03111	cji:CJSA_pVir0014
ko:K03497	cji:CJSA_0092
ko:K03111	cji:CJSA_1013
ko:K00662	cji:CJSA_1234
ko:K00662	cji:CJSA_1235
ko:K00662	cji:CJSA_1236
ko:K09797	cji:CJSA_0034
ko:K18992	cji:CJSA_0341
ko:K03203	cji:CJSA_pVir0001
ko:K00335	cji:CJSA_1486
ko:K03526	cji:CJSA_0650
ko:K03195	cji:CJSA_pVir0003
ko:K06992	cji:CJSA_0052
ko:K07452	cji:CJSA_0130
ko:K07097	cji:CJSA_0828
ko:K15461	cji:CJSA_1207
ko:K00557	cji:CJSA_0786
ko:K00336	cji:CJSA_1485
ko:K03761	cji:CJSA_1531
ko:K19147	cji:CJSA_0131
ko:K19157	cji:CJSA_pVir0046
ko:K01654	cji:CJSA_1083
ko:K22468	cji:CJSA_0572
ko:K15342	cji:CJSA_1442
ko:K04771	cji:CJSA_1166
ko:K19210	cji:CJSA_0273
ko:K00265	cji:CJSA_0007
ko:K03892	cji:CJSA_1474
ko:K06867	cji:CJSA_1320
ko:K19416	cji:CJSA_0213
ko:K06867	cji:CJSA_0789
ko:K07216	cji:CJSA_0064
ko:K07216	cji:CJSA_0065
ko:K10938	cji:CJSA_0265
ko:K19713	cji:CJSA_0823
ko:K19713	cji:CJSA_0824
ko:K07147	cji:CJSA_0352
ko:K09796	cji:CJSA_0854
ko:K20810	cji:CJSA_0061
ko:K03199	cji:CJSA_pVir0052
ko:K00821	cji:CJSA_0204
ko:K02335	cji:CJSA_0312
ko:K03553	cji:CJSA_1584
ko:K02316	cji:CJSA_1550
ko:K03465	cji:CJSA_0026
ko:K02314	cji:CJSA_0529
ko:K02483	cji:CJSA_1200
ko:K02483	cji:CJSA_0329
ko:K02483	cji:CJSA_1165
ko:K00525	cji:CJSA_0024
ko:K02032	cji:CJSA_1492
ko:K10938	cji:CJSA_0734
ko:K02481	cji:CJSA_0967
ko:K01139	cji:CJSA_1211
ko:K00526	cji:CJSA_0208
ko:K13695	cji:CJSA_1565
ko:K21420	cji:CJSA_0978
ko:K01451	cji:CJSA_0928
ko:K10026	cji:CJSA_0151
ko:K21600	cji:CJSA_0480
ko:K21929	cji:CJSA_0908
ko:K03595	cji:CJSA_0626
ko:K14441	cji:CJSA_1378
ko:K17758	cji:CJSA_0178
ko:K17759	cji:CJSA_0178
ko:K22391	cji:CJSA_0669
ko:K22424	cji:CJSA_1349
ko:K22477	cji:CJSA_0202
