ko:K01212	baz:BAMTA208_20470
ko:K01698	baz:BAMTA208_13805
ko:K01749	baz:BAMTA208_13815
ko:K02497	baz:BAMTA208_13820
ko:K02492	baz:BAMTA208_13825
ko:K03978	baz:BAMTA208_13835
ko:K01338	baz:BAMTA208_13840
ko:K03544	baz:BAMTA208_13850
ko:K03545	baz:BAMTA208_13855
ko:K01704	baz:BAMTA208_13870
ko:K06966	baz:BAMTA208_17580
ko:K03321	baz:BAMTA208_17590
ko:K01673	baz:BAMTA208_17595
ko:K00675	baz:BAMTA208_17615
ko:K11184	baz:BAMTA208_17620
ko:K06958	baz:BAMTA208_17635
ko:K00384	baz:BAMTA208_17645
ko:K11755	baz:BAMTA208_17675
ko:K02500	baz:BAMTA208_17680
ko:K01814	baz:BAMTA208_17685
ko:K02501	baz:BAMTA208_17690
ko:K01693	baz:BAMTA208_17695
ko:K00013	baz:BAMTA208_17700
ko:K00765	baz:BAMTA208_17705
ko:K02502	baz:BAMTA208_17710
ko:K06019	baz:BAMTA208_17725
ko:K13292	baz:BAMTA208_17730
ko:K01443	baz:BAMTA208_17740
ko:K03710	baz:BAMTA208_17750
ko:K08972	baz:BAMTA208_17765
ko:K03701	baz:BAMTA208_17790
ko:K03702	baz:BAMTA208_17795
ko:K15975	baz:BAMTA208_10700
ko:K07220	baz:BAMTA208_10710
ko:K03306	baz:BAMTA208_10715
ko:K04766	baz:BAMTA208_14605
ko:K04768	baz:BAMTA208_14615
ko:K02557	baz:BAMTA208_14620
ko:K02556	baz:BAMTA208_14625
ko:K02529	baz:BAMTA208_14630
ko:K13853	baz:BAMTA208_14635
ko:K01924	baz:BAMTA208_14655
ko:K03466	baz:BAMTA208_14660
ko:K06878	baz:BAMTA208_14665
ko:K03439	baz:BAMTA208_14705
ko:K01975	baz:BAMTA208_14730
ko:K01738	baz:BAMTA208_14735
ko:K06901	baz:BAMTA208_14745
ko:K07007	baz:BAMTA208_14775
ko:K02529	baz:BAMTA208_14790
ko:K10117	baz:BAMTA208_14795
ko:K07406	baz:BAMTA208_14810
ko:K01869	baz:BAMTA208_14825
ko:K11632	baz:BAMTA208_14850
ko:K03639	baz:BAMTA208_18590
ko:K02379	baz:BAMTA208_18595
ko:K06381	baz:BAMTA208_18615
ko:K00790	baz:BAMTA208_18620
ko:K02114	baz:BAMTA208_18640
ko:K02112	baz:BAMTA208_18645
ko:K02115	baz:BAMTA208_18650
ko:K02111	baz:BAMTA208_18655
ko:K02113	baz:BAMTA208_18660
ko:K02109	baz:BAMTA208_18665
ko:K02110	baz:BAMTA208_18670
ko:K02108	baz:BAMTA208_18675
ko:K00761	baz:BAMTA208_18685
ko:K00600	baz:BAMTA208_18690
ko:K01808	baz:BAMTA208_18700
ko:K07566	baz:BAMTA208_18715
ko:K06387	baz:BAMTA208_18725
ko:K02493	baz:BAMTA208_18745
ko:K02835	baz:BAMTA208_18750
ko:K11686	baz:BAMTA208_18760
ko:K07088	baz:BAMTA208_18765
ko:K02909	baz:BAMTA208_18780
ko:K03628	baz:BAMTA208_18790
ko:K00790	baz:BAMTA208_18800
ko:K03217	baz:BAMTA208_20665
ko:K03536	baz:BAMTA208_20670
ko:K02914	baz:BAMTA208_20675
ko:K14166	baz:BAMTA208_01840
ko:K00009	baz:BAMTA208_01865
ko:K07160	baz:BAMTA208_01885
ko:K06350	baz:BAMTA208_01905
ko:K03817	baz:BAMTA208_01960
ko:K01939	baz:BAMTA208_20360
ko:K03322	baz:BAMTA208_02080
ko:K03816	baz:BAMTA208_05920
ko:K01126	baz:BAMTA208_06110
ko:K03415	baz:BAMTA208_10135
ko:K03716	baz:BAMTA208_10180
ko:K03480	baz:BAMTA208_10205
ko:K01534	baz:BAMTA208_10225
ko:K01449	baz:BAMTA208_10240
ko:K09457	baz:BAMTA208_10260
ko:K10026	baz:BAMTA208_10265
ko:K01737	baz:BAMTA208_10270
ko:K06920	baz:BAMTA208_10275
ko:K02556	baz:BAMTA208_10300
ko:K02557	baz:BAMTA208_10305
ko:K15973	baz:BAMTA208_10310
ko:K08967	baz:BAMTA208_10325
ko:K08966	baz:BAMTA208_10335
ko:K08965	baz:BAMTA208_10340
ko:K01804	baz:BAMTA208_14150
ko:K02887	baz:BAMTA208_14175
ko:K02916	baz:BAMTA208_14180
ko:K02520	baz:BAMTA208_14185
ko:K05339	baz:BAMTA208_14190
ko:K05338	baz:BAMTA208_14195
ko:K07704	baz:BAMTA208_14205
ko:K01868	baz:BAMTA208_14215
ko:K07738	baz:BAMTA208_14240
ko:K01611	baz:BAMTA208_14245
ko:K00134	baz:BAMTA208_14250
ko:K00859	baz:BAMTA208_14270
ko:K07636	baz:BAMTA208_14290
ko:K00024	baz:BAMTA208_14305
ko:K00031	baz:BAMTA208_14310
ko:K01647	baz:BAMTA208_14315
ko:K07113	baz:BAMTA208_14335
ko:K00873	baz:BAMTA208_14340
ko:K00850	baz:BAMTA208_14345
ko:K01962	baz:BAMTA208_14350
ko:K05946	baz:BAMTA208_18090
ko:K01809	baz:BAMTA208_18105
ko:K07282	baz:BAMTA208_18160
ko:K06295	baz:BAMTA208_18180
ko:K02529	baz:BAMTA208_18195
ko:K06726	baz:BAMTA208_18205
ko:K10441	baz:BAMTA208_18210
ko:K01575	baz:BAMTA208_18235
ko:K01652	baz:BAMTA208_18240
ko:K03893	baz:BAMTA208_18250
ko:K06330	baz:BAMTA208_18265
ko:K07240	baz:BAMTA208_18295
ko:K07240	baz:BAMTA208_18300
ko:K08987	baz:BAMTA208_20490
ko:K06888	baz:BAMTA208_20545
ko:K08369	baz:BAMTA208_20555
ko:K01142	baz:BAMTA208_20570
ko:K13531	baz:BAMTA208_20575
ko:K18924	baz:BAMTA208_02700
ko:K19417	baz:BAMTA208_17460
ko:K02083	baz:BAMTA208_16430
ko:K05520	baz:BAMTA208_14550
ko:K18939	baz:BAMTA208_01245
ko:K18939	baz:BAMTA208_17755
ko:K18926	baz:BAMTA208_01240
ko:K01732	baz:BAMTA208_19805
ko:K03319	baz:BAMTA208_03395
ko:K00491	baz:BAMTA208_03465
ko:K01512	baz:BAMTA208_03470
ko:K01265	baz:BAMTA208_03495
ko:K13993	baz:BAMTA208_03520
ko:K02818	baz:BAMTA208_03535
ko:K02819	baz:BAMTA208_03535
ko:K05520	baz:BAMTA208_03570
ko:K02529	baz:BAMTA208_03575
ko:K00014	baz:BAMTA208_03580
ko:K03785	baz:BAMTA208_03585
ko:K07058	baz:BAMTA208_03610
ko:K07300	baz:BAMTA208_03625
ko:K06878	baz:BAMTA208_07635
ko:K11216	baz:BAMTA208_07675
ko:K00286	baz:BAMTA208_07705
ko:K00931	baz:BAMTA208_07710
ko:K00266	baz:BAMTA208_07725
ko:K01868	baz:BAMTA208_07745
ko:K07259	baz:BAMTA208_07805
ko:K01961	baz:BAMTA208_07845
ko:K02160	baz:BAMTA208_07850
ko:K01640	baz:BAMTA208_07855
ko:K03657	baz:BAMTA208_11680
ko:K06342	baz:BAMTA208_11720
ko:K00208	baz:BAMTA208_11740
ko:K00941	baz:BAMTA208_11745
ko:K03149	baz:BAMTA208_11755
ko:K03154	baz:BAMTA208_11760
ko:K03707	baz:BAMTA208_11775
ko:K06180	baz:BAMTA208_11790
ko:K00858	baz:BAMTA208_11795
ko:K06886	baz:BAMTA208_11820
ko:K08602	baz:BAMTA208_11835
ko:K15581	baz:BAMTA208_11885
ko:K15580	baz:BAMTA208_11890
ko:K06973	baz:BAMTA208_15550
ko:K01810	baz:BAMTA208_15580
ko:K09779	baz:BAMTA208_15595
ko:K10907	baz:BAMTA208_15605
ko:K14155	baz:BAMTA208_15625
ko:K07697	baz:BAMTA208_15630
ko:K06347	baz:BAMTA208_15635
ko:K06348	baz:BAMTA208_15640
ko:K11614	baz:BAMTA208_15665
ko:K07335	baz:BAMTA208_15675
ko:K02057	baz:BAMTA208_15690
ko:K02057	baz:BAMTA208_15695
ko:K05566	baz:BAMTA208_15710
ko:K05567	baz:BAMTA208_15715
ko:K05569	baz:BAMTA208_15725
ko:K05571	baz:BAMTA208_15735
ko:K00763	baz:BAMTA208_15785
ko:K03740	baz:BAMTA208_19495
ko:K00826	baz:BAMTA208_19500
ko:K02759	baz:BAMTA208_19510
ko:K02761	baz:BAMTA208_19515
ko:K02760	baz:BAMTA208_19520
ko:K03652	baz:BAMTA208_19535
ko:K02015	baz:BAMTA208_19540
ko:K02015	baz:BAMTA208_19545
ko:K02935	baz:BAMTA208_00530
ko:K03043	baz:BAMTA208_00540
ko:K03046	baz:BAMTA208_00545
ko:K07590	baz:BAMTA208_00550
ko:K02950	baz:BAMTA208_00555
ko:K02992	baz:BAMTA208_00560
ko:K02355	baz:BAMTA208_00565
ko:K02358	baz:BAMTA208_00570
ko:K02946	baz:BAMTA208_00580
ko:K02906	baz:BAMTA208_00585
ko:K02926	baz:BAMTA208_00590
ko:K02892	baz:BAMTA208_00595
ko:K02886	baz:BAMTA208_00600
ko:K02965	baz:BAMTA208_00605
ko:K02890	baz:BAMTA208_00610
ko:K02982	baz:BAMTA208_00615
ko:K02878	baz:BAMTA208_00620
ko:K02904	baz:BAMTA208_00625
ko:K02961	baz:BAMTA208_00630
ko:K02874	baz:BAMTA208_00635
ko:K02895	baz:BAMTA208_00640
ko:K02931	baz:BAMTA208_00645
ko:K02954	baz:BAMTA208_00650
ko:K02994	baz:BAMTA208_00655
ko:K02933	baz:BAMTA208_00660
ko:K02881	baz:BAMTA208_00665
ko:K02988	baz:BAMTA208_00670
ko:K02907	baz:BAMTA208_00675
ko:K02876	baz:BAMTA208_00680
ko:K03076	baz:BAMTA208_00685
ko:K01265	baz:BAMTA208_00695
ko:K02016	baz:BAMTA208_19550
ko:K03893	baz:BAMTA208_19560
ko:K02760	baz:BAMTA208_19565
ko:K02759	baz:BAMTA208_19570
ko:K02761	baz:BAMTA208_19575
ko:K00847	baz:BAMTA208_19585
ko:K01809	baz:BAMTA208_19590
ko:K03781	baz:BAMTA208_19600
ko:K01442	baz:BAMTA208_19605
ko:K06215	baz:BAMTA208_00050
ko:K08681	baz:BAMTA208_00055
ko:K01875	baz:BAMTA208_00060
ko:K00865	baz:BAMTA208_00065
ko:K15519	baz:BAMTA208_00070
ko:K15518	baz:BAMTA208_00075
ko:K06306	baz:BAMTA208_00080
ko:K02343	baz:BAMTA208_00100
ko:K09747	baz:BAMTA208_00105
ko:K06187	baz:BAMTA208_00110
ko:K06317	baz:BAMTA208_00120
ko:K00943	baz:BAMTA208_00145
ko:K09770	baz:BAMTA208_00155
ko:K02341	baz:BAMTA208_00160
ko:K07461	baz:BAMTA208_00180
ko:K07056	baz:BAMTA208_00185
ko:K06284	baz:BAMTA208_00190
ko:K01874	baz:BAMTA208_00195
ko:K03424	baz:BAMTA208_00200
ko:K05985	baz:BAMTA208_00210
ko:K02528	baz:BAMTA208_00215
ko:K06436	baz:BAMTA208_00220
ko:K06423	baz:BAMTA208_00230
ko:K00919	baz:BAMTA208_00235
ko:K06412	baz:BAMTA208_00250
ko:K04042	baz:BAMTA208_00255
ko:K00948	baz:BAMTA208_00260
ko:K02897	baz:BAMTA208_00265
ko:K01056	baz:BAMTA208_00270
ko:K03723	baz:BAMTA208_00280
ko:K04769	baz:BAMTA208_00285
ko:K15553	baz:BAMTA208_04105
ko:K15554	baz:BAMTA208_04110
ko:K02954	baz:BAMTA208_04130
ko:K03216	baz:BAMTA208_04160
ko:K07180	baz:BAMTA208_04180
ko:K09786	baz:BAMTA208_04185
ko:K03809	baz:BAMTA208_04205
ko:K03704	baz:BAMTA208_04240
ko:K02073	baz:BAMTA208_04245
ko:K06956	baz:BAMTA208_04255
ko:K06180	baz:BAMTA208_04295
ko:K02440	baz:BAMTA208_04330
ko:K00864	baz:BAMTA208_04335
ko:K00111	baz:BAMTA208_04340
ko:K01915	baz:BAMTA208_08395
ko:K03665	baz:BAMTA208_08410
ko:K06413	baz:BAMTA208_08415
ko:K03666	baz:BAMTA208_08465
ko:K00791	baz:BAMTA208_08470
ko:K15311	baz:BAMTA208_08580
ko:K03572	baz:BAMTA208_08615
ko:K03555	baz:BAMTA208_08620
ko:K06328	baz:BAMTA208_08625
ko:K06168	baz:BAMTA208_08635
ko:K00060	baz:BAMTA208_08645
ko:K01126	baz:BAMTA208_12395
ko:K01448	baz:BAMTA208_12400
ko:K01775	baz:BAMTA208_12445
ko:K07699	baz:BAMTA208_12455
ko:K06399	baz:BAMTA208_12460
ko:K03631	baz:BAMTA208_12465
ko:K03402	baz:BAMTA208_12470
ko:K06442	baz:BAMTA208_12475
ko:K01662	baz:BAMTA208_12480
ko:K13789	baz:BAMTA208_12485
ko:K03602	baz:BAMTA208_12490
ko:K03601	baz:BAMTA208_12495
ko:K01491	baz:BAMTA208_12500
ko:K03625	baz:BAMTA208_12505
ko:K01961	baz:BAMTA208_12520
ko:K02160	baz:BAMTA208_12525
ko:K06397	baz:BAMTA208_12530
ko:K06396	baz:BAMTA208_12535
ko:K06395	baz:BAMTA208_12540
ko:K06394	baz:BAMTA208_12545
ko:K06393	baz:BAMTA208_12550
ko:K06392	baz:BAMTA208_12555
ko:K06391	baz:BAMTA208_12560
ko:K06390	baz:BAMTA208_12565
ko:K02356	baz:BAMTA208_12575
ko:K07001	baz:BAMTA208_12600
ko:K03800	baz:BAMTA208_12610
ko:K00283	baz:BAMTA208_12620
ko:K00282	baz:BAMTA208_12625
ko:K00605	baz:BAMTA208_12630
ko:K01733	baz:BAMTA208_16330
ko:K00003	baz:BAMTA208_16335
ko:K03644	baz:BAMTA208_16365
ko:K07090	baz:BAMTA208_16385
ko:K08153	baz:BAMTA208_16420
ko:K10711	baz:BAMTA208_16445
ko:K00285	baz:BAMTA208_16505
ko:K09014	baz:BAMTA208_16525
ko:K11717	baz:BAMTA208_16535
ko:K09015	baz:BAMTA208_16540
ko:K09013	baz:BAMTA208_16545
ko:K02073	baz:BAMTA208_16560
ko:K02072	baz:BAMTA208_16565
ko:K02071	baz:BAMTA208_16570
ko:K01745	baz:BAMTA208_19880
ko:K01712	baz:BAMTA208_19885
ko:K01468	baz:BAMTA208_19890
ko:K00756	baz:BAMTA208_19905
ko:K11535	baz:BAMTA208_19910
ko:K05346	baz:BAMTA208_19920
ko:K02016	baz:BAMTA208_19955
ko:K07260	baz:BAMTA208_07320
ko:K03284	baz:BAMTA208_03665
ko:K01247	baz:BAMTA208_03670
ko:K03215	baz:BAMTA208_03680
ko:K00627	baz:BAMTA208_03755
ko:K00382	baz:BAMTA208_03760
ko:K06425	baz:BAMTA208_03770
ko:K01232	baz:BAMTA208_03775
ko:K03481	baz:BAMTA208_03780
ko:K02749	baz:BAMTA208_03785
ko:K02750	baz:BAMTA208_03785
ko:K03623	baz:BAMTA208_03855
ko:K14205	baz:BAMTA208_03875
ko:K07071	baz:BAMTA208_03900
ko:K03565	baz:BAMTA208_03905
ko:K00963	baz:BAMTA208_07875
ko:K01935	baz:BAMTA208_07900
ko:K01012	baz:BAMTA208_07905
ko:K01028	baz:BAMTA208_07915
ko:K01029	baz:BAMTA208_07920
ko:K00019	baz:BAMTA208_07925
ko:K00645	baz:BAMTA208_07935
ko:K03310	baz:BAMTA208_08015
ko:K02621	baz:BAMTA208_08030
ko:K02622	baz:BAMTA208_08035
ko:K08591	baz:BAMTA208_08045
ko:K07107	baz:BAMTA208_08060
ko:K06434	baz:BAMTA208_08065
ko:K06431	baz:BAMTA208_08070
ko:K01681	baz:BAMTA208_08085
ko:K06432	baz:BAMTA208_08090
ko:K06433	baz:BAMTA208_08095
ko:K03413	baz:BAMTA208_08115
ko:K01867	baz:BAMTA208_11895
ko:K02034	baz:BAMTA208_11905
ko:K09458	baz:BAMTA208_11935
ko:K00648	baz:BAMTA208_11940
ko:K02254	baz:BAMTA208_11950
ko:K00611	baz:BAMTA208_11980
ko:K01955	baz:BAMTA208_11985
ko:K01956	baz:BAMTA208_11990
ko:K00930	baz:BAMTA208_12000
ko:K00620	baz:BAMTA208_12005
ko:K00145	baz:BAMTA208_12010
ko:K01839	baz:BAMTA208_12025
ko:K03315	baz:BAMTA208_12065
ko:K01744	baz:BAMTA208_12070
ko:K06950	baz:BAMTA208_15820
ko:K03466	baz:BAMTA208_15840
ko:K00259	baz:BAMTA208_15865
ko:K04780	baz:BAMTA208_15880
ko:K01252	baz:BAMTA208_15885
ko:K02363	baz:BAMTA208_15890
ko:K02361	baz:BAMTA208_15895
ko:K00216	baz:BAMTA208_15900
ko:K03523	baz:BAMTA208_15915
ko:K07084	baz:BAMTA208_15920
ko:K01255	baz:BAMTA208_15925
ko:K09775	baz:BAMTA208_15930
ko:K03885	baz:BAMTA208_15950
ko:K00364	baz:BAMTA208_15970
ko:K03790	baz:BAMTA208_16010
ko:K14189	baz:BAMTA208_16020
ko:K00426	baz:BAMTA208_19630
ko:K00425	baz:BAMTA208_19635
ko:K00563	baz:BAMTA208_19705
ko:K03781	baz:BAMTA208_19730
ko:K03300	baz:BAMTA208_19735
ko:K01972	baz:BAMTA208_03090
ko:K07507	baz:BAMTA208_03105
ko:K02435	baz:BAMTA208_03115
ko:K02434	baz:BAMTA208_03125
ko:K03215	baz:BAMTA208_03145
ko:K09384	baz:BAMTA208_03150
ko:K06332	baz:BAMTA208_03205
ko:K06333	baz:BAMTA208_03210
ko:K06334	baz:BAMTA208_03215
ko:K06890	baz:BAMTA208_03260
ko:K00978	baz:BAMTA208_03295
ko:K01709	baz:BAMTA208_03300
ko:K08223	baz:BAMTA208_03320
ko:K15738	baz:BAMTA208_03350
ko:K03797	baz:BAMTA208_07335
ko:K03489	baz:BAMTA208_07340
ko:K01223	baz:BAMTA208_07345
ko:K01201	baz:BAMTA208_07350
ko:K15975	baz:BAMTA208_07365
ko:K06999	baz:BAMTA208_07370
ko:K05786	baz:BAMTA208_07405
ko:K03327	baz:BAMTA208_07430
ko:K00164	baz:BAMTA208_07475
ko:K00658	baz:BAMTA208_07480
ko:K03453	baz:BAMTA208_07490
ko:K03308	baz:BAMTA208_07495
ko:K04564	baz:BAMTA208_07500
ko:K13993	baz:BAMTA208_07540
ko:K01118	baz:BAMTA208_07560
ko:K03654	baz:BAMTA208_07570
ko:K08976	baz:BAMTA208_07600
ko:K06153	baz:BAMTA208_15480
ko:K05520	baz:BAMTA208_15495
ko:K00686	baz:BAMTA208_15520
ko:K00459	baz:BAMTA208_15530
ko:K02829	baz:BAMTA208_19315
ko:K02828	baz:BAMTA208_19320
ko:K02827	baz:BAMTA208_19325
ko:K02826	baz:BAMTA208_19330
ko:K00965	baz:BAMTA208_19340
ko:K00849	baz:BAMTA208_19345
ko:K07224	baz:BAMTA208_19385
ko:K07243	baz:BAMTA208_19390
ko:K00788	baz:BAMTA208_19395
ko:K00878	baz:BAMTA208_19400
ko:K06969	baz:BAMTA208_19435
ko:K02761	baz:BAMTA208_19445
ko:K02548	baz:BAMTA208_19470
ko:K03367	baz:BAMTA208_19480
ko:K03739	baz:BAMTA208_19485
ko:K14188	baz:BAMTA208_19490
ko:K07571	baz:BAMTA208_00320
ko:K06382	baz:BAMTA208_00325
ko:K04075	baz:BAMTA208_00340
ko:K00760	baz:BAMTA208_00345
ko:K03798	baz:BAMTA208_00350
ko:K03525	baz:BAMTA208_00355
ko:K04083	baz:BAMTA208_00360
ko:K01738	baz:BAMTA208_00370
ko:K01665	baz:BAMTA208_00375
ko:K00796	baz:BAMTA208_00390
ko:K01633	baz:BAMTA208_00395
ko:K00950	baz:BAMTA208_00400
ko:K04567	baz:BAMTA208_00415
ko:K03696	baz:BAMTA208_00435
ko:K04485	baz:BAMTA208_00440
ko:K00991	baz:BAMTA208_00455
ko:K01770	baz:BAMTA208_00460
ko:K00640	baz:BAMTA208_00470
ko:K01883	baz:BAMTA208_00475
ko:K11145	baz:BAMTA208_00480
ko:K03218	baz:BAMTA208_00485
ko:K06962	baz:BAMTA208_00490
ko:K03091	baz:BAMTA208_00495
ko:K02913	baz:BAMTA208_00500
ko:K03073	baz:BAMTA208_00505
ko:K02601	baz:BAMTA208_00510
ko:K02867	baz:BAMTA208_00515
ko:K02863	baz:BAMTA208_00520
ko:K02864	baz:BAMTA208_00525
ko:K13771	baz:BAMTA208_04380
ko:K01647	baz:BAMTA208_04415
ko:K03308	baz:BAMTA208_04430
ko:K03088	baz:BAMTA208_04445
ko:K00655	baz:BAMTA208_04450
ko:K11358	baz:BAMTA208_04465
ko:K00646	baz:BAMTA208_04470
ko:K06199	baz:BAMTA208_04480
ko:K06199	baz:BAMTA208_04485
ko:K01126	baz:BAMTA208_04490
ko:K12410	baz:BAMTA208_04505
ko:K00824	baz:BAMTA208_04515
ko:K03897	baz:BAMTA208_04610
ko:K06416	baz:BAMTA208_08650
ko:K09769	baz:BAMTA208_08655
ko:K00995	baz:BAMTA208_08680
ko:K08221	baz:BAMTA208_08725
ko:K03710	baz:BAMTA208_08730
ko:K03466	baz:BAMTA208_08735
ko:K01714	baz:BAMTA208_08755
ko:K00928	baz:BAMTA208_08760
ko:K00133	baz:BAMTA208_08765
ko:K06411	baz:BAMTA208_08770
ko:K06410	baz:BAMTA208_08775
ko:K00962	baz:BAMTA208_08795
ko:K02956	baz:BAMTA208_08800
ko:K11753	baz:BAMTA208_08805
ko:K02834	baz:BAMTA208_08815
ko:K02519	baz:BAMTA208_08825
ko:K07742	baz:BAMTA208_08835
ko:K02600	baz:BAMTA208_08840
ko:K09748	baz:BAMTA208_08845
ko:K03763	baz:BAMTA208_08850
ko:K01881	baz:BAMTA208_08855
ko:K11749	baz:BAMTA208_08860
ko:K00099	baz:BAMTA208_08865
ko:K00981	baz:BAMTA208_08870
ko:K00806	baz:BAMTA208_08875
ko:K02838	baz:BAMTA208_08880
ko:K09903	baz:BAMTA208_08885
ko:K02247	baz:BAMTA208_12690
ko:K01308	baz:BAMTA208_12765
ko:K03315	baz:BAMTA208_12780
ko:K02913	baz:BAMTA208_12795
ko:K02036	baz:BAMTA208_12810
ko:K02036	baz:BAMTA208_12815
ko:K02038	baz:BAMTA208_12820
ko:K02037	baz:BAMTA208_12825
ko:K02040	baz:BAMTA208_12830
ko:K08222	baz:BAMTA208_12840
ko:K04564	baz:BAMTA208_12845
ko:K09793	baz:BAMTA208_12850
ko:K05967	baz:BAMTA208_12875
ko:K07476	baz:BAMTA208_16585
ko:K02437	baz:BAMTA208_16595
ko:K07516	baz:BAMTA208_16615
ko:K00318	baz:BAMTA208_16625
ko:K02013	baz:BAMTA208_16670
ko:K04047	baz:BAMTA208_16690
ko:K07650	baz:BAMTA208_16705
ko:K11622	baz:BAMTA208_16755
ko:K11619	baz:BAMTA208_16770
ko:K02013	baz:BAMTA208_16785
ko:K02015	baz:BAMTA208_16790
ko:K02016	baz:BAMTA208_16795
ko:K06606	baz:BAMTA208_19990
ko:K06605	baz:BAMTA208_19995
ko:K03335	baz:BAMTA208_20010
ko:K03336	baz:BAMTA208_20015
ko:K03338	baz:BAMTA208_20020
ko:K03337	baz:BAMTA208_20025
ko:K00140	baz:BAMTA208_20030
ko:K06608	baz:BAMTA208_20035
ko:K04079	baz:BAMTA208_20050
ko:K07693	baz:BAMTA208_20060
ko:K02313	baz:BAMTA208_00005
ko:K02338	baz:BAMTA208_00010
ko:K03629	baz:BAMTA208_00020
ko:K02470	baz:BAMTA208_00030
ko:K02469	baz:BAMTA208_00035
ko:K06428	baz:BAMTA208_03930
ko:K03575	baz:BAMTA208_03970
ko:K10780	baz:BAMTA208_03980
ko:K06422	baz:BAMTA208_03985
ko:K01845	baz:BAMTA208_04010
ko:K03564	baz:BAMTA208_04015
ko:K03147	baz:BAMTA208_04050
ko:K02034	baz:BAMTA208_04075
ko:K03781	baz:BAMTA208_04090
ko:K00615	baz:BAMTA208_08140
ko:K01356	baz:BAMTA208_08160
ko:K01805	baz:BAMTA208_08340
ko:K01198	baz:BAMTA208_08350
ko:K02346	baz:BAMTA208_12145
ko:K01753	baz:BAMTA208_12175
ko:K07124	baz:BAMTA208_12180
ko:K00286	baz:BAMTA208_12190
ko:K02913	baz:BAMTA208_12220
ko:K00036	baz:BAMTA208_12235
ko:K02346	baz:BAMTA208_12245
ko:K03217	baz:BAMTA208_12255
ko:K05606	baz:BAMTA208_12275
ko:K09699	baz:BAMTA208_12320
ko:K00167	baz:BAMTA208_12325
ko:K00166	baz:BAMTA208_12330
ko:K00382	baz:BAMTA208_12335
ko:K00263	baz:BAMTA208_12345
ko:K01720	baz:BAMTA208_12370
ko:K01647	baz:BAMTA208_12375
ko:K00074	baz:BAMTA208_12385
ko:K01778	baz:BAMTA208_16290
ko:K03885	baz:BAMTA208_16305
ko:K00872	baz:BAMTA208_16325
ko:K07458	baz:BAMTA208_19830
ko:K09683	baz:BAMTA208_19875
ko:K02518	baz:BAMTA208_00700
ko:K00130	baz:BAMTA208_15140
ko:K19427	baz:BAMTA208_17410
ko:K15661	baz:BAMTA208_07940
ko:K15662	baz:BAMTA208_07945
ko:K15663	baz:BAMTA208_07950
ko:K06292	baz:BAMTA208_18115
ko:K06289	baz:BAMTA208_16735
ko:K15668	baz:BAMTA208_07820
ko:K15654	baz:BAMTA208_01575
ko:K15655	baz:BAMTA208_01580
ko:K14234	baz:BAMTA208_t20801
ko:K14234	baz:BAMTA208_t20733
ko:K14234	baz:BAMTA208_t20691
ko:K06296	baz:BAMTA208_01680
ko:K01728	baz:BAMTA208_03390
ko:K15667	baz:BAMTA208_07815
ko:K15656	baz:BAMTA208_01585
ko:K11815	baz:BAMTA208_08490
ko:K11814	baz:BAMTA208_08485
ko:K10040	baz:BAMTA208_13475
ko:K03296	baz:BAMTA208_03135
ko:K14223	baz:BAMTA208_t20757
ko:K14223	baz:BAMTA208_t20741
ko:K14223	baz:BAMTA208_t20695
ko:K14223	baz:BAMTA208_t20703
ko:K14219	baz:BAMTA208_t20807
ko:K14220	baz:BAMTA208_t20719
ko:K14220	baz:BAMTA208_t20767
ko:K14220	baz:BAMTA208_t20697
ko:K14236	baz:BAMTA208_t20735
ko:K14236	baz:BAMTA208_t20693
ko:K14233	baz:BAMTA208_t20699
ko:K14233	baz:BAMTA208_t20765
ko:K14228	baz:BAMTA208_t20709
ko:K14225	baz:BAMTA208_t20713
ko:K14225	baz:BAMTA208_t20751
ko:K14225	baz:BAMTA208_t20771
ko:K14230	baz:BAMTA208_t20715
ko:K14230	baz:BAMTA208_t20779
ko:K14230	baz:BAMTA208_t20727
ko:K18104	baz:BAMTA208_03695
ko:K07098	baz:BAMTA208_10115
ko:K00841	baz:BAMTA208_10145
ko:K03406	baz:BAMTA208_10175
ko:K08483	baz:BAMTA208_10190
ko:K00135	baz:BAMTA208_01820
ko:K02799	baz:BAMTA208_01855
ko:K11189	baz:BAMTA208_10195
ko:K03697	baz:BAMTA208_10295
ko:K08964	baz:BAMTA208_10330
ko:K02800	baz:BAMTA208_01855
ko:K01209	baz:BAMTA208_14110
ko:K00853	baz:BAMTA208_14145
ko:K07025	baz:BAMTA208_14210
ko:K11144	baz:BAMTA208_14230
ko:K03346	baz:BAMTA208_14235
ko:K10563	baz:BAMTA208_14280
ko:K02798	baz:BAMTA208_01860
ko:K07658	baz:BAMTA208_14295
ko:K09693	baz:BAMTA208_18065
ko:K00712	baz:BAMTA208_18080
ko:K00852	baz:BAMTA208_18200
ko:K00158	baz:BAMTA208_02025
ko:K10440	baz:BAMTA208_18215
ko:K10439	baz:BAMTA208_18220
ko:K06325	baz:BAMTA208_18260
ko:K07052	baz:BAMTA208_20550
ko:K01759	baz:BAMTA208_20560
ko:K07032	baz:BAMTA208_02430
ko:K00121	baz:BAMTA208_02545
ko:K07404	baz:BAMTA208_10620
ko:K01297	baz:BAMTA208_10640
ko:K03294	baz:BAMTA208_10705
ko:K04767	baz:BAMTA208_14610
ko:K00027	baz:BAMTA208_14695
