ko:K03602	abk:LX00_05940
ko:K02455	abk:LX00_01935
ko:K02456	abk:LX00_01940
ko:K06878	abk:LX00_01950
ko:K03820	abk:LX00_01955
ko:K06189	abk:LX00_01960
ko:K04085	abk:LX00_01965
ko:K00311	abk:LX00_01970
ko:K09986	abk:LX00_01975
ko:K01776	abk:LX00_01980
ko:K01772	abk:LX00_01990
ko:K09862	abk:LX00_02000
ko:K07007	abk:LX00_02010
ko:K06199	abk:LX00_02020
ko:K02909	abk:LX00_02030
ko:K03327	abk:LX00_02050
ko:K09936	abk:LX00_02055
ko:K05564	abk:LX00_01790
ko:K13776	abk:LX00_02080
ko:K02935	abk:LX00_01520
ko:K07084	abk:LX00_01555
ko:K07275	abk:LX00_01560
ko:K04079	abk:LX00_01570
ko:K07002	abk:LX00_01600
ko:K01825	abk:LX00_01615
ko:K03703	abk:LX00_01640
ko:K00995	abk:LX00_01650
ko:K10778	abk:LX00_01655
ko:K07447	abk:LX00_01685
ko:K07735	abk:LX00_01690
ko:K03631	abk:LX00_01695
ko:K09913	abk:LX00_01705
ko:K03218	abk:LX00_01710
ko:K00859	abk:LX00_01720
ko:K02654	abk:LX00_01725
ko:K02653	abk:LX00_01730
ko:K02652	abk:LX00_01735
ko:K01803	abk:LX00_01740
ko:K03075	abk:LX00_01745
ko:K09748	abk:LX00_01770
ko:K02600	abk:LX00_01775
ko:K02519	abk:LX00_01780
ko:K02834	abk:LX00_01785
ko:K03043	abk:LX00_01525
ko:K03046	abk:LX00_01530
ko:K06179	abk:LX00_02090
ko:K01091	abk:LX00_02095
ko:K00799	abk:LX00_02105
ko:K05817	abk:LX00_02115
ko:K03782	abk:LX00_02125
ko:K08484	abk:LX00_02130
ko:K08311	abk:LX00_02135
ko:K01703	abk:LX00_02165
ko:K01704	abk:LX00_02170
ko:K00052	abk:LX00_02180
ko:K02518	abk:LX00_02195
ko:K08300	abk:LX00_02085
ko:K06173	abk:LX00_02205
ko:K01424	abk:LX00_02210
ko:K00133	abk:LX00_02225
ko:K11102	abk:LX00_02235
ko:K02517	abk:LX00_02245
ko:K15738	abk:LX00_02255
ko:K03745	abk:LX00_02260
ko:K03168	abk:LX00_02280
ko:K03657	abk:LX00_02295
ko:K03455	abk:LX00_02320
ko:K02913	abk:LX00_02325
ko:K02902	abk:LX00_02330
ko:K00154	abk:LX00_02335
ko:K01433	abk:LX00_02345
ko:K03832	abk:LX00_02350
ko:K03561	abk:LX00_02355
ko:K03559	abk:LX00_02360
ko:K07304	abk:LX00_02365
ko:K01950	abk:LX00_04290
ko:K06911	abk:LX00_04300
ko:K08973	abk:LX00_04305
ko:K00647	abk:LX00_04310
ko:K02950	abk:LX00_04320
ko:K02992	abk:LX00_04325
ko:K02355	abk:LX00_04330
ko:K02358	abk:LX00_04335
ko:K07044	abk:LX00_04340
ko:K07044	abk:LX00_04345
ko:K03789	abk:LX00_04350
ko:K00684	abk:LX00_04360
ko:K00384	abk:LX00_04365
ko:K03466	abk:LX00_04370
ko:K05835	abk:LX00_04375
ko:K03608	abk:LX00_04385
ko:K03609	abk:LX00_04390
ko:K03610	abk:LX00_04395
ko:K03656	abk:LX00_04415
ko:K15778	abk:LX00_04425
ko:K00930	abk:LX00_04430
ko:K09801	abk:LX00_04455
ko:K06186	abk:LX00_04460
ko:K03711	abk:LX00_04465
ko:K02670	abk:LX00_04470
ko:K02669	abk:LX00_04475
ko:K06997	abk:LX00_04480
ko:K03547	abk:LX00_04495
ko:K06996	abk:LX00_04505
ko:K07071	abk:LX00_04515
ko:K03153	abk:LX00_04520
ko:K01698	abk:LX00_04525
ko:K03543	abk:LX00_04535
ko:K03446	abk:LX00_04540
ko:K00681	abk:LX00_04545
ko:K15342	abk:LX00_04550
ko:K08369	abk:LX00_04605
ko:K01714	abk:LX00_04610
ko:K03758	abk:LX00_04635
ko:K00116	abk:LX00_04655
ko:K02167	abk:LX00_04670
ko:K02168	abk:LX00_04675
ko:K02168	abk:LX00_04680
ko:K11103	abk:LX00_04705
ko:K11931	abk:LX00_04720
ko:K11936	abk:LX00_04725
ko:K03811	abk:LX00_04740
ko:K06989	abk:LX00_04805
ko:K01652	abk:LX00_04815
ko:K01462	abk:LX00_04830
ko:K01425	abk:LX00_04835
ko:K08223	abk:LX00_04845
ko:K01785	abk:LX00_04850
ko:K00615	abk:LX00_04875
ko:K00615	abk:LX00_04880
ko:K00548	abk:LX00_04885
ko:K03306	abk:LX00_04895
ko:K01753	abk:LX00_04900
ko:K01130	abk:LX00_04920
ko:K07400	abk:LX00_04930
ko:K01673	abk:LX00_04965
ko:K10804	abk:LX00_04970
ko:K02003	abk:LX00_04975
ko:K02004	abk:LX00_04980
ko:K03814	abk:LX00_04990
ko:K00937	abk:LX00_04995
ko:K04761	abk:LX00_05005
ko:K05297	abk:LX00_05015
ko:K04567	abk:LX00_05035
ko:K00957	abk:LX00_05050
ko:K00956	abk:LX00_05055
ko:K09965	abk:LX00_05060
ko:K03300	abk:LX00_05070
ko:K01637	abk:LX00_05085
ko:K03190	abk:LX00_05105
ko:K01430	abk:LX00_05110
ko:K01429	abk:LX00_05115
ko:K01428	abk:LX00_05125
ko:K03187	abk:LX00_05130
ko:K03188	abk:LX00_05135
ko:K03189	abk:LX00_05140
ko:K03192	abk:LX00_05145
ko:K08316	abk:LX00_05150
ko:K05515	abk:LX00_05155
ko:K00939	abk:LX00_05170
ko:K01866	abk:LX00_00010
ko:K09001	abk:LX00_00015
ko:K15724	abk:LX00_00025
ko:K06158	abk:LX00_00045
ko:K15536	abk:LX00_00055
ko:K02470	abk:LX00_00060
ko:K03629	abk:LX00_00065
ko:K02338	abk:LX00_00070
ko:K02313	abk:LX00_00075
ko:K02914	abk:LX00_00080
ko:K03536	abk:LX00_00085
ko:K08998	abk:LX00_00090
ko:K03217	abk:LX00_00095
ko:K03650	abk:LX00_00100
ko:K03981	abk:LX00_00115
ko:K00760	abk:LX00_00125
ko:K01487	abk:LX00_00135
ko:K05794	abk:LX00_00155
ko:K02558	abk:LX00_00170
ko:K09922	abk:LX00_00175
ko:K01588	abk:LX00_00180
ko:K01589	abk:LX00_00185
ko:K04043	abk:LX00_00210
ko:K03687	abk:LX00_00215
ko:K03767	abk:LX00_00245
ko:K03774	abk:LX00_00285
ko:K03101	abk:LX00_00290
ko:K01870	abk:LX00_00295
ko:K11753	abk:LX00_00300
ko:K01243	abk:LX00_00310
ko:K15555	abk:LX00_00320
ko:K15554	abk:LX00_00325
ko:K04091	abk:LX00_00330
ko:K15553	abk:LX00_00335
ko:K15553	abk:LX00_00340
ko:K14682	abk:LX00_00345
ko:K00568	abk:LX00_00370
ko:K03673	abk:LX00_00375
ko:K00989	abk:LX00_00400
ko:K00767	abk:LX00_00420
ko:K03806	abk:LX00_00425
ko:K03980	abk:LX00_00430
ko:K03773	abk:LX00_00435
ko:K03772	abk:LX00_00440
ko:K16692	abk:LX00_00445
ko:K01104	abk:LX00_00450
ko:K01991	abk:LX00_00455
ko:K02474	abk:LX00_00460
ko:K13016	abk:LX00_00465
ko:K13018	abk:LX00_00470
ko:K13017	abk:LX00_00475
ko:K00963	abk:LX00_00520
ko:K00012	abk:LX00_00525
ko:K01810	abk:LX00_00530
ko:K01784	abk:LX00_00535
ko:K01840	abk:LX00_00540
ko:K00427	abk:LX00_00545
ko:K14348	abk:LX00_00550
ko:K00101	abk:LX00_00555
ko:K03777	abk:LX00_00560
ko:K00832	abk:LX00_00565
ko:K03417	abk:LX00_00575
ko:K01659	abk:LX00_00580
ko:K01114	abk:LX00_00410
ko:K06177	abk:LX00_00620
ko:K01951	abk:LX00_00820
ko:K06911	abk:LX00_00840
ko:K07397	abk:LX00_00845
ko:K00799	abk:LX00_00850
ko:K01887	abk:LX00_00860
ko:K00027	abk:LX00_00865
ko:K07223	abk:LX00_00870
ko:K05834	abk:LX00_00875
ko:K09816	abk:LX00_00880
ko:K09817	abk:LX00_00885
ko:K02014	abk:LX00_00635
ko:K03719	abk:LX00_00645
ko:K00285	abk:LX00_00650
ko:K01775	abk:LX00_00655
ko:K11737	abk:LX00_00665
ko:K11737	abk:LX00_00670
ko:K10773	abk:LX00_05180
ko:K03616	abk:LX00_05185
ko:K00262	abk:LX00_05190
ko:K00783	abk:LX00_05205
ko:K01338	abk:LX00_05210
ko:K01934	abk:LX00_05225
ko:K09895	abk:LX00_05255
ko:K01262	abk:LX00_05260
ko:K03185	abk:LX00_05265
ko:K06895	abk:LX00_05290
ko:K05596	abk:LX00_05295
ko:K07056	abk:LX00_05305
ko:K07460	abk:LX00_05310
ko:K03426	abk:LX00_05325
ko:K13893	abk:LX00_05345
ko:K13894	abk:LX00_05350
ko:K13895	abk:LX00_05355
ko:K13896	abk:LX00_05360
ko:K02014	abk:LX00_05370
ko:K03683	abk:LX00_05380
ko:K01465	abk:LX00_05385
ko:K01940	abk:LX00_05395
ko:K00219	abk:LX00_05400
ko:K02073	abk:LX00_05410
ko:K11904	abk:LX00_05455
ko:K11734	abk:LX00_05500
ko:K14052	abk:LX00_05510
ko:K00840	abk:LX00_05545
ko:K00673	abk:LX00_05550
ko:K11737	abk:LX00_05555
ko:K00154	abk:LX00_05560
ko:K01708	abk:LX00_05580
ko:K03535	abk:LX00_05585
ko:K01706	abk:LX00_05590
ko:K01707	abk:LX00_05595
ko:K06901	abk:LX00_05625
ko:K12262	abk:LX00_05635
ko:K03470	abk:LX00_05645
ko:K03563	abk:LX00_05650
ko:K00928	abk:LX00_05655
ko:K01872	abk:LX00_05660
ko:K00134	abk:LX00_05665
ko:K02502	abk:LX00_05670
ko:K01939	abk:LX00_05675
ko:K10914	abk:LX00_05695
ko:K07397	abk:LX00_05700
ko:K03695	abk:LX00_05715
ko:K03743	abk:LX00_05720
ko:K12297	abk:LX00_05730
ko:K00609	abk:LX00_05740
ko:K01465	abk:LX00_05745
ko:K00799	abk:LX00_05760
ko:K03439	abk:LX00_05765
ko:K07004	abk:LX00_05770
ko:K03270	abk:LX00_06060
ko:K11719	abk:LX00_06065
ko:K09774	abk:LX00_06070
ko:K06861	abk:LX00_06075
ko:K12543	abk:LX00_06080
ko:K12541	abk:LX00_06085
ko:K12542	abk:LX00_06090
ko:K05524	abk:LX00_06120
ko:K03555	abk:LX00_06130
ko:K02517	abk:LX00_06160
ko:K08195	abk:LX00_06170
ko:K01118	abk:LX00_06195
ko:K11904	abk:LX00_06240
ko:K07160	abk:LX00_06290
ko:K11263	abk:LX00_06305
ko:K07126	abk:LX00_06315
ko:K09967	abk:LX00_06340
ko:K09967	abk:LX00_06345
ko:K01941	abk:LX00_06350
ko:K11746	abk:LX00_06355
ko:K01968	abk:LX00_06955
ko:K13766	abk:LX00_06960
ko:K01969	abk:LX00_06965
ko:K00253	abk:LX00_06970
ko:K00666	abk:LX00_06980
ko:K15256	abk:LX00_06985
ko:K03743	abk:LX00_07035
ko:K03781	abk:LX00_07045
ko:K06975	abk:LX00_07100
ko:K02029	abk:LX00_07105
ko:K02029	abk:LX00_07110
ko:K02028	abk:LX00_07115
ko:K02030	abk:LX00_07120
ko:K02030	abk:LX00_07125
ko:K11717	abk:LX00_07140
ko:K00640	abk:LX00_07150
ko:K00059	abk:LX00_07160
ko:K11209	abk:LX00_07170
ko:K06518	abk:LX00_07185
ko:K00375	abk:LX00_07195
ko:K07734	abk:LX00_07200
ko:K03566	abk:LX00_07220
ko:K13929	abk:LX00_07225
ko:K13930	abk:LX00_07230
ko:K13931	abk:LX00_07235
ko:K03559	abk:LX00_08095
ko:K03561	abk:LX00_08100
ko:K03832	abk:LX00_08105
ko:K02014	abk:LX00_08110
ko:K02033	abk:LX00_08135
ko:K02034	abk:LX00_08140
ko:K02031	abk:LX00_08145
ko:K02032	abk:LX00_08145
ko:K01082	abk:LX00_08160
ko:K02968	abk:LX00_08170
ko:K02553	abk:LX00_08180
ko:K07223	abk:LX00_08190
ko:K03723	abk:LX00_08200
ko:K04755	abk:LX00_08215
ko:K04044	abk:LX00_08220
ko:K04082	abk:LX00_08225
ko:K13628	abk:LX00_08230
ko:K04488	abk:LX00_08235
ko:K04487	abk:LX00_08240
ko:K13643	abk:LX00_08245
ko:K03530	abk:LX00_08260
ko:K03770	abk:LX00_08265
ko:K00496	abk:LX00_08275
ko:K02014	abk:LX00_08340
ko:K02231	abk:LX00_08380
ko:K00768	abk:LX00_08385
ko:K00297	abk:LX00_09590
ko:K00948	abk:LX00_09605
ko:K02013	abk:LX00_09625
ko:K02015	abk:LX00_09630
ko:K02016	abk:LX00_09635
ko:K13979	abk:LX00_09640
ko:K00135	abk:LX00_09715
ko:K02510	abk:LX00_09720
ko:K02509	abk:LX00_09725
ko:K01826	abk:LX00_09730
ko:K00455	abk:LX00_09735
ko:K00151	abk:LX00_09740
ko:K05921	abk:LX00_09745
ko:K05921	abk:LX00_09750
ko:K02508	abk:LX00_09755
ko:K07552	abk:LX00_09760
ko:K01866	abk:LX00_09765
ko:K03781	abk:LX00_09800
ko:K00154	abk:LX00_09815
ko:K14393	abk:LX00_09825
ko:K02688	abk:LX00_09840
ko:K03719	abk:LX00_11315
ko:K04093	abk:LX00_11320
ko:K00799	abk:LX00_11335
ko:K01256	abk:LX00_11340
ko:K00878	abk:LX00_11355
ko:K01826	abk:LX00_11360
ko:K13954	abk:LX00_11370
ko:K00138	abk:LX00_11385
ko:K03735	abk:LX00_11395
ko:K03736	abk:LX00_11400
ko:K01951	abk:LX00_11405
ko:K01886	abk:LX00_11410
ko:K03768	abk:LX00_11415
ko:K03269	abk:LX00_11420
ko:K10679	abk:LX00_11430
ko:K03666	abk:LX00_11440
ko:K00791	abk:LX00_11445
ko:K03572	abk:LX00_11450
ko:K06925	abk:LX00_11455
ko:K06177	abk:LX00_11460
ko:K06183	abk:LX00_11475
ko:K03576	abk:LX00_11490
ko:K10716	abk:LX00_11510
ko:K01682	abk:LX00_11520
ko:K09800	abk:LX00_11530
ko:K06134	abk:LX00_11545
ko:K09470	abk:LX00_11555
ko:K07667	abk:LX00_11560
ko:K07646	abk:LX00_11565
ko:K01548	abk:LX00_11570
ko:K01547	abk:LX00_11575
ko:K01546	abk:LX00_11580
ko:K00950	abk:LX00_11585
ko:K01633	abk:LX00_11590
ko:K00799	abk:LX00_05775
ko:K03387	abk:LX00_05785
ko:K03386	abk:LX00_05805
ko:K09815	abk:LX00_00895
ko:K00140	abk:LX00_00680
ko:K01895	abk:LX00_00690
ko:K01692	abk:LX00_00700
ko:K07782	abk:LX00_00725
ko:K07003	abk:LX00_00750
ko:K06133	abk:LX00_00765
ko:K05527	abk:LX00_00780
ko:K03975	abk:LX00_00805
ko:K15977	abk:LX00_00810
ko:K03578	abk:LX00_05810
ko:K16872	abk:LX00_05815
ko:K05548	abk:LX00_05825
ko:K05782	abk:LX00_05830
ko:K05783	abk:LX00_05835
ko:K05784	abk:LX00_05840
ko:K05550	abk:LX00_05845
ko:K05549	abk:LX00_05850
ko:K16246	abk:LX00_05865
ko:K16245	abk:LX00_05870
ko:K16242	abk:LX00_05875
ko:K16244	abk:LX00_05880
ko:K07213	abk:LX00_05900
ko:K03601	abk:LX00_05945
ko:K03704	abk:LX00_05985
ko:K00286	abk:LX00_05995
ko:K08995	abk:LX00_06035
ko:K01883	abk:LX00_06050
ko:K06041	abk:LX00_06055
ko:K07722	abk:LX00_06370
ko:K02051	abk:LX00_06380
ko:K02049	abk:LX00_06385
ko:K02050	abk:LX00_06390
ko:K11900	abk:LX00_06410
ko:K11903	abk:LX00_06415
ko:K11897	abk:LX00_06420
ko:K11896	abk:LX00_06425
ko:K11895	abk:LX00_06430
ko:K11891	abk:LX00_06440
ko:K11890	abk:LX00_06445
ko:K03286	abk:LX00_06450
ko:K11907	abk:LX00_06460
ko:K11902	abk:LX00_06465
ko:K11893	abk:LX00_06470
ko:K11892	abk:LX00_06475
ko:K03449	abk:LX00_06505
ko:K09927	abk:LX00_06510
ko:K09765	abk:LX00_06520
ko:K13639	abk:LX00_06530
ko:K09712	abk:LX00_06535
ko:K03298	abk:LX00_06550
ko:K12658	abk:LX00_06560
ko:K01752	abk:LX00_06600
ko:K02618	abk:LX00_06605
ko:K02609	abk:LX00_06610
ko:K02610	abk:LX00_06615
ko:K02611	abk:LX00_06620
ko:K02612	abk:LX00_06625
ko:K02613	abk:LX00_06630
ko:K01692	abk:LX00_06635
ko:K15866	abk:LX00_06640
ko:K00074	abk:LX00_06645
ko:K01912	abk:LX00_06655
ko:K02616	abk:LX00_06660
ko:K02617	abk:LX00_06665
ko:K13932	abk:LX00_07240
ko:K13933	abk:LX00_07245
ko:K13934	abk:LX00_07250
ko:K13935	abk:LX00_07255
ko:K13928	abk:LX00_07270
ko:K00426	abk:LX00_07285
ko:K00425	abk:LX00_07290
ko:K15551	abk:LX00_07330
ko:K15552	abk:LX00_07340
ko:K03119	abk:LX00_07345
ko:K16841	abk:LX00_07350
ko:K03457	abk:LX00_07355
ko:K00537	abk:LX00_07385
ko:K03325	abk:LX00_07395
ko:K07240	abk:LX00_07405
ko:K07240	abk:LX00_07410
ko:K03387	abk:LX00_07415
ko:K00640	abk:LX00_07430
ko:K15396	abk:LX00_07435
ko:K02337	abk:LX00_07440
ko:K05597	abk:LX00_07445
ko:K14260	abk:LX00_07455
ko:K07305	abk:LX00_07460
ko:K00432	abk:LX00_07465
ko:K14267	abk:LX00_07480
ko:K00990	abk:LX00_07485
ko:K08289	abk:LX00_07490
ko:K02226	abk:LX00_08390
ko:K02233	abk:LX00_08400
ko:K01626	abk:LX00_08405
ko:K07090	abk:LX00_08410
ko:K00748	abk:LX00_08435
ko:K01993	abk:LX00_08445
ko:K02503	abk:LX00_08485
ko:K10764	abk:LX00_08525
ko:K09747	abk:LX00_08535
ko:K06187	abk:LX00_08540
ko:K03684	abk:LX00_08545
ko:K09902	abk:LX00_08575
ko:K09989	abk:LX00_08590
ko:K06001	abk:LX00_08595
ko:K07320	abk:LX00_08600
ko:K01736	abk:LX00_08605
ko:K03644	abk:LX00_08625
ko:K00627	abk:LX00_08640
ko:K00382	abk:LX00_08645
ko:K03366	abk:LX00_08650
ko:K00004	abk:LX00_08655
ko:K17218	abk:LX00_08675
ko:K03464	abk:LX00_09910
ko:K03381	abk:LX00_09915
ko:K01031	abk:LX00_09920
ko:K01032	abk:LX00_09925
ko:K01055	abk:LX00_09935
ko:K00276	abk:LX00_09950
ko:K00059	abk:LX00_09970
ko:K01426	abk:LX00_10000
ko:K02624	abk:LX00_10050
ko:K07112	abk:LX00_10060
ko:K07112	abk:LX00_10065
ko:K05358	abk:LX00_10075
ko:K07267	abk:LX00_10080
ko:K03785	abk:LX00_10090
ko:K00448	abk:LX00_10095
ko:K00449	abk:LX00_10100
ko:K01607	abk:LX00_10105
ko:K08195	abk:LX00_10110
ko:K01055	abk:LX00_10115
ko:K01857	abk:LX00_10120
ko:K01032	abk:LX00_10130
ko:K01031	abk:LX00_10135
ko:K00991	abk:LX00_10140
ko:K02614	abk:LX00_06670
ko:K03781	abk:LX00_06695
ko:K12262	abk:LX00_06700
ko:K00128	abk:LX00_06735
ko:K03457	abk:LX00_06745
ko:K00135	abk:LX00_06755
ko:K01607	abk:LX00_06760
ko:K01118	abk:LX00_06770
ko:K02624	abk:LX00_06775
ko:K00481	abk:LX00_06780
ko:K02012	abk:LX00_06790
ko:K02010	abk:LX00_06795
ko:K02011	abk:LX00_06800
ko:K03430	abk:LX00_06810
ko:K05306	abk:LX00_06815
ko:K08196	abk:LX00_06820
ko:K06446	abk:LX00_06825
ko:K00459	abk:LX00_06845
ko:K00612	abk:LX00_06855
ko:K00626	abk:LX00_06875
ko:K00074	abk:LX00_06880
ko:K06446	abk:LX00_06895
ko:K08196	abk:LX00_06900
ko:K01031	abk:LX00_06905
ko:K01032	abk:LX00_06910
ko:K04090	abk:LX00_06940
ko:K01640	abk:LX00_06950
ko:K02116	abk:LX00_00900
ko:K02108	abk:LX00_00905
ko:K02110	abk:LX00_00910
ko:K02109	abk:LX00_00915
ko:K02113	abk:LX00_00920
ko:K02111	abk:LX00_00925
ko:K02115	abk:LX00_00930
ko:K02112	abk:LX00_00935
ko:K02114	abk:LX00_00940
ko:K00432	abk:LX00_00950
ko:K07566	abk:LX00_00975
ko:K04096	abk:LX00_00980
ko:K01462	abk:LX00_00990
ko:K02014	abk:LX00_01000
ko:K01738	abk:LX00_01050
ko:K02346	abk:LX00_01095
ko:K07273	abk:LX00_01100
ko:K06966	abk:LX00_01110
ko:K09858	abk:LX00_01120
ko:K08369	abk:LX00_01130
ko:K02621	abk:LX00_01135
ko:K01897	abk:LX00_01140
ko:K01507	abk:LX00_01155
ko:K01714	abk:LX00_01170
ko:K01628	abk:LX00_01175
ko:K00375	abk:LX00_01180
ko:K07391	abk:LX00_01185
ko:K09806	abk:LX00_01190
ko:K04752	abk:LX00_01195
ko:K03320	abk:LX00_01200
ko:K07738	abk:LX00_01205
ko:K11752	abk:LX00_01210
ko:K07318	abk:LX00_01215
ko:K00793	abk:LX00_01220
ko:K02339	abk:LX00_01235
ko:K01255	abk:LX00_01240
ko:K07091	abk:LX00_01245
ko:K11720	abk:LX00_01250
ko:K15633	abk:LX00_01255
ko:K03797	abk:LX00_01260
ko:K02668	abk:LX00_01270
ko:K07262	abk:LX00_01280
ko:K01733	abk:LX00_01285
ko:K00003	abk:LX00_01290
ko:K03981	abk:LX00_01295
ko:K04763	abk:LX00_01300
ko:K04758	abk:LX00_01305
ko:K04759	abk:LX00_01310
ko:K01925	abk:LX00_01320
ko:K03588	abk:LX00_01325
ko:K01894	abk:LX00_01330
ko:K06204	abk:LX00_01335
ko:K03651	abk:LX00_01340
ko:K01515	abk:LX00_01345
ko:K03147	abk:LX00_01350
ko:K03298	abk:LX00_01365
ko:K12340	abk:LX00_01370
ko:K02039	abk:LX00_01375
ko:K01755	abk:LX00_01385
ko:K08082	abk:LX00_01390
ko:K08083	abk:LX00_01395
ko:K01749	abk:LX00_01400
ko:K01719	abk:LX00_01405
ko:K07107	abk:LX00_01420
ko:K02463	abk:LX00_01430
ko:K02452	abk:LX00_01435
ko:K02453	abk:LX00_01440
ko:K01091	abk:LX00_01450
ko:K01657	abk:LX00_01455
ko:K02358	abk:LX00_01485
ko:K03073	abk:LX00_01495
ko:K06942	abk:LX00_07530
ko:K02072	abk:LX00_07535
ko:K02071	abk:LX00_07540
ko:K02073	abk:LX00_07545
ko:K02073	abk:LX00_07550
ko:K00799	abk:LX00_07570
ko:K10001	abk:LX00_07575
ko:K10003	abk:LX00_07580
ko:K10002	abk:LX00_07585
ko:K10004	abk:LX00_07590
ko:K03457	abk:LX00_07650
ko:K07347	abk:LX00_07680
ko:K07345	abk:LX00_07690
ko:K01012	abk:LX00_07705
ko:K01159	abk:LX00_07720
ko:K03823	abk:LX00_07730
ko:K07113	abk:LX00_07750
ko:K00789	abk:LX00_07765
ko:K00615	abk:LX00_07770
ko:K07397	abk:LX00_07775
ko:K07090	abk:LX00_08680
ko:K00003	abk:LX00_08685
ko:K07506	abk:LX00_08695
ko:K01118	abk:LX00_08705
ko:K07240	abk:LX00_08710
ko:K03710	abk:LX00_08715
ko:K02051	abk:LX00_08730
ko:K02050	abk:LX00_08735
ko:K02049	abk:LX00_08740
ko:K02014	abk:LX00_08760
ko:K01744	abk:LX00_08765
ko:K00626	abk:LX00_08790
ko:K02106	abk:LX00_08795
ko:K01029	abk:LX00_08800
ko:K01028	abk:LX00_08805
ko:K17737	abk:LX00_08810
ko:K00019	abk:LX00_08845
ko:K01061	abk:LX00_08860
ko:K11311	abk:LX00_08890
ko:K05600	abk:LX00_08895
ko:K02019	abk:LX00_08905
ko:K02020	abk:LX00_08910
ko:K02018	abk:LX00_08915
ko:K02017	abk:LX00_08920
ko:K00216	abk:LX00_08925
ko:K01081	abk:LX00_08940
ko:K03427	abk:LX00_08945
ko:K01154	abk:LX00_08955
ko:K01153	abk:LX00_08960
ko:K05589	abk:LX00_10145
ko:K01689	abk:LX00_10155
ko:K01627	abk:LX00_10160
ko:K01937	abk:LX00_10165
ko:K07044	abk:LX00_10175
ko:K07019	abk:LX00_10180
ko:K00219	abk:LX00_10195
ko:K01626	abk:LX00_10210
ko:K09771	abk:LX00_10215
ko:K03694	abk:LX00_10220
ko:K06891	abk:LX00_10225
ko:K00145	abk:LX00_10235
ko:K07043	abk:LX00_10245
ko:K01807	abk:LX00_10250
ko:K01754	abk:LX00_10255
ko:K03499	abk:LX00_10260
ko:K03498	abk:LX00_10265
ko:K01058	abk:LX00_10270
ko:K06972	abk:LX00_10275
ko:K16090	abk:LX00_10280
ko:K00425	abk:LX00_10315
ko:K00426	abk:LX00_10320
ko:K09909	abk:LX00_10340
ko:K07078	abk:LX00_10345
ko:K03110	abk:LX00_10350
ko:K07390	abk:LX00_10385
ko:K01265	abk:LX00_10400
ko:K03311	abk:LX00_10405
ko:K13821	abk:LX00_07810
ko:K03719	abk:LX00_07820
ko:K11928	abk:LX00_07825
ko:K12410	abk:LX00_07830
ko:K02437	abk:LX00_07835
ko:K09912	abk:LX00_07855
ko:K07862	abk:LX00_07865
ko:K09966	abk:LX00_07890
ko:K00927	abk:LX00_07895
ko:K01624	abk:LX00_07905
ko:K03771	abk:LX00_07910
ko:K04744	abk:LX00_07915
ko:K07102	abk:LX00_07920
ko:K03501	abk:LX00_07930
ko:K03561	abk:LX00_07945
ko:K03559	abk:LX00_07950
ko:K11085	abk:LX00_07955
ko:K00912	abk:LX00_07960
ko:K00979	abk:LX00_07965
ko:K02341	abk:LX00_07970
ko:K02676	abk:LX00_07975
ko:K03424	abk:LX00_07980
ko:K02456	abk:LX00_07990
ko:K02458	abk:LX00_07995
ko:K02459	abk:LX00_08000
ko:K02460	abk:LX00_08005
ko:K01737	abk:LX00_08010
ko:K03648	abk:LX00_08015
ko:K00945	abk:LX00_08035
ko:K02945	abk:LX00_08040
ko:K05788	abk:LX00_08045
ko:K01591	abk:LX00_08055
ko:K06916	abk:LX00_08075
ko:K01638	abk:LX00_08080
ko:K00657	abk:LX00_08085
ko:K03559	abk:LX00_08090
ko:K00937	abk:LX00_08970
ko:K06136	abk:LX00_08975
ko:K06137	abk:LX00_08980
ko:K06138	abk:LX00_08985
ko:K06139	abk:LX00_08990
ko:K01273	abk:LX00_08995
ko:K00121	abk:LX00_09040
ko:K07347	abk:LX00_09055
ko:K07345	abk:LX00_09065
ko:K06221	abk:LX00_09220
ko:K01207	abk:LX00_09230
ko:K09992	abk:LX00_09250
ko:K01652	abk:LX00_09255
ko:K02024	abk:LX00_09265
ko:K03149	abk:LX00_09270
ko:K03154	abk:LX00_09275
ko:K02768	abk:LX00_10430
ko:K08483	abk:LX00_10430
ko:K11183	abk:LX00_10430
ko:K00882	abk:LX00_10435
ko:K02769	abk:LX00_10440
ko:K02770	abk:LX00_10440
ko:K03530	abk:LX00_10505
ko:K00117	abk:LX00_10735
ko:K03321	abk:LX00_10745
ko:K02601	abk:LX00_01500
ko:K02867	abk:LX00_01505
ko:K01652	abk:LX00_09295
ko:K15509	abk:LX00_09300
ko:K02529	abk:LX00_09315
ko:K01061	abk:LX00_09320
ko:K02024	abk:LX00_09350
ko:K06989	abk:LX00_09365
ko:K09023	abk:LX00_09370
ko:K18146	abk:LX00_09440
ko:K18145	abk:LX00_09445
ko:K18144	abk:LX00_09450
ko:K18143	abk:LX00_09455
ko:K06889	abk:LX00_09485
ko:K03543	abk:LX00_09580
ko:K01556	abk:LX00_10765
ko:K04762	abk:LX00_10800
ko:K03565	abk:LX00_10810
ko:K00677	abk:LX00_10820
ko:K02372	abk:LX00_10825
ko:K02536	abk:LX00_10830
ko:K06142	abk:LX00_10835
ko:K07277	abk:LX00_10840
ko:K11749	abk:LX00_10845
ko:K00099	abk:LX00_10850
ko:K00981	abk:LX00_10855
