ko:K01985	vcs:MS6_r0013
ko:K06996	vcs:MS6_A0300
ko:K03098	vcs:MS6_A0342
ko:K07040	vcs:MS6_1783
ko:K06179	vcs:MS6_1791
ko:K08300	vcs:MS6_1792
ko:K03321	vcs:MS6_1793
ko:K04072	vcs:MS6_1795
ko:K00133	vcs:MS6_1797
ko:K03315	vcs:MS6_1798
ko:K06899	vcs:MS6_1800
ko:K09904	vcs:MS6_1801
ko:K07014	vcs:MS6_1802
ko:K03169	vcs:MS6_1804
ko:K07390	vcs:MS6_1805
ko:K04564	vcs:MS6_1806
ko:K04754	vcs:MS6_1810
ko:K02200	vcs:MS6_1812
ko:K02199	vcs:MS6_1813
ko:K02198	vcs:MS6_1814
ko:K02197	vcs:MS6_1815
ko:K02196	vcs:MS6_1816
ko:K02195	vcs:MS6_1817
ko:K02194	vcs:MS6_1818
ko:K02193	vcs:MS6_1819
ko:K03408	vcs:MS6_1821
ko:K03408	vcs:MS6_1822
ko:K03496	vcs:MS6_1823
ko:K03412	vcs:MS6_1824
ko:K03407	vcs:MS6_1825
ko:K03414	vcs:MS6_1826
ko:K03413	vcs:MS6_1827
ko:K02405	vcs:MS6_1828
ko:K01571	vcs:MS6_0603
ko:K01573	vcs:MS6_0604
ko:K01910	vcs:MS6_0606
ko:K01646	vcs:MS6_0607
ko:K01644	vcs:MS6_0608
ko:K01643	vcs:MS6_0609
ko:K05964	vcs:MS6_0610
ko:K05966	vcs:MS6_0611
ko:K09964	vcs:MS6_0612
ko:K03437	vcs:MS6_0613
ko:K05524	vcs:MS6_0614
ko:K07137	vcs:MS6_0615
ko:K07154	vcs:MS6_0622
ko:K00138	vcs:MS6_0626
ko:K11065	vcs:MS6_0630
ko:K10939	vcs:MS6_0650
ko:K03664	vcs:MS6_0653
ko:K09801	vcs:MS6_0655
ko:K06186	vcs:MS6_0656
ko:K03631	vcs:MS6_0657
ko:K00858	vcs:MS6_0658
ko:K03687	vcs:MS6_0659
ko:K04043	vcs:MS6_0661
ko:K03686	vcs:MS6_0662
ko:K02655	vcs:MS6_0663
ko:K08084	vcs:MS6_0664
ko:K02672	vcs:MS6_0665
ko:K02671	vcs:MS6_0667
ko:K11991	vcs:MS6_0669
ko:K18691	vcs:MS6_0671
ko:K01952	vcs:MS6_0674
ko:K01881	vcs:MS6_0678
ko:K02909	vcs:MS6_0680
ko:K02919	vcs:MS6_0681
ko:K12942	vcs:MS6_0682
ko:K09768	vcs:MS6_0683
ko:K06175	vcs:MS6_0689
ko:K01662	vcs:MS6_0690
ko:K00795	vcs:MS6_0691
ko:K03602	vcs:MS6_0692
ko:K02556	vcs:MS6_0693
ko:K02557	vcs:MS6_0694
ko:K03151	vcs:MS6_0695
ko:K03566	vcs:MS6_0696
ko:K01146	vcs:MS6_0698
ko:K06966	vcs:MS6_0699
ko:K06879	vcs:MS6_0702
ko:K15723	vcs:MS6_0703
ko:K02073	vcs:MS6_0705
ko:K02072	vcs:MS6_0706
ko:K02071	vcs:MS6_0707
ko:K03273	vcs:MS6_0708
ko:K03485	vcs:MS6_0709
ko:K02818	vcs:MS6_0710
ko:K02819	vcs:MS6_0710
ko:K01226	vcs:MS6_0711
ko:K01791	vcs:MS6_0715
ko:K02472	vcs:MS6_0716
ko:K00640	vcs:MS6_0717
ko:K00640	vcs:MS6_0721
ko:K01912	vcs:MS6_0722
ko:K05946	vcs:MS6_0725
ko:K03606	vcs:MS6_0731
ko:K00600	vcs:MS6_0738
ko:K03644	vcs:MS6_0740
ko:K03801	vcs:MS6_0741
ko:K09158	vcs:MS6_0742
ko:K07258	vcs:MS6_0743
ko:K03642	vcs:MS6_0744
ko:K05837	vcs:MS6_0745
ko:K05515	vcs:MS6_0746
ko:K00783	vcs:MS6_0747
ko:K09710	vcs:MS6_0748
ko:K02340	vcs:MS6_0749
ko:K03643	vcs:MS6_0750
ko:K01869	vcs:MS6_0751
ko:K03820	vcs:MS6_0753
ko:K06189	vcs:MS6_0754
ko:K07042	vcs:MS6_0755
ko:K06168	vcs:MS6_0757
ko:K03184	vcs:MS6_0758
ko:K08483	vcs:MS6_0760
ko:K02784	vcs:MS6_0761
ko:K01738	vcs:MS6_0762
ko:K06203	vcs:MS6_0763
ko:K03528	vcs:MS6_0764
ko:K01972	vcs:MS6_0765
ko:K07340	vcs:MS6_0769
ko:K05838	vcs:MS6_0771
ko:K07071	vcs:MS6_0774
ko:K07095	vcs:MS6_0775
ko:K07401	vcs:MS6_0776
ko:K04079	vcs:MS6_0779
ko:K00939	vcs:MS6_0780
ko:K01772	vcs:MS6_0781
ko:K03305	vcs:MS6_0782
ko:K05785	vcs:MS6_0784
ko:K01953	vcs:MS6_0785
ko:K02565	vcs:MS6_0787
ko:K01443	vcs:MS6_0788
ko:K02803	vcs:MS6_0789
ko:K02804	vcs:MS6_0789
ko:K01886	vcs:MS6_0790
ko:K08086	vcs:MS6_0792
ko:K06173	vcs:MS6_0793
ko:K01963	vcs:MS6_0794
ko:K11754	vcs:MS6_0795
ko:K03749	vcs:MS6_0796
ko:K03558	vcs:MS6_0797
ko:K00764	vcs:MS6_0798
ko:K07084	vcs:MS6_0799
ko:K03683	vcs:MS6_0800
ko:K01759	vcs:MS6_0804
ko:K10773	vcs:MS6_0805
ko:K03613	vcs:MS6_0806
ko:K03612	vcs:MS6_0807
ko:K03614	vcs:MS6_0808
ko:K03615	vcs:MS6_0809
ko:K03616	vcs:MS6_0810
ko:K03617	vcs:MS6_0811
ko:K03702	vcs:MS6_0813
ko:K03639	vcs:MS6_0817
ko:K03638	vcs:MS6_0818
ko:K03637	vcs:MS6_0819
ko:K03636	vcs:MS6_0820
ko:K03635	vcs:MS6_0821
ko:K01534	vcs:MS6_0824
ko:K00757	vcs:MS6_0825
ko:K01874	vcs:MS6_0827
ko:K03593	vcs:MS6_0828
ko:K00876	vcs:MS6_0829
ko:K07289	vcs:MS6_0830
ko:K01104	vcs:MS6_0832
ko:K06076	vcs:MS6_0833
ko:K06076	vcs:MS6_0834
ko:K03088	vcs:MS6_0836
ko:K01782	vcs:MS6_0839
ko:K09790	vcs:MS6_0844
ko:K00759	vcs:MS6_0845
ko:K02343	vcs:MS6_0846
ko:K09747	vcs:MS6_0847
ko:K06187	vcs:MS6_0848
ko:K06940	vcs:MS6_0849
ko:K09160	vcs:MS6_0850
ko:K04774	vcs:MS6_0852
ko:K01738	vcs:MS6_0853
ko:K05800	vcs:MS6_0854
ko:K10805	vcs:MS6_0855
ko:K09914	vcs:MS6_0856
ko:K07443	vcs:MS6_0857
ko:K00134	vcs:MS6_0861
ko:K07052	vcs:MS6_0866
ko:K06910	vcs:MS6_0867
ko:K07566	vcs:MS6_0871
ko:K03410	vcs:MS6_0875
ko:K02044	vcs:MS6_0881
ko:K15580	vcs:MS6_0882
ko:K15581	vcs:MS6_0883
ko:K15582	vcs:MS6_0884
ko:K15583	vcs:MS6_0885
ko:K10823	vcs:MS6_0886
ko:K07393	vcs:MS6_0887
ko:K13788	vcs:MS6_0888
ko:K00925	vcs:MS6_0889
ko:K09899	vcs:MS6_0890
ko:K01989	vcs:MS6_0892
ko:K05832	vcs:MS6_0893
ko:K05833	vcs:MS6_0894
ko:K05541	vcs:MS6_0896
ko:K07039	vcs:MS6_0897
ko:K03634	vcs:MS6_0898
ko:K07478	vcs:MS6_0899
ko:K01875	vcs:MS6_0900
ko:K00833	vcs:MS6_0901
ko:K01012	vcs:MS6_0902
ko:K00652	vcs:MS6_0903
ko:K02169	vcs:MS6_0904
ko:K01935	vcs:MS6_0905
ko:K03799	vcs:MS6_0907
ko:K09701	vcs:MS6_0911
ko:K00574	vcs:MS6_0912
ko:K01756	vcs:MS6_0916
ko:K07153	vcs:MS6_0917
ko:K00566	vcs:MS6_0918
ko:K00892	vcs:MS6_0919
ko:K03746	vcs:MS6_0920
ko:K09702	vcs:MS6_A0344
ko:K07746	vcs:MS6_A0349
ko:K03098	vcs:MS6_A0396
ko:K07473	vcs:MS6_A0404
ko:K09962	vcs:MS6_A0427
ko:K06996	vcs:MS6_A0445
ko:K06996	vcs:MS6_A0461
ko:K03098	vcs:MS6_A0495
ko:K06218	vcs:MS6_A0496
ko:K18923	vcs:MS6_A0497
ko:K05366	vcs:MS6_2356
ko:K04761	vcs:MS6_2357
ko:K00382	vcs:MS6_2359
ko:K01940	vcs:MS6_2362
ko:K00930	vcs:MS6_2363
ko:K00145	vcs:MS6_2364
ko:K01438	vcs:MS6_2365
ko:K01595	vcs:MS6_2366
ko:K00640	vcs:MS6_2368
ko:K00057	vcs:MS6_2369
ko:K03071	vcs:MS6_2370
ko:K04568	vcs:MS6_2372
ko:K00244	vcs:MS6_2373
ko:K00245	vcs:MS6_2374
ko:K00246	vcs:MS6_2375
ko:K00247	vcs:MS6_2376
ko:K02356	vcs:MS6_2377
ko:K04077	vcs:MS6_2380
ko:K04078	vcs:MS6_2381
ko:K01826	vcs:MS6_2385
ko:K01803	vcs:MS6_2386
ko:K02553	vcs:MS6_2388
ko:K02548	vcs:MS6_2389
ko:K03667	vcs:MS6_2390
ko:K01419	vcs:MS6_2391
ko:K05499	vcs:MS6_2394
ko:K04066	vcs:MS6_2395
ko:K02909	vcs:MS6_2396
ko:K00029	vcs:MS6_2398
ko:K03764	vcs:MS6_2399
ko:K01739	vcs:MS6_2400
ko:K12525	vcs:MS6_2401
ko:K00297	vcs:MS6_2402
ko:K16961	vcs:MS6_0002
ko:K16962	vcs:MS6_0003
ko:K16963	vcs:MS6_0004
ko:K02914	vcs:MS6_0005
ko:K03536	vcs:MS6_0006
ko:K03217	vcs:MS6_0007
ko:K03650	vcs:MS6_0008
ko:K06205	vcs:MS6_0009
ko:K03495	vcs:MS6_0010
ko:K03501	vcs:MS6_0011
ko:K03496	vcs:MS6_0012
ko:K03497	vcs:MS6_0013
ko:K02116	vcs:MS6_0014
ko:K02108	vcs:MS6_0015
ko:K02110	vcs:MS6_0016
ko:K02109	vcs:MS6_0017
ko:K02113	vcs:MS6_0018
ko:K02111	vcs:MS6_0019
ko:K02115	vcs:MS6_0020
ko:K02112	vcs:MS6_0021
ko:K02031	vcs:MS6_0041
ko:K02032	vcs:MS6_0041
ko:K02035	vcs:MS6_0042
ko:K02033	vcs:MS6_0043
ko:K02034	vcs:MS6_0044
ko:K00383	vcs:MS6_0055
ko:K07115	vcs:MS6_0056
ko:K01414	vcs:MS6_0057
ko:K03657	vcs:MS6_0058
ko:K00681	vcs:MS6_0061
ko:K05786	vcs:MS6_0062
ko:K03654	vcs:MS6_0064
ko:K18893	vcs:MS6_0067
ko:K02014	vcs:MS6_0068
ko:K02527	vcs:MS6_0101
ko:K02843	vcs:MS6_0104
ko:K02847	vcs:MS6_0105
ko:K03274	vcs:MS6_0108
ko:K01840	vcs:MS6_0110
ko:K01711	vcs:MS6_0111
ko:K02078	vcs:MS6_0116
ko:K12995	vcs:MS6_0123
ko:K03557	vcs:MS6_0154
ko:K05540	vcs:MS6_0155
ko:K02687	vcs:MS6_0156
ko:K01961	vcs:MS6_0157
ko:K02160	vcs:MS6_0158
ko:K03786	vcs:MS6_0159
ko:K01895	vcs:MS6_0160
ko:K02342	vcs:MS6_0161
ko:K07182	vcs:MS6_0162
ko:K05820	vcs:MS6_0163
ko:K01524	vcs:MS6_0165
ko:K03732	vcs:MS6_0166
ko:K03671	vcs:MS6_0167
ko:K03628	vcs:MS6_0168
ko:K03182	vcs:MS6_0170
ko:K05368	vcs:MS6_0172
ko:K00998	vcs:MS6_0173
ko:K00075	vcs:MS6_0175
ko:K02939	vcs:MS6_0225
ko:K07283	vcs:MS6_0226
ko:K01775	vcs:MS6_0228
ko:K01810	vcs:MS6_0230
ko:K03409	vcs:MS6_0232
ko:K09823	vcs:MS6_0233
ko:K05539	vcs:MS6_0234
ko:K00380	vcs:MS6_0240
ko:K00381	vcs:MS6_0241
ko:K00390	vcs:MS6_0242
ko:K02963	vcs:MS6_0224
ko:K03316	vcs:MS6_0243
ko:K00548	vcs:MS6_0244
ko:K04744	vcs:MS6_0299
ko:K05801	vcs:MS6_0300
ko:K03406	vcs:MS6_0301
ko:K08306	vcs:MS6_0302
ko:K03575	vcs:MS6_0304
ko:K03439	vcs:MS6_0305
ko:K01425	vcs:MS6_0306
ko:K02428	vcs:MS6_0308
ko:K09131	vcs:MS6_0310
ko:K02221	vcs:MS6_0311
ko:K00286	vcs:MS6_0312
ko:K06997	vcs:MS6_0313
ko:K02669	vcs:MS6_0314
ko:K02670	vcs:MS6_0315
ko:K01866	vcs:MS6_0317
ko:K07447	vcs:MS6_0318
ko:K09892	vcs:MS6_2403
ko:K02446	vcs:MS6_2404
ko:K00850	vcs:MS6_2405
ko:K13283	vcs:MS6_2406
ko:K06006	vcs:MS6_2407
ko:K01698	vcs:MS6_2517
ko:K03424	vcs:MS6_2519
ko:K02439	vcs:MS6_2520
ko:K02441	vcs:MS6_2521
ko:K03406	vcs:MS6_2522
ko:K02415	vcs:MS6_2523
ko:K03181	vcs:MS6_2524
ko:K03179	vcs:MS6_2525
ko:K00631	vcs:MS6_2526
ko:K01356	vcs:MS6_2527
ko:K03327	vcs:MS6_2529
ko:K00428	vcs:MS6_2530
ko:K03118	vcs:MS6_2531
ko:K03117	vcs:MS6_2532
ko:K03116	vcs:MS6_2533
ko:K03688	vcs:MS6_2534
ko:K03690	vcs:MS6_2535
ko:K03183	vcs:MS6_2536
ko:K09760	vcs:MS6_2537
ko:K07007	vcs:MS6_2539
ko:K06144	vcs:MS6_2540
ko:K02217	vcs:MS6_2541
ko:K06149	vcs:MS6_2542
ko:K15984	vcs:MS6_2545
ko:K03718	vcs:MS6_2547
ko:K07552	vcs:MS6_2549
ko:K01262	vcs:MS6_2551
ko:K03150	vcs:MS6_2552
ko:K03149	vcs:MS6_2553
ko:K03148	vcs:MS6_2554
ko:K00788	vcs:MS6_2555
ko:K03147	vcs:MS6_2556
ko:K06199	vcs:MS6_2557
ko:K00014	vcs:MS6_2561
ko:K00228	vcs:MS6_2562
ko:K07566	vcs:MS6_2563
ko:K07483	vcs:MS6_A0516
ko:K07726	vcs:MS6_A0522
ko:K07481	vcs:MS6_A0525
ko:K07341	vcs:MS6_A0528
ko:K18923	vcs:MS6_A0530
ko:K07491	vcs:MS6_A0545
ko:K07483	vcs:MS6_A0559
ko:K00813	vcs:MS6_A0565
ko:K02769	vcs:MS6_A0568
ko:K02770	vcs:MS6_A0568
ko:K00882	vcs:MS6_A0569
ko:K02768	vcs:MS6_A0570
ko:K11183	vcs:MS6_A0570
ko:K03435	vcs:MS6_A0571
ko:K03547	vcs:MS6_A0572
ko:K03281	vcs:MS6_A0577
ko:K14540	vcs:MS6_A0579
ko:K03549	vcs:MS6_A0580
ko:K03737	vcs:MS6_A0581
ko:K07646	vcs:MS6_A0582
ko:K07667	vcs:MS6_A0583
ko:K03116	vcs:MS6_A0584
ko:K12262	vcs:MS6_A0589
ko:K07459	vcs:MS6_A0594
ko:K01081	vcs:MS6_A0595
ko:K05794	vcs:MS6_A0596
ko:K06193	vcs:MS6_A0599
ko:K00681	vcs:MS6_A0607
ko:K00324	vcs:MS6_A0612
ko:K00325	vcs:MS6_A0613
ko:K09917	vcs:MS6_A0618
ko:K07491	vcs:MS6_A0619
ko:K03113	vcs:MS6_A0620
ko:K01921	vcs:MS6_A0622
ko:K16087	vcs:MS6_A0626
ko:K11925	vcs:MS6_A0627
ko:K14761	vcs:MS6_A0632
ko:K02030	vcs:MS6_A0634
ko:K06934	vcs:MS6_A0638
ko:K13896	vcs:MS6_A0639
ko:K13895	vcs:MS6_A0640
ko:K13894	vcs:MS6_A0641
ko:K13893	vcs:MS6_A0642
ko:K09712	vcs:MS6_A0645
ko:K02011	vcs:MS6_A0650
ko:K02010	vcs:MS6_A0651
ko:K02012	vcs:MS6_A0652
ko:K03430	vcs:MS6_A0653
ko:K00823	vcs:MS6_A0654
ko:K05306	vcs:MS6_A0655
ko:K06140	vcs:MS6_A0656
ko:K03282	vcs:MS6_A0662
ko:K01938	vcs:MS6_A0664
ko:K12267	vcs:MS6_A0665
ko:K01495	vcs:MS6_A0666
ko:K03750	vcs:MS6_A0667
ko:K01011	vcs:MS6_A0670
ko:K00616	vcs:MS6_A0672
ko:K00615	vcs:MS6_A0673
ko:K16087	vcs:MS6_A0674
ko:K07120	vcs:MS6_A0678
ko:K00058	vcs:MS6_A0679
ko:K02442	vcs:MS6_A0682
ko:K06967	vcs:MS6_A0684
ko:K10679	vcs:MS6_A0687
ko:K07112	vcs:MS6_A0690
ko:K07112	vcs:MS6_A0691
ko:K06996	vcs:MS6_A0695
ko:K02809	vcs:MS6_A0703
ko:K02810	vcs:MS6_A0703
ko:K03484	vcs:MS6_A0704
ko:K01193	vcs:MS6_A0705
ko:K00847	vcs:MS6_A0706
ko:K00111	vcs:MS6_A0707
ko:K03406	vcs:MS6_A0708
ko:K03406	vcs:MS6_A0712
ko:K03326	vcs:MS6_A0713
ko:K01752	vcs:MS6_A0714
ko:K03307	vcs:MS6_A0715
ko:K07685	vcs:MS6_A0720
ko:K07674	vcs:MS6_A0721
ko:K02572	vcs:MS6_A0722
ko:K02570	vcs:MS6_A0723
ko:K02567	vcs:MS6_A0724
ko:K02568	vcs:MS6_A0725
ko:K02569	vcs:MS6_A0726
ko:K07783	vcs:MS6_A0731
ko:K02012	vcs:MS6_A0732
ko:K02011	vcs:MS6_A0733
ko:K02010	vcs:MS6_A0734
ko:K03821	vcs:MS6_A0735
ko:K00626	vcs:MS6_A0737
ko:K00023	vcs:MS6_A0738
ko:K03074	vcs:MS6_A0739
ko:K03072	vcs:MS6_A0740
ko:K00975	vcs:MS6_A0744
ko:K08325	vcs:MS6_A0747
ko:K08476	vcs:MS6_A0749
ko:K08475	vcs:MS6_A0750
ko:K08478	vcs:MS6_A0751
ko:K07783	vcs:MS6_A0753
ko:K00873	vcs:MS6_A0754
ko:K07647	vcs:MS6_A0755
ko:K11930	vcs:MS6_A0756
ko:K01734	vcs:MS6_A0757
ko:K08281	vcs:MS6_A0758
ko:K00901	vcs:MS6_A0760
ko:K03658	vcs:MS6_A0763
ko:K00021	vcs:MS6_A0769
ko:K02017	vcs:MS6_A0770
ko:K02018	vcs:MS6_A0771
ko:K02020	vcs:MS6_A0772
ko:K02232	vcs:MS6_A0773
ko:K10910	vcs:MS6_A0782
ko:K07461	vcs:MS6_A0784
ko:K09915	vcs:MS6_A0785
ko:K09802	vcs:MS6_A0788
ko:K00864	vcs:MS6_A0791
ko:K02440	vcs:MS6_A0792
ko:K00111	vcs:MS6_A0794
ko:K00112	vcs:MS6_A0795
ko:K00113	vcs:MS6_A0796
ko:K00648	vcs:MS6_A0797
ko:K03672	vcs:MS6_A0798
ko:K09998	vcs:MS6_A0803
ko:K09999	vcs:MS6_A0804
ko:K09997	vcs:MS6_A0805
ko:K10000	vcs:MS6_A0806
ko:K03924	vcs:MS6_A0808
ko:K01515	vcs:MS6_A0809
ko:K01620	vcs:MS6_A0810
ko:K11927	vcs:MS6_A0813
ko:K08682	vcs:MS6_A0814
ko:K03834	vcs:MS6_A0816
ko:K03406	vcs:MS6_A0817
ko:K01784	vcs:MS6_A0819
ko:K07160	vcs:MS6_A0820
ko:K00012	vcs:MS6_A0824
ko:K02004	vcs:MS6_A0826
ko:K02003	vcs:MS6_A0827
ko:K10804	vcs:MS6_A0828
ko:K00209	vcs:MS6_A0829
ko:K08984	vcs:MS6_A0833
ko:K07483	vcs:MS6_A0836
ko:K05805	vcs:MS6_A0843
ko:K00892	vcs:MS6_A0844
ko:K05592	vcs:MS6_A0847
ko:K01147	vcs:MS6_A0848
ko:K02040	vcs:MS6_A0850
ko:K06876	vcs:MS6_A0852
ko:K05994	vcs:MS6_A0855
ko:K01480	vcs:MS6_A0856
ko:K01585	vcs:MS6_A0857
ko:K06213	vcs:MS6_A0860
ko:K04078	vcs:MS6_A0861
ko:K04077	vcs:MS6_A0862
ko:K00928	vcs:MS6_A0864
ko:K06720	vcs:MS6_A0865
ko:K00836	vcs:MS6_A0866
ko:K06718	vcs:MS6_A0867
ko:K01724	vcs:MS6_A0868
ko:K00500	vcs:MS6_A0869
ko:K01907	vcs:MS6_A0870
ko:K00661	vcs:MS6_A0877
ko:K07397	vcs:MS6_A0879
ko:K00134	vcs:MS6_A0882
ko:K16263	vcs:MS6_A0885
ko:K02004	vcs:MS6_A0892
ko:K02003	vcs:MS6_A0893
ko:K01176	vcs:MS6_A0898
ko:K06076	vcs:MS6_A0900
ko:K03406	vcs:MS6_A0902
ko:K07275	vcs:MS6_A0904
ko:K07483	vcs:MS6_A0906
ko:K07275	vcs:MS6_A0907
ko:K07262	vcs:MS6_A0910
ko:K00425	vcs:MS6_A0913
ko:K00426	vcs:MS6_A0914
ko:K01753	vcs:MS6_A0916
ko:K13636	vcs:MS6_A0917
ko:K01442	vcs:MS6_A0918
ko:K00060	vcs:MS6_A0925
ko:K00639	vcs:MS6_A0926
ko:K01740	vcs:MS6_A0927
ko:K08234	vcs:MS6_A0929
ko:K15536	vcs:MS6_A0932
ko:K04477	vcs:MS6_A0933
ko:K00036	vcs:MS6_A0935
ko:K01057	vcs:MS6_A0936
ko:K00033	vcs:MS6_A0937
ko:K07396	vcs:MS6_A0940
ko:K00865	vcs:MS6_A0942
ko:K03299	vcs:MS6_A0943
ko:K02647	vcs:MS6_A0944
ko:K07226	vcs:MS6_A0946
ko:K07227	vcs:MS6_A0947
ko:K22468	vcs:MS6_0545
ko:K02114	vcs:MS6_0022
ko:K04042	vcs:MS6_0023
ko:K01825	vcs:MS6_0027
ko:K03498	vcs:MS6_0029
ko:K00230	vcs:MS6_0030
ko:K02521	vcs:MS6_0032
ko:K00053	vcs:MS6_0033
ko:K09806	vcs:MS6_0034
ko:K18138	vcs:MS6_0035
ko:K03585	vcs:MS6_0036
ko:K18136	vcs:MS6_0037
ko:K03656	vcs:MS6_0038
ko:K02013	vcs:MS6_0069
ko:K02016	vcs:MS6_0070
ko:K02015	vcs:MS6_0071
ko:K15835	vcs:MS6_0072
ko:K07106	vcs:MS6_0073
ko:K11191	vcs:MS6_0074
ko:K11192	vcs:MS6_0074
ko:K00989	vcs:MS6_0077
ko:K00762	vcs:MS6_0078
ko:K02560	vcs:MS6_0079
ko:K02517	vcs:MS6_0080
ko:K05501	vcs:MS6_0081
ko:K13038	vcs:MS6_0083
ko:K03406	vcs:MS6_0084
ko:K03630	vcs:MS6_0085
ko:K02902	vcs:MS6_0087
ko:K02913	vcs:MS6_0088
ko:K10563	vcs:MS6_0090
ko:K00954	vcs:MS6_0091
ko:K12984	vcs:MS6_0093
ko:K12982	vcs:MS6_0094
ko:K11211	vcs:MS6_0095
ko:K07576	vcs:MS6_0128
ko:K16053	vcs:MS6_0129
ko:K09891	vcs:MS6_0132
ko:K01809	vcs:MS6_0133
ko:K00847	vcs:MS6_0134
ko:K05787	vcs:MS6_0136
ko:K01945	vcs:MS6_0138
ko:K00602	vcs:MS6_0139
ko:K03765	vcs:MS6_0142
ko:K03757	vcs:MS6_0144
ko:K03406	vcs:MS6_0146
ko:K09939	vcs:MS6_0147
ko:K02014	vcs:MS6_0148
ko:K01625	vcs:MS6_0149
ko:K03299	vcs:MS6_0150
ko:K00851	vcs:MS6_0151
ko:K01690	vcs:MS6_0152
ko:K06145	vcs:MS6_0153
ko:K00867	vcs:MS6_0177
ko:K02358	vcs:MS6_0178
ko:K03073	vcs:MS6_0179
ko:K02601	vcs:MS6_0180
ko:K02867	vcs:MS6_0181
ko:K02863	vcs:MS6_0182
ko:K02864	vcs:MS6_0183
ko:K02935	vcs:MS6_0184
ko:K03043	vcs:MS6_0185
ko:K03046	vcs:MS6_0186
ko:K07740	vcs:MS6_0187
ko:K03426	vcs:MS6_0188
ko:K01599	vcs:MS6_0189
ko:K15633	vcs:MS6_0193
ko:K14445	vcs:MS6_0195
ko:K01613	vcs:MS6_0196
ko:K06949	vcs:MS6_0197
ko:K13288	vcs:MS6_0198
ko:K03524	vcs:MS6_0176
ko:K00928	vcs:MS6_0245
ko:K00830	vcs:MS6_0246
ko:K13009	vcs:MS6_0247
ko:K03701	vcs:MS6_0248
ko:K00963	vcs:MS6_0249
ko:K03111	vcs:MS6_0251
ko:K18765	vcs:MS6_0252
ko:K12279	vcs:MS6_0253
ko:K12280	vcs:MS6_0254
ko:K12281	vcs:MS6_0255
ko:K12282	vcs:MS6_0256
ko:K12283	vcs:MS6_0257
ko:K12284	vcs:MS6_0258
ko:K12276	vcs:MS6_0259
ko:K12278	vcs:MS6_0260
ko:K10925	vcs:MS6_0262
ko:K10924	vcs:MS6_0263
ko:K10926	vcs:MS6_0264
ko:K10927	vcs:MS6_0265
ko:K12285	vcs:MS6_0266
ko:K12286	vcs:MS6_0267
ko:K12287	vcs:MS6_0268
ko:K03569	vcs:MS6_0269
ko:K03570	vcs:MS6_0270
ko:K03571	vcs:MS6_0271
ko:K06287	vcs:MS6_0272
ko:K07735	vcs:MS6_0319
ko:K01920	vcs:MS6_0320
ko:K09761	vcs:MS6_0321
ko:K01150	vcs:MS6_0322
ko:K02742	vcs:MS6_0323
ko:K00789	vcs:MS6_0324
ko:K00615	vcs:MS6_0326
ko:K16089	vcs:MS6_0328
ko:K03472	vcs:MS6_0329
ko:K00927	vcs:MS6_0330
ko:K01624	vcs:MS6_0331
ko:K03442	vcs:MS6_0332
ko:K06895	vcs:MS6_0333
ko:K05596	vcs:MS6_0334
ko:K09807	vcs:MS6_0335
ko:K00873	vcs:MS6_0337
ko:K00820	vcs:MS6_0339
ko:K03086	vcs:MS6_0342
ko:K09117	vcs:MS6_0344
ko:K02970	vcs:MS6_0345
ko:K01573	vcs:MS6_0374
ko:K01571	vcs:MS6_0375
ko:K01572	vcs:MS6_0376
ko:K07263	vcs:MS6_0379
ko:K01919	vcs:MS6_0380
ko:K07173	vcs:MS6_0381
ko:K03106	vcs:MS6_0384
ko:K02959	vcs:MS6_0385
ko:K02860	vcs:MS6_0386
ko:K00554	vcs:MS6_0387
ko:K02884	vcs:MS6_0388
ko:K04691	vcs:MS6_0389
ko:K09908	vcs:MS6_0391
ko:K06916	vcs:MS6_0392
ko:K02871	vcs:MS6_0393
ko:K03579	vcs:MS6_0419
ko:K05365	vcs:MS6_0420
ko:K07001	vcs:MS6_0421
ko:K01682	vcs:MS6_0422
ko:K09910	vcs:MS6_0423
ko:K04752	vcs:MS6_0424
ko:K03320	vcs:MS6_0425
ko:K02012	vcs:MS6_0426
ko:K02011	vcs:MS6_0427
ko:K02010	vcs:MS6_0428
ko:K18675	vcs:MS6_0430
ko:K12373	vcs:MS6_0431
ko:K18676	vcs:MS6_0432
ko:K02034	vcs:MS6_0436
ko:K02033	vcs:MS6_0437
ko:K02035	vcs:MS6_0438
ko:K00564	vcs:MS6_0440
ko:K01845	vcs:MS6_0443
ko:K02968	vcs:MS6_0500
ko:K03980	vcs:MS6_0501
ko:K11753	vcs:MS6_0502
ko:K01870	vcs:MS6_0503
ko:K03101	vcs:MS6_0504
ko:K03774	vcs:MS6_0505
ko:K03527	vcs:MS6_0506
ko:K07106	vcs:MS6_0510
ko:K09001	vcs:MS6_0511
ko:K01207	vcs:MS6_0512
ko:K02477	vcs:MS6_0513
ko:K02478	vcs:MS6_0514
ko:K01626	vcs:MS6_0515
ko:K14187	vcs:MS6_0516
ko:K08309	vcs:MS6_0519
ko:K03720	vcs:MS6_0520
ko:K11069	vcs:MS6_0523
ko:K14170	vcs:MS6_0524
ko:K01572	vcs:MS6_0602
ko:K18218	vcs:MS6_0921
ko:K00765	vcs:MS6_0922
ko:K00013	vcs:MS6_0923
ko:K00817	vcs:MS6_0924
ko:K01089	vcs:MS6_0925
ko:K02501	vcs:MS6_0926
ko:K01814	vcs:MS6_0927
ko:K02500	vcs:MS6_0928
